-0.023818-0.039793i,-0.0096559-0.049876i,-0.017262-0.045264i,-0.030789-0.036832i,-0.029486-0.017183i,-0.051022-0.028876i,-0.059124-0.026339i,-0.044868-0.038798i,-0.0301-0.036802i,0.0067808+0.011799i,-0.0062745+0.016651i,-0.0048251+0.014871i,0.010128+0.0212i,0.00049846+0.0050806i,0.0033109+0.0036666i,0.0073124+0.018458i,0.026205+0.040732i,-0.0027252-0.0016808i,-0.0047996-0.006445i,0.0068468+0.0015918i,-0.00011739-0.0010574i,-0.00071058+0.0013521i,0.00017397-0.00053781i,-0.028792-0.0016454i,-0.0025664-0.0054959i,0.0012547+0.0052478i,0.002746-0.00028455i,-0.00048661+0.00078122i,0.0006817-0.00042053i,-0.0007727-0.0026767i,-0.0016506-0.0063821i,-0.0049297-0.0046491i,-0.0023992-0.0044975i,0.0027582-0.00039362i,0.0020926-0.0025627i,-0.00085393+0.025561i,0.0014273-0.0034645i,0.0030087+0.00092858i,0.0052495+0.00093511i,-0.0098876-0.0024378i,-0.0036957+0.00019383i,0.0059575-0.00051456i,0.0052561+0.00030514i,-0.0034417+0.0064444i,0.0019432-0.0083113i,-0.01238+0.018606i,0.03545-0.091024i,0.012838-0.070433i,-0.015575-0.059983i,-0.016164-0.056327i,0.038445-0.047242i,0.015908-0.063041i,0.035-0.05563i,0.030642-0.059021i,0.014216-0.013022i,0.0038846+0.016914i,0.016872-0.026651i,-0.011428+0.0071022i,-0.00030089+0.0049931i,-0.0059728-0.00080024i,-0.0024037-0.028206i,-0.02408+0.032105i,0.009475-0.011342i,-0.014284-0.0022421i,0.00023843-0.0046885i,-0.0014764-0.016313i,-0.0080149+0.0043301i,0.0054183+0.0060571i,-0.0055856+0.030977i,0.0050895+0.0052967i,-0.0054631-0.00075994i,-0.0033419-0.00040503i,-0.011755-0.0078686i,-0.00083063-0.0042367i,-0.019414+0.016399i,0.00034946-0.010278i,-0.009413-0.0013411i,-0.0063867-0.0028422i,0.007061+0.0023627i,-0.0078686+0.00065656i,0.00026141+0.00048744i,0.005814+0.011476i,0.0035991+0.0013986i,-0.0083903-0.0098441i,0.0031148+0.0084625i,-0.019409+0.0053362i,0.0095429+0.00048596i,-0.028342-0.0031313i,-0.044884+0.0036621i,0.01929-0.094116i,-0.0013755-0.012907i,-0.052676-0.022202i,-0.023755+0.0002228i,0.017851+0.011165i,-0.024335+0.012866i,-0.019988-0.011228i
-0.032742+0.016818i,-0.05335+0.018848i,-0.031712+0.046066i,-0.031724+0.025192i,-0.028806+0.039962i,0.0049428+0.047455i,-0.0031576+0.024335i,-0.017615+0.039445i,-0.013098+0.020933i,-0.0045385-0.0060838i,-0.0033686-0.0030975i,-0.0017084-0.0034454i,-0.0040963-0.0012068i,-0.0064536-0.0046899i,-0.0020306+0.004336i,-0.0032902-0.0017286i,-0.0084306-0.0053095i,-0.0015541-0.00026913i,0.0031082-0.00065182i,0.001991-0.00090174i,0.0027714-0.0036329i,0.0023029-0.003843i,0.0013301-0.0026794i,-0.009144-0.0085884i,-0.0017772+0.00067758i,-0.0038546+0.0018986i,-0.0017027-0.00022522i,-0.0036958-0.00090338i,-0.0012303-0.0012746i,0.0014356-0.0018629i,-0.0020362+0.0063906i,0.0015581-0.00015717i,0.0027887-7.9382e-06i,0.00085065+0.0016065i,-0.0012394+0.0033886i,-0.0011448-0.0067755i,-0.0025294+0.0004354i,0.00029828-0.00015299i,-0.0012446+0.0053132i,0.0071011+0.004046i,0.0011388-0.0033143i,0.00082258-0.0039814i,-0.0025039+0.0026313i,-0.00033619+0.0031183i,-0.034035-0.0060902i,0.0093656-0.077151i,-0.094195-0.029829i,-0.053185-0.036015i,-0.075937-0.049383i,-0.058933-0.0049641i,-0.093831+0.019052i,-0.05844+0.012013i,-0.049017-0.024946i,-0.030969-0.058711i,-0.023993-0.024131i,0.0029135+0.0056859i,-0.018277+0.010302i,0.0092143+0.0032656i,0.010749+0.0041148i,0.00047471-0.0068836i,0.0089255-2.8797e-05i,-0.0065459-0.0039205i,0.002647+0.014819i,0.00062497+0.0096124i,0.0003086+0.0017967i,0.0047323+0.0034745i,0.0020736-0.0010418i,-0.0015376+0.014098i,0.00063884+0.013595i,0.002884-0.004786i,0.010723-0.0078329i,0.0019558+0.0022743i,-0.0079177-0.0069368i,-0.0026407-0.0030567i,0.015982-0.023953i,0.0052629+0.0048847i,0.0039277+0.0038681i,-0.003717+0.0029978i,0.0020406-0.003424i,0.022946+0.0011174i,0.0021515-0.0026304i,0.0014591-0.01058i,-7.9416e-05-0.0025527i,0.01225+0.0047989i,0.0041225+0.00069088i,0.0055448-0.0082593i,0.0030381+0.0078136i,0.0045878+4.271e-05i,0.026523+0.005094i,-0.080215-0.037334i,-0.0037632+0.017734i,0.0080216-0.0031228i,-0.0010466+0.0028895i,-0.036741+0.013639i,-0.0069638+0.0062671i,-0.016888+0.01122i
-0.028664+0.021058i,-0.049809+0.024105i,-0.021098+0.044399i,-0.027163+0.029201i,-0.022313+0.041483i,0.013845+0.044787i,1.6754e-06+0.023844i,-0.0098777+0.041179i,-0.0089739+0.018521i,-0.0068633-0.0033363i,-0.0039037-0.0010564i,-0.0028207-0.003959i,-0.0047845-0.00052778i,-0.0068414-0.0021731i,-0.00074429+0.0052237i,-0.0054997+0.00056749i,-0.012308-0.0011061i,-0.0011026+0.00068145i,0.0039107-0.0015463i,0.0018296-0.001604i,0.001491-0.0042442i,0.0014609-0.0037764i,0.00092071-0.0027097i,-0.01071-0.0050875i,-0.0010699+0.00094858i,-0.0029934+0.003128i,-0.0014665+0.00039042i,-0.0033725+0.0003226i,-0.0016267-0.00093557i,0.00068039-0.0019485i,0.0012625+0.0069247i,0.0011164-0.00039442i,0.0021772-0.00090986i,0.00082732+0.0014759i,-0.0011513+0.0029182i,-0.0013514-0.0062703i,-0.00081359+0.00036765i,-0.00052406-0.00035156i,-0.00054757+0.0063179i,0.0070694+0.00065752i,0.0002534-0.0034687i,-0.00087663-0.0037124i,-0.0023415+0.003201i,0.00051504+0.0031492i,-0.034387-0.0048276i,-0.01316-0.087931i,-0.09074-0.010763i,-0.061859-0.034443i,-0.087894-0.03789i,-0.057677+0.0054691i,-0.084318+0.036347i,-0.054921+0.023505i,-0.041496-0.02382i,-0.038621-0.054325i,-0.028238-0.017906i,0.0045422+0.0022652i,-0.012109+0.019168i,0.0090864-0.00033733i,0.011928-0.002264i,-0.0040604-0.010314i,0.0040755-0.0001723i,-0.0075532+0.0010388i,0.0087542+0.011986i,0.0024726+0.0098127i,0.0010289+0.0019119i,0.0072169+0.0038376i,0.0027738+0.00022406i,0.0046057+0.010704i,0.0070121+0.0068969i,-0.0022832-0.0065534i,0.0033666-0.0081258i,0.0032335+0.0028304i,-0.010252+5.8201e-05i,-0.0028306+1.8401e-05i,0.0071696-0.023024i,0.0075235+0.0038611i,0.0060058+0.0019941i,-0.00069722+0.0030307i,-0.00045653-0.0011228i,0.01966-0.00831i,-0.00017518-0.0034021i,-0.003664-0.007962i,-0.0031424-0.0011674i,0.010774-0.00052506i,0.0039884+0.0018535i,0.0013059-0.0058737i,0.0048351+0.0066478i,0.0040174-0.0006759i,0.025594-0.003536i,-0.085893-0.026874i,0.0028532+0.0070828i,0.007444-0.0060072i,0.0002021+0.00069127i,-0.028386+0.023213i,-0.0053092+0.0070698i,-0.013944+0.011859i
-0.023684+0.023983i,-0.046796+0.030054i,-0.01463+0.040071i,-0.022721+0.031418i,-0.014763+0.043649i,0.021491+0.039772i,0.003651+0.023712i,-0.0017516+0.040835i,-0.0080659+0.016545i,-0.007176+0.00031594i,-0.0033717+0.00072743i,-0.0063104-0.0032215i,-0.0051986+0.0015649i,-0.0070886+6.7997e-05i,0.0011109+0.0057012i,-0.0060975+0.0041282i,-0.012614+0.0055237i,0.00019061+0.0010192i,0.0041498-0.0038988i,0.0017042-0.0026857i,1.7511e-05-0.0045361i,0.00062494-0.0044284i,0.00052069-0.0029278i,-0.011383-0.0018949i,-0.0007846+0.0012689i,-0.0013731+0.0037684i,-0.00093761+0.0005459i,-0.0027569+0.0017344i,-0.0021499-0.00056296i,-0.0002674-0.0025209i,0.0041212+0.0042742i,0.00087103-0.00051408i,0.0017099-0.0013416i,0.0015232+0.00085591i,-0.00013046+0.0036636i,-0.0018799-0.0058435i,-0.0011721+0.00021583i,-0.00088464-0.00011537i,0.0039246+0.0048331i,0.0059315-0.0014437i,-0.00092393-0.0031843i,-0.00027176-0.0024571i,-0.0015741+0.0042064i,0.0013066+0.0022059i,-0.036315-0.0017495i,-0.041752-0.087607i,-0.08059+0.0030659i,-0.072023-0.027203i,-0.095039-0.02293i,-0.052983+0.013748i,-0.069393+0.049032i,-0.040991+0.033499i,-0.044825-0.025004i,-0.046062-0.050011i,-0.032677-0.0069369i,0.0046001-0.0010775i,-0.0025557+0.02137i,0.0083691-0.0033822i,0.0077095-0.0072958i,-0.011999-0.010419i,0.0027241-0.00086987i,-0.0043732+0.0053175i,0.011592+0.006674i,0.0037729+0.010288i,0.00034621+0.0019759i,0.0078404-0.00047829i,0.0045305-0.0016657i,0.0065958+0.0065053i,0.0054477+0.0021565i,-0.007345-0.0030792i,0.00084926-0.006339i,0.0051907+0.0017428i,-0.0048795+0.0086075i,-0.0011317+0.001315i,-0.0041238-0.019275i,0.0093837+0.00047235i,0.0058414+0.00018978i,0.0013079+0.0024146i,0.00078669+0.00052738i,0.012451-0.01355i,-0.0030423-0.00042695i,-0.0072229-0.0037979i,-0.0038695+0.0023226i,0.0059716-0.0034448i,0.0088364+0.00018663i,0.0019373-0.0047749i,0.0082139+0.0042205i,0.0059706-0.0021665i,0.021606-0.011194i,-0.088904-0.012682i,0.00028432-0.0026511i,0.0062026-0.0070387i,-2.6438e-05-0.0021655i,-0.020949+0.025458i,-0.0054163+0.0033773i,0.0002858+0.013075i
-0.018344+0.024951i,-0.042209+0.036493i,-0.011493+0.036799i,-0.017704+0.034619i,-0.0061859+0.042741i,0.027678+0.033621i,0.0082118+0.022747i,0.0056978+0.038203i,-0.0080071+0.016924i,-0.005822+0.0032788i,-0.0027193+0.0011016i,-0.0080443+0.0007693i,-0.004785+0.0034836i,-0.007144+0.0027792i,0.0029078+0.005108i,-0.0046426+0.007831i,-0.0087596+0.011499i,0.0010292+0.00022711i,0.0019291-0.005398i,0.00029997-0.0040301i,-0.0015145-0.0041366i,-0.00048134-0.0045889i,-0.00020563-0.0034395i,-0.010845+0.0014222i,-0.00015777+0.00084979i,0.00057926+0.0029572i,-0.00084681+0.0001783i,-0.0014382+0.0020311i,-0.002427+0.00049075i,-0.0017028-0.0020542i,0.0045263+0.002828i,0.00044577-0.00052473i,0.0008458-0.0018417i,0.0015654+0.00019764i,0.0017835+0.0030998i,-0.0024181-0.0069088i,-0.0010918+0.0011148i,-0.0010916+0.00022684i,0.0049261+0.00047602i,0.0044821-0.002437i,-0.0012896-0.0022196i,-0.0004934-0.0018753i,0.0086329-0.030271i,-6.0478e-05+0.00017099i,-0.037877+0.0028213i,-0.066464-0.072134i,-0.07032+0.008547i,-0.079618-0.015074i,-0.099391-0.006588i,-0.046874+0.019253i,-0.054788+0.054738i,-0.026703+0.033049i,-0.047616-0.019836i,-0.052953-0.042592i,-0.030475+0.0044225i,0.0025582-0.0037447i,0.0060106+0.019419i,0.0066935-0.005857i,0.0023229-0.0085846i,-0.026268+0.011073i,-0.00025829+0.00035814i,-0.0010197+0.0053092i,0.011018+0.00071202i,0.0083746+0.010613i,0.00080155+0.0030297i,0.0046315-0.0021783i,0.0039292-0.005103i,0.0051674+0.0024182i,0.0030708+0.00039401i,-0.0071983+0.0013168i,-0.0015819-0.0049055i,0.0055845-0.00010305i,0.0034595+0.0071824i,-0.00011813+0.00080129i,-0.011064-0.014778i,0.008675-0.0030223i,0.0064318-0.0021188i,0.0018018+0.0021538i,0.0015378+0.00016127i,0.0061673-0.013612i,-0.00077895+0.0022311i,-0.0081165+8.928e-05i,-0.0012139+0.0048323i,0.0038788-0.002435i,0.0088267-0.00414i,5.0642e-05-0.0046666i,0.0088524-0.00033879i,0.0044122-0.0061683i,0.01637-0.017365i,-0.085855+0.0019557i,-0.0071372-0.0059353i,0.0041906-0.013375i,-0.0014026-0.0044059i,-0.014046+0.02665i,-0.0085334+0.0032168i,-0.0070737+0.012804i
-0.014328+0.025125i,-0.036773+0.041914i,-0.010493+0.035964i,-0.011201+0.036414i,0.0010433+0.039912i,0.032314+0.026658i,0.012672+0.02025i,0.011728+0.034676i,-0.0061443+0.018551i,-0.0036881+0.0047849i,-0.0028897+0.0019612i,-0.0070482+0.0043222i,-0.0038355+0.0050584i,-0.0055464+0.005584i,0.0044528+0.0039998i,-0.0011074+0.010136i,-0.0032421+0.01375i,0.00096015-0.00048679i,0.00025771-0.005251i,-0.0018023-0.0037642i,-0.0028895-0.0033027i,-0.0019594-0.0041485i,-0.0015267-0.0034031i,-0.0090148+0.0039656i,-0.00072138+0.00014376i,0.00043507+0.001707i,-0.0010157+4.7644e-05i,-0.00060614+0.0018611i,-0.0019682+0.0015567i,-0.0019696-0.00063583i,0.0055915+0.0021491i,0.00027084-0.00051773i,-1.7428e-05-0.0016358i,0.001337-0.00029489i,0.0022447+0.0017031i,-0.0042453-0.0072274i,-0.0006384+0.0015739i,-0.00072829+0.0010483i,0.001187-0.0026293i,0.003147-0.0025131i,-0.0016791-0.0020061i,-0.0010527-0.0019409i,-0.0027727+0.0045802i,-0.0022226+0.0012721i,-0.037813+0.0090871i,-0.076282-0.048792i,-0.064343+0.0099189i,-0.083821-0.00072221i,-0.10048+0.011829i,-0.042207+0.021982i,-0.041192+0.057534i,-0.017548+0.030292i,-0.048074-0.015184i,-0.057369-0.034781i,-0.025808+0.013869i,0.00063259-0.0051853i,0.014699+0.014282i,0.0045173-0.0074213i,-0.002456-0.0072155i,-0.019371+0.012298i,-0.00058097+0.0026514i,0.0019173+0.0059366i,0.0065166-0.0012318i,0.012516+0.0080611i,0.0020552+0.0032501i,0.0028161-0.0014293i,0.0013462-0.0067723i,0.0033805+0.0028682i,0.0008424+0.0011228i,-0.0069216+0.0054168i,-0.0029433-0.0020511i,0.0050443-0.0021859i,0.0073187+0.0029596i,0.00036173+0.00075776i,-0.013631-0.014142i,0.0065736-0.0057211i,0.0043304-0.0046232i,0.0033879+0.001877i,0.0021881-0.00022157i,0.0028983-0.012339i,0.0014697+0.0019674i,-0.0062931+0.0045217i,0.0024459+0.0039559i,0.0039981-0.0022614i,0.0050949-0.010991i,0.0001057-0.003725i,0.0069057-0.0056271i,0.00019761-0.0078822i,0.0078727-0.022209i,-0.079935+0.011327i,-0.015658-0.0027983i,-0.00047645-0.015706i,-0.0032013-0.0066171i,-0.0073659+0.026005i,-0.011733+0.0056734i,-0.0060556+0.013564i
-0.011188+0.025398i,-0.030383+0.046696i,-0.0089503+0.038231i,-0.0048817+0.035932i,0.0057532+0.035849i,0.03557+0.019693i,0.016737+0.016571i,0.016528+0.030565i,-0.0035101+0.018721i,-0.0015964+0.0047328i,-0.0031645+0.0034033i,-0.0051641+0.0067756i,-0.0020805+0.0066501i,-0.0032279+0.0066626i,0.0051675+0.0024035i,0.0024746+0.010483i,0.002926+0.013716i,0.00086557-0.00062024i,-0.0013918-0.0053168i,-0.0030852-0.0025097i,-0.0032755-0.0017959i,-0.0027325-0.0033111i,-0.0024197-0.0025701i,-0.0072989+0.0051358i,-0.0013233+0.00083403i,-0.00013574+0.0015554i,-0.0016435+0.00046802i,4.5882e-05+0.0012615i,-0.0011451+0.0018658i,-0.0017052+0.00027161i,0.0061419-0.002022i,7.56e-05-0.00059069i,-0.00046397-0.0013117i,0.00094867-0.00083431i,0.002251+0.0011681i,-0.0069677-0.0064959i,-0.00032442+0.0014961i,0.00028143+0.0014306i,0.00021341-0.0015767i,0.0023894-0.0023026i,-0.0021065-0.0012715i,-0.0016744-0.0014631i,0.00018718+0.0051027i,-0.0026048+0.0036314i,-0.036226+0.016013i,-0.075281-0.031699i,-0.061887+0.011861i,-0.083824+0.016464i,-0.094927+0.032777i,-0.040478+0.024502i,-0.029724+0.057078i,-0.009562+0.026663i,-0.047351-0.009961i,-0.061406-0.025915i,-0.020922+0.015276i,-0.00327-0.005186i,0.018074+0.0019482i,0.0023678-0.0093212i,-0.0056464-0.0037795i,-0.012733+0.018857i,0.00068057+0.0034823i,0.0054382+0.0036882i,0.0052809+0.00022449i,0.017238+0.0021881i,0.0030511+0.0031354i,0.0023975-0.00084977i,-0.0024504-0.0082244i,0.0029206+0.0029126i,0.00061735+0.0031679i,-0.0039734+0.010499i,-0.0013897-2.0148e-05i,0.0037705-0.0032884i,0.0094514-0.00022389i,0.0013925+6.3518e-05i,-0.016905-0.013009i,0.0037486-0.007333i,0.0017514-0.0049737i,0.0038513+7.5733e-05i,0.0018582-0.00024417i,0.0011296-0.010364i,0.0024694+0.00042055i,-0.0028021+0.0058646i,0.0032053+0.0011535i,0.0033384-0.0037515i,-0.00435-0.011302i,-0.00037467-0.0048562i,0.0019965-0.0059516i,-0.0028963-0.0082278i,-0.0017073-0.021223i,-0.077194+0.02002i,-0.014558+0.0088242i,-0.0053579-0.016499i,-0.0065556-0.0071457i,-0.0044997+0.024188i,-0.011412+0.010678i,-0.0015981+0.012451i
-0.0077758+0.025749i,-0.023316+0.051278i,-0.0044737+0.041071i,4.1351e-07+0.034564i,0.008267+0.033157i,0.037577+0.012146i,0.019737+0.012029i,0.020322+0.026325i,-0.0008876+0.019207i,-0.00041901+0.0047364i,-0.0021307+0.0057075i,-0.0022434+0.0086424i,0.00014002+0.0073025i,-0.00096577+0.0067122i,0.0052573+0.00093392i,0.0058083+0.0094518i,0.0077881+0.011148i,0.00087551-0.00069011i,-0.0029616-0.0045176i,-0.0035656-0.0010073i,-0.0030218-0.00058273i,-0.0034968-0.0025646i,-0.0028577-0.0017039i,-0.0060733+0.0066035i,-0.0011433+0.0015684i,-5.0553e-05+0.0020948i,-0.0013369+0.0016561i,-0.00015631+0.00075674i,-0.00063801+0.0018067i,-0.0012397+0.00063122i,0.0035616-0.0028224i,0.00015399-0.00041215i,-0.00051166-0.0010783i,0.00046328-0.0010804i,0.0026704+0.00010478i,-0.0090331-0.004709i,0.00011439+0.0017586i,0.00080593+0.001233i,-0.00060819-0.0014768i,0.0021754-0.0024461i,-0.0018586-0.00043006i,-0.0012876-0.00067006i,0.0017926+0.0041186i,-0.0016989+0.0050331i,-0.03222+0.021754i,-0.074732-0.023488i,-0.061223+0.016244i,-0.077344+0.032239i,-0.082872+0.050458i,-0.038176+0.030251i,-0.019821+0.056436i,-0.0051423+0.021413i,-0.046589-0.0055701i,-0.063501-0.016361i,-0.020292+0.016822i,-0.0045894-0.0045552i,0.011209-0.0088694i,-0.00079248-0.010984i,-0.0064251-0.00030985i,-0.0044443+0.019639i,0.0010639+0.0031651i,0.0065418-0.00035792i,0.006146-0.00044438i,0.016571-0.005071i,0.0050499+0.0026027i,0.0024414+0.00035124i,-0.0072656-0.0043463i,0.003583+0.0036968i,0.0019849+0.0047468i,0.0064553+0.011496i,-0.0008419-0.00015956i,0.0026167-0.0038957i,0.0097703-0.0066626i,0.00033416-0.00067179i,-0.0206-0.0085978i,0.0010724-0.0073564i,3.2119e-05-0.0040591i,0.0045392-8.7145e-05i,0.0016464-0.00053943i,0.00043361-0.011171i,0.0022983-0.0012188i,-0.00035836+0.0057613i,0.0026227+0.00057497i,0.0023744-0.0035267i,-0.0081616-0.0055592i,-0.0037392-0.0053065i,6.5922e-05-0.0050977i,-0.0063572-0.0075061i,-0.0075648-0.017486i,-0.071176+0.02883i,-0.0085926+0.0087558i,-0.0067544-0.015251i,-0.0084659-0.0060875i,-0.00033971+0.022623i,-0.010279+0.01256i,-0.00046631+0.0092342i
-0.0042187+0.025563i,-0.014876+0.054584i,0.0019301+0.043353i,0.0044202+0.033543i,0.010688+0.031742i,0.038013+0.0050328i,0.021707+0.0067785i,0.023686+0.022293i,0.0022937+0.019203i,0.00078532+0.0045907i,0.00083452+0.0068856i,0.0013445+0.0086796i,0.0023115+0.0070152i,0.00047826+0.0065754i,0.0051763-0.00030786i,0.0085726+0.0070754i,0.01046+0.0074317i,0.0010773-0.0014304i,-0.0040814-0.0032182i,-0.003292+0.00068193i,-0.002432+0.00030551i,-0.0040001-0.0010209i,-0.0030542-0.00093373i,-0.0038263+0.00767i,-0.0006204+0.0021134i,0.00094071+0.0023147i,-0.0006401+0.0020597i,-0.00055082+0.0010051i,4.1895e-05+0.0018912i,-0.00092384+0.00084598i,0.00281-0.0037747i,0.00037983-0.00080318i,-0.00095287-0.0010754i,-8.7434e-05-0.0011124i,0.001955-0.00095773i,-0.0099453-0.0018587i,0.00077224+0.0017069i,0.001108+0.0012341i,-0.0016611-0.00095867i,0.0018887-0.0025535i,-0.0014577-0.00021667i,-0.0015606-0.00096508i,0.0026183+0.0028645i,-0.00059091+0.006511i,-0.027565+0.025063i,-0.079411-0.016555i,-0.059826+0.02215i,-0.068561+0.044346i,-0.067073+0.061534i,-0.033967+0.035411i,-0.010317+0.054153i,-0.0023755+0.018238i,-0.045658-0.00088683i,-0.063202-0.0060803i,-0.01642+0.021363i,-0.0059902-0.0034248i,0.0029813-0.010129i,-0.0048611-0.011293i,-0.0051627+0.0035923i,0.0020572+0.017034i,0.0007488+0.0028024i,0.0053342-0.0044229i,0.0055196-0.0015371i,0.011956-0.011375i,0.0063965+0.00027994i,0.0037089+0.00060312i,-0.0079297-0.00051997i,0.0049944+0.0043671i,0.0044621+0.0052617i,0.0092899+0.0068871i,-0.00069277+0.00076412i,0.00234-0.0043218i,0.007438-0.0026743i,-0.00014795+0.00060308i,-0.024473-0.0013861i,-0.00045748-0.0068957i,-0.0015684-0.0026953i,0.0058313-0.00188i,0.0014735-0.00049667i,-0.0026764-0.012897i,0.0011701-0.0017157i,0.0025022+0.0066182i,0.0028832-6.6286e-05i,0.002913-0.0033359i,-0.0089804-0.0017128i,-0.0066817-0.0024819i,-0.0028661-0.0035706i,-0.0087285-0.0056805i,-0.011234-0.01349i,-0.065258+0.03571i,-0.0073901+0.0069739i,-0.0076609-0.018154i,-0.0094766-0.0046133i,0.00050128+0.021146i,-0.010232+0.014696i,0.00010502+0.0077653i
-0.00030701+0.025508i,-0.0050985+0.056108i,0.010185+0.043689i,0.008857+0.03224i,0.014366+0.031514i,0.037536-0.0016349i,0.022101+0.0010525i,0.026975+0.017634i,0.0058977+0.018343i,0.0016667+0.0040874i,0.0033682+0.0057558i,0.0038465+0.0065441i,0.0043067+0.0063374i,0.0022791+0.0061939i,0.0047776-0.0015891i,0.0098699+0.003885i,0.011911+0.0033749i,-4.9015e-06-0.0022261i,-0.0049446-0.0012919i,-0.0019342+0.0016864i,-0.0015382+0.00047921i,-0.003581+0.00017204i,-0.0030788+3.1402e-05i,-0.0011897+0.0083254i,0.00014117+0.0023216i,0.0017319+0.0016465i,0.00020458+0.0022978i,-0.00020086+0.0016338i,0.00092018+0.0014332i,-0.00055448+0.00083037i,0.00059055-0.0044934i,-0.00010889-0.0011076i,-0.0015435-0.00053739i,-0.00063347-0.00096695i,0.00108-0.0015241i,-0.00993+0.0014046i,0.0011715+0.0012666i,0.0015418+0.00094072i,-0.0022154-3.7717e-05i,0.0014089-0.0028765i,-0.0014593-0.00017159i,-0.0017667-0.0006838i,0.0026714+0.0017315i,0.0010713+0.0076099i,-0.023324+0.028081i,-0.087361-0.0030589i,-0.055636+0.027894i,-0.056784+0.052481i,-0.052115+0.069052i,-0.028793+0.041716i,-0.0010753+0.050355i,0.0027496+0.01476i,-0.04381+0.0044528i,-0.059981+0.0041288i,-0.011399+0.023934i,-0.0077867-0.0023729i,-0.0031459-0.0092013i,-0.0091471-0.0098525i,-0.0013522+0.0050489i,0.0047193+0.013169i,-7.713e-05+0.0027969i,0.0031366-0.0078094i,0.0061674-0.0012648i,0.0049511-0.014035i,0.0064548-0.0028316i,0.0047396-0.00023075i,-0.0080583+0.003766i,0.0082144+0.0037895i,0.007135+0.002827i,0.010688+0.0014538i,0.00037367+0.0014421i,0.0012642-0.0048224i,-0.0004489-0.007625i,0.0010432+0.0022282i,-0.023358+0.0095967i,-0.0020934-0.0066589i,-0.0013888-0.00064396i,0.00501-0.0050558i,0.0019357-0.00050551i,-0.0079905-0.01242i,0.00015173-0.0014708i,0.005565+0.0047257i,0.0028635-0.00046503i,0.0027004-0.0042912i,-0.0078273+0.002924i,-0.0069759+0.0018961i,-0.0038708-0.001187i,-0.010621-0.0031489i,-0.013483-0.0096542i,-0.060322+0.042444i,-0.0076398+0.0092118i,-0.012669-0.021259i,-0.0082444-0.0039845i,0.0031759+0.021196i,-0.0094029+0.01884i,0.0017909+0.0056306i
0.0039494+0.024304i,0.0044443+0.055286i,0.018245+0.040731i,0.013345+0.030373i,0.019294+0.03034i,0.036106-0.0080486i,0.020931-0.0042108i,0.02914+0.012261i,0.0091271+0.016409i,0.0020808+0.0039601i,0.0044979+0.004234i,0.0044491+0.0046814i,0.0059679+0.0046336i,0.0037758+0.0051521i,0.0040071-0.0026192i,0.0094603+0.00078732i,0.012045-0.0001425i,-0.00087529-0.0019455i,-0.004655+0.00035133i,-0.00074382+0.001546i,-0.00089108+0.00020617i,-0.0030051+0.00086237i,-0.0024982+0.0008316i,0.0014262+0.0081677i,0.0010464+0.0020342i,0.002244+0.00099109i,0.0010745+0.0020671i,0.00056071+0.0016262i,0.0010303+0.00064123i,-0.00055678+0.00087572i,-0.0013098-0.0039158i,-0.00077775-0.00096302i,-0.001545+0.00018158i,-0.0010466-0.00051076i,0.00035797-0.0016946i,-0.0091938+0.0044508i,0.0013167+0.00075279i,0.0017148+0.00016174i,-0.0023399+0.0011823i,0.00072302-0.0035783i,-0.0014348+0.00014584i,-0.0018545-0.00047084i,0.0024052+0.0010767i,0.0039612+0.0077991i,-0.018757+0.030648i,-0.088282+0.017311i,-0.053246+0.031859i,-0.046527+0.056864i,-0.034744+0.073942i,-0.020317+0.047755i,0.0063502+0.043792i,0.0055015+0.0073638i,-0.039771+0.0085137i,-0.053781+0.013558i,-0.0046546+0.024914i,-0.0093149+0.00042758i,-0.0084828-0.0056987i,-0.012012-0.005948i,0.0014337+0.0035279i,0.0049729+0.010814i,-0.0016809+0.0041247i,-0.00076382-0.010381i,0.0069133-0.0041885i,-0.0015355-0.012727i,0.0045007-0.0049998i,0.0054232-0.0027363i,-0.0059102+0.0068921i,0.01047-0.00028931i,0.0076683-0.00094033i,0.0095302-0.0047302i,0.0020846+0.00096967i,-0.00014552-0.0048902i,-0.0038593-0.0043124i,0.003213+0.0013206i,-0.008969+0.0095359i,-0.0059489-0.0090761i,9.9621e-05+0.00043245i,0.0025907-0.0061722i,0.0019062-0.00087605i,-0.012831-0.0083982i,0.00011995-0.00052632i,0.0069224+0.0015075i,0.0025082-0.0011544i,0.0015924-0.0047836i,-0.0042605+0.0061653i,-0.0044797+0.00518i,-0.0041378+0.00096033i,-0.011985+7.8428e-05i,-0.014488-0.0061906i,-0.053333+0.051803i,-0.0014328+0.011573i,-0.019601-0.021438i,-0.0076939-0.0050659i,0.0051391+0.02058i,-0.0052342+0.022532i,0.0020373+0.001989i
