-0.031387-0.038876i,-0.021509-0.018739i,-0.013186-0.035436i,-0.02989-0.019752i,-0.022283+6.3209e-05i,-0.01369-0.005603i,-0.055244-0.058448i,-0.046745-0.017159i,-0.037967-0.014491i,0.011287+0.012006i,-0.0073864+0.0048085i,-0.019715+0.019081i,0.0024374+0.011467i,-0.0059866-0.0031947i,0.00024367+0.0013165i,-0.001527+0.030147i,0.027721+0.027928i,0.0026359-0.0022548i,-0.0020496-0.0068446i,0.0078648+0.0025242i,0.0025138+0.00098987i,0.00028655+0.0038212i,-0.00035025+0.00029082i,-0.037406-0.011963i,0.00015449-0.0076155i,0.0015176+0.0021019i,0.0063243+0.001477i,0.0019356+0.00061616i,0.0012133-0.00043469i,-0.00014417-0.0026802i,0.0017073-0.0024683i,-0.0025583-0.0057755i,-0.00056179-0.0047294i,0.0030021-0.00063978i,0.0048006-0.0028122i,0.0027221+0.029899i,0.0040153-0.0035065i,0.0029244-0.0016008i,0.0083266-0.0013254i,-0.0048763-0.0022861i,-6.2148e-05+0.0010613i,0.0095245+7.2577e-05i,0.0046095-0.0024612i,-0.00134+0.008973i,-0.018478-0.0066327i,-0.018593+0.015441i,-0.0033415-0.06071i,-0.005218-0.026824i,-0.026551-0.03278i,-0.010872-0.026879i,0.054897-0.020477i,0.016769-0.042617i,0.02237-0.049099i,0.005478-0.054957i,0.02637-0.021084i,0.0082004+0.0060381i,0.024865-0.033916i,-0.0080356-0.0066972i,0.0039729-0.0047748i,-0.0044687-0.0071811i,-0.0020383-0.03338i,-0.018152+0.029906i,0.0085985-0.011823i,-0.0091438-0.0040509i,-0.0042595-0.0016044i,0.00073302-0.013049i,-0.011144+0.0044944i,0.002355+0.010148i,-0.0049664+0.027226i,0.0050803+0.0024667i,-0.0052563-0.0019191i,-0.0022484-0.0021147i,-0.012996-0.0075384i,-0.00058343-0.0041232i,-0.03612+0.0014248i,0.0011437-0.01079i,-0.0082523+0.00011431i,-0.0067639-0.002283i,0.005315+0.0011947i,-0.0080032-0.00019042i,0.002245-0.00012544i,0.003758+0.0070848i,0.0043227+0.00035751i,-0.008337-0.013286i,0.0029629+0.0091316i,-0.015179+0.0047516i,0.0068288+1.8298e-05i,-0.022451+0.00043865i,-0.017541+0.0060584i,-0.0091382-0.066814i,0.0083398-0.013064i,-0.049359-0.022806i,-0.021479+0.0012125i,0.017371+0.01154i,-0.022987+0.01479i,-0.019491-0.0052427i
-0.039208+0.032338i,-0.015387+0.018607i,-0.020791+0.042113i,-0.026876+0.013747i,-0.0042709+0.02105i,-0.00063814+0.0077113i,-0.029591+0.017222i,-0.0037335+0.029488i,0.0080935+0.018516i,-0.0059952-0.0066347i,0.0027713+0.0033241i,0.0076648-0.00025566i,0.0052924+0.00027385i,-0.00065578+0.0033963i,0.00070815+0.0021173i,0.0064805-0.0048074i,-0.0064127-0.00095757i,-0.0032759-0.00038387i,0.0043204-0.0013888i,-3.4135e-05-0.0009449i,0.0026067-0.0051956i,0.0016932-0.0027007i,0.0013701-0.002444i,-0.0095094-0.011158i,-0.00070998+0.0024415i,-0.0015321+6.3977e-05i,-0.0040598-0.0013664i,-0.0029244-0.00015063i,-0.00083517-0.0015186i,-4.2236e-05-0.00058944i,-0.00095162+0.0039863i,0.00075671+0.001005i,0.0016873+0.00062506i,-0.00061959+0.00074485i,-0.0029342+0.0030622i,-0.0010241-0.0071647i,-0.0026824+0.0010037i,0.00069615-0.00066359i,-0.0017095+0.0038352i,0.0037055+0.0027493i,-0.00047879-0.0015463i,-0.00076507-0.003004i,-0.0036216-0.00032352i,0.0041098-0.00049634i,-0.01526+0.024499i,0.0079492-0.035922i,-0.053197+0.0045052i,0.0075692-0.031853i,-0.031205-0.049071i,-0.029077-0.019901i,-0.061922+0.021367i,-0.037768+0.0013896i,-0.033807-0.006128i,-0.029053-0.021432i,-0.038811-0.022735i,-0.0050844+0.0028948i,-0.027648+0.0096293i,0.0060804+0.018823i,0.0027668+0.0081811i,-0.0026677-0.0050503i,0.0021006+0.0017146i,-0.010789-0.003382i,0.0059093+0.011828i,-0.00049949+0.0060235i,-0.0017127-0.0015201i,0.001246+0.0020385i,0.0038131-0.0011038i,-0.0033045+0.01839i,0.0029224+0.01489i,0.0042598+0.00013275i,0.009673-0.0064679i,0.0044055+0.0031324i,-0.0088628-0.007317i,-0.00078792-0.0028568i,0.026173-0.034307i,0.008037+0.01027i,0.005087+0.0025114i,-0.002855+0.0030487i,0.0037302-0.0053761i,0.020663+0.0086164i,0.0031896+0.0028689i,6.7404e-05-0.006484i,0.00093683-0.0030542i,0.014178+0.0078292i,0.00466+0.0018621i,0.0028778-0.0045235i,0.0041454+0.0085217i,-0.00040213+0.0011904i,0.0089084+0.0034715i,-0.044985-0.012432i,-0.0058977+0.011283i,-0.0020946-0.0048125i,-0.0066775+0.0058993i,-0.037145+0.012276i,-0.0054769+0.0072624i,-0.0096575+0.013423i
-0.033469+0.037967i,-0.012365+0.01815i,-0.010216+0.037806i,-0.023908+0.016637i,-0.0013743+0.019102i,0.00072103+0.0076045i,-0.02825+0.022102i,0.0019795+0.028601i,0.010345+0.013022i,-0.0072307-0.0035179i,0.003803+0.0036i,0.0067823-0.0028364i,0.0047915-0.0017248i,0.0016124+0.0039302i,0.0010098+0.0021163i,0.0022102-0.0044932i,-0.0076933+0.002867i,-0.0029453+0.00079033i,0.0043557-0.0025253i,0.00020051-0.00093146i,0.00088743-0.0052601i,0.0013602-0.0024694i,0.00072991-0.00252i,-0.011598-0.008073i,0.00043509+0.0018575i,-0.0015964+0.00048015i,-0.003716+0.0003391i,-0.0021816+0.00064528i,-0.0013763-0.0013704i,6.0718e-05-0.0005108i,0.00067862+0.0041046i,0.0003249+0.00091664i,0.0014033-0.00031695i,-0.00076855+0.000939i,-0.0027216+0.0033982i,-0.0010577-0.0063307i,-0.0021795+0.0015658i,-0.00031031-0.0011213i,-0.00092024+0.0044342i,0.0034462+0.00054078i,-0.00079391-0.0013638i,-0.0023774-0.0027609i,-0.0036773+0.00085924i,0.0042611-0.0015316i,-0.011155+0.023523i,-0.005281-0.041663i,-0.046716+0.014804i,-0.00192-0.039198i,-0.045737-0.043066i,-0.029844-0.013134i,-0.050372+0.032842i,-0.034993+0.0099047i,-0.024666-0.0084981i,-0.030817-0.017118i,-0.044284-0.007546i,-0.0042127+0.0027092i,-0.023247+0.021225i,0.01122+0.013038i,0.005365+0.0050186i,-0.0079016-0.0080071i,-0.0010586+0.0034697i,-0.010632+0.0034791i,0.010634+0.0081352i,0.00056563+0.0077255i,-0.0020157-0.00023012i,0.0021329+0.0030383i,0.0040098-0.001556i,0.0052876+0.014843i,0.0086056+0.0088743i,-7.3801e-05-0.0031547i,0.003405-0.0076955i,0.0048573+0.0026433i,-0.011602+0.00094145i,-0.0024171-0.00080364i,0.0094223-0.037187i,0.012084+0.0079134i,0.0069932-3.5009e-05i,0.00054852+0.0028007i,-0.00011115-0.0031161i,0.022047-0.0014086i,0.0033297+0.0012769i,-0.0032738-0.0050851i,-0.0029545-0.0016861i,0.013908+0.0016334i,0.0047297+0.0018639i,0.00093513-0.0033095i,0.0067112+0.0067749i,-0.00030722+0.0025977i,0.0093779+0.00027467i,-0.047586-0.0077204i,-0.00045912-0.0030206i,-0.00097056-0.0045772i,-0.0043437+0.0056107i,-0.03075+0.023376i,-0.0033073+0.0081331i,-0.0055428+0.014269i
-0.02648+0.042439i,-0.010222+0.018136i,-0.0053481+0.03141i,-0.020966+0.019386i,0.0019764+0.018134i,0.002273+0.0070345i,-0.024492+0.027545i,0.007426+0.026321i,0.0096845+0.0090471i,-0.0072988-0.00052787i,0.0056796+0.0029583i,0.0027612-0.003849i,0.0036783-0.0029069i,0.0023212+0.0034226i,0.0015139+0.0020454i,-0.0011478-0.0019514i,-0.0064165+0.0070591i,-0.0017062+0.0014404i,0.0037859-0.0044265i,0.00048799-0.0015464i,-0.00066935-0.0049787i,0.001426-0.0029345i,0.0002597-0.0025306i,-0.013675-0.0050208i,0.00095246+0.0013982i,-0.0010955+0.0012488i,-0.0027429+0.00082552i,-0.0010322+0.0011925i,-0.0016006-0.0010569i,-0.00022479-0.00080643i,0.0021616+0.0033324i,0.00042458+0.0010605i,0.00089583-0.00063721i,-0.00048918+0.00089633i,-0.0010497+0.0045983i,-0.00077931-0.006521i,-0.0019603+0.0019104i,-0.0011795-0.0010139i,0.0019209+0.0031016i,0.002512-0.00051743i,-0.0010595-0.00098698i,-0.0020444-0.0010441i,-0.0034037+0.0018346i,0.003653-0.0033833i,-0.0083473+0.023295i,-0.021398-0.039981i,-0.036895+0.020908i,-0.013656-0.040864i,-0.05386-0.033466i,-0.026402-0.0073834i,-0.034592+0.038839i,-0.023277+0.015191i,-0.02682-0.012265i,-0.031241-0.013157i,-0.041786+0.0067645i,-0.0035707+0.0029404i,-0.012222+0.028528i,0.013143+0.0071547i,0.0035322-0.00014668i,-0.017306-0.0055502i,-0.00053284+0.0047878i,-0.0061993+0.0073123i,0.012186+0.0020628i,0.003386+0.0077431i,-0.0036501+0.0016975i,0.0023138+0.0012618i,0.0038482-0.0031225i,0.0080671+0.0076381i,0.0085978+0.0032648i,-0.0044475-7.2758e-05i,0.00044885-0.0060589i,0.0065222+0.001626i,-0.0071658+0.0098578i,-0.00046304+0.0012425i,-0.0035011-0.033335i,0.015962+0.0014458i,0.0058349-0.0026492i,0.00092771+0.0015675i,-8.1703e-05-0.0013543i,0.017416-0.0090398i,0.0019038+0.002886i,-0.0050268-0.0026203i,-0.0034103+0.0024233i,0.010703-0.0025505i,0.0086968-0.00033948i,0.0009477-0.0033418i,0.010176+0.0032679i,0.0030386+0.0024313i,0.0086077-0.0029855i,-0.050215+0.0015497i,-0.0092406-0.011724i,0.0013013-0.007851i,-0.0024868+0.0037216i,-0.0207+0.028107i,-0.003589+0.0033086i,-0.0022956+0.0097263i
-0.01868+0.044981i,-0.007567+0.018992i,-0.0039493+0.026496i,-0.016831+0.022054i,0.0051236+0.015201i,0.0037381+0.0054991i,-0.018298+0.032052i,0.011992+0.022451i,0.0091069+0.007453i,-0.0064113+0.0021792i,0.006663+0.00048874i,0.00060051-0.0012847i,0.0022659-0.0032993i,0.0023341+0.0034054i,0.0018581+0.0016504i,-0.0016879+0.0020407i,-0.0023899+0.010264i,-0.00093953+0.0011981i,0.0020841-0.0051937i,-0.00019387-0.0022357i,-0.0018301-0.0039632i,0.00104-0.0033557i,-0.00030325-0.0027177i,-0.015078-0.00026663i,0.0013147+0.00012644i,-0.00019252+0.00081582i,-0.0023566+0.00072821i,9.5172e-05+0.00065625i,-0.001695-0.00040407i,-0.00063081-0.00051788i,0.0030816+0.0020076i,0.00067915+0.0011056i,0.00019108-0.00086767i,-0.00035199+0.00090244i,0.0010628+0.0039009i,-0.0018128-0.0083368i,-0.0010862+0.002694i,-0.0017787-0.00036936i,0.0017399+0.00029367i,0.0018857-0.00079513i,-0.0010496-0.0005466i,-0.0015909-0.00092406i,-0.0025517+0.0028129i,0.00089603-0.0053784i,-0.0055844+0.023751i,-0.033894-0.028115i,-0.027692+0.021581i,-0.024608-0.037666i,-0.061456-0.022566i,-0.021467-0.0056503i,-0.02079+0.037766i,-0.013302+0.010974i,-0.028214-0.0093499i,-0.031497-0.0083291i,-0.035655+0.016902i,-0.003204+0.0031598i,-0.00015433+0.028898i,0.013431+0.0018072i,-0.0012324-0.00088284i,-0.022691+0.0051929i,-0.00063999+0.0065591i,-0.001794+0.0067146i,0.009114-0.0038031i,0.0060597+0.0066278i,-0.0027436+0.0046724i,0.00022502+0.0017777i,0.0030706-0.0056568i,0.0059592+0.002049i,0.0057087+0.00031293i,-0.0029998+0.0029229i,-0.001436-0.0044701i,0.0067846-0.00065906i,0.0027288+0.011735i,0.00041727+0.00055793i,-0.010711-0.026624i,0.013829-0.0047061i,0.0043319-0.0042412i,0.0019607+0.0027773i,-7.8998e-05-0.0013597i,0.01175-0.012371i,0.0052739+0.0034551i,-0.0056819+0.00025805i,-0.00076681+0.0042962i,0.0081833-0.003249i,0.0081861-0.0059682i,-0.00057744-0.0030968i,0.009563-0.0028503i,0.0029997-0.00077558i,0.007486-0.0063052i,-0.046158+0.012974i,-0.019224-0.010946i,-0.0016826-0.013476i,-0.0017941+0.0010002i,-0.012552+0.028062i,-0.0073819+0.0031829i,-0.0028916+0.0084684i
-0.011406+0.046182i,-0.0053407+0.018701i,-0.0047976+0.02422i,-0.012177+0.023308i,0.0067001+0.011924i,0.0040276+0.0037314i,-0.010838+0.033836i,0.014977+0.017814i,0.009792+0.0063307i,-0.0042492+0.0040293i,0.0057131-0.0013808i,0.0011052+0.00070787i,0.001242-0.0033565i,0.0036456+0.0037253i,0.0021569+0.0011953i,6.1994e-05+0.0048138i,0.0026292+0.010993i,-0.0006896+0.0010454i,0.00077039-0.0053833i,-0.0011702-0.0021658i,-0.0026421-0.0031858i,0.0002087-0.003505i,-0.0011756-0.0025546i,-0.012633+0.0043393i,0.00032628-0.0011753i,-0.00027911+5.7713e-05i,-0.0018487+0.00098443i,0.00024061-0.00038353i,-0.0016133+9.132e-05i,-0.00035888-0.00019285i,0.0031965+0.0005662i,0.0013618+0.0004578i,-0.00050148-0.00047056i,-0.00035567+0.00096125i,0.001646+0.0028165i,-0.0048785-0.0092807i,-0.00016015+0.0027031i,-0.0017974+0.00072055i,-2.1424e-05-0.00022197i,0.0012113-0.00060771i,-0.00094372-0.0003473i,-0.0017749-0.00083096i,-0.0011591+0.0032255i,-0.0020762-0.0037556i,-0.0018688+0.024693i,-0.034538-0.013426i,-0.021619+0.019796i,-0.033941-0.031037i,-0.066634-0.0075226i,-0.018539-0.0080384i,-0.0096659+0.033177i,-0.0089644+0.0056066i,-0.027963-0.0077459i,-0.030364-0.0050181i,-0.028691+0.024732i,-0.0026343+0.0032693i,0.012163+0.024228i,0.012329-0.002656i,-0.0045725+0.0017469i,-0.020801+0.014985i,0.001579+0.0078038i,0.00088503+0.0070082i,0.0028827-0.0047619i,0.0080802+0.0046159i,-0.00053617+0.0062716i,0.0001417+0.0039452i,0.0010616-0.0070046i,0.0014789+0.0024259i,0.0029858+0.00083828i,-0.0022774+0.0043414i,-0.002502-0.0022742i,0.005898-0.0028561i,0.0081641+0.0070352i,0.0006024+1.4059e-06i,-0.014856-0.023743i,0.010006-0.0084632i,0.0022709-0.0053215i,0.005102+0.0020821i,-0.00035574-0.00068083i,0.0074437-0.013244i,0.0076797+0.00060224i,-0.0040528+0.0036423i,0.0020778+0.0040564i,0.0077147-0.0041101i,0.003224-0.010796i,-0.00066414-0.0022811i,0.0050228-0.0061333i,0.00084813-0.0016492i,0.003803-0.0096939i,-0.037618+0.018165i,-0.027561-0.0030215i,-0.0067846-0.015121i,-0.0028825-0.001648i,-0.0071443+0.026895i,-0.010077+0.0060475i,-0.0019436+0.0089185i
-0.00424+0.046528i,-0.0034811+0.018963i,-0.0050871+0.025153i,-0.007747+0.023105i,0.0067934+0.0089067i,0.0041137+0.0026174i,-0.0028393+0.033066i,0.016483+0.013324i,0.010814+0.0041046i,-0.0023936+0.0041192i,0.0039293-0.0022659i,0.0021786+0.0015823i,0.00011083-0.0032288i,0.0052499+0.002409i,0.0021785+0.00069807i,0.0027448+0.0058687i,0.0076433+0.0091409i,-0.00041015+0.0011842i,-0.0010508-0.005435i,-0.001961-0.0016223i,-0.0028541-0.0020153i,-0.00036987-0.0035663i,-0.00177-0.0020034i,-0.010475+0.0060019i,-0.0008705-0.00089878i,-0.00084973-4.9474e-05i,-0.0015428+0.0012271i,-0.00020553-0.0013131i,-0.0012979+0.00051521i,-0.00026598-0.00027964i,0.0028898-0.0006122i,0.0013928-0.00052849i,-0.00069701-5.3553e-05i,-0.00012044+0.00095938i,0.0018107+0.0022721i,-0.0084582-0.0084847i,0.00037173+0.0022651i,-0.0012147+0.0013464i,-0.0010981+0.00038815i,0.000967-0.00029965i,-0.00075045-3.6819e-05i,-0.0019452-0.00020936i,-2.9302e-05+0.0027971i,-0.0030109-0.0012338i,0.0023549+0.025342i,-0.029222-0.0056004i,-0.017767+0.018337i,-0.039372-0.020356i,-0.06381+0.011076i,-0.02212-0.010987i,-0.002849+0.026716i,-0.0065948+0.0010909i,-0.027291-0.0049602i,-0.030308-0.0018741i,-0.020545+0.028863i,-0.0029832+0.0036221i,0.018566+0.010773i,0.010423-0.007321i,-0.0056194+0.0058268i,-0.013496+0.023192i,0.0040251+0.0068278i,0.0045776+0.0049005i,0.00019389-0.0015839i,0.0099049+0.0010475i,0.0016324+0.007365i,0.0016004+0.0050278i,-0.003776-0.0089609i,0.00080034+0.0060321i,0.0030402+0.0021635i,0.00042649+0.0073951i,-0.0017155-0.00046531i,0.0043454-0.0036737i,0.0098555+0.0018699i,0.00092235-0.00085298i,-0.022441-0.02172i,0.0056414-0.010316i,-0.00018509-0.0054692i,0.0048389-0.00085928i,3.7998e-05+0.00048694i,0.0051222-0.012762i,0.0074315-0.0028793i,-0.0011859+0.004796i,0.0035853+0.0018541i,0.0059343-0.005899i,-0.0033733-0.010254i,-0.0010009-0.0024919i,0.0018259-0.0052034i,0.00057398-0.0024735i,-0.0013169-0.0094756i,-0.03202+0.020818i,-0.025139+0.010884i,-0.011564-0.014615i,-0.0052991-0.00226i,-0.0032723+0.025867i,-0.0089629+0.010686i,0.0015188+0.0079391i
0.0030042+0.045843i,-0.00095047+0.019636i,-0.0034291+0.027218i,-0.0045318+0.021791i,0.0058747+0.0072335i,0.0042531+0.0015212i,0.0039978+0.030232i,0.016881+0.0093748i,0.011383+0.0019377i,-0.0013557+0.004172i,0.0027363-0.0017011i,0.0043091+0.0019379i,-0.00092914-0.0027139i,0.0056193-0.00030954i,0.0019951+0.00032391i,0.0052031+0.0052908i,0.010776+0.005146i,-1.9115e-05+0.0013478i,-0.0024492-0.0047573i,-0.0023745-0.00069235i,-0.0024393-0.00088569i,-0.0012425-0.0035032i,-0.0021495-0.0013812i,-0.0092126+0.0087457i,-0.0013514-0.00031893i,-0.0012555+0.00045131i,-0.001192+0.0015741i,-0.0013947-0.0017001i,-0.00098975+0.00053151i,-0.00044103-0.00043142i,0.0022676-0.0015442i,0.0012288-0.00079195i,-0.00025092+3.6818e-05i,9.9721e-05+0.00090545i,0.0023574+0.0011666i,-0.011758-0.0064585i,0.00090206+0.0020567i,-0.00075234+0.0014033i,-0.0010921+0.001015i,0.00099884-0.00022713i,-0.00047232+0.00015601i,-0.0013846+0.00027909i,0.00045597+0.0021208i,-0.002721+0.00018782i,0.0075142+0.024222i,-0.025486-0.0043371i,-0.014862+0.017573i,-0.03931-0.010345i,-0.054019+0.026193i,-0.025584-0.008473i,0.001523+0.021555i,-0.0069538-0.003069i,-0.025813-0.0031038i,-0.028976+0.0027718i,-0.012903+0.031848i,-0.0018687+0.0038304i,0.013125-0.0012718i,0.0059747-0.011158i,-0.0039713+0.0090239i,-0.0044671+0.025116i,0.0050516+0.0047311i,0.0051963+0.00078509i,0.0013325-0.00022267i,0.0091426-0.0021357i,0.0061862+0.006746i,0.0034464+0.0060104i,-0.0081611-0.0034141i,0.0038758+0.0079097i,0.0041489+0.0025142i,0.004573+0.0068307i,-0.001235-4.022e-06i,0.0034348-0.0043938i,0.0097048-0.0046075i,-0.00076801-0.0011162i,-0.030902-0.013158i,0.0018885-0.010388i,-0.0021602-0.0040815i,0.0049951-0.00065834i,0.00045366+0.00037541i,0.003524-0.014972i,0.005524-0.0055266i,0.0011135+0.0038503i,0.0036061+0.00077026i,0.0047655-0.0067654i,-0.0068498-0.006007i,-0.0023549-0.0023337i,-0.00051791-0.0049434i,-0.001065-0.0031534i,-0.0041577-0.007391i,-0.025863+0.022748i,-0.018638+0.012051i,-0.012456-0.01303i,-0.0069607-0.0012916i,0.0010708+0.023885i,-0.0074301+0.012293i,0.0021012+0.0054585i
0.0098824+0.044045i,0.0022913+0.020101i,0.00030897+0.029648i,-0.0019699+0.02146i,0.0050314+0.0067358i,0.0039065+0.0006268i,0.0094283+0.026277i,0.016814+0.0061689i,0.011763-0.0010247i,-0.0002807+0.0042012i,0.002731-0.001113i,0.0063149-0.00022788i,-0.001692-0.0018246i,0.0038624-0.0015899i,0.0019659+0.0001928i,0.007146+0.0034973i,0.011689+0.00089648i,0.00058192+0.00096372i,-0.0035712-0.0038354i,-0.0020953+0.00049456i,-0.00169-0.00028535i,-0.0020503-0.0027138i,-0.0023555-0.00076376i,-0.0050882+0.010812i,-0.0016647+0.00033091i,-0.0010495+0.0011163i,-0.0007286+0.0019084i,-0.0026885-0.0010344i,-0.00090554+0.00053509i,-0.00071065-0.00035318i,0.0013123-0.0021309i,0.0012641-0.001812i,-0.00036778-4.5616e-05i,0.00021658+0.00081882i,0.0020385+4.0915e-05i,-0.014205-0.0024936i,0.0013406+0.0015827i,-0.00038876+0.0016463i,-0.0010537+0.0012517i,0.0011954-7.3794e-05i,-9.1791e-05+6.8541e-05i,-0.00093677+0.0004711i,0.00050802+0.0016266i,-0.0020127+0.0013392i,0.011645+0.021099i,-0.025773-0.0037528i,-0.012989+0.016424i,-0.038677-0.0020407i,-0.040716+0.03414i,-0.028729-0.0052067i,0.0054255+0.015801i,-0.008144-0.0046272i,-0.024892-0.0018971i,-0.026506+0.0072185i,-0.0042447+0.033073i,-0.00084476+0.0036607i,0.0063846-0.0029905i,0.00054245-0.012473i,0.00012135+0.012122i,0.0035256+0.022798i,0.0047464+0.0025651i,0.0036736-0.0023369i,0.00075615+9.475e-05i,0.0072701-0.0055044i,0.0094149+0.0031924i,0.0060958+0.0056407i,-0.0077635+0.00073726i,0.0071443+0.0079228i,0.0056404+0.002434i,0.0084149+0.0044947i,-0.00078159+0.00073432i,0.0030955-0.0052411i,0.0057369-0.0086347i,-0.00098398+0.0010275i,-0.034525-0.00060111i,-0.00087823-0.009661i,-0.0029926-0.0021273i,0.0056319-0.0015571i,0.00055026+0.0001245i,-0.00087088-0.017591i,0.0028027-0.0068421i,0.0025994+0.0031769i,0.0038838-0.00042464i,0.0042543-0.0079552i,-0.0087414-0.003186i,-0.0037095-0.00053581i,-0.0030849-0.0035768i,-0.0022703-0.002876i,-0.0056281-0.0052986i,-0.02055+0.022743i,-0.016993+0.012562i,-0.013309-0.01357i,-0.0077463+0.00045402i,0.0029267+0.02311i,-0.006335+0.012946i,0.0025707+0.0040438i
0.016722+0.041358i,0.0064162+0.01957i,0.0063968+0.030603i,0.00086973+0.021022i,0.0053635+0.0071814i,0.0037094+0.00018675i,0.013206+0.021033i,0.016761+0.0032539i,0.011037-0.0040377i,0.00062913+0.0038274i,0.0029484-0.0016662i,0.0056983-0.0035219i,-0.0019714-0.00085285i,0.0029616-0.0017549i,0.0020314-2.3152e-05i,0.0076143+0.00091139i,0.010714-0.0031687i,0.00046753+0.00043094i,-0.0047066-0.0024465i,-0.0011781+0.0010338i,-0.0009014-0.0004352i,-0.0022553-0.0019684i,-0.0023351-3.3868e-05i,-0.00099482+0.010768i,-0.0015584+0.00099799i,-0.00053695+0.0014509i,0.00016943+0.0019984i,-0.0032116+0.00027147i,-0.00074104+0.00044138i,-0.00083589-0.00017473i,0.00024589-0.002231i,-1.3526e-05-0.002395i,-0.0004873+0.00016008i,0.00032666+0.00073531i,0.0013777-0.00063777i,-0.014455+0.0024243i,0.0014478+0.0010561i,0.00027532+0.0016401i,-0.00089986+0.0016516i,0.0013605-0.00032524i,1.2119e-05-0.00022603i,-0.00039272+0.00030282i,0.00027525+0.0013265i,-0.001148+0.0019299i,0.014235+0.018271i,-0.028283+3.5271e-05i,-0.011395+0.015675i,-0.033641+0.0064433i,-0.028226+0.038424i,-0.030912+0.0018705i,0.0077547+0.0086002i,-0.0065654-0.0065962i,-0.02385+0.00049305i,-0.022175+0.011929i,0.0038111+0.031851i,-0.00051503+0.0027933i,0.00257-0.0032643i,-0.0051893-0.011929i,0.0064119+0.011487i,0.008336+0.018009i,0.0030119+0.001175i,0.0017174-0.0042123i,0.0017644+0.0026624i,0.0035129-0.0074191i,0.01035-0.0023301i,0.0084689+0.0036496i,-0.0071133+0.0044306i,0.011339+0.0060364i,0.0077929+5.0131e-05i,0.010149-0.00056036i,0.00013004+0.0012682i,0.0015666-0.005985i,-0.00040472-0.0093335i,0.00093004+0.0023695i,-0.033014+0.012785i,-0.0031105-0.0088417i,-0.0025701-0.00018704i,0.0054669-0.0057746i,0.0011384+0.00068934i,-0.0078297-0.01703i,-6.9876e-05-0.0065498i,0.0037866+0.0016645i,0.0035604-0.00075705i,0.0021878-0.0093612i,-0.0090396+0.0022765i,-0.003253+0.0017752i,-0.004696-0.0016875i,-0.0035943-0.0026661i,-0.0061201-0.0032265i,-0.017633+0.022923i,-0.01612+0.016987i,-0.016243-0.015834i,-0.0055959+0.0022564i,0.0070004+0.022857i,-0.0057947+0.014959i,0.0036874+0.0013902i
0.023011+0.037498i,0.01031+0.017719i,0.012762+0.028319i,0.0038415+0.02007i,0.0066334+0.0072294i,0.0039482-0.00011942i,0.014991+0.015881i,0.016287+0.00048982i,0.0096093-0.006454i,0.0011848+0.003595i,0.0025959-0.0021831i,0.0031884-0.0051283i,-0.0019528+2.0265e-05i,0.0020266-0.0018336i,0.0019938-0.00029488i,0.0067403-0.0012324i,0.0084067-0.0059268i,0.00034353+0.00035552i,-0.0048665-0.00069224i,-0.0003811+0.00095476i,-0.00041492-0.00082283i,-0.0023275-0.0016159i,-0.0019887+0.00053501i,0.0019621+0.0098883i,-0.001188+0.0014029i,-2.0801e-05+0.0016527i,0.00074883+0.001397i,-0.0028385+0.0017172i,-0.00071869+0.00030855i,-0.0011285+0.000116i,-0.00067652-0.0019027i,-0.001422-0.0019993i,-0.00030415+0.00032366i,0.00051644+0.00066411i,0.00061597-0.00095385i,-0.012722+0.0067581i,0.0014941+0.0005811i,0.00067212+0.0011877i,-0.00032829+0.002167i,0.0013687-0.0009071i,-5.0863e-05-0.00039408i,-0.00025244-0.00036692i,9.8721e-05+0.0014001i,-0.00028342+0.0020764i,0.016506+0.01586i,-0.02772+0.0070224i,-0.011116+0.015175i,-0.027044+0.0099627i,-0.015261+0.039748i,-0.028944+0.010903i,0.0062501+0.0015758i,-0.0070439-0.011707i,-0.020324+0.0020698i,-0.015123+0.015843i,0.012208+0.027669i,-0.00086075+0.0026346i,-0.0014381-0.0022256i,-0.0098491-0.0085908i,0.010575+0.0070448i,0.011184+0.014147i,6.7811e-05+0.0018517i,-0.00063174-0.0063114i,0.0054431+0.0014168i,-0.0004156-0.0069622i,0.0073263-0.0062257i,0.0097814+0.00011883i,-0.005595+0.0070195i,0.014247+0.00018988i,0.0076293-0.0046635i,0.0086555-0.0056091i,0.0014122+0.0012107i,-0.00036978-0.0062158i,-0.0041886-0.0058399i,0.0028493+0.0012339i,-0.024955+0.026611i,-0.0053623-0.0076172i,-0.001298+0.00091178i,0.0012973-0.0073324i,0.0021583+0.00045276i,-0.014012-0.01297i,-0.0015148-0.004609i,0.0038866-0.00057832i,0.0031343-0.0014071i,-0.00080272-0.0091187i,-0.0052845+0.0065714i,-0.0018052+0.0031419i,-0.0049245+0.001805i,-0.0054725-0.0020087i,-0.0061487-0.0019789i,-0.013105+0.025879i,-0.0076254+0.021189i,-0.02227-0.015258i,-0.0030102+0.00081312i,0.0102+0.020693i,-0.0031847+0.017819i,0.0027853-0.0021727i
