-0.0083064-0.039311i,-0.013182-0.042919i,0.00087993-0.045454i,-0.028035-0.027148i,-0.020136+0.014355i,-0.032967-0.030849i,-0.059969-0.059475i,-0.022818-0.072865i,-0.034268-0.050059i,0.0016362+0.014953i,-0.00676+0.0095723i,-0.014732+0.013738i,0.0016078+0.016255i,-0.0039423-0.003467i,0.00068006+0.0059542i,0.00054312+0.037007i,0.019874+0.058327i,0.0013482-0.00040301i,-0.0052463-0.008356i,0.008126+0.0045954i,0.0016214+0.0007708i,-0.00087553+0.0035871i,2.3126e-05-0.0014019i,-0.035316-0.0088022i,-0.0022491-0.0073552i,-0.00030691+0.0043769i,0.0048207+0.00016425i,0.00016366+0.0012255i,-0.00010788-0.00091473i,9.4538e-05-0.0028907i,-0.0011192-0.0056838i,-0.0023179-0.0038842i,-0.00056838-0.0079065i,0.00326-0.0011909i,0.0031735-0.0025049i,-0.00075439+0.033601i,0.0057927-0.0042684i,0.0035132-0.0022604i,0.0047513+0.00023424i,-0.013157-0.0036923i,-0.00014925+0.00032507i,0.010166-0.00084527i,0.0057853-2.0526e-05i,-0.0030114+0.0040174i,0.0028506+0.0024272i,-0.0034109+0.0075154i,0.012927-0.087308i,-0.006235-0.048356i,-0.024609-0.040452i,-0.020651-0.041728i,0.062228-0.018586i,0.026597-0.061671i,0.038385-0.04537i,0.029034-0.057223i,0.019315-0.014899i,0.008068+0.0097935i,0.024477-0.033975i,-0.0076174-0.0046603i,0.0024032-0.0032575i,-0.0049977-0.0062331i,0.0010764-0.031958i,-0.024324+0.031063i,0.0075984-0.0099697i,-0.010669-0.0013948i,-0.0051105-0.001025i,-0.0013515-0.013617i,-0.010225+0.0043273i,0.0039933+0.0078961i,-0.010444+0.030967i,0.0060414+0.007039i,-0.0051966-0.0012963i,-0.0016669-0.001678i,-0.011368-0.0073929i,0.00097613-0.0041987i,-0.034903+0.0051986i,0.0024641-0.012394i,-0.0090388-0.0021498i,-0.0064834-0.0025779i,0.0063785+0.0015225i,-0.0094716+0.0012161i,0.0011625+0.00045584i,0.0051307+0.0089241i,0.0044391+0.00043022i,-0.0092876-0.0096838i,0.0027716+0.0086407i,-0.019145+0.0065543i,0.0069815+0.0030221i,-0.028961-0.0077689i,-0.033895+0.0032469i,0.024124-0.078695i,0.012192-0.010486i,-0.04338-0.026566i,-0.022316-0.003328i,0.018402+0.012247i,-0.026527+0.012392i,-0.011427-0.0085772i
-0.032832+0.0015677i,-0.046376+0.017836i,-0.04819+0.0421i,-0.028926+0.0058422i,-0.0048933+0.014074i,-0.007973+0.031049i,-0.028997+0.018218i,-0.057481+0.024215i,-0.020169+0.021629i,0.0012589-0.0090968i,0.0018402-0.0015137i,0.003588+0.00068703i,0.0030646+0.0087855i,-0.0039875+0.001834i,0.0017509+0.0022635i,0.00086955-0.0090761i,-0.011885-0.0081889i,-0.0044185+0.00036836i,0.0039891-0.002808i,0.0012832-0.0014685i,0.0019507-0.004429i,0.0019419-0.0041822i,0.002047-0.0034095i,-0.010739-0.011096i,-0.0022329-0.00031864i,-0.0040882-0.0002104i,-0.0032987-0.0011767i,-0.0051818-0.0017057i,-0.0010632-0.0024839i,0.0011537-0.0017663i,-0.0039022+0.0044964i,0.0012389+0.0017376i,0.0022429+0.0016954i,0.0013776+0.00071227i,-0.0017425+0.0029527i,-0.0033394-0.008266i,-0.0030705+0.0014284i,0.0012199-0.00014514i,-0.00084518+0.0041103i,0.01008+0.0064868i,0.0013198-0.0024992i,0.00081925-0.00018049i,-0.0042808-0.0043584i,0.0019337+0.0036713i,-0.019398-0.016016i,-0.00096592-0.061975i,-0.088682-0.0090993i,-0.020473-0.019428i,-0.048933-0.041388i,-0.043953-0.0060097i,-0.093696+0.014274i,-0.062712+0.0013549i,-0.036972-0.028405i,-0.030553-0.054579i,-0.034062-0.025047i,-0.00050438+0.0016334i,-0.026182+0.013344i,0.0044676+0.016929i,0.004547+0.0079592i,-0.00087249-0.0074108i,0.0082335+0.0038521i,-0.010619-0.0043856i,0.0027085+0.011382i,-0.00087186+0.007227i,-0.00076961-0.0028914i,0.0052696+0.0019505i,0.0034148-0.00080765i,-0.0041253+0.019818i,-0.00031138+0.012764i,0.000375-0.0043905i,0.010528-0.0071424i,0.0030842+0.0031585i,-0.0085387-0.0078148i,-0.0020598-0.0014105i,0.026121-0.033299i,0.0087062+0.0082575i,0.0040753+0.0026739i,-0.0022126+0.0025165i,0.0027963-0.0040668i,0.020273+0.0021961i,0.0011974-0.0019024i,-0.00087524-0.0064851i,0.0012791-0.0027087i,0.012262+0.0050956i,0.0054997+0.00033192i,0.0027826-0.0056975i,0.0042052+0.0071509i,0.0044878+0.0029048i,0.01712+0.00097156i,-0.06633-0.042128i,-0.0087341+0.010697i,-0.0059257-0.0042356i,-0.0062981+0.0029251i,-0.036296+0.010091i,-0.0050224+0.0076664i,-0.015583+0.0041244i
-0.030525+0.0053478i,-0.042809+0.02212i,-0.035829+0.044404i,-0.027252+0.012389i,-0.0033865+0.011338i,-0.0024982+0.031005i,-0.026815+0.022645i,-0.049421+0.031996i,-0.015153+0.017826i,-0.0014354-0.0081176i,0.001444-0.00085884i,0.0033967-0.0012229i,0.0052502+0.0059294i,-0.0020904+0.0037128i,0.0021056+0.0023521i,-0.0044271-0.006315i,-0.016827-0.0011021i,-0.0037389+0.0020947i,0.0040204-0.0033095i,0.0012222-0.0019928i,0.00065078-0.0043854i,0.0019507-0.0030275i,0.0015677-0.0034748i,-0.012435-0.0064292i,-0.0019886-1.4388e-05i,-0.0042413+0.0013056i,-0.0029919+0.00027737i,-0.0046217+0.00021757i,-0.001783-0.002494i,0.00073668-0.0017315i,-0.0020372+0.0059952i,0.0014048+0.0014745i,0.0023867+0.00052681i,0.00037381+0.00041646i,-0.0020745+0.0025873i,-0.0036424-0.0069233i,-0.0027542+0.0019219i,-0.00022992-0.0006849i,-0.00054292+0.0048552i,0.010285+0.00053554i,0.00055309-0.0028724i,0.00014473-0.00092347i,-0.0061154-0.0034411i,0.0030094+0.0031812i,-0.020567-0.017947i,-0.019457-0.068051i,-0.08312+0.006987i,-0.027027-0.02188i,-0.061003-0.033403i,-0.041495+0.0037299i,-0.08201+0.034743i,-0.059926+0.014869i,-0.028701-0.028564i,-0.037266-0.050375i,-0.040308-0.010792i,-0.001127-0.0001545i,-0.018541+0.023108i,0.0086487+0.01141i,0.0067833+0.0031268i,-0.0068156-0.012365i,0.0043076+0.0031438i,-0.011125+0.0025521i,0.0071612+0.0087533i,0.0015401+0.008857i,-0.0017323-0.0021883i,0.0061503+0.0025897i,0.0036125-0.00066729i,0.0053093+0.016153i,0.0055416+0.0082931i,-0.0038458-0.005361i,0.0030168-0.0082281i,0.0038128+0.0036066i,-0.011542-9.7408e-05i,-0.002023+0.0011055i,0.010196-0.035862i,0.01104+0.0059782i,0.0065364+0.00098794i,0.00092168+0.0020898i,-0.00031547-0.0019669i,0.017636-0.0068622i,-0.00036413-0.0023985i,-0.0040989-0.00477i,-0.0022824-0.002122i,0.011344+0.0002037i,0.0051236+0.00036468i,0.00087657-0.0037241i,0.0063522+0.0055258i,0.0040813+0.0022456i,0.015312-0.0043213i,-0.072244-0.033075i,-0.0018389-0.0015792i,-0.0064196-0.0039451i,-0.0061257+0.0023567i,-0.030494+0.021132i,-0.0031632+0.0080511i,-0.013751+0.0069389i
-0.027606+0.0078681i,-0.039982+0.02654i,-0.027667+0.043472i,-0.023865+0.01566i,-0.0011516+0.011141i,0.0029108+0.029805i,-0.023045+0.027031i,-0.041227+0.036746i,-0.015536+0.014661i,-0.0035135-0.0064916i,0.0021477-0.00074138i,-0.00020816-0.0022824i,0.005846+0.0037736i,-0.0011336+0.0039358i,0.0027499+0.0024325i,-0.007586-0.00079785i,-0.016564+0.0076701i,-0.0014696+0.0034987i,0.0039672-0.0052301i,0.0012113-0.0028896i,-0.00062833-0.0043294i,0.0022758-0.0042709i,0.0011735-0.0039886i,-0.013421-0.0028616i,-0.0024928+0.00075693i,-0.0032717+0.0031963i,-0.0021779+0.00075783i,-0.0030648+0.0019444i,-0.0024005-0.0021371i,-0.00012306-0.0026154i,0.00044679+0.0063168i,0.0016704+0.0011186i,0.0020174-0.00012792i,0.0006382+0.00017801i,-0.0013971+0.0043139i,-0.0037645-0.0063719i,-0.0027608+0.0024009i,-0.0010347-0.0003809i,0.0035144+0.0040386i,0.0077491-0.0028773i,-0.00038857-0.002771i,0.00040563-0.00013086i,-0.0083589-0.0019851i,0.0038361+0.0014529i,-0.024404-0.018062i,-0.041098-0.064518i,-0.072821+0.018601i,-0.034159-0.020284i,-0.067811-0.020169i,-0.03432+0.010328i,-0.062232+0.048589i,-0.045427+0.027386i,-0.031207-0.033235i,-0.043281-0.046673i,-0.03847+0.002949i,-0.0020183-0.00068148i,-0.0081057+0.026921i,0.0099977+0.006517i,0.0037216-0.0014331i,-0.019252-0.011163i,0.0036035+0.0023397i,-0.0067815+0.0069757i,0.009347+0.0040301i,0.0046284+0.0087795i,-0.0040023+0.00016396i,0.0066546-0.00097098i,0.0040658-0.0025121i,0.0087928+0.0093393i,0.0058453+0.003403i,-0.0083679-0.0016596i,0.00027358-0.0060548i,0.0062553+0.0027945i,-0.0075629+0.0095384i,-0.00032331+0.0023888i,-0.0020811-0.032352i,0.013853+0.00097373i,0.0060576-0.0018654i,0.0010609+0.00098i,0.0004512+0.0002523i,0.011307-0.011315i,-0.0030518+0.00091295i,-0.0058137-0.0021024i,-0.0033863+0.0017804i,0.0080585-0.0029939i,0.0081761-0.0015173i,0.001457-0.0035091i,0.0092978+0.0022439i,0.0061031+0.0010387i,0.012063-0.0088165i,-0.07621-0.019894i,-0.0077317-0.011456i,-0.0051359-0.0048119i,-0.0062332+0.002133i,-0.021008+0.025948i,-0.0024602+0.0035303i,-0.010582+0.0037933i
-0.024882+0.0089387i,-0.036232+0.031943i,-0.021746+0.042453i,-0.019473+0.020018i,0.0025037+0.0085964i,0.0078058+0.02734i,-0.017683+0.030711i,-0.034013+0.03856i,-0.01698+0.015926i,-0.0048059-0.0046032i,0.0021539-0.0021076i,-0.0022752+0.0010232i,0.0054208+0.0018602i,-0.00081944+0.0050738i,0.0031505+0.0019599i,-0.0061307+0.0054801i,-0.01118+0.015202i,0.00016789+0.0026542i,0.0015428-0.0064539i,-6.2137e-05-0.0040936i,-0.0017885-0.0036407i,0.0013372-0.005138i,6.922e-05-0.0049953i,-0.013373+0.0015494i,-0.0017405+0.0010848i,-0.0010036+0.0032295i,-0.0018141+0.00075053i,-0.0011853+0.0020109i,-0.0031782-0.00090197i,-0.0017578-0.0021271i,0.0025564+0.0055149i,0.00163+0.0006835i,0.0013625-0.00056334i,0.00064655+0.00010279i,0.0012235+0.0045477i,-0.0047644-0.0070933i,-0.0016844+0.0035888i,-0.0014601+0.00025015i,0.0040421+0.00020079i,0.0056218-0.0040403i,-0.0008088-0.0024793i,0.0011125-0.00049475i,-0.0094883+0.0013625i,0.0021063-0.0014272i,-0.029608-0.016207i,-0.058273-0.049576i,-0.062746+0.023772i,-0.041128-0.015438i,-0.070693-0.0063972i,-0.026246+0.012175i,-0.043544+0.052019i,-0.029533+0.026836i,-0.035547-0.030636i,-0.04969-0.039922i,-0.033492+0.012581i,-0.0035667-0.00063288i,0.0019288+0.026351i,0.010188+0.0021824i,-0.00092596-0.0020402i,-0.027717+0.0006747i,0.001093+0.0029228i,-0.0025367+0.0075146i,0.0079582-0.00094503i,0.0079344+0.0073646i,-0.0036905+0.0032859i,0.0035973-0.002125i,0.0030702-0.0049728i,0.008055+0.0027121i,0.0033752+0.0011101i,-0.0084071+0.0024483i,-0.0016394-0.0045711i,0.0071603+0.0005439i,0.0026202+0.011148i,0.0011478+0.0017606i,-0.0092158-0.025993i,0.01248-0.0039685i,0.0050997-0.0036109i,0.0019082+0.0020295i,0.0014576-0.00022736i,0.0060695-0.011974i,-3.3783e-05+0.00342i,-0.0063349+0.0010518i,-0.00089477+0.0040022i,0.0055924-0.002852i,0.0070847-0.006399i,-0.0001413-0.0035259i,0.0082636-0.0030472i,0.0056267-0.0022252i,0.0079232-0.012349i,-0.073683-0.0061806i,-0.017806-0.013941i,-0.0062601-0.0076935i,-0.0059087+0.0016689i,-0.013913+0.026424i,-0.0063677+0.0029238i,-0.012795+0.0036283i
-0.023483+0.0097046i,-0.032041+0.036583i,-0.017936+0.042094i,-0.013112+0.021906i,0.0045742+0.0043932i,0.011286+0.024622i,-0.011211+0.032273i,-0.028377+0.04023i,-0.015485+0.019671i,-0.0048692-0.0026965i,0.00060817-0.0025884i,-0.0010527+0.0037167i,0.004767+0.00073188i,0.0015662+0.0061211i,0.0037082+0.0015121i,-0.0019128+0.0085595i,-0.0034752+0.018674i,0.00062419+0.0018183i,-4.7335e-05-0.0058548i,-0.0020357-0.0041083i,-0.0028186-0.0029467i,3.6472e-05-0.0051492i,-0.0020706-0.0049178i,-0.010437+0.0048971i,-0.0019388+0.00084943i,-0.00046471+0.0021229i,-0.0017177+0.0009261i,-0.0001192+0.0011247i,-0.0030942+0.00064823i,-0.0019027-0.00066098i,0.0039581+0.0041653i,0.001649-2.5517e-05i,0.00074312-0.00057226i,0.00035936+5.1742e-05i,0.0022173+0.0032103i,-0.0071675-0.0068598i,-0.00056797+0.0039225i,-0.0013774+0.0013799i,0.0018127-0.0011384i,0.0035048-0.0040587i,-0.0011128-0.0024504i,0.001121-0.0012534i,-0.0083272+0.0044769i,-0.00039686-0.00033303i,-0.03363-0.010941i,-0.062806-0.030158i,-0.056141+0.025788i,-0.047054-0.0076078i,-0.070531+0.0077725i,-0.021307+0.0090833i,-0.027601+0.050836i,-0.019884+0.022887i,-0.037984-0.027552i,-0.053047-0.033209i,-0.026439+0.020458i,-0.0043635+0.00056235i,0.013297+0.021435i,0.0091141-0.00070372i,-0.0045253+0.00024681i,-0.027511+0.013452i,0.0010766+0.0048936i,0.0011677+0.0081125i,0.0039071-0.002456i,0.010457+0.0042802i,-0.0024345+0.0054303i,0.001728-0.00097298i,0.0016185-0.0069263i,0.0037232+0.0012528i,0.0011706+0.0020024i,-0.0076323+0.0076969i,-0.0028807-0.0020808i,0.0070016-0.0021971i,0.0076624+0.0063179i,0.00161+0.00088362i,-0.012856-0.023256i,0.0095641-0.007803i,0.0033952-0.0052335i,0.0045861+0.001493i,0.0015937-0.00048678i,0.002922-0.010826i,0.002512+0.0027987i,-0.0044356+0.0045617i,0.0018982+0.0038984i,0.0051299-0.0029472i,0.0034364-0.010402i,-3.4665e-05-0.0027686i,0.0044731-0.0058938i,0.0031013-0.0038038i,0.0019306-0.014806i,-0.068488+0.0019466i,-0.029179-0.0071289i,-0.0090305-0.0091186i,-0.0056577+0.0009067i,-0.0086974+0.026259i,-0.0093679+0.0053738i,-0.01311+0.0066382i
-0.022576+0.010948i,-0.027039+0.041213i,-0.014688+0.044295i,-0.0072566+0.020512i,0.0034658-0.00061698i,0.014967+0.02222i,-0.0046557+0.031826i,-0.022948+0.042317i,-0.012136+0.021191i,-0.0050358-0.001764i,-0.0013718-0.0019624i,0.0010662+0.0049318i,0.0041093+0.00018621i,0.0037842+0.0049642i,0.0038161+0.00078003i,0.0022808+0.0089312i,0.005288+0.018445i,0.0012202+0.0014841i,-0.0015107-0.0055438i,-0.0038468-0.0031554i,-0.0030614-0.0015642i,-0.00062134-0.0052803i,-0.0032743-0.0034948i,-0.008065+0.0055077i,-0.0025296+0.0017581i,-0.00043921+0.0019511i,-0.0015645+0.0014132i,0.00025136-0.00018512i,-0.0019453+0.001523i,-0.0016381-0.00015736i,0.005161+0.0025785i,0.0013552-0.00067283i,0.00046593-0.00054177i,-9.7849e-05-0.00022863i,0.0027619+0.0027849i,-0.0096023-0.0053145i,0.00033883+0.0034342i,-0.00042501+0.0019984i,0.00065975-0.0013411i,0.0022227-0.0034321i,-0.001726-0.0020305i,0.00044434-0.0017449i,-0.0059679+0.0065199i,-0.00063566+0.0018235i,-0.035757-0.0043282i,-0.058676-0.016854i,-0.052101+0.028478i,-0.049083+0.0043125i,-0.065398+0.023987i,-0.023077+0.0066003i,-0.015729+0.045881i,-0.013036+0.018172i,-0.039561-0.023122i,-0.056709-0.026872i,-0.018714+0.023083i,-0.0048874+0.00235i,0.018022+0.0082976i,0.0082325-0.0044794i,-0.0061259+0.004476i,-0.01959+0.024375i,0.0029051+0.0049244i,0.0061393+0.0060186i,0.0014113-0.00071269i,0.011738-0.00074389i,-9.2079e-05+0.0073918i,0.0014654-6.475e-05i,-0.0031788-0.008513i,0.0018466+0.0036054i,0.0014661+0.0040069i,-0.0016535+0.011869i,-0.0015263+0.00017798i,0.0056396-0.0036994i,0.0093535+0.0016808i,0.0022198-0.0004588i,-0.020435-0.022147i,0.0049641-0.0095667i,0.0004333-0.0058565i,0.0044663-0.00088553i,0.001171-0.00029986i,0.0018603-0.0090591i,0.0037129+0.00079878i,-0.0011346+0.0058037i,0.0032446+0.0015955i,0.0041832-0.0039293i,-0.0031197-0.010552i,-0.0003902-0.0035174i,0.0011305-0.0056126i,0.0020736-0.0048392i,-0.0049606-0.013349i,-0.06561+0.0085907i,-0.02794+0.0074561i,-0.013078-0.0088194i,-0.0065776+0.00058988i,-0.0047415+0.025911i,-0.0086248+0.010363i,-0.0085463+0.0085321i
-0.021599+0.012737i,-0.020674+0.045664i,-0.0092971+0.047439i,-0.0040783+0.017258i,-0.00041571-0.0029823i,0.01859+0.018935i,0.0012605+0.030239i,-0.017701+0.044649i,-0.0086301+0.022816i,-0.0055642-0.00037924i,-0.0020561+0.00021735i,0.0038902+0.0051506i,0.0034805+8.0964e-05i,0.0046734+0.00281i,0.0035685+0.00018919i,0.0057037+0.0076479i,0.012274+0.014165i,0.0016082+0.0012143i,-0.0025956-0.0049813i,-0.0046773-0.0011607i,-0.0024827-0.00057779i,-0.002016-0.0054682i,-0.0036546-0.0022064i,-0.0073351+0.006925i,-0.0021131+0.0028287i,-0.00012909+0.0023131i,-0.0012309+0.0019182i,-0.00089469-0.0011896i,-0.0015788+0.0013458i,-0.0015054+0.00013225i,0.0056567+0.00062653i,0.0011763-0.00092551i,0.00073868-0.00067243i,-0.00012752+3.3679e-05i,0.0038928+0.0010256i,-0.011495-0.002797i,0.0014156+0.0033097i,0.00035138+0.0016216i,-0.00020053-0.0012729i,0.001359-0.0030508i,-0.0019351-0.0013539i,2.2238e-05-0.001688i,-0.0040776+0.0069434i,0.00020698+0.0024518i,-0.035225+0.0018658i,-0.055641-0.011342i,-0.048035+0.033331i,-0.045098+0.014766i,-0.055013+0.036899i,-0.024716+0.0095375i,-0.0072614+0.041364i,-0.0099719+0.012968i,-0.040197-0.018938i,-0.059478-0.018511i,-0.01303+0.024482i,-0.0033214+0.0029602i,0.012004-0.002727i,0.0049346-0.0081384i,-0.0046268+0.0079054i,-0.0085437+0.027927i,0.00345+0.0033969i,0.0081363+0.0010404i,0.0020666-7.0952e-06i,0.0098719-0.0042229i,0.0047959+0.0075049i,0.0016555+0.0015639i,-0.0079245-0.0031447i,0.0031322+0.0053524i,0.0031291+0.0053613i,0.004711+0.010894i,-0.00063143+0.00033911i,0.0044795-0.0051559i,0.0093366-0.0043283i,0.0004145-0.001182i,-0.028818-0.014451i,0.0015894-0.0092291i,-0.0017348-0.0041114i,0.0050491-0.00055277i,0.0011907-0.00063854i,0.0017465-0.010112i,0.0031808-0.0011484i,0.0014803+0.0043678i,0.0034503+0.00068437i,0.0034679-0.003803i,-0.006753-0.0065503i,-0.0023342-0.0038498i,-0.0016553-0.0045707i,0.00033453-0.0060168i,-0.0091363-0.0092711i,-0.061406+0.01606i,-0.02227+0.010218i,-0.012855-0.0065288i,-0.0068436+0.00094036i,0.00033753+0.02385i,-0.0072363+0.012174i,-0.0065048+0.0070666i
-0.02022+0.014448i,-0.01297+0.048974i,-0.0020355+0.050156i,-0.0032115+0.015444i,-0.0044237-0.0023592i,0.021334+0.015095i,0.0064434+0.027597i,-0.01095+0.046923i,-0.004525+0.023392i,-0.0054761+0.0013615i,-0.00083682+0.0019361i,0.006791+0.0029061i,0.003404+0.0001865i,0.0042341+0.0015191i,0.0036357-0.00010048i,0.0082239+0.0045998i,0.015724+0.0087188i,0.002201+0.0001063i,-0.0036761-0.0044899i,-0.0043399+0.00093775i,-0.0017532+1.9603e-07i,-0.0034337-0.0042624i,-0.0036293-0.0011997i,-0.0046244+0.0085534i,-0.001102+0.0039119i,0.00090758+0.0024634i,-0.00075252+0.0024017i,-0.002729-0.0008347i,-0.001469+0.0017448i,-0.0013725+0.00057439i,0.0052282-0.0014644i,0.0010403-0.0016518i,0.00027217-0.0010315i,-0.00015416+0.00016574i,0.0032909-0.00082002i,-0.012274+0.00090179i,0.0023329+0.002786i,0.00074915+0.0013188i,-0.0011091-0.001056i,0.0011471-0.0024542i,-0.0017688-0.0010559i,-0.0003167-0.0017837i,-0.0028417+0.00707i,0.0011255+0.0030191i,-0.03417+0.0063305i,-0.056931-0.0067809i,-0.042955+0.037644i,-0.040667+0.022792i,-0.042172+0.044029i,-0.025406+0.013145i,0.00082874+0.03592i,-0.0085505+0.010209i,-0.040307-0.015235i,-0.060408-0.0084926i,-0.0075437+0.025688i,-0.0023202+0.0030986i,0.0048974-0.0043835i,0.00047873-0.0095869i,-0.0010066+0.011038i,0.001397+0.025542i,0.0026681+0.0019191i,0.0067772-0.0040285i,0.0012367+0.00017164i,0.007072-0.0074525i,0.0087165+0.0043598i,0.0029783+0.0021042i,-0.0074751+0.0010546i,0.0052311+0.0065885i,0.0056716+0.0057343i,0.0096825+0.0072683i,-0.00029034+0.00083536i,0.0035295-0.0062579i,0.0056976-0.0085323i,6.9591e-06+0.00046171i,-0.033234-0.0030909i,-0.00028065-0.0084464i,-0.0024146-0.0021584i,0.0056598-0.001627i,0.0010106-0.00047879i,-0.00024479-0.012237i,0.001795-0.0018624i,0.0033217+0.0035884i,0.0038802-0.00063052i,0.0039584-0.004553i,-0.0087012-0.0033671i,-0.0043095-0.0018268i,-0.0041235-0.0023602i,-0.0018359-0.0064838i,-0.010878-0.0048388i,-0.056855+0.021571i,-0.020179+0.01139i,-0.012657-0.0074646i,-0.0072943+0.0016566i,0.001765+0.022047i,-0.0066313+0.013035i,-0.0053132+0.0064186i
-0.018459+0.016447i,-0.0036548+0.050353i,0.0073266+0.051321i,-0.002962+0.014869i,-0.0061805+0.00094468i,0.023592+0.011079i,0.01046+0.02361i,-0.0025286+0.047954i,-0.00030107+0.022776i,-0.0047802+0.0028914i,0.00048613+0.0018268i,0.0069687-0.00086784i,0.0039456-0.00016455i,0.0042265+0.00065868i,0.0038658-0.00067856i,0.0081365+0.00099743i,0.016819+0.0026929i,0.0012444-0.0010602i,-0.0052132-0.0031906i,-0.0029637+0.0022058i,-0.00082532-5.8988e-05i,-0.0039033-0.0031053i,-0.0035135-0.00023442i,-0.0014345+0.0086912i,0.00082828+0.0040579i,0.0017502+0.0017676i,0.0002039+0.0026125i,-0.0034039+0.00080076i,-0.0006939+0.0018735i,-0.0010509+0.00084216i,0.0039843-0.0031187i,0.00013607-0.0020272i,-0.00033234-0.00094359i,-0.00022203+0.00021146i,0.0020489-0.0018453i,-0.011293+0.0048703i,0.0028575+0.0019181i,0.0011352+0.0010176i,-0.0018388-0.00014245i,0.00085405-0.002313i,-0.0022245-0.00090251i,-0.00075671-0.0020065i,-0.0018834+0.007491i,0.0023266+0.0031289i,-0.033349+0.011279i,-0.060647+0.0015871i,-0.036763+0.040477i,-0.03303+0.029568i,-0.029989+0.048158i,-0.024602+0.020028i,0.007714+0.028318i,-0.0042024+0.0076339i,-0.040337-0.011095i,-0.058101+0.0020248i,-0.0020168+0.02632i,-0.0021288+0.002619i,0.00049085-0.0043831i,-0.0046482-0.0093608i,0.0049575+0.010723i,0.0068226+0.020496i,0.00056533+0.0013906i,0.0041604-0.0080298i,0.0021764+0.00206i,0.0027517-0.0087624i,0.0099857-0.0011403i,0.0045181+0.0016065i,-0.006623+0.0045657i,0.0093802+0.0064265i,0.0094652+0.0035163i,0.012003+0.0018586i,0.00080749+0.0015673i,0.0015332-0.0070797i,-0.000655-0.0091682i,0.0013512+0.0016413i,-0.033268+0.0096361i,-0.0022405-0.0083044i,-0.0018948-0.00030468i,0.0057918-0.0052444i,0.0013835-0.00011953i,-0.0054186-0.013015i,0.00082653-0.001548i,0.004689+0.0014165i,0.0036369-0.0013275i,0.0029354-0.0061185i,-0.0086494+0.0019626i,-0.0042592+0.00088833i,-0.0051407+0.00032687i,-0.0044978-0.0064113i,-0.010641-0.0011068i,-0.053317+0.027149i,-0.018919+0.016691i,-0.014681-0.0097964i,-0.0052436+0.0029173i,0.004559+0.021426i,-0.0065814+0.015226i,-0.0035799+0.0047507i
-0.016135+0.017996i,0.0052801+0.049031i,0.017283+0.049158i,-0.0022609+0.015766i,-0.0053137+0.0044024i,0.025567+0.0065948i,0.012901+0.019444i,0.0058655+0.046478i,0.0032343+0.021155i,-0.0039567+0.0042744i,0.0009154+0.0014662i,0.0050622-0.0031683i,0.003883-0.0015353i,0.0037848-8.0298e-05i,0.0036956-0.0014676i,0.0062342-0.00092693i,0.015814-0.0021996i,0.00045514-0.00096969i,-0.0055619-0.0013429i,-0.0015299+0.0025931i,-0.00018406-0.00047037i,-0.0041337-0.0024911i,-0.0029214+0.00050188i,0.0012351+0.0083225i,0.0022542+0.0030037i,0.002075+0.0011294i,0.0011868+0.0022458i,-0.0027231+0.002398i,-2.9073e-05+0.0014982i,-0.00098989+0.0011661i,0.0022728-0.0038401i,-0.00077185-0.0018612i,-0.00058502-0.00059941i,-0.00031383+0.00021472i,0.0010007-0.0020955i,-0.0090427+0.0078929i,0.0031329+0.00085525i,0.0012031+0.00047056i,-0.0017868+0.0011432i,0.0007098-0.0025757i,-0.0024349-0.00011829i,-0.0014928-0.0023002i,-0.00057036+0.0081155i,0.0034766+0.0024634i,-0.030973+0.016227i,-0.060373+0.014504i,-0.032533+0.042716i,-0.024789+0.032624i,-0.016924+0.050532i,-0.019135+0.02815i,0.010349+0.019121i,-0.001985+0.00064721i,-0.038148-0.0077115i,-0.052098+0.012282i,0.004829+0.024286i,-0.0023635+0.0029493i,-0.0042725-0.0024945i,-0.0086014-0.006684i,0.0089656+0.0066936i,0.0099264+0.016503i,-0.0022017+0.0030582i,-0.00011933-0.011254i,0.0043813+0.0010368i,-0.0014155-0.0077237i,0.0076919-0.0049007i,0.005863-0.00038748i,-0.0051371+0.0073977i,0.013+0.0016616i,0.01066-0.0020009i,0.011061-0.0048402i,0.0026562+0.0010509i,-0.00082861-0.0071737i,-0.0041425-0.0056855i,0.0034533+0.00055531i,-0.027431+0.023813i,-0.0049142-0.0066551i,-0.00064194+0.00081698i,0.0022236-0.0070898i,0.0019907-6.6944e-05i,-0.011128-0.010044i,0.00098248-0.00073302i,0.0048193-0.0012196i,0.0031077-0.0023935i,0.0011766-0.0066931i,-0.0061169+0.0056887i,-0.0028068+0.0027873i,-0.0045416+0.0036995i,-0.0077561-0.0053054i,-0.0096508+0.0014593i,-0.04746+0.034665i,-0.010516+0.02076i,-0.019823-0.0092092i,-0.0028961+0.0014511i,0.0065901+0.019997i,-0.0039729+0.018727i,-0.0030829+0.0017177i
