-0.0018355-0.042059i,0.00010596-0.046441i,-0.0076746-0.047964i,-0.03051-0.022857i,-0.022943+0.010994i,-0.036679-0.033296i,-0.063045-0.057708i,-0.019488-0.070432i,-0.025756-0.051785i,-0.00095433+0.017223i,-0.0098911+0.01209i,-0.014024+0.013223i,0.0025568+0.013497i,-0.0028843-0.0018977i,0.0018536+0.0060468i,0.00023552+0.033621i,0.018423+0.050152i,0.001015-0.00048647i,-0.0034922-0.0095651i,0.0078497+0.0038135i,0.001468+0.0012848i,-0.00096647+0.0034427i,-7.2671e-05-0.00057847i,-0.036001-0.0093916i,-0.0022704-0.0076645i,-0.0012839+0.004495i,0.0025169-0.0015547i,-0.0001338+0.00040651i,0.00072774-0.00068658i,6.1798e-05-0.0021865i,-0.0017807-0.0053428i,-0.0030165-0.0070015i,-0.0019815-0.0067817i,0.0036004-5.0541e-05i,0.0030996-0.001516i,-0.0047907+0.039058i,0.0070774-0.0043185i,0.0031745-0.00077613i,0.0049581-0.00017039i,-0.018374-0.0011506i,-0.00093156-0.00011674i,0.0089885-0.0027339i,0.0039319+0.0018794i,-0.0041626+0.0017289i,0.00032416+0.0086993i,-0.0055348+0.018228i,0.026033-0.081506i,-0.00025415-0.05499i,-0.023343-0.043439i,-0.019578-0.03731i,0.062726-0.016389i,0.030268-0.058373i,0.038595-0.044875i,0.033708-0.051631i,0.019399-0.015318i,0.0077569+0.012168i,0.024442-0.035742i,-0.0088521-0.0052139i,0.0030917-0.0014714i,-0.0024824-0.0054804i,0.004985-0.031589i,-0.025172+0.030421i,0.0089146-0.010262i,-0.012722-0.0032149i,-0.0046791-0.0014882i,0.00013728-0.014779i,-0.010615+0.0053304i,0.0032814+0.006774i,-0.014054+0.030176i,0.0055831+0.007124i,-0.0059789-0.001997i,-0.0011579-0.0023539i,-0.012283-0.0080453i,0.00035504-0.0034659i,-0.03553+0.00040517i,0.0020316-0.012694i,-0.0095649-0.0029265i,-0.0066954-0.0033559i,0.0066859+0.0021944i,-0.0089334+0.0024218i,0.00028798+0.0017204i,0.0060096+0.0105i,0.0047662+0.0006121i,-0.0094839-0.010656i,0.0020067+0.0082938i,-0.021711+0.0066156i,0.0063424+0.0031575i,-0.027935-0.0087284i,-0.036576-0.0020413i,0.027976-0.078738i,0.013867-0.0088933i,-0.042846-0.028338i,-0.024442-0.005735i,0.017142+0.011949i,-0.026619+0.011864i,-0.012637-0.0095597i
-0.041873-0.0060399i,-0.057671+0.0038245i,-0.04151+0.04747i,-0.019125+0.0097503i,-0.0050179+0.018799i,-0.0048095+0.037552i,-0.027078+0.016967i,-0.060489+0.023578i,-0.022151+0.018422i,0.001819-0.010239i,0.0034927-0.0016628i,0.0031215+0.00023137i,0.002582+0.0079556i,-0.0040092+0.0010774i,-9.3756e-05+0.001819i,0.002347-0.0078989i,-0.012126-0.007791i,-0.0034685+0.00055718i,0.0039247-0.0027038i,0.00095581+0.00026963i,0.0012825-0.0047018i,0.0020793-0.003905i,0.0014892-0.0027561i,-0.011292-0.011505i,-0.0030082-0.0016567i,-0.003887-0.00015132i,-0.0031049-0.00063732i,-0.0042159-0.00082068i,-0.0009469-0.0022041i,0.0016703-0.0014227i,-0.0038284+0.0032189i,0.0020954+0.0017363i,0.0016503+0.0017679i,0.0014139+0.0012i,-0.0018861+0.0028756i,-0.0043645-0.0095132i,-0.0030767+0.00020194i,0.0006743+0.00024575i,-4.5588e-05+0.0039631i,0.012798+0.00727i,0.00049469-0.0022562i,0.0012046+0.00039599i,-0.0046459-0.0041773i,0.0011885+0.0055535i,-0.0098379-0.017404i,0.017754-0.078211i,-0.086139-0.024311i,-0.024499-0.021633i,-0.051255-0.041216i,-0.043005-0.0080053i,-0.090965+0.017555i,-0.062097-0.0029209i,-0.038426-0.02618i,-0.025108-0.056617i,-0.033577-0.029603i,-0.00052011+0.0039673i,-0.026717+0.01092i,0.0064224+0.018302i,0.0040618+0.0076976i,-0.0019633-0.006005i,0.0080874+0.005467i,-0.011377-0.0064993i,0.0030194+0.012163i,-5.1159e-05+0.0071907i,-0.0015191-0.0015899i,0.0066683+0.0019387i,0.0041442-0.00094128i,-0.003419+0.020675i,-0.0011233+0.015585i,0.0021153-0.0045389i,0.011557-0.0091828i,0.0038517+0.0042867i,-0.0080236-0.0085333i,-0.0017811-0.0015144i,0.024603-0.028446i,0.0087339+0.0084124i,0.0042706+0.0032058i,-0.0021825+0.0029776i,0.0040225-0.0036154i,0.020081+0.0027866i,0.0017611-0.0022457i,-0.00090616-0.0080195i,0.0019535-0.0032944i,0.013533+0.0041784i,0.005383+0.00077592i,0.0032921-0.0069258i,0.0041998+0.0079543i,0.0034435+0.003012i,0.019395+0.0052699i,-0.067125-0.041598i,-0.011885+0.010186i,-0.00724-0.0035614i,-0.0082212+0.0048413i,-0.038426+0.0087262i,-0.0053731+0.0079597i,-0.016569+0.0040981i
-0.040952+3.4529e-05i,-0.05599+0.0099676i,-0.029442+0.047959i,-0.017805+0.012002i,-0.001624+0.016235i,0.0022395+0.037031i,-0.025095+0.020648i,-0.053635+0.03124i,-0.016802+0.017627i,-0.0012952-0.0088725i,0.0035349-0.0013261i,0.0030278-0.0013196i,0.0046097+0.0061967i,-0.0021484+0.0031528i,-7.0223e-05+0.0023737i,-0.0026256-0.005984i,-0.016112-0.00039582i,-0.0028184+0.0016991i,0.0039442-0.0030481i,0.0015604-0.00035618i,2.6686e-05-0.0042385i,0.0014576-0.0032483i,0.0011699-0.0027428i,-0.012677-0.0071547i,-0.0030851-0.00086321i,-0.0041804+0.0012399i,-0.0025326+0.00051571i,-0.0037213+0.00029848i,-0.0015356-0.002073i,0.0015213-0.0016103i,-0.0027093+0.0047347i,0.0020201+0.001414i,0.002185+0.0014454i,0.00054815+0.00072021i,-0.0023693+0.0024362i,-0.004206-0.0080105i,-0.0007064+0.0022137i,-4.3058e-05-0.00041964i,0.0006195+0.0045586i,0.012784+0.00073284i,5.0166e-05-0.0031803i,0.00084033-0.00038073i,-0.0059261-0.0028539i,0.0026498+0.005105i,-0.011197-0.020562i,-0.0051927-0.088741i,-0.082891-0.0068348i,-0.030776-0.024174i,-0.061504-0.032026i,-0.040656+0.00087147i,-0.077734+0.036957i,-0.059457+0.010975i,-0.028829-0.025324i,-0.031785-0.053192i,-0.045488-0.018432i,2.1801e-06+0.0015863i,-0.020589+0.022991i,0.010626+0.011811i,0.0066844+0.0041907i,-0.0076347-0.010044i,0.0046598+0.0039258i,-0.012368+0.0016086i,0.0083534+0.0092213i,0.0017905+0.0085784i,-0.0017783-0.00086059i,0.0068272+0.0023037i,0.0041772-0.0015742i,0.0061924+0.016592i,0.0065201+0.010875i,-0.003386-0.0057598i,0.0027766-0.0098381i,0.0047334+0.0040307i,-0.011112-0.00087547i,-0.00248+0.00089341i,0.010496-0.034452i,0.011457+0.005863i,0.0079837+0.0019891i,0.0012757+0.0025619i,0.00053536-0.0017287i,0.019108-0.0066592i,0.00012961-0.0026861i,-0.0039104-0.0057029i,-0.0020009-0.0028353i,0.012114-0.00015951i,0.0055889+0.0008121i,0.00075763-0.0044996i,0.0066338+0.0066732i,0.0034088+0.002869i,0.018417-0.0016113i,-0.0725-0.032091i,-0.0025461-0.0012593i,-0.0061466-0.0024998i,-0.0064821+0.0049485i,-0.032044+0.020452i,-0.0033031+0.00935i,-0.015841+0.0065618i
-0.038243+0.0049327i,-0.05505+0.016581i,-0.021918+0.046761i,-0.016528+0.014053i,0.0029141+0.014946i,0.009347+0.034728i,-0.021797+0.024198i,-0.046219+0.037057i,-0.015714+0.016105i,-0.0032584-0.0073681i,0.0041823-0.0020952i,-0.00040866-0.0020678i,0.0059213+0.0038276i,-0.0018157+0.0035105i,0.00063618+0.0029848i,-0.0058702-0.0016515i,-0.015794+0.0076956i,-0.0007993+0.0028733i,0.0037579-0.0053898i,0.0020975-0.0017039i,-0.00089911-0.0038985i,0.0015974-0.003905i,0.0009346-0.003061i,-0.013828-0.003726i,-0.0033666+0.00034469i,-0.0032296+0.0032576i,-0.0018511+0.00079852i,-0.0026727+0.0015955i,-0.0022678-0.0018977i,0.00057536-0.0027491i,-0.00070415+0.0055685i,0.0019669+0.00083052i,0.002137+0.00029568i,0.00067593+0.00053442i,-0.0017102+0.0041168i,-0.0037404-0.0080291i,-0.0021133+0.002692i,-0.00071733-0.00027603i,0.0039029+0.0024523i,0.010253-0.0040057i,-0.00049645-0.0015195i,0.0010816+0.0002387i,-0.0076281-0.00070682i,0.0040474+0.0030254i,-0.015274-0.022503i,-0.032215-0.087579i,-0.07332+0.0053158i,-0.038976-0.021756i,-0.066879-0.021254i,-0.034591+0.0070649i,-0.05789+0.049067i,-0.045725+0.023614i,-0.029563-0.030095i,-0.037859-0.050531i,-0.065805+0.051492i,-0.00032143+7.5065e-05i,-0.0086136+0.02795i,0.011772+0.005751i,0.004435-0.0012443i,-0.018202-0.0086774i,0.0042196+0.0028905i,-0.0080337+0.0065433i,0.010005+0.0040096i,0.0045857+0.0087645i,-0.0039202+0.00094451i,0.0075872-0.0010397i,0.0038338-0.0034605i,0.0094866+0.008714i,0.00762+0.0045566i,-0.0079294-0.0015633i,-9.0704e-05-0.0068544i,0.007069+0.0030255i,-0.0084887+0.0087535i,-0.00031682+0.0028549i,-0.0028705-0.032479i,0.014092+0.00091445i,0.0086936-0.0027469i,0.0014067+0.00027474i,0.00097162-4.9391e-05i,0.012043-0.012231i,-0.0029103+0.00037392i,-0.0067475-0.0023309i,-0.0037963+0.0012804i,0.0089251-0.0030926i,0.0088125-0.0015368i,0.0015558-0.0043525i,0.010259+0.0034063i,0.0054876+0.0016257i,0.015649-0.0075152i,-0.076066-0.01931i,-0.0085063-0.012673i,-0.0036009-0.003525i,-0.0048832+0.0043708i,-0.022596+0.025591i,-0.0019929+0.003993i,-0.011835+0.0043802i
-0.03515+0.0080538i,-0.052863+0.024793i,-0.015611+0.045561i,-0.013209+0.017142i,0.0074567+0.010084i,0.015298+0.030541i,-0.017285+0.027361i,-0.039038+0.040763i,-0.01519+0.017666i,-0.0048401-0.0058964i,0.0041959-0.0041194i,-0.0022662+0.0010329i,0.0054546+0.0017337i,-0.0014099+0.0053656i,0.0012631+0.0029556i,-0.0057763+0.0034681i,-0.0098388+0.014999i,0.00079715+0.0019146i,0.0012155-0.0063065i,0.0010333-0.0034533i,-0.0017565-0.0036224i,0.0010715-0.0044466i,0.00030545-0.003903i,-0.014071+0.00084301i,-0.0027537+0.00080961i,-0.00045838+0.0035721i,-0.0016083+0.0009183i,-0.0010545+0.001439i,-0.0030282-0.0006398i,-0.0010317-0.0025796i,0.0014141+0.005563i,0.0016393+0.00021565i,0.0019272-0.00061179i,0.00052222+0.00031058i,0.00054474+0.0042414i,-0.0047856-0.0093731i,-0.0012171+0.0035165i,-0.0009781+0.00024477i,0.0028856-0.00080807i,0.006364-0.0058877i,-0.00017214-0.0016239i,0.001645-0.00027371i,-0.0089221+0.002406i,0.0025829-0.00051568i,-0.020735-0.023039i,-0.054817-0.073871i,-0.06424+0.010227i,-0.045694-0.015699i,-0.071631-0.0090028i,-0.02759+0.008893i,-0.039244+0.0514i,-0.030364+0.023626i,-0.032399-0.028418i,-0.044583-0.044913i,-0.026945+0.014597i,-0.0017219-0.00066715i,0.001931+0.02562i,0.011532+0.00080398i,-0.00061722-0.0022003i,-0.025313+0.0016366i,0.001221+0.0029401i,-0.0037598+0.0070271i,0.0081823-0.0011516i,0.0079882+0.0077995i,-0.0033598+0.0044543i,0.0042028-0.0029532i,0.0026113-0.0056538i,0.0074777+0.0015288i,0.0047779+0.0014575i,-0.0074479+0.0029113i,-0.0019036-0.005017i,0.007791+0.00050588i,0.0015623+0.011515i,0.0015652+0.0019329i,-0.0090768-0.027128i,0.012802-0.0040713i,0.0055182-0.0045865i,0.0017597+0.0016139i,0.0014654-0.00066837i,0.0059497-0.012372i,-0.00021007+0.0032527i,-0.0076253+0.001371i,-0.0011603+0.0042249i,0.0062748-0.0033972i,0.0076294-0.0066036i,-0.00037475-0.0045358i,0.0096322-0.0029573i,0.0052091-0.0015801i,0.011489-0.012377i,-0.073318-0.0057016i,-0.018073-0.014138i,-0.0041391-0.0082187i,-0.0037496+0.0022928i,-0.014589+0.027097i,-0.0063855+0.0028913i,-0.014006+0.0045393i
-0.032874+0.010438i,-0.049296+0.032091i,-0.011187+0.044938i,-0.0086152+0.018352i,0.008999+0.0040684i,0.019347+0.025981i,-0.011977+0.028981i,-0.032299+0.043635i,-0.012472+0.020422i,-0.0055384-0.0039495i,0.0018999-0.0050402i,-0.0010221+0.0038668i,0.0046575+0.00048184i,0.0012097+0.0067067i,0.0022946+0.0030423i,-0.0031111+0.0070784i,-0.0020229+0.018022i,0.0012001+0.0007539i,-0.0002256-0.0056712i,-0.00098874-0.0039468i,-0.0029474-0.0030756i,7.1738e-05-0.0046606i,-0.0012867-0.0041324i,-0.011408+0.0046261i,-0.0034553+0.00091106i,-1.0276e-06+0.0016151i,-0.0016201+0.0014929i,-0.00041004+0.00071926i,-0.0028038+0.00062506i,-0.0017105-0.0014039i,0.0027209+0.0039688i,0.0012317-0.00050956i,0.0013573-0.0010482i,0.00033326+0.00020961i,0.0015684+0.0036233i,-0.0077072-0.0098205i,-0.00022741+0.0037272i,-0.00067874+0.00084863i,0.0010916-0.00107i,0.0038252-0.0050043i,-0.00031965-0.0018816i,0.0017854-0.00093425i,-0.0014373-0.0027297i,-0.00046947+0.00065926i,-0.02671-0.020473i,-0.064347-0.053645i,-0.058978+0.011817i,-0.051155-0.0072659i,-0.073827+0.0068735i,-0.023422+0.00646i,-0.024004+0.048909i,-0.021017+0.01999i,-0.034111-0.027149i,-0.048762-0.039147i,-0.025255+0.018188i,-0.0026631-0.00055286i,0.011747+0.02053i,0.0096299-0.0020742i,-0.0043961+0.00016439i,-0.02498+0.012418i,0.00076107+0.0047286i,-0.00013025+0.007945i,0.0029741-0.0022223i,0.01137+0.0050242i,-0.0012462+0.0064915i,0.0014105-0.0016752i,0.0010209-0.0068482i,0.0023327+0.00090097i,0.0018693+0.0023196i,-0.0061285+0.0069924i,-0.0030821-0.0021601i,0.0075282-0.0022792i,0.0068323+0.0072774i,0.0023024+0.0005237i,-0.012643-0.024408i,0.0095137-0.0079241i,0.0041159-0.0058768i,0.003536+0.0022247i,0.00093295-0.00058647i,0.0024384-0.010961i,0.0022161+0.0027314i,-0.0051792+0.005957i,0.0021469+0.0043967i,0.0055296-0.0037075i,0.0030637-0.011226i,-0.0005378-0.0037548i,0.005675-0.0066866i,0.0031794-0.003402i,0.004764-0.016246i,-0.067658+0.0023968i,-0.029483-0.0083037i,-0.0083869-0.0097508i,-0.0041758-0.00048082i,-0.0097495+0.025833i,-0.009886+0.0058748i,-0.01368+0.0076609i
-0.031485+0.013003i,-0.044803+0.039091i,-0.0070708+0.046158i,-0.0040953+0.017702i,0.0070484-0.0018501i,0.022992+0.021909i,-0.0064496+0.028798i,-0.026198+0.045836i,-0.0084159+0.020883i,-0.006052-0.0025165i,-0.0011668-0.004648i,0.0013847+0.004928i,0.0038958+9.9549e-05i,0.0041282+0.0055145i,0.0030451+0.0023833i,0.00038976+0.0087443i,0.0064895+0.016792i,0.0011476+0.00016857i,-0.0018036-0.0056383i,-0.0027611-0.0032096i,-0.0034186-0.0017322i,-0.00059395-0.0048281i,-0.0024006-0.0033435i,-0.0093899+0.0056616i,-0.003547+0.0028168i,-0.0004875+0.0014119i,0.00063078+0.0003501i,-0.00030776-0.00021i,-0.0019022+0.0014463i,-0.0017127-0.00079375i,0.0034962+0.0028239i,0.00079253-0.00085475i,0.0010361-0.0010106i,0.00020281+3.8168e-05i,0.0023135+0.0031564i,-0.010703-0.0083476i,0.00084883+0.0034085i,-2.9592e-05+0.00085651i,0.00029841-0.0010137i,0.0023908-0.0041955i,-0.0006704-0.0018018i,0.0014675-0.0018602i,-0.0044497+0.003024i,-0.0006923+0.0030858i,-0.031329-0.014752i,-0.064032-0.039256i,-0.056517+0.014189i,-0.0529+0.0047807i,-0.068383+0.02496i,-0.025655+0.0049105i,-0.013334+0.043262i,-0.014405+0.015697i,-0.036527-0.023725i,-0.054087-0.033245i,-0.020916+0.021431i,-0.0043121+0.00056761i,0.015782+0.0084764i,0.0084635-0.0055029i,-0.0059867+0.0042575i,-0.018818+0.022491i,0.0022438+0.0049251i,0.0046849+0.0054022i,0.00097306+0.00034092i,0.013622-0.0009127i,0.0010185+0.007369i,0.00083339-9.7193e-05i,-0.0042064-0.0084601i,0.00054677+0.0041779i,0.0021173+0.0044107i,-0.0019484+0.011512i,-0.0015893+0.00041688i,0.0059236-0.0039745i,0.0093996+0.0030143i,0.0027166-0.0012559i,-0.020683-0.021921i,0.0050073-0.0096212i,0.00093495-0.0067853i,0.0052193+0.00090076i,0.00084536+0.00037345i,0.0012965-0.0091192i,0.0033411+0.0010287i,-0.00053828+0.0072606i,0.0039096+0.0018337i,0.0039284-0.004428i,-0.0037146-0.010627i,-0.0010094-0.0044095i,0.0010743-0.0077767i,0.0021819-0.0046169i,-0.0033668-0.015664i,-0.064286+0.0093735i,-0.028703+0.0064761i,-0.012705-0.0093623i,-0.0067635-0.0011977i,-0.0060493+0.026059i,-0.0089618+0.010512i,-0.0093213+0.0097682i
-0.029844+0.016252i,-0.038647+0.046299i,-0.0013007+0.047834i,-0.001646+0.01558i,0.0025285-0.0048256i,0.026522+0.016985i,-0.0013689+0.027654i,-0.019844+0.047993i,-0.0055476+0.020859i,-0.0069853-0.00026637i,-0.0029417-0.0020558i,0.0042656+0.0047961i,0.0034334-9.5994e-05i,0.0053581+0.0030397i,0.0032655+0.0016547i,0.0038274+0.0084919i,0.012671+0.011616i,0.0010396+6.0344e-07i,-0.0030252-0.0046519i,-0.0038486-0.0015672i,-0.0030705-0.00060824i,-0.0019381-0.0049409i,-0.0029673-0.0023691i,-0.0087772+0.0078162i,-0.0025809+0.0039675i,-0.00045759+0.0020792i,-0.00099882+0.0010667i,-0.0014766-0.0008837i,-0.001462+0.00156i,-0.0018166-0.00052395i,0.0043339+0.0018579i,0.00088851-0.00085413i,0.00087475-0.00097328i,0.00022202+3.6586e-05i,0.003423+0.0014765i,-0.013903-0.0053403i,0.0019328+0.0030034i,0.00046203+0.00062661i,-0.00035669-0.0010122i,0.0014564-0.0037559i,-0.0010665-0.0014655i,0.00046603-0.0026376i,-0.0034126+0.00414i,0.00040733+0.0038123i,-0.033536-0.0096229i,-0.064092-0.032973i,-0.054711+0.01924i,-0.048714+0.015934i,-0.057121+0.039151i,-0.02689+0.0085116i,-0.0056948+0.038878i,-0.011537+0.010507i,-0.03836-0.020579i,-0.057874-0.024622i,-0.015857+0.024054i,-0.0037701+0.0013558i,0.0096459-0.0016902i,0.0050605-0.0095114i,-0.0046173+0.0075608i,-0.0095011+0.026709i,0.0026469+0.0035716i,0.0064226+0.00069012i,0.0025166+0.0013003i,0.011286-0.0053717i,0.0060409+0.0070882i,0.0011052+0.0022172i,-0.0083337-0.0026248i,0.0023281+0.0069541i,0.003439+0.0055238i,0.0034288+0.011836i,-0.00065615+0.000625i,0.0046724-0.0050882i,0.010091-0.0032385i,0.00041712-0.0018855i,-0.029168-0.013163i,0.0014936-0.009416i,-0.0015835-0.0051494i,0.0060978+0.0011086i,0.0013798+2.4067e-05i,0.00098194-0.0099884i,0.0029971-0.00078449i,0.0019279+0.0050966i,0.0038066+0.00091142i,0.0033751-0.0036706i,-0.0071745-0.0063166i,-0.0034634-0.0046255i,-0.0022059-0.0058979i,-0.00022929-0.0056169i,-0.0085664-0.011129i,-0.059874+0.016289i,-0.022798+0.0087872i,-0.013516-0.0072094i,-0.0086345-0.00039617i,-0.00070628+0.024289i,-0.0076273+0.011764i,-0.006872+0.0087948i
-0.027352+0.019247i,-0.030653+0.052523i,0.0064078+0.049048i,-0.00061469+0.01468i,-0.0023963-0.0046138i,0.028828+0.011519i,0.0031095+0.025736i,-0.013382+0.050065i,-0.0026068+0.020769i,-0.0072155+0.0031373i,-0.0021437+0.00034384i,0.0067883+0.0020277i,0.0032154-0.00012067i,0.0050506+0.0014273i,0.0036854+0.0012931i,0.0065088+0.0066249i,0.015187+0.0057544i,0.0010182-0.00080185i,-0.0039995-0.0040115i,-0.0038781+0.00048791i,-0.002566+0.00011745i,-0.0032132-0.0038321i,-0.0032109-0.0015263i,-0.0055914+0.010025i,-0.0015097+0.0051083i,0.00065843+0.0023893i,-0.00078727+0.0018704i,-0.0027894-3.4076e-05i,-0.00087413+0.0018205i,-0.0017615+2.2996e-05i,0.0046827-9.2707e-05i,0.0008304-0.0016505i,0.00056947-0.0014451i,0.00018306+0.00010006i,0.0030306-0.00032264i,-0.015693-0.00043192i,0.0026249+0.0023136i,0.00074503+0.00055908i,-0.0013737-0.00086003i,0.0011907-0.0034098i,-0.0011309-0.0012082i,-0.00010659-0.0027586i,-0.0025702+0.0045005i,0.0012878+0.004199i,-0.035348-0.004889i,-0.069411-0.027335i,-0.052431+0.024249i,-0.043439+0.024228i,-0.042394+0.047074i,-0.02733+0.01236i,0.001871+0.033627i,-0.010588+0.0080169i,-0.040355-0.016532i,-0.05964-0.014496i,-0.0099163+0.025137i,-0.0032714+0.0021871i,0.0031307-0.0018323i,-0.00018789-0.011449i,-0.0012859+0.011014i,-0.00031928+0.025483i,0.001629+0.002503i,0.0052979-0.0039501i,0.0024785+0.00085359i,0.0079327-0.0096627i,0.0095571+0.0040471i,0.0030232+0.0030478i,-0.0074172+0.0014872i,0.0055669+0.0082392i,0.0061226+0.0061547i,0.0092519+0.0079369i,-1.3961e-05+0.0011799i,0.003975-0.0060555i,0.0045855-0.0014683i,-0.00017211+0.00014094i,-0.030984-0.00026193i,-0.00073819-0.0090254i,-0.0027187-0.003029i,0.0071885-0.00037141i,0.0013438-0.00039374i,-0.0010327-0.011576i,0.0019126-0.0018069i,0.0041764+0.0044918i,0.0042913-0.00027288i,0.0042653-0.004091i,-0.0086609-0.0032861i,-0.0057081-0.0019953i,-0.0048677-0.0036332i,-0.0022705-0.0059853i,-0.010804-0.006321i,-0.055265+0.02214i,-0.021495+0.0096509i,-0.013452-0.0073988i,-0.0094473+0.0015358i,0.00081024+0.022672i,-0.0070829+0.012191i,-0.0048213+0.0081042i
-0.024312+0.022275i,-0.02054+0.056695i,0.015244+0.048363i,0.00075767+0.014037i,-0.0050185-0.0013476i,0.030314+0.0059749i,0.0067725+0.022568i,-0.0056036+0.051438i,0.00038135+0.020338i,-0.0062073+0.0076007i,-0.00093661+0.00078324i,0.0064811-0.0015684i,0.0034902-0.00038591i,0.004932+7.6273e-05i,0.0042042+0.00054221i,0.007705+0.0040311i,0.014596+0.00050513i,-0.00040427-0.0013728i,-0.0055467-0.002476i,-0.0028736+0.0017435i,-0.0018085+0.0003744i,-0.0037659-0.0028983i,-0.0033463-0.00061864i,-0.0013774+0.010521i,0.00051602+0.0056292i,0.0014421+0.0016454i,-1.0234e-05+0.0021554i,-0.0029517+0.0012891i,-0.00020866+0.001723i,-0.0013849+0.00052149i,0.0039335-0.0018443i,-2.2395e-05-0.001817i,0.00036349-0.0015008i,0.00019404+3.3256e-05i,0.0021337-0.0013054i,-0.015181+0.004885i,0.002931+0.0013635i,0.001024+0.00024425i,-0.0019158+0.00015375i,0.00095019-0.0033718i,-0.0013953-0.0010439i,-0.00067248-0.0029719i,-0.0017618+0.0048961i,0.0024119+0.0043365i,-0.036979+0.0014672i,-0.077209-0.015573i,-0.04821+0.029382i,-0.035067+0.031063i,-0.028945+0.050876i,-0.025954+0.019416i,0.0079673+0.026091i,-0.0064382+0.0056356i,-0.041424-0.010388i,-0.058569-0.0040725i,-0.0050397+0.026457i,-0.0028727+0.0027385i,2.2541e-05-0.0010516i,-0.0063991-0.010925i,0.0047857+0.010889i,0.0055599+0.021236i,-0.00061896+0.0022144i,0.0031861-0.00734i,0.0037794+0.0025238i,0.0021628-0.011118i,0.011089-0.0018118i,0.0050049+0.0025521i,-0.0063392+0.005119i,0.010598+0.0075269i,0.010247+0.0041045i,0.011403+0.0021753i,0.0012385+0.0014198i,0.0024997-0.0071625i,-0.00013338-0.010204i,0.001263+0.0014848i,-0.028447+0.01142i,-0.0028261-0.0086926i,-0.0023436-0.00082309i,0.007314-0.0062385i,0.0017024+0.00013577i,-0.0058217-0.011874i,0.00079871-0.0015412i,0.0058704+0.0017666i,0.0039519-0.0012618i,0.0034368-0.0059183i,-0.0083481+0.0016147i,-0.0054953+0.0015483i,-0.0058138-0.00068538i,-0.0048597-0.0059594i,-0.010886-0.0023785i,-0.051255+0.027765i,-0.021809+0.015032i,-0.015207-0.0097639i,-0.0069617+0.0038159i,0.0038228+0.022591i,-0.0070907+0.014802i,-0.002275+0.0056401i
-0.020632+0.024553i,-0.010343+0.057984i,0.024884+0.044366i,0.0019078+0.013358i,-0.0048453+0.00225i,0.031311+0.00033935i,0.0090934+0.019112i,0.0025433+0.05094i,0.0035244+0.019703i,-0.0032734+0.0099327i,-0.00060128+0.00084298i,0.0045638-0.0038888i,0.003375-0.0013521i,0.0041808-0.0009256i,0.0041245-0.00047869i,0.0073271+0.0017861i,0.012795-0.0032763i,-0.0011366-0.00074738i,-0.005502-0.00031097i,-0.0016894+0.0023104i,-0.0011781+0.00020132i,-0.00411-0.0021811i,-0.002982+0.00023103i,0.0020071+0.0097444i,0.0029306+0.0047834i,0.0016726+0.0012061i,0.00089941+0.0018961i,-0.0021586+0.0025026i,0.00020934+0.0014345i,-0.0011637+0.00080196i,0.0025962-0.0027283i,-0.00073591-0.0015618i,1.9768e-05-0.001264i,0.00012616-3.4074e-05i,0.00098551-0.0019981i,-0.012953+0.0091856i,0.0029786+0.00023154i,0.00097019-0.00023116i,-0.0015402+0.0013637i,0.00036945-0.0036743i,-0.0015969-0.00062126i,-0.0012708-0.0031593i,-0.00085473+0.0056628i,0.003744+0.003781i,-0.036166+0.0082697i,-0.079258+0.0010791i,-0.045362+0.03269i,-0.026766+0.033813i,-0.015116+0.052064i,-0.020006+0.027007i,0.010824+0.0186i,-0.0043532-0.0010576i,-0.038426-0.0045224i,-0.054068+0.0069756i,0.0024406+0.025649i,-0.0040016+0.0036369i,-0.0027575+0.0008097i,-0.010965-0.0071501i,0.0086867+0.0070135i,0.0087962+0.01851i,-0.0032882+0.0037915i,-0.00042586-0.010484i,0.0070315+0.00033337i,-0.0032513-0.0093026i,0.0080863-0.006258i,0.0065871+0.00012725i,-0.004457+0.007295i,0.014463+0.0019107i,0.012065-0.0019203i,0.010537-0.0039865i,0.0029868+0.00071744i,-0.00012149-0.0078327i,-0.0047818-0.0065004i,0.002973+0.00046254i,-0.027564+0.024224i,-0.0049872-0.0077093i,-0.00094268+0.00071289i,0.0021995-0.0079841i,0.0027219-1.4001e-05i,-0.01035-0.0090252i,0.0007287-0.00065884i,0.0059842-0.0010851i,0.0030278-0.0023443i,0.0014943-0.0063585i,-0.0055757+0.0053653i,-0.0031658+0.0038629i,-0.0054701+0.0028695i,-0.008444-0.0046842i,-0.010003+0.00052018i,-0.045354+0.035102i,-0.01396+0.021245i,-0.020345-0.0097392i,-0.0035048+0.0027218i,0.0063402+0.021554i,-0.0044435+0.018308i,-0.0022729+0.0016156i
