-0.024624-0.038274i,-0.01151-0.049128i,-0.018386-0.044947i,-0.030793-0.034948i,-0.029982-0.015669i,-0.050333-0.027086i,-0.057443-0.024407i,-0.044169-0.036795i,-0.027468-0.033282i,0.0075752+0.013541i,-0.0046216+0.014949i,-0.0046481+0.014177i,0.010588+0.021285i,0.00058331+0.0040045i,0.0034159+0.0036682i,0.0071643+0.01781i,0.031856+0.039081i,-0.0027533-0.00090415i,-0.0045941-0.0059291i,0.0077471+0.0011025i,-0.00030214-0.00072737i,-0.00061234+0.0018617i,0.00016892-0.00033382i,-0.029928-0.0038763i,-0.0015324-0.0062256i,0.0017845+0.0043372i,0.003072+0.00044473i,-0.00074131+0.00081826i,0.00065624-0.0005338i,-0.00060647-0.0026489i,-0.0018553-0.006166i,-0.0041972-0.0043518i,-0.0019525-0.0043601i,0.0024957-0.00051013i,0.0022423-0.0025097i,-0.00093276+0.024791i,0.0015751-0.0032157i,0.0027791+0.00067655i,0.0056195+0.0012842i,-0.011134-0.0033546i,-0.0034938+0.00035247i,0.0057903+0.0012741i,0.0056776-0.00034326i,-0.0030193+0.0049087i,0.0011586-0.0091842i,-0.011364+0.018225i,0.035642-0.090412i,0.01196-0.070248i,-0.015482-0.059326i,-0.016107-0.054988i,0.04001-0.045346i,0.016873-0.062004i,0.034338-0.054725i,0.029444-0.060193i,0.015999-0.01378i,0.0045363+0.016683i,0.017093-0.026194i,-0.010665+0.0060268i,-0.00055785+0.0057503i,-0.0047185-0.0016421i,-0.0023452-0.029618i,-0.02309+0.031825i,0.010468-0.011379i,-0.012242-0.0020603i,3.725e-05-0.0050906i,-0.0011015-0.015669i,-0.0069399+0.0043448i,0.0050184+0.0068588i,-0.0091677+0.031891i,0.0049901+0.0063572i,-0.0048205-0.00044085i,-0.0032962-0.00090624i,-0.012596-0.0067091i,-0.00070336-0.0045155i,-0.0071353-0.011232i,9.2427e-05-0.01039i,-0.009854-0.0019794i,-0.00661-0.0025283i,0.0070419+0.0030187i,-0.0081675+0.0015619i,0.00016921+0.00041164i,0.0064644+0.011741i,0.0038415+0.0017627i,-0.0098337-0.0102i,0.0029774+0.0079567i,-0.02159+0.0068685i,0.0079481+0.00055043i,-0.029116-0.0036722i,-0.041367+0.0029411i,0.022146-0.096423i,-0.0021488-0.01269i,-0.052468-0.023918i,-0.023419-0.0011087i,0.018186+0.011136i,-0.024257+0.013087i,-0.018186-0.012935i
-0.031459+0.018305i,-0.050353+0.020541i,-0.030748+0.0462i,-0.030185+0.024639i,-0.027117+0.039253i,0.0061351+0.046748i,-0.0016634+0.023411i,-0.014649+0.037958i,-0.013196+0.022104i,-0.0035463-0.0048526i,-0.0041079-0.0028956i,-0.0020913-0.0032871i,-0.0038315-0.00069746i,-0.006692-0.003993i,-0.00084948+0.0039496i,-0.0023394-0.0012819i,-0.011625-0.0055661i,-0.0010796-0.00059656i,0.0027648-0.0013573i,0.0021567-0.00088199i,0.002488-0.0034391i,0.002211-0.0037243i,0.0014362-0.0025279i,-0.0090342-0.0078862i,-0.0017903+0.00057295i,-0.0030314+0.0014228i,-0.0021312-0.00016495i,-0.0031177-0.0010985i,-0.0012081-0.0016399i,0.001056-0.001827i,-0.0024409+0.0056393i,0.0015593-0.00030414i,0.0027747+0.00039087i,0.0010318+0.001799i,-0.0013405+0.0034194i,-0.00058129-0.0057405i,-0.00099592-0.00036466i,0.00020527-0.00015828i,6.5487e-05+0.0052342i,0.0077102+0.0045017i,0.0014288-0.0031667i,0.0024919-0.0038286i,-0.0032453+0.0030981i,-0.00022474+0.0029051i,-0.032093-0.0051403i,0.010972-0.078081i,-0.092814-0.02976i,-0.051442-0.03538i,-0.075092-0.049607i,-0.058431-0.0052993i,-0.093911+0.019437i,-0.059093+0.012266i,-0.049844-0.023105i,-0.031802-0.056357i,-0.024385-0.029915i,0.0028473+0.0052023i,-0.018991+0.011179i,0.0095502+0.0035901i,0.010162+0.0030915i,0.0016947-0.0060003i,0.0087285+0.00039645i,-0.0073836-0.0043735i,0.0034532+0.014958i,-0.0011662+0.0092813i,0.00068495+0.0014806i,0.006437+0.0028192i,0.0021115-0.000976i,-0.00097823+0.01527i,-0.0003992+0.011904i,0.0033885-0.0052903i,0.010202-0.0070597i,0.0022549+0.0023251i,-0.0078185-0.0073699i,-0.0020731-0.003322i,0.02135-0.025554i,0.0064458+0.0038674i,0.0033085+0.0044941i,-0.0036079+0.0024406i,0.002415-0.003623i,0.021995+0.0031343i,0.0021854-0.0024448i,0.0014153-0.010495i,0.00024609-0.0025358i,0.012409+0.0031576i,0.0041413+0.00016925i,0.0048427-0.0072405i,0.0029074+0.0087853i,0.0041011-0.0010338i,0.02489+0.0045455i,-0.080651-0.035934i,-0.0035665+0.018835i,0.008937-0.0024017i,-0.0027811+0.0043919i,-0.035209+0.012032i,-0.0074174+0.0064146i,-0.016603+0.012407i
-0.027073+0.022381i,-0.046776+0.025247i,-0.019412+0.04413i,-0.026372+0.028443i,-0.020441+0.040659i,0.015214+0.043587i,0.0012333+0.022693i,-0.0075659+0.03851i,-0.0085062+0.019491i,-0.0049613-0.0028526i,-0.0042932-0.00038902i,-0.0029357-0.0035269i,-0.0044539-0.00012951i,-0.006964-0.0013952i,-3.9554e-05+0.0046915i,-0.0045619+0.00038304i,-0.014432+0.00034097i,-0.0011923+0.00025815i,0.003075-0.0020021i,0.0020282-0.0018425i,0.0012344-0.0038103i,0.0015923-0.0036376i,0.0010196-0.0026385i,-0.0098777-0.0049558i,-0.0011392+0.00086468i,-0.0028408+0.0019942i,-0.0015785+0.00058182i,-0.0030611-0.00013402i,-0.0020024-0.001451i,0.00055338-0.001533i,-0.00079137+0.0065786i,0.00099795-0.00053688i,0.0024358-0.0007608i,0.0010297+0.0014171i,-0.0010538+0.0028305i,-0.00062805-0.0051351i,-0.00058059+0.00088676i,-0.00049522-0.00046857i,0.00063908+0.0056318i,0.0075911+0.00048865i,0.0005195-0.0032163i,0.00043939-0.0042715i,-0.0023929+0.0034347i,0.00074057+0.0033714i,-0.032503-0.0046172i,-0.013216-0.08965i,-0.089286-0.011613i,-0.060706-0.033507i,-0.086907-0.038628i,-0.057101+0.0048082i,-0.083302+0.037041i,-0.054605+0.025251i,-0.040312-0.020472i,-0.038948-0.052156i,-0.03319-0.017712i,0.0040661+0.0023546i,-0.011997+0.020466i,0.0094022-0.00057928i,0.010705-0.0021588i,-0.0032717-0.012638i,0.0042536+0.00054667i,-0.007537+0.0018634i,0.0088802+0.01153i,0.001533+0.012117i,0.00078767+0.0012116i,0.0075103+0.0027588i,0.002485-4.5082e-05i,0.0057611+0.011526i,0.0053542+0.0076867i,-0.0018971-0.006914i,0.0030914-0.0081301i,0.0030135+0.0027133i,-0.010624-0.00022218i,-0.0027477-0.0005133i,0.010589-0.026403i,0.0074645+0.0032771i,0.007276+0.0029658i,-0.0013197+0.0033782i,-0.00034034-0.0012701i,0.018881-0.0069465i,0.00016538-0.0033114i,-0.0047451-0.0078333i,-0.0026314-0.0018478i,0.010978-0.0012028i,0.0036855+0.00051624i,0.0018943-0.0054904i,0.0056686+0.0073752i,0.0030722-0.001448i,0.024485-0.0031577i,-0.084418-0.026008i,0.0030064+0.0074324i,0.0093563-0.0066411i,-0.00041884+0.0027568i,-0.030149+0.021925i,-0.0055931+0.0077136i,-0.012976+0.014576i
-0.021623+0.024952i,-0.043561+0.030366i,-0.01292+0.039607i,-0.021979+0.030971i,-0.012985+0.042347i,0.022926+0.038326i,0.0045943+0.022123i,-0.00058119+0.038257i,-0.007579+0.017084i,-0.0056796-0.00043562i,-0.0032317+0.0012369i,-0.0062181-0.0029147i,-0.0047005+0.001765i,-0.0068813+0.00064456i,0.0015581+0.0050668i,-0.005593+0.0035455i,-0.013334+0.007687i,-8.8614e-05+0.0010267i,0.0030248-0.0035283i,0.0016564-0.0030208i,9.8503e-05-0.0041497i,0.00079314-0.0044669i,0.00057413-0.002787i,-0.010892-0.0022977i,-0.00094029+0.0010845i,-0.0022313+0.0036614i,-0.0010312+0.00036285i,-0.0026133+0.001251i,-0.0023663-0.0006806i,-7.9339e-05-0.002302i,0.0011847+0.0065495i,0.00065666-0.00060669i,0.0017454-0.0012318i,0.0014977+0.00072647i,-0.0001448+0.0036793i,-0.00041326-0.0056974i,-0.00082834+0.00054379i,-0.0010268-0.00024992i,0.0046458+0.0032195i,0.0058237-0.0014144i,-0.00036678-0.0028211i,2.6266e-05-0.0024959i,-0.0016601+0.0042699i,0.001378+0.0021899i,-0.034567-0.0021051i,-0.042503-0.088277i,-0.07962+0.0019334i,-0.07029-0.026178i,-0.094796-0.023407i,-0.052557+0.012993i,-0.067855+0.049104i,-0.038271+0.034281i,-0.040824-0.024319i,-0.04569-0.048886i,-0.033727-0.0049226i,0.0044044-0.0008846i,-0.0015587+0.022456i,0.0082068-0.0032636i,0.0070928-0.0068723i,-0.014668-0.01118i,0.0036532-0.00031125i,-0.0044247+0.0050151i,0.011442+0.0062833i,0.0048949+0.01207i,-0.00010702+0.00177i,0.0077241-0.0018191i,0.0041053-0.0016112i,0.0075491+0.006267i,0.005198+0.0024732i,-0.0069568-0.0034905i,0.00062938-0.0061498i,0.0050489+0.001751i,-0.0060609+0.0090458i,-0.00128+0.0012515i,0.0004971-0.020867i,0.0092274-2.9513e-06i,0.0071245-0.0012121i,0.00087065+0.00099962i,0.00088665+0.00067819i,0.012667-0.011728i,-0.0025689-0.00014645i,-0.0078713-0.0038669i,-0.0038878+0.0014969i,0.0072922-0.0043148i,0.007238-0.0011521i,0.0027629-0.0047737i,0.0091175+0.0042563i,0.0041266-0.0023987i,0.021478-0.010265i,-0.088098-0.012828i,-0.00022515-0.0023115i,0.012566-0.002198i,0.0013462-0.00026852i,-0.02023+0.023775i,-0.0049305+0.0034648i,-0.0055519+0.014225i
-0.016167+0.025361i,-0.039076+0.036454i,-0.0098915+0.036213i,-0.01674+0.033847i,-0.0046137+0.041302i,0.028912+0.031477i,0.0086753+0.02089i,0.0063158+0.035909i,-0.0073206+0.017118i,-0.0050525+0.0022268i,-0.002594+0.0013771i,-0.007868+0.0011544i,-0.0042353+0.0034074i,-0.0068088+0.0029965i,0.0030208+0.0044879i,-0.004466+0.007138i,-0.0083621+0.013366i,0.0010675+0.00026941i,0.0013736-0.0044922i,6.9724e-05-0.0041024i,-0.0012773-0.0040804i,-0.00052072-0.0046049i,-2.2271e-05-0.0033291i,-0.010572+0.00093107i,-0.00041563+0.00066427i,0.00026265+0.0035029i,-0.0011216+0.00020321i,-0.0014801+0.0017475i,-0.002495+0.00036386i,-0.0014787-0.0020102i,0.004223+0.0071964i,0.00022386-0.0004891i,0.0010583-0.00168i,0.0015693+0.00011246i,0.0017971+0.0031783i,-0.0014989-0.0070525i,-0.00089825+0.0010393i,-0.001255+0.00040773i,0.0040871-0.0017577i,0.0046599-0.0024324i,-0.00096381-0.0028792i,-0.00011741-0.0014976i,-0.0044063-0.006166i,-0.0004745+0.00027166i,-0.036609+0.0019434i,-0.067245-0.072199i,-0.069706+0.00782i,-0.07766-0.015036i,-0.099013-0.0069317i,-0.046469+0.018581i,-0.053147+0.054976i,-0.023896+0.031578i,-0.044946-0.021489i,-0.053461-0.041411i,-0.031358+0.0019758i,0.0022289-0.0036686i,0.0067095+0.019756i,0.0066584-0.0056664i,0.0020262-0.0081307i,-0.04336-0.0047287i,0.00028438+0.00022962i,-0.00070668+0.0050794i,0.010553+0.00047943i,0.0092367+0.01153i,0.0004876+0.0031184i,0.0045354-0.0029493i,0.0034402-0.00494i,0.006881+0.0011292i,0.002413+0.00070707i,-0.0068884+0.00023199i,-0.0014584-0.004916i,0.0056628-0.00021248i,0.0039506+0.011099i,2.9188e-05+0.00097414i,-0.007675-0.015954i,0.0082373-0.0031814i,0.0060535-0.0032131i,0.0018287+0.0014686i,0.0015348+0.00014018i,0.0073674-0.012885i,-0.00018411+0.0023229i,-0.0090035+0.00054747i,-0.0014903+0.0040303i,0.0043131-0.0042073i,0.0060279-0.0053195i,0.0003748-0.0051873i,0.0098388-0.0010802i,0.0023696-0.0051466i,0.017344-0.016679i,-0.085753+0.002295i,-0.0074177-0.0056126i,0.0069078-0.010602i,0.00097935-0.0046892i,-0.014454+0.026385i,-0.0088552+0.0027758i,-0.0074809+0.012142i
-0.012083+0.024834i,-0.033819+0.041108i,-0.0086687+0.034997i,-0.010462+0.035453i,0.0023098+0.038227i,0.032533+0.023963i,0.012748+0.018407i,0.012012+0.032463i,-0.0055379+0.018774i,-0.0030479+0.0040803i,-0.0028019+0.0020353i,-0.0067247+0.004762i,-0.0033152+0.0047804i,-0.0052451+0.0055759i,0.0043458+0.0035275i,-0.0014301+0.0094636i,-0.0017408+0.015796i,0.0010148-0.00062434i,0.00025087-0.0043587i,-0.0018011-0.0038341i,-0.002801-0.0033943i,-0.0019179-0.0040871i,-0.0012569-0.0034242i,-0.0086369+0.0033536i,-0.00094618+0.00018733i,0.000423+0.0018969i,-0.0011866+0.00033353i,-0.00070032+0.0016583i,-0.0020212+0.0013303i,-0.0018591-0.00070718i,0.0078445+0.0032196i,0.00014925-0.00040346i,0.00012799-0.0017767i,0.0012741-0.00045655i,0.0024169+0.0018442i,-0.0038581-0.0078968i,-0.00058762+0.0014535i,-0.0010866+0.0012325i,0.0006254-0.0014945i,0.0034298-0.0025762i,-0.0018013-0.0024434i,-0.00028681-0.0015384i,-0.0014328+0.0040036i,-0.0026659+0.0022726i,-0.037256+0.0080141i,-0.077429-0.048327i,-0.06371+0.0094808i,-0.0827-0.0015514i,-0.099826+0.012004i,-0.041868+0.02105i,-0.038869+0.056733i,-0.015925+0.027458i,-0.047104-0.017438i,-0.057674-0.03304i,-0.028986+0.0089123i,-2.2779e-05-0.0046955i,0.015101+0.013961i,0.0046227-0.0070561i,-0.0024935-0.0067676i,-0.017988+0.011551i,-0.00062075+0.0032838i,0.0019137+0.0050234i,0.006254-0.0014077i,0.014645+0.0087243i,0.001851+0.0031645i,0.0025459-0.0016333i,0.0010668-0.0062372i,0.0022262+0.00073024i,0.00049546+0.0017925i,-0.0069551+0.0048999i,-0.0026068-0.0023297i,0.0053022-0.0023308i,0.010217+0.0062999i,0.00059155+0.00069903i,-0.01057-0.015865i,0.0059733-0.0056804i,0.0043738-0.0054997i,0.0031463+0.001548i,0.0018909+6.2535e-05i,0.0038364-0.0124i,0.0018878+0.0015551i,-0.007046+0.0057549i,0.001375+0.0043742i,0.0031635-0.0036171i,0.0022188-0.0092527i,3.8397e-05-0.0042087i,0.0063009-0.005654i,-0.00035371-0.0061863i,0.0086717-0.022238i,-0.079281+0.012276i,-0.014656-0.0020706i,0.0011485-0.01654i,-0.0016091-0.0084285i,-0.0087347+0.025929i,-0.012047+0.0061686i,-0.0064917+0.01227i
-0.0090929+0.024544i,-0.028399+0.045693i,-0.0071929+0.036514i,-0.0042301+0.035006i,0.0066227+0.033924i,0.034911+0.017049i,0.016477+0.014627i,0.016725+0.028446i,-0.0025294+0.018891i,-0.001416+0.0039294i,-0.0031052+0.00353i,-0.0046082+0.0069439i,-0.0018272+0.006118i,-0.0028334+0.006721i,0.0049584+0.0020821i,0.0019756+0.010041i,0.0051907+0.014567i,0.00084681-0.00062009i,-0.0011567-0.0044472i,-0.0030582-0.0026477i,-0.0032925-0.0018679i,-0.0027582-0.0032291i,-0.0021946-0.0027276i,-0.0076166+0.0042712i,-0.0015611+0.00077572i,-3.1659e-05+0.0016793i,-0.0013395+0.00067248i,-9.529e-05+0.0013014i,-0.0011074+0.0018536i,-0.0015945+4.7887e-05i,0.0088158-0.0010534i,2.5546e-05-0.00040689i,-0.0006239-0.0014215i,0.00076321-0.0010188i,0.0024395+0.0011317i,-0.0078111-0.0079598i,-0.00028321+0.001272i,-0.00028686+0.0017072i,5.3253e-05-0.0011963i,0.0026057-0.0024243i,-0.0021701-0.0015258i,-0.00076293-0.0019954i,0.00049286+0.0043846i,-0.0021564+0.0051859i,-0.036269+0.0151i,-0.075123-0.030625i,-0.06132+0.011763i,-0.082833+0.015827i,-0.093871+0.032135i,-0.04047+0.023568i,-0.027465+0.054974i,-0.0095116+0.023683i,-0.047872-0.011593i,-0.061207-0.024648i,-0.024814+0.014729i,-0.003532-0.0045102i,0.01732+0.002007i,0.0028128-0.0089301i,-0.0054827-0.003456i,-0.013274+0.016414i,0.0014583+0.0041493i,0.005185+0.0031359i,0.0049261-3.481e-05i,0.017956+0.00082523i,0.0025785+0.0029662i,0.0023095-0.00074395i,-0.0019016-0.0080012i,0.0011485+0.0032397i,0.0011783+0.0035047i,-0.0020669+0.0097288i,-0.0016834-0.00017836i,0.0036538-0.0033341i,0.010231+0.0017802i,0.001395-0.00025796i,-0.016235-0.01402i,0.0031315-0.0065079i,0.00070983-0.0064609i,0.0036855+0.00027997i,0.0020216+0.00025266i,0.0018982-0.010868i,0.0024705+9.6403e-05i,-0.0029311+0.0075769i,0.0031819+0.0016616i,0.0024012-0.0039637i,-0.0035003-0.0090879i,-0.00071616-0.0054979i,0.0023938-0.0055898i,-0.0023196-0.0063087i,-0.0016873-0.022189i,-0.075431+0.020671i,-0.013877+0.0072088i,-0.0050449-0.017271i,-0.0059985-0.0094195i,-0.005212+0.025305i,-0.01117+0.011085i,-0.0027592+0.012126i
-0.0060824+0.024521i,-0.021128+0.050409i,-0.0034428+0.038915i,0.00079936+0.033491i,0.0087051+0.03119i,0.036256+0.010141i,0.018938+0.010035i,0.020512+0.024131i,0.00020414+0.018958i,-0.00073511+0.003958i,-0.0018848+0.0058942i,-0.0017704+0.0084705i,0.00014555+0.0067426i,-0.00058202+0.0066207i,0.0050013+0.00071075i,0.0053807+0.0093366i,0.0099767+0.010578i,0.00096339-0.00067078i,-0.0023364-0.0038332i,-0.0036048-0.0010652i,-0.0030981-0.00068685i,-0.0034148-0.0022993i,-0.0027336-0.0018977i,-0.0071398+0.0065328i,-0.0013095+0.0016799i,3.1352e-06+0.0021396i,-0.0012192+0.0013813i,-0.00013006+0.00089625i,-0.00033196+0.0018086i,-0.00131+0.00034458i,0.0017124-0.0068211i,0.00021642-0.00012083i,-0.00089814-0.0010495i,0.00028197-0.0010888i,0.0027214-3.5972e-05i,-0.011046-0.0051597i,6.8879e-05+0.0012773i,0.00043062+0.001611i,-0.00069388-0.001127i,0.0020309-0.0023191i,-0.002135-0.00076589i,-0.0013985-0.0014801i,0.0017014+0.0035645i,-0.00022684+0.0061338i,-0.032473+0.021103i,-0.073461-0.02323i,-0.06084+0.016603i,-0.076163+0.030753i,-0.082419+0.049734i,-0.038081+0.029379i,-0.018503+0.053314i,-0.0055876+0.019047i,-0.047702-0.0064682i,-0.062968-0.015225i,-0.019779+0.018439i,-0.0045781-0.0042118i,0.010971-0.0077929i,-0.00034734-0.010983i,-0.006071-0.00024692i,-0.008167+0.017831i,0.001905+0.0030969i,0.0067301-0.00098332i,0.0058373-0.00032837i,0.015521-0.0056883i,0.0047625+0.0029638i,0.0023566+0.0005489i,-0.0068489-0.0044027i,0.00272+0.0048549i,0.0025179+0.0045628i,0.003708+0.0083916i,-0.0011217+8.6407e-05i,0.0026103-0.003676i,0.010512-0.002798i,-4.0354e-05-0.00086246i,-0.020735-0.0092381i,0.0012245-0.0063699i,-0.0012709-0.0042138i,0.0043212+0.00084748i,0.0022343-0.00041176i,0.0010513-0.011823i,0.0021005-0.0012592i,0.00053967+0.0072572i,0.0026757+0.00078771i,0.0023826-0.0034524i,-0.0062662-0.0045732i,-0.0044068-0.0059299i,-0.00019993-0.00517i,-0.0047566-0.0058933i,-0.0089886-0.017765i,-0.069763+0.029169i,-0.0090642+0.0070392i,-0.0069169-0.01601i,-0.0092491-0.0086132i,-0.00014767+0.023059i,-0.0099721+0.012853i,-0.001188+0.0097591i
-0.0029763+0.024256i,-0.012843+0.053433i,0.0022099+0.041248i,0.0051742+0.032045i,0.0108+0.029808i,0.036179+0.0033159i,0.020294+0.0052126i,0.023611+0.019745i,0.0032148+0.01842i,9.9492e-05+0.0041411i,0.0011051+0.0069834i,0.0016402+0.0082406i,0.0021241+0.0066536i,0.00087671+0.0063385i,0.0048376-0.00041485i,0.008194+0.0069926i,0.012605+0.0059252i,0.0012431-0.0015998i,-0.0030878-0.0029596i,-0.0032138+0.00065277i,-0.0026156+0.00025407i,-0.0037025-0.000991i,-0.0029963-0.0010539i,-0.0043396+0.0085061i,-0.00065067+0.0024091i,0.00098048+0.0021893i,-0.00073003+0.0021371i,-0.00043481+0.0010145i,0.00027056+0.0016719i,-0.0010541+0.0006611i,0.0018633-0.0036496i,0.00062843-0.00057994i,-0.0013188-0.00074464i,-0.0001365-0.0010911i,0.0020977-0.001237i,-0.011634-0.0010172i,0.00043662+0.0013171i,0.00093468+0.0014949i,-0.0016674-0.00076267i,0.0017804-0.0023006i,-0.0018369-0.00040109i,-0.0016204-0.00091466i,0.0022043+0.0024491i,0.0017729+0.0066029i,-0.02814+0.024775i,-0.077973-0.016646i,-0.059333+0.022522i,-0.068062+0.042659i,-0.066525+0.061046i,-0.034174+0.034558i,-0.010514+0.050381i,-0.0032891+0.016226i,-0.047225-0.00037735i,-0.06254-0.004825i,-0.015388+0.020957i,-0.0062401-0.0030828i,0.0032807-0.0091703i,-0.0044591-0.011317i,-0.0050293+0.003395i,-0.003133+0.018044i,0.0013666+0.0025049i,0.0053855-0.0052888i,0.0050109-0.0016466i,0.011237-0.010828i,0.006525+0.00053812i,0.0035689+0.00086107i,-0.0077926-0.00071037i,0.0050398+0.0051633i,0.0047194+0.0050803i,0.0071537+0.005247i,-0.00080736+0.0010461i,0.0022514-0.003865i,0.0042788-0.0068656i,-0.00040087+0.00081258i,-0.024241-0.0021801i,-7.8775e-05-0.0062857i,-0.001751-0.0024023i,0.0052956-0.00028053i,0.0020994-0.00084263i,-0.0019305-0.01361i,0.00080441-0.0016391i,0.0041915+0.0067199i,0.0031162+0.0003424i,0.0029226-0.0039016i,-0.0075937-0.0019948i,-0.0075383-0.002559i,-0.0029709-0.0036949i,-0.0062914-0.0049068i,-0.013002-0.012397i,-0.063625+0.036005i,-0.0083379+0.005755i,-0.008326-0.018586i,-0.0118-0.0065477i,0.00081311+0.021421i,-0.0093525+0.014528i,-5.2131e-05+0.0082232i
0.00042527+0.023982i,-0.0032681+0.054649i,0.010177+0.041972i,0.0089631+0.030467i,0.014301+0.029538i,0.035206-0.0027839i,0.020551+7.5823e-05i,0.025991+0.014962i,0.0062441+0.01727i,0.00077286+0.0041026i,0.0037771+0.0057032i,0.0038171+0.0061638i,0.0039748+0.0060579i,0.0026489+0.0058239i,0.0044871-0.0015274i,0.0092537+0.0038493i,0.013185+0.00060739i,7.7727e-05-0.0023707i,-0.0040032-0.0017202i,-0.0019757+0.0015896i,-0.0016305+0.00059173i,-0.0033317-7.5865e-05i,-0.0029426-9.5137e-05i,-0.0011339+0.0091309i,0.00033185+0.0025716i,0.0017063+0.0015717i,0.00039831+0.0022977i,-0.00018159+0.0014936i,0.00091908+0.0012458i,-0.00065754+0.00074149i,0.00068191-0.0041031i,-4.8018e-06-0.0010977i,-0.0015747-0.0001335i,-0.00055804-0.00099815i,0.001144-0.0018947i,-0.010657+0.002187i,0.00084606+0.0012162i,0.0015356+0.0010628i,-0.0020867+0.0001913i,0.0015015-0.0025975i,-0.0016847+2.9634e-05i,-0.001505-0.00065515i,0.0019951+0.0016013i,0.0038139+0.0063556i,-0.024081+0.028553i,-0.085967-0.0037596i,-0.054821+0.028163i,-0.056898+0.051365i,-0.051197+0.068463i,-0.02926+0.040942i,-0.0021036+0.045661i,0.0018355+0.013587i,-0.044792+0.0062553i,-0.059013+0.0052862i,-0.011059+0.024503i,-0.0075968-0.0015886i,-0.001949-0.0087973i,-0.0087527-0.01036i,-0.0014002+0.0050596i,0.00323+0.016055i,-0.00019595+0.0028146i,0.0026066-0.0083295i,0.0052185-0.0010558i,0.0046214-0.013228i,0.0067764-0.0028926i,0.0047559+2.5723e-05i,-0.0078783+0.0040093i,0.008031+0.0042336i,0.0081895+0.0027773i,0.0087065+0.0018364i,0.00057904+0.0017891i,0.0013617-0.004336i,-0.00081393-0.0085562i,0.0011611+0.0023205i,-0.022145+0.0068382i,-0.0018365-0.0062952i,-0.0012338-0.00060374i,0.0061663-0.0032137i,0.0020718-0.0010453i,-0.0075363-0.013218i,-0.00021429-0.0013332i,0.0060464+0.0029533i,0.0033801-0.00038407i,0.002372-0.0046111i,-0.0067817+0.0022951i,-0.0072716+0.0021468i,-0.0048706-0.0013309i,-0.0083396-0.0039828i,-0.014402-0.0073627i,-0.058381+0.042145i,-0.0088868+0.0081702i,-0.013602-0.022938i,-0.010446-0.0034777i,0.0031709+0.021318i,-0.008647+0.017966i,0.0018356+0.0058612i
0.0040088+0.022972i,0.0061999+0.0536i,0.018453+0.039359i,0.012991+0.028623i,0.018914+0.028309i,0.03385-0.0084478i,0.019352-0.0048635i,0.02733+0.010084i,0.0090119+0.015569i,0.0015692+0.0040664i,0.004721+0.0041179i,0.0042701+0.0043427i,0.0055637+0.004452i,0.0040454+0.0047183i,0.0037273-0.0024856i,0.0090106+0.0011021i,0.010801-0.0033008i,-0.00091525-0.0019853i,-0.0038998-6.0752e-05i,-0.00076074+0.001602i,-0.00084743+0.00026376i,-0.002913+0.00055809i,-0.0025142+0.00062729i,0.0016485+0.0090085i,0.0014567+0.0021282i,0.0021487+0.00099174i,0.0011509+0.0018298i,0.00047925+0.0015777i,0.0010593+0.00047923i,-0.00053503+0.00080171i,-0.001026-0.0037409i,-0.0007525-0.00098436i,-0.001389+0.00042931i,-0.001066-0.00069591i,8.0355e-05-0.0020168i,-0.0091161+0.0048156i,0.0011952+0.00076112i,0.0017641+0.00027323i,-0.0018685+0.0013443i,0.0007852-0.0032049i,-0.0014003+0.00027901i,-0.0016219-0.00071619i,0.0018888+0.0013353i,0.0057154+0.0056686i,-0.019023+0.031552i,-0.087535+0.016069i,-0.052025+0.031982i,-0.046233+0.056109i,-0.034228+0.072864i,-0.021119+0.047075i,0.0038276+0.038015i,0.0051898+0.0063106i,-0.039003+0.011029i,-0.05266+0.01423i,-0.0035073+0.02564i,-0.0087261+0.00069711i,-0.0076801-0.0060681i,-0.012157-0.0067917i,0.0015689+0.0037683i,0.0061952+0.013092i,-0.0016246+0.0043847i,-0.00090442-0.010548i,0.0063743-0.0033831i,-0.0018116-0.011803i,0.0046878-0.0053165i,0.0051785-0.0023583i,-0.0062175+0.0073992i,0.010588+0.00021494i,0.0083497-0.0021256i,0.0084074-0.0041911i,0.0024244+0.0012649i,0.00014909-0.0046068i,-0.0043663-0.0048035i,0.0032815+0.0012738i,-0.010066+0.017431i,-0.0035238-0.0061449i,0.00026847+0.00033589i,0.0033964-0.006326i,0.0019956-0.0011024i,-0.013284-0.0089884i,-0.0001866-7.7557e-05i,0.0063842+0.0003797i,0.0024705-0.0016274i,0.0014818-0.0049651i,-0.0037466+0.0050529i,-0.0049759+0.0051632i,-0.0048595+0.0021517i,-0.010987-0.0017469i,-0.014214-0.0039337i,-0.051402+0.051074i,-0.0031048+0.011371i,-0.022709-0.020577i,-0.008419-0.0043868i,0.0053732+0.021044i,-0.0054538+0.020916i,0.0019359+0.0021891i
