-0.022757-0.018439i,-0.032576-0.032376i,-0.022473-0.019805i,-0.03257-0.020904i,-0.023842+0.0043244i,-0.028739-0.017562i,-0.058367-0.043989i,-0.041107-0.041048i,-0.03149-0.020291i,0.0048932+0.0046834i,-0.0035993+0.0065745i,-0.011254+0.010532i,0.003918+0.0068162i,-0.0040351-0.0027386i,0.0028564+0.0017188i,0.0041068+0.02854i,0.026799+0.023665i,-0.00012235+0.00021827i,-0.0031784-0.0028138i,0.0081148+0.004528i,0.0019653+0.00054603i,-4.7913e-05+0.0026781i,-0.00059065+0.00042733i,-0.030875-0.0015018i,-0.0035686-0.0044432i,-0.0001391+0.0025185i,0.0049309-0.00086494i,0.00033628-0.00048201i,-0.00036245-0.00051474i,-0.0011603-0.0017753i,-0.002087-0.00062767i,-0.0039599-0.0040502i,-0.0030478-0.0049262i,0.00027964-0.0011815i,0.00015965-0.002768i,-0.0020804+0.025884i,0.0022152-0.0031707i,0.0023269-0.0037363i,0.0038866-0.0025993i,-0.0082816-0.00077543i,0.00051886+0.0012653i,0.014009-0.011408i,-0.0023356-0.00027561i,-0.0032783+0.0011432i,-0.0096486-0.0031696i,-0.019017+0.021471i,-0.0083481-0.086401i,-0.0031666-0.060998i,-0.020852-0.052023i,-0.010458-0.045815i,0.053893-0.025623i,0.024103-0.067162i,0.041014-0.05285i,0.018957-0.039409i,0.024748-0.020626i,0.012125+0.011607i,0.026714-0.027448i,-0.010375+0.00052816i,-0.00045408-0.00081588i,-0.007064-0.0014859i,-0.0053773-0.029079i,-0.020987+0.026774i,0.0069886-0.0098722i,-0.011228-0.0026472i,-0.0023161-0.0016765i,-0.00064023-0.014992i,-0.007411+0.0047927i,0.0054758+0.010213i,-0.0093131+0.031583i,0.0071444+0.0082352i,-0.0036972-0.0018265i,-0.0025189-0.0014414i,-0.012314-0.0053766i,0.00023233-0.0037069i,-0.032433+0.0038164i,0.0026678-0.0087904i,-0.007221-0.0016363i,-0.0053595-0.0029351i,0.0069696+0.001799i,-0.010841+0.0010071i,0.0022487-0.00039137i,0.0061995+0.007627i,0.0056337+0.0010677i,-0.0081147-0.0094642i,0.0023288+0.0078961i,-0.018234+0.0066772i,0.0031368+0.0064089i,-0.021483-0.0084823i,-0.027378-0.005271i,0.0090537-0.060562i,0.018454-0.015255i,-0.050988-0.028629i,-0.025231+0.0023709i,0.018751+0.010417i,-0.027848+0.012304i,-0.012304-0.0080801i
-0.011692+0.013628i,-0.020975+0.041836i,0.0019357+0.040319i,-0.010049+0.023576i,-0.00016111+0.020996i,0.0017881+0.023236i,-0.0248+0.016057i,-0.025414+0.033516i,-0.00034885+0.016487i,-0.0011946-0.0013737i,-0.0010323+0.0018959i,0.0042101+0.0033618i,0.0034233+0.0049114i,-0.0032303+0.0017226i,-0.0031419+0.003676i,0.0011653-0.0065747i,-0.0076695-0.0022791i,-0.0023232+8.6114e-05i,0.00021128-0.0012634i,-0.00094337-0.00044477i,0.00096432-0.0035187i,0.0011996-0.0027308i,0.00089107-0.001519i,-0.0099084-0.0081511i,1.3232e-05-0.00037458i,-0.0014905+0.00036953i,-0.0023528+1.9588e-05i,-0.0027536-9.82e-05i,-0.00094558-0.00092542i,0.0010519-0.0006987i,-0.0018326+0.000177i,0.0016086-0.00034388i,0.0019846-0.00044354i,0.00062381+0.0005863i,-0.00031109+0.0017651i,-0.00087404-0.0062806i,-0.0013722+0.00089777i,0.0017595+0.00015681i,0.00095451+0.0030455i,0.0043918+0.0049139i,0.0012941-0.0016134i,-0.0016877-0.00090901i,-0.0019898-0.0018857i,0.0030682+0.0057685i,-0.0071984+0.0073272i,0.019388-0.05788i,-0.074334+0.014908i,-0.029138-0.017478i,-0.059842-0.048364i,-0.052604-0.017151i,-0.085579+0.0045358i,-0.073131+0.0024706i,-0.04768-0.034353i,-0.0087517-0.045452i,-0.038158-0.025538i,-0.0061367+8.6295e-05i,-0.029406+0.0093879i,0.0076801+0.011307i,0.0094383+0.0070979i,0.0019909-0.0064666i,0.010036+0.0039186i,-0.010906-0.0028604i,0.0027993+0.01182i,0.00099339+0.007235i,-0.0001975-0.0012558i,0.0062653+0.0020327i,0.0039669+0.00043367i,-0.0053607+0.019078i,0.00087162+0.0095227i,0.0014081-0.0048574i,0.008038-0.0058391i,0.0017916+0.0039618i,-0.0081736-0.0070652i,-0.0028109-0.0010876i,0.018942-0.032832i,0.005432+0.0090573i,0.001812+0.0027529i,-0.0016897+0.0040536i,0.0035941-0.0035676i,0.020006+0.0023833i,0.0015618-0.001996i,-0.0022786-0.0073609i,-0.00031934-0.0019536i,0.011022+0.0051943i,0.0056998-9.2567e-05i,0.0033735-0.0075312i,0.0047734+0.0054748i,-0.0058686+0.0034276i,0.013614+0.0066984i,-0.041946-0.038333i,-0.013151+0.0066575i,-0.0020294-0.0017409i,-0.00061553+0.0032163i,-0.040396+0.011868i,-0.006686+0.0083837i,-0.012959+0.0037376i
-0.0087926+0.014444i,-0.013584+0.042248i,0.01091+0.033708i,-0.0056532+0.02443i,0.0027405+0.018745i,0.0062265+0.021788i,-0.023236+0.019805i,-0.017619+0.035514i,0.0031042+0.011763i,-0.0017032-0.0005089i,-0.00018445+0.0030668i,0.0048061+0.00095205i,0.0043498+0.0030156i,-0.0016592+0.0027377i,-0.0023616+0.0047128i,-0.0030004-0.0050579i,-0.009278+0.0017138i,-0.0016313+0.0014706i,0.00090302-0.00088638i,-0.00045167-8.1298e-05i,-7.7211e-05-0.0035148i,0.00096168-0.0021514i,0.00074178-0.0013343i,-0.011137-0.0045575i,0.00016869-0.00033174i,-0.0014907+0.00081564i,-0.0017145+0.00090797i,-0.0025779+0.00071705i,-0.0010615-0.00066357i,0.00099957-0.00077147i,-0.0016769+0.0011399i,0.0010695-0.00064695i,0.0011034-0.00144i,0.00021275+0.00052926i,-0.0008701+0.0015256i,-0.00011592-0.0050623i,-0.00077057+0.0010683i,0.0010586-0.00047421i,0.0012614+0.0029806i,0.0052196+0.0022486i,0.00070149-0.0021498i,-0.0022664-0.00056743i,-0.0029065-0.00071115i,0.0044683+0.0049567i,-0.0053084+0.005446i,0.0012651-0.066981i,-0.06463+0.029277i,-0.035574-0.019474i,-0.073312-0.039034i,-0.052923-0.0059842i,-0.07676+0.021059i,-0.070599+0.016773i,-0.041634-0.031133i,-0.014598-0.043986i,-0.044198-0.010614i,-0.0070449+0.00023011i,-0.022953+0.021196i,0.010163+0.0060816i,0.011625+0.0006716i,-0.0026298-0.011411i,0.007371+0.0035711i,-0.010849+0.0030076i,0.0071956+0.0099416i,0.0029851+0.0073645i,-0.00080788-0.0010907i,0.0069921+0.0017334i,0.0049788+0.00029986i,0.0035241+0.016637i,0.0047455+0.004954i,-0.003192-0.0063697i,0.0022322-0.0065951i,0.0034083+0.004356i,-0.010678-0.00017924i,-0.0022038+0.0018519i,0.0054171-0.033038i,0.0085563+0.0078033i,0.0038297+0.0018939i,0.0018809+0.0030839i,0.00018975-0.0019669i,0.017497-0.0066803i,-0.00022908-0.0026375i,-0.0054607-0.0051136i,-0.0026866-0.001211i,0.011178+0.00061372i,0.0049087-5.467e-05i,0.00053215-0.0057271i,0.0068985+0.003698i,-0.0057346+0.0056007i,0.013398+0.0016288i,-0.04932-0.032587i,-0.0063048-0.0041554i,-0.0029388-0.0028i,0.0010221+0.0018518i,-0.033505+0.022803i,-0.0043059+0.0095138i,-0.010585+0.0058855i
-0.0055664+0.014524i,-0.0071036+0.04256i,0.015433+0.026083i,-0.0012409+0.023587i,0.0064175+0.017426i,0.010122+0.019316i,-0.019876+0.023723i,-0.010217+0.034751i,0.0028349+0.0079149i,-0.0017321+0.00065844i,0.0016535+0.003673i,0.0022331-0.00025861i,0.0044183+0.0016037i,-0.00092704+0.0029418i,-0.00094438+0.005569i,-0.0059875-0.0014402i,-0.0088766+0.006711i,-0.00060487+0.0016845i,0.0014192-0.0019129i,0.00016236-0.00047167i,-0.0011781-0.0031962i,0.0009615-0.0026858i,0.00078132-0.001495i,-0.01175-0.0014169i,2.2956e-05-0.00032785i,-0.00087404+0.0014546i,-0.00096592+0.00073762i,-0.0014321+0.0018638i,-0.0012299-0.00058682i,0.00065327-0.0013402i,-0.00072193+0.0015288i,0.00065079-0.00075855i,0.0001769-0.0015275i,0.00050282+0.00034563i,-0.00042357+0.0024047i,0.00083643-0.0057746i,-0.00058001+0.00094961i,0.00041288-0.00073187i,0.0037277+0.00066583i,0.0046113+0.00039364i,0.0001166-0.0022595i,-0.0016174+0.00051825i,-0.0033275+0.00056401i,0.0057387+0.00363i,-0.0048443+0.0040729i,-0.020481-0.067239i,-0.050809+0.038601i,-0.042709-0.016122i,-0.080891-0.024497i,-0.048748+0.002691i,-0.062039+0.032023i,-0.057354+0.029477i,-0.043286-0.032964i,-0.020077-0.042976i,-0.042331+0.0029592i,-0.0072904+0.0015887i,-0.012098+0.026283i,0.010605+0.0014497i,0.0079226-0.0048725i,-0.012597-0.011647i,0.007831+0.0010918i,-0.0073336+0.0065508i,0.010575+0.0050391i,0.0053869+0.0067069i,-0.0031051+0.00057882i,0.0067646-0.002169i,0.0062015-0.0026262i,0.0077429+0.010974i,0.0040073+0.0012473i,-0.0082511-0.0033773i,-3.9848e-05-0.004764i,0.0058415+0.0032119i,-0.0070343+0.0085583i,0.00030285+0.003079i,-0.0039648-0.030604i,0.01206+0.0035123i,0.0039451+0.00014499i,0.0013426+0.0023868i,0.00048746-0.00036014i,0.011201-0.011285i,-0.0024034+0.00026462i,-0.0071872-0.001367i,-0.0037888+0.0020579i,0.0076734-0.0026242i,0.0073908-0.0014673i,0.00045616-0.005517i,0.0095053+0.00035633i,-0.0025215+0.0069019i,0.011859-0.0025631i,-0.054668-0.021953i,-0.010427-0.014728i,-0.0014529-0.0029454i,0.0037763-0.00072382i,-0.02533+0.027274i,-0.0033079+0.005104i,-0.0069498+0.0012743i
-0.0026031+0.013463i,0.00031053+0.042421i,0.017389+0.01887i,0.0032285+0.02257i,0.010369+0.013901i,0.013489+0.015914i,-0.015138+0.026683i,-0.0051251+0.032134i,0.0024945+0.0066506i,-0.00093644+0.0015245i,0.0031699+0.0023998i,0.001136+0.0014334i,0.0041323+0.00056419i,-0.0006746+0.003723i,0.00067874+0.00575i,-0.0060287+0.0034724i,-0.0043562+0.010897i,0.00031766+0.0013462i,0.0005392-0.002527i,-0.00010948-0.0010241i,-0.0018952-0.0025415i,0.00034148-0.0030026i,0.00058306-0.0020554i,-0.011425+0.0024726i,4.0001e-05-0.00050312i,0.00015431+0.0010611i,-0.0008277+0.00039301i,-0.00023765+0.0014788i,-0.0015513+6.3891e-05i,-0.00017062-0.0013208i,3.4673e-05+0.0013392i,0.00026185-0.00075536i,-0.00073585-0.00092755i,0.00056755+9.4327e-05i,0.0009021+0.0022026i,-0.00019375-0.0076249i,-0.00017394+0.0012132i,-0.00028996-0.00050177i,0.0018161-0.00088537i,0.004016-0.00034531i,-0.00065763-0.0023022i,-0.0009517+0.00037669i,-0.0029028+0.0021977i,0.0051344+0.0011195i,-0.0051412+0.003792i,-0.039238-0.055881i,-0.036913+0.040931i,-0.04852-0.0098914i,-0.085395-0.0093285i,-0.042661+0.0079691i,-0.049117+0.035702i,-0.043677+0.031261i,-0.047216-0.028833i,-0.025782-0.038194i,-0.038167+0.012975i,-0.0075067+0.0031683i,-0.0020293+0.027051i,0.0094487-0.0031122i,0.0028637-0.0061789i,-0.019864-0.0035923i,0.0050039-0.00023136i,-0.003537+0.0077188i,0.0095017-0.0012703i,0.0081746+0.0054908i,-0.0026986+0.0033747i,0.0032164-0.0031712i,0.0049904-0.0064724i,0.0084761+0.0043886i,0.0014143-0.0001222i,-0.0091875+0.00093212i,-0.0015671-0.0036072i,0.0068278+0.00098154i,0.0015081+0.0098967i,0.0019571+0.0019995i,-0.0090506-0.022549i,0.011976-0.0010988i,0.0037257-0.0011349i,0.0033364+0.0026841i,0.00061546-0.00052678i,0.0055892-0.011307i,8.251e-06+0.0027355i,-0.006644+0.0023411i,-0.0011562+0.0047132i,0.0050429-0.0024384i,0.0071657-0.0061798i,-0.0017081-0.0052558i,0.0080562-0.0050628i,-0.00049543+0.005953i,0.0099427-0.006561i,-0.053592-0.009609i,-0.022537-0.01502i,-0.00157-0.0075805i,0.0035586-0.0058i,-0.016461+0.03005i,-0.0070945+0.0044615i,-0.010887-0.00065257i
-0.00069648+0.012053i,0.0066652+0.040256i,0.016588+0.013427i,0.0075856+0.020377i,0.012677+0.0093937i,0.01539+0.011964i,-0.0098518+0.028065i,-0.0013804+0.029915i,0.0032361+0.0061567i,6.6222e-05+0.0017792i,0.0035357+0.0011181i,0.0018906+0.0024741i,0.0038172-0.00041849i,0.0010208+0.0045683i,0.0022692+0.0054959i,-0.0035469+0.0068479i,0.00073078+0.011526i,0.00073061+0.00092097i,5.0241e-05-0.0023021i,-0.00057188-0.0011444i,-0.0026607-0.0018507i,-0.00046321-0.0028733i,-0.00027934-0.0023589i,-0.008934+0.005035i,-0.00035825-0.00090942i,0.00022042+0.00031774i,-0.0007622+0.00023566i,0.00024279+0.00082527i,-0.001314+0.00086287i,-0.00039318-0.00081537i,0.00024992+0.0013542i,2.0704e-05-0.001007i,-0.0006912-0.00025735i,0.00039824-0.00012643i,0.0012352+0.0014509i,-0.0024107-0.008584i,0.00012547+0.0014097i,-0.00029606+0.00022065i,0.00068444-0.00095461i,0.0036742-0.00084308i,-0.0010381-0.0021419i,-0.00070062+0.00036885i,-0.0014507+0.0028034i,0.0036871+0.0011787i,-0.0046918+0.0045375i,-0.046025-0.039178i,-0.026787+0.038579i,-0.053139-0.00099871i,-0.087126+0.0077319i,-0.038424+0.0090122i,-0.038338+0.036483i,-0.034486+0.0305i,-0.049154-0.024917i,-0.02757-0.034005i,-0.032882+0.022952i,-0.006865+0.0047956i,0.0098787+0.0235i,0.0068587-0.0054133i,-0.0014233-0.005218i,-0.02159+0.0053774i,0.0038389+8.7939e-05i,0.00032837+0.0079914i,0.0043028-0.0035461i,0.010452+0.0026087i,-0.00083126+0.0051074i,0.0010578-0.0015638i,0.002269-0.0086846i,0.0037424+0.0019555i,-0.00067215+0.0011922i,-0.0090028+0.0069435i,-0.0028258-0.001396i,0.0066423-0.001464i,0.0063295+0.0061131i,0.0027469+0.00083657i,-0.011486-0.019982i,0.010206-0.0056007i,0.0026401-0.0022984i,0.0066193-0.0020262i,0.00051279-6.6854e-05i,0.0026314-0.0095721i,0.0022331+0.0016903i,-0.0040729+0.0055635i,0.0021867+0.0047249i,0.0045399-0.0022321i,0.0033001-0.011101i,-0.0027003-0.0036242i,0.0037855-0.0079404i,5.5564e-05+0.0046826i,0.0053199-0.010254i,-0.048161-0.0029505i,-0.032084-0.0075698i,-0.0054462-0.01011i,0.00093518-0.010271i,-0.0091239+0.029186i,-0.010072+0.0074524i,-0.012652+0.0023954i
0.00068715+0.010916i,0.012281+0.037873i,0.015702+0.010703i,0.010982+0.016731i,0.012849+0.004681i,0.016459+0.0085435i,-0.0042965+0.027836i,0.0014468+0.028102i,0.0042586+0.0041142i,0.00060158+0.001259i,0.0027765+9.6736e-05i,0.0029695+0.0026516i,0.0032322-0.0011508i,0.0027992+0.0036046i,0.0035235+0.0046229i,-0.00019358+0.0083998i,0.0054662+0.010129i,0.001089+0.00070859i,-0.00054799-0.0023468i,-0.0011524-0.0010332i,-0.0027671-0.00052869i,-0.00089125-0.0026669i,-0.00099603-0.0019975i,-0.007232+0.0056719i,-0.0010749-6.4963e-05i,-0.00020716-2.0811e-06i,-0.00091499+0.00018332i,0.00039483+9.0059e-05i,-0.00053555+0.0011814i,-0.00039117-0.00062425i,0.00083835+0.0013477i,-0.0006281-0.00105i,-0.0006061+0.00010122i,7.6143e-05-0.00036558i,0.0013996+0.0012594i,-0.0048031-0.0087146i,0.00028203+0.0010922i,0.00017973+0.00026135i,0.00016203-0.0009221i,0.0031699-0.0014564i,-0.0015451-0.0014564i,-0.00062587+0.00034014i,-0.00038842+0.002868i,0.0040122+0.0017367i,-0.0035728+0.0053153i,-0.044505-0.027838i,-0.019873+0.035991i,-0.05413+0.012025i,-0.082473+0.0279i,-0.039315+0.010008i,-0.030192+0.035054i,-0.026768+0.029115i,-0.050518-0.01931i,-0.030975-0.031131i,-0.023743+0.029354i,-0.0062261+0.0065034i,0.016619+0.011079i,0.0047645-0.0075516i,-0.0045119-0.0021308i,-0.018017+0.01385i,0.003618-0.00073024i,0.0044977+0.0054493i,0.0014706-0.0016206i,0.011583-0.0022314i,0.00057333+0.0058659i,0.00068671-0.00023016i,-0.0026602-0.010322i,0.0028401+0.0042297i,-0.00057782+0.0034248i,-0.0037706+0.012253i,-0.0016174+0.00077011i,0.0056501-0.0029992i,0.0078532+0.0015772i,0.0034997-0.00085933i,-0.017501-0.018521i,0.0062724-0.0082635i,0.0010052-0.0026752i,0.0037676-0.0018652i,0.00071839+0.0010213i,0.0020801-0.0077604i,0.0026608+1.9407e-05i,-0.0007562+0.0066811i,0.003761+0.00208i,0.0035881-0.0031433i,-0.0034913-0.010882i,-0.003119-0.0034646i,-0.00032507-0.0074806i,0.00052977+0.0034529i,-0.0010913-0.010242i,-0.044901+0.0019255i,-0.030022+0.0062745i,-0.009523-0.010313i,-0.0040183-0.012133i,-0.0041848+0.028352i,-0.008594+0.012032i,-0.0094883+0.0043506i
0.0018869+0.0097876i,0.017792+0.035313i,0.015939+0.0088155i,0.012707+0.012564i,0.011464+0.0013311i,0.017332+0.0051247i,0.0006277+0.026474i,0.0035799+0.027093i,0.004488+0.0023351i,0.00062597+0.00097718i,0.0023138+0.0003026i,0.0046064+0.0024009i,0.0024702-0.0016009i,0.0035485+0.0018779i,0.0042428+0.0036164i,0.0030235+0.0082409i,0.0090009+0.0070175i,0.0014092+0.00035839i,-0.0011125-0.0023077i,-0.0015248-0.00038619i,-0.0022273+0.00039736i,-0.0015206-0.0025159i,-0.0013971-0.0015042i,-0.0062848+0.0074873i,-0.00091082+7.9251e-05i,-0.00056414+0.00028451i,-0.00067977+0.00076055i,-0.00012921-0.00030764i,-0.0001734+0.00075921i,-0.00052453-0.00060725i,0.0013134+0.00081781i,-0.00075117-0.00034846i,-0.00030038+0.00016551i,-0.00012487-0.00026148i,0.0018428+0.00034991i,-0.0080449-0.0079001i,0.00012382+0.0010565i,7.9238e-05-0.00013021i,-0.00036067-0.00076228i,0.0026144-0.0020366i,-0.0016206-0.00081163i,-0.00037079+0.00038078i,0.0003971+0.0021419i,0.0045695+0.00078732i,-0.0018799+0.005305i,-0.043802-0.023347i,-0.015055+0.034393i,-0.048263+0.024092i,-0.071345+0.044869i,-0.039509+0.01581i,-0.023791+0.034547i,-0.021675+0.026521i,-0.051005-0.014822i,-0.033062-0.025928i,-0.014932+0.032342i,-0.0037025+0.0068818i,0.012102-0.00066128i,0.0011186-0.010194i,-0.0049186+0.0010175i,-0.012141+0.017843i,0.0020832-0.0018404i,0.004904+0.001393i,0.0023234-0.00025485i,0.0097059-0.0055405i,0.0046948+0.0064214i,0.0011363+0.0015012i,-0.007886-0.0052747i,0.0042518+0.0054917i,0.0010275+0.0050148i,0.0023932+0.012763i,-0.00074489+0.0011582i,0.0045854-0.0042877i,0.0079871-0.0041028i,0.0013359-0.0019092i,-0.024729-0.011615i,0.0032222-0.0089622i,-0.00016771-0.0016536i,0.0039595-0.001193i,0.0017413+0.00089964i,0.0024663-0.0088102i,0.0020533-0.0014201i,0.0020204+0.005276i,0.0035712+0.0014663i,0.0031409-0.0026018i,-0.00669-0.0069531i,-0.0045918-0.0026136i,-0.0034592-0.0055636i,0.00037444+0.0022439i,-0.0045264-0.0070277i,-0.041291+0.0069084i,-0.025092+0.0089373i,-0.0097196-0.0087349i,-0.0080862-0.011105i,0.0013184+0.024851i,-0.0064435+0.013188i,-0.0083506+0.003794i
0.0028764+0.0086171i,0.023366+0.032035i,0.016939+0.0069891i,0.013237+0.0093063i,0.0095177-0.00071105i,0.017483+0.0017403i,0.0050531+0.024243i,0.0063904+0.026437i,0.0044256+0.00031788i,0.00068721+0.00087076i,0.0026717+0.00038379i,0.0060624+0.00048529i,0.0016676-0.0017097i,0.002923+0.00087895i,0.004876+0.0026967i,0.0056701+0.0064633i,0.010894+0.003404i,0.0016388-0.00036708i,-0.0017151-0.0020377i,-0.0013805+0.0004779i,-0.0014427+0.00099327i,-0.0019936-0.0017964i,-0.0015464-0.0011209i,-0.0031989+0.0089097i,-0.00083975+0.00040662i,-0.00037604+0.00066641i,-0.00058492+0.0013708i,-0.00079563-1.9044e-05i,-7.7387e-05+0.00064674i,-0.00064204-0.00050993i,0.0016045+0.00062973i,-0.00033054-0.00036281i,-0.00045791+0.00026735i,-0.00026316-0.00015677i,0.0015152-0.00036986i,-0.011931-0.0056419i,4.6192e-05+0.00049075i,-0.00018284-3.1992e-05i,-0.00092433-0.00047771i,0.0021957-0.0021954i,-0.001534-0.0005979i,-0.00013164+0.00031343i,0.00048187+0.0015296i,0.0047491-4.837e-05i,-0.00058157+0.0041309i,-0.046519-0.019575i,-0.010841+0.032685i,-0.040758+0.032393i,-0.055766+0.055789i,-0.038289+0.021537i,-0.016951+0.032992i,-0.018364+0.025309i,-0.051903-0.009751i,-0.034057-0.020352i,-0.0070746+0.03363i,-0.0021641+0.0064687i,0.0052638-0.0028002i,-0.0033451-0.011093i,-0.0034401+0.0043292i,-0.0043775+0.018183i,-6.9692e-05-0.0022483i,0.002963-0.0020157i,0.0020172-0.00028109i,0.0070246-0.0088939i,0.0079081+0.0034445i,0.0026418+0.0018482i,-0.008376-0.001259i,0.006577+0.0057917i,0.0035045+0.0057897i,0.0088678+0.0099732i,-0.00024613+0.00164i,0.0037649-0.0051838i,0.0033623-0.0058404i,0.00047679-0.00041572i,-0.02991-0.0010518i,0.00027646-0.0091483i,-0.00031375-0.00050236i,0.0044684-0.0014244i,0.002217+0.0004744i,0.0011048-0.011175i,0.00056986-0.0016666i,0.0039418+0.0041495i,0.0040558+7.1527e-06i,0.0041398-0.0031758i,-0.0082809-0.003842i,-0.006238-0.00028048i,-0.0054152-0.0032458i,0.00048973+0.00084514i,-0.0058128-0.0041095i,-0.037252+0.010501i,-0.023059+0.011231i,-0.009376-0.010433i,-0.010612-0.0094379i,0.0024367+0.022252i,-0.0058847+0.013341i,-0.0069841+0.0039089i
0.0039219+0.0076444i,0.029053+0.02727i,0.018788+0.0044847i,0.013491+0.0066662i,0.0082119-0.0012143i,0.017138-0.0014641i,0.0085417+0.020887i,0.010051+0.025728i,0.0035627-0.0015315i,0.00073141+0.00078992i,0.0028997-0.0004118i,0.0056494-0.0023017i,0.001095-0.0015323i,0.0027649+0.0004034i,0.0054631+0.0014655i,0.0066697+0.003921i,0.010522-0.0014077i,0.00099502-0.0010337i,-0.0025192-0.0014475i,-0.00066712+0.00089228i,-0.00052924+0.00096254i,-0.0020734-0.0013199i,-0.001756-0.00070921i,7.4176e-05+0.0087432i,-0.00065582+0.00064244i,-9.774e-05+0.00069306i,6.5007e-05+0.0015098i,-0.00092053+0.00055957i,0.00017456+0.00032938i,-0.00073651-0.00043516i,0.0016247-0.00032894i,-0.00065491-0.00039601i,-0.00041926+0.00039067i,-0.00041193-9.591e-06i,0.0010046-0.00078861i,-0.013693-0.0015565i,5.5966e-05+0.0010304i,-6.6335e-05+3.5779e-05i,-0.001293+2.2955e-05i,0.0017321-0.0024858i,-0.0013372-0.0011609i,7.7567e-05+0.0001441i,0.00037872+0.0013293i,0.0045574-0.00087872i,-0.00025739+0.0031116i,-0.051379-0.012708i,-0.0067026+0.030756i,-0.030813+0.037431i,-0.040773+0.062238i,-0.035864+0.02957i,-0.010817+0.029524i,-0.012534+0.023921i,-0.052001-0.003287i,-0.03279-0.015031i,0.00022518+0.033761i,-0.0019438+0.0061458i,0.00097599-0.0033437i,-0.0083787-0.010065i,0.00037755+0.0053383i,0.00025511+0.017729i,-0.0025872-0.0012151i,0.004162-0.0046798i,0.0027485+0.0015832i,0.0021654-0.010746i,0.0087847-0.0013602i,0.0039788+0.0012456i,-0.0084871+0.0031024i,0.010002+0.0047514i,0.0071746+0.0041717i,0.013025+0.0037757i,0.00069232+0.0021679i,0.0021285-0.0062899i,-0.00017213-0.0089531i,0.001664+0.00087241i,-0.030298+0.01188i,-0.00092384-0.0084001i,0.00042429+0.00067871i,0.0050397-0.0044359i,0.0029249+7.8712e-05i,-0.0036566-0.012831i,-0.00049307-0.0010868i,0.0048142+0.001939i,0.0035972-0.00094705i,0.003636-0.0046138i,-0.0083329+0.00078502i,-0.0059535+0.0030657i,-0.0079331-0.00018729i,-0.00089365-0.00062361i,-0.0059923-0.0019226i,-0.034053+0.013003i,-0.021408+0.01638i,-0.012009-0.013974i,-0.010834-0.0080844i,0.0043637+0.021079i,-0.0062069+0.015783i,-0.0045938+0.0023466i
0.0048311+0.0063374i,0.03356+0.020951i,0.020029+0.00018579i,0.013576+0.0041759i,0.0078487-0.0014502i,0.016479-0.0043534i,0.010751+0.017422i,0.013801+0.023356i,0.002122-0.0026408i,0.00078167+0.00083661i,0.0025014-0.00097431i,0.0036402-0.004013i,0.00073623-0.0013797i,0.0024343-8.227e-06i,0.0054666+3.0948e-05i,0.006345+0.001979i,0.0082779-0.0042516i,0.00046467-0.0010574i,-0.0026052-0.00039757i,-0.0001249+0.00085003i,0.00032865+0.00048481i,-0.0020527-0.00089897i,-0.0016701-0.00031017i,0.0026978+0.0082079i,-0.00032637+0.00064968i,0.00010276+0.0007222i,0.00057096+0.0012187i,-0.00067443+0.00088975i,6.8701e-05-7.7413e-05i,-0.00095795-0.00030275i,0.0011463-0.00096955i,-0.00098464-5.1834e-05i,-0.00021637+0.00062602i,-0.00038787+0.00022868i,0.00042971-0.0011498i,-0.01321+0.0024182i,0.0005893+0.00028284i,-0.00015368-0.00011406i,-0.0011977+0.00084307i,0.0010437-0.002891i,-0.00025678+9.0055e-05i,3.1259e-05-0.00026453i,0.00045447+0.0014197i,0.004047-0.0017692i,-5.2474e-05+0.002608i,-0.053406-0.0012076i,-0.0047608+0.02913i,-0.02222+0.0392i,-0.024178+0.066423i,-0.029126+0.038334i,-0.0072266+0.02455i,-0.0089301+0.019044i,-0.048556+0.003122i,-0.030389-0.0093613i,0.0095007+0.031324i,-0.0012955+0.0060558i,-0.0037534-0.0020432i,-0.011608-0.0070031i,0.0033695+0.0032427i,0.0044955+0.016966i,-0.0054067+0.0011964i,-0.00068924-0.0066079i,0.0051865+0.00052719i,-0.0028228-0.009626i,0.0065002-0.0047085i,0.004983-0.00056225i,-0.0068773+0.0069379i,0.012603+9.6384e-06i,0.0085606-0.0007247i,0.012246-0.0041109i,0.0022462+0.0018081i,-4.8687e-05-0.0064012i,-0.0041937-0.0053186i,0.0031373-0.00030225i,-0.022073+0.020642i,-0.0033208-0.0066613i,0.0019844+0.00084483i,0.0021872-0.0063423i,0.0031711-0.00082362i,-0.0093633-0.010631i,-0.0003161+0.00063966i,0.0047555-0.00014978i,0.0025956-0.0016706i,0.002371-0.0052489i,-0.00633+0.004302i,-0.0032919+0.0053697i,-0.0070838+0.0038222i,-0.0032983-0.00022083i,-0.005653-0.00068509i,-0.029989+0.016984i,-0.012724+0.020721i,-0.017783-0.014528i,-0.011044-0.0068337i,0.0054086+0.020261i,-0.0034268+0.019228i,-0.0044207-0.0013631i
