-0.024329-0.038482i,-0.01207-0.048806i,-0.017938-0.044868i,-0.031286-0.035039i,-0.030194-0.01633i,-0.050661-0.027352i,-0.057992-0.025424i,-0.04464-0.037366i,-0.029331-0.03587i,0.007251+0.012911i,-0.0049406+0.015778i,-0.0047779+0.01409i,0.0097819+0.021386i,0.00042879+0.0044382i,0.0034766+0.0031154i,0.0063799+0.017515i,0.026728+0.038399i,-0.0024022-0.00067281i,-0.0041699-0.0057949i,0.007684+0.0016512i,-7.8021e-06-0.00086502i,-0.0010318+0.0014778i,8.4705e-05-0.00038697i,-0.030153-0.0023905i,-0.0013613-0.0057665i,0.0015675+0.0047503i,0.0034966+7.9186e-05i,-0.00041542+0.00060415i,0.00045386-0.00058765i,-0.00046251-0.0025276i,-0.0018163-0.0063119i,-0.0045429-0.0040269i,-0.0018361-0.0048361i,0.002307-0.00078476i,0.0023257-0.0028719i,0.0027628+0.025484i,0.0019502-0.0028199i,0.0029095+0.00071384i,0.0061027+0.0010151i,-0.010388-0.0036316i,-0.003144+0.00084505i,0.006619+0.0015327i,0.0052787+0.00030413i,-0.0036534+0.005608i,0.0012145-0.0085236i,-0.01166+0.018032i,0.035481-0.090392i,0.012081-0.070258i,-0.016095-0.059655i,-0.016515-0.055536i,0.039175-0.046465i,0.016857-0.062413i,0.034004-0.055529i,0.031052-0.059741i,0.015547-0.013413i,0.0045717+0.016773i,0.016626-0.026304i,-0.011281+0.0059006i,-0.00052088+0.0051369i,-0.0051595-0.0013495i,-0.0021857-0.028814i,-0.023916+0.031492i,0.0099926-0.011059i,-0.013003-0.0025797i,-0.00018957-0.0049335i,-0.0011075-0.016196i,-0.0075565+0.0046456i,0.0050675+0.0062656i,-0.0084274+0.030632i,0.0053076+0.0057804i,-0.005005-0.00073499i,-0.0030318-0.00041457i,-0.012249-0.0074171i,-0.00090875-0.0043302i,-0.029871+0.0063283i,0.00020959-0.0099504i,-0.0096791-0.0018963i,-0.0067404-0.0025244i,0.0069397+0.0027993i,-0.0081494+0.0014471i,-9.5546e-05+0.00066604i,0.005803+0.010883i,0.0040826+0.0012091i,-0.0096536-0.010217i,0.0031022+0.008101i,-0.021449+0.006005i,0.0082751+0.00027087i,-0.028798-0.0040187i,-0.042208+0.002357i,0.018943-0.096608i,-0.0016997-0.012334i,-0.053023-0.022007i,-0.023309+0.00077345i,0.01805+0.010751i,-0.02507+0.013076i,-0.018464-0.013249i
-0.030921+0.019214i,-0.051363+0.020121i,-0.030876+0.04582i,-0.030393+0.024814i,-0.027119+0.039689i,0.0060643+0.046108i,-0.0022452+0.023204i,-0.015108+0.038863i,-0.013179+0.022499i,-0.0033962-0.0050783i,-0.004313-0.0029687i,-0.0019238-0.0034132i,-0.0038521-0.00056523i,-0.0068378-0.0043025i,-0.0017806+0.0042125i,-0.0027112-0.0015636i,-0.011369-0.0033432i,-0.0021123-0.00094238i,0.0029433-0.0013892i,0.0019183-0.00056046i,0.0026579-0.003569i,0.0024204-0.0038992i,0.0013869-0.0024842i,-0.0089412-0.0080827i,-0.0016904+0.00073568i,-0.0041326+0.0011797i,-0.0017508-0.00015663i,-0.0033748-0.0012258i,-0.0012113-0.0015962i,0.0010652-0.0017868i,-0.0014406+0.0061956i,0.0014772+0.00016676i,0.0028488+8.9585e-05i,0.0011617+0.0014241i,-0.0014908+0.0034777i,-0.00068739-0.0064576i,-0.0013324+0.0010122i,0.00034903+2.4892e-05i,-0.00031837+0.0039483i,0.0076152+0.0051561i,0.0013566-0.0027122i,0.0012416-0.003672i,-0.0036543+0.00069178i,0.00083036+0.0024724i,-0.031521-0.0058527i,0.01175-0.077894i,-0.093041-0.029189i,-0.052113-0.035729i,-0.075763-0.04965i,-0.058376-0.005641i,-0.093484+0.019033i,-0.058694+0.010992i,-0.048416-0.024818i,-0.033119-0.056339i,-0.025432-0.029459i,0.0029644+0.0050723i,-0.018163+0.011122i,0.0093515+0.0032835i,0.011088+0.0042636i,0.00074159-0.0070683i,0.0084971+0.00082379i,-0.0082591-0.0030339i,0.0025205+0.014994i,-0.0012406+0.0090006i,0.00075895+0.0014722i,0.0055485+0.0032293i,0.0017672-0.00066133i,-0.0006113+0.015182i,0.00076548+0.011231i,0.0035198-0.0054267i,0.010462-0.0068789i,0.0023711+0.0025837i,-0.0079348-0.0071541i,-0.0022114-0.0025127i,0.018553-0.02643i,0.0064234+0.0038852i,0.0033576+0.0043225i,-0.00325+0.0025616i,0.0020109-0.0036692i,0.021656+0.0020426i,0.0022326-0.0026236i,-0.00071214-0.0094087i,0.00056693-0.0024858i,0.012875+0.0032524i,0.0047573+0.00029039i,0.004495-0.0066549i,0.0032445+0.0087659i,0.0040583-0.00036955i,0.024739+0.0045717i,-0.079867-0.035819i,-0.0061104+0.018663i,0.0067295-0.003139i,-0.0024025+0.0039217i,-0.036166+0.012758i,-0.0070337+0.0066202i,-0.017265+0.012832i
-0.026354+0.02288i,-0.047422+0.025129i,-0.019969+0.044079i,-0.026404+0.02874i,-0.020604+0.040926i,0.014607+0.043222i,0.0007483+0.022777i,-0.0074547+0.039606i,-0.0082013+0.019675i,-0.0050869-0.0028669i,-0.0045111-0.00045568i,-0.0029695-0.0035854i,-0.0045059-4.0187e-05i,-0.0069639-0.0014493i,-0.00062942+0.0050282i,-0.0051432+0.00048114i,-0.013179+0.0020406i,-0.0019045+0.00029684i,0.0032344-0.0020808i,0.0020316-0.0014219i,0.0014462-0.0040008i,0.0015974-0.0039362i,0.00097038-0.0025991i,-0.010193-0.0050525i,-0.0010067+0.00094616i,-0.0037295+0.0025284i,-0.0012653+0.0004692i,-0.0034522-8.2664e-05i,-0.0018475-0.0014097i,0.0004975-0.0017768i,0.0011972+0.006416i,0.0011217-0.00018602i,0.0023052-0.0010176i,0.00097643+0.0011203i,-0.0012071+0.0030042i,-0.0010784-0.0058446i,-0.0007422+0.00086471i,-0.00048402-0.00029014i,0.00015396+0.0043826i,0.0078193+0.00096635i,0.0004979-0.002913i,-0.00087026-0.0039943i,-0.0039899+0.0016467i,0.0014618+0.0021681i,-0.032095-0.005516i,-0.012323-0.089032i,-0.089675-0.010706i,-0.061388-0.033618i,-0.087793-0.038137i,-0.057585+0.0045045i,-0.083534+0.036512i,-0.054848+0.023353i,-0.040551-0.0246i,-0.03984-0.051349i,-0.033461-0.018484i,0.0043157+0.0019993i,-0.011582+0.019595i,0.0090339-0.00057512i,0.011905-0.0020202i,-0.005046-0.011044i,0.0038185+0.00030078i,-0.0081282+0.0031088i,0.008516+0.012491i,0.0011297+0.010942i,0.00095692+0.0012422i,0.0070669+0.0034591i,0.0024203+0.00037112i,0.0057521+0.01138i,0.0055999+0.0066341i,-0.001721-0.0074343i,0.0034144-0.0079818i,0.0033612+0.0028895i,-0.010905-4.6506e-05i,-0.0026246-9.6671e-05i,0.0066509-0.027653i,0.0074248+0.0027746i,0.0070616+0.0025828i,-0.00043581+0.0025097i,-0.00050481-0.0012042i,0.018905-0.0075729i,0.00018154-0.0033034i,-0.0054353-0.0076133i,-0.0025287-0.0018596i,0.011247-0.0016495i,0.0043475+0.00066969i,0.0020227-0.0048257i,0.0059503+0.0073542i,0.0029884-0.00083216i,0.024057-0.0033217i,-0.084592-0.026243i,0.0023398+0.0084351i,0.0057428-0.0057861i,-0.00021765+0.0019051i,-0.029239+0.02252i,-0.0054138+0.0075454i,-0.013783+0.015797i
-0.020912+0.025097i,-0.044328+0.030194i,-0.013521+0.039982i,-0.021976+0.031061i,-0.013239+0.042677i,0.022178+0.038224i,0.0041209+0.022305i,4.2531e-05+0.038463i,-0.0072802+0.01728i,-0.0056809-0.00057308i,-0.0032745+0.0013387i,-0.0062348-0.0029114i,-0.0046337+0.0018775i,-0.0070056+0.0005871i,0.0012141+0.0054676i,-0.005873+0.0039537i,-0.011708+0.0080629i,-0.00052401+0.0012577i,0.0032648-0.0037229i,0.001871-0.0026465i,3.3653e-05-0.0044218i,0.00069458-0.0046497i,0.0005205-0.0027383i,-0.011134-0.0022792i,-0.00080595+0.0010406i,-0.0024235+0.0040074i,-0.00090092+0.00038943i,-0.0027952+0.0015175i,-0.0021602-0.00080657i,-0.00053439-0.0024594i,0.0036674+0.0051194i,0.00080042-0.00038965i,0.0016058-0.0014932i,0.0014009+0.00063155i,-0.00015396+0.0038601i,-0.0012725-0.0057448i,-0.00098612+0.00048814i,-0.00083761-0.00011884i,0.0034582+0.0028395i,0.0062441-0.0016884i,-0.00023992-0.0026349i,-0.0011824-0.0024664i,-0.0041914+0.0027691i,0.001769+0.0010778i,-0.034731-0.0031084i,-0.041444-0.088161i,-0.079581+0.0027516i,-0.070929-0.025946i,-0.095083-0.022631i,-0.05309+0.013228i,-0.068355+0.048424i,-0.040534+0.033608i,-0.044222-0.026567i,-0.046009-0.047333i,-0.034888-0.0061414i,0.0045169-0.0011897i,-0.00223+0.021456i,0.0080717-0.0032419i,0.0078528-0.0072412i,-0.015136-0.008907i,0.0026287-0.0002207i,-0.0039192+0.0064753i,0.011674+0.0065919i,0.0044762+0.011928i,-5.5379e-07+0.0016794i,0.0077943-0.00064378i,0.0042402-0.0011842i,0.0075085+0.0061737i,0.0051426+0.002035i,-0.0068765-0.0036888i,0.00077332-0.0061389i,0.0054147+0.0018104i,-0.0071057+0.0092515i,-0.00084749+0.0013969i,-0.0026569-0.024778i,0.0090417-0.00046968i,0.0068613-0.00084142i,0.00025702+0.0020208i,0.00075579+0.00033309i,0.012164-0.012415i,-0.0024658-0.00050904i,-0.0085497-0.004i,-0.0035283+0.001595i,0.007028-0.0045264i,0.0072913-0.0010973i,0.0026368-0.0047382i,0.0093207+0.0042165i,0.0045492-0.0019036i,0.020893-0.010353i,-0.088148-0.012594i,0.00019208-0.0012512i,0.005741-0.0084338i,0.0005903-0.0015117i,-0.019598+0.026358i,-0.005193+0.0033077i,-0.0087797+0.013102i
-0.015453+0.025215i,-0.039918+0.036286i,-0.010086+0.036694i,-0.01684+0.03418i,-0.0048649+0.041612i,0.028195+0.031814i,0.0082465+0.0215i,0.0063865+0.035716i,-0.0068011+0.017472i,-0.0052444+0.0017402i,-0.0024469+0.0014065i,-0.0080086+0.0010523i,-0.0041385+0.0033536i,-0.0069029+0.0030656i,0.0029062+0.0048481i,-0.0044189+0.007665i,-0.0070617+0.012626i,0.00056263+0.00053155i,0.0015879-0.0048971i,0.00037403-0.0039211i,-0.0014832-0.0041004i,-0.00057956-0.0046866i,-5.4241e-05-0.0032214i,-0.011381+0.0012232i,-0.00036081+0.0007653i,-9.8424e-05+0.0036252i,-0.0009686+0.00026616i,-0.0015419+0.0018806i,-0.0023735+0.0001291i,-0.002036-0.0017628i,0.005037+0.0029794i,0.00035455-0.00040346i,0.00078307-0.001911i,0.0014469+6.1777e-05i,0.0018771+0.003404i,-0.0021927-0.0070226i,-0.000841+0.0011061i,-0.0011028+0.00030134i,0.0031157-0.00073617i,0.0044349-0.0027944i,-0.00073093-0.0024174i,-0.00093438-0.0023276i,-0.0035082+0.0043496i,-0.00049085-0.00074724i,-0.037108+0.0012257i,-0.066418-0.072055i,-0.069599+0.0081337i,-0.07831-0.014409i,-0.099108-0.0059417i,-0.047006+0.018819i,-0.054252+0.054235i,-0.026017+0.033105i,-0.048187-0.02107i,-0.052043-0.040314i,-0.03255+0.0025512i,0.0025149-0.0037581i,0.0057152+0.019413i,0.0067285-0.0058115i,0.0023502-0.0085596i,-0.020875+0.00080229i,-0.00047339+0.00080625i,3.842e-05+0.0057159i,0.010729+0.00084998i,0.0094155+0.011505i,0.0004243+0.002979i,0.0047721-0.0022123i,0.0039868-0.0047299i,0.0062806+0.0017295i,0.0025431+0.00037875i,-0.0069851+0.00026896i,-0.0012965-0.0049009i,0.0059228-0.00030022i,0.0028129+0.010716i,0.00025667+0.00077235i,-0.0078757-0.01972i,0.0078628-0.0035356i,0.006152-0.0029933i,0.0013746+0.0028392i,0.0014439+0.00018884i,0.006638-0.012698i,-0.00015636+0.0017938i,-0.0096243+0.00053873i,-0.0012327+0.0037152i,0.0041914-0.0040849i,0.0064882-0.0049638i,0.00057671-0.0050483i,0.009193-0.0012804i,0.0032097-0.0051007i,0.016307-0.016427i,-0.085503+0.0021789i,-0.0067438-0.0050725i,0.0036027-0.013341i,-0.00048714-0.0049117i,-0.01291+0.026137i,-0.0087551+0.0030152i,-0.0080378+0.011978i
-0.011641+0.024851i,-0.034721+0.041384i,-0.0088655+0.035277i,-0.010408+0.035893i,0.0019475+0.038665i,0.032162+0.024762i,0.012588+0.019256i,0.011785+0.032443i,-0.0049975+0.018823i,-0.0036257+0.0034294i,-0.0025551+0.0020449i,-0.0069986+0.0046341i,-0.0032903+0.004678i,-0.0052098+0.0057207i,0.0043756+0.0037919i,-0.0011391+0.0098866i,-0.0011812+0.014266i,0.00072842-7.5011e-05i,0.00023729-0.0047733i,-0.0015726-0.0037626i,-0.0028942-0.0032692i,-0.0019659-0.0041967i,-0.0013288-0.0033132i,-0.0093675+0.0039578i,-0.000856+0.00018193i,0.00032085+0.0021823i,-0.0010727+0.00031282i,-0.00075857+0.0018094i,-0.0020475+0.0011496i,-0.002052-0.00029744i,0.0052105+0.00078459i,0.00035105-0.00049651i,-6.9048e-05-0.001776i,0.0011149-0.00043333i,0.0025108+0.0018611i,-0.0047042-0.0072816i,-0.00052779+0.0015218i,-0.0010061+0.0011443i,0.00099114-0.0014674i,0.0029295-0.0027935i,-0.0012005-0.0022057i,-0.001147-0.0022536i,-0.0017566+0.0054503i,-0.0029053+0.0015113i,-0.037915+0.0078228i,-0.076269-0.048182i,-0.063858+0.009393i,-0.082763-0.00055558i,-0.099427+0.012749i,-0.042534+0.021569i,-0.040592+0.057284i,-0.016631+0.029731i,-0.049453-0.015521i,-0.055698-0.033259i,-0.029424+0.010196i,-3.7332e-05-0.0049505i,0.0143+0.014291i,0.0046242-0.0073932i,-0.0026661-0.0071622i,-0.019839+0.010313i,-0.00076871+0.0033568i,0.0024999+0.0055282i,0.0065566-0.0014695i,0.014313+0.0079644i,0.0017059+0.0033491i,0.0028504-0.0014101i,0.0017837-0.0070842i,0.0032632+0.0011137i,0.00036576+0.001513i,-0.0067954+0.0046324i,-0.0029262-0.0024554i,0.0051871-0.0024715i,0.0076935+0.0057414i,0.00046943+0.00041227i,-0.010748-0.017279i,0.005835-0.0058574i,0.0044138-0.0050263i,0.0043001+0.0024731i,0.0019878-1.2582e-05i,0.0033469-0.011833i,0.0015388+0.0014911i,-0.0073117+0.0059371i,0.0014483+0.0036731i,0.0035509-0.0033431i,0.0032981-0.0088724i,0.00032036-0.0042815i,0.0056632-0.0049477i,-0.00040393-0.0062173i,0.0085034-0.02188i,-0.079326+0.012228i,-0.015077-0.0020879i,-0.00062763-0.016009i,-0.0028217-0.0075925i,-0.0080368+0.025714i,-0.011975+0.0054153i,-0.0067912+0.012447i
-0.0085288+0.024465i,-0.028879+0.046108i,-0.0074092+0.036782i,-0.004145+0.035301i,0.0064023+0.034554i,0.03496+0.017937i,0.016661+0.015479i,0.016285+0.028714i,-0.0023084+0.018844i,-0.0021347+0.0035368i,-0.0028088+0.0033982i,-0.0048729+0.0069885i,-0.0019005+0.0061003i,-0.0027698+0.0067044i,0.005055+0.0022902i,0.002461+0.010262i,0.0049213+0.013117i,0.00090708-0.0001767i,-0.0013192-0.0047521i,-0.0028593-0.0027557i,-0.0032993-0.0017671i,-0.0027842-0.0033952i,-0.0022299-0.0025459i,-0.0077791+0.0050015i,-0.0015432+0.00066487i,7.8066e-05+0.0018868i,-0.001303+0.00064333i,-8.7203e-05+0.0014438i,-0.0012039+0.0016941i,-0.0016305+0.00038805i,0.0047793-0.00096063i,9.3783e-05-0.00054723i,-0.0006264-0.0013746i,0.0005997-0.00085994i,0.0025294+0.0012856i,-0.007268-0.0062646i,-0.00027172+0.0014611i,-0.00024108+0.0016185i,6.6556e-05-0.0013346i,0.0020369-0.0023319i,-0.0016908-0.0016015i,-0.0017673-0.0019217i,0.00034101+0.0055369i,-0.0023449+0.004705i,-0.036621+0.015211i,-0.074565-0.031076i,-0.061262+0.011743i,-0.082531+0.016529i,-0.093305+0.033146i,-0.040865+0.024405i,-0.028975+0.056595i,-0.009194+0.025489i,-0.048529-0.0089899i,-0.059458-0.026143i,-0.024405+0.015092i,-0.003565-0.0045488i,0.017505+0.0021543i,0.0028365-0.0092187i,-0.0059525-0.0034834i,-0.013834+0.017807i,0.00073886+0.0039305i,0.0059454+0.0035597i,0.0050592-0.00021196i,0.017684+0.00069499i,0.0027699+0.0033637i,0.0023413-0.00076033i,-0.0028696-0.0088388i,0.0019157+0.0026862i,0.00064397+0.0036341i,-0.0026285+0.008549i,-0.0018379-6.7227e-05i,0.0035565-0.0035431i,0.008754+0.00076302i,0.0012172-0.00037734i,-0.015904-0.015808i,0.0028996-0.0068055i,0.0014254-0.0060117i,0.0042093-9.6404e-05i,0.0021069+0.00010108i,0.0017728-0.010301i,0.0023519+0.00021324i,-0.0029512+0.0083297i,0.0027294+0.0015524i,0.0026363-0.0037576i,-0.0021522-0.0092148i,-0.00049978-0.005544i,0.0022614-0.0053185i,-0.0022382-0.0060414i,-0.001745-0.022056i,-0.075439+0.020262i,-0.013832+0.0084558i,-0.0058532-0.016917i,-0.0064713-0.0080687i,-0.0048643+0.025049i,-0.011559+0.010522i,-0.0026826+0.011941i
-0.0053654+0.024422i,-0.021713+0.050457i,-0.0035111+0.03931i,0.00084767+0.033619i,0.0087554+0.031862i,0.036604+0.010848i,0.019469+0.010853i,0.019865+0.02488i,0.00024735+0.019117i,-0.0013955+0.0037455i,-0.0016279+0.0055102i,-0.0018454+0.0085965i,-5.7424e-06+0.0068175i,-0.00058913+0.0065852i,0.0051661+0.00084121i,0.0057845+0.0092246i,0.0092948+0.0097909i,0.0010092-0.00038252i,-0.0027894-0.0040171i,-0.0035184-0.0012397i,-0.0029961-0.00063511i,-0.003547-0.0025559i,-0.0026707-0.0016973i,-0.0070306+0.0068116i,-0.0014273+0.0015369i,0.00021055+0.002209i,-0.0011276+0.0013861i,-9.0571e-05+0.00093418i,-0.00055707+0.0016594i,-0.0012+0.00072298i,0.0038196-0.0024465i,0.00015907-0.00027458i,-0.00071402-0.001153i,0.00025916-0.00096756i,0.002897+9.1835e-05i,-0.0093602-0.0043039i,0.00011811+0.0016384i,0.00045227+0.0013713i,-0.00080483-0.001102i,0.0017761-0.0022825i,-0.0018278-0.00088172i,-0.001857-0.0011336i,0.0018227+0.0045074i,-0.00057076+0.0058768i,-0.032637+0.021405i,-0.07398-0.02375i,-0.060319+0.016054i,-0.075759+0.031232i,-0.081617+0.050075i,-0.038229+0.030306i,-0.019309+0.055983i,-0.0050017+0.020434i,-0.046915-0.0039746i,-0.062201-0.017354i,-0.020014+0.018606i,-0.0045045-0.0041387i,0.011126-0.0081317i,-0.00037943-0.011034i,-0.0064855+5.1766e-05i,-0.0060146+0.019916i,0.0012986+0.0032547i,0.0073274-0.00095672i,0.0058968-0.00057279i,0.015574-0.0053313i,0.0049237+0.0027765i,0.0023607+0.00057464i,-0.0075783-0.0041413i,0.0030982+0.004169i,0.0023001+0.0047668i,0.0022951+0.0083967i,-0.0011603+0.00016932i,0.0023744-0.0039572i,0.0082351-0.0048094i,-3.9306e-05-0.00099786i,-0.021754-0.010233i,0.0006614-0.0063789i,-0.00092997-0.0042911i,0.0048932+0.0003496i,0.0021772-0.00042513i,0.0010543-0.011216i,0.0021461-0.0011463i,0.00077469+0.006982i,0.0028036+0.0011461i,0.0023725-0.0030442i,-0.0054763-0.0057421i,-0.0039254-0.0057249i,-0.00049142-0.0047145i,-0.0043199-0.0056927i,-0.0085145-0.017986i,-0.069819+0.028864i,-0.0087385+0.0075183i,-0.0070782-0.015582i,-0.0087548-0.0066464i,-0.00032762+0.023861i,-0.0099783+0.012563i,-0.0011493+0.0094504i
-0.0021425+0.023896i,-0.013326+0.053686i,0.0023728+0.041535i,0.0050757+0.032334i,0.011047+0.030423i,0.036799+0.0039201i,0.021196+0.0057884i,0.023225+0.02104i,0.0033536+0.019054i,-0.00058291+0.0040729i,0.001056+0.0065117i,0.0016223+0.0083461i,0.0019744+0.0067895i,0.0008665+0.0063665i,0.0050769-0.00037062i,0.0085155+0.006852i,0.011525+0.0056391i,0.0013251-0.0013498i,-0.0037801-0.0029442i,-0.003228+0.00047735i,-0.0025049+0.00023655i,-0.0040234-0.0010645i,-0.0028295-0.00096157i,-0.0041043+0.0086789i,-0.00088633+0.0023932i,0.001134+0.0022334i,-0.00052939+0.001904i,-0.00046747+0.00097621i,-9.0872e-05+0.0016778i,-0.00082391+0.00093426i,0.0022918-0.0033348i,0.00055666-0.00060944i,-0.0012326-0.00099148i,-0.0002248-0.0010207i,0.00229-0.0011669i,-0.010713-0.0012827i,0.00054273+0.001548i,0.00085613+0.001118i,-0.0018261-0.00055572i,0.0017432-0.002246i,-0.001556-0.00043284i,-0.0017338-0.00068711i,0.0026764+0.0033119i,0.0013421+0.006571i,-0.028253+0.024894i,-0.078941-0.016743i,-0.059158+0.021765i,-0.067614+0.042741i,-0.066131+0.061188i,-0.034042+0.035337i,-0.0097305+0.053939i,-0.0022392+0.017078i,-0.045186+0.00048157i,-0.062526-0.0070327i,-0.015665+0.021539i,-0.0058446-0.0031306i,0.0032967-0.0096789i,-0.0044768-0.011238i,-0.0051697+0.0039184i,0.0008911+0.018143i,0.00084558+0.0025333i,0.0057349-0.0056255i,0.0048876-0.0016206i,0.011578-0.010816i,0.0065601+0.00069674i,0.0035864+0.00080191i,-0.0079801-0.00045012i,0.0049797+0.0048186i,0.0048559+0.0051412i,0.00664+0.006174i,-0.00082176+0.0010059i,0.0020026-0.0040933i,0.0047901-0.0083732i,-0.00062654+0.00063973i,-0.024711-0.0017595i,-0.00070449-0.0059479i,-0.0018038-0.0024159i,0.0055302-0.00078312i,0.0017687-0.00087336i,-0.0014444-0.013099i,0.00089884-0.001626i,0.003706+0.0062298i,0.0034455+0.00020313i,0.0033904-0.0034297i,-0.0073212-0.0031625i,-0.007203-0.0024077i,-0.0030233-0.0033512i,-0.0059974-0.0049904i,-0.012916-0.013023i,-0.063378+0.035499i,-0.0085271+0.0059268i,-0.0078888-0.017896i,-0.010069-0.0048026i,0.0012348+0.022653i,-0.0093986+0.014322i,-0.00045289+0.0079178i
0.0011247+0.023412i,-0.0036271+0.055059i,0.010272+0.041858i,0.0091254+0.030941i,0.014583+0.030088i,0.036042-0.0024703i,0.021493+0.00027851i,0.026442+0.016472i,0.0068423+0.017807i,0.00018959+0.0042042i,0.0034668+0.0052832i,0.003875+0.0062969i,0.0039681+0.0062238i,0.0026159+0.0059318i,0.0047056-0.0016126i,0.0096342+0.0035308i,0.012086+0.0012907i,0.00024157-0.0021436i,-0.0046218-0.0013228i,-0.002+0.0014251i,-0.0016171+0.00050546i,-0.0035902+0.00016508i,-0.0029154-8.6175e-05i,-0.0007432+0.0088588i,0.00013431+0.0026453i,0.0018603+0.0015825i,0.00036034+0.0020135i,-0.00024238+0.0015199i,0.00055724+0.0013696i,-0.00038853+0.00092783i,0.00072191-0.0034154i,0.00010727-0.0010398i,-0.0016219-0.00032666i,-0.00073302-0.00085024i,0.001296-0.0019344i,-0.010592+0.0023424i,0.00086123+0.0012951i,0.0012407+0.00073526i,-0.0023007+0.00040523i,0.0013573-0.0027211i,-0.0014779-0.0002743i,-0.001569-0.00040266i,0.002738+0.0022423i,0.0035468+0.0065867i,-0.024183+0.028627i,-0.086989-0.0034862i,-0.05501+0.027534i,-0.05649+0.051112i,-0.050961+0.068559i,-0.02907+0.041678i,-0.00043906+0.0499i,0.0028285+0.013446i,-0.042849+0.005373i,-0.060126+0.003291i,-0.011134+0.024379i,-0.0075618-0.0021333i,-0.0023536-0.0091092i,-0.0088245-0.0097084i,-0.0012291+0.0052885i,0.0046682+0.014115i,-0.00025587+0.0026163i,0.0027181-0.0087547i,0.0052597-0.0008403i,0.0048159-0.01341i,0.0068369-0.0028126i,0.0047027-0.00016339i,-0.0079869+0.0038706i,0.0078973+0.0041273i,0.0080633+0.0028884i,0.0088359+0.0020014i,0.00054701+0.0018103i,0.0011015-0.0044258i,-0.0011319-0.008812i,0.0008924+0.0021346i,-0.024279+0.0076454i,-0.0020663-0.005523i,-0.0014246-0.00056115i,0.0060379-0.0041915i,0.0016513-0.00069879i,-0.0069555-0.013359i,-5.004e-05-0.0012304i,0.0061273+0.0036043i,0.003554-0.00022996i,0.0027031-0.0046571i,-0.0072554+0.001332i,-0.007307+0.0022146i,-0.0047065-0.0014068i,-0.0081243-0.0039611i,-0.014723-0.0078472i,-0.058028+0.041539i,-0.0090606+0.0088613i,-0.012439-0.021519i,-0.0083747-0.0033635i,0.0044159+0.022321i,-0.0087945+0.017866i,0.00098282+0.0058674i
0.0046657+0.022098i,0.0058794+0.053998i,0.018022+0.039208i,0.013337+0.029027i,0.019285+0.02885i,0.03466-0.008482i,0.020161-0.0049269i,0.028499+0.011099i,0.0098183+0.015736i,0.00093044+0.0044564i,0.0042842+0.0038513i,0.004446+0.0043389i,0.0055996+0.0047341i,0.0040197+0.0047881i,0.003889-0.0026202i,0.0091355+0.00057534i,0.01095-0.0021708i,-0.00076718-0.0018586i,-0.0043427+0.00033261i,-0.00087655+0.0015258i,-0.00090653+0.00022366i,-0.0029774+0.00081462i,-0.0024312+0.00068075i,0.0018149+0.0083818i,0.0012725+0.0021803i,0.0021976+0.00095042i,0.0011298+0.0017004i,0.00046433+0.0016395i,0.00087783+0.00072241i,-0.0002856+0.00088414i,-0.00066538-0.0028574i,-0.00061624-0.00095111i,-0.0015302+0.00040038i,-0.0011182-0.00045186i,0.00038975-0.0020321i,-0.0091092+0.0053369i,0.0011266+0.00083502i,0.0013898+0.00010789i,-0.0020712+0.0014949i,0.00081144-0.0032561i,-0.0014586+5.504e-05i,-0.0015931-0.00051471i,0.0025991+0.0015371i,0.0056355+0.0056807i,-0.019409+0.031828i,-0.088524+0.016798i,-0.052328+0.03156i,-0.046095+0.055819i,-0.034138+0.073083i,-0.020625+0.047941i,0.006097+0.043686i,0.0054127+0.0057911i,-0.038614+0.0089921i,-0.054454+0.013526i,-0.0040078+0.02553i,-0.0089585+0.00043352i,-0.0079669-0.0061757i,-0.011763-0.0062924i,0.0017404+0.0035237i,0.0059265+0.011275i,-0.0021581+0.0039187i,-0.0011997-0.011261i,0.0066747-0.002832i,-0.0017072-0.011938i,0.0045646-0.0050937i,0.0051337-0.002379i,-0.0061553+0.0072334i,0.010134+0.0004382i,0.008605-0.0020048i,0.0082117-0.0034829i,0.0025665+0.001223i,9.6427e-06-0.0045438i,-0.0045098-0.0049559i,0.0030423+0.0011361i,-0.019677+0.017607i,-0.003591-0.0044432i,5.9226e-05+0.00059107i,0.0028064-0.0063327i,0.0016587-0.00066112i,-0.012782-0.0097365i,0.00013759-0.00033379i,0.0066891-0.00010555i,0.0031932-0.0012001i,0.0015252-0.0050815i,-0.0048565+0.0048253i,-0.0049057+0.0054738i,-0.0048975+0.0019983i,-0.01009-0.0019768i,-0.014852-0.0038249i,-0.050925+0.049529i,-0.0027686+0.012263i,-0.019813-0.02124i,-0.0072773-0.0044892i,0.0068945+0.020909i,-0.005417+0.021595i,0.0015771+0.0026045i
