-0.025697-0.0043991i,-0.022909+0.0015005i,-0.017727-0.0077099i,-0.030117-0.012708i,-0.029017+0.0034898i,-0.039757-0.0049695i,-0.061374-0.028366i,-0.033371-0.014333i,-0.031148-0.0028531i,0.0067663+0.0034852i,-0.0031527+0.0068208i,-0.0055686+0.014356i,0.0058913+0.010052i,-0.001367+0.0040479i,0.0049109+0.0045519i,0.0047967+0.025604i,0.017708+0.023321i,0.00092453-0.00095487i,0.0008025-0.0066232i,0.0069652-0.0012141i,0.0055729-0.000477i,0.003186+0.0023821i,0.00095966-0.00039967i,-0.025316-0.0017953i,-0.0060029-0.0051384i,-0.0016875+0.0032612i,0.00093526-0.0017782i,-0.00091475+0.00076644i,-0.0011547+0.00070994i,-0.0024577-0.0033866i,-0.0042521-0.001747i,-0.0059505-0.0060551i,-0.002655+0.00015029i,-0.00064105-0.00012063i,0.0014186-0.0030993i,-0.0018836+0.019598i,0.0014243-0.0028035i,0.00024592-0.0027202i,0.0039347-0.0024737i,-0.0025471-0.0039184i,0.00084477+0.00032094i,0.0072019+0.00057832i,0.0044641-0.0045599i,-0.000911+0.0022418i,-0.012962+0.016238i,-0.029377+0.055927i,-0.0043493-0.037375i,-0.014674-0.017746i,-0.036775-0.015967i,-0.027541-0.012653i,0.032028-0.010642i,0.0070639-0.031198i,0.013818-0.039846i,-0.011483-0.029667i,0.024219-0.022715i,0.013436+0.006971i,0.029669-0.036541i,-0.00179-0.0037233i,0.0075612-0.0087334i,0.00024366-0.0047163i,0.0025115-0.036594i,-0.011948+0.029661i,0.0077659-0.012104i,-0.0088859-0.0052598i,-0.0025338-0.0021331i,0.0005571-0.014508i,-0.0081979+0.0052515i,0.0034846+0.0050508i,-0.00060187+0.028721i,0.0024503-0.00027071i,-0.0069705-0.0041239i,-0.0031119-0.0059178i,-0.013736-0.010121i,-0.0030995-0.0059061i,-0.032978+0.010557i,-0.0054348-0.0081254i,-0.013363-0.0016561i,-0.010063-0.006715i,0.0009943-0.0022173i,-0.013301+0.0017084i,-0.0016257-0.00031478i,0.0067195+0.0068481i,0.0035175-0.0052291i,-0.010557-0.011139i,0.0078847+0.0085416i,-0.017784+0.00627i,0.0053484-0.00020292i,-0.018999-0.0013829i,-0.018195-0.0030914i,-0.019375-0.032441i,0.02022-0.01023i,-0.039045-0.021678i,-0.0095396+0.0046181i,0.018387+0.015387i,-0.02106+0.017358i,-0.003576-0.0038224i
0.0033265+0.013642i,0.008344+0.016424i,0.0064643+0.023275i,-0.0066673+0.021199i,0.0013604+0.032437i,0.013696+0.022564i,-0.007894+0.028077i,-0.0057755+0.021268i,0.013269+0.0099478i,-0.00091717-0.0027545i,0.0010009-0.00028276i,0.0050592-0.0030009i,0.0023793-0.0011631i,0.0013625-0.0035777i,-0.0008278-0.0014248i,0.0062493-0.0069146i,-0.0026952-0.0064724i,-0.0040098-0.0010543i,0.00039005+0.00039683i,0.00057135+0.0017011i,-0.00083422-0.001637i,-7.6623e-05-0.00052359i,0.0020555+0.00030325i,-0.010154-0.0059266i,-0.000806-0.00037831i,-0.0017659+0.00071522i,-0.0029402+0.00049057i,-0.0021524+0.0012978i,-0.001884-0.00056988i,0.00068617-0.00096665i,-0.0029471+0.0009728i,0.00056312-0.0015734i,-0.0014261-0.0010902i,0.00067056-0.00099531i,-0.00067652+0.001415i,-0.001236-0.0041232i,-0.0015974+0.00099675i,0.0015269+0.00037764i,0.0013207+0.0043802i,0.0018698+0.0033961i,-0.00028659+0.0008695i,-0.0011223+0.00033374i,-0.0012741-0.0013091i,0.0035687+0.0076547i,0.014605+0.0049469i,0.04358-0.057137i,-0.026221+0.0052487i,0.016976-0.025692i,-0.021691-0.031396i,-0.010274+0.0034243i,-0.029013+0.034309i,-0.021132+0.0055541i,-0.017904+0.0072747i,-0.0037885-0.016313i,-0.037739-0.018893i,-0.0086856+0.0022189i,-0.028238+0.012149i,0.0025349+0.012366i,3.0386e-05+0.0046542i,-0.0063818-0.0042169i,-0.00010106+0.0022087i,-0.016171-0.0040035i,0.0064598+0.011943i,-0.0010429+0.0075806i,-0.0015447+0.0039293i,0.0015459+0.0054335i,0.0018155+0.00376i,-0.00091979+0.019008i,0.0030583+0.016694i,0.0057004-0.0055096i,0.012505-0.0055137i,0.0087216+0.0029226i,-0.0023182-0.0078206i,0.00041644-0.0017417i,0.018847-0.029125i,0.0095448+0.0042586i,0.0091562-0.00029505i,0.0023991-0.00050214i,0.0062579-0.0085124i,0.022355-0.00062244i,0.0056952-0.0024313i,0.0015963-0.0077452i,0.004909-0.0033231i,0.016818+0.0028856i,0.0051003+0.0043948i,0.003135-0.0044968i,0.0090361+0.0087657i,-0.0021713+0.0043134i,0.0096768+0.0095978i,-0.012568-0.011968i,-0.0090661+0.00046564i,-0.0082316-0.014028i,-0.0083791-0.0041805i,-0.039767+0.0053818i,-0.0060431+0.0041948i,-0.011712-0.00062562i
0.0057392+0.012651i,0.010462+0.013392i,0.010873+0.018651i,-0.0032727+0.020241i,0.0062891+0.029582i,0.017015+0.01938i,-0.003999+0.02873i,-0.0018402+0.021431i,0.013342+0.0044662i,-0.00055418-0.0017923i,0.0013037+0.0003173i,0.0038377-0.004712i,0.0018548-0.0025597i,0.0012588-0.0033249i,-0.0012939-0.00091569i,0.0027278-0.0066752i,-0.0057481-0.0043431i,-0.0011813+0.0023602i,0.0015943+0.00040206i,0.0014727+0.0011493i,-0.0032712+0.00072872i,0.00041296+0.0001648i,0.0024861-0.0005438i,-0.010064-0.0021159i,-0.00039854+3.0483e-05i,-0.0014479+0.001413i,-0.0020819+0.0017399i,-0.0011941+0.0016137i,-0.0018496-7.5583e-05i,0.00077865-0.00084315i,-0.0017031+0.0029018i,-0.00027024-0.00096478i,-0.0021333-0.00040264i,-0.00092946-0.0012873i,-0.0017903+0.0010023i,0.00010198-0.0029941i,-0.0006766+0.0014798i,0.0012428-0.00026008i,0.0022278+0.0071128i,0.0027226+0.0014033i,0.0001657+0.0010592i,-0.0012127+0.00062737i,-0.001847-0.00083904i,0.0058048+0.0062622i,0.014908-0.00025035i,0.021335-0.0667i,-0.019994+0.013066i,0.006598-0.033094i,-0.032067-0.024637i,-0.0078533+0.0063018i,-0.017571+0.039271i,-0.01673+0.010903i,-0.007297+0.002248i,-0.0056724-0.014636i,-0.042308-0.0059662i,-0.008339+0.0026944i,-0.022591+0.023622i,0.0050856+0.0083323i,0.00098904+0.0034827i,-0.0095239-0.0049252i,-0.0027126+0.0052119i,-0.014595+0.0045817i,0.010883+0.0082344i,0.000513+0.010069i,7.9973e-05+0.0038026i,0.0035273+0.0062634i,0.003395+0.00376i,0.0067807+0.014894i,0.0085612+0.010377i,-0.00096819-0.008676i,0.0061115-0.0073086i,0.0076378+0.0011547i,-0.002485+0.0023699i,-0.00016123+0.00068697i,0.0063571-0.031145i,0.010927+0.0012961i,0.0093789-0.0037758i,0.0041905-0.001839i,0.0010757-0.0060027i,0.021105-0.0097301i,0.003251-0.0040555i,-0.0013832-0.0062992i,0.00074297-0.0032148i,0.01403-0.0030541i,0.0074229+0.0038173i,0.0026602-0.0025538i,0.011565+0.0050104i,-0.00077007+0.0053414i,0.011164+0.005054i,-0.017648-0.010056i,-0.0048103-0.013514i,-0.0076585-0.01189i,-0.0079523-0.002724i,-0.033513+0.019117i,-0.0037189+0.0052661i,-0.0098542+0.002287i
0.0087423+0.011016i,0.012259+0.010642i,0.012917+0.013485i,-0.00067335+0.019223i,0.011929+0.026964i,0.019865+0.015395i,0.00059154+0.028896i,0.0025264+0.020435i,0.011286+0.00098089i,-0.00099516-0.0019951i,0.0023282+0.00024165i,0.00076371-0.0055095i,0.00078555-0.0030685i,0.00046112-0.0036009i,-0.0014006-0.00038602i,-0.00059543-0.0048399i,-0.0070322-0.00098138i,0.00071038+0.0027044i,0.0021641-0.0010146i,0.0019546+0.00016612i,-0.0013136+0.0010106i,0.0013114-0.00014551i,0.0023967-0.0016025i,-0.0095552+0.00030506i,-0.00020784+0.00033105i,-0.00038554+0.0022736i,-0.00077092+0.001929i,-0.00019796+0.0017437i,-0.0016722+0.00065691i,0.00037259-0.0013507i,0.00034955+0.0041845i,-0.00045031-0.00040528i,-0.0020575+0.00056143i,-0.0017532-0.00074017i,-0.0016502+0.002259i,0.0013986-0.0036594i,6.7517e-05+0.0013569i,0.00084059-0.00074576i,0.0041534+0.0062432i,0.0025+0.00038059i,0.00057396+0.00094631i,-0.0004894+0.0013372i,-0.0022351-0.0002117i,0.0067925+0.0036143i,0.013619-0.0044735i,-0.00192-0.06529i,-0.0089297+0.016543i,-0.004893-0.034061i,-0.036265-0.016244i,-0.002634+0.0076336i,-0.0034197+0.038867i,-0.0075915+0.012578i,-0.0071537-0.0043812i,-0.0068448-0.013486i,-0.041255+0.0079683i,-0.0073715+0.0043183i,-0.0098791+0.029616i,0.0032247+0.0042417i,-0.00050978+0.00093391i,-0.015952-0.0012803i,-0.0013415+0.0067949i,-0.010081+0.0084708i,0.012197+0.0022326i,0.0048302+0.010161i,-0.00078127+0.0044084i,0.0048049+0.0044567i,0.0052481+0.0014561i,0.0093177+0.0085219i,0.0085001+0.0044849i,-0.0074656-0.0034386i,0.0038904-0.0062857i,0.0089184-0.00076948i,-0.00083075+0.0061632i,0.0023817+0.0022036i,0.0024268-0.032894i,0.011805-0.0035984i,0.0074024-0.0067876i,0.0029427-0.0037025i,0.000822-0.0040769i,0.013442-0.016869i,0.00025208-0.0013894i,-0.0022279+0.0011094i,-0.00056498+0.00048799i,0.0097248-0.0055122i,0.010697-0.00053987i,0.0036123-0.0040979i,0.013452-0.00055251i,0.0030657+0.0045606i,0.010949+0.00098719i,-0.02038-0.00317i,-0.016047-0.020868i,-0.0068816-0.014171i,-0.0063592-0.0030691i,-0.023841+0.026999i,-0.0034465+0.00041431i,-0.0079031-0.0013125i
0.011484+0.0079411i,0.013749+0.0076489i,0.013362+0.0087614i,0.0020679+0.018724i,0.016788+0.021738i,0.021878+0.010656i,0.0057911+0.028281i,0.0061182+0.017732i,0.0094569-0.00034714i,-0.0016653-0.0015423i,0.0027828-0.0011505i,-0.0015552-0.0040844i,-0.00052424-0.0030801i,-0.0011744-0.0030276i,-0.0014679+0.00016758i,-0.0017416-0.0017129i,-0.0060864+0.0023639i,0.0018302+0.0019975i,0.0014304-0.0015577i,0.0017021-0.0011184i,-0.00043336+0.00092696i,0.0017118-0.001025i,0.0018694-0.0026723i,-0.0087849+0.0029785i,0.00039507+0.00022985i,0.0014076+0.0012155i,6.3568e-05+0.0015749i,0.00059777+0.0012669i,-0.00094955+0.0014602i,-0.00022364-0.00098705i,0.0010003+0.0037429i,-0.00075555-1.2582e-05i,-0.0017999+0.0013252i,-0.001995+0.0004832i,-0.00054092+0.0024619i,0.0014032-0.0056328i,0.00090903+0.0010982i,0.0002972-0.00086564i,0.0014862+0.0021862i,0.0025292-0.00033404i,0.00086013+0.0005833i,0.00047289+0.0010939i,-0.0021851+0.00070347i,0.0053031-0.00014501i,0.011783-0.0075341i,-0.020395-0.052231i,0.00044125+0.012519i,-0.014049-0.030866i,-0.039515-0.0063561i,0.0022341+0.0052931i,0.008586+0.032017i,0.0013398+0.0069742i,-0.007478-0.0047351i,-0.0070223-0.011159i,-0.035123+0.018054i,-0.0060008+0.0057024i,0.0013812+0.028132i,0.0058765+0.003661i,-0.0039912+0.0019685i,-0.01847+0.0073023i,-0.00031545+0.0083827i,-0.0067513+0.0095932i,0.0092112-0.0036609i,0.0083303+0.0083486i,0.00054966+0.0062561i,0.0041933+0.0043176i,0.005466-0.0022138i,0.0080317+0.0028316i,0.0054489+0.0019094i,-0.0050324+0.0020152i,0.0018333-0.0060841i,0.0085506-0.0031328i,0.0061043+0.0060763i,0.0041099+0.00046624i,-0.014118-0.019109i,0.0086857-0.0074867i,0.0043532-0.0096229i,0.0020235-0.0028864i,0.00024858-0.004604i,0.0051411-0.018196i,0.0029397-5.2848e-05i,-0.00499+0.0014002i,0.002521+0.0023123i,0.0074812-0.0053739i,0.0093345-0.0058787i,0.0014257-0.0044769i,0.010332-0.0074453i,0.0034187+0.00090923i,0.010046-0.0034247i,-0.01557+0.0044038i,-0.026529-0.017884i,-0.01089-0.018316i,-0.0068529-0.0052258i,-0.014444+0.02723i,-0.0080944-5.5619e-05i,-0.011096-0.00054529i
0.012689+0.0043624i,0.014144+0.0042117i,0.0123+0.0050214i,0.0051509+0.017615i,0.01959+0.015909i,0.022342+0.0059851i,0.011165+0.026067i,0.0081298+0.014868i,0.008663-0.0010298i,-0.0018491-0.00083313i,0.0018772-0.0021623i,-0.0023624-0.0023902i,-0.0014956-0.0027513i,-0.0015946-0.0018453i,-0.0011988+0.0013354i,-0.001106+0.00058276i,-0.0041156+0.0048346i,0.002319+0.00098619i,0.0011017-0.0016194i,0.00077529-0.0017294i,-0.00026215+0.00066313i,0.0013151-0.0017621i,0.00061931-0.0034116i,-0.0062211+0.0044426i,0.00047818-0.00034764i,0.0012672-0.00066708i,0.00067443+0.0008724i,0.0010296+0.00061673i,-0.00025294+0.0014948i,0.00020059-0.00060684i,0.0021818+0.0031162i,-0.00062051+0.0001927i,-0.0011191+0.0020774i,-0.001603+0.0013684i,-6.4801e-05+0.0023074i,0.00015412-0.0075193i,0.0011719+0.00029669i,-1.3399e-05-0.00061245i,0.00049035-0.00036766i,0.0022374-0.00089525i,0.00082932+9.6852e-05i,0.00085325+0.00047421i,-0.0010973+0.001317i,0.0024667+0.00032242i,0.0095535-0.0093873i,-0.026378-0.035668i,0.0048388+0.0065026i,-0.022162-0.025248i,-0.040253+0.0064037i,0.0047105+0.00074243i,0.018636+0.024826i,0.0051743-0.00015491i,-0.0066523-0.0060745i,-0.0054466-0.010843i,-0.027856+0.024923i,-0.0039432+0.0062265i,0.012307+0.024043i,0.0057916+0.0011458i,-0.0054244+0.0057424i,-0.015339+0.014455i,0.0023198+0.0090722i,-0.0049485+0.014036i,0.0035747-0.0043744i,0.010845+0.0056898i,0.0030597+0.0068368i,0.0051766+0.0045833i,0.0043846-0.0043723i,0.0046128+0.0021601i,0.0036849+0.0029548i,-0.0031632+0.0034401i,0.00037349-0.0048436i,0.0072269-0.0055231i,0.0091331+0.0013184i,0.0042747-0.0018217i,-0.013483-0.017016i,0.0050968-0.0095087i,-0.00091493-0.0095812i,0.0033573-0.0028564i,-0.0012989-0.0039688i,-0.00069538-0.016188i,0.0039126-0.0024245i,-0.0021423+0.0034123i,0.0055656+0.00066565i,0.0064344-0.0069608i,0.0050848-0.011078i,0.0011555-0.0039502i,0.0037714-0.010368i,0.0015625-0.00023018i,0.0056418-0.0076268i,-0.0093677+0.0052168i,-0.036369-0.0079459i,-0.017163-0.017536i,-0.0087152-0.0068915i,-0.0076513+0.026587i,-0.012072+0.0033655i,-0.01042+0.0030195i
0.01278+0.0010455i,0.013699+0.0012928i,0.01077+0.0028158i,0.0080397+0.015666i,0.020153+0.010074i,0.022583+0.0018349i,0.016075+0.022244i,0.0095237+0.012414i,0.0085573-0.0021749i,-0.0018933-0.00034318i,0.00040898-0.0024634i,-0.002468-0.001048i,-0.002704-0.0021544i,-0.0014904-0.0015438i,-0.0014473+0.0018597i,8.7719e-05+0.0018025i,-0.001021+0.0064031i,0.00239-8.1104e-05i,0.00041873-0.0019381i,-0.00034847-0.0021117i,0.00033442+0.00072138i,0.00078813-0.002337i,-0.00065546-0.0033024i,-0.0049706+0.0040014i,8.8052e-05-0.00048807i,9.5073e-05-0.0017687i,0.00072165+6.9491e-05i,0.0012379-0.00025605i,0.00064759+0.0013084i,0.00031059-0.0011603i,0.0036997+0.0022864i,-0.00050819+0.00019894i,-3.8404e-05+0.0024309i,-0.0008681+0.0017784i,0.00037588+0.0023301i,-0.0022723-0.0084256i,0.00087691-0.00031177i,-0.00013353-0.00051098i,0.00011705-0.00061712i,0.0016473-0.0011211i,0.00059862-5.2855e-05i,0.00085133+0.00016392i,-0.00093965+0.00048542i,0.0016912+0.0020924i,0.0075593-0.010077i,-0.025937-0.027701i,0.0059399+0.0018243i,-0.026402-0.015503i,-0.035933+0.019995i,0.002409-0.0036622i,0.020765+0.017512i,0.0062752-0.0071049i,-0.0059346-0.0065449i,-0.0064189-0.010508i,-0.019794+0.029065i,-0.0033763+0.0068149i,0.018247+0.010997i,0.0053832-0.0012568i,-0.0037777+0.0094846i,-0.008829+0.019713i,0.0049817+0.0080025i,0.002864+0.012149i,0.0016036-0.0022064i,0.013203+0.0011267i,0.0054323+0.0064096i,0.0064394+0.0035525i,0.00045496-0.0075199i,0.0042962+0.0037903i,0.0046117+0.0040117i,-0.00051041+0.0055489i,0.00056706-0.0042005i,0.0054399-0.0067098i,0.0089654-0.0035575i,0.0034277-0.0041011i,-0.019983-0.015247i,0.0012886-0.0099823i,-0.0046231-0.007867i,0.002189-0.0048436i,-0.0018204-0.0021909i,-0.0033123-0.013133i,0.0025917-0.0042532i,0.00059016+0.0032388i,0.0057916-0.003421i,0.0037567-0.0079733i,-0.0025506-0.011468i,0.00019062-0.0054805i,-0.0016676-0.0083276i,0.001327-0.00089811i,-9.7603e-05-0.0070519i,-0.006426+0.0045381i,-0.033837+0.0089848i,-0.022442-0.014483i,-0.011484-0.0063484i,-0.003924+0.025284i,-0.010967+0.0090334i,-0.0062934+0.0037436i
0.012176-0.0019634i,0.013083-0.00097797i,0.009518+0.0015722i,0.010109+0.013059i,0.019271+0.0056802i,0.022302-0.0027706i,0.0198+0.017328i,0.010404+0.010152i,0.0084386-0.0033162i,-0.0019073+0.00033975i,-0.00069428-0.0017334i,-0.0017991+5.6915e-05i,-0.0035771-0.00073438i,-0.0019519-0.0017123i,-0.0011525+0.0022591i,0.0011766+0.0023139i,0.0033589+0.0062133i,0.0019304-0.00061986i,-4.4567e-05-0.0018191i,-0.00103-0.0016287i,0.00083901+0.00031819i,-1.1768e-05-0.0027696i,-0.0016166-0.0026536i,-0.0048873+0.0049422i,-0.00011796-0.00080558i,-0.0011628-0.0016955i,0.00050849-0.00046648i,0.00077858-0.0011782i,0.0011878+0.0004535i,-0.00040799-0.001901i,0.0043019+0.00091279i,-0.00030294+0.00048569i,0.0012083+0.0020004i,-0.00023003+0.0018802i,0.0011984+0.0015715i,-0.0055434-0.0078833i,0.00074214-0.00057294i,-0.00035021-0.0005347i,0.0001979-0.00091358i,0.001133-0.0009925i,0.00057345-0.00021179i,0.00096497-7.0122e-05i,-0.00096416+0.00034292i,0.0024366+0.0027676i,0.0067461-0.011381i,-0.02634-0.02649i,0.0066063-0.001382i,-0.024269-0.0071721i,-0.026008+0.028869i,0.0002815-0.0042217i,0.0222+0.010865i,0.0036882-0.013353i,-0.0051618-0.0076294i,-0.0061722-0.0081909i,-0.012165+0.032252i,-0.0013259+0.0070616i,0.012333+0.0001696i,0.0033491-0.00369i,-0.0003041+0.011322i,-0.0020358+0.020096i,0.0063678+0.0053557i,0.0042368+0.0064189i,0.0019477-0.0013311i,0.01285-0.0036763i,0.0090263+0.0044729i,0.007585+0.0026244i,-0.0038221-0.0039217i,0.0061358+0.0041359i,0.0061055+0.003871i,0.0027394+0.0051583i,-0.00045214-0.0044824i,0.003551-0.0080246i,0.0066576-0.0095578i,5.2978e-05-0.0049556i,-0.024674-0.0075909i,-0.0017006-0.0092649i,-0.0068858-0.0037614i,0.0013675-0.0032695i,-0.0019299-0.0015766i,-0.0052197-0.012945i,0.00057087-0.0051102i,0.0019873+0.0012392i,0.0030232-0.0053628i,0.0015372-0.007837i,-0.0065431-0.0069414i,-0.0025379-0.0057497i,-0.0038017-0.0053759i,0.00014113-0.0017799i,-0.002297-0.0039351i,-0.0032447+0.0041272i,-0.025502+0.011189i,-0.022779-0.010089i,-0.013542-0.0045232i,0.00071034+0.023223i,-0.0084662+0.011066i,-0.0048689+0.0024047i
0.011039-0.0044779i,0.01249-0.0028884i,0.0088026+0.0010967i,0.01156+0.010493i,0.017856+0.0025222i,0.020797-0.0071537i,0.022316+0.011874i,0.011257+0.0082535i,0.0082335-0.0050865i,-0.0014325+0.00098304i,-0.00063909-0.00069991i,-0.00099148+0.00015173i,-0.0036199+0.00087696i,-0.0031196-0.00096675i,-0.00049897+0.0028186i,0.0024543+0.0018771i,0.0061329+0.0027103i,0.0016899-0.00096179i,-0.0003862-0.0016226i,-0.0011619-0.00081184i,0.0010154-0.00031791i,-0.00093869-0.0024421i,-0.0021687-0.0018988i,-0.0031095+0.0065303i,-0.00073369-0.00092563i,-0.0016239-0.00094899i,-4.942e-05-0.00092206i,-0.00025198-0.0016802i,0.0010734-0.00049419i,-0.0014262-0.0018505i,0.011142+0.0010959i,5.3136e-05+0.00011401i,0.0016693+0.00094129i,0.00020934+0.0018814i,0.0011476+0.00083609i,-0.008552-0.0051829i,0.00034383-0.0010408i,-0.00073698-0.00036927i,-0.00052485-0.001348i,0.00096769-0.00084511i,0.00053385-0.00034077i,0.001001-0.00038686i,-0.0011687+0.00011626i,0.0035768+0.0028866i,0.0050087-0.013499i,-0.031492-0.025184i,0.0054483-0.0052605i,-0.022322-0.0014999i,-0.014199+0.031751i,-0.0019812-0.0045087i,0.023056+0.003648i,0.00030874-0.016023i,-0.0053939-0.0092491i,-0.0046966-0.0051478i,-0.0026857+0.0331i,0.0010453+0.0062641i,0.0071962-0.00066974i,0.00074467-0.0046932i,0.0044961+0.01209i,0.0041103+0.018333i,0.0066086+0.0024019i,0.0054556+0.0016368i,0.00086094-0.0011174i,0.0098951-0.0086481i,0.010971+0.0005236i,0.008818+0.00084139i,-0.0042519-0.0012141i,0.0078033+0.0033773i,0.0081273+0.0032933i,0.0059066+0.0027913i,-0.0015585-0.0039274i,0.0016779-0.0089253i,0.00049818-0.011824i,-0.0014923-0.0029476i,-0.026673+0.0011539i,-0.0040892-0.0082023i,-0.0060835-4.487e-05i,0.0015924-0.0029772i,-0.002382-0.0010194i,-0.0091211-0.01188i,-0.0023652-0.0051298i,0.0027034+7.2687e-05i,0.00069293-0.0060016i,-0.00032679-0.0073806i,-0.0080609-0.0038916i,-0.0052619-0.0033402i,-0.0043652-0.0026054i,-9.7304e-05-0.0020378i,-0.0025474-0.0019702i,-0.00073016+0.0030859i,-0.023739+0.012172i,-0.02163-0.0077636i,-0.014202-0.0014816i,0.0027628+0.021638i,-0.0073827+0.011647i,-0.0039214+0.00154i
0.0096253-0.0064659i,0.011876-0.0050706i,0.0089674+0.00051047i,0.012417+0.0079514i,0.017139+0.0005519i,0.018423-0.010851i,0.023303+0.0056016i,0.012059+0.0061954i,0.0072587-0.0070099i,-0.00097659+0.0011607i,-0.00055529-0.0008536i,-0.00095485-0.00032561i,-0.0030201+0.0022998i,-0.003226+0.00035827i,0.0005137+0.0030454i,0.0028336+0.00074191i,0.0053083-0.00035808i,0.0011287-0.0013798i,-0.00078352-0.0013951i,-0.00091628-0.00029594i,0.00093674-0.00098531i,-0.0013385-0.0019318i,-0.0023494-0.0010461i,-0.00054721+0.0070351i,-0.0013041-0.00076106i,-0.002137-0.0001842i,-0.00086724-0.00095492i,-0.0013377-0.0014453i,0.00052986-0.0012824i,-0.002323-0.0013003i,0.00033387-0.0021286i,-0.0003495+0.00014377i,0.0015125+0.00019119i,0.00088234+0.0017976i,0.00093742+0.00062257i,-0.010193-0.0015412i,-0.00043532-0.0012054i,-0.00093618-4.3198e-05i,-0.0013301-0.0011658i,0.0009327-0.00069641i,0.00043418-0.0004529i,0.00085282-0.00068721i,-0.0015032+0.00022038i,0.0047362+0.0023387i,0.0019262-0.014381i,-0.035691-0.017309i,0.0036756-0.0079235i,-0.017063+0.0040063i,-0.0033124+0.033774i,-0.0034435-0.0018456i,0.022371-0.0039672i,-0.00023367-0.018871i,-0.00627-0.0098782i,-0.0021538-0.0027337i,0.0054419+0.030466i,0.0017478+0.004149i,0.0044673-0.0013791i,-0.0022998-0.0045737i,0.010236+0.0092i,0.0075522+0.014502i,0.0050128+0.00093236i,0.004166-0.003158i,0.0016808+0.0016861i,0.0043794-0.011071i,0.010814-0.0049739i,0.009511-0.001266i,-0.0045178+0.0017754i,0.010139+0.001527i,0.010577+0.00060158i,0.006165-0.0013952i,-0.0021408-0.0032939i,-0.00098663-0.0091495i,-0.006724-0.0080245i,-0.0010099-0.001207i,-0.025352+0.010975i,-0.0060635-0.0068825i,-0.0046248+0.0020383i,0.001371-0.0055976i,-0.0025161+0.00055654i,-0.012959-0.0080173i,-0.004514-0.002851i,0.0023463-0.0021547i,-0.0016022-0.0051129i,-0.0023531-0.0068906i,-0.0081562+0.00098106i,-0.0054294+4.445e-05i,-0.007409-0.0020444i,-0.0013321-0.0034344i,-0.0019626-0.0014423i,0.0012779+0.0018032i,-0.022384+0.018405i,-0.02195-0.0086327i,-0.010677+0.0006798i,0.0059796+0.020662i,-0.00648+0.014073i,-0.0026158-0.00073196i
0.0082161-0.0080494i,0.010782-0.0070196i,0.0093195-0.00086498i,0.012807+0.0053561i,0.016856-0.0015591i,0.015848-0.013698i,0.022199-0.00013221i,0.0124+0.0040433i,0.0058589-0.0084141i,-0.0008505+0.0014426i,-0.0010075-0.00055634i,-0.0015162-0.00034172i,-0.0020834+0.0032193i,-0.0029491+0.0015902i,0.0015364+0.0027158i,0.0021316-9.295e-05i,0.0038797-0.0018651i,0.00058602-0.0012952i,-0.00095238-0.0011198i,-0.00052055-0.00011571i,0.00083381-0.0015321i,-0.00146-0.001556i,-0.0020826-0.00038212i,0.0019416+0.0068187i,-0.0017219-0.00047431i,-0.00223+0.0010596i,-0.001688-0.0005276i,-0.0020008-0.00066505i,-0.00045034-0.0017099i,-0.0030953-0.0004387i,0.00068447-0.0012322i,-0.00049794+0.00059288i,0.0012278-0.00031629i,0.0018108+0.0014867i,0.0006912+0.00047836i,-0.010613+0.0020378i,-0.001122-0.00098426i,-0.001017+0.00019618i,-0.0018487-0.00059435i,0.0011837-0.00066593i,0.00037561-0.00047353i,0.00072929-0.0009267i,-0.0017829+0.0006011i,0.0053878+0.001208i,-0.00029814-0.013985i,-0.033562-0.0074719i,0.00014274-0.0096184i,-0.010842+0.0047243i,0.0061578+0.032183i,-0.0022686+0.0015001i,0.018979-0.010524i,-0.0034589-0.023941i,-0.0053682-0.0083784i,0.0024742-0.0032481i,0.013168+0.026466i,0.0014326+0.0027941i,0.0014428-0.0012282i,-0.0041847-0.0026618i,0.012782+0.0030254i,0.0096752+0.012764i,0.0028224+0.0020546i,0.0006632-0.0061653i,0.0050185+0.00084185i,-0.00088989-0.010106i,0.0069535-0.0087082i,0.0088928-0.0046247i,-0.0040494+0.0039188i,0.011138-0.0031553i,0.010124-0.0052981i,0.0044762-0.0045049i,-0.0027514-0.0027356i,-0.0039234-0.0082328i,-0.0047192-0.0055005i,-4.0479e-05-0.001405i,-0.019804+0.021408i,-0.0084828-0.0049459i,-0.0022427+0.0032502i,-0.0022682-0.0063036i,-0.0012277+0.0013512i,-0.015128-0.0029762i,-0.0043171+0.00015359i,0.00045397-0.0035205i,-0.0036473-0.0036619i,-0.0042763-0.0054285i,-0.0057091+0.0038003i,-0.0035166+0.0020499i,-0.007115+0.0027943i,-0.0042868-0.0033634i,-0.0022757-0.0014099i,0.0049071+0.00052023i,-0.012273+0.023953i,-0.025324-0.0079061i,-0.010135-0.0012149i,0.0081387+0.018289i,-0.0033727+0.015941i,-0.0039876-0.0040511i
