-0.031841-0.040489i,-0.021917-0.020287i,-0.013511-0.035731i,-0.030416-0.020037i,-0.022542-5.5142e-05i,-0.014079-0.0057999i,-0.055983-0.058746i,-0.047865-0.017012i,-0.037497-0.01201i,0.012095+0.011329i,-0.0076487+0.0048211i,-0.019363+0.019017i,0.0022534+0.011653i,-0.0057006-0.0024711i,0.00026447+0.0014049i,-0.0012233+0.030832i,0.025444+0.024941i,0.0024272-0.0024959i,-0.0024075-0.006753i,0.0088097+0.0018646i,0.0025234+0.00093109i,-0.00064474+0.0034971i,-0.00035289+0.00035787i,-0.038147-0.011795i,-0.0003546-0.0081682i,0.0012955+0.0021867i,0.0061695+0.0012963i,0.002057+0.00064478i,0.0011147-0.00035807i,-0.00067803-0.002619i,0.0015502-0.0025781i,-0.0021125-0.005835i,-0.00093918-0.0050386i,0.002913-0.00062248i,0.0045374-0.0034737i,0.0018347+0.030493i,0.0039783-0.0038209i,0.0029214-0.001552i,0.0081493-0.001686i,-0.0063515-0.0036708i,-0.00023151+0.00090399i,0.0088211-0.00018394i,0.0045778-0.0029928i,-0.0017113+0.0086853i,-0.017758-0.0088437i,-0.018593+0.014529i,-0.003978-0.062877i,-0.0054854-0.026754i,-0.026836-0.032947i,-0.010885-0.026597i,0.054189-0.022151i,0.01703-0.043166i,0.022882-0.048007i,0.003786-0.053338i,0.026696-0.021291i,0.0082333+0.0061056i,0.023596-0.03369i,-0.0080246-0.0061327i,0.004056-0.005226i,-0.0039544-0.0071779i,-0.0018484-0.032198i,-0.018971+0.029525i,0.0083281-0.011559i,-0.0095677-0.0030943i,-0.0041613-0.0017678i,0.0010523-0.012829i,-0.010696+0.0043479i,0.00267+0.010204i,-0.0043377+0.025693i,0.0048832+0.0031787i,-0.0053647-0.001579i,-0.0020484-0.001996i,-0.012672-0.0073672i,-0.00064596-0.0041058i,-0.028485+0.0084913i,0.0010634-0.010787i,-0.0082739+0.00027866i,-0.0068544-0.002277i,0.0053498+0.0013813i,-0.0079507-0.00042608i,0.0021881-1.8249e-05i,0.0034819+0.0068452i,0.0042251+0.00043142i,-0.0093837-0.012958i,0.0024989+0.0095191i,-0.01325+0.0042771i,0.0073731-0.00032855i,-0.021519-0.00054659i,-0.017549+0.0072064i,-0.0095072-0.068179i,0.007164-0.012374i,-0.049419-0.022352i,-0.021662+0.0010717i,0.017291+0.011133i,-0.023558+0.014307i,-0.020976-0.0055725i
-0.03947+0.031034i,-0.016434+0.019908i,-0.020871+0.042348i,-0.026276+0.013756i,-0.0038273+0.021363i,-0.00078529+0.0079464i,-0.030623+0.017884i,-0.002753+0.02997i,0.0076087+0.018552i,-0.0058956-0.0059997i,0.0025691+0.0038603i,0.0076621-0.00065085i,0.0059165-0.00024874i,-0.000568+0.0029684i,0.00066222+0.0021498i,0.0066895-0.0050194i,-0.005681-0.0006537i,-0.0030594+0.00041687i,0.0040653-0.00084601i,-3.528e-05-0.00091031i,0.0028617-0.0050491i,0.0016609-0.002825i,0.0013455-0.0025805i,-0.0091079-0.010403i,-0.0018134+0.0033109i,-0.0014306+0.0003169i,-0.0042845-0.0014836i,-0.0029293-0.00033583i,-0.001505-0.002019i,-6.3562e-05-0.00053097i,0.00026285+0.0036462i,0.00064535+0.00113i,0.0014079+0.00077119i,-0.00055764+0.00071985i,-0.0023853+0.0027339i,-0.0013725-0.0068347i,-0.0025397+0.00069265i,0.00078382-0.00050135i,-0.001096+0.0024747i,0.0044729+0.0031137i,-0.00026978-0.0016111i,-0.00016609-0.0027719i,-0.002988-0.00030365i,0.0037264+0.00019905i,-0.018151+0.02618i,0.0055404-0.035959i,-0.054067+0.0054878i,0.0077147-0.031405i,-0.031262-0.048075i,-0.029714-0.01943i,-0.062052+0.021163i,-0.038057+0.0016462i,-0.034154-0.0074272i,-0.025287-0.022247i,-0.037948-0.02175i,-0.0052894+0.0028651i,-0.02772+0.0095693i,0.0069595+0.018464i,0.0023108+0.0078545i,-0.0026574-0.005381i,0.0019401+0.0012835i,-0.0053377-0.012708i,0.0049604+0.011562i,-0.0010884+0.0059662i,-0.0018254-0.0014843i,0.0010086+0.0018229i,0.0036317-0.001548i,-0.0023859+0.017479i,0.005182+0.015769i,0.0034605+8.2891e-05i,0.0099093-0.0066495i,0.0044008+0.0030161i,-0.0091998-0.008328i,-0.0010662-0.0030923i,0.014528-0.038852i,0.0077346+0.010395i,0.0050213+0.0024067i,-0.0026583+0.0026863i,0.0034623-0.005961i,0.02063+0.0065577i,0.0032296+0.0029517i,0.00046777-0.006391i,0.0010143-0.0029809i,0.019571+0.0046588i,0.0044692+0.0015688i,0.0026496-0.0046644i,0.0047145+0.0080799i,-0.00030647+0.00068111i,0.0089733+0.0023246i,-0.047852-0.014496i,-0.0042303+0.010454i,-0.0020185-0.0048507i,-0.0065482+0.0057858i,-0.037424+0.011841i,-0.0054529+0.0074052i,-0.010023+0.015079i
-0.03412+0.036038i,-0.012993+0.019687i,-0.010466+0.03798i,-0.02355+0.016663i,-0.00092835+0.019375i,0.00056325+0.0078626i,-0.029147+0.022916i,0.0031761+0.028785i,0.0096451+0.013274i,-0.0070242-0.003204i,0.0037992+0.0043305i,0.0066407-0.0032112i,0.0050343-0.002311i,0.0013374+0.0036067i,0.00099709+0.002168i,0.0021045-0.0043391i,-0.0067473+0.0028371i,-0.0023985+0.0012599i,0.0049907-0.0016359i,0.00020855-0.00089502i,0.0013868-0.0053069i,0.0011968-0.0025717i,0.00074436-0.0026298i,-0.011445-0.0067043i,7.7469e-05+0.0029904i,-0.001375+0.00072594i,-0.0038414+0.00015989i,-0.0021744+0.00071647i,-0.0023333-0.00083635i,0.00014128-0.00049253i,0.0012367+0.0021489i,0.00026856+0.0010747i,0.0013049-3.4726e-05i,-0.00078969+0.00081159i,-0.0020784+0.0031132i,-0.0011868-0.0057733i,-0.0018736+0.0018303i,-0.00013853-0.00097795i,-0.00033884+0.0024451i,0.0041229+0.00081092i,-0.00062496-0.0013534i,-0.0017109-0.0026877i,-0.0032654+0.00065352i,0.0038166-0.00070324i,-0.013529+0.025858i,-0.0077633-0.040849i,-0.047436+0.015559i,-0.0017785-0.038824i,-0.045645-0.042171i,-0.029979-0.012818i,-0.050523+0.033218i,-0.035265+0.0099586i,-0.024855-0.0091582i,-0.027936-0.018692i,-0.042666-0.0067698i,-0.0045269+0.0026051i,-0.023174+0.021513i,0.011753+0.012545i,0.0049499+0.0047985i,-0.0078593-0.0081464i,-0.00128+0.0032322i,-0.011451-0.00036964i,0.0092266+0.0085409i,-0.00035809+0.0080709i,-0.0020836-0.00020793i,0.0020243+0.0031884i,0.0036511-0.0015579i,0.0059342+0.013478i,0.01013+0.0082229i,-0.00062667-0.0027859i,0.0034757-0.0078389i,0.0048379+0.0024136i,-0.012058+3.3495e-05i,-0.0025976-0.00082315i,-0.0025015-0.033969i,0.011983+0.0077431i,0.0060376-6.3349e-05i,0.0005547+0.0024859i,-0.00051285-0.0036272i,0.020579-0.0026837i,0.0034468+0.0013666i,-0.0034397-0.0052091i,-0.0026106-0.0015155i,0.021684+0.0047348i,0.0045383+0.0017552i,0.00074347-0.003593i,0.0069217+0.005974i,-0.0001367+0.0018007i,0.0089612-0.00067396i,-0.050874-0.0090251i,0.00014942-0.0027432i,-0.0010933-0.0045885i,-0.0043729+0.0055542i,-0.030852+0.022859i,-0.0031662+0.0082468i,-0.00079102+0.011793i
-0.028197+0.040516i,-0.010598+0.019507i,-0.0053991+0.031725i,-0.020736+0.019324i,0.0024601+0.018354i,0.0022108+0.0073187i,-0.025171+0.028434i,0.0086226+0.02596i,0.0091226+0.0095774i,-0.0071718-0.00033394i,0.0058625+0.0038166i,0.0025451-0.0040902i,0.0037299-0.00327i,0.0022445+0.0031407i,0.0013942+0.0021353i,-0.0011979-0.0016975i,-0.0053179+0.0063318i,-0.0012368+0.0016589i,0.0045823-0.0043289i,0.00046857-0.0015623i,-0.00032712-0.0052396i,0.0012521-0.0029573i,0.00026282-0.0026728i,-0.013632-0.0032437i,0.00088743+0.0023827i,-0.00073788+0.0014153i,-0.0026353+0.00075317i,-0.00091647+0.0012509i,-0.002092-0.00061556i,-0.00014368-0.00084875i,0.0012607+0.0022507i,0.00054914+0.0012557i,0.0010371-0.00040436i,-0.00047091+0.00084409i,-0.0005021+0.0039596i,-0.00041732-0.0057513i,-0.0017556+0.0022348i,-0.0010095-0.00085641i,0.00095459+0.0015917i,0.0031142-0.00015111i,-0.00076595-0.0011332i,-0.0013953-0.0012124i,-0.0030174+0.0016107i,0.0034203-0.0022731i,-0.010323+0.025886i,-0.023115-0.038435i,-0.037516+0.021459i,-0.013982-0.040909i,-0.053373-0.032248i,-0.02663-0.0073197i,-0.034895+0.039457i,-0.023775+0.01547i,-0.026888-0.013164i,-0.029135-0.014877i,-0.041852+0.0052678i,-0.0036876+0.0028949i,-0.011638+0.028867i,0.013116+0.0064004i,0.0032518-0.00011789i,-0.017292-0.0057693i,-0.00058395+0.0046213i,-0.0064337+0.00541i,0.01132+0.0031372i,0.0027707+0.0081086i,-0.0035927+0.0016575i,0.0023023+0.0014189i,0.003695-0.0030047i,0.0081491+0.0066459i,0.0091956+0.0031358i,-0.0046345+0.00029318i,0.00028202-0.0062568i,0.0063799+0.0014758i,-0.005834+0.0080955i,-0.00068677+0.0013432i,-0.0046108-0.023539i,0.015515+0.0017105i,0.0047713-0.0017475i,0.0010147+0.0014397i,-0.00040166-0.0016226i,0.015873-0.009438i,0.0017724+0.002878i,-0.0056063-0.0027703i,-0.0030071+0.0024908i,0.0128+0.00047324i,0.0084655-0.00033904i,0.00064537-0.0034873i,0.0098745+0.0022218i,0.0030495+0.0014804i,0.0079438-0.0035686i,-0.053393+0.0010333i,-0.0084862-0.012017i,0.00082253-0.0078171i,-0.002718+0.0037346i,-0.020629+0.028525i,-0.0035898+0.0032328i,-0.0011975+0.0089007i
-0.02089+0.043039i,-0.0076414+0.020414i,-0.0038361+0.026733i,-0.016931+0.022006i,0.0053327+0.015323i,0.0037789+0.0057433i,-0.018818+0.03292i,0.012594+0.021613i,0.0087752+0.0080673i,-0.0063084+0.0023089i,0.0074816+0.0019875i,0.00036192-0.0014116i,0.002102-0.0034871i,0.0021523+0.0032684i,0.0018323+0.0015955i,-0.001632+0.0023599i,-0.001797+0.0088721i,-0.00045641+0.001325i,0.0027273-0.0052897i,-0.00030966-0.0021862i,-0.0014997-0.0042697i,0.00094515-0.0033158i,-0.00036865-0.002878i,-0.013858+0.0017396i,0.001824+0.0012754i,0.00015844+0.00082127i,-0.0019481+0.00043978i,0.00023111+0.00065095i,-0.0022452+0.00020954i,-0.00053653-0.00052626i,0.0018463+0.0022475i,0.0010854+0.0011176i,0.0004208-0.00081141i,-0.00020535+0.00080856i,0.001185+0.0031536i,-0.0012265-0.0077815i,-0.00086556+0.0028813i,-0.0013663-8.2468e-05i,0.00090854-0.00012927i,0.0026291-0.00044528i,-0.0010177-0.00094992i,-0.00074815-0.0013193i,-0.0020756+0.0026925i,0.0013692-0.0040517i,-0.0073042+0.026737i,-0.034932-0.026444i,-0.028297+0.022067i,-0.025625-0.037391i,-0.060377-0.021424i,-0.021921-0.005462i,-0.020872+0.03826i,-0.013717+0.011485i,-0.028306-0.010285i,-0.029535-0.0098904i,-0.035693+0.015203i,-0.0033732+0.0031552i,0.00052039+0.028651i,0.014293+0.0016317i,-0.0013932-0.00087572i,-0.022541+0.0050718i,-0.00056551+0.0064218i,-0.0017734+0.0052543i,0.0094022-0.0030405i,0.0058884+0.0064122i,-0.0031294+0.0045888i,0.00032579+0.0019183i,0.002866-0.0054254i,0.0057911+0.0012372i,0.006063+0.00038271i,-0.0031014+0.0033053i,-0.0015718-0.0046502i,0.0065997-0.00071554i,0.0040711+0.0066449i,0.0003375+0.00086325i,-0.010247-0.022397i,0.013879-0.0043623i,0.0046481-0.0039681i,0.0013953+0.0028169i,-0.00034776-0.00145i,0.010551-0.012235i,0.0052838+0.0035737i,-0.0061733+0.00035444i,-0.00041995+0.0043078i,0.0086709-0.00070977i,0.007894-0.0055935i,-0.00080464-0.003002i,0.008278-0.0037578i,0.00265-0.0014862i,0.0067912-0.0068165i,-0.049576+0.013032i,-0.019078-0.010675i,-0.0019759-0.013385i,-0.0019208+0.0012563i,-0.012673+0.027989i,-0.007342+0.0033997i,-0.0021244+0.0082068i
-0.014716+0.044675i,-0.0051987+0.01997i,-0.0044747+0.024446i,-0.01234+0.023575i,0.00677+0.012183i,0.0040756+0.0039286i,-0.011271+0.034771i,0.015031+0.016998i,0.009768+0.0070607i,-0.0042315+0.00394i,0.0063159-0.003182i,0.00091956+0.0006484i,0.0010685-0.0034037i,0.0034876+0.0037296i,0.0022238+0.001202i,0.00011343+0.0049557i,0.0023846+0.0091527i,-0.00024416+0.00098123i,0.0013041-0.0057735i,-0.0012108-0.0020687i,-0.0026038-0.0034841i,0.00022263-0.0034945i,-0.00129-0.0027033i,-0.0099644+0.005113i,-0.0028809-0.0026478i,-0.00013942-7.6479e-05i,-0.001643+0.00091069i,0.00035063-0.00057885i,-0.001616+0.0019425i,-0.00024402-0.00024581i,0.0023577+0.00098439i,0.0017182+0.00036614i,-0.00036419-0.00057771i,-0.00027851+0.00075355i,0.0015128+0.0022125i,-0.0041025-0.0089154i,6.3762e-05+0.0028197i,0.00027926+0.0011813i,0.00014306-0.00042564i,0.0021231-0.00062549i,-0.0010351-0.00059316i,-0.0011037-0.0018567i,-0.00053406+0.0030111i,-0.0010161-0.0029879i,-0.0027221+0.027953i,-0.035348-0.011923i,-0.022278+0.020375i,-0.034779-0.029959i,-0.064939-0.0070129i,-0.019015-0.0077543i,-0.010153+0.034004i,-0.0090323+0.006159i,-0.028083-0.0083153i,-0.028155-0.0069346i,-0.030566+0.022829i,-0.002614+0.0032752i,0.01226+0.023472i,0.012417-0.0025181i,-0.004681+0.001795i,-0.021224+0.014533i,0.0016624+0.007635i,0.0012058+0.0050988i,0.0033096-0.0046177i,0.0076059+0.0043198i,-0.00064917+0.0065877i,0.00030644+0.0041893i,0.0012695-0.0063227i,0.0013788+0.0018212i,0.0032655+0.00099629i,-0.0019395+0.0050286i,-0.0026532-0.0022577i,0.0058229-0.0028544i,0.0075006+0.0032555i,0.00069212+0.00037915i,-0.013652-0.020252i,0.010255-0.0083138i,0.0023115-0.0054229i,0.003281+0.0036914i,-0.00054229-0.00062327i,0.0063553-0.012701i,0.0077825+0.00054883i,-0.0043669+0.0040739i,0.0023617+0.0038808i,0.0086723-0.0015112i,0.0032684-0.0097772i,-0.00080467-0.0022357i,0.0035266-0.0062671i,0.0003325-0.0019321i,0.0030135-0.0098491i,-0.041379+0.018448i,-0.02705-0.0027886i,-0.0070898-0.014652i,-0.0027567-0.0014651i,-0.00688+0.027035i,-0.010086+0.0061078i,-0.0011763+0.0088873i
-0.0082182+0.046103i,-0.0029844+0.020206i,-0.0047916+0.0253i,-0.0076734+0.023483i,0.0068929+0.0092051i,0.0041826+0.0028431i,-0.0031445+0.033958i,0.01641+0.012697i,0.010964+0.0048505i,-0.0025239+0.0040257i,0.0036843-0.0030606i,0.0020322+0.0016605i,-4.3091e-05-0.0031805i,0.005115+0.0025649i,0.0022275+0.00066544i,0.0028678+0.0059153i,0.0063679+0.0071837i,-3.6676e-05+0.00096735i,-0.00074837-0.0059203i,-0.0019243-0.0015717i,-0.0029064-0.0022146i,-0.00042821-0.0035641i,-0.0019322-0.0021112i,-0.0074605+0.0045519i,-0.0008333-0.00048845i,-0.00082572-0.00013758i,-0.0014598+0.001039i,-0.00036689-0.0015619i,-0.00021944+0.0010769i,-0.00017454-0.00040742i,0.0022259-0.00020106i,0.0019117-0.00073088i,-0.0006048-0.00018062i,-0.00016504+0.00071983i,0.0015927+0.0017152i,-0.0073148-0.0087267i,0.00062272+0.0024044i,-0.0023271+0.0019039i,-0.0003266+0.000902i,0.0018296-0.00038636i,-0.00090364-0.00016088i,-0.0019154-0.0013868i,0.00076447+0.0024496i,-0.0017487-0.0013129i,0.0024243+0.028572i,-0.029804-0.004124i,-0.018596+0.018844i,-0.039698-0.018723i,-0.062747+0.010889i,-0.022582-0.010553i,-0.0033667+0.027746i,-0.0064656+0.0016783i,-0.027412-0.0054544i,-0.028121-0.0041889i,-0.022054+0.030129i,-0.0029005+0.0035429i,0.018215+0.010213i,0.010452-0.0073261i,-0.0055357+0.0058183i,-0.013988+0.023267i,0.0041475+0.0067219i,0.0038907+0.0039786i,0.00060666-0.0015652i,0.0095818+0.0010436i,0.0015797+0.0077035i,0.0019064+0.0052162i,-0.0032401-0.0086263i,0.00029449+0.0052497i,0.003379+0.0023023i,0.001414+0.0074429i,-0.0017913-0.00042101i,0.004242-0.003742i,0.0095023+0.001309i,0.0011556-0.00064943i,-0.021243-0.019295i,0.0059809-0.010182i,-0.00013393-0.0055263i,0.0031181-0.0022856i,3.9546e-05+0.00060719i,0.0041722-0.011997i,0.0074332-0.0028368i,-0.0012706+0.005152i,0.0035745+0.0016252i,0.0069736-0.0043155i,-0.0026818-0.0093714i,-0.0011448-0.0024429i,-0.00091672-0.0059058i,-0.00033975-0.0025615i,-0.0018209-0.0093019i,-0.036274+0.021583i,-0.024856+0.010826i,-0.011815-0.014835i,-0.005069-0.0021177i,-0.0030314+0.025872i,-0.0088936+0.010947i,0.0022306+0.0076232i
-0.0012589+0.046878i,-0.00022887+0.020645i,-0.0031686+0.02741i,-0.0042557+0.022323i,0.0060316+0.0075885i,0.0043789+0.0017215i,0.003827+0.031197i,0.016679+0.0090522i,0.011795+0.0025571i,-0.0017373+0.0041588i,0.0026583-0.0021293i,0.0041829+0.0019843i,-0.0010054-0.0026886i,0.0056268-0.00016335i,0.0019844+0.00029127i,0.0053247+0.0052282i,0.0079996+0.0036188i,0.00019777+0.0010244i,-0.0023929-0.0052532i,-0.002342-0.00072786i,-0.0025631-0.00096689i,-0.0012162-0.0034609i,-0.0023095-0.0014649i,-0.0075205+0.0044532i,-0.0010153-7.9717e-05i,-0.0012221+0.00040192i,-0.0012243+0.0013384i,-0.0017415-0.0015797i,-0.00043858+0.00065502i,-0.00042635-0.00061171i,0.0020743-0.00087664i,0.0015581-0.0022461i,-0.00017101-0.0001057i,5.5692e-05+0.00069487i,0.0018475+0.0007557i,-0.011036-0.006987i,0.0012757+0.0020641i,-0.0011544+0.002012i,-0.00040552+0.0016149i,0.0022433-0.00031119i,-0.00062109+1.6917e-05i,-0.0015399-0.00029878i,0.0013286+0.001786i,-0.0016599-0.0004226i,0.0084412+0.027032i,-0.0259-0.0029249i,-0.015796+0.018405i,-0.039031-0.0088243i,-0.053009+0.026192i,-0.025994-0.0079887i,0.0014652+0.02243i,-0.006645-0.0026439i,-0.026187-0.0035821i,-0.027286-0.00017985i,-0.013067+0.033731i,-0.0018326+0.0037459i,0.012895-0.0017467i,0.0058854-0.011181i,-0.0038098+0.0089941i,-0.0049947+0.02497i,0.0051754+0.00448i,0.0050593+0.00042254i,0.0017665-0.00035757i,0.0090756-0.0022666i,0.0062023+0.0069126i,0.0038175+0.0060467i,-0.0077641-0.003564i,0.0030296+0.0074707i,0.0044789+0.0027518i,0.0049258+0.0062327i,-0.0012786+9.8461e-05i,0.0031871-0.0045346i,0.0088217-0.0052305i,-0.00057552-0.0011512i,-0.028302-0.010905i,0.0020323-0.0099712i,-0.0022806-0.0041391i,0.0047913-0.0023354i,0.00057608+0.00059372i,0.003015-0.014032i,0.005917-0.005323i,0.0010833+0.0041334i,0.003425+0.00045455i,0.0054699-0.0057235i,-0.0063429-0.005479i,-0.0025379-0.0023392i,-8.2157e-05-0.0020436i,-0.0021246-0.0028889i,-0.0045018-0.0071664i,-0.029641+0.024799i,-0.018233+0.011529i,-0.012395-0.013763i,-0.0064242-0.0011006i,0.0011063+0.023328i,-0.0069728+0.012867i,0.0027278+0.0051951i
0.0060178+0.046489i,0.0030876+0.020861i,0.00079819+0.030056i,-0.0014938+0.021813i,0.0052376+0.0072218i,0.0040527+0.00077782i,0.0093683+0.027274i,0.016625+0.0059897i,0.012368-0.00045071i,-0.00080392+0.0047575i,0.0026825-0.0015674i,0.0061276-8.8473e-05i,-0.0017861-0.0018026i,0.0038724-0.0014653i,0.0019364+0.00017337i,0.0071964+0.0034047i,0.0076466+0.0012563i,0.00065515+0.00065261i,-0.0036025-0.004297i,-0.0020484+0.0004423i,-0.0018953-0.00025471i,-0.0019974-0.0027249i,-0.0025417-0.00076758i,-0.0068191+0.0067409i,-0.0012015+0.00050616i,-0.0010282+0.0010271i,-0.00083317+0.0017233i,-0.0028164-0.00060039i,-0.000554+0.00064262i,-0.00074475-0.00051281i,0.0015285-0.0018309i,0.0006582-0.0029595i,-0.00034506-0.00021009i,6.8594e-05+0.00057508i,0.0015101-5.4516e-05i,-0.013833-0.0034118i,0.0017048+0.0014163i,-0.00057515+0.0022961i,-0.00059024+0.0019424i,0.0025808+0.0042309i,-3.6033e-05+0.00017434i,-0.0010343-8.9577e-05i,0.0015662+0.0011477i,-0.0014471+0.00023219i,0.013037+0.023386i,-0.026007-0.0021928i,-0.013829+0.017476i,-0.037827-0.00074222i,-0.039977+0.033939i,-0.029149-0.0047462i,0.0050581+0.016484i,-0.0078697-0.0043597i,-0.02529-0.002263i,-0.0256+0.004017i,-0.0024194+0.03412i,-0.0010178+0.0035944i,0.0058899-0.0034368i,0.00059239-0.012442i,0.00014625+0.011989i,0.0033609+0.022988i,0.0049636+0.0023976i,0.0036935-0.0026793i,0.0012615-0.00025684i,0.0073134-0.0056634i,0.0094757+0.0031672i,0.00634+0.0056264i,-0.0077706+0.00077357i,0.005994+0.0077235i,0.0061895+0.0026209i,0.007895+0.0028779i,-0.00081471+0.00080782i,0.0028777-0.0052101i,0.0048678-0.010737i,-0.00091912+0.00089544i,-0.030633+0.001325i,-0.00039434-0.0091662i,-0.0031972-0.0020742i,0.0057759-0.0020162i,0.00073701+0.00019356i,-0.00091288-0.016168i,0.0034446-0.006708i,0.0027163+0.0032084i,0.0036715-0.00060473i,0.0048449-0.0066832i,-0.0080954-0.002376i,-0.0037593-0.00075728i,0.00041115-0.001906i,-0.0032752-0.0022065i,-0.0059439-0.0049952i,-0.023809+0.025477i,-0.016402+0.012089i,-0.013106-0.014143i,-0.0070406+0.00017724i,0.0030541+0.022768i,-0.0056635+0.013238i,0.0032091+0.0038933i
0.013662+0.044989i,0.0071624+0.020141i,0.0071526+0.030763i,0.0014397+0.021276i,0.005765+0.0078026i,0.0038681+0.00033111i,0.013267+0.022065i,0.016681+0.0030564i,0.011814-0.0036492i,0.00054125+0.0046753i,0.0027217-0.0020947i,0.0055843-0.0032257i,-0.0020387-0.00086739i,0.0030372-0.0017712i,0.0019701+7.3869e-06i,0.0077037+0.00070261i,0.007144-7.5968e-05i,0.00046739+0.0001201i,-0.0048595-0.0029483i,-0.0013218+0.00080572i,-0.0011121-0.00027515i,-0.0022197-0.0019493i,-0.0024828+5.5775e-05i,-0.0040238+0.0089696i,-0.00092719+0.0010049i,-0.00045936+0.001341i,-1.2389e-05+0.0018763i,-0.003063+0.00069666i,-0.00048536+0.00048603i,-0.00096852-0.0003857i,0.00042933-0.0021807i,-0.00085747-0.0031694i,-0.00048085+8.1417e-06i,1.1681e-05+0.00053154i,0.00094259-0.00052025i,-0.014399+0.0014027i,0.0017415+0.00083247i,0.00029392+0.0021008i,-0.0004059+0.0027346i,-0.00034944-0.00081478i,0.00091201-0.00039443i,-0.00049114-0.00016356i,0.0013257+0.00099095i,-0.0012131+0.00065096i,0.016018+0.020195i,-0.028175+0.0016333i,-0.012131+0.016943i,-0.032476+0.0069988i,-0.027795+0.038312i,-0.031191+0.0024891i,0.0075787+0.0096231i,-0.0062669-0.0063246i,-0.024296+0.00017893i,-0.022243+0.0087416i,0.0058093+0.031003i,-0.00083838+0.002953i,0.0018521-0.0032449i,-0.0052555-0.011768i,0.0063436+0.011503i,0.0084186+0.018518i,0.0030696+0.001009i,0.0015786-0.0045472i,0.0019902+0.0022599i,0.0033893-0.0075798i,0.010525-0.0023303i,0.0084953+0.0033931i,-0.007195+0.0043779i,0.010157+0.0064701i,0.0084609+0.00011405i,0.0095163-0.0019938i,8.4024e-05+0.0013308i,0.0015621-0.0060507i,-0.0010463-0.0098528i,0.00089138+0.0023282i,-0.028062+0.014034i,-0.0026103-0.0081995i,-0.0027578-8.6135e-05i,0.0061298-0.0049762i,0.001268+0.00065502i,-0.0073743-0.015679i,0.00049824-0.0065808i,0.0036635+0.001462i,0.0035111-0.00099007i,0.0030977-0.0082889i,-0.0082695+0.0027846i,-0.0034259+0.0014834i,-0.0048925-0.0028351i,-0.0048002-0.0018288i,-0.0063073-0.0027535i,-0.020322+0.026385i,-0.015493+0.016202i,-0.016038-0.016115i,-0.0052719+0.0019645i,0.0068186+0.022605i,-0.0050472+0.015143i,0.0042007+0.00098953i
0.021143+0.041795i,0.011024+0.018183i,0.013088+0.028193i,0.004484+0.020219i,0.0072892+0.0076462i,0.0041497+5.9936e-06i,0.015268+0.01679i,0.016256+0.00017534i,0.010435-0.0062698i,0.0014028+0.0044262i,0.0023066-0.0025072i,0.0032726-0.0047989i,-0.0020087-5.6306e-05i,0.0020329-0.0019439i,0.0019548-0.00026089i,0.0068291-0.0013479i,0.0075652-0.0016009i,0.00029283+7.8897e-05i,-0.0055065-0.0013326i,-0.00043342+0.001097i,-0.00039625-0.00064448i,-0.0023035-0.0016085i,-0.0020657+0.0006779i,-0.00066567+0.0095628i,-0.00065273+0.0011849i,-2.8153e-05+0.001547i,0.00065878+0.0014209i,-0.0024616+0.0016944i,-0.00055955+0.00031658i,-0.0013093-4.037e-05i,-0.00054152-0.0019885i,-0.0024336-0.0028683i,-0.00031657+0.00023087i,7.3798e-05+0.00053922i,0.00036895-0.00075782i,-0.013073+0.0057788i,0.0017741+0.00023945i,0.00066608+0.001475i,0.00093059+0.0032036i,-0.00016045-0.0012341i,-0.00076484-0.00041791i,0.00095983-0.00073072i,0.0012813+0.0011603i,-0.00098285+0.0010329i,0.018551+0.017309i,-0.027194+0.0085168i,-0.011638+0.016436i,-0.026205+0.0102i,-0.015199+0.039744i,-0.029244+0.011605i,0.0063423+0.0024184i,-0.0069823-0.011403i,-0.020676+0.0016362i,-0.016392+0.013185i,0.013246+0.025612i,-0.0015374+0.0026503i,-0.0018372-0.0017316i,-0.0098468-0.0084011i,0.010591+0.007004i,0.011073+0.013019i,-1.1666e-06+0.00201i,-0.0010389-0.0065518i,0.0053918+0.0013501i,-0.0004449-0.0070491i,0.007305-0.0064135i,0.009751+0.00018274i,-0.0056421+0.0071217i,0.01356+0.00090981i,0.0085146-0.0045962i,0.0083453-0.0067453i,0.0013635+0.0011733i,-0.00048846-0.0063389i,-0.0045962-0.0061808i,0.0028151+0.0012603i,-0.018692+0.02516i,-0.0049566-0.0067238i,-0.0013942+0.0010555i,0.0018824-0.0070935i,0.0020764+0.00040287i,-0.012634-0.011677i,-0.00098743-0.004693i,0.0035514-0.00078255i,0.0031833-0.0015759i,0.00022278-0.0084779i,-0.0044094+0.0068088i,-0.0018635+0.0029039i,-0.0053587+0.0015246i,-0.0064628-0.00043592i,-0.0062238-0.0015021i,-0.014736+0.030106i,-0.0072118+0.020173i,-0.021619-0.017323i,-0.0028292+0.00075566i,0.0098542+0.020874i,-0.0021984+0.017396i,0.0029483-0.0027067i
