-0.023628-0.038984i,-0.011626-0.049709i,-0.016742-0.045362i,-0.030778-0.035883i,-0.029563-0.01663i,-0.050458-0.028802i,-0.058488-0.02631i,-0.044464-0.039094i,-0.029139-0.036573i,0.0071238+0.013013i,-0.0060415+0.016047i,-0.0050567+0.014593i,0.0098694+0.02192i,0.00017433+0.0045744i,0.0034971+0.0032557i,0.0065103+0.018037i,0.026917+0.039287i,-0.0025296-0.00085768i,-0.0046314-0.0060705i,0.008285+0.0017343i,-5.8576e-05-0.00086417i,-0.0010194+0.0015222i,0.0002467-0.00043838i,-0.030828-0.0028321i,-0.0012592-0.0059031i,0.0013109+0.0046017i,0.0038499-0.00045153i,-0.0002646+0.00067823i,0.00045364-0.00056421i,-0.00022381-0.0024704i,-0.0015614-0.0062868i,-0.0044895-0.0040373i,-0.0018049-0.0051977i,0.0020431-0.00079364i,0.002447-0.0028259i,0.002671+0.026226i,0.0021072-0.0026962i,0.0029263+0.00059059i,0.0061102+0.0010343i,-0.010223-0.003565i,-0.0032831+0.00096137i,0.0069411+0.0017742i,0.0048223+0.00016618i,-0.0039298+0.0058323i,0.0015918-0.0076824i,-0.01198+0.017784i,0.035644-0.090882i,0.012511-0.07005i,-0.015376-0.059596i,-0.016461-0.05566i,0.040429-0.046153i,0.017356-0.062644i,0.034704-0.056027i,0.031305-0.059945i,0.015189-0.013778i,0.0044729+0.016671i,0.016791-0.026667i,-0.011717+0.0057545i,-0.00066462+0.0052961i,-0.0055149-0.0012549i,-0.0021339-0.028957i,-0.024152+0.031869i,0.0098321-0.011354i,-0.013105-0.0025297i,-0.0002221-0.0050337i,-0.0011808-0.016129i,-0.0077819+0.0047353i,0.0052013+0.0062501i,-0.0081416+0.031059i,0.0050017+0.0058245i,-0.0050148-0.00064184i,-0.00329-0.00029088i,-0.012152-0.0073848i,-0.00047729-0.0042655i,-0.029719+0.0062112i,0.00014789-0.0098689i,-0.0093408-0.0020089i,-0.0060347-0.0029272i,0.0068912+0.0031264i,-0.0073901+0.0010019i,0.00029653+0.00060043i,0.0057341+0.010593i,0.0040512+0.001328i,-0.009402-0.0096936i,0.0029282+0.0080006i,-0.02121+0.0062771i,0.0083363+0.00080143i,-0.029153-0.0035839i,-0.042127+0.0024136i,0.019287-0.097148i,-0.0023688-0.012432i,-0.053084-0.022181i,-0.023078+0.0011838i,0.017978+0.010666i,-0.024931+0.012926i,-0.018099-0.013152i
-0.031715+0.0189i,-0.051937+0.019161i,-0.032366+0.046227i,-0.031187+0.024465i,-0.028499+0.039503i,0.0049348+0.046861i,-0.0031606+0.023809i,-0.01669+0.038988i,-0.01394+0.022145i,-0.0029093-0.0054346i,-0.0041065-0.0030555i,-0.0015282-0.0034353i,-0.0036477-0.00070445i,-0.0067259-0.0047i,-0.0018674+0.0042703i,-0.0029525-0.0016352i,-0.01122-0.0038366i,-0.0019076-0.00098389i,0.0026344-0.001524i,0.0018175-0.0005918i,0.0026436-0.0034141i,0.0024299-0.0038708i,0.0012945-0.0024884i,-0.0092563-0.0084712i,-0.0021141+0.00057039i,-0.0042629+0.0012332i,-0.0017431-0.00017691i,-0.0035695-0.0011776i,-0.001293-0.0015522i,0.0011574-0.00191i,-0.0019064+0.0064102i,0.001439+0.0001743i,0.0029487+0.00010125i,0.0010615+0.0013239i,-0.0017264+0.0034592i,-0.00071981-0.0064448i,-0.0012991+0.0011803i,0.00039799-5.1371e-05i,-7.6906e-05+0.0035181i,0.0076046+0.0052124i,0.0014195-0.0028317i,0.0014286-0.0039447i,-0.0036013+0.00066936i,0.0011578+0.0026322i,-0.030994-0.0073715i,0.010853-0.078283i,-0.093097-0.029584i,-0.051637-0.035982i,-0.075762-0.049702i,-0.058653-0.0059498i,-0.094032+0.018388i,-0.059139+0.011206i,-0.048953-0.025868i,-0.032737-0.056276i,-0.025273-0.029606i,0.0029204+0.0052145i,-0.01859+0.01123i,0.0092745+0.0038969i,0.011143+0.0042953i,0.0006483-0.0069732i,0.0081783+0.00091871i,-0.0082728-0.0035987i,0.0026577+0.014194i,-0.0010864+0.0090844i,0.00070273+0.0014619i,0.0057784+0.0034737i,0.0021135-0.00079115i,-0.0010083+0.015128i,0.00060857+0.011411i,0.0031106-0.00545i,0.010404-0.0070109i,0.0024233+0.0025532i,-0.0083433-0.007452i,-0.0019895-0.0027548i,0.018642-0.026602i,0.0060116+0.0040294i,0.0034201+0.0044038i,-0.0034851+0.0025737i,0.0023966-0.0040117i,0.021758+0.0023204i,0.0020431-0.0026407i,-0.00062425-0.0092576i,0.00075334-0.0023282i,0.012761+0.0035873i,0.004674+0.00054564i,0.0048064-0.006875i,0.0031796+0.0088033i,0.0041438-4.7646e-05i,0.025012+0.0047991i,-0.080838-0.035218i,-0.0053493+0.018885i,0.0074393-0.0031985i,-0.0016743+0.0028454i,-0.035975+0.012763i,-0.0072907+0.0067781i,-0.017553+0.013427i
-0.027167+0.022691i,-0.048069+0.023954i,-0.020968+0.044623i,-0.027061+0.028554i,-0.021922+0.041008i,0.013641+0.044156i,0.0001085+0.023441i,-0.0090063+0.040202i,-0.0091132+0.019426i,-0.0046572-0.0035566i,-0.0042822-0.00057955i,-0.0025497-0.00379i,-0.0043118-0.00030163i,-0.0069941-0.0018535i,-0.00064133+0.0051267i,-0.0053482+0.00041807i,-0.013149+0.0014019i,-0.0018097+2.799e-07i,0.0029251-0.0020241i,0.001944-0.0014367i,0.0015236-0.0039183i,0.0016319-0.003933i,0.00088601-0.0025796i,-0.010658-0.005117i,-0.0013511+0.001047i,-0.0038562+0.0025743i,-0.0013543+0.00044156i,-0.0034217-4.9853e-06i,-0.0018679-0.0014049i,0.00052893-0.0017647i,0.00089319+0.0068453i,0.0010877-0.00022041i,0.0023189-0.0011177i,0.00090904+0.0011658i,-0.0015059+0.0030942i,-0.00112-0.0058677i,-0.00075776+0.00097918i,-0.00045716-0.00030978i,7.0294e-05+0.0040586i,0.0077455+0.00099412i,0.00056056-0.0030403i,-0.00081045-0.004266i,-0.0038311+0.0016496i,0.0017688+0.0024909i,-0.031683-0.007162i,-0.013126-0.088791i,-0.089844-0.011214i,-0.060728-0.03428i,-0.087381-0.038236i,-0.057618+0.0041241i,-0.084206+0.035961i,-0.055151+0.023447i,-0.041292-0.024911i,-0.039683-0.051406i,-0.033452-0.018679i,0.0040443+0.0018698i,-0.011966+0.01991i,0.0094018-0.00016983i,0.012257-0.002046i,-0.0049645-0.010912i,0.0036637+0.00069003i,-0.0082619+0.0029377i,0.0079766+0.011915i,0.0014266+0.011266i,0.0008113+0.0011832i,0.0072952+0.0033869i,0.0025814+0.00029456i,0.0055931+0.011472i,0.0054485+0.0068297i,-0.0021734-0.0070478i,0.0032969-0.0079068i,0.0034933+0.0029192i,-0.01088-0.0001191i,-0.0025551-5.8502e-05i,0.0067016-0.02781i,0.0073633+0.0031582i,0.0070116+0.0026106i,-0.00060516+0.0027185i,-0.00017801-0.0016769i,0.019013-0.007332i,0.00029575-0.0033878i,-0.0053559-0.0074259i,-0.0026148-0.0014731i,0.011217-0.0015459i,0.0045669+0.0011222i,0.0022206-0.0048511i,0.0060145+0.0074375i,0.0034987-0.00059449i,0.024283-0.0031804i,-0.085293-0.025574i,0.0026054+0.0086164i,0.0060036-0.0058707i,-0.00063103+0.00054891i,-0.029079+0.022763i,-0.0054572+0.0073847i,-0.013532+0.016515i
-0.02164+0.025042i,-0.045271+0.028875i,-0.01417+0.040406i,-0.022539+0.030771i,-0.014431+0.042983i,0.021406+0.039311i,0.0035821+0.023074i,-0.0013131+0.039608i,-0.0080754+0.017115i,-0.0055167-0.0012505i,-0.0032547+0.0011476i,-0.0059435-0.0033314i,-0.0046888+0.0016738i,-0.0071455+0.00024246i,0.001222+0.0055863i,-0.006085+0.0040014i,-0.011879+0.0076627i,-0.0006479+0.00092675i,0.0029922-0.0036121i,0.0018155-0.0026183i,0.00013194-0.0044202i,0.00073369-0.0046459i,0.00051522-0.0027914i,-0.011612-0.0022263i,-0.0010482+0.0013552i,-0.0024067+0.0041471i,-0.00087075+0.00040084i,-0.0028017+0.0013638i,-0.0021789-0.00080579i,-0.00042029-0.0024724i,0.0036573+0.0056338i,0.00070612-0.00037892i,0.001544-0.0015794i,0.0013492+0.00065291i,-0.00026332+0.0041332i,-0.0012823-0.0058335i,-0.0011299+0.00075566i,-0.00080385-0.00010078i,0.0033032+0.0028154i,0.006188-0.0015653i,-0.0002831-0.0027855i,-0.001269-0.0024543i,-0.0041366+0.0025734i,0.0021933+0.0012043i,-0.03459-0.0049456i,-0.042227-0.087442i,-0.079889+0.002322i,-0.070501-0.027135i,-0.094537-0.022817i,-0.05319+0.012624i,-0.069106+0.048029i,-0.04076+0.033513i,-0.044966-0.026414i,-0.045824-0.047612i,-0.034999-0.0062864i,0.0039936-0.0011279i,-0.0022209+0.021909i,0.0086167-0.0032501i,0.0080241-0.0074361i,-0.014994-0.0089722i,0.0025487+0.00012861i,-0.0041088+0.0065929i,0.011289+0.0069021i,0.0049013+0.011943i,-4.1355e-05+0.0017629i,0.0078554-0.00069098i,0.00431-0.0014114i,0.007385+0.0064354i,0.0051676+0.0021305i,-0.0070638-0.0035409i,0.00094309-0.0062382i,0.0055716+0.0017095i,-0.0066817+0.0089902i,-0.00072725+0.0013854i,-0.0026677-0.024922i,0.0094554-0.00023616i,0.0067742-0.00078623i,0.00016626+0.0022464i,0.00093085+0.0002768i,0.012469-0.012398i,-0.0023599-0.00040321i,-0.0085402-0.0040384i,-0.0033389+0.0020271i,0.0069134-0.0046595i,0.0075318-0.00091266i,0.0027301-0.0048655i,0.0097017+0.0040174i,0.004501-0.0020879i,0.020859-0.010418i,-0.088936-0.011811i,0.00038015-0.001508i,0.0056004-0.008408i,-0.0006619-0.001817i,-0.019448+0.02663i,-0.0055511+0.003281i,-0.0087027+0.0132i
-0.016016+0.025092i,-0.041343+0.034974i,-0.01064+0.037039i,-0.01764+0.033885i,-0.0058563+0.042056i,0.027761+0.03303i,0.0078405+0.022278i,0.0056466+0.037099i,-0.0077991+0.017359i,-0.0052148+0.0011989i,-0.0024897+0.0013345i,-0.0080002+0.00060242i,-0.0042977+0.0032621i,-0.0071552+0.0028392i,0.0029907+0.0049447i,-0.0044621+0.007782i,-0.0071879+0.012604i,0.00039322+0.00031655i,0.0014587-0.0046446i,0.0003625-0.0039225i,-0.0014707-0.0042194i,-0.00043657-0.0047014i,-5.6303e-05-0.0033097i,-0.011783+0.0014223i,-0.00039331+0.0010652i,-6.618e-06+0.0036111i,-0.0010471+0.00027655i,-0.0016381+0.0018844i,-0.002381+0.00014499i,-0.0020297-0.0018531i,0.0052373+0.0034389i,0.00033471-0.00035156i,0.00078086-0.0019681i,0.0013377+5.8125e-05i,0.0018557+0.0036109i,-0.0021533-0.0072419i,-0.00078866+0.0013501i,-0.0010935+0.00022861i,0.0031431-0.00066013i,0.0045405-0.0026779i,-0.00085004-0.0025155i,-0.00081611-0.0021997i,-0.0034452+0.0043074i,-0.00017435-0.00080836i,-0.037324-0.00078902i,-0.066928-0.071388i,-0.069944+0.008066i,-0.078324-0.015812i,-0.098522-0.0065227i,-0.047312+0.018176i,-0.055205+0.05387i,-0.02634+0.032918i,-0.048267-0.020883i,-0.052074-0.040346i,-0.032873+0.0027626i,0.0021604-0.0034534i,0.0063177+0.019858i,0.00711-0.0060818i,0.0023607-0.008789i,-0.02088+0.00048786i,-0.00034856+0.00099217i,-3.9531e-05+0.006119i,0.01072+0.0011252i,0.0096773+0.011243i,0.00057084+0.0029752i,0.0047331-0.0023321i,0.0041514-0.0047807i,0.0063398+0.0020521i,0.0024863+0.00051346i,-0.0072773+0.00058202i,-0.0011528-0.0051418i,0.0060178-0.00051753i,0.002887+0.010044i,0.000182+0.00073304i,-0.0078654-0.019839i,0.008356-0.0035182i,0.0060214-0.0030066i,0.0017814+0.0029702i,0.0016005-0.00022325i,0.0068431-0.012947i,6.5453e-05+0.0018473i,-0.009713+0.00062618i,-0.00095206+0.0037565i,0.0038273-0.0043014i,0.0066126-0.0050541i,0.0007254-0.0053175i,0.0094852-0.0017828i,0.0032087-0.0050509i,0.016278-0.016563i,-0.085949+0.0032725i,-0.006871-0.0053824i,0.0033747-0.013177i,-0.0015107-0.0041572i,-0.012757+0.026458i,-0.0090352+0.0032699i,-0.0083027+0.012032i
-0.012218+0.024569i,-0.036533+0.040361i,-0.009372+0.035602i,-0.011325+0.035833i,0.001083+0.039124i,0.031981+0.026008i,0.012371+0.019983i,0.011418+0.033684i,-0.0059733+0.018732i,-0.0038194+0.0030423i,-0.0026183+0.0020628i,-0.0072298+0.0042941i,-0.0034559+0.0047205i,-0.0055102+0.0056897i,0.0044958+0.0038296i,-0.0011222+0.0099251i,-0.0013787+0.014291i,0.00053267-0.00017379i,0.00031288-0.0045666i,-0.0016308-0.0037778i,-0.0029066-0.0033494i,-0.0018228-0.0042703i,-0.0013644-0.0033247i,-0.0095836+0.0042266i,-0.0007207+0.00047691i,0.00025717+0.0020526i,-0.0011345+0.00046207i,-0.0008179+0.0019173i,-0.0020414+0.0011465i,-0.0021038-0.00036502i,0.0055856+0.0010872i,0.00028498-0.00044945i,-0.00012689-0.0019128i,0.00094273-0.0003795i,0.0025467+0.0021535i,-0.0047062-0.007501i,-0.00044606+0.0016124i,-0.0010523+0.0010899i,0.00080056-0.0014031i,0.0031186-0.0026162i,-0.0013357-0.0023071i,-0.0011812-0.0021781i,-0.0016833+0.0053696i,-0.0028121+0.0014096i,-0.03857+0.006029i,-0.07664-0.047681i,-0.064104+0.0093931i,-0.083339-0.0016022i,-0.099413+0.011781i,-0.042991+0.020918i,-0.041542+0.057092i,-0.01685+0.02963i,-0.049619-0.015522i,-0.055561-0.033264i,-0.029668+0.01069i,-4.5113e-05-0.0047533i,0.015068+0.014271i,0.0050156-0.007665i,-0.0027408-0.0072928i,-0.020007+0.010172i,-0.00063046+0.0033945i,0.0027759+0.0060286i,0.0066302-0.0011406i,0.014131+0.0077469i,0.0017611+0.0033334i,0.0026812-0.0014834i,0.0019112-0.0071719i,0.0033337+0.0013698i,0.00048355+0.0015741i,-0.0065518+0.0050086i,-0.0028785-0.0027229i,0.0051855-0.0025662i,0.0076336+0.0054628i,0.00043472+0.00052495i,-0.01058-0.017489i,0.0062119-0.0059132i,0.0043093-0.0049496i,0.0047392+0.0020523i,0.0019067-0.00037349i,0.0034248-0.012211i,0.0016111+0.0013411i,-0.007361+0.0058486i,0.0016338+0.0034847i,0.0033388-0.0034247i,0.0034375-0.0090923i,0.00035451-0.0044039i,0.0056805-0.0053248i,-0.00021066-0.0063742i,0.0086903-0.02183i,-0.07947+0.013236i,-0.01502-0.0019885i,-0.0013925-0.016119i,-0.0028491-0.0065148i,-0.0077845+0.025824i,-0.01201+0.0059606i,-0.0072792+0.012696i
-0.009251+0.024221i,-0.030709+0.045637i,-0.0080107+0.03714i,-0.004977+0.035483i,0.0055026+0.035103i,0.035005+0.019167i,0.016591+0.016161i,0.016201+0.029778i,-0.0034185+0.019015i,-0.0024933+0.0033514i,-0.0028942+0.0034923i,-0.0052273+0.0068784i,-0.0020128+0.0061905i,-0.002956+0.0067786i,0.0051985+0.0022847i,0.0024658+0.010297i,0.0047725+0.013338i,0.00069532-0.00019544i,-0.0011628-0.0046449i,-0.0030054-0.0028011i,-0.0032747-0.0018255i,-0.0027534-0.0034546i,-0.0022119-0.0025867i,-0.0078636+0.0053487i,-0.001325+0.00087013i,-0.00010126+0.0018249i,-0.0013125+0.00081786i,-4.3146e-05+0.0015354i,-0.0012274+0.001655i,-0.0016291+0.00037922i,0.0052117-0.00082991i,7.5845e-05-0.00060921i,-0.0007743-0.0015001i,0.00055373-0.00077639i,0.0026422+0.0014474i,-0.0073905-0.0064302i,-0.00025413+0.001529i,-0.00029473+0.0016077i,-0.0001263-0.0011152i,0.0023457-0.0022397i,-0.001873-0.0016172i,-0.0017471-0.0018342i,0.00037272+0.0054007i,-0.0022595+0.0045709i,-0.037791+0.013764i,-0.074973-0.03064i,-0.061553+0.011929i,-0.083327+0.015798i,-0.093936+0.032291i,-0.041545+0.023863i,-0.029843+0.056538i,-0.0093956+0.025409i,-0.048796-0.0091347i,-0.059418-0.026253i,-0.024805+0.01539i,-0.003391-0.004511i,0.017902+0.0019276i,0.0030592-0.0095796i,-0.0059611-0.0034829i,-0.014091+0.017904i,0.00077354+0.0039744i,0.0064433+0.0039589i,0.004863+0.0001299i,0.017449+0.00074352i,0.0027994+0.0034671i,0.0022231-0.00080873i,-0.002879-0.0088367i,0.0021938+0.0028865i,0.00063599+0.003577i,-0.0022767+0.0088338i,-0.0019356-0.0002638i,0.0037152-0.0033977i,0.0087736+0.0007979i,0.0011309-0.0001346i,-0.015912-0.016066i,0.0034269-0.0070724i,0.0014291-0.0059012i,0.004378-0.00037259i,0.0017961+3.0934e-05i,0.0019138-0.010601i,0.0023075+0.00018486i,-0.0028744+0.0081956i,0.0026898+0.0014906i,0.0025151-0.0039902i,-0.0022043-0.0095415i,-0.00055634-0.0055168i,0.002497-0.0054862i,-0.0023746-0.0062867i,-0.0013936-0.022212i,-0.075244+0.021295i,-0.013668+0.0085338i,-0.0064839-0.016285i,-0.006047-0.0073975i,-0.0046516+0.024821i,-0.011397+0.010646i,-0.002852+0.012439i
-0.0061772+0.024191i,-0.023517+0.050517i,-0.0042851+0.03976i,3.2167e-05+0.034001i,0.0079153+0.032528i,0.036926+0.011971i,0.019458+0.011559i,0.019838+0.025724i,-0.00075742+0.019639i,-0.0017763+0.0036916i,-0.001682+0.0056812i,-0.0021704+0.0085906i,-3.1925e-05+0.0069398i,-0.00068688+0.0066815i,0.0052696+0.00082557i,0.0058116+0.0092851i,0.0094011+0.010159i,0.0008917-0.00025999i,-0.0025438-0.0040324i,-0.0036712-0.0011729i,-0.0030113-0.00064883i,-0.0035708-0.0026096i,-0.0026758-0.0017287i,-0.0069511+0.0070328i,-0.0011804+0.0015269i,2.607e-05+0.0023415i,-0.0011509+0.0015105i,-7.4437e-05+0.00098047i,-0.00060048+0.0016425i,-0.0011259+0.00061869i,0.004223-0.0024831i,0.00010672-0.00029551i,-0.00089446-0.0011894i,0.00025434-0.00090594i,0.0029773+6.7208e-05i,-0.0096416-0.0045134i,0.00016839+0.0016969i,0.00038365+0.0013535i,-0.00077986-0.00098838i,0.0020787-0.0023127i,-0.0020027-0.00082074i,-0.0017655-0.0010796i,0.0017838+0.0042434i,-0.0005909+0.0056294i,-0.034042+0.020145i,-0.074028-0.023184i,-0.060606+0.016257i,-0.076468+0.031004i,-0.082329+0.049569i,-0.039113+0.029865i,-0.020106+0.05609i,-0.0052908+0.020296i,-0.047219-0.004335i,-0.062209-0.017376i,-0.02046+0.019009i,-0.004412-0.0041908i,0.011246-0.0084032i,-0.00034952-0.011368i,-0.006519-7.2747e-05i,-0.0059894+0.019941i,0.0012196+0.0033249i,0.007838-0.00091582i,0.0061725-0.00021804i,0.015411-0.0054113i,0.0051676+0.0029633i,0.0023686+0.00054932i,-0.0074329-0.0040451i,0.0031635+0.004069i,0.0021837+0.0048223i,0.0028685+0.0085672i,-0.0011564+9.9616e-05i,0.0025522-0.0039526i,0.0082379-0.0044642i,6.0567e-05-0.00075533i,-0.021875-0.010325i,0.00094607-0.007002i,-0.00086441-0.0043419i,0.0049173+0.00010621i,0.0016937-0.00031418i,0.0011904-0.011682i,0.0020581-0.0012278i,0.00076564+0.0066503i,0.0026462+0.00099911i,0.0020447-0.0033913i,-0.0056249-0.0057803i,-0.0038618-0.0055718i,-0.00028526-0.0052336i,-0.0046849-0.0057836i,-0.0085111-0.018376i,-0.06935+0.029989i,-0.0082657+0.0074254i,-0.007212-0.015092i,-0.0081753-0.0064872i,-0.00039983+0.023358i,-0.010263+0.012402i,-0.001194+0.0098366i
-0.0031436+0.023765i,-0.014928+0.05401i,0.0015519+0.042167i,0.0043237+0.032836i,0.010245+0.031187i,0.037277+0.0049624i,0.021266+0.0064978i,0.023163+0.021693i,0.0026644+0.019578i,-0.00093733+0.0042899i,0.0010995+0.0066709i,0.0013723+0.0084324i,0.0020349+0.0068868i,0.00076687+0.0064546i,0.005162-0.00036177i,0.0085951+0.0068783i,0.011804+0.0058327i,0.0012542-0.0012987i,-0.003543-0.0031184i,-0.0032872+0.00058727i,-0.0024982+0.00022723i,-0.0040659-0.0011019i,-0.0028864-0.0009305i,-0.0039459+0.0087714i,-0.00074247+0.0022172i,0.00099525+0.0024656i,-0.00057335+0.0020194i,-0.00045844+0.0010326i,-0.00012482+0.0017027i,-0.00080462+0.00089218i,0.0026017-0.0035183i,0.00047161-0.00067477i,-0.0013828-0.00096307i,-0.0001636-0.0010168i,0.0022233-0.001198i,-0.011019-0.0013616i,0.00070429+0.0015755i,0.00076877+0.0011691i,-0.0017328-0.00052229i,0.0019767-0.0023346i,-0.0016803-0.00033599i,-0.0016467-0.00078296i,0.0024654+0.0030722i,0.0011489+0.0066631i,-0.029914+0.023996i,-0.078747-0.016768i,-0.059564+0.022168i,-0.068046+0.042683i,-0.066958+0.060751i,-0.035025+0.035093i,-0.01015+0.054061i,-0.0027897+0.017277i,-0.045553+0.0002268i,-0.06268-0.007111i,-0.015664+0.022052i,-0.0059524-0.0032017i,0.0032813-0.0098954i,-0.0046636-0.011412i,-0.0051666+0.0037668i,0.00083578+0.017972i,0.00086326+0.0026781i,0.0060608-0.0057574i,0.0054248-0.0016524i,0.011374-0.010741i,0.0067645+0.00055728i,0.0034583+0.00071873i,-0.0077885-0.00035566i,0.004926+0.004782i,0.0048124+0.0051848i,0.0072777+0.006081i,-0.00091861+0.0010574i,0.0020642-0.0040758i,0.0048953-0.0081402i,-0.00040294+0.00071249i,-0.024832-0.0017325i,-0.00076513-0.0065037i,-0.0017907-0.0025547i,0.0056418-0.00086298i,0.0017008-0.00070965i,-0.0016096-0.01351i,0.00075132-0.0016228i,0.0036404+0.006104i,0.0032356+0.00019113i,0.00305-0.0035918i,-0.0072659-0.0031154i,-0.0069332-0.0024339i,-0.0033244-0.0037121i,-0.0063328-0.0046074i,-0.012772-0.013335i,-0.062756+0.036457i,-0.0081725+0.0060187i,-0.0078775-0.017672i,-0.0094222-0.0050619i,0.0013954+0.022345i,-0.0097939+0.014314i,-0.0002805+0.0085034i
0.0001551+0.023492i,-0.0051335+0.055641i,0.0096081+0.042805i,0.0084227+0.03158i,0.013833+0.031031i,0.036691-0.0015875i,0.021712+0.00089819i,0.026272+0.017066i,0.0063159+0.018424i,-9.4824e-05+0.0044549i,0.0033934+0.005271i,0.0037+0.0064207i,0.0040557+0.0063065i,0.0025308+0.0060647i,0.0047847-0.0015728i,0.0097272+0.0035181i,0.012441+0.0012679i,0.00021441-0.0021138i,-0.0044849-0.0015966i,-0.0020511+0.0014689i,-0.0016112+0.00048601i,-0.0036636+7.4712e-05i,-0.0029436-4.0548e-05i,-0.00073617+0.0089328i,0.00015632+0.0024771i,0.0017905+0.0018788i,0.00035987+0.0021238i,-0.00028835+0.0015181i,0.00056981+0.0013929i,-0.00036541+0.0009337i,0.00093949-0.0037132i,2.6888e-05-0.0011017i,-0.0017137-0.00023364i,-0.00070986-0.00090517i,0.0011633-0.0019026i,-0.010905+0.002433i,0.0009833+0.0012795i,0.001229+0.00087498i,-0.0020916+0.00033257i,0.0015301-0.0028017i,-0.0015837-0.0001779i,-0.0015519-0.00058042i,0.0023951+0.0020793i,0.0034659+0.0068156i,-0.02594+0.028221i,-0.086894-0.0036946i,-0.055363+0.027853i,-0.056825+0.051068i,-0.051887+0.068319i,-0.030007+0.041699i,-0.00081813+0.049819i,0.0024067+0.013733i,-0.043231+0.0050693i,-0.060191+0.0033931i,-0.010868+0.024531i,-0.0077252-0.002044i,-0.0026638-0.0093353i,-0.0090114-0.009702i,-0.0014087+0.0051886i,0.0045712+0.014334i,-0.00015125+0.0025785i,0.0030248-0.0089399i,0.0057198-0.0011541i,0.0047728-0.013321i,0.0068729-0.002904i,0.0046502-0.00020784i,-0.0079735+0.0038629i,0.0078999+0.0039818i,0.0080909+0.002893i,0.0092764+0.001494i,0.00027566+0.0018372i,0.0012653-0.0042438i,-0.00097534-0.0085205i,0.00094061+0.0020188i,-0.024472+0.0076149i,-0.0022282-0.0058831i,-0.0013836-0.00060096i,0.0055971-0.0042837i,0.0019592-0.00064939i,-0.0074031-0.013583i,-0.00015915-0.0011286i,0.0061243+0.0034236i,0.0033751-0.00029088i,0.002511-0.0045728i,-0.0072441+0.0013077i,-0.0071906+0.0021044i,-0.004992-0.0014827i,-0.0080985-0.0034924i,-0.014528-0.0081426i,-0.057435+0.041996i,-0.0085519+0.0090449i,-0.012328-0.021676i,-0.0083083-0.0040152i,0.0044928+0.021604i,-0.0092616+0.017921i,0.0015355+0.0063846i
0.0037861+0.022388i,0.0044835+0.054927i,0.017657+0.040096i,0.0128+0.029863i,0.018738+0.030044i,0.035396-0.0077391i,0.020523-0.0043872i,0.028263+0.011807i,0.0094532+0.016488i,0.00068927+0.004786i,0.0042349+0.0038275i,0.0043502+0.0045806i,0.0057051+0.0047462i,0.003958+0.0049075i,0.0040257-0.0025547i,0.0092477+0.00060465i,0.011329-0.002374i,-0.00068168-0.0018417i,-0.0043527+6.6638e-05i,-0.00087562+0.00152i,-0.00090803+0.00017739i,-0.003121+0.00069492i,-0.0024076+0.00071363i,0.0017776+0.0085745i,0.0011738+0.0020406i,0.0022453+0.0012586i,0.0011603+0.0017418i,0.00041525+0.0016265i,0.00089755+0.00073435i,-0.00033242+0.00091868i,-0.00059621-0.0032033i,-0.000663-0.00099434i,-0.0015664+0.00048883i,-0.0010851-0.00049057i,0.00028441-0.0020278i,-0.0094178+0.0054558i,0.0012009+0.00083283i,0.0014319+0.00022495i,-0.0018424+0.0013981i,0.0009803-0.0035017i,-0.0015894+0.0001462i,-0.0015552-0.00068507i,0.0022697+0.0015522i,0.005608+0.0058664i,-0.021174+0.031527i,-0.08866+0.016289i,-0.052729+0.031855i,-0.046319+0.055726i,-0.034781+0.073158i,-0.021453+0.048164i,0.0057137+0.043611i,0.0049787+0.0061524i,-0.038891+0.0086171i,-0.054465+0.013583i,-0.0038342+0.025501i,-0.0090769+0.00052353i,-0.0082639-0.0060802i,-0.012109-0.0063179i,0.0016462+0.003566i,0.0059832+0.011349i,-0.002001+0.0038451i,-0.0011154-0.011391i,0.0068914-0.0032347i,-0.0016377-0.011966i,0.0045917-0.0052599i,0.0051765-0.0024364i,-0.0061612+0.0072334i,0.01017+0.00029591i,0.008805-0.0021646i,0.0081111-0.0038096i,0.0024347+0.0013877i,0.00022633-0.004454i,-0.0043718-0.0048763i,0.0028946+0.0011088i,-0.019998+0.017688i,-0.003706-0.0047374i,4.513e-05+0.00051793i,0.0024504-0.0060319i,0.0019938-0.00068767i,-0.012934-0.0097982i,0.00014792-0.00015634i,0.0066799-0.000209i,0.0029664-0.0011724i,0.001397-0.0049249i,-0.0046446+0.0048611i,-0.0048431+0.0054096i,-0.0049336+0.0019916i,-0.010132-0.0015503i,-0.014858-0.004081i,-0.050503+0.049977i,-0.002186+0.011913i,-0.019748-0.021328i,-0.0074884-0.005094i,0.0066972+0.020061i,-0.0058093+0.021608i,0.0025261+0.0026096i
