-0.024871-0.0042174i,-0.023701+0.0024365i,-0.016577-0.0064154i,-0.029617-0.012541i,-0.027821+0.0032282i,-0.040053-0.0059716i,-0.064695-0.033201i,-0.033708-0.017192i,-0.029579-0.0034604i,0.0061679+0.003395i,-0.003726+0.0072876i,-0.0058498+0.013017i,0.0057151+0.011233i,-0.0026377+0.0030037i,0.0045277+0.0043193i,0.0038653+0.025927i,0.025788+0.023799i,0.0010497-0.00084105i,0.00073099-0.0053557i,0.0063093-0.0009348i,0.0054867+0.0012172i,0.0027593+0.0019872i,0.0013885-0.00040436i,-0.03279-0.0024881i,-0.0048496-0.0061004i,-0.0007197+0.0026177i,0.0028739-0.0024244i,-0.00075855+0.00077754i,-0.00095198+0.0013053i,-0.0014144-0.0031385i,-0.0038643-0.0016667i,-0.0074011-0.0068746i,-0.0051245-0.0025451i,-0.00026727+5.7653e-05i,0.0020425-0.0031537i,0.00096643+0.023649i,0.0012953-0.0029896i,9.3888e-05-0.0023246i,0.0048404-0.0025882i,-0.0026384-0.0016306i,0.00073235+0.00037321i,0.0065488-0.0022103i,0.0033554-0.0016105i,-0.00090378+0.003027i,-0.013195+0.016825i,-0.028804+0.055136i,-0.0032663-0.037278i,-0.013846-0.016323i,-0.034123-0.013794i,-0.027622-0.01503i,0.043543-0.0063963i,0.0078923-0.033038i,0.014325-0.041038i,-0.010333-0.029614i,0.025123-0.023939i,0.012655+0.006094i,0.027994-0.033007i,-0.002849-0.0045337i,0.0068439-0.0080847i,-0.0014074-0.0066262i,0.0037151-0.036989i,-0.012232+0.030047i,0.0066532-0.012376i,-0.0094991-0.0044823i,-0.0031929-0.0020496i,0.00049288-0.013879i,-0.0079005+0.0055398i,0.0040928+0.0073401i,-0.0020746+0.028878i,0.001975+0.00040931i,-0.0074192-0.0051407i,-0.0030407-0.006365i,-0.01397-0.0089228i,-0.0021888-0.0066558i,-0.035507+0.0057913i,-0.0046021-0.0093812i,-0.013254-0.0021063i,-0.010277-0.0059823i,0.0012674-0.0017023i,-0.013468+0.0016738i,-0.0013652-4.7773e-05i,0.0059276+0.0066898i,0.0035139-0.005131i,-0.013674-0.011475i,0.0079138+0.0085342i,-0.017437+0.0052984i,0.0047495-1.3405e-05i,-0.019223-0.0026751i,-0.017909-0.0036899i,-0.016961-0.033148i,0.021078-0.0092848i,-0.037722-0.023666i,-0.0085079+0.0048161i,0.017524+0.015586i,-0.022762+0.017249i,-0.0033339-0.0043008i
0.0042113+0.013553i,0.0092956+0.01551i,0.0056829+0.02296i,-0.0075695+0.019669i,0.0003786+0.031016i,0.012953+0.022497i,-0.010694+0.025913i,-0.008917+0.021608i,0.011391+0.0093517i,0.0014517-0.0033991i,0.00090734-0.00088141i,0.0044715-0.0029087i,0.0028015-0.001014i,0.0016398-0.0034646i,-0.00020619-0.0015485i,0.0063423-0.0057423i,-0.004061-0.004532i,-0.0021427+0.0026613i,-0.0002204+0.00049601i,0.00047216+0.0021912i,-0.002506-0.0013684i,0.00014368-0.00059116i,0.0021644+0.00019926i,-0.010944-0.0060853i,-0.00071002-0.00068519i,-0.0018619+0.00033294i,-0.0028171+0.00019973i,-0.0027212+0.00098026i,-0.0029028-0.00065401i,0.00049814-0.00079004i,-0.0034602+0.00080921i,0.00090244-0.0017956i,-0.0012875-0.0016217i,0.00016632-0.0010342i,-0.0013641+0.0010006i,-0.0010554-0.005031i,-0.002077+0.0011489i,0.0015174+0.00018623i,0.00041912+0.0024914i,0.0024977+0.0054851i,0.00025317+0.00072091i,-0.0009578-0.00011184i,-0.0010718-0.0016505i,0.0031807+0.0061077i,0.015211+0.005601i,0.044154-0.058707i,-0.024953+0.004949i,0.016031-0.024894i,-0.020739-0.031811i,-0.014039+0.00099509i,-0.039341+0.032535i,-0.022811+0.0034848i,-0.017208+0.0067493i,-0.0027274-0.0171i,-0.039548-0.020133i,-0.0075536+0.0026932i,-0.02787+0.011172i,0.0023896+0.01544i,0.0005814+0.0053369i,-0.0049741-0.0066782i,0.00047564+0.0017072i,-0.013392-0.0053538i,0.0061897+0.011617i,-0.0015335+0.0072002i,-0.0025566+0.003182i,0.00045057+0.0052679i,0.0019161+0.0034099i,-0.0028087+0.020373i,0.0019038+0.016206i,0.0060717-0.0062516i,0.013376-0.005969i,0.0089152+0.0035342i,-0.003835-0.0054262i,5.5903e-05-0.0013246i,0.019444-0.033893i,0.010079+0.0056452i,0.0090131-0.00091893i,0.0027962-0.00071607i,0.0052227-0.0074974i,0.022411-4.0623e-05i,0.0057676-0.0026542i,0.0012851-0.0078316i,0.0044998-0.0030811i,0.015155+0.0026608i,0.0063991+0.0030048i,0.003939-0.0040188i,0.0094227+0.0094507i,-0.0015665+0.0052784i,0.010371+0.011257i,-0.013439-0.012892i,-0.0098012+0.00053204i,-0.0082705-0.014181i,-0.0082467-0.0051373i,-0.039549+0.0060627i,-0.0064422+0.0040093i,-0.012292-0.00036183i
0.0065303+0.012408i,0.011315+0.012327i,0.010481+0.018606i,-0.0043986+0.01886i,0.0051324+0.028379i,0.016058+0.019426i,-0.0074117+0.027083i,-0.0048799+0.022181i,0.011939+0.0046982i,0.00016934-0.0037202i,0.001062-9.3127e-05i,0.0033798-0.0044699i,0.0021611-0.0024273i,0.0015688-0.0033301i,-0.0008277-0.0011859i,0.0027178-0.0056474i,-0.0063621-0.0017713i,-0.00093252+0.0031947i,0.00083613+0.00061103i,0.0014705+0.0016554i,-0.002067+0.0001854i,0.00062899+1.1088e-06i,0.0025095-0.00068526i,-0.010965-0.0024891i,-0.00056531-0.00028422i,-0.0017079+0.0010106i,-0.0022224+0.0014658i,-0.0018515+0.0017005i,-0.0027193+0.00023923i,0.00067919-0.00066363i,-0.0027228+0.0022935i,-0.00029963-0.0014326i,-0.0019809-0.00092606i,-0.00095471-0.0011349i,-0.0022351+0.00075261i,-0.00029235-0.0040829i,-0.0011363+0.0018454i,0.0011263-0.00051174i,0.00078257+0.002613i,0.0038697+0.0033421i,0.00063078+0.00047962i,-0.0012821+0.00012132i,-0.0015953-0.0013655i,0.0047881+0.0049274i,0.016056+0.00014512i,0.022245-0.068855i,-0.018658+0.012762i,0.0063541-0.031788i,-0.031032-0.024327i,-0.011663+0.0048189i,-0.027186+0.040667i,-0.019738+0.010155i,-0.0064397+0.0010452i,-0.0052544-0.015767i,-0.044484-0.0050114i,-0.0070689+0.0027299i,-0.02308+0.022118i,0.0066785+0.011238i,0.0012495+0.0035981i,-0.011044-0.0082422i,-0.0031936+0.004795i,-0.013659+0.002291i,0.01084+0.0080112i,0.0003933+0.010127i,-0.0010582+0.0041929i,0.0023534+0.0064722i,0.0036036+0.0037993i,0.0059026+0.016513i,0.0076469+0.010589i,-0.0010544-0.0092456i,0.0064128-0.0082078i,0.0085409+0.0016022i,-0.0059086+0.00068209i,1.0939e-05+0.00082975i,0.0044884-0.033635i,0.012315+0.002926i,0.0095555-0.0042323i,0.0040909-0.00232i,0.0011235-0.0050737i,0.020873-0.0093313i,0.0034413-0.0045941i,-0.0023854-0.006625i,0.00052164-0.0027587i,0.01299-0.0028638i,0.007219+0.0018741i,0.0031594-0.0028553i,0.012198+0.0050359i,9.0526e-05+0.0057265i,0.011835+0.0062222i,-0.018761-0.010927i,-0.00551-0.013062i,-0.0080007-0.011945i,-0.008656-0.0038858i,-0.033546+0.020026i,-0.0040868+0.0052642i,-0.010395+0.0017909i
0.0094835+0.010805i,0.012874+0.0094432i,0.013025+0.01344i,-0.0022561+0.018083i,0.010666+0.026071i,0.018757+0.015727i,-0.0032943+0.027958i,-0.00066579+0.021721i,0.010335+0.0011474i,-0.0011304-0.0034231i,0.0020764+4.6901e-05i,0.0007018-0.005243i,0.0010623-0.0029777i,0.00055843-0.0036609i,-0.0011526-0.00073916i,-0.00052958-0.0038638i,-0.0065694+0.0016931i,0.00054838+0.0032714i,0.001635-0.00057483i,0.0022935+0.00069552i,-0.0012069+0.00066391i,0.0014273-0.00038306i,0.002356-0.001723i,-0.010933-0.00016753i,-0.00052585+0.00015114i,-0.00089274+0.0019374i,-0.000986+0.0018382i,-0.00069728+0.0021584i,-0.0023304+0.0010429i,0.00035889-0.0012536i,-0.0014754+0.0030287i,-0.00098061-0.00085148i,-0.0022632+0.00022768i,-0.0017552-0.0005288i,-0.0021229+0.0021463i,0.00049315-0.0046853i,-0.00033949+0.0017956i,0.00063598-0.0009408i,0.0026685+0.0016249i,0.0040515+0.0015623i,0.00083132+0.00018341i,-0.00063893+0.00094186i,-0.0021676-0.0011954i,0.005662+0.002609i,0.014826-0.0045069i,-0.0012842-0.06811i,-0.0079695+0.01571i,-0.0043881-0.033324i,-0.034862-0.016251i,-0.0060564+0.0067302i,-0.010498+0.043086i,-0.0082178+0.0129i,-0.0066442-0.0056316i,-0.0067024-0.014363i,-0.042103+0.0098577i,-0.0062448+0.0039562i,-0.011246+0.029269i,0.0082779+0.0065136i,-0.00025509+0.00058267i,-0.020026-0.003561i,-0.0021174+0.006813i,-0.009548+0.0072421i,0.012121+0.0016635i,0.0046+0.010241i,-0.0015074+0.0045874i,0.0039688+0.0048077i,0.0052455+0.0017962i,0.0086413+0.0098384i,0.0083251+0.0049022i,-0.0073545-0.0040379i,0.0033589-0.0070634i,0.0097825+5.5219e-06i,-0.0018842+0.0068714i,0.002302+0.0023199i,-0.0056177-0.028547i,0.014001-0.003055i,0.0066177-0.0074854i,0.0022782-0.0040303i,0.0011105-0.0038956i,0.013628-0.016294i,0.00016745-0.0020539i,-0.005216-0.003709i,-0.00024331+0.00025814i,0.0094063-0.0059106i,0.010381-0.001914i,0.0038024-0.004115i,0.014311-0.0007991i,0.0035965+0.0047155i,0.011988+0.0020784i,-0.021751-0.0036182i,-0.016684-0.020505i,-0.0068225-0.014092i,-0.0075713-0.0035788i,-0.023046+0.026173i,-0.003738+0.00041958i,-0.008422-0.0017734i
0.012291+0.0076681i,0.014183+0.0063917i,0.013648+0.0084561i,0.00045141+0.018074i,0.015576+0.020999i,0.020931+0.011402i,0.0017407+0.028074i,0.0032576+0.020119i,0.0085147-0.00011731i,-0.0021891-0.0026555i,0.0027544-0.0011457i,-0.0015152-0.0040364i,-0.00029128-0.0031313i,-0.0010091-0.0028043i,-0.0015739-0.00029189i,-0.0015988-0.00067136i,-0.0044444+0.0046655i,0.0017934+0.0024778i,0.0011664-0.0012229i,0.0023134-0.00073529i,-0.00053066+0.00082467i,0.0019394-0.0011855i,0.0017123-0.002784i,-0.010728+0.0029342i,6.321e-05+0.00012519i,0.00074093+0.0014004i,-6.1038e-05+0.0015718i,0.00042372+0.0017867i,-0.0015041+0.0019478i,-0.00026939-0.00090184i,-0.0002921+0.0030993i,-0.0016064-0.00019069i,-0.0020223+0.0012719i,-0.0019416+0.00063204i,-0.0009235+0.0026402i,-3.1034e-05-0.0067491i,0.00064803+0.001763i,8.6109e-05-0.00099762i,0.0023589-0.00055805i,0.0038333+0.00021224i,0.00096923-0.00031242i,0.00023432+0.00064228i,-0.0026405-0.00058836i,0.0043389-0.00064419i,0.012922-0.0079408i,-0.02-0.055873i,0.00068881+0.011934i,-0.014033-0.030448i,-0.038429-0.0079296i,-0.00028987+0.0045976i,0.0036152+0.038155i,0.00079279+0.0062662i,-0.0073869-0.0062979i,-0.0066662-0.011793i,-0.034258+0.020068i,-0.0053088+0.0048941i,0.00063613+0.02856i,0.0083329+0.0025627i,-0.0042733+0.0014545i,-0.023487+0.0080178i,-0.0015261+0.0092027i,-0.0053283+0.0078961i,0.0085621-0.0040564i,0.0085848+0.0082968i,-0.00040056+0.0068589i,0.0035569+0.0044306i,0.0060725-0.0018653i,0.0073946+0.0040604i,0.005727+0.0016061i,-0.0057492+0.0011161i,0.0012724-0.0064548i,0.0093456-0.0027881i,0.0056556+0.0071941i,0.0038712+0.0006779i,-0.010788-0.02246i,0.010512-0.0078727i,0.0035156-0.0090309i,0.0014281-0.0030137i,0.00014524-0.0045434i,0.0059201-0.017825i,0.0030595-0.00068713i,-0.0055722-4.7515e-06i,0.0023574+0.0015875i,0.0061866-0.0065808i,0.0079816-0.0075241i,0.0016818-0.0047449i,0.010889-0.0078615i,0.004028+0.0016247i,0.011239-0.0024628i,-0.016977+0.0040982i,-0.02811-0.016928i,-0.011112-0.018309i,-0.00771-0.0049466i,-0.01478+0.026668i,-0.0088837-0.00019739i,-0.01197-0.00098537i
0.013433+0.0038355i,0.014322+0.0029198i,0.012507+0.0044426i,0.0037053+0.017218i,0.018239+0.015338i,0.021823+0.0068741i,0.0071803+0.02659i,0.0063215+0.017842i,0.0078973-0.00066409i,-0.0026029-0.0016174i,0.0019728-0.0023255i,-0.0024071-0.0023693i,-0.0014191-0.0028126i,-0.0011325-0.0016644i,-0.001688+0.0004571i,-0.00075134+0.0017052i,-0.0014334+0.0060217i,0.0022351+0.0014364i,0.00097769-0.0013334i,0.0015274-0.0017338i,-0.00021703+0.00070075i,0.0015998-0.002093i,0.00041387-0.0033186i,-0.0081419+0.0054933i,7.2775e-05-0.00048865i,0.00087243-0.0001065i,0.00057794+0.00098154i,0.0010889+0.0011141i,-0.00027073+0.0021911i,0.00015816-0.00055378i,0.00065595+0.0029445i,-0.0014523+0.00031206i,-0.0012737+0.0021808i,-0.0015614+0.0015568i,-0.00025902+0.00255i,-0.0022314-0.008321i,0.0012744+0.0010599i,-0.00027715-0.00072011i,0.0010747-0.0010351i,0.0030964-0.00055585i,0.00073176-0.00079059i,0.00031404+0.00010755i,-0.0026268+0.00020762i,0.0016926-0.00049031i,0.010721-0.010078i,-0.024494-0.03991i,0.0050328+0.0062865i,-0.021655-0.02434i,-0.039777+0.0027566i,0.0025849-0.00070446i,0.01397+0.029614i,0.0039783-0.00091372i,-0.0072151-0.0073729i,-0.0052837-0.011562i,-0.026676+0.026337i,-0.0036875+0.0053173i,0.011789+0.023378i,0.0073167-0.00017126i,-0.0060147+0.0053984i,-0.019987+0.017877i,0.0017852+0.010882i,-0.0016892+0.0091404i,0.0031081-0.0046363i,0.010809+0.0051423i,0.0022194+0.0078565i,0.0044399+0.0047361i,0.0049324-0.0048445i,0.0041443+0.0038955i,0.0032137+0.0023217i,-0.0042074+0.002853i,-0.00021045-0.0048312i,0.0078829-0.0054893i,0.0093374+0.0022411i,0.0039549-0.0015531i,-0.014026-0.019957i,0.0062879-0.010366i,-0.00022986-0.009491i,0.0025405-0.0029046i,-0.0012295-0.0035067i,0.00021922-0.016547i,0.0039697-0.0031398i,-0.0030595+0.0028504i,0.0049235+0.00028903i,0.0047876-0.0072009i,0.0031221-0.010688i,0.0010656-0.0040935i,0.0047436-0.010773i,0.0029187-0.00020544i,0.0070894-0.0071692i,-0.010633+0.0055361i,-0.037025-0.0069057i,-0.017033-0.017612i,-0.008974-0.0062917i,-0.0088569+0.026373i,-0.012438+0.0035723i,-0.011368+0.0031827i
0.013458+0.00017738i,0.013561+4.1605e-05i,0.010748+0.0020789i,0.0065702+0.015415i,0.01869+0.009697i,0.02232+0.0027232i,0.012348+0.02336i,0.0086058+0.01519i,0.0079406-0.0017054i,-0.0027059-0.00103i,0.00046338-0.0028021i,-0.0024898-0.0010306i,-0.0025784-0.0020523i,-0.00096696-0.0015001i,-0.0015729+0.0011025i,0.0008704+0.0028854i,0.0018027+0.005577i,0.002407+0.0005784i,0.00013807-0.0016196i,0.00050037-0.0020927i,0.00039813+0.00064404i,0.00096076-0.0027704i,-0.00068074-0.0030959i,-0.006563+0.0058772i,-0.00029097-0.00054783i,1.8221e-05-0.00081429i,0.00077574+0.00023634i,0.0015221+8.4187e-05i,0.00080299+0.0017241i,0.00026576-0.0011397i,0.0016649+0.0026032i,-0.0012339+0.00061533i,-0.00014109+0.0025299i,-0.00080221+0.0019672i,0.00029254+0.0026149i,-0.0052308-0.0086823i,0.0013845+2.1852e-05i,-0.0003798-0.00053365i,0.00035441-0.00092702i,0.0024322-0.00071838i,0.00025746-0.00079934i,0.00018387+3.9871e-05i,-0.0022382+0.00060235i,0.0007814+0.0010137i,0.0085497-0.011033i,-0.022148-0.031885i,0.0063415+0.001541i,-0.025363-0.015085i,-0.034964+0.015552i,-0.00039663-0.0056856i,0.018988+0.019968i,0.0048763-0.007073i,-0.0067097-0.0072594i,-0.0063625-0.011285i,-0.018695+0.030261i,-0.0035831+0.0059942i,0.017065+0.011482i,0.0060351-0.0029843i,-0.0044495+0.0095387i,-0.011139+0.025027i,0.0054961+0.009431i,0.0033223+0.0075785i,0.0010137-0.002481i,0.012723+0.0008777i,0.0052829+0.0080121i,0.0055754+0.0039997i,-1.2615e-06-0.0080877i,0.0043093+0.0058264i,0.0038058+0.0038059i,-0.0020058+0.0058199i,0.00026164-0.0040109i,0.0058744-0.0067455i,0.0097254-0.0028307i,0.0031887-0.003714i,-0.020616-0.017696i,0.0021357-0.011022i,-0.0042734-0.0082912i,0.00095951-0.0040833i,-0.0015898-0.0021855i,-0.003113-0.013411i,0.0025079-0.005185i,4.1231e-05+0.0030557i,0.0053222-0.0036281i,0.0020717-0.0083866i,-0.0031024-0.010143i,0.00036278-0.00507i,3.0455e-05-0.0095024i,0.0023808-0.0017003i,0.0012034-0.0072388i,-0.0073737+0.0052803i,-0.034385+0.010067i,-0.022354-0.014672i,-0.011025-0.0059526i,-0.0049084+0.025659i,-0.011371+0.0090902i,-0.0065609+0.0041786i
0.012516-0.0030814i,0.012569-0.0020957i,0.0092871+0.00085167i,0.0087431+0.012894i,0.017683+0.0055974i,0.022285-0.0018779i,0.016262+0.01892i,0.010131+0.01264i,0.0078094-0.0028133i,-0.0029192-0.00032007i,-0.00087612-0.0023121i,-0.0018358+2.9021e-05i,-0.0032994-0.00074799i,-0.0014155-0.0017611i,-0.0013064+0.0017282i,0.0023966+0.0030504i,0.0040716+0.0037372i,0.0022545-9.875e-05i,-0.00010164-0.0012902i,-0.00038781-0.0018364i,0.00088838+0.00026953i,-9.1682e-05-0.003186i,-0.0015282-0.0025167i,-0.0056577+0.0076605i,-0.00050225-0.00075934i,-0.00085438-0.00069631i,0.00064666-0.00032122i,0.0011294-0.0010323i,0.0013668+0.00068253i,-0.00049137-0.0018146i,0.0025727+0.0017737i,-0.00083299+0.00126i,0.0011455+0.0022212i,3.1673e-05+0.0020239i,0.0010782+0.0020171i,-0.0087492-0.0078212i,0.001058-0.00070932i,-0.00049587-0.00057082i,5.4291e-05-0.0009528i,0.0021308-0.0007783i,-1.3253e-05-0.00060702i,0.00030437+3.5566e-06i,-0.0020822+0.00066466i,0.0011828+0.0016762i,0.0073217-0.012461i,-0.022303-0.030461i,0.006811-0.0018286i,-0.023681-0.0071105i,-0.024995+0.024574i,-0.0032008-0.0061423i,0.021794+0.011982i,0.0028718-0.01257i,-0.0057759-0.008162i,-0.0063118-0.0097446i,-0.010579+0.033007i,-0.0014874+0.0063093i,0.012419+0.001019i,0.0030331-0.0051449i,-0.0009365+0.011442i,-0.0014172+0.025367i,0.0071832+0.006393i,0.0053898+0.003693i,0.0013242-0.0014062i,0.012161-0.0035063i,0.009996+0.0057122i,0.0067847+0.0037442i,-0.0045178-0.0039598i,0.0067076+0.006078i,0.0053863+0.0041113i,0.0017723+0.0060304i,-0.00073102-0.0042964i,0.0039101-0.0080529i,0.0077676-0.0087098i,7.1277e-05-0.0045414i,-0.027075-0.010107i,-0.0014781-0.010535i,-0.0068345-0.0046019i,0.00087752-0.0021473i,-0.0018708-0.0014265i,-0.0047824-0.01268i,4.7973e-05-0.0063657i,0.0013494+0.0012943i,0.0025523-0.0054215i,-0.00036774-0.0076207i,-0.0064823-0.0062773i,-0.0021963-0.0053991i,-0.0035423-0.007825i,0.00049882-0.0024043i,-0.0011809-0.0045932i,-0.003478+0.0050976i,-0.025592+0.01229i,-0.022441-0.0099455i,-0.012392-0.0049598i,5.6606e-05+0.023759i,-0.009258+0.011264i,-0.0050162+0.0026013i
0.010934-0.0056497i,0.011731-0.0037059i,0.008354+0.00043781i,0.010305+0.010429i,0.016258+0.0028361i,0.021023-0.006322i,0.019135+0.014033i,0.011332+0.010422i,0.0076087-0.0043641i,-0.0028276+0.000476i,-0.0013429-0.0013276i,-0.0010384+0.00011821i,-0.0033638+0.00080969i,-0.0026581-0.0010222i,-0.00066918+0.0023664i,0.0038932+0.0022064i,0.004933+0.0016062i,0.0021916-0.00064549i,-0.00024864-0.001156i,-0.00079464-0.0011458i,0.0011041-0.00037064i,-0.0011872-0.0027292i,-0.0019957-0.0017933i,-0.0025665+0.0091116i,-0.0011147-0.00071269i,-0.0011947-0.00020075i,0.00016556-0.00077442i,0.00011571-0.001691i,0.0012597-0.00041977i,-0.0014521-0.001701i,0.0028267+0.00064034i,5.2002e-05+0.0011148i,0.0018283+0.0012389i,0.00062007+0.0017168i,0.0011419+0.0012501i,-0.011814-0.004944i,0.00037218-0.0012845i,-0.00085188-0.00044327i,-0.00060079-0.0012749i,0.0021167-0.00077998i,-0.00010277-0.00042066i,0.00033832-0.00014136i,-0.0021989+0.00077233i,0.0017436+0.0020496i,0.0053423-0.014568i,-0.027074-0.028485i,0.0057268-0.0057019i,-0.021726-0.0012775i,-0.013626+0.027537i,-0.0065009-0.006283i,0.023591+0.0032982i,0.00045877-0.015079i,-0.0059631-0.009259i,-0.0054692-0.0077278i,-0.00091983+0.033434i,0.00052076+0.0057755i,0.007197-0.00054598i,-4.0928e-05-0.0055103i,0.0038979+0.01256i,0.0065274+0.021591i,0.0070183+0.0031995i,0.0047867-0.00044397i,0.00065793-0.00072809i,0.0095864-0.0081301i,0.012507+0.0011098i,0.0085505+0.0022543i,-0.0046286-0.0010717i,0.0090506+0.0053828i,0.0076402+0.0038977i,0.0055187+0.0039332i,-0.0014853-0.0035631i,0.0020843-0.0091516i,0.0026977-0.01151i,-0.0014083-0.002694i,-0.029616+0.00028409i,-0.0042314-0.0093571i,-0.0070096-0.00063481i,0.0017624-0.0019854i,-0.0020435-0.00052242i,-0.0083332-0.012005i,-0.0029779-0.0058424i,0.0022964+0.0004997i,0.00030815-0.0055088i,-0.0014351-0.0069145i,-0.0082514-0.0034282i,-0.0047772-0.0034105i,-0.0065159-0.0049955i,-0.00011599-0.0022424i,-0.0017145-0.0029597i,-0.0001527+0.0036773i,-0.02372+0.013177i,-0.021404-0.0079953i,-0.013869-0.0037797i,0.0022232+0.02241i,-0.0077417+0.012122i,-0.0038435+0.0018088i
0.0091827-0.0074515i,0.011054-0.0054894i,0.0083586+9.1797e-06i,0.01119+0.0078403i,0.015705+0.0012566i,0.018847-0.01017i,0.020599+0.0080795i,0.012371+0.0080681i,0.0069374-0.0059747i,-0.0025958+0.0010716i,-0.0014701-0.0008026i,-0.00098346-0.00038234i,-0.0027174+0.0022015i,-0.002826+0.00035025i,0.00021654+0.0026013i,0.0042714+0.00058257i,0.0046442-0.00038876i,0.0016278-0.0013206i,-0.0005644-0.00082059i,-0.00066224-0.0006672i,0.0010724-0.0011016i,-0.0017065-0.0020512i,-0.0020987-0.0010559i,0.0010076+0.0087594i,-0.0016198-0.00030561i,-0.0015247+0.00022515i,-0.00066735-0.00097019i,-0.0010323-0.0015677i,0.00062453-0.0013704i,-0.0021687-0.0011553i,0.0026641-0.00036903i,0.00017279+0.00081618i,0.0018711+0.00033708i,0.0010402+0.0013171i,0.0011153+0.0010151i,-0.012954-0.0008325i,-0.00067205-0.001397i,-0.0010398-0.00012655i,-0.0013508-0.0011292i,0.0021376-0.00099024i,-5.7383e-05-0.00019858i,0.00033736-0.00027084i,-0.0022427+0.0012256i,0.0024791+0.0021176i,0.0021654-0.015352i,-0.032598-0.020807i,0.0037802-0.0084492i,-0.016467+0.0038775i,-0.0033874+0.027901i,-0.0089632-0.0023954i,0.023096-0.0063278i,0.00094243-0.018357i,-0.00549-0.0090606i,-0.0030629-0.005378i,0.0077483+0.030394i,0.001315+0.004134i,0.0042793-0.0014142i,-0.0033108-0.0050503i,0.0098345+0.0099733i,0.010214+0.016107i,0.0048652+0.001145i,0.003481-0.0034783i,0.0019631+0.0018668i,0.0042141-0.010788i,0.012494-0.0054013i,0.0094891-0.00034411i,-0.0045892+0.0019446i,0.012301+0.0034343i,0.010681+0.00084666i,0.0067829-0.00031085i,-0.0016849-0.0028197i,-0.00084734-0.0095078i,-0.0036221-0.011408i,-0.0010321-0.00091033i,-0.028272+0.011067i,-0.0064026-0.0079846i,-0.0052011+0.0024792i,0.0020503-0.0046809i,-0.0017721+0.00078732i,-0.012259-0.0090597i,-0.0056277-0.003047i,0.0023051-0.0014805i,-0.0017187-0.0048001i,-0.0031264-0.0063387i,-0.0079361+0.0018256i,-0.0053554-0.00024344i,-0.0079945-0.001446i,-0.0014934-0.0030947i,-0.0018179-0.0026425i,0.0018499+0.0019937i,-0.022189+0.019551i,-0.021467-0.0090842i,-0.013196-0.0016001i,0.0062815+0.021385i,-0.0067439+0.01439i,-0.0023964-0.00061121i
0.0076004-0.0086883i,0.010062-0.0071644i,0.0086651-0.001143i,0.011452+0.0052053i,0.015719-0.00061872i,0.016268-0.013148i,0.01992+0.002552i,0.012966+0.0055875i,0.0060608-0.0073167i,-0.0024508+0.001586i,-0.0016953-0.0002197i,-0.001546-0.00047278i,-0.0017662+0.0029803i,-0.0024764+0.0015878i,0.00093326+0.0024535i,0.0033906-0.00070939i,0.0035565-0.0018187i,0.00107-0.0014972i,-0.00042858-0.00039228i,-0.000397-0.00053418i,0.00095116-0.0016881i,-0.0018528-0.00149i,-0.0018852-0.00049044i,0.0038687+0.0075577i,-0.0016787+0.00011298i,-0.001621+0.0010452i,-0.0014506-0.00062286i,-0.0018223-0.00092277i,-0.00050875-0.0018303i,-0.0029307-0.0003762i,0.0021185-0.0011364i,0.00025884+0.00086551i,0.0016453-0.00036564i,0.0013863+0.00086753i,0.0010942+0.00077311i,-0.012571+0.0030136i,-0.0015578-0.00093414i,-0.0011412+0.00015658i,-0.001973-0.00036492i,0.0021-0.0015313i,0.00017062-5.7491e-05i,0.00038778-0.00046754i,-0.0021247+0.0017176i,0.0032547+0.0016199i,-0.00035023-0.014827i,-0.031879-0.010675i,-1.4098e-05-0.0097779i,-0.010651+0.0045396i,0.0064657+0.025811i,-0.007732+0.0028981i,0.018401-0.014483i,-0.0018381-0.024765i,-0.0038906-0.0098811i,0.0015184-0.0039959i,0.015249+0.024384i,0.0012321+0.003361i,0.0013515-0.0012344i,-0.005554-0.0028446i,0.012823+0.0039632i,0.01245+0.012223i,0.0017726+0.0015867i,0.00036679-0.0067505i,0.0051684+0.00071481i,-0.0008849-0.0098404i,0.008293-0.0096795i,0.0091514-0.0036037i,-0.0038797+0.0039632i,0.014176-0.0021864i,0.010379-0.0052076i,0.005276-0.0043739i,-0.0020428-0.0024769i,-0.00387-0.0086809i,-0.0082604-0.0069103i,0.00017726-0.00097068i,-0.021578+0.022546i,-0.0086911-0.0058721i,-0.0023241+0.0038769i,-0.0010538-0.0055266i,-0.0008364+0.0011976i,-0.015141-0.0042821i,-0.0049284+0.00055592i,0.00077777-0.0029733i,-0.003581-0.0035036i,-0.0047095-0.0048256i,-0.004908+0.0042842i,-0.0037718+0.0019303i,-0.0078654+0.0027608i,-0.0042187-0.0025099i,-0.0026242-0.0022157i,0.0051859+0.00058646i,-0.011591+0.025209i,-0.025958-0.0082387i,-0.011726-0.0015215i,0.0086578+0.018662i,-0.0040282+0.016462i,-0.0034426-0.0042193i
