-0.023608-0.037552i,-0.01095-0.050805i,-0.018694-0.044386i,-0.030384-0.035337i,-0.030132-0.01594i,-0.050282-0.027434i,-0.057608-0.025934i,-0.044319-0.037467i,-0.030602-0.019391i,0.0083366+0.012399i,-0.0054066+0.015138i,-0.0043838+0.014175i,0.010898+0.020523i,0.00034896+0.0042847i,0.003303+0.0036233i,0.0059768+0.01849i,0.024278+0.035558i,-0.0026703-0.00088519i,-0.0046526-0.0058871i,0.0089625+0.0033918i,-0.00017203-0.00085853i,-0.00094099+0.0012612i,0.00011497-0.00034695i,-0.028473-0.0040072i,-0.0019337-0.0058577i,0.0011126+0.004683i,0.0037489-0.0003823i,-0.00050623+0.00061333i,0.00061189-0.00026142i,-0.00085625-0.0023474i,-0.001956-0.0052668i,-0.0045967-0.0051662i,-0.0022829-0.0041941i,0.0022164-0.00025287i,0.0018181-0.0031903i,-0.00087087+0.026534i,0.0011533-0.0033924i,0.0026056+0.00084944i,0.0061086+0.0012576i,-0.010315-0.0028701i,-0.0037194+0.00046316i,0.0058503+0.0005795i,0.0060638+0.00023651i,-0.0035137+0.0055994i,0.0025787-0.010822i,-0.011291+0.017629i,0.035781-0.090508i,0.011675-0.069977i,-0.015818-0.059654i,-0.015794-0.055558i,0.039129-0.045324i,0.01708-0.062411i,0.03425-0.054946i,0.029785-0.05969i,0.016201-0.013802i,0.0049214+0.016323i,0.017673-0.026178i,-0.010796+0.0049118i,-4.7778e-05+0.0060363i,-0.0050669-0.0015503i,-0.0018656-0.029174i,-0.024914+0.031609i,0.011007-0.01242i,-0.012116-0.0027595i,-0.00015157-0.0049451i,-0.00046079-0.015177i,-0.0073291+0.0050845i,0.0051624+0.00662i,-0.0076587+0.028152i,0.0051762+0.0052679i,-0.0049705-0.00096727i,-0.0031584-0.00079624i,-0.012718-0.0079836i,-0.0010338-0.0047272i,0.0095134+0.035568i,8.0057e-05-0.010083i,-0.0095978-0.0020802i,-0.0064645-0.0031989i,0.0071207+0.0033345i,-0.007596+0.0015349i,-0.00034578-2.7142e-06i,0.0068281+0.012068i,0.0038203+0.0015858i,-0.0081256-0.010311i,0.0031038+0.0081098i,-0.021511+0.003514i,0.008025+0.00026052i,-0.028904-0.0046778i,-0.04127+0.0032028i,0.021493-0.10289i,-0.0011971-0.01322i,-0.052-0.02139i,-0.022019-0.0021576i,0.017908+0.010786i,-0.024933+0.012941i,-0.019848-0.01198i
-0.032061+0.018184i,-0.05165+0.019891i,-0.030725+0.045551i,-0.030328+0.024809i,-0.027071+0.039312i,0.0054364+0.045654i,-0.0023224+0.023123i,-0.016134+0.038335i,-0.01328+0.022472i,-0.0042123-0.0041221i,-0.004068-0.0030726i,-0.0020684-0.0031397i,-0.0039151-0.00082203i,-0.0067593-0.004071i,-0.0016854+0.0036879i,-0.0032791-0.0013296i,-0.0076544-0.0056936i,-0.0011299-0.00073057i,0.0027713-0.0014172i,0.0020727-0.00067709i,0.0025335-0.0034652i,0.0025142-0.0037445i,0.0013302-0.002525i,-0.0091945-0.0089428i,-0.0018839+0.00063674i,-0.0038937+0.0006673i,-0.0018829+0.00010479i,-0.0033807-0.00075436i,-0.0013456-0.001513i,0.0013676-0.0017638i,-0.0023628+0.0055073i,0.0016657-0.00015718i,0.0022917-9.2428e-05i,0.0010546+0.0018743i,-0.001051+0.0029208i,-0.0011618-0.006314i,-0.0028268-5.279e-05i,0.00029524-0.00017561i,8.8135e-05+0.0045159i,0.0070353+0.0046335i,0.00076977-0.0036256i,0.0027011-0.0048951i,-0.0035942+0.0038259i,-0.00066006+0.0031121i,-0.032824-0.0037453i,0.01128-0.078459i,-0.092957-0.029657i,-0.051687-0.03574i,-0.075013-0.050556i,-0.058087-0.0057406i,-0.093965+0.018044i,-0.058879+0.011084i,-0.049452-0.02399i,-0.030838-0.057728i,-0.025361-0.031329i,0.0028619+0.0051776i,-0.019535+0.011024i,0.0094462+0.0041674i,0.010816+0.004325i,-0.00015129-0.0068234i,0.0080379+0.00054824i,-0.00665-0.0051528i,0.0033373+0.015277i,0.00030198+0.0080105i,0.00079951+0.0014456i,0.0062491+0.0023102i,0.0020184-0.00042346i,-0.00068908+0.01457i,0.00067445+0.013536i,0.0030038-0.0052377i,0.01014-0.0075462i,0.002287+0.0024494i,-0.0077097-0.0069288i,-0.0022058-0.0033093i,0.019164-0.029201i,0.0066216+0.0040707i,0.003697+0.0040826i,-0.0037515+0.0024472i,0.002135-0.0034551i,0.022432+0.0018842i,0.0022719-0.0023097i,-0.00015672-0.0079708i,0.00059218-0.0028533i,0.013785+0.0040142i,0.00421+0.00025564i,0.0044895-0.00662i,0.0028386+0.0090777i,0.0046994-0.0012238i,0.024862+0.0047492i,-0.08141-0.036513i,-0.0053814+0.020449i,0.006915-0.0031495i,-0.0037858+0.0032199i,-0.036876+0.01221i,-0.0069792+0.0065285i,-0.01678+0.013025i
-0.02763+0.0222i,-0.047879+0.02514i,-0.020128+0.043836i,-0.026184+0.028438i,-0.020642+0.040585i,0.014448+0.042953i,0.00052893+0.022615i,-0.0085744+0.03924i,-0.0081031+0.019917i,-0.0053622-0.0017735i,-0.0044607-0.00046739i,-0.0027719-0.0034038i,-0.0046022-0.0003448i,-0.0068768-0.0012781i,-0.0007666+0.0047918i,-0.0052617+0.0009477i,-0.010941-0.0023083i,-0.0012652+0.00019556i,0.0031038-0.0018968i,0.0020279-0.001679i,0.0015603-0.0039751i,0.0018459-0.0039788i,0.0010028-0.0026489i,-0.010407-0.0053217i,-0.0011477+0.00079807i,-0.0042679+0.0023646i,-0.0011956+0.00055727i,-0.0032487+0.00013006i,-0.0018633-0.00085138i,0.0008359-0.001801i,-0.00023504+0.0059054i,0.0012667-0.00051873i,0.0019172-0.00081698i,0.0011016+0.0013497i,-0.00089744+0.0025544i,-0.001233-0.0053557i,-0.00046673+0.00037356i,-0.00054149-0.00054978i,0.00080865+0.0052778i,0.0071304+0.00082813i,-0.00039847-0.003656i,0.0003421-0.0056564i,-0.0025259+0.0049386i,6.2342e-06+0.0031624i,-0.032773-0.0036708i,-0.01405-0.089854i,-0.090103-0.011528i,-0.06067-0.033999i,-0.087237-0.039305i,-0.057148+0.0043498i,-0.083768+0.036199i,-0.054548+0.023866i,-0.040844-0.022191i,-0.038366-0.053377i,-0.033534-0.018359i,0.0039313+0.0022059i,-0.012632+0.019636i,0.0095342-2.7799e-05i,0.011939-0.0018145i,-0.0053831-0.010271i,0.0039297+0.0008593i,-0.0075571+0.000495i,0.0093362+0.011755i,0.0014844+0.0094192i,0.00086951+0.001174i,0.0059438+0.0035335i,0.0029882+0.00025244i,0.0055316+0.010487i,0.0065143+0.0072472i,-0.0020262-0.0068585i,0.0030464-0.008275i,0.0034118+0.00274i,-0.0099888-0.00067506i,-0.0028905-0.00011189i,0.0047479-0.027027i,0.0076835+0.0032963i,0.0081336+0.0024039i,-0.0008411+0.0023194i,-0.00058958-0.0013446i,0.018421-0.0076915i,0.00056114-0.0034055i,-0.0049811-0.0065568i,-0.0025882-0.0022122i,0.011834-0.0014512i,0.0037703+0.00075496i,0.0017539-0.0050484i,0.0056804+0.0076246i,0.0033038-0.0019641i,0.024559-0.0029339i,-0.084812-0.02734i,0.0030342+0.0087719i,0.0051223-0.0052347i,-0.0018654+0.0023981i,-0.031264+0.022192i,-0.0049838+0.007753i,-0.012718+0.015233i
-0.022304+0.024773i,-0.044619+0.030686i,-0.013555+0.039797i,-0.021859+0.030938i,-0.013321+0.04229i,0.021899+0.037719i,0.0039425+0.022287i,-0.0012297+0.038926i,-0.007318+0.017013i,-0.0056153+0.00094641i,-0.0034156+0.0011388i,-0.005879-0.0028244i,-0.0048458+0.001749i,-0.0068181+0.00063395i,0.0011278+0.005441i,-0.0056586+0.0043137i,-0.012961+0.0031295i,-3.4696e-05+0.0010201i,0.0031528-0.0034723i,0.0017665-0.0028976i,0.0001585-0.0045504i,0.00071705-0.0048419i,0.00055342-0.0029678i,-0.011108-0.0023745i,-0.0010003+0.0010707i,-0.0025988+0.0051666i,-0.00076748+0.00032062i,-0.0024864+0.0015667i,-0.0021997-0.00040126i,-0.00015419-0.0027161i,0.0024639+0.0059536i,0.00072227-0.00061227i,0.0013742-0.0011707i,0.0015423+0.00078473i,-5.1073e-05+0.0032091i,-0.0013306-0.0055095i,-0.00063893+0.00030842i,-0.00094958-0.00028703i,0.0045363+0.0032571i,0.0058044-0.0012631i,-0.0013283-0.0028408i,0.00061882-0.0031157i,-0.0004064+0.0061683i,0.00069929+0.0023579i,-0.035055-0.001356i,-0.043564-0.08733i,-0.080453+0.0020651i,-0.070362-0.026638i,-0.094848-0.024066i,-0.052607+0.012608i,-0.068377+0.048153i,-0.039958+0.033734i,-0.042433-0.02482i,-0.045135-0.049762i,-0.033261-0.0063613i,0.0041875-0.00098147i,-0.0027016+0.021819i,0.0085204-0.0032634i,0.0080943-0.0072777i,-0.014988-0.0094323i,0.0028737+0.00016209i,-0.0049859+0.0048769i,0.011121+0.0063625i,0.004107+0.011626i,-6.3049e-05+0.001638i,0.0079933-0.00043587i,0.004735-0.0018797i,0.0066518+0.006124i,0.005619+0.002375i,-0.0071407-0.0035474i,0.00056879-0.0061522i,0.0053643+0.0015609i,-0.0058924+0.0089828i,-0.0012695+0.001492i,-0.0039431-0.022507i,0.009303-3.8431e-05i,0.0078341-0.00084524i,0.0005239+0.0018484i,0.00076213+0.00064261i,0.01187-0.01243i,-0.0025783-0.00060393i,-0.0076972-0.0040705i,-0.003479+0.0013371i,0.0077119-0.0049019i,0.0073728-0.00062903i,0.0022242-0.0047782i,0.0094489+0.0048317i,0.0041197-0.003001i,0.022069-0.010474i,-0.08909-0.01461i,0.00041565-0.0016592i,0.0115-0.008205i,-0.00031587+9.8104e-05i,-0.020143+0.027068i,-0.0042866+0.0031907i,0.0018908+0.018149i
-0.017077+0.025295i,-0.039866+0.036663i,-0.010238+0.036471i,-0.01678+0.03375i,-0.0049859+0.041288i,0.027881+0.03148i,0.0081156+0.021328i,0.0055539+0.036687i,-0.0071026+0.017037i,-0.0042742+0.0030106i,-0.0026524+0.0013676i,-0.0076632+0.00089609i,-0.004377+0.0034185i,-0.0068463+0.0029621i,0.0028691+0.0048432i,-0.0039911+0.0076179i,-0.010722+0.010149i,0.00094513+0.00025321i,0.0015321-0.0044763i,0.00027648-0.0041232i,-0.0013773-0.0040976i,-0.00080016-0.0047755i,-9.7039e-05-0.0034556i,-0.010998+0.0010339i,-0.00037391+0.00081892i,0.00076657+0.0034575i,-0.0010305+3.6057e-05i,-0.0013263+0.0018018i,-0.0024214+0.00066941i,-0.0016587-0.0020905i,0.0050285+0.004293i,0.00038933-0.00044i,0.00082995-0.0016049i,0.0015582+0.00025809i,0.0016472+0.0027071i,-0.0017974-0.0065941i,-0.0006898+0.00081029i,-0.001273+0.00027682i,0.0041838-0.00041816i,0.0042445-0.0023406i,-0.0014384-0.0021372i,0.00070607-0.0013255i,-0.020386-0.0035352i,-0.00026832-0.00026739i,-0.037355+0.0033408i,-0.067228-0.070493i,-0.070258+0.0079432i,-0.078173-0.015312i,-0.099319-0.0073955i,-0.046676+0.018026i,-0.053839+0.053794i,-0.025846+0.033027i,-0.046156-0.020127i,-0.052398-0.04251i,-0.029505+0.0015562i,0.0023075-0.0036059i,0.0060204+0.020139i,0.0068833-0.0058491i,0.0022868-0.0088213i,-0.024152+0.0059149i,2.1498e-05+0.00092654i,-0.0012363+0.0051877i,0.010784+0.00086699i,0.0088027+0.011124i,0.00045464+0.002983i,0.0048267-0.0026105i,0.0042096-0.005395i,0.0053347+0.0017371i,0.002921+0.00064992i,-0.0072697+0.00057563i,-0.0012669-0.0049321i,0.0057492-0.00044294i,0.0050269+0.0086601i,-2.2302e-05+0.001049i,-0.0083368-0.018919i,0.0080241-0.0031274i,0.0061753-0.003139i,0.0011049+0.0023901i,0.0016983-0.00015529i,0.0067875-0.013084i,-0.00037796+0.0019021i,-0.0093795+0.00025912i,-0.0012684+0.0037269i,0.0046359-0.0045844i,0.0069052-0.004869i,-0.00015633-0.0049864i,0.0095386-0.00079183i,0.0022737-0.0056767i,0.01731-0.017277i,-0.087435+0.00084713i,-0.0065949-0.0061999i,0.002242-0.012834i,-0.00024326-0.0030452i,-0.013233+0.025245i,-0.0087668+0.0022753i,-0.0059266+0.012871i
-0.013015+0.025209i,-0.034478+0.041541i,-0.0088145+0.035188i,-0.010677+0.035308i,0.0019096+0.038361i,0.031824+0.024595i,0.012505+0.018941i,0.011531+0.033598i,-0.0055529+0.018602i,-0.0024926+0.0039208i,-0.0028181+0.0021681i,-0.0068277+0.0044054i,-0.0033336+0.0047629i,-0.0052504+0.0056366i,0.0043159+0.0039547i,-0.00084859+0.0095123i,-0.0049362+0.014142i,0.00099871-0.00053871i,0.00045385-0.0043427i,-0.0016985-0.0038516i,-0.0027939-0.0034588i,-0.0021362-0.0040609i,-0.0013999-0.0034352i,-0.0090578+0.0038904i,-0.00090198+0.00027732i,0.00041837+0.0016132i,-0.0015062+0.000183i,-0.00055559+0.0015994i,-0.0016326+0.0015788i,-0.0019465-0.00080436i,0.0058353+0.0015794i,0.00033277-0.00056257i,-3.7838e-05-0.0017464i,0.0013577-0.00031987i,0.0019704+0.0014218i,-0.0043916-0.0071431i,-0.0005181+0.0011913i,-0.0010162+0.0010421i,0.00098734-0.0017821i,0.0029428-0.0023946i,-0.0016789-0.0017436i,0.00033917-0.0013617i,-0.0015158+0.0037492i,-0.003361+0.00097491i,-0.037759+0.010102i,-0.076622-0.047288i,-0.064128+0.009403i,-0.083049-0.0013594i,-0.10034+0.011541i,-0.042387+0.020763i,-0.03984+0.056399i,-0.016099+0.029638i,-0.047031-0.015489i,-0.056266-0.034463i,-0.027894+0.008904i,5.7866e-05-0.0046579i,0.014729+0.014487i,0.0046167-0.007435i,-0.0026925-0.0073369i,-0.017452+0.011867i,-0.00031012+0.0031826i,0.0015073+0.0060254i,0.0064846-0.0014861i,0.013658+0.0082755i,0.0015499+0.0032607i,0.002677-0.0017259i,0.0016186-0.0077918i,0.0027075+0.0013772i,0.00065543+0.001488i,-0.0068422+0.0055308i,-0.0027188-0.0025023i,0.0051585-0.0024686i,0.007296+0.0037191i,0.00057393+0.00095379i,-0.01003-0.01626i,0.0062273-0.0056689i,0.0040686-0.0047078i,0.0041352+0.0025171i,0.001803-0.0004871i,0.0028506-0.012106i,0.001679+0.0014786i,-0.0071201+0.0059373i,0.0013653+0.0036879i,0.0037542-0.0035402i,0.0043414-0.0094264i,-0.00060692-0.0042722i,0.0063206-0.004754i,-0.00079127-0.0062708i,0.0092824-0.022478i,-0.081065+0.01139i,-0.014906-0.0023762i,-0.00088457-0.015504i,-0.0017458-0.0065064i,-0.008301+0.02489i,-0.012613+0.0055621i,-0.0061646+0.012411i
-0.0098279+0.025127i,-0.028722+0.045708i,-0.007245+0.036629i,-0.004648+0.034993i,0.0062417+0.034228i,0.034661+0.017815i,0.016492+0.015275i,0.016498+0.029594i,-0.0028065+0.018953i,-0.001071+0.0036905i,-0.0030785+0.0035959i,-0.0049422+0.0067938i,-0.0018016+0.006197i,-0.0027975+0.0066012i,0.0050843+0.0024501i,0.0025264+0.0099557i,0.0011966+0.014244i,0.00085846-0.00064467i,-0.00095448-0.0045557i,-0.0030033-0.0027007i,-0.003399-0.0019183i,-0.0028658-0.003123i,-0.0022665-0.0026072i,-0.0076685+0.0049328i,-0.0013319+0.00095104i,-2.5545e-05+0.0014057i,-0.0018843+0.00087912i,-4.7048e-05+0.0011924i,-0.00063781+0.0018197i,-0.0017976+1.1042e-06i,0.0058076-0.00060341i,7.3102e-05-0.00059495i,-0.00054054-0.0014464i,0.00083273-0.0010542i,0.001906+0.0010518i,-0.0068359-0.0063574i,-0.00027858+0.0012067i,-0.00041396+0.0013557i,0.00012586-0.001434i,0.0023243-0.0019736i,-0.0019309-0.0011093i,-0.00033631-0.0021186i,0.00068387+0.004204i,-0.0038084+0.0045293i,-0.035517+0.017507i,-0.075039-0.02935i,-0.061801+0.011471i,-0.083026+0.01584i,-0.094451+0.032451i,-0.040728+0.023498i,-0.028131+0.055223i,-0.0086459+0.025111i,-0.046415-0.01003i,-0.060078-0.027068i,-0.023211+0.014791i,-0.0034129-0.0046949i,0.017751+0.0022991i,0.0027258-0.0091766i,-0.005876-0.0036036i,-0.012328+0.017446i,0.0012154+0.0036741i,0.0056655+0.0042161i,0.00486+0.0001136i,0.017525+0.0011075i,0.0028418+0.0036918i,0.0019239-0.00083118i,-0.0037507-0.0089726i,0.0011766+0.0029179i,0.00084257+0.0034597i,-0.0011864+0.0097185i,-0.001746-0.00027345i,0.0037376-0.0031796i,0.0085156+0.00068907i,0.0015998-3.7476e-05i,-0.012974-0.015721i,0.0033796-0.0068711i,0.0015321-0.0057867i,0.0043509-0.00044771i,0.0017122-0.00015428i,0.0013012-0.010248i,0.0025354+9.494e-05i,-0.0020832+0.0082019i,0.0028221+0.0022534i,0.0026416-0.0037565i,-0.0020196-0.01076i,-0.0015944-0.0049736i,0.0029944-0.0053833i,-0.0030584-0.0062206i,-0.00092306-0.023169i,-0.076816+0.019486i,-0.013487+0.008188i,-0.0058902-0.016006i,-0.0051085-0.008512i,-0.0055011+0.024131i,-0.011794+0.011045i,-0.0029549+0.011608i
-0.0066233+0.025368i,-0.021989+0.049988i,-0.0034032+0.039049i,0.00044372+0.033723i,0.008503+0.03154i,0.036207+0.010872i,0.0193+0.010597i,0.020477+0.025337i,0.00018105+0.019301i,-0.00057114+0.0038444i,-0.0017166+0.0058187i,-0.0019928+0.0084571i,0.00022951+0.0068423i,-0.00064451+0.0065172i,0.0052307+0.00092849i,0.0056246+0.0089192i,0.0063744+0.012144i,0.0010091-0.00065163i,-0.0022688-0.0040656i,-0.0035762-0.0011217i,-0.0031215-0.00056984i,-0.0035381-0.0022605i,-0.0027484-0.0017053i,-0.007049+0.0066925i,-0.00092584+0.001674i,-4.6126e-05+0.001894i,-0.0012926+0.0021132i,-0.00012714+0.00073038i,-8.389e-05+0.0015484i,-0.0014549+0.00040742i,0.0063508-0.0031275i,5.8073e-05-0.00029777i,-0.00076994-0.0011649i,0.00035092-0.0011173i,0.0022069+3.6506e-05i,-0.0094366-0.0046459i,0.0001225+0.0012539i,0.0003851+0.001558i,-0.00077083-0.0012471i,0.0020759-0.0019714i,-0.0018493-0.00041346i,-0.0012186-0.0017922i,0.0019364+0.003361i,-0.0022511+0.006417i,-0.03061+0.023339i,-0.072962-0.022692i,-0.060891+0.016351i,-0.07646+0.030894i,-0.082663+0.049709i,-0.03823+0.029295i,-0.019096+0.054268i,-0.0043171+0.019801i,-0.045399-0.0057397i,-0.0627-0.017837i,-0.019286+0.018729i,-0.0044254-0.0041958i,0.011242-0.0077758i,-0.00074053-0.011206i,-0.0064014-0.00021498i,-0.0050088+0.020134i,0.0013817+0.0028358i,0.0071521-0.00049124i,0.0059593-0.00028156i,0.015483-0.005498i,0.0050759+0.0029453i,0.002031+0.00060475i,-0.0076397-0.0038992i,0.0027975+0.0047751i,0.0020315+0.004735i,0.003287+0.0076894i,-0.0013095+0.0001102i,0.0025829-0.0039882i,0.008556-0.0049758i,0.00034915-0.00096052i,-0.019581-0.01157i,0.0010986-0.0068624i,-0.00096406-0.0042187i,0.0043266+0.00013412i,0.0017996-0.0004929i,0.00049352-0.011211i,0.0022183-0.0013156i,0.0010575+0.0061401i,0.0032307+0.0014719i,0.0022676-0.0031434i,-0.0063984-0.0065628i,-0.0046092-0.0042913i,0.0003436-0.0050367i,-0.0053337-0.0055195i,-0.0088884-0.019447i,-0.071575+0.028431i,-0.0082621+0.0071369i,-0.0066864-0.015343i,-0.0079535-0.0081441i,-0.00065895+0.022563i,-0.010401+0.013185i,-0.0017498+0.0097338i
-0.0032927+0.025166i,-0.01381+0.053598i,0.0023853+0.04137i,0.0047783+0.032352i,0.010749+0.030041i,0.036517+0.0041636i,0.020839+0.0054693i,0.023833+0.020984i,0.0038211+0.018886i,0.00035838+0.0040594i,0.0011356+0.0068221i,0.0014287+0.0083659i,0.0022365+0.0065501i,0.00081456+0.0063664i,0.0050528-0.00030922i,0.0083154+0.0067081i,0.0094635+0.0089617i,0.0011926-0.0015252i,-0.0031821-0.0032168i,-0.0032715+0.00068514i,-0.0025792+0.00027307i,-0.0037971-0.00087528i,-0.0028784-0.00085574i,-0.0044008+0.008411i,-0.00028348+0.0021311i,0.00089743+0.0022261i,-0.00027219+0.0019337i,-0.00057938+0.00095407i,0.00034422+0.0014308i,-0.0011589+0.00088273i,0.0032318-0.0047068i,0.0004074-0.00058631i,-0.0011905-0.00091215i,-0.00011482-0.0011941i,0.00157-0.00088187i,-0.010888-0.0015403i,0.00039675+0.0012133i,0.0011054+0.0013842i,-0.0014038-0.00089694i,0.0020007-0.0022611i,-0.0014895-5.1719e-05i,-0.001452-0.0011549i,0.002449+0.0021771i,-0.00033342+0.0076617i,-0.025649+0.026425i,-0.07777-0.016689i,-0.059233+0.022099i,-0.067964+0.042685i,-0.067123+0.061134i,-0.034324+0.034444i,-0.0098625+0.052173i,-0.0019013+0.016092i,-0.044542-0.001708i,-0.063024-0.0076416i,-0.014469+0.021666i,-0.0058818-0.0032317i,0.0032382-0.0093674i,-0.0048429-0.011139i,-0.0051435+0.0038375i,0.0012718+0.017273i,0.0007849+0.0022303i,0.0058953-0.0049283i,0.0053243-0.0016588i,0.010954-0.010652i,0.0068795+0.00067977i,0.0033669+0.00098793i,-0.0081338-0.00046607i,0.0049199+0.005234i,0.0043348+0.005537i,0.0067667+0.0057809i,-0.00087734+0.0011897i,0.0019319-0.0041714i,0.005409-0.0056141i,-0.00032658+0.00053287i,-0.021754-0.0033845i,-0.00026214-0.0065502i,-0.001768-0.0024256i,0.0050968-0.00044975i,0.001738-0.00073072i,-0.0025818-0.01265i,0.00087399-0.0017035i,0.003731+0.0062797i,0.0036296+0.00036976i,0.0030384-0.0034248i,-0.007928-0.0028803i,-0.0071975-0.00093258i,-0.0025092-0.0041142i,-0.0064743-0.0042468i,-0.013338-0.013667i,-0.065276+0.036121i,-0.0082496+0.0058435i,-0.0076992-0.017652i,-0.010448-0.0069575i,0.00046427+0.021228i,-0.0091129+0.015135i,-0.0001515+0.0084079i
0.00055501+0.024936i,-0.0040371+0.055167i,0.010249+0.041694i,0.008732+0.030867i,0.014125+0.029735i,0.035804-0.0022559i,0.02099+3.3108e-05i,0.026853+0.015985i,0.007292+0.017249i,0.0010841+0.0039063i,0.00373+0.0055262i,0.0037798+0.0063644i,0.004017+0.005971i,0.002602+0.0059417i,0.004674-0.0015095i,0.0093925+0.0036166i,0.01139+0.0053164i,8.0026e-05-0.0021648i,-0.0042725-0.0019191i,-0.0018914+0.0016508i,-0.001718+0.00053235i,-0.0032935+0.00017061i,-0.0028616-1.5518e-05i,-0.001277+0.0087565i,0.00047686+0.0021404i,0.0017529+0.0016551i,0.00041568+0.0020857i,-0.00032849+0.0015789i,0.00084027+0.00081194i,-0.00073956+0.00099799i,0.0012995-0.0047042i,-0.00014442-0.00098181i,-0.0015281-0.00043929i,-0.00071213-0.0011253i,0.00080864-0.0011807i,-0.010257+0.0017553i,0.00073393+0.0010492i,0.0015596+0.00099423i,-0.0020356+2.167e-06i,0.0017945-0.0026817i,-0.0012389+0.00012703i,-0.0015704-0.00087703i,0.0022837+0.0013246i,0.001917+0.0082185i,-0.021102+0.028843i,-0.085868-0.0038767i,-0.055014+0.027674i,-0.056726+0.051031i,-0.051818+0.068411i,-0.029507+0.040875i,-0.0012413+0.047775i,0.0028129+0.012441i,-0.043564+0.0034529i,-0.060528+0.0028069i,-0.010269+0.024323i,-0.0072418-0.0019373i,-0.0025014-0.0089138i,-0.0087403-0.0099662i,-0.0011199+0.005184i,0.0035849+0.013352i,-0.00045333+0.0025761i,0.0032156-0.0081412i,0.0053601-0.0012484i,0.0046867-0.013315i,0.0069578-0.0028142i,0.0047484-2.8434e-05i,-0.0079644+0.0037722i,0.0083628+0.0045872i,0.0077724+0.0036203i,0.0090494+0.00091029i,0.00039428+0.0019763i,0.0010903-0.0043931i,-0.00041188-0.0083202i,0.0011191+0.0020824i,-0.021486+0.0072827i,-0.0016505-0.0063313i,-0.0013153-0.00048131i,0.0059182-0.0044154i,0.0016451-0.00069679i,-0.0079941-0.011772i,-8.5784e-05-0.0013577i,0.0063935+0.0036125i,0.0034227-0.00018519i,0.002298-0.0046293i,-0.0073464+0.001972i,-0.006354+0.0031282i,-0.0047381-0.0016706i,-0.0080626-0.0034346i,-0.015265-0.0084321i,-0.059207+0.042666i,-0.0086273+0.0090236i,-0.011998-0.02152i,-0.010068-0.0051061i,0.00311+0.021513i,-0.008036+0.018185i,0.0015066+0.0058829i
0.0044706+0.0236i,0.0055797+0.054307i,0.017967+0.039096i,0.012926+0.029097i,0.018763+0.028578i,0.034387-0.0082432i,0.019664-0.0050863i,0.028512+0.010507i,0.0099211+0.014664i,0.0016931+0.0040498i,0.0045086+0.0038949i,0.0044381+0.0044117i,0.005584+0.0046362i,0.0040462+0.0047234i,0.0039239-0.0025588i,0.0090637+0.00087636i,0.012451+0.0015028i,-0.0008884-0.001883i,-0.0042432-0.00029225i,-0.00079607+0.0015983i,-0.00094138+0.00033056i,-0.0027209+0.00072059i,-0.0023832+0.00063632i,0.0014836+0.0085098i,0.0013076+0.0017187i,0.0020973+0.0010708i,0.0013235+0.0017936i,0.00034902+0.0016708i,0.00078366+0.00038537i,-0.00044427+0.0010794i,-0.00049231-0.0042923i,-0.00085994-0.00072432i,-0.0015219+0.0002348i,-0.0011742-0.00053456i,0.00036702-0.0012423i,-0.0089403+0.0045182i,0.0010599+0.00066004i,0.0016677+0.00027546i,-0.0019818+0.0012575i,0.0011778-0.0033179i,-0.001091+0.0002118i,-0.0017201-0.00077017i,0.0018522+0.00088472i,0.0044546+0.0077476i,-0.016444+0.030926i,-0.087776+0.016134i,-0.052212+0.031499i,-0.046218+0.055893i,-0.035077+0.073292i,-0.021133+0.047069i,0.0057506+0.040719i,0.0049661+0.0049197i,-0.039988+0.0082615i,-0.054887+0.013098i,-0.0030977+0.025654i,-0.008512-5.3814e-06i,-0.0080902-0.0057109i,-0.012611-0.0070477i,0.0017091+0.0034705i,0.0042341+0.011771i,-0.0021823+0.0042668i,-0.00066026-0.010712i,0.006332-0.0032329i,-0.001758-0.012076i,0.0045733-0.0051249i,0.0052135-0.0021024i,-0.0059173+0.0072873i,0.011338+0.00075267i,0.0085196-0.0013877i,0.0080462-0.0047442i,0.0025861+0.0013598i,0.00018517-0.0045492i,-0.0040554-0.0054377i,0.0031159+0.00093135i,0.00061865+0.012745i,-0.0025068-0.0092348i,0.00022416+0.00046382i,0.0022074-0.0062442i,0.0017906-0.00081156i,-0.012124-0.0078521i,6.3186e-05-0.00030564i,0.0072545+0.00037395i,0.0027567-0.0009457i,0.0012238-0.0049436i,-0.0046133+0.005555i,-0.0039478+0.0057987i,-0.0046959+0.0016638i,-0.010523-0.0016278i,-0.015296-0.0041704i,-0.051638+0.051086i,-0.0026369+0.011817i,-0.019904-0.021225i,-0.0086751-0.0050163i,0.0054974+0.020852i,-0.0045505+0.021047i,0.0018418+0.0024177i
