-0.00040979-0.042216i,-0.00049358-0.046323i,-0.0072386-0.047459i,-0.029983-0.022819i,-0.02259+0.011126i,-0.036248-0.033418i,-0.063675-0.058632i,-0.020483-0.069836i,-0.023264-0.044356i,-0.0014454+0.016205i,-0.010539+0.012564i,-0.014944+0.013193i,0.0029727+0.013999i,-0.0028673-0.0018992i,0.0018133+0.0060314i,-0.00052277+0.034301i,0.019733+0.057067i,0.0015009-0.00045443i,-0.0032349-0.0097859i,0.0073827+0.0046206i,0.0016201+0.0014883i,-0.00042286+0.003326i,-0.00036211-0.00052038i,-0.037375-0.010237i,-0.0024662-0.0076248i,-0.0010579+0.0043767i,0.0054675-0.00027319i,-0.00026347+0.0002802i,0.00072394-0.00067713i,0.00036387-0.0023214i,-0.0016257-0.0059654i,-0.0031495-0.006252i,-0.0010625-0.0068815i,0.0031654-0.00074873i,0.0029966-0.0016757i,-0.0020181+0.039143i,0.0065692-0.0038314i,0.0032801-0.00070991i,0.0053238-0.00010033i,-0.012304-0.0069575i,-0.00092194+0.00029186i,0.0092245-0.00078046i,0.0034552+0.0010691i,-0.0044138+0.0016169i,7.6457e-05+0.010616i,-0.0053445+0.017774i,0.026367-0.081399i,9.4088e-05-0.054512i,-0.023407-0.04295i,-0.01891-0.036954i,0.063327-0.01472i,0.030474-0.057372i,0.038995-0.044174i,0.033069-0.052959i,0.019788-0.016231i,0.0079043+0.011994i,0.024271-0.03474i,-0.0081114-0.0056496i,0.0030905-0.0010015i,-0.0021667-0.0049471i,0.0055096-0.03257i,-0.02528+0.031762i,0.0087286-0.010537i,-0.012727-0.0026323i,-0.0045584-0.0013074i,0.00038785-0.014708i,-0.0098197+0.0054686i,0.0033933+0.0062941i,-0.014655+0.030195i,0.0052793+0.0070965i,-0.0060302-0.0021222i,-0.0010228-0.002538i,-0.011608-0.0078865i,6.1904e-05-0.0035998i,-0.03701+0.0067487i,0.0016548-0.012731i,-0.0092946-0.0027252i,-0.0071784-0.0034613i,0.006708+0.0019816i,-0.0093028+0.0022904i,3.6069e-06+0.0016696i,0.0058372+0.0098247i,0.0048371+0.00082516i,-0.0092617-0.010017i,0.001663+0.0081465i,-0.020443+0.005126i,0.0062177+0.0034132i,-0.027929-0.008833i,-0.036155-0.0018462i,0.02579-0.077607i,0.014425-0.0093719i,-0.04226-0.02859i,-0.025111-0.0077586i,0.017417+0.012292i,-0.0273+0.011279i,-0.011846-0.0099503i
-0.042583-0.0071727i,-0.057202+0.0029778i,-0.041642+0.047405i,-0.019379+0.0093047i,-0.0051888+0.018576i,-0.0051753+0.037305i,-0.027762+0.017594i,-0.061912+0.024744i,-0.019605+0.016827i,0.0041431-0.0099642i,0.0032305-0.001917i,0.0031817+0.00018948i,0.0026477+0.0086013i,-0.0036727+0.0013607i,5.7728e-05+0.0018426i,0.0018765-0.0065946i,-0.011353-0.0085644i,-0.0040607+0.00010246i,0.0038532-0.0030872i,0.00090429+0.00032129i,0.0015152-0.0047382i,0.0022504-0.0038472i,0.0015374-0.0026641i,-0.012201-0.01231i,-0.0027393-0.0013667i,-0.0040252-0.0002064i,-0.0031527-0.00040593i,-0.0045704-0.0013334i,-0.001056-0.0025802i,0.0016602-0.0012165i,-0.0038543+0.0039247i,0.0017662+0.0018455i,0.0021936+0.0014376i,0.001269+0.001093i,-0.0020391+0.0027172i,-0.0046309-0.0096154i,-0.0033619+0.0016607i,0.00058612+0.00032764i,-0.0012432+0.0040123i,0.0094918+0.0084058i,0.0015217-0.0016869i,0.0011771-0.00079596i,-0.0042436-0.0052366i,0.0015019+0.0059524i,-0.0085947-0.018192i,0.016096-0.077945i,-0.086575-0.023095i,-0.023841-0.02224i,-0.050549-0.041434i,-0.042737-0.0086715i,-0.091328+0.017921i,-0.063225-0.002864i,-0.040168-0.027368i,-0.025733-0.055872i,-0.033145-0.026003i,-0.00091763+0.0037297i,-0.026839+0.010434i,0.00646+0.017742i,0.0043278+0.008609i,-0.0031609-0.0048312i,0.0069366+0.0058129i,-0.011552-0.0049884i,0.0025212+0.011793i,0.00058701+0.0070576i,-0.0012421-0.0018641i,0.0069339+0.0023321i,0.0046099-0.00089587i,-0.0038889+0.020285i,-0.000841+0.014791i,0.0018896-0.004731i,0.011494-0.0085163i,0.0039115+0.0042013i,-0.007853-0.0080144i,-0.0015911-0.0015031i,0.025931-0.033371i,0.0087383+0.0084984i,0.0040991+0.0031464i,-0.0020766+0.0025747i,0.0041648-0.0035053i,0.019697+0.0028121i,0.0016432-0.0022478i,-0.00073376-0.0083903i,0.0021877-0.0033131i,0.012912+0.005852i,0.0056041+0.0012369i,0.003708-0.0068284i,0.0048996+0.0080239i,0.0034481+0.0032624i,0.0185+0.0051109i,-0.065921-0.041797i,-0.011356+0.010187i,-0.0074567-0.0038036i,-0.0096474+0.0044648i,-0.037874+0.0079403i,-0.0050914+0.0081564i,-0.016557+0.0045488i
-0.041802-0.0010391i,-0.05568+0.0090779i,-0.02949+0.048213i,-0.017962+0.011104i,-0.0016749+0.016061i,0.0017766+0.036744i,-0.025279+0.021551i,-0.054436+0.033076i,-0.015724+0.014787i,0.00062426-0.0098696i,0.003161-0.0013483i,0.0030445-0.0015541i,0.0047371+0.0061856i,-0.00199+0.0029939i,0.00013012+0.0024479i,-0.0023144-0.0047105i,-0.016054-0.0017695i,-0.0033092+0.0015673i,0.0039691-0.0034518i,0.0015057-0.00028117i,6.1259e-05-0.0046053i,0.0015293-0.003213i,0.0012483-0.0026549i,-0.013979-0.0072348i,-0.0026736-0.0003581i,-0.00424+0.0012626i,-0.0025337+0.00062297i,-0.0042125+0.00020731i,-0.001623-0.0022966i,0.0015389-0.0015176i,-0.002115+0.005435i,0.0016728+0.0015573i,0.0023679+0.00035033i,0.00044107+0.00083154i,-0.0025098+0.0025219i,-0.004272-0.0076861i,-0.0026491+0.002017i,-0.00018093-0.0001341i,-0.00065446+0.0050549i,0.010122+0.0024883i,0.00093395-0.0020425i,0.00037392-0.0011667i,-0.0059587-0.0035634i,0.0030673+0.0054247i,-0.010933-0.022142i,-0.0066024-0.087625i,-0.0825-0.0058114i,-0.030522-0.02491i,-0.061037-0.032277i,-0.040324+0.00025331i,-0.077619+0.037634i,-0.060198+0.011866i,-0.031466-0.025313i,-0.032116-0.052447i,-0.040066-0.012262i,-0.00023947+0.0016551i,-0.021294+0.022368i,0.010771+0.011654i,0.0069365+0.0045969i,-0.0082547-0.0077719i,0.0038062+0.0050727i,-0.011538+0.0024342i,0.0076979+0.0093721i,0.0019502+0.0085937i,-0.0017922-0.0010485i,0.0072724+0.0023495i,0.0044691-0.001685i,0.0056326+0.01671i,0.0061414+0.010414i,-0.0038281-0.0061426i,0.0031589-0.0094262i,0.0050319+0.0038288i,-0.011006-0.00067428i,-0.0023811+0.00083785i,0.010315-0.035864i,0.011572+0.0059414i,0.0073387+0.0017602i,0.0009208+0.0020789i,0.00081409-0.0018953i,0.018628-0.0065257i,-6.8338e-05-0.0026608i,-0.0045475-0.0065084i,-0.0015662-0.0032249i,0.011995+0.00038593i,0.0054859+0.0010552i,0.0011842-0.0045271i,0.0075732+0.0063433i,0.0032748+0.0028275i,0.017657-0.0015517i,-0.071647-0.032548i,-0.0030491-0.0014582i,-0.0067691-0.0023525i,-0.0081009+0.005388i,-0.032556+0.020316i,-0.0030163+0.0090005i,-0.014691+0.0073483i
-0.039325+0.0040567i,-0.055012+0.015385i,-0.021569+0.046858i,-0.01692+0.013188i,0.0028373+0.014686i,0.0087556+0.034589i,-0.021354+0.025026i,-0.046525+0.039088i,-0.016015+0.013412i,-0.0024512-0.0085679i,0.0039424-0.0017362i,-0.00050452-0.0021208i,0.0058661+0.00412i,-0.0016253+0.0031812i,0.00082606+0.0030485i,-0.0049598-0.00076542i,-0.01594+0.0070016i,-0.0012806+0.0027574i,0.0037947-0.0056551i,0.0021366-0.0016886i,-0.0011223-0.0041116i,0.0017127-0.003818i,0.0010207-0.0030044i,-0.015146-0.0028831i,-0.0028188+0.00084109i,-0.0032093+0.0033613i,-0.0017327+0.0007445i,-0.0029019+0.0016903i,-0.0024093-0.0021565i,0.00072681-0.0026681i,0.0002508+0.0057314i,0.0017719+0.0012979i,0.0020593-0.00026056i,0.00057476+0.0005934i,-0.0018265+0.0042844i,-0.003731-0.0075333i,-0.0024863+0.0021862i,-0.00063903+4.9274e-05i,0.0032079+0.0039803i,0.0080951-0.0010681i,0.00031356-0.0019943i,0.00066973-0.00043441i,-0.0076082-0.0017057i,0.004485+0.0031685i,-0.015895-0.023925i,-0.032819-0.086364i,-0.072688+0.0058389i,-0.038732-0.022307i,-0.066527-0.02137i,-0.034399+0.0063439i,-0.057261+0.049858i,-0.045635+0.024804i,-0.030928-0.028829i,-0.037942-0.050128i,-0.03939+0.0020187i,-0.00033876+0.00023932i,-0.0095036+0.027842i,0.011854+0.0055515i,0.0047636-0.0010808i,-0.017105-0.0063716i,0.0039604+0.0039592i,-0.0072665+0.0070259i,0.0096071+0.0043446i,0.0046641+0.0087737i,-0.0040874+0.00083964i,0.0078643-0.0014761i,0.0042667-0.0036373i,0.009357+0.0092774i,0.0071986+0.0046696i,-0.0084046-0.0015749i,0.0002006-0.0067351i,0.0072066+0.0027003i,-0.007827+0.0086747i,-0.00041098+0.0028492i,-0.0019737-0.032846i,0.014281+0.00069789i,0.0071001-0.0016126i,0.0012267+0.0011321i,0.001146-0.00012724i,0.011859-0.012002i,-0.0029335+0.00046559i,-0.0071719-0.0032212i,-0.0036219+0.00065129i,0.0088816-0.003088i,0.0085566-0.0010811i,0.0021525-0.0040674i,0.010761+0.0026756i,0.0053256+0.001709i,0.0149-0.0070604i,-0.075242-0.019506i,-0.008428-0.011576i,-0.0044114-0.0032653i,-0.005786+0.0058633i,-0.023116+0.025605i,-0.0015638+0.003517i,-0.010442+0.004339i
-0.036443+0.0072554i,-0.053208+0.023417i,-0.015437+0.045414i,-0.013781+0.016229i,0.0071818+0.0097054i,0.014815+0.030534i,-0.01649+0.027645i,-0.038486+0.042727i,-0.0166+0.015575i,-0.0045842-0.0068432i,0.0037426-0.0035934i,-0.0021928+0.0010436i,0.005581+0.0018664i,-0.0015045+0.0048534i,0.0013973+0.0029954i,-0.0044354+0.0037861i,-0.010291+0.01426i,0.00028669+0.0019078i,0.0013877-0.0066221i,0.00098586-0.0036009i,-0.0018923-0.00358i,0.001125-0.0045045i,0.00041192-0.003811i,-0.014916+0.0020041i,-0.0018317+0.0011501i,-0.0005526+0.0032632i,-0.0014167+0.00074413i,-0.001174+0.0016277i,-0.0032618-0.00099095i,-0.00091942-0.0024715i,0.0020989+0.0050538i,0.0017745+0.00071837i,0.0013093-0.00092324i,0.00055212+0.0004031i,0.00063095+0.0043486i,-0.0048057-0.0090071i,-0.0014638+0.0033034i,-0.00089318+0.00045392i,0.0033241+0.00034867i,0.0064081-0.0023702i,0.00010341-0.0020147i,0.0011367-0.0010093i,-0.0080578+0.0012698i,0.0029929-0.00053251i,-0.022108-0.023317i,-0.054969-0.072664i,-0.063198+0.010499i,-0.045577-0.01624i,-0.07125-0.0090462i,-0.02756+0.0081183i,-0.038208+0.051695i,-0.029352+0.02446i,-0.032901-0.026649i,-0.044888-0.04487i,-0.03417+0.011939i,-0.0016495-0.00052795i,0.0014329+0.026319i,0.010946+0.00059758i,-0.00052035-0.0022357i,-0.023071+0.0029325i,0.0015444+0.0036519i,-0.0030694+0.0074171i,0.0079436-0.00096334i,0.0081875+0.007767i,-0.0034715+0.0043196i,0.0040462-0.003232i,0.0028544-0.0062347i,0.0079611+0.0018924i,0.0044667+0.0013266i,-0.0077557+0.0029963i,-0.0019208-0.0051623i,0.0078273+0.0003563i,0.0017928+0.011869i,0.0014408+0.0020756i,-0.0096487-0.026623i,0.012703-0.0043494i,0.0062464-0.0039338i,0.0021076+0.001989i,0.0015352-0.0008895i,0.0058936-0.012362i,-0.0003275+0.0033384i,-0.0082022+0.00097698i,-0.0015139+0.0038688i,0.0061656-0.0035704i,0.0078338-0.0062129i,0.00020457-0.0045391i,0.0098671-0.003995i,0.0052015-0.0015429i,0.011264-0.011674i,-0.07261-0.0061514i,-0.018189-0.014152i,-0.004659-0.0076318i,-0.0033272+0.0038993i,-0.015297+0.02684i,-0.0064673+0.0019936i,-0.013284+0.003485i
-0.034613+0.0098914i,-0.050031+0.030801i,-0.011176+0.044574i,-0.0093308+0.017709i,0.0086228+0.0036611i,0.01885+0.026i,-0.011227+0.028651i,-0.031186+0.045286i,-0.014475+0.019426i,-0.0056855-0.0046406i,0.0017205-0.0045293i,-0.00091371+0.0036262i,0.0047656+0.00059219i,0.00099093+0.0064544i,0.0023982+0.0030844i,-0.0019543+0.0067179i,-0.0024149+0.017682i,0.00076415+0.0011054i,-0.00015709-0.0063417i,-0.0011384-0.0039814i,-0.0029795-0.0031917i,-8.0399e-05-0.004704i,-0.0010616-0.0040745i,-0.011489+0.0059371i,-0.0022106+0.00063153i,-8.4861e-05+0.0016366i,-0.0012882+0.00078615i,-0.0003049+0.00095032i,-0.003295+0.00048445i,-0.0014898-0.001339i,0.0033142+0.0039691i,0.0017325-0.00015386i,0.00047365-0.00084116i,0.00042743+0.00022773i,0.001496+0.0037055i,-0.0080178-0.0095301i,-0.00046215+0.0035404i,-0.0007976+0.0012214i,0.0012707-0.0007404i,0.0049722-0.0024658i,-0.00026743-0.0022293i,0.0010925-0.0016831i,-0.0065111+0.0038711i,-5.5761e-06+0.00021696i,-0.027729-0.0194i,-0.064182-0.052493i,-0.057954+0.011614i,-0.050931-0.0076201i,-0.073047+0.0061389i,-0.023673+0.0058668i,-0.022693+0.048796i,-0.019704+0.020149i,-0.033242-0.025337i,-0.04929-0.038984i,-0.028002+0.019159i,-0.0024063-0.00040932i,0.01148+0.021005i,0.0091428-0.0021335i,-0.0044229+0.00027527i,-0.022353+0.01205i,0.0013778+0.0050884i,0.00086853+0.0084794i,0.0027581-0.0020772i,0.011534+0.0049781i,-0.0012953+0.0066936i,0.0011267-0.0018522i,0.00041212-0.0074283i,0.0024555+0.00079322i,0.0017174+0.0022093i,-0.0063925+0.0065907i,-0.0033908-0.0021975i,0.0073977-0.0021565i,0.0076373+0.0075242i,0.0023842+0.00081534i,-0.01364-0.023933i,0.0093947-0.0082431i,0.0042439-0.0059715i,0.0047669+0.0019985i,0.00070201-0.00066645i,0.0023766-0.010819i,0.0023018+0.0026238i,-0.0057088+0.0059532i,0.0016335+0.0046552i,0.0054101-0.0037587i,0.0036556-0.010888i,-0.00022501-0.0037051i,0.0052019-0.007288i,0.0030768-0.0033998i,0.0048473-0.015656i,-0.067518+0.0019257i,-0.0287-0.0078568i,-0.0083425-0.0095303i,-0.0028955+0.00034722i,-0.0094957+0.026495i,-0.010367+0.0047043i,-0.013757+0.0066575i
-0.033497+0.012977i,-0.045798+0.038189i,-0.0073285+0.045803i,-0.0049151+0.017055i,0.0064695-0.0021841i,0.022523+0.02207i,-0.006095+0.027939i,-0.024347+0.047043i,-0.010299+0.020844i,-0.0062972-0.0033011i,-0.0011153-0.0040885i,0.0012141+0.0046744i,0.0040042+8.0915e-05i,0.0038824+0.0054538i,0.0031875+0.0023954i,0.0010661+0.0078031i,0.0058315+0.017027i,0.0010186+0.00051611i,-0.0020727-0.0061244i,-0.0030076-0.0031934i,-0.0034619-0.0017444i,-0.00067226-0.0048509i,-0.0022013-0.0033584i,-0.0088384+0.0065691i,-0.0026945+0.0018557i,-0.0006024+0.001419i,-0.0013834+0.00092691i,-7.2753e-05-9.1268e-05i,-0.0025026+0.0015581i,-0.0016045-0.0008228i,0.0044731+0.002733i,0.0014471-0.00082708i,0.00015175-0.00069714i,0.00020829-2.416e-05i,0.0023471+0.0035017i,-0.011614-0.0080082i,0.00048137+0.0033014i,-1.6659e-05+0.0015754i,0.000203-0.0008304i,0.0044357-0.0024897i,-0.00078806-0.0018635i,0.0004787-0.0022012i,-0.004305+0.0051656i,-0.00075683+0.0026824i,-0.031434-0.012983i,-0.063281-0.038101i,-0.055806+0.013783i,-0.052726+0.0045011i,-0.068373+0.023538i,-0.025978+0.0043876i,-0.012098+0.0428i,-0.012912+0.015134i,-0.034801-0.023092i,-0.054519-0.032901i,-0.021009+0.023006i,-0.0040547+0.00050095i,0.016076+0.0088154i,0.0082517-0.0051886i,-0.0058659+0.0043321i,-0.016715+0.020753i,0.0026895+0.0047164i,0.0058205+0.0057711i,0.00084817+0.00044836i,0.013649-0.00089483i,0.0016664+0.0077528i,0.00049155-0.00010853i,-0.004615-0.0085544i,0.00017556+0.0042769i,0.0018253+0.0042222i,-0.0020784+0.010328i,-0.0018931+0.00057961i,0.0060169-0.0038173i,0.0095253+0.002631i,0.0029395-0.0010011i,-0.021899-0.022299i,0.0047596-0.010095i,0.00097855-0.006869i,0.0049302-0.00073088i,0.00055007+0.00059157i,0.0013559-0.0087781i,0.0033694+0.00075729i,-0.0012064+0.0076466i,0.0036129+0.0022626i,0.0036889-0.0045394i,-0.0035003-0.010983i,-0.0009769-0.0041946i,0.0016092-0.0069377i,0.0020798-0.0044429i,-0.0030389-0.015213i,-0.06476+0.0091384i,-0.028716+0.0068698i,-0.012045-0.009845i,-0.0053498-0.0011884i,-0.0054673+0.02628i,-0.0098587+0.010055i,-0.0096083+0.0088354i
-0.031855+0.016876i,-0.039878+0.045599i,-0.0014046+0.047736i,-0.0023766+0.01479i,0.0018746-0.0050365i,0.026133+0.017333i,-0.0013857+0.026713i,-0.017776+0.048555i,-0.006635+0.021533i,-0.0071111-0.0014123i,-0.0026034-0.0016386i,0.0038912+0.0047734i,0.0034947-0.00010952i,0.0051491+0.0030037i,0.003332+0.0015451i,0.0040319+0.0075199i,0.012424+0.01269i,0.00113+0.00022914i,-0.003298-0.0050968i,-0.0040818-0.0013243i,-0.0031474-0.00058863i,-0.0020295-0.0049334i,-0.0028252-0.0023827i,-0.0079487+0.0084162i,-0.0022698+0.0026866i,-0.00064581+0.0021518i,-0.001296+0.0015435i,-0.0011518-0.00088988i,-0.001921+0.0018138i,-0.001722-0.00046115i,0.0050645+0.0010193i,0.0012717-0.00099359i,0.00040908-0.00079327i,0.00011008+2.1217e-05i,0.0036642+0.0017221i,-0.014892-0.0048304i,0.0015664+0.0031704i,0.00064717+0.0011625i,-0.0004754-0.00085534i,0.0037544-0.0030829i,-0.0010317-0.0014783i,-0.00011639-0.0023289i,-0.0027006+0.0048221i,0.00019191+0.0037613i,-0.032101-0.0079491i,-0.063425-0.032378i,-0.054288+0.018711i,-0.048156+0.015824i,-0.057813+0.038236i,-0.027229+0.0080184i,-0.0045641+0.037932i,-0.010197+0.0090892i,-0.036457-0.02109i,-0.058505-0.024i,-0.014658+0.025191i,-0.0037137+0.0012116i,0.0099743-0.0018005i,0.0051465-0.0091819i,-0.0045664+0.0075774i,-0.0086263+0.023648i,0.0027576+0.0032328i,0.0075867+0.00020031i,0.0024081+0.0012796i,0.011588-0.0053539i,0.0062357+0.0068086i,0.00092196+0.0023488i,-0.008651-0.0023003i,0.0020815+0.0072604i,0.0032597+0.0055559i,0.0037377+0.010397i,-0.00079744+0.00080466i,0.0046335-0.0050377i,0.010207-0.0037041i,0.00068901-0.0020602i,-0.030325-0.013905i,0.00095991-0.0098162i,-0.0016699-0.0051849i,0.0052641-0.00031443i,0.0012671+0.00036673i,0.0013166-0.0096892i,0.0029981-0.0010232i,0.0021748+0.0057091i,0.00383+0.0013188i,0.0031245-0.0036645i,-0.0072937-0.0064614i,-0.0032432-0.0044088i,-0.00187-0.0062796i,-0.00017275-0.0054117i,-0.0080489-0.01071i,-0.060319+0.016437i,-0.022455+0.0093566i,-0.0128-0.0080417i,-0.0072216-0.001129i,-0.0003533+0.024052i,-0.008294+0.011916i,-0.0077091+0.0082483i
-0.029196+0.020486i,-0.031977+0.052095i,0.0061636+0.048885i,-0.0012668+0.01393i,-0.0031454-0.0046725i,0.028564+0.011974i,0.0027707+0.024758i,-0.011209+0.04981i,-0.0027998+0.021253i,-0.0073185+0.00068018i,-0.0017605+0.0006035i,0.006546+0.0025623i,0.0032932-0.0001664i,0.0048102+0.0014508i,0.0036914+0.0011584i,0.0063961+0.0056285i,0.015865+0.0069508i,0.00136-0.00060484i,-0.0042549-0.0043198i,-0.0038748+0.00084329i,-0.0026685+0.00014422i,-0.003238-0.0037421i,-0.0030029-0.001608i,-0.0045618+0.010018i,-0.0018277+0.0037681i,0.00050338+0.002658i,-0.00084087+0.0022015i,-0.0025739-0.0002499i,-0.001278+0.0022138i,-0.0015921+0.00014306i,0.004731-0.00087624i,0.0013523-0.0018919i,-1.91e-06-0.0011545i,7.8187e-05+0.00012663i,0.0033714-0.00018066i,-0.016617+0.00061033i,0.00234+0.0025576i,0.00081027+0.00078674i,-0.001374-0.00059731i,0.0033237-0.0035575i,-0.0010132-0.0013143i,-0.0006092-0.002319i,-0.0022027+0.0045409i,0.0013288+0.0043207i,-0.032698-0.0041746i,-0.069023-0.026737i,-0.052362+0.023988i,-0.042504+0.023748i,-0.043205+0.046454i,-0.027859+0.011883i,0.0026469+0.032103i,-0.0097465+0.0061678i,-0.038997-0.018505i,-0.060035-0.013641i,-0.0082482+0.025939i,-0.0035721+0.0019144i,0.003196-0.0020916i,0.00011874-0.010946i,-0.0013598+0.011075i,-0.0012551+0.0223i,0.0015399+0.0019715i,0.0055713-0.0049188i,0.0024172+0.00081546i,0.0081722-0.0094497i,0.0093648+0.003527i,0.0030806+0.0032646i,-0.0074921+0.0016299i,0.005517+0.0087858i,0.0061319+0.0060764i,0.0089496+0.0072586i,-4.56e-06+0.0013591i,0.0038902-0.0059978i,0.0070804-0.0084692i,-0.00018951-0.00015068i,-0.034909-0.0019751i,-0.001419-0.0089086i,-0.002788-0.0030354i,0.0056842-0.00141i,0.0014599-0.00021475i,-0.00040813-0.01159i,0.0018949-0.0018501i,0.0047003+0.004536i,0.0046673-0.00015205i,0.0039351-0.0039807i,-0.0087993-0.0032368i,-0.0056607-0.0019561i,-0.0049894-0.0040028i,-0.0018793-0.0058648i,-0.0098578-0.0063999i,-0.055964+0.022292i,-0.020676+0.0099664i,-0.01305-0.0084599i,-0.0088746+7.2282e-05i,0.00096191+0.022292i,-0.0072747+0.012898i,-0.0058338+0.0081752i
-0.025764+0.023984i,-0.021961+0.056708i,0.015017+0.048098i,0.00010866+0.013393i,-0.0057751-0.0011097i,0.030155+0.0065335i,0.0060188+0.021725i,-0.0037819+0.050574i,0.00045755+0.020037i,-0.0070118+0.0028696i,-0.00046602+0.00089923i,0.0068768-0.0010212i,0.0035295-0.00040877i,0.0048292+0.00023016i,0.0041562+0.00043167i,0.0070453+0.0032981i,0.016285+0.0010582i,0.00016207-0.001488i,-0.0059025-0.0027106i,-0.0024735+0.0021466i,-0.0019755+0.00031188i,-0.0037048-0.0027967i,-0.0032046-0.00079901i,-0.00059993+0.0099072i,-0.00028279+0.0044543i,0.0015066+0.0020923i,0.00010584+0.0023683i,-0.0029253+0.001208i,-0.00040394+0.0020722i,-0.0012693+0.00054789i,0.003835-0.0024272i,0.00039424-0.002321i,-0.00048201-0.0009908i,0.00010354+0.00011461i,0.0025783-0.0011349i,-0.015655+0.0062422i,0.0026831+0.0017108i,0.0010187+0.00039561i,-0.0019424+0.00035522i,0.0026423-0.0042782i,-0.0013952-0.0012729i,-0.0011146-0.0021716i,-0.0019634+0.004796i,0.0025537+0.0043961i,-0.034154+0.00067496i,-0.076887-0.01497i,-0.048115+0.029152i,-0.034077+0.030006i,-0.029498+0.050718i,-0.026694+0.018958i,0.0084137+0.024356i,-0.0062653+0.0034689i,-0.041796-0.013197i,-0.058471-0.0027513i,-0.0035962+0.025414i,-0.0036993+0.002156i,-0.00024366-0.001445i,-0.005812-0.010765i,0.004866+0.011035i,0.0025035+0.020021i,-0.00090135+0.001831i,0.0028465-0.0080271i,0.0036522+0.0025788i,0.0024717-0.011137i,0.010559-0.0019195i,0.0052046+0.002625i,-0.006431+0.0053751i,0.010968+0.008181i,0.010302+0.0036959i,0.011132+0.0017431i,0.0013284+0.001597i,0.0024263-0.0071687i,0.00047208-0.010879i,0.0011604+0.0012472i,-0.034582+0.011528i,-0.0032262-0.0080977i,-0.0024821-0.0006508i,0.0062427-0.0048004i,0.0017563+0.00022856i,-0.0050247-0.012379i,0.00083443-0.0016095i,0.0062631+0.0014168i,0.0043633-0.0017248i,0.0033837-0.0055997i,-0.0086684+0.0020152i,-0.0053195+0.0017885i,-0.0060738-0.00078205i,-0.0044574-0.0063769i,-0.010247-0.0026785i,-0.051839+0.02828i,-0.021454+0.014805i,-0.015221-0.010664i,-0.0075166+0.0025003i,0.0034676+0.022294i,-0.006832+0.015418i,-0.0030786+0.0062556i
-0.021579+0.026657i,-0.01165+0.058405i,0.023912+0.044405i,0.0016401+0.012934i,-0.0054118+0.0027205i,0.031303+0.00090159i,0.0081107+0.018643i,0.0039616+0.049619i,0.0028285+0.018803i,-0.006149+0.0050452i,-0.00013128+0.00079647i,0.0051163-0.0034652i,0.0034755-0.0013423i,0.0041047-0.00085597i,0.0040611-0.00056317i,0.0066161+0.001507i,0.014569-0.0037978i,-0.00076654-0.0012051i,-0.0058797-0.00040215i,-0.00097523+0.0024546i,-0.0013493+0.00022879i,-0.0039083-0.0021417i,-0.0029163+2.8901e-05i,0.0020841+0.0090018i,0.0016239+0.004046i,0.0018423+0.0015422i,0.00099828+0.0020628i,-0.0021875+0.002554i,0.00017119+0.0015316i,-0.0011323+0.00086512i,0.0023635-0.0033467i,-0.00064782-0.002082i,-0.00068824-0.00066683i,8.1151e-05+0.00013355i,0.0015439-0.0021412i,-0.012655+0.010907i,0.0028519+0.00063803i,0.001003-9.5597e-05i,-0.0014522+0.0016569i,0.0013889-0.0051896i,-0.0016639-0.00079293i,-0.0015954-0.0022423i,-0.0014171+0.0055689i,0.0038887+0.0038429i,-0.033629+0.0064832i,-0.078703+0.0015554i,-0.045504+0.032511i,-0.026222+0.032295i,-0.015213+0.051995i,-0.020992+0.026544i,0.010145+0.015659i,-0.0050671-0.0032765i,-0.040523-0.0066228i,-0.053183+0.0079489i,0.0024834+0.025226i,-0.0041866+0.0033558i,-0.0029538+0.00077189i,-0.010247-0.0073855i,0.0090075+0.0069616i,0.0062345+0.019009i,-0.00383+0.0039134i,-0.001449-0.01121i,0.0067742+0.00043738i,-0.0030801-0.0095198i,0.0077376-0.00632i,0.0069712+0.00028576i,-0.0044647+0.0075851i,0.015541+0.0022597i,0.01157-0.0024268i,0.010202-0.0036633i,0.0030965+0.0007302i,-0.00018354-0.0078939i,-0.0045862-0.0070471i,0.0027699+0.00028734i,-0.027802+0.02668i,-0.005014-0.0066721i,-0.00088539+0.00083858i,0.0031725-0.0071131i,0.00283-4.1375e-07i,-0.010142-0.0099714i,0.00078705-0.0005589i,0.0058325-0.0019878i,0.0032439-0.003048i,0.0017161-0.0059757i,-0.0054349+0.0059896i,-0.0028812+0.004085i,-0.0055805+0.0029388i,-0.0083033-0.0052305i,-0.0096107+0.00035496i,-0.04518+0.03543i,-0.014156+0.020925i,-0.020469-0.010496i,-0.0047845+0.0024148i,0.0058667+0.021411i,-0.0042505+0.018957i,-0.0025969+0.0024465i
