-0.027535-0.0052123i,-0.022597-0.0082476i,-0.012583-0.015278i,-0.036349-0.01107i,-0.02764-0.00034711i,-0.037642-0.0042503i,-0.069376-0.037983i,-0.035134-0.017097i,-0.026367+0.0025295i,0.0060769+0.0075354i,-0.0061528+0.0084944i,-0.0086327+0.01898i,0.0064059+0.0091793i,-0.0011276+0.003333i,0.0048293+0.0040567i,0.0052231+0.027256i,0.024343+0.021831i,0.0015066-5.9702e-06i,0.0013972-0.0044688i,0.0097146+1.1113e-05i,0.0054665-0.00044142i,0.0026847+0.0012178i,0.002082-0.00068306i,-0.025078+0.0006117i,-0.0040579-0.003974i,0.00021796+0.0032106i,0.005358-0.0041224i,-0.0014025-0.00084227i,0.00025028+0.0010154i,-0.0013522-0.0017875i,-0.0030631-0.00061837i,-0.0065316-0.00839i,-0.0049995-0.0079193i,-1.3633e-05+0.00010303i,0.00075347-0.0025553i,0.00099878+0.02225i,0.0031095-0.0036176i,0.0013379-0.0042443i,0.0038706-0.0017908i,-0.0032469-0.0020099i,0.00068474+0.00080289i,0.0080308-0.0014842i,0.0024795-0.0016131i,-0.0010544+0.0032076i,-0.015848+0.015645i,-0.025187+0.053371i,-0.0082907-0.036988i,-0.015477-0.018057i,-0.040208-0.015862i,-0.028301-0.011466i,0.031425-0.013789i,0.0044155-0.02938i,0.010437-0.039088i,-0.011267-0.0304i,0.024458-0.023481i,0.013655+0.0070314i,0.02745-0.035927i,-0.0012024-0.0040269i,0.005906-0.0087896i,-0.00035145-0.0052609i,-0.0018166-0.034443i,-0.013047+0.029325i,0.0083131-0.011643i,-0.0083699-0.0041356i,-0.0021595-0.0021278i,-0.0004015-0.015307i,-0.0076427+0.0059131i,0.0043411+0.0066603i,0.0002664+0.028553i,0.0022363+0.00042495i,-0.0070287-0.0039187i,-0.0042913-0.0059955i,-0.014751-0.0092663i,-0.0025665-0.0056386i,-0.032879+0.0078432i,-0.0055909-0.0075873i,-0.013026-0.0001984i,-0.010781-0.0053513i,0.0013612-0.0013398i,-0.013843+0.0025824i,-0.0022366+9.998e-05i,0.0052043+0.0059777i,0.0028286-0.0048928i,-0.014616-0.012958i,0.0069536+0.0082885i,-0.016323+0.006064i,0.0046705+0.00062795i,-0.019954-0.0025466i,-0.016425-0.0032447i,-0.018449-0.034565i,0.020166-0.011438i,-0.039818-0.022399i,-0.0090578+0.0059992i,0.018004+0.014324i,-0.020812+0.017718i,-0.0043882-0.0025022i
0.0043443+0.013985i,-0.0053676+0.015552i,-0.0037177+0.02867i,-0.00049492+0.0277i,-0.0018217+0.031295i,0.010697+0.024441i,-0.010959+0.02817i,-0.0081448+0.022982i,0.012421+0.0052229i,0.0013203-0.0060148i,0.0015675+7.5694e-05i,0.0060558-0.002191i,0.0010676-0.0014244i,0.00040174-0.0036472i,0.00018878-0.0016993i,0.0053489-0.0064631i,-0.0039679-0.0050585i,-0.0024647+0.0023164i,-9.4564e-05+0.00058094i,-0.000204+0.0023159i,-0.0029952+7.8743e-05i,-0.00024001+0.00034091i,0.0013521+0.00076394i,-0.0095664-0.0041555i,-0.0014238-0.00027524i,-0.0028365+0.00089039i,-0.0043413+0.00074062i,-0.0020227+0.00081459i,-0.0023973+0.00095628i,-0.00023729+6.5288e-05i,-0.003249+0.0010467i,0.00070113-0.0014075i,0.00049264-0.0022377i,-0.0005593-0.00069909i,-0.0017213+0.0013316i,-0.0021682-0.0037782i,-0.0033391+0.0017513i,0.00095312+0.00023199i,-0.0014382+0.0026165i,0.0015995+0.0062066i,-0.00096361+0.00024466i,-0.0026889-0.00017456i,-0.001722-0.0026927i,0.0032812+0.003255i,0.015631+0.0066674i,0.040844-0.052983i,-0.026479+0.0066784i,0.017451-0.025801i,-0.024162-0.031115i,-0.011282+0.0044569i,-0.029742+0.035268i,-0.019049+0.006183i,-0.01583+0.0085731i,-0.0020683-0.016495i,-0.040568-0.020143i,-0.0089861+0.0016601i,-0.028579+0.012087i,0.0015217+0.013875i,0.00054436+0.0054777i,-0.0047662-0.0048538i,-0.00043215+0.0013552i,-0.013233-0.0044648i,0.0043537+0.011979i,-0.001703+0.0078977i,-0.0022298+0.004727i,0.00024985+0.0068147i,0.0019317+0.0029804i,-0.0011849+0.01824i,0.0040049+0.014028i,0.0042627-0.0053972i,0.010677-0.004722i,0.0082278+0.0029879i,-0.0044796-0.0062527i,-0.00031633-0.0021952i,0.016672-0.03094i,0.008577+0.0027781i,0.0069973-0.0023474i,0.0021079-0.00097791i,0.0056217-0.0091591i,0.021544-0.0010041i,0.0053569-0.0037066i,0.0011088-0.0067659i,0.0044235-0.0037276i,0.017023+0.0021471i,0.0065467+0.0024789i,0.0033716-0.003288i,0.0093413+0.0086511i,-0.0007903+0.0045279i,0.0089841+0.0086835i,-0.013074-0.01166i,-0.0082767+0.0015817i,-0.00817-0.013837i,-0.0070684-0.0049006i,-0.038527+0.0074731i,-0.0061359+0.0031769i,-0.010399+0.00059295i
0.0066187+0.01275i,-0.003422+0.013737i,0.0033307+0.024326i,0.0039382+0.025533i,0.0028068+0.029608i,0.014302+0.022178i,-0.0069133+0.029553i,-0.0036273+0.023555i,0.011941+0.00088721i,-0.00066466-0.0058176i,0.0020139+0.00084605i,0.0051333-0.0045349i,0.00053515-0.0022367i,0.00046236-0.0033265i,-0.00039935-0.0015182i,0.0017067-0.0057502i,-0.0064779-0.00253i,-0.0014115+0.0029798i,0.0011709+0.0005381i,0.0012366+0.0020448i,-0.0020915+0.001792i,0.0003948+0.00090383i,0.001774+0.00012216i,-0.0093226-0.00085454i,-0.0011366+0.00039549i,-0.002324+0.0020116i,-0.0030304+0.0027774i,-0.0013524+0.0014059i,-0.0017724+0.0015653i,4.7101e-05+0.00032877i,-0.002529+0.0023923i,-0.00048603-0.00082965i,-0.0010883-0.0021484i,-0.0015136-0.00044668i,-0.0020174+0.0017207i,-0.0011509-0.0025674i,-0.0021762+0.0027122i,0.0002724-0.00020325i,-0.00083751+0.0032535i,0.0030975+0.0042934i,-0.00069456+0.00058469i,-0.0029912+0.00067748i,-0.0026811-0.0021327i,0.0041133+0.0022708i,0.01621+0.0019436i,0.021172-0.061814i,-0.020432+0.014406i,0.0073688-0.033436i,-0.034418-0.022545i,-0.0082239+0.0075176i,-0.018504+0.040227i,-0.015091+0.011441i,-0.0051401+0.0032317i,-0.0041957-0.015192i,-0.044558-0.0044151i,-0.0087945+0.0025612i,-0.023771+0.023987i,0.0053278+0.010122i,0.0012532+0.0038691i,-0.0095612-0.0061981i,-0.0028559+0.0044514i,-0.01308+0.0033251i,0.0094311+0.0085414i,0.00081368+0.010085i,-0.00044517+0.0051996i,0.0029522+0.0077462i,0.0033478+0.00305i,0.0062576+0.014285i,0.0085762+0.0078431i,-0.0020524-0.0073372i,0.0054203-0.0058892i,0.0077922+0.0013857i,-0.0068226+0.00044496i,-0.00074332+0.00024691i,0.0033688-0.030596i,0.0097327+0.00038398i,0.0068928-0.0049322i,0.0038215-0.0020859i,0.0004622-0.0064918i,0.01946-0.010199i,0.0023521-0.0049603i,-0.0023648-0.0055239i,0.00068343-0.0030478i,0.014433-0.0039786i,0.0073721+0.0012501i,0.0026224-0.0022058i,0.011674+0.0051699i,0.00061433+0.0050752i,0.010067+0.0047601i,-0.017908-0.0096035i,-0.0046667-0.012491i,-0.0075051-0.011956i,-0.0071995-0.0035117i,-0.032374+0.02056i,-0.0041917+0.0043452i,-0.0085052+0.0023856i
0.0096039+0.010999i,-0.0020559+0.012723i,0.0068381+0.01863i,0.0073876+0.023025i,0.0081599+0.028018i,0.017807+0.019141i,-0.0017057+0.030247i,0.0011156+0.022991i,0.0098503-0.0020479i,-0.0023881-0.0048i,0.0032668+0.00073666i,0.001558-0.0055176i,-0.00020759-0.0023985i,-0.00018115-0.0032907i,-0.00074292-0.0012539i,-0.0011852-0.0034036i,-0.0070881+0.00092663i,-5.0952e-05+0.003297i,0.001732-0.00069477i,0.0026012+0.00077592i,-0.00057773+0.0023657i,0.0014359+0.0005639i,0.0018314-0.00065592i,-0.008781+0.0011779i,-0.00076744+0.0008598i,-0.0008976+0.0031247i,-0.00091731+0.0033008i,-0.0003701+0.0017743i,-0.00092455+0.0019683i,0.00014032+0.00014657i,-0.0013086+0.0031765i,-0.00087-2.9969e-05i,-0.0019841-0.00088852i,-0.0019998+0.00036951i,-0.0012752+0.0026964i,7.5258e-05-0.0027617i,-0.0011714+0.0029088i,-0.00021069-0.00026215i,0.0010663+0.0031617i,0.0034907+0.0028442i,-0.0003416+0.00089154i,-0.0019275+0.002111i,-0.0034475-0.0013972i,0.0042286+0.00027754i,0.015274-0.0021028i,0.00043526-0.060765i,-0.010356+0.017506i,-0.0041583-0.034981i,-0.036677-0.013624i,-0.0025543+0.008322i,-0.0046883+0.040283i,-0.0044363+0.012324i,-0.0046457-0.0038874i,-0.0055818-0.014112i,-0.041578+0.0093873i,-0.0079447+0.0044986i,-0.011224+0.03116i,0.0066637+0.0063203i,-0.00046217+0.0018551i,-0.016963-0.0021074i,-0.0018348+0.0059317i,-0.0088045+0.0080341i,0.010807+0.0025435i,0.0044239+0.010065i,-0.00047881+0.00568i,0.0049273+0.0058589i,0.0048928+0.00097818i,0.0080475+0.0084212i,0.0077241+0.0026543i,-0.0070673-0.0027305i,0.003505-0.0051584i,0.0089414+7.9495e-06i,-0.0025017+0.0073492i,0.0016675+0.001399i,-0.0058496-0.025977i,0.010301-0.0040275i,0.004197-0.0068967i,0.0025025-0.0039644i,3.9276e-05-0.004702i,0.011967-0.016647i,-0.00027327-0.0019953i,-0.0042615-0.0029235i,-0.00023567-2.7428e-05i,0.009876-0.0071123i,0.010058-0.002576i,0.0032117-0.0034628i,0.014-0.00044721i,0.0039799+0.0041118i,0.0096923+0.001086i,-0.020864-0.0026545i,-0.015217-0.019883i,-0.006516-0.013832i,-0.0055725-0.0040535i,-0.021616+0.02627i,-0.0045019-0.00017061i,-0.0068411-0.001107i
0.012257+0.0077178i,0.00022725+0.012537i,0.0077767+0.013259i,0.01057+0.02085i,0.012973+0.024248i,0.020816+0.015083i,0.0043355+0.029697i,0.0056359+0.021077i,0.0078823-0.0030912i,-0.0035678-0.0032869i,0.0040976-0.00087635i,-0.00088774-0.0038271i,-0.001028-0.0024236i,-0.0012114-0.0026867i,-0.0012398-0.0010499i,-0.0016345-0.00011534i,-0.0053977+0.0041051i,0.0011879+0.0027532i,0.0013327-0.0012319i,0.0025505-0.0010851i,0.0005801+0.0020989i,0.0020483-0.00033878i,0.0015883-0.0015203i,-0.0081+0.0034918i,-0.00013241+0.00085635i,0.001125+0.0022871i,0.00073957+0.0026114i,0.0006522+0.0013892i,0.00020604+0.0022319i,0.00023703+0.00037799i,1.0171e-05+0.0032251i,-0.0010508+0.0004484i,-0.0023245+0.00027121i,-0.0018058+0.0015261i,-0.00016898+0.0030123i,0.00035678-0.0045087i,0.00030168+0.0032526i,-0.00051389+0.00011561i,0.0020049+0.0018446i,0.0037353+0.0017614i,0.00030532+0.00077157i,-0.0005017+0.002156i,-0.0038146-0.00030192i,0.0023821-0.0020697i,0.013769-0.0052545i,-0.015808-0.049574i,-0.0016405+0.01471i,-0.01432-0.0322i,-0.039494-0.0050768i,0.0025194+0.0057597i,0.0064909+0.035003i,0.0030902+0.0051937i,-0.0053264-0.0049455i,-0.0052883-0.011733i,-0.034726+0.019143i,-0.0067452+0.0063341i,0.0013561+0.029993i,0.0071974+0.0031839i,-0.0031046+0.0029843i,-0.019282+0.0075922i,-0.0014192+0.0081713i,-0.00432+0.0084664i,0.0082344-0.0026191i,0.0078886+0.0086645i,0.0010362+0.0073956i,0.0049825+0.0051577i,0.0053162-0.0022879i,0.0067122+0.0037351i,0.0046265+0.00033011i,-0.005704+0.001452i,0.0017926-0.0048781i,0.0086958-0.0024929i,0.0058297+0.0079251i,0.0027855+0.00010254i,-0.010703-0.02009i,0.0073708-0.0071445i,0.0016328-0.0075405i,0.0012397-0.0032321i,-0.00091471-0.004786i,0.0041751-0.017571i,0.002047-0.00090876i,-0.0046364-3.008e-05i,0.0021815+0.0015134i,0.0063258-0.0071389i,0.0077867-0.0076992i,0.0012878-0.0041446i,0.010835-0.0077503i,0.0043604+0.00083721i,0.0089784-0.0031027i,-0.016504+0.0049313i,-0.026558-0.017087i,-0.010454-0.017959i,-0.0062098-0.0059313i,-0.013291+0.026086i,-0.0092505-0.0001408i,-0.010185-0.00064784i
0.013217+0.0039858i,0.0014138+0.010813i,0.0065325+0.0094277i,0.01366+0.018076i,0.016277+0.019819i,0.022509+0.010577i,0.010184+0.027098i,0.0093008+0.018134i,0.0067647-0.0034523i,-0.0035691-0.0018131i,0.0031361-0.0022643i,-0.0015649-0.0021298i,-0.0018372-0.0022251i,-0.0013196-0.0018287i,-0.0015204-0.00054894i,-0.00038106+0.001926i,-0.0026661+0.0059269i,0.0017843+0.001974i,0.001196-0.0013575i,0.0014479-0.0022539i,0.0011092+0.0014348i,0.0019086-0.0012667i,0.00077093-0.0020417i,-0.0056781+0.0051448i,0.0001039+0.00046847i,0.0015475+0.00059472i,0.0018038+0.0014213i,0.0011582+0.00070919i,0.0013675+0.001765i,0.00089324+0.00037068i,0.0010026+0.0029029i,-0.00075002+0.00058522i,-0.0020818+0.0015228i,-0.001064+0.0022824i,0.00071866+0.0028898i,-0.0010149-0.0062368i,0.0014197+0.0025486i,-0.00022815+0.00077686i,0.0020689+0.00098536i,0.0036649+0.0009542i,0.00061602+0.00031584i,0.00018464+0.0017009i,-0.0035022+0.00076268i,-2.9208e-05-0.0010833i,0.011884-0.0073384i,-0.019164-0.035626i,0.0030915+0.009679i,-0.022933-0.02572i,-0.039935+0.0059165i,0.0049634+0.00059992i,0.014408+0.027315i,0.0050974-0.0018764i,-0.0048257-0.0067926i,-0.0039553-0.012218i,-0.027282+0.026437i,-0.0047016+0.0073133i,0.012886+0.024267i,0.0069675+0.00043146i,-0.0037484+0.0061533i,-0.01601+0.015334i,0.0014295+0.0095287i,-0.0003371+0.0089527i,0.0032875-0.0031271i,0.010499+0.0058253i,0.0037979+0.0077109i,0.0061179+0.0049037i,0.0042515-0.0047776i,0.0043+0.0036487i,0.0023821+0.0014149i,-0.0045054+0.0035586i,0.00066923-0.0037696i,0.0074297-0.0049621i,0.0098037+0.0026044i,0.0027242-0.0014754i,-0.013351-0.01739i,0.0038938-0.0086996i,-0.0012941-0.0073769i,0.0022172-0.0026477i,-0.0021884-0.0033692i,-0.0013778-0.015418i,0.0027405-0.0029233i,-0.0027266+0.0023954i,0.004547+0.00019027i,0.0046185-0.0075658i,0.0031625-0.010953i,0.00081711-0.0039375i,0.0042631-0.010392i,0.0027236-0.00071107i,0.0046701-0.0068231i,-0.0096014+0.0056321i,-0.035933-0.0065406i,-0.016685-0.017896i,-0.0078852-0.0072233i,-0.0078078+0.025381i,-0.012371+0.003618i,-0.010093+0.0030385i
0.013163+0.00065888i,0.0020632+0.010291i,0.0051626+0.0080639i,0.016176+0.014616i,0.017984+0.015247i,0.023639+0.0062764i,0.015445+0.02278i,0.011899+0.014741i,0.006364-0.004092i,-0.0036687-0.001294i,0.0013909-0.0027842i,-0.0017427-0.00063427i,-0.0028743-0.0016565i,-0.0013063-0.0017508i,-0.0017428-6.1372e-05i,0.0013368+0.0026224i,0.00055139+0.0062239i,0.0021596+0.0013275i,0.0007018-0.0017061i,0.00018432-0.0025832i,0.0017959+0.00090121i,0.0014864-0.0020292i,4.792e-05-0.0020333i,-0.003973+0.0050364i,0.00015362+0.00042304i,0.00096919-0.0004602i,0.001996-8.0203e-05i,0.0014265-0.00017657i,0.0020757+0.00071677i,0.0011932-0.00040923i,0.0019436+0.0024006i,-0.00050082+0.00063813i,-0.0010459+0.0024178i,2.6029e-05+0.0024663i,0.0014578+0.0025398i,-0.0033476-0.0071208i,0.0020617+0.0013821i,0.00041352+0.00070969i,0.0021363+0.00022688i,0.0035399+0.00053752i,0.00059548+0.00023633i,0.00057226+0.0014583i,-0.0029127+0.0013409i,-0.00063381+0.00073536i,0.01015-0.0084168i,-0.016914-0.029374i,0.0051975+0.0056285i,-0.026932-0.015525i,-0.034121+0.018495i,0.0022493-0.0042612i,0.018125+0.019335i,0.0050064-0.0076129i,-0.0049838-0.0075628i,-0.0053746-0.012479i,-0.019228+0.030682i,-0.0036332+0.0079677i,0.018417+0.011535i,0.0060173-0.0023886i,-0.0018635+0.0090143i,-0.0089604+0.021086i,0.0043176+0.0084859i,0.0041517+0.0063906i,0.0012986-0.00069574i,0.012516+0.0015112i,0.006395+0.0070394i,0.0073144+0.0035047i,-0.0004541-0.0073836i,0.0044331+0.0051331i,0.0030725+0.0030798i,-0.0017775+0.0066526i,0.0010788-0.0032706i,0.005828-0.0062522i,0.010246-0.0027604i,0.0022484-0.0031022i,-0.018611-0.014969i,0.00047978-0.0087481i,-0.0042037-0.0059241i,0.0010806-0.0038352i,-0.002357-0.0014801i,-0.0038627-0.01156i,0.0011228-0.0044421i,-0.0002838+0.0025497i,0.0046106-0.0034819i,0.0019776-0.0084597i,-0.003401-0.010851i,-0.0001747-0.0050447i,-0.0003219-0.0089011i,0.0022078-0.0019184i,-0.00038549-0.0062391i,-0.0063779+0.004667i,-0.032902+0.0095039i,-0.022367-0.014732i,-0.010052-0.0069485i,-0.0038407+0.024693i,-0.011104+0.0087272i,-0.0060574+0.0040005i
0.012472-0.0024331i,0.0033549+0.010278i,0.0046003+0.007666i,0.01779+0.01066i,0.018737+0.011475i,0.024138+0.0014937i,0.019282+0.01728i,0.013507+0.011336i,0.0060411-0.0048584i,-0.0040421-0.00026533i,7.9545e-05-0.0020408i,-0.00070737+0.0005838i,-0.0035814-0.00053549i,-0.0020056-0.0019899i,-0.0018842+0.00054026i,0.0026703+0.0023889i,0.0031756+0.0050496i,0.0023196+0.0007152i,0.00042262-0.0018362i,-0.00080639-0.002108i,0.0021769+5.1781e-05i,0.00069591-0.0026716i,-0.00051883-0.0018202i,-0.0030409+0.0055507i,0.00032762+7.8959e-05i,0.00023709-0.00080123i,0.0014948-0.0011438i,0.0010417-0.0011802i,0.0021337-0.00062984i,0.00081856-0.0012612i,0.0027488+0.0015048i,-3.1451e-06+0.001009i,0.00058715+0.0022837i,0.0010378+0.0021383i,0.0021626+0.0016375i,-0.0063406-0.0068879i,0.0022588+0.00037598i,0.00055627+0.00013896i,0.0019853-0.0006837i,0.003587+1.8304e-05i,0.000725+0.00011374i,0.0012994+0.0010581i,-0.0025198+0.0015769i,-5.5071e-05+0.0015793i,0.0091666-0.0098974i,-0.017251-0.028549i,0.0066061+0.0023792i,-0.0249-0.0067258i,-0.02326+0.026938i,-0.00024086-0.0048984i,0.020396+0.012728i,0.0026089-0.012436i,-0.0050954-0.0085345i,-0.0059909-0.010811i,-0.0112+0.033511i,-0.0008236+0.0079821i,0.013276+7.8428e-05i,0.0033309-0.0048622i,0.0012373+0.0098858i,-0.0010699+0.021824i,0.0057115+0.0064028i,0.0051807+0.002396i,0.00228+0.00041269i,0.012277-0.0026234i,0.010466+0.0045946i,0.0081205+0.0023545i,-0.0042858-0.0031541i,0.0065508+0.0051856i,0.0044726+0.0034442i,0.0023114+0.0065648i,0.00031386-0.0038746i,0.0040117-0.0077195i,0.0081464-0.009048i,-0.00047488-0.0034202i,-0.02392-0.0083045i,-0.002155-0.0077556i,-0.0058578-0.0028678i,0.00085196-0.0022759i,-0.0020232-0.00061459i,-0.0048124-0.011001i,-0.00096678-0.0049892i,0.00080266+0.00098125i,0.0019263-0.0048866i,-0.00016955-0.0079354i,-0.0072629-0.0065128i,-0.0027388-0.0051409i,-0.0037212-0.0070368i,0.00024362-0.0027443i,-0.0024014-0.0036968i,-0.0034394+0.0039838i,-0.025026+0.011445i,-0.022772-0.010103i,-0.011686-0.0060527i,0.00091022+0.022482i,-0.0091484+0.010707i,-0.0046615+0.0026232i
0.01109-0.005036i,0.0054949+0.010252i,0.0048222+0.0079504i,0.018479+0.0067998i,0.018903+0.0081618i,0.023329-0.0031345i,0.021629+0.011411i,0.014491+0.0081595i,0.0056556-0.0060552i,-0.0039609+0.00089937i,-1.9091e-05-0.00094634i,0.00042635+0.00034187i,-0.0038198+0.00088141i,-0.0032173-0.0012138i,-0.0016663+0.0013267i,0.0037319+0.0013057i,0.0047532+0.0032163i,0.0025528+0.00011782i,3.5648e-05-0.0019443i,-0.0011762-0.0012303i,0.0021006-0.00090134i,-0.00021326-0.002566i,-0.00091168-0.0015094i,-0.00094575+0.0059075i,0.00010414-0.00025076i,-0.00022936-0.00086407i,0.00049813-0.0019885i,8.6561e-05-0.0018112i,0.0014492-0.0018714i,8.6885e-05-0.0017322i,0.0029593+0.00033049i,0.00076785+0.00034975i,0.0011269+0.0013082i,0.0016298+0.0014567i,0.0022891+0.00068135i,-0.0090959-0.0049477i,0.0018902-0.00073655i,0.00027735-9.0881e-05i,0.0012801-0.001739i,0.0037218-0.00047528i,0.00084404-0.00010928i,0.001646+0.00041108i,-0.0023053+0.0017796i,0.00061868+0.0020252i,0.0075144-0.011887i,-0.021516-0.027139i,0.0061376-0.0015263i,-0.022412-0.00074745i,-0.011374+0.028661i,-0.0030257-0.0049796i,0.021802+0.0057761i,6.4786e-06-0.01457i,-0.0057617-0.008901i,-0.00527-0.0088717i,-0.001311+0.034257i,0.0015713+0.006712i,0.0072955-0.0015417i,0.0001197-0.0056054i,0.0054244+0.0099164i,0.0059278+0.019046i,0.0061172+0.0039331i,0.0042034-0.0012092i,0.002012+0.00052996i,0.0099422-0.0073585i,0.012441-0.00012435i,0.0089255+0.0005322i,-0.0039269-0.00024496i,0.0086692+0.0040962i,0.0063578+0.0031562i,0.0063008+0.004436i,-0.00064182-0.0036371i,0.0021396-0.0091116i,0.0027037-0.01222i,-0.0012179-0.0013543i,-0.025859+0.00079031i,-0.0037772-0.0066111i,-0.0055438+0.00037141i,0.0013297-0.0017045i,-0.0018864-3.3604e-05i,-0.0077922-0.010522i,-0.0032789-0.0043994i,0.0011885+0.00036423i,-0.00016636-0.0048001i,-0.001232-0.0074306i,-0.0086588-0.0029975i,-0.0050691-0.0030479i,-0.0062633-0.0043149i,-0.00075603-0.0027562i,-0.0026224-0.0019445i,-0.00092264+0.0027283i,-0.023138+0.012718i,-0.021948-0.0078781i,-0.013528-0.0044287i,0.002634+0.02084i,-0.0079481+0.01139i,-0.0038898+0.0017271i
0.0094453-0.0068855i,0.0084308+0.0089857i,0.0065418+0.0079863i,0.018391+0.0031783i,0.019264+0.0054808i,0.021633-0.007145i,0.022205+0.004795i,0.015043+0.0049736i,0.0046789-0.0072981i,-0.0036037+0.0018236i,0.00018725-0.00072345i,0.00044091-0.00064501i,-0.0034227+0.0023598i,-0.0034299+0.00011787i,-0.0010959+0.0018587i,0.0037502-0.00029504i,0.0051603+0.0010394i,0.0023821-0.00074536i,-0.00055721-0.0016915i,-0.00097724-0.00067392i,0.0018112-0.0018001i,-0.00073603-0.0022411i,-0.0011008-0.0011129i,0.0010929+0.0051938i,-0.00028522-0.00038554i,-0.00091271-0.00077944i,-0.0010383-0.0022172i,-0.0010079-0.0017773i,0.00019293-0.0026896i,-0.00082289-0.0017827i,0.0027007-0.00073033i,0.0004189-0.00012801i,0.0010766+0.00077141i,0.0018977+0.00067761i,0.0021237-9.8587e-05i,-0.010611-0.0018702i,0.00087712-0.0014911i,0.00020824-0.00018998i,0.00011801-0.0022234i,0.003744-0.0012179i,0.00079869-0.00028144i,0.0018213-0.00014892i,-0.0020648+0.0021717i,0.001356+0.0021676i,0.0048801-0.012964i,-0.026495-0.020973i,0.0048586-0.0044905i,-0.016301+0.004311i,-0.0012829+0.028402i,-0.0048535-0.0019449i,0.021534-0.0017012i,-0.00033498-0.017348i,-0.0055156-0.0082135i,-0.00291-0.0066025i,0.0073463+0.03108i,0.0024538+0.0044073i,0.0036824-0.0021428i,-0.0033921-0.005051i,0.0099497+0.0068925i,0.0096215+0.014599i,0.0047312+0.0022258i,0.0022348-0.0038074i,0.0032792+0.0023695i,0.0052295-0.01003i,0.01181-0.0060892i,0.0091273-0.0020252i,-0.0037185+0.0020767i,0.011202+0.0019454i,0.0090228+0.00064243i,0.0078493-0.00017815i,-0.0011947-0.0032931i,-0.00094736-0.009443i,-0.0042216-0.01185i,-0.0001243+9.6473e-05i,-0.024242+0.010042i,-0.0053105-0.0056824i,-0.0037442+0.002732i,0.0020289-0.0042113i,-0.0013821+0.0012293i,-0.011239-0.0078681i,-0.005331-0.0020231i,0.0011306-0.00085047i,-0.0019731-0.0039166i,-0.0031291-0.0069804i,-0.0083769+0.0019225i,-0.0052785-1.5573e-05i,-0.0078236-0.00084467i,-0.0024502-0.0032729i,-0.0021478-0.0013936i,0.00081393+0.0016912i,-0.021595+0.018988i,-0.022435-0.0086094i,-0.012649-0.0022171i,0.0059153+0.01979i,-0.0071312+0.013743i,-0.0026346-0.00027403i
0.0079884-0.008217i,0.010836+0.0065755i,0.0085027+0.00646i,0.017667-0.00019748i,0.019555+0.0026943i,0.019606-0.010376i,0.020712-0.0010613i,0.014958+0.0019513i,0.0035127-0.0082293i,-0.0032192+0.0027549i,5.7638e-05-0.00069685i,-0.00041243-0.0008354i,-0.002532+0.0033945i,-0.0031697+0.0012918i,-0.00055675+0.0021155i,0.0026511-0.0012889i,0.0046216-0.00071199i,0.0020472-0.0012924i,-0.0006744-0.0013877i,-0.00062065-0.00045517i,0.0013473-0.0025092i,-0.0010549-0.0020035i,-0.0010441-0.00082498i,0.0024593+0.0043575i,-0.00062723-0.0004143i,-0.0014451-0.00018443i,-0.0024597-0.001532i,-0.001787-0.0011639i,-0.0013753-0.0027241i,-0.0018197-0.0013766i,0.0021119-0.0015131i,0.00011495-1.1514e-05i,0.0012426+0.00037934i,0.0019292-0.00010665i,0.001687-0.00069905i,-0.010893+0.0014499i,-0.00015215-0.0015684i,-7.3862e-05-0.00053107i,-0.0011299-0.0019643i,0.0034687-0.0021879i,0.00085865-0.0003667i,0.0018971-0.00089672i,-0.0017707+0.0026283i,0.0021001+0.0019856i,0.0025783-0.013033i,-0.026232-0.012714i,0.0018452-0.0062035i,-0.010053+0.0044649i,0.0089372+0.025691i,-0.0037286+0.0021303i,0.018372-0.008083i,-0.0033157-0.022286i,-0.0037467-0.0085051i,0.0014386-0.0054967i,0.014689+0.025403i,0.0021981+0.0030655i,0.00053708-0.0014386i,-0.0054786-0.0025992i,0.011564+0.0013516i,0.012151+0.011137i,0.0026455+0.0026545i,-0.00088692-0.0059148i,0.0065922+0.0006463i,0.00025374-0.0096483i,0.0076661-0.0099744i,0.0083904-0.0049388i,-0.0034856+0.0038329i,0.012217-0.0031205i,0.0085909-0.0044781i,0.006473-0.0046498i,-0.0018252-0.0030012i,-0.0040001-0.008538i,-0.0088301-0.0068369i,0.0012182-0.0006483i,-0.018638+0.019596i,-0.0068368-0.0041268i,-0.0013227+0.0035668i,-0.0010296-0.0052709i,-7.0303e-05+0.0015066i,-0.013658-0.0036496i,-0.0045354+0.0012573i,4.9701e-05-0.0017409i,-0.003587-0.0025802i,-0.0048693-0.0051953i,-0.0053507+0.0047754i,-0.0037587+0.0021022i,-0.0073786+0.0034055i,-0.0050314-0.0024742i,-0.0025119-0.0013284i,0.0041189+0.00095215i,-0.011076+0.023949i,-0.026446-0.0071448i,-0.011235-0.0022797i,0.0080171+0.017479i,-0.0043595+0.015836i,-0.0034126-0.0034538i
