-0.0070032-0.039759i,-0.011296-0.044131i,0.002462-0.046743i,-0.027603-0.028135i,-0.021088+0.013592i,-0.032469-0.033706i,-0.060849-0.062829i,-0.021624-0.073737i,-0.033882-0.0524i,0.0012073+0.015962i,-0.0068645+0.011073i,-0.015324+0.014024i,0.0017144+0.016687i,-0.0038467-0.0033633i,0.00029995+0.0065264i,0.00034585+0.039725i,0.019469+0.060678i,0.00088046-0.00016125i,-0.004561-0.0084769i,0.0087783+0.0047127i,0.0018372+0.00093184i,-0.00099906+0.0035168i,0.00013001-0.001438i,-0.036838-0.0095386i,-0.0020239-0.0073435i,1.6558e-05+0.0044908i,0.0051298+6.8932e-05i,0.00039519+0.00079295i,-0.00029033-0.001034i,0.00010741-0.0029744i,-0.0010125-0.0059491i,-0.0024428-0.0041297i,-0.00019456-0.0081676i,0.0030655-0.0014003i,0.0034601-0.0026294i,-0.0020368+0.034833i,0.0062947-0.0043787i,0.0036123-0.0023915i,0.00502+0.00014318i,-0.013628-0.0042037i,5.8319e-05+0.00039998i,0.010471-0.00039989i,0.0064435-0.00066288i,-0.003658+0.0041142i,0.0023194+0.0032715i,-0.0029281+0.0087106i,0.015373-0.087552i,-0.0065879-0.046759i,-0.023572-0.038371i,-0.019247-0.042144i,0.063995-0.016114i,0.02848-0.061521i,0.038831-0.044713i,0.030203-0.056116i,0.019403-0.015687i,0.0082006+0.0093963i,0.024661-0.032058i,-0.0073288-0.004651i,0.0023488-0.0023607i,-0.0046942-0.0063768i,0.0013481-0.032153i,-0.024606+0.031026i,0.007843-0.010034i,-0.01113-0.001661i,-0.0052685-0.0012804i,-0.0011253-0.013666i,-0.010036+0.0042826i,0.0035506+0.0080592i,-0.011077+0.031574i,0.0053898+0.0077934i,-0.0053416-0.0014945i,-0.0020297-0.0021475i,-0.0115-0.007228i,0.00045928-0.0038887i,-0.035386+0.0046306i,0.0025121-0.01255i,-0.0090673-0.0022331i,-0.0064298-0.0025557i,0.0062483+0.0015589i,-0.00943+0.0018949i,0.0010851+0.0010332i,0.0052591+0.0095052i,0.0045265+0.00018389i,-0.0092423-0.0093029i,0.0025335+0.0086494i,-0.019115+0.0063306i,0.0065827+0.0031272i,-0.028713-0.0088152i,-0.034469+0.0024875i,0.026067-0.077669i,0.01255-0.0099598i,-0.042684-0.027521i,-0.022454-0.0037226i,0.017984+0.012899i,-0.026412+0.012204i,-0.011536-0.0089956i
-0.033668+0.00026599i,-0.04913+0.016017i,-0.050047+0.04283i,-0.028788+0.0054653i,-0.006185+0.01491i,-0.010171+0.031853i,-0.03151+0.01714i,-0.059847+0.023581i,-0.021489+0.019988i,0.0015671-0.0094406i,0.0017555-0.0019872i,0.0034471+0.00023487i,0.0029439+0.0092033i,-0.0038388+0.0013386i,0.0016894+0.0023875i,0.0019085-0.0094276i,-0.012272-0.0096767i,-0.0044902+0.00038719i,0.0045505-0.0028698i,0.001407-0.0013315i,0.0023827-0.0043706i,0.0017956-0.0043099i,0.0022-0.0034985i,-0.011619-0.011154i,-0.0026421-0.00042467i,-0.0042416-0.00039916i,-0.003529-0.001116i,-0.0049332-0.0016721i,-0.0011067-0.0024541i,0.0012512-0.0018403i,-0.0042018+0.0044243i,0.0011747+0.0018246i,0.0024088+0.0015687i,0.0014835+0.00058856i,-0.0018568+0.0031975i,-0.0033744-0.008475i,-0.0031978+0.0012891i,0.0013007+8.9075e-05i,-0.0010597+0.0041918i,0.010063+0.0071501i,0.0014047-0.0027509i,0.00064392-0.00035671i,-0.0042454-0.0048671i,0.0024738+0.0038959i,-0.018517-0.017519i,0.0005448-0.064496i,-0.089113-0.010661i,-0.021983-0.020576i,-0.045569-0.040252i,-0.043959-0.0078215i,-0.094094+0.011929i,-0.062402-0.0002095i,-0.036736-0.028i,-0.029391-0.055491i,-0.034016-0.025624i,-0.00022426+0.0020536i,-0.025292+0.013427i,0.0037508+0.016272i,0.0042047+0.0075886i,-0.00011935-0.006881i,0.0083869+0.0048729i,-0.010626-0.0042383i,0.0023879+0.011075i,-0.001185+0.0075025i,-0.001006-0.0022308i,0.0054665+0.0022967i,0.0034276-0.00089601i,-0.0043026+0.020139i,-0.00029566+0.013067i,0.0014669-0.0038128i,0.010951-0.0073922i,0.0033855+0.0035874i,-0.0077543-0.007294i,-0.0021385-0.001411i,0.026927-0.033065i,0.0084311+0.008791i,0.0040795+0.0027949i,-0.0018649+0.0029564i,0.0031078-0.0038436i,0.020907+0.0023546i,0.0014759-0.0020911i,-0.0010657-0.006931i,0.0013666-0.0025589i,0.01122+0.0050946i,0.005401+0.00064645i,0.0030894-0.005826i,0.0034221+0.0073679i,0.0039966+0.003151i,0.017422+0.0015525i,-0.066107-0.044728i,-0.010484+0.010694i,-0.0067942-0.0044947i,-0.0068856+0.0043371i,-0.036432+0.0099727i,-0.0054085+0.007808i,-0.015214+0.00401i
-0.031667+0.0041532i,-0.045691+0.020816i,-0.037376+0.045221i,-0.027815+0.011754i,-0.0046848+0.012359i,-0.0044764+0.032192i,-0.029451+0.022055i,-0.05144+0.031753i,-0.016982+0.016515i,-0.001209-0.008357i,0.0012415-0.0014295i,0.0031192-0.0016564i,0.0052442+0.0062303i,-0.0021065+0.0033236i,0.002032+0.0025725i,-0.0038633-0.0069251i,-0.018079-0.0024236i,-0.0038577+0.0020747i,0.0046057-0.0035151i,0.0014153-0.0019684i,0.00097979-0.0044934i,0.0017166-0.0031942i,0.0017631-0.0036313i,-0.013228-0.0063076i,-0.001999+4.3532e-05i,-0.00457+0.0010506i,-0.0030081+0.00021388i,-0.004311+0.00016479i,-0.0018535-0.0024069i,0.00068122-0.0017515i,-0.0022882+0.006072i,0.001327+0.0015562i,0.0024988+0.00022928i,0.00036003+0.00030387i,-0.0022212+0.0026846i,-0.0034731-0.007362i,-0.0028599+0.0016933i,-0.00011579-0.0006682i,-0.0011312+0.0049292i,0.010538+0.0010713i,0.00057233-0.0031031i,-0.00010132-0.00092403i,-0.0063529-0.0038611i,0.0035749+0.0032308i,-0.02041-0.019491i,-0.018701-0.070959i,-0.083503+0.0056826i,-0.028631-0.021889i,-0.057072-0.033121i,-0.041999+0.0020968i,-0.082983+0.032843i,-0.059923+0.013402i,-0.027904-0.0275i,-0.036125-0.051277i,-0.040715-0.011311i,-0.00048382+0.00010788i,-0.017708+0.023373i,0.0078822+0.011364i,0.006298+0.0029546i,-0.0054392-0.01217i,0.0048026+0.0036609i,-0.01105+0.0030639i,0.0068642+0.008379i,0.0014135+0.0091688i,-0.0018642-0.0017987i,0.0064254+0.0026187i,0.0032938-0.00086372i,0.0055188+0.016608i,0.0059254+0.0085934i,-0.0029818-0.0053312i,0.0032926-0.0084609i,0.0042457+0.0037969i,-0.010566-0.00030741i,-0.0021502+0.00112i,0.011125-0.035948i,0.011156+0.006363i,0.0066232+0.0010669i,0.0013601+0.0020169i,-3.7672e-05-0.0017641i,0.018266-0.0068538i,-0.00024968-0.0024624i,-0.0042777-0.0051012i,-0.0020575-0.0022542i,0.010262+0.00046045i,0.0050956+0.00073432i,0.0011668-0.003741i,0.0057949+0.0061058i,0.0036674+0.0027637i,0.015982-0.0041115i,-0.072217-0.035703i,-0.0031905-0.00025016i,-0.0069927-0.00361i,-0.0056281+0.0039289i,-0.030537+0.020738i,-0.00339+0.0087075i,-0.013679+0.0063608i
-0.028806+0.0068957i,-0.043036+0.025817i,-0.029053+0.043932i,-0.024666+0.015539i,-0.0021019+0.012416i,0.0011912+0.031332i,-0.025715+0.026812i,-0.042734+0.036361i,-0.017799+0.013975i,-0.0033015-0.0068355i,0.0018122-0.0010455i,-0.0007676-0.0025042i,0.0060585+0.0041657i,-0.0014426+0.0036931i,0.0027279+0.0027617i,-0.0073432-0.0013504i,-0.0183+0.0073108i,-0.0015442+0.0035156i,0.0045634-0.0056148i,0.0013666-0.0030755i,-0.00038582-0.004418i,0.0020296-0.0042486i,0.0012612-0.0041487i,-0.013893-0.0024768i,-0.0021694+0.00049146i,-0.003752+0.0031483i,-0.0023775+0.0006363i,-0.003059+0.0018841i,-0.002378-0.0020402i,-0.00022743-0.0026318i,0.00017684+0.0064066i,0.0015918+0.0011477i,0.0020456-0.00036521i,0.00051602-4.1673e-05i,-0.0016363+0.0045008i,-0.0035525-0.007057i,-0.0028968+0.0019978i,-0.0010255-0.00039396i,0.0032015+0.0043345i,0.0081589-0.0024688i,-0.00042506-0.0028819i,0.00017801-0.00013184i,-0.0087935-0.0021354i,0.0044409+0.0012521i,-0.024686-0.019737i,-0.041167-0.067432i,-0.073303+0.017036i,-0.035519-0.018771i,-0.063819-0.021383i,-0.035515+0.0087339i,-0.063508+0.046916i,-0.045382+0.025921i,-0.029391-0.032723i,-0.042147-0.048113i,-0.038983+0.0027711i,-0.0011597-0.00073613i,-0.0068278+0.026623i,0.0096766+0.0065989i,0.0033452-0.0014541i,-0.017973-0.012079i,0.0042135+0.0027537i,-0.0065068+0.0076694i,0.0088558+0.0036338i,0.0043768+0.0089829i,-0.0042656+0.00035822i,0.0068999-0.0011234i,0.0036233-0.0025327i,0.0092075+0.0094512i,0.0062727+0.0033017i,-0.007636-0.0019479i,0.00046523-0.0062256i,0.0065645+0.0028459i,-0.0071738+0.0084943i,-0.00016329+0.0023947i,-0.0014211-0.033039i,0.014099+0.0012398i,0.0061069-0.0018738i,0.0010122+0.00056776i,0.00071181+3.5871e-05i,0.011803-0.011489i,-0.003107+0.00081562i,-0.0060437-0.00228i,-0.003617+0.0015799i,0.0074128-0.0023791i,0.0082023-0.001449i,0.0020159-0.0035232i,0.0089929+0.0027107i,0.0059316+0.001667i,0.012527-0.0089372i,-0.076927-0.022554i,-0.0075008-0.010265i,-0.0054511-0.0039232i,-0.0048532+0.0025361i,-0.021592+0.025637i,-0.0021945+0.0039365i,-0.010659+0.003431i
-0.026074+0.0080735i,-0.039347+0.031588i,-0.023352+0.042639i,-0.020534+0.019795i,0.0019092+0.009728i,0.0063042+0.028938i,-0.020489+0.030753i,-0.035531+0.037694i,-0.019241+0.01586i,-0.0046211-0.0048621i,0.0017924-0.0021818i,-0.002861+0.001131i,0.0058299+0.0020976i,-0.0011111+0.0052137i,0.0032448+0.0021948i,-0.0061501+0.0051312i,-0.012648+0.015691i,0.00029834+0.0027208i,0.0019531-0.007036i,-2.6021e-05-0.0044054i,-0.0015774-0.0038636i,0.0013657-0.0049138i,0.00022509-0.0052113i,-0.013599+0.0017771i,-0.001779+0.00075419i,-0.001362+0.0033665i,-0.0020252+0.00084127i,-0.0010905+0.00205i,-0.0031199-0.00083988i,-0.0018219-0.0021522i,0.0023874+0.0057845i,0.0015747+0.00077142i,0.0013771-0.00085601i,0.00025108-1.5163e-05i,0.0011383+0.0049311i,-0.0048898-0.008051i,-0.0019947+0.0032606i,-0.0016473+0.00028202i,0.0037301+0.00032826i,0.0062536-0.0038282i,-0.00076881-0.0024984i,0.00094581-0.00058799i,-0.0097882+0.0014101i,0.0024246-0.0017631i,-0.030239-0.017668i,-0.059052-0.052239i,-0.063297+0.022116i,-0.040699-0.013214i,-0.067427-0.0090816i,-0.027737+0.011105i,-0.044997+0.050699i,-0.029656+0.025181i,-0.033592-0.031285i,-0.049076-0.04144i,-0.034037+0.012218i,-0.0026855-0.00083908i,0.0024216+0.025054i,0.0098628+0.0022642i,-0.0013301-0.0018488i,-0.027567-0.00085648i,0.0013703+0.0030851i,-0.0016974+0.0078268i,0.0074418-0.001162i,0.0078438+0.0078839i,-0.0036212+0.003662i,0.0035296-0.0024246i,0.0029949-0.0049858i,0.0082362+0.0025738i,0.0034759+0.00068538i,-0.0078646+0.0018308i,-0.0015739-0.0045784i,0.007437+0.00041578i,0.0022625+0.010628i,0.0013407+0.0015078i,-0.008938-0.026822i,0.012772-0.0039168i,0.0049965-0.0036877i,0.001719+0.0019055i,0.0012683-0.00033942i,0.0064132-0.01194i,-7.2949e-05+0.0034868i,-0.0064293+0.00094112i,-0.0010786+0.004299i,0.0055698-0.0025662i,0.0073087-0.0063083i,0.00019675-0.0037281i,0.0083598-0.0027938i,0.0058242-0.0017846i,0.0082834-0.012646i,-0.074684-0.0084918i,-0.017142-0.01309i,-0.0061168-0.007037i,-0.0047965+0.00081435i,-0.014248+0.026393i,-0.0063887+0.0029224i,-0.013397+0.0033407i
-0.024655+0.0091684i,-0.035161+0.036648i,-0.019973+0.042628i,-0.01463+0.022137i,0.0041533+0.0054267i,0.009982+0.026541i,-0.014156+0.032837i,-0.03036+0.038988i,-0.017496+0.020166i,-0.0047422-0.002932i,0.00047824-0.0025322i,-0.0014988+0.0042042i,0.005132+0.00078318i,0.001306+0.0065152i,0.0039322+0.0017003i,-0.0019298+0.0084798i,-0.0043385+0.019877i,0.00091485+0.0016881i,-6.2682e-05-0.0066063i,-0.0021406-0.0044104i,-0.0026157-0.0033127i,0.00024231-0.0051637i,-0.0020447-0.005153i,-0.010543+0.0052082i,-0.0020985+0.00062826i,-0.00068673+0.0022176i,-0.0018386+0.0010942i,-8.8574e-05+0.0011962i,-0.0030782+0.00059676i,-0.0021322-0.00068316i,0.0039615+0.0043636i,0.001518-4.0109e-06i,0.00064683-0.0008246i,1.519e-05+0.00016823i,0.0024984+0.0034982i,-0.0077875-0.0078302i,-0.00083298+0.0038534i,-0.0015147+0.0015997i,0.0016006-0.0010586i,0.0042462-0.0042081i,-0.0011049-0.0024544i,0.00087027-0.0014404i,-0.0085847+0.0044366i,-0.00030326-0.00064618i,-0.034514-0.012301i,-0.064155-0.03222i,-0.056962+0.023716i,-0.04519-0.0062115i,-0.068726+0.0045389i,-0.023083+0.0085016i,-0.029146+0.049649i,-0.020445+0.021071i,-0.036398-0.029552i,-0.052661-0.034599i,-0.027652+0.020181i,-0.0036558-7.0437e-05i,0.012724+0.020191i,0.0091176-0.00044278i,-0.0046965+0.00061894i,-0.028281+0.012013i,0.0012708+0.004853i,0.0021278+0.0078722i,0.0031457-0.0023514i,0.010861+0.0048983i,-0.0018856+0.005592i,0.001414-0.0010922i,0.0011696-0.0066459i,0.0034759+0.0012178i,0.00090945+0.0019907i,-0.007551+0.0065161i,-0.002932-0.0020413i,0.0070638-0.0023507i,0.0072251+0.0063226i,0.0019186+0.00060339i,-0.01298-0.024229i,0.009768-0.0077944i,0.0032775-0.0052327i,0.0046325+0.0016271i,0.0012642-0.00032289i,0.0032367-0.010837i,0.0027116+0.0030381i,-0.0041453+0.0045813i,0.0022866+0.0040881i,0.0051608-0.0030584i,0.0031144-0.01072i,0.00011347-0.0028546i,0.0046075-0.0059215i,0.003659-0.0036102i,0.0021297-0.015021i,-0.069564-0.00042677i,-0.027851-0.007041i,-0.008758-0.0087729i,-0.0058965-0.00069633i,-0.0090078+0.026044i,-0.0095978+0.0055528i,-0.013845+0.0068851i
-0.023723+0.010597i,-0.030241+0.04175i,-0.016923+0.045223i,-0.0084196+0.021688i,0.0032871+0.00039123i,0.014051+0.024378i,-0.0074223+0.032777i,-0.025795+0.041145i,-0.013534+0.021899i,-0.0048497-0.0020327i,-0.0013667-0.0021169i,0.00096681+0.0056466i,0.0042362+0.00024344i,0.0038142+0.0053404i,0.0041458+0.00088853i,0.0023851+0.0089906i,0.0052825+0.019756i,0.0012316+0.001305i,-0.001829-0.0062011i,-0.0040766-0.0033347i,-0.0031957-0.0017794i,-0.00044911-0.0052999i,-0.0033211-0.0037654i,-0.0080991+0.0056876i,-0.0025894+0.0015571i,-0.00071183+0.0021468i,-0.0016117+0.001512i,0.00033612-1.9812e-05i,-0.0020407+0.0015254i,-0.0017897-4.4201e-05i,0.0052084+0.0027723i,0.0012515-0.00059935i,0.00030325-0.00067445i,-0.00011421+1.1334e-05i,0.0029174+0.0029132i,-0.010577-0.0059825i,0.00021555+0.0035208i,-0.00043821+0.0021536i,0.00049467-0.0010823i,0.0027394-0.0040417i,-0.0016855-0.0020522i,0.0002253-0.0017888i,-0.0063758+0.006495i,-0.00061954+0.001641i,-0.036792-0.0052675i,-0.060076-0.018596i,-0.053416+0.02648i,-0.046741+0.0045044i,-0.06513+0.020634i,-0.024708+0.0065163i,-0.017393+0.04494i,-0.013841+0.016624i,-0.038817-0.02548i,-0.056382-0.028045i,-0.019785+0.023637i,-0.0047991+0.001469i,0.016899+0.0076656i,0.0086517-0.0041918i,-0.0061892+0.004883i,-0.02136+0.02383i,0.0030108+0.0048862i,0.0064507+0.0055196i,0.0010829-0.00043531i,0.012462-0.00044796i,0.00047399+0.0071179i,0.0011033-6.6165e-05i,-0.0029589-0.0080359i,0.0014151+0.0041066i,0.0014898+0.0041507i,-0.0023849+0.011053i,-0.0017053+0.00039344i,0.0054838-0.0038891i,0.0090839+0.0018731i,0.0025712-0.00081071i,-0.020733-0.023127i,0.0052847-0.0094524i,0.00033138-0.0058642i,0.0043446-0.0010171i,0.0011032+2.9739e-05i,0.0020806-0.0091715i,0.0037715+0.0009872i,-0.00081904+0.005747i,0.003713+0.0016179i,0.0039548-0.0040698i,-0.003288-0.010745i,-0.00022544-0.0033371i,0.0011218-0.0057916i,0.0027403-0.005099i,-0.0049192-0.01381i,-0.067222+0.006755i,-0.027113+0.0068636i,-0.012654-0.0090117i,-0.0076787-0.00027591i,-0.0052325+0.02607i,-0.0086584+0.010426i,-0.0091894+0.0091827i
-0.022726+0.012537i,-0.023835+0.046759i,-0.011435+0.048925i,-0.0046307+0.018636i,-0.00037649-0.0018954i,0.0181+0.021161i,-0.0014133+0.031586i,-0.02104+0.044139i,-0.0096364+0.02338i,-0.0054676-0.00081208i,-0.0021394+0.00015118i,0.0040879+0.0059385i,0.0035792+0.00033205i,0.0049174+0.0030711i,0.0038895+0.00017568i,0.0061833+0.007681i,0.012996+0.015303i,0.0015498+0.0011143i,-0.0031564-0.0054751i,-0.0049553-0.0012172i,-0.002531-0.00049065i,-0.0017876-0.0056616i,-0.003817-0.0023927i,-0.0074281+0.007174i,-0.0021613+0.0026199i,-0.00032191+0.0026728i,-0.001335+0.0020157i,-0.00082662-0.0011381i,-0.001708+0.001314i,-0.0014537+0.00015495i,0.005723+0.00073904i,0.0011638-0.00079454i,0.00062087-0.0007316i,-0.0001616+0.00027701i,0.0039421+0.0011793i,-0.012655-0.0030015i,0.0012521+0.003394i,0.00036425+0.0017343i,-0.00016781-0.001137i,0.0016178-0.0037899i,-0.0019885-0.0014356i,-0.0001486-0.0017765i,-0.0046405+0.0067937i,0.00025346+0.0023683i,-0.036458+0.0011528i,-0.057295-0.013128i,-0.049984+0.031568i,-0.042871+0.014168i,-0.056082+0.034645i,-0.025914+0.0096423i,-0.0088902+0.040629i,-0.011153+0.011511i,-0.040455-0.021552i,-0.059009-0.01969i,-0.013297+0.025105i,-0.0036392+0.0023197i,0.010958-0.0028624i,0.0056526-0.0082088i,-0.0045915+0.0080426i,-0.010481+0.028218i,0.0034268+0.0034061i,0.0084293+0.00060658i,0.0020703+0.00040658i,0.01047-0.0042982i,0.0052146+0.0071501i,0.001329+0.0017392i,-0.0074557-0.0029771i,0.0029295+0.0062747i,0.0030141+0.0054701i,0.0036438+0.010897i,-0.00076324+0.00052038i,0.0043323-0.0051086i,0.0092226-0.0040439i,0.00075502-0.0016137i,-0.029606-0.015512i,0.0017763-0.0093326i,-0.0018668-0.0041465i,0.0045703-0.00025094i,0.0012023-0.00039585i,0.0018429-0.010085i,0.0033744-0.0010226i,0.0017168+0.0041302i,0.003664+0.0007204i,0.0034506-0.0038747i,-0.0071298-0.0066738i,-0.0020447-0.0037875i,-0.0018191-0.004666i,0.00067948-0.0064508i,-0.0093394-0.0095084i,-0.063325+0.014662i,-0.022143+0.009096i,-0.013213-0.0071398i,-0.0085339+0.0011241i,-2.4942e-05+0.024055i,-0.007342+0.011604i,-0.0066915+0.0079513i
-0.021349+0.014453i,-0.015861+0.050559i,-0.0038799+0.052399i,-0.0034671+0.017095i,-0.0042576-0.0014362i,0.021191+0.017287i,0.0040023+0.029369i,-0.014617+0.047317i,-0.0054943+0.023488i,-0.0055946+0.00096293i,-0.00092421+0.0018988i,0.0071989+0.0036109i,0.0036589+0.00043963i,0.0045062+0.0016871i,0.0039923-0.00020956i,0.0087534+0.0044992i,0.016684+0.0090237i,0.0020256-0.00010471i,-0.0044389-0.0047298i,-0.0045274+0.0010208i,-0.0017457+7.4696e-05i,-0.003214-0.004607i,-0.0038198-0.0014141i,-0.0046245+0.0088814i,-0.0012722+0.003614i,0.00085781+0.0027993i,-0.00076841+0.0024944i,-0.0026561-0.00083553i,-0.001675+0.0016746i,-0.0013008+0.00054676i,0.005225-0.0013725i,0.0011573-0.00156i,0.00022295-0.0010713i,-2.4299e-05+0.00047126i,0.0033007-0.00060041i,-0.0135+0.0012187i,0.0021714+0.0030486i,0.0007309+0.0014617i,-0.0012811-0.0010896i,0.001204-0.0032529i,-0.0018999-0.0011149i,-0.00043786-0.0019007i,-0.0035846+0.0072938i,0.0010114+0.0027682i,-0.035423+0.005894i,-0.059007-0.0082071i,-0.045384+0.036635i,-0.038374+0.021544i,-0.04336+0.042934i,-0.026405+0.013265i,-0.00072641+0.035482i,-0.0099617+0.0091706i,-0.04152-0.017087i,-0.0599-0.010003i,-0.0075971+0.02561i,-0.0027967+0.0027093i,0.0040354-0.0040873i,0.000913-0.0099873i,-0.0012093+0.01121i,-0.00021132+0.02687i,0.002749+0.0018176i,0.0068804-0.0045947i,0.0018653+0.00044814i,0.0074812-0.007718i,0.0089401+0.0040821i,0.0029052+0.0024558i,-0.0070854+0.00078224i,0.0055375+0.007137i,0.0055377+0.0061018i,0.0088579+0.0080865i,-0.00034714+0.0010976i,0.0036956-0.006068i,0.0057893-0.0080969i,2.5195e-05+0.00014223i,-0.034368-0.0036034i,-0.00035647-0.0087303i,-0.0025833-0.0022082i,0.0058179-0.0010817i,0.0010809-0.00032554i,-1.6548e-05-0.012301i,0.0020211-0.0017712i,0.0034576+0.0032171i,0.0042365-0.00069571i,0.0039595-0.0045401i,-0.0088675-0.0033748i,-0.0042296-0.0019864i,-0.0040712-0.0025972i,-0.0014983-0.0070285i,-0.010938-0.0050565i,-0.058723+0.020898i,-0.020934+0.010479i,-0.013017-0.0077469i,-0.0085249+0.0027414i,0.0015244+0.022364i,-0.0071384+0.012421i,-0.0051746+0.0071206i
-0.019582+0.016573i,-0.0062893+0.052541i,0.0061867+0.054148i,-0.0027502+0.016449i,-0.0060917+0.0017375i,0.023877+0.013312i,0.0083128+0.025787i,-0.0060342+0.049363i,-0.0016645+0.022883i,-0.0051237+0.0026962i,0.00036615+0.0017063i,0.0076265-0.0004556i,0.0042793+2.3633e-05i,0.0044562+0.00079045i,0.0041536-0.00097035i,0.008598+0.00072181i,0.017442+0.0026335i,0.00089139-0.0012581i,-0.0060363-0.002979i,-0.0030334+0.0023482i,-0.00083036-3.4343e-09i,-0.0038161-0.0036083i,-0.0037866-0.00033541i,-0.0013138+0.0091151i,0.00045419+0.0040808i,0.0018163+0.0020551i,0.00026105+0.0027082i,-0.0032855+0.00080088i,-0.00097308+0.0018082i,-0.00091302+0.00072119i,0.0039788-0.0029789i,0.00026285-0.0019972i,-0.00032656-0.00093537i,7.5274e-06+0.00030139i,0.0020945-0.0016546i,-0.012209+0.0056644i,0.0027541+0.0022457i,0.0011858+0.0010854i,-0.0019753-0.00020013i,0.00072882-0.003035i,-0.0023492-0.00093156i,-0.00090117-0.0020384i,-0.0024823+0.007954i,0.0021034+0.0028124i,-0.034426+0.011065i,-0.062882+0.0005977i,-0.039097+0.040232i,-0.031351+0.027044i,-0.030834+0.047988i,-0.02546+0.020174i,0.0063188+0.028161i,-0.0055576+0.0069859i,-0.041603-0.011866i,-0.057912+0.00039793i,-0.0023719+0.025973i,-0.0025958+0.0025127i,-2.3246e-05-0.0035097i,-0.0044869-0.0095828i,0.0047784+0.011047i,0.0060915+0.022484i,0.00066596+0.0011842i,0.0039386-0.0085293i,0.0029805+0.001866i,0.0028663-0.009465i,0.010181-0.0014164i,0.0046563+0.001847i,-0.0066711+0.004423i,0.0097433+0.0065035i,0.0095469+0.0041396i,0.011722+0.0029551i,0.00076128+0.0016168i,0.0017956-0.0070996i,-0.00035134-0.0090635i,0.0014764+0.0018042i,-0.034388+0.0096017i,-0.002389-0.0082068i,-0.0019474-0.00026915i,0.0061728-0.0053207i,0.001612+4.1992e-05i,-0.0054187-0.013314i,0.00096026-0.0015738i,0.0045786+0.0012596i,0.0038544-0.0016877i,0.0029545-0.0059557i,-0.0087504+0.0017093i,-0.0042255+0.00096234i,-0.0049626-5.9099e-05i,-0.0044016-0.0071436i,-0.010994-0.0012677i,-0.054865+0.026581i,-0.020181+0.016206i,-0.015179-0.010087i,-0.0056176+0.0042171i,0.0043423+0.021779i,-0.0068992+0.015169i,-0.0031297+0.0051939i
-0.017222+0.018239i,0.0030845+0.051707i,0.017067+0.052124i,-0.0016573+0.016891i,-0.0053143+0.0052995i,0.02631+0.0086474i,0.011161+0.021861i,0.0029378+0.048711i,0.0016563+0.021672i,-0.004213+0.0041632i,0.00075707+0.0014615i,0.0056316-0.0032691i,0.0042926-0.0013383i,0.0040445+9.7839e-06i,0.0037984-0.0017935i,0.0067264-0.001267i,0.016259-0.0023963i,2.8726e-05-0.00090754i,-0.0060804-0.00077336i,-0.0014245+0.0027062i,-0.00026003-0.00043804i,-0.0042675-0.0030284i,-0.0031727+0.00050604i,0.0014017+0.0085879i,0.0020805+0.0032981i,0.0022084+0.0014027i,0.0012842+0.0022641i,-0.0025323+0.0023265i,-0.00028504+0.0016066i,-0.00088821+0.00095137i,0.0022557-0.0036679i,-0.00064906-0.0018273i,-0.00056814-0.0006049i,-0.00020338+0.00017374i,0.0008281-0.0020985i,-0.0096172+0.008923i,0.0031141+0.0011232i,0.0012265+0.00049335i,-0.0018764+0.0011966i,0.0002337-0.0031102i,-0.0025923-0.00012502i,-0.001467-0.0021958i,-0.00091203+0.008793i,0.0032165+0.0022012i,-0.032292+0.016113i,-0.062704+0.013866i,-0.03475+0.042678i,-0.024429+0.029929i,-0.017255+0.050335i,-0.01975+0.028339i,0.0092503+0.019228i,-0.0032422+0.00025051i,-0.0389-0.0077228i,-0.052103+0.010611i,0.0043793+0.024449i,-0.0027281+0.0030281i,-0.0041005-0.0014591i,-0.0085965-0.0069048i,0.0087074+0.0071224i,0.010031+0.018366i,-0.0022863+0.0027153i,-0.00047364-0.011117i,0.0050834+0.00035563i,-0.0017844-0.0083393i,0.0077107-0.0053865i,0.0059537-0.00046547i,-0.0050549+0.0071827i,0.013315+0.0017586i,0.011142-0.0016569i,0.011076-0.0037318i,0.0027019+0.001175i,-0.00077324-0.0071955i,-0.0039476-0.0056569i,0.0036479+0.00056841i,-0.028074+0.024209i,-0.0047442-0.0067786i,-0.00057293+0.00080469i,0.0023216-0.0074075i,0.0021427-0.00019342i,-0.011207-0.010215i,0.00093547-0.00074363i,0.0046155-0.0011981i,0.0028552-0.0026339i,0.0012354-0.0061614i,-0.0060859+0.0056319i,-0.0026147+0.0028009i,-0.0043886+0.0033796i,-0.0081676-0.0059637i,-0.010068+0.0013985i,-0.049264+0.034489i,-0.011784+0.021248i,-0.020281-0.0095063i,-0.0023526+0.0025947i,0.0063994+0.020623i,-0.0040756+0.018487i,-0.0027627+0.00177i
