-0.00090825-0.041671i,1.88e-05-0.047078i,-0.0082882-0.048054i,-0.030739-0.023431i,-0.023179+0.01066i,-0.036882-0.033794i,-0.064383-0.058601i,-0.019096-0.071474i,-0.026729-0.050047i,-0.00050848+0.01613i,-0.011352+0.012429i,-0.014664+0.013019i,0.0030394+0.013798i,-0.0028688-0.0017819i,0.0020082+0.0060047i,6.9555e-05+0.033975i,0.017282+0.057792i,0.00094049-0.0006857i,-0.0043431-0.0096583i,0.0082673+0.0050678i,0.001486+0.0011599i,-0.001239+0.0030782i,-0.00013453-0.00055259i,-0.037082-0.010101i,-0.0029805-0.0077261i,-0.0011023+0.0046261i,0.0026299-0.0033849i,-0.00021839+0.00040087i,0.00074741-0.00078168i,9.2305e-05-0.0022068i,-0.001577-0.0055406i,-0.003473-0.0062858i,-0.0012004-0.0068091i,0.0034671-0.00017349i,0.0030365-0.0016191i,-0.0020148+0.040743i,0.0063714-0.0040903i,0.0033464-0.00058137i,0.0049176-0.00058097i,-0.012552-0.0036819i,-0.0010237-6.9341e-05i,0.010615+0.0027048i,0.0041842+0.0010292i,-0.0043542+0.0019402i,-0.00027594+0.0092979i,-0.0048922+0.016596i,0.024947-0.08227i,-0.0002709-0.05451i,-0.02376-0.042572i,-0.01981-0.03783i,0.062703-0.01712i,0.030546-0.058298i,0.03873-0.044199i,0.033593-0.053116i,0.01893-0.015912i,0.0073627+0.01187i,0.023146-0.034365i,-0.0084833-0.0046129i,0.0031025-0.0012705i,-0.002693-0.0051595i,0.0044504-0.031727i,-0.025928+0.030189i,0.0086542-0.010623i,-0.012919-0.0025716i,-0.0043109-0.0017603i,0.00023102-0.014388i,-0.010468+0.0050167i,0.0033647+0.0066583i,-0.014356+0.029765i,0.005314+0.0070945i,-0.0063988-0.0012478i,-0.0010764-0.0025315i,-0.011473-0.0069513i,0.0003407-0.0035348i,-0.040866+0.0033229i,0.0015761-0.012768i,-0.0094883-0.0028329i,-0.0066001-0.0030649i,0.0067343+0.0020814i,-0.0086999+0.0018285i,2.6796e-05+0.0016471i,0.0058952+0.0098138i,0.0050841+0.00075719i,-0.009774-0.0096015i,0.0023019+0.0085606i,-0.017863+0.005946i,0.0064566+0.0040462i,-0.028669-0.008833i,-0.036415-0.0021725i,0.028463-0.083818i,0.013785-0.0092559i,-0.043475-0.028778i,-0.024517-0.0065544i,0.017585+0.011893i,-0.027342+0.010648i,-0.01229-0.0097243i
-0.04227-0.0062194i,-0.05851+0.0036218i,-0.042522+0.04843i,-0.019003+0.0096868i,-0.0052942+0.019224i,-0.0050694+0.037864i,-0.027831+0.017074i,-0.06209+0.02361i,-0.021563+0.01698i,0.003956-0.009769i,0.0035233-0.0016857i,0.0031391+0.00016316i,0.0023547+0.0085231i,-0.0035653+0.0011978i,-0.00019183+0.0018508i,0.002311-0.0079386i,-0.014186-0.0094171i,-0.0040304+0.0005869i,0.0039519-0.0022926i,0.0010471+0.00019846i,0.0013833-0.0049008i,0.0021853-0.0040477i,0.0015572-0.002826i,-0.010923-0.011565i,-0.0031459-0.0017362i,-0.0040745+3.7986e-05i,-0.0029784-0.00056035i,-0.0043674-0.0015166i,-0.00090135-0.002381i,0.0014953-0.0013096i,-0.0041951+0.0041395i,0.0017722+0.0019219i,0.0016891+0.0016735i,0.0010937+0.00092853i,-0.0023434+0.002656i,-0.0036436-0.0097781i,-0.0035638+0.0011285i,0.00075564+0.0002918i,-0.00067946+0.0035157i,0.012084+0.0080086i,0.0012521-0.0013113i,0.0012794+0.00016129i,-0.0038507-0.0036541i,0.0012486+0.0055711i,-0.0095111-0.01743i,0.014908-0.077705i,-0.087153-0.023194i,-0.024535-0.021195i,-0.051068-0.040444i,-0.043328-0.0075105i,-0.091149+0.017712i,-0.062542-0.0030911i,-0.03851-0.026898i,-0.025757-0.056151i,-0.034599-0.024592i,-0.00037488+0.0037772i,-0.026193+0.010239i,0.0065622+0.017834i,0.0038606+0.0078915i,-0.0020632-0.0061958i,0.0083961+0.0057097i,-0.010412-0.0038932i,0.0027294+0.011544i,0.0004087+0.0068903i,-0.0013466-0.0015657i,0.0062646+0.0022137i,0.004329-0.0012513i,-0.0030533+0.020811i,-0.0004753+0.013705i,0.0017768-0.0049066i,0.011047-0.0083941i,0.0039781+0.0041712i,-0.0079237-0.008843i,-0.0015976-0.0014873i,0.026786-0.039298i,0.0090067+0.0087314i,0.0038939+0.0030944i,-0.0020106+0.0028572i,0.0038776-0.0035205i,0.020742+0.002403i,0.0016649-0.0017236i,-0.0011739-0.0087211i,0.00194-0.0030624i,0.011897+0.0067401i,0.005514+0.00078956i,0.0033499-0.0066648i,0.0052343+0.0083355i,0.0033842+0.0032303i,0.019641+0.0044356i,-0.067653-0.04225i,-0.010951+0.010835i,-0.0071536-0.0033421i,-0.0086843+0.0049213i,-0.037055+0.0079084i,-0.0054894+0.0076267i,-0.016525+0.0046239i
-0.041222-0.00010735i,-0.056585+0.010158i,-0.030472+0.049719i,-0.017456+0.011468i,-0.0016499+0.016781i,0.0019662+0.037432i,-0.025652+0.020906i,-0.054716+0.031697i,-0.016584+0.016103i,0.00033957-0.0098351i,0.0035835-0.001354i,0.0029516-0.0014244i,0.0045654+0.0060041i,-0.0020641+0.0029621i,-7.0296e-05+0.0024079i,-0.0025903-0.0060082i,-0.018733+9.4272e-05i,-0.0028415+0.0020555i,0.0043835-0.002795i,0.0015316-0.00045494i,8.1864e-05-0.0045864i,0.0015231-0.0035096i,0.0012081-0.0026792i,-0.012624-0.0071484i,-0.0030915-0.0010409i,-0.0041424+0.0016164i,-0.0024225+0.00060786i,-0.0039124+0.00015823i,-0.0016361-0.0022193i,0.0014861-0.0015237i,-0.0022857+0.0057469i,0.0016259+0.0015975i,0.0023846+0.0015182i,0.00035687+0.00061769i,-0.0028461+0.0025125i,-0.0036147-0.0082838i,-0.002373+0.0025523i,-2.6858e-05-0.00043627i,-0.00015297+0.0044253i,0.011818+0.0010539i,0.00091784-0.0018354i,0.00088442-0.00052195i,-0.0048783-0.0028233i,0.0027126+0.0053173i,-0.010832-0.020812i,-0.0081977-0.086786i,-0.083324-0.005492i,-0.030842-0.023627i,-0.061452-0.03147i,-0.040743+0.0014453i,-0.078124+0.037153i,-0.060123+0.011057i,-0.028976-0.025955i,-0.032374-0.052552i,-0.041063-0.0075259i,4.496e-05+0.0014676i,-0.020812+0.022339i,0.010752+0.011552i,0.0066792+0.0043385i,-0.0077456-0.010425i,0.0046341+0.0035913i,-0.010265+0.0018494i,0.007337+0.0089045i,0.0014881+0.0073465i,-0.0019947-0.0011255i,0.0070366+0.0027961i,0.004005-0.0018808i,0.0066406+0.016386i,0.0059587+0.0096885i,-0.004035-0.0057468i,0.0031462-0.0091719i,0.0050794+0.0038501i,-0.011339-0.00014922i,-0.0023757+0.00079705i,0.0068989-0.036043i,0.011632+0.0064835i,0.0065202+0.0014667i,0.0012117+0.0019836i,0.00070781-0.0017303i,0.018632-0.0076104i,0.00038691-0.002411i,-0.0048306-0.0071348i,-0.0016667-0.002672i,0.011015+0.0005417i,0.0054161+0.00067521i,0.0013477-0.004354i,0.0080119+0.0066332i,0.0037672+0.0029336i,0.017951-0.0027091i,-0.073765-0.032953i,-0.0023691-0.00080234i,-0.0066306-0.0021927i,-0.0068105+0.0050987i,-0.032007+0.020125i,-0.0035002+0.0088017i,-0.014282+0.0088745i
-0.038571+0.0050535i,-0.055336+0.016381i,-0.022325+0.048369i,-0.016607+0.013377i,0.0029367+0.015378i,0.0091103+0.035229i,-0.022178+0.024493i,-0.047305+0.037485i,-0.015864+0.014498i,-0.0025226-0.0083611i,0.0040273-0.002108i,-0.00058165-0.002177i,0.005539+0.0039414i,-0.0017243+0.0034934i,0.00064257+0.0030421i,-0.005877-0.0016441i,-0.016436+0.0091455i,-0.00068611+0.0028957i,0.0042631-0.0053716i,0.002084-0.0017639i,-0.00097655-0.0042583i,0.0014571-0.0039215i,0.0010085-0.0030393i,-0.013807-0.0034006i,-0.0035318+7.5411e-05i,-0.0028266+0.0035572i,-0.0017398+0.00079551i,-0.0028097+0.0014188i,-0.0023956-0.0020082i,0.00067398-0.0028113i,0.00021383+0.0057186i,0.0018171+0.0012693i,0.0027448+0.00021898i,0.00042863+0.00046438i,-0.0018676+0.0042532i,-0.0035439-0.0082482i,-0.0027804+0.0025975i,-0.00086176-0.00022105i,0.0035749+0.0035516i,0.0085672-0.0025447i,0.00045179-0.0017991i,0.0011939+0.00010304i,-0.0063616-0.0015113i,0.0041978+0.0032833i,-0.015047-0.02286i,-0.034128-0.084916i,-0.073628+0.0068005i,-0.038803-0.021152i,-0.066463-0.019982i,-0.034617+0.007508i,-0.058231+0.049455i,-0.046379+0.024324i,-0.02978-0.030449i,-0.038186-0.04956i,-0.010371+0.0012082i,-0.00023891+2.0487e-05i,-0.0089489+0.027677i,0.010907+0.005939i,0.0045014-0.0014111i,-0.019071-0.0088315i,0.0041521+0.0026473i,-0.0076079+0.0066145i,0.0094295+0.004257i,0.0041812+0.0081174i,-0.0043282+0.00080352i,0.0079069-0.0013845i,0.003654-0.003376i,0.0098169+0.0085151i,0.0072342+0.0047301i,-0.0084883-0.0011557i,6.6942e-05-0.0068457i,0.0072511+0.0026788i,-0.0084312+0.0092412i,-0.00031025+0.0026239i,-0.0030554-0.033066i,0.014682+0.0012497i,0.0054887-0.0014308i,0.001131+0.0013981i,0.00099071-0.00035435i,0.011392-0.01216i,-0.0026582+0.00050387i,-0.0072081-0.0039067i,-0.0036473+0.0014091i,0.0073923-0.0028378i,0.0081828-0.0013943i,0.0021149-0.004132i,0.011118+0.0023251i,0.0058282+0.0013822i,0.0147-0.0081506i,-0.077482-0.019465i,-0.0075007-0.011247i,-0.0040634-0.0033764i,-0.004878+0.0047491i,-0.023046+0.024834i,-0.0021496+0.0038246i,-0.010304+0.0039666i
-0.035312+0.0083115i,-0.053398+0.02431i,-0.015817+0.047183i,-0.013827+0.01651i,0.0075371+0.010581i,0.015244+0.031138i,-0.017543+0.027588i,-0.039975+0.041116i,-0.015937+0.016083i,-0.0045148-0.0067663i,0.0035963-0.0041783i,-0.0024348+0.00113i,0.0051918+0.0018981i,-0.0013971+0.005339i,0.0012506+0.0030762i,-0.0057252+0.003516i,-0.0095518+0.015831i,0.00085846+0.0018413i,0.0016247-0.0062529i,0.00096907-0.0035719i,-0.0019013-0.0036144i,0.0011084-0.0044767i,0.00033866-0.0039008i,-0.013982+0.00094309i,-0.0029383+0.00085099i,-0.00012253+0.0031315i,-0.0013602+0.00083405i,-0.0012144+0.0013568i,-0.0032918-0.00080808i,-0.00098904-0.0026664i,0.0018074+0.0047379i,0.0018062+0.00062652i,0.0017439-0.0009139i,0.0004968+0.00038001i,0.000549+0.0043539i,-0.0051895-0.0093286i,-0.0017684+0.0036977i,-0.0011256+0.00037117i,0.0036433-0.00013549i,0.0064548-0.0040833i,0.00036735-0.0019346i,0.0017799-0.00054615i,-0.0070408+0.0011553i,0.0026236-0.00033463i,-0.020624-0.022988i,-0.055514-0.070788i,-0.063726+0.011647i,-0.045559-0.015017i,-0.070702-0.0075928i,-0.027677+0.0093867i,-0.039733+0.051753i,-0.030859+0.024311i,-0.03269-0.028597i,-0.044707-0.043985i,-0.034749+0.0076971i,-0.0016171-0.00068593i,0.0014732+0.025388i,0.010393+0.00035334i,-0.00074216-0.0024092i,-0.025927+0.0023433i,0.0012357+0.0026312i,-0.003187+0.0073436i,0.0077785-0.0011196i,0.0079767+0.0071499i,-0.0038275+0.0043095i,0.0038486-0.0031065i,0.0027707-0.0058764i,0.0076144+0.001264i,0.0045724+0.0016091i,-0.0078077+0.0034306i,-0.0020606-0.0050543i,0.0078252+0.00039205i,0.0028781+0.012275i,0.0014527+0.0018249i,-0.0096983-0.02642i,0.013151-0.0039629i,0.0058145-0.0032797i,0.001791+0.0026327i,0.001134-0.00084033i,0.0056927-0.012259i,-3.8533e-05+0.00335i,-0.007969+0.00033383i,-0.00080079+0.0043939i,0.0052412-0.002835i,0.0073041-0.0061641i,0.00020074-0.0042948i,0.0098203-0.0039874i,0.005299-0.0015075i,0.010702-0.01244i,-0.074707-0.0060377i,-0.017599-0.014396i,-0.0051698-0.007579i,-0.0037307+0.0025078i,-0.01596+0.026329i,-0.0062658+0.0029264i,-0.013367+0.0032704i
-0.032995+0.010529i,-0.050215+0.031821i,-0.011284+0.046057i,-0.0092686+0.017992i,0.0092617+0.0045017i,0.019372+0.026656i,-0.012181+0.0292i,-0.033337+0.043851i,-0.013701+0.019141i,-0.0057942-0.0048699i,0.0014648-0.0049917i,-0.00098297+0.0039046i,0.0044997+0.00069972i,0.0011549+0.0067644i,0.0022893+0.0031405i,-0.0030483+0.0070793i,-0.0012464+0.01838i,0.0009846+0.00071125i,0.00020327-0.0057782i,-0.0010973-0.0040344i,-0.0029816-0.0031579i,8.651e-06-0.0046162i,-0.0012948-0.0041903i,-0.011297+0.0045328i,-0.0031822+0.00074307i,0.00013968+0.0015712i,-0.0012663+0.00093872i,-0.00042418+0.00074524i,-0.0033633+0.00068589i,-0.0015576-0.0014248i,0.0026823+0.003609i,0.00164-0.00023932i,0.00081071-0.00063603i,0.00050068+0.00023082i,0.0015316+0.0037041i,-0.0086035-0.0093528i,-0.00051022+0.0040122i,-0.00088824+0.0010507i,0.001534-0.0014421i,0.0047024-0.0040739i,4.8982e-05-0.0021717i,0.0019124-0.0013577i,-0.0085503+0.00076801i,-0.00045457+0.00071983i,-0.026047-0.019934i,-0.064239-0.051284i,-0.058536+0.012427i,-0.050555-0.0059348i,-0.071555+0.0073718i,-0.023554+0.0070969i,-0.024353+0.049527i,-0.021357+0.020644i,-0.034039-0.027106i,-0.049107-0.038438i,-0.029604+0.019074i,-0.0024972-0.00062868i,0.010843+0.020433i,0.0092271-0.0021426i,-0.0045829+0.0001779i,-0.02576+0.012819i,0.00077519+0.0044443i,0.00048144+0.0077289i,0.0029549-0.0020573i,0.011323+0.0042953i,-0.0016476+0.0064973i,0.0012893-0.0015918i,-0.00015621-0.0072467i,0.0021868+0.00086466i,0.0019206+0.0024422i,-0.0062727+0.0072948i,-0.0031986-0.0021481i,0.0073702-0.0023608i,0.0088442+0.0075449i,0.0021211+0.00051006i,-0.012296-0.022999i,0.0098329-0.0078898i,0.0041851-0.0056674i,0.0057442+0.0034457i,0.00065645-0.00048478i,0.0023946-0.011009i,0.0026838+0.0027216i,-0.0053831+0.0055411i,0.0024302+0.0045947i,0.0051711-0.0031082i,0.0033977-0.010534i,-0.00013261-0.003409i,0.0051418-0.0074956i,0.0033267-0.0033245i,0.0041803-0.016264i,-0.069206+0.0022799i,-0.029264-0.0084252i,-0.0076182-0.009146i,-0.0042477-0.00014378i,-0.010412+0.027i,-0.0093519+0.0054302i,-0.014115+0.007082i
-0.031608+0.012985i,-0.045458+0.039409i,-0.0075701+0.047352i,-0.0044614+0.017196i,0.0073912-0.0015173i,0.023199+0.022602i,-0.0066801+0.029014i,-0.027036+0.046198i,-0.0099607+0.019889i,-0.0066991-0.0035978i,-0.0014546-0.0042793i,0.001425+0.004893i,0.0038435+0.00031801i,0.0040689+0.0055147i,0.0030924+0.0025196i,0.00039352+0.008634i,0.0073196+0.016365i,0.00097014+0.00017968i,-0.001426-0.0058613i,-0.0030111-0.0032462i,-0.003435-0.001662i,-0.0006382-0.0048717i,-0.0024811-0.0033674i,-0.0092544+0.0055208i,-0.0037834+0.0023741i,-0.00043477+0.0012986i,-0.00064921+0.00044605i,-0.00026296-0.00019325i,-0.0022533+0.0018702i,-0.0015725-0.00084212i,0.0036561+0.0027677i,0.001254-0.00092834i,0.00084195-0.000445i,0.00031232-9.389e-06i,0.0024454+0.003229i,-0.012181-0.0074467i,0.00046129+0.0035607i,-8.8523e-05+0.001297i,-2.0179e-06-0.0013079i,0.0034307-0.0038575i,-0.00044686-0.0020589i,0.0016869-0.001958i,-0.005733+0.0041317i,-0.00084669+0.0032866i,-0.030086-0.014519i,-0.06306-0.036916i,-0.056565+0.014762i,-0.051773+0.005997i,-0.066459+0.024422i,-0.025682+0.0056183i,-0.013616+0.04418i,-0.014494+0.016106i,-0.036405-0.024077i,-0.054301-0.032416i,-0.020392+0.023263i,-0.0041882+0.00020065i,0.015641+0.0087058i,0.0085499-0.0053023i,-0.0059961+0.0042385i,-0.018716+0.023986i,0.0020614+0.0046665i,0.0043251+0.0054509i,0.0012319+0.00037418i,0.013145-0.0008423i,0.00052192+0.007923i,0.00074508-0.00016442i,-0.0040911-0.0079598i,0.00039347+0.0042616i,0.0019632+0.0042537i,-0.0022869+0.011832i,-0.0015728+0.00054457i,0.0057235-0.0039596i,0.0099668+0.0025397i,0.00268-0.0012571i,-0.021181-0.021862i,0.0053338-0.010088i,0.0011705-0.0067816i,0.0047976-0.0024913i,0.00063978+0.00051717i,0.0010961-0.0088243i,0.0036367+0.00081016i,-0.001299+0.0069916i,0.0042947+0.001878i,0.0037416-0.004049i,-0.0037638-0.010802i,-0.00057761-0.0038076i,0.0010797-0.0053038i,0.0022603-0.0047497i,-0.0040201-0.015611i,-0.066101+0.009732i,-0.029589+0.0069578i,-0.011711-0.0094734i,-0.0066741-0.00081429i,-0.0050373+0.027504i,-0.0087784+0.0098521i,-0.0091422+0.0093597i
-0.030031+0.016347i,-0.039231+0.04647i,-0.0011104+0.049219i,-0.0015028+0.014885i,0.0028834-0.0045529i,0.0269+0.017571i,-0.0017232+0.027887i,-0.020715+0.048476i,-0.007275+0.020467i,-0.0080043-0.0013648i,-0.0027499-0.0017754i,0.0041735+0.0046151i,0.0034729+0.000144i,0.0053284+0.0030244i,0.0033374+0.0018026i,0.0037825+0.008441i,0.012726+0.01099i,0.00085252-6.1808e-06i,-0.002888-0.0051814i,-0.004055-0.0013768i,-0.0030483-0.00060102i,-0.0020946-0.0050106i,-0.0030229-0.0023167i,-0.0082926+0.0076599i,-0.0029154+0.0035208i,-0.00046637+0.0019596i,-0.001281+0.0013799i,-0.001336-0.00088247i,-0.0016243+0.0018974i,-0.0017498-0.00052748i,0.0045353+0.0016741i,0.0012376-0.0010023i,0.00095347-0.00097769i,0.00024388+2.6067e-05i,0.0035031+0.0013525i,-0.015128-0.0041083i,0.0015897+0.0033903i,0.00066562+0.00098732i,-0.00078659-0.0010576i,0.0022441-0.0037206i,-0.00097645-0.0017006i,0.0010469-0.0024454i,-0.0041674+0.0051094i,0.00027484+0.0040079i,-0.031685-0.0097836i,-0.062767-0.031267i,-0.055222+0.019497i,-0.047178+0.016972i,-0.056011+0.038289i,-0.026756+0.0091525i,-0.0056632+0.040142i,-0.011502+0.010769i,-0.038498-0.020818i,-0.057796-0.023686i,-0.014043+0.025187i,-0.0038267+0.00084312i,0.0096749-0.0018865i,0.0051337-0.009469i,-0.0045424+0.0075224i,-0.0089405+0.027435i,0.0021151+0.0035512i,0.0062975+0.0011266i,0.0027434+0.0012652i,0.011329-0.0049726i,0.0063425+0.006803i,0.0010698+0.0021215i,-0.0082308-0.0025514i,0.0022831+0.0069657i,0.0033042+0.0052955i,0.0047197+0.0097095i,-0.00076768+0.00059717i,0.0042551-0.0050459i,0.011155-0.0039635i,0.00038368-0.0019126i,-0.030101-0.011923i,0.0015051-0.0099736i,-0.0015612-0.0054867i,0.0051198-0.001622i,0.001265+0.00026067i,0.0012628-0.0097154i,0.0032383-0.00090735i,0.0018767+0.0057209i,0.0040703+0.00076471i,0.00307-0.0033222i,-0.0074959-0.0064728i,-0.0029184-0.0042579i,-0.0015101-0.005348i,-0.00042196-0.0058091i,-0.0085697-0.010704i,-0.061443+0.017286i,-0.023693+0.0087803i,-0.01267-0.0076211i,-0.0084223+0.00014672i,0.00039092+0.024447i,-0.0075743+0.011655i,-0.0068835+0.0081851i
-0.027503+0.019466i,-0.031385+0.052833i,0.0073194+0.050225i,0.00028234+0.014234i,-0.001935-0.0044058i,0.029265+0.012045i,0.002742+0.02608i,-0.013942+0.050731i,-0.0042668+0.020803i,-0.0087251+0.0010595i,-0.0018232+0.00038726i,0.0066974+0.0021474i,0.003357+4.5622e-05i,0.0049863+0.0014577i,0.0038078+0.0014101i,0.0065327+0.0064972i,0.014974+0.0059262i,0.00089909-0.00066544i,-0.004004-0.0043878i,-0.0038773+0.0007141i,-0.0025218+8.3283e-05i,-0.0034737-0.0039127i,-0.0032368-0.0014747i,-0.005304+0.0094823i,-0.0018873+0.0048199i,0.00061032+0.0024005i,-0.00085114+0.0020897i,-0.0027314-0.00016141i,-0.0011443+0.0022813i,-0.0017018+0.00010081i,0.0046727-0.00046018i,0.0012519-0.0019021i,0.00022291-0.0015443i,0.00023059+0.00012275i,0.0030494-0.00049335i,-0.016531+0.0012434i,0.0025048+0.0028519i,0.0010065+0.00071046i,-0.0017794-0.0007363i,0.0020131-0.0035152i,-0.0010598-0.0014031i,0.00015479-0.0026295i,-0.0029536+0.0055356i,0.001223+0.0044175i,-0.033092-0.0057703i,-0.067974-0.025719i,-0.053364+0.024997i,-0.041841+0.02505i,-0.042079+0.045887i,-0.02712+0.012999i,0.0021789+0.034641i,-0.010497+0.0082927i,-0.040677-0.016831i,-0.059283-0.014029i,-0.0085056+0.025195i,-0.0037264+0.0015025i,0.002982-0.0019912i,-0.00027027-0.011334i,-0.0012539+0.010809i,0.00091401+0.026538i,0.0011239+0.0025408i,0.0053511-0.003798i,0.002735+0.00071579i,0.0082847-0.0093701i,0.0093868+0.003597i,0.003165+0.0029358i,-0.0074364+0.0015288i,0.0055846+0.0081051i,0.0059335+0.0059694i,0.0097255+0.0062316i,-0.00012705+0.0011194i,0.0035555-0.0059555i,0.007388-0.0028319i,-0.00013322+0.00013188i,-0.032089+0.00043669i,-0.0012651-0.0092153i,-0.0026735-0.0033025i,0.0055717-0.0023621i,0.0013178-0.00013519i,-0.00050119-0.011755i,0.0022243-0.0018806i,0.0045386+0.0047101i,0.0045415-0.000336i,0.0040224-0.0038775i,-0.0088966-0.0030846i,-0.0052912-0.0017158i,-0.0038118-0.0037716i,-0.0024307-0.006082i,-0.010515-0.0062585i,-0.056624+0.023269i,-0.022364+0.010171i,-0.012665-0.0074744i,-0.008983+0.001777i,0.0019172+0.023112i,-0.007027+0.011907i,-0.0052627+0.0077814i
-0.024382+0.022566i,-0.021268+0.057217i,0.016709+0.047712i,0.0011344+0.01405i,-0.0046607-0.0012045i,0.030842+0.0065397i,0.0064442+0.022943i,-0.0060209+0.052088i,-0.0010433+0.020548i,-0.0084648+0.003558i,-0.00069044+0.0008254i,0.0065715-0.0013835i,0.0036834-0.00023438i,0.0050312+6.121e-05i,0.0043333+0.00060135i,0.0076203+0.0039367i,0.014978+0.00073341i,-0.00039723-0.0013219i,-0.0057126-0.0028923i,-0.0027366+0.0019953i,-0.0017967+0.00024698i,-0.0040449-0.0027847i,-0.0033929-0.00059659i,-0.00144+0.0099099i,6.0095e-05+0.0054496i,0.0014417+0.0017501i,-3.5079e-05+0.0023745i,-0.0029718+0.0013129i,-0.0001928+0.002234i,-0.0013334+0.00057842i,0.0038132-0.0021338i,0.00019811-0.0024551i,0.00020119-0.0014726i,0.00021539+2.7073e-05i,0.0020962-0.0015118i,-0.015072+0.0061586i,0.0030278+0.001749i,0.0012262+0.00031521i,-0.0022435+0.00053038i,0.0015922-0.003639i,-0.0014149-0.0012706i,-0.00056189-0.0025075i,-0.0020666+0.0058927i,0.0024217+0.004531i,-0.035097-0.00053433i,-0.075426-0.014424i,-0.049126+0.030422i,-0.033325+0.03119i,-0.028735+0.050196i,-0.02562+0.019822i,0.0083224+0.026915i,-0.0063535+0.0059908i,-0.042-0.010524i,-0.058104-0.0035144i,-0.0032385+0.025496i,-0.0035476+0.00049431i,-0.00040175-0.0010283i,-0.0063815-0.010582i,0.0047522+0.010922i,0.0074396+0.019916i,-0.0009849+0.0021663i,0.0033027-0.0071642i,0.0039831+0.0025553i,0.0024114-0.010942i,0.010527-0.0021125i,0.0050735+0.002322i,-0.0066642+0.0051222i,0.010634+0.0075932i,0.0098087+0.0037543i,0.011212+0.00093206i,0.0011068+0.0015381i,0.002123-0.0071948i,0.00032234-0.010742i,0.0012542+0.0013493i,-0.030229+0.011414i,-0.0033453-0.0083869i,-0.0024364-0.00089325i,0.005831-0.0050505i,0.0017427+0.00030273i,-0.0055867-0.012573i,0.0010216-0.0017953i,0.006111+0.001821i,0.0042289-0.0016072i,0.0032495-0.0054309i,-0.0087192+0.0020708i,-0.0050954+0.001656i,-0.0055256-0.0011146i,-0.0049853-0.0061063i,-0.010821-0.0025602i,-0.052401+0.029257i,-0.022038+0.015277i,-0.01442-0.010036i,-0.0063673+0.0033477i,0.004706+0.022977i,-0.007232+0.014675i,-0.0024959+0.0058545i
-0.020646+0.024847i,-0.010837+0.058557i,0.02444+0.043794i,0.0026062+0.013683i,-0.0044748+0.0023521i,0.031971+0.00078018i,0.0088415+0.019517i,0.0022912+0.051524i,0.0020743+0.020129i,-0.0075303+0.0060603i,-0.00034034+0.0008802i,0.0046771-0.0036417i,0.0036369-0.0012195i,0.0042318-0.0011083i,0.0042396-0.00041836i,0.0072556+0.0017475i,0.013383-0.0034692i,-0.0010863-0.00075016i,-0.0059773-0.000747i,-0.0014943+0.0024179i,-0.0011583+0.00018269i,-0.0042178-0.0020721i,-0.0029956+0.00027171i,0.0016764+0.0094214i,0.0024182+0.004822i,0.0017042+0.0012829i,0.00079418+0.0021098i,-0.0022826+0.0027337i,0.00036958+0.0016754i,-0.0011331+0.0008613i,0.0025067-0.0030247i,-0.00095335-0.0020512i,-0.0040233-0.0048676i,5.5387e-05-2.2867e-05i,0.00097983-0.0022546i,-0.012227+0.0098339i,0.0031937+0.00033669i,0.0011531-8.5466e-05i,-0.0015222+0.0018969i,0.00076825-0.004118i,-0.0016592-0.00079583i,-0.0012099-0.0026389i,-0.0010387+0.0065845i,0.003838+0.0039649i,-0.034742+0.0055147i,-0.077185+0.0018565i,-0.046441+0.034084i,-0.02553+0.033438i,-0.014861+0.051517i,-0.019645+0.027037i,0.010684+0.018718i,-0.0044021-0.00069751i,-0.038984-0.0047074i,-0.053198+0.0073406i,0.0033524+0.024937i,-0.0041633+0.0024508i,-0.0028968+0.0010066i,-0.010531-0.007146i,0.0087846+0.0068877i,0.0085604+0.017308i,-0.0037442+0.0039813i,-0.00043841-0.010469i,0.007088+0.00033062i,-0.0028383-0.0092996i,0.0074542-0.0062255i,0.0065451+0.00022848i,-0.0046738+0.0074079i,0.014994+0.0018009i,0.011323-0.0015419i,0.01034-0.0041296i,0.0028645+0.00065817i,-0.0004258-0.0079091i,-0.0045705-0.006854i,0.0029214+0.00036301i,-0.028099+0.021469i,-0.0054782-0.0077143i,-0.00096952+0.00071801i,0.0029274-0.0076333i,0.0026878-2.9674e-05i,-0.010504-0.0095182i,0.00066559-0.00093554i,0.0060397-0.0016323i,0.0032098-0.0027148i,0.0014202-0.005864i,-0.0055635+0.0058741i,-0.002942+0.0039025i,-0.0052704+0.0024406i,-0.0083633-0.0047688i,-0.010058+0.00020952i,-0.045826+0.036757i,-0.014429+0.021098i,-0.020868-0.010008i,-0.0035008+0.0027713i,0.0070547+0.021734i,-0.0045603+0.018585i,-0.0020916+0.0015702i
