-0.0090971-0.039652i,-0.013839-0.043058i,0.00065771-0.046216i,-0.02723-0.026783i,-0.020457+0.014265i,-0.033347-0.029883i,-0.060848-0.060156i,-0.023372-0.071688i,-0.039588-0.063223i,0.00061154+0.016041i,-0.006178+0.010087i,-0.013761+0.013671i,0.0018022+0.015111i,-0.0036522-0.0034595i,0.00070322+0.0064753i,0.0015537+0.037253i,0.017226+0.05583i,0.0010894-0.00046337i,-0.0051016-0.0078897i,0.0084644+0.0043117i,0.0014698+0.0010684i,-0.0012841+0.004132i,1.4804e-05-0.0012187i,-0.033956-0.010249i,-0.0025023-0.0068928i,-0.00013397+0.0045796i,0.0047936-0.00053158i,-3.8311e-05+0.00089587i,5.3417e-05-0.00096711i,-9.0848e-05-0.0027258i,-0.0016431-0.0052201i,-0.002093-0.0041799i,-0.00080779-0.0078651i,0.0032677-0.00099371i,0.0031251-0.0028724i,-0.0017439+0.03342i,0.0068229-0.0039744i,0.0036003-0.0023084i,0.0047507-8.2299e-05i,0.0099932+0.022361i,-6.8353e-05-9.3695e-05i,0.0083942-0.0024142i,0.005344-0.00027933i,-0.0033788+0.004107i,0.0029777+0.0013173i,-0.0029255+0.0064338i,0.0096916-0.087477i,-0.0079758-0.049706i,-0.026419-0.041162i,-0.021164-0.041411i,0.061667-0.019103i,0.025945-0.062314i,0.038278-0.04702i,0.028498-0.058219i,0.018008-0.015887i,0.0085575+0.01006i,0.023939-0.032096i,-0.0073501-0.0041442i,0.0027096-0.002965i,-0.0050067-0.0059307i,0.00011029-0.031746i,-0.023546+0.031378i,0.0073421-0.010699i,-0.010511-0.0015583i,-0.0050911-0.0010438i,-0.0006115-0.014182i,-0.0096632+0.0046005i,0.003573+0.007458i,-0.01043+0.031501i,0.0062808+0.0065833i,-0.0051415-0.0012794i,-0.0018882-0.0021626i,-0.011043-0.0078778i,0.00020973-0.0035608i,-0.029724-0.0037543i,0.0015682-0.012853i,-0.0087581-0.0022938i,-0.0062483-0.0022702i,0.0064285+0.001901i,-0.0093216+0.0017077i,0.0012465+0.00026259i,0.0058093+0.0087669i,0.0043932+0.00054989i,-0.009218-0.010278i,0.0030848+0.0085359i,-0.019583+0.0079431i,0.0063012+0.002339i,-0.029477-0.0072025i,-0.033904+0.0039335i,0.021936-0.070748i,0.012269-0.010553i,-0.04361-0.026768i,-0.023094-0.0031741i,0.018233+0.012198i,-0.025685+0.013096i,-0.011509-0.0069218i
-0.033294+0.0013401i,-0.046591+0.018469i,-0.046014+0.043558i,-0.027859+0.0063619i,-0.0042366+0.014225i,-0.0075342+0.031284i,-0.02816+0.019057i,-0.058641+0.022845i,-0.02186+0.023248i,0.00044864-0.0096217i,0.0016654-0.0015196i,0.0031926+0.00036099i,0.0026682+0.0082482i,-0.003914+0.0014424i,0.0013189+0.0023039i,0.0020119-0.0087504i,-0.012955-0.0078574i,-0.0041162+0.00068059i,0.0046341-0.0027446i,0.001256-0.0013382i,0.0022535-0.0042614i,0.0020396-0.0040779i,0.0018139-0.0033102i,-0.010235-0.011724i,-0.0022064-0.00017605i,-0.0036085-0.00022283i,-0.0033352-0.0010223i,-0.0046285-0.0011652i,-0.0011131-0.0020084i,0.0013193-0.0019176i,-0.0038422+0.0040266i,0.0011841+0.0017878i,0.0021114+0.0020466i,0.0020111+0.00071307i,-0.0013185+0.0028965i,-0.0041346-0.0074878i,-0.0027283+0.00021513i,0.0011197-3.2526e-05i,5.4625e-05+0.0047319i,0.011095+0.0068208i,-0.00047088-0.0031979i,0.00091866-2.4963e-06i,-0.0053252-0.0051318i,0.0020427+0.0037615i,-0.020383-0.017207i,-0.0033571-0.060559i,-0.087192-0.0068379i,-0.024648-0.019639i,-0.049765-0.039932i,-0.043249-0.0053679i,-0.092988+0.016938i,-0.062317+0.0026897i,-0.038291-0.027277i,-0.031694-0.055579i,-0.02805-0.026962i,-0.00029161+0.0022575i,-0.024679+0.013587i,0.0048286+0.016246i,0.0045411+0.0074872i,-0.00019583-0.0065866i,0.008679+0.0032551i,-0.010245-0.0056279i,0.0030548+0.012908i,-0.0011359+0.0075116i,-0.0010659-0.0022473i,0.0063687+0.0022458i,0.003279-0.0012932i,-0.0038201+0.019781i,-0.0018193+0.013415i,0.0013165-0.0043971i,0.010102-0.0073171i,0.0031835+0.0032821i,-0.0085754-0.0091563i,-0.0018435-0.0017753i,0.026919-0.032608i,0.0090135+0.0079476i,0.0037468+0.0023259i,-0.0017809+0.0028267i,0.0033769-0.0038392i,0.020476+0.0018056i,0.0015097-0.0019352i,-0.0010522-0.0060554i,0.0013086-0.0028971i,0.01141+0.0039818i,0.0052882-4.0175e-05i,0.0028744-0.0060747i,0.0030391+0.0064635i,0.0041488+0.0019967i,0.01712+0.0010101i,-0.070074-0.038803i,-0.010123+0.011008i,-0.0063871-0.00369i,-0.0047901+0.0050869i,-0.036328+0.010874i,-0.0052314+0.0074632i,-0.014059+0.0050449i
-0.031007+0.0052386i,-0.042783+0.023024i,-0.033501+0.044864i,-0.026809+0.012654i,-0.002858+0.011549i,-0.001678+0.031036i,-0.026285+0.023156i,-0.051767+0.03088i,-0.01635+0.019935i,-0.0029807-0.0075114i,0.0012798-0.0008181i,0.0029569-0.0011574i,0.0048285+0.0057283i,-0.0022203+0.0033289i,0.00164+0.0023599i,-0.0032625-0.00654i,-0.016448-0.00066798i,-0.0034753+0.002185i,0.0042806-0.0032407i,0.0013063-0.0020059i,0.0010694-0.0039392i,0.0017605-0.0031702i,0.0014517-0.0034234i,-0.012008-0.0071805i,-0.0018321+6.0377e-06i,-0.003832+0.00078289i,-0.0030231+0.00028312i,-0.0038529+0.00016659i,-0.0014734-0.0021884i,0.00067413-0.0019127i,-0.0021784+0.0055808i,0.0013298+0.0014845i,0.0023368+0.0013727i,0.00061698+0.00029856i,-0.0018217+0.0025946i,-0.0039011-0.0062684i,-0.0014815+0.001676i,-8.832e-05-0.0006966i,0.00016217+0.0054881i,0.011005+0.00045388i,-0.00084307-0.0044766i,0.0003484-0.00069261i,-0.0077449-0.0035794i,0.0028869+0.0035552i,-0.022408-0.019102i,-0.021685-0.067008i,-0.081608+0.0086685i,-0.031292-0.020706i,-0.061238-0.032298i,-0.041086+0.0041013i,-0.080241+0.036294i,-0.058633+0.015968i,-0.029252-0.026563i,-0.038521-0.051445i,-0.051547-0.0058415i,-0.0008566+0.00017366i,-0.016839+0.023381i,0.0085472+0.011217i,0.0062543+0.0024968i,-0.005379-0.011493i,0.0050049+0.0026589i,-0.011781+0.003245i,0.008486+0.009077i,0.0014567+0.0094197i,-0.0020143-0.0015297i,0.0074307+0.0027012i,0.0032388-0.00092494i,0.0058354+0.016201i,0.0058802+0.0095415i,-0.0033815-0.0057992i,0.0025468-0.0084925i,0.0038407+0.0033078i,-0.011962-0.001654i,-0.0018711+0.00080551i,0.016828-0.034283i,0.011272+0.0056172i,0.0068645+0.0018794i,0.0015642+0.0020955i,0.00015926-0.0018888i,0.017278-0.0071453i,-0.0005111-0.0024531i,-0.0038719-0.0042127i,-0.0022962-0.0023385i,0.010206-0.0007955i,0.0047708+0.00044863i,0.00094821-0.0035795i,0.0054124+0.005846i,0.0036906+0.001674i,0.015453-0.0046659i,-0.073936-0.030229i,-0.0029342-0.00061642i,-0.0070587-0.0028136i,-0.0036319+0.0037223i,-0.030147+0.022089i,-0.0031211+0.0080625i,-0.013542+0.0052059i
-0.028009+0.0080598i,-0.039586+0.027793i,-0.025437+0.043315i,-0.023335+0.016416i,-0.0005727+0.011262i,0.0037023+0.029705i,-0.02245+0.027269i,-0.044037+0.036634i,-0.016368+0.017495i,-0.0036215-0.0055347i,0.0017268-0.00048727i,-0.00046794-0.002102i,0.0056476+0.0039522i,-0.001396+0.0038471i,0.0023155+0.002403i,-0.0067513-0.0017729i,-0.016307+0.0074317i,-0.0014332+0.0034864i,0.0045054-0.0051675i,0.0010663-0.0029308i,-0.00037238-0.0044424i,0.0019624-0.0038848i,0.001093-0.0040534i,-0.01282-0.003463i,-0.0020969+0.00064972i,-0.0032322+0.0027754i,-0.0023534+0.00074858i,-0.0027651+0.0015244i,-0.002311-0.0020213i,-0.00020104-0.0025979i,-5.6324e-05+0.0061034i,0.0016434+0.0009754i,0.0020906+0.00055454i,0.00078833+1.508e-05i,-0.0010863+0.0041093i,-0.0033918-0.0057111i,-0.0023236+0.002556i,-0.00082271-0.00058593i,0.0039192+0.004106i,0.0088666-0.0031321i,-0.0020659-0.00103i,0.0005631-0.00010076i,-0.01057-0.0011464i,0.0037736+0.0019122i,-0.026488-0.019044i,-0.043888-0.062388i,-0.071601+0.019467i,-0.037762-0.017112i,-0.068134-0.020191i,-0.034243+0.010513i,-0.060913+0.049288i,-0.044186+0.027922i,-0.030299-0.03157i,-0.044945-0.047776i,-0.039812+0.0084503i,-0.0015395-0.00053263i,-0.0058534+0.026059i,0.010482+0.0065006i,0.0030783-0.0016003i,-0.016906-0.011054i,0.0045959+0.0015136i,-0.0067203+0.007399i,0.0098587+0.0035048i,0.0044165+0.0086319i,-0.0041364+0.00057042i,0.0074381-0.0016602i,0.003679-0.0026031i,0.0091774+0.0091049i,0.0067038+0.0027788i,-0.007985-0.0023189i,-0.00011476-0.0058761i,0.0060292+0.0023616i,-0.0080962+0.0089582i,-0.00011555+0.0021864i,-0.00088492-0.030353i,0.013503+0.00055744i,0.010113-0.0019264i,0.00098663-0.00013513i,0.0010235+0.00014827i,0.010705-0.011538i,-0.0031757+0.00087295i,-0.0055181-0.0011387i,-0.0036036+0.0015331i,0.0078624-0.0034573i,0.008282-0.001211i,0.001982-0.0034911i,0.0087546+0.0029783i,0.005571+0.00071354i,0.011997-0.0093642i,-0.078199-0.018693i,-0.0085111-0.010202i,-0.0052109-0.0035122i,-0.0032258+0.0020193i,-0.01815+0.027085i,-0.0022934+0.0032088i,-0.009952+0.0040106i
-0.02512+0.0091575i,-0.035314+0.033048i,-0.020018+0.041725i,-0.019038+0.020059i,0.0030679+0.0085515i,0.0085498+0.027254i,-0.017115+0.030503i,-0.035726+0.039349i,-0.01717+0.019558i,-0.0044852-0.0040827i,0.0017141-0.0016315i,-0.0024849+0.0010568i,0.0055971+0.001843i,-0.0010587+0.0049795i,0.0029096+0.001875i,-0.0060911+0.0039936i,-0.010966+0.015202i,0.00050377+0.002819i,0.0018802-0.0068589i,-0.00013545-0.0041328i,-0.0016911-0.0037913i,0.0013728-0.004584i,-0.0001339-0.0049864i,-0.01266+0.00026538i,-0.0017345+0.00071558i,-0.0010966+0.0031052i,-0.0019351+0.0010882i,-0.0010376+0.0015876i,-0.0029919-0.00065909i,-0.0016133-0.002086i,0.0020272+0.0060127i,0.0016173+0.00019678i,0.0018186-0.00062396i,0.00041405+8.7715e-05i,0.0015309+0.0042422i,-0.0039266-0.0069458i,-0.0012457+0.0035729i,-0.0013166+5.9234e-05i,0.0039695-0.00059571i,0.0065717-0.0053347i,-0.0010464-0.0014907i,0.0011727-0.00043322i,-0.012928+0.001576i,0.0022448-0.0010524i,-0.031479-0.016668i,-0.060291-0.046285i,-0.062153+0.024494i,-0.04287-0.011262i,-0.071707-0.0072145i,-0.02649+0.01258i,-0.042694+0.052283i,-0.028231+0.026942i,-0.03384-0.029986i,-0.051826-0.040835i,-0.030659+0.015437i,-0.0030591-0.00060783i,0.0033656+0.024028i,0.011103+0.0027665i,-0.0014676-0.0016935i,-0.02607-0.0027286i,0.0017055+0.0019775i,-0.0022252+0.0072502i,0.0077145-0.0013959i,0.0075944+0.0077705i,-0.0034177+0.0036424i,0.0035471-0.0026874i,0.0029941-0.0050896i,0.0078933+0.0021203i,0.0032892+0.00079113i,-0.0077271+0.001734i,-0.0017446-0.0041213i,0.0069227+0.00027315i,0.0014887+0.010419i,0.0013617+0.0014916i,-0.0094122-0.024228i,0.011965-0.0040998i,0.003992-0.0047571i,0.0016041+0.0012694i,0.0017209-0.00048164i,0.0057307-0.011626i,-0.00024929+0.0037619i,-0.005819+0.001692i,-0.00093908+0.0042941i,0.0060324-0.0037447i,0.0071384-0.0064425i,0.0003261-0.0037261i,0.0083007-0.0027132i,0.0051418-0.0024685i,0.0079376-0.012558i,-0.075768-0.0041739i,-0.017253-0.011996i,-0.0061275-0.0075936i,-0.0034047+0.00019701i,-0.012913+0.025956i,-0.0065744+0.0028506i,-0.012378+0.0037675i
-0.02351+0.0099178i,-0.03073+0.037205i,-0.016737+0.041186i,-0.013399+0.022194i,0.0049941+0.0043263i,0.012014+0.024349i,-0.011092+0.03206i,-0.029842+0.041112i,-0.014319+0.023166i,-0.0046892-0.0020863i,0.00081975-0.0020683i,-0.0013214+0.0038455i,0.0047238+0.00042466i,0.0012697+0.0064493i,0.003439+0.0014489i,-0.0026629+0.0073317i,-0.0030756+0.018575i,0.0012174+0.001767i,-0.0001574-0.0061814i,-0.0020799-0.0041068i,-0.0027532-0.0032006i,0.00024709-0.004903i,-0.0021747-0.0047623i,-0.010586+0.0032178i,-0.0021281+0.0006307i,-0.00031169+0.0020868i,-0.0016789+0.0011975i,-0.00025895+0.00079315i,-0.0026739+0.00095468i,-0.0018544-0.00084491i,0.0039716+0.0043696i,0.0011917-0.00050127i,0.00054594-0.00097352i,8.8935e-05+1.1858e-05i,0.002466+0.002918i,-0.0062766-0.0071667i,-9.5338e-05+0.0039684i,-0.0010734+0.0011133i,0.0015655-0.001052i,0.0037015-0.0053978i,-0.0012354-0.0017491i,0.0012493-0.0012245i,0.0086667-0.013368i,-0.00031742+6.0764e-05i,-0.036022-0.011173i,-0.063922-0.026536i,-0.055848+0.027123i,-0.047013-0.0036851i,-0.073153+0.0073372i,-0.021763+0.0098318i,-0.027035+0.050831i,-0.01908+0.022308i,-0.036205-0.028595i,-0.055246-0.03356i,-0.024999+0.02082i,-0.0037902+0.00037708i,0.012822+0.019048i,0.0098387-0.00078841i,-0.0044558+0.0005626i,-0.028881+0.011839i,0.0011715+0.0038205i,0.0014966+0.0074817i,0.0031293-0.0025211i,0.010365+0.004904i,-0.0015317+0.0054567i,0.0014009-0.0012464i,0.001732-0.006456i,0.0025785+0.0012875i,0.001292+0.001972i,-0.0072705+0.0067478i,-0.0026955-0.0017321i,0.0068407-0.0023208i,0.0059248+0.0063969i,0.0020455+0.00063049i,-0.012139-0.022826i,0.0088818-0.0076408i,0.0027443-0.0052273i,0.003964+0.0011319i,0.0015393-0.00065298i,0.0029273-0.010589i,0.0028114+0.0028581i,-0.0033736+0.0046417i,0.0022955+0.0044261i,0.0052533-0.0034981i,0.0027131-0.010524i,-9.4213e-05-0.002778i,0.0039688-0.0056914i,0.0030399-0.0038601i,0.0019848-0.015188i,-0.07012+0.0042469i,-0.027093-0.0059693i,-0.0094211-0.0087012i,-0.0041183-0.0016994i,-0.0071393+0.025611i,-0.0096786+0.0057737i,-0.012582+0.0062272i
-0.022432+0.011202i,-0.02579+0.041363i,-0.013934+0.043454i,-0.0078973+0.021749i,0.0038064-0.0004938i,0.015643+0.021772i,-0.0048787+0.03188i,-0.024337+0.043159i,-0.0099685+0.023685i,-0.0046659-0.0010289i,-0.0009804-0.0018887i,0.00083444+0.0051197i,0.0038327-4.9866e-05i,0.0041017+0.0052248i,0.003615+0.00074664i,0.0010878+0.0083833i,0.0054408+0.018047i,0.0017041+0.0012674i,-0.0015977-0.0057792i,-0.0036247-0.0031024i,-0.0034245-0.0016611i,-0.00053408-0.0050508i,-0.0031767-0.0033987i,-0.0087595+0.0038686i,-0.0027702+0.0016164i,-0.00028409+0.0018511i,-0.0016599+0.00013046i,0.0001423-0.00033029i,-0.0014789+0.0015087i,-0.0017014-0.00019833i,0.0050058+0.0022833i,0.00081961-0.0007078i,0.00058169-0.000671i,-0.0002995-0.00018639i,0.0029131+0.0022168i,-0.0089449-0.0060215i,0.00087871+0.0036532i,-0.00028075+0.0012387i,0.00066183-0.0010189i,0.0018053-0.0047121i,-0.0016902-0.0015773i,0.00062648-0.0016462i,-0.0034651+0.0048762i,-0.00036067+0.0022218i,-0.038168-0.0038828i,-0.059398-0.013681i,-0.051245+0.030058i,-0.048087+0.0073919i,-0.068375+0.024706i,-0.023256+0.0078677i,-0.01592+0.045609i,-0.01289+0.017557i,-0.038777-0.025097i,-0.05934-0.02641i,-0.017532+0.023581i,-0.0046787+0.0020084i,0.016388+0.0071408i,0.008596-0.0046095i,-0.0057823+0.0045386i,-0.020934+0.02291i,0.0022271+0.0040217i,0.0059746+0.0047961i,0.0011588-0.000514i,0.011756-0.00048961i,0.00080835+0.0073325i,0.0011005+2.4036e-05i,-0.0032511-0.0083028i,0.00095343+0.0039286i,0.001739+0.0039793i,-0.002314+0.010914i,-0.001439+0.0004639i,0.0052607-0.0039703i,0.0085097+0.002822i,0.0026012-0.00074548i,-0.018865-0.022256i,0.0045714-0.0092462i,0.00033559-0.0057907i,0.0031416-0.001281i,0.0012945+5.8191e-05i,0.001762-0.0087893i,0.0039747+0.00058689i,-7.0258e-05+0.0053235i,0.0038257+0.0017178i,0.0042802-0.004495i,-0.0043446-0.010072i,-0.0003109-0.0032806i,0.0021431-0.004898i,0.0019479-0.0049143i,-0.0051992-0.01371i,-0.067153+0.010945i,-0.02517+0.0069425i,-0.012831-0.0083842i,-0.0065442-0.0024431i,-0.0041406+0.024546i,-0.0083035+0.010308i,-0.0086077+0.0079642i
-0.021492+0.012875i,-0.019527+0.045473i,-0.009019+0.046605i,-0.0058238+0.017823i,0.00017886-0.0027542i,0.019094+0.018425i,0.0010639+0.030468i,-0.018429+0.045617i,-0.0064077+0.0241i,-0.0053093+0.00027572i,-0.0018327+0.00016382i,0.0038975+0.0053956i,0.0031829+1.4292e-05i,0.0050957+0.0029312i,0.0034+0.00011772i,0.0044297+0.0076032i,0.011677+0.013769i,0.0019948+0.00072442i,-0.0027842-0.0051726i,-0.0044881-0.0013251i,-0.0027554-0.00029883i,-0.0018225-0.0053314i,-0.0035893-0.0021691i,-0.0086949+0.0053831i,-0.0021179+0.0029327i,-4.0503e-05+0.0021847i,-0.0013444+0.0015439i,-0.0007888-0.0013619i,-0.0011077+0.0013977i,-0.0015677+7.2424e-05i,0.0053018+0.00049284i,0.00097813-0.00075323i,0.0012083-0.00094824i,-0.00026786+0.00014517i,0.0037703+0.00031953i,-0.011151-0.0035868i,0.0019965+0.0032903i,0.00033512+0.00089974i,0.00011888-0.0011326i,0.00066602-0.0040633i,-0.0018698-0.0011548i,0.00014549-0.0017819i,-0.0030156+0.0060595i,0.00062279+0.0026929i,-0.037497+0.0027493i,-0.055965-0.0081304i,-0.047144+0.034852i,-0.043718+0.017164i,-0.057635+0.039504i,-0.024301+0.010831i,-0.0083204+0.041741i,-0.0104+0.012421i,-0.040677-0.02155i,-0.061926-0.017317i,-0.011751+0.02456i,-0.0034059+0.0027059i,0.01025-0.0030309i,0.0053392-0.0082695i,-0.0042127+0.0078942i,-0.011272+0.028501i,0.0022328+0.0029033i,0.00725-6.8042e-05i,0.0020224+0.00052059i,0.0098902-0.0042567i,0.0057172+0.0061542i,0.0013651+0.0017397i,-0.007559-0.0029942i,0.0026715+0.0061349i,0.003368+0.0049476i,0.0024602+0.011709i,-0.00043372+0.0005823i,0.0040876-0.0050429i,0.010042-0.0028119i,0.00046343-0.0016057i,-0.027017-0.014753i,0.0015096-0.0090075i,-0.0019108-0.0040742i,0.0035517+0.0005176i,0.001395-0.00034714i,0.0015361-0.009778i,0.0032881-0.0013754i,0.0018179+0.0034611i,0.0037511+0.00065214i,0.003545-0.004216i,-0.0072981-0.0052197i,-0.0020799-0.003806i,-0.0023627-0.0053814i,-0.00034272-0.0060556i,-0.0093084-0.009352i,-0.062782+0.018609i,-0.020298+0.0091317i,-0.01285-0.0067179i,-0.0085698-0.0013303i,-2.082e-06+0.022706i,-0.0066279+0.011872i,-0.0066658+0.00706i
-0.019946+0.01452i,-0.012205+0.048563i,-0.0017592+0.049574i,-0.0044012+0.015311i,-0.0036265-0.0023033i,0.021697+0.014517i,0.0063001+0.027903i,-0.011671+0.048177i,-0.0027019+0.023661i,-0.0057221+0.0019166i,-0.00071591+0.0016729i,0.0069276+0.0031345i,0.003132+0.00016123i,0.0046386+0.0014049i,0.003548-0.00018397i,0.0070285+0.0051421i,0.014759+0.0090276i,0.0023716-0.00038989i,-0.0040073-0.0044424i,-0.0042335+0.00066963i,-0.0018901+0.00024755i,-0.0034039-0.004352i,-0.0036437-0.0011735i,-0.0068659+0.0074974i,-0.0011506+0.0038775i,0.00095335+0.0021574i,-0.00075653+0.0022618i,-0.002718-0.0010145i,-0.00095293+0.0015514i,-0.0014722+0.00050903i,0.0047718-0.0013206i,0.00082209-0.0015335i,0.001044-0.0011995i,-8.5128e-05+0.0003361i,0.0028707-0.001269i,-0.012076+0.00038488i,0.002857+0.0025336i,0.00057986+0.00096192i,-0.0010098-0.0012902i,0.00018866-0.0032367i,-0.0019984-0.001057i,-0.00023675-0.0017423i,-0.0021541+0.006505i,0.001499+0.0029689i,-0.036404+0.0079511i,-0.05663-0.0036284i,-0.041933+0.039306i,-0.038735+0.024457i,-0.043072+0.04772i,-0.024671+0.01428i,0.00020583+0.037046i,-0.0095485+0.010031i,-0.042661-0.017197i,-0.062531-0.0066482i,-0.0066859+0.025084i,-0.0026464+0.0031027i,0.003454-0.0036134i,0.00068101-0.01024i,-0.00077162+0.010815i,0.00056643+0.028422i,0.0013627+0.0022046i,0.0054073-0.0044696i,0.0016716+0.00034444i,0.0070125-0.0074008i,0.0085762+0.003482i,0.0027626+0.0024401i,-0.0070979+0.0010483i,0.0053707+0.0070347i,0.0057065+0.0053879i,0.0087571+0.01002i,6.0409e-05+0.00089898i,0.0033079-0.0058431i,0.0017801-0.004483i,-9.6308e-05+0.00029126i,-0.032078-0.0030728i,-0.00047334-0.0084397i,-0.0023598-0.0018245i,0.0063031+0.00023292i,0.0012058-0.00031921i,-0.00026064-0.011619i,0.0017335-0.0019953i,0.0031253+0.0025902i,0.0039566-0.00054134i,0.0040366-0.0049112i,-0.008568-0.0022297i,-0.0044348-0.0018925i,-0.0049428-0.0026821i,-0.0023399-0.0067174i,-0.011115-0.0047056i,-0.057765+0.024922i,-0.019739+0.01034i,-0.012215-0.0073883i,-0.0097125+0.0012855i,0.0013485+0.021513i,-0.0057725+0.012124i,-0.0051574+0.0064648i
-0.018222+0.016338i,-0.0031213+0.050078i,0.0073672+0.051976i,-0.0031025+0.015274i,-0.0053606+0.00061273i,0.023732+0.010438i,0.010453+0.023996i,-0.0035248+0.04994i,0.00083595+0.02263i,-0.0049655+0.0034656i,0.00054705+0.0015599i,0.0072131-0.00087054i,0.0036326-0.000165i,0.0045431+0.00058852i,0.0036678-0.00094003i,0.0073161+0.0022572i,0.015874+0.0038306i,0.0010444-0.001492i,-0.0053782-0.0027732i,-0.0034524+0.0020238i,-0.00090177+8.5471e-05i,-0.0039107-0.0034262i,-0.0035592-0.0002171i,-0.0038332+0.0093655i,0.00068696+0.004223i,0.0016969+0.0015815i,0.00017931+0.002434i,-0.0034547+0.00094623i,-0.00059566+0.0015834i,-0.0011088+0.00074708i,0.0037569-0.0026705i,-9.4155e-05-0.0018775i,0.0026242-0.0042343i,1.592e-05+6.3713e-05i,0.0016861-0.0020409i,-0.011008+0.0044718i,0.0032015+0.0015881i,0.00093977+0.00076209i,-0.0018132-0.00058779i,-1.2928e-05-0.0027393i,-0.0023907-0.00053753i,-0.0005415-0.0017931i,-0.00135+0.0070306i,0.0025332+0.0028993i,-0.03527+0.013919i,-0.059671+0.0046266i,-0.035514+0.04245i,-0.031026+0.029987i,-0.029532+0.052034i,-0.023628+0.020959i,0.0071609+0.029307i,-0.0054428+0.0079127i,-0.043264-0.011251i,-0.059345+0.0039052i,-0.0019342+0.025125i,-0.0021518+0.0032379i,-3.0318e-05-0.0027456i,-0.004946-0.010015i,0.0050322+0.010389i,0.0072314+0.020442i,-0.00058308+0.0023132i,0.0028975-0.0076203i,0.0027743+0.0019768i,0.0026008-0.0090451i,0.0095332-0.001495i,0.0048936+0.0019973i,-0.0062451+0.0043523i,0.0097349+0.0061516i,0.0093264+0.0038071i,0.012985+0.0034131i,0.0008593+0.0012985i,0.001605-0.0068676i,-0.00071775-0.0089668i,0.0014952+0.0017344i,-0.029368+0.0081313i,-0.002069-0.008837i,-0.0015959-0.00014415i,0.0062055-0.0067786i,0.0017067+0.00014598i,-0.0055336-0.012281i,0.00069116-0.0016612i,0.0042328+0.00084846i,0.0034126-0.0013087i,0.0029367-0.0062887i,-0.0079496+0.0023969i,-0.0041263+0.0008905i,-0.0052908+0.00076997i,-0.005267-0.006722i,-0.010685-0.00074166i,-0.053474+0.030395i,-0.019334+0.016036i,-0.014175-0.0098259i,-0.0063511+0.0039946i,0.0043006+0.021007i,-0.0060503+0.014488i,-0.0034812+0.0044363i
-0.015971+0.01769i,0.0058277+0.048819i,0.018612+0.050389i,-0.001557+0.015736i,-0.0047246+0.0038052i,0.02557+0.0061002i,0.01306+0.019778i,0.0058099+0.04904i,0.0037625+0.021242i,-0.003641+0.0049497i,0.00070143+0.0012682i,0.0052007-0.0034883i,0.0036775-0.0013367i,0.0040731-0.0003346i,0.0033958-0.0016465i,0.0060779+0.00038851i,0.015429-0.00086798i,4.1001e-05-0.0012086i,-0.0054274-0.00077205i,-0.0017674+0.0032696i,-0.00021229-0.00033497i,-0.0041798-0.0027939i,-0.0030127+0.00059897i,-0.00047199+0.010627i,0.0022998+0.0033758i,0.0019619+0.00094276i,0.0011618+0.0021829i,-0.002678+0.00247i,-0.00013917+0.0013104i,-0.00099027+0.00096706i,0.0023082-0.0033767i,-0.0007799-0.0015318i,-0.0023426-0.00080869i,-0.00017566-2.4368e-05i,0.00040528-0.0023131i,-0.008862+0.0073282i,0.003207+0.00029961i,0.0010985+0.00035848i,-0.0018983+0.00062768i,-0.00033941-0.0026306i,-0.0023643+8.3497e-05i,-0.00092567-0.0018512i,0.00011654+0.0079791i,0.0034626+0.0021862i,-0.031887+0.019366i,-0.058911+0.016606i,-0.030526+0.044535i,-0.023757+0.032658i,-0.015254+0.053736i,-0.017932+0.028513i,0.0097793+0.021387i,-0.0030808+0.0016458i,-0.040774-0.0059153i,-0.053082+0.013946i,0.0048742+0.023228i,-0.0022408+0.0038618i,-0.003473-0.0010479i,-0.0093247-0.0069638i,0.0086553+0.0065282i,0.0096271+0.01817i,-0.0027563+0.0041669i,-0.00080845-0.010107i,0.004984+0.00037921i,-0.0018287-0.0079376i,0.0071977-0.0051228i,0.0061994-0.00065497i,-0.0048838+0.0069463i,0.013166+0.0012862i,0.011011-0.0018611i,0.011805-0.0042252i,0.0023823+0.00097622i,-0.001085-0.0069384i,-0.0041947-0.0057536i,0.0035091+0.00058087i,-0.030477+0.022131i,-0.0024819-0.0089971i,-0.00017916+0.00072392i,0.00090648-0.0081663i,0.0022574+1.5959e-05i,-0.010776-0.0092356i,0.00058683-0.00060492i,0.0042627-0.0011266i,0.0023935-0.0023425i,0.0013271-0.0065675i,-0.0051703+0.0057393i,-0.0024856+0.0026122i,-0.0047594+0.0039604i,-0.0089397-0.0057106i,-0.009538+0.0018873i,-0.047129+0.03754i,-0.011011+0.020553i,-0.019294-0.0098528i,-0.0032879+0.0024454i,0.0060644+0.019642i,-0.0036851+0.017791i,-0.003367+0.001725i
