-0.022958-0.038333i,-0.0092072-0.050809i,-0.017251-0.046695i,-0.030965-0.035756i,-0.029725-0.017518i,-0.051008-0.028761i,-0.060081-0.026511i,-0.045338-0.039409i,-0.02569-0.032361i,0.0078709+0.013028i,-0.0059677+0.016019i,-0.0050619+0.014828i,0.0099979+0.020826i,-2.0551e-05+0.0050327i,0.0036235+0.0035591i,0.0070458+0.01856i,0.028471+0.037038i,-0.0027282-0.001402i,-0.0049404-0.0063534i,0.0081666+0.0017225i,-5.2098e-05-0.0010797i,-0.0010693+0.0022476i,0.00015861-0.00036387i,-0.03064-0.0017208i,-0.0018-0.0063172i,0.001765+0.0044566i,0.003949-0.0009587i,-0.00044795+0.0005924i,0.00061707-0.00037444i,-0.00073984-0.0026836i,-0.0018821-0.0062735i,-0.0049724-0.0050386i,-0.0023179-0.0049579i,0.0024512-0.00051813i,0.0022317-0.0029323i,0.00020187+0.026704i,0.0016751-0.0036351i,0.0026843+0.00088906i,0.0055707+0.00090314i,-0.010675-0.0030331i,-0.0036308+0.00027763i,0.0058669+0.00044305i,0.005871+0.00028444i,-0.0035706+0.0047155i,0.0022112-0.0090637i,-0.011567+0.016509i,0.035224-0.091226i,0.012856-0.071112i,-0.015795-0.060068i,-0.016686-0.05625i,0.037356-0.04852i,0.016584-0.063615i,0.03428-0.056226i,0.03217-0.059675i,0.014846-0.013445i,0.0041741+0.017076i,0.015991-0.026763i,-0.012131+0.0067667i,-0.00044258+0.0057993i,-0.0050415-0.00068393i,-0.0028294-0.02821i,-0.02442+0.030674i,0.010639-0.011898i,-0.012464-0.0026664i,-6.0927e-05-0.0051464i,-0.0021208-0.016401i,-0.0077748+0.0047948i,0.0054629+0.0059242i,-0.0060461+0.030677i,0.0062901+0.0063711i,-0.0049335-0.00079767i,-0.0030106-0.00026265i,-0.012293-0.0083248i,-0.00046455-0.004467i,-0.033543-0.030495i,-2.889e-06-0.0099993i,-0.0092192-0.0019301i,-0.0065969-0.0028465i,0.0068119+0.0032803i,-0.0078929+0.0012136i,0.00043357+0.00025198i,0.0062612+0.010953i,0.0036828+0.0017109i,-0.008653-0.01107i,0.0031222+0.0086815i,-0.020969+0.0067819i,0.0084371-0.00018489i,-0.029013-0.0034478i,-0.042943+0.0029462i,0.014298-0.10454i,-0.0023129-0.012507i,-0.053835-0.022005i,-0.023182+0.00090114i,0.018585+0.010895i,-0.024077+0.012661i,-0.018505-0.012688i
-0.030442-0.034998i,-0.01647-0.044102i,-0.024907-0.044878i,-0.037577-0.032512i,-0.028087-0.017704i,-0.057752-0.017347i,-0.061711-0.014389i,-0.051077-0.030949i,-0.030229-0.028295i,0.008431+0.0090577i,-0.0038965+0.013514i,0.0017033+0.016923i,0.0176+0.014643i,-0.00045084+0.0065454i,0.0043041+0.0021527i,0.010788+0.012827i,0.03119+0.022733i,-0.0010951+0.0018179i,-0.00655-0.0018963i,0.0068213-0.0012551i,-0.0010932+0.00053328i,-0.0038+0.0031327i,-0.00010347-6.5651e-05i,-0.017776+0.013146i,-0.0037521-0.0044645i,0.0050766+0.0019163i,0.0033322-0.0011341i,0.00057529+0.0018219i,0.0010792-0.00082792i,-0.0017459-0.00295i,-0.0022517-0.0052166i,-0.0056097-0.0027154i,-0.0036961-0.0044002i,0.0020635-0.0015136i,0.0012091-0.0019201i,0.0089662+0.024117i,0.00072237-0.0042293i,0.0022956-0.00029817i,0.0075634-0.0014815i,-0.0078509-0.00055942i,-0.0031171+0.0029881i,0.0054134+9.534e-05i,0.0054222-0.0012223i,-0.0053863+0.0066643i,0.0066498-0.011985i,0.0022623+0.022267i,0.018263-0.097384i,-0.0053141-0.07757i,-0.012023-0.056265i,-0.020851-0.046229i,0.031078-0.066593i,0.012107-0.081907i,0.034861-0.05593i,0.020337-0.069106i,0.0057094-0.0057583i,0.0071128+0.0057763i,0.0043003-0.027025i,-0.0048065+0.01121i,-0.00056739-0.002018i,-0.0050916-0.0011128i,-0.024019-0.026911i,-0.010513+0.028957i,0.0041474-0.015669i,-0.01321+0.0012492i,-0.0013242-0.0047648i,-0.0089738-0.013963i,-0.0078557+0.0089909i,0.0085354+0.0054037i,0.0098629+0.025743i,0.0075716+0.0010735i,-0.0037962+0.0014693i,-0.0042825+4.3698e-05i,-0.016294+0.0017686i,-0.00075264-0.0032798i,-0.030197+0.017242i,-0.0048098-0.0065466i,-0.0091434+0.0023963i,-0.0084166+0.0012128i,0.0055154-0.0029861i,-0.0076297+0.0033435i,0.0010469-0.00065235i,0.0059001+0.004353i,0.0035754+0.00087969i,-0.013301-0.0026709i,0.0042762+0.0049145i,-0.014612+0.01507i,0.0065459-0.0040057i,-0.028053+0.007813i,-0.043393+0.015397i,-0.0029721-0.10227i,-0.0061313-0.015427i,-0.057704-0.0056371i,-0.016401-0.0023326i,0.018097+0.0049948i,-0.019344+0.01896i,-0.026979-0.016235i
-0.035255-0.029072i,-0.019355-0.043384i,-0.0315-0.042973i,-0.043267-0.025569i,-0.029022-0.01959i,-0.061583-0.0049316i,-0.06401-0.001209i,-0.056583-0.021815i,-0.035396-0.02309i,0.0083435+0.006115i,-0.0011194+0.015934i,0.008644+0.013706i,0.019794+0.0050787i,0.0012098+0.0080192i,0.0046581+0.0007652i,0.011667+0.0073053i,0.035855+0.013364i,0.0015784+0.0017675i,-0.0052692+0.0016679i,0.0057061-0.0042149i,-0.0012458+0.0017388i,-0.00044592+0.0024985i,-0.00011907+0.000244i,-0.0067011+0.016931i,-0.0032862-0.0027459i,0.0060833-0.0023948i,0.0026582-0.0018072i,0.0018919+0.0015897i,0.00018639-0.0014076i,-0.0025117-0.0022853i,-0.0031406-0.0046913i,-0.0060075-0.00049124i,-0.0046872-0.0033248i,0.0011157-0.0027367i,0.0024698-0.0040109i,0.016637+0.017196i,-0.00054795-0.0036801i,0.0020044-0.0011342i,0.0067177-0.0063836i,-0.0072932+0.00062567i,-0.0013899+0.0046855i,0.0056168-0.0016806i,0.0052906-0.002232i,-0.0036342+0.009548i,0.0072149-0.019949i,0.017943+0.019065i,0.00092016-0.099329i,-0.022885-0.073113i,-0.0081353-0.062314i,-0.019781-0.044459i,0.019802-0.08103i,-0.008525-0.096728i,0.039792-0.062556i,0.006432-0.069664i,0.0060922-0.0023629i,0.0054001+0.0011729i,-0.0036613-0.02758i,0.0031536+0.01071i,-0.0067238-0.0036238i,-0.0042909-0.0029866i,-0.038869-0.014569i,-0.0013633+0.027853i,-0.003629-0.015578i,-0.010595+0.0051593i,-0.0041279-0.0041686i,-0.015986-0.0096322i,-0.0030639+0.014032i,0.011905-0.00017131i,0.017646+0.014854i,0.0056207-0.0016477i,-0.0033975+0.0010471i,-0.004521+0.0016253i,-0.012774+0.010238i,-0.0036419-0.0021748i,-0.022052+0.033638i,-0.0056076-0.0028187i,-0.00722+0.0071646i,-0.0079985+0.0074087i,-7.3404e-05-0.0050337i,-0.0057676+0.0051221i,0.00043854-0.0011076i,0.003558+0.0032072i,0.0034204-0.0010749i,-0.0090694+0.0056161i,0.003843+0.0020076i,-0.0079646+0.017474i,0.0027427-0.0068936i,-0.021781+0.015346i,-0.034797+0.02758i,-0.014749-0.09799i,-0.012708-0.013836i,-0.057349+0.0072438i,-0.02119-0.0086982i,0.015931-0.0024887i,-0.0095455+0.020079i,-0.03215-0.010833i
-0.037786-0.022843i,-0.025454-0.045586i,-0.038933-0.041691i,-0.045113-0.01775i,-0.033031-0.022021i,-0.061131+0.009137i,-0.061255+0.017414i,-0.06087-0.008968i,-0.040064-0.015455i,0.0081535+0.0041775i,0.0051636+0.015968i,0.01145+0.0080758i,0.018636-0.0034933i,0.0043296+0.0092971i,0.0040281-0.001439i,0.010816+0.0014464i,0.037866-0.0021584i,0.0026513+0.0001268i,-0.0042927+0.0044498i,0.0023169-0.0056966i,0.00026587+0.0034596i,0.0017999+0.0038251i,-0.00033287+0.00079055i,0.0029291+0.01985i,-0.0034423-0.0021174i,0.0040062-0.0053148i,0.0019779-0.0020897i,0.0022009+0.00013921i,-0.00030421-0.00074196i,-0.0039154-0.0016765i,-0.0036287-0.0038234i,-0.0052855+0.0016321i,-0.0055747-0.0012304i,-0.00013921-0.003311i,-0.00036647-0.0054146i,0.016555+0.0084631i,-0.0015434-0.003854i,0.0013724-0.0020943i,0.0028525-0.0084789i,-0.0051667+0.0033985i,0.00050568+0.0049061i,0.0037406-0.0030357i,0.0045935-0.0041718i,0.00022443+0.0097538i,0.0063759-0.026592i,0.031656+0.0088254i,-0.015471-0.09587i,-0.032414-0.063605i,-0.013767-0.068301i,-0.0223-0.044231i,0.0021633-0.095448i,-0.036057-0.096476i,0.037567-0.080873i,-0.0035857-0.067838i,0.0070862+0.00036987i,0.0020925-0.0034872i,-0.015245-0.023317i,0.003958+0.0027676i,-0.0091749-0.00048022i,-0.0086327-0.0053706i,-0.044138+0.0044111i,0.0098531+0.022043i,-0.0093673-0.012593i,-0.0072424+0.0057163i,-0.0056029-0.0017184i,-0.020537-0.0013403i,0.0047613+0.012066i,0.011924-0.0059868i,0.021806-0.0091931i,0.0053536-0.0026115i,-0.0044935+0.0010906i,-0.004039+0.0039803i,-0.0067234+0.017302i,-0.0050428+0.0016697i,-0.0094005+0.035978i,-0.005935-0.00040738i,-0.0019599+0.0098458i,-0.0018409+0.012078i,-0.004487-0.0025456i,-0.0026908+0.0038676i,0.00018548-0.0011651i,0.0024309+0.0025459i,0.0014594-0.0031453i,-0.0030967+0.0048243i,0.00030513-0.00073058i,-0.0035038+0.02035i,-0.0013875-0.006007i,-0.013579+0.019919i,-0.024714+0.032711i,-0.024087-0.095403i,-0.011008-0.008127i,-0.051952+0.024402i,-0.028559-0.0057252i,0.013211-0.0082255i,-0.00054214+0.015417i,-0.031459-0.003886i
-0.039292-0.01635i,-0.036139-0.043851i,-0.049684-0.038623i,-0.045755-0.011394i,-0.041587-0.02265i,-0.057076+0.021856i,-0.046773+0.029231i,-0.057951+0.0045623i,-0.038246-0.0068156i,0.0079483+0.0023374i,0.01084+0.011014i,0.012571+0.0041097i,0.013152-0.0099352i,0.0089899+0.0075039i,0.0024673-0.002803i,0.0071583-0.0015154i,0.0283-0.018081i,0.0023452-0.00080136i,1.3868e-05+0.0086282i,-0.00028246-0.0048718i,0.0021137+0.0040932i,0.0030588+0.0023871i,-0.00027498+0.0016359i,0.017015+0.014047i,-0.0041631-0.00015448i,0.0015976-0.0064568i,0.00065259-0.0029453i,0.0026796+0.00094433i,-0.00023162-0.00041311i,-0.0047785+0.0008765i,-0.0044208-0.0026545i,-0.0040002+0.0034722i,-0.0048827+0.00080714i,-0.0021072-0.0030642i,-0.0024249-0.0038182i,0.016848+0.0061712i,-0.0021353-0.0032221i,6.101e-05-0.0026764i,-0.0001865-0.0079389i,-0.0031318+0.0013445i,0.0020187+0.0048867i,0.001176-0.001865i,0.0030114-0.0052338i,0.0020405+0.0082188i,0.0013986-0.037101i,0.041205-0.0091457i,-0.025596-0.08814i,-0.037805-0.054491i,-0.020973-0.072583i,-0.025179-0.042604i,-0.025961-0.10366i,-0.058588-0.08577i,0.018623-0.096272i,-0.015778-0.061464i,0.010047+0.0026724i,-0.002694-0.0050484i,-0.020851-0.0082384i,0.00053681+8.3765e-05i,-0.010468+0.00084877i,-0.015436-0.0017567i,-0.038982+0.02135i,0.013103+0.011819i,-0.013734-0.0072186i,-0.0059032+0.0060045i,-0.0061863+0.0015826i,-0.019072+0.0095571i,0.0051987+0.0069137i,0.0094429-0.01131i,0.025313-0.00765i,0.0034947-0.0061748i,-0.0064018+0.003804i,-0.0014389+0.0061777i,0.0027563+0.018167i,-0.003865+0.0063565i,-0.016966+0.037441i,-0.0066524+0.0011591i,0.0016868+0.0066425i,0.0046741+0.010993i,-0.0065048+0.0015262i,-0.003712+0.0014471i,-0.0016398-0.00119i,0.0011541+0.0047369i,-0.0029501-0.003293i,-0.0032994+0.0021704i,-0.0030047+0.0016162i,0.0043146+0.021419i,-0.0043527-0.0045954i,-0.0044059+0.020727i,-0.016251+0.034243i,-0.036261-0.09059i,-0.0048663-0.011433i,-0.040112+0.040873i,-0.031396+0.0041165i,0.0079733-0.012989i,0.00050564+0.0077115i,-0.032089+0.00024765i
-0.039051-0.011494i,-0.042988-0.039396i,-0.061374-0.028421i,-0.046738-0.0053021i,-0.05285-0.01701i,-0.048882+0.032473i,-0.033836+0.032081i,-0.052022+0.014319i,-0.036285-0.0027693i,0.0068955+0.0012478i,0.011219+0.0062087i,0.012719-0.001773i,0.0067403-0.013238i,0.012102+0.0027098i,0.00047256-0.0033569i,0.0040858-0.0017241i,0.01375-0.022801i,0.0035317-0.0014381i,0.0054375+0.0074316i,-0.0017049-0.0032342i,0.0043553+0.0020181i,0.0029884+0.0012012i,0.0011525+0.0023604i,0.021567+0.00064722i,-0.0024502+0.0023667i,-0.0013912-0.0049931i,-0.00098781-0.00074014i,0.0034619-0.0018129i,-0.00025022-0.00059619i,-0.0026823+0.003738i,-0.0043836-0.0018091i,-0.0026049+0.0041411i,-0.0046313+0.0029299i,-0.0030955-0.0011309i,-0.0020753-0.0025686i,0.018892+0.0014488i,-0.003452-0.0025114i,-0.0018417-0.0026929i,-0.0033898-0.0078927i,-0.0050744+4.7662e-05i,0.0039912+0.00030724i,0.00082324+0.00027713i,0.00039783-0.0060729i,0.0032657+0.0070632i,-0.010406-0.042479i,0.03277-0.033425i,-0.029043-0.08148i,-0.041947-0.047046i,-0.031105-0.07283i,-0.027474-0.043726i,-0.055124-0.094091i,-0.077953-0.068752i,-0.0012345-0.10009i,-0.017274-0.046996i,0.017602+0.0058529i,-0.0065358-0.0027541i,-0.027919-0.0012342i,-0.0005948-0.00029789i,-0.014396+0.0046534i,-0.013755+0.0046971i,-0.028958+0.036753i,0.011341+0.0054856i,-0.012929-0.00014306i,-0.0070599+0.0059729i,-0.0031948+0.0048767i,-0.011962+0.014711i,0.0067252+0.0078206i,0.0041089-0.018448i,0.014084-0.021139i,-0.0031248-0.0089338i,-0.006025+0.0081428i,0.00038488+0.0057294i,0.010366+0.016125i,0.00091589+0.0080674i,0.0013661+0.047959i,-0.0073326+0.004204i,0.0015309+0.005275i,0.0090646+0.0060183i,-0.0041748+0.006973i,-0.0057286+0.0039523i,-0.0038242-0.00063815i,0.0053497+0.0064551i,-0.00308+0.0022883i,-0.0057988+0.0026601i,-0.00063238+0.0067313i,0.010825+0.016684i,-0.006344-0.0026354i,0.0012556+0.017183i,-0.0054536+0.035799i,-0.043514-0.081074i,-0.011661-0.022954i,-0.015635+0.045822i,-0.027025+0.011933i,0.0039331-0.02029i,0.00060884+0.0011894i,-0.029586+0.0059387i
-0.038833-0.0067582i,-0.05393-0.0355i,-0.068971-0.014537i,-0.045201+0.0026824i,-0.060314-0.003949i,-0.039489+0.039043i,-0.024392+0.031806i,-0.045392+0.020884i,-0.03732+0.0017259i,0.0076106-0.00063359i,0.013015+0.003668i,0.0088395-0.007077i,-0.00059684-0.012292i,0.012258-0.0037692i,-0.001297-0.0030367i,0.002383-0.00051816i,0.0023646-0.02068i,0.0024459-0.0037754i,0.0072642+0.003288i,-0.0022184-0.00093697i,0.0042246-0.00033151i,0.0040154+0.0011297i,0.0027917+0.0016476i,0.016942-0.010231i,0.00084431+0.0012571i,-0.0021919-0.0037152i,-0.00013448-0.0011442i,0.0030628-0.0037827i,-0.00012687-0.00031064i,-9.0099e-05+0.0041654i,-0.0049224-0.0010307i,-0.00073676+0.0044301i,-0.0024795+0.0046136i,-0.0027869+1.4509e-05i,-0.0030332-0.0032079i,0.01767-0.0051704i,-0.0035758-0.00074789i,-0.0026459-0.0013081i,-0.0070265-0.0033579i,-0.0078552+0.0029988i,0.0035208+0.00099602i,0.0026565-0.00036611i,-0.0021804-0.0048076i,0.0044929+0.0036451i,-0.023212-0.040706i,0.014862-0.04041i,-0.036401-0.08336i,-0.040616-0.039539i,-0.039978-0.070007i,-0.036821-0.045725i,-0.074064-0.078758i,-0.084322-0.042393i,-0.026061-0.10129i,-0.010165-0.043576i,0.024952-0.0079819i,-0.0079207+0.0018535i,-0.015526+0.0012593i,-0.0044961+0.00015094i,-0.011744+0.012801i,-0.011346+0.0072334i,-0.0078201+0.042726i,0.011277+0.0016559i,-0.011739+0.0021035i,-0.0039275+0.0071484i,-0.0015562+0.004325i,-0.0051708+0.018569i,0.010626+0.0043133i,-0.0082116-0.019231i,-0.0046522-0.021495i,-0.0063296-0.0017004i,-0.0024047+0.011304i,0.0031931+0.0046417i,0.016293+0.0076333i,0.0045412+0.005105i,0.026735+0.041057i,-0.0033621+0.0062949i,0.0019966+0.0037932i,0.009549+0.00055806i,0.0012075+0.0084497i,-0.007011+0.0065803i,-0.0044944+0.0032474i,0.0093344+0.0058333i,-0.0012646+0.0045616i,-0.0067096+0.0050764i,0.0033885+0.0068445i,0.013177+0.010998i,-0.0061299+0.00011529i,0.0067277+0.012518i,0.0053272+0.033219i,-0.050967-0.076724i,-0.027793-0.020866i,0.0008165+0.036895i,-0.023451+0.016749i,-0.0032341-0.025826i,-0.0035176-0.0034347i,-0.021851+0.0083118i
-0.03849-0.0027736i,-0.063928-0.023272i,-0.071753+0.0015458i,-0.042447+0.0074291i,-0.06013+0.011164i,-0.031143+0.043503i,-0.017447+0.030466i,-0.039219+0.025507i,-0.035711+0.009539i,0.0072279-0.0029314i,0.013604-0.0037336i,0.0029498-0.007454i,-0.0043013-0.008062i,0.0080337-0.0082473i,-0.0029429-0.0022201i,0.003177-0.00052111i,-0.0046077-0.014606i,-0.00032849-0.0038141i,0.0056481+0.00092415i,-0.0014522+0.00050794i,0.0026564-0.0010653i,0.004346-0.00034002i,0.0031325+0.00031465i,0.0091175-0.015551i,-0.00017732-0.00090219i,-0.0022899-0.0024772i,-0.00031307-0.001527i,-4.5639e-05-0.0035123i,0.00084821-0.00013942i,0.0013783+0.0031446i,-0.0056556+8.294e-05i,0.00096974+0.0037202i,-0.00030308+0.0052037i,-0.0026186+0.00016288i,-0.0045755-0.00019251i,0.013601-0.010903i,-0.002715+0.00011217i,-0.0021518+9.92e-05i,-0.0086763-0.0022037i,-0.0063962+0.0067731i,0.0036886+8.5294e-05i,0.003194-0.0012627i,-0.0032994-0.0034792i,0.0026925+0.00045134i,-0.032511-0.033093i,0.0063707-0.031557i,-0.047974-0.083276i,-0.03844-0.037991i,-0.048383-0.065294i,-0.046927-0.040382i,-0.090074-0.06168i,-0.077877-0.022808i,-0.054478-0.08752i,-0.0075267-0.048671i,0.023642-0.020527i,-0.0057818+0.0044588i,-0.013178+0.0046815i,-0.0073942+0.0050848i,-0.0040658+0.018214i,-0.0074692+0.010837i,0.011728+0.035108i,0.0096331-0.0041727i,-0.011517+0.0054275i,-0.0031886+0.005902i,0.00069976+0.0048604i,0.0032047+0.016066i,0.011062-0.0028556i,-0.017334-0.0099785i,-0.015338-0.01057i,-0.0035746+0.0023512i,0.0040234+0.011186i,0.0040288+0.0024986i,0.0184+0.00080522i,0.0065559+0.0034194i,0.039123+0.025812i,-0.0013113+0.0049085i,0.0010477+0.0034594i,0.007235-0.0045352i,0.0053069+0.0050686i,-0.0059956+0.013179i,-0.0012514+0.0072437i,0.01243+0.00059643i,0.0030743+0.0048516i,-0.0058841+0.0079963i,0.0054999+0.0040544i,0.013933+0.0064186i,-0.0061943+0.0016833i,0.0082859+0.0070351i,0.012516+0.027206i,-0.058573-0.066807i,-0.034732-0.0072358i,0.011049+0.024829i,-0.011592+0.02245i,-0.014648-0.025981i,-0.011414-0.0025982i,-0.019751+0.0038152i
-0.038573+0.0017618i,-0.065759-0.0076234i,-0.068541+0.019135i,-0.040572+0.011992i,-0.054624+0.023136i,-0.022166+0.046955i,-0.012129+0.0281i,-0.034162+0.028847i,-0.029968+0.015324i,0.005549-0.0056375i,0.0074634-0.0086034i,0.00060485-0.005006i,-0.0050633-0.0044931i,0.0033266-0.010074i,-0.0042011-0.00046605i,0.0025735-0.0019649i,-0.0051183-0.0086515i,-0.0015012-0.0024004i,0.0037861+0.00098461i,-0.00029677+0.0010352i,0.0027355-0.00028575i,0.0041385-0.0015079i,0.003227-0.00063899i,0.0018956-0.015508i,-0.0012341-0.0011797i,-0.0029592-0.0030009i,-0.00059084-0.0014768i,-0.00092839-0.0032408i,0.0008552-0.0012156i,0.0024523+0.0024097i,-0.0056335+0.0016581i,0.0018716+0.0028418i,0.0016255+0.0037537i,-0.0027176+0.0016302i,-0.0036959+0.0007622i,0.0072231-0.01353i,-0.0018092+0.00050117i,-0.0014669+0.00083929i,-0.0093004-0.00013505i,-0.0035712+0.0088068i,0.0034669-0.001115i,0.0023668-0.0018948i,-0.0043507-0.0012188i,-0.0011514+0.00042821i,-0.038138-0.023435i,0.013715-0.026194i,-0.063424-0.079275i,-0.039725-0.038975i,-0.054592-0.059341i,-0.053027-0.031581i,-0.10073-0.038825i,-0.072489-0.012688i,-0.063176-0.060693i,-0.010941-0.052566i,0.014698-0.03276i,-0.0046394+0.005539i,-0.0093675+0.0041589i,-0.003241+0.010898i,0.003997+0.017218i,0.0010543+0.0097055i,0.019597+0.021233i,0.0052112-0.0071528i,-0.010692+0.0095402i,-0.0032568+0.0057295i,0.0017163+0.0030997i,0.0076388+0.012126i,0.0049495-0.0051101i,-0.019142+0.00042646i,-0.015478-0.0013279i,0.00018544+0.0029054i,0.0072757+0.0092452i,0.0029446+0.0012228i,0.014785-0.011209i,0.0068692-0.0011862i,0.043454+0.0054335i,-0.00061678+0.0059991i,0.0026698+0.0029877i,0.0021218-0.0073566i,0.0055467+0.001967i,0.00021168+0.017866i,0.0047062+0.0051785i,0.010618-0.0049121i,0.0049557+0.0010286i,-0.0029645+0.012343i,0.0047773+0.0029456i,0.01291+0.0031367i,-0.0074927+0.0038391i,0.0052796+0.0042857i,0.015954+0.021542i,-0.06066-0.06099i,-0.03154+0.0054753i,0.012363+0.012984i,-0.00013054+0.016073i,-0.027227-0.01948i,-0.013325+0.0055718i,-0.022989+0.0056327i
-0.038266+0.0069188i,-0.062462+0.0039581i,-0.059247+0.034152i,-0.038975+0.016364i,-0.04703+0.032103i,-0.012847+0.04887i,-0.009001+0.026063i,-0.029534+0.032828i,-0.024848+0.018101i,0.0023295-0.0068332i,0.0012249-0.0078951i,-0.00020868-0.0041004i,-0.0040868-0.0027768i,-0.00092628-0.0097786i,-0.0040862+0.0017582i,0.00061742-0.0028036i,-0.0047109-0.0070421i,-0.0014003-0.0011079i,0.00318-0.00030938i,0.0011137+0.00099233i,0.003957-0.0010516i,0.0034428-0.0021673i,0.0030544-0.0015431i,-0.0031099-0.013577i,-0.0015076-0.00066144i,-0.0042383-0.0010006i,-0.0010125-0.0015218i,-0.0017812-0.0029867i,0.00026414-0.0017167i,0.0032998+0.0010012i,-0.0051568+0.0034123i,0.0025112+0.0013917i,0.0024518+0.0025633i,-0.0015377+0.0026763i,-0.0038093+0.0018188i,0.0011841-0.010637i,-0.0017651+0.00012362i,-0.00061935+0.001057i,-0.0072255+0.0055481i,0.00036763+0.01002i,0.0029795-0.0016566i,0.002531-0.0014217i,-0.0040942+9.5642e-05i,-0.0014792+0.0036574i,-0.038007-0.013639i,0.026117-0.035964i,-0.079309-0.067902i,-0.044753-0.038536i,-0.058921-0.0539i,-0.057321-0.023009i,-0.10127-0.015836i,-0.067891-0.0015563i,-0.058522-0.043833i,-0.015203-0.05689i,0.0022411-0.037092i,-0.0018415+0.0067539i,-0.0097333+0.0013598i,0.0031094+0.011061i,0.0091487+0.012632i,0.0047219+0.0027095i,0.017646+0.0085499i,0.00048302-0.0079721i,-0.0070217+0.01348i,-0.0031677+0.0065165i,0.0013631+0.0019337i,0.0089266+0.0066246i,0.0028461-0.0030422i,-0.015556+0.0098744i,-0.011755+0.0059806i,0.0018395+0.001801i,0.011062+0.0052778i,0.002181+0.00083628i,0.0045481-0.014552i,0.004064-0.0041885i,0.036263-0.010096i,0.0015499+0.0058186i,0.0019472+0.0019753i,-0.0022048-0.0053813i,0.0051936+0.00054568i,0.009306+0.01874i,0.0054663+0.0012603i,0.0073963-0.0077868i,0.0037762-0.0010015i,0.0036094+0.014052i,0.0053318+0.001353i,0.013176-0.00069809i,-0.0054825+0.0089957i,0.0053197+0.0030958i,0.018911+0.016696i,-0.067822-0.05667i,-0.025177+0.011809i,0.011636+0.0060657i,0.0014391+0.0070608i,-0.034891-0.0087757i,-0.0088246+0.0079111i,-0.022131+0.0089894i
-0.036441+0.012457i,-0.057606+0.012572i,-0.045829+0.043241i,-0.0357+0.021767i,-0.037541+0.037737i,-0.0038189+0.048955i,-0.0062946+0.02501i,-0.023754+0.036663i,-0.020058+0.020295i,-0.0010508-0.006832i,-0.0018696-0.005859i,-0.00025165-0.0036132i,-0.0043029-0.0018604i,-0.0043794-0.0078884i,-0.003284+0.0032398i,-0.0013783-0.0024487i,-0.0065143-0.0072709i,-0.0010693-0.00072717i,0.0027682-0.0010105i,0.0018798-1.7107e-05i,0.0039133-0.0026765i,0.0033958-0.002718i,0.0023798-0.002372i,-0.0072676-0.011382i,-0.0018328-0.00042891i,-0.0038031+0.00012537i,-0.0017816-0.0009699i,-0.0026362-0.0021573i,-0.00038232-0.0018801i,0.0025878-0.001041i,-0.0039341+0.0053002i,0.002143+0.00045288i,0.0029472+0.0012247i,0.00017006+0.0025572i,-0.0030327+0.0032235i,-0.00040389-0.0081518i,-0.0015966+0.00055154i,0.00025039+0.00053121i,-0.0021124+0.0063973i,0.0052165+0.0086729i,0.0026589-0.0023317i,0.0033824-0.0018635i,-0.0036786+0.0012097i,-4.0028e-06+0.0036073i,-0.03502-0.0085396i,0.024988-0.058877i,-0.090529-0.050464i,-0.048615-0.036253i,-0.063931-0.052551i,-0.05904-0.013427i,-0.09859+0.0019176i,-0.061864+0.0059488i,-0.054546-0.033266i,-0.023165-0.05886i,-0.01135-0.03635i,0.00019196+0.0060274i,-0.015087+0.0014028i,0.0072985+0.0070897i,0.011181+0.0071683i,0.0034015-0.0029656i,0.012865+0.0022254i,-0.004555-0.0078494i,-0.00077276+0.014281i,-0.0022386+0.0078793i,0.00094141+0.001662i,0.0064923+0.0041637i,0.0021635-0.0021082i,-0.0084363+0.014314i,-0.0064301+0.010268i,0.0040745-0.00036244i,0.012442+0.00043543i,0.0015917+0.001223i,-0.0034635-0.012487i,0.0010122-0.0046551i,0.028517-0.021576i,0.0034239+0.0051555i,0.0016506+0.0028728i,-0.0050024-0.0025378i,0.0046218-0.0024405i,0.018232+0.013775i,0.004348-0.0015729i,0.0037102-0.0089812i,0.0022085-0.0025603i,0.0089334+0.0095556i,0.0049934+0.00084403i,0.009881-0.0056921i,-0.00074314+0.010874i,0.0053691+0.0010748i,0.02238+0.011926i,-0.075882-0.048187i,-0.018556+0.017029i,0.010543+0.00047715i,-0.00082865+0.0032368i,-0.037344+0.0028407i,-0.0070856+0.0071606i,-0.019271+0.011844i
