-0.02547-0.0041864i,-0.021029-0.008055i,-0.01276-0.012669i,-0.035189-0.0074146i,-0.027026+0.0020056i,-0.036129-0.0033695i,-0.066561-0.039662i,-0.033779-0.015503i,-0.022695+0.0031984i,0.0069886+0.0058374i,-0.0048446+0.0068214i,-0.007471+0.018314i,0.0051708+0.0072719i,-0.0010254+0.0036097i,0.0040536+0.004252i,0.0032281+0.026135i,0.020256+0.019358i,0.00096922-0.00086326i,0.00047336-0.0054838i,0.0089046+0.00036286i,0.0050348-0.0015944i,0.0025088+0.0023755i,0.0010503-0.00057247i,-0.024295-0.0013549i,-0.0051695-0.0038637i,-0.0010029+0.0029359i,0.00318-0.0037641i,-0.0018922-5.0047e-05i,-0.0007465+0.0010539i,-0.0025066-0.0015169i,-0.0039281-0.00017276i,-0.0067814-0.0092258i,-0.0052961-0.0041375i,-0.00068086+9.8928e-05i,-0.00080976-0.0023428i,-0.00046821+0.019673i,0.0023872-0.004104i,0.00079669-0.004726i,0.0024992-0.0020145i,-0.0012509-0.002835i,0.00097033-0.00029577i,0.0088353+0.00030417i,0.0040493-0.0018521i,0.00027817+0.0024472i,-0.014129+0.015302i,-0.027084+0.052914i,-0.0055788-0.036847i,-0.014857-0.01813i,-0.039534-0.017172i,-0.027833-0.012704i,0.036194-0.011843i,0.0062953-0.030546i,0.013687-0.038168i,-0.0085323-0.030035i,0.026454-0.022375i,0.013243+0.0071356i,0.030242-0.037173i,-0.0017243-0.0040636i,0.0062721-0.0085406i,-0.0014692-0.0058629i,0.0010898-0.036003i,-0.013934+0.028538i,0.0089667-0.011552i,-0.007343-0.0054793i,-0.0028276-0.0020068i,0.00011848-0.015193i,-0.0086341+0.0062191i,0.0042599+0.0067695i,-0.0012513+0.027586i,0.0026599+0.00027664i,-0.0070407-0.0040883i,-0.0039134-0.0064547i,-0.014519-0.010126i,-0.0021967-0.0064221i,-0.03686+0.022253i,-0.0049445-0.0087678i,-0.012871-0.001071i,-0.008762-0.0067469i,0.0014737-0.0017919i,-0.013837+0.0023018i,-0.0010951-0.00064755i,0.005351+0.005804i,0.0037153-0.0050652i,-0.011856-0.013377i,0.0074899+0.0090364i,-0.016626+0.0033412i,0.0048059-0.00032951i,-0.019125-0.003157i,-0.016171-0.0038625i,-0.01592-0.036136i,0.02012-0.0098097i,-0.038716-0.023995i,-0.0090382+0.0035484i,0.018536+0.015119i,-0.021608+0.016755i,-0.0040575-0.0037159i
0.003386+0.014937i,-0.0024646+0.016454i,-0.00098904+0.025764i,0.0018233+0.024409i,0.00067103+0.028909i,0.010687+0.023371i,-0.010294+0.025302i,-0.0038833+0.021249i,0.011991+0.0054563i,0.0010759-0.0034693i,0.0022955+0.00021682i,0.0060525-0.0027917i,0.00051833-0.0016746i,0.0004731-0.0034296i,-7.6043e-05-0.0018433i,0.0067592-0.0073339i,-0.0030434-0.0048543i,-0.00045896-0.0017094i,0.00049015+8.7469e-05i,1.2724e-05+0.0017853i,1.7684e-05+0.0015356i,-0.00014202-8.3284e-05i,0.0013583+0.00025055i,-0.0071641-0.0037176i,-0.0002284-0.00077574i,-0.0022009+0.00056527i,-0.0042874+0.00018942i,-0.0017574+0.00028027i,-0.0020466+0.0014547i,-0.00017117-0.00047922i,-0.0027655+0.0011794i,0.0014965-0.0020842i,0.00051295-0.0037019i,0.00015463-0.0013719i,-0.0012752+0.0006234i,-6.304e-05-0.0039951i,-0.0017038+0.0017893i,0.0019467+0.00013319i,0.001483+0.0039455i,0.0023185+0.0042174i,-0.00036264+0.0010614i,-0.0014725+0.00056338i,-0.0013455-0.0012103i,0.0033884+0.0045619i,0.013908+0.006954i,0.043816-0.051703i,-0.026625+0.0060772i,0.018441-0.026405i,-0.022676-0.034968i,-0.012279+0.0027129i,-0.034473+0.033352i,-0.020243+0.0041228i,-0.015623+0.0078733i,-0.0028624-0.018523i,-0.041607-0.021524i,-0.0085669+0.0018801i,-0.029211+0.012222i,0.002119+0.015207i,0.00030115+0.0053637i,-0.0054107-0.0038594i,-0.00023883+0.0016868i,-0.01555-0.0042234i,0.0049273+0.013497i,-0.0010119+0.0080108i,-0.0017019+0.00418i,0.00091516+0.0054304i,0.0019401+0.003015i,-0.0019448+0.018793i,0.0039732+0.016268i,0.0051444-0.0051355i,0.011679-0.0045357i,0.0087654+0.0026642i,-0.0043888-0.0079659i,-0.00055606-0.0015966i,0.019285-0.032067i,0.0092507+0.0045976i,0.0071748-0.0020643i,0.0027337-0.00071957i,0.0052907-0.0085519i,0.021287+0.0002849i,0.0062469-0.0037645i,0.0014485-0.0071067i,0.0044966-0.0032963i,0.017119+0.0015611i,0.0063266+0.0038345i,0.0030826-0.0036476i,0.0084768+0.0091822i,-0.002563+0.0052593i,0.0080572+0.0090673i,-0.013326-0.01463i,-0.0088832+0.0018637i,-0.0084343-0.013967i,-0.0077603-0.0054054i,-0.041279+0.0043359i,-0.0056807+0.0040519i,-0.011562+0.00061251i
0.0059878+0.014021i,-0.0004168+0.014135i,0.0051676+0.021038i,0.0056364+0.022265i,0.0046934+0.026879i,0.014222+0.021098i,-0.0071286+0.026369i,0.00029743+0.020887i,0.012002+0.0015144i,0.00053758-0.0034943i,0.0025544+0.00054906i,0.0046489-0.0053396i,1.412e-05-0.0023608i,0.00050365-0.0030205i,-0.00071214-0.0016377i,0.0029631-0.0070264i,-0.0052295-0.0026947i,-0.000571+0.0018168i,0.001516+4.0343e-05i,0.0012454+0.0014055i,-0.0025176+0.0023214i,0.00028797+0.00045505i,0.0016632-0.00034595i,-0.0067456-0.0012708i,-0.000175-0.00046566i,-0.0017467+0.0016083i,-0.0034434+0.0021702i,-0.0011983+0.0007301i,0.00098582+0.0015532i,4.1239e-05-0.00024045i,-0.0017405+0.0029742i,0.00026518-0.0017076i,-0.0014857-0.0033824i,-0.0012555-0.0012928i,-0.0020471+0.00087539i,0.00072781-0.00292i,-0.00039632+0.0022422i,0.0012782-0.0006513i,0.004455+0.003751i,0.0033676+0.0025866i,0.00012451+0.0013423i,-0.0014183+0.00084474i,-0.0018752-0.00084333i,0.0046322+0.0035315i,0.014707+0.0029045i,0.023807-0.060733i,-0.020588+0.013901i,0.0084526-0.034532i,-0.0341-0.026475i,-0.009826+0.0060805i,-0.023098+0.039832i,-0.016278+0.010671i,-0.0051492+0.002302i,-0.0054206-0.016503i,-0.045913-0.0057497i,-0.0084596+0.0026991i,-0.024539+0.02353i,0.0059866+0.010799i,0.0013025+0.0038248i,-0.0095316-0.0064153i,-0.0030894+0.0046728i,-0.014779+0.0052306i,0.010673+0.0097501i,0.0007879+0.010244i,5.673e-06+0.0040702i,0.0030294+0.0063292i,0.0035516+0.0030853i,0.006291+0.015033i,0.0095409+0.0093995i,-0.0013908-0.0072798i,0.0062314-0.0063431i,0.0080495+0.0012112i,-0.0050408-0.00045764i,-0.00086353+0.00097369i,0.0051143-0.034169i,0.011009+0.0016874i,0.0074554-0.0044958i,0.0044929-0.0022449i,0.00099545-0.0055401i,0.019895-0.0089197i,0.0033156-0.0051453i,-0.0016125-0.0064776i,0.00054607-0.0027938i,0.015323-0.0038414i,0.0075457+0.0028256i,0.0023961-0.0024283i,0.01115+0.0060967i,-0.00084666+0.005845i,0.0094332+0.0049229i,-0.019003-0.013048i,-0.0045305-0.012873i,-0.0075886-0.011557i,-0.0080219-0.0040271i,-0.035826+0.018316i,-0.0037117+0.005234i,-0.009746+0.0017554i
0.0091405+0.012528i,0.0011768+0.012628i,0.0078077+0.015375i,0.0086724+0.019862i,0.0094201+0.025144i,0.017523+0.018029i,-0.0030363+0.027423i,0.0043652+0.019343i,0.010612-0.0015399i,-0.00053606-0.0035436i,0.003467+0.00020611i,0.00097008-0.0059187i,-0.00077141-0.0023867i,-0.00016079-0.0030807i,-0.0011553-0.0012552i,-0.00048069-0.0049998i,-0.0060068+0.00014935i,0.00078486+0.0021371i,0.001957-0.0011376i,0.0022502+9.5855e-05i,-0.0010321+0.0021548i,0.0011338+0.00018402i,0.0016011-0.0010909i,-0.0064866-0.00016515i,-5.1233e-05-0.00014824i,-0.00056208+0.0025981i,-0.0014859+0.0028975i,-0.00047506+0.0010331i,0.00015775+0.00088183i,-5.8869e-05-0.00041731i,4.0312e-05+0.0036559i,-0.0004952-0.0011586i,-0.0025944-0.0018353i,-0.0020575-0.00065404i,-0.001661+0.0020754i,0.0020129-0.0032425i,0.00057635+0.0019597i,0.00056512-0.0010629i,0.014246-0.0067042i,0.0036073+0.0011716i,0.00063543+0.0012017i,-0.00046983+0.0016126i,-0.0023077-0.00030099i,0.0050614+0.0013444i,0.014295-0.00058736i,0.0027943-0.060508i,-0.010448+0.017211i,-0.0036363-0.036666i,-0.037772-0.017347i,-0.0043296+0.0072609i,-0.0083044+0.040271i,-0.0063244+0.011519i,-0.0053666-0.0043905i,-0.006577-0.015348i,-0.044113+0.0083182i,-0.0073155+0.0044235i,-0.012309+0.031326i,0.0070971+0.0076463i,-0.00025115+0.0013095i,-0.017408-0.0023946i,-0.0019238+0.006504i,-0.0099381+0.0098748i,0.012525+0.0029405i,0.0050133+0.010165i,-0.0010769+0.0045944i,0.0043515+0.0046596i,0.0050976+0.00083794i,0.0087804+0.0085622i,0.0087967+0.0037643i,-0.0064704-0.0022404i,0.0039812-0.0057625i,0.0092476-0.00029697i,-0.0018388+0.0063898i,0.002325+0.0023993i,-0.0072142-0.035362i,0.011977-0.0035244i,0.0053171-0.0070856i,0.0024989-0.0042042i,0.00093565-0.0041838i,0.013111-0.015713i,8.0472e-05-0.0017892i,-0.0015073-0.0021495i,-0.00051752+0.00037344i,0.011733-0.0065442i,0.010714-0.0012523i,0.0028474-0.0033954i,0.01387+0.00068597i,0.0026769+0.0052238i,0.0089364+0.0014185i,-0.022753-0.0053721i,-0.015942-0.021605i,-0.0061298-0.013616i,-0.0070334-0.0041247i,-0.025784+0.030192i,-0.0036796+0.00015225i,-0.0085627-0.0015624i
0.012303+0.0095623i,0.0033602+0.011764i,0.0081154+0.010352i,0.01136+0.017552i,0.01372+0.02145i,0.020264+0.014186i,0.0023058+0.027562i,0.007735+0.016602i,0.0090573-0.0030623i,-0.0016682-0.0029316i,0.0037727-0.0014313i,-0.0014115-0.0040907i,-0.0016577-0.0021974i,-0.0012932-0.002516i,-0.0016805-0.00083301i,-0.0018282-0.0018247i,-0.0047468+0.003162i,0.001603+0.0016254i,0.0014521-0.0015477i,0.0017842-0.0015407i,6.4441e-05+0.0020353i,0.0016337-0.00049666i,0.0011516-0.0018335i,-0.0064576+0.0014741i,0.0002847-0.00032286i,0.0014012+0.0015039i,-0.00022924+0.0028307i,0.00020439+0.00068885i,0.0012046-0.00012288i,-7.1209e-05-0.00022151i,0.00092974+0.0030999i,-0.0010951-0.00071547i,-0.0032672-0.00044444i,-0.00222+0.00057117i,-0.00065786+0.002529i,0.0021458-0.0049381i,0.0018355+0.0015206i,-0.0001593-0.00089947i,-0.0014016-0.0025943i,0.0037125-0.00011924i,0.0011786+0.00070531i,0.00052818+0.0013463i,-0.0023379+0.00062168i,0.0032961-0.0013282i,0.013333-0.0035237i,-0.014273-0.04942i,-0.0016414+0.014522i,-0.014182-0.033522i,-0.042345-0.0073439i,0.00062574+0.0049384i,0.0046642+0.033583i,0.0018643+0.0051527i,-0.0059353-0.0050004i,-0.006956-0.012488i,-0.0381+0.01992i,-0.0058314+0.0057139i,0.00053051+0.031092i,0.0080609+0.0030715i,-0.0034679+0.0021754i,-0.02034+0.0073393i,-0.0010608+0.0088357i,-0.0054098+0.0099978i,0.009668-0.0029714i,0.0082533+0.008285i,0.00023427+0.0067527i,0.0040334+0.0042996i,0.0052148-0.0025423i,0.0073814+0.0031955i,0.0054855+0.0009774i,-0.0046046+0.0019457i,0.0023104-0.0056133i,0.0086564-0.0028779i,0.0057979+0.0061916i,0.0038299+0.00044765i,-0.013897-0.018338i,0.0091264-0.0074533i,0.0018782-0.0084797i,0.0016457-0.0031617i,0.00016862-0.0045699i,0.0053675-0.017139i,0.0029486+4.7705e-05i,-0.0036866+0.00057708i,0.0023365+0.0023019i,0.0085048-0.0066804i,0.008914-0.0064079i,0.0010021-0.0037165i,0.010861-0.0071248i,0.0037927+0.0016846i,0.0083421-0.002712i,-0.01886+0.0030412i,-0.02805-0.018444i,-0.010631-0.018287i,-0.0074402-0.0057002i,-0.014545+0.028472i,-0.0088144-0.00040658i,-0.011844-0.00051009i
0.013946+0.0060074i,0.0044063+0.0096205i,0.0065711+0.0068987i,0.01372+0.01473i,0.016621+0.017159i,0.021916+0.0098824i,0.0079679+0.025866i,0.0098761+0.013596i,0.008004-0.0040163i,-0.0019706-0.0020929i,0.0026362-0.0025928i,-0.0020828-0.002338i,-0.0022761-0.0017053i,-0.0016356-0.0016864i,-0.0021301-8.7685e-06i,-0.0013572+0.0006928i,-0.002533+0.0048279i,0.0019473+0.00099949i,0.0012832-0.0017189i,0.00053831-0.0024113i,0.0005647+0.001566i,0.0013869-0.0012495i,0.00024279-0.0021838i,-0.0049693+0.002679i,0.00034954-0.00083505i,0.0014594-0.00031423i,0.0011896+0.0018892i,0.00045088+0.00025487i,-0.00040062+0.00092627i,0.000374-0.00023198i,0.0016544+0.0023576i,-0.0012975-0.00032857i,-0.0032001+0.0013547i,-0.0018028+0.0015953i,0.00014772+0.002601i,0.00097746-0.006498i,0.0025748+8.0177e-06i,-0.00034849-0.00037236i,0.0005107-0.0013425i,0.0032176-0.00091338i,0.0011605+0.00013496i,0.00087985+0.00069025i,-0.0016374+0.0018502i,0.00099638-0.00051818i,0.012014-0.0057527i,-0.018997-0.035362i,0.0034369+0.0093017i,-0.022505-0.027461i,-0.044761+0.0060401i,0.0031435+0.00026345i,0.015372+0.027622i,0.0047713-0.0018998i,-0.0051402-0.006344i,-0.0059584-0.012835i,-0.030013+0.028713i,-0.0040811+0.0062756i,0.013489+0.026234i,0.0072999+0.00014105i,-0.0047567+0.0057401i,-0.01721+0.015853i,0.0020807+0.0098608i,-0.0019522+0.012932i,0.0040959-0.0039776i,0.010632+0.0054949i,0.0027683+0.0073852i,0.0048434+0.0043271i,0.0042888-0.0047263i,0.0041616+0.0027128i,0.0028635+0.0020016i,-0.0031933+0.0032943i,0.00092246-0.0045702i,0.0071595-0.0051886i,0.0088224+0.0016631i,0.0037861-0.001831i,-0.014541-0.016881i,0.0054885-0.0095377i,-0.0014009-0.0077575i,0.0028128-0.0033609i,-0.0011254-0.0037346i,-7.7071e-05-0.015648i,0.004675-0.0019046i,-0.0014971+0.0022468i,0.0050719+0.00053623i,0.0067463-0.0081196i,0.0045514-0.011086i,0.00076967-0.0034801i,0.004015-0.0099206i,0.0024162+0.00019378i,0.0045144-0.0063026i,-0.012388+0.0043658i,-0.038138-0.0079366i,-0.01708-0.017846i,-0.0086528-0.0065975i,-0.008439+0.027196i,-0.012581+0.00322i,-0.011108+0.0036622i
0.014927+0.0024512i,0.0047341+0.0084079i,0.004968+0.0056625i,0.015618+0.011594i,0.018025+0.012766i,0.022964+0.0057237i,0.013355+0.022364i,0.011245+0.010685i,0.0073296-0.0052244i,-0.0022206-0.0017119i,0.00098764-0.0029835i,-0.0022737-0.00084462i,-0.0030435-0.0011647i,-0.0015813-0.0012373i,-0.0023005+0.00059931i,-6.339e-05+0.0019691i,0.00017623+0.0053369i,0.0019962+0.00020461i,0.00061256-0.0020893i,-0.00073003-0.0023641i,0.0013394+0.0012194i,0.00098463-0.0017408i,-0.00056571-0.0019681i,-0.0042279+0.0025746i,1.3712e-05-0.00064337i,0.00059423-0.0014416i,0.0013223+0.00034553i,0.00063164-0.00024186i,0.00062604+0.00057278i,0.00042761-0.00080611i,0.0021922+0.0014127i,-0.0014575+2.0092e-06i,-0.0020834+0.0026596i,-0.00087207+0.0021428i,0.00077134+0.0025333i,-0.0013706-0.0072465i,0.0013174-0.0018282i,-0.00022291-0.00023204i,0.00013876-0.0015749i,0.0025981-0.0012733i,0.0010514-7.9062e-05i,0.00087402+0.00042698i,-0.0010807+0.00039268i,0.00079979+0.0010844i,0.010639-0.0071318i,-0.018046-0.027899i,0.0052493+0.0050837i,-0.027383-0.018027i,-0.039415+0.018142i,0.00042907-0.0043453i,0.018063+0.02005i,0.0055168-0.0082842i,-0.0047231-0.0068961i,-0.0072874-0.012485i,-0.02014+0.032834i,-0.0034501+0.0070677i,0.020011+0.012379i,0.0059475-0.0026766i,-0.0029397+0.0092963i,-0.0096558+0.021712i,0.0054727+0.0084936i,0.0043398+0.010789i,0.0018733-0.0018904i,0.012654+0.00072829i,0.0051729+0.0072707i,0.006195+0.00343i,0.00011584-0.0081201i,0.0040244+0.0044415i,0.0037762+0.0037494i,-0.0008501+0.0058496i,0.0010501-0.0040074i,0.0053107-0.0061993i,0.0088714-0.0033472i,0.0030485-0.0037454i,-0.020502-0.014584i,0.0016853-0.010242i,-0.0045376-0.0063366i,0.00096098-0.004673i,-0.0016616-0.0022049i,-0.0026739-0.012359i,0.0037001-0.0032764i,0.00057325+0.0019838i,0.0049059-0.0034957i,0.0038546-0.0092509i,-0.0027805-0.010983i,8.242e-05-0.0044666i,-0.00040615-0.0068502i,0.0019583-0.00113i,-0.00027275-0.0057709i,-0.0095749+0.0041441i,-0.034973+0.009316i,-0.023193-0.014681i,-0.010141-0.0064322i,-0.0047276+0.026112i,-0.011403+0.0093696i,-0.0065105+0.0047056i
0.014947-0.0012069i,0.0056265+0.007562i,0.0041659+0.0053447i,0.016841+0.0080076i,0.018521+0.0091122i,0.023401+0.0011619i,0.017497+0.017472i,0.011863+0.007909i,0.0064531-0.0062963i,-0.0025616-0.0009241i,-0.00041757-0.0020623i,-0.0014146+0.00052705i,-0.0037397-3.9916e-05i,-0.0018729-0.0013142i,-0.0021549+0.0013112i,0.0010627+0.0024228i,0.0026151+0.0046982i,0.001771-0.00018762i,0.00013041-0.0020938i,-0.0014423-0.0015841i,0.0018745+0.00053067i,0.00036469-0.0020847i,-0.0010634-0.0014836i,-0.004112+0.0034548i,-0.00022898-0.00066189i,-0.00063481-0.0016373i,0.00099683-0.0004666i,0.00039855-0.00094573i,0.00083184-0.00025001i,-9.6132e-05-0.0013393i,0.002728+0.0005797i,-0.0012305+0.00090078i,-0.00020759+0.0028434i,6.7461e-05+0.0021668i,0.0015904+0.001866i,-0.0044055-0.0069484i,0.00033696-0.0010434i,-0.00024888-0.00038174i,-0.00012593-0.0013282i,0.0020596-0.0014936i,0.001003-0.0004869i,0.001131+0.00018797i,-0.0011438+0.00045296i,0.00147+0.0013453i,0.0098054-0.008884i,-0.018153-0.026031i,0.0064128+0.0019877i,-0.026155-0.0091182i,-0.027687+0.028132i,-0.0020078-0.004537i,0.020247+0.013339i,0.003281-0.014242i,-0.004257-0.0080025i,-0.00758-0.010414i,-0.011663+0.035383i,-0.00097736+0.0070717i,0.014323+0.00037527i,0.0031408-0.0049978i,0.00031801+0.010681i,-0.0017693+0.022179i,0.0069877+0.0057423i,0.0060758+0.0056675i,0.0023222-0.00091581i,0.01193-0.0035142i,0.0095607+0.0053755i,0.0072677+0.0025139i,-0.0046322-0.0044906i,0.0059264+0.0046815i,0.0057575+0.0040532i,0.0028155+0.0057387i,-4.8833e-05-0.0043815i,0.0037859-0.0074336i,0.006106-0.0088482i,-3.5171e-05-0.0044861i,-0.025853-0.0072194i,-0.0014697-0.0095481i,-0.005582-0.0025669i,0.00080539-0.0028412i,-0.0017426-0.0015328i,-0.0039656-0.012201i,0.0019696-0.0035557i,0.0013025+0.00032781i,0.0022834-0.0049084i,0.001249-0.0090705i,-0.0067054-0.006705i,-0.0020312-0.0048411i,-0.0015952-0.0065197i,0.00032031-0.0016763i,-0.0023722-0.0030111i,-0.0063897+0.0044457i,-0.026571+0.011591i,-0.023316-0.010122i,-0.011964-0.0058289i,0.00041675+0.024026i,-0.0092555+0.011619i,-0.0048722+0.0031881i
0.013827-0.0048162i,0.0069533+0.0068766i,0.004068+0.00571i,0.017172+0.0045311i,0.018494+0.0059115i,0.022634-0.0032763i,0.020421+0.011704i,0.012309+0.0057189i,0.0054016-0.0074499i,-0.0022042-0.00022326i,-0.00077327-0.00038549i,-0.00028957+0.00047825i,-0.0038262+0.0014503i,-0.0028095-0.00063765i,-0.0016385+0.0021305i,0.0023124+0.0019743i,0.004312+0.0031794i,0.001753-0.00040361i,-0.00030193-0.0020503i,-0.0014649-0.00054303i,0.0021149-0.00033359i,-0.00023735-0.0018713i,-0.0012841-0.00094331i,-0.0028864+0.0045258i,-0.0006602-0.00068535i,-0.0011529-0.0011378i,0.00028629-0.0012647i,-0.00027816-0.0013342i,0.00043938-0.00096943i,-0.00083985-0.0013651i,0.002612-0.0011623i,-0.00050274+0.00072189i,0.00066479+0.0020617i,0.000692+0.0019061i,0.0017904+0.0010531i,-0.0076981-0.0048432i,-1.3688e-05-0.0012393i,-0.00057989-0.00029308i,-0.00066507-0.0015525i,0.001823-0.0015252i,0.00083403-0.00076151i,0.001266-0.00014408i,-0.0012103+0.00051309i,0.0019566+0.0013669i,0.0082684-0.011045i,-0.022811-0.024294i,0.0061495-0.0016107i,-0.024247-0.0025242i,-0.014445+0.031336i,-0.0044255-0.0043355i,0.021928+0.0058379i,7.2835e-05-0.016873i,-0.0044915-0.0090271i,-0.0067727-0.0078049i,-0.0018966+0.035672i,0.0013952+0.0059199i,0.0082494-0.0013417i,6.9895e-05-0.0055385i,0.0048919+0.011252i,0.0050303+0.01942i,0.0070707+0.0028867i,0.0065009+0.00032674i,0.0017353-0.00041918i,0.0093842-0.008001i,0.012143+0.00094803i,0.0083937+0.0008747i,-0.0052805-0.0012017i,0.0076604+0.0039721i,0.0079681+0.0034425i,0.006164+0.0032843i,-0.0011325-0.0039049i,0.0020843-0.0088174i,0.00035364-0.0098486i,-0.0014397-0.0025158i,-0.028267+0.0022764i,-0.0037777-0.0084174i,-0.0050436-0.0004034i,0.0010046-0.0027021i,-0.0019638-0.0011267i,-0.0075372-0.012143i,-0.00056371-0.0043514i,0.0016427-0.00038036i,0.00023882-0.0051421i,6.2797e-05-0.0084442i,-0.0083168-0.0034706i,-0.0042393-0.003037i,-0.0044089-0.0054237i,-0.00012609-0.0016871i,-0.0022006-0.0012849i,-0.0033659+0.0038051i,-0.024874+0.013236i,-0.022863-0.008219i,-0.013627-0.0041402i,0.0023681+0.022507i,-0.0077025+0.012511i,-0.0038687+0.0022808i
0.011974-0.0073383i,0.0088617+0.0053693i,0.0053255+0.0058579i,0.016886+0.0012572i,0.018571+0.0032093i,0.021039-0.0073187i,0.021293+0.0049299i,0.012713+0.0034715i,0.0040714-0.0083397i,-0.0020795-0.00015137i,0.00014125-0.0027087i,-0.0002082-0.00023838i,-0.0031945+0.0027891i,-0.0028506+0.00056403i,-0.00079115+0.0026645i,0.0028133+0.000766i,0.0048734+0.0010441i,0.0014805-0.00086726i,-0.00088627-0.0018056i,-0.00096895+8.7139e-06i,0.002109-0.0012825i,-0.00042053-0.0016121i,-0.0011941-0.00048971i,-0.0011624+0.0049164i,-0.0012041-0.00048833i,-0.0018285-0.00053636i,-0.00089762-0.0014979i,-0.0011175-0.0012106i,-0.00028593-0.0013951i,-0.0015044-0.00099043i,0.0011844-0.0013223i,-0.00073158+0.00087838i,0.00087784+0.0015257i,0.0012469+0.001516i,0.0017164+0.00042262i,-0.0092295-0.00094275i,-0.0008238-0.0010113i,-0.00068533-3.3147e-05i,-0.0014062-0.0013719i,0.0015368-0.0017807i,0.00053432-0.00093398i,0.0012857-0.00051445i,-0.0012889+0.00068097i,0.0024988+0.001191i,0.0057556-0.012358i,-0.028468-0.019276i,0.0049307-0.0045644i,-0.018445+0.0035139i,-0.0027826+0.032029i,-0.0058901-0.0011894i,0.021464-0.0021581i,-0.00070918-0.019873i,-0.0042931-0.009535i,-0.0039319-0.0053075i,0.0068905+0.033161i,0.0020466+0.0036433i,0.0049003-0.002419i,-0.0033594-0.0049679i,0.010269+0.0084138i,0.0082324+0.015001i,0.005272+0.00084043i,0.0045729-0.0042182i,0.0028274+0.0019515i,0.0045467-0.010416i,0.011937-0.0053755i,0.0090271-0.0013956i,-0.0054361+0.0019449i,0.010187+0.0023125i,0.010892+0.00053244i,0.0068084-0.00054389i,-0.0019365-0.0032204i,-0.00084517-0.0090255i,-0.0037856-0.0032851i,-0.00087107-0.00073724i,-0.02711+0.013365i,-0.0060817-0.007356i,-0.0044127+0.0017916i,0.00013317-0.0053878i,-0.0018085+0.00020226i,-0.011868-0.009144i,-0.0031988-0.0029922i,0.0013342-0.0015539i,-0.001561-0.0045409i,-0.0020057-0.0079878i,-0.0083464+0.0013545i,-0.00453-0.00019856i,-0.0081321-0.0019579i,-0.0011522-0.002812i,-0.0014422-0.0008426i,-0.0011865+0.0033251i,-0.023288+0.019636i,-0.022919-0.0086318i,-0.012424-0.00097894i,0.0065606+0.021739i,-0.0064996+0.014501i,-0.0025075+4.4801e-06i
0.010199-0.0093264i,0.010196+0.0030959i,0.0068729+0.0046351i,0.015921-0.0017503i,0.018505+0.00049915i,0.018939-0.010537i,0.019837-0.0010431i,0.012725+0.0011021i,0.0028071-0.0089721i,-0.0022653+0.00043134i,-0.00078409-0.00142i,-0.00091463-0.00027922i,-0.0022675+0.0036325i,-0.0023455+0.001554i,7.9125e-05+0.0028586i,0.0020931-0.00023851i,0.0043016-0.00071265i,0.0012529-0.00096593i,-0.00093166-0.0015983i,-0.00041115+0.00014157i,0.0019254-0.0021734i,-0.00044498-0.0015862i,-0.00089642-0.00028215i,0.00049963+0.0049139i,-0.0015282-2.8959e-05i,-0.0021606+0.00042607i,-0.0021431-0.0010066i,-0.0016091-0.00059032i,-0.0012415-0.0013205i,-0.0020923-0.00035518i,0.00080518-0.0011943i,-0.00053616+0.0014531i,0.0012898+0.0011394i,0.001804+0.00095099i,0.0014217-4.9635e-05i,-0.0093563+0.0029054i,-0.0011875-0.00061872i,-0.00080784+7.6672e-05i,-0.0019294-0.00077696i,0.0010392-0.0019375i,0.00036261-0.00098357i,0.0013203-0.00088249i,-0.0013464+0.00095329i,0.0028627+0.0006795i,0.0036597-0.012561i,-0.029011-0.010685i,0.0020516-0.0063538i,-0.011975+0.0046539i,0.008824+0.028821i,-0.0046435+0.0027534i,0.017938-0.0088948i,-0.0044173-0.024788i,-0.0039708-0.010187i,0.0015709-0.0044348i,0.015776+0.027294i,0.0019962+0.0022019i,0.0013699-0.0022632i,-0.005557-0.0024105i,0.012559+0.0023414i,0.010357+0.013121i,0.0025437+0.0013661i,0.00098211-0.0076371i,0.0060071+0.00078102i,-0.00063448-0.0097141i,0.0079496-0.0095047i,0.0083601-0.0043061i,-0.0049037+0.0043164i,0.011511-0.0023251i,0.010832-0.0057034i,0.0059911-0.0042737i,-0.0024414-0.0026012i,-0.0036461-0.0081268i,-0.0026211-0.011744i,0.00036385-0.00096064i,-0.020096+0.024793i,-0.008615-0.0052757i,-0.0022476+0.003296i,-0.0044008-0.0051526i,-0.00079061+0.00078039i,-0.014781-0.0044009i,-0.0035558+6.0791e-05i,-2.006e-05-0.0024079i,-0.0033067-0.0030297i,-0.004167-0.0063309i,-0.0056016+0.004408i,-0.0031703+0.0016945i,-0.0078746+0.0030045i,-0.0039153-0.0028963i,-0.0016948-0.00091361i,0.0031035+0.0027981i,-0.012223+0.024985i,-0.027073-0.0075765i,-0.010653-0.0028688i,0.0088717+0.018796i,-0.0035042+0.016654i,-0.0034708-0.003447i
