-0.026243-0.0047572i,-0.021165-0.0080645i,-0.013332-0.014145i,-0.036232-0.0095516i,-0.026924+0.0015367i,-0.03698-0.0035198i,-0.067283-0.035205i,-0.034009-0.014159i,-0.023658+0.0031368i,0.0068067+0.0065526i,-0.0049363+0.0072913i,-0.0082634+0.018348i,0.0051003+0.007305i,-0.00095393+0.0037386i,0.0039958+0.0042213i,0.0051726+0.026016i,0.021035+0.017881i,0.0012615-0.00077562i,0.00043745-0.0052964i,0.0093591+0.0009271i,0.0047082-0.0021774i,0.0028596+0.0024237i,0.00096915-0.00040931i,-0.022761-0.00085338i,-0.0051459-0.0042376i,-0.00075658+0.0037106i,0.0031493-0.0034189i,-0.0017747-2.2049e-05i,-0.00068887+0.00097578i,-0.0025265-0.0016675i,-0.004194-9.7129e-05i,-0.0059527-0.0087228i,-0.0056568-0.0035614i,-0.00070537-1.7865e-05i,-0.00054804-0.0023135i,-0.00019305+0.019255i,0.0028993-0.0041368i,0.00095176-0.0046054i,0.0028342-0.0021957i,-0.0021113-0.0035872i,0.00098649-0.00015788i,0.0080432-0.00074453i,0.0035243-0.0028321i,0.0001323+0.0022736i,-0.013265+0.015501i,-0.026965+0.053929i,-0.0062709-0.036644i,-0.015464-0.01882i,-0.040407-0.016378i,-0.027516-0.012199i,0.034951-0.0105i,0.0055417-0.030099i,0.013026-0.037968i,-0.0094291-0.029567i,0.024772-0.023358i,0.013338+0.0073915i,0.024352-0.037152i,-0.0018591-0.0045715i,0.0060846-0.0090717i,-0.0007393-0.0057083i,0.00041197-0.034959i,-0.012758+0.029025i,0.0083656-0.011738i,-0.0081148-0.0049507i,-0.0024491-0.0021542i,-0.00020583-0.014942i,-0.0083067+0.006097i,0.0038372+0.0064461i,-0.00026541+0.02775i,0.0027674+0.00034121i,-0.0072022-0.0041083i,-0.0038866-0.0062109i,-0.014285-0.0097379i,-0.0027157-0.0057328i,-0.031743+0.0079967i,-0.0051217-0.0090073i,-0.012648-0.0010593i,-0.0087688-0.0063958i,0.0016303-0.0015375i,-0.013463+0.0029563i,-0.0016852-0.00047554i,0.0056036+0.0058096i,0.003334-0.0051158i,-0.0071421-0.012171i,0.0072224+0.0086342i,-0.01733+0.0041124i,0.0051178-0.00040531i,-0.018517-0.003081i,-0.01652-0.0034844i,-0.015134-0.035135i,0.020588-0.0098229i,-0.040696-0.022774i,-0.0094525+0.0051241i,0.017917+0.015069i,-0.021443+0.01715i,-0.0049247-0.0028802i
-0.028-0.00091066i,-0.019971+0.00050444i,-0.014234-0.014507i,-0.037972-0.0045169i,-0.02593+0.0022771i,-0.038506+0.0039462i,-0.071193-0.023561i,-0.034354-0.0094327i,-0.02078+0.0078284i,0.0057349+0.003916i,-0.0053555+0.0058954i,0.00061591+0.020616i,0.0081443+0.0050076i,-0.0027575+0.0057649i,0.0044802+0.0026847i,0.0098469+0.020276i,0.020106+0.009673i,0.0017383-0.00013261i,-0.0012177-0.0034127i,0.0081983-0.0031962i,0.0027146-0.0027732i,0.0025421+0.0013426i,0.0010778-0.00067148i,-0.012578+0.0084886i,-0.0062679-0.0017487i,0.0020657+0.0022564i,0.00044474-0.0020479i,-0.0010423+0.0017795i,0.000561+0.00049967i,-0.002994-0.00059107i,-0.0028638+0.0010875i,-0.0072594-0.0066135i,-0.0030713-4.0077e-05i,-0.00053269-9.2794e-05i,-0.00045762-0.0014003i,0.0046984+0.017807i,0.0016025-0.0051071i,-0.0012041-0.0043004i,0.0028437-0.0034137i,-0.0014265-0.0031651i,0.0014767-1.5247e-05i,0.0072479-0.0032204i,0.0017126-0.0028408i,-0.0014542+0.0026184i,-0.0090869+0.016271i,-0.006682+0.05956i,-0.014655-0.035778i,-0.026103-0.020656i,-0.030937-0.0042924i,-0.02059-0.001795i,0.031999-0.032386i,0.0064055-0.04537i,0.015566-0.037257i,-0.014794-0.029934i,0.014331-0.018403i,0.011816-0.0030897i,0.013107-0.036129i,0.0005427-0.0012515i,-0.0023297-0.017456i,-0.0019598-0.0067557i,-0.022697-0.032277i,-0.00094234+0.024536i,0.002699-0.015425i,-0.010807-0.0013821i,-0.00095217-0.00094922i,-0.007442-0.014027i,-0.0075589+0.010339i,0.0089367+0.005796i,0.016444+0.021455i,0.0015229-0.0017672i,-0.0070298-0.00023664i,-0.0082971-0.004855i,-0.018914+0.0011081i,-0.0022046-0.0041329i,-0.028613+0.021423i,-0.0086183-0.0034172i,-0.012242+0.003476i,-0.012829-0.0005815i,-0.0011263-0.0054128i,-0.010276+0.0068445i,-0.0005548-0.0019339i,0.0032919+0.00023977i,-0.00044762-0.0056697i,-0.015324-0.00040943i,0.0087117+0.0032479i,-0.012193+0.011147i,0.0048003-0.0031001i,-0.016739+0.0037634i,-0.017825+0.0017787i,-0.021215-0.03215i,0.015867-0.017317i,-0.042329-0.014218i,-0.0012832-0.0018922i,0.018885+0.0090495i,-0.014197+0.021775i,-0.011538-0.0072612i
-0.02736+0.0046843i,-0.015196+0.00056588i,-0.017019-0.01531i,-0.038872+0.0024001i,-0.025561+0.0032516i,-0.03888+0.011881i,-0.076737-0.0076656i,-0.036688-0.0041052i,-0.018388+0.010657i,0.0042707+0.0028948i,-0.005452+0.0085988i,0.007428+0.016525i,0.0085816+0.0011998i,-0.0020859+0.0082597i,0.0045982+0.001514i,0.011453+0.014312i,0.020501+0.0051214i,0.0025986-0.00034922i,-0.0012925-0.0024133i,0.0061944-0.0052348i,0.0011655-0.0021962i,0.0034979+0.0012113i,0.00084716-0.001334i,-0.0042144+0.010504i,-0.0056717+0.00063073i,0.0046549+0.00046543i,-0.00055955-0.0012994i,0.00092363+0.0015465i,0.00053507+7.7535e-05i,-0.0025282+0.00057839i,-0.0019889+0.0016381i,-0.0094984-0.0034394i,0.00075787-0.00719i,-0.00031363-0.00021039i,-0.00028069-0.0023991i,0.0092019+0.013828i,5.9679e-05-0.0050756i,-0.0023603-0.0029519i,0.0012727-0.0051862i,-0.0025185-0.0031921i,0.0017647-0.00055899i,0.0048882-0.0053193i,0.001209-0.0025396i,-0.0011943+0.0032682i,-0.0059497+0.015162i,0.012227+0.056952i,-0.021936-0.031663i,-0.034769-0.010423i,-0.016641-0.0027818i,-0.013971-0.0043811i,0.021871-0.049266i,-0.0079538-0.057789i,0.02048-0.04308i,-0.020335-0.024788i,0.010455-0.016797i,0.0081742-0.0068477i,-0.0010597-0.038172i,0.0082853-0.0050676i,-0.011318-0.013883i,-0.0033217-0.0095772i,-0.039436-0.018412i,0.0053373+0.020945i,-0.0047984-0.01477i,-0.0086136+0.0030359i,-0.0022214-0.0013096i,-0.013569-0.01107i,-0.00028371+0.013472i,0.013537-0.00086548i,0.023383+0.0069728i,0.00044332-0.0026702i,-0.0068257+0.00023391i,-0.010293-0.0020927i,-0.015509+0.011201i,-0.0068713-0.0029116i,-0.019213+0.026491i,-0.0078734+0.00091006i,-0.010372+0.009213i,-0.013101+0.0080153i,-0.0070417-0.004251i,-0.0085045+0.0085178i,-0.0029272-0.0023799i,-0.00090782-0.00020427i,-0.002844-0.0049887i,-0.0097323+0.007291i,0.0067621-0.0018166i,-0.0065852+0.012553i,0.0013713-0.0068767i,-0.013346+0.0075504i,-0.015496+0.0059649i,-0.024214-0.027239i,0.0086363-0.018786i,-0.043853+0.0043412i,-0.0066659-0.011758i,0.018693+0.0020679i,-0.0042105+0.020889i,-0.013808-0.0043533i
-0.024413+0.0090258i,-0.015278-0.0022429i,-0.021121-0.015647i,-0.036341+0.0098489i,-0.026161+0.0041226i,-0.035235+0.020837i,-0.0741+0.015825i,-0.037322+0.0048131i,-0.015874+0.014605i,0.003963+0.0029216i,-0.0021084+0.010856i,0.0099232+0.011624i,0.0075889-0.0019489i,0.001248+0.010177i,0.0041792+0.00026986i,0.010381+0.0084364i,0.021178-0.0029291i,0.0018377-0.0012244i,-0.0020713-0.00025138i,0.0031482-0.0063729i,0.0012364-0.0013437i,0.0044813+8.3166e-05i,0.00013678-0.0015245i,0.0026279+0.012556i,-0.0044267+0.002151i,0.0019961-0.0040446i,1.6014e-05-0.0015641i,0.00092894+0.00044524i,0.00087056+5.4424e-05i,-0.0023698+0.0010845i,-0.0010138+0.0021128i,-0.009531+0.0010246i,-0.0098637-0.0067108i,-0.00011862-0.00035458i,-0.0020181-0.0021668i,0.010776+0.0093669i,-0.0017248-0.0050547i,-0.00277-0.0018581i,-0.0013733-0.0050712i,-0.0028061-0.0016937i,0.0015146-0.0013167i,0.0018063-0.0057125i,0.00031102-0.0024339i,-0.00058274+0.0030441i,-0.0029917+0.014171i,0.028755+0.04838i,-0.027853-0.024243i,-0.033663+0.0050868i,-0.010634-0.0066987i,-0.012069-0.0045497i,0.003225-0.063829i,-0.027268-0.056964i,0.016316-0.059792i,-0.021742-0.020654i,0.0066851-0.015173i,0.0035589-0.010888i,-0.013212-0.034681i,0.0042237-0.014642i,-0.014752-0.0087954i,-0.0094485-0.011741i,-0.04349+0.0041846i,0.013702+0.014907i,-0.010788-0.012306i,-0.0061927+0.0040531i,-0.0028875-0.00039275i,-0.018209-0.0053928i,0.0065379+0.0091679i,0.013189-0.0083489i,0.021892-0.005831i,-0.00075999-0.0028571i,-0.0079942+0.001425i,-0.011462+0.002935i,-0.010233+0.018683i,-0.0079076+0.0022188i,-0.010553+0.028948i,-0.0065255+0.0029635i,-0.0043131+0.012429i,-0.0067264+0.014042i,-0.010538+0.0015125i,-0.0042716+0.0096741i,-0.004333-0.0016073i,-0.0027892+0.0018038i,-0.0057358-0.003728i,-0.0062244+0.0059946i,0.0012031-0.005184i,-0.0037773+0.014725i,-0.0037653-0.0058677i,-0.0092608+0.01039i,-0.012918+0.0067204i,-0.026066-0.024144i,0.0088647-0.017682i,-0.037434+0.01794i,-0.015612-0.01168i,0.017507-0.0038249i,0.0048286+0.015906i,-0.012256-0.0017709i
-0.021987+0.013143i,-0.01883-0.0012206i,-0.027659-0.013142i,-0.032306+0.01509i,-0.028339+0.0060088i,-0.028864+0.027751i,-0.057467+0.029959i,-0.032574+0.012545i,-0.0097791+0.017347i,0.0041602+0.002732i,0.0017785+0.0094865i,0.011644+0.0079916i,0.0053946-0.0040437i,0.0053507+0.009272i,0.0035323-0.00068295i,0.0075216+0.0074796i,0.014767-0.01098i,-0.00018061-0.0034072i,0.00038047+0.0029226i,-4.0281e-05-0.0056231i,0.0016563-0.00053145i,0.003975-0.0018548i,-0.00067335-0.0011021i,0.01318+0.0075319i,-0.0031724+0.0035453i,0.00085231-0.0037251i,-0.00069108-0.0011909i,0.0016721+0.000503i,0.0010429-0.00052292i,-0.0017189+0.0021743i,0.00026378+0.0020952i,-0.007185+0.005026i,-0.007929+0.00079452i,-0.00047089-0.00058687i,-0.0023088-0.00088416i,0.012818+0.0070666i,-0.0032177-0.0038458i,-0.0034923-0.00076961i,-0.0028917-0.003273i,-0.0021416-0.0026587i,0.00055823-0.0018526i,2.1639e-05-0.0042475i,0.00017628-0.0016568i,-0.0014926+0.0034822i,-0.0017147+0.011507i,0.041614+0.033046i,-0.026926-0.013794i,-0.025102+0.014437i,-0.0074796-0.01161i,-0.0096164-0.0038944i,-0.024018-0.067522i,-0.041889-0.047009i,-0.0036831-0.0687i,-0.027406-0.013378i,0.0056117-0.012486i,-0.0020054-0.011153i,-0.02365-0.026357i,-0.0039325-0.01703i,-0.017166-0.0049826i,-0.018436-0.0070962i,-0.035536+0.020492i,0.01532+0.0048163i,-0.016654-0.0063342i,-0.0047786+0.0048988i,-0.003344+0.0013798i,-0.018442+0.0027402i,0.0056696+0.0035541i,0.010372-0.013007i,0.016612-0.016399i,-0.0017731-0.0028082i,-0.0096815+0.005106i,-0.0086544+0.0075245i,-0.0016153+0.021142i,-0.0066643+0.0063026i,-0.0093217+0.033998i,-0.0063579+0.0043007i,3.3555e-06+0.01026i,0.00015938+0.015292i,-0.010775+0.0068133i,-0.0019138+0.0070227i,-0.0057327-0.00011989i,-0.002434+0.0053464i,-0.0094741-0.0010156i,-0.0060118+0.0042677i,-0.0035953-0.0027609i,0.0029202+0.016367i,-0.0068161-0.003131i,-0.0031893+0.011444i,-0.012746+0.0088183i,-0.031151-0.018769i,0.012867-0.024623i,-0.026275+0.031831i,-0.021046-0.004749i,0.014133-0.01061i,0.0068399+0.0070262i,-0.01087-0.0019896i
-0.017771+0.015923i,-0.018391+0.0013829i,-0.032974-0.005817i,-0.02839+0.018978i,-0.030844+0.011297i,-0.020168+0.031619i,-0.042559+0.034871i,-0.026743+0.016754i,-0.0050793+0.016487i,0.0039215+0.0028359i,0.0028634+0.008326i,0.012277+0.0025375i,0.0029052-0.0049009i,0.0085306+0.0067562i,0.0028205-0.001132i,0.0077043+0.0084494i,0.0064752-0.011625i,-0.00098708-0.0037854i,0.0033549+0.0018641i,-0.001343-0.004305i,0.0020923-0.0022415i,0.0024894-0.0032526i,-0.00069147-0.00042091i,0.014667-0.0029538i,-0.00068465+0.0046105i,-0.00010123-0.0019753i,-0.00021874+0.0020573i,0.0021216-0.0008555i,0.00061205-0.0013406i,0.00014722+0.0027354i,0.0016262+0.001178i,-0.0044143+0.0065235i,-0.0068521+0.0034617i,-0.0006401-0.00017926i,-0.0017842-0.00029815i,0.015086+0.0031153i,-0.0043238-0.0020693i,-0.0041672+0.00034795i,-0.0036871-0.0022134i,-0.0039172-0.0037332i,0.00019191-0.0014571i,-0.0010792-0.0030101i,-1.2387e-05-0.0014839i,-0.00062507+0.0043259i,-0.0018184+0.010758i,0.038744+0.013712i,-0.018099-0.0079265i,-0.017235+0.020807i,-0.0057595-0.013843i,-0.0065603-0.006842i,-0.048881-0.052599i,-0.053043-0.03239i,-0.021444-0.063802i,-0.021694+0.002987i,0.010394-0.0091368i,-0.005775-0.0090304i,-0.026174-0.012337i,-0.011048-0.016419i,-0.02086+0.0011815i,-0.01766+0.0021656i,-0.02468+0.032468i,0.0126-0.0010161i,-0.014655+0.0028731i,-0.0064408+0.0047515i,-0.00039242+0.0032993i,-0.014099+0.010996i,0.005494+0.0045596i,0.0046979-0.022596i,0.00062957-0.027951i,-0.0053758-0.003309i,-0.0091584+0.010545i,-0.0064779+0.010109i,0.0061548+0.020022i,-0.0024053+0.0090296i,0.0046914+0.05005i,-0.0059848+0.0060635i,0.0011249+0.0093994i,0.0063918+0.012773i,-0.0068589+0.015564i,-0.0011363+0.0070215i,-0.0071525+0.0020727i,0.0016072+0.0072213i,-0.0094119+0.0077573i,-0.0065856+0.0049529i,-0.0030785+0.0026099i,0.0073579+0.012924i,-0.0087307-0.0015523i,0.00027692+0.0073358i,-0.0092451+0.011794i,-0.029018-0.0063472i,0.0035067-0.039881i,-0.0021785+0.033391i,-0.019954+0.0023177i,0.013599-0.018148i,0.0064762-0.0012613i,-0.0095751+0.00060875i
-0.013107+0.017679i,-0.021387+0.00090353i,-0.03566+0.003084i,-0.023915+0.022894i,-0.029946+0.018758i,-0.012429+0.032313i,-0.03074+0.03497i,-0.021553+0.018841i,-0.0026379+0.015497i,0.0053401+0.0021552i,0.0061964+0.0077763i,0.0082337-0.0017537i,0.00011786-0.0042382i,0.010825+0.0020221i,0.002287-0.0014649i,0.0092973+0.0085258i,0.00078509-0.0091069i,-0.0029282-0.0040382i,0.0034479-0.0011174i,-0.0016401-0.0028254i,0.0011366-0.0031667i,0.0027738-0.0034334i,-0.00055189-9.0263e-05i,0.009524-0.0094015i,0.002493+0.003742i,-0.0011876-0.00081302i,0.0021646-0.00085084i,0.0014079-0.0023452i,-0.00013719-0.0010028i,0.0013807+0.001705i,0.0017662-0.00031248i,-0.0011384+0.0073776i,-0.0038453+0.0057902i,-0.00046312+8.8099e-05i,-0.002167-0.00024612i,0.014348-0.0028211i,-0.0035661-8.6878e-05i,-0.0034282+0.0020998i,-0.0042029-0.00029534i,-0.0064638-0.0018047i,-0.00065872-0.0014505i,-0.00063064-0.0031444i,-0.00013767-0.0013689i,0.00011633+0.0031868i,-0.0012012+0.011206i,0.031432+0.010926i,-0.014452-0.011085i,-0.0014348+0.024606i,-0.0042189-0.016182i,-0.011325-0.011213i,-0.058902-0.033054i,-0.050745-0.013007i,-0.038247-0.055842i,-0.0078541+0.005951i,0.013382-0.021584i,-0.0068436-0.0060267i,-0.022171-0.0065829i,-0.021134-0.011524i,-0.014589+0.011358i,-0.01529+0.0062305i,-0.0052376+0.035255i,0.011051-0.0043975i,-0.012573+0.0062003i,-0.0019351+0.0056091i,-0.0012048+0.00043183i,-0.0065172+0.01486i,0.0085983+0.0016648i,-0.011639-0.023232i,-0.017959-0.020163i,-0.005473+0.0025101i,-0.0040956+0.013646i,-0.00075909+0.011176i,0.013957+0.012995i,0.0011265+0.0084814i,0.028427+0.042405i,-0.0026137+0.0074704i,0.0031536+0.0090754i,0.010248+0.0079458i,0.0046604+0.017134i,-0.0031177+0.0073402i,-0.0063998+0.0084204i,0.006038+0.0072622i,-0.004103+0.012478i,-0.0063529+0.0080402i,-0.0015899+0.003989i,0.0096844+0.0081381i,-0.0091811+0.002185i,0.001695+0.0031501i,-0.0054385+0.011697i,-0.022365-0.00091601i,-0.018935-0.041065i,0.014138+0.018311i,-0.018267+0.0080219i,0.0032759-0.026337i,0.0012665-0.0065601i,-0.0043643-0.00093899i
-0.0082571+0.018214i,-0.024167+0.0076879i,-0.034295+0.012738i,-0.017729+0.025428i,-0.02513+0.025309i,-0.0063474+0.031584i,-0.022387+0.033025i,-0.016642+0.01972i,0.00073272+0.015582i,0.006068+0.00057078i,0.0084263+0.0034994i,0.004414-0.0011623i,-0.00093138-0.0023361i,0.0088682-0.0017437i,0.0017416-0.0018816i,0.012033+0.007139i,-0.0015327-0.0050899i,-0.0057206-0.001596i,0.0012894-0.0014142i,-0.0021462-0.0023787i,-0.0005806-0.0031779i,0.0017874-0.0038457i,-0.00059996+0.00029608i,0.0036903-0.012148i,0.0038487+0.0011247i,-0.00082393-0.00061768i,0.0012596-0.003464i,-3.3472e-05-0.0021982i,4.1947e-05-0.00085024i,0.0012214+0.00066093i,0.00096999-0.0013917i,0.0023126+0.0062921i,-0.003839+0.007883i,-0.00018276+9.0235e-05i,-0.0018329+0.0010436i,0.011805-0.0067192i,-0.0025046+0.00056045i,-0.0019346+0.0027946i,-0.0031182+0.0008672i,-0.0064098+0.0013363i,-0.0011899-0.00065232i,-0.0014325-0.0029599i,-0.00038382-0.0010966i,-0.00053677+0.0026995i,9.921e-05+0.012701i,0.036058+0.014615i,-0.01562-0.014412i,0.012316+0.01848i,-0.0050698-0.021857i,-0.014064-0.0070236i,-0.064578-0.014547i,-0.041138-0.0017281i,-0.049553-0.069379i,0.00042823+0.00045634i,0.0071716-0.029723i,-0.0070257-0.0048626i,-0.018905-0.0018971i,-0.027311+0.0010428i,-0.008377+0.011828i,-0.010454+0.010913i,0.010891+0.026803i,0.0042032-0.012516i,-0.012166+0.0087379i,-0.0029821+0.0022337i,-0.0014105+0.0020013i,0.0011397+0.012198i,0.0063174-0.0043932i,-0.023013-0.011778i,-0.023239-0.0051838i,-0.00032324+0.0059009i,0.0027489+0.013721i,0.0032597+0.010113i,0.017601+0.0054731i,0.006496+0.0073914i,0.042669+0.027239i,-0.00046776+0.0062573i,0.0056601+0.0084954i,0.010214+0.001563i,0.011991+0.00977i,-0.0026028+0.014521i,-0.00030096+0.012662i,0.010225+0.0026918i,0.004269+0.012175i,-0.0040745+0.011589i,-1.3576e-05+0.0046678i,0.010156+0.0052211i,-0.0081299+0.0056812i,-6.0216e-05+0.00040464i,-0.0035204+0.011052i,-0.013573+0.0011986i,-0.030314-0.025131i,0.015172-0.00014682i,-0.0041702+0.010712i,-0.0089016-0.029787i,-0.0075836-0.0068549i,-0.0064181-0.0077152i
-0.0042483+0.017242i,-0.020512+0.015288i,-0.028624+0.022128i,-0.012618+0.025945i,-0.018955+0.02905i,-0.00079029+0.030244i,-0.016446+0.029782i,-0.013185+0.019709i,0.0049449+0.01453i,0.0057881-0.0014354i,0.006649-0.000323i,0.0040089+0.00011174i,-0.00060896-0.001032i,0.006795-0.0036495i,0.00098943-0.0018171i,0.016551+0.0030645i,-0.00028722-0.0021108i,-0.0049294+0.0029997i,0.00071429-0.00076142i,-0.002918-0.00091531i,-0.0013015-0.0022881i,0.00036554-0.0034755i,-0.00018465+0.00080971i,-0.0012481-0.010978i,0.0020462-0.001563i,-0.00097852-0.0013926i,-0.00079938-0.0040485i,-0.00090031-0.0019044i,-0.00037697-0.0011816i,0.001195+0.00037833i,-8.4103e-05-0.0021231i,0.0043311+0.0035303i,-0.0036571-0.000155i,8.8246e-05+0.00022138i,-0.0010527+0.00050363i,0.0073838-0.009962i,-0.001609+0.00067282i,-0.00042821+0.0030893i,-0.0033962+0.0015974i,-0.0048016+0.0031861i,-0.0011587+8.1687e-05i,-0.002684-0.002097i,-0.00028065-0.0011018i,-0.0017049+0.0036286i,0.0028506+0.01429i,0.049689+0.010219i,-0.020115-0.014689i,0.021905+0.0080247i,-0.0093461-0.021482i,-0.014046-0.0043273i,-0.062885+0.0057502i,-0.033489+0.0021128i,-0.046506-0.00782i,0.0038501-0.0037094i,-0.0023066-0.03566i,-0.0082633-0.0042236i,-0.017603-0.0025443i,-0.020592+0.01322i,-0.0039408+0.012329i,-0.0018983+0.0096604i,0.01563+0.012644i,0.00038889-0.010929i,-0.0081748+0.013844i,-0.0049616+0.0030191i,-0.00036073+0.0015731i,0.0025209+0.0076463i,-0.00019392-0.0040378i,-0.024373+0.002874i,-0.021328+0.0058407i,0.0040977+0.0033573i,0.006752+0.011996i,0.0045947+0.0077702i,0.015868-0.0062727i,0.0074592+0.0013878i,0.047979+0.0078753i,-0.00011481+0.0075281i,0.0086882+0.0046525i,0.0076135-0.0017198i,0.012339+0.0036443i,0.0062048+0.017729i,0.0078283+0.0092892i,0.0087056-0.0018007i,0.0092964+0.0061395i,0.00020452+0.015623i,0.00088095+0.0060574i,0.0096138+0.0028178i,-0.0075056+0.0085575i,-0.0049393+0.00094232i,-0.0022168+0.011692i,-0.006114-0.0024202i,-0.027744-0.013294i,0.0058215-0.011728i,0.0016833+0.0027074i,-0.022127-0.026282i,-0.011013+0.0017698i,-0.012906-0.0061292i
-0.0017892+0.016043i,-0.014138+0.018304i,-0.019884+0.027802i,-0.0085164+0.026083i,-0.012242+0.031092i,0.0038834+0.028209i,-0.013815+0.026717i,-0.010554+0.020097i,0.0080064+0.011743i,0.0047917-0.0035428i,0.0034983-0.00077616i,0.0046761+0.0015977i,0.00031254-0.00082228i,0.0048905-0.004875i,0.0007972-0.0015875i,0.014149-0.0037599i,0.0011272-0.0023865i,-0.0024804+0.0038479i,0.00037508-0.00092002i,-0.0023021+0.00064558i,-0.0017345-0.0018532i,-0.00082717-0.0018509i,0.00048282+0.00092415i,-0.0045608-0.0087644i,0.00075622-0.001551i,-0.0019226-0.0010653i,-0.0025291-0.0033408i,-0.0015561-0.0013232i,-0.0011042-0.00084565i,0.0011973-0.00029438i,-0.0016954-0.0018109i,0.0045065+0.0004897i,0.0021213-0.002591i,0.00037964-0.0001575i,-0.0013134+0.00054553i,0.0020189-0.0092686i,-0.0016771+0.00012196i,0.00095672+0.002378i,-0.0027366+0.0037385i,-0.0025972+0.0047275i,-0.00091139+0.00053873i,-0.0026516-0.00056068i,-0.00052824-0.0012785i,-0.00046938+0.0063985i,0.0077619+0.014189i,0.062403-0.0085718i,-0.025714-0.010515i,0.023633-0.0047141i,-0.008692-0.022114i,-0.014322-0.002251i,-0.052291+0.020257i,-0.026917+0.0056271i,-0.035302+0.0030902i,0.0070356-0.011307i,-0.015595-0.036332i,-0.0091711-0.0023982i,-0.01994-0.0020235i,-0.011434+0.017751i,0.00053554+0.011189i,0.0013225+0.0029545i,0.010713+0.0029814i,-0.0039001-0.01033i,-0.0029518+0.015076i,-0.00409+0.0050263i,-0.0013073+0.00028283i,0.0027048+0.0033561i,-0.0012184+0.00056204i,-0.018486+0.013447i,-0.014613+0.013129i,0.0036266+0.00074122i,0.011718+0.0088809i,0.0060008+0.0065158i,0.0079708-0.011334i,0.0048977-0.0017462i,0.045998-0.011539i,0.003698+0.0082124i,0.0077027+0.0016613i,0.0052748-0.0027047i,0.011982+0.00040172i,0.013872+0.015073i,0.009096+0.0035643i,0.0072876-0.0041748i,0.0086219+0.0012938i,0.0086052+0.017194i,0.0040218+0.0051959i,0.0098288-0.0002974i,-0.0021729+0.013152i,-0.0047076+0.0048324i,0.00011737+0.012669i,-0.0049652-0.0098883i,-0.022847-0.0068105i,0.0024969-0.015083i,5.9303e-05-0.004988i,-0.031427-0.018072i,-0.0069831+0.0042871i,-0.013414-0.0029765i
0.00068074+0.015395i,-0.0077433+0.018372i,-0.01007+0.029364i,-0.0040466+0.026552i,-0.0053691+0.030701i,0.0077031+0.02607i,-0.012165+0.025646i,-0.0075045+0.02095i,0.010142+0.0086719i,0.0021894-0.0043637i,0.0026312-1.1204e-05i,0.0067774-2.9987e-06i,0.00051537-0.001172i,0.002177-0.0048917i,0.00043724-0.0017899i,0.010187-0.006381i,0.00081677-0.0041823i,-3.4866e-07+0.0051349i,5.8844e-05-0.00058122i,-0.0011268+0.0016211i,-0.0017431-4.5075e-05i,-0.00048418-0.00041882i,0.0010179+0.00068267i,-0.0071233-0.0063397i,-0.00013276-0.0011398i,-0.002274-0.00036796i,-0.0041649-0.0016646i,-0.001827-0.0004663i,-0.001664+3.5863e-05i,0.00037926-0.00084164i,-0.0026715-0.00056121i,0.0032395-0.0015564i,0.0015845-0.0029794i,0.00051845-0.00055692i,-0.0014412+0.00066457i,-0.00032945-0.006134i,-0.0018412+0.0007367i,0.0016921+0.0012552i,-0.0011316+0.0051482i,0.0003321+0.0050787i,-0.00065008+0.00090181i,-0.0019604+0.00042019i,-0.0010051-0.0013661i,0.0022436+0.0059013i,0.012031+0.011134i,0.058177-0.034767i,-0.028531-0.0026723i,0.02309-0.015262i,-0.010208-0.02807i,-0.013487+0.00029841i,-0.041853+0.028162i,-0.021067+0.0054233i,-0.0249+0.0067849i,0.0036427-0.017403i,-0.028164-0.032574i,-0.0099674-0.00041424i,-0.025921+0.0012491i,-0.0036652+0.01642i,0.00026479+0.0064611i,-0.0003874-0.0023157i,0.0043937+0.00037564i,-0.0092704-0.010447i,0.00057181+0.014205i,-0.0023428+0.0063558i,-0.0030793+0.0017382i,0.0012127+0.0038208i,0.00075969+0.0026317i,-0.0098414+0.018172i,-0.0062488+0.018007i,0.0044783-0.00047166i,0.014589+0.0023236i,0.0075061+0.0047045i,0.0017938-0.010793i,0.0024141-0.0023617i,0.035473-0.026233i,0.0071573+0.0064562i,0.0074242+0.00041719i,0.0025451-0.0030062i,0.011031-0.0052181i,0.019543+0.0083785i,0.0077425-0.00024621i,0.0046794-0.0066408i,0.0070497-0.0021239i,0.016904+0.010671i,0.0047446+0.0047137i,0.0068106-0.0037215i,0.005151+0.012441i,-0.0018306+0.0050745i,0.0050758+0.012257i,-0.0097491-0.012933i,-0.019745-0.0020382i,-0.0029298-0.015643i,-0.0050439-0.0070021i,-0.037156-0.007554i,-0.0058734+0.0038864i,-0.013086-0.00077821i
