-0.02372-0.038475i,-0.012331-0.048983i,-0.017908-0.044472i,-0.030972-0.035004i,-0.029862-0.015811i,-0.050312-0.027512i,-0.057804-0.024965i,-0.044264-0.036608i,-0.029976-0.036492i,0.0074369+0.012703i,-0.0049365+0.015444i,-0.0048888+0.014075i,0.0097359+0.021725i,0.00035519+0.0042582i,0.0033568+0.0032984i,0.006826+0.017907i,0.025977+0.03861i,-0.0027395-0.00080428i,-0.0041646-0.0060601i,0.0078529+0.0016809i,-0.00024347-0.00080872i,-0.0009379+0.0014871i,0.00017496-0.00019619i,-0.030983-0.0026689i,-0.0013352-0.0057332i,0.0017731+0.004584i,0.0038079-0.00051321i,-0.0005587+0.00081132i,0.0005942-0.00060953i,-0.00063992-0.002504i,-0.0017805-0.0062557i,-0.0044675-0.0041331i,-0.0018001-0.0048795i,0.0022315-0.00062132i,0.0022351-0.0029725i,0.0023241+0.025767i,0.0018085-0.0028582i,0.0027913+0.00065751i,0.0060109+0.0011834i,-0.010569-0.0041328i,-0.0030565+0.00065976i,0.0064703+0.0016119i,0.0052778-0.00011985i,-0.0033542+0.0054306i,0.0011762-0.0082893i,-0.011068+0.017129i,0.035345-0.090964i,0.011935-0.07015i,-0.015838-0.060288i,-0.016578-0.055246i,0.039584-0.045874i,0.017-0.062555i,0.034268-0.055764i,0.029088-0.060473i,0.015677-0.013757i,0.0050118+0.016676i,0.016549-0.026521i,-0.011457+0.0053706i,-0.00024347+0.0055486i,-0.0047454-0.0015285i,-0.0026472-0.028857i,-0.02377+0.032275i,0.010474-0.011103i,-0.013039-0.0026606i,-0.00019786-0.0050804i,-0.0012451-0.016154i,-0.0075111+0.0046542i,0.0052001+0.0066069i,-0.0085076+0.031105i,0.0050836+0.0059766i,-0.0052085-0.00062369i,-0.0033503-0.0004404i,-0.012864-0.0079562i,-0.00060059-0.0043877i,-0.02987+0.0067424i,-0.00016872-0.0097396i,-0.0096287-0.0018543i,-0.0064881-0.0026836i,0.0072863+0.0027685i,-0.0076683+0.0014283i,-0.00023211+0.00049489i,0.005834+0.010703i,0.0040978+0.0011989i,-0.0090725-0.010119i,0.0033052+0.008189i,-0.021603+0.006412i,0.0079568+0.00068088i,-0.029074-0.0038986i,-0.041868+0.0023737i,0.018681-0.096035i,-0.0017751-0.012128i,-0.053226-0.021705i,-0.023054+0.00035721i,0.017603+0.011145i,-0.024569+0.013733i,-0.018126-0.012482i
-0.031377-0.035007i,-0.018945-0.041755i,-0.02451-0.042691i,-0.037719-0.031594i,-0.028039-0.015962i,-0.057002-0.016151i,-0.059701-0.01353i,-0.04927-0.028768i,-0.034804-0.028388i,0.0080133+0.0091183i,-0.0034487+0.012715i,0.001747+0.01609i,0.017959+0.014856i,-0.00057825+0.0057089i,0.0037844+0.0019364i,0.010484+0.012018i,0.032818+0.024085i,-0.0009252+0.0024786i,-0.0057779-0.0020731i,0.0076038-0.0022979i,-0.0010832+0.00069805i,-0.0011176+0.0023035i,-7.7826e-05+7.1762e-05i,-0.01897+0.012682i,-0.0030517-0.0039852i,0.0053363+0.0013714i,0.0029444-0.00059541i,0.00044065+0.0023269i,0.00087111-0.0010806i,-0.001414-0.0028504i,-0.0021963-0.0049219i,-0.0050271-0.0023221i,-0.0030141-0.0044425i,0.0016173-0.0016688i,0.0014154-0.0021142i,0.010008+0.021268i,0.0014555-0.0034905i,0.0024654-0.00049919i,0.007996-0.0014887i,-0.0079887-0.001439i,-0.0024337+0.0028397i,0.0055445+0.00098765i,0.0043934-0.00089716i,-0.0045912+0.0072626i,0.005501-0.011078i,0.0039787+0.022137i,0.017932-0.097163i,-0.0056314-0.076511i,-0.012463-0.05549i,-0.020391-0.045028i,0.034009-0.064846i,0.01302-0.080742i,0.035685-0.055877i,0.018123-0.068538i,0.0057754-0.0065091i,0.0075778+0.0055383i,0.0054077-0.027132i,-0.0079795+0.011546i,6.8368e-06-0.003053i,-0.0051891-0.0018649i,-0.024217-0.026877i,-0.0095504+0.030118i,0.0039927-0.014714i,-0.01363+0.001012i,-0.0015921-0.0045762i,-0.00859-0.014291i,-0.0081514+0.0086491i,0.008288+0.005675i,0.010425+0.027763i,0.0059406+0.0014534i,-0.0042992+0.0019857i,-0.0047484+7.2026e-05i,-0.01692+0.0021476i,-0.00052078-0.0030119i,-0.031722+0.014404i,-0.0051828-0.0066992i,-0.0096408+0.0032827i,-0.0076011+0.0010974i,0.0058848-0.0032667i,-0.007118+0.0036098i,0.00088675-0.00058812i,0.0054467+0.0041499i,0.0035547+3.1828e-05i,-0.013838-0.0015067i,0.0037051+0.0046951i,-0.015666+0.014844i,0.0062206-0.0034374i,-0.027707+0.0074014i,-0.04099+0.014513i,0.0013677-0.097069i,-0.0065002-0.015239i,-0.059183-0.0062874i,-0.017349-0.0025003i,0.018062+0.0050065i,-0.018275+0.019995i,-0.026356-0.016913i
-0.036603-0.028659i,-0.021599-0.040949i,-0.030563-0.041283i,-0.043474-0.024901i,-0.028481-0.017752i,-0.060157-0.0037922i,-0.062062-0.00048578i,-0.054522-0.020149i,-0.037885-0.021715i,0.0080483+0.0058653i,-0.0010448+0.015042i,0.0084271+0.012862i,0.020264+0.0048925i,0.00092236+0.0070491i,0.0041495+0.00087819i,0.011296+0.0062409i,0.036919+0.012507i,0.002303+0.0025375i,-0.004664+0.00133i,0.0054582-0.0046136i,-0.0012127+0.0019157i,0.00013223+0.0035569i,-1.4242e-05+0.00024329i,-0.0073299+0.016998i,-0.0027355-0.0024722i,0.005517-0.0026734i,0.0025425-0.0017118i,0.00225+0.0021089i,6.9035e-06-0.00137i,-0.0022501-0.0025688i,-0.0030208-0.004895i,-0.0054113-0.00031055i,-0.0044406-0.0030036i,0.00096563-0.0026725i,0.0025038-0.004457i,0.01537+0.014376i,0.00051892-0.0034807i,0.00212-0.001366i,0.0075028-0.0064939i,-0.0077714+0.00032584i,-0.00077669+0.0041018i,0.0054041-0.00077635i,0.0044957-0.001587i,-0.0023631+0.0097038i,0.006116-0.018721i,0.019779+0.018277i,0.0010236-0.098927i,-0.023459-0.071721i,-0.0077719-0.061052i,-0.019052-0.043635i,0.022841-0.08043i,-0.0078729-0.095789i,0.040576-0.063302i,0.005035-0.068817i,0.0054038-0.0025692i,0.0059046+0.00075108i,-0.0029819-0.028127i,0.0025248+0.010052i,-0.0074347-0.0052819i,-0.00457-0.0038496i,-0.038622-0.01444i,-0.00056915+0.028354i,-0.0028053-0.014456i,-0.011534+0.0047242i,-0.0042531-0.0039627i,-0.015887-0.0097807i,-0.0027338+0.013724i,0.011821+0.00019092i,0.021552+0.016246i,0.0049997-0.00070671i,-0.0037191+0.0013373i,-0.0045384+0.0017582i,-0.012515+0.011422i,-0.0038106-0.0021599i,-0.025185+0.023942i,-0.0063809-0.0027981i,-0.0072811+0.0072531i,-0.0076397+0.0073574i,0.00015663-0.0054203i,-0.0049839+0.0055311i,8.587e-05-0.0014917i,0.0027766+0.0028777i,0.0034991-0.0012968i,-0.0091482+0.0062303i,0.0026464+0.0021528i,-0.0089562+0.017266i,0.0022381-0.0061173i,-0.021891+0.014837i,-0.033788+0.02606i,-0.011414-0.095143i,-0.01257-0.01341i,-0.057474+0.0086268i,-0.021959-0.0082951i,0.01631-0.0030774i,-0.0079354+0.019786i,-0.031187-0.01169i
-0.039341-0.022067i,-0.027463-0.042377i,-0.038323-0.040016i,-0.044999-0.016979i,-0.032003-0.02038i,-0.059274+0.0098326i,-0.058649+0.017899i,-0.058542-0.0078681i,-0.041022-0.013101i,0.0076685+0.0037246i,0.0049335+0.01498i,0.011175+0.0074806i,0.018574-0.0037818i,0.0036157+0.0085612i,0.003601-0.0010939i,0.0097233+0.00072793i,0.038784-0.0038006i,0.0034216+0.00025022i,-0.0037198+0.003938i,0.0025156-0.005498i,0.00048937+0.0033822i,0.0021348+0.0036915i,-0.00034782+0.00065275i,0.0032024+0.020619i,-0.0030613-0.0021079i,0.0030637-0.0051097i,0.0020199-0.0021568i,0.00265-7.298e-06i,-0.00031317-0.0006762i,-0.0038131-0.0020075i,-0.0038834-0.0039075i,-0.0047935+0.0012617i,-0.005399-0.0010372i,-0.00030209-0.0032729i,-0.00050546-0.0057882i,0.015033+0.0080341i,-0.0007418-0.0035903i,0.0013568-0.0022848i,0.0032615-0.009123i,-0.0053288+0.0036034i,0.0010534+0.0039241i,0.0038012-0.0021143i,0.0038169-0.0032239i,0.0012347+0.0097547i,0.006117-0.025211i,0.032831+0.0074651i,-0.01555-0.0959i,-0.032844-0.061735i,-0.013315-0.067352i,-0.02153-0.043582i,0.0053618-0.096134i,-0.035165-0.095685i,0.037112-0.082822i,-0.0041728-0.066881i,0.0061919+2.4496e-05i,0.0022275-0.003833i,-0.014023-0.024182i,0.0038337+0.0023795i,-0.010036-0.0015391i,-0.0090814-0.0062129i,-0.043184+0.0052511i,0.010526+0.022616i,-0.0086309-0.012235i,-0.0077014+0.0056119i,-0.0055454-0.0016185i,-0.019969-0.0016221i,0.004958+0.011754i,0.012142-0.0058617i,0.024537+0.004149i,0.0050192-0.0028502i,-0.0043547+0.0011594i,-0.0041167+0.0038799i,-0.0063129+0.017636i,-0.0053933+0.0017888i,-0.018636+0.030866i,-0.0062643-0.00014161i,-0.0024442+0.0097439i,-0.0019623+0.011918i,-0.0046849-0.0027702i,-0.0019926+0.0043437i,-0.00031834-0.0012647i,0.0021556+0.003018i,0.0015567-0.0033475i,-0.0031994+0.0055014i,-0.00033074-6.2626e-05i,-0.0051261+0.019654i,-0.0016853-0.0052182i,-0.014065+0.019526i,-0.022897+0.030397i,-0.023019-0.093136i,-0.01024-0.0083747i,-0.051352+0.024533i,-0.02897-0.0052264i,0.012825-0.0088417i,0.00065805+0.014658i,-0.031625-0.0046496i
-0.040836-0.015286i,-0.036964-0.039942i,-0.048698-0.036532i,-0.045423-0.010663i,-0.04019-0.021224i,-0.05507+0.022165i,-0.044537+0.028865i,-0.056+0.0046841i,-0.037816-0.005122i,0.0075929+0.0022626i,0.010163+0.010089i,0.012131+0.0035941i,0.013244-0.010018i,0.0082539+0.0073978i,0.0022174-0.0023821i,0.0059574-0.0016986i,0.027635-0.020267i,0.0030829-0.0010742i,-0.00029198+0.00773i,0.0003401-0.0051475i,0.002247+0.0038257i,0.0030578+0.002296i,-0.00031101+0.0014179i,0.017677+0.013407i,-0.0040368-0.00031961i,0.00076581-0.0058939i,0.00073527-0.0026966i,0.002647-0.00011843i,-0.00021417-0.0003153i,-0.0047733+0.00053884i,-0.0048188-0.0027423i,-0.0035955+0.0027826i,-0.0047241+0.001085i,-0.0020536-0.0028482i,-0.0025116-0.0042019i,0.015325+0.0053328i,-0.0016679-0.003424i,-5.7846e-05-0.0027441i,-0.00025763-0.0085142i,-0.0027446+0.0017207i,0.0019983+0.0032353i,0.0017391-0.0015549i,0.0029841-0.0040867i,0.0028905+0.0080216i,0.00091553-0.035435i,0.041635-0.010166i,-0.02597-0.087966i,-0.037362-0.052823i,-0.020708-0.071678i,-0.024315-0.042232i,-0.023479-0.10482i,-0.058083-0.085239i,0.017501-0.097782i,-0.015593-0.060927i,0.0092529+0.0023878i,-0.0029076-0.0055037i,-0.021485-0.015122i,0.00015347-0.00038335i,-0.011351+0.00010536i,-0.016155-0.0026457i,-0.037821+0.021252i,0.014315+0.011844i,-0.013695-0.0075399i,-0.0059485+0.0055025i,-0.006203+0.0015133i,-0.018779+0.00848i,0.0054232+0.0066404i,0.0098423-0.011231i,0.023735-0.0075012i,0.0029622-0.0061229i,-0.0063756+0.0035477i,-0.0018392+0.00613i,0.0021993+0.018916i,-0.0042501+0.0060593i,-0.010747+0.0379i,-0.0069332+0.00090456i,0.0017999+0.0068275i,0.0046363+0.011039i,-0.0060824+0.00068801i,-0.0037378+0.0017487i,-0.0011963-0.0013865i,0.0011307+0.0048543i,-0.0022963-0.0036736i,-0.0028113+0.0022498i,-0.0032162+0.0020716i,0.0026207+0.021482i,-0.0046821-0.0040738i,-0.0052647+0.02049i,-0.015489+0.032675i,-0.035804-0.088239i,-0.0052267-0.012341i,-0.039783+0.03993i,-0.031222+0.0049795i,0.0076909-0.013565i,0.0011227+0.006449i,-0.03053-0.00094679i
-0.040473-0.0098528i,-0.043083-0.035613i,-0.059472-0.026558i,-0.046119-0.0048416i,-0.051319-0.015947i,-0.046743+0.032315i,-0.032177+0.031333i,-0.050827+0.01439i,-0.035584-0.0015057i,0.0067696+0.001196i,0.010473+0.0056829i,0.012167-0.0017625i,0.0064661-0.013345i,0.011836+0.0029241i,0.00034021-0.0027641i,0.0029117-0.0016105i,0.012174-0.025046i,0.0040756-0.002181i,0.004591+0.0065681i,-0.0015418-0.003682i,0.0040301+0.0017985i,0.0031197+0.0012771i,0.00099628+0.0020968i,0.021432-0.00056682i,-0.0022933+0.002i,-0.0018854-0.0053543i,-0.00091731-0.00091337i,0.0031787-0.0018681i,-0.00011655-0.00055662i,-0.0029056+0.0034709i,-0.0047284-0.0016863i,-0.0025883+0.0033853i,-0.0043633+0.0029507i,-0.0030263-0.0011498i,-0.0023396-0.0026462i,0.016732+0.00081115i,-0.0030872-0.0028189i,-0.0019307-0.0027451i,-0.003492-0.0086385i,-0.0042213-8.3199e-07i,0.0032331+0.0024599i,0.0013618-1.0594e-05i,0.0007979-0.0051032i,0.0038575+0.0067902i,-0.01081-0.040201i,0.032431-0.034528i,-0.02948-0.080968i,-0.041132-0.045961i,-0.030803-0.071234i,-0.026363-0.043432i,-0.053346-0.0959i,-0.077154-0.067814i,-0.0023882-0.10141i,-0.016803-0.046537i,0.017413+0.0056539i,-0.0068159-0.0028582i,-0.020755-0.0025741i,-0.0013472-0.00045638i,-0.015413+0.0043594i,-0.014987+0.004467i,-0.028169+0.035424i,0.012202+0.0044961i,-0.012867+0.00037761i,-0.0075848+0.0052753i,-0.0034115+0.0050957i,-0.012282+0.015367i,0.0067364+0.0075795i,0.0045143-0.019022i,0.013252-0.021239i,-0.0034311-0.0091306i,-0.0067405+0.0078137i,9.6279e-05+0.00603i,0.0096834+0.015897i,0.00024038+0.0080746i,0.0051268+0.045777i,-0.0079451+0.0033568i,0.001804+0.0052729i,0.0086148+0.0061355i,-0.0044375+0.0066351i,-0.0056991+0.0044341i,-0.0034319-0.00095401i,0.0047966+0.0061675i,-0.0036667+0.00198i,-0.0053251+0.0026005i,-0.00084027+0.0070693i,0.0096153+0.017346i,-0.0064942-0.0023272i,0.00086309+0.01733i,-0.0057044+0.035075i,-0.042054-0.079147i,-0.011613-0.023584i,-0.015792+0.045343i,-0.026124+0.012989i,0.0055584-0.020161i,0.00057685+0.00085233i,-0.029681+0.0051562i
-0.039799-0.0047466i,-0.053319-0.032059i,-0.066659-0.012806i,-0.044361+0.0030516i,-0.058729-0.0031708i,-0.037392+0.03843i,-0.023284+0.031073i,-0.044607+0.021323i,-0.036347+0.0025169i,0.0073995-0.00054165i,0.012822+0.0032868i,0.0083822-0.0065871i,-0.0011552-0.012129i,0.012212-0.0038281i,-0.0012185-0.0025047i,0.0014025-0.00014605i,0.00038352-0.020916i,0.0027-0.0047049i,0.0058165+0.0025394i,-0.0022551-0.0013152i,0.0039153-0.00030327i,0.0042187+0.0010929i,0.0023952+0.0014746i,0.016274-0.010861i,0.00057575+0.0010102i,-0.00275-0.0031174i,-0.00019762-0.0014275i,0.0020886-0.0035997i,4.4335e-05-0.00023213i,-0.00048279+0.0038918i,-0.0050942-0.00087506i,-0.00088908+0.0038532i,-0.0024659+0.0046019i,-0.002583+0.00010189i,-0.0034156-0.0031113i,0.015343-0.0049813i,-0.0033693-0.001167i,-0.0028342-0.001338i,-0.0072437-0.0049552i,-0.007155+0.0019984i,0.0036415+0.001045i,0.0027952-0.00041049i,-0.0014279-0.0047676i,0.0045698+0.0032894i,-0.023556-0.038428i,0.01357-0.040195i,-0.036401-0.082606i,-0.039899-0.038546i,-0.038653-0.06862i,-0.035484-0.045857i,-0.07314-0.080054i,-0.083358-0.04204i,-0.027398-0.10209i,-0.010046-0.0438i,0.025124-0.0089927i,-0.0079095+0.0014483i,-0.015513-0.0001176i,-0.0054111+0.00019575i,-0.012625+0.013443i,-0.011952+0.0077698i,-0.008112+0.04109i,0.011341+0.00066383i,-0.011546+0.0019279i,-0.0041945+0.0070744i,-0.001475+0.0045706i,-0.0047729+0.019064i,0.011191+0.0045526i,-0.0084094-0.019668i,-0.004625-0.021558i,-0.0062599-0.0021863i,-0.0026622+0.011428i,0.003271+0.0050319i,0.01561+0.0077226i,0.0038067+0.005799i,0.025768+0.039089i,-0.0042316+0.0064452i,0.0021954+0.0032832i,0.008865+0.00099428i,0.00072727+0.008349i,-0.0068382+0.0073268i,-0.004461+0.0029674i,0.0085198+0.0057511i,-0.0015349+0.0048362i,-0.0066102+0.0052894i,0.0030145+0.0070206i,0.012483+0.011329i,-0.0064095+0.00062019i,0.0064279+0.012735i,0.0051789+0.032654i,-0.048684-0.075602i,-0.02709-0.022454i,0.0016169+0.036137i,-0.021058+0.016403i,-0.0039645-0.026992i,-0.0033714-0.003245i,-0.021951+0.0080761i
-0.038917-0.00065308i,-0.062323-0.019835i,-0.069672+0.0029298i,-0.040933+0.0076835i,-0.058524+0.011594i,-0.029292+0.042421i,-0.016522+0.029982i,-0.038216+0.026191i,-0.035096+0.0099891i,0.0068574-0.0027222i,0.013354-0.004526i,0.0026711-0.0071806i,-0.0049264-0.0075674i,0.0077997-0.0081844i,-0.0027652-0.001839i,0.0022009+0.00028334i,-0.0057593-0.014096i,-0.00017884-0.0047145i,0.0043621+0.00031109i,-0.0017+0.00017988i,0.0023276-0.0010067i,0.0044142-0.0004892i,0.0027392+0.0004038i,0.0085897-0.015484i,-0.00021266-0.00090491i,-0.0024155-0.0022908i,-0.00049348-0.0015954i,0.00036308-0.003467i,0.0010508-0.00012864i,0.00083421+0.0030237i,-0.0055902+0.00032793i,0.0006587+0.0033477i,-0.00044733+0.005033i,-0.0023528+0.00038112i,-0.0050234-0.00013907i,0.011733-0.009272i,-0.0029973-0.0002789i,-0.0024225+0.00013231i,-0.006738-0.0017971i,-0.006379+0.0058156i,0.0035876+2.45e-05i,0.0031588-0.0013691i,-0.0031689-0.0036605i,0.0026508+0.00033233i,-0.032512-0.03056i,0.0052509-0.031381i,-0.04839-0.082673i,-0.037068-0.036867i,-0.0473-0.065082i,-0.04595-0.040573i,-0.089355-0.062844i,-0.076964-0.022748i,-0.055733-0.088804i,-0.0083902-0.048821i,0.021888-0.021667i,-0.0061584+0.0041005i,-0.013491+0.0037948i,-0.0082012+0.0056361i,-0.0044231+0.018775i,-0.0078964+0.011293i,0.010083+0.034204i,0.0089633-0.0049677i,-0.01228+0.0049796i,-0.0025736+0.0057644i,0.0010878+0.004995i,0.0036163+0.015825i,0.011612-0.0028583i,-0.017452-0.0102i,-0.015142-0.01143i,-0.0032775+0.0021172i,0.0038601+0.011343i,0.0041187+0.0025811i,0.017972+0.00039224i,0.0068888+0.0043066i,0.038119+0.024051i,-0.0012854+0.0053636i,0.00051484+0.0039711i,0.0070096-0.0040866i,0.0059082+0.0056147i,-0.0049336+0.013796i,-0.001557+0.0074522i,0.012494+0.00033978i,0.0027063+0.0048678i,-0.0053768+0.0090044i,0.0056082+0.0043112i,0.013456+0.0067501i,-0.0059805+0.0019779i,0.0083548+0.0073346i,0.011955+0.026653i,-0.057252-0.068983i,-0.03477-0.0093753i,0.011077+0.023353i,-0.0089516+0.020734i,-0.015769-0.026006i,-0.010872-0.0028933i,-0.020661+0.0032923i
-0.038364+0.0038872i,-0.063729-0.0048145i,-0.066234+0.019827i,-0.039312+0.011714i,-0.052945+0.02348i,-0.020533+0.045826i,-0.010998+0.027872i,-0.032808+0.029612i,-0.029471+0.015901i,0.0051676-0.0049489i,0.0070401-0.0096788i,5.9042e-05-0.0048345i,-0.0055191-0.0038685i,0.0032113-0.0097101i,-0.0039013-0.00024316i,0.0022027-0.00065354i,-0.0060941-0.0083667i,-0.0015486-0.0032511i,0.003233-6.8569e-05i,-0.00052746+0.0009757i,0.0023066-0.00013653i,0.0041491-0.0015541i,0.0029258-0.00041617i,0.0018583-0.015652i,-0.0011628-0.0010307i,-0.0028336-0.0027799i,-0.00066782-0.0014617i,-0.00084188-0.0032198i,0.0010065-0.0012688i,0.0021012+0.0026072i,-0.0054466+0.0016876i,0.0016491+0.0024352i,0.0014169+0.0038707i,-0.0023114+0.0017598i,-0.0037997+0.00072146i,0.0068043-0.011957i,-0.0021809+0.00038844i,-0.0016644+0.001015i,-0.0078131+0.00079774i,-0.0038044+0.0078693i,0.0032754-0.00092988i,0.0021327-0.0024869i,-0.0038677-0.0020621i,-0.0010517+0.00026239i,-0.037399-0.020939i,0.013064-0.02507i,-0.063883-0.078591i,-0.038083-0.038291i,-0.053471-0.058872i,-0.052003-0.031971i,-0.10054-0.039607i,-0.071828-0.012918i,-0.065995-0.060653i,-0.01215-0.052226i,0.013166-0.031875i,-0.0047136+0.0052083i,-0.0096029+0.0036335i,-0.0039484+0.011525i,0.0039242+0.017619i,0.00062148+0.010462i,0.016952+0.021406i,0.0045035-0.0070789i,-0.010403+0.0096923i,-0.0025418+0.0053573i,0.0020325+0.0028981i,0.0074521+0.011917i,0.0051468-0.0053243i,-0.019337+0.00076961i,-0.016716-0.0010258i,0.00075617+0.0022277i,0.0066331+0.009648i,0.0029794+0.0013866i,0.014066-0.011124i,0.0074211-0.00091685i,0.042625+0.0063908i,-0.001005+0.0060219i,0.0029027+0.0034647i,0.0022238-0.006866i,0.0062582+0.0018124i,0.0018942+0.017399i,0.0048615+0.0053553i,0.0096633-0.0052568i,0.0051921+0.0014592i,-0.001319+0.013117i,0.0047291+0.0031893i,0.012449+0.0026607i,-0.0072866+0.0037785i,0.005308+0.0037389i,0.015321+0.0215i,-0.063544-0.061081i,-0.032649+0.004224i,0.011792+0.011601i,-0.00020283+0.013808i,-0.027152-0.020282i,-0.013981+0.005841i,-0.025019+0.0052179i
-0.037553+0.0090582i,-0.060515+0.0060049i,-0.057427+0.033861i,-0.037796+0.016214i,-0.045201+0.032154i,-0.011398+0.047392i,-0.0073038+0.025699i,-0.027695+0.033412i,-0.02425+0.018867i,0.0022363-0.006167i,0.00050699-0.0088356i,-0.00070232-0.0036852i,-0.0043555-0.0020596i,-0.00087861-0.0093525i,-0.0036961+0.0018116i,0.00091935-0.0016257i,-0.0057668-0.0064766i,-0.0015346-0.0015468i,0.0033483-0.00076089i,0.00086802+0.001165i,0.0035309-0.00064844i,0.0035281-0.0021857i,0.0027768-0.0012505i,-0.0033364-0.013718i,-0.0013845-0.00069978i,-0.0041235-0.001656i,-0.0010734-0.0016187i,-0.0018772-0.0029201i,0.00043692-0.0017265i,0.0031152+0.0010287i,-0.0048288+0.0033115i,0.0021401+0.001284i,0.0023359+0.0026064i,-0.0011175+0.0026046i,-0.0040309+0.0017954i,0.0015659-0.010671i,-0.0020507+0.00018686i,-0.00059211+0.0012074i,-0.0058265+0.0048312i,-0.00045194+0.009069i,0.0028117-0.0015302i,0.0021562-0.0023588i,-0.0040563-0.00079918i,-0.0011852+0.0035645i,-0.036732-0.011906i,0.025897-0.035235i,-0.080124-0.06653i,-0.043124-0.038228i,-0.057944-0.05381i,-0.056461-0.023653i,-0.10063-0.016294i,-0.067131-0.0023387i,-0.060509-0.04265i,-0.015946-0.056064i,0.00062333-0.036416i,-0.0020923+0.006474i,-0.0098177+0.0013847i,0.0028964+0.011693i,0.0089054+0.012565i,0.0045126+0.0035086i,0.016517+0.010027i,-6.9881e-05-0.0075052i,-0.0066176+0.012765i,-0.0032526+0.0062503i,0.0015941+0.001472i,0.0089492+0.0071467i,0.0029114-0.0029448i,-0.015198+0.010249i,-0.012371+0.006874i,0.0018474+0.0014275i,0.010898+0.0068131i,0.0023269+0.00098534i,0.004349-0.01477i,0.0042659-0.0042647i,0.038305-0.009385i,0.0014284+0.006684i,0.0018934+0.0019675i,-0.0020262-0.0051374i,0.0055287+0.00052743i,0.010426+0.016959i,0.0053253+0.0011213i,0.006974-0.0072702i,0.0039114-0.0011954i,0.0056999+0.013316i,0.0051867+0.0017964i,0.01288-0.00082828i,-0.005329+0.0088415i,0.0054042+0.0030669i,0.018349+0.016929i,-0.069384-0.054043i,-0.0257+0.01118i,0.01087+0.0054087i,1.5662e-05+0.0061582i,-0.034512-0.0099893i,-0.0085611+0.0089311i,-0.023513+0.0093869i
-0.035075+0.014381i,-0.055529+0.014294i,-0.044533+0.043048i,-0.034583+0.021591i,-0.035664+0.037405i,-0.0025041+0.047189i,-0.0042586+0.024097i,-0.021496+0.036639i,-0.019321+0.021049i,-0.00060694-0.0063016i,-0.0031247-0.0059573i,-0.00058212-0.0033278i,-0.0041369-0.0010912i,-0.0044445-0.0073089i,-0.0029517+0.0031577i,-0.00065619-0.0015621i,-0.0072714-0.0061046i,-0.001478-0.00092174i,0.0027856-0.0015147i,0.0018094+0.00034796i,0.0037664-0.0022362i,0.0034123-0.0027545i,0.0023335-0.0020909i,-0.0072527-0.011022i,-0.0017066-0.00045478i,-0.0043426+8.1891e-05i,-0.0018344-0.0010659i,-0.0026202-0.0020461i,-0.00029168-0.0018605i,0.0023847-0.001122i,-0.003549+0.0050958i,0.0019509+0.00053221i,0.0028068+0.0014915i,0.0005766+0.0024133i,-0.0031312+0.0032504i,-0.00062451-0.0077221i,-0.0019405+0.00042477i,0.00015867+0.00066737i,-0.0019949+0.0053434i,0.0038956+0.0086509i,0.0022372-0.002156i,0.0018918-0.0028744i,-0.0042164+0.00039825i,0.00060626+0.003128i,-0.033739-0.0074892i,0.025551-0.058248i,-0.090296-0.048333i,-0.047116-0.036082i,-0.062924-0.052915i,-0.058419-0.014148i,-0.097583+0.001442i,-0.061373+0.0051308i,-0.056411-0.031497i,-0.023743-0.058617i,-0.012825-0.036682i,-2.0015e-05+0.0056226i,-0.015137+0.0016853i,0.0075091+0.0075463i,0.010995+0.0069622i,0.0036857-0.0018543i,0.012357+0.003907i,-0.0043218-0.0072854i,-0.0015713+0.014094i,-0.0021827+0.0078023i,0.0008703+0.0011261i,0.0072093+0.0033342i,0.0027247-0.0019147i,-0.0077424+0.014431i,-0.0061734+0.011003i,0.0037984-0.00037772i,0.013397+0.00038986i,0.0018062+0.0014022i,-0.003216-0.01211i,0.00096265-0.0046239i,0.029475-0.020201i,0.0042574+0.0060395i,0.0011533+0.0029202i,-0.0047368-0.0020629i,0.0049738-0.0022916i,0.017834+0.01178i,0.0039328-0.0018571i,0.0032697-0.0094271i,0.0021883-0.0023566i,0.010747+0.0089856i,0.0048382+0.0018034i,0.0096298-0.0057864i,-0.00058597+0.010484i,0.0055026+0.00082911i,0.022021+0.012135i,-0.075907-0.04506i,-0.018756+0.016351i,0.010083-5.7961e-05i,-0.0025035+0.0034393i,-0.036979+0.0014626i,-0.006312+0.0075343i,-0.020457+0.012917i
