-0.026676-0.0049359i,-0.021-0.0094355i,-0.013195-0.015467i,-0.036592-0.011677i,-0.027927-0.00015339i,-0.037361-0.0034016i,-0.069104-0.037229i,-0.037845-0.018227i,-0.026164+0.0017168i,0.0078392+0.0067766i,-0.0055968+0.0074345i,-0.0080504+0.019166i,0.0046714+0.0084815i,-0.00061509+0.0040993i,0.0044482+0.0047518i,0.0039168+0.027691i,0.016951+0.0147i,0.0011391-0.00067743i,0.00062485-0.0056787i,0.0094347-0.00016688i,0.0053813-0.0021028i,0.0033892+0.0029386i,0.0011692-0.00038687i,-0.021311+0.0035716i,-0.0063307-0.0026005i,-0.0012485+0.0035334i,0.0032804-0.0024344i,-0.001551+0.00069592i,-0.00077911+0.00065677i,-0.0028394-0.0018532i,-0.0039932-0.00058419i,-0.006244-0.0090191i,-0.001136+0.00088716i,-0.00052415-0.00041839i,-0.00031485-0.0019875i,-0.0032388+0.01838i,0.0030486-0.0036674i,0.0019321-0.0050632i,0.0027658-0.0016585i,0.00099965-0.004392i,0.0010205-6.5363e-05i,0.0081361+0.0034243i,0.0058841-0.00079539i,3.7405e-05+0.0024426i,-0.014724+0.016221i,-0.024853+0.0524i,-0.0078872-0.03641i,-0.015907-0.017953i,-0.040194-0.016596i,-0.02895-0.011731i,0.030405-0.01373i,0.0040808-0.029728i,0.011233-0.040013i,-0.011453-0.029866i,0.026526-0.023585i,0.013539+0.0066905i,0.029157-0.036948i,-0.0012341-0.0038687i,0.0061263-0.0085015i,-0.0005332-0.0051839i,-0.00051533-0.0355i,-0.013344+0.030091i,0.008081-0.0117i,-0.0070376-0.0042665i,-0.0026254-0.0023248i,-0.00049521-0.015058i,-0.0084167+0.0062372i,0.004249+0.006271i,-0.0011343+0.026878i,0.0021189-0.00022514i,-0.0068714-0.0037608i,-0.0043737-0.0062i,-0.014104-0.0091988i,-0.003007-0.0059255i,-0.032681+0.021859i,-0.0057626-0.0080048i,-0.01311-2.8403e-05i,-0.0082775-0.0062418i,0.0012864-0.0017905i,-0.013186+0.0026416i,-0.0018364-0.00078598i,0.00497+0.0047557i,0.0030234-0.0052986i,-0.010313-0.017915i,0.0080662+0.0085096i,-0.01519+0.0021489i,0.0050675-0.00043579i,-0.020058-0.0014781i,-0.015364-0.0030481i,-0.018032-0.034886i,0.02022-0.011314i,-0.0398-0.022122i,-0.0090233+0.0056185i,0.018733+0.014584i,-0.020349+0.016957i,-0.0045769-0.0024358i
0.0016602+0.015207i,-0.0044395+0.017339i,-0.0025034+0.02828i,-0.00044088+0.027782i,-0.0019203+0.031772i,0.010402+0.024609i,-0.011807+0.027159i,-0.0043355+0.02276i,0.013245+0.0054147i,0.00089859-0.0026711i,0.0025239+0.00060556i,0.0060564-0.0017234i,0.00098868-0.0015452i,0.00043446-0.0032343i,-0.00010298-0.0018228i,0.0074613-0.0089131i,-0.0024494-0.0071097i,-0.0021051-0.00086008i,0.0011245+0.00014872i,7.9414e-05+0.0017642i,-0.0017289+0.0034607i,-0.00029695-0.00022645i,0.0015759+0.00019459i,-0.0066138-0.0041898i,-0.00082091-0.00061816i,-0.0025372+0.001015i,-0.0048949+0.0011538i,-0.0018885+0.00072046i,0.00023306+0.0010144i,-0.00028756-0.00055314i,-0.0017092+0.00084739i,0.0009329-0.0013962i,-0.0011661-0.002271i,0.00025344-0.0020501i,-0.0010435+0.00095973i,-7.9009e-05-0.0048736i,-0.0010541+0.00049834i,0.0022434+0.000928i,0.0022566+0.0044044i,-0.0043971+0.0039002i,-0.0013678+0.0013846i,-0.0016887+0.00032397i,-0.0016974-0.00089252i,0.0045162+0.0047633i,0.013642+0.006481i,0.042328-0.050977i,-0.025904+0.0071845i,0.016744-0.026397i,-0.026332-0.032735i,-0.010917+0.0039549i,-0.029906+0.035477i,-0.018368+0.0056299i,-0.016101+0.0086457i,-0.0029023-0.015849i,-0.042116-0.020198i,-0.0087477+0.0016815i,-0.030331+0.012576i,0.0013192+0.014253i,0.00076908+0.0049889i,-0.0034859-0.0043821i,-0.0004104+0.0016193i,-0.013976-0.0026184i,0.003585+0.013303i,-0.0012232+0.0089668i,-0.002184+0.0046208i,0.00012314+0.0058905i,0.002051+0.0030524i,-0.00090863+0.017567i,0.0058975+0.014643i,0.0046305-0.0047693i,0.011308-0.00341i,0.0089189+0.0016705i,-0.0052937-0.0078225i,-0.00023354-0.0018017i,0.013397-0.032505i,0.0088757+0.00276i,0.0059517-0.0018425i,0.0026551-0.0012551i,0.0054967-0.0089207i,0.020055-0.0010561i,0.0060345-0.0034508i,0.00094231-0.0064011i,0.0042839-0.0034962i,0.017439+0.00075281i,0.0065947+0.003731i,0.0025815-0.0031948i,0.0083236+0.0089559i,-0.0013954+0.00477i,0.0081476+0.008448i,-0.013263-0.012864i,-0.0082202+0.0013586i,-0.0078774-0.014293i,-0.0073955-0.0045674i,-0.038995+0.0038551i,-0.005823+0.0037389i,-0.010247+0.00060096i
0.0039614+0.014912i,-0.0019022+0.015014i,0.0043342+0.02367i,0.003967+0.025561i,0.002753+0.030098i,0.014261+0.022415i,-0.0081638+0.028617i,0.00046987+0.022127i,0.012899+0.00095643i,0.00088134-0.0031797i,0.0028533+0.00093918i,0.0049452-0.0042194i,0.00050335-0.0024031i,0.00048104-0.0027444i,-0.0007347-0.0014954i,0.0031556-0.0083753i,-0.0062337-0.0047936i,-0.0011009+0.0020341i,0.0024135-3.3845e-05i,0.001324+0.0013968i,-0.0043354+0.0024307i,6.2949e-05+0.00054678i,0.0019412-0.00064258i,-0.0061726-0.0018554i,-0.00059178-0.00011139i,-0.0019683+0.0021588i,-0.0032348+0.0035499i,-0.0012139+0.0011874i,0.0015918-0.0019331i,-6.5013e-05-0.00025392i,-0.0001697+0.0017175i,2.8261e-05-0.0012187i,-0.0024938-0.002343i,-0.0016057-0.0013994i,-0.0017806+0.0012911i,0.0013808-0.0035128i,-0.00017054+0.00046315i,0.0019028-0.00035556i,0.005231+0.0056046i,-0.0017376+0.0038605i,-0.00044913+0.002091i,-0.0018366+0.00059245i,-0.0020967-0.00034688i,0.005609+0.0032727i,0.014168+0.0025909i,0.022569-0.060091i,-0.020202+0.01449i,0.0061182-0.033428i,-0.037172-0.022676i,-0.008252+0.0069614i,-0.018295+0.040222i,-0.01447+0.010232i,-0.0053441+0.0034183i,-0.0048938-0.014519i,-0.046529-0.0049566i,-0.0085586+0.0028278i,-0.025106+0.025002i,0.0049317+0.010202i,0.0013604+0.0035914i,-0.0089084-0.0063454i,-0.0028067+0.0045131i,-0.013389+0.0054183i,0.0096879+0.0099757i,0.0012647+0.011443i,-0.00029845+0.004883i,0.0024443+0.0069587i,0.0034607+0.0030142i,0.0067964+0.013809i,0.0094231+0.0078357i,-0.0014593-0.0066042i,0.0064352-0.0054975i,0.0082392+0.00030342i,-0.0052464-0.0040053i,-0.00043188+0.00067073i,-0.00034008-0.031761i,0.010097+0.00019902i,0.0067759-0.0039649i,0.0043911-0.0031072i,0.00058826-0.0058469i,0.018297-0.0092464i,0.0030747-0.0049429i,-0.00248-0.0051206i,0.00070121-0.0028611i,0.015156-0.0047818i,0.0088374+0.0024451i,0.0019518-0.0019023i,0.010695+0.0053731i,3.2777e-05+0.0053485i,0.0091068+0.0046213i,-0.018546-0.010961i,-0.004767-0.012873i,-0.0075355-0.011887i,-0.0074235-0.0030599i,-0.033713+0.017247i,-0.0038185+0.0047755i,-0.0083979+0.0017817i
0.0076108+0.014298i,-0.00042727+0.013512i,0.0074485+0.01768i,0.0075381+0.02303i,0.0081881+0.028565i,0.017914+0.019252i,-0.0034289+0.029832i,0.004919+0.019881i,0.011001-0.0021822i,-0.00030794-0.0034025i,0.0038959+0.00055935i,0.0017261-0.0052001i,-0.00030009-0.0025051i,3.4114e-05-0.0027574i,-0.0011294-0.00091534i,-0.00076328-0.0059095i,-0.008012-0.00068642i,0.00037958+0.0023762i,0.0028426-0.0016128i,0.0025212-5.9999e-05i,-0.0017411+0.0023038i,0.0010508+0.00050154i,0.0017141-0.0015824i,-0.0057747-0.00095662i,-0.00033857+0.00020197i,-9.2424e-05+0.0032963i,-0.0010611+0.0039322i,-0.0003102+0.0014578i,-8.5902e-05-0.00078595i,-8.773e-05-0.00030286i,0.0016298+0.0011479i,-0.00043539-0.00084706i,-0.0030436-0.00094236i,-0.0023395-0.00044883i,-0.00125+0.0024332i,0.0034092-0.0043522i,0.00039367+0.00026541i,0.0010945-0.0010783i,0.01093+0.0062158i,8.1292e-05+0.0032558i,0.00015019+0.002247i,-0.0010524+0.001687i,-0.0022488+0.00029023i,0.005913+0.00083164i,0.01356-0.00083427i,0.0021704-0.058687i,-0.010332+0.017877i,-0.005402-0.034101i,-0.040292-0.013428i,-0.0027316+0.0077998i,-0.004655+0.039913i,-0.0052425+0.011855i,-0.0047399-0.0036915i,-0.0063806-0.013525i,-0.044694+0.0097527i,-0.0073898+0.0046576i,-0.011674+0.033447i,0.0092099+0.0069268i,-0.00050681+0.0013021i,-0.016155-0.0028008i,-0.0017465+0.0059905i,-0.009369+0.010405i,0.011582+0.003787i,0.0061591+0.01046i,-0.00077552+0.0055169i,0.0042254+0.0049074i,0.0050242+0.0011615i,0.0084617+0.0073435i,0.0086803+0.0031281i,-0.0058747-0.0020518i,0.0044486-0.0051486i,0.0093549-0.00062168i,-0.0017039+0.0053914i,0.0023124+0.001851i,-0.01892-0.027901i,0.010289-0.0043113i,0.0046488-0.0067505i,0.0019965-0.0048738i,0.00054546-0.0042751i,0.011716-0.015523i,0.00044125-0.0017148i,0.0020305-0.0020805i,6.3807e-05+0.0003799i,0.011594-0.0069068i,0.011157-0.0025349i,0.0026606-0.0031206i,0.013009+0.00026577i,0.0035583+0.0042348i,0.0087563+0.0012745i,-0.021834-0.0037218i,-0.015867-0.019928i,-0.0062859-0.014091i,-0.0053592-0.0034427i,-0.025806+0.027748i,-0.0040436+9.2356e-05i,-0.0071309-0.001573i
0.011697+0.011391i,0.0017398+0.012999i,0.008038+0.01228i,0.010695+0.020724i,0.013163+0.024771i,0.020987+0.015089i,0.0024117+0.029966i,0.0080684+0.016512i,0.0091652-0.0036155i,-0.0014112-0.0028778i,0.0041778-0.0011376i,-0.0006703-0.0039526i,-0.001089-0.0024579i,-0.001013-0.0023807i,-0.0014542+0.00021502i,-0.0020038-0.0021607i,-0.0066915+0.0036238i,0.0013585+0.0019606i,0.0019458-0.0021213i,0.001995-0.0021311i,-0.00029366+0.0021582i,0.0017041-0.00014101i,0.001023-0.0023839i,-0.0059556+0.00023757i,0.00013621+2.043e-05i,0.0020785+0.0016254i,0.00047615+0.0037755i,0.00045227+0.0009294i,-0.0010688-0.0034724i,-4.0019e-05-0.00015119i,0.0020016+0.00097237i,-0.00097587-0.00042383i,-0.0033848+0.00057215i,-0.0025593+0.00092583i,-0.00015317+0.0027781i,0.0040715-0.0069471i,0.0009353-0.0004343i,0.00029108-0.0011367i,-0.0093761+0.022888i,0.0010852+0.0019771i,0.0010184+0.0022459i,0.00016151+0.0015508i,-0.0021999+0.0013054i,0.0035564-0.0021225i,0.012552-0.0035009i,-0.013607-0.047534i,-0.0013494+0.015263i,-0.014615-0.030744i,-0.045363-0.0027513i,0.0019535+0.0053692i,0.0064449+0.034354i,0.0028374+0.0055784i,-0.0050149-0.0046998i,-0.0064594-0.011214i,-0.037473+0.021706i,-0.0061119+0.0060455i,0.0021839+0.032987i,0.0065662+0.0020223i,-0.0036396+0.0025577i,-0.018926+0.0064337i,-0.0011288+0.0079993i,-0.0048557+0.011385i,0.0096564-0.0016822i,0.0092939+0.008165i,0.00093403+0.007519i,0.004101+0.0044687i,0.0054007-0.0020939i,0.0064491+0.0026503i,0.0057917+0.0005114i,-0.0038755+0.0015656i,0.0027606-0.0054293i,0.008654-0.0029933i,0.0048246+0.005544i,0.0037536+0.00016243i,-0.0098744-0.012291i,0.0072684-0.0070964i,0.0012783-0.0074454i,0.0011371-0.0038973i,-0.00029214-0.0045106i,0.0040415-0.016642i,0.003639-0.00057501i,-0.0031872+0.00021854i,0.0026578+0.0015469i,0.010069-0.0071758i,0.0094794-0.0082745i,0.00079648-0.0035347i,0.0097649-0.0067427i,0.0038615+0.00099428i,0.0081721-0.0026153i,-0.01757+0.0042561i,-0.026727-0.016815i,-0.010727-0.018346i,-0.0059311-0.0057541i,-0.014219+0.027144i,-0.0088387-3.4262e-05i,-0.010347-0.00070498i
0.013643+0.0079036i,0.0030413+0.011023i,0.0065678+0.008563i,0.013598+0.017886i,0.016633+0.020254i,0.022705+0.010512i,0.0084797+0.028068i,0.0097097+0.013184i,0.00788-0.0044583i,-0.0016885-0.0020909i,0.0029041-0.002175i,-0.001666-0.0025252i,-0.0016738-0.0022555i,-0.0012775-0.0015368i,-0.0026062+0.0022602i,-0.0013903+0.00053721i,-0.0039189+0.0065543i,0.0019068+0.0012299i,0.0015332-0.0020059i,0.0001108-0.0029741i,0.00030024+0.0017711i,0.0016689-0.00085121i,-0.0002477-0.0026788i,-0.0050044+0.0014775i,0.00033007-0.00063939i,0.0018346-0.00059762i,0.001993+0.0025426i,0.00069134+0.00038109i,-0.00069575+0.0033475i,0.00032866-0.00013915i,0.0017125+0.0003529i,-0.0010958-0.00014383i,-0.0026485+0.0023097i,-0.0020436+0.0021352i,0.00068214+0.0027354i,0.0028219-0.010658i,0.00044523-0.0024004i,-0.00014634-0.0006452i,-0.0021589+0.0010055i,0.0013243+0.0010619i,0.001657+0.0017224i,0.00069395+0.0010244i,0.00017265+0.0026853i,0.00094915-0.00077241i,0.011276-0.0054683i,-0.017224-0.03369i,0.0034977+0.01i,-0.022541-0.024653i,-0.047473+0.0089182i,0.0042752+0.00061128i,0.014424+0.026619i,0.0055815-0.0016052i,-0.0043605-0.0065647i,-0.0054312-0.010906i,-0.027995+0.03036i,-0.0044282+0.0067618i,0.015623+0.027504i,0.0057554+0.000186i,-0.0044145+0.0061862i,-0.016096+0.013983i,0.0017032+0.0089647i,0.0013121+0.014524i,0.0048502-0.0030897i,0.011497+0.0048348i,0.0038875+0.007763i,0.0049564+0.0044168i,0.004777-0.0044545i,0.0035962+0.0029195i,0.0035536+0.0014648i,-0.0024789+0.0024892i,0.0012533-0.0047543i,0.007135-0.0052083i,0.0073879+0.0013218i,0.0037254-0.0020498i,-0.012192-0.012742i,0.0040282-0.0085434i,-0.0007824-0.0069249i,0.0019539-0.0037054i,-0.0016609-0.0034727i,-0.0012723-0.014388i,0.0051709-0.0028696i,-0.0014957+0.0019797i,0.0048958+4.686e-05i,0.0087615-0.0094243i,0.0041236-0.013136i,0.00046922-0.0031522i,0.0032098-0.0083634i,0.0020904-0.00024147i,0.0042033-0.0060478i,-0.010967+0.0051432i,-0.036253-0.0068209i,-0.017078-0.018051i,-0.0077752-0.0070304i,-0.0076418+0.026039i,-0.012151+0.0033832i,-0.01006+0.0029418i
0.015053+0.0044991i,0.0037587+0.010058i,0.0050518+0.0072676i,0.015971+0.014536i,0.018451+0.01554i,0.023803+0.0060931i,0.014206+0.024542i,0.010639+0.010357i,0.0070622-0.0054516i,-0.0019185-0.0017725i,0.0011239-0.0025575i,-0.0021788-0.0010216i,-0.002698-0.0021092i,-0.0012587-0.0012968i,-0.0035726+0.0021102i,-0.00010094+0.0019668i,8.7269e-05+0.0080718i,0.0019922+0.00046277i,0.00088683-0.002413i,-0.0012452-0.0025671i,0.0012692+0.0015737i,0.0015521-0.001455i,-0.001273-0.0020812i,-0.0045162+0.0014007i,0.00022822-0.0005886i,0.0004598-0.002126i,0.0017113+0.00052253i,0.00094294-0.00031571i,0.0011825+0.0016835i,0.00043271-0.00061252i,0.0013488-0.00022389i,-0.0012456+0.00011871i,-0.0010677+0.0032655i,-0.00081966+0.0026489i,0.0013898+0.0025716i,0.00048241-0.013107i,-0.0035272-0.00096853i,-2.0656e-05-0.00037989i,-0.0017204+0.00086353i,0.0012343+0.00099847i,0.0018042+0.0012048i,0.00085642+0.00071843i,-0.0013634-0.00083075i,0.00097252+0.0010344i,0.010013-0.0067311i,-0.015275-0.026535i,0.0055281+0.0059201i,-0.026249-0.014809i,-0.043777+0.02052i,0.001544-0.0036627i,0.017851+0.01887i,0.0060563-0.0080607i,-0.0043206-0.0072614i,-0.006201-0.01011i,-0.018593+0.03376i,-0.0035372+0.007639i,0.021764+0.011949i,0.0049779-0.0018919i,-0.0024937+0.0093804i,-0.0096905+0.019639i,0.0044379+0.0075799i,0.008707+0.010653i,0.0025325-0.0013369i,0.012753+7.9046e-05i,0.0066148+0.0069471i,0.0061295+0.0032702i,0.00063737-0.0079784i,0.00379+0.0045731i,0.0045048+0.003002i,-0.0012171+0.004337i,0.0010323-0.004267i,0.0055777-0.0062428i,0.0079764-0.0028121i,0.0027458-0.0040266i,-0.017571-0.010615i,0.00078965-0.0088037i,-0.0039849-0.0059177i,8.2607e-05-0.0047481i,-0.0018263-0.0016534i,-0.0034319-0.011142i,0.0042969-0.0044476i,0.00054139+0.0017998i,0.0049285-0.0036481i,0.004855-0.010567i,-0.004059-0.012528i,-0.00031502-0.0041124i,0.0006585-0.0046537i,0.0018187-0.0010506i,-0.00055966-0.0053704i,-0.0080221+0.0049082i,-0.033263+0.0096582i,-0.022619-0.014403i,-0.0099109-0.0067122i,-0.0037829+0.024933i,-0.011035+0.0086072i,-0.0062104+0.0038714i
0.015576+0.0004064i,0.004999+0.0095716i,0.0043271+0.006997i,0.017519+0.010706i,0.01929+0.011618i,0.024212+0.0012188i,0.018925+0.019487i,0.011143+0.0080073i,0.0062937-0.0063257i,-0.0021489-0.0010231i,-0.00047337-0.0016131i,-0.0014311+0.00049729i,-0.0039082-0.0010028i,-0.0016712-0.0014489i,-0.0028181+0.0026245i,0.0011577+0.0025369i,0.0048723+0.0069709i,0.0018498+8.4996e-05i,0.00033363-0.0025705i,-0.0019298-0.0015714i,0.0020078+0.00084435i,0.0011767-0.0021264i,-0.0016373-0.001248i,-0.0049544+0.0022554i,0.00024337-0.00059181i,-0.0010854-0.0021699i,0.0013068-0.00051251i,0.0006284-0.0012347i,0.0016668+0.00024229i,4.3017e-05-0.0011502i,0.0014048-0.0010343i,-0.00096903+0.00088207i,0.00083522+0.0027858i,0.0002715+0.0026629i,0.0021592+0.001621i,-0.0034839-0.014384i,-0.00064366+0.0012695i,3.3251e-05-0.00061794i,0.00025585+0.00090895i,0.0014534+0.00083725i,0.001832+0.00031509i,0.0013675+0.00057637i,-0.0013115-7.2372e-05i,0.001871+0.0014287i,0.0092797-0.0084138i,-0.015949-0.024595i,0.0069962+0.0028292i,-0.024036-0.0065165i,-0.031421+0.033725i,-0.00047488-0.0038348i,0.02012+0.012758i,0.0032611-0.013816i,-0.004147-0.0085185i,-0.0056581-0.0077381i,-0.0094035+0.0368i,-0.00081872+0.0077561i,0.014948-0.00035878i,0.0027034-0.0039036i,0.00081109+0.010593i,-0.002632+0.020688i,0.0057558+0.0052102i,0.009477+0.0068771i,0.0029854-0.00054246i,0.011899-0.0038214i,0.010472+0.0040441i,0.0070045+0.002154i,-0.0041868-0.0044041i,0.0055639+0.004825i,0.006213+0.0032183i,0.0017923+0.0044512i,2.3144e-05-0.0046652i,0.0037692-0.0076011i,0.005548-0.0080754i,-0.00050598-0.0043842i,-0.021825-0.0042713i,-0.0020891-0.0080647i,-0.005164-0.0030268i,-0.00030036-0.0025562i,-0.0016628-0.0013775i,-0.0048327-0.010634i,0.002905-0.0040007i,0.0012602+0.00018897i,0.0021766-0.005035i,0.0026433-0.010324i,-0.0080804-0.0069699i,-0.0024797-0.004247i,0.0001072-0.0062255i,0.00018935-0.0018847i,-0.0023064-0.0027237i,-0.0047033+0.005063i,-0.025136+0.011709i,-0.022619-0.0099356i,-0.011266-0.0059397i,0.00090723+0.022611i,-0.0090927+0.010649i,-0.0048291+0.0026958i
0.014782-0.0034072i,0.0068633+0.0089958i,0.0045335+0.0074338i,0.018078+0.0069579i,0.0195+0.0081652i,0.023317-0.0034609i,0.022257+0.013418i,0.011662+0.0061093i,0.0053913-0.0075024i,-0.0015978-0.00063571i,-0.0013525+2.5904e-05i,-0.00033197+0.00064464i,-0.0043011+0.00070493i,-0.0025987-0.00087206i,-0.0018625+0.0033709i,0.0024914+0.0020612i,0.0074822+0.0030317i,0.0019265-0.00019182i,-0.0001869-0.0024986i,-0.0018436-0.00040678i,0.0023701-9.5128e-05i,0.00049739-0.0022629i,-0.0017105-0.00055287i,-0.0041129+0.0039373i,-8.3019e-05-0.00086829i,-0.0014839-0.0015684i,0.00056495-0.0015039i,-0.00024783-0.0018228i,0.0014857-0.0010145i,-0.00060982-0.0012804i,-0.0010564-0.0022227i,-0.00037772+0.0005967i,0.0013707+0.0017043i,0.0011158+0.0022801i,0.0022517+0.00066295i,-0.0070882-0.012746i,0.00010779+0.00051746i,-0.00036893-0.00065365i,0.00058137-0.00013718i,0.0017055+0.00070665i,0.0017388-0.00030786i,0.0016943+3.9058e-06i,-0.0015053+5.6288e-06i,0.0025044+0.0011765i,0.0077763-0.0105i,-0.020019-0.022204i,0.0067883-0.0010902i,-0.021581-0.0010356i,-0.015066+0.03626i,-0.0026829-0.0038381i,0.021729+0.0060297i,-7.2181e-05-0.01586i,-0.0048777-0.0097238i,-0.0042133-0.0051129i,0.0015657+0.036395i,0.0018838+0.0066171i,0.0081593-0.0014386i,0.00015563-0.0044243i,0.0054493+0.010876i,0.0039478+0.018933i,0.0060832+0.0021778i,0.0089784+0.00046411i,0.0021601-0.00059921i,0.0090767-0.0081515i,0.012021-0.00037084i,0.0072383+0.00022669i,-0.0048985-0.0011848i,0.0075769+0.0041247i,0.0081275+0.0025455i,0.0046964+0.0030444i,-0.0012183-0.0043568i,0.0020801-0.0087204i,-6.7343e-05-0.0080911i,-0.0016997-0.0023209i,-0.023179+0.0032462i,-0.0041926-0.0068279i,-0.0047054-0.00093861i,0.0001016-0.0020942i,-0.0020328-0.0008904i,-0.0076508-0.010048i,0.00043109-0.0045705i,0.0012605-0.00054691i,0.00022014-0.005033i,0.00095072-0.009816i,-0.0092965-0.0032545i,-0.0044759-0.002279i,-0.002166-0.0069113i,-0.00050809-0.0021509i,-0.002145-0.0010252i,-0.0015907+0.0040398i,-0.023071+0.012639i,-0.02201-0.0077399i,-0.01308-0.004808i,0.0023681+0.021097i,-0.0077066+0.011379i,-0.0039299+0.0018917i
0.013228-0.0064897i,0.0092834+0.0073521i,0.0061589+0.0075067i,0.018027+0.0036378i,0.019811+0.0052841i,0.021548-0.007611i,0.02354+0.0062525i,0.01216+0.0039739i,0.0039687-0.0085012i,-0.0015148-0.00086696i,0.013316-0.0025522i,-7.2344e-05-3.7072e-05i,-0.0039634+0.0023869i,-0.0027086+0.00017611i,-0.00056523+0.0039931i,0.0028696+0.00082489i,0.006796-0.00054628i,0.0017206-0.00074014i,-0.00072735-0.0023428i,-0.0012081+0.0001615i,0.0025527-0.0013431i,0.00015091-0.0021749i,-0.0014474+1.359e-06i,-0.0023445+0.0048786i,-0.00068897-0.00091159i,-0.0020271-0.00085901i,-0.00081387-0.0020854i,-0.0012575-0.0016932i,0.00065201-0.0020519i,-0.0012555-0.0010738i,-0.00083732-2.8363e-06i,-0.00044877+0.00073716i,0.0014617+0.0011884i,0.0018539+0.0016585i,0.0020512-7.1942e-05i,-0.0088157-0.0087494i,0.00045564+0.00029061i,-0.00054981-0.00039785i,0.00016946-0.00091248i,0.0019163+0.00054841i,0.0014829-0.00083401i,0.0016736-0.00038669i,-0.0017728+0.00030774i,0.0029518+0.00077733i,0.0053829-0.011639i,-0.024917-0.016574i,0.0057074-0.0040747i,-0.015875+0.0040052i,-0.0032832+0.036846i,-0.0039135-0.0011101i,0.021584-0.0012506i,-0.00088122-0.018539i,-0.0057716-0.0096532i,-0.0024059-0.0029759i,0.010898+0.031757i,0.00255+0.0040681i,0.0043751-0.0020469i,-0.0028138-0.0041578i,0.010501+0.0075973i,0.007732+0.015406i,0.0047201+0.00051085i,0.0053237-0.004317i,0.0027769+0.0015741i,0.0042837-0.010233i,0.011176-0.0062812i,0.0073817-0.0016532i,-0.0051253+0.0020507i,0.010043+0.0021685i,0.010868-0.00010655i,0.0060779-0.00011228i,-0.0021277-0.0036458i,-0.00082543-0.0089795i,-0.001494+0.00020909i,-0.0011301-0.00075539i,-0.021806+0.01183i,-0.0060905-0.0054501i,-0.0044665+0.0015677i,-0.00099833-0.0041578i,-0.001895+0.00045781i,-0.01093-0.0075i,-0.002793-0.003036i,0.00080832-0.0015497i,-0.0016042-0.0042911i,-0.0015383-0.0093831i,-0.0091475+0.0023033i,-0.0044262+0.00034105i,-0.0094143-0.0034567i,-0.0028817-0.0037169i,-0.0014088-0.00075485i,0.00070138+0.0030708i,-0.022043+0.018688i,-0.022269-0.0085566i,-0.011892-0.0022188i,0.0057283+0.020547i,-0.006658+0.013435i,-0.0028106-0.00020765i
0.011398-0.0087965i,0.011184+0.0048801i,0.0079865+0.006049i,0.017534+0.00047084i,0.019968+0.0023397i,0.019333-0.01098i,0.022346-0.00030401i,0.012186+0.0017643i,0.0025607-0.0091566i,-0.00175-0.00065558i,0.00043692-0.0020226i,-0.00059013-0.00017277i,-0.0030365+0.0036525i,-0.0024862+0.0010303i,0.00091509+0.0042674i,0.0021569-3.4608e-05i,0.0050441-0.002642i,0.0015132-0.00094384i,-0.00046791-0.0026383i,-0.00052048+0.00025875i,0.0021771-0.0025899i,-1.3933e-05-0.0024701i,-0.00098975+0.00015348i,-0.00055968+0.005261i,-0.0011816-0.00064387i,-0.0023719+0.00020346i,-0.0022786-0.0016931i,-0.0019146-0.00098462i,-0.00074612-0.0024289i,-0.0018937-0.00057303i,-0.00013934-4.1988e-05i,-0.00016574+0.0011759i,0.0016902+0.00058639i,0.0025772+0.00078815i,0.001541-0.00058904i,-0.0097779-0.0041575i,0.00056333-0.00076122i,-0.00065004-0.00036738i,-0.00048422-0.00125i,0.0025152+0.00031799i,0.0011189-0.0010828i,0.0018515-0.00086015i,-0.0019873+0.00071208i,0.0032049+0.00022313i,0.0034125-0.011879i,-0.025152-0.0086606i,0.0029702-0.0060136i,-0.0097077+0.0042849i,0.005848+0.033515i,-0.0025572+0.0023238i,0.018735-0.0075616i,-0.0046252-0.022949i,-0.0051911-0.0086112i,0.0010179-0.0043271i,0.017442+0.023704i,0.0028151+0.0029134i,0.00086997-0.0013566i,-0.0045967-0.0021013i,0.012148+0.0014615i,0.011424+0.01387i,0.002925+0.001591i,0.00088048-0.0075024i,0.0060094+0.00052267i,-0.00070034-0.0094612i,0.0069003-0.0098638i,0.0073384-0.0039618i,-0.0046377+0.0043182i,0.011138-0.0024036i,0.010356-0.0060128i,0.005732-0.0035108i,-0.0028784-0.0028305i,-0.0036339-0.0079765i,0.0022148-0.01639i,-7.0024e-05-0.00098014i,-0.01517+0.022089i,-0.0078907-0.0031746i,-0.0024009+0.0030922i,-0.0054326-0.0031613i,-0.00083421+0.00090065i,-0.01306-0.0035688i,-0.0032022-0.00015491i,-0.0004926-0.0021865i,-0.0032691-0.0029558i,-0.0041483-0.0075655i,-0.0060019+0.0057186i,-0.0028917+0.0018611i,-0.0084065+0.0025436i,-0.0062182-0.0029272i,-0.0017305-0.00081749i,0.0047855+0.0020383i,-0.011691+0.023843i,-0.02642-0.0072803i,-0.010754-0.0028075i,0.0079178+0.017937i,-0.004053+0.015591i,-0.0037769-0.003237i
