-0.023926-0.037576i,-0.01264-0.049283i,-0.017923-0.04435i,-0.030976-0.035218i,-0.03005-0.015905i,-0.05021-0.027125i,-0.057353-0.025147i,-0.044599-0.035738i,-0.029532-0.036808i,0.0076365+0.012519i,-0.0053951+0.015863i,-0.0044509+0.013869i,0.0098892+0.021421i,0.00060359+0.0042743i,0.0033135+0.0032089i,0.0070351+0.018379i,0.026558+0.038143i,-0.0024261-0.0012433i,-0.0044576-0.005613i,0.0080803+0.0015146i,-0.00042474-0.00084911i,-0.00098011+0.0013905i,4.2675e-05-0.00035424i,-0.030849-0.0035376i,-0.0013018-0.0057787i,0.0013962+0.0045891i,0.0038033-0.00026041i,-0.00071788+0.00057366i,0.00060079-0.00061152i,-0.00038575-0.002666i,-0.0012458-0.0062584i,-0.0045023-0.004155i,-0.0017857-0.0046407i,0.002207-0.00057417i,0.002304-0.0027515i,0.0024149+0.02533i,0.0018213-0.0026862i,0.0027753+0.00065768i,0.0062509+0.0011165i,-0.010356-0.004274i,-0.0031997+0.0007634i,0.0064972+0.0014533i,0.0055127-0.00067976i,-0.0034214+0.0055108i,0.0010631-0.0085737i,-0.011903+0.018001i,0.035779-0.090508i,0.012079-0.069888i,-0.016091-0.059514i,-0.016191-0.05539i,0.039677-0.045016i,0.017437-0.061982i,0.034277-0.055184i,0.029406-0.059538i,0.01591-0.013916i,0.0046335+0.01656i,0.016736-0.026239i,-0.0115+0.0055179i,0.00016091+0.0054769i,-0.004682-0.0019706i,-0.0023244-0.029253i,-0.024044+0.032316i,0.0098242-0.01135i,-0.012994-0.0024178i,4.4082e-05-0.0048441i,-0.0012847-0.016136i,-0.0070003+0.00438i,0.0047788+0.0063817i,-0.0090188+0.031087i,0.0050903+0.0062559i,-0.0051714-0.00079644i,-0.0032235-0.0007316i,-0.012059-0.0079753i,-0.00096237-0.004363i,-0.030151+0.0069274i,-0.00027439-0.010172i,-0.0097198-0.0021288i,-0.0068086-0.0028547i,0.007395+0.0026148i,-0.007956+0.0011088i,-0.00015335+0.00013381i,0.0059526+0.010588i,0.0042064+0.0017368i,-0.0092764-0.0098888i,0.0030676+0.0083389i,-0.021516+0.0060712i,0.0082405+0.00048965i,-0.028803-0.0034916i,-0.041612+0.0023655i,0.019227-0.096566i,-0.0016389-0.01283i,-0.053012-0.02219i,-0.023699-0.0015668i,0.017743+0.011026i,-0.024673+0.013522i,-0.018265-0.012245i
-0.031039+0.018607i,-0.050503+0.020812i,-0.031253+0.045757i,-0.03002+0.02477i,-0.026995+0.039455i,0.0059749+0.045832i,-0.0016756+0.023726i,-0.014818+0.039096i,-0.01293+0.022208i,-0.003537-0.0047651i,-0.0043343-0.0031844i,-0.0018918-0.0033292i,-0.0038891-0.00056705i,-0.0067779-0.0041198i,-0.0017696+0.0042409i,-0.0022109-0.00069255i,-0.011195-0.0041338i,-0.0015171-0.00089621i,0.0026141-0.0012091i,0.0019133-0.00072772i,0.0027099-0.0034245i,0.0022281-0.0038295i,0.0013704-0.0024262i,-0.0096681-0.007947i,-0.0021119+0.00069277i,-0.0038309+0.0012034i,-0.0018469+1.5384e-05i,-0.0031786-0.0010913i,-0.0011596-0.0015298i,0.0011791-0.0018968i,-0.001855+0.0065571i,0.0014785+9.7235e-05i,0.0026949+0.00011456i,0.0011773+0.0016704i,-0.001567+0.0034358i,-0.0010675-0.0057706i,-0.0014263+0.00090459i,0.00015619-1.2592e-05i,-0.00039757+0.0037232i,0.0069821+0.0051858i,0.0015077-0.00299i,0.0013287-0.0036844i,-0.0042518+0.0015892i,0.00074209+0.0028613i,-0.031372-0.006028i,0.011262-0.077862i,-0.093023-0.029367i,-0.051476-0.035713i,-0.075242-0.049562i,-0.057793-0.0057315i,-0.093134+0.019672i,-0.05886+0.011557i,-0.050965-0.022739i,-0.031846-0.056992i,-0.026059-0.029403i,0.0025925+0.0052113i,-0.018537+0.010843i,0.0096747+0.0036879i,0.011263+0.0041536i,0.00049635-0.0056569i,0.0078712+0.0019884i,-0.0090371-0.0029925i,0.0025399+0.014704i,-0.0012497+0.009165i,0.0007036+0.0014745i,0.0061274+0.0029575i,0.0021863-0.0011545i,-0.00066561+0.014958i,0.00065603+0.011781i,0.0030897-0.0051121i,0.010326-0.0068415i,0.0023644+0.0024223i,-0.0077364-0.0071018i,-0.0020081-0.0033376i,0.01811-0.026061i,0.0060636+0.0045068i,0.0034639+0.0041418i,-0.003562+0.0025536i,0.002589-0.0037258i,0.021676+0.0024479i,0.0024973-0.0022764i,-0.00083999-0.010102i,0.00079713-0.0025202i,0.013206+0.0033196i,0.0045418+0.0007319i,0.0044726-0.0065414i,0.003525+0.0088684i,0.0040977-0.00048044i,0.024298+0.0045984i,-0.080594-0.035213i,-0.0060285+0.01797i,0.0066472-0.003798i,-0.0040068+0.004633i,-0.036294+0.012101i,-0.007167+0.0062922i,-0.016789+0.013367i
-0.026572+0.022282i,-0.046471+0.025577i,-0.020154+0.044247i,-0.026133+0.028525i,-0.020362+0.04074i,0.014531+0.042916i,0.0015282+0.022948i,-0.0071547+0.039722i,-0.008323+0.019285i,-0.0049689-0.0025568i,-0.0045298-0.00072524i,-0.0028552-0.00355i,-0.0045056-2.2844e-05i,-0.0069197-0.0013338i,-0.0005999+0.0051237i,-0.0041343+0.00082765i,-0.01339+0.0011552i,-0.0014191+0.00017193i,0.0029363-0.0018294i,0.0019622-0.0016035i,0.0014623-0.0039905i,0.0014483-0.003816i,0.00099399-0.0024596i,-0.010549-0.004804i,-0.0013084+0.00099727i,-0.0034564+0.0024035i,-0.0013464+0.00044677i,-0.0032319-4.668e-05i,-0.001692-0.0013015i,0.00062507-0.0017324i,0.00095827+0.0069551i,0.0010757-0.00020354i,0.0022926-0.00095498i,0.00094987+0.0012775i,-0.0012854+0.0030657i,-0.0010206-0.0050195i,-0.00089111+0.00084882i,-0.00058325-0.000258i,-0.00019813+0.004376i,0.0073469+0.0012798i,0.00055611-0.0032029i,-0.00057385-0.0039509i,-0.0038522+0.0027547i,0.0014942+0.0027525i,-0.032304-0.0056943i,-0.012739-0.08826i,-0.089766-0.010971i,-0.060639-0.034071i,-0.08726-0.038239i,-0.056947+0.0040772i,-0.082662+0.036911i,-0.054423+0.024172i,-0.041299-0.020277i,-0.039265-0.052216i,-0.03399-0.018299i,0.0038826+0.0022429i,-0.012171+0.019794i,0.0095677-0.00061158i,0.012088-0.0022427i,-0.0043397-0.0092691i,0.0045092+0.0016i,-0.0085379+0.003568i,0.0083109+0.012474i,0.0012319+0.01105i,0.00089616+0.0012643i,0.0073833+0.0029932i,0.0024733-0.00013856i,0.0056477+0.011221i,0.0057902+0.0070554i,-0.0018564-0.0066501i,0.0034102-0.0078303i,0.0033706+0.0028467i,-0.010663-0.00059685i,-0.0026335-0.00043517i,0.0068934-0.027208i,0.0073811+0.0034775i,0.0069991+0.002564i,-0.00078875+0.0027168i,-0.00028373-0.0017389i,0.018956-0.0069754i,0.00059147-0.0031747i,-0.005504-0.0080987i,-0.0023505-0.0019289i,0.011403-0.0018251i,0.0043952+0.00091705i,0.0018159-0.0046025i,0.0063074+0.0071651i,0.0029404-0.0010584i,0.023708-0.0030577i,-0.085165-0.025594i,0.0019818+0.0074729i,0.0050657-0.006233i,-0.0012899+0.0036937i,-0.029785+0.022618i,-0.0057335+0.0075717i,-0.013037+0.015898i
-0.021364+0.02466i,-0.043181+0.030411i,-0.013343+0.040167i,-0.021635+0.030768i,-0.01292+0.042441i,0.021988+0.037942i,0.0049576+0.022194i,0.00042764+0.038754i,-0.0075876+0.01713i,-0.0055415-0.0002077i,-0.0035705+0.0011074i,-0.0059149-0.00296i,-0.0047467+0.0019356i,-0.0068654+0.00071037i,0.001237+0.0055693i,-0.0048997+0.0037633i,-0.012285+0.0075796i,-0.00030838+0.00085758i,0.0030685-0.0034523i,0.0017571-0.0027942i,6.5337e-05-0.004391i,0.00068184-0.0044988i,0.00056955-0.0026696i,-0.011105-0.0019986i,-0.00099499+0.0012818i,-0.002156+0.0038413i,-0.0010413+0.00028699i,-0.0026532+0.0014595i,-0.0020123-0.00085748i,-0.00028622-0.0025533i,0.0037588+0.0056514i,0.00079778-0.00026613i,0.0016631-0.0014702i,0.0013489+0.00077149i,-0.00020446+0.0039225i,-0.00089985-0.00526i,-0.0011089+0.00052251i,-0.00093749-0.00012144i,0.003511+0.0030463i,0.0059931-0.0010255i,-0.00027157-0.0028894i,-0.0010173-0.0025988i,-0.0034393+0.003613i,0.0019538+0.0014636i,-0.034673-0.0032964i,-0.041525-0.087345i,-0.07977+0.0024972i,-0.070549-0.026675i,-0.094774-0.022938i,-0.052837+0.012409i,-0.067267+0.048352i,-0.039489+0.034251i,-0.041099-0.023571i,-0.045698-0.048521i,-0.03545-0.0056005i,0.0041433-0.00084054i,-0.0022118+0.021915i,0.0083088-0.0035507i,0.0078191-0.0075298i,-0.01317-0.0080804i,0.0039392+0.00018775i,-0.0041954+0.0066893i,0.011526+0.0069238i,0.0044853+0.011625i,-8.2666e-05+0.0017738i,0.0077234-0.0012047i,0.0040091-0.0018973i,0.0073797+0.0060852i,0.0056524+0.00208i,-0.0068362-0.0031762i,0.00098613-0.0062737i,0.0053282+0.0017033i,-0.0073275+0.0087123i,-0.0010527+0.0012799i,-0.0022704-0.024716i,0.0094167+0.00014188i,0.006843-0.00077604i,0.00035297+0.0021836i,0.00068619+2.8249e-05i,0.012491-0.011938i,-0.002046-0.00036667i,-0.0084591-0.0043441i,-0.0037522+0.0012872i,0.0070529-0.0048125i,0.0073229-0.00091486i,0.002977-0.0044025i,0.0096714+0.0038361i,0.0038826-0.0017472i,0.020505-0.010032i,-0.088646-0.012117i,-0.00045088-0.0023891i,0.0049425-0.0083913i,0.0014775+0.0010348i,-0.020069+0.026975i,-0.0047785+0.002911i,-0.0072932+0.012451i
-0.016131+0.024914i,-0.038762+0.03622i,-0.0098284+0.03687i,-0.016711+0.033537i,-0.0045591+0.041219i,0.028093+0.031606i,0.0088445+0.0208i,0.0072751+0.035775i,-0.0072156+0.017396i,-0.0048253+0.0020364i,-0.0027699+0.0013947i,-0.0078064+0.00079145i,-0.0042471+0.0035585i,-0.0068106+0.0031652i,0.0029541+0.0049219i,-0.0037171+0.0069403i,-0.0076183+0.012592i,0.00060515+0.00027311i,0.0014879-0.004446i,0.00016811-0.0039803i,-0.0013966-0.0041914i,-0.00052322-0.004615i,5.7954e-05-0.0031925i,-0.010939+0.0013235i,-0.00028725+0.00091549i,5.0763e-05+0.0033056i,-0.0011736+0.00021092i,-0.0014625+0.0018813i,-0.0023617-9.5086e-06i,-0.0019229-0.0019327i,0.0053348+0.003457i,0.00051714-0.00034824i,0.00083568-0.0019683i,0.0014514+0.0002225i,0.0018699+0.003454i,-0.0015679-0.006772i,-0.00096604+0.0011121i,-0.0013514+0.00038116i,0.003151-0.00058844i,0.0047037-0.002157i,-0.00087215-0.0027644i,-0.00095805-0.0024659i,-0.0024819+0.0047721i,-5.6126e-05-0.00080122i,-0.03712+0.00093161i,-0.066367-0.071296i,-0.069631+0.008112i,-0.078355-0.015074i,-0.098583-0.0065258i,-0.047027+0.018163i,-0.053332+0.053556i,-0.024696+0.032981i,-0.044379-0.020641i,-0.052768-0.041485i,-0.032758+0.0032218i,0.002364-0.0033943i,0.0062033+0.019671i,0.0065233-0.0060081i,0.0021431-0.0087421i,-0.018732+6.7354e-05i,0.00050984+0.00049056i,-6.3549e-05+0.0061342i,0.010792+0.0010345i,0.0093086+0.01111i,0.00029171+0.0031806i,0.0043259-0.0026284i,0.0035089-0.0052709i,0.0060072+0.0014246i,0.0028658+0.000195i,-0.0067633+0.00075952i,-0.0012237-0.0051053i,0.0057305-0.00020738i,0.0022322+0.010548i,0.000186+0.00099312i,-0.0075507-0.019824i,0.0084435-0.0031528i,0.0061155-0.0030992i,0.0016937+0.0025608i,0.001142-0.00028233i,0.007244-0.012705i,9.3147e-06+0.0019063i,-0.0096495+0.00037909i,-0.0016019+0.0039907i,0.0040378-0.0041687i,0.0064524-0.0047687i,0.00053892-0.0052297i,0.0095148-0.0017401i,0.0028553-0.004677i,0.016436-0.01598i,-0.08567+0.003093i,-0.0079772-0.0058172i,0.0030487-0.013298i,0.0020246-0.0039411i,-0.01277+0.026853i,-0.0091047+0.0022911i,-0.0081946+0.010695i
-0.012287+0.024547i,-0.033672+0.041054i,-0.0083661+0.035154i,-0.010626+0.035347i,0.002203+0.038145i,0.032047+0.024459i,0.012763+0.018278i,0.012784+0.03189i,-0.0054299+0.018947i,-0.0033122+0.0035547i,-0.0027863+0.0022105i,-0.0070031+0.0044379i,-0.0032432+0.0048978i,-0.0050985+0.0058094i,0.0044425+0.0038792i,-0.0010443+0.0089615i,-0.0015639+0.014618i,0.00068976-0.00027666i,0.00040365-0.0044594i,-0.0017988-0.0037224i,-0.0028536-0.0034009i,-0.0018781-0.0042037i,-0.0011702-0.0033287i,-0.0088662+0.0038142i,-0.00068612+0.00033694i,0.00023227+0.0018666i,-0.0012045+0.00035863i,-0.00070063+0.0017877i,-0.0020669+0.0010457i,-0.0020539-0.00048429i,0.0057071+0.0011213i,0.00036641-0.00050558i,-0.00016799-0.0018632i,0.0012249-0.00034937i,0.0025376+0.0020177i,-0.004009-0.0074459i,-0.00068055+0.0014986i,-0.0011935+0.0013957i,0.0010055-0.0013911i,0.0035684-0.0023257i,-0.0014986-0.0023847i,-0.0012757-0.0022953i,-0.00058687+0.0053538i,-0.0025851+0.0015148i,-0.038021+0.0076616i,-0.076338-0.047836i,-0.063716+0.0094231i,-0.082953-0.00091795i,-0.099518+0.011891i,-0.042532+0.020968i,-0.040115+0.056153i,-0.015315+0.028735i,-0.046004-0.017423i,-0.056929-0.033559i,-0.029391+0.010917i,0.00028115-0.0046462i,0.014637+0.014147i,0.0044676-0.0071188i,-0.0028638-0.0071302i,-0.018645+0.0083476i,-0.0004912+0.0026853i,0.0031259+0.0057636i,0.0066002-0.0013814i,0.013866+0.007597i,0.0018108+0.0037266i,0.0023293-0.0013641i,0.0010684-0.0072406i,0.0025327+0.0009971i,0.00064543+0.0012797i,-0.0061475+0.0048986i,-0.0028825-0.0025801i,0.0051562-0.0022038i,0.0072121+0.0060767i,0.00082124+0.00072929i,-0.010155-0.017555i,0.006412-0.005856i,0.0043089-0.0049787i,0.0044563+0.0018698i,0.0014573+4.9612e-05i,0.0036584-0.01188i,0.0017768+0.0013527i,-0.0073838+0.0062347i,0.0015342+0.0042142i,0.0035115-0.0034214i,0.0032218-0.0089845i,-0.00022888-0.0043117i,0.0060942-0.0052747i,-0.00041352-0.0062314i,0.0087899-0.021387i,-0.079124+0.012848i,-0.015391-0.0017428i,-0.0014774-0.015875i,-0.00072569-0.0084572i,-0.0074258+0.026049i,-0.012449+0.0056493i,-0.0075671+0.011715i
-0.0092607+0.024412i,-0.027856+0.045637i,-0.0070325+0.036485i,-0.0044224+0.035031i,0.0064725+0.033949i,0.034732+0.017619i,0.016443+0.014622i,0.016975+0.027629i,-0.0024544+0.019219i,-0.0018652+0.0036818i,-0.0028909+0.0035943i,-0.0049644+0.006916i,-0.0017244+0.0061965i,-0.0026548+0.0067428i,0.0051734+0.0023017i,0.0020879+0.0095418i,0.0046475+0.013745i,0.00073772-0.00027951i,-0.0010575-0.004651i,-0.0030467-0.0026275i,-0.0032853-0.0018358i,-0.0027253-0.0033405i,-0.0021398-0.0026753i,-0.0075575+0.0045899i,-0.001258+0.00073001i,-0.0001592+0.0017051i,-0.0013833+0.00067046i,-5.0549e-05+0.0013325i,-0.0012785+0.0016205i,-0.0016813+0.00028052i,0.005472-0.00093248i,7.8432e-05-0.00068584i,-0.00066061-0.0013269i,0.00075253-0.00092539i,0.0025788+0.0012029i,-0.006781-0.0066873i,-0.00035279+0.0015018i,-0.00028395+0.0019439i,7.8515e-05-0.001143i,0.0027941-0.0023789i,-0.0019519-0.0016029i,-0.0019426-0.0020179i,0.0013095+0.0049119i,-0.0022849+0.0046939i,-0.036659+0.015088i,-0.074368-0.030645i,-0.061169+0.011815i,-0.082885+0.0163i,-0.093784+0.032342i,-0.041079+0.023736i,-0.02905+0.055457i,-0.0082928+0.024033i,-0.046925-0.012427i,-0.060771-0.025625i,-0.024346+0.01591i,-0.0032918-0.0046737i,0.01765+0.0021078i,0.0028487-0.0088195i,-0.0059276-0.0033592i,-0.014065+0.015617i,0.00061327+0.0035234i,0.0066813+0.0028825i,0.0050851+1.1455e-05i,0.017106+0.00064808i,0.0030152+0.0034574i,0.0020463-0.00051336i,-0.003365-0.0083122i,0.0011768+0.0032232i,0.00073653+0.0032907i,-0.0017443+0.0087343i,-0.0018593-5.0439e-05i,0.0038047-0.0032644i,0.0085638+0.0014089i,0.001629-0.00026038i,-0.015569-0.016277i,0.0033147-0.0071686i,0.0014352-0.0058442i,0.0042312-0.00068751i,0.0017475+0.00036833i,0.0022355-0.010475i,0.0023643-4.157e-06i,-0.0022276+0.0086923i,0.0027734+0.0019237i,0.0023305-0.003929i,-0.0029055-0.00914i,-0.0011183-0.0052306i,0.0026164-0.0059189i,-0.0027376-0.0060012i,-0.0011744-0.021828i,-0.075066+0.02101i,-0.013987+0.0084171i,-0.0058421-0.01685i,-0.0056064-0.0093618i,-0.0041116+0.024887i,-0.011878+0.010893i,-0.0037353+0.011725i
-0.0062521+0.024554i,-0.020887+0.049864i,-0.0031954+0.038891i,0.0005702+0.033536i,0.0086623+0.031241i,0.036299+0.01059i,0.018918+0.010144i,0.020155+0.023479i,0.00060163+0.019374i,-0.0010882+0.0038658i,-0.0016373+0.005752i,-0.0019712+0.0086337i,0.00020459+0.0067827i,-0.00043105+0.0065614i,0.0052119+0.00079907i,0.005219+0.0088218i,0.00942+0.010323i,0.00091288-0.00039768i,-0.0024374-0.004036i,-0.0036051-0.0010851i,-0.0030206-0.00061817i,-0.0034671-0.0025075i,-0.0026512-0.0017803i,-0.0071418+0.0065329i,-0.0011077+0.0014829i,-0.0001019+0.0021541i,-0.0012242+0.0014319i,-0.00015825+0.00091846i,-0.00062683+0.0016329i,-0.0013045+0.00066291i,0.0044114-0.0027069i,6.3289e-05-0.00032212i,-0.00070712-0.0011457i,0.00025229-0.0011072i,0.0028386-3.4274e-05i,-0.0092216-0.0049489i,0.00018021+0.0015466i,0.00048623+0.0016263i,-0.00066785-0.0011191i,0.0021952-0.0025354i,-0.0020361-0.00086137i,-0.001888-0.0011742i,0.0022975+0.0035949i,-0.0005909+0.006036i,-0.032556+0.021123i,-0.073316-0.023688i,-0.06023+0.016175i,-0.076103+0.031455i,-0.082288+0.049567i,-0.038527+0.029923i,-0.019746+0.055036i,-0.0047002+0.018629i,-0.047408-0.0075825i,-0.063-0.016112i,-0.019583+0.019544i,-0.0043315-0.0042966i,0.011233-0.0081256i,-0.00036564-0.010681i,-0.0064119+4.8734e-05i,-0.0074948+0.018417i,0.00082277+0.00314i,0.0070677-0.002218i,0.0062314-0.00041738i,0.015042-0.005433i,0.0050511+0.0026809i,0.002277+0.00082315i,-0.0073888-0.0034823i,0.0027862+0.0049342i,0.0020182+0.004508i,0.0032626+0.0084549i,-0.0010956+0.00017634i,0.0025997-0.0039172i,0.0084653-0.004171i,0.00017225-0.00094355i,-0.021564-0.010604i,0.0010035-0.0069268i,-0.00088354-0.0043518i,0.0045117-0.00026448i,0.0020489+4.1134e-06i,0.001265-0.011754i,0.0020486-0.0011952i,0.0015511+0.0068726i,0.002927+0.0013347i,0.002085-0.0030849i,-0.0061523-0.0052697i,-0.0042015-0.0051353i,-0.00033655-0.0053926i,-0.0050308-0.0053792i,-0.0081987-0.017768i,-0.068985+0.029572i,-0.0087709+0.0076896i,-0.0073796-0.015908i,-0.0088408-0.0081324i,-0.00015979+0.022819i,-0.01007+0.012994i,-0.0021442+0.0098896i
-0.0029813+0.024335i,-0.012734+0.052846i,0.0023927+0.041038i,0.0049265+0.032277i,0.01079+0.029774i,0.036418+0.003784i,0.020385+0.0052789i,0.022865+0.019561i,0.0039129+0.018618i,-8.2054e-05+0.0041098i,0.0011122+0.006645i,0.001601+0.0084244i,0.0021805+0.0066321i,0.00098475+0.0062647i,0.0050669-0.00039093i,0.0077773+0.0067545i,0.012017+0.0056779i,0.0012624-0.0012381i,-0.003443-0.0031489i,-0.0032329+0.00064051i,-0.0024622+0.00028953i,-0.0039068-0.0011215i,-0.0028119-0.0010478i,-0.0044103+0.0084926i,-0.00068569+0.0021572i,0.00083163+0.0023985i,-0.00055598+0.0020085i,-0.00055519+0.0010816i,-0.00013768+0.0016247i,-0.00085331+0.00097938i,0.0026552-0.0038301i,0.00038878-0.00055028i,-0.0012579-0.00097487i,-0.0002642-0.0010951i,0.0022556-0.001194i,-0.010875-0.001777i,0.00061414+0.0014374i,0.00095355+0.0013593i,-0.0017143-0.00070573i,0.0017715-0.0025754i,-0.0017731-0.00038039i,-0.0018004-0.00082739i,0.0026023+0.002382i,0.0014034+0.0068531i,-0.028267+0.024645i,-0.078254-0.017263i,-0.058997+0.021881i,-0.067528+0.042922i,-0.066603+0.060986i,-0.034319+0.035147i,-0.010311+0.053153i,-0.0028502+0.01541i,-0.047534-0.0018197i,-0.062872-0.0054857i,-0.014693+0.02214i,-0.0059244-0.0031997i,0.0032742-0.0095233i,-0.0044207-0.010891i,-0.0051206+0.0039062i,-0.0012601+0.017781i,0.00058876+0.0027191i,0.0048773-0.0061617i,0.0052744-0.0019114i,0.011201-0.010611i,0.0064684+0.00063625i,0.0036225+0.00091227i,-0.007591-0.00014946i,0.005168+0.0054077i,0.0043627+0.0050691i,0.0073759+0.0057965i,-0.00070937+0.00099917i,0.0020578-0.0040618i,0.0054301-0.0081752i,-0.00033488+0.00064649i,-0.024631-0.0022015i,-0.00050312-0.0066232i,-0.0017895-0.0024862i,0.0049292-0.0009006i,0.0021892-0.00046967i,-0.0016985-0.013406i,0.00092202-0.0016711i,0.0041095+0.0059588i,0.0035126+0.00022466i,0.003004-0.0034543i,-0.0075265-0.0025557i,-0.0071828-0.0019882i,-0.00302-0.0037991i,-0.0062637-0.004693i,-0.012154-0.012859i,-0.062389+0.036299i,-0.0079119+0.0063998i,-0.0081342-0.018108i,-0.011138-0.0061034i,0.00090357+0.021516i,-0.0093685+0.014423i,-0.00079269+0.0088868i
0.00063675+0.024039i,-0.0033981+0.054137i,0.010199+0.041431i,0.0089401+0.030889i,0.014127+0.029578i,0.03563-0.0025519i,0.020629+7.751e-05i,0.025532+0.015347i,0.0068984+0.016973i,0.00068476+0.0040395i,0.0035135+0.0053754i,0.0038774+0.0063332i,0.0040348+0.0060493i,0.0026946+0.0057552i,0.0046657-0.0016242i,0.0089901+0.0038642i,0.01214+0.00096587i,0.00020721-0.0020622i,-0.0044705-0.0016681i,-0.0019533+0.001564i,-0.0015557+0.00053448i,-0.0035361+3.0145e-06i,-0.0029209-0.00021802i,-0.0011684+0.008791i,0.00014742+0.0024634i,0.0016875+0.0018556i,0.00043306+0.0020954i,-0.00026041+0.0015994i,0.00051469+0.0013302i,-0.00042311+0.0009866i,0.00085522-0.0040876i,-3.7993e-05-0.00093728i,-0.0016688-0.00026138i,-0.00074962-0.00093121i,0.0013685-0.0018791i,-0.010922+0.001999i,0.00088011+0.0012083i,0.0014701+0.00090641i,-0.0021094+0.00032677i,0.0012908-0.0028467i,-0.001683-0.00015771i,-0.0016151-0.00056447i,0.0023426+0.001537i,0.0036395+0.0067429i,-0.024471+0.028293i,-0.086334-0.0043151i,-0.05485+0.02759i,-0.056359+0.051142i,-0.051545+0.06848i,-0.029178+0.041525i,-0.0011709+0.049363i,0.0018141+0.012249i,-0.046141+0.0049889i,-0.059844+0.004777i,-0.010231+0.024419i,-0.0075006-0.0019628i,-0.0024154-0.0089063i,-0.0086071-0.0094933i,-0.0011843+0.0053864i,0.0025034+0.01538i,-0.00048212+0.0028471i,0.0020916-0.0086789i,0.0053567-0.0014545i,0.0045175-0.013368i,0.0067176-0.0028069i,0.0048382-6.3792e-05i,-0.0075832+0.003783i,0.0085637+0.0043714i,0.0076347+0.0028974i,0.0091453+0.0014148i,0.00047528+0.0017026i,0.0011978-0.0043608i,-0.00084624-0.009204i,0.0009798+0.0021747i,-0.024564+0.007288i,-0.0020266-0.006221i,-0.0012783-0.0005452i,0.0056349-0.0039727i,0.0022217-0.00064102i,-0.0071666-0.013475i,-0.00019068-0.0012914i,0.0060238+0.0031977i,0.0033338-0.00054723i,0.0022943-0.0044641i,-0.0071696+0.0019889i,-0.0068415+0.0024744i,-0.0047376-0.0016078i,-0.0081975-0.0039918i,-0.014396-0.0080244i,-0.056744+0.042085i,-0.0082226+0.0088829i,-0.012429-0.021782i,-0.010343-0.0034059i,0.0033586+0.021375i,-0.0087596+0.017825i,0.0015355+0.0064053i
0.0043424+0.022824i,0.0058623+0.053223i,0.018024+0.038844i,0.013195+0.029036i,0.018845+0.028471i,0.034179-0.0083683i,0.019458-0.0048851i,0.02738+0.010483i,0.0092763+0.015035i,0.0013961+0.0041609i,0.0043678+0.0039276i,0.0044668+0.0044356i,0.0055993+0.0045399i,0.0039971+0.0045321i,0.0038412-0.0026747i,0.0088248+0.0011425i,0.01076-0.0025114i,-0.00072933-0.0017687i,-0.0043035+1.6597e-06i,-0.00069192+0.0016222i,-0.00081477+0.00022821i,-0.002992+0.0006847i,-0.0025463+0.00055699i,0.0013303+0.008535i,0.0012035+0.0021087i,0.0021601+0.0012596i,0.0011995+0.001726i,0.00041671+0.0017351i,0.00079942+0.00071783i,-0.00021611+0.00097643i,-0.00082951-0.0035709i,-0.0006944-0.00086558i,-0.0015007+0.00043802i,-0.0011349-0.00051725i,0.00034197-0.0022491i,-0.0095579+0.005216i,0.0011507+0.00081787i,0.0016273+0.0001329i,-0.0018165+0.0015325i,0.00059911-0.0032949i,-0.0015903+0.00021019i,-0.0016084-0.0006477i,0.0020455+0.0011693i,0.0058172+0.0057924i,-0.019576+0.031514i,-0.087983+0.015847i,-0.052256+0.031587i,-0.046034+0.055719i,-0.034372+0.073255i,-0.020868+0.047715i,0.0053032+0.043417i,0.0042309+0.0052912i,-0.041105+0.010924i,-0.053553+0.014585i,-0.0032594+0.025457i,-0.0088044+0.00053487i,-0.0078873-0.0058181i,-0.011722-0.0064401i,0.0018923+0.0036202i,0.005051+0.013381i,-0.0021277+0.0043671i,-0.0018655-0.010636i,0.0064169-0.0034385i,-0.0019827-0.01195i,0.0043352-0.0052145i,0.0054151-0.002389i,-0.0059638+0.0069874i,0.010966+0.00015626i,0.0082966-0.0020526i,0.0080747-0.0038355i,0.0025168+0.0011318i,9.6002e-05-0.0045638i,-0.004571-0.0053646i,0.0030013+0.0012288i,-0.020163+0.017607i,-0.0037152-0.0050653i,0.00028686+0.00042269i,0.0028042-0.0062559i,0.0021479-0.00096514i,-0.012702-0.010038i,-0.00015867-1.5852e-05i,0.0064436-0.00019916i,0.0027558-0.0014258i,0.0011739-0.0047603i,-0.0043015+0.0050845i,-0.0042746+0.0053242i,-0.0049523+0.0018959i,-0.010524-0.0018393i,-0.014672-0.0041988i,-0.04964+0.050165i,-0.0024877+0.011603i,-0.019919-0.021304i,-0.0086249-0.0034352i,0.0053346+0.020624i,-0.0056262+0.021308i,0.0019091+0.0025019i
