-0.030587-0.03918i,-0.022018-0.019288i,-0.012992-0.035875i,-0.029607-0.020368i,-0.022325-0.00044021i,-0.013643-0.0058468i,-0.055671-0.058969i,-0.04713-0.017535i,-0.038093-0.014042i,0.010922+0.011966i,-0.007978+0.0054666i,-0.019325+0.019012i,0.0026519+0.01141i,-0.0062531-0.0034038i,0.00028625+0.0011425i,-0.0014785+0.030393i,0.027583+0.028144i,0.0023397-0.0022045i,-0.0024763-0.0066338i,0.0081567+0.002368i,0.0031769+0.0011613i,0.00040711+0.0035814i,-0.00025786+0.00024101i,-0.037099-0.011722i,2.0842e-05-0.0078485i,0.0014075+0.0022574i,0.0060846+0.0013914i,0.0019451+0.00040931i,0.0012878-0.00068238i,-0.00036762-0.0024359i,0.0015717-0.0026613i,-0.0026559-0.0055893i,-0.00031866-0.0046968i,0.0029262-0.00085043i,0.0044459-0.0027474i,0.0023454+0.030145i,0.0039502-0.0034301i,0.0030928-0.0017313i,0.0082317-0.0012606i,-0.0052047-0.002289i,-0.00022141+0.0011549i,0.0095268+0.00024467i,0.0039652-0.00276i,-0.0015918+0.009466i,-0.018116-0.0066207i,-0.018639+0.0154i,-0.0033843-0.061403i,-0.0050687-0.027334i,-0.026742-0.032282i,-0.011024-0.027127i,0.054949-0.020635i,0.016545-0.043089i,0.022543-0.048632i,0.0056946-0.055319i,0.02556-0.020951i,0.0082369+0.0060009i,0.025132-0.034483i,-0.0083303-0.0063406i,0.0040821-0.0053671i,-0.0041897-0.0075041i,-0.0021133-0.032925i,-0.018414+0.029834i,0.0081123-0.012233i,-0.0091913-0.0038687i,-0.0041523-0.001731i,0.0010087-0.012735i,-0.011036+0.0041019i,0.0026893+0.010115i,-0.0053969+0.026705i,0.0046703+0.0023829i,-0.0053162-0.0020341i,-0.0021115-0.0018109i,-0.012162-0.0072365i,-0.00062235-0.0040343i,-0.03571+0.0015708i,0.00040403-0.010439i,-0.0084947-2.6139e-05i,-0.0065609-0.0021787i,0.0052629+0.00086801i,-0.0083343-0.0004784i,0.0013885-0.0007424i,0.0038083+0.0071234i,0.0040767+0.00046714i,-0.0085408-0.012901i,0.0027501+0.0093459i,-0.015185+0.0046441i,0.0070262+0.00057754i,-0.022348+0.00030936i,-0.017283+0.0056844i,-0.007295-0.064155i,0.0078026-0.013373i,-0.049682-0.022853i,-0.02169+0.0011145i,0.017422+0.011357i,-0.022724+0.014714i,-0.019263-0.0051909i
-0.041181+0.031858i,-0.015379+0.018796i,-0.021376+0.042386i,-0.026351+0.013663i,-0.0043205+0.021162i,-0.00066303+0.0078818i,-0.030396+0.017462i,-0.0039708+0.029801i,0.0086202+0.0178i,-0.0051101-0.0062075i,0.0026498+0.0029558i,0.007648+7.6693e-06i,0.0053662+0.0001329i,-0.00031498+0.0035731i,0.00066717+0.0021159i,0.0062906-0.0047465i,-0.0065498-0.0010097i,-0.0029416-0.00095335i,0.0039596-0.0018369i,2.614e-05-0.00081504i,0.0028006-0.0049706i,0.0017395-0.0027516i,0.0013885-0.0024743i,-0.010109-0.011083i,-0.00036708+0.0018806i,-0.0017709-1.1887e-06i,-0.0045248-0.001508i,-0.0028657-0.00020784i,-0.00073525-0.0015372i,-0.00027952-0.00076152i,-0.00084594+0.0036469i,0.00077009+0.00075495i,0.0016646+0.0007286i,-0.0004723+0.0007498i,-0.0030408+0.0027921i,-0.0011574-0.0076427i,-0.0026407+0.00093543i,0.00074312-0.00036854i,-0.0016597+0.0033662i,0.0039705+0.0025806i,-0.00034564-0.0017221i,-0.00045623-0.0034158i,-0.0035006-0.00020799i,0.0038333+0.00011739i,-0.015545+0.024424i,0.0069931-0.037463i,-0.053841+0.0043138i,0.0079849-0.031737i,-0.031607-0.048488i,-0.029238-0.019891i,-0.06226+0.020882i,-0.037844+0.0012567i,-0.033995-0.0061207i,-0.029559-0.021358i,-0.038425-0.023284i,-0.0055095+0.0028377i,-0.028178+0.0094083i,0.0060991+0.018637i,0.0029834+0.0082399i,-0.0028677-0.0051632i,0.0021006+0.0013765i,-0.010849-0.0037829i,0.0058187+0.01074i,-0.00074956+0.0059647i,-0.0019546-0.0017684i,0.0015299+0.0017477i,0.0038463-0.0015498i,-0.0035776+0.018318i,0.0033378+0.013966i,0.0043311-0.0015109i,0.0095639-0.0065092i,0.0044958+0.0030883i,-0.0087729-0.0075406i,-0.00092684-0.0033738i,0.026266-0.035051i,0.0075829+0.0095889i,0.0051741+0.0023692i,-0.002864+0.0029106i,0.0040647-0.0053828i,0.021505+0.0075331i,0.0039506+0.0022092i,3.5015e-05-0.006684i,0.0011755-0.0026578i,0.014875+0.0072093i,0.0048977+0.0014167i,0.0024315-0.0046966i,0.0040782+0.0088381i,-0.0013153+0.0012006i,0.0083823+0.0019774i,-0.043357-0.018407i,-0.005782+0.011755i,-0.0018763-0.0047527i,-0.0065364+0.005938i,-0.036893+0.012053i,-0.0056872+0.0073757i,-0.0091465+0.013829i
-0.035473+0.03799i,-0.012195+0.018435i,-0.010833+0.038269i,-0.02369+0.016449i,-0.0014843+0.019327i,0.00069565+0.0077255i,-0.029062+0.022425i,0.0018377+0.028897i,0.010686+0.012144i,-0.0062565-0.0033961i,0.0036987+0.0032124i,0.0068877-0.0027187i,0.0048004-0.0018174i,0.0017273+0.0039052i,0.00098096+0.0021232i,0.0020901-0.0042506i,-0.0077945+0.0028862i,-0.0027867+0.00018868i,0.0039573-0.0027127i,0.00033231-0.00084583i,0.0010936-0.0052288i,0.0013703-0.0025361i,0.00074202-0.0025506i,-0.012305-0.0077061i,0.00052986+0.0011561i,-0.0018504+0.00052167i,-0.0039377+0.00050546i,-0.0022028+0.00058459i,-0.0011913-0.0014478i,-0.00019368-0.00062663i,0.00063843+0.0036933i,0.00031012+0.00052489i,0.0013275-0.0002621i,-0.00073121+0.00088236i,-0.0029417+0.0031976i,-0.0012537-0.0068079i,-0.0021809+0.0014395i,-0.00019291-0.00099692i,-0.00099278+0.0038847i,0.0037282+0.00029166i,-0.00064835-0.0015776i,-0.0024562-0.0029058i,-0.0035499+0.00094907i,0.0042241-0.0010096i,-0.011434+0.02339i,-0.0069925-0.042769i,-0.047311+0.014627i,-0.0014399-0.03919i,-0.045554-0.042407i,-0.029691-0.013072i,-0.050701+0.032766i,-0.034996+0.0098771i,-0.02493-0.0086057i,-0.031161-0.017138i,-0.043997-0.0080988i,-0.0046689+0.0026791i,-0.023575+0.021634i,0.011338+0.013025i,0.0053097+0.0045214i,-0.0079157-0.0081727i,-0.0011411+0.0034786i,-0.010533+0.0028965i,0.0098136+0.0073738i,0.00049384+0.0076871i,-0.0021492-0.00027646i,0.0021142+0.0027425i,0.003992-0.0016107i,0.0052603+0.014759i,0.0083697+0.0082397i,-0.00049577-0.0048332i,0.0031487-0.0078256i,0.0048756+0.0024396i,-0.011474+0.00066643i,-0.0022889-0.00096172i,0.0094757-0.037893i,0.011281+0.0075703i,0.0070086-0.00026607i,0.00078837+0.0028i,0.00036749-0.0033487i,0.022421-0.0025131i,0.003661+0.00012365i,-0.003325-0.0051714i,-0.0025606-0.0012625i,0.014289+0.00087879i,0.0051611+0.0013912i,0.00072419-0.0032582i,0.0069982+0.0070911i,-0.00084992+0.0024609i,0.0079769-0.0008161i,-0.047702-0.013846i,-0.0001447-0.0028379i,-0.0010843-0.0044546i,-0.0043171+0.0055849i,-0.030436+0.023371i,-0.0035375+0.008113i,-0.0050095+0.014741i
-0.028347+0.042893i,-0.01004+0.018279i,-0.0056064+0.031902i,-0.020871+0.019232i,0.0018917+0.018396i,0.00225+0.0071722i,-0.025268+0.027992i,0.0073075+0.026586i,0.0097424+0.0080238i,-0.0065003-0.00085951i,0.0054172+0.0027314i,0.0029105-0.0037721i,0.0036007-0.0029169i,0.0024464+0.0032897i,0.0015163+0.0020276i,-0.0011238-0.0016348i,-0.0066544+0.0071775i,-0.001801+0.00087503i,0.0034128-0.0044488i,0.00065748-0.0015383i,-0.00066702-0.0050319i,0.0014229-0.0030727i,0.00025197-0.0025558i,-0.014207-0.004637i,0.00078839+0.00059828i,-0.0012916+0.0013281i,-0.0026035+0.0010654i,-0.0010752+0.0011829i,-0.0014637-0.0012469i,-0.00052542-0.00084717i,0.0019984+0.0029596i,0.00020097+0.00069066i,0.00085041-0.0005594i,-0.00051855+0.00086617i,-0.0013852+0.0044603i,-0.0010789-0.0068959i,-0.0019761+0.0017319i,-0.0011121-0.00092347i,0.0016568+0.0026982i,0.0027613-0.00075656i,-0.00095921-0.0012655i,-0.002101-0.0011218i,-0.0032439+0.0019475i,0.0036344-0.0029502i,-0.0088807+0.023307i,-0.023277-0.040394i,-0.037552+0.020923i,-0.0132-0.041114i,-0.053446-0.032927i,-0.026422-0.0075961i,-0.03502+0.03887i,-0.023439+0.015322i,-0.027166-0.012432i,-0.031856-0.013152i,-0.041889+0.0063894i,-0.0039558+0.0029202i,-0.012136+0.029113i,0.013097+0.0070595i,0.0034011-0.00041905i,-0.017414-0.0056496i,-0.00061113+0.0049018i,-0.0062477+0.0067791i,0.011191+0.0016769i,0.0032126+0.0077833i,-0.0037222+0.0015646i,0.0022707+0.0011564i,0.0040836-0.0032589i,0.0077791+0.0079377i,0.0083354+0.0027515i,-0.0052664-0.0017662i,0.0002256-0.0061312i,0.0065857+0.0013349i,-0.0071048+0.0094504i,-0.00057326+0.001036i,-0.003678-0.034147i,0.015038+0.0014982i,0.0057199-0.0027941i,0.0013891+0.0011693i,0.00025854-0.0015715i,0.017279-0.010705i,0.0015787+0.00186i,-0.0050962-0.0027128i,-0.0027958+0.0026556i,0.010631-0.003208i,0.0088987-0.0012992i,0.00072719-0.0031502i,0.010396+0.0032509i,0.0023934+0.0021845i,0.0069635-0.0032418i,-0.051495-0.0044128i,-0.0090929-0.011599i,0.00082154-0.0076089i,-0.0027072+0.00377i,-0.020038+0.028196i,-0.0036262+0.0033637i,-0.0016838+0.0099976i
-0.020402+0.045783i,-0.0075424+0.018906i,-0.0039773+0.026876i,-0.016872+0.021804i,0.0050651+0.015456i,0.003819+0.005677i,-0.018944+0.032564i,0.011903+0.022784i,0.008876+0.0065108i,-0.0057764+0.0015615i,0.006288+0.00041257i,0.000723-0.0013209i,0.0021842-0.0032916i,0.0023414+0.0033611i,0.0018868+0.0016185i,-0.0015647+0.0024342i,-0.0026571+0.010513i,-0.0012874+0.00076721i,0.0017253-0.0051321i,-8.7893e-05-0.0023326i,-0.0017354-0.0040378i,0.0010279-0.0033945i,-0.00030088-0.0027505i,-0.015531+0.00012856i,0.00097822-0.00039344i,-0.00033885+0.00093336i,-0.0021369+0.00086416i,2.9126e-05+0.00053131i,-0.0017456-0.00059105i,-0.00088989-0.00039966i,0.0028122+0.0017203i,0.00041202+0.00094403i,0.00021736-0.0008667i,-0.00028081+0.00092218i,0.0008114+0.0038629i,-0.0023777-0.0086627i,-0.00121+0.0024545i,-0.0016892-0.00034239i,0.0013589+1.1514e-05i,0.0019217-0.0011005i,-0.001021-0.00084068i,-0.0017421-0.0012469i,-0.0023461+0.0029239i,0.00084208-0.0050419i,-0.0060725+0.024063i,-0.035892-0.028i,-0.028259+0.021723i,-0.024663-0.038077i,-0.060802-0.022341i,-0.021772-0.0057931i,-0.021101+0.03795i,-0.013376+0.011209i,-0.028397-0.0095448i,-0.032104-0.008259i,-0.036025+0.016507i,-0.0035425+0.0032427i,0.00027422+0.029199i,0.013488+0.0017714i,-0.0014874-0.0010768i,-0.022743+0.0050394i,-0.00065789+0.0067383i,-0.0020428+0.0064313i,0.0084314-0.0039237i,0.0058091+0.0067404i,-0.0027708+0.0045798i,0.0001473+0.0016274i,0.0031305-0.0056868i,0.0059029+0.0023317i,0.0053937-0.00019087i,-0.004366+0.0019787i,-0.0016023-0.0045055i,0.0067238-0.0010037i,0.0026856+0.011288i,0.00022079+0.00045017i,-0.011083-0.027038i,0.013113-0.0046234i,0.0042088-0.0043104i,0.0020969+0.0021211i,0.00018889-0.0015729i,0.010865-0.013711i,0.0047409+0.0028377i,-0.0058108+0.00022932i,-0.00025102+0.0044013i,0.0078019-0.0037984i,0.0078747-0.0065154i,-0.00068274-0.0027741i,0.0092128-0.0028062i,0.0023685-0.00082807i,0.0056375-0.005948i,-0.048266+0.0072322i,-0.019348-0.010529i,-0.001879-0.013184i,-0.001965+0.0012893i,-0.011968+0.028061i,-0.0072348+0.0033359i,-0.0025113+0.0087114i
-0.012804+0.04736i,-0.0054057+0.018496i,-0.0047933+0.024459i,-0.012403+0.023191i,0.006684+0.012192i,0.0041134+0.0038285i,-0.011388+0.034511i,0.014936+0.018192i,0.00939+0.0055946i,-0.0037479+0.0031753i,0.0054765-0.0013118i,0.0011376+0.00063862i,0.001153-0.0033492i,0.0037141+0.0037546i,0.002173+0.0012041i,0.00033501+0.0050817i,0.002375+0.011164i,-0.0011592+0.00086321i,0.00041398-0.0052632i,-0.0011523-0.0022965i,-0.0026768-0.0031983i,0.00028052-0.0035931i,-0.0011775-0.0025985i,-0.013113+0.004932i,-2.8879e-05-0.0015398i,-0.00042742+0.00025527i,-0.0018342+0.0010507i,0.00013009-0.00051739i,-0.0017369-1.7828e-06i,-0.00062245-2.5385e-06i,0.0028213+0.00039244i,0.0011219+0.0004233i,-0.0004213-0.0006057i,-0.00029772+0.00094705i,0.0014102+0.0027584i,-0.0056264-0.0095287i,-0.00043995+0.0025908i,-0.0017049+0.00070918i,-0.00025132-0.00026903i,0.0011515-0.0009073i,-0.0010163-0.00056807i,-0.0022379-0.0009472i,-0.00096755+0.0032506i,-0.00201-0.0034594i,-0.0020178+0.024887i,-0.036108-0.012844i,-0.022118+0.020106i,-0.034428-0.031134i,-0.065871-0.0077592i,-0.018932-0.0079882i,-0.0099967+0.033483i,-0.0089695+0.005872i,-0.028159-0.0076962i,-0.030922-0.0052713i,-0.029153+0.024474i,-0.0027695+0.0032843i,0.012791+0.024134i,0.012398-0.0029214i,-0.0048391+0.0016965i,-0.020853+0.014899i,0.0015853+0.0078904i,0.00061581+0.0068988i,0.0024767-0.0048967i,0.0078738+0.0047532i,-0.00064276+0.0062142i,4.0722e-05+0.0040025i,0.0011135-0.0068907i,0.0014977+0.0025966i,0.0023822+0.00055218i,-0.0036911+0.004262i,-0.0026797-0.0021014i,0.0058185-0.0029987i,0.0081216+0.0067241i,0.00051621+8.0624e-05i,-0.015232-0.023886i,0.0093472-0.0084916i,0.0021783-0.0052878i,0.0052077+0.0018141i,-6.8624e-05-0.00083031i,0.00629-0.013934i,0.0067971+0.00010439i,-0.0041028+0.0036859i,0.0024627+0.0042203i,0.0073185-0.0045497i,0.0029477-0.011033i,-0.00076863-0.0019297i,0.004888-0.0058328i,0.00052034-0.0014071i,0.0019264-0.0085898i,-0.041312+0.0129i,-0.027161-0.0024591i,-0.0071329-0.015119i,-0.0030361-0.0012419i,-0.0066741+0.026992i,-0.010015+0.0059877i,-0.0015418+0.0092419i
-0.0051818+0.047955i,-0.003625+0.018715i,-0.0050179+0.0253i,-0.0080892+0.023214i,0.0067743+0.0091434i,0.0041464+0.0027074i,-0.0033125+0.033831i,0.016556+0.013655i,0.010364+0.0035017i,-0.0022955+0.0031807i,0.0037144-0.0022571i,0.0021827+0.0015498i,8.1435e-05-0.0031832i,0.0053799+0.0023775i,0.0022199+0.00069652i,0.0031416+0.005915i,0.0073745+0.0094378i,-0.00078213+0.0012357i,-0.0014409-0.0051928i,-0.0019929-0.0017367i,-0.0028891-0.0019165i,-0.00039205-0.0036625i,-0.0017793-0.0020289i,-0.010809+0.0064962i,-0.0013297-0.0011919i,-0.00090843+0.00019656i,-0.0014574+0.0013112i,-0.00028971-0.0013545i,-0.001402+0.00047028i,-0.00046376-9.2662e-05i,0.0024776-0.00063011i,0.0011293-0.00049117i,-0.00068574-0.00018127i,-0.00016624+0.00092163i,0.0015192+0.002242i,-0.0092537-0.0084719i,8.224e-05+0.0023302i,-0.0011273+0.0013113i,-0.0010665+0.00046204i,0.00078383-0.00049455i,-0.00090518-0.00018764i,-0.002289-0.00017581i,0.00013428+0.0027862i,-0.0028034-0.0010849i,0.0020901+0.025448i,-0.030415-0.0046884i,-0.018092+0.018607i,-0.039902-0.019878i,-0.063575+0.010767i,-0.022372-0.010608i,-0.0030632+0.027014i,-0.0066372+0.0012845i,-0.026977-0.0048979i,-0.031277-0.001834i,-0.02126+0.029121i,-0.0031142+0.003675i,0.018916+0.010445i,0.010217-0.0073676i,-0.0056618+0.0057817i,-0.013483+0.023091i,0.0040547+0.0068086i,0.0041692+0.0051695i,-0.00029693-0.0018244i,0.0098372+0.0012334i,0.0016222+0.0075275i,0.0015693+0.005202i,-0.0036296-0.0087445i,0.0010871+0.0061445i,0.002418+0.0022889i,-0.00096251+0.0075724i,-0.001804-0.00029002i,0.0043298-0.0037641i,0.0096278+0.0016911i,0.0010284-0.00067189i,-0.023053-0.021511i,0.0050358-0.010177i,-0.00022926-0.0053832i,0.0051491-0.0012848i,6.021e-05+0.00025364i,0.0037413-0.012781i,0.0065092-0.0030951i,-0.0010885+0.0049331i,0.0038381+0.0018116i,0.0056345-0.006313i,-0.0038576-0.010472i,-0.00075285-0.0020992i,0.0018888-0.0054064i,-1.9919e-05-0.0023209i,-0.0026587-0.0078265i,-0.036908+0.016313i,-0.024407+0.010801i,-0.011937-0.014283i,-0.0054766-0.0019215i,-0.0026857+0.026183i,-0.0090832+0.010516i,0.0020007+0.0080235i
0.0024854+0.047307i,-0.0012948+0.019367i,-0.0033545+0.027359i,-0.004862+0.022139i,0.0059359+0.007452i,0.0043089+0.001618i,0.0036412+0.031012i,0.017038+0.009638i,0.010922+0.0013944i,-0.0015128+0.0032944i,0.0024191-0.0016593i,0.0043623+0.0018659i,-0.00091788-0.0026709i,0.0057491-0.00033248i,0.0020145+0.00034143i,0.0055785+0.0052397i,0.010607+0.005523i,-0.00027524+0.0014348i,-0.002664-0.0043518i,-0.0024399-0.00077719i,-0.0024061-0.00086515i,-0.0013135-0.0035399i,-0.0021645-0.0013973i,-0.0094165+0.0092408i,-0.0019496-0.00043126i,-0.0012663+0.00071381i,-0.0011808+0.0015787i,-0.0013916-0.0016431i,-0.0010935+0.00050766i,-0.00060245-0.00020886i,0.0018698-0.001414i,0.00097723-0.00067927i,-0.00028877-9.0508e-06i,8.4179e-05+0.00090093i,0.0019827+0.0011314i,-0.012525-0.0061782i,0.00072294+0.0021962i,-0.00066136+0.001355i,-0.0010275+0.0010448i,0.00072344-0.00029943i,-0.00065825+3.5179e-05i,-0.0016271+0.00022386i,0.00058777+0.0020405i,-0.0026124+0.00032556i,0.0072022+0.02429i,-0.026331-0.0030772i,-0.015246+0.01783i,-0.03953-0.009509i,-0.053862+0.026138i,-0.025712-0.0079194i,0.0012474+0.021973i,-0.0069814-0.0029737i,-0.02544-0.0034488i,-0.03016+0.0032555i,-0.013413+0.032487i,-0.0019431+0.0039637i,0.013219-0.0016169i,0.0056652-0.011277i,-0.0039695+0.0091075i,-0.0044872+0.024895i,0.005005+0.0046287i,0.0049353+0.0011958i,0.00079313-0.00010096i,0.0092307-0.0021013i,0.0063383+0.0068455i,0.0034516+0.0061177i,-0.0080476-0.0034782i,0.0040744+0.0077362i,0.0037878+0.0027494i,0.0032931+0.0077234i,-0.0011792+0.00029523i,0.0034633-0.0044482i,0.0095076-0.0045872i,-0.0006087-0.00090189i,-0.031314-0.012369i,0.001334-0.010207i,-0.0021765-0.0039885i,0.0048574-0.0011512i,0.00030083+0.00058068i,0.0022827-0.014569i,0.0046143-0.0054824i,0.0011273+0.0039729i,0.0036147+0.00064779i,0.0038883-0.0068947i,-0.0073157-0.0060034i,-0.0020568-0.0021061i,-0.00069624-0.0051981i,-0.0017921-0.002769i,-0.0050292-0.005595i,-0.031897+0.019542i,-0.018063+0.011761i,-0.012646-0.012852i,-0.0068841-0.0011408i,0.001774+0.023954i,-0.0073024+0.012362i,0.0024762+0.0054064i
0.0096773+0.045483i,0.00169+0.020016i,0.00037209+0.029815i,-0.0021103+0.021923i,0.0051257+0.0069439i,0.0039718+0.00069762i,0.009175+0.026962i,0.017001+0.0064116i,0.011222-0.0014171i,-0.00059408+0.0034235i,0.0024914-0.00086402i,0.0062885-0.00032365i,-0.0016688-0.0018149i,0.0038992-0.0016789i,0.0019671+0.00022401i,0.0074996+0.0033894i,0.011608+0.0011354i,0.00043856+0.0011409i,-0.0035767-0.0034066i,-0.0022004+0.00042644i,-0.0016898-0.00026809i,-0.0021527-0.0026964i,-0.0023585-0.00076621i,-0.005032+0.01125i,-0.002277+0.00046566i,-0.00095841+0.0013887i,-0.00074642+0.0018641i,-0.0026504-0.0009962i,-0.0010071+0.00053142i,-0.00078295-9.3697e-05i,0.00094881-0.0018294i,0.0011004-0.0015453i,-0.00048706-8.7569e-05i,0.00018071+0.00078744i,0.0016585+0.00023634i,-0.014877-0.001973i,0.0011962+0.0017161i,-0.00033747+0.0015611i,-0.0011195+0.0014225i,0.00091789-7.5321e-05i,-0.00028171+6.1148e-06i,-0.0012546+0.00030064i,0.00062313+0.0014376i,-0.0018756+0.0015996i,0.011304+0.02118i,-0.026292-0.0022333i,-0.013345+0.016646i,-0.03836-0.0013251i,-0.040579+0.034246i,-0.028896-0.0046575i,0.0052271+0.016168i,-0.0081439-0.0046563i,-0.024608-0.0020253i,-0.027385+0.0080336i,-0.0041352+0.033665i,-0.00090343+0.0038763i,0.0061651-0.0034061i,0.00043585-0.012699i,-2.2795e-05+0.012151i,0.0036442+0.022494i,0.0047873+0.0024195i,0.0036966-0.0021637i,0.0006619+0.00024517i,0.0074676-0.0053802i,0.0095921+0.0032516i,0.0060761+0.005717i,-0.0079628+0.00059323i,0.0073348+0.0075664i,0.0052482+0.002635i,0.0076333+0.005696i,-0.00065957+0.00094058i,0.0029153-0.0052161i,0.0057085-0.0085749i,-0.00078961+0.0010848i,-0.034563+0.00040521i,-0.0011089-0.0092773i,-0.0029518-0.0020295i,0.0054722-0.0017804i,0.00065987+0.00057335i,-0.0019971-0.016636i,0.0019645-0.0066328i,0.0026533+0.0033947i,0.0035179-0.00022712i,0.0032156-0.0074781i,-0.0088524-0.0027754i,-0.0034483-0.00045008i,-0.0033017-0.003575i,-0.0028179-0.0023716i,-0.0061553-0.0033164i,-0.027589+0.021383i,-0.016506+0.012008i,-0.013424-0.013381i,-0.0078014+0.00033778i,0.0035228+0.022583i,-0.0062062+0.012945i,0.0028048+0.0040857i
0.016823+0.042735i,0.005792+0.019728i,0.0065853+0.030813i,0.00078785+0.021576i,0.0054673+0.007408i,0.0037095+0.00024866i,0.013033+0.021718i,0.016983+0.0033944i,0.010504-0.0043432i,5.142e-05+0.0032687i,0.0028252-0.0013852i,0.0057121-0.0036094i,-0.0019369-0.00085633i,0.0029796-0.0018597i,0.0020379+6.9863e-07i,0.0078962+0.00061943i,0.010704-0.0029438i,0.0003954+0.0005554i,-0.0045442-0.0020532i,-0.001281+0.0010332i,-0.00096025-0.00041251i,-0.0022384-0.0019682i,-0.0023405-3.9777e-05i,-0.00073759+0.011012i,-0.0020538+0.0013688i,-0.00037139+0.0016627i,0.0001292+0.0020126i,-0.0032577+0.00036019i,-0.0008004+0.0004645i,-0.00085143+1.9214e-05i,6.6563e-06-0.0017836i,-5.1333e-05-0.002148i,-0.00063378+0.00016733i,0.00023668+0.00068238i,0.0010633-0.00029564i,-0.014723+0.0030856i,0.0013474+0.0011824i,0.00029945+0.0015799i,-0.00093127+0.0018728i,0.0011494-0.00023489i,-0.00019098-0.00026128i,-0.00071603+0.00035451i,0.00032383+0.0011032i,-0.00086204+0.0022272i,0.013913+0.018396i,-0.028414+0.0016301i,-0.011821+0.016007i,-0.033289+0.0067304i,-0.02835+0.03869i,-0.031132+0.0024517i,0.0076114+0.0090378i,-0.0064805-0.0066028i,-0.023657+0.00057163i,-0.022794+0.012616i,0.0041501+0.031902i,-0.00041854+0.0030335i,0.0020097-0.0035076i,-0.005363-0.012084i,0.0062728+0.011521i,0.0083215+0.017756i,0.0030809+0.00094946i,0.0015699-0.0038783i,0.0016079+0.0026434i,0.0037539-0.0074287i,0.010335-0.0023158i,0.0084289+0.0038093i,-0.007275+0.0043281i,0.011357+0.005844i,0.0075353+0.00057362i,0.0098459+0.0006161i,0.00025835+0.001372i,0.0015034-0.0059247i,-0.00024956-0.0091614i,0.0011276+0.0024676i,-0.03271+0.013528i,-0.0030731-0.0085234i,-0.0024935-0.00011798i,0.005407-0.0057391i,0.0014078+0.0010254i,-0.0083226-0.015622i,-0.001021-0.0062613i,0.0038673+0.001821i,0.0034538-0.0006734i,0.0011946-0.0085259i,-0.0088316+0.0027284i,-0.0031056+0.0018684i,-0.0048575-0.0016003i,-0.0040109-0.0021968i,-0.0062077-0.0012897i,-0.024645+0.023638i,-0.015344+0.016383i,-0.016182-0.01567i,-0.0057092+0.0021565i,0.0070042+0.021764i,-0.0059109+0.015192i,0.0041711+0.0013806i
0.023337+0.038689i,0.0097519+0.018131i,0.013019+0.028506i,0.0038538+0.020549i,0.0067482+0.0074192i,0.0039664-2.5905e-05i,0.014949+0.016525i,0.016509+0.00054725i,0.0090261-0.0066717i,0.00040996+0.0033664i,0.0024741-0.0019487i,0.0032434-0.0052516i,-0.0019298+1.719e-05i,0.0019837-0.0019453i,0.0020212-0.0003004i,0.0068119-0.0015485i,0.0084635-0.0056992i,0.00028717+0.00047167i,-0.0046043-0.00036579i,-0.00046487+0.00097028i,-0.00042236-0.00079098i,-0.0023123-0.0015754i,-0.0020128+0.00053971i,0.0023596+0.010039i,-0.0015278+0.0019378i,0.00019536+0.001794i,0.00080988+0.0015049i,-0.0028229+0.0018131i,-0.00074046+0.00030993i,-0.0010175+0.00026409i,-0.00071082-0.0013753i,-0.0013988-0.0017613i,-0.00039811+0.00039352i,0.00041554+0.00065158i,0.00045534-0.00051507i,-0.012709+0.0074466i,0.0014579+0.00072096i,0.00070963+0.0011709i,-0.00033806+0.0023292i,0.0011906-0.00073436i,-0.00023894-0.00036741i,-0.0005471-0.00025553i,8.139e-05+0.0011628i,5.3395e-05+0.0022552i,0.016173+0.016051i,-0.027633+0.008809i,-0.011515+0.015533i,-0.026758+0.010229i,-0.015418+0.040268i,-0.029031+0.011546i,0.0063396+0.0019344i,-0.0069951-0.01179i,-0.020107+0.0021692i,-0.015675+0.016652i,0.012448+0.027581i,-0.00064657+0.0027995i,-0.0019746-0.0019776i,-0.010056-0.0086511i,0.010429+0.0070603i,0.011175+0.013968i,4.6569e-05+0.0017936i,-0.00065391-0.0058753i,0.0051021+0.0018806i,-0.0001245-0.0070092i,0.0072617-0.0062694i,0.0097665+0.00018011i,-0.0056528+0.0068014i,0.014374+0.00014386i,0.0075507-0.0039312i,0.0085973-0.0047491i,0.0015599+0.0011303i,-0.00033315-0.006169i,-0.0040132-0.0057384i,0.0031199+0.001321i,-0.024631+0.027086i,-0.0051849-0.0071932i,-0.0012073+0.00098333i,0.001278-0.0073191i,0.0020921+0.0005711i,-0.014014-0.011548i,-0.0020481-0.0040364i,0.0040492-0.00047358i,0.003028-0.001427i,-0.001401-0.0081232i,-0.00507+0.0071047i,-0.0015745+0.0032031i,-0.0049163+0.0018449i,-0.0058612-0.0013995i,-0.0058003-4.295e-05i,-0.019341+0.027739i,-0.0069682+0.020489i,-0.022127-0.014956i,-0.0031015+0.00077405i,0.0099029+0.01943i,-0.003227+0.017964i,0.0030688-0.0022556i
