-0.023788-0.020126i,-0.032784-0.035375i,-0.02311-0.019877i,-0.03234-0.020517i,-0.024347+0.0037192i,-0.029105-0.018749i,-0.05508-0.049305i,-0.041761-0.044662i,-0.030598-0.024501i,0.0052434+0.0055206i,-0.0034403+0.0062637i,-0.010695+0.011509i,0.004186+0.0069171i,-0.0037107-0.0028559i,0.0029696+0.0019543i,0.00075705+0.029278i,0.024738+0.031637i,-0.00023606+0.00025672i,-0.003061-0.0027517i,0.0075181+0.0038981i,0.0017288+0.00057069i,-0.00027905+0.0026748i,-0.00067192+0.00031413i,-0.032102-0.0023557i,-0.0034731-0.004959i,5.6394e-05+0.00238i,0.0035278-0.0010624i,0.00080184-0.00043373i,-0.00066148-0.00033563i,-0.0012074-0.0019994i,-0.0024507-0.00049887i,-0.0039445-0.0041038i,-0.0032733-0.0051069i,0.00036537-0.0014564i,0.00023168-0.0032789i,-0.0020235+0.025807i,0.001648-0.0031401i,0.0021418-0.0039378i,0.0042354-0.0026406i,-0.0060339-0.0019246i,0.00064644+0.0013636i,0.0099632-0.0005409i,-0.0019805-0.00018461i,-0.0032163+0.00081788i,-0.0085982-0.0040778i,-0.017924+0.021089i,-0.0091797-0.087846i,-0.002928-0.062087i,-0.021271-0.054766i,-0.011772-0.045851i,0.052325-0.027794i,0.02335-0.067413i,0.040733-0.055107i,0.018517-0.040074i,0.026366-0.020138i,0.012384+0.01211i,0.02486-0.028431i,-0.01116-0.00068902i,-0.001301-8.5166e-05i,-0.0084358-0.0010454i,-0.0055539-0.029504i,-0.020792+0.026669i,0.0073609-0.0093861i,-0.010643-0.0030594i,-0.0026103-0.0017652i,-0.00063382-0.014733i,-0.0081223+0.005433i,0.0060135+0.010147i,-0.010387+0.029684i,0.0064304+0.0073135i,-0.0036646-0.0016735i,-0.0023282-0.0015002i,-0.012776-0.0058692i,0.00045682-0.0045103i,-0.033472+0.0032596i,0.0030624-0.0088122i,-0.007356-0.0020379i,-0.0050279-0.0031573i,0.007197+0.0019339i,-0.01024+0.00040766i,0.0022617-0.00056323i,0.0058226+0.0078526i,0.0056475+0.0013438i,-0.0074384-0.009818i,0.0028602+0.0078058i,-0.019822+0.007692i,0.0029177+0.005639i,-0.021115-0.0088722i,-0.027427-0.0050397i,0.0083764-0.062135i,0.018835-0.015091i,-0.05049-0.028378i,-0.022088+0.0010019i,0.019268+0.010554i,-0.026767+0.011848i,-0.012368-0.0077466i
-0.012033+0.014414i,-0.022981+0.043548i,0.0017239+0.041356i,-0.009913+0.025762i,-0.0001495+0.021739i,0.0011278+0.024126i,-0.027188+0.014988i,-0.027432+0.033656i,0.00048717+0.017571i,-0.0015201-0.0011225i,-0.00093161+0.0016319i,0.0040523+0.0037608i,0.0033154+0.0050156i,-0.0032617+0.0016961i,-0.0031814+0.0036428i,0.00099409-0.0073714i,-0.0082501-0.0011653i,-0.0019931+0.00035823i,0.00014384-0.0013605i,-0.0010135-0.0004029i,0.0008612-0.0033193i,0.0011952-0.0028227i,0.0010963-0.0015174i,-0.0093901-0.0098976i,-0.00014656-0.00038727i,-0.0014127+0.0002978i,-0.0024439+0.00014913i,-0.002805-3.003e-05i,-0.00079507-0.00095942i,0.0010554-0.00056141i,-0.0017924+0.00027214i,0.0015852-0.00017645i,0.001837-0.00076857i,0.00068934+0.00061667i,-0.00024813+0.001884i,-0.00076064-0.0073139i,-0.0014778+0.00090816i,0.0018635+1.0021e-05i,0.0006022+0.0026826i,0.0043109+0.0060278i,0.0011286-0.001547i,-0.0017611-0.00082957i,-0.0015169-0.0029163i,0.0029653+0.0056248i,-0.0087385+0.0079431i,0.018198-0.059096i,-0.075332+0.016151i,-0.029109-0.017729i,-0.062311-0.046892i,-0.053659-0.016682i,-0.087244+0.0040706i,-0.074962+0.0024514i,-0.04701-0.034747i,-0.0094769-0.045431i,-0.038188-0.02499i,-0.0061401+0.00033823i,-0.031051+0.010629i,0.0078871+0.011391i,0.0098498+0.0070947i,0.0013554-0.0071533i,0.010875+0.0029087i,-0.011278-0.003378i,0.0029507+0.011888i,0.0022178+0.0062876i,3.4314e-05-0.0013549i,0.0055782+0.0017768i,0.0040105+0.00060284i,-0.004327+0.018813i,-0.00018788+0.00977i,0.00073174-0.0037138i,0.0080538-0.0059718i,0.0012496+0.0039404i,-0.0083406-0.0071835i,-0.0021486-0.0010435i,0.020704-0.03101i,0.0052584+0.0084001i,0.0017957+0.0027893i,-0.0019334+0.0040345i,0.0027913-0.0036686i,0.019489+0.002571i,0.0011288-0.0020383i,-0.0031123-0.0066441i,-0.00046729-0.0020507i,0.011075+0.0049047i,0.0051887-0.00088418i,0.0033224-0.0078716i,0.004481+0.0045754i,-0.0055829+0.0027532i,0.013823+0.0064431i,-0.043776-0.03853i,-0.012321+0.005916i,-0.0019129-0.0013943i,-0.00091512+0.0027666i,-0.040186+0.011142i,-0.0065571+0.00872i,-0.012947+0.0044605i
-0.0090546+0.015266i,-0.015516+0.044355i,0.010876+0.035037i,-0.0047313+0.026354i,0.0029315+0.019377i,0.0056767+0.022846i,-0.025947+0.019566i,-0.019693+0.036011i,0.003968+0.012101i,-0.0018104-0.00020921i,-9.756e-05+0.0027882i,0.0048237+0.0013304i,0.0041412+0.0031282i,-0.0016845+0.0029246i,-0.0024331+0.0046767i,-0.0035344-0.0056591i,-0.0092221+0.0032443i,-0.0016553+0.0010559i,0.00079401-0.00086649i,-0.00047388+1.7652e-05i,-2.0866e-05-0.0031868i,0.0010779-0.0022098i,0.00082719-0.0014804i,-0.011696-0.0065184i,0.0001061-0.00030392i,-0.0013653+0.00067497i,-0.0017218+0.0010432i,-0.0023182+0.00070838i,-0.0012313-0.00075119i,0.0010387-0.00074468i,-0.0015992+0.0011819i,0.001057-0.00052041i,0.001136-0.0014312i,0.00039051+0.00037168i,-0.00079239+0.0013824i,-0.0007556-0.0057665i,-0.0009514+0.0010465i,0.00087916-0.00048975i,0.00076512+0.0027049i,0.0055406+0.0033154i,0.00061178-0.0020316i,-0.0024805-0.00052537i,-0.0030538-0.0018484i,0.0043822+0.0050196i,-0.0066801+0.0058224i,-0.00037353-0.068354i,-0.066062+0.03063i,-0.036206-0.020071i,-0.07488-0.037516i,-0.053882-0.0052182i,-0.078272+0.021796i,-0.072025+0.017659i,-0.04144-0.033055i,-0.01498-0.043676i,-0.044445-0.010208i,-0.0069309+0.00031588i,-0.024364+0.022874i,0.010281+0.0057341i,0.01193+0.00095105i,-0.0035964-0.011613i,0.0073726+0.0021339i,-0.010908+0.0027141i,0.0079701+0.009622i,0.0039977+0.00733i,-0.00066392-0.00095587i,0.0063689+0.0020727i,0.0050849+0.00038353i,0.0042515+0.015782i,0.0042203+0.0057755i,-0.0032739-0.0051178i,0.0019896-0.0067683i,0.0030861+0.0047353i,-0.010665-2.5889e-05i,-0.0021248+0.0017536i,0.0063319-0.031371i,0.0081163+0.0073082i,0.0039958+0.0021018i,0.0017512+0.0031204i,-0.00030823-0.0017042i,0.017269-0.0063459i,-0.00039916-0.0025632i,-0.0063541-0.0041732i,-0.0030325-0.00075732i,0.010049+0.00040774i,0.0043947-0.00030914i,0.00039001-0.0062719i,0.0061052+0.0033784i,-0.0057364+0.004761i,0.013474+0.0014844i,-0.050878-0.032042i,-0.0065623-0.0043169i,-0.0027663-0.0020709i,0.00087367+0.0015252i,-0.034045+0.023177i,-0.0045958+0.010003i,-0.0103+0.0062396i
-0.0057289+0.015237i,-0.0085309+0.045011i,0.015968+0.027372i,4.4748e-05+0.024972i,0.0065735+0.018065i,0.0097783+0.020393i,-0.022599+0.024364i,-0.012471+0.035728i,0.0032141+0.0080486i,-0.0017524+0.00098092i,0.0016493+0.0031825i,0.0024054-0.00014809i,0.0043714+0.0018469i,-0.00077593+0.0030207i,-0.0010826+0.0056918i,-0.0067045-0.0015943i,-0.0074362+0.0078151i,-0.00073015+0.0015893i,0.0014597-0.0016971i,0.0001454-0.00028791i,-0.00099691-0.0030545i,0.00099196-0.0028889i,0.00068344-0.0015957i,-0.01328-0.0028696i,-5.9885e-05-0.00030666i,-0.00090112+0.0013192i,-0.00089149+0.00080172i,-0.0014293+0.0016337i,-0.0012813-0.0005882i,0.00061784-0.0014381i,-0.00084223+0.0017109i,0.0006109-0.00064452i,0.00035586-0.0013271i,0.00049685+0.00016914i,-0.00041425+0.0023872i,3.4277e-05-0.0058916i,-0.00079362+0.00090451i,0.00031848-0.00068302i,0.0024619+0.0014479i,0.0053258+0.0011305i,-1.837e-05-0.0020824i,-0.0016382+0.00059497i,-0.0041171-0.00038772i,0.0055625+0.0033916i,-0.006371+0.0045023i,-0.022994-0.068185i,-0.052021+0.039576i,-0.044717-0.016624i,-0.082626-0.022762i,-0.049241+0.0035747i,-0.063348+0.033025i,-0.058849+0.030415i,-0.044845-0.034527i,-0.020136-0.0425i,-0.043451+0.0044511i,-0.0072612+0.0013442i,-0.012435+0.028724i,0.010544+0.0011008i,0.0084276-0.0052925i,-0.013769-0.011094i,0.0071462+0.00023712i,-0.0078767+0.0065332i,0.010525+0.0040743i,0.006282+0.0063835i,-0.0026536+0.00051419i,0.0066445-0.0016066i,0.0063834-0.002114i,0.0077976+0.010092i,0.0042064+0.0017682i,-0.007981-0.0017823i,-0.00035553-0.0048198i,0.0058234+0.003726i,-0.0064439+0.0087353i,0.00041355+0.0031394i,-0.0037401-0.027556i,0.011569+0.0033275i,0.0040125+0.00011414i,0.00213+0.0011243i,0.0006269+0.00028552i,0.011087-0.01123i,-0.0025077+0.00026231i,-0.0073101-0.00050917i,-0.0036101+0.0026111i,0.006976-0.0024606i,0.0072388-0.0017759i,0.00017684-0.0057804i,0.0088701+0.00053741i,-0.0026928+0.0062061i,0.011864-0.0026761i,-0.055437-0.020973i,-0.012296-0.012875i,-0.0015867-0.0030326i,0.002882-0.00052434i,-0.023588+0.029161i,-0.0029589+0.0056064i,-0.0069388+0.0023716i
-0.0027452+0.014003i,-0.0008465+0.045153i,0.01808+0.020067i,0.0046828+0.023576i,0.010644+0.014614i,0.013401+0.016955i,-0.017694+0.027962i,-0.0070067+0.03357i,0.0024644+0.0067183i,-0.0010062+0.0019325i,0.002768+0.0020293i,0.0012208+0.0014951i,0.0042755+0.00069929i,-0.00068633+0.0036205i,0.00051478+0.0058669i,-0.0065958+0.0037199i,-0.0028966+0.010797i,0.0001762+0.0013187i,0.00066291-0.0021949i,-1.5255e-05-0.00096138i,-0.0017615-0.0024393i,0.00028387-0.0031593i,0.00048945-0.0021282i,-0.013231+0.0017778i,-5.9059e-05-0.00042515i,9.6936e-05+0.0009785i,-0.00073191+0.00039149i,-0.00024532+0.0014928i,-0.0015382+2.2769e-05i,-0.00019435-0.0014059i,-4.4886e-05+0.00175i,0.0001974-0.00072813i,-0.00044804-0.00099807i,0.00047275+7.1415e-05i,0.00095939+0.0021829i,-0.00071272-0.0077879i,-0.00035637+0.001202i,-0.00036848-0.00052719i,0.0019574-0.00068839i,0.0048637-0.00041257i,-0.00059588-0.0020555i,-0.00087328+0.00039747i,-0.0041816+0.0015974i,0.0049842+0.00084086i,-0.0066588+0.0044638i,-0.042059-0.056194i,-0.038281+0.041784i,-0.051185-0.0088597i,-0.086386-0.0069986i,-0.043322+0.0088887i,-0.050257+0.036828i,-0.045011+0.032984i,-0.049102-0.029237i,-0.025197-0.038443i,-0.038527+0.015268i,-0.0076137+0.0029392i,-0.00089657+0.028925i,0.0091985-0.0033451i,0.002857-0.006869i,-0.020751-0.0022958i,0.0044389-0.00060956i,-0.004009+0.007617i,0.0091905-0.0014647i,0.0084379+0.0048722i,-0.0024962+0.0031664i,0.0033772-0.0027409i,0.005495-0.0062334i,0.0075385+0.0039932i,0.0016725-0.00010557i,-0.0080786+0.0022463i,-0.0018463-0.0034945i,0.0069544+0.0013297i,0.0027449+0.01002i,0.0020048+0.0019921i,-0.0096753-0.021857i,0.011563-0.001058i,0.0035315-0.0012268i,0.00285+0.0014673i,0.00088838-0.00020463i,0.0056988-0.011147i,2.9237e-05+0.0026079i,-0.0067134+0.0027034i,-0.0010273+0.0048209i,0.0046989-0.0023871i,0.0067724-0.0061485i,-0.0021339-0.0051969i,0.0080334-0.0048543i,-0.00094285+0.0053829i,0.0098453-0.0067929i,-0.05399-0.0084226i,-0.022138-0.014371i,-0.0025308-0.0068853i,0.0036728-0.0053791i,-0.015221+0.029583i,-0.0068436+0.004099i,-0.0096952+0.00022317i
-0.00099081+0.012654i,0.0061767+0.043233i,0.017592+0.01433i,0.0092243+0.020825i,0.013063+0.010007i,0.015493+0.012958i,-0.01167+0.029868i,-0.0029232+0.031639i,0.0029379+0.0062603i,0.0002721+0.0022396i,0.0029504+0.0012002i,0.0020766+0.0025109i,0.0039734-0.00038787i,0.00081873+0.004557i,0.0021047+0.0055995i,-0.0038367+0.0072154i,0.0018851+0.01119i,0.00059816+0.0010513i,0.00040206-0.0021351i,-0.00057614-0.0011503i,-0.0025496-0.0018009i,-0.00052413-0.0029344i,-0.00033768-0.0024253i,-0.010673+0.0053042i,-0.00044708-0.00084306i,8.5813e-05+0.00017365i,-0.00077614+0.00038896i,0.00025005+0.00087033i,-0.0012727+0.0007837i,-0.00034743-0.00088162i,0.00047489+0.0015914i,1.9127e-05-0.00097628i,-0.00092529-0.00044095i,0.00034992-0.00011732i,0.0012021+0.0014053i,-0.0032151-0.0088891i,-1.5277e-05+0.0012476i,-0.00045198+0.00019858i,0.00061816-0.0010809i,0.0041891-0.0011682i,-0.0011233-0.0018987i,-0.00069706+0.00040834i,-0.0027682+0.0031498i,0.0036269+0.001116i,-0.0062355+0.0053641i,-0.049066-0.038775i,-0.028203+0.039663i,-0.055396+0.0013451i,-0.087416+0.010078i,-0.038778+0.010082i,-0.039069+0.037925i,-0.035307+0.03252i,-0.050801-0.024375i,-0.027717-0.034882i,-0.031485+0.025379i,-0.0069462+0.0046494i,0.011818+0.024339i,0.0067276-0.005829i,-0.001766-0.0055842i,-0.021166+0.0067584i,0.0032658-0.0002008i,-0.00031734+0.0087549i,0.0042001-0.003643i,0.010124+0.0022995i,-0.0010493+0.005029i,0.0013479-0.0014733i,0.0026786-0.0088776i,0.0039056+0.0025444i,-0.0004721+0.0010283i,-0.0074219+0.0067592i,-0.0029413-0.0012594i,0.0069253-0.0013256i,0.0070897+0.0053089i,0.0026209+0.00086484i,-0.012598-0.019152i,0.0099714-0.0054417i,0.0025521-0.0022819i,0.0050425+0.00039883i,0.0010083-0.00010516i,0.0027021-0.0097439i,0.0022108+0.0016491i,-0.0041694+0.0058844i,0.0021314+0.0044977i,0.0044461-0.0020834i,0.003228-0.010507i,-0.0027889-0.0036019i,0.0038141-0.0080939i,-0.00054663+0.004472i,0.0051352-0.010511i,-0.048148-0.0016106i,-0.032478-0.0063445i,-0.0055497-0.0089875i,0.0012017-0.010588i,-0.008461+0.029208i,-0.010088+0.0068091i,-0.011083+0.0020948i
0.00045073+0.011581i,0.012405+0.040895i,0.016739+0.011391i,0.012542+0.016792i,0.013226+0.0052665i,0.016845+0.0094799i,-0.0052323+0.029645i,0.00027921+0.030137i,0.0038654+0.0044709i,0.00095053+0.0015724i,0.0025941+0.0004758i,0.0031063+0.0025335i,0.0033502-0.0012429i,0.0025925+0.00382i,0.0033181+0.0048205i,-0.00040046+0.0087478i,0.0065587+0.0092905i,0.00099397+0.00078062i,-0.00020474-0.0024211i,-0.0011968-0.0010433i,-0.0027212-0.00062911i,-0.00091674-0.0027126i,-0.0010442-0.0020816i,-0.0084651+0.006485i,-0.00096336-0.0005011i,-0.000258+1.0502e-05i,-0.00085573+0.00046535i,0.00043295+0.00022354i,-0.00056172+0.0011595i,-0.00030729-0.00074183i,0.0010891+0.001357i,-0.00045951-0.0011245i,-0.00091359+9.0265e-05i,4.9758e-05-0.00028502i,0.0013182+0.0013833i,-0.0063785-0.0086212i,0.00019817+0.00088187i,2.7364e-05+0.00038725i,2.1553e-05-0.00099047i,0.0035077-0.0018762i,-0.001426-0.001205i,-0.00061781+0.00044898i,-0.00097891+0.0035111i,0.0038784+0.0018048i,-0.0050252+0.0065208i,-0.047415-0.02649i,-0.021006+0.037683i,-0.055411+0.014628i,-0.081935+0.030229i,-0.039302+0.010841i,-0.030441+0.036512i,-0.027116+0.031267i,-0.051422-0.018401i,-0.031429-0.031891i,-0.022244+0.029959i,-0.0064898+0.0064642i,0.018007+0.010448i,0.0046051-0.0081705i,-0.0047717-0.0020843i,-0.016753+0.015374i,0.0031575-0.00088299i,0.0041034+0.0065141i,0.0013463-0.0013872i,0.011282-0.0019598i,0.00097637+0.0063442i,0.00097892-0.00030116i,-0.003044-0.01051i,0.0023857+0.0045233i,-0.00040764+0.0032169i,-0.0023713+0.011411i,-0.0017545+0.00087379i,0.0057008-0.0030425i,0.0079719+0.0014748i,0.0032101-0.00080834i,-0.018532-0.017598i,0.0062344-0.0077202i,0.00088638-0.0026593i,0.0041933-0.0017147i,0.0011889+0.0006457i,0.0017337-0.0079719i,0.0027561+3.3519e-05i,-0.00060504+0.0068925i,0.0034818+0.0019148i,0.0036502-0.0032303i,-0.0029783-0.010764i,-0.0031849-0.0034197i,-0.00024595-0.0074407i,0.00037656+0.0036294i,-0.0010762-0.010395i,-0.045327+0.0027152i,-0.030025+0.0084511i,-0.008839-0.0092646i,-0.0037373-0.012491i,-0.0035119+0.027787i,-0.0088612+0.012145i,-0.0084789+0.0033172i
0.0018289+0.010536i,0.018476+0.03818i,0.017095+0.0091078i,0.014256+0.012306i,0.011907+0.0019217i,0.017911+0.0059476i,0.00023476+0.028088i,0.0032752+0.029206i,0.0042418+0.0029397i,0.001013+0.0011885i,0.0022723+0.00058502i,0.0046513+0.0022239i,0.00246-0.0017413i,0.0034456+0.0021188i,0.0041441+0.0038955i,0.0029329+0.0085869i,0.0095661+0.0056717i,0.0013417+0.00046965i,-0.00094895-0.0024728i,-0.0016069-0.00044241i,-0.0022138+0.00025612i,-0.0015646-0.0025821i,-0.0014568-0.001565i,-0.007005+0.0084809i,-0.0010078-9.9627e-05i,-0.00056248+0.00029314i,-0.00090024+0.00082174i,-0.00012376-0.00023868i,-0.00013542+0.00087365i,-0.00047129-0.00077612i,0.0015987+0.00080937i,-0.00064263-0.00047179i,-0.00044982+0.00015809i,-0.00011276-0.00014654i,0.0018087+0.00056573i,-0.0094255-0.0072155i,0.00041974+0.00079598i,0.00010819-9.5581e-05i,-0.00054229-0.00070445i,0.0027083-0.0024613i,-0.001348-0.00058173i,-0.00025321+0.00052942i,5.3772e-05+0.002817i,0.0045353+0.0011101i,-0.0030741+0.0068744i,-0.04576-0.021561i,-0.01559+0.036025i,-0.049453+0.026483i,-0.07011+0.046574i,-0.039519+0.016533i,-0.023925+0.035761i,-0.021696+0.028592i,-0.051413-0.013948i,-0.034089-0.026801i,-0.014511+0.03222i,-0.0039001+0.0073423i,0.012592-0.001842i,0.00074829-0.010444i,-0.0049321+0.0010525i,-0.010182+0.018953i,0.0017689-0.0019842i,0.0054122+0.0024078i,0.0019781-9.4242e-05i,0.0094991-0.005507i,0.0048628+0.0061686i,0.0012395+0.0012125i,-0.0081119-0.0049689i,0.0041546+0.0060069i,0.00098795+0.0048124i,0.0034967+0.011105i,-0.00082663+0.0010786i,0.0044023-0.0044081i,0.0080586-0.003844i,0.0013784-0.0020057i,-0.024999-0.011002i,0.0030881-0.0082639i,-0.00037263-0.0016564i,0.0041184-0.0010402i,0.0017169+0.00039479i,0.0022085-0.009117i,0.0021166-0.001375i,0.0021783+0.0052156i,0.0032923+0.00089146i,0.0032161-0.0027292i,-0.0066316-0.0070996i,-0.0049066-0.0025615i,-0.0033643-0.0059182i,0.00058845+0.0024441i,-0.0047056-0.0072869i,-0.041611+0.0080863i,-0.023686+0.010201i,-0.0087285-0.0084964i,-0.007801-0.011691i,0.001658+0.024776i,-0.006332+0.013436i,-0.007973+0.0029104i
0.0029376+0.0093491i,0.024272+0.034638i,0.018036+0.0070319i,0.01461+0.0086581i,0.010101-0.00012077i,0.018217+0.0023918i,0.004873+0.025664i,0.0066833+0.028513i,0.0042954+0.00089597i,0.0011691+0.0010001i,0.0027872+0.00073484i,0.0059963+0.0002918i,0.0016029-0.0017931i,0.0029718+0.0010179i,0.0049015+0.002992i,0.0056949+0.0066168i,0.010591+0.0019908i,0.0017071-0.00021842i,-0.0017362-0.0022482i,-0.0014854+0.00051199i,-0.0015284+0.00081851i,-0.0020903-0.0017849i,-0.0015878-0.0011588i,-0.0034286+0.009882i,-0.00087213+0.00029577i,-0.0003321+0.00071297i,-0.0007639+0.0012901i,-0.00087799-3.5198e-05i,3.1873e-06+0.00072172i,-0.00066005-0.00060454i,0.0016869+9.5071e-05i,-0.00029404-0.00049835i,-0.0005321+0.00010837i,-0.00019367-6.8795e-05i,0.0015274-0.0002627i,-0.012009-0.004036i,0.00044716+0.00064165i,-0.00014947-0.00013376i,-0.00097519-0.00040015i,0.0020518-0.002636i,-0.0010529-0.00031115i,-0.00011531+0.00030876i,0.00032709+0.0022618i,0.0047164+0.0003685i,-0.0014863+0.0059402i,-0.048008-0.0176i,-0.01126+0.034339i,-0.04153+0.035536i,-0.054659+0.056764i,-0.038226+0.022251i,-0.017122+0.034093i,-0.017714+0.027284i,-0.052162-0.0094863i,-0.035244-0.02096i,-0.006287+0.033158i,-0.001934+0.0069138i,0.0051806-0.0039399i,-0.003635-0.010598i,-0.0033512+0.004415i,-0.0036328+0.019138i,-0.00044555-0.0023783i,0.0045605-0.0014821i,0.0014148+9.1502e-05i,0.0066318-0.0086939i,0.0078365+0.0035435i,0.0025003+0.0016899i,-0.0085804-0.00096077i,0.0065258+0.0061504i,0.0033992+0.0056269i,0.008635+0.0084981i,-0.00027319+0.0015375i,0.0035644-0.005399i,0.0049009-0.0078066i,0.00033089-0.00062765i,-0.028584-0.0013464i,0.00087885-0.0081684i,-0.00039433-0.00040644i,0.0048302-0.0011592i,0.0021127+7.743e-05i,0.00081936-0.011617i,0.00057921-0.0016465i,0.0037409+0.0038358i,0.003501-0.00026471i,0.0044122-0.0034254i,-0.0083027-0.0040193i,-0.0064858+0.00011439i,-0.0063337-0.0036347i,0.00049579+0.0013521i,-0.0059867-0.0044369i,-0.037702+0.011524i,-0.021591+0.011213i,-0.0084281-0.010429i,-0.011039-0.009862i,0.0023322+0.022143i,-0.0055459+0.013305i,-0.0069038+0.0030451i
0.0040782+0.0083503i,0.030377+0.02984i,0.019843+0.0043169i,0.014448+0.0057919i,0.0090269-0.0007399i,0.017897-0.00093616i,0.0085869+0.022222i,0.011105+0.027261i,0.0035049-0.00091594i,0.0012817+0.00067527i,0.0032532-0.00012342i,0.0054323-0.0025078i,0.0010136-0.0015967i,0.0028068+0.00053656i,0.0055781+0.0017479i,0.006742+0.0039884i,0.0099126-0.0015821i,0.0011952-0.0010013i,-0.0026197-0.0015982i,-0.00076271+0.0010011i,-0.00059456+0.00084489i,-0.0020711-0.0011991i,-0.0017881-0.0007371i,4.7984e-05+0.0095553i,-0.00059228+0.00051564i,-2.244e-05+0.00068202i,-0.00020652+0.0015934i,-0.00095958+0.00066986i,0.00026098+0.00038582i,-0.00071731-0.00046049i,0.001433-0.00053955i,-0.00066307-0.00053197i,-0.00052608+0.00040005i,-0.00033315+9.5324e-06i,0.0010419-0.00076552i,-0.012604+0.00036252i,0.00041725+0.0005816i,-0.00012054-2.4021e-05i,-0.0012338+0.00012975i,0.0014008-0.0027945i,-0.0010913-0.00016961i,-1.556e-05+0.00011161i,0.00047218+0.0020428i,0.0047416-0.00049356i,-0.00091171+0.0051059i,-0.052464-0.010473i,-0.0071768+0.032576i,-0.030539+0.041078i,-0.039696+0.063014i,-0.035597+0.030154i,-0.010803+0.030723i,-0.011613+0.025525i,-0.052182-0.003427i,-0.034115-0.014988i,0.00072886+0.03282i,-0.0011854+0.0060684i,0.00073165-0.004394i,-0.0082272-0.0094853i,0.00064799+0.0053071i,0.00059821+0.017483i,-0.0031008-0.0013787i,0.0024608-0.0041651i,0.0022571+0.0017992i,0.0020052-0.010481i,0.0088981-0.0010272i,0.0038185+0.0012104i,-0.0083916+0.0035503i,0.010023+0.004985i,0.0071986+0.0041488i,0.012069+0.0032625i,0.00074353+0.0020155i,0.0019192-0.0062209i,-0.00093108-0.0086204i,0.0013029+0.00078903i,-0.02832+0.0094506i,-0.0013957-0.007881i,0.00040077+0.00074544i,0.0052374-0.0046595i,0.002663-0.0002968i,-0.0040734-0.013115i,-0.0004937-0.00092873i,0.0046394+0.0019926i,0.0031923-0.00090464i,0.0038798-0.0049935i,-0.008312+0.00054717i,-0.0058102+0.003538i,-0.0076698-0.0003446i,-0.00073212-7.2509e-05i,-0.0062125-0.0021277i,-0.034528+0.014172i,-0.020116+0.015733i,-0.010811-0.014377i,-0.011202-0.0069367i,0.0043375+0.021772i,-0.0057047+0.015501i,-0.0053524+0.0015267i
0.005206+0.0069099i,0.035197+0.023233i,0.02099-6.915e-05i,0.014115+0.0033186i,0.0087398-0.0012101i,0.017341-0.003916i,0.010868+0.018578i,0.015158+0.024623i,0.0021709-0.0019698i,0.001129+0.00059051i,0.0029349-0.00096815i,0.0033331-0.0039301i,0.00062844-0.0013838i,0.0025128+5.0978e-05i,0.0056999+0.00026209i,0.006316+0.0020755i,0.0081396-0.0041945i,0.00067231-0.0012007i,-0.0027955-0.00065509i,-7.2326e-05+0.00096673i,0.00025704+0.00052141i,-0.0020356-0.00090931i,-0.0017322-0.00032588i,0.0029139+0.0088265i,-0.00036073+0.00057397i,0.00014263+0.0006733i,0.00043951+0.0013203i,-0.00054567+0.0011145i,0.00016799-5.459e-05i,-0.00094824-0.00030345i,0.0010087-0.00094618i,-0.00098649-0.00013571i,-0.00022229+0.00064838i,-0.00035546+0.00024053i,0.00055551-0.0010876i,-0.011484+0.0040485i,0.00050111+0.0003594i,-0.00016375-0.00012843i,-0.0011431+0.00087449i,0.00064833-0.0031096i,-0.0009845+0.00020837i,-8.5248e-05-0.00028191i,0.00072694+0.0020923i,0.0047972-0.0014562i,-0.00025266+0.0047071i,-0.054002+0.00097425i,-0.0046345+0.030994i,-0.020625+0.041987i,-0.023247+0.066782i,-0.028918+0.038858i,-0.0072523+0.025762i,-0.0078024+0.02021i,-0.049334+0.0024115i,-0.031264-0.0093623i,0.0091561+0.030025i,-0.00079962+0.0061176i,-0.0045032-0.0030077i,-0.01182-0.0060285i,0.0032976+0.0031103i,0.0041648+0.016209i,-0.0058276+0.0012582i,-0.00079353-0.006312i,0.0047047+0.00055725i,-0.0029737-0.0093835i,0.0067869-0.0044867i,0.0049973-0.00062944i,-0.0069302+0.0069488i,0.012802+0.00022213i,0.0086732-0.00055816i,0.011677-0.0038735i,0.0022537+0.0017128i,-0.00011953-0.006389i,-0.0044024-0.0051255i,0.0029039-0.00019277i,-0.022986+0.021552i,-0.0034849-0.0062977i,0.0018892+0.00096132i,0.0021279-0.0064172i,0.0028191-0.00073676i,-0.0096671-0.010805i,-0.00010818+0.0006522i,0.0048314+4.6805e-05i,0.0026216-0.001678i,0.0024754-0.0056352i,-0.0063947+0.0039628i,-0.0032996+0.0056765i,-0.0072519+0.0038324i,-0.0029067-5.6162e-06i,-0.0059481-0.0006857i,-0.030504+0.018659i,-0.012187+0.01926i,-0.016983-0.015181i,-0.009971-0.0064659i,0.0057178+0.0208i,-0.0030992+0.018857i,-0.0053702-0.0015254i
