-0.0007752-0.042083i,-6.421e-06-0.046475i,-0.0077429-0.048097i,-0.030944-0.02337i,-0.022968+0.010602i,-0.0368-0.033803i,-0.064309-0.058689i,-0.019226-0.071624i,-0.024319-0.04442i,-0.0010704+0.016756i,-0.010228+0.012727i,-0.014512+0.013399i,0.0035207+0.013732i,-0.0028039-0.0019092i,0.0017753+0.0059796i,0.00016572+0.033956i,0.019847+0.057036i,0.0012983-0.00051091i,-0.0030595-0.0095036i,0.0075492+0.004132i,0.0015362+0.0014712i,-0.00056929+0.0031643i,-6.9756e-05-0.00058928i,-0.038344-0.0098926i,-0.0027104-0.0074312i,-0.00097916+0.0045935i,0.0055577-0.00017934i,0.00010366+0.0003262i,0.00059597-0.00084589i,0.00035603-0.0023161i,-0.0015567-0.0057485i,-0.00333-0.0060994i,-0.00104-0.0070257i,0.0031702-0.00035945i,0.0032417-0.0016582i,-0.0018455+0.038979i,0.0066898-0.004041i,0.0031097-0.00084407i,0.0053928-0.00031112i,-0.012833-0.0061399i,-0.00089556+0.00010028i,0.0097399-0.00056328i,0.0038183+0.0014744i,-0.0043816+0.002342i,-0.00032056+0.0105i,-0.0051537+0.017745i,0.02582-0.082229i,-0.00059642-0.054254i,-0.023447-0.042538i,-0.020025-0.037459i,0.062892-0.016792i,0.03068-0.058718i,0.038772-0.044746i,0.033954-0.052625i,0.019516-0.015418i,0.0076594+0.011848i,0.023679-0.034911i,-0.00818-0.0051712i,0.0028667-0.0014775i,-0.002637-0.0053211i,0.004671-0.031787i,-0.025402+0.030749i,0.0088822-0.010123i,-0.012741-0.0027095i,-0.0044947-0.0018114i,0.00025161-0.014255i,-0.010527+0.0051689i,0.0032106+0.0065579i,-0.0143+0.030306i,0.005801+0.0065448i,-0.0059728-0.0018859i,-0.0012737-0.0026197i,-0.012092-0.0076715i,8.36e-05-0.0033369i,-0.036486+0.006478i,0.0016737-0.012516i,-0.0093838-0.0027089i,-0.0068085-0.0033399i,0.0062725+0.0019307i,-0.0092211+0.002138i,-0.0001517+0.0017999i,0.0058586+0.010269i,0.0047928+0.00056249i,-0.0093947-0.010547i,0.0023193+0.0084289i,-0.020351+0.0052546i,0.0061858+0.0030273i,-0.028037-0.0087961i,-0.036369-0.0019255i,0.026274-0.078537i,0.013767-0.008946i,-0.043554-0.028474i,-0.025029-0.0061359i,0.01747+0.012317i,-0.026942+0.011103i,-0.012152-0.0098412i
-0.042255-0.0067719i,-0.057985+0.003212i,-0.041971+0.048067i,-0.019286+0.0096763i,-0.0051239+0.019232i,-0.0051742+0.038048i,-0.027913+0.017054i,-0.062335+0.024391i,-0.020661+0.017236i,0.0036235-0.010108i,0.0034465-0.0017184i,0.0030165+0.00025421i,0.0023806+0.0085737i,-0.0038753+0.0011323i,-0.00010267+0.0017867i,0.0023535-0.0078446i,-0.012441-0.0087888i,-0.0040901+7.2894e-05i,0.0040313-0.0033258i,0.00094576+0.00029864i,0.0014893-0.0049613i,0.0021057-0.0041525i,0.0016105-0.002759i,-0.011352-0.011581i,-0.0029022-0.0014999i,-0.0039968-0.00028095i,-0.0029746-0.00046975i,-0.0044896-0.0014083i,-0.00087003-0.0025626i,0.0014429-0.0012248i,-0.003996+0.0039485i,0.00168+0.0020306i,0.0020917+0.0017437i,0.00096854+0.00087703i,-0.0023406+0.0026523i,-0.0041248-0.0096763i,-0.0036202+0.001421i,0.00071156+0.00024448i,-0.0011948+0.0038227i,0.010148+0.0086098i,0.001435-0.0015573i,0.0010856-6.5697e-05i,-0.004112-0.0045131i,0.0016385+0.0053295i,-0.0092958-0.017848i,0.01586-0.07784i,-0.087653-0.022619i,-0.024498-0.021102i,-0.050796-0.040156i,-0.043352-0.0078838i,-0.091673+0.017669i,-0.062879-0.003317i,-0.038784-0.026415i,-0.025899-0.056158i,-0.033131-0.025665i,-0.0002497+0.0038432i,-0.026355+0.01073i,0.0063218+0.017332i,0.0042335+0.0082889i,-0.0018979-0.00588i,0.0082649+0.0056163i,-0.011194-0.0050094i,0.0029919+0.011951i,0.00074045+0.0068546i,-0.0013369-0.001644i,0.0065772+0.0020115i,0.0041062-0.001007i,-0.0031512+0.020627i,-0.00077523+0.014662i,0.0020882-0.0044381i,0.011393-0.0086419i,0.0039485+0.0042307i,-0.0080056-0.0079716i,-0.0015786-0.0016071i,0.0258-0.033378i,0.008997+0.0088676i,0.0042456+0.0031689i,-0.0019996+0.0027139i,0.0038521-0.003595i,0.019892+0.0025912i,0.0018186-0.0020331i,-0.0012761-0.0082014i,0.0020487-0.003379i,0.012489+0.0059228i,0.0052443+0.00053613i,0.0034188-0.0067921i,0.0045272+0.008112i,0.0034864+0.0027658i,0.019102+0.0051235i,-0.066877-0.041695i,-0.011199+0.010672i,-0.0071747-0.0031007i,-0.0087468+0.0050832i,-0.03754+0.0080643i,-0.0054273+0.0075185i,-0.016503+0.0042361i
-0.04144-0.00056775i,-0.056312+0.0093685i,-0.029745+0.048854i,-0.017955+0.011747i,-0.0015582+0.016601i,0.0019638+0.037493i,-0.025833+0.021011i,-0.054606+0.032764i,-0.016015+0.015848i,0.0001037-0.0099075i,0.0035283-0.0013899i,0.002861-0.0013269i,0.0044964+0.0062498i,-0.0021287+0.0030862i,-2.2949e-05+0.0023959i,-0.0025995-0.0058776i,-0.017188-0.0012913i,-0.0033958+0.001588i,0.0040551-0.0036529i,0.0015687-0.00029049i,1.8691e-05-0.0045973i,0.0015253-0.0034579i,0.0012415-0.002683i,-0.012944-0.0070904i,-0.0029217-0.00072492i,-0.0042644+0.0011909i,-0.0024334+0.00060745i,-0.0040842+0.00023869i,-0.0016353-0.0023987i,0.0013162-0.0014816i,-0.0022968+0.0054714i,0.0017596+0.0016792i,0.002383+0.00062696i,0.00018686+0.00080179i,-0.0027584+0.0023714i,-0.0040585-0.0082857i,-0.0029744+0.0019269i,-0.00014678-0.00036996i,-0.00074174+0.0049034i,0.011037+0.0023431i,0.00096037-0.0018761i,0.00066019-0.00067144i,-0.0055743-0.00329i,0.0028674+0.0049066i,-0.010897-0.021206i,-0.0068917-0.087783i,-0.083461-0.0052003i,-0.030888-0.023303i,-0.061107-0.030984i,-0.041035+0.0010924i,-0.078498+0.037294i,-0.060505+0.011036i,-0.029233-0.025779i,-0.032447-0.052527i,-0.039813-0.011861i,0.00021343+0.0014731i,-0.020715+0.022287i,0.010526+0.011309i,0.0068711+0.0043833i,-0.0073052-0.0098321i,0.0047115+0.003796i,-0.011316+0.0022332i,0.0078015+0.0091148i,0.0018055+0.0083131i,-0.0017343-0.00098127i,0.0069506+0.002438i,0.0042623-0.0017007i,0.0064896+0.016574i,0.0062199+0.010231i,-0.0034257-0.0055625i,0.0029341-0.0094573i,0.0049137+0.0040328i,-0.011204-0.00024992i,-0.002348+0.00090644i,0.010279-0.03597i,0.011715+0.006092i,0.007452+0.0014827i,0.001021+0.0020319i,0.00053807-0.0016369i,0.018635-0.0067104i,0.00019678-0.0024366i,-0.004682-0.0061069i,-0.0018464-0.0030213i,0.011433+0.00061181i,0.0053738+0.00055499i,0.0011119-0.0042896i,0.0071666+0.0067491i,0.0035397+0.0025583i,0.018212-0.0018744i,-0.072427-0.032135i,-0.0026299-0.00068144i,-0.0062386-0.0017074i,-0.0068753+0.0052608i,-0.031883+0.020298i,-0.0035512+0.0087846i,-0.014997+0.0067207i
-0.038856+0.0044425i,-0.055488+0.015726i,-0.021821+0.047396i,-0.016948+0.013738i,0.0029332+0.015301i,0.0090375+0.035186i,-0.022322+0.024649i,-0.046586+0.038373i,-0.015563+0.014316i,-0.0028477-0.0085264i,0.0041652-0.0019279i,-0.00063368-0.0019924i,0.0057676+0.0042146i,-0.0017179+0.0033878i,0.00067216+0.0030763i,-0.0058365-0.0014852i,-0.016584+0.0079104i,-0.0011613+0.0029136i,0.0038078-0.0057958i,0.0022166-0.0016806i,-0.0011146-0.0040935i,0.0016397-0.003978i,0.0010059-0.0030061i,-0.01418-0.003296i,-0.0033637+0.00046937i,-0.0033441+0.0032023i,-0.0017763+0.00075231i,-0.002839+0.0016543i,-0.002413-0.0021781i,0.00052279-0.0026563i,4.9501e-05+0.0058544i,0.0018758+0.0012254i,0.0021701-9.2346e-05i,0.00050762+0.00065648i,-0.0019754+0.0040886i,-0.0040026-0.0082454i,-0.0028899+0.0022174i,-0.00088203-0.0001686i,0.0035052+0.0036887i,0.0089182-0.0015283i,0.00040284-0.0019472i,0.00099427-9.6258e-05i,-0.0071203-0.0017337i,0.0039905+0.0029033i,-0.015255-0.023037i,-0.033511-0.086499i,-0.073435+0.0064735i,-0.038781-0.020622i,-0.066239-0.019803i,-0.034879+0.00745i,-0.058479+0.049841i,-0.046304+0.024188i,-0.030148-0.030329i,-0.038329-0.049866i,-0.038661+0.0024185i,-4.2294e-05+2.3098e-05i,-0.0091167+0.027425i,0.011581+0.0056047i,0.0043935-0.0011981i,-0.017813-0.0086361i,0.0043639+0.0026725i,-0.0074704+0.0068495i,0.0098206+0.0041163i,0.0045961+0.0085601i,-0.0040286+0.00077611i,0.0076463-0.0012427i,0.0038704-0.0035038i,0.0098881+0.0086461i,0.0072537+0.0045568i,-0.0078253-0.0011873i,-2.0198e-05-0.0067673i,0.0071652+0.0029466i,-0.0079327+0.0092551i,-0.00029184+0.0027013i,-0.0021198-0.033034i,0.014282+0.00061315i,0.0069912-0.0017994i,0.0011289+0.0007616i,0.0011074-3.9607e-05i,0.011914-0.011947i,-0.0027131+0.00053779i,-0.0071501-0.0029356i,-0.0037881+0.0011753i,0.008341-0.0030065i,0.0084932-0.001661i,0.0019481-0.0040695i,0.010338+0.0031984i,0.0058829+0.0013807i,0.015126-0.007654i,-0.075965-0.01901i,-0.0076441-0.011448i,-0.003741-0.0029358i,-0.0048004+0.0047242i,-0.022593+0.025576i,-0.0022267+0.0037431i,-0.011504+0.0039875i
-0.035892+0.0076741i,-0.053646+0.023961i,-0.015679+0.046083i,-0.013888+0.01726i,0.0073934+0.010554i,0.015084+0.031129i,-0.017651+0.027782i,-0.039134+0.041433i,-0.015757+0.015932i,-0.0048634-0.0067668i,0.0038281-0.0038728i,-0.0022526+0.0011891i,0.005531+0.0019552i,-0.0014891+0.0051624i,0.0012544+0.0030887i,-0.0055722+0.0036489i,-0.010316+0.015121i,0.00057564+0.0019635i,0.0012063-0.0067077i,0.0010645-0.003568i,-0.001901-0.0034873i,0.0011201-0.0044939i,0.00039368-0.0038527i,-0.014412+0.0013028i,-0.0026381+0.0011407i,-0.0008463+0.0033108i,-0.0013786+0.00077814i,-0.0011175+0.0015555i,-0.0032207-0.0010277i,-0.0011372-0.0024803i,0.002022+0.0051838i,0.0017197+0.00061306i,0.0014643-0.0007149i,0.00059691+0.00037047i,0.00042972+0.0044841i,-0.0056395-0.0095183i,-0.0017797+0.0034847i,-0.0012299+0.00038931i,0.0033045-0.00018074i,0.0068722-0.0032871i,0.00024509-0.0019936i,0.001562-0.00071259i,-0.0077465+0.00087085i,0.0024275-0.00049753i,-0.020842-0.022832i,-0.055693-0.072695i,-0.063957+0.011108i,-0.045076-0.014497i,-0.07041-0.0074714i,-0.027849+0.0093389i,-0.039688+0.052206i,-0.030592+0.024093i,-0.033155-0.028675i,-0.044923-0.044323i,-0.033308+0.011841i,-0.00152-0.00086152i,0.0015094+0.025882i,0.010993+0.00084877i,-0.00075689-0.0021938i,-0.025136+0.001622i,0.0013363+0.0027026i,-0.0031348+0.0072453i,0.0080062-0.0011928i,0.00809+0.0074576i,-0.0034516+0.0042785i,0.0040347-0.0029684i,0.002693-0.0058157i,0.0078134+0.0014451i,0.0044892+0.0013557i,-0.0072291+0.0030928i,-0.0020423-0.0050801i,0.0078353+0.00043609i,0.0021049+0.012011i,0.001619+0.0017654i,-0.0097272-0.026643i,0.012645-0.0043833i,0.0059992-0.0039917i,0.0018039+0.0018982i,0.0015047-0.00061599i,0.006052-0.012143i,-0.00012422+0.0033718i,-0.0079542+0.0012085i,-0.0011755+0.0040958i,0.0057526-0.003289i,0.0075769-0.0066889i,0.00014864-0.0042524i,0.0095593-0.0032163i,0.0053676-0.0017026i,0.011096-0.012267i,-0.073312-0.0054609i,-0.017398-0.014266i,-0.0046208-0.0075469i,-0.0036934+0.0025165i,-0.01502+0.026442i,-0.0064251+0.0027813i,-0.013921+0.0040739i
-0.033776+0.010237i,-0.050312+0.031348i,-0.011218+0.045288i,-0.0091121+0.018786i,0.0090259+0.0045497i,0.019264+0.026693i,-0.012278+0.029419i,-0.032708+0.044003i,-0.013508+0.018992i,-0.0058352-0.0046872i,0.001643-0.0049604i,-0.0008684+0.0037728i,0.0047302+0.00067889i,0.0011061+0.0066278i,0.0022814+0.0032122i,-0.0028284+0.007081i,-0.0021036+0.018205i,0.00086311+0.00090817i,-0.00028023-0.0060757i,-0.0010489-0.0039891i,-0.00298-0.0030249i,7.2544e-05-0.0046405i,-0.001161-0.0041163i,-0.011616+0.00531i,-0.0028732+0.00097305i,-0.00024115+0.0017985i,-0.0012443+0.00084219i,-0.00037672+0.00087596i,-0.0033399+0.00040391i,-0.0016579-0.0012554i,0.0032772+0.0039989i,0.0016023-0.00010633i,0.00079565-0.00070887i,0.00040837+0.00020274i,0.0015971+0.0038846i,-0.0090719-0.0093799i,-0.00058261+0.0038749i,-0.0010593+0.0012619i,0.0011338-0.0011524i,0.0048023-0.0035291i,-2.2241e-07-0.0022625i,0.001591-0.001496i,-0.0068033+0.0033249i,-0.00077805+0.00060555i,-0.026038-0.019726i,-0.064931-0.052562i,-0.058785+0.012246i,-0.050022-0.0062072i,-0.071574+0.0076462i,-0.023568+0.0070184i,-0.024179+0.049988i,-0.021096+0.02028i,-0.034805-0.027286i,-0.049152-0.038725i,-0.027305+0.018972i,-0.0025983-0.00069716i,0.011502+0.02082i,0.0094033-0.0018893i,-0.0044488+0.00018156i,-0.024915+0.012179i,0.00075235+0.0045849i,0.00050304+0.0079001i,0.0029754-0.0022877i,0.011201+0.0046073i,-0.0011881+0.0064096i,0.0013906-0.001672i,0.00062294-0.0069901i,0.0024035+0.00078572i,0.0018708+0.002171i,-0.0060857+0.0065634i,-0.0033364-0.0020807i,0.0075054-0.0022782i,0.0078253+0.0074596i,0.0022904+0.00042368i,-0.013867-0.023884i,0.0094604-0.0081947i,0.0041906-0.005936i,0.0045249+0.0019897i,0.0009714-0.00049677i,0.0026109-0.010849i,0.0024072+0.0027369i,-0.0052298+0.0060827i,0.0020789+0.0044555i,0.0053472-0.0034514i,0.0033836-0.010921i,-6.727e-05-0.0034729i,0.0051275-0.0066147i,0.0032034-0.0034215i,0.0045493-0.016006i,-0.06775+0.0028094i,-0.028571-0.0087051i,-0.008314-0.0095527i,-0.0040511-0.00028605i,-0.0097039+0.026239i,-0.0097502+0.0054823i,-0.013933+0.0075247i
-0.032343+0.013003i,-0.046023+0.038699i,-0.0072298+0.046618i,-0.0044731+0.017949i,0.0071797-0.0014203i,0.023175+0.02266i,-0.0067404+0.029172i,-0.026546+0.046295i,-0.0097818+0.019679i,-0.0064181-0.0033852i,-0.0014159-0.0044329i,0.0013415+0.0046716i,0.0040314+0.0001494i,0.0038923+0.0055375i,0.0031247+0.0025667i,0.00063347+0.008504i,0.0063919+0.017164i,0.00089333+0.00052066i,-0.0020489-0.0059333i,-0.0029681-0.0032255i,-0.0034249-0.0016359i,-0.00062882-0.0048509i,-0.0022794-0.0033503i,-0.0093007+0.0063279i,-0.0032247+0.0022779i,-0.00070122+0.0015381i,-0.0013155+0.00096516i,-0.00013735-8.9543e-05i,-0.0025819+0.0015274i,-0.001617-0.00054717i,0.0044349+0.0028098i,0.0014554-0.00067628i,0.0005027-0.00075826i,0.00025391+8.5552e-05i,0.002409+0.0034006i,-0.012357-0.0072584i,0.00046865+0.0035439i,-0.00018656+0.0016896i,-1.1341e-05-0.00093475i,0.0035654-0.0033847i,-0.00051286-0.0021283i,0.00098815-0.002204i,-0.0049717+0.0049725i,-0.0012817+0.0031979i,-0.030056-0.01427i,-0.064016-0.037989i,-0.056632+0.01449i,-0.051489+0.0055513i,-0.066435+0.024689i,-0.025638+0.0054954i,-0.013246+0.044635i,-0.014441+0.015853i,-0.037096-0.023932i,-0.054191-0.032706i,-0.020235+0.02282i,-0.0042131+0.00035961i,0.015821+0.0086475i,0.0085295-0.0052313i,-0.0060433+0.0042069i,-0.018744+0.022219i,0.0020901+0.0046636i,0.0051478+0.0056092i,0.00096732+0.00030161i,0.013354-0.00088167i,0.0014459+0.0073387i,0.00078757-8.684e-05i,-0.0042729-0.0083129i,0.00036749+0.0042666i,0.0019962+0.0041652i,-0.0017204+0.01031i,-0.0017305+0.00055224i,0.0058805-0.0039047i,0.0098221+0.0025377i,0.0027007-0.0012925i,-0.021904-0.022002i,0.0049582-0.010037i,0.0010057-0.0069562i,0.0046171-0.0006328i,0.00087728+0.00032918i,0.001409-0.0089295i,0.0035295+0.00092918i,-0.00069157+0.0072743i,0.0040069+0.0020315i,0.0039352-0.0043259i,-0.0033503-0.010362i,-0.00065505-0.0041239i,0.001299-0.0063063i,0.0022965-0.0045492i,-0.0032936-0.015562i,-0.064739+0.010074i,-0.028954+0.0064891i,-0.012312-0.0095774i,-0.0064332-0.00095515i,-0.0055319+0.026362i,-0.0088465+0.010458i,-0.0091812+0.0097339i
-0.030609+0.016466i,-0.04002+0.046245i,-0.0010608+0.048574i,-0.0018147+0.015532i,0.0026865-0.0044371i,0.026849+0.017743i,-0.0017008+0.027981i,-0.020558+0.048574i,-0.0070342+0.02012i,-0.0073157-0.0015171i,-0.0029748-0.0017507i,0.0039986+0.0046206i,0.0035461-2.4848e-05i,0.0051728+0.0032244i,0.0034059+0.0017788i,0.0039759+0.00821i,0.012838+0.012276i,0.00091752+0.00026061i,-0.0032006-0.0049725i,-0.0041199-0.0013577i,-0.0030058-0.00056985i,-0.0020456-0.0049968i,-0.002874-0.0024084i,-0.0081343+0.008461i,-0.002592+0.0034136i,-0.0007096+0.0022134i,-0.0012213+0.001579i,-0.0012475-0.00089842i,-0.0019849+0.0018194i,-0.0016296-0.00027668i,0.0051336+0.0011059i,0.0014044-0.00081252i,0.00067512-0.00088922i,0.00025886+3.8637e-05i,0.0036552+0.0015741i,-0.015226-0.0037493i,0.0015377+0.0033169i,0.00054208+0.0013511i,-0.00074624-0.00070737i,0.0025171-0.003379i,-0.00095949-0.0017509i,0.00022641-0.0023595i,-0.003441+0.0052335i,-7.5185e-05+0.0041407i,-0.031719-0.0095199i,-0.064069-0.031964i,-0.055085+0.019433i,-0.047192+0.016181i,-0.055814+0.038506i,-0.026799+0.0090028i,-0.0051971+0.040071i,-0.011561+0.010707i,-0.038978-0.020644i,-0.057937-0.024035i,-0.014301+0.024719i,-0.0037827+0.0010985i,0.0096636-0.0016936i,0.0051605-0.0093095i,-0.0046488+0.0076273i,-0.0093675+0.025821i,0.0022007+0.0035525i,0.0068238+0.00078155i,0.002434+0.0012834i,0.011549-0.005351i,0.0059622+0.0067735i,0.0010867+0.0021079i,-0.0086031-0.0024826i,0.00223+0.007003i,0.0034533+0.0054228i,0.0038295+0.010078i,-0.00068494+0.00062565i,0.0044941-0.0050211i,0.010048-0.0039896i,0.00042763-0.0020413i,-0.030056-0.013648i,0.0013403-0.0097629i,-0.0016947-0.0052207i,0.0052422-2.7791e-05i,0.0013917-7.5991e-05i,0.0013384-0.0098049i,0.0031896-0.00099405i,0.0022375+0.0053391i,0.0039487+0.00093213i,0.0033946-0.0036609i,-0.0069073-0.0061774i,-0.0029189-0.0044074i,-0.0019899-0.0056153i,-0.00018233-0.0056613i,-0.0083003-0.010918i,-0.060031+0.017336i,-0.022967+0.0087864i,-0.012913-0.0078502i,-0.008162-0.00015751i,-0.00028027+0.024286i,-0.0073+0.011939i,-0.0068756+0.0087094i
-0.028052+0.019646i,-0.032035+0.052725i,0.0067706+0.049543i,-0.00041066+0.014436i,-0.002189-0.0042663i,0.029341+0.012253i,0.0027642+0.026076i,-0.013834+0.05092i,-0.0041306+0.020398i,-0.0075417+0.00069518i,-0.001987+0.00054805i,0.0065542+0.0024003i,0.0033845-0.00010649i,0.0049873+0.0016333i,0.0038523+0.0013741i,0.0066415+0.0062452i,0.015681+0.0064021i,0.0010505-0.00055505i,-0.0041851-0.0042172i,-0.003979+0.00086214i,-0.0025163+9.7348e-05i,-0.0033565-0.0038331i,-0.0031458-0.0016006i,-0.0047341+0.01004i,-0.0016595+0.0045808i,0.00049174+0.0027368i,-0.0007637+0.002218i,-0.0026583-0.00018845i,-0.0014145+0.0022979i,-0.001588+0.00024172i,0.0048347-0.00086572i,0.0014572-0.0018058i,0.00022579-0.0012959i,0.0002535+0.00010432i,0.0033333-0.00034707i,-0.016316+0.0017242i,0.00237+0.0027899i,0.00086601+0.00097698i,-0.0017585-0.00031616i,0.002318-0.0032711i,-0.001001-0.0014583i,-0.0003262-0.0024319i,-0.0026824+0.0053299i,0.0010131+0.0046662i,-0.033034-0.005392i,-0.069212-0.02627i,-0.053073+0.024986i,-0.042108+0.024117i,-0.041656+0.046405i,-0.027319+0.01277i,0.0025149+0.034431i,-0.010602+0.0082531i,-0.041088-0.01661i,-0.059544-0.014018i,-0.0084672+0.025431i,-0.0036014+0.0017936i,0.0030438-0.0018021i,-8.2763e-05-0.011144i,-0.0012785+0.011029i,-0.00064359+0.024424i,0.0013683+0.0025901i,0.0054909-0.0040206i,0.0023512+0.00084347i,0.008206-0.0095812i,0.0094241+0.0035811i,0.0030183+0.002962i,-0.0075944+0.0016621i,0.0055471+0.0082884i,0.0061353+0.0059201i,0.008781+0.0069741i,-3.093e-05+0.0011251i,0.0038306-0.0058365i,0.0066501-0.0087232i,-0.00013864+2.0966e-05i,-0.034458-0.0018059i,-0.0010668-0.0089827i,-0.0027785-0.003067i,0.0061737-0.0010957i,0.0012767-0.00039001i,-0.00043213-0.011889i,0.0019486-0.0018973i,0.0044602+0.0044158i,0.0045502-0.00035802i,0.0044261-0.004205i,-0.0085542-0.0031099i,-0.0052347-0.0018461i,-0.004769-0.0037109i,-0.0022934-0.0060999i,-0.01042-0.0064261i,-0.055213+0.023024i,-0.021564+0.0097616i,-0.013054-0.0079558i,-0.0089432+0.0014651i,0.001174+0.022607i,-0.0068193+0.012415i,-0.0049186+0.008101i
-0.024971+0.022814i,-0.021896+0.05723i,0.015748+0.048525i,0.0010681+0.013515i,-0.0048219-0.0011032i,0.031045+0.0066693i,0.0064017+0.02292i,-0.0057427+0.052512i,-0.0011161+0.020151i,-0.007172+0.0030112i,-0.00074453+0.00094269i,0.0066967-0.0012001i,0.0036729-0.00040374i,0.0050384+0.00025159i,0.004377+0.00057543i,0.0076033+0.0036192i,0.015713+0.0008027i,-0.00023347-0.0012844i,-0.0057618-0.0027352i,-0.0026161+0.0022399i,-0.0018187+0.00024448i,-0.0037933-0.0028643i,-0.0033382-0.00068529i,-0.00080919+0.010078i,0.00020959+0.0050509i,0.0015278+0.0020867i,7.0504e-05+0.0024218i,-0.0029406+0.0012431i,-0.00048234+0.0022752i,-0.0011897+0.00072821i,0.0038965-0.0024191i,0.00044806-0.0023561i,-0.0003891-0.0012588i,0.00019261+7.5011e-05i,0.002373-0.0015027i,-0.014833+0.0069894i,0.0027894+0.0018657i,0.0011489+0.00047553i,-0.0021446+0.00082785i,0.001939-0.0035805i,-0.001382-0.0013188i,-0.00092539-0.0025006i,-0.0019595+0.0056917i,0.0022788+0.004819i,-0.034644+9.2395e-06i,-0.076927-0.014563i,-0.048742+0.030356i,-0.033992+0.030649i,-0.028146+0.050247i,-0.025997+0.019774i,0.0088348+0.026765i,-0.0064371+0.0058754i,-0.042196-0.010323i,-0.058415-0.0033684i,-0.0037933+0.02557i,-0.0037277+0.0020514i,-4.4647e-05-0.00093636i,-0.006052-0.010563i,0.0048115+0.010929i,0.0044627+0.021341i,-0.00064873+0.0022081i,0.003151-0.0073924i,0.0034795+0.0025607i,0.0024018-0.011062i,0.010603-0.0020514i,0.005018+0.0023811i,-0.0065973+0.00521i,0.010571+0.0075956i,0.010191+0.0037504i,0.010812+0.0016123i,0.0011872+0.0015009i,0.0023635-0.0070748i,-0.00020563-0.010471i,0.001224+0.0013902i,-0.034016+0.011446i,-0.0030756-0.0083032i,-0.0024505-0.00075662i,0.0066451-0.0052475i,0.0016496+0.00023022i,-0.0053759-0.012631i,0.00084031-0.0016701i,0.006086+0.0017203i,0.004078-0.0015003i,0.0034724-0.0059838i,-0.0083526+0.0019156i,-0.0051854+0.001602i,-0.0060727-0.00071927i,-0.0049023-0.0061685i,-0.010674-0.002594i,-0.050958+0.028577i,-0.021848+0.014831i,-0.014664-0.01012i,-0.0065667+0.0035033i,0.0038273+0.022718i,-0.006834+0.01519i,-0.0024167+0.0056658i
-0.02121+0.025303i,-0.011496+0.0588i,0.024671+0.044726i,0.0023572+0.012928i,-0.004601+0.0025268i,0.032203+0.00080128i,0.0087331+0.019496i,0.0028028+0.051993i,0.001826+0.019719i,-0.0063013+0.0053251i,-0.0003831+0.00098067i,0.0047964-0.0034886i,0.0036364-0.0014507i,0.0042322-0.00087602i,0.004297-0.00051255i,0.0071009+0.0015393i,0.013985-0.0036014i,-0.00090535-0.00080952i,-0.0059089-0.00056504i,-0.0011098+0.0026i,-0.0011864+0.00010556i,-0.0040613-0.0022563i,-0.0029793+0.00017972i,0.002155+0.0092565i,0.0022548+0.0044663i,0.0018518+0.0014969i,0.00093791+0.0021327i,-0.0022406+0.0025841i,0.00022138+0.001786i,-0.00099998+0.00093663i,0.0024892-0.0032718i,-0.00062949-0.0021712i,-0.00080868-0.00095094i,0.00014183+2.5354e-05i,0.0011353-0.0022813i,-0.011632+0.011066i,0.0029281+0.00070607i,0.0010961-5.6113e-05i,-0.0014912+0.002096i,0.0010937-0.004097i,-0.0016896-0.00081198i,-0.0016482-0.0026948i,-0.00090125+0.0063601i,0.003781+0.0043413i,-0.034037+0.00592i,-0.078642+0.0021433i,-0.04585+0.03391i,-0.026062+0.033323i,-0.014658+0.05127i,-0.020108+0.027151i,0.011234+0.017854i,-0.0044447-0.00088503i,-0.039216-0.0045107i,-0.053477+0.0076763i,0.0026109+0.025136i,-0.0042186+0.0031814i,-0.0027266+0.00072602i,-0.010406-0.0070809i,0.0086339+0.0069326i,0.0085693+0.01887i,-0.003404+0.0037974i,-0.00064731-0.010532i,0.0065026+0.00059237i,-0.002912-0.009348i,0.0077388-0.0061822i,0.0065728+0.00011034i,-0.0046991+0.0072251i,0.014572+0.0018536i,0.011598-0.0020882i,0.009899-0.0037267i,0.0030002+0.00067064i,-0.00032485-0.0076687i,-0.0046733-0.0064875i,0.0029849+0.00043152i,-0.027161+0.026013i,-0.0050486-0.0068785i,-0.0010401+0.00078465i,0.0028696-0.0076762i,0.0026998+4.8229e-05i,-0.010599-0.0098279i,0.00072301-0.00082614i,0.0059535-0.0015839i,0.0031118-0.0026508i,0.0015302-0.00629i,-0.0055311+0.0055964i,-0.0031526+0.0038806i,-0.0054363+0.0030499i,-0.0084283-0.0048857i,-0.0099399+0.00020663i,-0.044733+0.035648i,-0.014029+0.021128i,-0.019883-0.010044i,-0.0033406+0.0026638i,0.0064335+0.021648i,-0.0041415+0.018912i,-0.0022904+0.0017229i
