-0.0011354-0.041796i,-0.00094535-0.046748i,-0.0081938-0.047711i,-0.030372-0.023906i,-0.022755+0.010824i,-0.036692-0.033413i,-0.064049-0.058181i,-0.019069-0.070902i,-0.026817-0.04781i,-0.00023271+0.015974i,-0.011085+0.012367i,-0.014471+0.013325i,0.0047754+0.014637i,-0.002649-0.0019321i,0.0018324+0.0059775i,-0.00011583+0.033795i,0.01701+0.057644i,0.0011702-0.00075662i,-0.003829-0.0095756i,0.0076004+0.0050229i,0.0016316+0.0011504i,-0.0010115+0.0031775i,-6.0683e-05-0.00062497i,-0.036948-0.01086i,-0.0033407-0.0075384i,-0.001464+0.0043441i,0.0027292-0.00017942i,-0.00015275+0.00054735i,0.00082049-0.00076099i,3.9971e-05-0.0021847i,-0.0016248-0.0055597i,-0.0030225-0.0064848i,-0.0010308-0.0073159i,0.0033171-0.00010076i,0.0030116-0.0016308i,-0.0038331+0.040189i,0.0065494-0.0042423i,0.0033058-0.00081207i,0.0047131-0.00035536i,-0.011311-0.0029542i,-0.0010998-5.0919e-05i,0.0098109+0.0027168i,0.003488+0.0013476i,-0.0042601+0.0017233i,-0.0004999+0.0089667i,-0.0052169+0.017869i,0.026422-0.082385i,-0.0010063-0.052611i,-0.022939-0.04159i,-0.019597-0.037625i,0.062801-0.016905i,0.030737-0.058263i,0.038917-0.044239i,0.0338-0.052483i,0.018974-0.01613i,0.0074541+0.011833i,0.024325-0.033169i,-0.0081384-0.0052803i,0.0031357-0.0013088i,-0.0026734-0.0052908i,0.0047956-0.03228i,-0.025361+0.029929i,0.0083675-0.010242i,-0.012242-0.0025421i,-0.0045308-0.0017837i,0.00024543-0.014301i,-0.010576+0.0052714i,0.0031692+0.0067842i,-0.013744+0.030383i,0.005596+0.0064348i,-0.005666-0.0021456i,-0.0014781-0.0025774i,-0.011499-0.0075202i,2.0971e-05-0.0035181i,-0.03086+0.0023755i,0.0016515-0.012762i,-0.00943-0.0026682i,-0.0068171-0.00318i,0.0060637+0.0019705i,-0.0088936+0.0020543i,-7.1534e-07+0.002033i,0.0058503+0.010182i,0.0050941+0.0006321i,-0.0090586-0.0092684i,0.0017349+0.0085832i,-0.019289+0.0050214i,0.0062154+0.0036696i,-0.028317-0.008705i,-0.036271-0.0018326i,0.026097-0.078212i,0.014321-0.0092904i,-0.042779-0.027947i,-0.024718-0.006584i,0.017531+0.012015i,-0.027332+0.010502i,-0.012118-0.0098106i
-0.041976-0.0059669i,-0.058021+0.003847i,-0.042584+0.047874i,-0.018802+0.010212i,-0.0052206+0.018981i,-0.0048858+0.037569i,-0.027492+0.017043i,-0.061606+0.023642i,-0.021381+0.016636i,0.0030662-0.010176i,0.0037396-0.0012031i,0.003052+7.7005e-05i,0.0028241+0.0079454i,-0.0037749+0.0011348i,-0.00011172+0.0018172i,0.0021338-0.0078378i,-0.012921-0.0096901i,-0.0038266+0.0006052i,0.004561-0.0024082i,0.00091983+0.00013259i,0.0013135-0.0047782i,0.0021946-0.0039815i,0.0014983-0.0028541i,-0.010653-0.012215i,-0.0028807-0.0016567i,-0.0040434+7.446e-06i,-0.0031091-0.00056812i,-0.0043343-0.0011905i,-0.00089833-0.0022506i,0.0015753-0.0013402i,-0.0039974+0.0035798i,0.0018949+0.001985i,0.0022982+0.0019122i,0.00098427+0.00093225i,-0.0023127+0.0026868i,-0.0037338-0.0099444i,-0.0034793+0.00070628i,0.00080418+0.00020697i,-0.00063367+0.0038338i,0.012049+0.0085785i,0.0010224-0.0014832i,0.0013055+8.7894e-05i,-0.0036184-0.0041069i,0.0013276+0.005471i,-0.0094231-0.017474i,0.016382-0.078541i,-0.087032-0.022883i,-0.02352-0.021104i,-0.049312-0.039519i,-0.043376-0.0079812i,-0.091213+0.017288i,-0.062048-0.0029898i,-0.037933-0.026422i,-0.025795-0.055883i,-0.031568-0.023978i,-0.00059804+0.0038138i,-0.02677+0.010369i,0.0059248+0.016915i,0.003937+0.0081515i,-0.0020458-0.0061721i,0.0083801+0.0055637i,-0.011505-0.0053488i,0.0028539+0.011754i,0.00079491+0.0069132i,-0.0011963-0.0015449i,0.0066484+0.0022673i,0.0041553-0.00099746i,-0.0031121+0.020673i,-0.00085282+0.014591i,0.0020889-0.0050116i,0.011267-0.0082884i,0.0039616+0.0041916i,-0.007792-0.0077442i,-0.0016229-0.0015772i,0.026847-0.033085i,0.0086385+0.0085219i,0.0040079+0.0031552i,-0.0020221+0.0027522i,0.003745-0.0035162i,0.020317+0.0024711i,0.0016466-0.0022146i,-0.00098488-0.0082223i,0.0019371-0.0032501i,0.011167+0.0056102i,0.0053296+0.00066475i,0.0036607-0.0066713i,0.004625+0.0080964i,0.0032947+0.0029224i,0.019526+0.0047354i,-0.066638-0.04089i,-0.011536+0.010331i,-0.0076022-0.0035176i,-0.0085668+0.0049693i,-0.038024+0.0097855i,-0.005578+0.0072395i,-0.016277+0.0043716i
-0.040975-4.7454e-05i,-0.05607+0.010357i,-0.029956+0.049064i,-0.017356+0.011672i,-0.0016616+0.01659i,0.0021347+0.036983i,-0.025463+0.020801i,-0.05429+0.031955i,-0.01666+0.015964i,-0.00043762-0.0094666i,0.0037183-0.0010846i,0.0028911-0.0012968i,0.0048415+0.0056111i,-0.0021887+0.0028511i,-3.6667e-05+0.0024288i,-0.0027246-0.0059919i,-0.018241-0.0015465i,-0.0028879+0.0018732i,0.0040968-0.0030234i,0.0014818-0.00048194i,0.00014007-0.0044097i,0.0015081-0.0033791i,0.0012279-0.0027049i,-0.012639-0.0076498i,-0.0031051-0.00083868i,-0.0041255+0.001452i,-0.0025698+0.00049923i,-0.0039713+0.00020183i,-0.0016427-0.0021465i,0.0014528-0.0014874i,-0.0025832+0.0050578i,0.001917+0.0015756i,0.0026606+0.00029972i,0.00022459+0.00077275i,-0.0027493+0.0024604i,-0.0034096-0.0084938i,-0.00208+0.0025158i,-7.0503e-05-0.00044536i,3.1301e-05+0.0047291i,0.012366+0.0015466i,0.00069671-0.0020513i,0.00076575-0.00064531i,-0.0047101-0.0030689i,0.0027655+0.0052615i,-0.01076-0.020769i,-0.0069146-0.088214i,-0.0827-0.005744i,-0.030055-0.023506i,-0.059416-0.030579i,-0.04083+0.0010288i,-0.078257+0.036777i,-0.059645+0.011114i,-0.02855-0.02586i,-0.03236-0.052403i,-0.035618-0.013226i,-3.2348e-06+0.0016192i,-0.021149+0.021933i,0.010358+0.011386i,0.0068902+0.004512i,-0.0073804-0.010381i,0.0047073+0.0037424i,-0.011417+0.0018696i,0.0075987+0.0087015i,0.0018297+0.0079118i,-0.0017129-0.0010351i,0.0067591+0.0022271i,0.0040938-0.0017352i,0.0065997+0.016425i,0.0059704+0.0103i,-0.0040149-0.0060574i,0.003307-0.0090726i,0.0050262+0.0039566i,-0.011168-8.151e-05i,-0.0022262+0.0007498i,0.011811-0.035938i,0.01141+0.0062827i,0.0068793+0.0011112i,0.0010457+0.0022013i,0.0005264-0.0016796i,0.019122-0.007095i,0.00011477-0.0026322i,-0.0047058-0.0064204i,-0.0018901-0.0027161i,0.010706+0.00046723i,0.0052577+0.00056611i,0.0012771-0.0042979i,0.007235+0.0065785i,0.0035346+0.0027694i,0.018439-0.0024322i,-0.072338-0.031739i,-0.002857-0.00071072i,-0.0067445-0.0021761i,-0.0067557+0.0050933i,-0.032065+0.022135i,-0.0036993+0.0086923i,-0.015114+0.005236i
-0.038281+0.0049962i,-0.055058+0.016757i,-0.021764+0.047693i,-0.016437+0.013354i,0.0030876+0.01526i,0.0092029+0.034794i,-0.022036+0.024377i,-0.046677+0.037379i,-0.015862+0.014819i,-0.0029574-0.0081222i,0.0039419-0.0016184i,-0.00050256-0.0020198i,0.0056092+0.0036236i,-0.0018005+0.0033623i,0.00064854+0.0030723i,-0.0058852-0.0016735i,-0.017489+0.0083795i,-0.00072767+0.0028216i,0.0039848-0.0051679i,0.0020106-0.0017889i,-0.00088385-0.0040759i,0.0015296-0.0039146i,0.00098657-0.0030591i,-0.013973-0.0037434i,-0.0035405+0.00045634i,-0.0030551+0.0035558i,-0.0018162+0.00071089i,-0.0027385+0.0016309i,-0.0024107-0.0018277i,0.00067536-0.0026901i,-0.00029137+0.0053729i,0.0019892+0.0011921i,0.0023101-9.3343e-05i,0.00047785+0.00061934i,-0.0018366+0.0041509i,-0.0033068-0.0085354i,-0.002471+0.0026478i,-0.00080741-0.00026013i,0.0038358+0.0033568i,0.0091634-0.0024693i,0.00018751-0.0015184i,0.0011506-4.7232e-05i,-0.0060263-0.0017026i,0.004295+0.003185i,-0.014681-0.022618i,-0.033458-0.086421i,-0.073064+0.0059475i,-0.037859-0.020792i,-0.064254-0.019987i,-0.034732+0.0071958i,-0.058343+0.049419i,-0.045721+0.023866i,-0.029614-0.030322i,-0.038337-0.049468i,-0.041645-0.0017435i,-0.00030576+0.00011434i,-0.0099316+0.027241i,0.011379+0.0055374i,0.0045652-0.001168i,-0.018171-0.0088033i,0.0043072+0.0028196i,-0.0076405+0.0066134i,0.0096716+0.0039958i,0.0044845+0.0083581i,-0.0039562+0.000884i,0.0074461-0.0012258i,0.0037961-0.003463i,0.0099683+0.0085304i,0.0071734+0.0046521i,-0.008613-0.0014423i,0.00019641-0.0065323i,0.0072147+0.0028581i,-0.0082339+0.0093708i,-0.00025757+0.002588i,-0.0017594-0.03109i,0.014271+0.001262i,0.0059238-0.0018393i,0.0013696+0.0010026i,0.00096979-1.5724e-05i,0.012153-0.012669i,-0.0029076+0.00050985i,-0.0072005-0.0032343i,-0.0035467+0.0013868i,0.0077018-0.0029753i,0.008704-0.0014669i,0.0018437-0.004013i,0.010451+0.0027989i,0.0057412+0.0015017i,0.015159-0.0081062i,-0.076354-0.018694i,-0.0076857-0.011971i,-0.004155-0.0033355i,-0.004847+0.0045082i,-0.021553+0.02639i,-0.0023649+0.0038825i,-0.011716+0.0041996i
-0.035071+0.0082108i,-0.05289+0.024746i,-0.015232+0.046142i,-0.013577+0.016547i,0.0076034+0.010273i,0.015313+0.030756i,-0.017363+0.027466i,-0.039508+0.040961i,-0.015721+0.016188i,-0.0048204-0.0062959i,0.0036886-0.0040057i,-0.0022254+0.0011109i,0.0053324+0.0017888i,-0.001527+0.0052495i,0.0012016+0.0030802i,-0.0057045+0.0035328i,-0.010758+0.015375i,0.00085527+0.0018508i,0.0015131-0.0063227i,0.0009464-0.003544i,-0.0018283-0.0036061i,0.001153-0.0043814i,0.00027249-0.0039215i,-0.014049+0.00072511i,-0.0027246+0.0011206i,-0.00024214+0.0032363i,-0.0014546+0.00072946i,-0.0012269+0.0014355i,-0.0032846-0.00070827i,-0.00097388-0.0025088i,0.0013868+0.0048068i,0.0018531+0.00057903i,0.0016093-0.00054669i,0.00057209+0.000381i,0.00048336+0.0043277i,-0.0051134-0.009676i,-0.0014832+0.0035714i,-0.001065+0.00030733i,0.003708-0.0003749i,0.0065762-0.0041538i,0.00025973-0.0018288i,0.0016977-0.00051686i,-0.0066627+0.0014397i,0.0026456-0.00035486i,-0.020181-0.022934i,-0.05557-0.072723i,-0.063559+0.010741i,-0.044356-0.014781i,-0.068423-0.0083686i,-0.027667+0.0091606i,-0.039638+0.051621i,-0.030342+0.023539i,-0.032404-0.028854i,-0.045026-0.043597i,-0.034838+0.010573i,-0.0016379-0.00048929i,0.0008603+0.026003i,0.01076+0.00051728i,-0.00064121-0.0022586i,-0.026143+0.00067752i,0.0014331+0.0027377i,-0.0031546+0.0071533i,0.0079927-0.0011081i,0.0078714+0.0071874i,-0.0035517+0.0043319i,0.0038192-0.002798i,0.0027635-0.0058675i,0.0077363+0.00099297i,0.0044543+0.0015855i,-0.0078791+0.003449i,-0.0017429-0.0049268i,0.0078856+0.00035745i,0.0015756+0.012317i,0.0015869+0.0016575i,-0.010769-0.025141i,0.012849-0.0040306i,0.0056381-0.0036817i,0.0021403+0.0021055i,0.0013145-0.00067271i,0.0059061-0.012676i,-0.00031529+0.0033669i,-0.0080084+0.00092559i,-0.0010468+0.0043842i,0.0052754-0.0031199i,0.007777-0.0067963i,0.00013799-0.0041488i,0.0094845-0.0036473i,0.0054316-0.001378i,0.011003-0.012704i,-0.073362-0.0052564i,-0.01793-0.014244i,-0.004928-0.0080057i,-0.0037131+0.0023393i,-0.01483+0.026234i,-0.0065612+0.0030928i,-0.014175+0.0038204i
-0.032828+0.0105i,-0.049485+0.031995i,-0.010892+0.045218i,-0.0090068+0.018084i,0.0091034+0.0042247i,0.019396+0.02628i,-0.011999+0.029066i,-0.033007+0.043745i,-0.013526+0.019143i,-0.0056855-0.0043078i,0.0015128-0.0049439i,-0.00089366+0.0037327i,0.0045863+0.00061298i,0.0010629+0.0067162i,0.0022476+0.0031362i,-0.0030203+0.0071109i,-0.0022369+0.018224i,0.0010687+0.00069561i,3.9683e-05-0.0058328i,-0.0010909-0.0040126i,-0.0029218-0.0029823i,0.00014981-0.0046156i,-0.0013009-0.0041289i,-0.011278+0.0044717i,-0.0031571+0.00087508i,0.0001135+0.0015141i,-0.001317+0.00081984i,-0.00051241+0.00081789i,-0.0032613+0.00077615i,-0.0015505-0.0013799i,0.0027945+0.0037616i,0.0017572-0.00018164i,0.00086474-0.00065014i,0.00046237+0.00030606i,0.0015879+0.0037368i,-0.0082944-0.0098791i,-0.00038184+0.0038603i,-0.00076441+0.0010199i,0.001338-0.0013438i,0.0043167-0.0039385i,1.7932e-05-0.0020856i,0.0017944-0.0010384i,-0.0072127+0.00081323i,-0.00047462+0.00073004i,-0.025579-0.020054i,-0.064817-0.05263i,-0.058318+0.011778i,-0.049209-0.0062974i,-0.070275+0.006021i,-0.023474+0.0068422i,-0.024255+0.04954i,-0.021152+0.01985i,-0.034144-0.027423i,-0.048797-0.037946i,-0.02824+0.020241i,-0.0023444-0.00043744i,0.011445+0.020965i,0.0093043-0.0021132i,-0.0045031+0.00013365i,-0.026269+0.012825i,0.00087002+0.0046595i,0.00058402+0.007416i,0.0029998-0.0021038i,0.010858+0.0044872i,-0.0012485+0.0067382i,0.0012365-0.001522i,0.00043743-0.0072462i,0.0021057+0.00070457i,0.0019091+0.0024365i,-0.006502+0.0071685i,-0.0030325-0.0021082i,0.0073849-0.0024412i,0.0073481+0.0083497i,0.0021967+0.00028481i,-0.01488-0.023858i,0.0095503-0.0079205i,0.0038157-0.0057558i,0.0055827+0.0019974i,0.0007887-0.00050492i,0.0025263-0.011197i,0.0022049+0.0026946i,-0.0053682+0.0056194i,0.0024615+0.0044052i,0.0050933-0.003192i,0.0033633-0.011009i,-0.00014258-0.0035446i,0.0048764-0.0068602i,0.0034827-0.0033574i,0.0041502-0.016399i,-0.067652+0.0028477i,-0.028217-0.0081064i,-0.0083257-0.0098452i,-0.0042213-0.00038813i,-0.0098788+0.026389i,-0.0095337+0.0057737i,-0.014125+0.0075122i
-0.031431+0.013055i,-0.045031+0.039315i,-0.0070691+0.046346i,-0.0042553+0.017338i,0.0071636-0.0016909i,0.023157+0.022236i,-0.0064988+0.028828i,-0.026725+0.045952i,-0.0098239+0.019908i,-0.0064778-0.0031181i,-0.0014517-0.004186i,0.0013231+0.0047226i,0.0038475+0.00024346i,0.0040265+0.0056833i,0.0030339+0.0024771i,0.00037262+0.0085973i,0.0062047+0.017313i,0.00092568+0.00018167i,-0.0016709-0.0057438i,-0.0030166-0.0032378i,-0.0033364-0.0017065i,-0.00057822-0.0048345i,-0.0024217-0.0033244i,-0.009102+0.0053481i,-0.0035265+0.0026176i,-0.00044374+0.0013197i,-0.00082867+0.00046657i,-0.00035577-7.9188e-05i,-0.0023596+0.0018158i,-0.0015488-0.00080632i,0.0038855+0.0026062i,0.0014701-0.00077451i,0.00055389-0.0005353i,0.00033777+8.454e-05i,0.0023134+0.0032712i,-0.011695-0.0082302i,0.00067735+0.003477i,8.3107e-05+0.0011614i,0.00015775-0.0011833i,0.0032564-0.0036208i,-0.00048464-0.0019703i,0.0017929-0.0018931i,-0.00507+0.0041038i,-0.00087519+0.0032312i,-0.029682-0.014638i,-0.064334-0.038168i,-0.056219+0.013868i,-0.05059+0.0054117i,-0.065852+0.023499i,-0.025591+0.0051096i,-0.013394+0.044109i,-0.014456+0.015482i,-0.036649-0.024288i,-0.053594-0.032231i,-0.019843+0.024457i,-0.0039577+0.000294i,0.015914+0.00874i,0.0083935-0.0052819i,-0.0060299+0.0042436i,-0.019289+0.023438i,0.0021138+0.0047636i,0.0049496+0.0052016i,0.0010637+0.00034778i,0.012983-0.00073201i,0.0024394+0.0071797i,0.00067282-5.7516e-05i,-0.0042139-0.0082835i,0.00042237+0.0043559i,0.0020185+0.0043146i,-0.0021409+0.011583i,-0.0015731+0.00037714i,0.0056046-0.003976i,0.009658+0.0033875i,0.0025328-0.0014152i,-0.022828-0.022275i,0.0051748-0.010006i,0.0009827-0.0066052i,0.0043425-0.0016091i,0.00074599+0.00042521i,0.0014037-0.0090762i,0.0033389+0.00087134i,-0.0010304+0.0069338i,0.0042454+0.0017037i,0.0037736-0.0039925i,-0.0037847-0.010626i,-0.00087868-0.0041407i,0.0011796-0.0062117i,0.002468-0.0047688i,-0.0038007-0.015613i,-0.064631+0.0097289i,-0.028361+0.0065531i,-0.012552-0.0099538i,-0.0067099-0.0010016i,-0.0061033+0.027023i,-0.0083695+0.010275i,-0.0089971+0.0097392i
-0.029793+0.016419i,-0.03884+0.046521i,-0.00074832+0.048338i,-0.0016143+0.015232i,0.0026312-0.004691i,0.026769+0.017282i,-0.0014817+0.027629i,-0.020718+0.048298i,-0.0070912+0.020378i,-0.0075212-0.00092907i,-0.0028245-0.0017053i,0.0041072+0.0045777i,0.0034302+8.329e-05i,0.0054521+0.0031906i,0.0032588+0.001739i,0.0037158+0.00856i,0.012612+0.012475i,0.00087495+8.0984e-05i,-0.0028359-0.0049781i,-0.0040103-0.0014352i,-0.0030241-0.00064785i,-0.0019211-0.0049328i,-0.003015-0.0023556i,-0.0080955+0.0074161i,-0.0026927+0.003537i,-0.00047141+0.0020482i,-0.0012475+0.0012209i,-0.0013714-0.00080524i,-0.0017575+0.0019756i,-0.0017402-0.00050543i,0.0047281+0.001279i,0.0013534-0.00093742i,0.0011054-0.00049452i,0.00026842+3.5548e-05i,0.0035622+0.0014939i,-0.01471-0.0050446i,0.0018074+0.0031497i,0.00062561+0.00082934i,-0.00059798-0.0010283i,0.0020231-0.003852i,-0.00091137-0.0017012i,0.001014-0.0025092i,-0.0037097+0.0048423i,0.00028479+0.0039569i,-0.031462-0.0099456i,-0.064509-0.031608i,-0.054987+0.018733i,-0.046152+0.016016i,-0.054886+0.037295i,-0.026862+0.0085754i,-0.0055381+0.039658i,-0.011574+0.010294i,-0.03855-0.021005i,-0.057042-0.023723i,-0.013484+0.025263i,-0.0036609+0.0010275i,0.0098266-0.0016491i,0.0049555-0.0092521i,-0.0046802+0.0075519i,-0.0088695+0.027831i,0.0022699+0.0036616i,0.0065903+0.00065717i,0.0025695+0.0013132i,0.011384-0.005024i,0.005737+0.0065578i,0.0010512+0.0021275i,-0.0084363-0.002601i,0.0025552+0.0068134i,0.0033392+0.0054962i,0.0030377+0.011523i,-0.00069517+0.0005625i,0.0042936-0.0049572i,0.010095-0.0026385i,0.0002573-0.0020133i,-0.03016-0.013597i,0.0016418-0.0099049i,-0.0015621-0.0051466i,0.0051608-0.00029258i,0.0013159+0.0001238i,0.0012606-0.0099749i,0.003082-0.00093636i,0.0018002+0.0053388i,0.004038+0.00048864i,0.003149-0.0033942i,-0.0073305-0.0060681i,-0.0030919-0.0042303i,-0.0019526-0.0058723i,-0.000205-0.0057959i,-0.0087053-0.010956i,-0.060207+0.016837i,-0.022581+0.0086148i,-0.013123-0.0078495i,-0.0086191-3.7174e-05i,-0.00078844+0.024801i,-0.0068456+0.01152i,-0.0065554+0.0086762i
-0.02724+0.019464i,-0.03079+0.052528i,0.0073828+0.04915i,-0.00046819+0.014475i,-0.0022811-0.0044838i,0.029085+0.011807i,0.0029301+0.025761i,-0.014026+0.050829i,-0.004116+0.020489i,-0.0084639+0.0018113i,-0.0018158+0.00052943i,0.0066608+0.0021138i,0.0032713+2.1278e-07i,0.0051606+0.0015198i,0.0037569+0.0013528i,0.0065175+0.0067438i,0.015439+0.0064131i,0.00094571-0.00071662i,-0.0037934-0.0044005i,-0.0038466+0.00059589i,-0.0025918+7.7178e-05i,-0.0031994-0.0038821i,-0.0032521-0.0014499i,-0.0054021+0.0092017i,-0.0018491+0.0046335i,0.00067927+0.0024453i,-0.00080992+0.0019052i,-0.0026767-0.00012995i,-0.0012175+0.0022247i,-0.0017613+0.00010955i,0.004799-0.00067727i,0.0012549-0.001805i,0.00067337-0.0017262i,0.00021739+0.0001151i,0.0031082-0.00046714i,-0.016246+0.00040406i,0.002677+0.0026326i,0.00093221+0.00063348i,-0.0015878-0.00069942i,0.0016203-0.0035825i,-0.0010055-0.0014303i,0.00016403-0.0023893i,-0.0027982+0.0051952i,0.0011876+0.0044127i,-0.033258-0.0058982i,-0.069497-0.025646i,-0.053165+0.024406i,-0.041085+0.023563i,-0.040927+0.044944i,-0.027444+0.012387i,0.0020496+0.033974i,-0.010598+0.0079968i,-0.040511-0.016994i,-0.058473-0.014015i,-0.008101+0.025886i,-0.0035748+0.0017717i,0.0032576-0.0018304i,-0.00011075-0.010968i,-0.0013285+0.01101i,0.00085077+0.026055i,0.0014419+0.0026051i,0.0053356-0.003816i,0.0024282+0.00081998i,0.0081665-0.0092703i,0.0092579+0.0036416i,0.0029809+0.0029224i,-0.0075574+0.0014329i,0.0056465+0.0079689i,0.0059202+0.0060687i,0.0083874+0.0076576i,-3.7244e-05+0.0011633i,0.0036478-0.0058955i,0.0021459-0.001517i,-0.00022134+0.00011366i,-0.033378-0.0011149i,-0.00099198-0.009398i,-0.0027037-0.00315i,0.0062847-0.0012901i,0.0012631-0.00029185i,-0.00081533-0.011849i,0.0019583-0.0018571i,0.0043274+0.0045785i,0.0043644-0.00057485i,0.0041053-0.0039184i,-0.0089012-0.0026717i,-0.0052973-0.0018144i,-0.0051789-0.0036325i,-0.0023011-0.0060845i,-0.010734-0.0064482i,-0.05548+0.022706i,-0.021443+0.0093371i,-0.013127-0.0079958i,-0.0091852+0.0019318i,0.00066877+0.02316i,-0.0065523+0.011997i,-0.0045706+0.0080133i
-0.024119+0.022522i,-0.020775+0.056667i,0.015806+0.047576i,0.00067825+0.013981i,-0.0049398-0.001156i,0.030655+0.0062985i,0.0065473+0.022633i,-0.0057776+0.052281i,-0.001048+0.020296i,-0.00844+0.0053317i,-0.0006336+0.0008814i,0.0065049-0.0015883i,0.0035591-0.00027436i,0.0051761+0.00015021i,0.0043099+0.00058973i,0.0076756+0.0040637i,0.015231+0.00091571i,-0.00044449-0.0014203i,-0.0054646-0.0029354i,-0.0028045+0.001859i,-0.0018555+0.00034763i,-0.0037832-0.0028639i,-0.0033289-0.00051883i,-0.0018577+0.0097527i,6.238e-05+0.0053972i,0.0015016+0.0017383i,-4.257e-05+0.0022127i,-0.0029357+0.0012984i,-0.00027928+0.0021212i,-0.0013684+0.00056886i,0.0039424-0.0024452i,0.00038428-0.0022365i,-0.00080371-0.0014447i,0.00018824+8.317e-05i,0.0020886-0.0014922i,-0.015161+0.0052875i,0.0030314+0.0016002i,0.0011724+0.00024563i,-0.0020201+0.00037496i,0.0013334-0.0036527i,-0.0013763-0.0012659i,-0.00046362-0.0021989i,-0.0019984+0.0056081i,0.0023655+0.0045282i,-0.035273-0.00030305i,-0.076785-0.013748i,-0.048684+0.029813i,-0.033297+0.029894i,-0.027835+0.048916i,-0.026142+0.019262i,0.008481+0.026609i,-0.0064787+0.0056946i,-0.041644-0.01068i,-0.057256-0.0038671i,-0.0030002+0.025965i,-0.0043283+0.0020832i,6.3898e-05-0.00096513i,-0.0059606-0.010313i,0.0048318+0.010943i,0.0067444+0.019886i,-0.00072065+0.0023015i,0.0031846-0.0071867i,0.0035677+0.0025095i,0.0024376-0.010775i,0.010563-0.0020461i,0.0048839+0.002387i,-0.0067919+0.0050979i,0.010751+0.0074735i,0.010037+0.003903i,0.010836+0.0015276i,0.0011754+0.0014906i,0.0022172-0.0070934i,-0.00044583-0.0099519i,0.0012692+0.0013817i,-0.032546+0.012058i,-0.0032341-0.0089012i,-0.0023331-0.00078135i,0.0068127-0.0060344i,0.0016317+0.0003148i,-0.0055193-0.012187i,0.00072212-0.001626i,0.0061066+0.0017744i,0.0039447-0.0016885i,0.0031854-0.0055756i,-0.0085837+0.0022346i,-0.0052485+0.0017308i,-0.0060934-0.00033161i,-0.0049557-0.0062252i,-0.010792-0.0024569i,-0.05127+0.028586i,-0.022254+0.014533i,-0.014593-0.010301i,-0.0064719+0.0036881i,0.0037308+0.023001i,-0.0068977+0.014739i,-0.0021748+0.0058123i
-0.020451+0.024716i,-0.010409+0.058011i,0.023957+0.04389i,0.0019283+0.013583i,-0.0046466+0.0024613i,0.031719+0.00054331i,0.0088923+0.019227i,0.002695+0.051825i,0.0020869+0.019851i,-0.0061969+0.0079796i,-0.00034119+0.0008956i,0.0045212-0.0036391i,0.003549-0.0012906i,0.0043281-0.00096947i,0.0042357-0.00043722i,0.0072803+0.0018719i,0.013358-0.0031067i,-0.0011547-0.00081854i,-0.0056438-0.00078839i,-0.0016115+0.002513i,-0.0011625+0.00019054i,-0.0040674-0.0020549i,-0.0029424+0.0003175i,0.0011168+0.0095375i,0.0025291+0.0048145i,0.0016788+0.0012891i,0.0008918+0.0020195i,-0.0020957+0.0025865i,0.00032701+0.0015835i,-0.0011927+0.0008472i,0.002517-0.0032234i,-0.00073529-0.0020659i,-0.00081897-0.0017577i,7.0145e-05-2.3597e-05i,0.00094522-0.0022542i,-0.012508+0.0095388i,0.0030993+0.00038996i,0.0010694-0.0001687i,-0.0015924+0.0016534i,0.00073413-0.0040648i,-0.0016477-0.0007782i,-0.0010151-0.0024398i,-0.00097077+0.0063529i,0.0037236+0.0040059i,-0.034816+0.0059211i,-0.07808+0.0026749i,-0.045981+0.033308i,-0.025607+0.032524i,-0.014449+0.050087i,-0.020277+0.026534i,0.010807+0.01848i,-0.004427-0.00092967i,-0.038659-0.0048324i,-0.05264+0.0068734i,0.0034104+0.025208i,-0.0044945+0.0028855i,-0.0026332+0.00084173i,-0.010268-0.0069645i,0.0088061+0.0069572i,0.0083804+0.018392i,-0.0033856+0.003862i,-0.00038379-0.010306i,0.0066246+0.00052088i,-0.0029167-0.0091066i,0.0076069-0.0062613i,0.0064198+0.00024241i,-0.0048295+0.0073853i,0.014669+0.0017365i,0.011447-0.0018881i,0.010478-0.0040047i,0.0028952+0.00070182i,-0.00030248-0.0077275i,-0.0045161-0.0061933i,0.0029513+0.00038756i,-0.023236+0.024627i,-0.0047092-0.0089312i,-0.00087741+0.00069553i,0.0023311-0.0081219i,0.002597+0.00017135i,-0.01056-0.009287i,0.0007093-0.0006735i,0.0060745-0.0013733i,0.0028628-0.002733i,0.0012669-0.005868i,-0.0056289+0.005801i,-0.0031978+0.0040612i,-0.0052402+0.0032238i,-0.0085236-0.0049008i,-0.010023+0.00026779i,-0.044944+0.03582i,-0.014895+0.021199i,-0.020247-0.010563i,-0.0034212+0.002928i,0.0066236+0.021548i,-0.004721+0.018615i,-0.0021007+0.0017564i
