-0.0010981-0.041644i,-2.375e-05-0.046605i,-0.0075363-0.046861i,-0.030944-0.022436i,-0.023019+0.01066i,-0.036962-0.032944i,-0.063051-0.057315i,-0.019786-0.070262i,-0.026274-0.048558i,-0.00024464+0.015985i,-0.010716+0.012288i,-0.014857+0.012509i,0.0038718+0.014077i,-0.0027271-0.0018891i,0.0019999+0.0064698i,-0.0011453+0.033643i,0.023318+0.053387i,0.0012365-0.00070432i,-0.0031613-0.0097503i,0.0073688+0.0048484i,0.0018031+0.0011197i,-0.00019646+0.0040012i,-0.00020471-0.00048508i,-0.035888-0.010708i,-0.0029647-0.0069406i,-0.0012028+0.0048699i,0.0032994+0.00057788i,-0.00035524+0.00046695i,0.00075046-0.0006619i,9.4524e-05-0.0024157i,-0.0016538-0.005799i,-0.0030993-0.0061339i,-0.0017905-0.0065664i,0.0033046-0.00030688i,0.0031161-0.0018135i,-0.0052997+0.038373i,0.0066174-0.0044788i,0.0035443-0.00054307i,0.004662-0.00016755i,-0.015733-0.0034968i,-0.00086891-1.2417e-05i,0.010614+0.0012557i,0.0034993+0.0014025i,-0.0045277+0.0013745i,-0.0003116+0.0096795i,-0.0057532+0.017748i,0.025316-0.081037i,-0.00019393-0.054736i,-0.022639-0.042478i,-0.01859-0.037931i,0.063485-0.015449i,0.029988-0.056882i,0.03871-0.044543i,0.032772-0.052401i,0.019171-0.015918i,0.00744+0.011998i,0.025945-0.033716i,-0.006944-0.0052804i,0.0031266-0.0010817i,-0.0028114-0.0053797i,0.0056472-0.032458i,-0.025358+0.031267i,0.0091862-0.010515i,-0.011965-0.0022602i,-0.0046738-0.0014348i,-0.00048885-0.014937i,-0.0093699+0.0046689i,0.0034123+0.0066848i,-0.013194+0.029545i,0.0055631+0.0067428i,-0.0064513-0.0035069i,-0.0012105-0.0020748i,-0.01149-0.0064451i,0.00031827-0.0038533i,-0.035769+0.0030426i,0.0013514-0.012584i,-0.009455-0.0029165i,-0.0071092-0.0032666i,0.0068152+0.0021028i,-0.0092611+0.0021369i,0.00020517+0.0016913i,0.0059805+0.009896i,0.004798+0.00086273i,-0.0086176-0.010946i,0.0016031+0.008434i,-0.019461+0.0033993i,0.0071165+0.0031025i,-0.028088-0.0082582i,-0.037719-0.001374i,0.025145-0.078773i,0.013934-0.009262i,-0.042389-0.030965i,-0.024056-0.0066056i,0.017598+0.0122i,-0.02727+0.011001i,-0.01241-0.010556i
-0.041408-0.0070129i,-0.05725+0.0038907i,-0.042302+0.049122i,-0.019225+0.0086131i,-0.0051071+0.018598i,-0.0047822+0.0383i,-0.027029+0.016989i,-0.060126+0.024994i,-0.02182+0.016342i,0.0037065-0.009667i,0.0034187-0.002308i,0.0030653+0.00028948i,0.0027516+0.0079739i,-0.0034794+0.0015372i,-0.00017336+0.0017996i,0.0018506-0.0070411i,-0.012201-0.010072i,-0.003798+0.00042513i,0.0044994-0.0025213i,0.00092653+0.00023864i,0.0014417-0.0046782i,0.0023477-0.0040411i,0.0015396-0.0026895i,-0.011814-0.012249i,-0.0028062-0.0016227i,-0.0037874-0.00013223i,-0.0031381-0.00040974i,-0.0046962-0.0011578i,-0.00081135-0.0024657i,0.0016568-0.0014289i,-0.0039806+0.0037021i,0.0021506+0.0015984i,0.0018991+0.0015713i,0.0012107+0.0011765i,-0.0019514+0.0028561i,-0.0050723-0.0097258i,-0.0036303+0.00038359i,0.00063277+0.00022133i,-0.00065997+0.0041521i,0.010932+0.0073695i,0.00088324-0.0019939i,0.0014115-0.00018614i,-0.0044127-0.004713i,0.0010406+0.0059066i,-0.0092615-0.017717i,0.016906-0.077459i,-0.086243-0.024751i,-0.024403-0.022024i,-0.050327-0.041423i,-0.043157-0.0082116i,-0.091819+0.017188i,-0.062581-0.0028127i,-0.039539-0.026726i,-0.025267-0.056452i,-0.031415-0.026479i,-0.00075031+0.0038228i,-0.027345+0.010316i,0.0071163+0.018677i,0.0051869+0.0071612i,-0.0020339-0.0053592i,0.0078315+0.0058275i,-0.010401-0.0057767i,0.0019886+0.013612i,8.4381e-05+0.0067978i,-0.0014576-0.0018864i,0.0072271+0.0028304i,0.003996-0.0011085i,-0.004035+0.020267i,-0.0017147+0.014726i,0.0015564-0.0046099i,0.011497-0.0090504i,0.0036845+0.0040324i,-0.007922-0.0077593i,-0.001582-0.0016427i,0.023787-0.036948i,0.0095608+0.0082937i,0.0035882+0.003373i,-0.0020338+0.0025798i,0.0041931-0.0039006i,0.018954+0.0030471i,0.0017884-0.0019335i,-0.00098766-0.0079895i,0.0023637-0.0034436i,0.013377+0.006701i,0.0056585+0.0011116i,0.0033731-0.0069533i,0.0047249+0.0071907i,0.0035335+0.0029928i,0.019335+0.0048159i,-0.067307-0.040915i,-0.011318+0.0098618i,-0.0079734-0.0046864i,-0.0089351+0.0048201i,-0.038654+0.0091678i,-0.0051661+0.0078125i,-0.015891+0.004584i
-0.040638-0.0010634i,-0.055348+0.010064i,-0.029308+0.049466i,-0.018213+0.010375i,-0.0015458+0.016045i,0.0026316+0.037523i,-0.024902+0.02066i,-0.051738+0.031902i,-0.017547+0.015467i,0.000687-0.0095789i,0.0032295-0.0018463i,0.0030674-0.0013951i,0.004376+0.0057104i,-0.0019396+0.0031989i,3.5865e-05+0.0022743i,-0.0023316-0.0050627i,-0.017235-0.0022294i,-0.0031309+0.0017425i,0.0042555-0.003286i,0.001505-0.00036763i,7.6545e-05-0.0043812i,0.0016823-0.0033745i,0.0012154-0.0027549i,-0.013193-0.0072235i,-0.0028742-0.00076509i,-0.003973+0.0012853i,-0.0025108+0.00052421i,-0.0040594+0.00040346i,-0.0013719-0.0022924i,0.0014805-0.0017522i,-0.0023909+0.0052197i,0.00197+0.0012686i,0.0024159+0.00081927i,0.00044924+0.00081618i,-0.0022581+0.0024832i,-0.0042149-0.0078584i,-0.0011392+0.001547i,-0.00021033-0.00033158i,0.00033204+0.0049766i,0.011075+0.0011872i,0.00010605-0.0023859i,0.00082355-0.00069411i,-0.006025-0.0031564i,0.0025334+0.0054763i,-0.011182-0.021835i,-0.0053207-0.087614i,-0.083312-0.007321i,-0.030834-0.024211i,-0.06049-0.031937i,-0.040698+0.0008311i,-0.078488+0.03703i,-0.060233+0.012075i,-0.030547-0.024674i,-0.031808-0.053191i,-0.041406-0.015898i,-0.00010062+0.0015923i,-0.021459+0.022034i,0.011397+0.011736i,0.0068231+0.0034353i,-0.0065766-0.010602i,0.0042373+0.0044514i,-0.011838+0.001724i,0.0082715+0.010509i,0.001265+0.0085631i,-0.0019129-0.00091217i,0.0075257+0.0027056i,0.0041204-0.0015834i,0.0052647+0.016814i,0.0061689+0.010485i,-0.0038171-0.0058285i,0.0032457-0.0098814i,0.0047477+0.0035622i,-0.011583-0.00061563i,-0.0023486+0.00077509i,0.0073812-0.037936i,0.011556+0.0055003i,0.0063688+0.0021447i,0.00077934+0.0023463i,0.00052119-0.0021051i,0.018695-0.006301i,0.00021396-0.0025451i,-0.0045523-0.0061431i,-0.001619-0.0033345i,0.012441+0.00077399i,0.0053648+0.0011619i,0.00092616-0.0046896i,0.0071581+0.0057122i,0.0031634+0.0024945i,0.018382-0.001969i,-0.072794-0.031492i,-0.0033336-0.00078355i,-0.0074144-0.0026957i,-0.0073478+0.0054613i,-0.031876+0.021072i,-0.003265+0.0089565i,-0.0153+0.0032821i
-0.038305+0.0038788i,-0.054515+0.016277i,-0.021463+0.047558i,-0.017296+0.012726i,0.0028922+0.014612i,0.0099612+0.034781i,-0.021487+0.024173i,-0.045122+0.036203i,-0.01727+0.014652i,-0.0026795-0.009088i,0.0040096-0.0019188i,-0.0005411-0.0020391i,0.0052523+0.0039383i,-0.0015816+0.0035305i,0.00084803+0.0027046i,-0.0052222-0.0012691i,-0.017004+0.0076669i,-0.0011761+0.0030191i,0.0037747-0.00559i,0.0021503-0.0017219i,-0.00098158-0.0040583i,0.0017204-0.0039622i,0.00094763-0.0031043i,-0.01414-0.0031033i,-0.0032546+0.00045404i,-0.0030246+0.0032427i,-0.0016711+0.00067751i,-0.0028874+0.0017088i,-0.0022242-0.002123i,0.00056425-0.0027247i,-0.00030592+0.0056441i,0.0018871+0.0008873i,0.0027146+1.7852e-05i,0.00052773+0.00051105i,-0.0016544+0.0039559i,-0.0034933-0.00767i,-0.0017259+0.0024425i,-0.0006874-0.00018817i,0.0042266+0.0030757i,0.0086863-0.0025022i,-0.00027384-0.0012801i,0.0010793-1.1412e-05i,-0.007618-0.0016676i,0.0039713+0.0031444i,-0.015927-0.023682i,-0.031688-0.086711i,-0.073642+0.0049726i,-0.03895-0.021597i,-0.06529-0.021689i,-0.034625+0.0072466i,-0.058317+0.049753i,-0.044849+0.024926i,-0.029902-0.028824i,-0.037858-0.050752i,-0.045382+0.010549i,-0.00031377+0.00015729i,-0.0092284+0.027541i,0.01207+0.0060666i,0.0042346-0.0013663i,-0.017537-0.010729i,0.0042228+0.0032184i,-0.0077195+0.0069299i,0.010569+0.0049245i,0.0047457+0.0091664i,-0.003918+0.0008544i,0.0080791-0.0014634i,0.0041474-0.0034143i,0.0092469+0.0090975i,0.0074126+0.0046958i,-0.0082507-0.0016052i,-2.632e-05-0.0069327i,0.0066253+0.0027069i,-0.0080153+0.0088755i,-0.00041709+0.0029464i,0.00011292-0.033323i,0.01395+0.00054318i,0.0066754-0.00018885i,0.0015284+0.0015268i,0.0009235-0.00032466i,0.0122-0.012i,-0.0029013+0.00057463i,-0.0067102-0.0029441i,-0.0038393+0.00081173i,0.0089351-0.0029758i,0.0087083-0.00053447i,0.0018601-0.0041931i,0.0097988+0.0022893i,0.0049193+0.0016504i,0.0155-0.0077763i,-0.076363-0.018202i,-0.0084574-0.011391i,-0.0049626-0.0034472i,-0.0049391+0.0049576i,-0.021836+0.023303i,-0.0016175+0.0038305i,-0.011427+0.0042886i
-0.035494+0.0070374i,-0.052505+0.024208i,-0.015169+0.04577i,-0.014027+0.015928i,0.0071979+0.0097871i,0.015841+0.030135i,-0.016977+0.027186i,-0.038887+0.039692i,-0.017241+0.017249i,-0.0049198-0.0069329i,0.0034764-0.0034332i,-0.0023153+0.0012645i,0.0049941+0.0021465i,-0.001188+0.0053097i,0.0014533+0.0026563i,-0.0051042+0.0034521i,-0.010397+0.01504i,0.00054946+0.0020537i,0.0012917-0.0066508i,0.001002-0.0035814i,-0.0018136-0.0037401i,0.0010664-0.0045024i,0.00026912-0.0038816i,-0.013934+0.0010272i,-0.0025341+0.00092396i,-0.00031997+0.0031398i,-0.0013567+0.00068794i,-0.0013261+0.001578i,-0.0030299-0.00090742i,-0.00090259-0.0024761i,0.0015176+0.0049872i,0.0017091+0.00023461i,0.0017461-0.0008718i,0.0005594+0.00039029i,0.00051375+0.0041606i,-0.0050158-0.0086397i,-0.0011145+0.0034924i,-0.00099973+0.00021469i,0.0029742-0.00072664i,0.0067836-0.0038602i,-0.0002654-0.00148i,0.0016307-0.00042974i,-0.0088662+0.0010522i,0.002614-0.00038899i,-0.021766-0.023197i,-0.053908-0.073322i,-0.06406+0.0097227i,-0.045737-0.015051i,-0.070214-0.010804i,-0.027369+0.0092174i,-0.038884+0.052143i,-0.028645+0.024194i,-0.032061-0.02746i,-0.044925-0.045334i,-0.035389+0.013409i,-0.0015838-0.00050379i,0.0021137+0.025227i,0.01169+0.0012934i,-0.00058722-0.0019957i,-0.029207+0.0016676i,0.001362+0.0029843i,-0.0033225+0.0074416i,0.0090715-0.0012126i,0.0080778+0.0078329i,-0.0034464+0.0045066i,0.0040342-0.003265i,0.002978-0.0059328i,0.0073941+0.0015074i,0.0047105+0.0016102i,-0.0074314+0.0033899i,-0.0019414-0.005011i,0.0074105+0.00056912i,0.0017709+0.011569i,0.0015987+0.0022551i,-0.0080417-0.02598i,0.012518-0.0046606i,0.0067182-0.004338i,0.002257+0.0020758i,0.0013518-0.00073273i,0.0062975-0.012401i,-0.00026766+0.0034976i,-0.0074838+0.00091322i,-0.001372+0.0044372i,0.006537-0.0029312i,0.0082925-0.0060825i,-0.00011484-0.0046531i,0.0084564-0.003233i,0.0050256-0.0013988i,0.011502-0.012567i,-0.073083-0.0046391i,-0.017179-0.013385i,-0.0065477-0.0079012i,-0.0033987+0.0029078i,-0.017207+0.026045i,-0.006257+0.0023896i,-0.013993+0.0038517i
-0.03357+0.009557i,-0.049128+0.031411i,-0.010684+0.044475i,-0.0091939+0.017694i,0.0086604+0.0039184i,0.019436+0.025399i,-0.011716+0.02865i,-0.03253+0.043133i,-0.014402+0.021029i,-0.0056775-0.004548i,0.0014595-0.0044798i,-0.00079535+0.003901i,0.0045652+0.00093961i,0.0013471+0.0065559i,0.0024666+0.0027989i,-0.0027237+0.0067834i,-0.001539+0.018012i,0.00087142+0.0010802i,-0.00035243-0.0060683i,-0.0010182-0.0041512i,-0.0029898-0.0032367i,-9.4964e-05-0.0046109i,-0.0012305-0.004107i,-0.011016+0.0040724i,-0.0028929+0.00089844i,2.1537e-05+0.0015244i,-0.0012236+0.00094856i,-0.00048992+0.00084951i,-0.0029892+0.0004269i,-0.0014885-0.0014534i,0.0029132+0.0036606i,0.0012734-0.0005721i,0.0010487-0.00059468i,0.00052907+0.00015413i,0.0015256+0.0035923i,-0.0080959-0.0088042i,-6.8058e-05+0.0038736i,-0.00082591+0.00079511i,0.001223-0.00093997i,0.0048916-0.004134i,-0.00041878-0.0016416i,0.0019751-0.0014756i,-0.00088245+0.0023311i,-0.00045314+0.00045293i,-0.027338-0.019793i,-0.063894-0.053356i,-0.058875+0.010924i,-0.050396-0.006495i,-0.073544+0.0038987i,-0.023005+0.0069272i,-0.022834+0.049295i,-0.019378+0.019513i,-0.033109-0.026545i,-0.0495-0.039058i,-0.02697+0.019901i,-0.0024013-0.00044165i,0.011699+0.01945i,0.0098305-0.0016437i,-0.0041208+0.00042376i,-0.025249+0.015183i,0.00096459+0.0050011i,0.00030546+0.0080914i,0.0035606-0.0028668i,0.011394+0.0056754i,0.00012499+0.0067302i,0.0013178-0.0017083i,0.00041039-0.0070047i,0.0021611+0.001074i,0.002065+0.0023065i,-0.0061191+0.0067483i,-0.0031467-0.0019741i,0.0073387-0.0020971i,0.0075892+0.007541i,0.0025024+0.00082869i,-0.014664-0.022354i,0.0091128-0.0082223i,0.0042394-0.0062086i,0.0042401+0.0014288i,0.00084742-0.00067744i,0.0026741-0.011031i,0.0021121+0.0029219i,-0.0053979+0.0056825i,0.0022288+0.0047125i,0.00614-0.0032174i,0.0037753-0.011473i,-0.00043288-0.0036091i,0.0042423-0.0052572i,0.0029226-0.0034246i,0.0046116-0.016194i,-0.067705+0.0029486i,-0.028544-0.0082649i,-0.007702-0.0067436i,-0.0035297-0.00010828i,-0.010501+0.026383i,-0.010108+0.0050165i,-0.013868+0.0072734i
-0.032361+0.012358i,-0.044799+0.038504i,-0.0067706+0.045156i,-0.0041017+0.017187i,0.0067427-0.0018077i,0.022735+0.021377i,-0.0063973+0.028275i,-0.026047+0.045772i,-0.0097577+0.022022i,-0.0063192-0.003361i,-0.0012142-0.0039699i,0.0014128+0.0045787i,0.004159+0.0002962i,0.0041161+0.0052861i,0.0031564+0.0021592i,0.00038238+0.0081702i,0.007269+0.016404i,0.0010145+0.00046345i,-0.0020945-0.0059162i,-0.0029488-0.0034608i,-0.0034532-0.0017775i,-0.00067671-0.0047531i,-0.0024428-0.0033004i,-0.0093603+0.0044957i,-0.0031147+0.0022293i,-0.00055119+0.0014023i,-0.00049555+0.00010118i,-0.00032591-0.00020792i,-0.0024235+0.0013677i,-0.0016295-0.00088637i,0.0041402+0.0025169i,0.00068941-0.00089182i,0.00082394-0.0006033i,0.00022932-9.9526e-05i,0.0023656+0.0032287i,-0.011279-0.0070183i,0.00083953+0.0035899i,-0.00017114+0.00094121i,0.0001609-0.0012101i,0.0035612-0.0040508i,-0.00075477-0.0014935i,0.0012924-0.0024393i,-0.0036231+0.0044666i,-0.0012316+0.0029757i,-0.031542-0.013685i,-0.063385-0.038327i,-0.057223+0.013039i,-0.051821+0.0050342i,-0.069856+0.022721i,-0.02475+0.0052394i,-0.011546+0.042929i,-0.013337+0.014601i,-0.035363-0.023877i,-0.054626-0.032723i,-0.018923+0.023696i,-0.004189+0.00034808i,0.015142+0.0080509i,0.0088881-0.0053596i,-0.0054587+0.0040975i,-0.017006+0.023961i,0.0025329+0.0051739i,0.0050383+0.005482i,0.0014038-0.00027104i,0.014328-0.00021211i,0.0022272+0.0040645i,0.00081506-5.5603e-06i,-0.0035374-0.0082586i,-1.5095e-05+0.0044336i,0.0022038+0.0043583i,-0.0024982+0.011281i,-0.0016512+0.00056393i,0.0058226-0.0038154i,0.009539+0.0027906i,0.0030316-0.001073i,-0.023481-0.020745i,0.0046773-0.0099459i,0.0012498-0.0072796i,0.004202+0.00066443i,0.00078556+0.00039927i,0.0015903-0.0089606i,0.0032821+0.0010452i,-0.0010268+0.0072809i,0.0038654+0.0020245i,0.0043156-0.0043357i,-0.0037489-0.010686i,-0.00074934-0.0042441i,0.0035789-0.0032413i,0.0020174-0.0043268i,-0.0034444-0.015693i,-0.064835+0.0098178i,-0.028972+0.0061439i,-0.010611-0.0090304i,-0.0058707-0.0012524i,-0.0061823+0.026055i,-0.0095976+0.01035i,-0.009425+0.0093382i
-0.030736+0.015935i,-0.03901+0.045593i,-0.00088006+0.04584i,-0.0011397+0.01576i,0.0023687-0.0047591i,0.026037+0.016564i,-0.0013874+0.027181i,-0.019679+0.048143i,-0.005905+0.022235i,-0.0073721-0.0014605i,-0.002544-0.0015782i,0.0038227+0.0044631i,0.0037165-0.00015489i,0.0050762+0.0027148i,0.0033208+0.0014791i,0.0035581+0.0080921i,0.012806+0.010693i,0.00099782+0.00012454i,-0.0032824-0.0048826i,-0.0041602-0.0017474i,-0.0030938-0.00046749i,-0.0019713-0.0049543i,-0.0029374-0.0022868i,-0.0096195+0.0066932i,-0.0027407+0.0032978i,-0.00054053+0.0021235i,-0.0013499+0.0012335i,-0.0013277-0.00081889i,-0.0020512+0.0017509i,-0.0016919-0.00047579i,0.0047636+0.00087699i,0.00086376-0.00074008i,0.00055887-0.00077522i,0.0001657+2.741e-05i,0.0035545+0.0014589i,-0.014507-0.0040991i,0.0021409+0.0032068i,0.00039477+0.00086214i,-0.00049492-0.0010079i,0.0021651-0.0039465i,-0.00096273-0.0012894i,0.00072702-0.0031006i,-0.0026718+0.0044705i,-0.0001528+0.0041931i,-0.032618-0.0086317i,-0.063605-0.031891i,-0.056148+0.018515i,-0.047222+0.015784i,-0.059056+0.038083i,-0.025622+0.0083666i,-0.0042407+0.0366i,-0.010966+0.0091911i,-0.037058-0.021371i,-0.058416-0.023818i,-0.012997+0.025411i,-0.0039694+0.0011769i,0.0091934-0.001665i,0.005532-0.0094i,-0.0042464+0.0071109i,-0.0062836+0.026837i,0.0025694+0.0038809i,0.0064445+0.00019731i,0.0026811+0.00051866i,0.012377-0.0053126i,0.0051046+0.0069763i,0.0013312+0.0021528i,-0.0082406-0.003152i,0.002053+0.0072499i,0.0036382+0.005729i,0.0028047+0.012587i,-0.00054514+0.00075404i,0.0046687-0.0049623i,0.010571-0.0034526i,0.00061387-0.0021112i,-0.030836-0.012591i,0.001297-0.0094068i,-0.0018004-0.0055082i,0.0044925+0.00081394i,0.0014248+2.1642e-05i,0.001304-0.010144i,0.0029974-0.00087554i,0.0020509+0.0055704i,0.0038617+0.0011543i,0.0035225-0.0037192i,-0.0071029-0.006331i,-0.0031282-0.0047439i,-0.0004854-0.0062683i,-5.6679e-05-0.0054538i,-0.0086377-0.011101i,-0.060485+0.016871i,-0.023066+0.0086818i,-0.011239-0.0080819i,-0.0078961-0.00087565i,-0.00081566+0.024007i,-0.008074+0.01209i,-0.0072049+0.0085721i
-0.028166+0.01913i,-0.031314+0.052027i,0.0049791+0.046275i,0.00021109+0.016031i,-0.0024887-0.0045646i,0.02804+0.011325i,0.0030844+0.025203i,-0.012679+0.050068i,-0.0022313+0.021514i,-0.0081558+0.0015542i,-0.0015995+0.00040215i,0.0063954+0.0025326i,0.0033633-0.00034158i,0.004721+0.0012823i,0.0036759+0.0011055i,0.0061516+0.0063366i,0.014719+0.0052545i,0.0011727-0.00072587i,-0.0041571-0.0039923i,-0.0042908+0.00047089i,-0.0024429+0.00023821i,-0.0032333-0.0038832i,-0.0031334-0.0015175i,-0.0069447+0.0095899i,-0.0018051+0.0047681i,0.00057683+0.0025628i,-0.00091889+0.0020001i,-0.0026827-0.00010635i,-0.0013865+0.0021716i,-0.0015985+0.00010576i,0.0046095-0.00078931i,0.001005-0.0015643i,0.00050424-0.000743i,0.00022668+0.00013412i,0.0031556-0.0004007i,-0.016089+0.00093962i,0.0028808+0.0021675i,0.00056178+0.00076998i,-0.0013407-0.0007222i,0.0016511-0.0036667i,-0.00097194-0.0011716i,0.00010068-0.0032001i,-0.0021537+0.004526i,0.0010036+0.0049169i,-0.033915-0.0046881i,-0.068764-0.026307i,-0.053651+0.024836i,-0.041983+0.023026i,-0.044376+0.046835i,-0.02587+0.011816i,0.0012044+0.030693i,-0.010422+0.0067405i,-0.039665-0.01825i,-0.06013-0.013838i,-0.0083897+0.025536i,-0.0043006+0.0028428i,0.0025614-0.0013648i,0.00021696-0.011572i,-0.0013832+0.010258i,0.0035462+0.021248i,0.0014113+0.0027594i,0.0047852-0.0039048i,0.0023109+0.00012047i,0.0084994-0.0098626i,0.0090461+0.0038556i,0.0030665+0.0029247i,-0.0079317+0.0011957i,0.0055133+0.0086706i,0.0064862+0.0060806i,0.0087118+0.0091727i,0.00018296+0.0011918i,0.0040028-0.0056599i,0.0078641-0.0074749i,-0.00022839-0.00013491i,-0.035077-0.002933i,-0.00074876-0.0086313i,-0.002975-0.0029979i,0.0055715-0.00015978i,0.0014025-0.00051799i,-0.00093116-0.012194i,0.0018406-0.0018676i,0.0044706+0.0044786i,0.0045244-0.00039575i,0.0044278-0.0040194i,-0.0086087-0.0032186i,-0.0058543-0.0021887i,-0.0041553-0.0052313i,-0.0019029-0.0060558i,-0.010543-0.0062578i,-0.055916+0.022795i,-0.021757+0.0095273i,-0.011788-0.0092395i,-0.0092907+0.00087203i,0.00078279+0.022672i,-0.0070461+0.012746i,-0.0052467+0.0080225i
-0.025058+0.02224i,-0.021364+0.056622i,0.011983+0.045943i,0.0016271+0.015788i,-0.0050896-0.0012791i,0.029261+0.0063536i,0.0066497+0.022033i,-0.0047314+0.050845i,0.00086254+0.020321i,-0.0078476+0.0045589i,-0.00050427+0.00068016i,0.0068033-0.0010166i,0.0035513-0.00058224i,0.0047094+5.412e-05i,0.0040243+0.00042036i,0.0072705+0.0040258i,0.01459+0.00064015i,-0.00013308-0.0014503i,-0.0055139-0.0023126i,-0.0031843+0.001921i,-0.0017636+0.0004626i,-0.0036733-0.0029925i,-0.0032896-0.00060797i,-0.0026423+0.010941i,0.00013161+0.0054475i,0.0014689+0.0018765i,2.7051e-05+0.0022556i,-0.0029626+0.0013641i,-0.0006265+0.0020492i,-0.001293+0.0005978i,0.0038334-0.0022718i,0.00013879-0.0019214i,0.00047094-0.0010702i,0.00019257+2.4969e-05i,0.0022991-0.0013232i,-0.014717+0.0058645i,0.0030799+0.0012243i,0.00094854+0.00051936i,-0.0017578+0.00011827i,0.0012309-0.0038712i,-0.0012866-0.0010302i,-0.00049027-0.0031482i,-0.0017145+0.0048941i,0.0024763+0.0050327i,-0.035744+0.00071754i,-0.076442-0.014742i,-0.048153+0.030134i,-0.034552+0.02921i,-0.030212+0.051328i,-0.024323+0.018137i,0.0049978+0.023748i,-0.0066874+0.0044847i,-0.041865-0.012167i,-0.059037-0.003012i,-0.0036449+0.026331i,-0.018522+0.016229i,6.8521e-06-0.00024338i,-0.0061215-0.011252i,0.0039159+0.010412i,0.00080573+0.016819i,-0.00085162+0.0026209i,0.0029098-0.0071148i,0.0032271+0.002049i,0.0027136-0.011227i,0.01046-0.0015896i,0.005215+0.0022592i,-0.0070328+0.0051812i,0.011007+0.0079704i,0.010336+0.0035719i,0.011225+0.0020935i,0.0013187+0.00147i,0.002671-0.0070894i,-0.00033132-0.011235i,0.0011217+0.0012695i,-0.037264+0.0087767i,-0.0028851-0.0080416i,-0.0023675-0.00065094i,0.006559-0.0042845i,0.0018163+0.00012301i,-0.0060532-0.012537i,0.00064191-0.0016218i,0.0061783+0.0015764i,0.0039934-0.0016697i,0.0038348-0.0060233i,-0.0086423+0.0019774i,-0.0055822+0.0018895i,-0.0067255-0.0010241i,-0.0046403-0.0063877i,-0.01041-0.0025272i,-0.051602+0.028629i,-0.022651+0.015376i,-0.013794-0.012152i,-0.00741+0.0034521i,0.0034395+0.022507i,-0.0067296+0.015296i,-0.0028503+0.0058455i
-0.021314+0.024625i,-0.010899+0.058128i,0.020371+0.044625i,0.0032404+0.014888i,-0.0048246+0.0022083i,0.03041+0.0012843i,0.008925+0.01864i,0.0030555+0.049662i,0.0033911+0.019151i,-0.005491+0.0075357i,-0.00031177+0.00061607i,0.005203-0.0034883i,0.0033759-0.0015783i,0.003934-0.00083977i,0.0039019-0.0005529i,0.0071101+0.0019753i,0.013097-0.0030123i,-0.0009186-0.00096181i,-0.0054268-0.0001246i,-0.0018498+0.0029328i,-0.0010534+0.00027816i,-0.0039044-0.0023231i,-0.0029333+0.0001816i,0.00097852+0.010966i,0.0022409+0.0047495i,0.0017672+0.0013635i,0.00091738+0.0020019i,-0.0019789+0.0025993i,-6.4454e-05+0.001735i,-0.0010838+0.00090635i,0.0023829-0.0030571i,-0.0007747-0.0016326i,0.00057325-0.0022165i,8.8392e-05+1.6282e-05i,0.0011923-0.0021656i,-0.01154+0.010172i,0.0030637+1.8326e-05i,0.00095898+7.1726e-05i,-0.0014788+0.001422i,0.00023043-0.0042145i,-0.0014798-0.00070063i,-0.0013441-0.0033275i,-0.00089669+0.0057314i,0.0040313+0.004399i,-0.035422+0.0070069i,-0.078089+0.0012745i,-0.04451+0.033002i,-0.027273+0.032438i,-0.015665+0.052488i,-0.01861+0.024429i,0.0081739+0.021922i,-0.004902-0.0020355i,-0.039659-0.0055409i,-0.053675+0.0080171i,0.0033135+0.025906i,-0.0053324+0.002592i,-0.0023234+0.0012016i,-0.010823-0.0078896i,0.007846+0.0072145i,0.0062762+0.020157i,-0.0036191+0.0045374i,-0.0011051-0.010216i,0.0062991+0.00031803i,-0.0028455-0.0098412i,0.0077398-0.0060757i,0.006778-0.00014541i,-0.0051702+0.0074994i,0.015339+0.0017422i,0.011676-0.0025131i,0.010269-0.0035332i,0.0030534+0.00071326i,-0.00025073-0.00788i,-0.0045845-0.0067484i,0.0028903+0.00032595i,-0.028578+0.023769i,-0.0053048-0.0073788i,-0.00079727+0.00065492i,0.0033643-0.0074338i,0.0028979-5.9088e-05i,-0.011003-0.0092397i,0.00075363-0.00066878i,0.0059558-0.0017285i,0.0029458-0.0027538i,0.0018406-0.0065244i,-0.0052969+0.0058252i,-0.0030944+0.0043266i,-0.0057049+0.0031287i,-0.0083634-0.0049218i,-0.0098769+4.2088e-05i,-0.045122+0.035733i,-0.014335+0.021895i,-0.021004-0.015183i,-0.003854+0.0030597i,0.006021+0.021567i,-0.0043038+0.018773i,-0.0025662+0.0021173i
