-0.024862-0.018362i,-0.032163-0.033424i,-0.02244-0.020028i,-0.032191-0.020598i,-0.023953+0.0040364i,-0.028932-0.018037i,-0.055955-0.046659i,-0.039894-0.044078i,-0.029366-0.023999i,0.0055291+0.0064054i,-0.0036355+0.0063041i,-0.01126+0.011461i,0.0040074+0.0070903i,-0.0038401-0.0028171i,0.0029458+0.0017398i,0.0020436+0.027934i,0.025382+0.034023i,-0.00013571+8.4821e-05i,-0.0028399-0.0030049i,0.0076736+0.0039864i,0.0020613+0.00071974i,-0.0002488+0.0027014i,-0.00049815+0.00026342i,-0.03161-0.0012852i,-0.0032281-0.0049868i,0.00020081+0.0024675i,0.0035015-0.001087i,0.00081952-0.00033581i,-0.00053323-0.00063967i,-0.0010204-0.0019257i,-0.0021559-0.00059833i,-0.0041622-0.0041691i,-0.0028033-0.0053214i,0.00053366-0.0010007i,0.00058572-0.0032225i,-0.0017118+0.026363i,0.0020219-0.003156i,0.0021831-0.0037539i,0.0043558-0.0023372i,-0.0063251-0.001629i,0.0012452+0.0014485i,0.010511-0.00038217i,-0.0010351+0.0004779i,-0.00328+0.0020932i,-0.0085112-0.0015592i,-0.018989+0.021528i,-0.0078715-0.086973i,-0.0022539-0.061134i,-0.021117-0.053676i,-0.011464-0.046037i,0.054201-0.026936i,0.024238-0.067332i,0.04155-0.054544i,0.018378-0.038629i,0.026165-0.019726i,0.012053+0.011887i,0.025402-0.028975i,-0.011633-0.0009831i,-0.0013812-0.0013891i,-0.0082695-0.002404i,-0.0046078-0.029042i,-0.020553+0.026345i,0.0073756-0.0093663i,-0.010676-0.0034415i,-0.0025214-0.0018889i,-0.00064478-0.0147i,-0.0081904+0.0051411i,0.0061825+0.011035i,-0.01024+0.030687i,0.0063412+0.0074471i,-0.0032944-0.0015911i,-0.0024262-0.001509i,-0.012781-0.0054098i,0.00080125-0.0046175i,-0.03294+0.0031308i,0.0036758-0.0086087i,-0.0072256-0.0020547i,-0.0052534-0.0029943i,0.0068889+0.0013745i,-0.010188+0.00045836i,0.0027712-0.00022341i,0.0061857+0.0075905i,0.0054459+0.0007874i,-0.007973-0.010162i,0.0027544+0.0080462i,-0.019265+0.0079205i,0.0035807+0.0058036i,-0.021224-0.0086982i,-0.027459-0.0039215i,0.009128-0.061777i,0.018937-0.015361i,-0.051008-0.028177i,-0.022221+0.0033575i,0.019501+0.010192i,-0.027141+0.011776i,-0.013027-0.0076351i
-0.011874+0.012472i,-0.022517+0.041568i,0.0010923+0.041144i,-0.010865+0.025132i,-0.00048317+0.021162i,0.0016235+0.023283i,-0.025908+0.014225i,-0.026419+0.032586i,2.6634e-05+0.018546i,-0.0016007-0.0014769i,-0.0010188+0.0017312i,0.0042287+0.0036193i,0.0033828+0.0050108i,-0.0030333+0.0017243i,-0.0030169+0.0037411i,0.00010572-0.0078865i,-0.0090822-0.00086764i,-0.0020166+0.0002793i,0.00016751-0.0014071i,-0.00095838-0.00040245i,0.00069589-0.0033074i,0.0011209-0.0027312i,0.0010564-0.001535i,-0.009312-0.0086973i,-0.00022703-0.0004855i,-0.0015404+0.00031341i,-0.0023949+3e-05i,-0.0028819-0.00018152i,-0.00096361-0.00091814i,0.001023-0.00065125i,-0.0018003+0.00033685i,0.0014772-2.5296e-05i,0.0018388-0.00073075i,0.00047774+0.00045417i,-0.00051853+0.0020512i,-0.00041863-0.0071414i,-0.0014068+0.00094463i,0.0018898+7.8197e-05i,0.00066881+0.0023526i,0.0045742+0.0058566i,0.00076567-0.0014455i,-0.0017914-0.00093342i,-0.0013182-0.0021237i,0.0031286+0.0049769i,-0.0083647+0.0071961i,0.019939-0.058505i,-0.074501+0.015178i,-0.027677-0.018565i,-0.061134-0.04798i,-0.053539-0.017307i,-0.08704+0.0026748i,-0.073809+0.00083137i,-0.045036-0.035127i,-0.0090222-0.045778i,-0.038424-0.025986i,-0.0062813+0.00040638i,-0.031473+0.0099528i,0.0073856+0.01165i,0.0093784+0.0074365i,0.0014223-0.0082247i,0.010761+0.0032389i,-0.011262-0.0036085i,0.0028885+0.01186i,0.0018248+0.0065975i,-0.00010723-0.0014334i,0.005354+0.0018576i,0.0036593+0.00061932i,-0.0041685+0.019133i,-0.00033803+0.009108i,0.00069775-0.0039603i,0.0082722-0.0059516i,0.0012042+0.0040993i,-0.0085119-0.007169i,-0.0027936-0.00081826i,0.021309-0.031013i,0.0050148+0.0087653i,0.0019248+0.0029128i,-0.0017268+0.0041515i,0.002775-0.0039039i,0.019575+0.0031513i,0.0011991-0.002127i,-0.0029013-0.0061169i,-0.00074911-0.0018884i,0.011225+0.0047843i,0.0054168-0.0007552i,0.0033264-0.0075872i,0.0045251+0.0050615i,-0.005422+0.0033114i,0.01332+0.006406i,-0.042454-0.038056i,-0.012915+0.0053266i,-0.0022305-0.0018297i,6.4222e-05+0.0026062i,-0.040643+0.011472i,-0.0069151+0.0090528i,-0.013716+0.0037309i
-0.009414+0.013544i,-0.015415+0.042367i,0.010309+0.034804i,-0.0057903+0.025887i,0.0024776+0.018875i,0.0059677+0.021946i,-0.025163+0.018752i,-0.019189+0.034782i,0.0046368+0.012931i,-0.0019591-0.00047497i,-0.00018754+0.0030114i,0.0049352+0.0011841i,0.0042249+0.0031294i,-0.0014984+0.0028809i,-0.0022258+0.0046991i,-0.0045932-0.0055709i,-0.0097391+0.0038602i,-0.0017074+0.001013i,0.00079657-0.00082774i,-0.00044866-2.3784e-05i,-0.00017353-0.0031149i,0.001009-0.0022642i,0.00086954-0.001429i,-0.011176-0.0056745i,1.9532e-05-0.00021597i,-0.0014675+0.00076374i,-0.0016725+0.001043i,-0.0024203+0.00060317i,-0.0012318-0.00075565i,0.00095316-0.00079667i,-0.0015752+0.0012295i,0.0010451-0.00040475i,0.0010764-0.0013998i,0.00016544+0.00048112i,-0.00092102+0.0015467i,-0.00063753-0.0059812i,-0.00096929+0.00099249i,0.00088176-0.00047354i,0.00069017+0.0025752i,0.0056506+0.0029874i,0.00032574-0.0017107i,-0.0025804-0.00072797i,-0.0026806-0.0013223i,0.0042904+0.0042726i,-0.0061786+0.0052921i,0.0014792-0.068216i,-0.06517+0.029484i,-0.034761-0.021255i,-0.074084-0.038708i,-0.053814-0.0055304i,-0.078819+0.020383i,-0.071627+0.01574i,-0.039996-0.033988i,-0.014777-0.04383i,-0.044786-0.011295i,-0.0070207+0.00037191i,-0.024961+0.022761i,0.0099274+0.0064333i,0.011644+0.0013682i,-0.004371-0.012763i,0.0071069+0.0023795i,-0.010915+0.0026618i,0.007685+0.0097987i,0.0038753+0.0075115i,-0.00082495-0.0010493i,0.006346+0.0024406i,0.0048823+0.00048491i,0.0044884+0.015826i,0.0039899+0.0052815i,-0.0035049-0.0054164i,0.0022341-0.0068981i,0.0030427+0.0049554i,-0.010864+0.00038625i,-0.002239+0.0019765i,0.0067654-0.032016i,0.0082529+0.0076659i,0.0043143+0.0021012i,0.0018944+0.0029311i,-0.00042712-0.0017621i,0.017435-0.0060313i,-0.00048482-0.0026329i,-0.0059514-0.0041004i,-0.0031899-0.00052101i,0.010232+0.00027366i,0.0043073-0.00034452i,0.00041344-0.0059852i,0.0062352+0.0036175i,-0.0053014+0.0052712i,0.013278+0.0013856i,-0.049389-0.032114i,-0.0069378-0.005223i,-0.0026272-0.0027066i,0.0013057+0.00078859i,-0.034112+0.023403i,-0.004616+0.01007i,-0.011019+0.0060598i
-0.0064278+0.013853i,-0.0088569+0.04303i,0.015384+0.027037i,-0.00098027+0.02465i,0.0061255+0.01769i,0.0099058+0.019472i,-0.022222+0.02381i,-0.012314+0.034373i,0.004306+0.0077659i,-0.0020595+0.00067894i,0.0017043+0.0033887i,0.0023879-0.0003278i,0.0043958+0.0018121i,-0.00071993+0.0029821i,-0.00090464+0.0055993i,-0.0075371-0.00082248i,-0.0076505+0.0083249i,-0.00076746+0.0015457i,0.0015292-0.0017424i,0.00017167-0.00032068i,-0.0010655-0.002992i,0.00095675-0.0028942i,0.00083609-0.0016386i,-0.012683-0.0025256i,-4.1556e-05-0.00019374i,-0.00094087+0.0014691i,-0.00080906+0.00081493i,-0.0015317+0.0016104i,-0.0012891-0.00059061i,0.00053348-0.0013808i,-0.00079822+0.0017721i,0.00060033-0.00052463i,0.00026716-0.001341i,0.00045655+0.0003117i,-0.00053257+0.0025225i,-0.00023799-0.0060299i,-0.00096397+0.00092711i,0.00036789-0.00061347i,0.0023893+0.0014046i,0.0052301+0.000781i,-0.00012532-0.0016126i,-0.0019344+0.0004555i,-0.0036272-0.00013239i,0.005168+0.0026711i,-0.0055551+0.0039296i,-0.020834-0.068435i,-0.05129+0.03846i,-0.043559-0.018027i,-0.081952-0.024173i,-0.04902+0.0031792i,-0.064056+0.032383i,-0.058967+0.028679i,-0.044355-0.036006i,-0.019876-0.042712i,-0.044115+0.0038455i,-0.0071922+0.0015157i,-0.012731+0.028878i,0.010808+0.0019193i,0.00853-0.0047524i,-0.015415-0.011381i,0.0067277+0.0006658i,-0.0075293+0.0062548i,0.010298+0.004689i,0.0061774+0.0066235i,-0.0028479+0.00036827i,0.0068061-0.0011416i,0.0063768-0.0017733i,0.0076362+0.009892i,0.0036401+0.0016699i,-0.0081982-0.0021997i,-0.00020805-0.004935i,0.0059975+0.0038214i,-0.0061952+0.0090262i,8.1695e-05+0.0030182i,-0.0037054-0.027972i,0.011856+0.0034658i,0.0042353-2.5193e-06i,0.0020151+0.0010472i,0.00039837+0.0003792i,0.011391-0.010911i,-0.0026524+0.00038255i,-0.0070823-0.00062207i,-0.0034784+0.0026863i,0.0069421-0.0022016i,0.0071205-0.0017009i,0.00018502-0.005541i,0.0091253+0.00074176i,-0.0022506+0.0061203i,0.011505-0.0028247i,-0.054378-0.021306i,-0.012563-0.013738i,-0.0018389-0.0037978i,0.0024177-0.0021823i,-0.023536+0.029343i,-0.0029991+0.0060972i,-0.0073938+0.0021766i
-0.0036935+0.01302i,-0.0016141+0.043396i,0.017424+0.019799i,0.003778+0.023474i,0.01023+0.014273i,0.013213+0.016074i,-0.01722+0.027948i,-0.0072866+0.032701i,0.0030889+0.0057107i,-0.0014152+0.0018645i,0.0029586+0.0021692i,0.0012065+0.0014143i,0.0042198+0.00065038i,-0.00055253+0.0036335i,0.00064587+0.0057419i,-0.0069146+0.0050019i,-0.0031592+0.011303i,9.7195e-05+0.0013553i,0.00065728-0.0023904i,-1.4448e-05-0.0010266i,-0.0018292-0.0023969i,0.00033714-0.0031228i,0.00052931-0.0022363i,-0.012862+0.0019983i,-2.9074e-05-0.00033679i,0.00013157+0.0011112i,-0.00063948+0.00038692i,-0.00040464+0.0015709i,-0.0015867+1.8494e-05i,-0.00022186-0.0012285i,2.3287e-05+0.0017821i,0.00030159-0.00051798i,-0.000628-0.0010157i,0.00047941+0.00010884i,0.00091641+0.0023765i,-0.00097222-0.0076646i,-0.00043448+0.0013769i,-0.00023226-0.0005675i,0.0019598-0.00063064i,0.0046055-0.0006389i,-0.00046153-0.0015438i,-0.0010879+0.00040144i,-0.003763+0.001576i,0.0043521+0.00036866i,-0.0056791+0.003583i,-0.039838-0.056817i,-0.037696+0.04066i,-0.050273-0.010682i,-0.086096-0.0085107i,-0.042734+0.0083806i,-0.050688+0.036631i,-0.045465+0.031649i,-0.049873-0.030224i,-0.025237-0.038438i,-0.039369+0.015189i,-0.0075427+0.0029705i,-0.0010801+0.029028i,0.0099155-0.0030137i,0.0030318-0.0065278i,-0.022335-0.0013607i,0.0040741+0.0002361i,-0.0041078+0.0075315i,0.0092637-0.00095753i,0.0085037+0.0052957i,-0.0028026+0.0029931i,0.0037954-0.0024549i,0.0059192-0.0060563i,0.0073237+0.0040743i,0.0011378+0.00013331i,-0.0084998+0.0018707i,-0.0017123-0.0036291i,0.0071387+0.0012541i,0.0030263+0.0099188i,0.0016363+0.0018817i,-0.009539-0.021997i,0.011709-0.0011294i,0.0037248-0.0013627i,0.0026272+0.0016242i,0.00087304+0.00019781i,0.0058847-0.011241i,7.2633e-06+0.0027532i,-0.006511+0.00258i,-0.0007049+0.0045211i,0.0050856-0.0021043i,0.0067615-0.0059214i,-0.0020524-0.0050256i,0.0083517-0.0047787i,-0.00065385+0.0049922i,0.0094632-0.0067898i,-0.052807-0.0088976i,-0.022519-0.01473i,-0.0027361-0.0072662i,0.0017368-0.0061611i,-0.015152+0.029657i,-0.0061693+0.0044866i,-0.0098478+0.00030836i
-0.0019915+0.012032i,0.0051957+0.041852i,0.016813+0.014299i,0.0084036+0.020728i,0.012682+0.0097013i,0.015107+0.012312i,-0.010929+0.029893i,-0.0033172+0.031385i,0.0028715+0.0051181i,-2.0698e-05+0.0022952i,0.0031464+0.0012191i,0.0020489+0.0023534i,0.0039036-0.00038138i,0.0010817+0.004539i,0.0021913+0.0054589i,-0.00328+0.0084517i,0.0016877+0.011451i,0.00058924+0.0011267i,0.00031174-0.0022016i,-0.0006094-0.0011598i,-0.0026154-0.0017529i,-0.00049468-0.0029397i,-0.00041629-0.0024555i,-0.010238+0.0054044i,-0.0003829-0.00071022i,0.00013907+0.00027465i,-0.00076562+0.00029043i,0.00019051+0.0009775i,-0.0013463+0.00082403i,-0.00029142-0.00074248i,0.00053533+0.0015515i,0.00028859-0.00080991i,-0.00097446-0.00041612i,0.00034706-7.5427e-05i,0.0011931+0.0014988i,-0.0033657-0.008546i,-4.9682e-05+0.0013362i,-0.00038573+0.00015877i,0.00054961-0.00095937i,0.0037269-0.0011504i,-0.00085014-0.0014303i,-0.00086622+0.0003477i,-0.0026803+0.003101i,0.002979+0.00082112i,-0.0056038+0.0042975i,-0.04694-0.039779i,-0.027666+0.038664i,-0.055054-0.00078679i,-0.087204+0.0083414i,-0.038451+0.0092371i,-0.039156+0.038025i,-0.0357+0.031763i,-0.051861-0.024099i,-0.027603-0.034741i,-0.031978+0.025373i,-0.0069154+0.0047677i,0.011904+0.024831i,0.0073056-0.006043i,-0.001579-0.0054452i,-0.021973+0.0087959i,0.0033758+0.00087239i,-0.00039733+0.0089364i,0.0044155-0.003219i,0.010308+0.0024553i,-0.0013798+0.0048176i,0.0017344-0.001496i,0.0031609-0.0091189i,0.0040635+0.0026953i,-0.00072608+0.0015619i,-0.0081773+0.0069924i,-0.002849-0.0015513i,0.0070117-0.0014616i,0.0070561+0.0051641i,0.0021792+0.00091704i,-0.012505-0.0194i,0.0099748-0.0054408i,0.0026168-0.0023677i,0.0049869+0.00054727i,0.0012568+0.00011336i,0.0030583-0.009889i,0.0021447+0.0017447i,-0.0040522+0.0056145i,0.0022432+0.0040528i,0.0045634-0.0022143i,0.0032889-0.010337i,-0.0026605-0.0033988i,0.0041605-0.0081516i,-0.00052581+0.0039345i,0.0048417-0.010374i,-0.047118-0.0025803i,-0.032737-0.0067023i,-0.0057195-0.0089891i,-0.00056271-0.0097346i,-0.0087006+0.029266i,-0.009659+0.0066214i,-0.011043+0.0021469i
-0.00050535+0.011317i,0.011273+0.039797i,0.016039+0.011414i,0.011663+0.016696i,0.012769+0.0048815i,0.016447+0.0089994i,-0.0043298+0.029556i,0.00023035+0.030266i,0.0031522+0.0035435i,0.00070995+0.001555i,0.0027525+0.00040444i,0.0030018+0.0024429i,0.0033208-0.0012299i,0.0027941+0.0037021i,0.0033945+0.0046686i,0.00066849+0.0093662i,0.006178+0.0095299i,0.0010208+0.00080902i,-0.000279-0.0024742i,-0.0012061-0.0010283i,-0.0027197-0.00050934i,-0.00089704-0.002679i,-0.0010809-0.0020034i,-0.0080311+0.0064238i,-0.00090177-0.00038803i,-0.00020591+3.2729e-05i,-0.00089761+0.00036955i,0.00041852+0.00027704i,-0.00052695+0.0011435i,-0.00025759-0.0006777i,0.001075+0.0013255i,-0.00022971-0.0010008i,-0.00091833+8.2501e-05i,5.0611e-05-0.00020805i,0.0013187+0.0014721i,-0.0062133-0.0081924i,8.115e-05+0.0010403i,0.00010501+0.00032484i,1.5413e-05-0.00064313i,0.0031411-0.0014388i,-0.0011137-0.00089485i,-0.00085968+0.00046572i,-0.00087185+0.0036649i,0.0031815+0.0015857i,-0.0048354+0.0054964i,-0.045645-0.027755i,-0.020612+0.03647i,-0.055564+0.012424i,-0.082501+0.028511i,-0.039111+0.0099834i,-0.02998+0.036607i,-0.027254+0.0307i,-0.0519-0.017077i,-0.030913-0.031828i,-0.022724+0.029889i,-0.0063437+0.0067028i,0.018561+0.011118i,0.0047174-0.0085372i,-0.0046736-0.0020074i,-0.016197+0.017341i,0.0038568-4.1845e-07i,0.0046199+0.0070051i,0.0015139-0.0014531i,0.011495-0.002018i,0.00053928+0.006336i,0.0011232-0.0005368i,-0.0024952-0.01104i,0.0026466+0.0043893i,-0.00032637+0.0037285i,-0.0026213+0.011756i,-0.0017904+0.00058106i,0.0057379-0.0031604i,0.0079756+0.00099624i,0.0031543-0.00060614i,-0.018478-0.017941i,0.0061879-0.007809i,0.00087654-0.0028246i,0.0041393-0.0016931i,0.0010872+0.00076479i,0.0019265-0.0081039i,0.0027547+0.0002773i,-0.0007662+0.0064854i,0.0035201+0.0015483i,0.0038106-0.0030004i,-0.0029981-0.010379i,-0.0030005-0.0032512i,-5.5121e-05-0.0077967i,0.0002048+0.0030873i,-0.0013799-0.010257i,-0.044614+0.0017281i,-0.03026+0.0080474i,-0.0091297-0.0090156i,-0.0044644-0.011055i,-0.0039197+0.027911i,-0.0087965+0.011894i,-0.008411+0.0034151i
0.00097026+0.010502i,0.017263+0.037303i,0.016296+0.0092816i,0.01324+0.012385i,0.011298+0.0016083i,0.017463+0.0054672i,0.001225+0.027833i,0.0036964+0.029502i,0.0031029+0.002698i,0.00081778+0.0012219i,0.0023397+0.00043862i,0.0045069+0.0023017i,0.0024462-0.0016935i,0.0036186+0.0019927i,0.0041916+0.0036999i,0.0041633+0.0086896i,0.009043+0.0060801i,0.0013603+0.00051622i,-0.00094811-0.0024825i,-0.001579-0.0004265i,-0.0021525+0.00032818i,-0.0015147-0.0025165i,-0.0014441-0.0015032i,-0.0067193+0.0083036i,-0.0010137-9.8748e-05i,-0.0005285+0.00030314i,-0.00097344+0.00072416i,-0.00012484-0.00021489i,-0.00021491+0.00080588i,-0.00040808-0.00074225i,0.0015603+0.00081509i,-0.00031725-0.00050513i,-0.00041965+0.00017581i,-7.2716e-05-0.00011462i,0.001902+0.00063233i,-0.0090543-0.0069476i,0.00037245+0.0010797i,0.00021215-0.00018406i,-0.0003286-0.00046266i,0.0026997-0.0018672i,-0.0010203-0.00037581i,-0.00041295+0.00064722i,0.00043102+0.0028422i,0.0037877+0.0010946i,-0.0030038+0.0060564i,-0.044233-0.02306i,-0.015436+0.034836i,-0.049919+0.024607i,-0.070912+0.045251i,-0.039404+0.015403i,-0.023092+0.035529i,-0.021609+0.028008i,-0.050764-0.012018i,-0.033481-0.027111i,-0.014928+0.032726i,-0.0036799+0.0072259i,0.013322-0.0017923i,0.00075909-0.010848i,-0.0047516+0.0010992i,-0.0084572+0.020075i,0.0026947-0.0016706i,0.0063011+0.0027428i,0.002086-0.00025109i,0.0095986-0.0054592i,0.004699+0.0063824i,0.0011677+0.0011829i,-0.0083182-0.0056085i,0.0041007+0.0057046i,0.0013419+0.0052781i,0.0033376+0.01121i,-0.00094637+0.0009i,0.0045311-0.0045035i,0.007878-0.0043529i,0.0016441-0.0016162i,-0.025168-0.011356i,0.0031886-0.0082843i,-0.00039052-0.001695i,0.0043949-0.0008136i,0.0017058+0.00058879i,0.0023832-0.0092679i,0.0024042-0.0012992i,0.0019279+0.0052075i,0.0031687+0.00064528i,0.003354-0.0026858i,-0.0065892-0.0068679i,-0.0047059-0.0025935i,-0.0034023-0.0061163i,0.0002747+0.0019212i,-0.0050876-0.0072036i,-0.041048+0.0070081i,-0.024095+0.010185i,-0.0090639-0.0081634i,-0.0075757-0.010241i,0.001366+0.024868i,-0.0070806+0.013255i,-0.0081115+0.0027635i
0.0022045+0.0094587i,0.0231+0.034044i,0.017191+0.0073433i,0.013567+0.0089542i,0.0093913-0.00033156i,0.017622+0.0019684i,0.0060066+0.025065i,0.0075854+0.028632i,0.0034816+0.0016173i,0.0009704+0.0010388i,0.0027162+0.00057999i,0.0059664+0.00047334i,0.0016814-0.0017467i,0.0029888+0.00093984i,0.00487+0.0027801i,0.0069763+0.0061213i,0.010106+0.0027673i,0.0016981-0.00014685i,-0.0016611-0.0023133i,-0.0014542+0.00050831i,-0.0014465+0.00080482i,-0.0020868-0.0017486i,-0.0015937-0.0010614i,-0.0031778+0.0098959i,-0.00095593+0.00031054i,-0.0003161+0.00067892i,-0.00080776+0.0012663i,-0.0008691-1.6334e-05i,-9.6715e-05+0.00080409i,-0.00062527-0.00063439i,0.0016517+9.5043e-05i,-6.6197e-05-0.00068262i,-0.00051521+7.4548e-05i,-0.00018429-0.00010752i,0.0016043-0.00024378i,-0.011544-0.0039775i,0.00061553+0.00092406i,-0.00012763-0.00020316i,-0.00085402-0.00035827i,0.002276-0.0022174i,-0.00073609-0.00041306i,-0.00013524+0.00047006i,0.00076686+0.0019924i,0.0040236+0.00058679i,-0.001363+0.0051788i,-0.046817-0.019337i,-0.011225+0.033196i,-0.04227+0.033954i,-0.055672+0.055726i,-0.038526+0.020951i,-0.016213+0.03349i,-0.017278+0.026562i,-0.049953-0.0080098i,-0.034705-0.021403i,-0.0065684+0.033641i,-0.0019335+0.0066923i,0.005698-0.0042264i,-0.0037461-0.011033i,-0.0031119+0.0043905i,-0.0015667+0.018739i,0.00036123-0.0024702i,0.0055353-0.0014791i,0.0016732-1.4149e-05i,0.0067743-0.0087122i,0.0079624+0.0036417i,0.0025159+0.0017085i,-0.0089874-0.0013382i,0.0061938+0.0061291i,0.0038983+0.0058537i,0.0086329+0.0085808i,-0.00050061+0.0014507i,0.0037078-0.005483i,0.0046406-0.0079049i,0.00080517-0.00055804i,-0.028761-0.0017719i,0.00094241-0.0081923i,-0.00039503-0.00043753i,0.0051441-0.0012369i,0.0021535+5.8811e-05i,0.00095585-0.011587i,0.00071061-0.0016773i,0.0036443+0.0039878i,0.0033746-0.00013938i,0.0043487-0.003444i,-0.0081478-0.0039509i,-0.006331-8.1408e-05i,-0.0063942-0.0038726i,2.4754e-05+0.0010258i,-0.0062538-0.0041596i,-0.037349+0.010172i,-0.022159+0.011299i,-0.008598-0.010232i,-0.0099103-0.0089296i,0.0021801+0.022262i,-0.0061582+0.01372i,-0.0075397+0.0029188i
0.0034839+0.0085692i,0.029305+0.029361i,0.019089+0.0048598i,0.013361+0.0062637i,0.0082159-0.00077081i,0.017257-0.0012094i,0.0094792+0.021155i,0.012188+0.026775i,0.0036237+5.3231e-06i,0.0010879+0.00070526i,0.003104-0.00013862i,0.0054398-0.0023334i,0.0011293-0.0016031i,0.0027444+0.0004679i,0.0054568+0.0015823i,0.0075424+0.002957i,0.0099412-0.00059096i,0.0011977-0.00095585i,-0.0025059-0.0016444i,-0.00075532+0.00097429i,-0.00058358+0.00076067i,-0.0020311-0.0011467i,-0.0017181-0.00060863i,0.00052893+0.0094264i,-0.0006325+0.00054462i,-3.2087e-05+0.0006705i,-0.00025198+0.0015561i,-0.00095118+0.00063081i,0.00028403+0.00050407i,-0.0007546-0.00053435i,0.0013969-0.0005353i,-0.00058621-0.00070672i,-0.00051796+0.00029425i,-0.00037844-8.646e-06i,0.00099975-0.00072323i,-0.012287+0.00022262i,0.00067797+0.00066074i,-0.00014676-2.6871e-05i,-0.0012749+0.00011206i,0.0016804-0.0025903i,-0.00094595-0.00050782i,-1.0788e-05+0.00025701i,0.0006677+0.0015542i,0.0042-4.999e-05i,-0.00069245+0.0042742i,-0.051554-0.01229i,-0.0072784+0.031373i,-0.03111+0.03961i,-0.040868+0.062217i,-0.036384+0.029077i,-0.0099344+0.029688i,-0.01099+0.024257i,-0.049259-0.0033566i,-0.033676-0.015309i,0.00067281+0.033131i,-0.0013354+0.0058951i,0.00080345-0.0048105i,-0.0084334-0.0097211i,0.00071838+0.0051771i,0.0019562+0.015866i,-0.0025753-0.001668i,0.0032756-0.0049407i,0.0027323+0.0017459i,0.0021233-0.010532i,0.009187-0.00097845i,0.0037213+0.001206i,-0.0088455+0.0035001i,0.0096676+0.0053074i,0.0076066+0.0041879i,0.012201+0.0031238i,0.00050913+0.0020952i,0.00212-0.0062887i,-0.00079141-0.0085269i,0.0016665+0.0006752i,-0.028782+0.0090588i,-0.001159-0.0079043i,0.00030844+0.00065309i,0.0053996-0.0048388i,0.0025939-0.00041054i,-0.0039827-0.013253i,-0.00042942-0.0008565i,0.0046352+0.0021521i,0.0033399-0.00054753i,0.0038138-0.0047322i,-0.0083673+0.00040032i,-0.0058254+0.0033738i,-0.0077483-0.00045363i,-0.0011115+8.8479e-06i,-0.0062111-0.0017986i,-0.034503+0.012852i,-0.020744+0.0161i,-0.011019-0.014322i,-0.0094493-0.0072483i,0.0042127+0.021557i,-0.0060698+0.015986i,-0.0060732+0.001839i
0.0047317+0.0072356i,0.034136+0.02285i,0.020405+0.00062432i,0.013111+0.0040633i,0.007917-0.0010092i,0.016711-0.0041267i,0.011378+0.017284i,0.016038+0.023571i,0.0029962-0.0016852i,0.00093814+0.0006273i,0.0028631-0.00092269i,0.0033782-0.0037779i,0.00073463-0.0014482i,0.002386+6.6697e-05i,0.0055654+0.00016038i,0.006415+0.00085216i,0.0087115-0.0032526i,0.00062878-0.0011605i,-0.0026452-0.00072672i,-6.6371e-05+0.00094619i,0.00018381+0.00042302i,-0.001888-0.00087906i,-0.0015579-0.00022541i,0.0033484+0.008494i,-0.00041295+0.00051163i,0.00013259+0.00066628i,0.00041912+0.0013141i,-0.00057109+0.0010785i,0.00029361-3.2854e-05i,-0.0010414-0.00031341i,0.0009864-0.00090876i,-0.0010386-0.00022048i,-0.00027262+0.00065552i,-0.00045741+0.00026312i,0.00054374-0.00097212i,-0.011357+0.0037544i,0.00072079+0.00031595i,-0.00018692-0.00013086i,-0.001262+0.000889i,0.0010384-0.0030528i,-0.001051-0.00015388i,-8.8316e-05-8.4865e-05i,0.00069639+0.001394i,0.0043405-0.00092821i,-6.549e-05+0.0037046i,-0.053652-0.0010275i,-0.0049564+0.029749i,-0.021371+0.040562i,-0.024342+0.066418i,-0.029639+0.038072i,-0.0066028+0.024326i,-0.0075192+0.018247i,-0.047154+0.00076075i,-0.030711-0.0095848i,0.0090818+0.030437i,-0.0009921+0.0059854i,-0.0048703-0.0031438i,-0.011798-0.0061186i,0.0034049+0.0029474i,0.0040524+0.01407i,-0.0056412+0.00083685i,-0.00066285-0.007249i,0.0051883+0.00052817i,-0.0028206-0.0094429i,0.0069862-0.0045713i,0.0048441-0.00042828i,-0.0070984+0.0071771i,0.012617+0.00081935i,0.0090684-0.00082589i,0.011838-0.0043655i,0.0020991+0.0018687i,2.2883e-05-0.0064642i,-0.0041045-0.0052642i,0.003178-0.00042576i,-0.023554+0.021483i,-0.003209-0.0065898i,0.0017511+0.00096293i,0.002177-0.0063668i,0.0027593-0.00069125i,-0.0098511-0.010838i,3.4409e-06+0.00067564i,0.0048333-7.6317e-05i,0.0028766-0.0013939i,0.0027205-0.0054646i,-0.0065878+0.0040702i,-0.0033571+0.0054751i,-0.0074912+0.0038703i,-0.0031065+0.00023801i,-0.0058328-0.0004379i,-0.030567+0.017404i,-0.012549+0.01975i,-0.017451-0.015302i,-0.0089077-0.0081156i,0.0056154+0.020535i,-0.0030777+0.01927i,-0.005803-0.00097416i
