-0.023715-0.019142i,-0.031976-0.033812i,-0.022378-0.019893i,-0.03229-0.020803i,-0.024053+0.0039207i,-0.029055-0.018197i,-0.055512-0.047794i,-0.041067-0.04465i,-0.029687-0.023713i,0.0055087+0.0057576i,-0.0036508+0.0065786i,-0.010741+0.011208i,0.0041615+0.0068257i,-0.0036349-0.0028889i,0.0029271+0.0017755i,0.0017392+0.028334i,0.02519+0.031488i,4.7447e-05+0.00015419i,-0.0029439-0.0027021i,0.007807+0.003708i,0.0020822+0.00054387i,-9.7954e-05+0.0024647i,-0.00054662+0.00017901i,-0.031729-0.0012697i,-0.0032784-0.0051508i,4.2223e-05+0.0024458i,0.0037885-0.00062943i,0.00091568-0.00029802i,-0.00065925-0.00048564i,-0.00075965-0.0020528i,-0.0022118-0.0006778i,-0.0040331-0.0037149i,-0.0027008-0.0050396i,0.00040761-0.0012647i,0.00062658-0.0031804i,-0.0014161+0.025912i,0.0020539-0.0028839i,0.0022425-0.0040307i,0.0044821-0.0024208i,-0.0056609-0.001751i,0.00070766+0.0013876i,0.010773-0.00028134i,-0.0013246+0.0001272i,-0.003197+0.0017133i,-0.0083306-0.0020979i,-0.01862+0.020968i,-0.0084236-0.08689i,-0.0023253-0.061419i,-0.020959-0.05408i,-0.011454-0.045794i,0.053606-0.026985i,0.024079-0.067125i,0.040772-0.054804i,0.018657-0.039567i,0.025912-0.019586i,0.012146+0.011788i,0.025589-0.028792i,-0.011391-0.00091185i,-0.0014799-0.00065211i,-0.0083438-0.0016026i,-0.0047453-0.0299i,-0.021316+0.026232i,0.0070663-0.0095621i,-0.010695-0.0032586i,-0.0026649-0.0019117i,-0.00028004-0.014769i,-0.0084039+0.0052611i,0.0061122+0.01067i,-0.010506+0.029875i,0.0064534+0.0075916i,-0.0034195-0.0016463i,-0.00231-0.0013252i,-0.012859-0.0057528i,0.00064694-0.0042626i,-0.033304+0.0029268i,0.0032199-0.0089788i,-0.0073647-0.002214i,-0.0050132-0.0032472i,0.0067498+0.0019379i,-0.010339+0.0003908i,0.0024668-0.0003116i,0.0058702+0.0075898i,0.0053828+0.00088777i,-0.0073911-0.009972i,0.0027983+0.0081562i,-0.019474+0.0074715i,0.0034272+0.0058722i,-0.021096-0.0093696i,-0.027246-0.0052828i,0.0098429-0.061539i,0.018907-0.015181i,-0.050171-0.028884i,-0.021285+0.0016081i,0.019175+0.010225i,-0.027106+0.011581i,-0.012652-0.0080456i
-0.011057+0.013622i,-0.022333+0.04182i,0.0011872+0.040864i,-0.010404+0.025391i,-0.00033571+0.021334i,0.0013911+0.023553i,-0.026669+0.014581i,-0.026788+0.032725i,0.0011076+0.017093i,-0.0012678-0.0014089i,-0.00078713+0.0017788i,0.0041713+0.0036505i,0.0033635+0.0050039i,-0.0031382+0.0017695i,-0.0031125+0.003633i,0.00045059-0.0076221i,-0.0080585-0.0010097i,-0.0019305+0.00018363i,-1.0229e-05-0.0014341i,-0.0010937-0.00039538i,0.00056536-0.0033093i,0.0012712-0.0028213i,0.0011026-0.0015247i,-0.0093447-0.0090362i,-0.00019-0.00048953i,-0.0014853+0.00036702i,-0.0024261+5.4326e-05i,-0.002815-0.00015394i,-0.00093073-0.0010066i,0.0010429-0.00058804i,-0.0018071+0.00027313i,0.0014641-0.00015605i,0.0017524-0.00076897i,0.0006545+0.00052007i,-0.0005137+0.0019703i,-0.00064835-0.0073648i,-0.0013895+0.00091476i,0.0018249+3.9259e-05i,0.00052328+0.0024115i,0.0045314+0.0058053i,0.0011165-0.0015982i,-0.001939-0.0011323i,-0.0016199-0.0026134i,0.0031469+0.0052455i,-0.0081453+0.0072659i,0.019613-0.058028i,-0.074017+0.015183i,-0.027681-0.018206i,-0.06153-0.047891i,-0.053469-0.017138i,-0.087145+0.0032205i,-0.074163+0.0013319i,-0.045215-0.034941i,-0.0085447-0.045439i,-0.038192-0.026044i,-0.0060969+0.00026283i,-0.031281+0.01028i,0.0076674+0.011817i,0.0096933+0.007753i,0.00095417-0.007721i,0.010828+0.0031758i,-0.011577-0.0037199i,0.0028812+0.011943i,0.0017843+0.0063355i,0.00014908-0.0015487i,0.0055277+0.0019781i,0.0040539+0.00078196i,-0.0042313+0.018844i,-0.00044938+0.0094753i,0.00039136-0.0041529i,0.0083765-0.0057421i,0.0013138+0.0039479i,-0.008424-0.0070298i,-0.0021916-0.00095103i,0.021171-0.030981i,0.0051308+0.0083834i,0.0017914+0.00301i,-0.0019054+0.0041162i,0.0027283-0.0035791i,0.019374+0.0028854i,0.0010402-0.0017708i,-0.0028933-0.0063216i,-0.00048983-0.0017762i,0.011406+0.0048905i,0.0053551-0.00065154i,0.0034052-0.0079815i,0.0044683+0.0050519i,-0.0051284+0.0035234i,0.013664+0.0066436i,-0.043354-0.03781i,-0.012054+0.0057853i,-0.002032-0.001611i,-0.00072942+0.0020714i,-0.04031+0.011029i,-0.0069729+0.0087502i,-0.013724+0.0042692i
-0.0082315+0.014296i,-0.015266+0.042513i,0.010323+0.034656i,-0.0052141+0.026092i,0.0026219+0.018948i,0.0058938+0.02222i,-0.025618+0.019315i,-0.019394+0.034928i,0.0047086+0.011185i,-0.0016644-0.00053664i,3.8802e-05+0.0027992i,0.0048407+0.0011836i,0.0042452+0.0030915i,-0.0016002+0.0029406i,-0.0023701+0.0046744i,-0.0041488-0.0055788i,-0.0088274+0.0032483i,-0.0016776+0.00085508i,0.00065874-0.00087458i,-0.00048106+3.6698e-05i,-0.00018091-0.0030875i,0.0010217-0.0022462i,0.00082685-0.0014601i,-0.011354-0.0060479i,2.8178e-05-0.00033588i,-0.0014281+0.00077357i,-0.0018656+0.0010584i,-0.0024128+0.00064865i,-0.0013132-0.00080592i,0.00099663-0.00075411i,-0.0016212+0.0011763i,0.00098041-0.00054775i,0.00092317-0.001396i,0.00025117+0.00035809i,-0.00099836+0.0014625i,-0.00092125-0.0058888i,-0.00085908+0.001061i,0.00078657-0.00054089i,0.00053941+0.002516i,0.0055865+0.0029894i,0.00059985-0.0020916i,-0.0026853-0.00066831i,-0.003058-0.0016182i,0.0045225+0.0045125i,-0.0060242+0.0051719i,0.0010869-0.067742i,-0.064973+0.029283i,-0.034553-0.020877i,-0.07431-0.03862i,-0.053637-0.0054616i,-0.078516+0.021139i,-0.071715+0.016488i,-0.040009-0.033816i,-0.01432-0.043685i,-0.04475-0.011451i,-0.007135+0.00011521i,-0.024806+0.022578i,0.010213+0.0060378i,0.011888+0.0014256i,-0.0045748-0.011901i,0.00711+0.0024356i,-0.011367+0.0026479i,0.0076906+0.0097387i,0.0038173+0.0074951i,-0.00086497-0.0012229i,0.006447+0.002312i,0.0051772+0.0005957i,0.0043299+0.015687i,0.004021+0.0057753i,-0.0037737-0.0052957i,0.0021943-0.0068128i,0.0030736+0.0048453i,-0.010625+0.00020615i,-0.0022119+0.0016962i,0.0066752-0.031706i,0.0080152+0.007483i,0.0043111+0.0022755i,0.0015437+0.0032174i,-0.0002774-0.0016327i,0.01739-0.0059617i,-0.00038696-0.0022999i,-0.0059788-0.0040997i,-0.0029342-0.0005825i,0.010526+0.00023318i,0.004592-9.1887e-05i,0.00022318-0.0063096i,0.0064149+0.0036915i,-0.0051576+0.0052748i,0.013628+0.00159i,-0.049856-0.031424i,-0.0059421-0.0047194i,-0.0025862-0.0025335i,0.00073051+0.00064607i,-0.033967+0.022588i,-0.0047341+0.010196i,-0.011025+0.0064274i
-0.0050807+0.014112i,-0.0087708+0.043151i,0.015437+0.027141i,-0.00036874+0.024738i,0.006171+0.017766i,0.0098307+0.019751i,-0.022348+0.024355i,-0.012619+0.034796i,0.0034653+0.0065214i,-0.001769+0.00059556i,0.0016747+0.0031685i,0.0024287-0.0002751i,0.0043726+0.0017799i,-0.0006566+0.002985i,-0.001017+0.005578i,-0.007174-0.0010694i,-0.0071134+0.0074882i,-0.00084935+0.0014578i,0.0013302-0.0017197i,0.0001521-0.00032734i,-0.0011006-0.0029844i,0.00092566-0.0029046i,0.00071446-0.0016086i,-0.01316-0.0026607i,-0.00011969-0.00029663i,-0.00092601+0.0014696i,-0.00099268+0.00095443i,-0.0015245+0.0016029i,-0.0013795-0.00055917i,0.00060094-0.0014255i,-0.00085035+0.0017151i,0.00047608-0.00065491i,9.509e-05-0.0013555i,0.0003657+0.00017115i,-0.00058738+0.0025204i,-0.00030309-0.0057584i,-0.00081054+0.0008802i,0.00022682-0.00068587i,0.0021407+0.0012768i,0.0051973+0.00091704i,-3.4437e-05-0.0021261i,-0.0018498+0.0004476i,-0.0040214-8.4949e-05i,0.0055569+0.0028076i,-0.0057071+0.0037257i,-0.021078-0.06778i,-0.051383+0.038332i,-0.043029-0.018196i,-0.082241-0.023655i,-0.048662+0.0031414i,-0.063542+0.032766i,-0.05873+0.029311i,-0.044086-0.035265i,-0.019518-0.042619i,-0.044289+0.0036064i,-0.0075301+0.0015786i,-0.013077+0.028857i,0.010659+0.0015195i,0.0085905-0.004862i,-0.014887-0.010552i,0.0069039+0.0007459i,-0.0081255+0.0065446i,0.010212+0.0045576i,0.0061996+0.0065621i,-0.002993+0.00040966i,0.0069174-0.0015546i,0.0066209-0.0020143i,0.0077029+0.0098192i,0.0040184+0.0020023i,-0.0083499-0.0020194i,-0.00020411-0.0047818i,0.0059083+0.0037089i,-0.0061725+0.0089386i,0.00025593+0.0031336i,-0.0036056-0.027832i,0.011628+0.0035817i,0.0042537+0.00012271i,0.0020102+0.0014639i,0.00064503+0.00033573i,0.01132-0.011028i,-0.0025117+0.00051408i,-0.0071287-0.00062959i,-0.0034444+0.0029113i,0.0073987-0.0026151i,0.0074814-0.0016248i,5.2107e-05-0.0058234i,0.0092042+0.0007369i,-0.00185+0.0063081i,0.011921-0.002689i,-0.054581-0.020632i,-0.011784-0.014058i,-0.001602-0.0037438i,0.0018025-0.0012882i,-0.024068+0.028492i,-0.0027122+0.0056539i,-0.0073171+0.0029255i
-0.0023719+0.012812i,-0.0014898+0.043403i,0.017522+0.019838i,0.004267+0.023355i,0.01032+0.014411i,0.013254+0.016457i,-0.017139+0.028281i,-0.0073264+0.033114i,0.0020486+0.0051811i,-0.0011368+0.0016498i,0.0029151+0.0020224i,0.0011979+0.0013849i,0.0042151+0.00067332i,-0.00059621+0.0035375i,0.00051721+0.0057456i,-0.0066246+0.0045011i,-0.00278+0.010372i,2.1444e-05+0.0012367i,0.00053134-0.0021675i,-5.3389e-05-0.00097897i,-0.0018473-0.002319i,0.00025466-0.0030494i,0.00044325-0.0021565i,-0.013111+0.0020586i,-6.1551e-05-0.00030274i,0.00013819+0.0011386i,-0.00070726+0.00041094i,-0.00040436+0.001549i,-0.0015998+0.00011445i,-0.00021957-0.0014243i,-3.2201e-05+0.0017188i,9.9627e-05-0.00062068i,-0.00065374-0.00107i,0.00035453+8.5063e-05i,0.00084526+0.0022626i,-0.00092514-0.0074489i,-0.0004069+0.0012664i,-0.00040501-0.00052055i,0.0016016-0.00075512i,0.004632-0.00056044i,-0.00059321-0.0020608i,-0.0010793+0.00029582i,-0.0039756+0.0017611i,0.0048584+0.00035816i,-0.0061443+0.0035997i,-0.040231-0.056311i,-0.037802+0.040767i,-0.050236-0.010912i,-0.085786-0.0079075i,-0.042644+0.0081414i,-0.050087+0.036797i,-0.045044+0.032043i,-0.049024-0.029455i,-0.024515-0.038818i,-0.03939+0.015119i,-0.0076618+0.0032559i,-0.0011081+0.02955i,0.0095859-0.0032374i,0.0031192-0.0067377i,-0.021444-0.00099652i,0.0043257+3.7823e-05i,-0.0044916+0.0079381i,0.009232-0.0011686i,0.0084402+0.0050989i,-0.0028983+0.003105i,0.0036448-0.0026914i,0.0057624-0.006292i,0.0074052+0.0037943i,0.001586+0.00024929i,-0.0087413+0.0018499i,-0.0016087-0.0035222i,0.0070552+0.0012525i,0.0028501+0.009866i,0.0018664+0.0018713i,-0.009547-0.021996i,0.011619-0.0007292i,0.0038107-0.0012409i,0.0027773+0.00186i,0.00096365-0.00021965i,0.0058673-0.011204i,9.7289e-05+0.0028435i,-0.0065683+0.0025989i,-0.00068584+0.0046826i,0.0050614-0.0024034i,0.0070688-0.0059832i,-0.0022111-0.0051827i,0.0083074-0.0047534i,-9.4176e-05+0.0049397i,0.010028-0.0067344i,-0.052993-0.0079909i,-0.022523-0.015767i,-0.0025572-0.0074516i,0.0026203-0.0050823i,-0.016026+0.029442i,-0.0065313+0.0038629i,-0.0093954+0.00049054i
-0.0008705+0.011456i,0.0052778+0.041769i,0.017011+0.014256i,0.0086914+0.020636i,0.012776+0.0098004i,0.015317+0.012586i,-0.010818+0.030046i,-0.0032021+0.031563i,0.0021325+0.0050753i,0.0001043+0.0020845i,0.0031205+0.0010416i,0.0019798+0.0024508i,0.0039142-0.00035006i,0.00095319+0.0044919i,0.002086+0.0055234i,-0.0033786+0.007808i,0.0017376+0.010715i,0.00045239+0.0010092i,0.00034856-0.002084i,-0.00064006-0.0011605i,-0.0025506-0.0016562i,-0.00047971-0.0028964i,-0.00043251-0.0023704i,-0.010461+0.0055399i,-0.00037223-0.00061586i,0.00015097+0.00027862i,-0.00086449+0.00026772i,0.00016838+0.00099117i,-0.0013032+0.0008604i,-0.00032937-0.00087889i,0.00046+0.0015211i,6.182e-05-0.00078095i,-0.0011023-0.00051529i,0.00027426+1.9059e-05i,0.0010545+0.0014309i,-0.0032495-0.0083829i,-5.3182e-05+0.0011851i,-0.00050816+0.00022492i,0.00029994-0.00097963i,0.0037892-0.0010743i,-0.0011346-0.0018614i,-0.00094661+0.00036073i,-0.0026207+0.0032807i,0.0034063+0.00067065i,-0.005933+0.0045118i,-0.047394-0.038978i,-0.027782+0.038815i,-0.055126-0.00076915i,-0.086989+0.0088906i,-0.038499+0.009121i,-0.038532+0.037866i,-0.035241+0.031847i,-0.050344-0.023662i,-0.027197-0.035326i,-0.032104+0.025235i,-0.0068653+0.0049637i,0.012195+0.025003i,0.0071125-0.0060114i,-0.0017021-0.0055986i,-0.02095+0.0083953i,0.0034585+0.0005827i,-0.00067346+0.0094765i,0.0041902-0.0035064i,0.01021+0.0024862i,-0.0015672+0.0050145i,0.0015876-0.0016227i,0.0028278-0.0093166i,0.0038362+0.0023465i,-0.00053658+0.0013871i,-0.0082394+0.0071741i,-0.0027201-0.0014565i,0.006847-0.0014992i,0.0070574+0.005158i,0.0022699+0.0008518i,-0.012371-0.019314i,0.0099878-0.0050617i,0.0027704-0.0023498i,0.0052278+0.00053844i,0.001111-0.00026295i,0.0028617-0.009824i,0.0022397+0.0017565i,-0.0041714+0.0056356i,0.0020499+0.004148i,0.0047471-0.0021403i,0.0036321-0.010627i,-0.0028045-0.0035361i,0.0040408-0.0078861i,-2.469e-05+0.0037814i,0.0053085-0.010508i,-0.047063-0.0014588i,-0.033341-0.0069338i,-0.0056663-0.0093708i,0.00077395-0.0097853i,-0.0091513+0.02966i,-0.010009+0.0065112i,-0.01091+0.0019152i
0.00041582+0.010533i,0.011371+0.039648i,0.016171+0.011376i,0.011924+0.016655i,0.01287+0.0050584i,0.016654+0.0091225i,-0.0043379+0.029524i,0.00035708+0.030363i,0.0026578+0.0037044i,0.00077405+0.0014208i,0.0025365+0.00024653i,0.0030253+0.0026041i,0.0033413-0.0011831i,0.0026745+0.0037616i,0.0033315+0.0047536i,0.00032596+0.0088909i,0.0061005+0.0090345i,0.0008229+0.00075625i,-0.00025161-0.0023994i,-0.0012274-0.0010063i,-0.0026215-0.00052261i,-0.00094852-0.0026632i,-0.0010614-0.0019703i,-0.0082217+0.0067422i,-0.0008667-0.00032059i,-0.00023569+5.3399e-05i,-0.00094249+0.0004477i,0.00037607+0.00034751i,-0.00058648+0.0011798i,-0.00034195-0.00076369i,0.0010314+0.001338i,-0.00039455-0.00092605i,-0.0010707+9.2978e-05i,4.7506e-05-0.00015146i,0.0012107+0.0014877i,-0.0061317-0.0081476i,2.2534e-05+0.00083806i,-3.092e-05+0.00042764i,-0.00029266-0.00069188i,0.0032548-0.0014928i,-0.0015323-0.0011228i,-0.00082376+0.00045486i,-0.00078405+0.0037594i,0.0035015+0.0012608i,-0.0049051+0.0057347i,-0.045878-0.026916i,-0.020638+0.036726i,-0.055611+0.012637i,-0.081807+0.029053i,-0.039237+0.0098875i,-0.029596+0.036129i,-0.026831+0.030519i,-0.05007-0.017702i,-0.030976-0.032491i,-0.022822+0.029974i,-0.0063608+0.0067685i,0.01856+0.010693i,0.0047044-0.0084956i,-0.0048102-0.0020341i,-0.015662+0.016305i,0.003799-0.0003636i,0.0044711+0.0073293i,0.0010215-0.0014021i,0.011476-0.0019749i,0.00055256+0.0066728i,0.00095051-0.00059456i,-0.003088-0.01091i,0.0022548+0.0042597i,-0.00037909+0.0035908i,-0.002579+0.012064i,-0.0016605+0.00059597i,0.0056208-0.0029781i,0.0078442+0.001129i,0.0030399-0.00052752i,-0.018434-0.018019i,0.0063932-0.0077092i,0.00098865-0.0028459i,0.0043162-0.001869i,0.00092275+0.00042546i,0.0019786-0.0079595i,0.0026933+0.00015132i,-0.00064186+0.0065897i,0.0034136+0.0018299i,0.0037287-0.0033806i,-0.0029641-0.010926i,-0.0031852-0.0033518i,8.4912e-05-0.0075464i,0.0006849+0.0028654i,-0.00099875-0.010615i,-0.04402+0.0027196i,-0.030716+0.0080121i,-0.0089929-0.0094266i,-0.0038261-0.011774i,-0.0040163+0.028429i,-0.0090013+0.011794i,-0.0083782+0.0030997i
0.0015966+0.0095154i,0.017287+0.037085i,0.016508+0.0091628i,0.013534+0.012288i,0.011509+0.0017863i,0.01762+0.0055839i,0.0011209+0.02777i,0.0037858+0.029393i,0.0029626+0.0028236i,0.00083837+0.0010924i,0.0021136+0.00046634i,0.004584+0.0023322i,0.0024739-0.0016926i,0.0035545+0.0020674i,0.0041538+0.003779i,0.00361+0.0083913i,0.0089514+0.0057352i,0.0011499+0.00050837i,-0.00094049-0.0024566i,-0.0016096-0.00039117i,-0.0021634+0.00031206i,-0.0015918-0.0024849i,-0.0014275-0.0015115i,-0.0067348+0.0086911i,-0.0009964+4.2775e-05i,-0.00054235+0.00034628i,-0.00098989+0.00074884i,-0.00010447-0.00013137i,-0.00020052+0.00090762i,-0.00053301-0.00078617i,0.0015588+0.00080878i,-0.00047848-0.00035922i,-0.00050689+0.00025877i,-9.7974e-05-6.6726e-05i,0.0018087+0.00062112i,-0.0090191-0.006925i,0.00023009+0.00084928i,0.00012638-2.7845e-05i,-0.0006652-0.00042129i,0.0027653-0.0020049i,-0.0013865-0.00039493i,-0.00046586+0.00053843i,0.00051603+0.0029061i,0.0039066+0.00064578i,-0.0030103+0.0060852i,-0.04401-0.022261i,-0.015392+0.035137i,-0.050005+0.024827i,-0.070187+0.045271i,-0.039665+0.01553i,-0.022999+0.034973i,-0.02127+0.02765i,-0.049397-0.013626i,-0.033721-0.027417i,-0.015187+0.032477i,-0.0036491+0.0074077i,0.012983-0.0018089i,0.00074165-0.01067i,-0.0050055+0.0011154i,-0.0088651+0.019035i,0.0024127-0.0018683i,0.0062671+0.0028129i,0.0017811+1.3446e-05i,0.009566-0.0055214i,0.0049366+0.0066262i,0.0010702+0.0011611i,-0.0084954-0.0051485i,0.0038024+0.0059123i,0.0011628+0.005087i,0.0035987+0.011719i,-0.00079036+0.0010638i,0.0045286-0.0044065i,0.0076721-0.0040845i,0.0016235-0.0017222i,-0.02524-0.011455i,0.0032074-0.0084957i,-0.00026067-0.0017188i,0.0043943-0.0011817i,0.0013879+0.0004621i,0.0025011-0.0093102i,0.0021577-0.0013037i,0.0019781+0.005186i,0.0031651+0.00082192i,0.0031958-0.0027418i,-0.0068466-0.0072193i,-0.0048726-0.0025832i,-0.003218-0.0062274i,0.00067945+0.0016752i,-0.0049076-0.007628i,-0.04036+0.0075934i,-0.0247+0.0099776i,-0.0089679-0.0087573i,-0.0075441-0.011199i,0.0013626+0.025567i,-0.0068193+0.013315i,-0.0080891+0.0024956i
0.0025277+0.0083711i,0.023012+0.033899i,0.017426+0.0072155i,0.013866+0.0087503i,0.0096683-0.00023213i,0.0178+0.0020809i,0.0058087+0.024911i,0.0075272+0.028287i,0.0034815+0.0014438i,0.00094174+0.00092956i,0.0025367+0.00067206i,0.0059145+0.00043023i,0.0016421-0.0017384i,0.003012+0.00097399i,0.0048324+0.0029096i,0.0063307+0.0060028i,0.01009+0.0024863i,0.0015084-0.00011004i,-0.0017087-0.0021959i,-0.001494+0.00055307i,-0.0014777+0.0008379i,-0.0021222-0.0016296i,-0.0015598-0.0010842i,-0.0029931+0.010173i,-0.00088741+0.00041068i,-0.0002958+0.00072404i,-0.00083755+0.0011735i,-0.00084183+2.5547e-05i,5.0863e-06+0.00081111i,-0.00070504-0.00057022i,0.0016283+6.438e-05i,-0.00012824-0.00046442i,-0.00053954+0.00019689i,-0.00014975+2.3389e-05i,0.0015-0.0002269i,-0.011564-0.0040022i,0.00036989+0.0007176i,-0.0001552-8.0269e-05i,-0.0010525-0.00015179i,0.0022526-0.0023854i,-0.0010167-0.00019287i,-0.00031591+0.00040065i,0.00084758+0.0019655i,0.0040204+0.0001077i,-0.0013963+0.0051654i,-0.046559-0.018969i,-0.011095+0.03347i,-0.042339+0.034329i,-0.055185+0.055428i,-0.038732+0.021383i,-0.016429+0.032916i,-0.017249+0.026025i,-0.049965-0.010154i,-0.034855-0.021484i,-0.0069167+0.033963i,-0.0018211+0.0068301i,0.00557-0.003999i,-0.0036193-0.010825i,-0.003356+0.0045035i,-0.0025371+0.018207i,3.3221e-05-0.0024246i,0.0053382-0.0015168i,0.0015361+0.00020701i,0.0067379-0.0086664i,0.008185+0.0037224i,0.0023521+0.0017679i,-0.0089-0.00091893i,0.0061919+0.0063391i,0.0036821+0.0057196i,0.008971+0.0089171i,-0.00025356+0.001598i,0.0038174-0.0054192i,0.0045853-0.0076967i,0.00058755-0.00058748i,-0.028922-0.0017564i,0.00093424-0.0084237i,-0.00036875-0.00055725i,0.0048483-0.0013652i,0.001841+8.9401e-05i,0.00077394-0.01173i,0.00059775-0.0016383i,0.0037827+0.0040328i,0.0034341-0.00022384i,0.0042267-0.003417i,-0.0084854-0.0038942i,-0.0064385+8.9976e-05i,-0.0062823-0.0041085i,0.00033674+0.00071408i,-0.0063418-0.0045823i,-0.036523+0.010722i,-0.022595+0.011536i,-0.008899-0.01036i,-0.010521-0.0099329i,0.0025938+0.022906i,-0.0058444+0.013455i,-0.007322+0.0027127i
0.0034356+0.0074635i,0.029188+0.029328i,0.019307+0.0046414i,0.01361+0.0060002i,0.0085537-0.00076586i,0.017472-0.0011919i,0.0091211+0.021075i,0.011867+0.026443i,0.0034416-0.00039188i,0.0010221+0.00065268i,0.0029744-6.0178e-05i,0.005328-0.0023075i,0.0011073-0.0015557i,0.0028642+0.00052387i,0.0055185+0.001706i,0.0069619+0.0030238i,0.0097879-0.00097378i,0.0010215-0.00090191i,-0.002479-0.0015311i,-0.00076528+0.0010122i,-0.00062067+0.00079528i,-0.0019851-0.0010899i,-0.0016943-0.00065883i,0.00060876+0.0095749i,-0.00064885+0.00049867i,-3.0423e-05+0.00070012i,-0.00023041+0.0016098i,-0.00094714+0.00069595i,0.00034964+0.00042705i,-0.00079226-0.00040102i,0.001341-0.00051185i,-0.00053371-0.00057778i,-0.00059149+0.00040478i,-0.00026309+8.8389e-05i,0.00098238-0.00058289i,-0.012284+0.0002363i,0.0003584+0.00056382i,-0.00011481+5.128e-05i,-0.0012394+0.00033318i,0.0016025-0.0026793i,-0.0010074-0.00018779i,-0.00020935+0.0002626i,0.00065978+0.0014319i,0.0040425-0.00059176i,-0.00079533+0.0042205i,-0.051623-0.012044i,-0.0072449+0.03163i,-0.031225+0.040123i,-0.040543+0.061983i,-0.036415+0.029506i,-0.010384+0.02931i,-0.011305+0.023883i,-0.050396-0.0050704i,-0.033783-0.015409i,0.00092036+0.03354i,-0.0012532+0.0059567i,0.00079803-0.0047511i,-0.0082113-0.0096902i,0.00060949+0.0053265i,0.00083962+0.016096i,-0.0028402-0.0014558i,0.0030258-0.0046733i,0.0027938+0.0019884i,0.0021344-0.010464i,0.0092595-0.0010569i,0.0037518+0.0012665i,-0.008494+0.0036678i,0.0098216+0.005413i,0.0073833+0.0041746i,0.012443+0.0034476i,0.00072519+0.0021302i,0.0021478-0.0062533i,-0.00078421-0.0085225i,0.0014094+0.00082518i,-0.028838+0.0091857i,-0.0012951-0.0082151i,0.00032064+0.00063108i,0.0052204-0.0047976i,0.0023857-0.00023821i,-0.0042408-0.01318i,-0.00044619-0.0011322i,0.0047071+0.0020801i,0.0032106-0.00078819i,0.0037454-0.0049018i,-0.0085032+0.00070948i,-0.0058206+0.0035096i,-0.0078417-0.00078559i,-0.00099713-0.00043427i,-0.0065411-0.0022069i,-0.033585+0.013103i,-0.020494+0.016553i,-0.01132-0.013994i,-0.01098-0.0077016i,0.0049734+0.021869i,-0.0058704+0.015722i,-0.0058693+0.0015142i
0.0044028+0.0062445i,0.034025+0.022941i,0.020511+0.00026501i,0.013329+0.0037828i,0.0082557-0.0011269i,0.01685-0.0041333i,0.010924+0.017431i,0.015538+0.02343i,0.0024098-0.0019818i,0.00088092+0.00059223i,0.0027258-0.00081877i,0.0032822-0.0037064i,0.00072444-0.0014202i,0.0025451+1.7421e-06i,0.0056495+0.00020713i,0.006029+0.001223i,0.0083363-0.003669i,0.0004974-0.0010582i,-0.0026376-0.00062992i,-4.2836e-05+0.001038i,0.00015411+0.00046021i,-0.0019234-0.00091673i,-0.0016018-0.00029794i,0.0033004+0.0085837i,-0.00050351+0.00042617i,0.00013607+0.00070322i,0.00049169+0.0014348i,-0.00058132+0.0011249i,0.00025636-0.00010749i,-0.00097922-0.00015759i,0.0009613-0.00089251i,-0.00095726-0.00016313i,-0.00028814+0.00071825i,-0.00034256+0.0002896i,0.00062676-0.00088384i,-0.011364+0.0037954i,0.00044045+0.00038224i,-0.00014137-8.069e-05i,-0.0011262+0.0010348i,0.00085729-0.0031517i,-0.00097575+0.00012281i,-0.00026932-6.1039e-05i,0.00049365+0.0013566i,0.0040686-0.0013553i,-0.00032277+0.0037284i,-0.05357-0.00074922i,-0.0048246+0.029978i,-0.021227+0.041227i,-0.024153+0.06615i,-0.029676+0.038582i,-0.0071174+0.024071i,-0.0079079+0.018056i,-0.048928+6.4843e-05i,-0.030728-0.0098113i,0.0093084+0.03056i,-0.00095212+0.0060772i,-0.0049437-0.0033671i,-0.011831-0.0062198i,0.0033806+0.0031921i,0.0033593+0.015122i,-0.0057611+0.0011278i,-0.00064024-0.0069263i,0.0053295+0.00064576i,-0.0028754-0.0094034i,0.0071045-0.0046791i,0.0049105-0.00048538i,-0.0069314+0.0072127i,0.012865+0.00080677i,0.0089807-0.00071703i,0.012092-0.0041802i,0.0022537+0.0018813i,0.00021317-0.0063808i,-0.004211-0.005224i,0.003092-9.5827e-05i,-0.023652+0.02152i,-0.0034405-0.0068979i,0.0018166+0.00089865i,0.0020073-0.0061905i,0.0026448-0.0005812i,-0.0099415-0.010721i,-0.00026215+0.00044406i,0.004879-1.2843e-05i,0.002711-0.0016153i,0.0023999-0.005515i,-0.0065217+0.0042697i,-0.0033009+0.0056446i,-0.0075778+0.0036448i,-0.0031971-0.00026346i,-0.0061371-0.00068641i,-0.029675+0.017275i,-0.012029+0.019776i,-0.017427-0.014855i,-0.010551-0.0072287i,0.0060887+0.020351i,-0.003102+0.018982i,-0.0055451-0.001335i
