-0.030493-0.040393i,-0.021-0.020583i,-0.012736-0.036433i,-0.03032-0.02078i,-0.022105-0.0007384i,-0.01437-0.0066757i,-0.055843-0.061385i,-0.047399-0.018722i,-0.038243-0.01236i,0.011383+0.011385i,-0.0079494+0.0049097i,-0.020401+0.019005i,0.0028049+0.01169i,-0.0058434-0.0029903i,0.00011285+0.0015096i,-0.0025489+0.031633i,0.026489+0.025833i,0.0027724-0.0022668i,-0.0024137-0.0070426i,0.0084494+0.0028178i,0.0025421+0.0011291i,-0.00039215+0.0036233i,-0.00032803+0.00028494i,-0.034943-0.012837i,-0.00056674-0.0083377i,0.0011441+0.0021899i,0.0066303+0.00076824i,0.0021639+0.0011586i,0.0010902-0.00039263i,-0.00062408-0.0027408i,0.0014823-0.0025074i,-0.0022173-0.0065066i,-0.00084455-0.0048207i,0.0030378-0.00064194i,0.004435-0.0030044i,0.0010909+0.031358i,0.0041778-0.003852i,0.0032226-0.0016021i,0.0082523-0.0015343i,-0.0064002-0.0032039i,-0.00020796+0.00089583i,0.0089553+0.00028173i,0.0044528-0.0025152i,-0.0017871+0.0093728i,-0.017426-0.0076021i,-0.019077+0.016431i,-0.0010676-0.061649i,-0.0040546-0.027236i,-0.0257-0.032892i,-0.010549-0.026956i,0.057411-0.018154i,0.017952-0.042103i,0.024469-0.046881i,0.0056359-0.053997i,0.027146-0.020654i,0.0082924+0.0061519i,0.026053-0.033653i,-0.0078563-0.0074327i,0.0037313-0.0046452i,-0.0044322-0.007469i,-0.00090729-0.033658i,-0.018464+0.028995i,0.0086045-0.01157i,-0.0094149-0.0041034i,-0.0042741-0.0016817i,0.00091803-0.012988i,-0.011194+0.0038252i,0.0021829+0.010361i,-0.0054656+0.026687i,0.0049074+0.0030546i,-0.0058901-0.0021634i,-0.0019239-0.0021073i,-0.012088-0.0076647i,-0.00044183-0.004172i,-0.035154+0.0055391i,0.0013073-0.010725i,-0.0086657+4.7297e-05i,-0.0064306-0.0021808i,0.0051752+0.0012971i,-0.0078882-0.00046168i,0.0022055+0.00040349i,0.0043933+0.0077003i,0.0041007+0.00053879i,-0.007368-0.012214i,0.0023041+0.0096762i,-0.014884+0.0038623i,0.0070347+0.00023159i,-0.022217-0.0010832i,-0.018226+0.0065421i,-0.0072384-0.065875i,0.0085331-0.012533i,-0.049442-0.024085i,-0.021286+2.0228e-05i,0.017156+0.012093i,-0.023609+0.014561i,-0.019927-0.006145i
-0.040173+0.030932i,-0.017494+0.019241i,-0.022535+0.042351i,-0.027578+0.013505i,-0.0051047+0.021832i,-0.0011323+0.0079773i,-0.032248+0.016519i,-0.0044801+0.02988i,0.0077175+0.01783i,-0.0063423-0.0061358i,0.0025939+0.0038189i,0.0079409-0.00023569i,0.0061611+0.00050497i,-0.00046432+0.0034526i,0.00079272+0.0022137i,0.0070738-0.0048423i,-0.0067245-0.00089072i,-0.0033287+0.00011331i,0.0043338-0.00083815i,-5.4958e-05-0.00094004i,0.0033042-0.0052335i,0.0016774-0.0029079i,0.0015082-0.0024806i,-0.0096146-0.010875i,-0.0016555+0.0028779i,-0.0015566+0.00032092i,-0.0044092-0.0018357i,-0.0028163-0.0002398i,-0.0012057-0.0017785i,8.7046e-05-0.00050878i,-0.00037519+0.0045377i,0.00072442+0.0010278i,0.0021632+0.00091488i,-0.00046451+0.0005972i,-0.0027151+0.0030329i,-0.0015084-0.0074394i,-0.0025611+0.00092542i,0.00092748-0.00050515i,-0.0012178+0.0031671i,0.004545+0.0035399i,-0.00042913-0.0015923i,-0.00070313-0.0029002i,-0.0035694+4.0842e-05i,0.0040524+0.00059892i,-0.016235+0.024872i,0.0080074-0.039057i,-0.055128+0.0034966i,0.0091354-0.031689i,-0.029646-0.049758i,-0.029026-0.020506i,-0.063869+0.019265i,-0.038478-0.00030349i,-0.033273-0.0079534i,-0.026-0.022353i,-0.038183-0.023256i,-0.0054536+0.0029458i,-0.028107+0.0092158i,0.006444+0.018922i,0.0024085+0.0084235i,-0.0022632-0.0057557i,0.002132+0.0014167i,-0.011754-0.0035376i,0.0054017+0.011196i,-0.00081571+0.0058194i,-0.0019003-0.0018723i,0.0011031+0.0019948i,0.0037129-0.0012884i,-0.0035015+0.018625i,0.0029099+0.015514i,0.003477-0.00034279i,0.010161-0.0063954i,0.0044336+0.0033462i,-0.0083757-0.0081033i,-0.00076249-0.0032136i,0.022085-0.038906i,0.0073201+0.010887i,0.0053423+0.0025228i,-0.0030929+0.0029149i,0.0042211-0.0056248i,0.02081+0.0069779i,0.0031094+0.0030408i,0.00058132-0.0064181i,0.001212-0.0029748i,0.018201+0.009862i,0.0044397+0.0017267i,0.0029166-0.0051325i,0.0043788+0.0089477i,-0.00057553+0.0011i,0.0096102+0.0024196i,-0.046349-0.013948i,-0.0050056+0.013627i,-0.0015571-0.0045879i,-0.0071669+0.0056787i,-0.0373+0.011973i,-0.0058942+0.0074009i,-0.01108+0.013795i
-0.034894+0.036265i,-0.014016+0.019108i,-0.011592+0.038194i,-0.02469+0.016393i,-0.0022063+0.020005i,0.00025236+0.0079435i,-0.030998+0.021947i,0.0014781+0.02915i,0.009705+0.012674i,-0.0073117-0.0030845i,0.0038841+0.004184i,0.0071409-0.0029526i,0.005339-0.0017617i,0.0016766+0.0040131i,0.001109+0.0022578i,0.002524-0.0044897i,-0.0077768+0.0033115i,-0.0027657+0.0011672i,0.0046583-0.0018542i,0.00023753-0.00096203i,0.0015703-0.0055591i,0.0013834-0.0026454i,0.00085513-0.0026186i,-0.011699-0.0073061i,-3.5544e-05+0.0026548i,-0.0015483+0.00074936i,-0.0039723+0.00024708i,-0.0022281+0.00056108i,-0.002227-0.0012457i,0.00022454-0.00040007i,0.0014056+0.0033049i,0.00028045+0.0011271i,0.0015085-0.00044539i,-0.00073704+0.00076921i,-0.0024495+0.0034245i,-0.0013791-0.0061677i,-0.0021735+0.0019204i,-0.00011837-0.0011362i,-0.00057829+0.003342i,0.0042521+0.0010738i,-0.00075682-0.0013623i,-0.002313-0.0024331i,-0.0034781+0.0010574i,0.0046082-0.00037395i,-0.011783+0.024135i,-0.0061188-0.044515i,-0.048432+0.013942i,-9.3798e-05-0.039999i,-0.044548-0.043962i,-0.029624-0.013917i,-0.05247+0.031447i,-0.035589+0.0082812i,-0.024533-0.0098607i,-0.028192-0.018771i,-0.043576-0.0089168i,-0.0046106+0.0027617i,-0.023818+0.021147i,0.011788+0.013533i,0.005108+0.0050493i,-0.0076666-0.0084123i,-0.0012262+0.0036652i,-0.011495+0.001793i,0.0094385+0.008289i,0.0009973+0.0079586i,-0.0021948-0.00035185i,0.0020501+0.0034703i,0.0038242-0.0016006i,0.0052117+0.015255i,0.0081894+0.0090955i,-0.0010172-0.0031416i,0.0035567-0.0079567i,0.0047659+0.002893i,-0.011682+0.00091953i,-0.0024954-0.0010296i,0.0045431-0.038961i,0.011834+0.0086804i,0.0069736+7.6259e-05i,0.00027676+0.0027403i,-5.1451e-05-0.0037504i,0.021084-0.0025706i,0.003365+0.0013795i,-0.0035341-0.0054667i,-0.0024563-0.0015976i,0.015834+0.0061955i,0.0049361+0.0021457i,0.00065431-0.0035546i,0.0068757+0.0067642i,-0.00034019+0.0026011i,0.009436-0.00070112i,-0.049465-0.0090605i,-0.00040339-0.0027219i,-0.0010934-0.0045462i,-0.0048537+0.0051528i,-0.031253+0.022891i,-0.0034522+0.0084811i,-0.0035168+0.012748i
-0.028325+0.040953i,-0.011708+0.019145i,-0.0062709+0.032115i,-0.021925+0.019188i,0.0013073+0.018949i,0.0018546+0.0074347i,-0.027151+0.027828i,0.0069357+0.026865i,0.009107+0.0089872i,-0.0073638-0.00034722i,0.0058786+0.0037497i,0.0028542-0.0041357i,0.0039116-0.002996i,0.002475+0.003532i,0.0016558+0.0020194i,-0.0010596-0.0019831i,-0.0059879+0.0074598i,-0.0015378+0.0016419i,0.0044176-0.0041416i,0.00059413-0.0016331i,-0.00023727-0.0054825i,0.0014515-0.0031169i,0.00030982-0.0026668i,-0.013282-0.0044056i,0.00083775+0.0021348i,-0.0010125+0.0014377i,-0.0029387+0.00081737i,-0.001019+0.0012103i,-0.002094-0.0010721i,-1.9277e-05-0.00082249i,0.0017384+0.0026184i,0.00060301+0.0014i,0.0007939-0.00066932i,-0.00050051+0.00083625i,-0.00076949+0.0044637i,-0.00074358-0.0059785i,-0.0020328+0.0023828i,-0.0010445-0.0010288i,0.0015049+0.0024062i,0.0032759-0.00024463i,-0.00087404-0.0010801i,-0.0019398-0.0008431i,-0.0031009+0.0019775i,0.0044579-0.0024275i,-0.0087176+0.02384i,-0.022708-0.042436i,-0.038426+0.020352i,-0.012255-0.042508i,-0.052945-0.0343i,-0.026261-0.0082486i,-0.03642+0.038403i,-0.024494+0.01433i,-0.026202-0.013626i,-0.02953-0.015165i,-0.04084+0.0059649i,-0.0039264+0.002924i,-0.012639+0.028856i,0.014846+0.0080652i,0.0032083-7.8848e-05i,-0.017391-0.0064798i,-0.00044956+0.0050505i,-0.0071832+0.0064512i,0.011285+0.0028926i,0.003854+0.0080928i,-0.0037693+0.0015943i,0.0023681+0.0013744i,0.0039149-0.0029434i,0.0084532+0.0080474i,0.0085117+0.0036215i,-0.0050715+0.00013787i,0.0004812-0.0062595i,0.0065052+0.0016844i,-0.0050988+0.0096355i,-0.00070936+0.0010997i,-0.0052698-0.029699i,0.015855+0.0022648i,0.0058011-0.0020739i,0.001087+0.001493i,-5.2146e-05-0.0016172i,0.016488-0.0097765i,0.0016715+0.0031092i,-0.005592-0.003299i,-0.0029727+0.0024855i,0.01119-0.0012746i,0.0090369-0.00040358i,0.00082266-0.0034737i,0.010231+0.0029274i,0.0032557+0.0022619i,0.0085083-0.0034581i,-0.052407+0.00076693i,-0.0094936-0.013175i,0.0011621-0.0069631i,-0.0032118+0.0036017i,-0.019577+0.02874i,-0.0036894+0.0033019i,-0.0022533+0.0094672i
-0.021068+0.043747i,-0.0088052+0.020162i,-0.0047765+0.02693i,-0.017845+0.022135i,0.0044666+0.015918i,0.0034563+0.0059258i,-0.020838+0.03281i,0.011651+0.022849i,0.0086564+0.0075398i,-0.0063975+0.0022401i,0.0074767+0.0022472i,0.00045083-0.001389i,0.0022952-0.0033533i,0.0024253+0.0036977i,0.0021841+0.0016219i,-0.0016845+0.0021806i,-0.0019131+0.010363i,-0.00069663+0.0014327i,0.0028253-0.0052001i,-0.00025178-0.0022624i,-0.0016503-0.0045468i,0.0010961-0.0034332i,-0.00030583-0.0028892i,-0.0143-3.2427e-05i,0.0015127+0.0012841i,8.0087e-05+0.0009614i,-0.0025449+0.00044469i,0.00022573+0.00060322i,-0.0022504-0.0001507i,-0.00046755-0.00058208i,0.0023821+0.0019255i,0.0010985+0.0015602i,0.00011663-0.00066341i,-0.00028684+0.00088811i,0.0012638+0.0036157i,-0.0014424-0.0079784i,-0.00098938+0.0031507i,-0.0015609-0.00029708i,0.0013918+4.7752e-05i,0.0025726-0.00064826i,-0.0009794-0.00082831i,-0.0012933-0.00089455i,-0.0023113+0.0029969i,0.0020728-0.0047369i,-0.0057451+0.024434i,-0.035604-0.030287i,-0.028938+0.020943i,-0.024342-0.039801i,-0.060719-0.023799i,-0.021378-0.0064262i,-0.02216+0.03736i,-0.013868+0.01055i,-0.027433-0.011003i,-0.030191-0.010117i,-0.03515+0.014918i,-0.003581+0.0032089i,-0.00027689+0.029416i,0.012964+0.0042152i,-0.0013494-0.00081905i,-0.022851+0.0046519i,-0.00038177+0.0068757i,-0.0025891+0.006472i,0.0087738-0.0032041i,0.0067257+0.0070907i,-0.0025623+0.0045231i,6.3449e-05+0.0018659i,0.0029311-0.0057176i,0.0063225+0.0019307i,0.0058552+0.0006887i,-0.0035211+0.0032526i,-0.0013647-0.0047273i,0.006783-0.00077915i,0.0064595+0.0085048i,0.00029727+0.00065657i,-0.011312-0.025106i,0.013839-0.004213i,0.0052934-0.0039343i,0.0016877+0.0024459i,0.0002217-0.0017017i,0.011049-0.012482i,0.0050842+0.0040112i,-0.0062842+0.00029622i,-0.00061057+0.0043944i,0.0075611-0.002789i,0.0088265-0.0056667i,-0.00062762-0.0030274i,0.0091672-0.003213i,0.0031318-0.0010466i,0.0071008-0.0064606i,-0.047997+0.013017i,-0.020589-0.01144i,-0.001066-0.013052i,-0.0023398+0.0010161i,-0.012626+0.027478i,-0.0075226+0.003396i,-0.0032082+0.0082736i
-0.014462+0.045274i,-0.0062512+0.019978i,-0.0056645+0.02466i,-0.013234+0.023636i,0.0061255+0.012576i,0.0037205+0.0041075i,-0.013252+0.035084i,0.014661+0.018286i,0.0093353+0.0065401i,-0.0041747+0.0039538i,0.0069055-0.0029836i,0.0008756+0.00078158i,0.0013184-0.0034751i,0.0038356+0.0041411i,0.0024592+0.0011294i,0.00020118+0.0049509i,0.0030449+0.010518i,-0.00028338+0.0011485i,0.0014739-0.0057076i,-0.0012025-0.0021845i,-0.0027773-0.0037508i,0.00030565-0.0035713i,-0.0011988-0.0027998i,-0.011504+0.0039835i,-0.00048015-0.0040722i,-0.0001089-3.5973e-05i,-0.0015209+0.00058575i,0.00040885-0.0006179i,-0.0021945+0.0009778i,-0.00025332-0.00024132i,0.0026965+0.00064393i,0.00197+0.00067913i,-0.0003522-0.00044142i,-0.00025739+0.00084028i,0.0017502+0.0025443i,-0.0044884-0.0092721i,-1.8349e-05+0.0030728i,-0.00028318+0.0015371i,0.00024464-0.00039319i,0.0019128-0.00063026i,-0.0010565-0.0004413i,-0.001344-0.0011715i,-0.00081569+0.0032343i,-0.00081894-0.0038615i,-0.0015622+0.02543i,-0.036417-0.014988i,-0.022907+0.019175i,-0.034382-0.032599i,-0.065689-0.0090252i,-0.018421-0.0089064i,-0.011025+0.03287i,-0.0091616+0.0051051i,-0.027297-0.0094928i,-0.028659-0.0069003i,-0.030036+0.022548i,-0.0027979+0.0034189i,0.012733+0.02427i,0.012737-0.0024432i,-0.00468+0.0017138i,-0.021262+0.014299i,0.0016698+0.0079663i,0.0010957+0.0065467i,0.0030053-0.0043239i,0.0084417+0.0046169i,-0.00070775+0.0062089i,-0.00014311+0.0042091i,0.00073986-0.0061765i,0.0017554+0.0023604i,0.0032327+0.0012599i,-0.0024093+0.0051962i,-0.0025113-0.0024542i,0.0060529-0.0030572i,0.0095103+0.0038764i,0.00063249+0.00016311i,-0.015258-0.023018i,0.010152-0.0081268i,0.0027153-0.0054272i,0.0050876+0.0024742i,-0.00021258-0.00088594i,0.0068718-0.013042i,0.0076898+0.0012733i,-0.0040742+0.0038018i,0.0024606+0.0046031i,0.0068199-0.0028925i,0.0042734-0.011155i,-0.00072704-0.0022031i,0.0046591-0.0068202i,0.0010419-0.0017711i,0.0033389-0.009448i,-0.039481+0.018351i,-0.028709-0.0031522i,-0.0068178-0.015409i,-0.0032983-0.0016967i,-0.0079173+0.026618i,-0.010243+0.0064562i,-0.0024343+0.0089623i
-0.0080619+0.046568i,-0.0040936+0.020285i,-0.0059954+0.025677i,-0.0086647+0.023767i,0.0062434+0.009579i,0.0038384+0.0030398i,-0.0049567+0.034763i,0.016122+0.013944i,0.010514+0.0044494i,-0.002533+0.0038313i,0.0042583-0.0030401i,0.002034+0.0018574i,0.00015329-0.0033465i,0.00557+0.0027516i,0.0023339+0.00058391i,0.0029463+0.0059425i,0.0075924+0.0080999i,-1.1612e-05+0.001104i,-0.00060877-0.0058538i,-0.0019809-0.0016048i,-0.0031015-0.0024035i,-0.00031428-0.0036647i,-0.0018731-0.0022313i,-0.0088437+0.0047193i,-0.00062438-0.00058871i,-0.00084397-0.00018574i,-0.0014536+0.00098295i,-0.00021642-0.0016894i,-0.0010091+0.0011533i,-0.00016263-0.00040208i,0.0025987-0.00076091i,0.0019176-0.00047486i,-0.00061611-0.00021423i,-0.0001674+0.00079525i,0.0018798+0.0020033i,-0.0077646-0.0087147i,0.00061868+0.0025755i,-0.0025942+0.0019575i,-0.0004974+0.00087771i,0.0017549-0.00032765i,-0.0008649+2.1616e-05i,-0.0019247-0.00070872i,0.00044593+0.0027002i,-0.0021211-0.0018039i,0.0029728+0.025866i,-0.03082-0.0065736i,-0.019303+0.017494i,-0.040112-0.021477i,-0.064088+0.009236i,-0.02201-0.012086i,-0.0040803+0.026567i,-0.0067803+0.00058929i,-0.026539-0.0068691i,-0.029101-0.0040198i,-0.023909+0.029187i,-0.0029741+0.0035602i,0.019026+0.010761i,0.01094-0.0071987i,-0.0057818+0.0059029i,-0.014039+0.023088i,0.0042717+0.0069972i,0.0038923+0.0050895i,0.00030829-0.0015597i,0.0099936+0.00097861i,0.0014871+0.0078526i,0.0016953+0.0053848i,-0.0030456-0.0086886i,0.0011405+0.0056405i,0.0033633+0.0026398i,0.0012658+0.0080605i,-0.0017342-0.0006253i,0.0045078-0.0038689i,0.0091683+0.0012578i,0.0012098-0.00073615i,-0.023089-0.021542i,0.006189-0.010198i,0.00023727-0.0054704i,0.0053216-0.0024752i,6.572e-05+0.00047389i,0.0046636-0.01233i,0.0075369-0.0022205i,-0.0011616+0.0050949i,0.0039326+0.0022063i,0.0058279-0.0049131i,-0.0035029-0.011042i,-0.00097772-0.002349i,0.00074411-0.0080583i,0.00047629-0.0028989i,-0.0014408-0.0090061i,-0.034184+0.021056i,-0.026309+0.010199i,-0.01192-0.014814i,-0.0058241-0.0024981i,-0.0043741+0.026436i,-0.0089123+0.011128i,0.0012316+0.007971i
-0.00091351+0.047105i,-0.0013759+0.020936i,-0.004186+0.028012i,-0.0054284+0.022795i,0.0054584+0.007954i,0.0040482+0.0019602i,0.0022532+0.032216i,0.016496+0.010119i,0.011222+0.0022434i,-0.0016958+0.0039185i,0.0029944-0.002155i,0.0043423+0.0022449i,-0.00085794-0.0027963i,0.0060371-2.5197e-05i,0.0020919+0.00020669i,0.0054503+0.0053751i,0.0098818+0.004097i,0.00029506+0.0011328i,-0.0021183-0.0051472i,-0.0023278-0.00070844i,-0.0027203-0.0011629i,-0.0013048-0.0036241i,-0.0022671-0.001542i,-0.008528+0.006094i,-0.0009137-0.00015795i,-0.0013347+0.00040359i,-0.0011678+0.0013659i,-0.0016686-0.0019525i,-0.00079235+0.00062419i,-0.00046652-0.00064973i,0.0020639-0.0014062i,0.0018771-0.0013369i,-0.00025644-6.9102e-05i,6.0348e-05+0.00071819i,0.0023142+0.00081907i,-0.011215-0.0072048i,0.0013174+0.0022084i,-0.0013363+0.0017109i,-0.00046974+0.0016985i,0.002115-0.00012587i,-0.00058027+0.00021619i,-0.0014367+3.8888e-05i,0.00090706+0.001949i,-0.0021434-0.00059261i,0.0083488+0.024361i,-0.027031-0.0049828i,-0.016701+0.016981i,-0.040146-0.011089i,-0.054903+0.024612i,-0.025677-0.0095122i,0.00056133+0.021782i,-0.0071823-0.0037512i,-0.02497-0.0050645i,-0.028113+0.00058432i,-0.014956+0.034068i,-0.001971+0.003611i,0.013584-0.0014343i,0.0063139-0.011496i,-0.0040547+0.0093266i,-0.0048561+0.024628i,0.0053512+0.0048506i,0.0048854+0.0017033i,0.0013029+0.00012399i,0.0094311-0.0023507i,0.0064439+0.0073707i,0.0036781+0.006369i,-0.0078611-0.0037681i,0.003973+0.0074485i,0.0046626+0.0030097i,0.0054756+0.0073257i,-0.0012261-2.2726e-05i,0.0036685-0.0045899i,0.0095635-0.0061268i,-0.00058481-0.001145i,-0.031918-0.013057i,0.0021996-0.010674i,-0.0017426-0.0043035i,0.0048833-0.0013317i,0.00065988+0.00054667i,0.003367-0.014324i,0.0055936-0.0047989i,0.0013136+0.0043671i,0.0038076+0.00087753i,0.0045887-0.0056169i,-0.0077728-0.0059412i,-0.0020177-0.0021294i,-0.0021392-0.0030347i,-0.0016639-0.0034844i,-0.0040797-0.0070476i,-0.028169+0.023803i,-0.019492+0.011786i,-0.012723-0.013037i,-0.0075206-0.0015163i,0.00058458+0.02453i,-0.0071792+0.012834i,0.0017589+0.0055005i
0.0061921+0.046344i,0.0020375+0.021418i,-0.00040284+0.030548i,-0.002589+0.022535i,0.0046704+0.0076131i,0.0037749+0.0010846i,0.0079959+0.028417i,0.016704+0.0068721i,0.011723-0.00067899i,-0.00082172+0.0043788i,0.0029175-0.0014994i,0.0064166-1.7933e-05i,-0.0015953-0.0019065i,0.0042752-0.0015395i,0.0019856+9.9384e-05i,0.0075177+0.0034738i,0.009577+0.00048651i,0.00080377+0.00074068i,-0.0032679-0.0042472i,-0.0020551+0.00033904i,-0.0019982-0.00037184i,-0.002166-0.0028255i,-0.0025135-0.00089874i,-0.0062817+0.0087946i,-0.0012395+0.00042509i,-0.0011073+0.0011118i,-0.00074466+0.0017589i,-0.0030423-0.00098027i,-0.00081294+0.00058318i,-0.00081918-0.00055543i,0.0014621-0.0021562i,0.0010524-0.0025351i,-0.0004036-0.00022851i,9.5611e-05+0.00057997i,0.001956-0.00026389i,-0.014106-0.0034157i,0.0017884+0.0015327i,-0.00065167+0.0021718i,-0.00091282+0.0016225i,0.0019773+0.0015923i,-6.719e-05+0.00028183i,-0.00085075+0.00027439i,0.0010306+0.0014234i,-0.0018641+0.00037305i,0.012425+0.020788i,-0.027416-0.0040975i,-0.014841+0.016168i,-0.039203-0.0025382i,-0.041912+0.033226i,-0.029002-0.0063185i,0.0048836+0.015732i,-0.0085723-0.0054385i,-0.024114-0.003961i,-0.025838+0.0049884i,-0.0052266+0.035563i,-0.0011929+0.0036001i,0.00645-0.0033026i,0.00084948-0.013099i,-2.3867e-05+0.012455i,0.0032132+0.022409i,0.0050305+0.0025111i,0.0041836-0.0017256i,0.0010517+0.00044722i,0.0075206-0.005752i,0.0098668+0.0035913i,0.0062596+0.0058747i,-0.007966+0.00061275i,0.0070378+0.0074846i,0.0062545+0.002868i,0.0096477+0.003611i,-0.00077437+0.00066557i,0.0031703-0.0053961i,0.0077138-0.010918i,-0.00083845+0.00091153i,-0.035319+0.00042612i,-0.00070014-0.0099645i,-0.0029063-0.0024918i,0.0052501-0.0012386i,0.00080937+0.00030121i,-0.00063205-0.016787i,0.0032187-0.0062527i,0.0032607+0.0035332i,0.0037971-0.00040975i,0.0043243-0.0066413i,-0.0092258-0.0026061i,-0.0034366-0.00057068i,-0.0022486-0.0010624i,-0.0029887-0.0028812i,-0.0055096-0.0049354i,-0.022591+0.024169i,-0.01751+0.012717i,-0.013581-0.01351i,-0.0082572+2.7268e-05i,0.0023746+0.02342i,-0.0059733+0.013643i,0.0023722+0.0043294i
0.01377+0.044785i,0.0064394+0.020954i,0.0060078+0.031615i,0.00032822+0.022139i,0.0052598+0.0083267i,0.0036138+0.00066134i,0.012119+0.02325i,0.016706+0.0038978i,0.011035-0.0038652i,0.00025956+0.004434i,0.0029628-0.0019648i,0.0057863-0.0033725i,-0.0018866-0.00094347i,0.0033626-0.0017861i,0.0020195-9.4671e-05i,0.0078852+0.00077719i,0.0082272-0.0014743i,0.00058638+0.00018985i,-0.0045969-0.0030008i,-0.0012874+0.00074632i,-0.0011552-0.00035555i,-0.0023491-0.0020996i,-0.0025051-7.5822e-05i,-0.0026391+0.01036i,-0.0010624+0.00091954i,-0.00054375+0.0014701i,-2.7423e-05+0.0018589i,-0.0034342+0.00066615i,-0.00068014+0.00048507i,-0.0010668-0.00038151i,0.00034496-0.0024212i,-0.00041218-0.0030484i,-0.0006305+2.9641e-05i,7.7234e-05+0.0005053i,0.0011712-0.00084759i,-0.014393+0.0016479i,0.001851+0.0008607i,0.00014511+0.0020022i,-0.00083636+0.002277i,-0.00034517-0.00043466i,0.00059353+0.00013557i,-0.00028273+0.00014433i,0.00088388+0.0011492i,-0.0014984+0.0010355i,0.014735+0.017786i,-0.030031+6.2665e-05i,-0.013206+0.015593i,-0.03388+0.0058419i,-0.029447+0.038051i,-0.031282+0.00096305i,0.0073809+0.0085884i,-0.006897-0.0073169i,-0.023534-0.001458i,-0.022218+0.0093754i,0.0035364+0.034353i,-0.00087774+0.0028338i,0.0023507-0.0035605i,-0.005167-0.01265i,0.0063882+0.011821i,0.0072982+0.018104i,0.0031315+0.001092i,0.0024603-0.0045285i,0.0023824+0.0028695i,0.0036486-0.0077148i,0.010729-0.0021947i,0.0085079+0.003864i,-0.0072074+0.0043052i,0.011064+0.005975i,0.008716+0.00058932i,0.010991-0.0018995i,5.6109e-05+0.0012441i,0.0017063-0.0060637i,0.00037245-0.010644i,0.0010161+0.0023467i,-0.033069+0.013268i,-0.0028038-0.0089636i,-0.0027179-0.00031261i,0.0063904-0.0054382i,0.0011447+0.00084301i,-0.0073876-0.016197i,0.00036335-0.006372i,0.0043569+0.0015413i,0.0035463-0.00072558i,0.0025915-0.0081667i,-0.009068+0.0030257i,-0.0032873+0.0016319i,-0.0039906-0.0020902i,-0.0044006-0.0024563i,-0.0058473-0.0030732i,-0.019662+0.024658i,-0.016471+0.017276i,-0.016104-0.016228i,-0.0059329+0.0018831i,0.0063053+0.023294i,-0.0053871+0.015699i,0.0037793+0.0016345i
0.02125+0.041571i,0.010521+0.019029i,0.012691+0.029313i,0.0035094+0.021223i,0.0067739+0.0084445i,0.0039736+0.00039014i,0.014261+0.01816i,0.016465+0.0011385i,0.0095694-0.0062332i,0.00092672+0.0043328i,0.0024187-0.0025025i,0.003537-0.0050521i,-0.0017857-8.1266e-05i,0.0024134-0.0019723i,0.0019855-0.00034086i,0.0068886-0.0014017i,0.0075089-0.0029617i,0.00035119+0.00011263i,-0.0051234-0.0011828i,-0.00059635+0.00096106i,-0.00052854-0.00070021i,-0.0024061-0.001728i,-0.0021415+0.00055787i,0.00076165+0.010301i,-0.00081701+0.0010799i,6.2048e-05+0.0016103i,0.0005756+0.0015134i,-0.0026166+0.0019111i,-0.00068809+0.00040111i,-0.0013798-8.4336e-05i,-0.00072735-0.002188i,-0.0027489-0.0026587i,-0.00036723+0.0002989i,0.00015789+0.00045784i,0.00044565-0.0010684i,-0.012496+0.005811i,0.0017836+0.00021206i,0.00063247+0.001427i,0.00022192+0.00299i,-4.5291e-05-0.0011036i,-0.00019233-0.00045303i,0.00029898-0.00064525i,0.0007516+0.001158i,-0.0010044+0.0016126i,0.016893+0.015234i,-0.029538+0.0073463i,-0.012973+0.015079i,-0.027478+0.0094023i,-0.01672+0.039893i,-0.028959+0.010835i,0.0060226+0.001148i,-0.0074632-0.012457i,-0.019938+0.00051018i,-0.016068+0.0137i,0.013243+0.02986i,-0.0012027+0.0024617i,-0.0017513-0.0021003i,-0.01011-0.00917i,0.010683+0.0073383i,0.011032+0.013717i,-3.7278e-05+0.0018246i,-0.0004883-0.0068038i,0.0058826+0.0015545i,-0.0005083-0.0070944i,0.0078221-0.0064084i,0.010064+0.00046864i,-0.0059611+0.006985i,0.014227+0.00025577i,0.0084895-0.0046338i,0.0090649-0.0068568i,0.0014235+0.0012356i,-0.00027914-0.0063641i,-0.0041124-0.0065745i,0.0030021+0.0012836i,-0.024302+0.027214i,-0.0054558-0.0074705i,-0.0013669+0.00091849i,0.0023962-0.0076689i,0.0020338+0.00060593i,-0.01283-0.012133i,-0.00095425-0.0045373i,0.004395-0.00077304i,0.0030333-0.0015585i,-0.00017037-0.0083488i,-0.0052783+0.0070025i,-0.0019187+0.0032153i,-0.0047871+0.0013199i,-0.0064897-0.0014373i,-0.0058452-0.0020596i,-0.014526+0.028217i,-0.0081607+0.021324i,-0.021977-0.016229i,-0.0029034+0.0007843i,0.0098673+0.021445i,-0.002788+0.018124i,0.0030065-0.0021695i
