-0.032614-0.040691i,-0.022323-0.019802i,-0.014108-0.03591i,-0.030542-0.020483i,-0.022263-3.0184e-06i,-0.014144-0.0057725i,-0.057614-0.059842i,-0.049139-0.017333i,-0.03946-0.01686i,0.012477+0.010947i,-0.0074815+0.0047608i,-0.018851+0.019091i,0.0025225+0.011015i,-0.0056403-0.0024092i,0.00022802+0.0013699i,-0.00081885+0.03093i,0.025348+0.025737i,0.0025627-0.0023579i,-0.0025162-0.0068575i,0.0093141+0.0023212i,0.0023542+0.00079198i,-0.00085004+0.0042508i,-0.00031863+0.00037839i,-0.035553-0.012405i,-0.0001725-0.0081891i,0.0012656+0.0021981i,0.0064161+2.8736e-05i,0.0020775+0.00095943i,0.0010956-0.0003576i,-0.00057281-0.002616i,0.0014523-0.0024501i,-0.0020552-0.0063162i,-0.0012941-0.0046465i,0.00279-0.00064488i,0.0046713-0.0034317i,0.0011906+0.030572i,0.0042283-0.0037748i,0.0028798-0.0015293i,0.0082346-0.0017415i,-0.0068381-0.0024544i,-0.00015975+0.00084959i,0.0082427-0.00039942i,0.0047907-0.0032558i,-0.0017891+0.0088473i,-0.01877-0.0092858i,-0.018428+0.014908i,-0.0061353-0.058948i,-0.0057371-0.024565i,-0.027224-0.033007i,-0.012028-0.026457i,0.054381-0.022246i,0.016095-0.043508i,0.022365-0.048991i,0.003528-0.055505i,0.023987-0.020362i,0.0084894+0.0058172i,0.020213-0.032589i,-0.0082763-0.0064031i,0.0034234-0.0049147i,-0.0042169-0.0073072i,-0.0026481-0.032697i,-0.017532+0.029033i,0.0082994-0.012827i,-0.0093651-0.0043466i,-0.0037982-0.0011844i,0.00046218-0.013267i,-0.010319+0.004012i,0.0025751+0.0099557i,-0.0039864+0.02494i,0.0053987+0.0018021i,-0.0056055-0.0016296i,-0.0020267-0.0018127i,-0.013145-0.006417i,-0.00070123-0.0041974i,-0.034081+0.012754i,0.00069071-0.011444i,-0.0087543+0.00030835i,-0.0056947-0.0015183i,0.0055566+0.0015599i,-0.0072598+0.00011051i,0.0017748+7.0584e-06i,0.003467+0.0071155i,0.0038656+0.00024014i,-0.0083663-0.012543i,0.0026456+0.0099377i,-0.013808+0.0056782i,0.0060861-0.00014967i,-0.022211+0.00054145i,-0.017093+0.0073952i,-0.0092122-0.065306i,0.0072839-0.013337i,-0.049497-0.02195i,-0.021417+0.00022377i,0.017566+0.010617i,-0.022697+0.014367i,-0.02038-0.0049713i
-0.038918+0.032973i,-0.016435+0.020026i,-0.020342+0.042324i,-0.02629+0.014946i,-0.0037287+0.02185i,-0.00054514+0.0079605i,-0.03144+0.018083i,-0.0032314+0.030604i,0.007832+0.019656i,-0.0063834-0.0057311i,0.0024873+0.0034487i,0.0072259-0.00077864i,0.0049009+0.00013611i,-0.00050813+0.0032003i,0.00075059+0.002175i,0.0066761-0.0052345i,-0.0061251-0.00060551i,-0.0034161+0.00014666i,0.0035156-0.0013326i,-1.4591e-06-0.0010195i,0.0029709-0.0052251i,0.0015772-0.0028464i,0.0013132-0.0024584i,-0.0096718-0.010863i,-0.0015747+0.0026615i,-0.0014916+0.00035041i,-0.0042658-0.0011756i,-0.0025593-0.00037814i,-0.0014806-0.0014874i,-6.4322e-06-0.00054677i,-0.00023472+0.0041889i,0.00070489+0.00094732i,0.0015684+0.00082025i,-0.00054321+0.00076121i,-0.002264+0.0028982i,-0.0013545-0.0067772i,-0.0024039+0.0010407i,0.00081461-0.00043555i,-0.00083173+0.0029036i,0.0039666+0.0038014i,-0.00050605-0.0017119i,2.7767e-05-0.0027064i,-0.0039062+4.1674e-05i,0.0039406+0.00012636i,-0.018591+0.026983i,0.0047115-0.036635i,-0.04944+0.0063481i,0.005668-0.028103i,-0.032783-0.047839i,-0.030022-0.019064i,-0.061975+0.022788i,-0.038103+0.0016592i,-0.034778-0.0064581i,-0.027355-0.021119i,-0.034766-0.020324i,-0.0049984+0.0032438i,-0.024841+0.0091553i,0.0071256+0.017278i,0.0024879+0.0084064i,-0.002686-0.0044125i,0.0021142+0.0013654i,-0.0045147-0.0038303i,0.0060365+0.011045i,-0.00015043+0.0057914i,-0.0015699-0.001267i,0.0010623+0.0018881i,0.00385-0.0015409i,-0.0025243+0.017718i,0.0047186+0.014521i,0.0040263-0.00022319i,0.0093763-0.0066286i,0.0040107+0.0026669i,-0.010423-0.0082479i,-0.00086306-0.002879i,0.017988-0.042749i,0.0074125+0.0098862i,0.0052782+0.0019306i,-0.002355+0.0025275i,0.0036365-0.005844i,0.021303+0.006912i,0.0030857+0.0027097i,0.00026384-0.0068864i,0.00068435-0.0026604i,0.017809+0.0068532i,0.0049116+0.0012197i,0.0026713-0.0045324i,0.0038489+0.0075046i,-0.00062616+0.00068021i,0.009131+0.0022986i,-0.04719-0.0099439i,-0.0050865+0.011376i,-0.0018984-0.0041386i,-0.0066508+0.0064658i,-0.037339+0.014002i,-0.005462+0.0070215i,-0.01035+0.015385i
-0.033341+0.037807i,-0.013071+0.019914i,-0.009765+0.038009i,-0.023292+0.017651i,-0.00097242+0.020209i,0.000841+0.0077666i,-0.030107+0.023305i,0.0026531+0.029385i,0.010391+0.01438i,-0.0072142-0.0026896i,0.0036478+0.003758i,0.0063094-0.0030619i,0.0047091-0.0018408i,0.0014806+0.0037066i,0.0011487+0.0021435i,0.00209-0.0045359i,-0.0071993+0.002873i,-0.0027454+0.0012552i,0.004069-0.0020967i,0.00016134-0.00097675i,0.0013145-0.005234i,0.001215-0.0026123i,0.00075876-0.0025219i,-0.012037-0.0070594i,2.3375e-05+0.0024973i,-0.0013948+0.00069562i,-0.0040516+0.00043307i,-0.0020908+0.00048297i,-0.0020462-0.0006515i,0.00015562-0.00049458i,0.0014485+0.0035679i,0.00029844+0.00090078i,0.0013847-0.0002028i,-0.00073879+0.00086393i,-0.0020232+0.0032254i,-0.0011958-0.0057019i,-0.0021819+0.0019793i,-5.8722e-05-0.0010104i,2.9422e-05+0.0028589i,0.0042367+0.0012912i,-0.00076218-0.0013561i,-0.0015578-0.002784i,-0.0038289+0.0014115i,0.0040595-0.00074735i,-0.013818+0.02649i,-0.0088953-0.041434i,-0.043145+0.015516i,-0.0024775-0.034696i,-0.047054-0.041854i,-0.03019-0.012322i,-0.05023+0.033874i,-0.03509+0.010392i,-0.02576-0.0085794i,-0.029411-0.017432i,-0.039899-0.006178i,-0.0041163+0.0028903i,-0.019798+0.019642i,0.011438+0.012111i,0.0051773+0.0048686i,-0.007539-0.0072753i,-0.0011574+0.0032369i,-0.0076981+0.0010807i,0.0099004+0.0078561i,0.0013091+0.0070662i,-0.0017692-0.00021287i,0.0020342+0.003173i,0.00385-0.0018154i,0.0057468+0.013854i,0.0088501+0.0077904i,-0.00055529-0.0036611i,0.0030337-0.0076036i,0.0044215+0.0022216i,-0.012587+0.00075742i,-0.0022531-0.00086735i,-0.0029131-0.038518i,0.011129+0.0078608i,0.0071414-0.00068366i,0.00069307+0.0021234i,-0.00030523-0.003438i,0.021298-0.0034417i,0.0032999+0.00135i,-0.0029105-0.0050125i,-0.0023999-0.001406i,0.016312+0.0045432i,0.0047693+0.00087107i,0.00089949-0.0032629i,0.0062046+0.005964i,-0.00024875+0.00207i,0.0092791-0.0009374i,-0.049965-0.005135i,-0.00012127-0.0028988i,-0.00079468-0.0037178i,-0.0040828+0.0059974i,-0.029241+0.024833i,-0.0033283+0.0080159i,0.0011761+0.0084441i
-0.027204+0.04192i,-0.010688+0.020031i,-0.0049405+0.031827i,-0.020393+0.020199i,0.0026806+0.019128i,0.0023962+0.00723i,-0.025949+0.02911i,0.0080262+0.026952i,0.010005+0.0103i,-0.0070044+0.00013529i,0.0056383+0.0032011i,0.0024431-0.003829i,0.0035093-0.0030826i,0.002225+0.0032078i,0.0018264+0.0022197i,-0.0012-0.0016867i,-0.0056761+0.0066712i,-0.0014282+0.0017002i,0.0037134-0.0040927i,0.00040382-0.0015851i,-0.00035725-0.0052486i,0.0012195-0.0031259i,0.00026952-0.0025818i,-0.013861-0.0033412i,0.00066076+0.0019805i,-0.00084402+0.0013197i,-0.0031369+0.0010277i,-0.00095307+0.0011262i,-0.002032-0.00043549i,-0.00010193-0.00081617i,0.0019322+0.0021613i,0.00058952+0.0013558i,0.00073342-0.00043771i,-0.00046639+0.00087533i,-0.0004514+0.0039937i,-0.00061879-0.0057593i,-0.0020224+0.0022849i,-0.00098582-0.0009836i,0.0014788+0.0012704i,0.0034653-5.2617e-05i,-0.00095809-0.0010508i,-0.0014083-0.0012782i,-0.0033363+0.0025146i,0.0037177-0.0024647i,-0.010544+0.026801i,-0.025001-0.038657i,-0.033917+0.020826i,-0.012865-0.036292i,-0.055656-0.031455i,-0.026814-0.0069056i,-0.034615+0.039722i,-0.023596+0.015892i,-0.027904-0.011882i,-0.030612-0.013747i,-0.036718+0.0069509i,-0.0035664+0.0029939i,-0.0097858+0.025266i,0.013261+0.0064733i,0.0032753-0.00014595i,-0.01618-0.0048735i,-0.00070361+0.0045936i,-0.0058343+0.0064223i,0.011314+0.0022024i,0.0035723+0.0076042i,-0.0032231+0.001446i,0.0023392+0.0014949i,0.0038161-0.0029547i,0.0080321+0.0067014i,0.0081703+0.0031202i,-0.0052081-0.00042832i,0.00022266-0.0058931i,0.005878+0.0012544i,-0.0071892+0.0095861i,-0.00052117+0.0012207i,-0.0068171-0.026514i,0.015017+0.0016146i,0.0053966-0.0030043i,0.00075193+0.00098286i,-0.00032837-0.0014199i,0.016247-0.0099514i,0.002016+0.0028522i,-0.0052255-0.0026344i,-0.0027334+0.0019845i,0.010423-0.00047126i,0.007946-0.00043888i,0.00082938-0.0031691i,0.0095478+0.0026505i,0.0029217+0.0014758i,0.0079142-0.0039598i,-0.052431+0.0045879i,-0.0078931-0.01106i,0.0013005-0.0069471i,-0.0024796+0.0038996i,-0.018934+0.028096i,-0.0037706+0.0033613i,-0.00035891+0.0093957i
-0.019988+0.044748i,-0.0076023+0.020967i,-0.0033277+0.026983i,-0.016446+0.022812i,0.0058017+0.015884i,0.0039318+0.0056577i,-0.019345+0.033868i,0.012462+0.022912i,0.009624+0.0085681i,-0.0060427+0.002629i,0.0062997+0.00092975i,0.00030852-0.0013371i,0.0019557-0.0032606i,0.0021385+0.0034113i,0.001822+0.0018779i,-0.0016211+0.0023551i,-0.0019393+0.0092641i,-0.00052322+0.0013813i,0.0021028-0.0049811i,-0.00030345-0.0021584i,-0.0017021-0.004296i,0.00079022-0.003366i,-0.00027469-0.0028091i,-0.014136+0.0021115i,0.0012002+0.0012445i,0.00011682+0.00082251i,-0.0031171+0.00017242i,0.00018918+0.00050143i,-0.0021104+0.00032584i,-0.00048941-0.00053738i,0.0021743+0.0014599i,0.0013288+0.0014234i,0.000323-0.00061987i,-0.00015484+0.00082322i,0.001258+0.0031654i,-0.0012855-0.00783i,-0.0010714+0.003009i,-0.0015134-0.00028426i,0.0011092-0.00063231i,0.0027431-0.00052391i,-0.0010081-0.00073214i,-0.00084964-0.0013626i,-0.0023427+0.003639i,0.0014041-0.0044396i,-0.0071606+0.027692i,-0.037095-0.026114i,-0.02551+0.021155i,-0.022834-0.033496i,-0.063446-0.020076i,-0.021889-0.0051657i,-0.020784+0.039046i,-0.013474+0.011777i,-0.028643-0.0089196i,-0.03099-0.0083427i,-0.030632+0.014803i,-0.0032532+0.0032174i,0.00069344+0.025439i,0.014627+0.0024833i,-0.0013736-0.00080318i,-0.02117+0.0052827i,-0.00088437+0.0062187i,-0.0016294+0.006693i,0.0086586-0.0036642i,0.0063712+0.006451i,-0.0026122+0.0042335i,0.00025935+0.0019157i,0.0029618-0.0054709i,0.0058052+0.0015775i,0.0056267+0.00042914i,-0.0036545+0.003141i,-0.0015841-0.0043332i,0.0059967-0.00073679i,0.0028038+0.01081i,0.0005508+0.00064899i,-0.011095-0.023633i,0.013228-0.0046275i,0.0044375-0.0038725i,0.0013456+0.0020591i,-7.0274e-05-0.0014586i,0.010518-0.012561i,0.0053852+0.0036072i,-0.0060296+0.00043258i,-0.00054666+0.0035421i,0.0074101-0.0019103i,0.0076118-0.0053664i,-0.00059463-0.0027343i,0.0089352-0.0028889i,0.0024504-0.0014103i,0.0065032-0.0068721i,-0.048028+0.015938i,-0.017792-0.010779i,-0.00086933-0.012733i,-0.0017708+0.001338i,-0.010909+0.02768i,-0.0075358+0.0035227i,-0.00096703+0.0081677i
-0.013153+0.046005i,-0.0048431+0.020639i,-0.0041123+0.02454i,-0.01179+0.024512i,0.0073194+0.012604i,0.0041584+0.0038335i,-0.011579+0.035854i,0.015367+0.018298i,0.01049+0.0073805i,-0.0038732+0.0042944i,0.0067579-0.0013172i,0.00084772+0.00065107i,0.00097564-0.0032355i,0.0034827+0.003907i,0.0022272+0.0012823i,0.00021849+0.0049265i,0.0024795+0.0095048i,-0.00020696+0.0010474i,0.00091575-0.0052085i,-0.0012265-0.0020357i,-0.0027473-0.0032752i,0.00017238-0.0034149i,-0.001152-0.0027541i,-0.0099019+0.0062516i,0.0021958-0.0071719i,-8.345e-05+8.8168e-06i,-0.0012913+0.00071921i,0.00029403-0.00069268i,-0.0013228+0.0018329i,-0.00018409-0.00027374i,0.0024538+0.00021123i,0.0022133+0.00080031i,-0.00020415-0.00045204i,-0.00020846+0.00076023i,0.0016223+0.0021472i,-0.0041496-0.0092948i,-9.8018e-05+0.0030393i,-0.00070926+0.0016737i,-2.3607e-05-0.00053216i,0.002115-0.00054375i,-0.00094852-0.00052553i,-0.0012524-0.0017719i,-0.00071455+0.0038497i,-0.0011347-0.0032221i,-0.0024209+0.028912i,-0.036992-0.010879i,-0.020031+0.01946i,-0.031448-0.027256i,-0.067374-0.0033966i,-0.018977-0.0076822i,-0.0091095+0.034999i,-0.0090989+0.0063737i,-0.028255-0.0074418i,-0.029414-0.0049529i,-0.025428+0.021366i,-0.0025338+0.0032408i,0.011617+0.021174i,0.012667-0.0027454i,-0.0045372+0.001689i,-0.019933+0.013945i,0.0012196+0.007286i,0.0026868+0.0077347i,0.0027493-0.0047251i,0.0080917+0.0042412i,-0.00036353+0.0057156i,0.00018447+0.0040926i,0.0010526-0.0064706i,0.0016198+0.0022016i,0.0033131+0.00088735i,-0.0024299+0.0047783i,-0.0025448-0.0022045i,0.0052903-0.002587i,0.0066423+0.006804i,0.00083004+5.7645e-06i,-0.014875-0.021566i,0.009424-0.0085395i,0.0023898-0.0049552i,0.0034239+0.0021822i,-0.00048035-0.00076093i,0.0064373-0.012882i,0.0077432+0.00041771i,-0.0042672+0.0037108i,0.0019564+0.0034752i,0.0074771-0.0024734i,0.0028953-0.0089387i,-0.00069252-0.0019865i,0.0049459-0.0061616i,0.00035538-0.0016541i,0.0027856-0.0097115i,-0.039423+0.020905i,-0.025807-0.0040642i,-0.0079696-0.014331i,-0.0026753-0.0014407i,-0.0060913+0.025514i,-0.010183+0.006607i,-0.00036761+0.0083605i
-0.0065312+0.046832i,-0.0026355+0.020621i,-0.0044097+0.025606i,-0.0070432+0.024482i,0.0075362+0.009526i,0.0042085+0.0027387i,-0.0030558+0.035104i,0.016942+0.013953i,0.011731+0.0050357i,-0.0020341+0.0042918i,0.0044369-0.0026259i,0.001993+0.001512i,-5.9444e-05-0.0031323i,0.005138+0.0027425i,0.0022239+0.0006654i,0.0029824+0.0058307i,0.0064048+0.0076578i,2.2693e-06+0.00098404i,-0.00090679-0.0053383i,-0.0019292-0.0014282i,-0.0028953-0.0020708i,-0.00040821-0.0034728i,-0.0019384-0.0022244i,-0.0060968+0.0059802i,-0.0009846-0.00063271i,-0.0007389-0.00013748i,-0.0012528+0.0011684i,-0.00030821-0.0016957i,-0.00034446+0.0010543i,-0.00012137-0.00042481i,0.0021846-0.00088862i,0.0022141-0.00025714i,-0.00043554-0.00021371i,-0.00012284+0.00070809i,0.0017232+0.0016068i,-0.0073977-0.0089662i,0.00059121+0.0026419i,-0.0018528+0.0016009i,-0.0011445+0.0011107i,0.0018384-0.00020526i,-0.00077152-0.00015636i,-0.0020974-0.0012077i,0.00040807+0.0032451i,-0.0019805-0.0014018i,0.002757+0.029556i,-0.030858-0.0029051i,-0.016437+0.017949i,-0.036222-0.017257i,-0.062782+0.014699i,-0.022531-0.010787i,-0.0011985+0.028066i,-0.0066916+0.0018749i,-0.027519-0.0045677i,-0.029424-0.0019848i,-0.018514+0.02546i,-0.002813+0.0035346i,0.017232+0.0090031i,0.010618-0.0071895i,-0.0053049+0.0056347i,-0.013691+0.021972i,0.0034145+0.0060798i,0.0052236+0.0041166i,0.00011738-0.0017702i,0.0095423+0.00056016i,0.0015686+0.0065817i,0.0016914+0.0051104i,-0.0033925-0.0085965i,0.00095409+0.0054233i,0.0034319+0.0021671i,0.00045823+0.0073401i,-0.0018088-0.00041405i,0.0039422-0.0034711i,0.0084941+0.003153i,0.0010823-0.00099202i,-0.022495-0.019448i,0.0053797-0.01032i,0.0001027-0.0050544i,0.0037398-0.0034597i,-1.1604e-05+0.00055093i,0.0041214-0.012169i,0.0073916-0.0028097i,-0.0015252+0.0052076i,0.003143+0.0016042i,0.0061625-0.0048122i,-0.0022623-0.0091971i,-0.0013234-0.0021279i,0.0023391-0.0060225i,-1.3168e-05-0.0025898i,-0.0019946-0.0092182i,-0.033943+0.0241i,-0.024411+0.009787i,-0.01228-0.01303i,-0.0050134-0.002362i,-0.0031982+0.024854i,-0.0085771+0.011583i,0.002838+0.0071643i
0.0001844+0.046916i,0.00017093+0.021055i,-0.0026017+0.027939i,-0.003315+0.023259i,0.0067552+0.0077739i,0.0043734+0.0016451i,0.0041879+0.032181i,0.017296+0.0099242i,0.012475+0.002615i,-0.0011356+0.0041118i,0.002984-0.0019754i,0.004262+0.0017512i,-0.0010351-0.0025935i,0.0057871+0.0001378i,0.0020011+0.00028309i,0.005385+0.0051601i,0.0085121+0.0043879i,0.00026635+0.0010485i,-0.0022009-0.0046945i,-0.002184-0.00050649i,-0.0025076-0.00092093i,-0.0012911-0.0033826i,-0.0023521-0.0014975i,-0.0056271+0.0059492i,-0.0010986-5.906e-05i,-0.0012253+0.00047554i,-0.0010631+0.0014736i,-0.0016227-0.0018492i,-0.00044791+0.0006613i,-0.00036891-0.00064495i,0.0017049-0.0013972i,0.0034153-0.00060949i,-0.00016836-7.639e-05i,4.5688e-05+0.00064677i,0.0019958+0.00059088i,-0.010715-0.0077617i,0.0013501+0.0022516i,-0.0011306+0.001684i,-0.0012678+0.0019727i,0.0021443+0.00019071i,-0.00057472+3.6139e-05i,-0.0015814-0.00016132i,0.00092699+0.0024562i,-0.00194-0.00047852i,0.0088044+0.028061i,-0.026812-0.0015746i,-0.013761+0.01709i,-0.036012-0.0081324i,-0.052144+0.028911i,-0.026257-0.0082733i,0.0026121+0.022109i,-0.006911-0.0023339i,-0.025898-0.0027742i,-0.028441+0.0025295i,-0.012118+0.028789i,-0.0017193+0.0037053i,0.011668-0.0015132i,0.0058882-0.011447i,-0.0036452+0.0087807i,-0.0054681+0.024079i,0.0040792+0.0040153i,0.0052567+0.001006i,0.0010181-0.00018831i,0.0088794-0.0025116i,0.0055044+0.0060001i,0.0036376+0.0059615i,-0.0078598-0.0033278i,0.0037693+0.0071299i,0.0047747+0.0026571i,0.0048076+0.0074296i,-0.001144+8.93e-05i,0.0029625-0.0040693i,0.009517-0.0037354i,-0.00081-0.0011175i,-0.02997-0.010083i,0.0017145-0.010414i,-0.001849-0.0039483i,0.0047927-0.0048303i,0.00038213+0.00053895i,0.0027573-0.013895i,0.0057359-0.0051387i,0.0011497+0.0040603i,0.0030756+0.00065781i,0.0048135-0.0058347i,-0.0062231-0.0055085i,-0.0026062-0.0017282i,-0.0027672-0.0044991i,-0.0019368-0.003091i,-0.0048566-0.0069033i,-0.02701+0.026832i,-0.018165+0.010894i,-0.012262-0.011432i,-0.007078-0.0015189i,0.0015925+0.023257i,-0.0067133+0.012963i,0.0030746+0.0043999i
0.0070546+0.046353i,0.0035572+0.021158i,0.0016189+0.03032i,-9.7878e-05+0.022504i,0.0060143+0.0073364i,0.0040637+0.00072721i,0.0097507+0.027955i,0.017269+0.0066837i,0.013053-0.00058481i,-0.00041468+0.004215i,0.0029386-0.001481i,0.0062411-0.00045582i,-0.0017696-0.0016859i,0.0041433-0.0013886i,0.0019391+0.00014444i,0.0072176+0.0033234i,0.0085021+0.0016606i,0.00079286+0.00057542i,-0.0033014-0.003792i,-0.001871+0.00048112i,-0.0018531-0.00022712i,-0.0020488-0.0025432i,-0.0025521-0.00073373i,-0.0049944+0.0072541i,-0.0013074+0.00055581i,-0.00089122+0.0011687i,-0.00072271+0.001791i,-0.0028286-0.00088775i,-0.00052173+0.00067182i,-0.00070652-0.00058553i,0.0012758-0.0019745i,0.0014989-0.0035633i,-0.00027634-0.00024763i,5.7948e-05+0.00053771i,0.0016219-0.00027015i,-0.013782-0.0043891i,0.0018366+0.0015519i,-0.000632+0.002i,-0.0012723+0.0022429i,0.0013587+0.004554i,-6.7614e-05+0.00014778i,-0.0010205+8.3129e-05i,0.0011695+0.0017536i,-0.0017119+0.0003006i,0.013621+0.024257i,-0.026889-0.00060005i,-0.012174+0.016027i,-0.03526-0.00062108i,-0.038793+0.035788i,-0.029547-0.0051332i,0.006171+0.015878i,-0.0080619-0.0041738i,-0.025159-0.0016017i,-0.025969+0.0070261i,-0.0038102+0.030671i,-0.0007487+0.0034342i,0.005462-0.0028948i,0.00045869-0.01278i,0.00015244+0.011796i,0.0022383+0.02214i,0.0043609+0.0019359i,0.0042821-0.0018088i,0.00069399+0.00027946i,0.0070811-0.0057906i,0.0083653+0.0029048i,0.0064324+0.0057981i,-0.0073355+0.00072078i,0.0064335+0.0072844i,0.0061937+0.0022373i,0.0087909+0.0047515i,-0.00069121+0.00075655i,0.0025743-0.0046798i,0.0061988-0.0086567i,-0.00091587+0.0010447i,-0.032277+0.0025967i,-0.00073469-0.0097785i,-0.0028069-0.0021008i,0.0039852-0.0050486i,0.00056667+0.00033472i,-0.0014294-0.016146i,0.003114-0.006609i,0.0026206+0.003218i,0.0031124-0.00035083i,0.0043333-0.0069557i,-0.0088771-0.0023726i,-0.0034783-0.00013303i,-0.0030271+0.00063439i,-0.00344-0.0022971i,-0.0059185-0.0045884i,-0.02095+0.026875i,-0.017069+0.011336i,-0.012588-0.012081i,-0.0080819+0.0010619i,0.0033425+0.022586i,-0.0054258+0.013381i,0.0030843+0.0030788i
0.014283+0.044765i,0.0077506+0.020293i,0.0081722+0.030824i,0.0028897+0.021648i,0.0065168+0.0078334i,0.0038701+0.00025417i,0.01369+0.022551i,0.017297+0.003642i,0.012383-0.0039374i,0.00064412+0.0040825i,0.0029607-0.0020703i,0.0056301-0.0037185i,-0.0019544-0.00074132i,0.0032689-0.0017795i,0.0019658-5.7854e-05i,0.007649+0.00071482i,0.0083088-0.00014089i,0.00047926+2.6269e-05i,-0.0042612-0.0023941i,-0.0010174+0.00083076i,-0.0010634-0.00028853i,-0.002139-0.0019236i,-0.0025326+4.1345e-05i,-0.0022299+0.008666i,-0.0010032+0.0011345i,-0.00041251+0.0013319i,0.00015712+0.0019735i,-0.0031166+0.00063329i,-0.00048114+0.00049671i,-0.00093717-0.00039651i,0.00024976-0.0022369i,-0.00072766-0.0031735i,-0.0006027-7.3345e-05i,-5.2511e-05+0.00048271i,0.00095312-0.0007401i,-0.014524+0.00027203i,0.0019062+0.00087707i,0.00011611+0.0020852i,-0.00095773+0.0028766i,-0.00054537-0.0016964i,0.00070201-0.00020119i,-0.00041305+2.9249e-05i,0.00090231+0.001291i,-0.0014316+0.00077959i,0.01653+0.02083i,-0.028832+0.0036654i,-0.010742+0.015618i,-0.030434+0.0067137i,-0.02625+0.039419i,-0.03247+0.0012687i,0.0075539+0.0088981i,-0.0064626-0.0060718i,-0.024279+0.00093425i,-0.021944+0.011348i,0.0045346+0.029063i,-0.00044125+0.002529i,0.001987-0.0028016i,-0.0053439-0.012065i,0.0064945+0.01127i,0.0064785+0.019035i,0.0026672+0.00092278i,0.00235-0.0043234i,0.0015764+0.0027094i,0.0032385-0.0075391i,0.0093472-0.0021644i,0.0087421+0.0036057i,-0.0069304+0.0041168i,0.01054+0.0057408i,0.0080122-0.00020115i,0.010745-0.00038571i,0.00017362+0.0012148i,0.0014014-0.0053855i,-0.00028483-0.0099638i,0.00095396+0.0023598i,-0.030149+0.015232i,-0.0032511-0.0091959i,-0.0025464-0.00023149i,0.004236-0.0051502i,0.001082+0.00081224i,-0.0076704-0.015017i,0.0002434-0.0064625i,0.0035098+0.0015256i,0.0030308-0.00065849i,0.0022936-0.0082819i,-0.0089326+0.0033299i,-0.0030512+0.0018485i,-0.0034386-0.0016247i,-0.0048592-0.0017437i,-0.006065-0.0026088i,-0.017812+0.027405i,-0.016096+0.016375i,-0.015294-0.014159i,-0.0055296+0.0028091i,0.0071445+0.02245i,-0.0047839+0.014988i,0.0038624+0.00066393i
0.021506+0.04189i,0.011597+0.018065i,0.014397+0.028091i,0.0057645+0.020067i,0.0080462+0.0076843i,0.004156-8.0052e-05i,0.015619+0.01718i,0.016841+0.00068774i,0.010942-0.0066001i,0.001323+0.0038393i,0.002403-0.0025349i,0.0032652-0.0052476i,-0.0019034+5.3367e-06i,0.002194-0.0020372i,0.0019443-0.00034541i,0.0065613-0.0013027i,0.0086018-0.00217i,0.00023637+3.7925e-05i,-0.0043675-0.00098325i,-0.00051309+0.00080806i,-0.00044539-0.00062883i,-0.0022971-0.0016047i,-0.0021065+0.00070717i,0.00063713+0.0087129i,-0.0006905+0.0012591i,2.6725e-05+0.0016171i,0.00074043+0.0014233i,-0.0025153+0.0016757i,-0.00056518+0.00036617i,-0.0012844-4.7386e-05i,-0.00071948-0.001958i,-0.0026854-0.0020482i,-0.0004128+0.00014756i,5.9153e-05+0.00049241i,0.00028016-0.00090893i,-0.012993+0.0047771i,0.0019183+0.00023274i,0.00063994+0.0014509i,0.00049811+0.0038189i,-0.00042738-0.0014131i,-0.00077238-0.00041863i,0.00065078-0.00046879i,0.00059442+0.0013857i,-0.0011219+0.0011959i,0.019045+0.017892i,-0.027449+0.010858i,-0.010252+0.015292i,-0.024492+0.0097797i,-0.013801+0.039965i,-0.032289+0.010091i,0.0060365+0.0024655i,-0.0072617-0.011201i,-0.020531+0.0026636i,-0.015658+0.015368i,0.011656+0.0239i,-0.00054012+0.0024212i,-0.0014195-0.0018505i,-0.0098599-0.0085967i,0.010494+0.0066796i,0.012675+0.013426i,-0.00010246+0.0019968i,-0.00059875-0.0065003i,0.0051163+0.0017986i,-0.00060478-0.0069752i,0.0064031-0.0056572i,0.0097955+0.0001747i,-0.0055316+0.0068128i,0.013327-1.7414e-05i,0.0079903-0.0050232i,0.008951-0.0059908i,0.0013889+0.0011142i,-0.00039178-0.0056625i,-0.0046856-0.0064829i,0.0027779+0.001297i,-0.020897+0.028307i,-0.0057206-0.0073022i,-0.0013524+0.00083597i,0.0012364-0.0066598i,0.0020349+0.00061995i,-0.012983-0.011464i,-0.0010929-0.0045391i,0.0038397-0.00056212i,0.0026987-0.0012526i,-0.0005616-0.0083403i,-0.00464+0.0070515i,-0.0017377+0.0032466i,-0.004115+0.0014004i,-0.0066998-0.00073254i,-0.0059022-0.0014606i,-0.012197+0.030671i,-0.0073474+0.021035i,-0.01944-0.012924i,-0.0028581+0.00097777i,0.010423+0.020478i,-0.0022063+0.01729i,0.0029455-0.0026718i
