-0.031334-0.040787i,-0.021214-0.021511i,-0.012959-0.037i,-0.029876-0.02078i,-0.022476-0.0012629i,-0.014624-0.0066102i,-0.056037-0.061628i,-0.047742-0.018541i,-0.03829-0.012547i,0.012446+0.01251i,-0.0075764+0.0047615i,-0.020303+0.019624i,0.0015221+0.011795i,-0.0058412-0.0023682i,0.00016706+0.0015849i,-0.0025899+0.031766i,0.025912+0.027647i,0.0023592-0.0021418i,-0.0023293-0.0075759i,0.0091164+0.0028608i,0.0025064+0.00096539i,-0.00015833+0.0030904i,-0.00035707+0.00027362i,-0.035572-0.011545i,0.00058135-0.0083711i,0.0015882+0.0021881i,0.0075319+0.00092022i,0.0021909+0.00079145i,0.0010766-0.00029662i,-0.00057383-0.0028613i,0.0014475-0.0024024i,-0.0024272-0.0068276i,-0.00084009-0.0050457i,0.0029683-0.00055614i,0.0047235-0.00321i,-6.2617e-05+0.031843i,0.0047023-0.0039469i,0.0031468-0.0016781i,0.0082694-0.0014716i,-0.0079012-0.0030106i,-0.00020902+0.00073629i,0.0093406+8.8788e-05i,0.0048754-0.0025629i,-0.001791+0.0090542i,-0.017722-0.0080375i,-0.018359+0.015798i,-0.00090052-0.063047i,-0.0046675-0.027106i,-0.026287-0.032747i,-0.010304-0.027171i,0.056716-0.018861i,0.018256-0.042886i,0.023529-0.047557i,0.0055952-0.054303i,0.027301-0.019677i,0.0086405+0.0062234i,0.02604-0.033961i,-0.0075201-0.0062093i,0.0043013-0.0051931i,-0.0043875-0.0068261i,-0.0014764-0.033835i,-0.018139+0.028681i,0.0090747-0.011734i,-0.0092961-0.0046338i,-0.0042384-0.0016737i,0.0013756-0.013023i,-0.011263+0.0045121i,0.0026605+0.01038i,-0.0056123+0.026626i,0.004907+0.0023666i,-0.0051975-0.002586i,-0.0020494-0.0022583i,-0.014143-0.0086858i,-0.00034968-0.0040774i,-0.034755-7.3628e-05i,0.0015826-0.010922i,-0.0088823-9.4595e-05i,-0.0069728-0.0021881i,0.0051662+0.0016386i,-0.0078236-0.0001412i,0.0025562+4.542e-05i,0.0040471+0.0077435i,0.0042022+0.00080805i,-0.0071276-0.012417i,0.002327+0.0093508i,-0.016533+0.0055139i,0.0067898-0.00037942i,-0.022443-0.0003312i,-0.018223+0.0069289i,-0.008587-0.068288i,0.0079078-0.012531i,-0.047757-0.024295i,-0.02129+0.00054739i,0.017418+0.011546i,-0.024039+0.014681i,-0.019843-0.0061265i
-0.040832+0.032328i,-0.018047+0.01949i,-0.021679+0.041829i,-0.027838+0.013811i,-0.0057162+0.021922i,-0.0012921+0.0082162i,-0.032764+0.016931i,-0.0039225+0.030012i,0.0076282+0.018233i,-0.0059219-0.0061652i,0.0026202+0.0035432i,0.0080008-0.00047938i,0.005834+0.00055263i,-0.00063272+0.0036256i,0.00071751+0.0021836i,0.006745-0.0049725i,-0.0062719-0.0011455i,-0.0031855+0.00012339i,0.0040986-0.00096154i,-2.6651e-05-0.0010023i,0.0032718-0.0054608i,0.0018163-0.0029308i,0.0014122-0.0026134i,-0.0099975-0.0115i,-0.0013011+0.0029038i,-0.0016161+0.00021186i,-0.0043511-0.0016198i,-0.0029179+8.9385e-05i,-0.0013539-0.001392i,4.7144e-05-0.00066192i,-0.0006225+0.0040565i,0.00049769+0.00093532i,0.0015189+0.00099116i,-0.00054695+0.00072809i,-0.0026988+0.0028741i,-0.001405-0.0071114i,-0.0026881+0.0013365i,0.00086689-0.0003384i,-0.0017862+0.0033641i,0.0039157+0.0037491i,-0.00063789-0.0018582i,-0.00011611-0.0030032i,-0.0041254-0.00021605i,0.0042715+0.00020664i,-0.01701+0.025148i,0.007003-0.037921i,-0.056231+0.0031173i,0.0081204-0.031437i,-0.030611-0.04951i,-0.029216-0.020749i,-0.063701+0.019683i,-0.0382+0.00014364i,-0.03468-0.0074113i,-0.027667-0.022492i,-0.040338-0.023951i,-0.0054285+0.0032281i,-0.028295+0.0096756i,0.0068429+0.019817i,0.0020351+0.0082955i,-0.0025059-0.0063578i,0.0021588+0.001486i,-0.010503-0.0041038i,0.0061648+0.011295i,-0.00070367+0.0055776i,-0.0019483-0.001472i,0.001273+0.0018308i,0.0038327-0.001104i,-0.0039804+0.018404i,0.003106+0.015997i,0.003862-5.3422e-05i,0.010612-0.0070762i,0.0043692+0.003175i,-0.0091235-0.0067682i,-0.00063458-0.0030961i,0.027404-0.04219i,0.0079996+0.010851i,0.0052994+0.0022098i,-0.0025356+0.0028481i,0.0040908-0.0058935i,0.020804+0.0083791i,0.0028693+0.0028699i,0.0011603-0.0068812i,0.00091662-0.0031123i,0.014549+0.010699i,0.004906+0.0020355i,0.002635-0.0050464i,0.0039629+0.008677i,-0.00044564+0.0014885i,0.0095797+0.0027365i,-0.047199-0.013889i,-0.0058873+0.012344i,-0.0021928-0.0045051i,-0.0063995+0.0058744i,-0.037452+0.011259i,-0.0057038+0.007569i,-0.010842+0.013137i
-0.034975+0.03758i,-0.014643+0.019495i,-0.011339+0.038028i,-0.025016+0.016938i,-0.0028228+0.020176i,0.00015152+0.0081723i,-0.03151+0.022418i,0.0021838+0.029031i,0.0096898+0.012897i,-0.0073103-0.0033803i,0.0038028+0.003919i,0.0069723-0.0029681i,0.0052239-0.0014399i,0.00156+0.0042363i,0.00092044+0.0021779i,0.0023246-0.0046661i,-0.0075529+0.0026112i,-0.002673+0.0012213i,0.0045714-0.0019854i,0.00023862-0.0010209i,0.0016188-0.005427i,0.0014549-0.0026639i,0.00081423-0.0027i,-0.012435-0.0074031i,0.00015446+0.0025043i,-0.0016545+0.00065265i,-0.0041159+0.00033495i,-0.0020131+0.00068317i,-0.001908-0.00083354i,0.00018815-0.00058719i,0.00041849+0.0032148i,0.00018015+0.0010256i,0.0015641-1.0183e-05i,-0.000678+0.00096604i,-0.0025678+0.0032805i,-0.0014737-0.0059622i,-0.002381+0.0020472i,-3.1094e-05-0.0010669i,-0.00065692+0.0036238i,0.0041696+0.0013886i,-0.00093811-0.0013994i,-0.0016993-0.003352i,-0.0042351+0.0013079i,0.0044917-0.0007523i,-0.012806+0.024573i,-0.0070039-0.043357i,-0.049647+0.014215i,-0.00096326-0.039152i,-0.04482-0.044258i,-0.030111-0.013907i,-0.052302+0.031936i,-0.034998+0.0088419i,-0.025126-0.0098746i,-0.030248-0.018403i,-0.045026-0.0089396i,-0.0045509+0.0031192i,-0.02377+0.021604i,0.011895+0.013621i,0.005011+0.0050979i,-0.0089035-0.0085475i,-0.0012053+0.0036348i,-0.011107+0.0029528i,0.010225+0.0074715i,0.0007511+0.0072106i,-0.0022617-3.0516e-05i,0.0020708+0.003134i,0.0039635-0.0014169i,0.0051132+0.014994i,0.0091483+0.0096904i,-0.00052718-0.0034758i,0.0037265-0.0082064i,0.0049267+0.0026664i,-0.012202+0.00089531i,-0.0023556-0.00091052i,0.0099674-0.043684i,0.012195+0.0084854i,0.0076053-0.00057375i,0.00088852+0.0025799i,-2.7521e-05-0.003643i,0.021866-0.0018893i,0.0032027+0.0012565i,-0.0024361-0.0052393i,-0.0030004-0.0018203i,0.011151+0.0043731i,0.0048402+0.001955i,0.00074043-0.0036641i,0.0069584+0.0073799i,-0.00042837+0.0025744i,0.0099398-0.0007247i,-0.049728-0.0093202i,-0.00046847-0.0026883i,-0.00093869-0.0041624i,-0.0042157+0.0054253i,-0.031005+0.022731i,-0.0032218+0.0085277i,-0.00040178+0.016845i
-0.028349+0.041729i,-0.012187+0.019748i,-0.0063948+0.031875i,-0.022141+0.01993i,0.00096928+0.01935i,0.0018307+0.0076328i,-0.027657+0.028419i,0.0076987+0.026279i,0.0090284+0.0092212i,-0.0076106-0.00031246i,0.0057575+0.0032833i,0.0028532-0.0039868i,0.004095-0.0026927i,0.0023896+0.0036045i,0.0015168+0.0021074i,-0.0012874-0.0019536i,-0.0061869+0.0065948i,-0.001355+0.0017268i,0.0043635-0.0043057i,0.00052065-0.0016811i,-4.9751e-05-0.0053994i,0.0014411-0.0030756i,0.00030974-0.002736i,-0.01432-0.0033319i,0.00086279+0.0020022i,-0.0010249+0.0014442i,-0.0029887+0.00064005i,-0.0010226+0.0012032i,-0.0020184-0.00067996i,-8.3783e-05-0.00098672i,0.0015489+0.0030046i,0.00038468+0.0012644i,0.0011311-0.00047263i,-0.00042541+0.000891i,-0.0009296+0.0044039i,-0.00070293-0.0060132i,-0.002184+0.0023507i,-0.00090824-0.00097169i,0.0016225+0.0025972i,0.003259-3.6709e-05i,-0.0011858-0.001121i,-0.0015776-0.0017258i,-0.0039819+0.0025372i,0.0039532-0.0026346i,-0.0097229+0.024432i,-0.023711-0.041073i,-0.039507+0.020749i,-0.012766-0.041377i,-0.053202-0.035389i,-0.026806-0.0080462i,-0.036431+0.038301i,-0.023952+0.014378i,-0.027023-0.01353i,-0.031484-0.014436i,-0.043077+0.0061093i,-0.0036668+0.0032268i,-0.012481+0.029183i,0.013705+0.0071178i,0.0034489-0.00013963i,-0.018683-0.0051191i,-0.00062213+0.0048726i,-0.0072544+0.006747i,0.011463+0.0018883i,0.0034158+0.0078451i,-0.0037586+0.0019372i,0.0023559+0.001382i,0.0039531-0.002905i,0.0077215+0.0080727i,0.0087631+0.0039257i,-0.0050243+0.00023355i,0.00057694-0.0064139i,0.0066079+0.0015481i,-0.0064924+0.0099106i,-0.00057295+0.0012859i,-0.0083612-0.033293i,0.01641+0.0019358i,0.0059451-0.0035288i,0.0012757+0.0013248i,-0.00015218-0.001489i,0.017057-0.0094582i,0.0015415+0.0029232i,-0.0048873-0.0025589i,-0.0035042+0.0023517i,0.0093617-0.0010288i,0.0086981-1.5283e-06i,0.0006584-0.003531i,0.010643+0.0038419i,0.0029228+0.0024307i,0.0085312-0.0039668i,-0.052672+6.9031e-05i,-0.0089557-0.011079i,0.00151-0.0077088i,-0.0030366+0.0036674i,-0.020971+0.029021i,-0.0033461+0.0034151i,-0.0015124+0.010133i
-0.02086+0.044484i,-0.0092719+0.020929i,-0.004979+0.027099i,-0.017899+0.022841i,0.00436+0.016299i,0.0034939+0.0061266i,-0.021272+0.03349i,0.011646+0.021974i,0.0087156+0.0078233i,-0.0067965+0.0025438i,0.0068167+0.0010428i,0.00052143-0.001364i,0.0027109-0.0033752i,0.0022666+0.003639i,0.0020246+0.0016994i,-0.0017528+0.0022175i,-0.0024821+0.0093565i,-0.00049367+0.0013718i,0.0024495-0.0053735i,-0.00028788-0.0023992i,-0.0015074-0.0044665i,0.00098684-0.0034409i,-0.00032665-0.0029794i,-0.014271+0.002467i,0.0012939+0.0010263i,2.818e-05+0.00095347i,-0.0028331-0.00016554i,0.00021845+0.00055483i,-0.0022624+5.9891e-05i,-0.0005384-0.00057846i,0.0025097+0.0019912i,0.0010789+0.0011779i,0.00045032-0.00083723i,-0.00020753+0.00090063i,0.0010984+0.0035563i,-0.0013499-0.0080888i,-0.0012518+0.0031773i,-0.001347-0.00018484i,0.0016417+0.00018974i,0.0028029-0.00054164i,-0.0012916-0.00068004i,-0.00097835-0.0016736i,-0.0029908+0.0034534i,0.0014308-0.0049422i,-0.0068527+0.025223i,-0.036471-0.028471i,-0.029882+0.021864i,-0.02402-0.038454i,-0.061913-0.024662i,-0.021709-0.0062151i,-0.022349+0.037376i,-0.013934+0.010787i,-0.028006-0.01041i,-0.031695-0.0092884i,-0.036381+0.016725i,-0.003337+0.0034146i,-0.00017235+0.029009i,0.0147+0.0018754i,-0.0013481-0.0011104i,-0.022977+0.0057363i,-0.00070759+0.0066379i,-0.003656+0.0065366i,0.0089495-0.0036206i,0.0062907+0.0069861i,-0.0028409+0.0045491i,0.0002803+0.0019283i,0.0030537-0.0056936i,0.005826+0.0022429i,0.0060216+0.00063781i,-0.0031436+0.0034463i,-0.0013357-0.0047271i,0.0067255-0.00059868i,0.0056238+0.01227i,0.00032277+0.00070373i,-0.011513-0.026174i,0.014337-0.0045993i,0.0041049-0.0046124i,0.0023519+0.0020428i,0.00012481-0.0013356i,0.011281-0.012588i,0.0050079+0.0037254i,-0.0060194+0.00067956i,-0.00099252+0.0042943i,0.0074286-0.002141i,0.0079669-0.0055884i,-0.00085364-0.0030986i,0.0098435-0.0026182i,0.002789-0.0011095i,0.00694-0.0071145i,-0.048522+0.012011i,-0.019029-0.01074i,-0.0023271-0.013477i,-0.0023866+0.0012693i,-0.011841+0.02715i,-0.0073322+0.0033239i,-0.0024019+0.008885i
-0.013952+0.045768i,-0.006445+0.02101i,-0.0058574+0.024929i,-0.013203+0.02425i,0.0061081+0.013092i,0.0038319+0.0043175i,-0.013392+0.035898i,0.014276+0.017849i,0.0095361+0.0066896i,-0.0045457+0.0044521i,0.0063534-0.0012335i,0.00097687+0.00082223i,0.0014757-0.0036071i,0.0036167+0.0040864i,0.002369+0.0012546i,0.00012763+0.0050387i,0.0019303+0.010094i,-0.00020487+0.0009943i,0.0010623-0.0056197i,-0.0013919-0.0022263i,-0.0027226-0.0036595i,0.00022642-0.0035308i,-0.0012907-0.0028751i,-0.0093674+0.0062964i,0.0023142-0.0037694i,-0.00012324+1.4437e-06i,-0.0012939+0.00041957i,0.00034659-0.00065761i,-0.0021432+0.0013812i,-0.0003059-0.00021889i,0.0028308+0.00046542i,0.001983+0.00019508i,-0.00027891-0.00071926i,-0.0002294+0.00081728i,0.0015437+0.0026124i,-0.0041661-0.009635i,-0.00025267+0.0031634i,-0.00028912+0.001156i,0.00030917-0.00039983i,0.0020829-0.00081589i,-0.0011833-0.00036617i,-0.0013711-0.0023266i,-0.0015306+0.0039642i,-0.0013771-0.0036871i,-0.0026192+0.026352i,-0.036932-0.013012i,-0.023379+0.019981i,-0.033955-0.032092i,-0.067737-0.0085781i,-0.018738-0.008581i,-0.011372+0.033079i,-0.0094437+0.0055178i,-0.027336-0.0089429i,-0.030601-0.0057637i,-0.029352+0.023878i,-0.0026494+0.0034498i,0.012138+0.024455i,0.013133-0.0027419i,-0.0048155+0.0015278i,-0.021115+0.01513i,0.0013798+0.0077361i,-0.00063242+0.0062967i,0.0031314-0.0046471i,0.0086324+0.0048028i,-0.0010514+0.0062816i,0.00030781+0.0042217i,0.00088611-0.0068957i,0.0014363+0.002469i,0.0034338+0.00095062i,-0.0022475+0.0050553i,-0.002381-0.0024559i,0.0059293-0.0028908i,0.011022+0.0073124i,0.00052972+0.00013916i,-0.015315-0.024023i,0.010191-0.0085064i,0.0023313-0.0056339i,0.0063111+0.00093616i,-0.00027253-0.00060243i,0.0071936-0.01324i,0.0073831+0.00091223i,-0.0042109+0.0038492i,0.0020252+0.004259i,0.0065586-0.0029439i,0.0034331-0.009873i,-0.00089692-0.0022883i,0.0056523-0.0058756i,0.00079473-0.0022055i,0.002983-0.010085i,-0.040368+0.017384i,-0.027334-0.0028014i,-0.0071136-0.014169i,-0.0032185-0.0014304i,-0.0072478+0.026157i,-0.010238+0.0060615i,-0.0015803+0.0091477i
-0.0070883+0.046441i,-0.0041908+0.0213i,-0.0060578+0.026251i,-0.0085734+0.024327i,0.0063393+0.010022i,0.003946+0.0032727i,-0.005026+0.035484i,0.015809+0.013522i,0.01076+0.0045843i,-0.0026189+0.0045278i,0.0045252-0.0023714i,0.0020686+0.0018302i,0.00021992-0.003504i,0.005345+0.0029082i,0.0023455+0.00063423i,0.0029167+0.0061056i,0.0062686+0.0086092i,1.2445e-05+0.00090966i,-0.00094123-0.0057556i,-0.0020859-0.0016074i,-0.0030541-0.0022033i,-0.00041048-0.0036313i,-0.0020163-0.0022648i,-0.0062279+0.0050675i,-0.00077553-0.00083294i,-0.00080273-0.00012792i,-0.0013494+0.0010122i,-0.0002061-0.001647i,-0.00057307+0.0011658i,-0.00017926-0.0004375i,0.0025097-0.00075672i,0.0021753-0.00088302i,-0.00064738-0.00029288i,-0.00016255+0.00073103i,0.0017368+0.002104i,-0.0076073-0.0094282i,0.00050075+0.0026689i,-0.0017527+0.0019093i,-0.00061344+0.00070418i,0.0018197-0.0003799i,-0.00087249+7.4042e-05i,-0.0024529-0.0017163i,-0.00022618+0.0034239i,-0.0023999-0.0015785i,0.0021483+0.026953i,-0.031206-0.0050315i,-0.019428+0.01858i,-0.039867-0.021374i,-0.064448+0.010432i,-0.022358-0.011664i,-0.0048606+0.027034i,-0.0070548+0.0010897i,-0.026817-0.0062717i,-0.030764-0.0024153i,-0.022261+0.027931i,-0.002904+0.0037327i,0.01861+0.011344i,0.010552-0.0074369i,-0.0059357+0.0056413i,-0.013871+0.02381i,0.0041587+0.0067193i,0.0026738+0.0046325i,0.00053132-0.0018395i,0.010296+0.00094835i,0.0015047+0.0073813i,0.0017697+0.0053042i,-0.0036817-0.0086464i,0.00098364+0.005935i,0.0034089+0.0023536i,0.0011835+0.0085792i,-0.001571-0.00064106i,0.0044111-0.0037102i,0.011493+0.0020183i,0.0010136-0.00069711i,-0.023423-0.022253i,0.0060273-0.010194i,-0.00010103-0.0057488i,0.005162+0.0001473i,-2.1586e-06+0.00055921i,0.0047999-0.012639i,0.0071363-0.0025302i,-0.001487+0.0047914i,0.0039278+0.0018427i,0.0053046-0.0046152i,-0.0032671-0.009701i,-0.0013675-0.00247i,0.0027857-0.0056545i,0.0004562-0.0028788i,-0.0018855-0.0095305i,-0.035124+0.020133i,-0.025013+0.010508i,-0.011547-0.013947i,-0.0054602-0.002187i,-0.0044017+0.025892i,-0.0093108+0.010845i,0.0019665+0.0081632i
-0.00033715+0.046561i,-0.0012631+0.021986i,-0.0041662+0.028583i,-0.0051806+0.023266i,0.0054942+0.0083821i,0.004188+0.0021363i,0.0023037+0.032882i,0.016296+0.0098718i,0.011614+0.0023933i,-0.0014654+0.0045357i,0.0030977-0.0020281i,0.0042152+0.0022456i,-0.00090065-0.0029138i,0.0059321+0.00021496i,0.0021049+0.00024561i,0.005434+0.0055689i,0.0089739+0.0052141i,0.00029182+0.0010073i,-0.0024318-0.0050816i,-0.0023838-0.00061758i,-0.0027813-0.00092279i,-0.0013033-0.0036i,-0.0024456-0.0015251i,-0.0060531+0.0050422i,-0.0011377-0.0002562i,-0.0012864+0.00040956i,-0.0010495+0.0013593i,-0.0017106-0.0020147i,-0.00059482+0.00069817i,-0.00044112-0.00069232i,0.0020046-0.0012306i,0.0025497-0.0028398i,-0.00015573-6.2142e-05i,8.2693e-06+0.00068611i,0.0022944+0.00096267i,-0.011481-0.0079311i,0.0012689+0.0022627i,-0.0010701+0.0018019i,-0.0007729+0.0015841i,0.0020393-3.6065e-05i,-0.00053869+0.00027153i,-0.0018918-0.0002892i,0.00052262+0.0026315i,-0.0022443-0.00029512i,0.0077914+0.025419i,-0.02723-0.0036338i,-0.016472+0.017844i,-0.040054-0.011143i,-0.054682+0.025522i,-0.026097-0.0091498i,0.00015186+0.02261i,-0.0073019-0.0032001i,-0.025285-0.0043763i,-0.029273+0.0024155i,-0.015357+0.032515i,-0.0018032+0.0038011i,0.013389-0.0011021i,0.0061841-0.011304i,-0.0042497+0.0090678i,-0.0042343+0.025601i,0.0052246+0.0043725i,0.0038991+0.0015475i,0.0014633-0.0002182i,0.0093573-0.0022961i,0.0062547+0.0066531i,0.0034352+0.0063036i,-0.0082149-0.0034201i,0.0040253+0.0073441i,0.0045355+0.0027384i,0.0058977+0.0067566i,-0.0012101-0.000107i,0.0034268-0.0044423i,0.011114-0.0038335i,-0.00081366-0.0010369i,-0.032258-0.013338i,0.0020752-0.010505i,-0.0021268-0.0043287i,0.0051021-0.0012268i,0.00056615+0.00060761i,0.0030543-0.014651i,0.0053636-0.0053103i,0.00086487+0.0041409i,0.0038254+0.00089097i,0.0038921-0.0056212i,-0.0067704-0.0057999i,-0.0025255-0.0021512i,-0.00232-0.0057696i,-0.001433-0.0036142i,-0.0047115-0.0069927i,-0.029337+0.023089i,-0.018703+0.011782i,-0.012212-0.012452i,-0.007187-0.0014152i,0.00068391+0.024588i,-0.0075945+0.01251i,0.0024563+0.0055686i
0.0064655+0.045699i,0.00249+0.022474i,-0.00011039+0.031273i,-0.0024148+0.022888i,0.004753+0.0080508i,0.0039372+0.0012358i,0.0082757+0.028814i,0.016459+0.0069188i,0.01209-0.00054664i,-0.0004779+0.0046672i,0.003052-0.0013786i,0.0062933+0.00019718i,-0.0017213-0.0019473i,0.0043012-0.0013019i,0.002034+0.00013159i,0.0075431+0.0035824i,0.0091215+0.0021696i,0.0007336+0.00070957i,-0.0037054-0.0040668i,-0.002011+0.00045661i,-0.0020288-0.00032328i,-0.0021296-0.0027241i,-0.0026578-0.00079595i,-0.0058211+0.0066218i,-0.0013884+0.00038138i,-0.0010592+0.0011277i,-0.00071751+0.0018466i,-0.0030734-0.00097241i,-0.00063398+0.00065974i,-0.00077287-0.00061564i,0.0014328-0.0020412i,0.001272-0.0032612i,-0.00037469-0.00019144i,7.2258e-05+0.00056752i,0.0019192-0.00015746i,-0.014748-0.0041683i,0.0017366+0.0016279i,-0.00045311+0.0021056i,-0.0012497+0.00172i,0.0014023+0.001775i,-1.4623e-05+0.00034097i,-0.0011024+0.0002012i,0.00069918+0.0018041i,-0.0017896+0.00060217i,0.012116+0.022103i,-0.027495-0.0028577i,-0.014545+0.016843i,-0.03943-0.0026547i,-0.041599+0.033656i,-0.029408-0.005737i,0.0049076+0.016547i,-0.0084868-0.0048223i,-0.024314-0.0032195i,-0.026813+0.0071536i,-0.0059993+0.035228i,-0.00082769+0.0036292i,0.0063784-0.0029392i,0.00071894-0.012859i,-0.00018903+0.012302i,0.0038791+0.022957i,0.0048363+0.0022183i,0.0034057-0.0012084i,0.0010011+3.6773e-05i,0.0073752-0.0057504i,0.0095496+0.0033642i,0.006468+0.0060398i,-0.0078754+0.00053925i,0.0071187+0.0072948i,0.0061153+0.0024602i,0.0099829+0.0033824i,-0.00077098+0.00062206i,0.0029426-0.005237i,0.0064773-0.0074606i,-0.0010055+0.0010479i,-0.036158-6.8798e-05i,-0.0008102-0.0098573i,-0.003023-0.0023967i,0.0055119-0.0025265i,0.00086061+0.00036365i,-0.0013988-0.017042i,0.0027872-0.0065958i,0.0027133+0.0034717i,0.0040641-0.00021778i,0.0037336-0.0066764i,-0.0086504-0.0028159i,-0.0036663-0.00056716i,-0.0053582-0.00051327i,-0.0028638-0.0030822i,-0.0058337-0.0046795i,-0.023891+0.024204i,-0.01747+0.012157i,-0.013253-0.012863i,-0.0080867+5.9117e-05i,0.002739+0.023243i,-0.0064585+0.013323i,0.0028744+0.004025i
0.013498+0.044114i,0.0072247+0.021772i,0.0064485+0.032201i,0.00068232+0.022517i,0.0053421+0.0087269i,0.0037913+0.00080016i,0.012395+0.023499i,0.016665+0.0041427i,0.011274-0.0037684i,0.00071542+0.0044475i,0.003228-0.0019385i,0.0058571-0.0030637i,-0.0019995-0.00083922i,0.003503-0.0015633i,0.0020585-7.7322e-05i,0.0080055+0.00084018i,0.0090139+0.00064538i,0.00043365+0.00018693i,-0.0049932-0.0025004i,-0.0012075+0.00083431i,-0.0011414-0.00049139i,-0.0023173-0.0019751i,-0.002609+1.2399e-05i,-0.0035612+0.0085838i,-0.0012683+0.00092381i,-0.00048477+0.0014995i,-5.723e-05+0.0019549i,-0.0034875+0.00071128i,-0.00054427+0.00057678i,-0.00099613-0.00043159i,0.00032693-0.0024454i,-0.0010671-0.0035479i,-0.00051757+5.1625e-05i,1.5448e-05+0.00047314i,0.0012642-0.00076453i,-0.015529+0.0009121i,0.0018081+0.00097873i,0.00025134+0.0020452i,-0.00089959+0.0023519i,-0.00042879-0.00037357i,0.0006597-5.8191e-05i,-0.00052643+0.00015252i,0.00059097+0.0012848i,-0.0012614+0.001094i,0.014763+0.019018i,-0.029727+0.0011861i,-0.013018+0.016201i,-0.034405+0.0060171i,-0.029084+0.038308i,-0.032195+0.0013376i,0.0075023+0.0088852i,-0.0067601-0.006775i,-0.023402-0.00085396i,-0.022474+0.011685i,0.0042809+0.035097i,-0.00047411+0.0026057i,0.0023926-0.00314i,-0.0052916-0.012398i,0.0064226+0.011794i,0.0085074+0.0181i,0.0028917+0.00097067i,0.0020502-0.0039969i,0.0018999+0.0025483i,0.0035026-0.0078185i,0.010643-0.0021815i,0.0089099+0.0038457i,-0.0073419+0.0043466i,0.011386+0.0055572i,0.0082871+2.414e-05i,0.011008-0.0021261i,5.58e-05+0.001239i,0.0015198-0.0060591i,0.00013424-0.0091901i,0.00089779+0.0024643i,-0.034341+0.013894i,-0.0033803-0.0092815i,-0.002671-0.0003927i,0.0049993-0.0068502i,0.001305+0.00077522i,-0.0079269-0.016039i,-2.1531e-05-0.0062304i,0.0040761+0.0017024i,0.0038025-0.00086346i,0.0020197-0.0083031i,-0.0092495+0.0023662i,-0.0032313+0.0018002i,-0.0035329-0.0011016i,-0.0042012-0.0026698i,-0.0059243-0.0026002i,-0.021163+0.025243i,-0.01643+0.017045i,-0.016304-0.015722i,-0.0058215+0.0019729i,0.0063804+0.023175i,-0.0057679+0.015517i,0.003909+0.0012591i
0.020456+0.04109i,0.011263+0.019531i,0.013324+0.029626i,0.0039028+0.021617i,0.0070138+0.008757i,0.0041693+0.00049844i,0.014457+0.01835i,0.016407+0.0012136i,0.0099183-0.0060464i,0.0013808+0.0041142i,0.0027393-0.0025624i,0.0035827-0.0048046i,-0.0019277+5.0659e-05i,0.0025313-0.0017284i,0.0020129-0.00036171i,0.0068705-0.0013336i,0.0092351-0.0020837i,0.00022787+0.00012432i,-0.0052764-0.00066207i,-0.00058725+0.00082562i,-0.00048988-0.00088509i,-0.002443-0.0016541i,-0.0021923+0.00065923i,-0.00017626+0.0093269i,-0.00098308+0.001182i,-8.4247e-05+0.0016422i,0.00070096+0.0014356i,-0.0026352+0.0021349i,-0.00065542+0.000384i,-0.0013504-0.00016259i,-0.00079134-0.002203i,-0.0030961-0.0030371i,-0.00027384+0.00022564i,0.00013349+0.00049474i,0.00047919-0.0010005i,-0.013906+0.0055503i,0.0018725+0.00039879i,0.00062126+0.0014934i,0.00016223+0.0030862i,9.2768e-05-0.0010143i,-0.00044349-0.00035537i,0.00077109-0.00076576i,0.00039608+0.0012592i,-0.00075534+0.0013856i,0.017192+0.016557i,-0.029089+0.0082495i,-0.012869+0.015854i,-0.027788+0.0097071i,-0.01624+0.03974i,-0.030976+0.010801i,0.0059688+0.0014039i,-0.0071308-0.01198i,-0.020127+0.0013373i,-0.01589+0.015209i,0.014546+0.028668i,-0.00060693+0.0025169i,-0.0016482-0.0020999i,-0.010238-0.0090284i,0.010616+0.0071835i,0.011003+0.01272i,-8.6594e-05+0.0019117i,-0.0003129-0.0065927i,0.0053579+0.0013797i,-0.00062957-0.0072483i,0.0075979-0.0061474i,0.01013+0.00016355i,-0.0059929+0.0071237i,0.01445-0.00014568i,0.0081427-0.0048995i,0.0093946-0.0069982i,0.0013589+0.0012345i,-0.00046236-0.0063595i,-0.0040098-0.0063741i,0.0028747+0.0013259i,-0.025746+0.02967i,-0.0058442-0.0085108i,-0.0014134+0.00091311i,0.0012972-0.0075779i,0.0023559+0.00051444i,-0.013602-0.011899i,-0.0011714-0.0044334i,0.0042283-0.00072179i,0.0032901-0.0014125i,-0.00082357-0.008545i,-0.0057061+0.0066464i,-0.0016373+0.0032348i,-0.0046131+0.0017798i,-0.0062387-0.0012704i,-0.0058647-0.0016439i,-0.015857+0.02944i,-0.0078645+0.0212i,-0.023337-0.015759i,-0.0027899+0.00059983i,0.0096669+0.021206i,-0.0029593+0.018396i,0.003035-0.0022856i
