-0.027496-0.042425i,-0.020808-0.022615i,-0.012508-0.037737i,-0.029583-0.021372i,-0.024691-0.0018765i,-0.01321-0.0037557i,-0.05217-0.053807i,-0.046972-0.01688i,-0.037579-0.012383i,0.01155+0.01341i,-0.0088495+0.0051493i,-0.019786+0.019542i,0.0016608+0.012322i,-0.0042034-0.002118i,0.00090206+0.0010133i,-0.00050666+0.028977i,0.02438+0.025571i,0.0026381-0.0021104i,-0.0024369-0.0072645i,0.0079299+0.0025151i,0.0027449+0.00090332i,-0.00061039+0.0031927i,-0.00042272+6.7542e-05i,-0.033402-0.0098354i,0.00064507-0.008587i,0.0015794+0.0022439i,0.0061294+0.00061656i,0.0021226+0.00044634i,0.0012425-0.00039353i,-0.00035031-0.0027503i,0.0015169-0.0020929i,-0.0022875-0.0063125i,-0.00076979-0.0044766i,0.0033733-0.00042435i,0.0049701-0.00295i,0.0012996+0.029271i,0.0041538-0.0035474i,0.0030268-0.0014643i,0.0083453-0.00088699i,-0.0076746-0.0023427i,-0.00035166+0.0006666i,0.0095412+0.00082889i,0.0051379-0.0019114i,-0.0028868+0.008501i,-0.016635-0.0093219i,-0.018048+0.016138i,0.00037167-0.062741i,-0.0044479-0.027181i,-0.025413-0.03448i,-0.009999-0.027031i,0.052225-0.024273i,0.016796-0.043381i,0.026009-0.046437i,0.0080873-0.053996i,0.028453-0.019701i,0.0088091+0.0063728i,0.025973-0.033767i,-0.0084021-0.0063579i,0.0029349-0.0039675i,-0.0049031-0.0068276i,-0.001042-0.033337i,-0.019944+0.028908i,0.0093526-0.01197i,-0.0093818-0.004035i,-0.0040538-0.0017318i,0.00033121-0.012984i,-0.011218+0.00417i,0.0023752+0.010687i,-0.0054207+0.026563i,0.004833+0.0027386i,-0.0053097-0.0020121i,-0.0020785-0.002026i,-0.013585-0.0081687i,-9.9765e-05-0.0044265i,-0.030674-0.00060093i,0.0015214-0.011043i,-0.0087744+7.1364e-05i,-0.0073677-0.002238i,0.0052366+0.0014727i,-0.0080662-0.00070637i,0.0022518+0.00027007i,0.0042691+0.0078194i,0.0043753+0.00064816i,-0.0074525-0.013665i,0.0027403+0.0097343i,-0.015741+0.0051967i,0.0070665+0.00034386i,-0.02285-0.0019491i,-0.01846+0.0062521i,-0.0060133-0.06861i,0.0080497-0.012397i,-0.047172-0.025392i,-0.019734-0.001463i,0.016703+0.0131i,-0.023942+0.013789i,-0.019689-0.0054074i
-0.044963+0.027562i,-0.019409+0.019563i,-0.022554+0.042145i,-0.027984+0.013753i,-0.0048585+0.023108i,-6.5529e-05+0.0080464i,-0.028636+0.022922i,-0.0025024+0.029616i,0.0059577+0.01815i,-0.0062039-0.0069838i,0.0029404+0.0038407i,0.0078155-0.00011892i,0.005293-0.00024668i,-0.001051+0.0022727i,-3.5238e-06+0.0019106i,0.0056655-0.004968i,-0.0057936-0.00076319i,-0.0030753-4.0043e-05i,0.0043218-0.0012441i,-0.00018168-0.0011253i,0.0021066-0.0045557i,0.0012734-0.0029416i,0.0015003-0.0025686i,-0.0082542-0.010661i,-0.0012654+0.0027599i,-0.0017128+0.00026048i,-0.0038009-0.0012172i,-0.0028246+0.00035846i,-0.0013992-0.0022762i,-0.0001365-0.00029509i,-0.001061+0.0041507i,0.00062632+0.001408i,0.0017086+0.001003i,-0.00065192+0.00077828i,-0.0030014+0.0031876i,-0.0015962-0.0069334i,-0.0028281+0.00095241i,0.0009582-0.00066644i,-0.00198+0.0031285i,0.0039043+0.0034901i,-0.00023532-0.0016149i,-0.00019044-0.0031784i,-0.0040651-0.00013483i,0.0044379+0.0017855i,-0.019997+0.02302i,0.0069884-0.040183i,-0.056214+0.001817i,0.0090958-0.032284i,-0.032052-0.051i,-0.02914-0.021034i,-0.063521+0.02039i,-0.039172+0.001263i,-0.034005-0.0094698i,-0.025442-0.02493i,-0.040028-0.02512i,-0.0054586+0.0030933i,-0.029596+0.0092661i,0.0064612+0.01859i,0.0026619+0.0082201i,-0.003611-0.0056471i,0.0022027+0.0016512i,-0.012713-0.0053708i,0.005531+0.012248i,-0.00048009+0.0059244i,-0.0017914-0.0015643i,0.0011127+0.0026176i,0.0039434-0.00096178i,-0.004221+0.017884i,0.0026618+0.01631i,0.0038683+0.0004708i,0.0097676-0.0067191i,0.0042705+0.0031645i,-0.0092692-0.007485i,-0.00082625-0.0030447i,0.027762-0.035718i,0.0079859+0.010421i,0.00561+0.0018692i,-0.0027255+0.0026453i,0.0039334-0.0056173i,0.021481+0.0099575i,0.0031573+0.0028036i,0.00076635-0.0067562i,0.0014418-0.0030811i,0.013995+0.0092811i,0.0046852+0.0015979i,0.0028949-0.0052084i,0.0036915+0.0096409i,-1.0813e-05+0.0010494i,0.0098453+0.0032191i,-0.045446-0.016214i,-0.0057363+0.012558i,-0.0026318-0.0040349i,-0.0076957+0.004004i,-0.038617+0.010382i,-0.0059901+0.0075646i,-0.01214+0.014014i
-0.039796+0.033643i,-0.016136+0.019699i,-0.011796+0.038235i,-0.025218+0.016989i,-0.0017619+0.021154i,0.0013579+0.0079457i,-0.025603+0.027413i,0.0034382+0.028524i,0.0084589+0.013249i,-0.0076418-0.0037522i,0.0042711+0.0041823i,0.0069552-0.0027658i,0.0048989-0.0021266i,0.00081176+0.0029215i,0.00028587+0.0020769i,0.0016208-0.0042558i,-0.0069563+0.0024864i,-0.0026141+0.00095436i,0.0047677-0.0022985i,-8.2357e-06-0.001019i,0.00085417-0.0046383i,0.00098258-0.0025195i,0.00084598-0.0026877i,-0.01038-0.007201i,0.00027888+0.0025282i,-0.0016541+0.00072155i,-0.0034338+0.00047775i,-0.0019054+0.00089715i,-0.0026498-0.00011974i,0.00015616-0.00016764i,0.00064603+0.0041619i,0.00048268+0.0014488i,0.0015948-2.2055e-06i,-0.00076278+0.00096466i,-0.0025995+0.0035618i,-0.001687-0.0057669i,-0.0024369+0.0016822i,-0.00013662-0.0012915i,-0.0012331+0.0035535i,0.00402+0.0010994i,-0.00052999-0.0013801i,-0.0017982-0.0031708i,-0.0040454+0.0011846i,0.004977+0.00068i,-0.015982+0.022674i,-0.0073914-0.045575i,-0.049739+0.012449i,-0.00035412-0.040611i,-0.046051-0.045402i,-0.030124-0.014186i,-0.051982+0.032415i,-0.035792+0.0099956i,-0.02434-0.011263i,-0.028085-0.021172i,-0.045861-0.010281i,-0.0045533+0.0028656i,-0.024984+0.021803i,0.011768+0.013162i,0.0053722+0.0046473i,-0.0092336-0.0075356i,-0.00099201+0.0036261i,-0.011297+0.0026876i,0.010071+0.0084602i,0.00074249+0.0072807i,-0.001925-5.5297e-05i,0.0020996+0.0037905i,0.0040924-0.0012933i,0.0044928+0.015009i,0.0088552+0.0099433i,-0.0001065-0.0026733i,0.003112-0.007905i,0.004859+0.0027567i,-0.011884+0.0002463i,-0.002534-0.00094004i,0.0093169-0.0392i,0.011926+0.0081052i,0.0072503-0.00082674i,0.00082619+0.00279i,-0.00015965-0.0035742i,0.023248-0.00079796i,0.0033123+0.0013978i,-0.0027435-0.0052558i,-0.0025711-0.0018788i,0.013922+0.0039397i,0.0046022+0.0015455i,0.00090187-0.0038114i,0.0066625+0.0080888i,0.00012136+0.0017535i,0.01019-0.00047232i,-0.048522-0.012073i,-0.00038957-0.0020556i,-0.0018165-0.0039109i,-0.0063877+0.0045551i,-0.031926+0.022166i,-0.0037383+0.0086103i,-0.00095487+0.016776i
-0.033824+0.038675i,-0.013673+0.020099i,-0.0067466+0.032087i,-0.022234+0.019976i,0.0019028+0.0203i,0.0030381+0.007298i,-0.020659+0.031978i,0.0086588+0.025863i,0.0083842+0.0095675i,-0.0079652-0.00060696i,0.0063462+0.0035371i,0.0028262-0.0038771i,0.0038132-0.0033381i,0.0015876+0.002532i,0.00082357+0.0021865i,-0.0014341-0.0016422i,-0.0060429+0.0062916i,-0.0013119+0.0015821i,0.0044716-0.0045981i,0.00024761-0.0014906i,-0.00064542-0.0044577i,0.0010868-0.0028536i,0.00032485-0.0027483i,-0.012092-0.0040441i,0.0010117+0.0019961i,-0.0010752+0.0013749i,-0.0023237+0.00097625i,-0.00084679+0.0012615i,-0.0021441-0.00073812i,7.5889e-05-0.00063597i,0.0019571+0.0034024i,0.00068468+0.0015494i,0.001293-0.00042766i,-0.00045309+0.00090496i,-0.00091147+0.004558i,-0.0010609-0.0057473i,-0.0022436+0.0020114i,-0.0011437-0.0010945i,0.0013149+0.0027214i,0.0031479-0.00026776i,-0.00076272-0.0011805i,-0.0014576-0.0014063i,-0.0036308+0.0022321i,0.0047653-0.0014085i,-0.013395+0.02274i,-0.024218-0.043177i,-0.039848+0.019305i,-0.012696-0.042988i,-0.05532-0.036327i,-0.026911-0.0085355i,-0.036556+0.038497i,-0.02473+0.015358i,-0.025412-0.015396i,-0.029788-0.017669i,-0.044246+0.005031i,-0.0036614+0.0030841i,-0.013249+0.029283i,0.013986+0.0068169i,0.0035655-0.00031381i,-0.018201-0.0039335i,-0.00018446+0.0050352i,-0.0072992+0.0065379i,0.011843+0.0027722i,0.0031564+0.0081347i,-0.0034998+0.0015805i,0.0027555+0.0017528i,0.003898-0.0027363i,0.0075379+0.0086495i,0.008473+0.0041913i,-0.0046448+0.00036435i,0.00022629-0.0060302i,0.006529+0.0017575i,-0.0070745+0.0095257i,-0.00081839+0.0013246i,-0.0028243-0.032634i,0.015836+0.0018939i,0.0054899-0.0034227i,0.0010237+0.0014574i,-0.00016951-0.0011888i,0.01876-0.0090384i,0.00176+0.002942i,-0.0052937-0.002561i,-0.0035364+0.0019922i,0.010847-0.0012815i,0.0082318-0.0005265i,0.00098269-0.0035561i,0.01052+0.0042699i,0.0029137+0.0020565i,0.0089617-0.0037296i,-0.051982-0.0027956i,-0.009193-0.010822i,0.00039024-0.0066539i,-0.0051807+0.0040344i,-0.022204+0.026551i,-0.0029579+0.0036297i,-0.0015837+0.010726i
-0.026515+0.042484i,-0.010839+0.021541i,-0.0053139+0.027157i,-0.018175+0.022748i,0.0054866+0.017309i,0.0046262+0.0057728i,-0.013779+0.035314i,0.012938+0.021756i,0.0080843+0.0079968i,-0.0072096+0.0025178i,0.0073238+0.0011255i,0.00053563-0.0013973i,0.0022761-0.0039134i,0.0015554+0.0025532i,0.0012349+0.0019858i,-0.001716+0.0021702i,-0.0022595+0.0092207i,-0.00037723+0.0012367i,0.0024622-0.0056579i,-0.00044447-0.0020712i,-0.001705-0.0035441i,0.00076023-0.0031559i,-0.00028874-0.0029453i,-0.012783+0.00067225i,0.0015925+0.00096212i,-1.9584e-05+0.00091945i,-0.0018942+0.00051937i,0.00029324+0.00058823i,-0.0023834+0.00018731i,-0.00024335-0.00042522i,0.002873+0.0021186i,0.0014445+0.0013658i,0.00053475-0.00078321i,-0.00026678+0.00092493i,0.0011922+0.0038448i,-0.0017022-0.0075788i,-0.0012784+0.0028442i,-0.0016685-0.00029387i,0.0015449-2.5549e-05i,0.0024087-0.00078338i,-0.0008266-0.0008851i,-0.00069661-0.0013315i,-0.0029919+0.0032268i,0.0022805-0.0041348i,-0.010823+0.024045i,-0.037509-0.030619i,-0.03018+0.020391i,-0.024228-0.039972i,-0.063946-0.024641i,-0.022425-0.0065801i,-0.023033+0.037619i,-0.014851+0.011922i,-0.027159-0.013065i,-0.030934-0.012343i,-0.037914+0.016265i,-0.003338+0.0031747i,-0.0008414+0.02992i,0.014691+0.0015939i,-0.0010852-0.0012114i,-0.021898+0.0064398i,4.914e-05+0.0066256i,-0.0036594+0.0067769i,0.0095716-0.0034452i,0.0061132+0.0070972i,-0.0029121+0.0044344i,0.00079693+0.0020299i,0.0030898-0.005369i,0.0062719+0.0027479i,0.0058847+0.00083784i,-0.0033365+0.0034817i,-0.00145-0.0043905i,0.006719-0.00044182i,0.003768+0.011183i,0.00021519+0.00072401i,-0.010116-0.026949i,0.013975-0.0044157i,0.0042985-0.0041202i,0.0027041+0.0028311i,0.00035627-0.0011321i,0.012549-0.012523i,0.0049758+0.0036313i,-0.0059704+0.00070257i,-0.0011295+0.0044344i,0.0081257-0.0025861i,0.007739-0.0059557i,-0.00072626-0.0032457i,0.0099103-0.0023687i,0.0035616-0.00098063i,0.0075245-0.0071752i,-0.048354+0.0094304i,-0.01888-0.010318i,-0.0017565-0.012102i,-0.0035393+0.0027514i,-0.014294+0.027675i,-0.0073316+0.0028517i,-0.0025904+0.0090227i
-0.019607+0.044483i,-0.0080705+0.021782i,-0.0061591+0.025049i,-0.013478+0.024353i,0.0074125+0.014023i,0.0050884+0.0039405i,-0.0059997+0.036284i,0.015466+0.017241i,0.008885+0.0068098i,-0.0047258+0.0046983i,0.0075509-0.00129i,0.00097212+0.00068292i,0.0010588-0.0038548i,0.0027144+0.0029223i,0.0016961+0.0016669i,7.0209e-05+0.004531i,0.002018+0.0096632i,-5.9577e-05+0.00074325i,0.0010584-0.006016i,-0.0013469-0.0018861i,-0.0025091-0.0028047i,4.0503e-05-0.0033446i,-0.0012113-0.0028373i,-0.0093179+0.0044546i,0.0015442-0.0036031i,-0.00013087+2.2359e-05i,-0.00094268+0.00053614i,0.00029847-0.00059287i,-0.00061708+0.0024397i,2.0393e-05-0.00018043i,0.0031308+0.00070595i,0.0023255+0.00013713i,-0.00011152-0.00056751i,-0.00023736+0.00096842i,0.0017507+0.0027616i,-0.0045318-0.0087047i,-0.00038164+0.0029312i,-0.0014084+0.0012929i,-0.00012373-0.00060498i,0.00176-0.00087823i,-0.00065905-0.00065939i,-0.00071032-0.0020369i,-0.0016809+0.0038441i,-0.00064803-0.0032514i,-0.0068123+0.025788i,-0.038298-0.014795i,-0.023738+0.018605i,-0.034212-0.03368i,-0.069208-0.0088004i,-0.01974-0.0086058i,-0.012481+0.033455i,-0.010187+0.0071263i,-0.027273-0.011547i,-0.029988-0.0085316i,-0.030913+0.023835i,-0.0028144+0.0032316i,0.012062+0.025353i,0.012622-0.0030276i,-0.0045049+0.001337i,-0.019304+0.01562i,0.0023367+0.007666i,-0.0010478+0.0077931i,0.0034079-0.0045211i,0.0083613+0.0049188i,-0.0010024+0.0064577i,0.00074854+0.0039229i,0.001315-0.0068i,0.0022037+0.0025509i,0.0031496+0.00091189i,-0.0022279+0.0049562i,-0.0023426-0.0023022i,0.0059348-0.002644i,0.010791+0.0053008i,0.00050755+0.00018509i,-0.014551-0.024485i,0.010152-0.0083586i,0.0023772-0.0054099i,0.0052828+0.00077374i,-3.9283e-05-0.00054711i,0.008411-0.013358i,0.0074421+0.00087063i,-0.0040037+0.0040279i,0.0016043+0.0043127i,0.007573-0.0034271i,0.0032525-0.010543i,-0.0008531-0.0022861i,0.0059112-0.0060833i,0.0013889-0.0023112i,0.003565-0.010271i,-0.040278+0.01458i,-0.026825-0.0029433i,-0.0062406-0.014221i,-0.0029953+0.00035958i,-0.0085739+0.026686i,-0.010521+0.0057666i,-0.0015275+0.0094862i
-0.012988+0.04607i,-0.0056176+0.022522i,-0.0064807+0.026191i,-0.008769+0.024367i,0.0080574+0.010809i,0.0052299+0.0026948i,0.0019151+0.034844i,0.016829+0.013039i,0.010019+0.0047211i,-0.0025343+0.004756i,0.0049855-0.0028597i,0.0020244+0.0016992i,-6.1355e-05-0.0037426i,0.0040521+0.0018095i,0.0019159+0.0012013i,0.0025157+0.005321i,0.0060612+0.0080057i,4.3469e-05+0.00051388i,-0.0010645-0.0061119i,-0.0018974-0.0013212i,-0.0027659-0.0016146i,-0.00060024-0.0034277i,-0.0019025-0.0022695i,-0.0063095+0.0040006i,-0.00078351-0.00092687i,-0.00080252-0.00014631i,-0.00096994+0.00079231i,-0.00035775-0.0014842i,-0.00056657+0.00079526i,0.0001044-0.00048565i,0.0028502-0.00046545i,0.0021332-0.0012403i,-0.00035456-0.00029178i,-5.1547e-05+0.00087724i,0.0020337+0.0021349i,-0.0074727-0.0078841i,0.00025988+0.0025845i,-0.0016074+0.0017282i,-0.0010056+0.00059498i,0.0015492-0.00043819i,-0.00051684-0.00031603i,-0.0019663-0.0019407i,-0.00030669+0.0036844i,-0.0019099-0.0012421i,-0.0023241+0.026935i,-0.032692-0.0064521i,-0.019938+0.017018i,-0.040814-0.022964i,-0.066619+0.010646i,-0.023158-0.011207i,-0.0062866+0.027651i,-0.0074687+0.0029209i,-0.027107-0.0087943i,-0.030354-0.0054824i,-0.023917+0.028796i,-0.003187+0.0035846i,0.018789+0.01194i,0.010083-0.0073201i,-0.0054783+0.0053319i,-0.011948+0.022756i,0.0048002+0.0063742i,0.0037241+0.0058989i,0.00073159-0.0016026i,0.010259+0.0008926i,0.0016146+0.0075275i,0.0020224+0.0050344i,-0.0033629-0.0089809i,0.0014035+0.0053732i,0.0031628+0.0023165i,0.00059138+0.0076968i,-0.0015546-0.00062125i,0.0045068-0.0034735i,0.0098074+0.00049501i,0.0011709-0.0007514i,-0.023056-0.022658i,0.005832-0.010097i,-0.00020721-0.0055642i,0.0056302-0.00095403i,2.3954e-05+0.00073099i,0.0061397-0.01275i,0.0071922-0.0025561i,-0.0011229+0.0049443i,0.0035064+0.002176i,0.0064089-0.0057157i,-0.0033189-0.010161i,-0.0011675-0.0026187i,0.0022777-0.0060055i,0.00087251-0.0029745i,-0.0017481-0.0099795i,-0.035341+0.017262i,-0.024812+0.010391i,-0.010752-0.014003i,-0.0043611-0.001192i,-0.0049674+0.026397i,-0.0095907+0.010862i,0.0021731+0.0084346i
-0.0060128+0.047081i,-0.0024014+0.023376i,-0.0046699+0.028622i,-0.0053953+0.023198i,0.0076067+0.0087398i,0.0053359+0.001425i,0.0085057+0.031421i,0.017423+0.0092934i,0.010657+0.0027009i,-0.0012479+0.0046823i,0.0033122-0.0023045i,0.0041693+0.0022008i,-0.001199-0.003256i,0.0042694-0.00042331i,0.0018936+0.00081396i,0.0046127+0.0047655i,0.0083684+0.0049751i,0.00019297+0.00067424i,-0.0025998-0.0053136i,-0.0021512-0.00049505i,-0.0024513-0.00052925i,-0.0015588-0.0033019i,-0.0023606-0.0015979i,-0.0066905+0.0042211i,-0.0013385-0.00038743i,-0.0013102+0.00042515i,-0.00082767+0.0010659i,-0.0015863-0.0016969i,-0.0007096+0.00070597i,-0.00022543-0.00077838i,0.0023585-0.0012645i,0.00036474-0.0020463i,-1.3866e-05-0.00018569i,0.00015127+0.00074966i,0.0025409+0.00091872i,-0.010485-0.0060751i,0.00097392+0.0023929i,-0.0011604+0.0016756i,-0.001154+0.0012006i,0.0021791-0.00046283i,-0.00028586-0.00012983i,-0.0014345-0.00038066i,0.00065162+0.0030183i,-0.0018003-0.000101i,0.0031679+0.026301i,-0.028783-0.0047163i,-0.017211+0.01629i,-0.041029-0.012227i,-0.056671+0.026555i,-0.02663-0.0085255i,-0.0019418+0.023677i,-0.0073412-0.0012641i,-0.026011-0.0068527i,-0.029495-0.0006475i,-0.015952+0.033553i,-0.0021457+0.0037294i,0.01359-0.00092944i,0.0058356-0.010875i,-0.0038154+0.0086254i,-0.0033534+0.023986i,0.0055421+0.0038961i,0.0050791+0.0020842i,0.0016095-7.6041e-05i,0.0093022-0.0022486i,0.0062673+0.006743i,0.0038963+0.0061425i,-0.008076-0.0037842i,0.0037414+0.0068884i,0.004627+0.0029641i,0.0046148+0.0068202i,-0.0012071-0.00014405i,0.0034591-0.0044893i,0.0096479-0.0054322i,-0.00076231-0.0012801i,-0.03185-0.01343i,0.0020345-0.010236i,-0.0020579-0.0040493i,0.0053657-0.0011615i,0.00078685+0.00088237i,0.0047967-0.015327i,0.0055104-0.0052576i,0.0012659+0.0041352i,0.0036672+0.0010528i,0.005021-0.0065213i,-0.0067672-0.0059194i,-0.0024498-0.0024712i,-0.0016855-0.0056547i,-0.0011379-0.0036001i,-0.0046969-0.0075009i,-0.029943+0.020177i,-0.018479+0.011302i,-0.011638-0.012794i,-0.0057047-0.0015257i,-9.8664e-05+0.025034i,-0.0078917+0.012692i,0.0026115+0.0056011i
0.0010991+0.047111i,0.0014605+0.02388i,-0.00055114+0.031422i,-0.0027493+0.022876i,0.0070005+0.0077404i,0.0050051+0.00041405i,0.013801+0.027118i,0.017782+0.0059834i,0.011032+0.00019032i,-0.00027445+0.0047734i,0.0030736-0.0017024i,0.0063536+0.00032801i,-0.0021713-0.0022962i,0.0026658-0.0014546i,0.0019636+0.00063485i,0.0063441+0.0030247i,0.0091511+0.0021258i,0.00063167+0.00038982i,-0.0039005-0.0041774i,-0.0018539+0.00045382i,-0.0017523+9.8489e-05i,-0.0023027-0.0023723i,-0.0026444-0.00089017i,-0.0059651+0.0065692i,-0.0017383+0.00034661i,-0.0011258+0.0012263i,-0.00057126+0.0014651i,-0.0029363-0.0010256i,-0.00062075+0.00071506i,-0.00057143-0.00073874i,0.0015989-0.0021265i,0.00072307-0.002673i,-0.00025703-0.00036978i,0.00019092+0.00060852i,0.0021214-0.00022675i,-0.012747-0.0025311i,0.0015435+0.0018818i,-0.0006876+0.0019116i,-0.0015049+0.001414i,-0.00019248-0.0011337i,0.00031498-0.00017271i,-0.00068196-0.00013683i,0.00095371+0.0021022i,-0.0014632+0.00079768i,0.0076251+0.02423i,-0.029484-0.0037508i,-0.015531+0.015265i,-0.040422-0.0033731i,-0.042936+0.03504i,-0.02979-0.0050508i,0.0025105+0.018264i,-0.0081352-0.0030586i,-0.025539-0.0055987i,-0.026914+0.0044339i,-0.0062003+0.034783i,-0.0011561+0.0037094i,0.0063358-0.0030529i,0.00072686-0.01238i,0.00016122+0.01152i,0.0041642+0.021072i,0.0049474+0.0016083i,0.0045631-0.0013554i,0.0012351+0.00031865i,0.0074066-0.0056048i,0.0095372+0.0034528i,0.0066602+0.0055919i,-0.0080348+0.00021092i,0.0064819+0.0072019i,0.0064752+0.0027804i,0.0090088+0.0041646i,-0.00071203+0.00058973i,0.0028829-0.0053542i,0.0062534-0.0088849i,-0.001157+0.00084306i,-0.035372-0.00082644i,-0.0006527-0.0095527i,-0.0029647-0.0021516i,0.0061523-0.0021942i,0.0011543+0.00049139i,-4.9864e-05-0.018181i,0.0030342-0.0066307i,0.0031745+0.0032626i,0.0041425-2.5735e-05i,0.0046569-0.0076188i,-0.0086985-0.0028657i,-0.0038215-0.00080222i,-0.0039956-0.0028315i,-0.0024047-0.0030642i,-0.0060684-0.0051235i,-0.024939+0.021156i,-0.016917+0.011483i,-0.012572-0.013882i,-0.0072728-0.00089121i,0.0021285+0.024285i,-0.0066554+0.013635i,0.0027717+0.0040595i
0.0086212+0.046186i,0.0062499+0.023305i,0.0058899+0.032172i,0.00043371+0.022795i,0.007331+0.0077868i,0.0047631-0.00013442i,0.017637+0.021673i,0.017928+0.0027349i,0.010635-0.0024328i,0.00086002+0.0044099i,0.0031861-0.0022555i,0.0060153-0.0029056i,-0.0026134-0.0010492i,0.0019217-0.0014716i,0.0021123+0.00037041i,0.0067081+0.00063352i,0.0089654-0.00080782i,0.00022952-0.00018575i,-0.005127-0.0025913i,-0.0010464+0.00077594i,-0.0009318+2.394e-05i,-0.0023947-0.001589i,-0.0026298-5.1315e-05i,-0.0033174+0.0081569i,-0.0015446+0.0010328i,-0.00057593+0.0016549i,7.7529e-05+0.0015079i,-0.0033916+0.00054878i,-0.00049317+0.00058939i,-0.00084805-0.00060577i,0.00046183-0.0025288i,-0.00071787-0.002958i,-0.00058309-0.00016214i,0.00018011+0.00051434i,0.0013539-0.00083847i,-0.012879+0.0020643i,0.0017416+0.0012338i,0.00015988+0.0020425i,-0.0014241+0.0019455i,0.00076382-0.00091791i,0.0050145-0.0035932i,-1.224e-05-3.5368e-05i,0.00086619+0.001583i,-0.00093096+0.0014795i,0.010672+0.02208i,-0.031962+0.0008326i,-0.01431+0.01473i,-0.035395+0.0053102i,-0.029968+0.039734i,-0.032097+0.0024431i,0.0051262+0.011579i,-0.0062424-0.0053182i,-0.024784-0.0030272i,-0.02289+0.0091207i,0.0027036+0.033713i,-0.00074126+0.0028925i,0.0024063-0.0033309i,-0.004917-0.011929i,0.0064034+0.010969i,0.0080546+0.016274i,0.0023245+0.00035644i,0.002999-0.0049315i,0.00222+0.0028305i,0.0034829-0.0075656i,0.010741-0.0021229i,0.0089299+0.0033701i,-0.0076324+0.00398i,0.010926+0.0063207i,0.0087071+0.00035317i,0.01073-0.0012678i,0.00015991+0.0011499i,0.0015264-0.0059365i,0.00018632-0.0099255i,0.00057302+0.0024805i,-0.034612+0.012711i,-0.0029105-0.0089388i,-0.0026978-0.00021049i,0.0057308-0.0060221i,0.0015305+0.00074566i,-0.0073632-0.017702i,0.00019582-0.0063381i,0.0043782+0.0013506i,0.0040889-0.00090305i,0.0028169-0.0091344i,-0.0092984+0.0025979i,-0.0035054+0.0017332i,-0.0043458-0.001374i,-0.0037571-0.0030162i,-0.0063693-0.0028799i,-0.022672+0.021816i,-0.016419+0.01572i,-0.015944-0.016128i,-0.0062415+0.00077153i,0.0065227+0.023921i,-0.0061208+0.01559i,0.0037483+0.001401i
0.016095+0.043726i,0.010752+0.021234i,0.012284+0.029923i,0.0038585+0.02197i,0.0085789+0.0074968i,0.0049462-0.0005645i,0.019653+0.016178i,0.017597-0.00053171i,0.009818-0.004639i,0.0014752+0.0041595i,0.00264-0.0028677i,0.0038531-0.0046687i,-0.0025495-0.00012618i,0.0011067-0.0014125i,0.002172+2.0643e-05i,0.005687-0.0011438i,0.0075732-0.0032259i,-0.00016876-0.000198i,-0.0053557-0.00060721i,-0.00077039+0.00090204i,-0.00025688-0.00037674i,-0.0023582-0.0011853i,-0.002238+0.00063672i,-0.00048064+0.0085618i,-0.0010957+0.0012635i,-3.8476e-05+0.001842i,0.00063285+0.0011115i,-0.0027357+0.0019223i,-0.00055364+0.00040556i,-0.0013056-0.00035288i,-0.00065737-0.002326i,-0.0020699-0.0023588i,-0.00051449+0.00012695i,0.00030005+0.00039629i,0.0006162-0.0010872i,-0.01105+0.0057992i,0.0018532+0.00053923i,0.00061592+0.0015805i,-0.00058241+0.0030319i,0.00073373-0.0012055i,-0.00042711-0.00055644i,-0.00065965+4.2185e-06i,0.0007378+0.0014278i,-0.00028763+0.0018024i,0.013653+0.020451i,-0.03121+0.0086565i,-0.014413+0.014374i,-0.029156+0.0091801i,-0.016568+0.041384i,-0.029344+0.011945i,0.0039099+0.0046852i,-0.0066648-0.010792i,-0.021638-0.0007785i,-0.016366+0.013276i,0.011255+0.029373i,-0.00088787+0.002938i,-0.0017576-0.0021053i,-0.0096154-0.0087617i,0.010399+0.0064715i,0.009316+0.012717i,-0.00089925+0.0015718i,-9.084e-05-0.0078218i,0.0055862+0.0015941i,-0.00067568-0.0070278i,0.0078163-0.0062216i,0.0098931-0.00015695i,-0.0065331+0.0070401i,0.014437+0.00066423i,0.0085366-0.0048984i,0.0093241-0.0066741i,0.0014014+0.0010542i,-0.0002609-0.0062991i,-0.0045196-0.0063468i,0.0028058+0.001643i,-0.027+0.027573i,-0.0052554-0.0075947i,-0.001424+0.0010967i,0.0018503-0.0075475i,0.002438+0.00052776i,-0.013702-0.01359i,-0.0012345-0.0047451i,0.0040881-0.0010618i,0.0037138-0.0017084i,-0.00010461-0.0093163i,-0.0055841+0.0066923i,-0.0017945+0.0033803i,-0.0051273+0.0020432i,-0.0062656-0.0020321i,-0.0062308-0.0017377i,-0.018295+0.026183i,-0.00846+0.020353i,-0.022502-0.015611i,-0.0039091-0.00011606i,0.0095544+0.021944i,-0.0033964+0.018575i,0.0029303-0.0022197i
