-0.024211-0.018855i,-0.032451-0.033052i,-0.021955-0.020041i,-0.032491-0.0206i,-0.023868+0.0042116i,-0.028795-0.017549i,-0.057949-0.043815i,-0.04078-0.041877i,-0.030805-0.023784i,0.0055728+0.0058747i,-0.0037212+0.0067006i,-0.011089+0.010832i,0.0040073+0.0069316i,-0.0038427-0.002784i,0.0029448+0.0016385i,0.004216+0.027974i,0.026449+0.032902i,-0.00014028+0.00026773i,-0.0030975-0.0028704i,0.0076174+0.0038667i,0.0022913+0.00076871i,-2.9013e-05+0.0024837i,-0.00053284+0.00038115i,-0.032584-0.00045233i,-0.003123-0.0048922i,3.2535e-05+0.0025494i,0.0040982-0.0010347i,0.00071808-0.0002433i,-0.00046122-0.00058397i,-0.00097924-0.0019408i,-0.0020561-0.00059338i,-0.0039065-0.0038109i,-0.0028919-0.0052903i,0.00037091-0.0013163i,0.00063626-0.0030252i,-0.0013331+0.025616i,0.0021665-0.0028922i,0.0023395-0.0039073i,0.0044993-0.002394i,-0.0066826-0.0017716i,0.00080819+0.0013631i,0.010537-0.00044246i,-0.0019317-4.4346e-06i,-0.0034675+0.001685i,-0.0084443-0.0018264i,-0.019064+0.021377i,-0.0082861-0.086693i,-0.0027472-0.061181i,-0.021197-0.052905i,-0.011021-0.046014i,0.054308-0.026586i,0.024374-0.067553i,0.04154-0.053997i,0.018685-0.038719i,0.0257-0.019736i,0.012259+0.011798i,0.02549-0.029377i,-0.011409-0.0012232i,-0.00084993-0.0011729i,-0.0075014-0.0020555i,-0.0050447-0.028975i,-0.020062+0.026953i,0.007258-0.009644i,-0.010526-0.0034316i,-0.00247-0.001776i,-0.00078135-0.014649i,-0.0081839+0.0049838i,0.0052456+0.010597i,-0.010476+0.030958i,0.0068774+0.0074571i,-0.0037335-0.0016954i,-0.0023123-0.0014356i,-0.012352-0.0054854i,0.00044057-0.0039529i,-0.032799+0.003117i,0.0032338-0.008834i,-0.0071245-0.0017847i,-0.005265-0.0028851i,0.0067756+0.0018007i,-0.010381+0.00063001i,0.0025514-0.00029384i,0.0060279+0.0076664i,0.0055459+0.00093683i,-0.0078828-0.0096894i,0.0024669+0.0083242i,-0.019441+0.0076983i,0.0031893+0.0058467i,-0.021302-0.0088988i,-0.027445-0.0048327i,0.0098671-0.061765i,0.018579-0.014656i,-0.051412-0.028622i,-0.023423+0.0033355i,0.019022+0.010191i,-0.027085+0.011896i,-0.012982-0.0076206i
-0.010734+0.012919i,-0.021803+0.041288i,0.0015432+0.040595i,-0.010293+0.024099i,-0.00029784+0.020936i,0.0018406+0.023235i,-0.024854+0.015332i,-0.02596+0.033134i,0.0001556+0.017556i,-0.0012936-0.0015519i,-0.00094431+0.0016746i,0.0043216+0.0033934i,0.0034169+0.0049114i,-0.0030914+0.0017084i,-0.0030878+0.0037335i,0.0011153-0.0072754i,-0.0086196-0.0018053i,-0.0018893+0.00018153i,0.00011721-0.0012219i,-0.0010116-0.00039258i,0.00092016-0.0032508i,0.0012348-0.0027504i,0.00094772-0.0014992i,-0.0098337-0.0082186i,-0.00035025-0.00045098i,-0.0015656+0.00038466i,-0.0023456+8.3949e-05i,-0.0027612-0.00011417i,-0.00093736-0.00087143i,0.0011243-0.00071323i,-0.0018398+0.00025879i,0.0014546-0.00010281i,0.0020361-0.00071072i,0.00065729+0.00045854i,-0.0006495+0.0018665i,-0.00038033-0.0067215i,-0.0012868+0.00092697i,0.0017461+0.00013818i,0.00070782+0.0023211i,0.0044603+0.0059491i,0.00095344-0.0014159i,-0.0016745-0.0011942i,-0.0016392-0.0019746i,0.0031119+0.005131i,-0.0084144+0.007189i,0.020095-0.057661i,-0.074247+0.015411i,-0.028104-0.018297i,-0.061143-0.047325i,-0.052972-0.016911i,-0.085311+0.0043125i,-0.073357+0.0023417i,-0.046932-0.033087i,-0.0081821-0.046162i,-0.037699-0.02621i,-0.0063404+0.00010478i,-0.030554+0.010121i,0.00754+0.01101i,0.009745+0.0069168i,0.0024879-0.0067983i,0.010675+0.0039095i,-0.011633-0.0037333i,0.0024892+0.011675i,0.0011894+0.0069019i,-0.00041436-0.0014477i,0.0058443+0.0017919i,0.0039484+0.00020499i,-0.004829+0.019008i,0.00027359+0.0095811i,0.0007212-0.0042035i,0.008311-0.0058152i,0.0014604+0.0041808i,-0.0082523-0.0071466i,-0.0027269-0.0012705i,0.021476-0.030808i,0.0050936+0.008545i,0.0018171+0.0029712i,-0.001705+0.004173i,0.0033281-0.0040854i,0.019797+0.0027547i,0.0014378-0.001892i,-0.0029414-0.0063695i,-0.00048682-0.0018816i,0.011929+0.0048781i,0.0056417-0.00048098i,0.0033366-0.0077583i,0.0041437+0.0053021i,-0.0054043+0.0035264i,0.013939+0.0064814i,-0.043418-0.03776i,-0.012085+0.0052844i,-0.0016018-0.0013376i,0.00010894+0.003233i,-0.041003+0.011518i,-0.0069834+0.0081674i,-0.012567+0.0034088i
-0.0082166+0.01356i,-0.014711+0.041986i,0.010581+0.034122i,-0.0056993+0.024825i,0.0025078+0.01868i,0.0061396+0.021812i,-0.023611+0.019199i,-0.018508+0.03523i,0.0041939+0.012394i,-0.0017248-0.00061684i,-0.00017689+0.0028266i,0.0048915+0.00099036i,0.0041468+0.00307i,-0.0015704+0.0027713i,-0.0022755+0.0047201i,-0.0034242-0.0057001i,-0.0098909+0.0029549i,-0.0016405+0.00085303i,0.0008582-0.00081237i,-0.0004975-1.3398e-05i,6.889e-05-0.0032623i,0.0010435-0.0022331i,0.00080323-0.001336i,-0.011224-0.004843i,-7.4737e-05-0.00027022i,-0.0014676+0.00082452i,-0.001642+0.00083472i,-0.002409+0.00055513i,-0.0010868-0.00068432i,0.0010293-0.00086368i,-0.0016449+0.0011684i,0.00091806-0.00034534i,0.0010943-0.001444i,0.00016271+0.00045597i,-0.001139+0.0015367i,-0.00013013-0.005641i,-0.00079583+0.0010048i,0.00095621-0.00048713i,0.00081618+0.0024983i,0.0057175+0.0031628i,0.00053939-0.0018642i,-0.0024244-0.00085625i,-0.0026659-0.00096461i,0.0044362+0.0044389i,-0.0063774+0.0054396i,0.001827-0.06709i,-0.0648+0.029558i,-0.034934-0.020691i,-0.074088-0.037887i,-0.053206-0.0055495i,-0.07666+0.020757i,-0.070459+0.016675i,-0.040275-0.030978i,-0.014379-0.044839i,-0.04469-0.011846i,-0.0073727+0.0002735i,-0.023797+0.022493i,0.0098563+0.0059232i,0.011544+0.00070493i,-0.0023714-0.012064i,0.0077663+0.0028962i,-0.011651+0.0028097i,0.0072507+0.0098103i,0.0035834+0.0078634i,-0.00098615-0.0010496i,0.006609+0.0020515i,0.0047494+0.00010872i,0.0041987+0.01616i,0.0046338+0.005489i,-0.0034502-0.00574i,0.0023025-0.0067222i,0.0032229+0.0047161i,-0.010755+1.2942e-06i,-0.002181+0.0017445i,0.0072546-0.031988i,0.0079118+0.0075246i,0.0041876+0.0022213i,0.0019014+0.0029974i,-0.00012164-0.0020812i,0.017221-0.0063724i,-0.0002222-0.0025735i,-0.0058696-0.00413i,-0.0029141-0.00086586i,0.010701+0.00021292i,0.0048832-0.0002324i,0.00047083-0.0060885i,0.0062181+0.003921i,-0.0053359+0.0054931i,0.013714+0.0014411i,-0.050268-0.031467i,-0.0062275-0.0054028i,-0.002363-0.0027086i,0.0020023+0.0014721i,-0.034482+0.023748i,-0.0048401+0.0096609i,-0.0098355+0.0055301i
-0.005243+0.013513i,-0.0083981+0.042555i,0.015312+0.026428i,-0.0012831+0.023919i,0.0061765+0.017571i,0.010081+0.019352i,-0.020692+0.023401i,-0.011319+0.034907i,0.0039047+0.0078993i,-0.0019024+0.00040774i,0.0014547+0.0033957i,0.0022154-0.00033335i,0.0043253+0.0018073i,-0.00079928+0.0029079i,-0.00086046+0.0056072i,-0.0067229-0.0017353i,-0.0081664+0.0078372i,-0.00086627+0.0015331i,0.001577-0.0017869i,0.00020313-0.00038399i,-0.0010616-0.0031322i,0.00089124-0.002808i,0.00082984-0.0015394i,-0.012111-0.0017304i,-0.00021359-0.00026111i,-0.00092068+0.0015104i,-0.00096785+0.00074102i,-0.0015948+0.0015721i,-0.0012925-0.00053326i,0.00061513-0.0014673i,-0.00083397+0.0017532i,0.00055219-0.00044915i,0.00022271-0.0014298i,0.00041682+0.00027565i,-0.00073503+0.0024966i,0.00029052-0.0061058i,-0.00071573+0.00090232i,0.00033824-0.00078307i,0.0025354+0.0012511i,0.0054629+0.00098471i,-0.00012988-0.0019063i,-0.0019058+0.00026982i,-0.0033393+0.00013478i,0.0054149+0.0026252i,-0.0057036+0.0042334i,-0.020124-0.067586i,-0.051048+0.03856i,-0.043184-0.017227i,-0.081036-0.023077i,-0.048771+0.0032678i,-0.062407+0.03163i,-0.057561+0.029162i,-0.042381-0.033943i,-0.019965-0.043978i,-0.044091+0.0031407i,-0.007476+0.0016865i,-0.012073+0.028172i,0.010496+0.0014141i,0.0080169-0.004926i,-0.013185-0.012425i,0.0076329+0.00052339i,-0.0078735+0.0066177i,0.010345+0.0049574i,0.0060321+0.0067295i,-0.0030922+0.00050708i,0.0067453-0.0017073i,0.0058484-0.0023408i,0.0078413+0.010116i,0.0041763+0.0013841i,-0.008424-0.0029499i,-0.00016837-0.0048459i,0.0060094+0.0035731i,-0.0065379+0.008752i,0.00025678+0.0029225i,-0.0033509-0.028466i,0.011783+0.0036539i,0.0042509+0.00011671i,0.0022119+0.0012044i,0.00061974-0.0001375i,0.0112-0.010954i,-0.0024587+0.00021892i,-0.0070942-0.0006519i,-0.0034156+0.002474i,0.0069259-0.0023042i,0.007532-0.0017962i,0.00012591-0.0057973i,0.0092739+0.00089776i,-0.0020786+0.0067075i,0.012077-0.003037i,-0.055257-0.02073i,-0.011916-0.01437i,-0.0014329-0.0037863i,0.0038968-0.0019471i,-0.023561+0.029671i,-0.0036843+0.0057438i,-0.006818+0.0008368i
-0.002707+0.012334i,-0.0010794+0.042773i,0.017329+0.019311i,0.0034839+0.022891i,0.01032+0.014094i,0.013385+0.015875i,-0.016162+0.026877i,-0.005968+0.032674i,0.003144+0.0061711i,-0.0013393+0.0015492i,0.0028658+0.0023094i,0.0010647+0.0014295i,0.004117+0.00070482i,-0.00065249+0.0036308i,0.00065573+0.0056998i,-0.0067653+0.0037923i,-0.0034437+0.011138i,5.5445e-05+0.0013362i,0.00060965-0.0024685i,-6.0654e-05-0.0010266i,-0.0018888-0.0025025i,0.00032906-0.0030011i,0.00057011-0.002147i,-0.011949+0.002215i,-0.0001351-0.00031575i,0.00016263+0.0011554i,-0.00086453+0.00041892i,-0.00043645+0.0014414i,-0.0015436+0.00015088i,-0.00029076-0.0013542i,4.5761e-06+0.0017739i,0.00028819-0.00053475i,-0.00060832-0.0011552i,0.00043485+0.00012493i,0.00075358+0.0023732i,-0.00071707-0.007921i,-0.00032406+0.0012845i,-0.00033319-0.00053423i,0.0019221-0.00069438i,0.005001-0.00060048i,-0.0005774-0.001721i,-0.0012088+0.00034429i,-0.003339+0.0016549i,0.0044851+0.00023246i,-0.0057396+0.0040381i,-0.039124-0.056406i,-0.037322+0.0409i,-0.049483-0.010381i,-0.084748-0.0082514i,-0.042482+0.0083502i,-0.049878+0.035563i,-0.044191+0.031408i,-0.047404-0.030454i,-0.025941-0.039566i,-0.039532+0.014221i,-0.0076582+0.003275i,-0.00073255+0.028133i,0.0093665-0.0029715i,0.002757-0.0063918i,-0.021408-0.003925i,0.0044992-0.00037633i,-0.0041145+0.0076713i,0.0092601-0.0010567i,0.0083384+0.0054268i,-0.0028366+0.0033422i,0.0033704-0.0027203i,0.0049996-0.0060132i,0.0074482+0.0040546i,0.0014431-0.00022248i,-0.0089661+0.0015188i,-0.001656-0.0034484i,0.007019+0.0011653i,0.0027116+0.0097409i,0.0017778+0.0017218i,-0.009608-0.022356i,0.011947-0.0010347i,0.0037704-0.0012472i,0.0029382+0.0012737i,0.00081078-0.00036085i,0.0059166-0.011029i,-5.6204e-06+0.0025843i,-0.0065645+0.0026634i,-0.0006731+0.0045891i,0.0049052-0.0018749i,0.0070015-0.0060737i,-0.002271-0.0052339i,0.0083795-0.0045354i,-0.00015316+0.0052894i,0.0099156-0.0070762i,-0.053335-0.0080641i,-0.022505-0.015631i,-0.0023878-0.0079489i,0.0028821-0.0066796i,-0.01481+0.030254i,-0.006789+0.0051004i,-0.010544-0.00098104i
-0.0012319+0.011206i,0.0054989+0.041096i,0.016649+0.013767i,0.0078582+0.020331i,0.012689+0.0095043i,0.015158+0.011989i,-0.010683+0.028712i,-0.0021607+0.030567i,0.0035076+0.0053762i,-2.0081e-05+0.0019584i,0.003176+0.0012595i,0.0018853+0.0025396i,0.0038907-0.0003213i,0.0010426+0.0045414i,0.002214+0.0054437i,-0.0039876+0.0075484i,0.0016758+0.011489i,0.00050772+0.001022i,0.00016816-0.0022321i,-0.00059226-0.0011384i,-0.0026617-0.0017576i,-0.0004463-0.0028938i,-0.00033196-0.0024252i,-0.0095027+0.0052563i,-0.00044325-0.00062091i,0.00017521+0.00029976i,-0.00087534+0.00041314i,9.6414e-05+0.00082739i,-0.0012313+0.0008937i,-0.00042534-0.0007796i,0.00055432+0.0014834i,7.0603e-05-0.00087103i,-0.001025-0.00053228i,0.00026058-3.4785e-05i,0.0012028+0.0015756i,-0.0034664-0.008854i,2.6756e-05+0.0012261i,-0.00035883+0.00025607i,0.00051442-0.00093715i,0.0041128-0.0013873i,-0.00094433-0.0015943i,-0.0010229+0.0003654i,-0.0022414+0.0028365i,0.0031307+0.00066489i,-0.0051607+0.0047886i,-0.04648-0.03966i,-0.027007+0.038988i,-0.054222-0.00098559i,-0.086179+0.008237i,-0.038348+0.0091527i,-0.039116+0.036858i,-0.034972+0.03097i,-0.050426-0.025875i,-0.028632-0.035368i,-0.032773+0.024185i,-0.0069323+0.0049689i,0.011493+0.023759i,0.0070667-0.0054802i,-0.0016958-0.0051768i,-0.022977+0.0061435i,0.0033067+0.00033581i,-0.00046863+0.0085489i,0.0044871-0.0035252i,0.010353+0.0026375i,-0.00096531+0.0050426i,0.0013939-0.0013061i,0.0024262-0.0085681i,0.0039657+0.0027764i,-0.00072052+0.0011397i,-0.0083823+0.0074247i,-0.0027063-0.0012923i,0.0068578-0.0015117i,0.0068626+0.0053471i,0.0023192+0.0007942i,-0.012421-0.019524i,0.0099726-0.005615i,0.0027363-0.0023124i,0.0048966+0.00047807i,0.00082635-8.8e-05i,0.0032271-0.009755i,0.0020236+0.0016635i,-0.0039332+0.0058782i,0.0025034+0.0042346i,0.004645-0.0017626i,0.0033259-0.010836i,-0.0029058-0.0034457i,0.0041803-0.0076503i,0.00019505+0.0039071i,0.0050273-0.010566i,-0.047266-0.0018766i,-0.033023-0.0071234i,-0.0057054-0.0097507i,-0.00019765-0.010531i,-0.0080966+0.02942i,-0.0098178+0.007819i,-0.012267+0.0019392i
2.6456e-05+0.010386i,0.011429+0.038935i,0.015744+0.010957i,0.01108+0.016592i,0.012802+0.0047699i,0.016372+0.0086935i,-0.0046688+0.028663i,0.0006916+0.028997i,0.0040454+0.0032977i,0.00059364+0.0013419i,0.0026314+0.00036033i,0.0029748+0.0026454i,0.0032885-0.0011761i,0.0027945+0.003632i,0.0034402+0.0046319i,-0.00026397+0.0091507i,0.0062873+0.0095071i,0.00080265+0.00083286i,-0.0003589-0.0023866i,-0.0011717-0.00099461i,-0.0026907-0.00054348i,-0.00090047-0.0026672i,-0.0010292-0.0020155i,-0.0074665+0.0061252i,-0.00084219-0.00036133i,-0.00022064+2.3597e-05i,-0.00090706+0.00053582i,0.0002912+0.00022355i,-0.00047733+0.0011353i,-0.0004139-0.00061365i,0.0010279+0.001238i,-0.00048217-0.0009228i,-0.00097344+3.3677e-05i,5.0524e-06-0.00016714i,0.0014441+0.001396i,-0.0065688-0.0083064i,0.00018148+0.00084582i,0.00015795+0.00036343i,-0.00010705-0.00065456i,0.0033257-0.0019539i,-0.0012611-0.0010253i,-0.00097219+0.00049102i,-0.00076721+0.0031328i,0.0032977+0.0014452i,-0.0039476+0.0055638i,-0.044968-0.027458i,-0.019927+0.036211i,-0.05525+0.012423i,-0.081271+0.028009i,-0.039316+0.010095i,-0.030628+0.035766i,-0.027313+0.029711i,-0.05188-0.019489i,-0.031881-0.031668i,-0.023893+0.029738i,-0.006235+0.0069015i,0.01775+0.010337i,0.0049664-0.0078525i,-0.0046013-0.0018067i,-0.018552+0.015923i,0.0033522-0.00031963i,0.0039382+0.0066028i,0.0013904-0.0018878i,0.01162-0.0021893i,0.00097512+0.0060272i,0.0010523-0.000277i,-0.0027451-0.010047i,0.0027059+0.0045693i,-0.00058392+0.0035337i,-0.002746+0.012245i,-0.0014847+0.00072331i,0.0056723-0.0031139i,0.0080791+0.0013091i,0.0031876-0.00062686i,-0.018319-0.017981i,0.0061154-0.0079903i,0.0010141-0.0028451i,0.0040852-0.0018325i,0.00092266+0.00072137i,0.0022185-0.0080451i,0.0026213+9.8845e-05i,-0.00043561+0.006439i,0.0038645+0.0015978i,0.0039526-0.0029118i,-0.003444-0.010546i,-0.0032178-0.0032578i,0.00035946-0.0076842i,0.00048964+0.0027207i,-0.0012665-0.010487i,-0.044188+0.0024287i,-0.030559+0.0075837i,-0.0097472-0.010002i,-0.0048505-0.011687i,-0.0034376+0.027789i,-0.0079478+0.012286i,-0.0092142+0.0036364i
0.0011822+0.0095357i,0.017214+0.036403i,0.015906+0.0089331i,0.012712+0.012528i,0.01142+0.0014326i,0.017356+0.0052553i,0.00057504+0.027183i,0.003412+0.028226i,0.0038422+0.0017898i,0.00064403+0.0011212i,0.0022181+0.00050272i,0.004494+0.002429i,0.0024668-0.0016325i,0.0035892+0.0019159i,0.0041856+0.0036528i,0.0032911+0.0088824i,0.0092625+0.0058933i,0.0012469+0.0006069i,-0.001008-0.0024091i,-0.0015832-0.000405i,-0.0022119+0.00037323i,-0.0015304-0.0025034i,-0.0014025-0.0015242i,-0.0063041+0.007855i,-0.00088418-3.3481e-05i,-0.00056641+0.00030834i,-0.0009695+0.00091833i,-0.00013292-0.00014724i,-0.00013499+0.00078054i,-0.00052294-0.0006099i,0.0014775+0.00074457i,-0.00050044-0.00042074i,-0.00049244+0.00015263i,-0.00011603-6.1733e-05i,0.0019416+0.00043512i,-0.0094641-0.0068496i,0.00026006+0.00076231i,0.00014821-7.9767e-05i,-0.00049143-0.00043305i,0.0024865-0.0024189i,-0.0012068-0.00049913i,-0.00061394+0.00063246i,0.00010477+0.0024436i,0.0038106+0.00081012i,-0.0022392+0.0056091i,-0.043632-0.022763i,-0.014987+0.03454i,-0.049375+0.024954i,-0.070264+0.044238i,-0.039554+0.015973i,-0.023964+0.035357i,-0.022324+0.027315i,-0.052235-0.01399i,-0.033852-0.02634i,-0.015563+0.032936i,-0.0034009+0.0072837i,0.012329-0.0017059i,0.0012961-0.010479i,-0.0047766+0.0012145i,-0.011098+0.020216i,0.0020834-0.0014523i,0.0055229+0.0026369i,0.0018857-0.0002887i,0.0095363-0.0055723i,0.0047767+0.0060555i,0.0012323+0.0013154i,-0.0077453-0.0050994i,0.0042599+0.00567i,0.00096377+0.0051508i,0.0035926+0.011662i,-0.00073388+0.00098146i,0.0045088-0.0044366i,0.0081197-0.0040304i,0.0014331-0.0015474i,-0.025028-0.011397i,0.0030064-0.0084204i,-0.00029301-0.0017603i,0.0041343-0.00086158i,0.0015659+0.00058585i,0.0025108-0.0090423i,0.0021973-0.0014053i,0.0019285+0.004965i,0.0032739+0.00076072i,0.0035306-0.0024893i,-0.0069883-0.0064853i,-0.0047827-0.0024826i,-0.0032315-0.0065209i,9.6489e-05+0.0015561i,-0.0048377-0.0074478i,-0.040876+0.0071851i,-0.024706+0.0099609i,-0.0097346-0.0084493i,-0.008354-0.01051i,0.0013906+0.024793i,-0.0058245+0.012679i,-0.008283+0.0030578i
0.0021777+0.0085195i,0.022893+0.03318i,0.016795+0.0071623i,0.013191+0.0091925i,0.0094965-0.00060176i,0.01753+0.0018083i,0.0051892+0.024849i,0.0067486+0.027763i,0.0034877+0.00022129i,0.00086125+0.00096152i,0.002693+0.00062421i,0.0060111+0.0006257i,0.0016813-0.0017159i,0.0029401+0.00087896i,0.0048463+0.0027464i,0.0063046+0.0068815i,0.010156+0.0022647i,0.0015836-0.00011106i,-0.0016873-0.0021676i,-0.0014679+0.00052493i,-0.0014146+0.00096264i,-0.0020447-0.0017442i,-0.0015679-0.0011177i,-0.0032334+0.0092768i,-0.00082176+0.00030807i,-0.00035146+0.00070341i,-0.00075447+0.0013491i,-0.00080652+4.7742e-05i,-4.331e-05+0.0006969i,-0.00062625-0.00050353i,0.0015309+5.3967e-05i,-0.00017137-0.00053236i,-0.00061727+0.00014137i,-0.00016537-2.5599e-05i,0.0016296-0.00037582i,-0.011835-0.0036583i,0.00030307+0.00078214i,-0.0001274-4.7846e-05i,-0.0009597-0.00015843i,0.0019064-0.0024901i,-0.00088575-0.00031312i,-0.00025362+0.00049825i,0.00030525+0.0019551i,0.0039124+0.00018323i,-0.00094078+0.0044658i,-0.046208-0.019276i,-0.010947+0.032824i,-0.041572+0.033837i,-0.05544+0.054842i,-0.038221+0.021634i,-0.016883+0.033782i,-0.018439+0.026443i,-0.052379-0.0083392i,-0.034854-0.02059i,-0.0070997+0.034263i,-0.0016518+0.0066614i,0.0052019-0.0037673i,-0.0031192-0.011077i,-0.0032019+0.0044315i,-0.0035248+0.020374i,0.00016533-0.0020308i,0.0047736-0.00097988i,0.001648-3.7971e-05i,0.0068841-0.0088123i,0.0079497+0.0033633i,0.0025815+0.0017829i,-0.0084208-0.0013225i,0.0064398+0.0059198i,0.003407+0.0059038i,0.0089202+0.009128i,-0.00031316+0.0015146i,0.0036909-0.0052779i,0.005171-0.0078575i,0.00069269-0.00035584i,-0.028735-0.0016598i,0.00075374-0.0082081i,-0.00032456-0.00052033i,0.0050498-0.0011506i,0.0019066+0.00022985i,0.0008756-0.011493i,0.00049327-0.0018415i,0.0034254+0.0038326i,0.0034442-3.2046e-05i,0.0045437-0.0034643i,-0.0081143-0.0033426i,-0.0061673-8.5119e-06i,-0.0064381-0.0040624i,-6.8588e-05+0.00050375i,-0.0062738-0.0042855i,-0.036852+0.010705i,-0.022645+0.01149i,-0.0090155-0.010014i,-0.01067-0.0085393i,0.0023033+0.022412i,-0.0058129+0.012662i,-0.0072546+0.0031221i
0.0031976+0.0077794i,0.028896+0.028564i,0.018626+0.004743i,0.013174+0.0066371i,0.0082193-0.0011343i,0.017166-0.0013871i,0.0088614+0.021354i,0.011175+0.02654i,0.0027568-0.0010498i,0.00087614+0.00069731i,0.0030766-0.00017074i,0.0056271-0.0022278i,0.0011421-0.0015795i,0.002724+0.00039622i,0.0054207+0.0015356i,0.0074077+0.0039328i,0.0094956-0.0011336i,0.0010081-0.00081763i,-0.0024295-0.0015236i,-0.00074371+0.00097783i,-0.00047539+0.00087835i,-0.0020696-0.0012805i,-0.0017623-0.00069404i,7.1221e-05+0.0091315i,-0.00064072+0.00048006i,-5.0083e-05+0.00071179i,-0.00012169+0.0016214i,-0.00090786+0.00067324i,0.00021312+0.00039028i,-0.00067755-0.00044481i,0.0012744-0.00054228i,-0.00058252-0.00063797i,-0.00055999+0.00043111i,-0.00030338+3.6954e-05i,0.0009973-0.00081274i,-0.01233+0.00054728i,0.00035137+0.00065406i,-5.9201e-05+3.2434e-05i,-0.0012346+0.00038729i,0.0012602-0.0026361i,-0.0008838-0.00031242i,-6.1093e-05+0.00023196i,0.00035408+0.0017211i,0.0038875-0.00041269i,-0.00058789+0.003557i,-0.051084-0.012393i,-0.006947+0.030961i,-0.030532+0.039156i,-0.040947+0.061449i,-0.035814+0.029696i,-0.010356+0.030251i,-0.012139+0.024949i,-0.051321-0.001717i,-0.033516-0.01469i,0.00046649+0.033886i,-0.0010651+0.0058386i,0.00027818-0.0041782i,-0.0082194-0.010032i,0.0005882+0.0053576i,0.0015716+0.018457i,-0.0023629-0.0013378i,0.0030289-0.0039962i,0.002757+0.0018185i,0.0021363-0.0107i,0.0090051-0.0011314i,0.0039494+0.0011142i,-0.0085304+0.0031701i,0.0098503+0.0046942i,0.007226+0.0043979i,0.012545+0.0035933i,0.00064216+0.0020221i,0.0022326-0.0062588i,-0.00084906-0.008541i,0.0017804+0.00092205i,-0.028447+0.0093151i,-0.0013173-0.0078774i,0.00045033+0.0005855i,0.0055632-0.0046206i,0.002584-6.9539e-05i,-0.0040384-0.013012i,-0.00061012-0.0010133i,0.0044039+0.0021882i,0.0032936-0.00044898i,0.0036307-0.0049959i,-0.008207+0.00067028i,-0.0056419+0.0032475i,-0.0079419-0.00048763i,-0.0013046-0.00061644i,-0.006406-0.001931i,-0.033753+0.012808i,-0.020778+0.016573i,-0.011251-0.014036i,-0.0098774-0.0067487i,0.0040845+0.021469i,-0.0061437+0.015546i,-0.0052209+0.0016555i
0.004324+0.0066051i,0.033662+0.022248i,0.020021+0.00059718i,0.013222+0.0044382i,0.0078507-0.0013941i,0.016594-0.0042838i,0.011168+0.017631i,0.015228+0.023901i,0.0017818-0.0019283i,0.00079136+0.00070425i,0.0027691-0.00091855i,0.0035831-0.0038715i,0.00070077-0.0014319i,0.0023283-3.0082e-06i,0.0054822+0.00012965i,0.0068988+0.0016462i,0.0080068-0.0035661i,0.00055323-0.0009236i,-0.0025493-0.00066782i,-6.653e-05+0.00094298i,0.00029057+0.00040736i,-0.0020897-0.00092764i,-0.0016745-0.00025682i,0.002867+0.0085839i,-0.00044085+0.00052139i,0.00012447+0.00071453i,0.00053175+0.0013282i,-0.00050025+0.0011646i,0.00012927-1.1425e-05i,-0.00095918-0.00033649i,0.00086221-0.00086315i,-0.00097219-0.00019419i,-0.00026636+0.00067913i,-0.00030552+0.00024653i,0.00034078-0.0010527i,-0.011153+0.0040443i,0.00043592+0.00043766i,-0.00015238-0.00010157i,-0.0010414+0.0010612i,0.00055168-0.0029171i,-0.00089824-3.8707e-05i,-8.4378e-05-0.00018718i,0.00057123+0.0017668i,0.0040117-0.0011748i,-0.00027514+0.0031336i,-0.05301-0.0012651i,-0.0048329+0.029296i,-0.021431+0.040276i,-0.024788+0.065986i,-0.02896+0.03861i,-0.0066581+0.02506i,-0.0080415+0.019651i,-0.047345+0.0034193i,-0.030419-0.0091521i,0.0092468+0.031346i,-0.00082465+0.0058955i,-0.0048278-0.00214i,-0.011855-0.0064181i,0.0034226+0.0032208i,0.005534+0.016052i,-0.0051447+0.00090218i,-0.00047585-0.0063074i,0.0051988+0.00067943i,-0.0029077-0.0096174i,0.0066366-0.0046813i,0.0048552-0.00069891i,-0.0070246+0.0068656i,0.012278+6.0714e-05i,0.0088497-0.00035833i,0.0121-0.0042635i,0.0020992+0.0017239i,0.00019253-0.0065198i,-0.0041807-0.0050131i,0.0032722-0.00037445i,-0.023146+0.021632i,-0.0031697-0.0064736i,0.0018771+0.00080202i,0.0022878-0.0066256i,0.0028516-0.00079924i,-0.0096505-0.010539i,-0.00021368+0.00064245i,0.0047702+3.95e-05i,0.0025667-0.0011642i,0.0023714-0.0055371i,-0.006461+0.0045697i,-0.0033447+0.0052542i,-0.0075339+0.0035819i,-0.0035325-0.00018193i,-0.0059562-0.00049015i,-0.030182+0.016941i,-0.012222+0.020012i,-0.01749-0.014844i,-0.0090053-0.0072669i,0.0054296+0.02057i,-0.0031189+0.018773i,-0.0053707-0.0019144i
