-0.023447-0.01865i,-0.03275-0.033703i,-0.022512-0.019599i,-0.032655-0.020359i,-0.023844+0.0041274i,-0.028674-0.017148i,-0.057919-0.044492i,-0.040371-0.040668i,-0.030715-0.019037i,0.0050725+0.0048571i,-0.0042554+0.0066386i,-0.01085+0.010866i,0.0039612+0.0071481i,-0.0037998-0.0025338i,0.0028541+0.0016168i,0.0042194+0.028516i,0.032819+0.024231i,-0.00013348+0.00010029i,-0.0034321-0.0027264i,0.0079483+0.0041766i,0.0019145+0.00063428i,-0.00049486+0.0026159i,-0.00055709+0.00039404i,-0.031274-0.00067626i,-0.0041108-0.0045371i,-0.00024962+0.0024483i,0.0047107-0.00053358i,0.00064214-0.00022438i,-0.00040111-0.00052463i,-0.0012416-0.0018363i,-0.0023018-0.00052528i,-0.0036407-0.0041097i,-0.0029262-0.0046555i,0.00059385-0.0013056i,0.00039891-0.0027782i,-0.0025851+0.02557i,0.0020744-0.0031268i,0.0024037-0.0039406i,0.0041513-0.0024873i,-0.0067343-0.00080428i,0.00065204+0.001235i,0.0044001-0.02005i,-0.0027535-0.00012145i,-0.0032917+0.0010475i,-0.0088627-0.003822i,-0.018668+0.021189i,-0.0083459-0.086621i,-0.0025572-0.061131i,-0.021434-0.054086i,-0.010754-0.046164i,0.053377-0.026668i,0.024063-0.067736i,0.041102-0.052833i,0.018828-0.039753i,0.025619-0.020011i,0.012147+0.012069i,0.025814-0.03005i,-0.011488-0.0040578i,-0.0010924-0.00093674i,-0.007182-0.0015188i,-0.005769-0.02875i,-0.021125+0.02676i,0.0076525-0.0097996i,-0.010555-0.0034548i,-0.0024562-0.0019121i,-0.00071305-0.014793i,-0.0081549+0.0047011i,0.0052925+0.010127i,-0.010103+0.030548i,0.0065566+0.0072273i,-0.0038491-0.001572i,-0.002449-0.0015384i,-0.012602-0.0065288i,0.00027366-0.003802i,-0.032693+0.0013686i,0.0029361-0.0092532i,-0.0069708-0.001649i,-0.005152-0.0028877i,0.0070137+0.0019861i,-0.010152+0.0001774i,0.0024309-0.00043683i,0.0064112+0.0080057i,0.0058189+0.0011646i,-0.007975-0.01003i,0.0025566+0.0081778i,-0.019166+0.0077768i,0.0028215+0.0060319i,-0.021458-0.0086657i,-0.027036-0.005255i,0.0092106-0.0615i,0.018611-0.014526i,-0.052047-0.026459i,-0.024294+0.0011074i,0.01929+0.010494i,-0.027111+0.011775i,-0.012595-0.0075748i
-0.0117+0.013668i,-0.022031+0.042286i,0.0015746+0.040674i,-0.010114+0.024456i,-0.00014198+0.020895i,0.0015322+0.022802i,-0.024589+0.016213i,-0.025991+0.033261i,0.00044298+0.017277i,-0.0013052-0.0011936i,-0.0011062+0.0016735i,0.0042925+0.0033506i,0.003462+0.0047019i,-0.0030876+0.0017088i,-0.0032568+0.0039443i,0.00092865-0.0070401i,-0.0084542-0.002316i,-0.0023055+7.3091e-05i,-8.331e-05-0.001101i,-0.00099008-0.00040761i,0.00077557-0.0032678i,0.0013849-0.0026629i,0.00089819-0.0014821i,-0.0096827-0.0085666i,-0.00014394-0.00043085i,-0.0014997+0.00033591i,-0.0024438-0.00011644i,-0.0025571+2.3432e-05i,-0.00098198-0.00094916i,0.0011294-0.00068461i,-0.0018059+0.00013155i,0.0016042-0.00030207i,0.0020117-0.00044163i,0.00063013+0.00043429i,-0.0003871+0.0018027i,-0.00091052-0.0069469i,-0.0013577+0.000822i,0.0016867+0.00020461i,0.0009002+0.0023126i,0.0050624+0.0061933i,0.0011554-0.0015134i,-0.0016032-0.001074i,-0.0015314-0.0019449i,0.0028575+0.0056917i,-0.0079968+0.0079227i,0.019278-0.058321i,-0.074478+0.013947i,-0.028287-0.018292i,-0.061316-0.047981i,-0.052757-0.017165i,-0.085393+0.0043823i,-0.072402+0.0027086i,-0.047857-0.034251i,-0.0085167-0.045348i,-0.03692-0.024513i,-0.0063745+0.00012758i,-0.030287+0.009995i,0.00755+0.011105i,0.010192+0.00807i,0.0020387-0.0066712i,0.010447+0.003714i,-0.011065-0.0032769i,0.0030506+0.011652i,0.0013359+0.0056589i,-0.00031511-0.0013932i,0.0053083+0.0019898i,0.0042386+0.00032323i,-0.0046957+0.019304i,0.00056534+0.009402i,0.0009374-0.0043162i,0.0081567-0.0062084i,0.0013078+0.0041331i,-0.0091533-0.0068519i,-0.0025602-0.001093i,0.024732-0.031675i,0.0054221+0.0088724i,0.0016166+0.0027609i,-0.0015976+0.0042186i,0.0032992-0.0040152i,0.020397+0.0028948i,0.0010644-0.0019599i,-0.0029724-0.0074058i,-0.0006144-0.0020691i,0.010252+0.0049213i,0.0055411-0.00027814i,0.0031859-0.0075005i,0.0047162+0.005073i,-0.0063035+0.0033015i,0.013693+0.0068603i,-0.042832-0.038998i,-0.013076+0.0065371i,-0.0022147-0.00096273i,-0.00069332+0.0031038i,-0.041562+0.010317i,-0.006474+0.0083695i,-0.013423+0.0038896i
-0.008895+0.014488i,-0.01448+0.043138i,0.010676+0.034348i,-0.0053335+0.025095i,0.0027193+0.018575i,0.0058654+0.021697i,-0.022953+0.019774i,-0.018634+0.035703i,0.004256+0.012024i,-0.0015501-0.00040367i,-0.00022803+0.0029934i,0.0048513+0.0010291i,0.0042257+0.0029358i,-0.0015803+0.002801i,-0.0025262+0.0049772i,-0.0033995-0.0053407i,-0.010232+0.00224i,-0.001695+0.0013103i,0.00064715-0.00065998i,-0.00051145-1.8575e-05i,-8.698e-05-0.0032173i,0.001177-0.0023561i,0.00074762-0.0012635i,-0.011241-0.004974i,0.00010328-0.00032998i,-0.0015191+0.00079997i,-0.0016529+0.00075302i,-0.0023042+0.00049771i,-0.0010978-0.00060747i,0.0011114-0.00083912i,-0.0017004+0.0011173i,0.0011323-0.00053855i,0.0013808-0.0015174i,0.00023474+0.00043126i,-0.00089111+0.0013612i,-0.00063485-0.0054951i,-0.00075375+0.00097179i,0.00091978-0.00040469i,0.00097542+0.0025727i,0.0062327+0.0029432i,0.00080256-0.0019564i,-0.0023297-0.00069542i,-0.0025118-0.00092394i,0.0044041+0.0049393i,-0.0058626+0.0061078i,0.00078154-0.067561i,-0.065476+0.028851i,-0.035129-0.020758i,-0.074679-0.03882i,-0.05298-0.0058674i,-0.076438+0.021006i,-0.069733+0.015565i,-0.04135-0.03146i,-0.014264-0.043761i,-0.043169-0.011491i,-0.0072491+0.00032381i,-0.023911+0.021884i,0.0097142+0.0060046i,0.012286+0.00091811i,-0.0028572-0.011299i,0.0076472+0.0029139i,-0.011303+0.0026165i,0.0075093+0.009432i,0.0032666+0.0072143i,-0.00073507-0.00096131i,0.0063778+0.0020939i,0.0049748+7.4387e-05i,0.0042573+0.016228i,0.0045898+0.0049464i,-0.0034022-0.0061892i,0.0022212-0.0066679i,0.0033247+0.0048165i,-0.011378-3.4324e-05i,-0.0021427+0.0018552i,0.008726-0.031385i,0.0086313+0.007695i,0.003862+0.0017682i,0.0023071+0.0026171i,-5.5729e-05-0.0019191i,0.018001-0.0066682i,-0.0004174-0.0024717i,-0.006257-0.0051394i,-0.0030962-0.00085067i,0.0096358+5.0702e-05i,0.0047259-2.7715e-05i,0.00055338-0.0058404i,0.0066746+0.0036153i,-0.0061867+0.0055053i,0.013818+0.0016639i,-0.050487-0.032991i,-0.0064162-0.0045812i,-0.0030507-0.0017909i,0.001099+0.0021158i,-0.035694+0.023155i,-0.0045063+0.0091288i,-0.010085+0.0064992i
-0.0057107+0.014664i,-0.0077911+0.043526i,0.015545+0.02674i,-0.00085391+0.023987i,0.0062857+0.017389i,0.0098982+0.019411i,-0.019801+0.023391i,-0.01088+0.035815i,0.0038001+0.0076875i,-0.0015426+0.00061207i,0.0016803+0.00351i,0.0022755-0.00036195i,0.0044647+0.0016712i,-0.00082179+0.0028792i,-0.0012099+0.0059784i,-0.0063557-0.001343i,-0.0084065+0.0071318i,-0.00061435+0.0016689i,0.0016307-0.0018058i,0.00015107-0.00032691i,-0.00098015-0.002973i,0.00091342-0.0029218i,0.00079976-0.001472i,-0.011954-0.0016463i,-4.6832e-05-0.00031023i,-0.00084681+0.0014916i,-0.0010376+0.00060216i,-0.001542+0.0015762i,-0.0012537-0.00050618i,0.00064961-0.0014185i,-0.0008066+0.0018504i,0.00065733-0.00077939i,0.00035983-0.0012405i,0.00058908+0.00022689i,-0.00056435+0.0022671i,-0.00016279-0.0058945i,-0.00070479+0.00092613i,0.00029231-0.00066863i,0.0029363+0.0016536i,0.0055133+0.00059286i,0.00019007-0.0020936i,-0.0017121+0.0003875i,-0.0033264+0.00017705i,0.0056474+0.0032235i,-0.0052117+0.0046442i,-0.021355-0.067465i,-0.051614+0.038329i,-0.043403-0.017581i,-0.08239-0.023522i,-0.048683+0.0027839i,-0.06183+0.03173i,-0.058449+0.028333i,-0.043459-0.033505i,-0.019398-0.042843i,-0.042387+0.0022867i,-0.0073577+0.0016164i,-0.01258+0.027805i,0.010305+0.0014972i,0.008481-0.0051096i,-0.012643-0.010851i,0.0076299+0.00067135i,-0.0076968+0.0069276i,0.010315+0.0045856i,0.005958+0.0067652i,-0.0028528+0.00036237i,0.0065223-0.0014783i,0.0058441-0.0025626i,0.0078299+0.0099634i,0.0040005+0.0013296i,-0.00874-0.0028389i,-3.2259e-05-0.0049172i,0.0061011+0.0035415i,-0.007253+0.0084471i,0.00033569+0.003021i,-0.0025543-0.027704i,0.012252+0.0030808i,0.0036603-0.00022119i,0.0011628+0.0010229i,0.00082716-5.3286e-05i,0.011301-0.011313i,-0.0023811+0.00046871i,-0.0077947-0.001341i,-0.0036919+0.0023647i,0.0066078-0.002693i,0.0076269-0.0014495i,0.0005081-0.0056483i,0.0093635+0.00034686i,-0.0029711+0.0071297i,0.011991-0.0025532i,-0.05588-0.021835i,-0.011331-0.014628i,-0.0020727-0.0034797i,0.0041991-0.00076553i,-0.024915+0.030977i,-0.0036291+0.0051945i,-0.006388+0.0014673i
-0.0027684+0.013555i,-0.00015829+0.043487i,0.017621+0.019512i,0.0037641+0.022862i,0.01034+0.013961i,0.013389+0.016051i,-0.015498+0.026419i,-0.004418+0.032767i,0.0030349+0.0061735i,-0.00096089+0.001522i,0.0031874+0.0022743i,0.0011457+0.001439i,0.0041182+0.00052376i,-0.00062109+0.0036282i,0.00038415+0.0061364i,-0.0062479+0.003737i,-0.0042363+0.010369i,0.00024209+0.0013248i,0.00065739-0.0023039i,-7.1768e-05-0.00099884i,-0.0018473-0.0024893i,0.00029347-0.0030938i,0.00060034-0.002103i,-0.011674+0.0021996i,1.879e-05-0.00043119i,0.00017758+0.0011559i,-0.00088773+0.00031552i,-0.0003559+0.0014574i,-0.0014968+0.00013808i,-0.00020087-0.0013817i,0.00016333+0.0019384i,0.00013039-0.00073134i,-0.00030158-0.00099259i,0.00055297-2.5717e-05i,0.00076021+0.0021552i,-0.00077882-0.0077705i,-0.00021078+0.0015081i,-0.00032314-0.00045883i,0.0023-0.00081739i,0.0049305-0.000594i,-0.0003409-0.0020455i,-0.0010091+0.0003469i,-0.0031549+0.0018341i,0.004873+0.00078204i,-0.0053401+0.0044054i,-0.040046-0.056066i,-0.037774+0.040729i,-0.049895-0.010366i,-0.085921-0.0077351i,-0.042711+0.0081179i,-0.049261+0.035142i,-0.045232+0.031563i,-0.04755-0.029429i,-0.025268-0.039104i,-0.038317+0.013476i,-0.0076195+0.0030868i,-0.0017107+0.028224i,0.0092679-0.0031057i,0.0030252-0.0067846i,-0.018963-0.0030158i,0.0047028-0.00034536i,-0.0031972+0.0078017i,0.009114-0.0012986i,0.0083573+0.0054906i,-0.0028745+0.0028995i,0.00336-0.0027793i,0.0049515-0.0061211i,0.0072489+0.0030037i,0.0013339-0.00020641i,-0.0090949+0.0016453i,-0.001725-0.0036341i,0.0071764+0.0011072i,0.0025303+0.01025i,0.0018819+0.0018516i,-0.0088848-0.021968i,0.011755-0.0015984i,0.0033367-0.00092025i,0.0022059+0.0016243i,0.00093473-0.00052399i,0.005584-0.011141i,0.00015998+0.0025039i,-0.0072091+0.0026454i,-0.0011725+0.0047286i,0.0046485-0.0019045i,0.0073824-0.0061776i,-0.0018042-0.0053558i,0.0083925-0.0049053i,-0.00061101+0.0060968i,0.010029-0.006622i,-0.053826-0.0087257i,-0.023101-0.015169i,-0.0031075-0.0081579i,0.0032875-0.00618i,-0.014305+0.031216i,-0.0069635+0.0044185i,-0.0099658-0.00080182i
-0.00095297+0.012284i,0.0064242+0.041443i,0.016916+0.013826i,0.0082638+0.020232i,0.0127+0.0094752i,0.015271+0.012149i,-0.010242+0.028147i,-0.00061471+0.029806i,0.0033492+0.0055156i,0.00014857+0.0019709i,0.0032968+0.0011257i,0.0019809+0.0024905i,0.0038146-0.00034903i,0.0010458+0.0045022i,0.0021507+0.0058583i,-0.0035607+0.0070498i,0.00057697+0.011181i,0.0006966+0.00099984i,0.00021441-0.0021978i,-0.00063189-0.0011638i,-0.0025733-0.0017724i,-0.0005514-0.0029389i,-0.0002526-0.002434i,-0.0091642+0.0053352i,-0.00030549-0.00085109i,0.0001513+0.0002596i,-0.00097845+0.00040437i,0.00019411+0.00078047i,-0.0011468+0.00087527i,-0.0003806-0.0008553i,0.00065802+0.0015896i,-0.00010331-0.00088763i,-0.00066734-0.00044213i,0.0003408-0.00012575i,0.0011731+0.0014705i,-0.0030553-0.0085477i,-0.00011722+0.0014754i,-0.00032956+0.00027806i,0.0007652-0.0010927i,0.0041456-0.0012523i,-0.00089397-0.0019707i,-0.00083652+0.00030747i,-0.0018573+0.0027658i,0.003563+0.0011141i,-0.0047394+0.0050373i,-0.047073-0.038968i,-0.027627+0.038827i,-0.05443-0.00088126i,-0.086722+0.0089806i,-0.038541+0.0091843i,-0.038987+0.036218i,-0.035475+0.031894i,-0.049862-0.02523i,-0.027798-0.035274i,-0.032177+0.023691i,-0.0070801+0.0047263i,0.010563+0.025026i,0.0065993-0.0056733i,-0.0018104-0.00561i,-0.020349+0.0032768i,0.0035419-2.1239e-05i,6.2013e-06+0.0077841i,0.0043268-0.0032774i,0.010021+0.0025209i,-0.0013962+0.0049903i,0.0012276-0.0014681i,0.0025453-0.0089665i,0.0038719+0.0026786i,-0.00084616+0.0011425i,-0.0083717+0.006874i,-0.0030246-0.0012743i,0.0070707-0.001692i,0.0067437+0.0052737i,0.002533+0.00085094i,-0.011404-0.01959i,0.010038-0.0058538i,0.0027398-0.0020531i,0.0061047+0.0018296i,0.000712-0.00021422i,0.0027992-0.0095163i,0.0021861+0.0014604i,-0.0041332+0.0061369i,0.0023578+0.004536i,0.0045398-0.0019059i,0.0035789-0.010524i,-0.0027393-0.0038076i,0.0041568-0.0081261i,0.00018462+0.0047405i,0.005337-0.010328i,-0.048012-0.0026159i,-0.032415-0.0068448i,-0.0066421-0.0098289i,0.00032321-0.010119i,-0.0077653+0.02974i,-0.0099882+0.0070313i,-0.012025+0.0019048i
0.00059446+0.011296i,0.012465+0.039182i,0.016141+0.01102i,0.01146+0.016352i,0.012833+0.0047935i,0.016563+0.0087753i,-0.0045338+0.028105i,0.0020314+0.027373i,0.0040896+0.0035384i,0.00081205+0.0013168i,0.0026686+0.00037406i,0.0030411+0.0025224i,0.0032501-0.0011638i,0.0027722+0.0036427i,0.0035039+0.004927i,-7.8668e-05+0.0084994i,0.0050939+0.0094362i,0.0010586+0.00068959i,-0.00035749-0.0023685i,-0.0012279-0.00097541i,-0.0026465-0.00059171i,-0.0010145-0.0026269i,-0.0009828-0.002122i,-0.0069619+0.0060614i,-0.0013261-0.00027676i,-0.00018508+7.5768e-06i,-0.001145+0.00028324i,0.00034647+0.00012236i,-0.00036058+0.001114i,-0.00036739-0.00068489i,0.0011215+0.0012674i,-0.00064624-0.00090346i,-0.00053408+7.5044e-05i,5.9679e-05-0.0002999i,0.0014268+0.0013789i,-0.0056374-0.0080183i,2.3517e-05+0.00086471i,0.00022361+0.00035322i,7.0033e-06-0.00086515i,0.0033612-0.0019854i,-0.0014795-0.0015081i,-0.0007832+0.0003902i,-0.00050406+0.0029101i,0.0039692+0.0016479i,-0.003636+0.0056917i,-0.045335-0.027021i,-0.020518+0.036639i,-0.055222+0.012304i,-0.081657+0.028658i,-0.039297+0.01026i,-0.030738+0.035262i,-0.027077+0.03077i,-0.051075-0.019217i,-0.031446-0.032043i,-0.023712+0.02946i,-0.0065011+0.0068183i,0.01802+0.011453i,0.0045518-0.0080323i,-0.0050401-0.0018878i,-0.018639+0.011251i,0.0034011-0.00079666i,0.0048462+0.0061789i,0.0013678-0.0016824i,0.011279-0.001512i,0.00080809+0.0072079i,0.0008416-0.0003092i,-0.0035059-0.010567i,0.0024324+0.0044753i,-0.0005467+0.0034256i,-0.0024551+0.011568i,-0.0015965+0.00092399i,0.0058181-0.0034107i,0.0079242+0.0013464i,0.0032098-0.00082511i,-0.018627-0.017727i,0.006221-0.0083289i,0.0011946-0.0026369i,0.0041441-0.0029098i,0.00092974+0.00080461i,0.0017278-0.0078248i,0.0025763+4.4355e-05i,-0.00062323+0.0069726i,0.0039338+0.0017108i,0.0035844-0.0028337i,-0.0030213-0.010812i,-0.0032674-0.00348i,0.00056593-0.0078555i,0.0007689+0.0033227i,-0.00089891-0.010369i,-0.045097+0.002029i,-0.030178+0.007012i,-0.01021-0.0094824i,-0.0046477-0.011292i,-0.0031432+0.028181i,-0.0084858+0.011939i,-0.0091603+0.0037418i
0.0018867+0.010216i,0.018008+0.036222i,0.016405+0.0088092i,0.012988+0.012134i,0.011494+0.0014799i,0.017528+0.0052392i,0.00057323+0.026825i,0.0039851+0.025707i,0.0041187+0.0019903i,0.00077231+0.0010492i,0.002258+0.00050718i,0.00456+0.0022929i,0.0024172-0.0016351i,0.0035594+0.0019532i,0.0043015+0.0038692i,0.0031716+0.0081376i,0.0080165+0.0064076i,0.0013297+0.00040857i,-0.00093913-0.0023499i,-0.0015649-0.00039391i,-0.0021711+0.00030658i,-0.0015448-0.0024336i,-0.0014358-0.0016299i,-0.0058226+0.0075095i,-0.0010439+6.3264e-05i,-0.00051815+0.00027853i,-0.00042837+0.00074927i,-0.00016578-0.00029703i,-3.3569e-05+0.00073129i,-0.00048504-0.0007115i,0.001343+0.00072006i,-0.00072953-0.00033872i,-0.0002263+0.00016556i,-0.00013186-0.00019961i,0.0019197+0.00051406i,-0.0079001-0.0074608i,0.00014696+0.00057811i,0.00014382-0.00012002i,-0.00039106-0.00070019i,0.0024603-0.0024862i,-0.0015671-0.00085895i,-0.00043308+0.00051408i,0.00029675+0.0021978i,0.0044861+0.0008364i,-0.0020384+0.0056632i,-0.044024-0.022309i,-0.015425+0.034908i,-0.049654+0.024839i,-0.069908+0.044817i,-0.039794+0.016086i,-0.024324+0.034993i,-0.021528+0.028176i,-0.051592-0.01458i,-0.033851-0.026596i,-0.015253+0.032868i,-0.0036876+0.0072898i,0.013079-0.0015346i,0.00090528-0.010304i,-0.0051724+0.0014225i,-0.014494+0.015558i,0.0020647-0.0017364i,0.0066203+0.00069315i,0.0016875-0.00026566i,0.0097746-0.0051563i,0.0051125+0.0055916i,0.001118+0.0014136i,-0.0084573-0.0049102i,0.0038624+0.0057533i,0.00094629+0.0049479i,0.003966+0.011263i,-0.00074648+0.0010855i,0.0045146-0.0047783i,0.0079926-0.0038121i,0.0012804-0.0017194i,-0.024676-0.011474i,0.0030584-0.0087392i,-9.0761e-05-0.0018753i,0.0039863-0.0013763i,0.0017314+0.00058012i,0.0019681-0.0088213i,0.0021165-0.0012999i,0.0021543+0.0053882i,0.0034604+0.00067463i,0.0032435-0.0023126i,-0.0065913-0.0068763i,-0.004724-0.0025363i,-0.0042087-0.0064592i,0.00037241+0.0020669i,-0.0046011-0.0073407i,-0.041743+0.0070656i,-0.023924+0.0097298i,-0.010079-0.0081241i,-0.0076374-0.0099623i,0.001843+0.024648i,-0.0064522+0.012791i,-0.0083459+0.0033909i
0.0030358+0.0090556i,0.023565+0.032948i,0.017311+0.0068336i,0.01329+0.0088574i,0.0096047-0.00062601i,0.017729+0.0017203i,0.0051421+0.024716i,0.0067851+0.024867i,0.0037625+0.00019846i,0.00081214+0.00094264i,0.0027061+0.00061501i,0.0059158+0.00045727i,0.0016046-0.001734i,0.0029364+0.00092022i,0.0050841+0.0029124i,0.0056929+0.0062928i,0.009104+0.0036374i,0.0015858-0.00030452i,-0.0016222-0.0022035i,-0.001392+0.00048803i,-0.0014676+0.0009231i,-0.0020116-0.001666i,-0.0015988-0.0011928i,-0.0028765+0.0087903i,-0.00090688+0.00043176i,-0.00035403+0.00061839i,-0.00052631+0.0013689i,-0.00091541-6.8437e-05i,5.2723e-05+0.00064842i,-0.00062488-0.00061662i,0.0015179+0.00040589i,-0.00031136-0.00031036i,-0.00037665+9.4423e-05i,-0.00023193-5.4573e-05i,0.0017486-0.00034052i,-0.011149-0.0054916i,0.00064416+0.00029388i,-0.00012884-6.0993e-05i,-0.00099281-0.00052295i,0.0018576-0.0025546i,-0.001232-0.00067768i,-0.00011552+0.00041223i,0.00042058+0.0016849i,0.0043927-4.8075e-05i,-0.00079421+0.0046765i,-0.046576-0.018631i,-0.011345+0.033238i,-0.04189+0.034039i,-0.054858+0.054579i,-0.038358+0.022191i,-0.017383+0.033868i,-0.0174+0.026537i,-0.052422-0.0095093i,-0.034777-0.020745i,-0.0067048+0.034127i,-0.0020709+0.0064956i,0.0053715-0.0042224i,-0.0034181-0.010884i,-0.0033339+0.0047635i,-0.0070887+0.015211i,-5.4161e-05-0.0022972i,0.0034035-0.0035385i,0.0013165+0.00014105i,0.0070524-0.0085764i,0.0077465+0.0033126i,0.0025713+0.0018651i,-0.0085378-0.00060585i,0.0060937+0.0063732i,0.0034104+0.0056563i,0.0088909+0.0085568i,-0.00033011+0.0016043i,0.0035873-0.0055441i,0.0061697-0.0072165i,0.00054124-0.0003051i,-0.028641-0.00258i,-0.00037049-0.0087937i,-0.00031035-0.00057981i,0.0047322-0.00099376i,0.002094+5.7368e-05i,0.00065028-0.011091i,0.00066775-0.0017041i,0.0040218+0.0038115i,0.0036114-0.0002705i,0.004285-0.0032784i,-0.0080485-0.0039007i,-0.0063046-5.7684e-05i,-0.0067952-0.0035222i,0.00032642+0.0010041i,-0.0057394-0.004482i,-0.037869+0.010738i,-0.021972+0.0111i,-0.0095667-0.0094953i,-0.0097791-0.0087995i,0.00272+0.022231i,-0.0061423+0.012782i,-0.0070253+0.0034184i
0.0042604+0.0079774i,0.029442+0.02813i,0.019068+0.0042269i,0.013255+0.0062516i,0.0083245-0.001152i,0.017357-0.0016268i,0.0088663+0.02137i,0.010837+0.023606i,0.0030111-0.0011359i,0.00090566+0.00073437i,0.003038-0.00019009i,0.0054888-0.0022612i,0.0010583-0.0015331i,0.002729+0.00042821i,0.0057947+0.0015608i,0.0066471+0.0037923i,0.0096871+0.00080422i,0.00099776-0.0010104i,-0.0024926-0.0016034i,-0.00066251+0.00086552i,-0.0005393+0.00092037i,-0.0020425-0.0011672i,-0.0017999-0.00074323i,0.00015417+0.0084897i,-0.00061017+0.00063872i,-6.0441e-05+0.00065393i,-0.00010301+0.0015375i,-0.0010553+0.00062819i,0.00028438+0.000332i,-0.00068602-0.00049247i,0.0012921-0.00047421i,-0.00062323-0.00038771i,-0.00054442+0.00031609i,-0.00028949+7.0652e-05i,0.0011914-0.00089989i,-0.013126-0.0022028i,0.00075475+0.00015215i,-9.0306e-05+1.8148e-05i,-0.0013252+0.00013807i,0.0012171-0.002777i,-0.0016043-0.00064462i,1.2584e-06+0.00015531i,0.00035307+0.0014823i,0.0043227-0.0006235i,-0.00040183+0.0037478i,-0.051232-0.012003i,-0.0072503+0.031532i,-0.030819+0.039547i,-0.040682+0.060993i,-0.035499+0.030242i,-0.010768+0.030565i,-0.011389+0.024577i,-0.05195-0.0030672i,-0.033283-0.014554i,0.0010371+0.033122i,-0.0015714+0.0056319i,0.00032628-0.0047629i,-0.008414-0.0096326i,0.00084558+0.0055363i,-0.00086364+0.015539i,-0.0025623-0.0014776i,0.0038776-0.0041928i,0.0025635+0.0020968i,0.0023193-0.010662i,0.0086896-0.0011886i,0.0038287+0.0013051i,-0.0081945+0.0036228i,0.0097602+0.005471i,0.0071616+0.004143i,0.012108+0.0033069i,0.00064067+0.0021135i,0.0020625-0.0063527i,-0.00027719-0.0090563i,0.0016157+0.0008677i,-0.027805+0.0087763i,-0.0015091-0.008463i,0.0003623+0.00070428i,0.0053208-0.0044765i,0.0027571-0.00022386i,-0.0040351-0.012875i,-0.00039384-0.0010184i,0.0046282+0.0018738i,0.0034061-0.00087678i,0.0036305-0.0048478i,-0.0082908+0.00049787i,-0.0058831+0.0032676i,-0.0072984-0.00032281i,-0.00083198-0.0002864i,-0.0059447-0.0022232i,-0.035015+0.013324i,-0.020406+0.016192i,-0.011565-0.012721i,-0.0091589-0.0079209i,0.0045609+0.021238i,-0.0065521+0.015656i,-0.0049725+0.0019731i
0.0053191+0.0064938i,0.033956+0.021776i,0.020153-7.1978e-05i,0.013136+0.0040109i,0.0079524-0.0014466i,0.016741-0.004633i,0.011211+0.017656i,0.014076+0.021345i,0.0019662-0.0020102i,0.0008011+0.00072362i,0.0027406-0.00089631i,0.0034536-0.0038671i,0.00069656-0.0013756i,0.0023547+1.3576e-05i,0.0058101-6.7362e-05i,0.0062207+0.0018574i,0.0086832-0.0027177i,0.00049361-0.0011076i,-0.0026838-0.00071588i,5.5975e-05+0.0008675i,0.00023491+0.00047326i,-0.0019853-0.00080668i,-0.0017087-0.00028736i,0.0025743+0.0079052i,-0.0002848+0.00057143i,6.4673e-05+0.00067268i,0.00054932+0.0012009i,-0.00087904+0.00082997i,0.00017137-0.00010416i,-0.00090023-0.00036975i,0.00090843-0.00085939i,-0.00090888-4.7527e-05i,-0.00026374+0.00056532i,-0.00027813+0.00026598i,0.0004768-0.0012765i,-0.013984+0.0010267i,0.00040667+0.00015545i,-0.0001476-7.5258e-05i,-0.0011224+0.00098482i,0.00045653-0.0030994i,-0.00061087+0.00027246i,-5.8233e-05-0.00027393i,0.00045932+0.0015612i,0.0042491-0.0014978i,-8.0647e-05+0.0032406i,-0.053211-0.00065184i,-0.0049708+0.029675i,-0.021374+0.040687i,-0.024685+0.065564i,-0.028326+0.038862i,-0.0067+0.025375i,-0.0079894+0.019063i,-0.048736+0.002916i,-0.030223-0.009236i,0.0085573+0.030325i,-0.00079759+0.0059008i,-0.0051573-0.0028389i,-0.011965-0.0060934i,0.0035104+0.0030611i,0.0032417+0.015711i,-0.0054231+0.00076576i,-0.0011081-0.006417i,0.0051216+0.00073873i,-0.0026615-0.0095437i,0.0065315-0.0048386i,0.0048599-0.00038771i,-0.0065457+0.0070511i,0.012806+0.00072454i,0.0086658-0.00037601i,0.011598-0.0040071i,0.0021797+0.0017017i,-3.4223e-05-0.0063589i,-0.004106-0.0056888i,0.0030372-0.0004286i,-0.022315+0.023526i,-0.0032611-0.006615i,0.0019444+0.0010253i,0.0019928-0.0062005i,0.0031327-0.00073539i,-0.0097016-0.010264i,-0.00018276+0.00064976i,0.004716-3.934e-05i,0.0025685-0.0016003i,0.002247-0.0054256i,-0.0065219+0.0041941i,-0.0034813+0.0054087i,-0.0067854+0.0035567i,-0.0030623-4.5133e-05i,-0.0056649-0.00090833i,-0.030687+0.017963i,-0.011911+0.019735i,-0.016165-0.013824i,-0.010186-0.0086409i,0.0055003+0.020368i,-0.003396+0.019384i,-0.0046493-0.0016018i
