-0.00094516-0.042567i,-0.00012522-0.047496i,-0.0084046-0.048317i,-0.031232-0.02345i,-0.02289+0.010482i,-0.037175-0.033218i,-0.065005-0.058134i,-0.019321-0.07146i,-0.024339-0.045888i,-0.0010789+0.016653i,-0.010711+0.012613i,-0.014089+0.013854i,0.0039855+0.013588i,-0.0027948-0.001892i,0.0019911+0.0060759i,0.00029063+0.033553i,0.02161+0.060336i,0.0012848-0.00060618i,-0.0037472-0.0094855i,0.0064266+0.0037697i,0.0015624+0.0015621i,-1.9568e-05+0.0028502i,-0.00017354-0.00050585i,-0.038415-0.0086473i,-0.0028389-0.0076269i,-0.001018+0.0045312i,0.0039973-0.00019507i,-7.546e-05+0.00045376i,0.00069963-0.00074992i,-2.4844e-05-0.0023372i,-0.0017719-0.0056451i,-0.0031274-0.0062681i,-0.001185-0.0073025i,0.0031341-0.00014423i,0.0027892-0.0017471i,-0.0011013+0.037912i,0.0065718-0.0040318i,0.0029464-0.00094894i,0.0048876-0.00056441i,-0.013183-0.0050088i,-0.00089563+3.4686e-05i,0.0088866-0.001805i,0.0035595+0.0011857i,-0.004345+0.001826i,-0.00015731+0.0091809i,-0.0041893+0.016437i,0.024737-0.083127i,-0.00058435-0.05538i,-0.023937-0.044331i,-0.019941-0.037445i,0.061876-0.017723i,0.03047-0.059019i,0.03927-0.045077i,0.033835-0.053486i,0.019269-0.015662i,0.0075876+0.012015i,0.023435-0.035736i,-0.0081653-0.0052231i,0.0029765-0.0013402i,-0.002586-0.0049176i,0.0041141-0.031766i,-0.025327+0.031122i,0.0086279-0.010312i,-0.012071-0.0021053i,-0.0046614-0.0017359i,0.00064571-0.014572i,-0.010599+0.0056634i,0.0032638+0.006509i,-0.013698+0.030366i,0.0057267+0.0066108i,-0.0057963-0.0014827i,-0.0012077-0.0025758i,-0.011878-0.0076763i,6.5563e-05-0.0034922i,-0.034967+0.010237i,0.0019781-0.012696i,-0.0088738-0.0022278i,-0.0070207-0.0034669i,0.006517+0.0017996i,-0.0085807+0.0025687i,0.00011168+0.0018528i,0.0050729+0.010085i,0.0049071+0.00060061i,-0.0097283-0.010197i,0.0018949+0.0085957i,-0.0206+0.0055576i,0.0063421+0.0028621i,-0.028138-0.008216i,-0.036469-0.0012974i,0.026614-0.07981i,0.013925-0.009243i,-0.043344-0.027818i,-0.025264-0.0056195i,0.017571+0.012054i,-0.027043+0.011632i,-0.012288-0.0098349i
-0.04262-0.0058804i,-0.058717+0.003778i,-0.042249+0.047659i,-0.019022+0.010256i,-0.0049282+0.019337i,-0.004904+0.038197i,-0.028318+0.017363i,-0.062697+0.024767i,-0.021013+0.01757i,0.0036497-0.010346i,0.003187-0.0019561i,0.0028997+0.00021346i,0.0026222+0.00811i,-0.0040016+0.0011158i,-0.00019044+0.0017738i,0.0020595-0.0080128i,-0.012258-0.0085666i,-0.0035276+0.00057289i,0.004019-0.0033376i,0.0010496+0.0001431i,0.0012113-0.0048481i,0.002347-0.0041378i,0.0016032-0.0028164i,-0.011064-0.011581i,-0.0025971-0.0015363i,-0.0038091-0.00025186i,-0.0030554-0.00047454i,-0.004504-0.0011986i,-0.00077492-0.0025157i,0.0014615-0.0013323i,-0.0037821+0.0039908i,0.001757+0.0019299i,0.0020574+0.0018548i,0.0012191+0.00093992i,-0.0021643+0.0027612i,-0.0039602-0.0093926i,-0.0033067+0.0013682i,0.00087695+0.00017438i,-0.00096193+0.0041078i,0.010247+0.0085099i,0.0013597-0.0014574i,0.0011939+3.7164e-05i,-0.0035975-0.0044232i,0.0014827+0.0055791i,-0.010054-0.017249i,0.012942-0.077299i,-0.088158-0.022475i,-0.025716-0.021303i,-0.051925-0.040103i,-0.043457-0.0071418i,-0.091767+0.017893i,-0.063266-0.0028028i,-0.039404-0.026955i,-0.027275-0.056751i,-0.032369-0.023569i,-0.00025377+0.0038626i,-0.026096+0.010915i,0.0062339+0.017349i,0.0043734+0.0078097i,-0.0023315-0.0060833i,0.0082829+0.0055865i,-0.011102-0.0050635i,0.0023768+0.011687i,0.0011127+0.0071714i,-0.0014498-0.0015847i,0.0068155+0.002664i,0.003937-0.0010433i,-0.0030799+0.020924i,-0.00083482+0.01478i,0.0020957-0.0046169i,0.010759-0.0085479i,0.0039627+0.0043644i,-0.0081569-0.0081227i,-0.0015432-0.0016375i,0.024873-0.030403i,0.0087801+0.008611i,0.0041073+0.0028821i,-0.001896+0.0027679i,0.0039643-0.0035414i,0.020119+0.0024376i,0.0019377-0.002107i,-0.00093306-0.0078638i,0.0018393-0.0033261i,0.012855+0.0045677i,0.0056774+0.00047595i,0.0033026-0.0068285i,0.0044221+0.0078157i,0.0039061+0.0027367i,0.019265+0.0044075i,-0.068657-0.0412i,-0.011287+0.011092i,-0.007358-0.003349i,-0.0084073+0.0050878i,-0.037744+0.0087335i,-0.005314+0.0076918i,-0.016304+0.0040352i
-0.041571+0.00034611i,-0.056873+0.010149i,-0.030205+0.048962i,-0.017573+0.01206i,-0.0013362+0.016775i,0.0021964+0.037599i,-0.026+0.021297i,-0.055258+0.03314i,-0.016466+0.016276i,6.6295e-05-0.010305i,0.0033409-0.0016344i,0.0026676-0.0012703i,0.0045593+0.0058295i,-0.0023299+0.0030728i,-7.7991e-05+0.0024189i,-0.0028482-0.0059776i,-0.017257-0.0015725i,-0.0028582+0.001745i,0.004263-0.003698i,0.0015237-0.00050038i,1.7715e-05-0.0046448i,0.0016272-0.0034074i,0.0012265-0.0027581i,-0.012719-0.0070854i,-0.0026692-0.00071908i,-0.0040776+0.0012871i,-0.0023803+0.00055042i,-0.004006+0.0003311i,-0.0015806-0.0025009i,0.00142-0.0015644i,-0.0021184+0.0055417i,0.0019647+0.0015896i,0.0026381+0.0006429i,0.00035944+0.00079623i,-0.002581+0.0023421i,-0.0040786-0.0080838i,-0.0028554+0.0021251i,-0.00013889-0.00040965i,-0.00034206+0.0053206i,0.011035+0.001912i,0.00093298-0.00182i,0.00067936-0.00062166i,-0.0050963-0.0034529i,0.0027448+0.0051782i,-0.011551-0.020538i,-0.0099722-0.086351i,-0.084058-0.0052332i,-0.032316-0.023462i,-0.062086-0.030718i,-0.040963+0.0017244i,-0.078423+0.037648i,-0.060637+0.011569i,-0.030051-0.026164i,-0.033569-0.053092i,-0.040884-0.0086798i,0.00023821+0.0015041i,-0.020743+0.022656i,0.010682+0.011259i,0.0069544+0.0041734i,-0.00755-0.0096075i,0.0046214+0.0037756i,-0.011384+0.0021338i,0.0073885+0.0092562i,0.0019677+0.0083229i,-0.0016926-0.00084289i,0.0068977+0.0026523i,0.0039407-0.0016217i,0.0067295+0.016636i,0.0060697+0.010106i,-0.0036725-0.0057273i,0.0027046-0.0091565i,0.0049363+0.004173i,-0.011367-0.0002778i,-0.0022048+0.00076556i,0.0093673-0.035668i,0.011422+0.0059719i,0.0072724+0.0014288i,0.0010943+0.0018033i,0.00061819-0.0016762i,0.018889-0.0068032i,0.00026527-0.0025428i,-0.0047039-0.0059647i,-0.0019563-0.002867i,0.011976-7.0079e-05i,0.0055741+0.0005345i,0.0010012-0.0042837i,0.006999+0.0064255i,0.0039265+0.0023636i,0.017854-0.0024642i,-0.074351-0.031465i,-0.002791-0.00069959i,-0.0064771-0.0019506i,-0.0066773+0.0052553i,-0.032122+0.020976i,-0.0033219+0.0089703i,-0.014651+0.0064037i
-0.03878+0.0053642i,-0.055937+0.016596i,-0.02202+0.047972i,-0.016551+0.013957i,0.0032407+0.015429i,0.0093733+0.035256i,-0.022385+0.024908i,-0.047141+0.038847i,-0.015835+0.01485i,-0.0027889-0.0087i,0.0042439-0.0020153i,-0.00073828-0.0019263i,0.0056649+0.0041589i,-0.0018993+0.0034598i,0.00063369+0.0030384i,-0.0059725-0.001569i,-0.016508+0.0079184i,-0.00090298+0.0028611i,0.0039671-0.0058128i,0.0021148-0.0017815i,-0.0012239-0.0042254i,0.0016569-0.0040095i,0.0009795-0.0030752i,-0.013691-0.0033197i,-0.0030537+0.0005702i,-0.0028652+0.0031222i,-0.0016747+0.00066082i,-0.0027879+0.0015512i,-0.0023866-0.0022661i,0.00054988-0.002707i,0.00024564+0.0057967i,0.0021356+0.0011153i,0.0022048-0.00018506i,0.00055034+0.00063619i,-0.0017887+0.0040936i,-0.0043424-0.0080111i,-0.0028611+0.0022948i,-0.00089936-0.00018371i,0.003556+0.00375i,0.0089602-0.001863i,0.00070049-0.0017899i,0.0010704-7.384e-05i,-0.0069538-0.0021113i,0.0040122+0.0031446i,-0.015863-0.022267i,-0.036148-0.084391i,-0.074665+0.0067499i,-0.040303-0.02044i,-0.067216-0.01954i,-0.035021+0.0079065i,-0.058316+0.050237i,-0.046707+0.024712i,-0.030895-0.030473i,-0.039735-0.050382i,-0.11056-0.063312i,-2.3912e-05-2.6451e-05i,-0.0090691+0.027543i,0.012132+0.0053547i,0.0044979-0.001325i,-0.017689-0.00871i,0.0044286+0.0025476i,-0.0071411+0.0063982i,0.0099119+0.004101i,0.0043766+0.0083715i,-0.0037397+0.00084239i,0.0076446-0.00083299i,0.0036782-0.0033512i,0.0098233+0.0087776i,0.0071619+0.0044403i,-0.0082205-0.00091945i,-0.0001229-0.0066016i,0.0069403+0.0030024i,-0.0082256+0.0094741i,-0.00021194+0.0027105i,-0.0024002-0.033033i,0.014244+0.00052757i,0.0073379-0.0022482i,0.0012087+0.00056279i,0.0011079+1.7523e-05i,0.011947-0.011637i,-0.0026592+0.00066052i,-0.0073752-0.0026838i,-0.0037547+0.0012014i,0.0085418-0.0031799i,0.008601-0.0019396i,0.0019837-0.0040388i,0.0098769+0.0028156i,0.0059762+0.0011198i,0.014724-0.0081051i,-0.077702-0.01804i,-0.008431-0.011979i,-0.0038068-0.0029692i,-0.0046721+0.0048689i,-0.021452+0.025729i,-0.0022777+0.0038537i,-0.011514+0.003632i
-0.035522+0.0085065i,-0.053983+0.024757i,-0.016054+0.046352i,-0.013284+0.017236i,0.0076882+0.010525i,0.015494+0.031127i,-0.017666+0.027936i,-0.039555+0.042203i,-0.015822+0.01618i,-0.0046636-0.0069247i,0.0038005-0.0039965i,-0.0023261+0.0012243i,0.0054237+0.0020093i,-0.0014748+0.0053542i,0.0011948+0.0030253i,-0.0057752+0.0036034i,-0.0099322+0.014846i,0.00082259+0.0018964i,0.001412-0.0068748i,0.00087158-0.003619i,-0.0020422-0.0034347i,0.0011419-0.0045i,0.0003285-0.0039217i,-0.013829+0.0010995i,-0.0023805+0.0011703i,-0.0004192+0.0030444i,-0.0014474+0.00062135i,-0.0011882+0.0014521i,-0.0032164-0.0010072i,-0.0010533-0.0025735i,0.0021946+0.0050157i,0.0020751+0.00053716i,0.0015763-0.00061001i,0.00053398+0.00035742i,0.00054694+0.0043976i,-0.0057744-0.0097324i,-0.0017071+0.0034203i,-0.0012121+0.00038361i,0.0035746+0.00013993i,0.0067482-0.0034322i,0.00046708-0.0019064i,0.0017478-0.00083684i,-0.0080162+0.00027247i,0.0024283-0.00039485i,-0.021193-0.021983i,-0.057713-0.070164i,-0.065209+0.01164i,-0.046764-0.013969i,-0.071558-0.0070165i,-0.027987+0.0097884i,-0.039537+0.052548i,-0.030707+0.024575i,-0.033778-0.028678i,-0.046546-0.044364i,-0.03445+0.012011i,-0.0014791-0.00080593i,0.0016443+0.025553i,0.011681+0.0014086i,-0.00073484-0.0022225i,-0.025073+0.0014101i,0.001381+0.0024651i,-0.0031422+0.0067267i,0.0081923-0.0011777i,0.007726+0.0070394i,-0.003269+0.0043172i,0.0042381-0.0028179i,0.0027466-0.0056806i,0.0081116+0.0015315i,0.0043083+0.0014408i,-0.0073135+0.0033883i,-0.0019832-0.0049367i,0.0076587+0.00041238i,0.0021871+0.01238i,0.0015628+0.0018388i,-0.0099639-0.026289i,0.012591-0.0046508i,0.0054907-0.004256i,0.0018524+0.0015141i,0.0015321-0.0005659i,0.0059149-0.011936i,-1.6307e-05+0.0033991i,-0.0079+0.0016138i,-0.0012162+0.0041448i,0.0057779-0.0032664i,0.0076013-0.0069534i,0.00011139-0.0041601i,0.0091961-0.003516i,0.0053732-0.001935i,0.010667-0.0126i,-0.074717-0.0044762i,-0.017833-0.014529i,-0.0046026-0.0075125i,-0.0034812+0.0026945i,-0.014464+0.026472i,-0.0065313+0.0029797i,-0.014147+0.0037696i
-0.033227+0.010852i,-0.050524+0.032305i,-0.011509+0.045825i,-0.0087916+0.018735i,0.0092585+0.0045305i,0.019669+0.026615i,-0.012336+0.029497i,-0.032972+0.04481i,-0.01352+0.019254i,-0.0057094-0.0049571i,0.0016545-0.0050991i,-0.00094166+0.0037821i,0.0045833+0.00068019i,0.0010659+0.0067992i,0.0021272+0.0032068i,-0.0029978+0.0070459i,-0.0019786+0.017889i,0.0010076+0.00072704i,-0.00014106-0.0062385i,-0.0012382-0.0039767i,-0.0030235-0.0030845i,8.21e-05-0.0046468i,-0.00124-0.0040972i,-0.01131+0.0050762i,-0.0026204+0.0011613i,-0.00013662+0.0015632i,-0.0013595+0.00088232i,-0.00048831+0.00072432i,-0.0033582+0.0004104i,-0.001613-0.0013908i,0.0036361+0.0039338i,0.00191-0.00030019i,0.00092248-0.00072151i,0.0004007+0.00024554i,0.0016426+0.0036929i,-0.0091788-0.0097904i,-0.00061683+0.0039287i,-0.0011235+0.0012863i,0.0014054-0.0011013i,0.0046366-0.0037139i,0.00010995-0.0022165i,0.0017747-0.0017534i,-0.0075589+0.0032643i,-0.00051168+0.00064418i,-0.026241-0.019054i,-0.066178-0.049806i,-0.059985+0.013092i,-0.051589-0.0050776i,-0.072754+0.0082495i,-0.023742+0.007594i,-0.024074+0.050289i,-0.021281+0.020729i,-0.035554-0.027135i,-0.050682-0.038383i,-0.027336+0.019416i,-0.0024353-0.00069937i,0.01146+0.020523i,0.0092354-0.0019118i,-0.0045135+0.00019275i,-0.024881+0.012615i,0.00062674+0.0044436i,0.00054937+0.0073518i,0.0032833-0.0022405i,0.011087+0.0042676i,-0.00082805+0.0061696i,0.0014337-0.0017511i,0.00077202-0.0069139i,0.0026736+0.0008424i,0.0018249+0.0021939i,-0.0060284+0.0068031i,-0.0031711-0.0020838i,0.0073135-0.0024078i,0.0080769+0.0074059i,0.0022276+0.00047254i,-0.014841-0.02374i,0.0092391-0.0083213i,0.0039843-0.0058997i,0.0042057+0.001309i,0.0009609-0.00044793i,0.0025241-0.010607i,0.0024341+0.0027502i,-0.0051784+0.0061721i,0.0021151+0.0045317i,0.0052478-0.0033559i,0.0032787-0.011219i,-0.00019726-0.0033827i,0.0046994-0.0069886i,0.0031823-0.0036956i,0.004243-0.015993i,-0.069173+0.0035666i,-0.028642-0.0079038i,-0.008097-0.0091804i,-0.0039622-0.00011972i,-0.0092096+0.026259i,-0.0098219+0.0055868i,-0.013907+0.0073696i
-0.031899+0.013456i,-0.04598+0.039691i,-0.0070552+0.046936i,-0.0041072+0.018078i,0.0073663-0.0013403i,0.02356+0.02267i,-0.006849+0.029244i,-0.026718+0.047149i,-0.0099336+0.01988i,-0.006349-0.0036311i,-0.001453-0.0045627i,0.0012704+0.0046424i,0.0038301+0.00020843i,0.0038824+0.0057177i,0.0030046+0.0026522i,0.00048418+0.0085421i,0.0062822+0.016858i,0.00097389+0.00033209i,-0.0018511-0.0061474i,-0.0031054-0.0031719i,-0.0034935-0.0017251i,-0.00071594-0.0048974i,-0.0023765-0.0033067i,-0.0090578+0.0059216i,-0.0030353+0.0022428i,-0.00061981+0.0013984i,-0.001125+0.0005743i,-0.00026839-0.00020763i,-0.0026259+0.0015294i,-0.0016273-0.00075547i,0.0048544+0.002502i,0.0016302-0.00084127i,0.00074805-0.0009494i,0.00016571+2.2805e-05i,0.0024298+0.003268i,-0.012581-0.0073856i,0.00047875+0.0036758i,-0.00021115+0.0016337i,0.0002324-0.0011635i,0.0034868-0.0034376i,-0.00037813-0.002057i,0.00093438-0.0026553i,-0.0053989+0.0050279i,-0.001018+0.0032447i,-0.030191-0.013559i,-0.064833-0.035621i,-0.057736+0.015732i,-0.052728+0.0070443i,-0.067605+0.025575i,-0.025659+0.0060836i,-0.013242+0.044874i,-0.014489+0.016378i,-0.038017-0.023692i,-0.055731-0.032077i,-0.020301+0.023618i,-0.0040773+0.00023842i,0.015595+0.008558i,0.0082475-0.0053786i,-0.0059453+0.0042183i,-0.018655+0.022344i,0.0018072+0.0045984i,0.0049722+0.0051419i,0.0012859+0.00018409i,0.013083-0.0013184i,0.00074416+0.0067086i,0.00078587-0.0002049i,-0.0039836-0.0085563i,0.00090465+0.0041775i,0.00202+0.004159i,-0.0017964+0.010184i,-0.0016292+0.00044419i,0.0058384-0.0040154i,0.0099821+0.0026262i,0.0026809-0.0013462i,-0.022701-0.021563i,0.0048665-0.0099272i,0.0010445-0.0067464i,0.0045658-0.00066873i,0.00087017+0.00057858i,0.0013315-0.0087716i,0.0034897+0.00099808i,-0.00061578+0.0072863i,0.0040288+0.0019232i,0.0037213-0.0043127i,-0.0040522-0.01039i,-0.00066107-0.0038193i,0.0018389-0.0065278i,0.0020644-0.0049298i,-0.0034966-0.015223i,-0.066422+0.010865i,-0.028695+0.0067755i,-0.012031-0.0093768i,-0.0063855-0.00074037i,-0.0052582+0.026379i,-0.0088784+0.01039i,-0.0091323+0.0095148i
-0.030171+0.016868i,-0.039847+0.047251i,-0.0010418+0.048681i,-0.0014228+0.015643i,0.0029141-0.004327i,0.027246+0.017686i,-0.0018557+0.028122i,-0.020478+0.049218i,-0.0072819+0.020431i,-0.0073092-0.0016891i,-0.0029601-0.0018454i,0.0039205+0.004583i,0.0034466+2.9313e-05i,0.0052455+0.0033843i,0.0033264+0.0018644i,0.0038064+0.0082277i,0.012682+0.012145i,0.00095254+9.2771e-05i,-0.0030959-0.0052076i,-0.0041964-0.0014034i,-0.0031175-0.00055634i,-0.0020619-0.0050189i,-0.0029209-0.0023571i,-0.0079675+0.0080415i,-0.0024847+0.0033238i,-0.00066095+0.0020618i,-0.001288+0.0015622i,-0.0013515-0.00096085i,-0.0020033+0.0018387i,-0.00177-0.00046204i,0.0055012+0.00095128i,0.0013555-0.0010025i,0.000652-0.0011136i,0.00020608+5.4401e-07i,0.0036161+0.001452i,-0.01535-0.0036857i,0.0015973+0.0033917i,0.00046016+0.0012686i,-0.00055741-0.00099188i,0.0024417-0.0035697i,-0.00081202-0.0018069i,0.00012609-0.0025359i,-0.0039688+0.0054689i,0.00017605+0.0041424i,-0.031629-0.0088355i,-0.064431-0.029489i,-0.055982+0.021089i,-0.047808+0.018054i,-0.057043+0.039796i,-0.026609+0.0094727i,-0.0054764+0.040519i,-0.011578+0.011208i,-0.039654-0.0202i,-0.059518-0.023183i,-0.015008+0.02484i,-0.0037134+0.0010606i,0.0095691-0.0015899i,0.0049485-0.0093237i,-0.0046381+0.0074892i,-0.0089366+0.02623i,0.0018761+0.0034052i,0.0064712+0.00029897i,0.0027446+0.0011091i,0.011192-0.0053772i,0.0059809+0.0069588i,0.0011531+0.0020893i,-0.0082545-0.0027186i,0.0025994+0.00683i,0.0035144+0.0054213i,0.0045234+0.010253i,-0.00066197+0.00060098i,0.0045107-0.0051197i,0.01036-0.0037741i,0.00044965-0.0020409i,-0.030915-0.012986i,0.0013556-0.009824i,-0.0016971-0.0051432i,0.0050444-0.00014777i,0.0014747+0.00019032i,0.0012236-0.0096589i,0.0031017-0.00083602i,0.0022421+0.0055195i,0.0039491+0.0008636i,0.0031079-0.003614i,-0.0072779-0.0060167i,-0.0025638-0.0040034i,-0.0020326-0.0056228i,-0.00039152-0.0059197i,-0.0083653-0.010684i,-0.061648+0.018348i,-0.022608+0.0091624i,-0.012551-0.0073152i,-0.0080551+7.3966e-05i,-0.00021797+0.024048i,-0.0073031+0.0118i,-0.0068413+0.0087493i
-0.027512+0.019995i,-0.03161+0.053627i,0.006409+0.050158i,-0.00021902+0.01446i,-0.0018801-0.0041499i,0.029714+0.01213i,0.0026056+0.026311i,-0.013728+0.051643i,-0.0043985+0.020812i,-0.0073463+0.0001938i,-0.0020307+0.00048084i,0.0063553+0.0024154i,0.0033455-7.0347e-05i,0.0050307+0.0017266i,0.0038112+0.0014694i,0.0065166+0.0063256i,0.015625+0.0066779i,0.00096501-0.00066527i,-0.0041308-0.0045444i,-0.004071+0.0007888i,-0.0025959+0.00018382i,-0.0034048-0.0038911i,-0.0031596-0.0015203i,-0.0050411+0.0096736i,-0.0016626+0.0044698i,0.00045394+0.0025732i,-0.00080424+0.0022129i,-0.0027091-0.00016769i,-0.0014142+0.0023227i,-0.0017248+0.00010658i,0.0050475-0.00093156i,0.0012411-0.0020099i,0.00026741-0.0011342i,0.00021452+6.5842e-05i,0.0032057-0.00044972i,-0.016061+0.0018322i,0.0024187+0.0027993i,0.00085828+0.00095507i,-0.0015971-0.00058007i,0.0021344-0.0034218i,-0.00099838-0.0015624i,-0.00022437-0.0026987i,-0.0029791+0.0056512i,0.0012341+0.0046176i,-0.032737-0.0047186i,-0.068964-0.023691i,-0.053488+0.026731i,-0.042264+0.025746i,-0.042249+0.047965i,-0.02681+0.013218i,0.0025824+0.035006i,-0.010524+0.0087449i,-0.041538-0.016278i,-0.060907-0.013029i,-0.0089535+0.026237i,-0.0032948+0.0019531i,0.0030913-0.0017703i,-0.00039318-0.011219i,-0.0012957+0.010912i,0.00038443+0.024179i,0.0010211+0.0023692i,0.0051252-0.0040487i,0.0025483+0.00061588i,0.00812-0.0093343i,0.0093208+0.0036124i,0.0031643+0.0029999i,-0.0073563+0.0013607i,0.0056134+0.0081723i,0.0060996+0.0059113i,0.010313+0.0073356i,-8.1923e-06+0.0010605i,0.0038125-0.0059005i,0.010333-0.010114i,-0.00015677-4.5268e-05i,-0.034212-0.0010257i,-0.0010357-0.0092377i,-0.0027066-0.003011i,0.0056638-0.0010984i,0.0013858-0.00029946i,-0.00053677-0.011464i,0.0020144-0.0018196i,0.004574+0.0044439i,0.0046042-0.00033605i,0.0041435-0.0040875i,-0.0087211-0.0030869i,-0.0049413-0.0018204i,-0.0048844-0.0032295i,-0.0024657-0.0063787i,-0.010422-0.0062712i,-0.05655+0.024254i,-0.021069+0.010174i,-0.012554-0.0074583i,-0.0087387+0.0015984i,0.0012548+0.022478i,-0.0064774+0.012352i,-0.0047477+0.00821i
-0.024328+0.022967i,-0.021385+0.058021i,0.016249+0.049002i,0.001183+0.013859i,-0.0043859-0.00091199i,0.031371+0.0064808i,0.0063628+0.023249i,-0.0056623+0.052971i,-0.0012698+0.020733i,-0.0065757+0.0027939i,-0.0008393+0.00089972i,0.0066677-0.0010186i,0.0037184-0.00041294i,0.0050968+0.00035419i,0.0043326+0.00069184i,0.0076402+0.003721i,0.015754+0.0010728i,-0.00030129-0.0013507i,-0.0058245-0.0030629i,-0.0026356+0.0020212i,-0.0018727+0.00035679i,-0.0039537-0.0028499i,-0.0033106-0.00063885i,-0.0011114+0.0098952i,0.00019823+0.0049803i,0.0014014+0.0019715i,3.9834e-05+0.002378i,-0.0029683+0.0013014i,-0.00061947+0.0022092i,-0.001332+0.00060268i,0.0041171-0.002574i,0.00024335-0.0024973i,-2.2326e-05-0.0012508i,0.00017436+4.4384e-05i,0.002275-0.001579i,-0.014578+0.0072055i,0.0028045+0.0019323i,0.0011463+0.00045289i,-0.0021042+0.00055937i,0.001776-0.0037113i,-0.0013806-0.0014121i,-0.00087546-0.0029029i,-0.0021023+0.0060481i,0.0024096+0.0047738i,-0.03434+0.00046208i,-0.075978-0.012185i,-0.048834+0.032123i,-0.033797+0.032299i,-0.028689+0.051728i,-0.025353+0.019972i,0.0086635+0.027256i,-0.0063389+0.0063584i,-0.042752-0.0099798i,-0.059602-0.0022452i,-0.0043176+0.025989i,-0.0036501+0.003442i,9.729e-06-0.00080602i,-0.0065253-0.010482i,0.0048086+0.010846i,0.0051029+0.020983i,-0.0010187+0.002066i,0.0029029-0.0071931i,0.0037275+0.0022587i,0.0024865-0.010762i,0.010497-0.0020179i,0.0052799+0.0025035i,-0.0064431+0.005029i,0.010475+0.0074866i,0.010342+0.0038875i,0.011586+0.0014068i,0.001147+0.0013692i,0.0023471-0.0069975i,6.0101e-06-0.010511i,0.0012134+0.0013115i,-0.035051+0.012673i,-0.0030842-0.0082621i,-0.0023918-0.00079457i,0.0060311-0.0048209i,0.0017309+0.00015939i,-0.0052723-0.012199i,0.00082409-0.0016157i,0.0061001+0.0016176i,0.0042078-0.0016423i,0.0033298-0.0058352i,-0.0086305+0.0019673i,-0.0050032+0.0015559i,-0.0056652-0.00037796i,-0.0051936-0.0064142i,-0.010703-0.0024112i,-0.052134+0.030031i,-0.021368+0.015314i,-0.01411-0.0098635i,-0.0065843+0.0035386i,0.0038595+0.02246i,-0.0065508+0.015041i,-0.0021701+0.0057438i
-0.020488+0.025191i,-0.010808+0.059462i,0.024643+0.044995i,0.0024633+0.013348i,-0.0040454+0.0025443i,0.032495+0.00056539i,0.008846+0.019891i,0.0027763+0.052284i,0.0018701+0.020306i,-0.005743+0.0050861i,-0.00053919+0.00092425i,0.0048034-0.0033617i,0.003682-0.0014646i,0.0043193-0.00079164i,0.0043736-0.00036844i,0.0071391+0.0016446i,0.014051-0.0034473i,-0.0010778-0.00086322i,-0.0060611-0.00079152i,-0.0012808+0.0023852i,-0.0011787+0.00019691i,-0.0041965-0.002083i,-0.0029402+0.00024994i,0.0017436+0.0091497i,0.0022341+0.0043492i,0.0017325+0.0014277i,0.00084448+0.0021507i,-0.0023228+0.0026896i,6.9368e-05+0.0017468i,-0.0011364+0.0008855i,0.0025256-0.0034455i,-0.00079888-0.0022361i,-0.0010404-0.0013045i,6.3906e-05+7.007e-06i,0.00098722-0.0023988i,-0.011383+0.011439i,0.0030245+0.00070747i,0.0011156-2.371e-05i,-0.0014836+0.0017965i,0.00084669-0.0041967i,-0.0016173-0.00092262i,-0.0015276-0.0029334i,-0.00098676+0.0066583i,0.0039135+0.0043026i,-0.033878+0.0061415i,-0.077338+0.0039198i,-0.045622+0.035833i,-0.025733+0.034691i,-0.01453+0.052678i,-0.019296+0.027301i,0.011008+0.018857i,-0.0043492-0.00040333i,-0.039648-0.0039342i,-0.054461+0.0087802i,0.0022307+0.025255i,-0.0045957+0.0034583i,-0.0026468+0.00093915i,-0.010762-0.0070284i,0.0086418+0.0068299i,0.0085998+0.01864i,-0.0038142+0.0038447i,-0.00089036-0.010276i,0.0067543+0.00019726i,-0.0028001-0.0091043i,0.0075776-0.0061786i,0.0068396+0.0001485i,-0.0045002+0.0072414i,0.014468+0.0017356i,0.011475-0.0020744i,0.01027-0.003995i,0.0029115+0.00060331i,-0.00037532-0.0074904i,-0.0049283-0.00678i,0.0028714+0.00042065i,-0.026057+0.030715i,-0.0051183-0.0067068i,-0.0009904+0.00070752i,0.0028085-0.0071828i,0.0027235-1.5094e-05i,-0.01045-0.0096026i,0.00075389-0.00073192i,0.0059936-0.0015307i,0.0030203-0.0026835i,0.0014965-0.0062623i,-0.0055209+0.0055715i,-0.0027055+0.00382i,-0.0054033+0.0031314i,-0.0089155-0.0051129i,-0.0099288+0.00037519i,-0.045584+0.037379i,-0.013716+0.020929i,-0.019316-0.010505i,-0.0031523+0.0027642i,0.0061902+0.021445i,-0.0037948+0.018784i,-0.002226+0.0016517i
