-0.024244-0.0388i,-0.011587-0.049534i,-0.017821-0.045147i,-0.031147-0.035385i,-0.030124-0.016567i,-0.050759-0.028027i,-0.05831-0.025939i,-0.045017-0.038553i,-0.029661-0.037002i,0.0079629+0.013051i,-0.0051717+0.015915i,-0.0047855+0.014409i,0.0097826+0.021546i,0.00037888+0.0046766i,0.0034493+0.003028i,0.0065045+0.018007i,0.027317+0.038898i,-0.0024731-0.00066096i,-0.0041879-0.0058679i,0.0078116+0.001487i,-3.5729e-05-0.00081986i,-0.00098704+0.0015401i,0.00013855-0.00036754i,-0.030479-0.0025354i,-0.001206-0.0057639i,0.0017608+0.0046114i,0.003829-0.00014551i,-0.00027512+0.00052496i,0.00046317-0.00056759i,-0.00030849-0.0026896i,-0.00158-0.0060805i,-0.0045494-0.0041665i,-0.0018416-0.0049785i,0.00231-0.00069671i,0.0024081-0.0028075i,0.0025214+0.026067i,0.0018587-0.0030762i,0.0027982+0.00078147i,0.0061926+0.0009359i,-0.010252-0.0033747i,-0.0032917+0.00056423i,0.0067359+0.0013251i,0.0056+0.00029205i,-0.0035055+0.0057329i,0.0016439-0.0083795i,-0.011375+0.017729i,0.035636-0.09096i,0.012059-0.070254i,-0.01582-0.060207i,-0.016813-0.055682i,0.038623-0.047143i,0.016758-0.062906i,0.034203-0.05613i,0.031406-0.060004i,0.015848-0.013717i,0.0044518+0.016966i,0.016702-0.026255i,-0.011153+0.0060936i,-0.00073544+0.0054383i,-0.0054822-0.00089962i,-0.0024991-0.029002i,-0.023557+0.031512i,0.010314-0.011214i,-0.013121-0.0028046i,-0.00025832-0.0051047i,-0.0010825-0.016111i,-0.0079128+0.0048309i,0.0050758+0.0061043i,-0.0084067+0.031021i,0.004922+0.0057618i,-0.0050679-0.00054969i,-0.0031044-0.0004188i,-0.01243-0.0073439i,-0.00084063-0.0044491i,-0.029702+0.0062416i,0.00022801-0.010075i,-0.0094451-0.0018942i,-0.0065779-0.0027203i,0.0067972+0.0029466i,-0.0076789+0.0014884i,7.3899e-05+0.00057715i,0.0057605+0.010936i,0.0038718+0.0013783i,-0.0093978-0.01004i,0.0031696+0.0082587i,-0.021376+0.0062086i,0.008538+4.9497e-05i,-0.029117-0.0035848i,-0.042308+0.0027581i,0.020264-0.097402i,-0.0017883-0.012235i,-0.053138-0.021603i,-0.022973+0.0013731i,0.018125+0.011041i,-0.024774+0.013007i,-0.018656-0.013245i
-0.0315+0.018736i,-0.052012+0.019754i,-0.031614+0.046048i,-0.030852+0.02494i,-0.027536+0.039848i,0.0056421+0.046869i,-0.0026502+0.023756i,-0.016114+0.039186i,-0.013829+0.022561i,-0.0035247-0.0050114i,-0.0043552-0.0034465i,-0.001742-0.0033597i,-0.0037796-0.00057475i,-0.0067525-0.0044598i,-0.001884+0.0042874i,-0.0030639-0.001598i,-0.011203-0.0034605i,-0.0015805-0.00098433i,0.0027529-0.0016491i,0.0020033-0.00067793i,0.0025521-0.0034287i,0.0023998-0.0039348i,0.0012813-0.0025612i,-0.0091184-0.0083625i,-0.001932+0.00050906i,-0.0041968+0.0011143i,-0.0019116-0.00010308i,-0.0032888-0.0011586i,-0.001228-0.0016351i,0.00099968-0.001904i,-0.0018996+0.0065396i,0.0014119-3.6516e-06i,0.0029097+0.0001553i,0.00094903+0.0014944i,-0.0015743+0.0033816i,-0.00071911-0.0063005i,-0.0013565+0.0010491i,0.00022743-9.2516e-05i,-0.00016455+0.0036839i,0.0078005+0.0050093i,0.0015339-0.0029905i,0.001558-0.0038277i,-0.0036955+0.00073496i,0.00081643+0.0023158i,-0.032124-0.006812i,0.010567-0.078736i,-0.093641-0.029098i,-0.052762-0.035388i,-0.07622-0.049579i,-0.058518-0.005424i,-0.093633+0.019256i,-0.058933+0.011604i,-0.049258-0.025563i,-0.033371-0.056845i,-0.024924-0.029268i,0.0031738+0.0051233i,-0.018008+0.011044i,0.0090583+0.0032374i,0.011127+0.0041788i,0.00070664-0.0069502i,0.0083866+0.00071877i,-0.0083989-0.0030092i,0.003151+0.014567i,-0.0012699+0.0088249i,0.00082499+0.0016211i,0.005676+0.0035755i,0.001897-0.00049775i,-0.00092112+0.015139i,0.00048697+0.011414i,0.0033298-0.0051438i,0.010301-0.0068056i,0.0024454+0.0025508i,-0.0083057-0.0070545i,-0.0019223-0.0024974i,0.018242-0.02609i,0.0062099+0.0037969i,0.0032193+0.0044136i,-0.0032114+0.002484i,0.002285-0.0037743i,0.021539+0.0024266i,0.0019297-0.0027873i,-0.00066106-0.0093917i,0.0005915-0.0027835i,0.012765+0.0033484i,0.0044891+0.00038096i,0.0044886-0.0064782i,0.0031455+0.0089384i,0.0042389-0.00017016i,0.024858+0.0046779i,-0.081212-0.036797i,-0.0052887+0.019077i,0.0071641-0.0035077i,-0.0018161+0.002893i,-0.035936+0.012316i,-0.0068806+0.0065861i,-0.017297+0.013463i
-0.027083+0.022518i,-0.048291+0.024691i,-0.020563+0.044516i,-0.02666+0.028982i,-0.020984+0.041091i,0.014321+0.044041i,0.00051195+0.023291i,-0.0083444+0.040314i,-0.0089581+0.019735i,-0.0050917-0.0028857i,-0.0046779-0.00088586i,-0.0027592-0.0035951i,-0.004473-0.00012088i,-0.0069666-0.0016078i,-0.00062178+0.0051559i,-0.0053441+0.00051193i,-0.013159+0.0019131i,-0.0014824+4.2065e-05i,0.0029723-0.002236i,0.0020244-0.0015935i,0.0013462-0.0039135i,0.0015449-0.0039707i,0.00085799-0.0025963i,-0.010425-0.0051872i,-0.0013173+0.00089311i,-0.003854+0.0024946i,-0.0013471+0.00048598i,-0.0032333+2.5563e-05i,-0.0018735-0.0014188i,0.00031479-0.0019112i,0.00098932+0.0069979i,0.0010586-0.00033418i,0.0023517-0.0010137i,0.00087253+0.0012562i,-0.0013327+0.0029715i,-0.0011097-0.0057914i,-0.00079909+0.00085366i,-0.00064312-0.00032128i,0.00015308+0.0041016i,0.0078649+0.00081647i,0.0005463-0.0032126i,-0.00067439-0.0042143i,-0.0040229+0.0016973i,0.0014403+0.0021175i,-0.032821-0.0065622i,-0.013435-0.089513i,-0.09033-0.010788i,-0.061733-0.033348i,-0.0881-0.037946i,-0.057605+0.0047637i,-0.083682+0.036658i,-0.054939+0.023638i,-0.04151-0.02487i,-0.04049-0.052167i,-0.032877-0.018354i,0.0043295+0.0018255i,-0.011565+0.019489i,0.0090179-0.00051649i,0.012131-0.0019605i,-0.004882-0.010872i,0.0038448+0.00039248i,-0.0083775+0.0031483i,0.0086566+0.012006i,0.0010223+0.010966i,0.0009953+0.001312i,0.0073341+0.0035487i,0.0024561+0.00027526i,0.0055795+0.011389i,0.0054127+0.0067558i,-0.0018871-0.0069969i,0.0031888-0.0077821i,0.0034495+0.0029486i,-0.010867+0.00017083i,-0.0025114+9.555e-05i,0.0064547-0.027262i,0.0071736+0.0029438i,0.0069361+0.0027202i,-0.00039187+0.0024196i,-0.00035724-0.0012502i,0.018837-0.0071998i,0.00015129-0.0031901i,-0.0054973-0.0075396i,-0.0028142-0.0018458i,0.011201-0.0015574i,0.0041384+0.00099099i,0.0018416-0.0046158i,0.0058706+0.0077742i,0.0030975-0.00074575i,0.024198-0.0032168i,-0.085968-0.027003i,0.0026577+0.0086121i,0.0059907-0.0061004i,-0.00074225+0.00086966i,-0.029045+0.022113i,-0.0051176+0.0072251i,-0.013237+0.016344i
-0.021783+0.024801i,-0.045367+0.029882i,-0.013841+0.040552i,-0.022009+0.031212i,-0.013572+0.042905i,0.02203+0.039032i,0.0039624+0.022818i,-0.00058398+0.039563i,-0.0080432+0.017421i,-0.0056771-0.00049514i,-0.0035977+0.00092329i,-0.0060446-0.0030911i,-0.0048211+0.0018456i,-0.007066+0.00038637i,0.0012367+0.0055909i,-0.0060041+0.0040621i,-0.011862+0.0078644i,-0.00030809+0.00083803i,0.0028944-0.0037867i,0.0017875-0.0027752i,4.5576e-05-0.004357i,0.0006043-0.0046335i,0.00047282-0.0027837i,-0.011421-0.0023548i,-0.0010896+0.0012226i,-0.0024844+0.0040703i,-0.0009653+0.00038732i,-0.0026307+0.0013921i,-0.002194-0.00083907i,-0.00071303-0.0025392i,0.0037587+0.0057586i,0.00065489-0.00048295i,0.0017137-0.00146i,0.001388+0.0006565i,-0.00023495+0.0039632i,-0.0013-0.0057957i,-0.0011199+0.00059308i,-0.0010268-2.1623e-05i,0.0034575+0.0027269i,0.0062843-0.0017456i,-0.0003937-0.0028884i,-0.0011838-0.0027478i,-0.0042475+0.0030667i,0.0017515+0.00094255i,-0.03555-0.0040135i,-0.042999-0.088097i,-0.080404+0.0027077i,-0.071449-0.025823i,-0.095313-0.022235i,-0.053042+0.01332i,-0.068692+0.048583i,-0.040644+0.033705i,-0.045234-0.0264i,-0.046767-0.048098i,-0.034282-0.0061723i,0.0042904-0.001204i,-0.0022034+0.021544i,0.0081446-0.0032681i,0.0080331-0.0072735i,-0.014884-0.0090746i,0.002662-0.00010646i,-0.0040362+0.006742i,0.011645+0.0066059i,0.0046152+0.011883i,6.2275e-05+0.0018497i,0.0078725-0.00066291i,0.0040927-0.0014088i,0.0073798+0.0063174i,0.0050962+0.0023161i,-0.0067695-0.0032846i,0.00077787-0.0060738i,0.0055234+0.001855i,-0.006799+0.0092149i,-0.00074197+0.0013797i,-0.0026686-0.02433i,0.0091324-0.00015029i,0.0067967-0.00070813i,0.00023539+0.0021128i,0.00090944+0.00068385i,0.012441-0.012079i,-0.0023818-0.00051141i,-0.0084225-0.0038455i,-0.0035104+0.0017581i,0.0071421-0.0046107i,0.0074094-0.0007596i,0.0026525-0.0046326i,0.0095712+0.0046408i,0.0045884-0.0022515i,0.020916-0.010434i,-0.089858-0.013243i,0.00049421-0.0013864i,0.0059181-0.008888i,-0.00052587-0.0016168i,-0.019514+0.026094i,-0.0053696+0.0031649i,-0.0085632+0.013225i
-0.016392+0.025011i,-0.041059+0.036159i,-0.010267+0.037187i,-0.017017+0.034178i,-0.0050857+0.041917i,0.028241+0.032676i,0.0081181+0.021971i,0.0062297+0.03693i,-0.0076599+0.017688i,-0.0051586+0.0018881i,-0.002901+0.0012146i,-0.0079601+0.00082521i,-0.0042874+0.0034907i,-0.0070827+0.0029223i,0.0029303+0.0049658i,-0.0045179+0.0078621i,-0.0072197+0.012629i,0.00053959+0.00011786i,0.001294-0.0046725i,0.00024188-0.0039677i,-0.0014998-0.0041083i,-0.00059669-0.0046176i,-0.00010131-0.0032631i,-0.011654+0.0011587i,-0.00052647+0.0010371i,-0.00011535+0.0036212i,-0.0010216+0.00027802i,-0.0015309+0.0018379i,-0.0024249+0.00015765i,-0.0022174-0.0017772i,0.0053402+0.0035531i,0.00023846-0.00039068i,0.00085579-0.0018681i,0.0014568+4.3878e-05i,0.0018568+0.0035228i,-0.0022738-0.0071335i,-0.00080075+0.0011541i,-0.0012631+0.00045178i,0.0031549-0.0007306i,0.0044794-0.0028659i,-0.00089887-0.0025713i,-0.00092795-0.0025024i,-0.0033598+0.0047002i,-0.00055969-0.0008666i,-0.038364+0.0005498i,-0.067762-0.071737i,-0.070379+0.0082127i,-0.078746-0.014187i,-0.099076-0.0056239i,-0.047017+0.018926i,-0.054682+0.054454i,-0.026294+0.033071i,-0.04856-0.020917i,-0.05305-0.040853i,-0.032104+0.0025092i,0.0023259-0.0037303i,0.0059263+0.019608i,0.0067736-0.0059458i,0.0024051-0.0086251i,-0.020976+0.00035691i,-0.0003846+0.00078247i,0.00016146+0.0058304i,0.010817+0.00090486i,0.0094754+0.011293i,0.00069091+0.0030266i,0.0047981-0.0023034i,0.003913-0.0047623i,0.0063723+0.0018147i,0.002518+0.00050162i,-0.0068734+0.00054676i,-0.0012463-0.004876i,0.0060206-0.00033924i,0.0028264+0.010405i,-2.3698e-05+0.00059347i,-0.0076723-0.019344i,0.0080951-0.0033767i,0.006137-0.0028889i,0.001746+0.0030048i,0.0017396+0.00019687i,0.0070314-0.012682i,-6.7726e-05+0.0016495i,-0.0094022+0.00075037i,-0.0011389+0.003758i,0.0041122-0.0042239i,0.0065261-0.0050361i,0.00056506-0.0051367i,0.0094096-0.0011938i,0.003296-0.0057096i,0.01619-0.016563i,-0.087253+0.002133i,-0.0066771-0.0054524i,0.0036095-0.013512i,-0.001278-0.0039873i,-0.012898+0.025796i,-0.0090356+0.0030845i,-0.0078945+0.012189i
-0.012701+0.024745i,-0.035968+0.041464i,-0.008928+0.035684i,-0.010678+0.035969i,0.0018123+0.038979i,0.032405+0.025601i,0.012536+0.019643i,0.011962+0.033479i,-0.0058539+0.019159i,-0.0035405+0.00359i,-0.0030512+0.0021513i,-0.0070946+0.0044446i,-0.0033662+0.004841i,-0.0054784+0.0057062i,0.0044683+0.0038405i,-0.001157+0.010086i,-0.0012843+0.014218i,0.00052204-0.00039517i,0.00022427-0.0045396i,-0.0017375-0.0037257i,-0.0029133-0.0033083i,-0.0019226-0.0041563i,-0.00138-0.0032871i,-0.0095444+0.0040218i,-0.00088998+0.0005208i,0.00021299+0.0021155i,-0.0011108+0.00037414i,-0.00079964+0.0018699i,-0.0020528+0.0011764i,-0.0022551-0.00029882i,0.0057391+0.0011616i,0.0002233-0.00044733i,-6.6885e-05-0.0017766i,0.0011328-0.00043005i,0.0025386+0.0020463i,-0.0048219-0.0073889i,-0.00052283+0.0014616i,-0.0011045+0.0012858i,0.00096583-0.0014689i,0.0029321-0.0028012i,-0.0013979-0.0023668i,-0.0012299-0.0024244i,-0.0014494+0.0056785i,-0.0029635+0.0014472i,-0.039352+0.0072766i,-0.077613-0.047708i,-0.064617+0.0094539i,-0.083246-0.00021528i,-0.09949+0.012769i,-0.042504+0.021695i,-0.041076+0.05763i,-0.016926+0.029854i,-0.049999-0.015403i,-0.056605-0.033667i,-0.029185+0.010276i,-6.2965e-05-0.0048844i,0.014585+0.014321i,0.0046863-0.0074991i,-0.0026415-0.0071468i,-0.020118+0.010178i,-0.00074407+0.0032197i,0.0027451+0.0054779i,0.0066917-0.0011507i,0.013995+0.0078186i,0.0018035+0.0031935i,0.0027398-0.0014801i,0.0018855-0.0071728i,0.0033935+0.001037i,0.00039682+0.001486i,-0.0063036+0.004769i,-0.0027825-0.0024889i,0.0051518-0.0025065i,0.0076816+0.0056633i,0.00025441+0.00046592i,-0.010382-0.017017i,0.0059753-0.0057647i,0.0044717-0.0049017i,0.0046481+0.0021759i,0.0019563-8.8328e-05i,0.0036986-0.0119i,0.0016166+0.0012658i,-0.0071215+0.0058851i,0.0014357+0.0034826i,0.0034041-0.0034142i,0.0032855-0.0087213i,0.00023175-0.004367i,0.0058778-0.0048802i,-0.00028338-0.0068461i,0.0085329-0.022023i,-0.080965+0.012365i,-0.015088-0.0019404i,-0.00098994-0.016229i,-0.0024916-0.0065452i,-0.0081012+0.025252i,-0.011871+0.005823i,-0.006596+0.012726i
-0.0097093+0.024573i,-0.030114+0.046409i,-0.007441+0.037117i,-0.0043488+0.035517i,0.0062286+0.034909i,0.035337+0.01868i,0.016671+0.015838i,0.016599+0.029572i,-0.0032175+0.019437i,-0.0020243+0.0036989i,-0.0031683+0.0036996i,-0.0050422+0.0069029i,-0.001935+0.0062575i,-0.002975+0.0067941i,0.0051705+0.0022855i,0.0025115+0.010412i,0.0048161+0.013107i,0.00057297-0.00033269i,-0.0012118-0.0046567i,-0.0030396-0.0026662i,-0.0032714-0.0017842i,-0.0028082-0.0033753i,-0.0022525-0.0025623i,-0.0078801+0.0050909i,-0.0014558+0.0009463i,-6.9508e-05+0.0018815i,-0.0013992+0.00072824i,-0.00011611+0.0015442i,-0.0012376+0.0017065i,-0.0017768+0.00047225i,0.0054072-0.00086351i,3.5304e-05-0.00049711i,-0.00067023-0.001403i,0.00072087-0.00084267i,0.0025903+0.0014301i,-0.0074096-0.0062794i,-0.00033562+0.0013729i,-0.00028521+0.001783i,-1.745e-05-0.0012608i,0.0020463-0.0024253i,-0.0019383-0.0016495i,-0.0018892-0.0020333i,0.0006994+0.0056081i,-0.0023822+0.0046729i,-0.038242+0.01511i,-0.075763-0.030209i,-0.062022+0.011869i,-0.083034+0.016851i,-0.093635+0.033062i,-0.04093+0.024511i,-0.029469+0.057138i,-0.0094062+0.025721i,-0.0491-0.0087828i,-0.060358-0.026482i,-0.024166+0.015068i,-0.0034945-0.0046132i,0.017615+0.0021153i,0.0028578-0.0093495i,-0.0059497-0.0033382i,-0.013991+0.017973i,0.00071651+0.0037871i,0.0062839+0.0035686i,0.0050482+8.3874e-05i,0.017434+0.00072614i,0.0027217+0.0032343i,0.0022458-0.00078691i,-0.0028417-0.0089639i,0.00197+0.0024934i,0.00066169+0.0035408i,-0.0019931+0.0084794i,-0.0017249-0.000202i,0.0036311-0.0034247i,0.00877+0.00082166i,0.0010193-0.00023674i,-0.015447-0.015712i,0.0032275-0.0068684i,0.0014347-0.0059537i,0.0041866-0.00029831i,0.0018667+0.00018907i,0.0020801-0.010465i,0.0023671+9.631e-05i,-0.0029386+0.0083041i,0.0025487+0.0016136i,0.0025503-0.0039624i,-0.001921-0.0091889i,-0.00070273-0.0055489i,0.0025546-0.0051148i,-0.0023171-0.006767i,-0.0016433-0.022411i,-0.077043+0.02094i,-0.01366+0.0085175i,-0.005981-0.016494i,-0.0056695-0.0077947i,-0.0049869+0.024653i,-0.011124+0.010709i,-0.0022029+0.012245i
-0.0064918+0.02471i,-0.022817+0.051091i,-0.0035349+0.039574i,0.00065293+0.033968i,0.0086257+0.032275i,0.037105+0.011448i,0.019533+0.011254i,0.020196+0.025568i,-0.00054468+0.01998i,-0.0012733+0.0038876i,-0.0018199+0.0059675i,-0.0020597+0.0085947i,4.7114e-05+0.0069692i,-0.00070493+0.0067263i,0.0052352+0.00081369i,0.0058463+0.0093359i,0.0092785+0.0098032i,0.00071082-0.00035315i,-0.0026212-0.0040464i,-0.0036174-0.0010724i,-0.0029681-0.00063695i,-0.003542-0.0025489i,-0.002743-0.0017221i,-0.0070826+0.0068723i,-0.0012141+0.0016676i,7.9911e-05+0.0022958i,-0.0012246+0.0014515i,-0.00017099+0.0010382i,-0.00060285+0.0016878i,-0.0012831+0.00080761i,0.0043737-0.0026306i,0.00011579-0.000186i,-0.00076643-0.0011301i,0.00039463-0.0010455i,0.0030031+7.3025e-05i,-0.0094759-0.0043115i,5.9531e-05+0.0015949i,0.00045658+0.0015563i,-0.00078992-0.0010834i,0.001711-0.0024024i,-0.0020736-0.00083026i,-0.0019845-0.0012147i,0.0021351+0.0044349i,-0.00067479+0.0059679i,-0.034144+0.021547i,-0.074611-0.022861i,-0.061058+0.016473i,-0.076275+0.031794i,-0.082066+0.050196i,-0.038275+0.03043i,-0.019596+0.056638i,-0.0051628+0.020799i,-0.047591-0.0038131i,-0.063089-0.017534i,-0.020047+0.018521i,-0.0044638-0.0043125i,0.011144-0.0081752i,-0.00044554-0.011117i,-0.0064751+7.3058e-05i,-0.0060574+0.020073i,0.0011794+0.0032923i,0.0079096-0.00098431i,0.0061732-0.00025976i,0.01545-0.0053275i,0.0049722+0.0027553i,0.0023784+0.00053843i,-0.0075117-0.0041054i,0.0030001+0.0039926i,0.0023025+0.0047622i,0.00281+0.0080511i,-0.0011309+2.5767e-05i,0.0024816-0.0039542i,0.0081894-0.0046673i,-4.7592e-05-0.00074222i,-0.021394-0.010322i,0.00092649-0.006684i,-0.00097207-0.0043132i,0.0049249+0.00035108i,0.0018504-0.00026623i,0.0013726-0.011556i,0.0021044-0.0012985i,0.00080556+0.0068981i,0.0027618+0.0011626i,0.0020801-0.0033717i,-0.0052848-0.0056904i,-0.0040072-0.0058214i,-0.00011369-0.0049608i,-0.0046598-0.006302i,-0.0086425-0.018479i,-0.071226+0.029784i,-0.0083857+0.0075169i,-0.0067252-0.015253i,-0.0079234-0.006729i,-0.00067061+0.023422i,-0.010054+0.012583i,-0.00068302+0.0096989i
-0.0033142+0.024392i,-0.014215+0.054433i,0.0023132+0.041828i,0.0049511+0.032672i,0.01099+0.030827i,0.037368+0.0044325i,0.021291+0.0062299i,0.023482+0.021563i,0.0028548+0.019964i,-0.00039634+0.0042829i,0.0010278+0.007002i,0.0014017+0.0084318i,0.0021602+0.0068659i,0.0007724+0.006483i,0.0051442-0.00036879i,0.0086152+0.0069369i,0.011704+0.0057409i,0.0010359-0.0012487i,-0.0036028-0.0030523i,-0.003198+0.00067769i,-0.0024564+0.00022991i,-0.0040007-0.001058i,-0.0029549-0.00092077i,-0.0042197+0.0087765i,-0.00070083+0.0023024i,0.00099628+0.0023782i,-0.00058192+0.0019928i,-0.00053608+0.001113i,-0.00014676+0.0017464i,-0.00085607+0.0010332i,0.0026629-0.0037343i,0.00050394-0.00054286i,-0.0012356-0.00098968i,-0.00012234-0.0010935i,0.0022551-0.0011748i,-0.0108-0.0012359i,0.00054288+0.0015129i,0.00095506+0.0013103i,-0.0017055-0.00058298i,0.0016358-0.0023076i,-0.0017037-0.00029438i,-0.0018368-0.00077264i,0.0029175+0.0031714i,0.001128+0.0068387i,-0.029646+0.025428i,-0.079229-0.016057i,-0.059851+0.022452i,-0.067903+0.043376i,-0.066543+0.061305i,-0.034072+0.035512i,-0.0097254+0.05456i,-0.0024647+0.017569i,-0.045875+0.00072025i,-0.063574-0.0071838i,-0.015648+0.021573i,-0.005874-0.0032967i,0.0032981-0.0096481i,-0.0045856-0.011169i,-0.0051821+0.0038906i,0.00083882+0.018377i,0.00070442+0.0026241i,0.0061934-0.0058459i,0.0053823-0.0016838i,0.011398-0.010744i,0.0066181+0.00047706i,0.0035623+0.00071634i,-0.0079313-0.00039902i,0.0048615+0.0047502i,0.0048672+0.0050157i,0.0069848+0.0057032i,-0.00094148+0.0010329i,0.001977-0.0040835i,0.0047642-0.0082203i,-0.00042169+0.00078365i,-0.024458-0.0020275i,-0.00059893-0.0063448i,-0.0018091-0.0024354i,0.0057429-0.00089197i,0.0017371-0.00062599i,-0.0014229-0.013649i,0.00087752-0.0016828i,0.0036059+0.0061159i,0.0033914+0.00019547i,0.0030367-0.0035971i,-0.0071723-0.0029177i,-0.007285-0.0025931i,-0.0029453-0.0037063i,-0.0063831-0.0051454i,-0.013053-0.013504i,-0.064506+0.036571i,-0.0081495+0.0058284i,-0.0075032-0.017711i,-0.0094615-0.0051632i,0.00081275+0.022448i,-0.0097364+0.014395i,8.3525e-05+0.0082186i
3.5544e-05+0.024131i,-0.0043919+0.055893i,0.010171+0.04224i,0.0090225+0.0313i,0.014536+0.03046i,0.0367-0.0021505i,0.021706+0.00068052i,0.026659+0.01691i,0.0066074+0.018805i,0.00045489+0.0043051i,0.003496+0.0056102i,0.0037111+0.0064826i,0.0041407+0.0061722i,0.0025332+0.0060392i,0.004794-0.0015962i,0.0098121+0.0035892i,0.01226+0.0013928i,6.6026e-05-0.0019791i,-0.0045636-0.0015194i,-0.0019299+0.0015929i,-0.0015485+0.00047593i,-0.0036174+0.00013673i,-0.0029899+1.431e-06i,-0.0008864+0.0089162i,0.00020174+0.002498i,0.0017871+0.0018219i,0.00034026+0.0020812i,-0.00028101+0.0015881i,0.00053414+0.0014491i,-0.00036838+0.00096755i,0.00088399-0.0039365i,5.4545e-05-0.00095911i,-0.0016259-0.00033278i,-0.0007233-0.00090423i,0.0011903-0.0018525i,-0.010606+0.0024467i,0.00081826+0.0013357i,0.001421+0.00085332i,-0.0020281+0.00034085i,0.0012641-0.0027298i,-0.0015607-9.5444e-05i,-0.0017448-0.00052506i,0.0029009+0.0020527i,0.0033934+0.0068934i,-0.025588+0.029239i,-0.087336-0.0028465i,-0.055554+0.028397i,-0.056616+0.051736i,-0.051435+0.0687i,-0.028979+0.041879i,-0.00040747+0.050447i,0.0027789+0.014083i,-0.043523+0.0057081i,-0.061224+0.0034203i,-0.011024+0.024366i,-0.0076245-0.0021508i,-0.0023549-0.0091874i,-0.0088833-0.0095695i,-0.0013228+0.005278i,0.0047576+0.014366i,-0.00032169+0.002617i,0.0030132-0.0089628i,0.0055848-0.0011924i,0.0047593-0.013267i,0.0067243-0.0029168i,0.004661-0.0002281i,-0.007988+0.003858i,0.0078167+0.0040308i,0.0081133+0.0027195i,0.008997+0.0014076i,0.00039107+0.0018563i,0.0011329-0.0043i,-0.0011681-0.0085378i,0.0011287+0.0021653i,-0.024263+0.0071596i,-0.002084-0.0058799i,-0.001448-0.00056003i,0.0057857-0.0044068i,0.0019333-0.00052102i,-0.0073387-0.013768i,-9.3388e-05-0.0012498i,0.0059388+0.0035847i,0.0035-0.00036149i,0.0024771-0.0047041i,-0.0070009+0.0015878i,-0.0074141+0.0020667i,-0.0046919-0.0016123i,-0.0083598-0.003826i,-0.014731-0.008285i,-0.059053+0.042469i,-0.008617+0.0086089i,-0.011987-0.021756i,-0.0081995-0.0039016i,0.0040103+0.022322i,-0.008977+0.018019i,0.0016999+0.0060541i
0.0037816+0.023044i,0.0052939+0.055053i,0.018085+0.039625i,0.013289+0.029434i,0.019318+0.029284i,0.0353-0.008308i,0.020481-0.0046011i,0.028697+0.011555i,0.0098304+0.01671i,0.0012338+0.004447i,0.0044588+0.0040285i,0.0043659+0.0046517i,0.0057058+0.0047288i,0.0040084+0.0049051i,0.0040118-0.0025948i,0.0093767+0.00058119i,0.011188-0.0021753i,-0.00080435-0.0016973i,-0.0043813+0.00013176i,-0.000741+0.0016323i,-0.00086288+0.00019257i,-0.0030923+0.00074386i,-0.002427+0.00076738i,0.0017021+0.008426i,0.0012619+0.0020841i,0.0022424+0.001193i,0.0011248+0.001702i,0.00046579+0.0016801i,0.00085602+0.00076831i,-0.00025817+0.00099252i,-0.00075092-0.003409i,-0.00061451-0.00089632i,-0.0015481+0.00048923i,-0.0011519-0.00048892i,0.00033145-0.0019266i,-0.009125+0.0053822i,0.0010598+0.0009328i,0.0015673+0.0001598i,-0.001801+0.0014114i,0.00076598-0.0032471i,-0.0014859+0.00023582i,-0.0017648-0.0006i,0.0027263+0.0013274i,0.0055265+0.0060469i,-0.020733+0.032619i,-0.088839+0.017514i,-0.05269+0.03251i,-0.04599+0.056381i,-0.034467+0.073402i,-0.020513+0.048076i,0.0062297+0.044216i,0.0054639+0.0064201i,-0.039155+0.0093315i,-0.055456+0.013933i,-0.0041131+0.02535i,-0.0090794+0.0003545i,-0.0080596-0.0062231i,-0.011886-0.0061867i,0.0016334+0.0036309i,0.0060669+0.011214i,-0.002153+0.0039916i,-0.00092565-0.011379i,0.00668-0.003355i,-0.0015544-0.011789i,0.0045173-0.0051248i,0.005136-0.0025065i,-0.0062248+0.0072853i,0.010089+0.00036395i,0.0087597-0.0022116i,0.0079003-0.0039007i,0.002439+0.0013383i,0.00014827-0.0044541i,-0.0044705-0.0047635i,0.0031144+0.0011354i,-0.019992+0.017033i,-0.0035876-0.0047682i,-4.6237e-05+0.00053369i,0.0024654-0.0061033i,0.0020758-0.0007127i,-0.013032-0.0099383i,-7.8412e-06-0.00014648i,0.0067294-3.0568e-05i,0.0031051-0.0011519i,0.0013574-0.0049939i,-0.0045462+0.0048683i,-0.0050014+0.0053861i,-0.0048243+0.0018089i,-0.010368-0.0017202i,-0.015059-0.0042329i,-0.052083+0.050836i,-0.0022484+0.01144i,-0.019474-0.021438i,-0.0073336-0.0048527i,0.0065165+0.021054i,-0.0056007+0.021678i,0.0023024+0.0025804i
