-0.0075366-0.039516i,-0.012423-0.043551i,0.0023184-0.045754i,-0.026329-0.028234i,-0.020674+0.013982i,-0.032576-0.032842i,-0.060611-0.061709i,-0.021837-0.072335i,-0.034138-0.051768i,0.0012889+0.014648i,-0.007223+0.010809i,-0.015009+0.014087i,0.0017775+0.016692i,-0.0034507-0.0034566i,0.00047258+0.0065797i,0.00028775+0.039008i,0.019502+0.06017i,0.00068291-0.00075138i,-0.0051039-0.0084629i,0.0087059+0.0049954i,0.0016803+0.001138i,-0.0010582+0.0034465i,0.00013515-0.001296i,-0.036404-0.0096696i,-0.0024621-0.0075919i,-0.00022426+0.0044562i,0.0047496-1.8119e-05i,0.00018122+0.00088613i,-7.2537e-05-0.0010155i,-8.4775e-05-0.0027526i,-0.001311-0.0060745i,-0.0023642-0.004161i,-0.00055924-0.0078274i,0.0032071-0.0013779i,0.0030261-0.0023611i,-0.0015542+0.033554i,0.0060292-0.0040795i,0.0038001-0.0023642i,0.0049081+0.00019433i,-0.013745-0.0048045i,-0.00026913+0.0004565i,0.0099216-0.00098237i,0.0056469-0.0006016i,-0.0037286+0.0035941i,0.0035248+0.0023999i,-0.003129+0.008388i,0.015216-0.087215i,-0.0064051-0.048061i,-0.023964-0.038968i,-0.019079-0.042032i,0.062968-0.014844i,0.028004-0.060721i,0.038864-0.045136i,0.029902-0.056529i,0.019587-0.015674i,0.00834+0.0095764i,0.024965-0.031289i,-0.0072898-0.0050337i,0.0024353-0.0023448i,-0.0045253-0.0066663i,0.0013272-0.032397i,-0.024687+0.030707i,0.0077639-0.010225i,-0.010909-0.0016142i,-0.0052379-0.0012933i,-0.0011285-0.013819i,-0.0096842+0.0040208i,0.0034029+0.0080544i,-0.011313+0.031115i,0.0053329+0.0076567i,-0.0055164-0.0013535i,-0.0019969-0.0024478i,-0.01122-0.0075839i,0.00053396-0.0035118i,-0.035123+0.0048518i,0.0022438-0.012869i,-0.009098-0.0021302i,-0.006375-0.0028517i,0.0061885+0.0015384i,-0.0096035+0.0014446i,0.0011653+0.00078415i,0.005659+0.0090947i,0.0045333+0.00057966i,-0.0086411-0.0090493i,0.0026943+0.00887i,-0.01906+0.0066881i,0.0065906+0.0032575i,-0.02883-0.0086284i,-0.034097+0.0026209i,0.025908-0.077473i,0.012656-0.01076i,-0.042595-0.027446i,-0.023269-0.0039461i,0.017985+0.012695i,-0.026446+0.011859i,-0.011878-0.0082239i
-0.034689-0.00029039i,-0.047964+0.016608i,-0.048896+0.042602i,-0.027646+0.0061429i,-0.0058817+0.014621i,-0.0093753+0.03123i,-0.030224+0.017575i,-0.059353+0.024263i,-0.021347+0.020256i,0.0017566-0.0084752i,0.001573-0.0017376i,0.0036189+0.00057986i,0.0031278+0.0090299i,-0.0038396+0.0012479i,0.0016704+0.0025051i,0.0023011-0.0092513i,-0.012028-0.0095098i,-0.0038647+0.0006159i,0.0040325-0.0029411i,0.001416-0.0013159i,0.0025067-0.0041199i,0.0017001-0.0043696i,0.002207-0.0033916i,-0.011215-0.011622i,-0.0023297-0.00048273i,-0.0043099-0.00040691i,-0.0034203-0.001009i,-0.0047792-0.0017136i,-0.0012164-0.0024975i,0.0011114-0.0020818i,-0.0037208+0.0043772i,0.0012295+0.0017676i,0.0023495+0.0015434i,0.0017014+0.00054794i,-0.001832+0.0028033i,-0.0030484-0.0083445i,-0.0030641+0.0012802i,0.0011811+8.0739e-05i,-0.00075824+0.0040187i,0.0095007+0.0075029i,0.0012386-0.0027259i,0.00090314-0.00060854i,-0.005128-0.004215i,0.0023857+0.0042282i,-0.020227-0.017455i,0.00065407-0.064803i,-0.088321-0.010324i,-0.022243-0.021342i,-0.046421-0.041169i,-0.043426-0.0077559i,-0.094662+0.012137i,-0.062411+0.00018338i,-0.037363-0.028255i,-0.029589-0.055357i,-0.034313-0.025794i,-0.00056146+0.002275i,-0.025869+0.013487i,0.0037533+0.017156i,0.00442+0.0076257i,0.00015704-0.0063055i,0.0083062+0.004864i,-0.010396-0.0038465i,0.0022592+0.010991i,-0.0011982+0.0072579i,-0.00067755-0.002623i,0.0060439+0.0021818i,0.0038907-0.0011995i,-0.0042318+0.019887i,-3.5945e-05+0.013355i,0.0012036-0.0043806i,0.010375-0.0073273i,0.003386+0.0036188i,-0.0077055-0.0076046i,-0.0019171-0.0017208i,0.027118-0.033596i,0.0082302+0.0085324i,0.0040831+0.0026819i,-0.0018899+0.0029365i,0.0031402-0.0037238i,0.021071+0.0022976i,0.0012927-0.0020457i,-0.00086955-0.0068759i,0.0012661-0.0026335i,0.011269+0.0050807i,0.0056656+0.00085161i,0.002975-0.0056284i,0.0036677+0.0074756i,0.0036506+0.0033356i,0.017487+0.0013525i,-0.065823-0.045135i,-0.0098716+0.010341i,-0.0069767-0.0045429i,-0.0072242+0.0048016i,-0.036603+0.0096727i,-0.0060053+0.0075033i,-0.014755+0.0038237i
-0.033008+0.0040348i,-0.044396+0.02137i,-0.036051+0.045098i,-0.026564+0.011862i,-0.0043033+0.012059i,-0.0038044+0.031393i,-0.027982+0.022186i,-0.051047+0.03237i,-0.016781+0.016887i,-0.00071752-0.0076368i,0.0011535-0.0011369i,0.0034071-0.0012302i,0.0053531+0.0059752i,-0.0021308+0.0030862i,0.0019539+0.0026744i,-0.0034078-0.0069545i,-0.017846-0.0021604i,-0.0032577+0.0020495i,0.0040413-0.0033277i,0.0014179-0.001961i,0.0011193-0.0042269i,0.0016109-0.0033487i,0.0017634-0.0034849i,-0.01301-0.0068207i,-0.0017834-9.8031e-05i,-0.0045343+0.0011928i,-0.0030083+0.00022818i,-0.0041905-6.4998e-05i,-0.001867-0.0023527i,0.00057777-0.0018014i,-0.0018796+0.0058327i,0.0012848+0.0014786i,0.0024381+0.00030002i,0.00036946+0.00027364i,-0.0023339+0.0026846i,-0.0031159-0.0070373i,-0.002685+0.0016496i,-2.1754e-05-0.00057259i,-0.00079507+0.0048588i,0.010149+0.0018108i,0.00051457-0.0029526i,9.2578e-05-0.0012692i,-0.0068185-0.0028725i,0.0037022+0.0037165i,-0.022036-0.018947i,-0.018586-0.070964i,-0.082821+0.0058522i,-0.029255-0.023014i,-0.057902-0.034136i,-0.041455+0.0019768i,-0.083246+0.033005i,-0.059849+0.014051i,-0.028408-0.027412i,-0.03636-0.05117i,-0.040768-0.011452i,-0.0008372+0.00033994i,-0.018347+0.023927i,0.0083443+0.0122i,0.0066724+0.0028482i,-0.0048923-0.011774i,0.0048334+0.0037546i,-0.010728+0.0033405i,0.0067613+0.0085203i,0.0013856+0.0089861i,-0.0017596-0.0021363i,0.0066575+0.0023049i,0.0033871-0.00086838i,0.0055247+0.016321i,0.0062839+0.0086025i,-0.0035233-0.005716i,0.0030186-0.008247i,0.0043076+0.0037119i,-0.010716-0.00038508i,-0.0019599+0.00086993i,0.011202-0.03636i,0.011014+0.0065472i,0.0066029+0.00097813i,0.0013021+0.0022369i,4.1601e-05-0.0017555i,0.01836-0.0069105i,-0.00031175-0.0026846i,-0.0042607-0.0052242i,-0.0020693-0.0020261i,0.01055+0.00058093i,0.0053829+0.00063153i,0.0010619-0.0035133i,0.0059655+0.0061034i,0.0036585+0.0030261i,0.015594-0.0044082i,-0.072372-0.036095i,-0.0027496-0.00045631i,-0.0073774-0.0038872i,-0.0055953+0.0043756i,-0.030886+0.020646i,-0.0039817+0.0084415i,-0.013441+0.0061896i
-0.030279+0.0072313i,-0.04161+0.026097i,-0.027395+0.043577i,-0.023412+0.015266i,-0.0017614+0.012031i,0.0016518+0.03052i,-0.024134+0.026494i,-0.04203+0.036693i,-0.017445+0.014474i,-0.0027548-0.0061143i,0.0015881-0.00093032i,-0.00028998-0.002342i,0.0060262+0.0038558i,-0.0014603+0.0034707i,0.002774+0.0028197i,-0.0069962-0.0016816i,-0.018091+0.0074775i,-0.0011198+0.0034002i,0.0040536-0.0052222i,0.0013712-0.003002i,-0.00025884-0.0043268i,0.0019769-0.0042586i,0.0013676-0.0040275i,-0.01376-0.0028311i,-0.0020427+0.00041482i,-0.0035502+0.0033178i,-0.0023982+0.0007041i,-0.003089+0.0017674i,-0.0022528-0.0019824i,-0.000124-0.0026719i,0.00061832+0.0060601i,0.0015583+0.0010948i,0.0019784-0.00037164i,0.00056181+9.0007e-05i,-0.0016594+0.0045805i,-0.0031365-0.0068698i,-0.0027086+0.0020566i,-0.00074785-0.00044683i,0.0031804+0.0044102i,0.0082873-0.0014564i,-0.00028585-0.0028934i,0.00032739-0.00047713i,-0.0085659-0.00093338i,0.0046898+0.0018401i,-0.025874-0.018863i,-0.040983-0.067023i,-0.072842+0.017164i,-0.036381-0.019918i,-0.064997-0.022284i,-0.035047+0.0086509i,-0.063401+0.047197i,-0.045024+0.026683i,-0.029391-0.032381i,-0.042534-0.047871i,-0.039454+0.0024891i,-0.0017233-0.00037781i,-0.0070317+0.027323i,0.010213+0.0069362i,0.0036463-0.00169i,-0.017124-0.012062i,0.0041793+0.0026805i,-0.0062101+0.0078143i,0.0086444+0.0039988i,0.00454+0.0087221i,-0.0041801+0.00016256i,0.0070733-0.0014207i,0.0036312-0.0023756i,0.009145+0.0093316i,0.0064598+0.00311i,-0.0082232-0.0022744i,0.00043796-0.0061088i,0.0066204+0.0026412i,-0.0073233+0.0088004i,-0.00025922+0.0022249i,-0.001574-0.033114i,0.013884+0.0012771i,0.0060381-0.0018946i,0.0012645+0.00086361i,0.00076342-0.00020816i,0.01178-0.011735i,-0.0031972+0.0009291i,-0.006211-0.0022145i,-0.0034845+0.0018713i,0.0077037-0.0024732i,0.0084644-0.0017636i,0.0018083-0.0035386i,0.0093179+0.0026465i,0.0059595+0.0016346i,0.012228-0.0088452i,-0.076543-0.022731i,-0.0073677-0.010172i,-0.0061421-0.004161i,-0.004199+0.0028927i,-0.021772+0.025599i,-0.0026218+0.0037084i,-0.010366+0.0033577i
-0.027636+0.0087339i,-0.03796+0.031614i,-0.021807+0.04209i,-0.019544+0.018999i,0.0022019+0.0091765i,0.0066739+0.028129i,-0.018819+0.03013i,-0.03447+0.037845i,-0.018773+0.016349i,-0.0038639-0.004458i,0.0014953-0.0018403i,-0.0024801+0.00095436i,0.0056202+0.0019124i,-0.0012348+0.0049869i,0.0033109+0.0021523i,-0.0061645+0.0045391i,-0.012643+0.015708i,0.00083584+0.0024707i,0.0017762-0.0066169i,-1.5699e-06-0.0043733i,-0.0015298-0.0037979i,0.0013911-0.0048608i,0.00031675-0.005144i,-0.013437+0.0014269i,-0.0014908+0.00065286i,-0.0010702+0.0034214i,-0.0020994+0.00082933i,-0.0011195+0.0018108i,-0.0030352-0.00087419i,-0.0017002-0.0022243i,0.0027697+0.0052377i,0.0016283+0.00055464i,0.0013328-0.00075318i,0.00025436+0.0001551i,0.0010226+0.0047558i,-0.0043371-0.0079463i,-0.0018562+0.0033108i,-0.0013398+0.0001638i,0.003843+0.00052814i,0.0067214-0.0030167i,-0.00081312-0.0026951i,0.00091243-0.00086746i,-0.0088747+0.002428i,0.0028797-0.0012419i,-0.031036-0.016726i,-0.058645-0.051801i,-0.062852+0.022266i,-0.042052-0.014375i,-0.068996-0.0097412i,-0.027133+0.011009i,-0.044687+0.050666i,-0.02904+0.025712i,-0.033263-0.030892i,-0.049238-0.041137i,-0.034518+0.012347i,-0.0030307-0.00033313i,0.0027093+0.025654i,0.010265+0.0023333i,-0.0012698-0.0019022i,-0.026732-0.0012871i,0.0014728+0.0029592i,-0.0014189+0.0075956i,0.0073189-0.00096135i,0.0077359+0.0075119i,-0.0036172+0.0034626i,0.003487-0.0026225i,0.0030851-0.0048505i,0.0078791+0.0023011i,0.0034257+0.00076339i,-0.0083432+0.0020729i,-0.0015651-0.0045018i,0.0072456+0.00027235i,0.0021371+0.010869i,0.0012746+0.0014345i,-0.0090165-0.026911i,0.012507-0.0036224i,0.0049562-0.0036191i,0.0019066+0.0016562i,0.0012126-0.00056567i,0.006224-0.012227i,-0.00030487+0.0037962i,-0.0065+0.00095862i,-0.00084508+0.0043769i,0.0053026-0.0026774i,0.0075835-0.00654i,5.7976e-05-0.0036838i,0.0086687-0.0031568i,0.0059467-0.0013907i,0.008072-0.012429i,-0.074308-0.0088899i,-0.017173-0.013226i,-0.0065962-0.0074914i,-0.004164+0.00087129i,-0.014409+0.026315i,-0.0064555+0.0029708i,-0.01319+0.0030193i
-0.026296+0.01012i,-0.033856+0.036405i,-0.018458+0.041888i,-0.014043+0.021191i,0.0042218+0.004753i,0.010283+0.025579i,-0.012709+0.032006i,-0.029091+0.038858i,-0.016937+0.020656i,-0.0039871-0.0027556i,0.00040024-0.0021337i,-0.0013305+0.0038558i,0.0048761+0.00057745i,0.0012685+0.0064389i,0.0038985+0.0015964i,-0.0022841+0.0079183i,-0.0044892+0.019716i,0.0013631+0.0014521i,-6.9413e-05-0.0061858i,-0.0020752-0.0044214i,-0.0027433-0.0032629i,0.00037436-0.0050727i,-0.0019468-0.0052266i,-0.010547+0.0047941i,-0.0016435+0.00032223i,-0.00045482+0.0022879i,-0.0017816+0.001096i,-0.00015842+0.00088411i,-0.0029526+0.00058476i,-0.0020709-0.00067153i,0.0040364+0.0036352i,0.0016323-0.00018364i,0.00059024-0.00064377i,9.9846e-05+0.00012609i,0.0022356+0.0034359i,-0.0071366-0.0078943i,-0.00081273+0.0036842i,-0.0012079+0.0014672i,0.0017596-0.00089499i,0.0051472-0.003608i,-0.0013107-0.0025305i,0.00069896-0.001576i,-0.0071482+0.0050264i,0.00026859-0.00024587i,-0.035188-0.011455i,-0.063809-0.031779i,-0.056509+0.024081i,-0.047043-0.0067195i,-0.070677+0.0043113i,-0.022566+0.0083275i,-0.028968+0.049539i,-0.019716+0.021254i,-0.035833-0.029279i,-0.052897-0.034217i,-0.027602+0.020261i,-0.0036907+0.00028956i,0.012992+0.020514i,0.0092677-0.00038627i,-0.0046512+0.00058328i,-0.027685+0.010969i,0.0011893+0.0047198i,0.0022191+0.0079302i,0.0028138-0.0021898i,0.01048+0.0046323i,-0.0019205+0.0055665i,0.0012527-0.0010116i,0.0012247-0.0066261i,0.0029857+0.0011927i,0.0010671+0.0019496i,-0.0078303+0.0068347i,-0.0028572-0.0019595i,0.0068409-0.0023322i,0.0071794+0.006627i,0.0018346+0.00053256i,-0.013084-0.024327i,0.0095412-0.0073925i,0.0032446-0.0051394i,0.0046547+0.0014116i,0.0012945-0.00041374i,0.0029142-0.010931i,0.0024046+0.0030159i,-0.0044929+0.0046233i,0.0023033+0.0043869i,0.0049788-0.0028606i,0.0032175-0.011233i,-1.2825e-05-0.0027094i,0.0045897-0.0063644i,0.0039814-0.0034013i,0.0019133-0.014852i,-0.069323-0.00080216i,-0.027849-0.0072135i,-0.0091495-0.0091723i,-0.0054591-0.00089331i,-0.0090319+0.026311i,-0.0095102+0.0056343i,-0.013999+0.0065703i
-0.025329+0.012167i,-0.02894+0.041313i,-0.015619+0.044134i,-0.0082749+0.020765i,0.0031363-0.00019837i,0.01413+0.023405i,-0.0063202+0.031798i,-0.024546+0.040761i,-0.012619+0.022381i,-0.0040922-0.0019766i,-0.0013071-0.0017539i,0.00092626+0.0052139i,0.0039461+0.00011441i,0.0038998+0.0053371i,0.004071+0.00070136i,0.0018544+0.0086563i,0.005023+0.019799i,0.0015364+0.00096714i,-0.0017504-0.0057636i,-0.0040109-0.0033581i,-0.003358-0.0017978i,-0.00031246-0.0054459i,-0.0032911-0.0038488i,-0.0082467+0.0053124i,-0.0021457+0.0009803i,-0.00041567+0.002148i,-0.0014806+0.0014699i,0.00024484-0.00023198i,-0.001938+0.001494i,-0.001644+5.0386e-05i,0.0050151+0.0020283i,0.0012076-0.00074353i,0.00022959-0.00048828i,-0.00031736-9.5687e-05i,0.0028185+0.0028316i,-0.0098391-0.0063608i,9.7029e-05+0.0033449i,-0.00022785+0.0020038i,0.00051103-0.00087394i,0.0038793-0.0038396i,-0.0017728-0.0019586i,-9.7907e-06-0.0018131i,-0.0048761+0.0062423i,0.00013853+0.001767i,-0.037251-0.0042669i,-0.059546-0.018084i,-0.052792+0.026819i,-0.048671+0.0047714i,-0.067197+0.02116i,-0.02427+0.0062286i,-0.017272+0.044785i,-0.013327+0.016475i,-0.038317-0.025685i,-0.056773-0.027512i,-0.019825+0.023875i,-0.0047251+0.001738i,0.017244+0.0079169i,0.0089481-0.004262i,-0.0059928+0.0048287i,-0.021118+0.022842i,0.0027006+0.0047557i,0.0067901+0.0052111i,0.0007252-0.00013241i,0.012151-0.00052882i,0.00051692+0.0072406i,0.0010532+0.00026482i,-0.0032542-0.0079089i,0.0011093+0.0043099i,0.0013055+0.0039276i,-0.0028326+0.011362i,-0.0014346+0.0003847i,0.0053111-0.0038604i,0.0092674+0.0020417i,0.0024747-0.00070899i,-0.020993-0.022922i,0.0052277-0.0093069i,0.00034755-0.005713i,0.0043486-0.0013437i,0.0010171+6.1358e-05i,0.0017081-0.0091944i,0.0034868+0.00098192i,-0.0009768+0.0056113i,0.0040415+0.0017853i,0.0038793-0.0039704i,-0.0035636-0.011161i,-0.0002831-0.0032001i,0.0011207-0.0060591i,0.0031446-0.0051116i,-0.0051516-0.013387i,-0.067324+0.0061831i,-0.027619+0.0065374i,-0.012819-0.0092314i,-0.0075725-0.00064546i,-0.0048952+0.026132i,-0.0083229+0.010268i,-0.0095181+0.0089987i
-0.024002+0.014633i,-0.022664+0.046113i,-0.010484+0.047479i,-0.0047137+0.017693i,-0.00059252-0.0024635i,0.018014+0.020221i,-0.0005496+0.030482i,-0.019835+0.043517i,-0.0086532+0.023471i,-0.0046409-0.00085111i,-0.0018767+0.00044936i,0.0038431+0.0055508i,0.0032836+0.00023952i,0.005071+0.0030617i,0.0037877-4.8674e-06i,0.0054056+0.0076221i,0.012784+0.015403i,0.0018269+0.00066461i,-0.0029353-0.0050514i,-0.0048245-0.0012818i,-0.0027745-0.00050968i,-0.0017893-0.0058123i,-0.0038059-0.0024423i,-0.0076801+0.0068246i,-0.0018959+0.0017712i,-4.3477e-05+0.0025944i,-0.0012007+0.0019916i,-0.00089465-0.001233i,-0.00157+0.0012651i,-0.0014414+0.00015822i,0.005286+7.0592e-05i,0.0010686-0.00091753i,0.00064023-0.0005285i,-0.00039543+0.00027157i,0.0039485+0.00098703i,-0.012151-0.0036464i,0.0010984+0.0032438i,0.0004947+0.0014943i,-0.00011879-0.00088665i,0.0026833-0.003993i,-0.0020559-0.0013497i,-0.00039241-0.0016472i,-0.0034158+0.0058415i,0.00098693+0.0022484i,-0.036669+0.0019803i,-0.056676-0.01266i,-0.049191+0.031607i,-0.044448+0.015154i,-0.057857+0.035713i,-0.025505+0.0093065i,-0.0089395+0.040686i,-0.0108+0.011142i,-0.040265-0.021892i,-0.059282-0.019037i,-0.013534+0.025712i,-0.003436+0.002462i,0.01122-0.0028572i,0.0056421-0.008502i,-0.0042835+0.0080433i,-0.010532+0.027452i,0.0029578+0.0033846i,0.0084671-4.3342e-05i,0.0019999+0.00094058i,0.010115-0.0042831i,0.0053503+0.0070983i,0.0013681+0.0020476i,-0.0076034-0.0028831i,0.0030354+0.0065486i,0.0027763+0.0051908i,0.0034984+0.011672i,-0.00054416+0.0004779i,0.004165-0.0049925i,0.0094516-0.0039546i,0.00058868-0.001426i,-0.029811-0.015068i,0.0018029-0.0091922i,-0.0018037-0.0039521i,0.0045374-0.00072649i,0.0012055-0.00025765i,0.0016667-0.010177i,0.0031984-0.00083477i,0.0015227+0.0040506i,0.0038198+0.00076924i,0.0031682-0.0037257i,-0.0075116-0.0068137i,-0.0020449-0.0035496i,-0.0015581-0.0049433i,0.00076953-0.0065271i,-0.0091964-0.009067i,-0.063446+0.01424i,-0.022386+0.0089352i,-0.013209-0.007141i,-0.008526+0.00077237i,0.00010221+0.024062i,-0.007083+0.011529i,-0.0069458+0.0079781i
-0.022119+0.017138i,-0.014847+0.049816i,-0.0033624+0.050782i,-0.0039021+0.015965i,-0.0045172-0.0019089i,0.020965+0.01644i,0.0045688+0.028297i,-0.013699+0.046574i,-0.0046812+0.023297i,-0.0046277+0.00057656i,-0.00053136+0.0020994i,0.0069512+0.0033161i,0.0032812+0.00042245i,0.0046568+0.0016228i,0.0037997-0.00033897i,0.0080126+0.0048792i,0.016663+0.0091863i,0.0021979-0.00047396i,-0.0040141-0.0044459i,-0.0044277+0.00091466i,-0.0019957+0.00016749i,-0.0032332-0.0048077i,-0.0038376-0.0014129i,-0.0050515+0.0084367i,-0.0013989+0.0026762i,0.0011264+0.0026696i,-0.0006397+0.0024297i,-0.0027141-0.00096579i,-0.0015162+0.0016295i,-0.0012812+0.00059599i,0.0044939-0.0018072i,0.00099224-0.0016388i,0.000248-0.000914i,-0.00015328+0.00047515i,0.0033575-0.00080067i,-0.013208+0.00053705i,0.0019378+0.0028632i,0.00072132+0.0012587i,-0.0011437-0.00084215i,0.001924-0.0038652i,-0.0019395-0.0010023i,-0.00069298-0.001716i,-0.0031096+0.0059574i,0.001783+0.0024729i,-0.035709+0.0067872i,-0.058043-0.0078939i,-0.044572+0.036365i,-0.039373+0.022542i,-0.044503+0.04428i,-0.026319+0.012709i,-0.0007412+0.0356i,-0.0098283+0.0087728i,-0.041875-0.017321i,-0.060045-0.0093558i,-0.0074001+0.026497i,-0.0026417+0.0027653i,0.0041244-0.0039621i,0.00078982-0.010225i,-0.00092593+0.011108i,-0.00076027+0.026382i,0.0023282+0.0021311i,0.0067328-0.0053768i,0.001788+0.00066441i,0.007272-0.0075365i,0.0089918+0.0041227i,0.0029698+0.0026686i,-0.0070033+0.00061123i,0.0058837+0.0072238i,0.0051627+0.0059781i,0.0093316+0.0086111i,-0.0001233+0.001018i,0.0035224-0.0058832i,0.006005-0.0083442i,5.0319e-05+0.00042516i,-0.034436-0.003199i,-0.00028452-0.0086591i,-0.0024518-0.0020206i,0.0056153-0.0012965i,0.0010881-0.0003488i,-0.00018435-0.012297i,0.0019263-0.0016719i,0.003314+0.0030681i,0.004048-0.00061822i,0.0037388-0.0044551i,-0.0090932-0.0033727i,-0.0041765-0.0016925i,-0.0040439-0.0028156i,-0.0014852-0.0071651i,-0.010851-0.0048184i,-0.059103+0.02056i,-0.021117+0.010253i,-0.013028-0.007797i,-0.0086963+0.002689i,0.001659+0.02232i,-0.0066953+0.012424i,-0.0053139+0.0072562i
-0.019643+0.019641i,-0.0054241+0.051683i,0.0063441+0.052542i,-0.0035337+0.015751i,-0.0064303+0.0014342i,0.023484+0.012471i,0.0086989+0.024766i,-0.0055588+0.04865i,-0.0011464+0.02268i,-0.0042698+0.0019429i,0.00087305+0.0018162i,0.0074139-0.00068485i,0.0039188+8.2412e-05i,0.0045425+0.00064785i,0.0039256-0.00095031i,0.0081553+0.0014382i,0.017493+0.002761i,0.00088943-0.0016696i,-0.005598-0.0029113i,-0.0029659+0.0022374i,-0.0010582+9.7945e-05i,-0.0038614-0.0037871i,-0.0038016-0.00038558i,-0.0019295+0.0088458i,-0.0001823+0.0031932i,0.0020268+0.0018717i,0.00032592+0.0026023i,-0.0033626+0.00082799i,-0.0008693+0.0017463i,-0.00089118+0.00074042i,0.0031716-0.0031131i,0.00015736-0.0019709i,-0.00023871-0.00090371i,-2.924e-05+0.000256i,0.0021351-0.0018985i,-0.012164+0.0049537i,0.0026495+0.0021582i,0.0010967+0.00096898i,-0.0020118-8.469e-05i,0.0010688-0.0038678i,-0.0023518-0.00073373i,-0.0010045-0.0018371i,-0.0026139+0.0069735i,0.0029781+0.002368i,-0.034782+0.012153i,-0.061822+0.00069122i,-0.038451+0.03981i,-0.031941+0.028053i,-0.031625+0.049375i,-0.025584+0.019546i,0.0063635+0.028311i,-0.005644+0.0065654i,-0.04219-0.011729i,-0.057796+0.00087495i,-0.0020354+0.0265i,-0.0023717+0.0024431i,-0.00020879-0.0034604i,-0.0046839-0.0098324i,0.0049931+0.0108i,0.0054967+0.022742i,0.00046857+0.0016932i,0.0036295-0.0086936i,0.0026861+0.0021852i,0.0028216-0.0091453i,0.01021-0.001221i,0.0048287+0.0020776i,-0.006756+0.0040851i,0.010085+0.006442i,0.009246+0.0040934i,0.012069+0.0028294i,0.00091395+0.0014825i,0.0017416-0.0070412i,-0.00030489-0.0093235i,0.0015166+0.0019606i,-0.034386+0.010105i,-0.0024114-0.0081364i,-0.0018123-0.00017964i,0.0062325-0.0050491i,0.0015546+5.376e-05i,-0.0054661-0.013102i,0.00087377-0.0015099i,0.004242+0.0011321i,0.0036053-0.0013899i,0.0027171-0.0057683i,-0.0090398+0.0016005i,-0.0039932+0.001076i,-0.005253-0.00018986i,-0.0044561-0.0073887i,-0.010826-0.0011037i,-0.055444+0.026534i,-0.020443+0.016029i,-0.015076-0.0099797i,-0.0057174+0.0044011i,0.0045003+0.021776i,-0.0068091+0.015148i,-0.0030985+0.0054702i
-0.016401+0.021328i,0.0039244+0.050722i,0.016943+0.050606i,-0.0022446+0.016682i,-0.0055805+0.0051206i,0.025701+0.007995i,0.011456+0.020866i,0.0032253+0.04812i,0.0019538+0.021489i,-0.0036587+0.0032129i,0.0011102+0.0013657i,0.0054662-0.0033609i,0.0041139-0.0012245i,0.0040366-0.00015572i,0.0035966-0.0017527i,0.0065327-0.00057728i,0.016196-0.002339i,-0.00015119-0.0014516i,-0.0057804-0.00084928i,-0.0014022+0.0026067i,-0.00034506-0.00031804i,-0.0044665-0.0030734i,-0.0032423+0.00046085i,0.00083616+0.0085801i,0.0011673+0.0027332i,0.0023038+0.0011659i,0.001203+0.0021936i,-0.0026944+0.0024762i,-0.00037807+0.001574i,-0.00081053+0.00084495i,0.0015084-0.0034887i,-0.00068046-0.0017911i,-0.00044737-0.0007111i,-0.00020987+0.00015873i,0.0009191-0.0023664i,-0.0097457+0.0083469i,0.0030532+0.0011601i,0.0011539+0.00041262i,-0.0019791+0.0013953i,0.00018167-0.0040585i,-0.0024843+1.4323e-05i,-0.0016131-0.0019312i,-0.0012255+0.0082608i,0.0039144+0.0014405i,-0.032224+0.017709i,-0.061483+0.013489i,-0.034193+0.04222i,-0.02476+0.030778i,-0.017657+0.051806i,-0.019991+0.027578i,0.0093629+0.019311i,-0.0035429-6.6396e-06i,-0.039597-0.0069953i,-0.052102+0.010803i,0.0046748+0.024987i,-0.0026262+0.0029052i,-0.0040068-0.0012027i,-0.008838-0.0070677i,0.008867+0.0069101i,0.0098033+0.01917i,-0.0022063+0.0031983i,-0.00058406-0.011689i,0.0051878+0.00094134i,-0.0016849-0.0080755i,0.0077544-0.0053011i,0.0062302-0.00037897i,-0.0050121+0.007021i,0.013547+0.001421i,0.010598-0.0015262i,0.011191-0.0037634i,0.0026694+0.0010094i,-0.0007877-0.0071846i,-0.0040377-0.0058371i,0.0036643+0.00076145i,-0.028036+0.024826i,-0.0044631-0.0068521i,-0.00044999+0.00084414i,0.002508-0.0072179i,0.0021187-0.0002691i,-0.011094-0.010169i,0.0010016-0.00061077i,0.0044263-0.0013245i,0.0028074-0.0023859i,0.0011154-0.0058164i,-0.0062737+0.0058055i,-0.0024677+0.0027561i,-0.0045448+0.0031114i,-0.0078334-0.0062432i,-0.0099681+0.0015335i,-0.049571+0.034512i,-0.012779+0.021548i,-0.020273-0.0095969i,-0.0023829+0.0027923i,0.0067105+0.020334i,-0.0041417+0.018599i,-0.0024673+0.0019085i
