-0.02318-0.018588i,-0.032092-0.032634i,-0.022091-0.019636i,-0.032469-0.020457i,-0.023785+0.0042613i,-0.02862-0.017599i,-0.057606-0.043867i,-0.040587-0.041686i,-0.030837-0.023517i,0.0049841+0.0056616i,-0.0037505+0.0066728i,-0.011271+0.010921i,0.0040096+0.0069777i,-0.0038246-0.0027418i,0.0028856+0.0016831i,0.0038549+0.027971i,0.026411+0.032389i,2.2783e-06+0.00014441i,-0.0030742-0.0027829i,0.0075682+0.0040027i,0.0020561+0.00070068i,-8.7779e-05+0.0025252i,-0.00049751+0.00032262i,-0.032711-0.00075299i,-0.0032477-0.0048974i,5.5719e-05+0.002504i,0.0039985-0.0011138i,0.00059255-0.00018877i,-0.00052583-0.00058837i,-0.0010021-0.0019489i,-0.0020493-0.00062562i,-0.0039325-0.0038641i,-0.0028605-0.0054591i,0.00033445-0.0012455i,0.00053061-0.0030101i,-0.0016256+0.025269i,0.0020985-0.002901i,0.002246-0.0039125i,0.0043615-0.002445i,-0.0067591-0.0017116i,0.0006269+0.0012292i,0.010191-0.0004196i,-0.0016953-9.6684e-05i,-0.0031953+0.0015154i,-0.0088214-0.0023458i,-0.019331+0.021712i,-0.0077556-0.086106i,-0.0023708-0.060834i,-0.021227-0.053089i,-0.010839-0.045931i,0.054583-0.025933i,0.024483-0.067283i,0.04131-0.053516i,0.018436-0.038512i,0.025641-0.019747i,0.012191+0.011778i,0.025732-0.029601i,-0.011494-0.0013581i,-0.00081898-0.0011699i,-0.0072084-0.0019942i,-0.0049073-0.029221i,-0.020706+0.02682i,0.0074067-0.0095618i,-0.010441-0.0034385i,-0.0023869-0.0018606i,-0.00049004-0.014454i,-0.008284+0.0049816i,0.0052613+0.010532i,-0.010372+0.031071i,0.0070798+0.0077257i,-0.0036876-0.0017672i,-0.0024386-0.0015531i,-0.012597-0.0055051i,0.00056071-0.0040184i,-0.032855+0.0030857i,0.003315-0.0090429i,-0.0070628-0.0019342i,-0.0052315-0.0029488i,0.006978+0.0019961i,-0.01007+0.00058028i,0.0024343-0.00020422i,0.0059332+0.0078181i,0.0058055+0.00084086i,-0.0077547-0.0097223i,0.0024581+0.0083244i,-0.019573+0.0074925i,0.0030687+0.0059462i,-0.021051-0.0090719i,-0.027293-0.0051721i,0.010372-0.061366i,0.018448-0.014592i,-0.05108-0.028838i,-0.023545+0.0033658i,0.019059+0.010166i,-0.027059+0.01195i,-0.012341-0.0079177i
-0.010926+0.013318i,-0.021088+0.040994i,0.0015298+0.040374i,-0.010261+0.02402i,-0.00033168+0.020863i,0.0017245+0.02311i,-0.02469+0.015343i,-0.025854+0.032952i,0.00056218+0.017071i,-0.0011446-0.0015638i,-0.00081471+0.0017372i,0.0044901+0.0033809i,0.0033741+0.0048997i,-0.0029464+0.0017337i,-0.0030296+0.0037451i,0.0010519-0.0072453i,-0.0086628-0.001906i,-0.0018845+0.00023847i,6.5275e-05-0.0011913i,-0.00096744-0.00034743i,0.00087926-0.0032368i,0.0012374-0.0027456i,0.0010047-0.0014674i,-0.0096708-0.0083348i,-0.00030333-0.00046928i,-0.0015196+0.00036887i,-0.0023746+2.0728e-06i,-0.0027402-0.00014009i,-0.00090967-0.00087886i,0.0011336-0.00074484i,-0.0018437+0.00022813i,0.0015581-0.00019213i,0.0020027-0.000613i,0.00060566+0.00041656i,-0.00062749+0.0019374i,-0.00032435-0.0067011i,-0.0013197+0.00090312i,0.0017932+0.00011139i,0.00071019+0.0025048i,0.0043414+0.0059371i,0.0010959-0.001598i,-0.0016725-0.0010509i,-0.0015183-0.0017029i,0.0029463+0.0054216i,-0.0077102+0.0072318i,0.020791-0.057338i,-0.07394+0.014603i,-0.027509-0.018627i,-0.06082-0.047828i,-0.052846-0.017444i,-0.085315+0.0039022i,-0.073082+0.0019245i,-0.046556-0.03294i,-0.0075264-0.045578i,-0.037812-0.026264i,-0.0064039+9.5067e-05i,-0.030577+0.010047i,0.0074625+0.011279i,0.0098505+0.0071354i,0.0025961-0.0068652i,0.010671+0.0039435i,-0.011642-0.0038243i,0.0022539+0.011807i,0.0013797+0.0068502i,-0.00045866-0.0013926i,0.005745+0.0018203i,0.0038803+0.00028975i,-0.0048335+0.019036i,0.00023704+0.0095389i,0.00052783-0.0042537i,0.0083082-0.005888i,0.0014091+0.0041839i,-0.0082923-0.0071396i,-0.0026096-0.0011614i,0.021454-0.030797i,0.0051447+0.0084481i,0.0018212+0.002938i,-0.0017193+0.0041921i,0.003095-0.0041864i,0.01964+0.003014i,0.0013461-0.0021742i,-0.0023591-0.00675i,-0.00035533-0.0021076i,0.011966+0.0048424i,0.0055536-0.00059713i,0.0033205-0.0077592i,0.0046202+0.0050976i,-0.0055395+0.0037226i,0.013566+0.0068198i,-0.043144-0.038199i,-0.012162+0.0054537i,-0.001849-0.0018946i,0.00011544+0.0031892i,-0.040716+0.011594i,-0.0070185+0.0083696i,-0.013342+0.0036302i
-0.0081922+0.013993i,-0.014019+0.041528i,0.01062+0.034008i,-0.0056678+0.024794i,0.0024684+0.018536i,0.0059826+0.021697i,-0.023424+0.019131i,-0.018362+0.035082i,0.0043313+0.011787i,-0.0014927-0.00068825i,-9.1788e-06+0.0028675i,0.0049343+0.0008466i,0.0041602+0.0031105i,-0.0015188+0.0028345i,-0.002201+0.0047246i,-0.0033873-0.005689i,-0.0099292+0.0028819i,-0.0016462+0.00087268i,0.00077966-0.00072613i,-0.00046647-8.859e-06i,8.2581e-06-0.003224i,0.0010259-0.0022602i,0.00082788-0.0013051i,-0.011227-0.0050093i,-5.1024e-05-0.00029877i,-0.0014182+0.00082223i,-0.0016644+0.00087132i,-0.0023654+0.00064246i,-0.0011245-0.00070077i,0.0010499-0.00085117i,-0.0016484+0.001144i,0.0010236-0.00049339i,0.0011711-0.0013974i,0.00015878+0.0004509i,-0.001028+0.0015482i,-0.00012526-0.005614i,-0.00087168+0.0010338i,0.00091556-0.00050491i,0.00081814+0.0026382i,0.005521+0.0032332i,0.00060369-0.0021298i,-0.0024133-0.00077853i,-0.002501-0.00079777i,0.0043747+0.0047684i,-0.0055507+0.0054036i,0.0026305-0.06708i,-0.064616+0.028756i,-0.034172-0.021247i,-0.073802-0.038473i,-0.053151-0.0060277i,-0.076697+0.020549i,-0.070416+0.016189i,-0.039815-0.030824i,-0.013424-0.044323i,-0.044701-0.011945i,-0.0074102+0.00026715i,-0.024071+0.022516i,0.0097186+0.0060623i,0.011534+0.00079322i,-0.0023325-0.012091i,0.0076415+0.0028083i,-0.011738+0.0025927i,0.0072007+0.010028i,0.0035916+0.0077217i,-0.00094584-0.00096907i,0.0065529+0.0021198i,0.004667+0.00021377i,0.0042316+0.016239i,0.0046428+0.0053918i,-0.0037083-0.005666i,0.0022238-0.0068106i,0.0031836+0.0048205i,-0.010649+5.7025e-05i,-0.0023321+0.0017471i,0.0070586-0.032064i,0.0079553+0.0073128i,0.004086+0.0022077i,0.0017955+0.0031832i,-0.00023883-0.0020994i,0.017117-0.0061624i,-0.00016082-0.0026333i,-0.0055955-0.0047099i,-0.003009-0.00098881i,0.010583+0.00023681i,0.0046297-0.00031617i,0.00027892-0.0061529i,0.0064075+0.003575i,-0.0054866+0.0057914i,0.01361+0.0019511i,-0.050067-0.031875i,-0.0063794-0.0051655i,-0.0025289-0.0030641i,0.0017288+0.0015153i,-0.034235+0.023774i,-0.0048671+0.0094564i,-0.010452+0.0057022i
-0.0051013+0.01391i,-0.0075999+0.041911i,0.015405+0.026361i,-0.0012372+0.023845i,0.0060825+0.017462i,0.0099331+0.019265i,-0.020497+0.023185i,-0.011188+0.034763i,0.0037689+0.0072829i,-0.0016542+0.00034796i,0.0016962+0.0033329i,0.0022011-0.00048505i,0.004323+0.0018147i,-0.00077016+0.0028938i,-0.00084123+0.0055667i,-0.0066664-0.0018059i,-0.0082099+0.0077642i,-0.00086641+0.001465i,0.001558-0.0016688i,0.00017698-0.00033675i,-0.00099811-0.0031152i,0.00085834-0.0028286i,0.00085875-0.0015112i,-0.012153-0.0019618i,-0.00014508-0.00027005i,-0.00084477+0.0014783i,-0.0010155+0.00062983i,-0.0014817+0.0015532i,-0.0012645-0.00056022i,0.00062346-0.0014482i,-0.00084402+0.0017085i,0.00060669-0.00059036i,0.00031868-0.0013696i,0.00047894+0.00021176i,-0.00064064+0.0024793i,0.00034504-0.0060319i,-0.00075939+0.00095149i,0.00032353-0.00077845i,0.0025288+0.0014812i,0.0052925+0.0010874i,-0.00014896-0.0021829i,-0.0018481+0.00047632i,-0.0031763+0.00020259i,0.0055263+0.0029309i,-0.004905+0.0039048i,-0.019349-0.067718i,-0.050977+0.037849i,-0.042627-0.018217i,-0.081028-0.023569i,-0.04873+0.0028565i,-0.062332+0.031585i,-0.057488+0.028724i,-0.04186-0.033863i,-0.019079-0.043722i,-0.044208+0.0029489i,-0.007551+0.0017195i,-0.012245+0.028317i,0.010323+0.0015134i,0.0079795-0.0047491i,-0.013163-0.012326i,0.0074295+0.00067225i,-0.0080676+0.0066725i,0.010288+0.0051004i,0.0059917+0.0067341i,-0.0031073+0.00054842i,0.0067155-0.0016464i,0.005658-0.002345i,0.0079171+0.010148i,0.0039587+0.0013785i,-0.0084536-0.0024869i,-0.00014781-0.0049014i,0.0059492+0.0036806i,-0.0063907+0.0087541i,0.00014634+0.0029889i,-0.0035055-0.028387i,0.011605+0.0035215i,0.0041684+0.00021158i,0.0023613+0.0013408i,0.0005744-0.00015024i,0.011015-0.01077i,-0.0024865+0.00024733i,-0.0071003-0.0013291i,-0.0036694+0.0025082i,0.0070043-0.0023524i,0.0073988-0.0018973i,9.0982e-05-0.0058123i,0.0092901+0.00085272i,-0.0021668+0.0069582i,0.012227-0.0024206i,-0.055028-0.02112i,-0.01241-0.014302i,-0.0016062-0.0038091i,0.0038292-0.0018549i,-0.023409+0.02984i,-0.0036403+0.0055258i,-0.007232+0.001135i
-0.0023209+0.012698i,-0.0004915+0.041975i,0.017358+0.01904i,0.0034574+0.022818i,0.010229+0.014032i,0.013211+0.015809i,-0.016066+0.026589i,-0.0058535+0.032469i,0.002888+0.0057163i,-0.0011498+0.0013825i,0.0029683+0.0021114i,0.00099374+0.0013426i,0.0041181+0.00070637i,-0.0006048+0.0035953i,0.00068661+0.0056977i,-0.0067386+0.003645i,-0.003553+0.011033i,-2.0894e-06+0.001321i,0.00070311-0.0023609i,-2.2337e-05-0.0010061i,-0.0018343-0.0025164i,0.00024933-0.0030429i,0.00061965-0.0021378i,-0.012024+0.0019856i,-4.0364e-05-0.00036958i,0.00021379+0.0010713i,-0.00089105+0.00033812i,-0.00034872+0.0014147i,-0.0015314+0.00011276i,-0.00026546-0.0013865i,-1.7115e-05+0.0017393i,0.00028815-0.00053928i,-0.00050626-0.00103i,0.0004449+3.9274e-05i,0.00079392+0.0023895i,-0.00053349-0.0079263i,-0.00033744+0.0012544i,-0.00041372-0.00056426i,0.0019423-0.00062853i,0.0049191-0.00048331i,-0.00073331-0.0019489i,-0.0010723+0.00039986i,-0.0031618+0.0016557i,0.0046652+0.000429i,-0.0051129+0.0035366i,-0.038315-0.056843i,-0.037423+0.040322i,-0.049323-0.011221i,-0.084851-0.0087537i,-0.0425+0.0080674i,-0.049749+0.035412i,-0.044161+0.030855i,-0.04681-0.030484i,-0.024997-0.039471i,-0.039496+0.014501i,-0.0077166+0.0032628i,-0.00078129+0.028355i,0.0093714-0.0029169i,0.0029389-0.0062891i,-0.021348-0.003931i,0.0044307-0.00024311i,-0.0038948+0.0077794i,0.009454-0.00080685i,0.0083005+0.0054683i,-0.0029601+0.0034826i,0.003355-0.0026882i,0.0049484-0.0059348i,0.0075375+0.0040215i,0.0012908-0.0003471i,-0.0089227+0.0016315i,-0.0017063-0.003542i,0.0070935+0.0013437i,0.0028523+0.0097434i,0.0017975+0.001889i,-0.0096484-0.022404i,0.01173-0.00089365i,0.0037515-0.0011337i,0.0030412+0.0012482i,0.00070466-0.00041978i,0.0057316-0.010888i,9.6296e-05+0.0026129i,-0.0068672+0.0021653i,-0.00085265+0.0045784i,0.0048928-0.0020848i,0.0068388-0.0061103i,-0.0022771-0.0052672i,0.0083128-0.0047402i,1.5427e-05+0.0054734i,0.010148-0.0067046i,-0.05345-0.0084174i,-0.023086-0.015315i,-0.0026427-0.0078929i,0.0030349-0.0067044i,-0.014618+0.030264i,-0.0069061+0.0047015i,-0.01068-0.00058227i
-0.00067866+0.011309i,0.0059009+0.040186i,0.016571+0.013525i,0.0078371+0.020198i,0.012621+0.0094751i,0.014987+0.011994i,-0.010655+0.028393i,-0.0021234+0.030322i,0.0031601+0.0050715i,0.00011085+0.0018635i,0.0031723+0.0011633i,0.0018428+0.0024735i,0.0038768-0.00028333i,0.00096187+0.004528i,0.0022344+0.0054057i,-0.0040043+0.0073784i,0.0015774+0.011405i,0.00048256+0.0010201i,0.00029401-0.0022628i,-0.00058405-0.0011704i,-0.0026292-0.0018048i,-0.00048512-0.0029046i,-0.00029444-0.0024309i,-0.0095389+0.0051373i,-0.00039518-0.0006732i,0.00019412+0.00020633i,-0.00088463+0.00038087i,0.00010667+0.00080593i,-0.0012464+0.00088407i,-0.00045105-0.00082676i,0.00053196+0.0014875i,0.0001069-0.00086326i,-0.00090088-0.00044102i,0.00028364-8.8755e-05i,0.001242+0.0015675i,-0.0033021-0.0088844i,-4.1091e-05+0.0012535i,-0.00045333+0.00023042i,0.00054344-0.00094007i,0.0040923-0.0012718i,-0.0011487-0.0017209i,-0.00092195+0.0003998i,-0.0020567+0.0027678i,0.0033152+0.00080091i,-0.004726+0.0041915i,-0.045746-0.040064i,-0.02717+0.038373i,-0.054378-0.0016699i,-0.086397+0.0077772i,-0.038403+0.0088964i,-0.039078+0.036682i,-0.035118+0.030292i,-0.049875-0.026022i,-0.027625-0.035682i,-0.032683+0.024404i,-0.0070122+0.0050024i,0.011656+0.023856i,0.0071291-0.0054603i,-0.0015745-0.0051485i,-0.023167+0.006061i,0.0033547+0.0003581i,-9.4863e-05+0.0085841i,0.0045724-0.0031411i,0.010312+0.0026742i,-0.0011128+0.0052353i,0.0013195-0.0013257i,0.0024321-0.0085686i,0.0039536+0.00274i,-0.00089077+0.0010221i,-0.0084579+0.0073747i,-0.0027296-0.0013034i,0.0070227-0.0014399i,0.0069378+0.0054098i,0.002349+0.0008871i,-0.012486-0.019596i,0.0099213-0.0053939i,0.0027841-0.002254i,0.0049732+0.0004126i,0.00078371-9.2795e-05i,0.003076-0.0096656i,0.0021549+0.001654i,-0.004422+0.0055857i,0.0024487+0.00425i,0.0045819-0.0018876i,0.0030855-0.010742i,-0.0029236-0.003414i,0.0040949-0.0076666i,0.00041106+0.0040194i,0.0053718-0.010309i,-0.047264-0.0020459i,-0.033122-0.0066497i,-0.0060906-0.0096617i,-0.00024025-0.010597i,-0.007794+0.029416i,-0.0098317+0.0073756i,-0.012212+0.0022842i
0.00056848+0.010266i,0.011661+0.037946i,0.015702+0.010736i,0.010989+0.01646i,0.012734+0.0047716i,0.016187+0.0087382i,-0.0046838+0.028382i,0.00072768+0.028791i,0.0036601+0.0031201i,0.00074849+0.0013168i,0.0026024+0.00028604i,0.0028621+0.002655i,0.0033115-0.0011475i,0.0027046+0.0036626i,0.0034401+0.0045775i,-0.00026294+0.0090066i,0.0062712+0.0094271i,0.00083359+0.00079909i,-0.00026273-0.0024467i,-0.0011778-0.0010378i,-0.002711-0.00058876i,-0.00090338-0.0026492i,-0.00099515-0.0020389i,-0.0073581+0.0061281i,-0.00084129-0.00037995i,-0.00023106-3.5804e-05i,-0.00096489+0.00046498i,0.000295+0.00022005i,-0.00048241+0.0011651i,-0.0003899-0.0006278i,0.0010273+0.0012615i,-0.00044225-0.00095178i,-0.00091759+7.1205e-05i,3.9459e-05-0.00017775i,0.0014724+0.0014349i,-0.0063876-0.0084177i,0.00015848+0.00090698i,7.4848e-05+0.000362i,-7.7312e-05-0.00072971i,0.0033474-0.0018552i,-0.0014846-0.0010541i,-0.00086147+0.00047687i,-0.00064653+0.0030483i,0.0035067+0.0014375i,-0.0037274+0.0049385i,-0.044165-0.028139i,-0.020083+0.035799i,-0.055389+0.011848i,-0.081607+0.027458i,-0.039351+0.0098854i,-0.030573+0.035604i,-0.027406+0.029229i,-0.051487-0.019618i,-0.031076-0.032397i,-0.023818+0.029966i,-0.0061913+0.006952i,0.017707+0.010486i,0.0050854-0.0078783i,-0.004634-0.0016947i,-0.018747+0.015981i,0.0034177-0.0002729i,0.0042699+0.0065722i,0.0015225-0.00145i,0.011598-0.0020501i,0.0010393+0.0062519i,0.0010195-0.00035366i,-0.0027376-0.010011i,0.0026456+0.0047209i,-0.0007691+0.00355i,-0.0025162+0.012285i,-0.0015184+0.00080543i,0.0057646-0.0030756i,0.0081558+0.0012717i,0.0031111-0.00065677i,-0.018445-0.018085i,0.0061987-0.0078384i,0.0010894-0.0027983i,0.0041508-0.0018039i,0.00097861+0.00064718i,0.0021165-0.0078959i,0.0026276+0.00010285i,-0.00096298+0.00659i,0.0037565+0.0015331i,0.0038-0.0030124i,-0.0034098-0.010506i,-0.0033307-0.0032067i,0.00015334-0.0076348i,0.00097706+0.0028924i,-0.00088369-0.010512i,-0.044331+0.0023807i,-0.030617+0.0078868i,-0.0096981-0.0097836i,-0.0048412-0.011555i,-0.0030729+0.027443i,-0.0081149+0.012096i,-0.0090924+0.0040229i
0.0016365+0.0092514i,0.017196+0.035432i,0.015802+0.008625i,0.012596+0.012407i,0.011365+0.0014727i,0.017201+0.0053308i,0.00055437+0.026926i,0.0034667+0.028008i,0.0034517+0.001769i,0.00068801+0.0010477i,0.0021618+0.00043213i,0.0044587+0.0025064i,0.0024611-0.0016379i,0.0035062+0.0019347i,0.0041641+0.003589i,0.0031805+0.0088103i,0.0092607+0.0057624i,0.0012109+0.00061116i,-0.00089267-0.0024973i,-0.0015735-0.00043295i,-0.002245+0.00035181i,-0.0014714-0.0024911i,-0.0013769-0.0015583i,-0.0062182+0.0077645i,-0.00087104-7.496e-05i,-0.00061444+0.0002463i,-0.0010147+0.00087089i,-0.00015243-0.00019678i,-0.00013973+0.0008i,-0.00048426-0.00065823i,0.0014864+0.00077185i,-0.00045879-0.00038944i,-0.00045761+0.00020507i,-7.6793e-05-0.00010762i,0.0019637+0.00049161i,-0.0093301-0.0070301i,0.00033093+0.00078893i,9.7242e-05-6.3992e-05i,-0.00048025-0.00058142i,0.0025764-0.002377i,-0.0013827-0.00043867i,-0.00050662+0.00057155i,0.00018409+0.0023406i,0.0040035+0.00080627i,-0.0021721+0.004991i,-0.042934-0.02359i,-0.015214+0.03416i,-0.049689+0.024503i,-0.070798+0.043916i,-0.039666+0.015632i,-0.023872+0.035028i,-0.02228+0.026844i,-0.05188-0.01416i,-0.033501-0.027213i,-0.015614+0.033132i,-0.0033445+0.0073249i,0.012469-0.0016471i,0.0014941-0.010581i,-0.0047775+0.0013111i,-0.011182+0.020358i,0.0023309-0.0013726i,0.0057535+0.0027941i,0.0018852-0.00015459i,0.0096667-0.0054502i,0.0048728+0.0060724i,0.0011955+0.0012414i,-0.0076859-0.005107i,0.0041665+0.005849i,0.0008106+0.0053428i,0.0037773+0.011655i,-0.00074392+0.0011176i,0.0045754-0.0044661i,0.0082133-0.004101i,0.0014754-0.0015656i,-0.025193-0.011384i,0.0031938-0.0083354i,-0.00017777-0.0017574i,0.0043461-0.0010325i,0.0016104+0.00049718i,0.0024959-0.00894i,0.0020432-0.0014018i,0.0015377+0.0053497i,0.0033396+0.00051271i,0.0034003-0.0026518i,-0.0068573-0.0064806i,-0.0047323-0.0025066i,-0.003281-0.0062626i,0.00071638+0.0016568i,-0.0045896-0.0075609i,-0.040857+0.0073958i,-0.024481+0.010275i,-0.0097397-0.0082742i,-0.0082426-0.010346i,0.0014588+0.024152i,-0.0061732+0.012776i,-0.0079769+0.0034261i
0.0025591+0.0081466i,0.022595+0.032229i,0.016619+0.0069153i,0.013042+0.00915i,0.0094503-0.00056284i,0.017411+0.0019012i,0.0051565+0.024631i,0.0067787+0.02751i,0.003219+0.00028645i,0.00079646+0.00092857i,0.0026017+0.00058412i,0.0059903+0.0006561i,0.0016854-0.0017281i,0.002902+0.00087325i,0.0048146+0.0026996i,0.0061691+0.0068818i,0.010185+0.0021696i,0.0015861-8.7664e-05i,-0.0016172-0.0023271i,-0.0014611+0.00046814i,-0.0014839+0.00095652i,-0.0020075-0.0017761i,-0.0015544-0.00115i,-0.0032727+0.0092371i,-0.00085647+0.00027821i,-0.00041994+0.00067301i,-0.00075059+0.0013516i,-0.00085778+5.8334e-06i,-6.4981e-05+0.00070767i,-0.00061884-0.00055968i,0.0015464+9.7465e-05i,-0.00015232-0.00051459i,-0.00054924+0.00018089i,-0.00015121-2.5625e-05i,0.0017035-0.00034753i,-0.011768-0.0038412i,0.00039535+0.00076482i,-0.00016217-1.7578e-05i,-0.0009976-0.00032862i,0.0019426-0.0025423i,-0.001015-0.00016937i,-0.00021248+0.00041253i,0.000363+0.0018157i,0.0040788+0.00018097i,-0.00095811+0.003908i,-0.04569-0.02023i,-0.011147+0.03242i,-0.041742+0.033567i,-0.056033+0.054504i,-0.038423+0.021332i,-0.016871+0.033428i,-0.01859+0.025922i,-0.052092-0.0086345i,-0.034664-0.021283i,-0.0070957+0.034556i,-0.0016214+0.0066453i,0.0052435-0.0039001i,-0.0030016-0.011157i,-0.0032277+0.0044549i,-0.0036712+0.020483i,0.00037811-0.001978i,0.0050897-0.00093212i,0.0016248+0.00014785i,0.0069525-0.0086664i,0.0079124+0.0033778i,0.0025292+0.0017302i,-0.0082393-0.0012825i,0.0063296+0.0060503i,0.0034164+0.0061074i,0.0091011+0.0089351i,-0.0003021+0.0015679i,0.0037446-0.005352i,0.005078-0.0079281i,0.00072392-0.00040118i,-0.028809-0.0016944i,0.0009549-0.0082822i,-0.00029774-0.00057955i,0.0049878-0.0011596i,0.0020646+0.00015128i,0.00092993-0.01144i,0.00042863-0.0017607i,0.0035078+0.0044467i,0.0035253-0.00027771i,0.0042861-0.0034979i,-0.0081863-0.0035248i,-0.0061931+4.3363e-05i,-0.0065216-0.0040614i,0.00051826+0.00049025i,-0.0060426-0.0045723i,-0.036751+0.010688i,-0.022143+0.011695i,-0.0090198-0.0099641i,-0.010701-0.0086652i,0.0020158+0.021736i,-0.0059799+0.012809i,-0.0067127+0.0031902i
0.0034645+0.0072628i,0.02843+0.027704i,0.018433+0.0045839i,0.013047+0.0065725i,0.008168-0.0010658i,0.017075-0.0012699i,0.0087877+0.021148i,0.011132+0.026285i,0.0025853-0.0010171i,0.00084187+0.00072168i,0.0029529-0.00012618i,0.005594-0.0021852i,0.0011243-0.0015911i,0.0027051+0.00041039i,0.0054059+0.0014947i,0.0072997+0.0039907i,0.0095922-0.0012349i,0.0010729-0.00084315i,-0.0024302-0.001695i,-0.00077953+0.000929i,-0.00053367+0.00091909i,-0.0020749-0.0012504i,-0.0017639-0.00071598i,1.9327e-05+0.0091531i,-0.00064257+0.00046595i,-9.2256e-05+0.00072223i,-0.00014577+0.0016196i,-0.00097816+0.00067826i,0.00021341+0.00039736i,-0.00067797-0.00045163i,0.0013019-0.00048199i,-0.00059036-0.00059805i,-0.00055519+0.00042098i,-0.00028081+2.3132e-05i,0.0010844-0.00083331i,-0.01236+0.00038075i,0.00044509+0.00060178i,-6.5467e-05+9.1834e-05i,-0.0012191+0.00026517i,0.0012623-0.0026423i,-0.00096343-9.8865e-05i,-8.1728e-05+0.00022568i,0.00037041+0.0015938i,0.0041027-0.00045472i,-0.00069125+0.0029625i,-0.050738-0.013326i,-0.0072131+0.030668i,-0.030816+0.038935i,-0.041526+0.061427i,-0.036062+0.029435i,-0.010429+0.029932i,-0.012313+0.024556i,-0.051003-0.0021734i,-0.03355-0.015273i,0.00049083+0.033854i,-0.0010206+0.0057995i,0.00028721-0.0043912i,-0.0081653-0.010074i,0.00058797+0.0053439i,0.0014418+0.01864i,-0.0021318-0.0013324i,0.0032142-0.0039906i,0.0027453+0.0017226i,0.0023424-0.010626i,0.0090299-0.0011375i,0.0038751+0.0011671i,-0.0085076+0.0032227i,0.0097397+0.0049173i,0.0073446+0.004467i,0.012657+0.0035204i,0.00061793+0.0020476i,0.0022639-0.0063256i,-0.00093592-0.0085434i,0.0016465+0.00083128i,-0.028617+0.009183i,-0.0011582-0.0080091i,0.00040673+0.00054154i,0.0055723-0.004616i,0.0028096-0.00019513i,-0.0039392-0.013044i,-0.00063684-0.00090639i,0.0048819+0.0025797i,0.0034195-0.00067106i,0.0035308-0.0048386i,-0.0083072+0.00055564i,-0.0057088+0.0033129i,-0.0080437-0.00041733i,-0.000825-0.00059985i,-0.0062333-0.0021899i,-0.033664+0.013043i,-0.020425+0.016478i,-0.011309-0.013898i,-0.010164-0.0066846i,0.0036521+0.020905i,-0.0062788+0.015614i,-0.0048723+0.0015885i
0.0043645+0.006059i,0.032958+0.021568i,0.01978+0.00044732i,0.0131+0.0043911i,0.0077947-0.0013293i,0.016511-0.0041656i,0.011021+0.017463i,0.015163+0.023663i,0.001606-0.0018564i,0.0007188+0.0006976i,0.0027126-0.00086197i,0.0035432-0.0038038i,0.00067558-0.0014343i,0.0023759+2.8806e-05i,0.0054665+0.00011263i,0.006845+0.001727i,0.0080225-0.003663i,0.00061646-0.0009731i,-0.0026327-0.00073454i,-9.2808e-05+0.00094238i,0.0002882+0.00043881i,-0.0020466-0.00092442i,-0.0016816-0.00026957i,0.0027649+0.0085931i,-0.00043554+0.00051095i,8.619e-05+0.00072062i,0.00052289+0.00128i,-0.0005281+0.0011923i,0.00015061-1.3624e-05i,-0.00093089-0.00033203i,0.00089541-0.00084869i,-0.00096342-0.00016612i,-0.00030222+0.00071473i,-0.00030209+0.00024153i,0.0004059-0.0010824i,-0.011243+0.0038974i,0.00047786+0.00034059i,-0.00011592-3.5819e-05i,-0.0010661+0.00093656i,0.0005782-0.0028747i,-0.00087548+0.00018923i,-0.00010587-0.00023071i,0.00055352+0.0016249i,0.0041977-0.0013059i,-0.00047644+0.0025064i,-0.052854-0.0021713i,-0.0050133+0.029016i,-0.021557+0.039994i,-0.025185+0.066053i,-0.029186+0.038425i,-0.0067291+0.02475i,-0.0081997+0.019315i,-0.047251+0.0030127i,-0.030423-0.0095111i,0.0092224+0.031236i,-0.0007689+0.0058806i,-0.0049535-0.0022975i,-0.011918-0.0064758i,0.0034206+0.0032608i,0.0055077+0.016229i,-0.0049946+0.00082972i,-0.00045023-0.0064492i,0.0051639+0.00033318i,-0.002633-0.0096333i,0.0067826-0.0047454i,0.0049353-0.00066891i,-0.0070078+0.0069833i,0.012365+0.00020549i,0.0089503-0.00027453i,0.012022-0.0043328i,0.0020624+0.0017395i,0.00013488-0.0065762i,-0.0042134-0.0051119i,0.0031298-0.00036903i,-0.023274+0.021538i,-0.0031833-0.0066453i,0.0017839+0.00085277i,0.0022857-0.0066696i,0.0030436-0.00086128i,-0.0095738-0.010629i,-0.00021861+0.00076558i,0.0053195+0.00020627i,0.0026759-0.0013424i,0.0024053-0.0053909i,-0.0064683+0.0044154i,-0.0033454+0.0051865i,-0.0076903+0.003816i,-0.0032343-0.00025925i,-0.0059257-0.0007561i,-0.029826+0.017196i,-0.012004+0.019812i,-0.01736-0.014967i,-0.0090064-0.0070575i,0.0047232+0.020325i,-0.0032568+0.0189i,-0.0050135-0.0020246i
