-0.024296-0.037994i,-0.012087-0.048835i,-0.018103-0.044334i,-0.030568-0.034993i,-0.029973-0.015782i,-0.050251-0.027206i,-0.057063-0.025303i,-0.044242-0.035431i,-0.028322-0.030593i,0.0078318+0.012617i,-0.0048861+0.015213i,-0.0046546+0.014323i,0.0093257+0.02035i,0.00052209+0.0043938i,0.0033039+0.0034203i,0.0067321+0.018638i,0.024664+0.034671i,-0.0025025-0.0011494i,-0.0050973-0.0061242i,0.0060714+0.0038086i,-0.00038483-0.00067312i,-0.001247+0.0017272i,0.00010899-0.00024069i,-0.029682-0.0036336i,-0.0019458-0.0057058i,0.0015138+0.0040563i,0.0035515-0.00083218i,-0.00057197+0.0005117i,0.00062778-0.00049834i,-0.00090369-0.002787i,-0.0020551-0.0062053i,-0.0044375-0.0045816i,-0.0018702-0.004451i,0.0022365-0.00054162i,0.0019879-0.002828i,-0.0004119+0.024733i,0.0017988-0.0030175i,0.0026229+0.0007288i,0.0055767+0.0010034i,-0.010648-0.0037359i,-0.0033786+0.00047093i,0.0051277+0.00039366i,0.0057398-0.00060728i,-0.003371+0.0048049i,0.0012753-0.0086687i,-0.012124+0.018446i,0.035969-0.090056i,0.011967-0.069792i,-0.015549-0.059558i,-0.015573-0.055357i,0.040035-0.044914i,0.01746-0.061352i,0.03436-0.054977i,0.02932-0.05921i,0.016301-0.013882i,0.0047573+0.016494i,0.017266-0.026194i,-0.01169+0.0052034i,-0.00014021+0.0053945i,-0.0045954-0.0016428i,-0.0023381-0.029586i,-0.023471+0.031662i,0.010578-0.012157i,-0.01307-0.0028475i,-1.7569e-06-0.0049759i,-0.00044866-0.015918i,-0.0077537+0.0046468i,0.0046093+0.0062944i,-0.0075894+0.030357i,0.0045329+0.0063152i,-0.0053285-0.00074516i,-0.0032324-0.00080453i,-0.012282-0.0085596i,-0.00077445-0.0041201i,-0.013697+0.0031691i,0.00020249-0.0099705i,-0.0095095-0.0017661i,-0.0069851-0.0030776i,0.0070993+0.003081i,-0.0075414+0.0016081i,2.1405e-05+0.00056531i,0.0063302+0.01105i,0.0040767+0.0014948i,-0.0085462-0.0096063i,0.0030998+0.008241i,-0.022816+0.0059975i,0.0077117+0.000239i,-0.028485-0.0042234i,-0.042019+0.0028083i,0.022767-0.095546i,-0.00092608-0.012789i,-0.051644-0.022078i,-0.023828-0.0022084i,0.017865+0.010728i,-0.024944+0.013199i,-0.017699-0.012047i
-0.031532+0.01756i,-0.050357+0.021029i,-0.031565+0.045325i,-0.029985+0.024787i,-0.02694+0.039278i,0.0059579+0.045475i,-0.0019236+0.023585i,-0.014883+0.038995i,-0.012737+0.021265i,-0.0040432-0.0043105i,-0.0039636-0.0034437i,-0.0018145-0.0032039i,-0.0037323-0.00068334i,-0.0066959-0.0039526i,-0.002002+0.0042785i,-0.0022032-0.00072593i,-0.010136-0.0054332i,-0.001351-0.00048733i,0.0027644-0.0013162i,0.0020605-0.00085282i,0.0025397-0.0033374i,0.0023397-0.003979i,0.001385-0.0024435i,-0.0095622-0.0079544i,-0.001836+0.00066103i,-0.0029278+0.0011702i,-0.0018914-5.8572e-05i,-0.0032936-0.00081727i,-0.0011544-0.0014249i,0.0013305-0.0018158i,-0.0024151+0.0059988i,0.0014738+9.5478e-05i,0.0026231+0.00032907i,0.0012295+0.0016705i,-0.0010784+0.0032894i,-0.00081228-0.0058216i,-0.0014733+5.9842e-05i,0.00018786-0.00012819i,-0.00036475+0.0044905i,0.0070647+0.0050302i,0.00137-0.0031599i,0.002339-0.0038366i,-0.0038281+0.0020369i,0.00014658+0.0029534i,-0.031823-0.0052233i,0.01154-0.077478i,-0.092574-0.030241i,-0.051366-0.035229i,-0.075307-0.050595i,-0.05795-0.005988i,-0.092998+0.019131i,-0.058249+0.011433i,-0.05028-0.021868i,-0.030789-0.056935i,-0.021785-0.029488i,0.0029343+0.0051717i,-0.019074+0.010629i,0.0095789+0.0034388i,0.011119+0.0038978i,0.00070027-0.0054015i,0.0082207+0.0018561i,-0.0073487-0.0035631i,0.0038965+0.013987i,-0.0018466+0.0085048i,0.00071823+0.0015026i,0.0057748+0.0029316i,0.0023041-0.00092124i,-0.00071419+0.014731i,-0.00057008+0.013547i,0.0033901-0.0049746i,0.010353-0.0070507i,0.0022684+0.0022745i,-0.0076578-0.0068079i,-0.0019555-0.0031073i,0.02025-0.026267i,0.0064934+0.004597i,0.0037389+0.0041152i,-0.0034615+0.0021915i,0.0025979-0.0035265i,0.022658+0.0016386i,0.0022309-0.0026725i,-0.00064478-0.010771i,0.00066801-0.0023213i,0.013552+0.0049018i,0.0042715+0.00033286i,0.0043076-0.0064259i,0.0031689+0.0087803i,0.0039939-0.0013443i,0.025132+0.0056666i,-0.080284-0.037834i,-0.0058766+0.018411i,0.0067355-0.0030354i,-0.0042991+0.0046334i,-0.034569+0.012162i,-0.0072034+0.0062226i,-0.01788+0.012795i
-0.027269+0.021564i,-0.046555+0.025729i,-0.020416+0.043799i,-0.026038+0.028512i,-0.020395+0.040439i,0.014319+0.042592i,0.0012991+0.022805i,-0.0069415+0.039619i,-0.0084465+0.018522i,-0.0052342-0.0019111i,-0.004545-0.00069328i,-0.0027262-0.0034904i,-0.0043932-0.00015595i,-0.0068236-0.0013799i,-0.00060681+0.0050682i,-0.0041748+0.00079388i,-0.013315-0.00026145i,-0.0011175+0.00045331i,0.0032168-0.0021227i,0.0019611-0.0016853i,0.0014478-0.0038751i,0.001522-0.00384i,0.00092384-0.0025564i,-0.010422-0.0047831i,-0.00098499+0.00096074i,-0.0027112+0.0017023i,-0.0014321+0.00047437i,-0.003267+9.573e-05i,-0.001767-0.0010303i,0.00084881-0.0017996i,-0.00042027+0.0069384i,0.001111-0.00017955i,0.0022738-0.00054166i,0.0012037+0.0012541i,-0.00093405+0.0026568i,-0.00042311-0.0052827i,-0.00062009+0.00079622i,-0.00056298-0.00035186i,-0.00034359+0.0051509i,0.0072786+0.0013481i,0.00039789-0.0033828i,0.0011084-0.0043353i,-0.0032832+0.0030253i,0.00087577+0.0030556i,-0.032581-0.0047956i,-0.012286-0.08873i,-0.089349-0.011287i,-0.060102-0.033786i,-0.087311-0.038792i,-0.057203+0.0039082i,-0.082567+0.03654i,-0.053572+0.023777i,-0.040502-0.019726i,-0.038481-0.052451i,-0.031585-0.021283i,0.004+0.0020249i,-0.012591+0.020317i,0.0092203-0.00057659i,0.012128-0.0021988i,-0.0038056-0.009303i,0.0044938+0.0015099i,-0.0082376+0.0019953i,0.0092101+0.011262i,0.00088937+0.011548i,0.0008882+0.0011521i,0.0064893+0.0027259i,0.0026872-0.00013477i,0.0054556+0.011115i,0.0065681+0.0078556i,-0.0019465-0.0071961i,0.0032914-0.0079544i,0.0033123+0.0027512i,-0.011325-2.7671e-05i,-0.0026521-0.00038649i,0.0073574-0.02968i,0.0074106+0.0033344i,0.0072468+0.0023381i,-0.00086677+0.0024355i,-0.00050266-0.0015678i,0.019096-0.0090005i,0.00044899-0.0033507i,-0.0051211-0.0073509i,-0.0026774-0.0021066i,0.011603-0.00058586i,0.0039996+0.00076279i,0.0016332-0.0044072i,0.0058631+0.0073167i,0.0024638-0.0018238i,0.024806-0.0024764i,-0.084649-0.028204i,0.0024182+0.0075977i,0.0056653-0.005524i,-0.0015418+0.0040138i,-0.028397+0.022934i,-0.0056653+0.0072382i,-0.014737+0.015665i
-0.022309+0.024428i,-0.043201+0.030413i,-0.013559+0.040064i,-0.021597+0.030701i,-0.013188+0.042156i,0.021712+0.037646i,0.0047694+0.02208i,0.00045376+0.038399i,-0.0077794+0.016634i,-0.005417+0.00034019i,-0.0033849+0.0012604i,-0.0059331-0.0029021i,-0.004633+0.0017636i,-0.0067899+0.00062639i,0.0012114+0.0055664i,-0.0048341+0.003594i,-0.012894+0.0067899i,0.00016938+0.0011711i,0.0030814-0.0037287i,0.0016849-0.0028859i,0.00010107-0.0043556i,0.00062418-0.0044958i,0.00048101-0.0027388i,-0.010975-0.0019857i,-0.00088279+0.0010407i,-0.0022883+0.0032117i,-0.0010332+0.00029187i,-0.0026412+0.0015603i,-0.002125-0.00062592i,-0.00015815-0.0026771i,0.0021187+0.0068833i,0.00083236-0.00039581i,0.0019144-0.0010865i,0.0015289+0.00056183i,-2.676e-05+0.0034461i,-0.00035207-0.0056225i,-0.00087266+0.0005976i,-0.00090569-0.00015264i,0.0043257+0.0037i,0.0059106-0.0010965i,-0.00053772-0.0028746i,0.00035678-0.0022801i,-0.0029179+0.0042671i,0.0015286+0.0018678i,-0.034782-0.0017541i,-0.041694-0.087288i,-0.079392+0.0020666i,-0.070241-0.026723i,-0.094762-0.023629i,-0.052823+0.012346i,-0.067178+0.047923i,-0.039095+0.033556i,-0.040236-0.023114i,-0.045358-0.04846i,-0.032409-0.0073378i,0.0040804-0.001052i,-0.0023498+0.022105i,0.0081462-0.0034129i,0.0079781-0.0074365i,-0.013027-0.0087508i,0.0037097+0.00027626i,-0.0042398+0.0057368i,0.011568+0.0056472i,0.0040577+0.012296i,-0.00014873+0.0016653i,0.0077379-0.00094321i,0.0042734-0.0018795i,0.0075594+0.0061492i,0.0057865+0.0025109i,-0.0071037-0.0032025i,0.00088307-0.0062949i,0.0054167+0.001664i,-0.0070413+0.0099028i,-0.0011092+0.0014342i,-0.0024108-0.030423i,0.0091388+0.00015611i,0.0066059-0.00084795i,8.038e-05+0.0021938i,0.00063907+0.00049383i,0.011892-0.013237i,-0.0022153-0.0005028i,-0.0079217-0.0037837i,-0.0039949+0.0012666i,0.007542-0.0035788i,0.0070334-0.0010346i,0.0027783-0.0042465i,0.0090703+0.0046457i,0.0037379-0.0024856i,0.021201-0.0095471i,-0.088628-0.015019i,-0.00022-0.0025422i,0.00547-0.007895i,0.0016516+0.0012852i,-0.018621+0.026701i,-0.0049175+0.0028779i,-0.0051006+0.0063151i
-0.016872+0.025135i,-0.038874+0.036108i,-0.0097887+0.036691i,-0.016638+0.033389i,-0.004945+0.041118i,0.027801+0.031423i,0.0086074+0.020794i,0.0069979+0.035468i,-0.0074657+0.017187i,-0.0044946+0.0027826i,-0.0026686+0.0013921i,-0.0076951+0.00085764i,-0.0041294+0.003356i,-0.0067566+0.0029795i,0.0029625+0.0048835i,-0.0037432+0.0067701i,-0.0082012+0.012168i,0.001292+0.00035194i,0.0012865-0.0045256i,0.00017367-0.0039721i,-0.0014462-0.0041366i,-0.00065507-0.0045744i,4.6569e-05-0.0032092i,-0.010709+0.0014372i,-0.00047717+0.00076686i,7.1874e-05+0.0036685i,-0.0011149+0.00019849i,-0.0013729+0.001891i,-0.0024815+0.0002254i,-0.0017353-0.0020784i,0.0048539+0.0061343i,0.00045348-0.00051969i,0.00096061-0.0019038i,0.0015204+3.0566e-05i,0.0017711+0.0028962i,-0.00091357-0.0070884i,-0.0007986+0.0010944i,-0.0012586+0.00040761i,0.0034799-0.00081067i,0.0045478-0.0021601i,-0.0009042-0.0026113i,-0.00012399-0.001324i,-0.008836+0.0034512i,-0.00020073-0.00034451i,-0.036587+0.0024308i,-0.065979-0.07094i,-0.069405+0.0077372i,-0.077921-0.015027i,-0.098896-0.0070776i,-0.046915+0.018086i,-0.053105+0.052927i,-0.024728+0.032327i,-0.043516-0.020464i,-0.052155-0.039999i,-0.029057+0.00052743i,0.0020487-0.0036401i,0.0057836+0.019921i,0.0062424-0.0059078i,0.002461-0.0088692i,-0.022817-0.0011234i,0.00040128+0.00041169i,-0.00078553+0.0055234i,0.010075+0.00046118i,0.0092801+0.011885i,0.00024669+0.0030769i,0.0045823-0.0030085i,0.0035996-0.005133i,0.0065518+0.0011349i,0.0026679+0.00042267i,-0.0070685+0.00056847i,-0.0014072-0.0051312i,0.0058141-0.00023581i,0.004716+0.01151i,0.00016061+0.0010591i,-0.0036684-0.026615i,0.0083335-0.0029579i,0.0053474-0.0030057i,0.0010598+0.0022347i,0.0014293-5.357e-05i,0.0061466-0.013439i,-4.2268e-05+0.0017337i,-0.0092604+5.2059e-05i,-0.0016414+0.00385i,0.0048842-0.0036112i,0.006061-0.0051556i,0.0003518-0.0052163i,0.0095875-0.00029856i,0.0025494-0.0052312i,0.017034-0.015631i,-0.087169+0.0002911i,-0.0071815-0.0065974i,0.0026782-0.012804i,0.0020985-0.0041269i,-0.013027+0.025035i,-0.0093744+0.0026838i,-0.0070503+0.0097115i
-0.012801+0.024977i,-0.034012+0.04106i,-0.0083075+0.03501i,-0.010665+0.035122i,0.0019422+0.038111i,0.031813+0.024387i,0.01252+0.018314i,0.012426+0.031804i,-0.0055467+0.018773i,-0.0025722+0.0038978i,-0.00278+0.0022398i,-0.0068375+0.0044394i,-0.0032692+0.0046833i,-0.0052247+0.0056132i,0.0044625+0.0038153i,-0.0010981+0.0088136i,-0.0022998+0.014249i,0.0013012-0.00060583i,0.00018714-0.0042598i,-0.001737-0.0037323i,-0.0027459-0.0033584i,-0.0019885-0.0040767i,-0.0012004-0.0034469i,-0.0086055+0.0037792i,-0.0010392+0.000435i,0.00038769+0.0019027i,-0.0012021+0.00032811i,-0.00057374+0.0016473i,-0.0022211+0.0013931i,-0.00191-0.00064294i,0.0067232+0.00382i,0.00024091-0.00058516i,-0.00020308-0.0017685i,0.0012858-0.00041498i,0.0022173+0.0016183i,-0.0034654-0.0084017i,-0.0004219+0.0015357i,-0.0010978+0.0015765i,0.0013151-0.0010167i,0.0034041-0.0022523i,-0.0014181-0.0024006i,-0.00043477-0.0012103i,-0.00083552+0.00461i,-0.0027919+0.0015263i,-0.037233+0.0087332i,-0.075282-0.047645i,-0.063803+0.0090838i,-0.08225-0.001431i,-0.1001+0.011582i,-0.042251+0.020689i,-0.039896+0.055511i,-0.015553+0.028364i,-0.045173-0.017273i,-0.054484-0.032482i,-0.027546+0.0084282i,-0.0001063-0.0047141i,0.014285+0.014774i,0.004195-0.0069938i,-0.0027174-0.0071853i,-0.019783+0.0085158i,-0.00044354+0.0026851i,0.0020873+0.0053663i,0.0063168-0.0012425i,0.014629+0.0082785i,0.0017467+0.003666i,0.0022254-0.0015602i,0.0010869-0.0073853i,0.0021653+0.00063227i,0.00044628+0.0015826i,-0.0068547+0.0051692i,-0.0030159-0.002388i,0.005211-0.0023311i,0.0091614+0.0050745i,0.00083032+0.00062609i,-0.0064768-0.019304i,0.0063277-0.0057328i,0.0039167-0.0047673i,0.0035505+0.0027598i,0.0014357-0.00013974i,0.0027729-0.012137i,0.0019206+0.0014298i,-0.007788+0.0057404i,0.0014358+0.0037539i,0.0038958-0.0031418i,0.0029577-0.0086672i,-0.00056549-0.0046038i,0.0069654-0.0044815i,-0.0007177-0.0060554i,0.0098182-0.021583i,-0.08087+0.011747i,-0.015779-0.0031122i,-0.0012116-0.015438i,-0.00092514-0.0087342i,-0.0081828+0.025061i,-0.012586+0.0058052i,-0.0068775+0.010846i
-0.0096506+0.024817i,-0.028026+0.045639i,-0.0070409+0.036353i,-0.0045332+0.034799i,0.0062456+0.033914i,0.03446+0.017649i,0.016231+0.014649i,0.016769+0.027736i,-0.0024787+0.018963i,-0.001373+0.0036413i,-0.0029676+0.0036175i,-0.004802+0.0068345i,-0.001769+0.0060969i,-0.0027643+0.0066604i,0.0051921+0.00226i,0.0020625+0.0094076i,0.0038942+0.013447i,0.0011379-0.00071728i,-0.0011533-0.0042545i,-0.0030836-0.002724i,-0.0032826-0.0018915i,-0.002729-0.003149i,-0.0021905-0.0027951i,-0.0073455+0.004473i,-0.0014489+0.0010544i,-3.5748e-05+0.0016797i,-0.0013954+0.00069701i,-4.1503e-05+0.0012102i,-0.0011999+0.0019747i,-0.00158+7.547e-05i,0.0067425-0.00020428i,0.00011171-0.0007073i,-0.00077593-0.0013283i,0.0007831-0.00093888i,0.0022816+0.0010866i,-0.0074738-0.0076975i,-0.00014288+0.0014483i,-0.00017527+0.0021805i,0.00040961-0.0012076i,0.002709-0.0022711i,-0.002041-0.0016088i,-0.00074576-0.0015389i,0.0011595+0.0044879i,-0.0025541+0.0047083i,-0.035591+0.016151i,-0.073211-0.031402i,-0.061024+0.011653i,-0.082805+0.015063i,-0.094139+0.032486i,-0.040881+0.023353i,-0.028962+0.0543i,-0.0084992+0.023869i,-0.046309-0.012531i,-0.057626-0.025993i,-0.023845+0.0132i,-0.0036132-0.0043074i,0.017761+0.0028167i,0.002843-0.0085228i,-0.0059807-0.0034213i,-0.014645+0.01611i,0.00064936+0.003583i,0.0053403+0.0029581i,0.0051161-8.153e-05i,0.018281+0.00077218i,0.0029815+0.0031755i,0.0020463-0.00049101i,-0.0033637-0.0083029i,0.0010718+0.0031481i,0.00073175+0.0034137i,-0.0023695+0.0089773i,-0.0017517+0.00016751i,0.0036955-0.003334i,0.0086543+0.00048982i,0.0015434-0.00034033i,-0.014328-0.018065i,0.0031371-0.0068201i,0.0011601-0.0057779i,0.004306-7.0501e-05i,0.0017278+0.00029359i,0.0014339-0.010387i,0.0023172+2.5494e-05i,-0.002976+0.009099i,0.0024969+0.0016667i,0.0029099-0.0036446i,-0.0027055-0.0092384i,-0.0017611-0.0058224i,0.0034662-0.0052972i,-0.0025807-0.0060563i,-0.0012028-0.022802i,-0.075547+0.020871i,-0.014964+0.008181i,-0.0058906-0.016514i,-0.0055667-0.0095998i,-0.0044503+0.024319i,-0.012337+0.011259i,-0.0035238+0.010856i
-0.0063535+0.024956i,-0.020907+0.049655i,-0.0032564+0.038705i,0.00050497+0.033523i,0.0084832+0.031268i,0.036048+0.010669i,0.018767+0.01029i,0.019797+0.023396i,0.00061706+0.018982i,-0.00078259+0.0037293i,-0.0016868+0.005894i,-0.0019405+0.0084611i,0.00017671+0.0067048i,-0.00054759+0.0065596i,0.0052146+0.00078031i,0.0051444+0.0088103i,0.008368+0.010314i,0.0011364-0.00084283i,-0.0023118-0.003638i,-0.0036662-0.0011248i,-0.0030768-0.00062784i,-0.0033534-0.0023865i,-0.0027497-0.0018511i,-0.006895+0.0062741i,-0.0010549+0.0017992i,-3.549e-05+0.0021744i,-0.0010608+0.0016607i,-0.00021292+0.00079919i,-0.00037307+0.0018918i,-0.0012365+0.0003379i,0.004791-0.0031079i,0.00014151-0.0004721i,-0.0008002-0.0010563i,0.00027508-0.001037i,0.0025521-1.9167e-05i,-0.0099647-0.0049077i,0.0003298+0.0014556i,0.00045899+0.0017815i,-0.00052187-0.0013832i,0.0020896-0.0025293i,-0.0021731-0.00081416i,-0.0011325-0.0013621i,0.0021597+0.0033325i,-0.00097206+0.0059951i,-0.030961+0.021878i,-0.072436-0.024258i,-0.060027+0.015978i,-0.076532+0.030484i,-0.082299+0.049642i,-0.038513+0.029433i,-0.020034+0.053642i,-0.0048511+0.018495i,-0.046779-0.0073572i,-0.060255-0.017544i,-0.02167+0.018735i,-0.0041634-0.0037491i,0.011533-0.0078593i,8.2818e-06-0.010687i,-0.0063894+0.00012779i,-0.0070093+0.018239i,0.00094877+0.0031124i,0.006285-0.0013969i,0.0059402-0.00053042i,0.015423-0.0057758i,0.0046389+0.0028126i,0.0023126+0.00085753i,-0.0073096-0.003354i,0.0028057+0.0050483i,0.0019676+0.0047039i,0.0039839+0.0075031i,-0.0010797+0.00027381i,0.0024905-0.0039039i,0.0089652-0.0055511i,-9.3987e-06-0.0008964i,-0.021961-0.01327i,0.0010631-0.0062853i,-0.0010032-0.0041801i,0.0044651-0.00047967i,0.0020517-0.00021198i,0.00068013-0.011584i,0.0019066-0.0011966i,0.0017752+0.0068661i,0.0026276+0.0012807i,0.0024147-0.0031184i,-0.006284-0.0056562i,-0.0053707-0.0055386i,0.00040698-0.0050106i,-0.0050369-0.005627i,-0.0084738-0.018349i,-0.069813+0.028574i,-0.0092569+0.0076983i,-0.0074137-0.01564i,-0.0090678-0.0085775i,-0.00043446+0.022652i,-0.010391+0.013467i,-0.0025378+0.0091626i
-0.0029628+0.024549i,-0.01287+0.05261i,0.0022735+0.040916i,0.0048641+0.032189i,0.010674+0.02981i,0.03615+0.0038717i,0.020298+0.0055169i,0.02253+0.019517i,0.0038121+0.018204i,2.7302e-05+0.0039297i,0.0012293+0.0068844i,0.0014498+0.0082096i,0.0021621+0.0065768i,0.00085359+0.0063131i,0.0050612-0.00043316i,0.0076369+0.0068282i,0.01065+0.0065553i,0.0011595-0.0016509i,-0.0031144-0.0029465i,-0.003181+0.00070203i,-0.0025113+0.00027037i,-0.0037816-0.0010125i,-0.0029218-0.0010778i,-0.0043176+0.0082463i,-0.00042676+0.0023077i,0.00090794+0.0022889i,-0.00037105+0.0019091i,-0.00065326+0.0010264i,0.0001914+0.0016056i,-0.00096132+0.00066736i,0.0033268-0.003732i,0.00034506-0.00082114i,-0.0012873-0.00095957i,-0.00016745-0.00099107i,0.0020193-0.0010454i,-0.01056-0.001565i,0.00066976+0.0013283i,0.00093248+0.001379i,-0.001833-0.0011499i,0.0016876-0.0024777i,-0.0017832-0.00028593i,-0.0015753-0.0010187i,0.0024378+0.0022091i,0.00073098+0.0067748i,-0.0267+0.02473i,-0.077476-0.018075i,-0.058701+0.021524i,-0.068052+0.042704i,-0.066651+0.060513i,-0.034408+0.034716i,-0.010354+0.051679i,-0.0029013+0.015361i,-0.046618-0.0017839i,-0.060565-0.0077811i,-0.015673+0.021896i,-0.005531-0.0030438i,0.0034747-0.0095026i,-0.004202-0.011019i,-0.0050387+0.0039544i,-0.00086785+0.017067i,0.0004764+0.0027603i,0.0043089-0.0051083i,0.0051872-0.0017279i,0.011442-0.011016i,0.0064933+0.0010085i,0.0035954+0.0010731i,-0.0074282-1.0031e-05i,0.0052312+0.0055334i,0.0043139+0.0056141i,0.0070736+0.0041383i,-0.00080012+0.0011207i,0.0019205-0.0039874i,0.0075411-0.0075665i,-0.00040264+0.00079858i,-0.025388-0.0026596i,-0.00016185-0.0062596i,-0.0017743-0.0025155i,0.0046344-0.0013837i,0.0019191-0.00071715i,-0.0021725-0.013274i,0.00090126-0.0017346i,0.0040527+0.0057147i,0.0033036+0.00035236i,0.0032336-0.0034843i,-0.0076529-0.0027579i,-0.0078279-0.0017385i,-0.0028229-0.003931i,-0.0065087-0.0045806i,-0.012404-0.013483i,-0.063565+0.035546i,-0.0085866+0.0063098i,-0.0083332-0.017897i,-0.011604-0.0063544i,0.0007732+0.021438i,-0.009682+0.014794i,-0.0012628+0.0088944i
0.00052607+0.024157i,-0.0035345+0.054034i,0.010028+0.041563i,0.0088476+0.030655i,0.014028+0.029576i,0.035453-0.0023894i,0.020595+0.0002308i,0.025383+0.015226i,0.0068211+0.016436i,0.00081008+0.003903i,0.0038249+0.0055024i,0.0036929+0.0062827i,0.0039376+0.0059089i,0.0026205+0.0059018i,0.0046632-0.001615i,0.008833+0.0038947i,0.011195+0.0028836i,-0.00010778-0.0023049i,-0.0041171-0.0017124i,-0.0020184+0.0015764i,-0.0015597+0.00056285i,-0.0034004+2.0545e-05i,-0.0030374-0.00019086i,-0.0012284+0.0086212i,0.00039128+0.0024599i,0.0016947+0.0016494i,0.00042456+0.0020479i,-0.00032082+0.0016258i,0.00081158+0.0011358i,-0.00056855+0.00075707i,0.0010671-0.0042106i,-0.0002062-0.0010285i,-0.0016023-0.00018627i,-0.00060112-0.00089577i,0.0012035-0.0016195i,-0.010375+0.0019377i,0.00085864+0.0010964i,0.0014274+0.00093607i,-0.0023674+0.0001347i,0.001357-0.0026949i,-0.0016302-2.1061e-05i,-0.0015515-0.00076069i,0.0021361+0.0014125i,0.0028114+0.0071074i,-0.022703+0.028098i,-0.085361-0.0048346i,-0.054629+0.027064i,-0.056521+0.051291i,-0.051714+0.068077i,-0.029392+0.041062i,-0.001195+0.04703i,0.0017011+0.012345i,-0.045094+0.0046644i,-0.058348+0.0019081i,-0.01103+0.024411i,-0.0071972-0.0018013i,-0.0021228-0.0090225i,-0.0084785-0.0095622i,-0.0010814+0.0054358i,0.0025197+0.014731i,-0.00064823+0.0029737i,0.0020215-0.0072918i,0.0053224-0.0012239i,0.0045182-0.013634i,0.0069344-0.0025927i,0.0048843+0.00013356i,-0.0074501+0.0038374i,0.0086412+0.0045269i,0.0075691+0.0038745i,0.0092461+0.00094015i,0.00048557+0.0018329i,0.0012095-0.0043115i,-0.00013744-0.008946i,0.0010959+0.0022731i,-0.027131+0.0067289i,-0.0013922-0.0064688i,-0.0013426-0.00048331i,0.0057868-0.0048003i,0.001936-0.00068263i,-0.0079609-0.012678i,-0.00015054-0.0014064i,0.0056833+0.0034066i,0.0034135-0.00033118i,0.0022785-0.0045064i,-0.0072568+0.0018143i,-0.0068225+0.0025403i,-0.0049204-0.0012153i,-0.0085822-0.0037556i,-0.014658-0.0083443i,-0.057749+0.041378i,-0.0086144+0.0089474i,-0.012495-0.02139i,-0.010718-0.0036053i,0.003162+0.02135i,-0.0087039+0.018135i,0.0014295+0.0067933i
0.004288+0.022962i,0.0056794+0.053104i,0.018047+0.038935i,0.012988+0.028777i,0.018707+0.028447i,0.03399-0.0082788i,0.019438-0.0047341i,0.027095+0.010221i,0.0090896+0.014667i,0.0014163+0.0039835i,0.0047009+0.0037563i,0.0043242+0.004437i,0.0054627+0.0045233i,0.0040955+0.0047257i,0.0038334-0.0026251i,0.0086905+0.0012296i,0.011382-0.00012197i,-0.0010183-0.0018462i,-0.0039794-0.00019579i,-0.00068079+0.0016561i,-0.00082968+0.00024679i,-0.0029359+0.00059922i,-0.0025544+0.00061586i,0.0013542+0.008445i,0.001532+0.0019918i,0.0020718+0.0011468i,0.0011602+0.0016623i,0.00042148+0.0017409i,0.00088424+0.00045489i,-0.00045136+0.00081559i,-0.0010529-0.0038577i,-0.0007746-0.00077135i,-0.0014019+0.00040798i,-0.00099732-0.00058809i,0.00029425-0.0018365i,-0.0090049+0.0056367i,0.0010591+0.00066017i,0.0016657+0.00012547i,-0.0021353+0.0014453i,0.00069603-0.0032659i,-0.0014695+0.00026367i,-0.0016947-0.00096115i,0.0018366+0.0010627i,0.0050215+0.0065785i,-0.018009+0.030836i,-0.087036+0.014928i,-0.052201+0.030904i,-0.045987+0.055784i,-0.034564+0.072926i,-0.021225+0.047353i,0.0052677+0.04002i,0.0042265+0.0053237i,-0.040072+0.010203i,-0.053343+0.012169i,-0.0038792+0.025244i,-0.0085159+0.00065379i,-0.0077103-0.0062057i,-0.011518-0.006241i,0.001904+0.0037802i,0.0050459+0.012511i,-0.0022687+0.0046122i,-0.0011289-0.0095966i,0.0063684-0.0033692i,-0.0020284-0.011944i,0.0045659-0.0051088i,0.0053988-0.002215i,-0.0059372+0.007247i,0.011124+0.00029571i,0.0088369-0.0010048i,0.0084798-0.0043824i,0.0024958+0.001219i,0.00013553-0.0046167i,-0.0039713-0.0052493i,0.0031905+0.0011206i,-0.038733+0.011862i,-0.0019693-0.0052003i,0.00034161+0.00051468i,0.002068-0.0066731i,0.0021499-0.00088661i,-0.012888-0.0087213i,-0.00021597-0.00017251i,0.0063072+0.00029639i,0.0027623-0.0014103i,0.0013148-0.0046785i,-0.004572+0.0048498i,-0.0039848+0.0052403i,-0.0045986+0.0022744i,-0.01088-0.0016505i,-0.015005-0.0040794i,-0.050874+0.048915i,-0.0023132+0.011335i,-0.02042-0.021311i,-0.0089577-0.0040283i,0.0051925+0.020687i,-0.0050818+0.021742i,0.0020975+0.0028499i
