-0.023769-0.018814i,-0.032413-0.033091i,-0.022485-0.01953i,-0.03254-0.019984i,-0.024+0.0041834i,-0.028946-0.017647i,-0.057964-0.044053i,-0.041049-0.041971i,-0.030971-0.023087i,0.0053803+0.0057885i,-0.0033929+0.0062146i,-0.010936+0.011015i,0.0039008+0.0068387i,-0.0038644-0.002705i,0.0029484+0.001626i,0.0044924+0.027907i,0.026527+0.031913i,2.6236e-05+0.00024178i,-0.0029652-0.0029461i,0.0074888+0.0039051i,0.0019698+0.00061764i,-3.9677e-05+0.0026575i,-0.00048012+0.00031312i,-0.032368-0.00031177i,-0.0032768-0.0048931i,3.8002e-05+0.0025169i,0.0039386-0.001188i,0.00081519-0.00026573i,-0.00050132-0.00059593i,-0.0010856-0.001852i,-0.0022445-0.00060382i,-0.0039057-0.0037754i,-0.0028225-0.0051909i,0.00033888-0.0012241i,0.00064786-0.0030609i,-0.0014175+0.025513i,0.0020697-0.0030575i,0.0022721-0.0039884i,0.0044167-0.0021752i,-0.0064622-0.0016783i,0.00090359+0.0012553i,0.010256-0.00040778i,-0.0017398-0.00041566i,-0.0032146+0.0016115i,-0.00866-0.0024691i,-0.018848+0.021458i,-0.0078842-0.086493i,-0.0021727-0.061093i,-0.021454-0.054024i,-0.011143-0.045744i,0.054557-0.026293i,0.024437-0.067828i,0.041411-0.053767i,0.018466-0.038755i,0.026134-0.019762i,0.012267+0.011839i,0.025623-0.029466i,-0.01123-0.0013818i,-0.0010229-0.0010212i,-0.007454-0.0018057i,-0.0050558-0.029222i,-0.020212+0.026634i,0.0075704-0.0096702i,-0.010722-0.0033521i,-0.0025337-0.0019145i,-0.00065116-0.014726i,-0.0080838+0.0048695i,0.0051877+0.010682i,-0.0099103+0.031077i,0.0064178+0.0076491i,-0.0034374-0.0015272i,-0.0023624-0.0016156i,-0.013255-0.0058172i,0.00053493-0.0041099i,-0.032894+0.0030784i,0.003202-0.0085275i,-0.0072156-0.0018698i,-0.0051787-0.0030578i,0.007106+0.0017169i,-0.010495+0.00078891i,0.0026289-6.34e-05i,0.0060736+0.0077713i,0.005799+0.00082811i,-0.0081163-0.0099555i,0.002552+0.0079865i,-0.019653+0.0076174i,0.0032008+0.0058165i,-0.02134-0.0091814i,-0.027538-0.0050019i,0.0099253-0.061704i,0.018475-0.014318i,-0.051173-0.028947i,-0.023351+0.0029405i,0.01898+0.010807i,-0.027197+0.011784i,-0.013087-0.0080629i
-0.0083987+0.014067i,-0.014269+0.042083i,0.010616+0.03415i,-0.0054421+0.025759i,0.0028055+0.018755i,0.0062305+0.02187i,-0.023739+0.019325i,-0.018178+0.03524i,0.0045438+0.012488i,-0.0016898-0.00048109i,-0.00016714+0.0028333i,0.0049271+0.0011026i,0.0041775+0.0030903i,-0.0015314+0.0029552i,-0.0022203+0.00473i,-0.0036031-0.0057291i,-0.0097551+0.0029563i,-0.0015946+0.00089538i,0.00077342-0.00095486i,-0.00049386-1.9544e-05i,-0.00018086-0.0031541i,0.0010447-0.0021964i,0.00081173-0.0013517i,-0.011054-0.0047946i,-1.0439e-05-0.00028844i,-0.0014904+0.00069415i,-0.0016256+0.00089804i,-0.0023098+0.00064242i,-0.0010417-0.00076607i,0.00096716-0.00088906i,-0.0015789+0.0011882i,0.0010943-0.00036289i,0.001175-0.0014022i,0.00025928+0.00045386i,-0.0010002+0.0014328i,-0.00022082-0.0056608i,-0.00084226+0.0010014i,0.00095641-0.00048244i,0.00072554+0.0026786i,0.00565+0.0031945i,0.00049996-0.0019732i,-0.0024488-0.00069759i,-0.0029506-0.00068187i,0.0044331+0.0043355i,-0.006108+0.0059902i,0.0017648-0.067444i,-0.064834+0.029274i,-0.034601-0.021147i,-0.074547-0.038852i,-0.053587-0.005802i,-0.076897+0.0208i,-0.070683+0.016427i,-0.039692-0.031224i,-0.013936-0.044608i,-0.045054-0.011333i,-0.0069332+0.00039649i,-0.024698+0.023007i,0.0096972+0.0059181i,0.011545+0.00077696i,-0.0024888-0.012119i,0.0077332+0.002689i,-0.01154+0.0026673i,0.0076581+0.0095898i,0.0037353+0.0076523i,-0.00067101-0.0010643i,0.0064911+0.0020781i,0.0048069-4.5413e-05i,0.0043832+0.016352i,0.0046043+0.0053056i,-0.0032895-0.0055492i,0.0022528-0.0068433i,0.0030493+0.0049724i,-0.010837-2.3168e-05i,-0.0023694+0.0018798i,0.0069918-0.031919i,0.0082352+0.0073663i,0.0042487+0.0021809i,0.0018228+0.0030752i,-0.00030167-0.0016546i,0.017133-0.0064324i,-0.00032962-0.0024942i,-0.0060283-0.0040356i,-0.0030882-0.00092064i,0.010398+0.00029347i,0.0044944-0.00051737i,0.00030244-0.0061683i,0.0060404+0.0036494i,-0.0052089+0.0052924i,0.01375+0.0015223i,-0.050092-0.031253i,-0.0067039-0.0056142i,-0.002554-0.0022996i,0.0016949+0.0014303i,-0.034392+0.023779i,-0.0047204+0.0093568i,-0.010233+0.005235i
-0.005362+0.014077i,-0.007923+0.042614i,0.015503+0.026533i,-0.0006019+0.024597i,0.0063974+0.017576i,0.010163+0.019323i,-0.020782+0.023459i,-0.011035+0.034785i,0.0042414+0.0078632i,-0.0017106+0.00065221i,0.0017123+0.0032101i,0.0023571-0.00030225i,0.0043819+0.0017596i,-0.0007402+0.0029968i,-0.00085612+0.0055879i,-0.0069378-0.0017021i,-0.0079065+0.0076809i,-0.00080131+0.0014249i,0.0014818-0.0018291i,0.00015056-0.00035626i,-0.0010559-0.0029438i,0.00094779-0.002876i,0.00081095-0.0015435i,-0.01195-0.0017461i,-0.00013566-0.00025924i,-0.0010069+0.001448i,-0.00097096+0.00069723i,-0.0015102+0.0014857i,-0.0012792-0.00067255i,0.00050632-0.0014641i,-0.00080014+0.0017248i,0.00071755-0.00057079i,0.00031536-0.0014081i,0.00046401+0.00022076i,-0.00065856+0.0024146i,0.00021321-0.0061812i,-0.00076022+0.00094003i,0.00028037-0.00074941i,0.0024235+0.0013972i,0.0053765+0.0010084i,-0.00016675-0.0018854i,-0.0017832+0.00034081i,-0.0034509+0.00049662i,0.0053314+0.0026092i,-0.0054051+0.0046215i,-0.02037-0.067965i,-0.050998+0.038277i,-0.043317-0.017843i,-0.082083-0.02365i,-0.049121+0.0031314i,-0.062505+0.031658i,-0.057741+0.029052i,-0.042345-0.03419i,-0.019757-0.043795i,-0.044152+0.0035141i,-0.0071612+0.0015574i,-0.012595+0.029212i,0.010181+0.0015029i,0.0081495-0.0049125i,-0.013388-0.012282i,0.0074588+0.00050234i,-0.0079701+0.0066293i,0.010313+0.0044053i,0.0061381+0.0068669i,-0.0029359+0.00036873i,0.0066137-0.0015793i,0.0058359-0.0024442i,0.0079194+0.010157i,0.0041185+0.0013915i,-0.0083286-0.0022852i,-0.00015963-0.0049509i,0.0059503+0.0039274i,-0.0064619+0.0087677i,0.00016991+0.0029347i,-0.0037409-0.028291i,0.011765+0.0034409i,0.0042537+7.2335e-05i,0.0021363+0.00096025i,0.00052083+0.00025358i,0.01117-0.010918i,-0.0024721+0.00046689i,-0.0071863-0.00046972i,-0.0036287+0.0024508i,0.0069768-0.002234i,0.0073678-0.0017839i,5.6736e-05-0.0058013i,0.0090088+0.0010377i,-0.0020705+0.0064556i,0.01214-0.0028658i,-0.054849-0.02052i,-0.012286-0.014332i,-0.0012412-0.0037525i,0.0037126-0.0018953i,-0.023544+0.029609i,-0.0038178+0.0055079i,-0.0072878+0.00068271i
-0.0026229+0.013021i,-0.00078557+0.042707i,0.017469+0.019418i,0.004204+0.023217i,0.010469+0.014073i,0.013425+0.015829i,-0.016307+0.026987i,-0.005738+0.032508i,0.0034619+0.006039i,-0.0010957+0.0016622i,0.0028662+0.0020427i,0.001244+0.0014235i,0.0041474+0.00063275i,-0.00055992+0.0036487i,0.00064629+0.0057178i,-0.0068979+0.0038988i,-0.0032461+0.010852i,3.3926e-05+0.0012727i,0.00056026-0.0024235i,-6.4751e-05-0.0010014i,-0.0018092-0.0024297i,0.00028127-0.0030918i,0.00058399-0.0021434i,-0.011821+0.0021678i,-8.9881e-05-0.00035887i,0.00010399+0.0011316i,-0.00085941+0.00040504i,-0.00040846+0.0014383i,-0.0016137+1.7119e-05i,-0.00032963-0.0013505i,1.1358e-05+0.0017662i,0.00024274-0.00063511i,-0.00056117-0.0010508i,0.00040967+7.7385e-05i,0.00071684+0.0022647i,-0.0008045-0.008029i,-0.00022138+0.0013162i,-0.00038589-0.00051568i,0.0018617-0.00055147i,0.0049659-0.00053718i,-0.0005523-0.0017923i,-0.001116+0.00029614i,-0.0033307+0.0019385i,0.0044638+0.00029585i,-0.0054714+0.0042938i,-0.039421-0.056537i,-0.037448+0.040561i,-0.049701-0.010508i,-0.085719-0.0080519i,-0.042797+0.008511i,-0.04987+0.035533i,-0.044285+0.031305i,-0.047334-0.030524i,-0.02575-0.039131i,-0.039609+0.014899i,-0.0075286+0.0029735i,-0.00078203+0.029392i,0.0092366-0.0030559i,0.0029185-0.0064462i,-0.021437-0.0036843i,0.0045173-0.00037283i,-0.0038301+0.0076888i,0.008911-0.0011882i,0.0085383+0.0055887i,-0.0027591+0.0032335i,0.0034122-0.0026059i,0.0052122-0.0061792i,0.0075453+0.003942i,0.0012858-0.000263i,-0.0086969+0.0016835i,-0.0016859-0.0035849i,0.0072278+0.0014064i,0.0027513+0.0097183i,0.0018513+0.0018016i,-0.0098462-0.022133i,0.011866-0.0010556i,0.0037174-0.0012992i,0.002714+0.0013867i,0.00092567-5.8427e-05i,0.0059209-0.011124i,8.2081e-05+0.0027178i,-0.0066026+0.0028292i,-0.00084914+0.0046497i,0.0050024-0.0019289i,0.0067423-0.0061533i,-0.0023173-0.0052737i,0.0084606-0.0044588i,-0.00010796+0.0051525i,0.010088-0.0069848i,-0.053239-0.0081962i,-0.02292-0.015754i,-0.0024015-0.0080537i,0.0030341-0.0067864i,-0.015063+0.029886i,-0.0069256+0.0048214i,-0.010613-0.00066426i
-0.00097634+0.011745i,0.0057238+0.040939i,0.016924+0.01391i,0.0086303+0.020424i,0.01281+0.0095116i,0.015207+0.011996i,-0.010702+0.028803i,-0.0020582+0.030419i,0.0037071+0.0051244i,0.00014634+0.0021236i,0.0030631+0.0010654i,0.002083+0.002423i,0.0038862-0.00035855i,0.0010562+0.0044938i,0.0021904+0.0054556i,-0.0039506+0.0076362i,0.0018084+0.011167i,0.0004975+0.0010413i,0.00019169-0.0022085i,-0.00059659-0.0011459i,-0.0026269-0.0017251i,-0.00050118-0.0029561i,-0.00031134-0.0024169i,-0.009381+0.0052538i,-0.00046283-0.00068629i,0.0001164+0.00028698i,-0.00082476+0.00035028i,0.00013479+0.00085281i,-0.0013336+0.00084557i,-0.00041492-0.00078757i,0.00056586+0.0015163i,2.9805e-05-0.00091696i,-0.0009789-0.00047583i,0.00020291-2.6355e-05i,0.0011244+0.0014873i,-0.0035309-0.0088776i,9.1081e-05+0.0012164i,-0.00039625+0.00022872i,0.00057122-0.00088507i,0.004109-0.0013474i,-0.0009981-0.0016842i,-0.00091502+0.00032228i,-0.0021171+0.00314i,0.0031408+0.00074641i,-0.0049217+0.0049457i,-0.046737-0.039704i,-0.027448+0.038421i,-0.054453-0.0010824i,-0.086722+0.0087229i,-0.038377+0.0093755i,-0.039157+0.036894i,-0.035097+0.030884i,-0.050515-0.026006i,-0.02832-0.03512i,-0.032335+0.025226i,-0.0069588+0.004725i,0.012103+0.024899i,0.0070578-0.0055923i,-0.0016225-0.0053243i,-0.022988+0.0062626i,0.0033183+0.00024112i,-9.7275e-05+0.0083982i,0.0041628-0.0032875i,0.010473+0.0026717i,-0.001178+0.0050835i,0.0013626-0.00131i,0.0026214-0.0088038i,0.0040079+0.002607i,-0.00080452+0.0011409i,-0.0083452+0.0071768i,-0.0027835-0.0013352i,0.0071536-0.0014451i,0.0070081+0.0053236i,0.0023879+0.00072735i,-0.012721-0.019392i,0.0099685-0.0054852i,0.0026566-0.0022984i,0.0047728+0.00049784i,0.00099065+5.8351e-05i,0.003084-0.0097289i,0.002044+0.0018003i,-0.0039196+0.0059189i,0.002527+0.004252i,0.004649-0.0020508i,0.0029989-0.010561i,-0.0029038-0.003487i,0.0042956-0.0079273i,3.66e-06+0.0038885i,0.0052906-0.010675i,-0.047233-0.0016449i,-0.03355-0.0073365i,-0.0056832-0.0096983i,-5.7622e-05-0.010563i,-0.0084312+0.029301i,-0.0098144+0.0072601i,-0.01207+0.0019349i
0.00033558+0.010754i,0.011587+0.038817i,0.016162+0.011053i,0.011895+0.016479i,0.012906+0.0047173i,0.016445+0.0087197i,-0.0046499+0.028713i,0.00073663+0.028961i,0.0040678+0.0029958i,0.0008532+0.0014548i,0.0025761+0.00026442i,0.0031362+0.0024371i,0.0032896-0.001172i,0.0027599+0.0036207i,0.0034081+0.0046359i,-0.00010877+0.0091284i,0.0063286+0.0091248i,0.0009157+0.00078271i,-0.00041479-0.0023958i,-0.0012196-0.0010235i,-0.0026629-0.00047448i,-0.00098165-0.002675i,-0.0010012-0.0020287i,-0.0072981+0.0061286i,-0.00094994-0.00034936i,-0.00018869+5.1345e-05i,-0.00091849+0.00036598i,0.00031116+0.00023234i,-0.00053079+0.0011754i,-0.00034177-0.00060465i,0.0010741+0.0012549i,-0.00050905-0.0010097i,-0.0010548+1.3993e-05i,-5.3021e-05-0.00014234i,0.0013035+0.0014299i,-0.0066092-0.0083026i,0.0001773+0.00079011i,5.8863e-05+0.00037154i,-0.00010772-0.00075588i,0.0032841-0.0019034i,-0.001413-0.0010756i,-0.0009331+0.00037291i,-0.00056386+0.0034145i,0.003409+0.0014695i,-0.0038598+0.0056785i,-0.045411-0.027781i,-0.020425+0.036125i,-0.055231+0.012184i,-0.08168+0.028551i,-0.039253+0.010166i,-0.03054+0.035852i,-0.027294+0.029778i,-0.052076-0.01925i,-0.0317-0.03165i,-0.023045+0.029999i,-0.0064117+0.006751i,0.01876+0.010991i,0.0049263-0.0081198i,-0.0047006-0.0018661i,-0.018439+0.01608i,0.0033708-0.00030217i,0.0041911+0.0065534i,0.0014321-0.0014533i,0.011604-0.0019325i,0.00079906+0.0063577i,0.0010253-0.00027237i,-0.0026631-0.010353i,0.0026561+0.0045206i,-0.00063645+0.003532i,-0.0024991+0.011887i,-0.0015424+0.00072474i,0.0058753-0.0032363i,0.0081943+0.0011954i,0.0030801-0.00084638i,-0.018491-0.017903i,0.005963-0.0077711i,0.00099011-0.0028923i,0.0040027-0.0016598i,0.0011805+0.00079946i,0.0020782-0.0079231i,0.0028183+0.00028229i,-0.00048675+0.0065494i,0.0038344+0.0015291i,0.0038733-0.0029553i,-0.0034501-0.010298i,-0.0031869-0.0032054i,0.00011527-0.0077335i,0.00068449+0.0028264i,-0.0010026-0.010582i,-0.044056+0.0026486i,-0.030892+0.0075662i,-0.0092361-0.0098637i,-0.0045719-0.011712i,-0.0036992+0.027883i,-0.0082635+0.012226i,-0.0091104+0.0038024i
0.0015146+0.0098165i,0.017406+0.036346i,0.016367+0.0088572i,0.013424+0.012136i,0.011466+0.0014132i,0.017437+0.0052561i,0.00067866+0.027327i,0.0035365+0.028272i,0.0036767+0.0016343i,0.00087989+0.0011242i,0.0021485+0.00038072i,0.0045431+0.0021831i,0.0024069-0.0016487i,0.0035084+0.0019472i,0.0041583+0.0036621i,0.003383+0.0088038i,0.0091328+0.0055382i,0.0012329+0.00054519i,-0.0010666-0.0023869i,-0.0016146-0.0003918i,-0.0021267+0.00036115i,-0.0015261-0.0024837i,-0.0013973-0.0015276i,-0.0061209+0.0077575i,-0.00095302+5.9263e-06i,-0.00052488+0.00030618i,-0.0010089+0.00079156i,-0.00022052-0.00016999i,-0.00014784+0.00084325i,-0.00042303-0.00063208i,0.0015184+0.00074273i,-0.00055632-0.000423i,-0.00057723+0.00019848i,-0.00014995-5.8525e-05i,0.001856+0.0005635i,-0.0095134-0.0067834i,0.00029627+0.00071763i,8.9674e-05-2.6074e-05i,-0.00050558-0.00048354i,0.0025025-0.0023558i,-0.001324-0.0004492i,-0.00058462+0.00057994i,0.00045107+0.0026598i,0.0039877+0.00083199i,-0.0022649+0.005742i,-0.044074-0.023086i,-0.015268+0.034641i,-0.049614+0.024537i,-0.070359+0.044969i,-0.039546+0.015716i,-0.023829+0.035259i,-0.022148+0.027311i,-0.052429-0.013539i,-0.033891-0.026559i,-0.0152+0.032524i,-0.0036543+0.0073434i,0.013359-0.0019027i,0.001219-0.010572i,-0.0048136+0.0012373i,-0.010848+0.020316i,0.0022558-0.001377i,0.0057663+0.0027261i,0.0019794-0.00030799i,0.0096849-0.0054262i,0.0047062+0.0063705i,0.0012415+0.0013699i,-0.0078551-0.0052485i,0.0041576+0.0057593i,0.0009024+0.0051397i,0.0034737+0.011385i,-0.00080607+0.0010534i,0.0045091-0.0045884i,0.0082239-0.0041147i,0.0013161-0.0015843i,-0.025059-0.011335i,0.0029622-0.0080312i,-0.00038242-0.0018273i,0.0042605-0.00071711i,0.0017691+0.00043464i,0.0025248-0.0090151i,0.0022008-0.0013655i,0.0019013+0.0049848i,0.0033349+0.00058317i,0.003502-0.0025089i,-0.0068487-0.0064527i,-0.0047242-0.0024743i,-0.0032324-0.0062108i,0.00050474+0.0016886i,-0.0047588-0.0075139i,-0.040646+0.007449i,-0.024554+0.010059i,-0.0093878-0.0088515i,-0.0080899-0.010496i,0.0012578+0.024694i,-0.0062508+0.012927i,-0.0081514+0.0032756i
0.0025496+0.0087596i,0.02312+0.03307i,0.017149+0.0069323i,0.01369+0.0086485i,0.0095605-0.00057238i,0.01761+0.0017915i,0.0053811+0.025042i,0.0069954+0.027789i,0.0033648+0.00032808i,0.00097121+0.00093875i,0.0025267+0.00058088i,0.0058805+0.00036559i,0.0016223-0.001706i,0.0029372+0.00090195i,0.0048434+0.0027734i,0.0063924+0.0067974i,0.009885+0.0020966i,0.0016011-0.00010435i,-0.0017133-0.0021513i,-0.0015043+0.00053184i,-0.0014194+0.00088771i,-0.0020718-0.0016985i,-0.0015595-0.0011167i,-0.0031742+0.0091941i,-0.00093185+0.00033346i,-0.00032824+0.00067635i,-0.00073829+0.0013395i,-0.00084823+7.0569e-05i,-3.9184e-05+0.00074766i,-0.00055587-0.00055505i,0.0015812+5.6961e-05i,-0.00026124-0.00052093i,-0.00060197+0.00016663i,-0.00017654+3.4135e-05i,0.0016396-0.0002466i,-0.011869-0.0035791i,0.00034469+0.00071244i,-0.00011366-4.92e-05i,-0.0009621-0.00017517i,0.0019129-0.0024767i,-0.00098906-0.00025193i,-0.00027022+0.00052574i,0.00071921+0.0020036i,0.0040509+0.00018988i,-0.00095354+0.0047865i,-0.046728-0.019268i,-0.011166+0.032975i,-0.042048+0.033797i,-0.055304+0.055313i,-0.038369+0.021353i,-0.016925+0.033625i,-0.018333+0.026343i,-0.052157-0.0079251i,-0.034642-0.020838i,-0.0070179+0.033822i,-0.0018656+0.0067978i,0.0057508-0.0043667i,-0.0032201-0.010992i,-0.0031731+0.0045176i,-0.0033629+0.020335i,0.00029652-0.0020889i,0.0049961-0.00104i,0.0016211-3.9325e-05i,0.0069181-0.0088172i,0.007978+0.0036661i,0.0026365+0.0017071i,-0.0083948-0.001178i,0.0063857+0.0061762i,0.003457+0.0059161i,0.0088684+0.0088973i,-0.00035987+0.0015582i,0.0037088-0.0054197i,0.0050591-0.008047i,0.00069926-0.00030097i,-0.028667-0.0017274i,0.00095876-0.0080114i,-0.00040465-0.00046495i,0.0050137-0.000894i,0.0021388+2.5877e-05i,0.00096178-0.011553i,0.00053115-0.0017829i,0.0035225+0.0038892i,0.003385-0.00027776i,0.0045026-0.0033715i,-0.0081946-0.0034793i,-0.0062727+7.1362e-05i,-0.0062932-0.0040474i,0.00022801+0.00069936i,-0.0062113-0.0045724i,-0.037094+0.010847i,-0.022251+0.011376i,-0.0090013-0.010383i,-0.010498-0.0087258i,0.0019336+0.02226i,-0.0058782+0.012937i,-0.0070387+0.0032684i
0.0036547+0.0078346i,0.02916+0.028449i,0.018942+0.0043916i,0.013462+0.0059631i,0.0083475-0.0010748i,0.017263-0.0013991i,0.0091249+0.021512i,0.01145+0.026488i,0.002852-0.00092202i,0.0010047+0.00065464i,0.0029622-0.00014091i,0.0053292-0.0023462i,0.0010908-0.0015222i,0.0027291+0.00040208i,0.005473+0.0015492i,0.0074672+0.0038162i,0.0092694-0.001169i,0.0011323-0.0009005i,-0.0024992-0.0015092i,-0.00077843+0.00099678i,-0.0005027+0.0008442i,-0.002117-0.0011717i,-0.0017594-0.00066321i,0.00019952+0.0090438i,-0.00065831+0.00060349i,-5.5603e-05+0.00067909i,-0.00010388+0.0015444i,-0.00088979+0.00066067i,0.00027427+0.000429i,-0.00062513-0.00048204i,0.0013264-0.00053103i,-0.00068369-0.00058135i,-0.00055431+0.00038576i,-0.00025217+6.6494e-05i,0.0010872-0.00076651i,-0.012383+0.00068094i,0.00036918+0.00064318i,-0.0001047+1.6278e-05i,-0.0011827+0.00030927i,0.0012951-0.0026263i,-0.00097064-0.0002069i,-5.7402e-05+0.00028729i,0.00073515+0.001634i,0.0040194-0.00039881i,-0.00048368+0.0039712i,-0.051626-0.012234i,-0.0072505+0.031154i,-0.031036+0.039468i,-0.040594+0.061771i,-0.035972+0.029373i,-0.010477+0.030174i,-0.012009+0.024885i,-0.050853-0.0017243i,-0.03333-0.014893i,0.00038302+0.033445i,-0.0011504+0.0059596i,0.00070803-0.0050602i,-0.0081671-0.0098733i,0.00067759+0.0053457i,0.0015834+0.018239i,-0.0024534-0.001408i,0.0030318-0.0041853i,0.0027296+0.0017396i,0.0021721-0.010626i,0.0091045-0.0010645i,0.0037369+0.0010864i,-0.0085596+0.0032394i,0.0099086+0.0051049i,0.0074161+0.0044409i,0.012584+0.0033647i,0.00061174+0.0020591i,0.0021206-0.0062543i,-0.00094444-0.0086243i,0.0016752+0.00096249i,-0.028591+0.0090974i,-0.0012425-0.0079319i,0.00040371+0.0006119i,0.0056405-0.0045983i,0.0028042-0.00036601i,-0.0040636-0.013091i,-0.00055017-0.00095399i,0.0044795+0.002143i,0.0031342-0.00076716i,0.0039352-0.0048321i,-0.0082277+0.0006941i,-0.0056372+0.0033369i,-0.0079418-0.00074475i,-0.0011331-0.00031304i,-0.0063727-0.0021955i,-0.033882+0.013483i,-0.020731+0.016266i,-0.011252-0.014032i,-0.010062-0.0066341i,0.0038978+0.021735i,-0.0061746+0.015464i,-0.0053186+0.0015756i
0.0047118+0.0065251i,0.033817+0.022112i,0.020183+0.00018545i,0.013193+0.003748i,0.0080194-0.0013847i,0.016688-0.004332i,0.011402+0.017705i,0.015545+0.023753i,0.001985-0.0018379i,0.00084999+0.00056352i,0.0027671-0.00089628i,0.0032781-0.0037559i,0.00068506-0.0013892i,0.0023292+3.7912e-05i,0.0055496+0.00012367i,0.0068823+0.0015553i,0.007804-0.0035327i,0.00062423-0.0011054i,-0.0026225-0.00056334i,-8.4656e-05+0.00095791i,0.00024887+0.0004088i,-0.0020257-0.00081902i,-0.0016549-0.00023975i,0.0029333+0.0084048i,-0.0003984+0.00058824i,0.00011976+0.00067098i,0.00048616+0.001276i,-0.00048905+0.0011374i,0.00020769-4.075e-05i,-0.00091148-0.0003536i,0.00090443-0.00085937i,-0.0010175-0.00011756i,-0.0002899+0.0007148i,-0.00025194+0.00023353i,0.0004745-0.00099543i,-0.011149+0.0041835i,0.00043266+0.00041875i,-0.00019675-6.3476e-05i,-0.0010299+0.00096619i,0.00062668-0.0029143i,-0.00092472+6.8874e-05i,-0.00011982-0.0001772i,0.00088821+0.001511i,0.0041137-0.0011965i,-2.9033e-05+0.0034728i,-0.053582-0.00093689i,-0.0049605+0.029535i,-0.021403+0.040519i,-0.024337+0.065987i,-0.029235+0.038275i,-0.0067458+0.024961i,-0.0079029+0.019494i,-0.047133+0.0031411i,-0.03006-0.0093915i,0.0088309+0.030628i,-0.0008298+0.0059601i,-0.0051672-0.0031862i,-0.011914-0.0063289i,0.0033956+0.0032249i,0.0054636+0.016005i,-0.0053353+0.00088142i,-0.00053131-0.0063654i,0.0052649+0.00051916i,-0.0028335-0.0095197i,0.006875-0.0046495i,0.0048593-0.00064637i,-0.0070809+0.0069895i,0.012502+0.00034307i,0.008998-0.00043331i,0.012096-0.0044065i,0.0021051+0.0017322i,-1.0153e-05-0.0064467i,-0.0043179-0.0051372i,0.0032499-0.00026175i,-0.023316+0.021504i,-0.0032623-0.0065288i,0.0018353+0.00083017i,0.0023987-0.0066207i,0.0030088-0.00087394i,-0.0098038-0.010691i,-8.6334e-05+0.00059344i,0.0047932+9.4027e-05i,0.0024953-0.0013728i,0.0026097-0.0055324i,-0.0063117+0.0042723i,-0.0032682+0.0052982i,-0.0076107+0.0036581i,-0.0032521+2.936e-05i,-0.0060133-0.00060788i,-0.029925+0.017479i,-0.012366+0.019808i,-0.017576-0.015007i,-0.0089816-0.0069989i,0.0051905+0.020961i,-0.0033268+0.018862i,-0.0054337-0.0016818i
0.0056769+0.0050924i,0.036997+0.014878i,0.019779-0.0044448i,0.013081+0.0021029i,0.0086208-0.0019152i,0.015873-0.0075586i,0.012548+0.014442i,0.019023+0.020284i,0.0012636-0.0023921i,0.0011932+0.00071062i,0.0023813-0.0012585i,0.0011289-0.0037935i,0.00010796-0.0012307i,0.002124-1.8606e-05i,0.0052149-0.0012092i,0.00606+0.00030296i,0.0055788-0.0050422i,6.2373e-05-0.00099092i,-0.0021495-4.8562e-05i,0.00047674+0.00074636i,0.00014766-0.00019253i,-0.002175-0.00046533i,-0.0015217-5.4745e-05i,0.0062403+0.0075383i,-0.00067229+0.00026005i,0.00033024+0.00078077i,0.00094696+0.00098383i,9.3251e-06+0.001271i,-0.00037738-0.00029444i,-0.0012108-1.6245e-05i,0.00049763-0.0010795i,-0.00060764+0.00039495i,0.00018215+0.00073518i,-8.5356e-06+0.00054076i,-0.00028735-0.00094706i,-0.0087318+0.0069633i,0.00051801+0.00041123i,-0.00047161+6.3182e-05i,-0.00031667+0.0015088i,-0.00027738-0.0028458i,-0.00066135+0.00012082i,-0.00051249-0.00014831i,0.0010379+0.0012248i,0.0034024-0.0022699i,0.00061432+0.0032692i,-0.050149+0.0093169i,-0.0035862+0.029518i,-0.013841+0.040933i,-0.0088438+0.064976i,-0.017058+0.044117i,-0.0056312+0.019586i,-0.0081272+0.014051i,-0.045294+0.0039981i,-0.024353-0.0077671i,0.015074+0.025907i,0.00051714+0.0054143i,-0.0076196+0.0016231i,-0.014045-0.0019856i,0.0039017-0.00027031i,0.007665+0.013144i,-0.0059804+0.006306i,-0.0049051-0.0064864i,0.0058594-0.0028842i,-0.0066654-0.0052569i,0.0038525-0.0068337i,0.0041136-0.0022949i,-0.0024947+0.010165i,0.011395-0.0053594i,0.0063299-0.0048465i,0.0052466-0.0083666i,0.0029414+0.00078319i,-0.0019694-0.0059836i,-0.0035874-0.0012845i,0.0022511-0.0017401i,-0.010377+0.031084i,-0.0040108-0.0053324i,0.0032808+9.9853e-05i,-0.00036501-0.0071856i,0.0032846-0.0017471i,-0.013384-0.0059863i,0.00088699+0.00076825i,0.0041195-0.0016826i,0.00253-0.00090501i,0.001332-0.005613i,-0.0021095+0.0054041i,-0.00034048+0.0057764i,-0.0049891+0.0068285i,-0.0051411+0.0023797i,-0.0057722+0.00010707i,-0.023602+0.019459i,-0.0092339+0.01454i,-0.022191-0.011526i,-0.0084195-0.0096205i,0.0086954+0.02066i,-0.00046705+0.019819i,-0.0091848-0.0037193i
