-0.023391-0.018912i,-0.032307-0.032825i,-0.022295-0.019551i,-0.032531-0.020117i,-0.023995+0.0042893i,-0.02871-0.017567i,-0.058106-0.043723i,-0.04131-0.041172i,-0.030864-0.023754i,0.0050096+0.0056912i,-0.0034868+0.0062432i,-0.011119+0.010991i,0.0039762+0.0069202i,-0.0038243-0.0026928i,0.0027981+0.0016627i,0.00413+0.028382i,0.026263+0.032025i,-2.838e-05+0.00031992i,-0.0028995-0.0029673i,0.0075261+0.0039777i,0.0020435+0.000702i,-5.3411e-05+0.0025923i,-0.00057013+0.00036283i,-0.032622-0.0006753i,-0.003151-0.004767i,3.8153e-05+0.0026125i,0.0040678-0.0011219i,0.00062321-0.00039893i,-0.00047406-0.00058897i,-0.0010153-0.0019048i,-0.0021361-0.00064015i,-0.0037637-0.0037617i,-0.0029683-0.0052353i,0.00030008-0.0012336i,0.00059838-0.0029617i,-0.0014077+0.025281i,0.0021274-0.0030564i,0.0021714-0.0039818i,0.0043161-0.0024203i,-0.0064527-0.0017862i,0.00087776+0.0012512i,0.0099976-0.00043756i,-0.0019762-0.00026364i,-0.0032277+0.0014823i,-0.0088454-0.0024834i,-0.018889+0.021555i,-0.0077601-0.086137i,-0.0025647-0.06094i,-0.021409-0.053591i,-0.010947-0.045743i,0.054128-0.025962i,0.024729-0.067134i,0.04119-0.053464i,0.018584-0.039031i,0.026137-0.019724i,0.012341+0.011805i,0.025549-0.029221i,-0.011389-0.0013097i,-0.00071231-0.00097057i,-0.0072858-0.0016738i,-0.0052398-0.029292i,-0.02086+0.0275i,0.0074831-0.009381i,-0.01043-0.0033868i,-0.0024481-0.0018323i,-0.00066221-0.014491i,-0.0081085+0.0049697i,0.0050917+0.010422i,-0.010536+0.030867i,0.0064773+0.0076186i,-0.0036428-0.0016505i,-0.002437-0.0017698i,-0.012779-0.0057416i,0.00022213-0.0039661i,-0.033252+0.0032611i,0.0030186-0.0087943i,-0.0071712-0.0017545i,-0.0051703-0.0030775i,0.0069368+0.0019114i,-0.01041+0.0008037i,0.0024508-0.000173i,0.0060552+0.0080112i,0.0058398+0.0010257i,-0.0080868-0.0096616i,0.0023827+0.0081315i,-0.019856+0.0075311i,0.0030384+0.005885i,-0.021231-0.0092868i,-0.027582-0.0050411i,0.009961-0.061342i,0.018669-0.014897i,-0.051138-0.028955i,-0.023874+0.0016267i,0.018935+0.010012i,-0.027284+0.012118i,-0.012592-0.008388i
-0.027427-0.014579i,-0.036256-0.022896i,-0.024094-0.01702i,-0.035909-0.015953i,-0.019499+0.0050425i,-0.032892-0.010929i,-0.061123-0.030853i,-0.045534-0.034171i,-0.03236-0.016097i,0.0041411+0.0044572i,-0.0045149+0.0051705i,-0.0047213+0.015111i,0.0066265+0.003017i,-0.0069058+0.00061595i,0.0030417+0.00017234i,0.010351+0.022067i,0.02988+0.017058i,0.0013833+0.0011402i,-0.0032981-0.00012983i,0.0075832+0.00030325i,0.0016664+0.0010125i,-0.00016758+0.0025207i,-0.00044597+0.0008189i,-0.017901+0.014826i,-0.004685-0.0027782i,0.0020059+0.0012659i,0.0026389-0.00042801i,0.00083364+0.00044113i,0.0002299-0.0008454i,-0.0019543-0.0016429i,-0.0012074+0.00020651i,-0.0043318-0.0026621i,-0.0040566-0.0039017i,-0.00030624-0.001309i,0.00020907-0.0016759i,0.0056225+0.022912i,0.0014457-0.0037105i,-0.00021767-0.0040535i,0.0043232-0.0044299i,-0.0037684-0.00082669i,0.0010618+0.0013568i,0.009062-0.0019427i,-0.0022072+0.0016876i,-0.0047262+0.0034126i,-0.0064494-0.0023089i,-0.0045627+0.028001i,-0.023882-0.083912i,-0.019189-0.064625i,-0.017955-0.045455i,-0.012981-0.034338i,0.05483-0.04957i,0.019854-0.087858i,0.042191-0.056017i,0.011782-0.044504i,0.013923-0.015344i,0.012594+0.00067017i,0.012723-0.032237i,-0.0097797+0.0060198i,-0.0025742-0.0081886i,-0.0080685-0.00056561i,-0.026492-0.027287i,-0.0083824+0.024985i,0.0019744-0.011908i,-0.012189-0.00017839i,-0.0022893-0.0012592i,-0.0076115-0.013746i,-0.0085878+0.0086817i,0.010316+0.0095348i,0.0082163+0.029031i,0.0079514+0.0023338i,-0.003391+0.00091366i,-0.004561-0.0012043i,-0.016263+0.0039859i,0.00044321-0.0031366i,-0.036311+0.010452i,-0.0020455-0.0074966i,-0.0069181+0.0018133i,-0.0067728+0.00018291i,0.0052519-0.0039054i,-0.0093655+0.0040928i,0.0022885-0.0020182i,0.0051091+0.0028446i,0.0045389-0.0011868i,-0.01277-0.0011421i,0.0030233+0.0053846i,-0.013651+0.014865i,0.004097+0.0030497i,-0.02122-0.00020675i,-0.029148+0.0031182i,-0.00025227-0.060695i,0.012697-0.022603i,-0.057297-0.013715i,-0.016889-0.0015827i,0.019287+0.0024488i,-0.021059+0.018725i,-0.019731-0.013084i
-0.028802-0.0087616i,-0.037036-0.018863i,-0.026308-0.016474i,-0.038535-0.0095044i,-0.016564+0.0039249i,-0.035179-0.0036468i,-0.066004-0.018042i,-0.051215-0.026822i,-0.033495-0.01093i,0.0038097+0.0036212i,-0.0041807+0.0081216i,0.0022413+0.013489i,0.0059876-0.0012561i,-0.0066738+0.0044366i,0.002684-0.00080694i,0.013507+0.015577i,0.030692+0.007245i,0.0029396+0.00036557i,-0.0019907+0.0015659i,0.0064512-0.0020933i,0.0011123+0.0012038i,0.00082583+0.0035861i,4.1162e-05+0.00098869i,-0.0051028+0.017182i,-0.0045594-0.00063209i,0.0024993-0.00066324i,0.002774-0.00097342i,0.0018756+0.00035988i,-0.00063328-0.0010889i,-0.0023961-0.00081506i,-0.00075069+9.4645e-05i,-0.0050244-0.00099119i,-0.0050281-0.0022072i,-0.00070871-0.0014968i,0.00076735-0.0035292i,0.012084+0.018171i,0.00036718-0.0036073i,-0.0014847-0.0031385i,0.0020404-0.006942i,-0.0038927-0.00070365i,0.0016301+0.0014169i,0.0076484-0.0049952i,-0.00051228+0.0030261i,-0.0037781+0.0054657i,-0.0052003-0.005163i,0.010199+0.026548i,-0.038578-0.077656i,-0.035271-0.05719i,-0.010858-0.047666i,-0.0073134-0.034236i,0.047441-0.07093i,-0.0016514-0.10497i,0.045056-0.065585i,0.0041668-0.043486i,0.010309-0.013503i,0.0099021-0.0043873i,0.0036181-0.034303i,0.0015149+0.0059187i,-0.010394-0.0084624i,-0.0067097-0.0012356i,-0.042021-0.014103i,-0.0013568+0.023435i,-0.0037916-0.011021i,-0.010782+0.0037561i,-0.0040399-0.0011562i,-0.015261-0.010194i,-0.0033568+0.014336i,0.016353+0.0029718i,0.019496+0.018707i,0.0082322-0.00039693i,-0.0028985+0.0007986i,-0.0051416+0.00076581i,-0.011324+0.012708i,-0.0025799-0.0029775i,-0.031486+0.022563i,-0.0036134-0.0046479i,-0.0052065+0.0052212i,-0.0077127+0.0059943i,-0.00064795-0.0060611i,-0.0065959+0.0067102i,0.00046047-0.0031683i,0.0029542+0.0017031i,0.0032026-0.0025053i,-0.0076542+0.0061661i,0.0025475+0.0029412i,-0.0072009+0.016881i,0.0026872+0.00010556i,-0.018107+0.0058304i,-0.025555+0.011426i,-0.0067743-0.058216i,0.0041081-0.023305i,-0.056728+0.00043127i,-0.021464-0.0076173i,0.017362-0.0061102i,-0.010352+0.018981i,-0.023552-0.0089135i
-0.028299-0.0035991i,-0.040242-0.016451i,-0.030868-0.015659i,-0.037841-0.0026953i,-0.015788+0.0014933i,-0.034839+0.0045412i,-0.066733+0.002011i,-0.056153-0.015342i,-0.035201-0.0034594i,0.0042276+0.0031587i,-0.00063793+0.0097704i,0.0052389+0.0090278i,0.0037475-0.0042572i,-0.0045859+0.0083637i,0.0018356-0.001882i,0.0139+0.0079671i,0.030779-0.0048182i,0.0031788-0.0013735i,-0.0013108+0.0030593i,0.0044843-0.0036267i,0.0019605+0.0021754i,0.0027626+0.0033099i,7.8409e-05+0.00096253i,0.0043317+0.018827i,-0.0036998+0.00073466i,0.0014242-0.0020281i,0.0030351-0.0014587i,0.0018213-0.0010272i,-0.00077463-0.00021456i,-0.0028236-6.4981e-05i,-0.00043793+0.00010522i,-0.004929+0.00056293i,-0.0052185-0.00045189i,-0.0013482-0.0013997i,-0.0018787-0.0039738i,0.014492+0.011746i,-0.00064455-0.0036546i,-0.0022176-0.0024343i,-0.0012514-0.0070543i,-0.00341+0.0012383i,0.002276+0.00073564i,0.0044678-0.0069094i,0.0008748+0.0026668i,-0.0015881+0.0058917i,-0.0051753-0.0072368i,0.023348+0.01965i,-0.050513-0.067413i,-0.042972-0.044519i,-0.012851-0.052414i,-0.0072414-0.036802i,0.031432-0.093323i,-0.030505-0.10686i,0.039332-0.084802i,-0.00039273-0.042802i,0.0073631-0.011804i,0.0055972-0.0092634i,-0.0089149-0.032238i,0.0024411-0.0032065i,-0.013347-0.0035178i,-0.0098562-0.0037213i,-0.046906+0.0072797i,0.0086441+0.019147i,-0.0080692-0.0089791i,-0.0082292+0.0055558i,-0.0050521+0.0010486i,-0.020077-0.0020584i,0.0045406+0.012235i,0.017847-0.0053634i,0.024219+0.0079741i,0.0083964-0.0036006i,-0.003317+0.00050735i,-0.0050129+0.0033747i,-0.0055397+0.018555i,-0.0046656+0.00033005i,-0.024823+0.03159i,-0.0042801-0.0031217i,-0.0014327+0.0065866i,-0.0021514+0.010936i,-0.0059089-0.003098i,-0.0026746+0.0065391i,-0.00077858-0.0024463i,0.0021837+0.0018924i,0.00079064-0.0039767i,-0.0018027+0.0050011i,-0.00044062+0.00084381i,-0.0027072+0.018647i,0.00052476+0.00047329i,-0.013302+0.0099734i,-0.020311+0.015113i,-0.011934-0.057202i,0.003781-0.019896i,-0.052566+0.01577i,-0.028589-0.0042805i,0.012963-0.012073i,-0.0019304+0.014035i,-0.023584-0.0031488i
-0.026768+0.0012835i,-0.045525-0.010409i,-0.037923-0.011713i,-0.036526+0.002635i,-0.018304-0.0003419i,-0.032276+0.012059i,-0.052612+0.016487i,-0.054056-0.0035476i,-0.030488+0.0034336i,0.0044511+0.0023759i,0.0025461+0.0077429i,0.0063036+0.0063564i,0.00010617-0.0055013i,0.00073859+0.0097526i,0.00056145-0.00264i,0.010572+0.0043866i,0.021014-0.017435i,0.0022361-0.0027776i,0.0015753+0.0057379i,0.0026551-0.0042594i,0.0034722+0.0025064i,0.0033587+0.001805i,0.00019622+0.0014002i,0.017815+0.011652i,-0.0031534+0.0022176i,0.00044079-0.0024572i,0.0017391-0.0030919i,0.0014578-0.00095328i,-0.00033488+0.00012245i,-0.0029585+0.0015322i,-0.00042297+0.00014992i,-0.0038443+0.002482i,-0.0043433+0.0011685i,-0.0019619-0.00080849i,-0.0029741-0.0024988i,0.015805+0.0085587i,-0.0016985-0.003427i,-0.0031981-0.0015008i,-0.0035593-0.0054231i,-0.0016838+9.622e-05i,0.0020379-8.3416e-05i,0.0015625-0.0058197i,0.0019641+0.0022123i,-0.0009787+0.005471i,-0.0067076-0.011305i,0.033794+0.0061256i,-0.056118-0.054257i,-0.045013-0.032602i,-0.016172-0.056857i,-0.0083454-0.03821i,0.0017368-0.10865i,-0.055067-0.09752i,0.019335-0.097827i,-0.0091351-0.038699i,0.0070987-0.0092438i,-7.8505e-05-0.010988i,-0.018496-0.024249i,-0.0029715-0.0066746i,-0.014659-0.0011006i,-0.016292+2.8522e-05i,-0.040197+0.024621i,0.01251+0.0088224i,-0.012134-0.0045251i,-0.0065509+0.0070726i,-0.0053663+0.0040175i,-0.019102+0.0086249i,0.0048372+0.0071166i,0.015609-0.012826i,0.025311-0.0043453i,0.0062666-0.0076041i,-0.0053919+0.0020899i,-0.0025141+0.0059954i,0.003517+0.019439i,-0.0045681+0.0040542i,-0.016889+0.04061i,-0.005733-0.0030571i,0.0012512+0.0044259i,0.0040896+0.0098715i,-0.0077373+0.0009078i,-0.0019464+0.0033854i,-0.0018755-0.0024771i,0.001765+0.0034296i,-0.0028454-0.0040625i,-0.0012805+0.0012077i,-0.0034235+0.0039019i,0.0046817+0.019263i,-0.00082008+0.00088247i,-0.0065922+0.011634i,-0.016584+0.018255i,-0.019523-0.05404i,0.0073504-0.025268i,-0.042763+0.031466i,-0.031138+0.0064851i,0.0069575-0.016106i,-0.00096684+0.0065882i,-0.022258-0.00065537i
-0.023898+0.0046801i,-0.046835-0.0033356i,-0.043344-0.002299i,-0.035393+0.0079638i,-0.023282+0.0014837i,-0.026576+0.017996i,-0.039009+0.019464i,-0.05002+0.0045236i,-0.027133+0.0058212i,0.0040149+0.0014465i,0.0030994+0.0062498i,0.0069263+0.0022461i,-0.0036477-0.0048025i,0.0056034+0.007017i,-0.00096191-0.002715i,0.0087809+0.0033233i,0.0076544-0.019822i,0.0015899-0.0031415i,0.0055593+0.0043328i,0.0010473-0.0040525i,0.0047917+0.00029344i,0.0031374+0.00077944i,0.0012472+0.001704i,0.020499-0.001894i,-0.00114+0.0034113i,-0.00056174-0.0021325i,-0.00045204-0.0007908i,0.0018263-0.0019829i,-5.9917e-05-0.0004396i,-0.0012759+0.0030216i,-5.4206e-05+0.00016368i,-0.0026424+0.0031313i,-0.0041335+0.0028537i,-0.0018847+0.00025438i,-0.0025072-0.0012528i,0.01811+0.003588i,-0.0029425-0.0026241i,-0.0042806-0.00054005i,-0.0052787-0.003997i,-0.0031674-0.0012916i,0.0020775-0.00046834i,0.00022626-0.004223i,0.0023468+0.0011118i,-0.00027648+0.0056546i,-0.01189-0.012704i,0.030318-0.013545i,-0.054631-0.043511i,-0.046183-0.02307i,-0.022476-0.057618i,-0.0089416-0.042751i,-0.031381-0.10485i,-0.076407-0.08097i,0.0010092-0.10046i,-0.0087731-0.024787i,0.012297-0.0048623i,-0.0048579-0.00922i,-0.020427-0.01186i,-0.0061803-0.006611i,-0.01817+0.0038304i,-0.013495+0.0067532i,-0.029011+0.038288i,0.0097612+0.0021837i,-0.010124+0.0030801i,-0.0066417+0.0081077i,-0.0018155+0.0076568i,-0.012198+0.015616i,0.0060354+0.00822i,0.010204-0.02406i,0.015744-0.018854i,-0.00063729-0.0116i,-0.0060931+0.0062211i,-0.00055063+0.0061177i,0.011149+0.015758i,-0.0014772+0.0063648i,-0.00019172+0.0521i,-0.0091725-0.0018293i,0.00098498+0.003325i,0.0073518+0.0054004i,-0.0060442+0.0072899i,-0.0024924+0.0041404i,-0.0043695-0.0017577i,0.0044621+0.0037805i,-0.0045015+0.0018958i,-0.0048223+0.00052805i,-0.00017991+0.0092233i,0.010741+0.014664i,-0.0013499+0.00074683i,-0.0022998+0.0076699i,-0.010183+0.021838i,-0.020787-0.046183i,-0.0013163-0.039593i,-0.020538+0.037869i,-0.024505+0.014591i,0.0043236-0.021774i,-0.002103+0.00072407i,-0.020576+0.0043795i
-0.021069+0.0065588i,-0.050734+0.0030449i,-0.045604+0.0089427i,-0.031285+0.014386i,-0.026136+0.0082293i,-0.020643+0.020718i,-0.030472+0.01804i,-0.045959+0.010284i,-0.026792+0.0088055i,0.0043682+1.1238e-05i,0.0057822+0.0055109i,0.0036782-0.001494i,-0.0067942-0.0014764i,0.0074811+0.0012424i,-0.0021783-0.002159i,0.0078284+0.0032908i,-0.0015724-0.015114i,0.00037205-0.0036386i,0.0062004+0.00038617i,-0.00017353-0.0030792i,0.0040864-0.0020091i,0.0042624+0.00069053i,0.002197+0.0010145i,0.015035-0.011203i,0.0016628+0.0024834i,-0.00078613-0.0013909i,0.00057354-0.0018396i,0.0010765-0.0031593i,-3.3221e-05-0.00013056i,0.00040269+0.0026146i,-2.7225e-07-8.8831e-05i,-0.0010179+0.0034865i,-0.0019597+0.0043246i,-0.001247+0.0006871i,-0.0032441-0.0015821i,0.017822-0.0029971i,-0.0031387-0.00092467i,-0.0039854+0.0010828i,-0.0061354-0.00065993i,-0.0058513+0.00032846i,0.0018496-0.00080017i,-0.00021863-0.0048093i,0.0024042+5.7484e-05i,0.00037251+0.0042553i,-0.016857-0.010393i,0.01792-0.019195i,-0.056512-0.039912i,-0.040152-0.012961i,-0.027575-0.057248i,-0.017469-0.050092i,-0.054468-0.092245i,-0.084257-0.05617i,-0.021941-0.10066i,0.00092728-0.02212i,0.017987-0.0182i,-0.0070422-0.005601i,-0.016683-0.0094778i,-0.012946-0.0050626i,-0.015057+0.012893i,-0.010204+0.0084248i,-0.0090946+0.0441i,0.0086838-0.00096956i,-0.0078163+0.0033366i,-0.0017717+0.0090069i,0.0009818+0.0060845i,-0.0045859+0.019269i,0.010103+0.0054812i,-0.0059197-0.027841i,-0.0010255-0.020924i,-0.0048225-0.0052809i,-0.0026937+0.009517i,0.0028105+0.004848i,0.016755+0.0070543i,0.0021277+0.0052346i,0.024795+0.048009i,-0.0076492+0.0031123i,0.0010335+0.0023881i,0.0073827+0.00071111i,-0.00029774+0.0098415i,-0.004918+0.0049232i,-0.0051651+0.0023332i,0.0070422+0.002516i,-0.0022559+0.0048718i,-0.0070364+0.0032508i,0.0044659+0.0086548i,0.01302+0.0090722i,-0.0010592+0.002277i,0.00010659+0.0042198i,-0.0029225+0.021477i,-0.02136-0.044386i,-0.021324-0.040282i,-0.0044766+0.029739i,-0.01906+0.01816i,-0.0044503-0.027487i,-0.0062528-0.0019852i,-0.012139+0.005049i
-0.019034+0.0078195i,-0.052063+0.015076i,-0.043635+0.021919i,-0.026278+0.017352i,-0.023499+0.015743i,-0.016124+0.022126i,-0.025599+0.015639i,-0.042236+0.014465i,-0.023976+0.015125i,0.0038771-0.0011875i,0.0071939+0.00064974i,-0.0011741-0.00031865i,-0.0067132+0.0028068i,0.004182-0.0020525i,-0.0031541-0.001409i,0.0092723+0.0021242i,-0.0052994-0.009076i,-0.0012556-0.0031832i,0.0042785-0.0018409i,-0.00067627-0.0022556i,0.0019872-0.0023923i,0.0040465-0.0013266i,0.0022052-1.4418e-05i,0.0075918-0.015279i,0.0015703+0.00053881i,-0.00073339-0.0011887i,5.1701e-06-0.0024827i,-0.00024584-0.0030733i,0.00091672-0.00011976i,0.00092251+0.0016893i,-0.00014915-0.00039661i,0.00026023+0.0032203i,0.00021604+0.0044059i,-0.0010633+0.00046671i,-0.003557+0.0010768i,0.014539-0.008515i,-0.0025137-5.4614e-05i,-0.0025752+0.0025245i,-0.004314+0.0010778i,-0.0057611+0.0031263i,0.0015035-0.00093053i,-0.0014109-0.0041749i,0.0018143-0.0007062i,-0.00029604+0.003503i,-0.020161-0.0052591i,0.014438-0.013966i,-0.060997-0.036018i,-0.032154-0.010481i,-0.034192-0.0561i,-0.03015-0.048573i,-0.074823-0.077386i,-0.080847-0.037152i,-0.04686-0.08862i,0.0058466-0.02809i,0.012416-0.0292i,-0.0067635-0.0037086i,-0.017121-0.0057642i,-0.018538+0.0030836i,-0.0078933+0.018042i,-0.0065041+0.011255i,0.01042+0.037144i,0.0066057-0.0060455i,-0.0082221+0.0045942i,-0.00079576+0.0064704i,0.0037846+0.0057597i,0.0043876+0.016148i,0.0107-0.001322i,-0.020411-0.018564i,-0.011568-0.012629i,-0.0041242-0.0011628i,0.0027996+0.0093328i,0.0036279+0.0025033i,0.017679-0.00030669i,0.0046795+0.004158i,0.042073+0.031262i,-0.0054258+0.0037568i,0.00033577+0.0026974i,0.0052764-0.0032438i,0.0058714+0.0069147i,-0.0047535+0.011182i,-0.0023114+0.0068188i,0.0090079-0.001379i,0.0023798+0.0047667i,-0.0067791+0.0070264i,0.0075415+0.0054339i,0.013594+0.0043694i,-0.0005479+0.0018799i,2.133e-05+0.00069111i,0.0016304+0.018329i,-0.022346-0.043043i,-0.033065-0.027497i,0.0041331+0.01831i,-0.0063288+0.021417i,-0.016811-0.02767i,-0.013381-0.00055126i,-0.01174-0.0022844i
-0.017363+0.0092654i,-0.046918+0.027303i,-0.035341+0.033771i,-0.022497+0.019613i,-0.01813+0.02034i,-0.011508+0.023509i,-0.023398+0.012942i,-0.039866+0.01845i,-0.016567+0.019383i,0.002632-0.0023216i,0.0036159-0.0027699i,-0.0015479+0.0036668i,-0.0044978+0.0057666i,0.0015232-0.0028725i,-0.003978-0.00031521i,0.0099929-0.00076573i,-0.0042366-0.0047093i,-0.0020072-0.0020316i,0.0023989-0.002242i,-0.00081853-0.0016748i,0.0016249-0.0014152i,0.0030885-0.0019912i,0.0019957-0.00045158i,0.0012523-0.01486i,0.00085973-0.00010067i,-0.0010434-0.0013656i,-0.00088386-0.002328i,-0.0011478-0.0029159i,0.00071504-0.0010564i,0.0012891+0.0013495i,-0.00040573-0.00080097i,0.0015532+0.0026978i,0.0016385+0.0029684i,-0.0011401+0.0011704i,-0.0018932+0.001158i,0.0093698-0.01203i,-0.0017597+0.00031424i,-0.00088171+0.0031429i,-0.0042341+0.0021046i,-0.0042078+0.0050633i,0.001213-0.00097509i,-0.0028045-0.0030822i,0.001646-0.0011134i,-0.001511+0.0043673i,-0.020617+0.0013638i,0.021986-0.011892i,-0.068156-0.029357i,-0.027514-0.012577i,-0.040472-0.052661i,-0.03886-0.042087i,-0.089789-0.054371i,-0.078324-0.027102i,-0.055562-0.064152i,0.0054784-0.032391i,0.0021229-0.036703i,-0.0075493-0.0026134i,-0.015895-0.0053004i,-0.014616+0.013511i,-0.00012545+0.018093i,0.0014751+0.010405i,0.017937+0.023433i,0.0021445-0.0080665i,-0.0075795+0.0077218i,-0.00068107+0.0061532i,0.0055383+0.0018132i,0.008446+0.011306i,0.0045428-0.0032911i,-0.025888-0.0042339i,-0.014566-0.0039802i,-0.0014618-0.00027004i,0.0049644+0.0078589i,0.0022231+0.0011066i,0.01389-0.010856i,0.0056318-0.00019891i,0.049075+0.010685i,-0.0056848+0.0058558i,0.0019588+0.0022321i,0.0010038-0.0050015i,0.0067327+0.0023593i,0.0010084+0.015077i,0.0039386+0.0049918i,0.0061725-0.0053032i,0.0047809+0.0013664i,-0.0034513+0.011861i,0.0065928+0.002895i,0.012716+0.00063876i,-0.0022937+0.0015589i,-0.0040426-0.00046525i,0.0043395+0.016432i,-0.023884-0.043275i,-0.034706-0.013352i,0.0041828+0.0077909i,0.0022418+0.013523i,-0.028278-0.022032i,-0.015348+0.0084191i,-0.017008-0.0016987i
-0.015841+0.01073i,-0.038765+0.034932i,-0.023613+0.041031i,-0.019157+0.021755i,-0.012327+0.023169i,-0.0068406+0.024218i,-0.023637+0.011594i,-0.036986+0.023895i,-0.010384+0.019364i,0.00085373-0.0027385i,0.00016552-0.0018748i,0.00049282+0.0052901i,-0.0012284+0.0066113i,-0.00082166-0.0026212i,-0.0041223+0.0012393i,0.0081673-0.0044929i,-0.0037126-0.0041186i,-0.0020244-0.00073546i,0.0016754-0.0024879i,-0.00086081-0.0011909i,0.0021853-0.0018819i,0.0022115-0.0020238i,0.0018397-0.00083045i,-0.0031937-0.013039i,0.0007004-0.00032623i,-0.0016491-0.00079806i,-0.0017058-0.0018639i,-0.0021939-0.0024176i,0.00020704-0.0012916i,0.0017684+0.00061037i,-0.00093461-0.00083205i,0.0024355+0.0013353i,0.0024407+0.001825i,-0.00047892+0.0015091i,-0.0020147+0.0015822i,0.0035085-0.011744i,-0.0016974-7.4048e-05i,0.0009177+0.0026146i,-0.0025705+0.0040932i,-0.0022604+0.0068082i,0.0010603-0.00096282i,-0.0024886-0.0017351i,0.001097-0.0017852i,-0.00037162+0.0068013i,-0.016896+0.0066324i,0.032308-0.021868i,-0.07526-0.017554i,-0.027881-0.014373i,-0.044701-0.048493i,-0.045629-0.035439i,-0.091698-0.030267i,-0.076754-0.01606i,-0.051873-0.050432i,0.0047562-0.038641i,-0.011079-0.038709i,-0.0072937-0.00092231i,-0.019135-0.0058342i,-0.0056667+0.017807i,0.0055858+0.014568i,0.0053824+0.003486i,0.017201+0.012091i,-0.002752-0.0084746i,-0.0050052+0.010284i,-0.000284+0.0063896i,0.0039733-0.0012519i,0.0093739+0.0061837i,0.003051-0.00058635i,-0.0226+0.009373i,-0.011732+0.0044949i,-0.0013155+5.3655e-06i,0.0085635+0.0059924i,0.00099206+0.001107i,0.0044863-0.014746i,0.0031387-0.0028435i,0.045388-0.0090165i,-0.0031789+0.0085029i,0.0012949+0.0010837i,-0.002333-0.0030679i,0.0060362+0.00085409i,0.0086085+0.015233i,0.0043059+0.00075095i,0.0036257-0.0064821i,0.003141-0.0011601i,0.0031729+0.013079i,0.0062638+0.001063i,0.012072-0.0032611i,-0.0016267+0.005283i,-0.0053012+0.0014798i,0.0073749+0.014703i,-0.028646-0.045456i,-0.030917-0.0043056i,0.0022893+0.0029715i,0.0024749+0.0056079i,-0.036566-0.012307i,-0.0093645+0.011247i,-0.016412+0.0010763i
-0.013664+0.012446i,-0.029455+0.039597i,-0.010322+0.043382i,-0.014642+0.024095i,-0.0054694+0.02345i,-0.0023121+0.023979i,-0.024519+0.012654i,-0.0323+0.029207i,-0.0052151+0.018609i,-0.00036656-0.0023028i,-0.0010872-1.7391e-05i,0.0034248+0.0048527i,0.0011953+0.0062708i,-0.0028763-0.00079452i,-0.0038137+0.0026013i,0.0048442-0.0062497i,-0.0053043-0.0042324i,-0.0019176-0.0001267i,0.00042522-0.0025391i,-0.0010517-0.00081548i,0.0018849-0.0028096i,0.0020813-0.0020657i,0.0016021-0.0012509i,-0.0068395-0.011034i,0.00028417-0.0006029i,-0.0016211-0.00010477i,-0.0024628-0.0010857i,-0.0026256-0.0011601i,-0.00026706-0.0012302i,0.0014888-0.00035945i,-0.0014362-0.00041323i,0.0021077+0.0003307i,0.0025867+0.00048478i,0.00044109+0.0011776i,-0.0013699+0.0021688i,0.00032616-0.009013i,-0.0016318+0.00032474i,0.0017286+0.0012579i,-0.00030823+0.0038396i,0.0011155+0.0073871i,0.0011084-0.001061i,-0.002015-0.0011486i,-0.00012533-0.0022169i,0.0019746+0.0060984i,-0.012211+0.0082959i,0.032103-0.04111i,-0.077761-0.0016286i,-0.027056-0.014869i,-0.048143-0.04862i,-0.050555-0.026526i,-0.089268-0.012557i,-0.073959-0.0069434i,-0.05081-0.041398i,-0.00064999-0.044316i,-0.025353-0.036471i,-0.007146-0.00047111i,-0.026592-0.0027622i,0.0022793+0.015389i,0.0087911+0.0097069i,0.0042797-0.0020205i,0.013514+0.0066493i,-0.0071179-0.0079376i,-0.00094445+0.01146i,0.001256+0.0068536i,0.0015312-0.002193i,0.0075664+0.0023954i,0.003705+0.0005064i,-0.014118+0.016841i,-0.0062583+0.0088544i,0.00052247-0.00021991i,0.011069+0.00064271i,0.00033243+0.0022248i,-0.0031343-0.012221i,0.00046325-0.0028804i,0.034919-0.023006i,0.00099842+0.0099309i,0.00067674+0.0017639i,-0.0041169-4.2896e-05i,0.005873-0.0019475i,0.015113+0.011193i,0.0029467-0.0016448i,0.00043465-0.0074414i,0.0013112-0.0024256i,0.0087332+0.010045i,0.0057778+0.00089125i,0.0084277-0.0073046i,0.0018234+0.0062304i,-0.005109+0.0027234i,0.011281+0.011808i,-0.03763-0.042807i,-0.025734+0.0030711i,0.00072442-0.00059184i,-0.00033662+0.0026671i,-0.040336-0.00069132i,-0.0064051+0.0096806i,-0.015219+0.0030397i
