-0.030746-0.040661i,-0.021362-0.019826i,-0.012449-0.036021i,-0.029653-0.020168i,-0.022227-0.0004305i,-0.013884-0.0059106i,-0.05503-0.058834i,-0.047464-0.017632i,-0.036553-0.0099735i,0.012322+0.012092i,-0.0076342+0.004861i,-0.020195+0.018841i,0.0022216+0.012096i,-0.0064809-0.002567i,8.9762e-05+0.0012825i,-0.0021673+0.030765i,0.025774+0.024435i,0.002613-0.0024555i,-0.0023179-0.0070173i,0.0091505+0.0028638i,0.0025261+0.00080507i,0.0004188+0.0041743i,-0.00035252+0.00016804i,-0.037219-0.011331i,-0.00047067-0.0080277i,0.0013824+0.0021986i,0.0068803+0.0011128i,0.0020702+0.00044914i,0.00099174-0.00037248i,-0.00054369-0.0026095i,0.0014615-0.002498i,-0.0018521-0.005864i,-0.0010076-0.0049465i,0.0030157-0.00052492i,0.004581-0.0033161i,0.001022+0.030902i,0.0041548-0.0036907i,0.002967-0.0015716i,0.0080375-0.0013081i,-0.0072278-0.0041553i,-0.00023079+0.00073545i,0.0077474-5.136e-05i,0.0047497-0.0025875i,-0.0018042+0.0085768i,-0.017418-0.0085137i,-0.019209+0.014846i,-0.0031149-0.061325i,-0.0051963-0.026873i,-0.026418-0.032823i,-0.010836-0.02697i,0.054869-0.02078i,0.017195-0.042561i,0.023137-0.048145i,0.0050083-0.053127i,0.026258-0.020782i,0.0082644+0.0063155i,0.024274-0.035019i,-0.0090579-0.0068339i,0.0036661-0.0045248i,-0.0046731-0.0070749i,-0.0011032-0.032255i,-0.018409+0.028417i,0.0085384-0.011581i,-0.0090134-0.0034288i,-0.0041646-0.0017516i,0.0011594-0.012714i,-0.011412+0.0045015i,0.0026594+0.010153i,-0.0057509+0.026435i,0.0050147+0.0031229i,-0.0048275-0.0015805i,-0.0020231-0.0019954i,-0.01155-0.0069762i,-0.00049798-0.0045276i,-0.030826+0.011394i,0.0014013-0.010305i,-0.0080977-9.0319e-05i,-0.0069394-0.0017906i,0.0053345+0.0014233i,-0.0086471-0.00047322i,0.0022443+0.00033011i,0.0037773+0.0074353i,0.0043295+0.00033796i,-0.0087023-0.012199i,0.0030423+0.0095898i,-0.014876+0.0040839i,0.0069167-0.00027306i,-0.021647-0.0009436i,-0.017672+0.0068002i,-0.010076-0.067773i,0.0077933-0.011964i,-0.049288-0.022899i,-0.020192+0.00023443i,0.01707+0.011272i,-0.023753+0.014261i,-0.021342-0.0053788i
-0.040063+0.030036i,-0.016549+0.019176i,-0.020499+0.04211i,-0.027141+0.012859i,-0.0041924+0.020788i,-0.00095252+0.0078123i,-0.030376+0.016989i,-0.0036487+0.029338i,0.0069361+0.017773i,-0.0055372-0.0051014i,0.0026972+0.0039721i,0.0080063-0.00044399i,0.0056558-3.14e-05i,-0.00064628+0.003264i,0.00065392+0.0021716i,0.0065781-0.0049019i,-0.0053895-0.00067425i,-0.0029924+0.00039696i,0.0045069-0.0010847i,7.047e-05-0.00094274i,0.0030481-0.0053076i,0.0015329-0.00284i,0.0014438-0.0025884i,-0.0090457-0.010469i,-0.0015985+0.0033759i,-0.001442+0.00023814i,-0.0041447-0.0016989i,-0.0031969-0.00013539i,-0.0020618-0.0024953i,-2.9636e-05-0.0004494i,-0.0001143+0.0031192i,0.00078533+0.0010904i,0.0013158+0.00062623i,-0.00069984+0.00077657i,-0.0023649+0.0027166i,-0.0014053-0.006956i,-0.0024644+0.0012319i,0.00082848-0.0004269i,-0.0011996+0.0022247i,0.0040589+0.0035763i,-0.00038377-0.0017079i,-1.6936e-05-0.0026696i,-0.0031129-0.00052756i,0.0036011+0.00036106i,-0.017256+0.025895i,0.0073431-0.035333i,-0.054835+0.0037002i,0.0077873-0.031752i,-0.030213-0.049577i,-0.029147-0.019916i,-0.062629+0.020301i,-0.038369+0.00051154i,-0.033292-0.0075226i,-0.025863-0.023529i,-0.04074-0.023215i,-0.0053689+0.0028321i,-0.028201+0.00987i,0.0061802+0.019154i,0.0026479+0.008844i,-0.0039022-0.0054863i,0.0017697+0.001078i,-0.013063-0.010147i,0.0058314+0.012207i,-0.0007482+0.0069423i,-0.002157-0.0013046i,0.00099831+0.0023321i,0.0034331-0.0010007i,-0.0032486+0.017991i,0.0054554+0.016869i,0.0035993+0.00031814i,0.010433-0.006543i,0.0042021+0.0031408i,-0.0094153-0.0095529i,-0.0010865-0.0027119i,0.019309-0.040351i,0.0081047+0.010653i,0.0052396+0.002233i,-0.0031438+0.0025622i,0.003241-0.0057013i,0.0198+0.0077434i,0.0030736+0.0026303i,-0.00010714-0.0060107i,0.00077029-0.0028355i,0.01871+0.0023848i,0.004353+0.00142i,0.0028127-0.0048825i,0.0041222+0.007709i,-0.00032204+0.0009867i,0.0087985+0.0029602i,-0.048662-0.014413i,-0.007156+0.012227i,-0.0023623-0.0046316i,-0.0069018+0.0048233i,-0.037292+0.011734i,-0.0053015+0.0075101i,-0.010202+0.014399i
-0.034976+0.035592i,-0.013379+0.018869i,-0.010054+0.037621i,-0.024564+0.015986i,-0.001369+0.018794i,0.00046236+0.0078549i,-0.029079+0.022091i,0.0022439+0.028399i,0.0092617+0.01273i,-0.006503-0.002676i,0.0039875+0.0043457i,0.006944-0.003124i,0.0050399-0.001924i,0.0014029+0.0038517i,0.0009963+0.0021429i,0.0020645-0.004216i,-0.0063625+0.0025713i,-0.0023947+0.0012532i,0.0048605-0.0019481i,0.00030387-0.00093168i,0.0010866-0.0057147i,0.0013075-0.0024859i,0.00072893-0.0026253i,-0.011769-0.0073398i,0.00028912+0.0030545i,-0.0014912+0.00055568i,-0.0038675+5.515e-05i,-0.0022082+0.00082508i,-0.0028682-0.00052562i,0.00017401-0.0004147i,0.00068201+0.0024764i,0.00047091+0.0011316i,0.0011176-7.8165e-06i,-0.00079346+0.0010555i,-0.0021119+0.0029484i,-0.0014286-0.0056898i,-0.0021776+0.0020264i,-3.9333e-06-0.00094232i,-0.00047882+0.0022739i,0.0040589+0.0012448i,-0.00067563-0.0014521i,-0.0014001-0.0027299i,-0.0034347+0.00045124i,0.0037981-0.00042887i,-0.012513+0.025383i,-0.0055017-0.041014i,-0.048094+0.014659i,-0.0015663-0.039132i,-0.044573-0.043863i,-0.029453-0.013187i,-0.050816+0.032725i,-0.036015+0.0093147i,-0.024474-0.0098809i,-0.028712-0.019779i,-0.044821-0.0065056i,-0.0045714+0.0027129i,-0.023397+0.022331i,0.011754+0.012723i,0.0052374+0.0050244i,-0.0094738-0.0073756i,-0.0018872+0.0034406i,-0.014456+0.0036819i,0.010202+0.0085235i,0.00095776+0.008773i,-0.0017785-0.00012148i,0.0023931+0.0034652i,0.0039861-0.0013132i,0.0053181+0.014469i,0.011874+0.007989i,-0.00035592-0.0029911i,0.0033843-0.0078561i,0.0046949+0.0027251i,-0.011318-0.00089024i,-0.0025112-0.00056913i,0.0011831-0.0359i,0.012101+0.0081461i,0.0066152-7.096e-05i,0.00022335+0.0028131i,-0.00044663-0.0032795i,0.021172-0.0017369i,0.0032582+0.0011933i,-0.0034885-0.0045762i,-0.0027137-0.0014758i,0.021676+0.0011152i,0.0044864+0.001837i,0.00089222-0.003545i,0.00621+0.0062354i,-0.00044183+0.0018914i,0.0091773-0.00017184i,-0.050901-0.0092905i,-0.000738-0.0028226i,-0.0011125-0.0042605i,-0.0053686+0.0048038i,-0.030363+0.023387i,-0.0030423+0.0083049i,-0.0036567+0.013042i
-0.029172+0.039905i,-0.010939+0.019065i,-0.0052338+0.031209i,-0.021807+0.018934i,0.0017526+0.018026i,0.002158+0.0072656i,-0.025028+0.027691i,0.0077941+0.025899i,0.0088684+0.0090023i,-0.0066362-0.000312i,0.0062765+0.0037578i,0.0026094-0.0040057i,0.0038643-0.0032132i,0.0022701+0.0033488i,0.0015558+0.0020919i,-0.0012275-0.0014929i,-0.0051841+0.0058548i,-0.0012703+0.0017338i,0.0046404-0.004335i,0.0005329-0.001561i,-0.00066555-0.0053159i,0.0014354-0.0029839i,0.00027165-0.0026546i,-0.014097-0.0038954i,0.0011684+0.002313i,-0.00090731+0.0013007i,-0.0028875+0.0004765i,-0.00091962+0.0013057i,-0.0024659-0.00075893i,-0.00011592-0.00080531i,0.0012388+0.002249i,0.00078161+0.0011967i,0.0010664-0.00030885i,-0.00031831+0.00082486i,-0.00067221+0.0037472i,-0.00068541-0.0055121i,-0.0019314+0.0021927i,-0.00083902-0.00080586i,0.00075123+0.0014879i,0.00335+8.5997e-05i,-0.00085578-0.0011533i,-0.001098-0.0013675i,-0.0032298+0.0014869i,0.0035421-0.0020414i,-0.0093358+0.025301i,-0.021256-0.039348i,-0.03785+0.020847i,-0.013643-0.041089i,-0.052765-0.034644i,-0.02615-0.0077337i,-0.034477+0.038866i,-0.024407+0.015256i,-0.026819-0.013406i,-0.030287-0.015709i,-0.042731+0.0060727i,-0.0037001+0.003048i,-0.011445+0.029073i,0.014516+0.0059683i,0.0033493+0.00016717i,-0.01856-0.0044548i,-0.0009935+0.0053272i,-0.007274+0.0063079i,0.012157+0.0024421i,0.0031175+0.0078067i,-0.003266+0.0015508i,0.0027107+0.0016507i,0.003829-0.0030618i,0.0082065+0.007208i,0.0090443+0.0027515i,-0.0048929+6.4598e-05i,0.00017225-0.0060282i,0.0064874+0.0016199i,-0.0086663+0.0081275i,-0.00049741+0.0015077i,-0.0048387-0.027057i,0.015711+0.0016636i,0.0058866-0.0034421i,0.00075584+0.0018864i,-0.00026739-0.0012537i,0.016616-0.0088962i,0.0014938+0.0029716i,-0.0051739-0.0018481i,-0.0033719+0.0025781i,0.012551-0.00024114i,0.0087073-0.00068361i,0.00084431-0.0033757i,0.0092652+0.0029728i,0.0026373+0.001772i,0.0084507-0.0032098i,-0.053689+0.00070842i,-0.010044-0.011355i,0.0012381-0.0072738i,-0.0041209+0.003833i,-0.018391+0.026994i,-0.0034589+0.003429i,-0.0017966+0.0097156i
-0.022548+0.042676i,-0.0080252+0.020083i,-0.0040528+0.026184i,-0.017717+0.02191i,0.0048202+0.015243i,0.0037427+0.0056636i,-0.01853+0.032045i,0.012196+0.021512i,0.0085488+0.0074028i,-0.0059889+0.0019593i,0.0085912+0.0016092i,0.00038892-0.0013373i,0.0024627-0.0033627i,0.0024168+0.0033068i,0.0019771+0.0016184i,-0.0017426+0.0026174i,-0.0018018+0.0084679i,-0.00042735+0.0013671i,0.0026752-0.0055557i,-0.00014508-0.0022175i,-0.0016074-0.0042853i,0.0010096-0.0033347i,-0.00030257-0.0029084i,-0.014633+0.001448i,0.0019717+0.0011752i,1.318e-05+0.0008005i,-0.0021111-0.00036434i,0.00024244+0.00059958i,-0.0025347+0.00041207i,-0.00048568-0.00055656i,0.0017371+0.0021426i,0.0013047+0.0011254i,0.00040625-0.00083635i,-0.00019216+0.00072717i,0.00097247+0.0029994i,-0.0011565-0.007388i,-0.0010004+0.0028975i,-0.0011549-3.4471e-05i,0.00096533-0.00025895i,0.0030202-0.00042351i,-0.00088587-0.00084511i,-0.00040737-0.001596i,-0.0022825+0.0025357i,0.001549-0.0038066i,-0.006015+0.026015i,-0.033596-0.02761i,-0.028535+0.021543i,-0.02473-0.037773i,-0.061085-0.024337i,-0.021457-0.0058926i,-0.020568+0.03703i,-0.014231+0.01138i,-0.028303-0.010414i,-0.030389-0.010144i,-0.036892+0.015754i,-0.0033538+0.003279i,0.00017452+0.028755i,0.015355+0.0024976i,-0.00126-0.00071958i,-0.023058+0.0065183i,-0.00050771+0.0070022i,-0.0032535+0.0061219i,0.0094233-0.0037503i,0.005617+0.0066384i,-0.0030028+0.0039818i,0.00055602+0.0019446i,0.0030448-0.0055126i,0.0063159+0.0017169i,0.0058822+0.0003359i,-0.0031898+0.0032339i,-0.0016632-0.0043614i,0.0065932-0.0005295i,0.0012947+0.0096063i,0.00055599+0.00083216i,-0.009483-0.024361i,0.013632-0.0045379i,0.003683-0.0049067i,0.001719+0.0032804i,0.00012977-0.0013089i,0.011049-0.012039i,0.0048825+0.0038493i,-0.0054393+0.00076723i,-0.00068203+0.0044957i,0.0089508-0.0011786i,0.0079174-0.0062677i,-0.00064366-0.0028136i,0.0085757-0.0026221i,0.0024114-0.0011307i,0.0072094-0.0065513i,-0.049375+0.01236i,-0.019136-0.0099761i,-0.00087757-0.012587i,-0.0027919+0.0020582i,-0.012294+0.027021i,-0.0072461+0.0033317i,-0.0022995+0.0088615i
-0.016261+0.045047i,-0.0055226+0.019745i,-0.0050565+0.023944i,-0.012921+0.023327i,0.0063102+0.012025i,0.0040313+0.0038406i,-0.011078+0.033692i,0.014637+0.017058i,0.0092503+0.0061473i,-0.0041902+0.0036486i,0.0049393-0.0025322i,0.0010025+0.00079019i,0.0014653-0.0034247i,0.0036537+0.0036415i,0.0022549+0.0012141i,0.00025953+0.0053646i,0.0022157+0.008608i,-0.00017284+0.0010487i,0.0011383-0.0058316i,-0.0010942-0.0020988i,-0.0027215-0.0036301i,0.00030332-0.0034785i,-0.0012345-0.0027653i,-0.010501+0.0061397i,-0.0014091-0.0029947i,-0.00019115-4.1366e-05i,-0.00098887+0.00098243i,0.00035817-0.00058468i,-0.001745+0.0024034i,-0.00020595-0.00026864i,0.0024332+0.00068816i,0.0019748+0.00032057i,-0.00038316-0.00062862i,-0.0002819+0.00071217i,0.0013241+0.0021048i,-0.0039004-0.0088028i,3.855e-05+0.0029142i,0.00064839+0.0021061i,0.00012757-0.0005015i,0.0022274-0.00071047i,-0.00082872-0.00058628i,-0.00092566-0.0022228i,-0.00084471+0.0028007i,-0.00057315-0.0029514i,-0.001575+0.026802i,-0.034262-0.012891i,-0.022378+0.020037i,-0.033618-0.031092i,-0.067337-0.0090787i,-0.018589-0.0080601i,-0.010469+0.032472i,-0.0093757+0.0063733i,-0.027836-0.0083952i,-0.028783-0.0068974i,-0.029546+0.025237i,-0.0026529+0.0033123i,0.012207+0.024081i,0.012735-0.0028988i,-0.0045156+0.0018147i,-0.02029+0.015889i,0.0022258+0.0080731i,-0.00035754+0.0072399i,0.0032644-0.0049355i,0.0077624+0.0048516i,-0.0008904+0.0063387i,0.00032044+0.003969i,0.0013983-0.0065699i,0.0020865+0.0016405i,0.0031652+0.0011311i,-0.0024419+0.0046621i,-0.002617-0.0021776i,0.0058713-0.0026971i,0.0043179+0.0044798i,0.0007751+0.0002045i,-0.013691-0.022246i,0.0099743-0.0084816i,0.0019327-0.0054124i,0.0037948+0.0034617i,-0.00024935-0.00078676i,0.0071716-0.012725i,0.0074642+0.00087297i,-0.0040314+0.0038603i,0.0020944+0.0040947i,0.0089062-0.0027763i,0.002761-0.010611i,-0.00066254-0.0020956i,0.0039945-0.0060885i,0.00023295-0.0017226i,0.0034732-0.0096147i,-0.041116+0.018272i,-0.026778-0.0029559i,-0.0072928-0.015685i,-0.0028748-0.00074455i,-0.0072414+0.026194i,-0.0099311+0.0062235i,-0.0010039+0.009229i
-0.0093048+0.046725i,-0.0034197+0.020008i,-0.0055286+0.02505i,-0.0085043+0.023098i,0.0064152+0.0090343i,0.0041308+0.0027302i,-0.0030886+0.032885i,0.015885+0.012902i,0.010121+0.0039198i,-0.0024258+0.0037992i,0.0037964-0.0024132i,0.0021747+0.0017115i,0.00029124-0.0033965i,0.0052376+0.0025328i,0.0022573+0.00069366i,0.0031867+0.0062235i,0.0057317+0.0066239i,8.4587e-05+0.00096588i,-0.00096641-0.0058238i,-0.001851-0.0015999i,-0.0030237-0.0021864i,-0.00032204-0.0036434i,-0.0018367-0.0021673i,-0.006877+0.0051501i,-0.00099356-0.00060084i,-0.0008298-0.00013086i,-0.0013043+0.0010823i,-0.0002239-0.0016428i,-0.00024948+0.0013511i,-0.00014034-0.00047182i,0.0020251-0.00054641i,0.0017152-0.00093849i,-0.00064777-0.00030056i,-0.00015955+0.00069018i,0.0014452+0.0017152i,-0.0067946-0.0086743i,0.00070152+0.0024673i,-0.0027298+0.0017143i,-0.0005076+0.0010179i,0.0019695-0.00014659i,-0.00072632-0.00022202i,-0.0017583-0.001693i,0.00047292+0.0024562i,-0.0014256-0.0014862i,0.0030013+0.027188i,-0.028694-0.0053037i,-0.01838+0.01859i,-0.039203-0.020565i,-0.064516+0.010806i,-0.021886-0.01085i,-0.0045724+0.026173i,-0.0065072+0.0020435i,-0.026643-0.0053774i,-0.028901-0.0046706i,-0.01979+0.028406i,-0.00303+0.0037057i,0.018639+0.010457i,0.010135-0.0076145i,-0.0055989+0.0057522i,-0.0124+0.02321i,0.0049197+0.0065974i,0.0046939+0.0057644i,0.00067802-0.0020702i,0.010207+0.001126i,0.0012913+0.0075978i,0.0016541+0.005063i,-0.003138-0.009083i,0.00075315+0.0047322i,0.003439+0.0025809i,0.00017331+0.0080847i,-0.001809-0.00040514i,0.0043868-0.0037196i,0.0072886+0.0022986i,0.0012435-0.00084219i,-0.021341-0.020125i,0.005781-0.01013i,-0.00033105-0.0054178i,0.0039426-0.0016613i,4.8354e-05+0.0005484i,0.0048505-0.012379i,0.0072923-0.0024786i,-0.0011093+0.0052048i,0.0033324+0.001937i,0.0067336-0.0050657i,-0.0033133-0.0094396i,-0.0010105-0.0023876i,-0.00016645-0.0045147i,-0.00022144-0.0024577i,-0.0014685-0.0093301i,-0.035647+0.021752i,-0.024511+0.010346i,-0.012476-0.014804i,-0.0044681-0.0019272i,-0.003936+0.025814i,-0.0088567+0.011056i,0.0023734+0.0077022i
-0.0021607+0.047238i,-0.0007376+0.020528i,-0.0037625+0.027364i,-0.0052996+0.021935i,0.0055254+0.0073877i,0.0042339+0.0016054i,0.0037754+0.030141i,0.016142+0.009351i,0.010456+0.0020406i,-0.001641+0.0039314i,0.0028946-0.0019465i,0.0041828+0.0020551i,-0.00090017-0.0029103i,0.0057867-8.9989e-05i,0.0020501+0.0003048i,0.0057311+0.005442i,0.0072907+0.0034177i,0.00026754+0.00099878i,-0.0024146-0.0050533i,-0.0022416-0.00069437i,-0.0025995-0.00091554i,-0.001297-0.0036067i,-0.0022092-0.0015614i,-0.0075804+0.005131i,-0.0012186-3.03e-05i,-0.0012564+0.00044761i,-0.001165+0.0012716i,-0.0016307-0.001869i,-0.00046961+0.00089755i,-0.00041233-0.0006392i,0.0015911-0.0010403i,0.0014383-0.0019519i,-0.00024803-0.00019789i,4.9362e-05+0.00054802i,0.0018739+0.00077979i,-0.010192-0.0075336i,0.0013205+0.002076i,-0.0014754+0.0019511i,-0.00064383+0.0016849i,0.0023318+0.00028952i,-0.00060575-2.3632e-05i,-0.0016527-0.00059556i,0.001331+0.0018181i,-0.0014747-0.00072i,0.008534+0.025724i,-0.02493-0.0039287i,-0.015416+0.017953i,-0.039169-0.010769i,-0.054232+0.026102i,-0.025493-0.0086583i,0.00042715+0.022779i,-0.006171-0.002382i,-0.025027-0.0038283i,-0.028322-0.00027829i,-0.012862+0.031216i,-0.0019093+0.0039667i,0.012973-0.001648i,0.0058012-0.011312i,-0.0038182+0.0089468i,-0.0035464+0.024498i,0.0055435+0.0037865i,0.0056016+0.0016988i,0.0013124-0.00057202i,0.0093863-0.0021646i,0.0058794+0.0070234i,0.0035319+0.0061828i,-0.0078928-0.0038967i,0.0028979+0.0070971i,0.0049932+0.0028771i,0.0048858+0.0071264i,-0.0012725+1.8855e-05i,0.0032704-0.0046161i,0.0064601-0.0041889i,-0.00065009-0.0012665i,-0.029361-0.011753i,0.0022816-0.010219i,-0.0020373-0.0042024i,0.0055359-0.0012921i,0.00057818+0.00058204i,0.0030883-0.014326i,0.005715-0.0051057i,0.0014167+0.0038982i,0.0031443+0.0010828i,0.0053794-0.0058886i,-0.0062012-0.0053159i,-0.0024173-0.0023391i,-8.2337e-05-0.0037219i,-0.0018265-0.0030304i,-0.0044583-0.0072507i,-0.029261+0.024426i,-0.018348+0.010987i,-0.013289-0.013222i,-0.0060746-0.0019127i,0.0004746+0.024216i,-0.0069529+0.012819i,0.0027042+0.0048833i
0.0051998+0.04678i,0.0025493+0.02097i,8.5403e-05+0.029855i,-0.0027102+0.021693i,0.0046752+0.0068483i,0.0038741+0.00074883i,0.0091922+0.026067i,0.016409+0.0063076i,0.010832-0.00035117i,-0.00087181+0.0044241i,0.0028171-0.0014185i,0.0062268+0.00015854i,-0.0017596-0.0019552i,0.0039518-0.0014813i,0.0019788+0.00015441i,0.0077059+0.003548i,0.0065653+0.00099356i,0.00077206+0.00063734i,-0.0036844-0.0040986i,-0.0019571+0.00033485i,-0.0018425-0.00025657i,-0.0021276-0.0027283i,-0.0024841-0.00088211i,-0.0061626+0.0081965i,-0.0012672+0.00061392i,-0.0010589+0.0010453i,-0.00081177+0.0016855i,-0.002958-0.00095137i,-0.00045178+0.00087602i,-0.00071836-0.00056508i,0.001265-0.0018108i,0.0004313-0.0031446i,-0.00041653-0.0003014i,-1.9926e-05+0.00045218i,0.0015456-4.9097e-05i,-0.013162-0.0042523i,0.0016774+0.0014819i,-0.00057553+0.0021659i,-0.001221+0.0021622i,0.0033537+0.0059318i,-9.448e-05+0.00014324i,-0.001244-0.00019801i,0.0016336+0.0010617i,-0.0014446-5.2428e-05i,0.013047+0.022359i,-0.024945-0.0032908i,-0.013332+0.016849i,-0.038686-0.0024581i,-0.04109+0.034095i,-0.028709-0.0053103i,0.0050391+0.016753i,-0.0070462-0.0044392i,-0.024453-0.0029973i,-0.026544+0.0042707i,-0.0037492+0.032282i,-0.00099636+0.0038161i,0.0060417-0.0032099i,0.0007162-0.012772i,0.00024045+0.011884i,0.0047464+0.021948i,0.0048325+0.0015621i,0.0046122-0.0018024i,0.00098173+4.9292e-05i,0.0074649-0.0054789i,0.0094315+0.0035237i,0.0060918+0.0061073i,-0.0078544+0.00053369i,0.0060213+0.0077776i,0.0065206+0.0026704i,0.0081885+0.0036984i,-0.00085895+0.00080846i,0.0028026-0.0052832i,0.0036876-0.00886i,-0.0010332+0.00092601i,-0.032292+0.0012206i,-0.00031533-0.0096385i,-0.0030373-0.0021806i,0.006553-0.00040777i,0.00081699+0.00018088i,-0.00096307-0.016526i,0.0031549-0.0065357i,0.0025407+0.003104i,0.0036435-0.00016879i,0.0049199-0.0070272i,-0.0083249-0.0027921i,-0.0038134-0.00056166i,-0.0022143-0.0028651i,-0.0030285-0.0023513i,-0.0059339-0.0049108i,-0.023618+0.025088i,-0.017004+0.011119i,-0.014417-0.01422i,-0.0072254-0.00070901i,0.0025318+0.023616i,-0.0056555+0.013331i,0.0029353+0.0035293i
0.013172+0.045126i,0.0068226+0.0204i,0.0062826+0.031094i,0.00017602+0.021252i,0.0050374+0.0073978i,0.0036833+0.00038785i,0.012854+0.020841i,0.016539+0.0033897i,0.010505-0.0029475i,0.0003461+0.004468i,0.002859-0.0019661i,0.0057629-0.0030223i,-0.0020922-0.0009461i,0.0029576-0.0017203i,0.0020036-4.4894e-05i,0.0080973+0.00056686i,0.0054555+0.00040813i,0.00052131+8.2716e-05i,-0.0050763-0.0026325i,-0.0012535+0.00072732i,-0.0011077-0.00037943i,-0.0022705-0.0020088i,-0.0024743-7.4927e-05i,-0.0030869+0.0098453i,-0.00093529+0.0010751i,-0.00054403+0.0014457i,1.7252e-05+0.0018678i,-0.0032383+0.00071375i,-0.00038506+0.00059055i,-0.00096353-0.00040635i,0.00026971-0.0021048i,-0.0010196-0.0029696i,-0.00058769-8.3817e-06i,-7.1349e-05+0.00043637i,0.00094822-0.00051057i,-0.014263+0.00034708i,0.0017441+0.00089756i,0.00026782+0.0020579i,-0.0012785+0.0029513i,-0.001637-0.00073565i,0.00067293+1.2293e-05i,-0.00064948-7.4792e-05i,0.0015814+0.00070568i,-0.0013934+0.00040118i,0.01592+0.019036i,-0.027242+0.00027134i,-0.011655+0.01594i,-0.033869+0.0056533i,-0.028545+0.038392i,-0.030537+0.0024713i,0.008095+0.0088407i,-0.0052351-0.006845i,-0.023645-0.00080317i,-0.023141+0.0090924i,0.0040794+0.031211i,-0.00039049+0.0030823i,0.0023624-0.0031585i,-0.0049503-0.012219i,0.006554+0.011295i,0.0091786+0.016474i,0.0026403+0.00040537i,0.0028274-0.0048025i,0.0019925+0.0025984i,0.0037344-0.0073101i,0.010557-0.0024444i,0.0083427+0.0039892i,-0.0072773+0.0044156i,0.01005+0.0066953i,0.0087853+0.0004199i,0.009953-0.00074125i,0.00011997+0.0014206i,0.0015505-0.0058748i,-0.00060664-0.0094768i,0.0008754+0.0025068i,-0.030786+0.014507i,-0.0022202-0.0087369i,-0.0026644-0.00012615i,0.0066146-0.0061153i,0.0011971+0.00061604i,-0.0074751-0.016092i,0.00042822-0.0064895i,0.0035469+0.0018267i,0.0036367-0.00084792i,0.0029902-0.0084255i,-0.0088146+0.0027052i,-0.0031788+0.0017449i,-0.0046464-0.0018579i,-0.0042286-0.0020771i,-0.0060386-0.0025903i,-0.020321+0.025924i,-0.01661+0.016073i,-0.0175-0.016293i,-0.0055209+0.0011498i,0.006926+0.023414i,-0.0050446+0.015132i,0.0037529+0.00090819i
0.020656+0.041908i,0.010801+0.018414i,0.012837+0.028903i,0.0032293+0.020261i,0.0063653+0.0075736i,0.0039929+9.5689e-05i,0.014517+0.015719i,0.016279+0.00041313i,0.0096212-0.0051857i,0.0012574+0.0042084i,0.0024229-0.0024083i,0.0033015-0.004639i,-0.0021659-5.9843e-05i,0.0020144-0.0017832i,0.0019539-0.00030419i,0.0068156-0.0017978i,0.0059572+0.00038209i,0.00028972+3.6023e-05i,-0.0054548-0.00063277i,-0.00065671+0.00095636i,-0.00051949-0.0006255i,-0.0023648-0.0016567i,-0.0021095+0.00055903i,0.00037687+0.010143i,-0.00058483+0.0012127i,-3.327e-05+0.0016923i,0.00071958+0.0014489i,-0.0025411+0.0019054i,-0.00051857+0.00041575i,-0.0013336-6.5317e-05i,-0.0007848-0.0018856i,-0.0023669-0.0020405i,-0.00043414+0.00022029i,3.9484e-05+0.00043322i,0.00038156-0.00070763i,-0.013392+0.0049758i,0.001726+0.00020222i,0.00071515+0.0015023i,-6.7989e-05+0.0039219i,-0.0007134-0.0008918i,-0.0011226-0.00078197i,0.00069857-0.00037008i,0.0015449+0.00079117i,-0.0012596+0.0009863i,0.018302+0.016196i,-0.026837+0.0067388i,-0.011427+0.015504i,-0.027634+0.0093297i,-0.015738+0.039984i,-0.027261+0.012596i,0.0063216+0.0013218i,-0.0058465-0.012516i,-0.020469+0.00064064i,-0.017077+0.013657i,0.012106+0.027256i,-0.00068982+0.0030156i,-0.0014202-0.002051i,-0.0097323-0.0089833i,0.010563+0.0068295i,0.0099802+0.011771i,-0.00066281+0.00164i,-0.00032702-0.0073378i,0.0054288+0.0013629i,-0.00037446-0.0069909i,0.0074038-0.006311i,0.0097785+0.00071393i,-0.0057284+0.0070913i,0.013558+0.0016536i,0.0091155-0.0047716i,0.0090792-0.0067106i,0.0014769+0.0013578i,-0.00036519-0.0062011i,-0.0045823-0.0061044i,0.0030913+0.0013894i,-0.021777+0.027245i,-0.0044795-0.0074573i,-0.0013857+0.0010781i,0.0010383-0.0068635i,0.0020713+0.00049116i,-0.013406-0.012513i,-0.0011376-0.0048587i,0.003939-0.00046438i,0.0031968-0.0016651i,5.8036e-05-0.0086608i,-0.0048784+0.0067856i,-0.001941+0.0031348i,-0.0053373+0.0016253i,-0.0060873-0.00096097i,-0.0059266-0.0016102i,-0.014946+0.029456i,-0.0078073+0.02079i,-0.023326-0.016353i,-0.003181+0.00017445i,0.010211+0.021324i,-0.0023004+0.017555i,0.0026425-0.0024787i
