-0.023505-0.038402i,-0.0093522-0.049814i,-0.017111-0.046167i,-0.031001-0.035776i,-0.029539-0.017503i,-0.050545-0.028776i,-0.059628-0.026449i,-0.04506-0.039442i,-0.029881-0.037058i,0.0074316+0.013349i,-0.0052849+0.015875i,-0.0049381+0.015015i,0.0098757+0.021992i,0.00027068+0.0049926i,0.0036009+0.003407i,0.0067832+0.018448i,0.027755+0.039371i,-0.0026734-0.00068781i,-0.0040754-0.0060516i,0.0083048+0.0017733i,-0.00011045-0.00098143i,-0.00099921+0.0014421i,0.00012061-0.0004612i,-0.030653-0.0024331i,-0.0013538-0.0057526i,0.0019845+0.0047374i,0.004015+4.8735e-05i,-0.00031793+0.00052214i,0.00059724-0.0007033i,-9.8933e-05-0.0025348i,-0.0014491-0.0063734i,-0.0046742-0.0043068i,-0.0019623-0.0049914i,0.0022233-0.000851i,0.0027799-0.0028361i,0.0025956+0.026969i,0.0019003-0.0028732i,0.0027745+0.00043334i,0.0061883+0.0011442i,-0.010509-0.0030703i,-0.0030613+0.00072493i,0.0068801+0.0017564i,0.0052993+0.0001435i,-0.0037012+0.0057622i,0.0018722-0.0084553i,-0.011615+0.018014i,0.036547-0.091081i,0.012631-0.070754i,-0.015507-0.059642i,-0.016624-0.055999i,0.038764-0.047459i,0.016694-0.063186i,0.034623-0.055985i,0.032004-0.059102i,0.015132-0.01386i,0.0042178+0.016428i,0.016575-0.026628i,-0.011654+0.0062667i,-8.8496e-05+0.0055001i,-0.0055101-0.00063535i,-0.0026556-0.028636i,-0.024+0.031438i,0.010941-0.011011i,-0.013276-0.0025835i,-3.1233e-06-0.0049637i,-0.0012462-0.015864i,-0.0079791+0.0048402i,0.0051806+0.0061491i,-0.0080976+0.031308i,0.0048497+0.0056552i,-0.0050894-0.00072434i,-0.0032173-0.00040114i,-0.012193-0.0072635i,-0.00062401-0.004324i,-0.029419+0.0065482i,-8.4144e-05-0.010128i,-0.0091747-0.0022571i,-0.0068249-0.0028145i,0.0068039+0.0027587i,-0.0075957+0.0013967i,0.00037853+0.00025843i,0.0060229+0.01074i,0.0038583+0.0014631i,-0.0092803-0.010288i,0.0037982+0.0081184i,-0.021441+0.0059121i,0.0082829-1.8925e-05i,-0.029066-0.0036111i,-0.04244+0.0026506i,0.019171-0.096022i,-0.0020752-0.012994i,-0.052637-0.022173i,-0.02345+0.0011863i,0.017616+0.010868i,-0.024852+0.0129i,-0.018825-0.013028i
-0.03191+0.018547i,-0.053581+0.018493i,-0.032651+0.045943i,-0.031442+0.024986i,-0.028719+0.04001i,0.0052392+0.047414i,-0.0033545+0.024451i,-0.017122+0.039731i,-0.013601+0.022039i,-0.0030646-0.0057453i,-0.0040606-0.0033796i,-0.0013634-0.003471i,-0.0038831-0.00093013i,-0.0067434-0.0047165i,-0.0020964+0.0042828i,-0.0031836-0.0017104i,-0.011206-0.0036218i,-0.0017627-0.00058538i,0.0026178-0.0016693i,0.0019845-0.00047176i,0.0029445-0.0035514i,0.0023449-0.0039112i,0.0012729-0.0026596i,-0.0094638-0.0080452i,-0.0021874+0.00053839i,-0.0041693+0.0013143i,-0.0019398-4.0637e-05i,-0.0034938-0.001068i,-0.0012191-0.001649i,0.0010096-0.0018153i,-0.0019967+0.0065974i,0.0013723+3.7786e-05i,0.0030019-0.00010427i,0.0010455+0.0014131i,-0.0015836+0.0035177i,-0.00095374-0.0064456i,-0.0012871+0.001074i,0.00055591-0.00014637i,6.4774e-05+0.0035954i,0.0078932+0.0052273i,0.0012655-0.0026485i,0.0012466-0.0034778i,-0.0034442+0.00044443i,0.0014208+0.0027419i,-0.031805-0.0073653i,0.012802-0.077289i,-0.093289-0.029634i,-0.053036-0.035893i,-0.07681-0.048991i,-0.058814-0.0050802i,-0.094254+0.019435i,-0.059171+0.011868i,-0.049144-0.025429i,-0.03256-0.057352i,-0.025152-0.029704i,0.0029753+0.00492i,-0.018166+0.010556i,0.0091531+0.0031308i,0.011118+0.0040082i,0.00055022-0.0066799i,0.0081716+0.00053791i,-0.0087242-0.0035096i,0.002396+0.01414i,-0.0015658+0.0094895i,0.00074179+0.0016426i,0.0056655+0.0035911i,0.0018872-0.00068899i,-0.0010601+0.015212i,0.00053997+0.011269i,0.0033982-0.0045854i,0.010066-0.0066022i,0.0022258+0.0024284i,-0.0080896-0.0074533i,-0.0025088-0.0028577i,0.01853-0.026432i,0.006397+0.0042224i,0.0034143+0.0044468i,-0.0033085+0.0026733i,0.0020578-0.0036963i,0.022104+0.0023302i,0.001875-0.0025281i,-0.00088256-0.0093512i,0.00058495-0.0026133i,0.013236+0.0033144i,0.0052215+0.00063742i,0.0049257-0.0068644i,0.003224+0.0088935i,0.0041678+0.00039651i,0.024973+0.0050551i,-0.079508-0.035578i,-0.005424+0.01748i,0.0068094-0.0026923i,-0.0011047+0.0031778i,-0.03583+0.01293i,-0.0071057+0.006509i,-0.017047+0.013223i
-0.027404+0.022409i,-0.049746+0.023781i,-0.021733+0.044502i,-0.027355+0.028993i,-0.022088+0.04159i,0.014035+0.044643i,-6.7918e-05+0.02408i,-0.0093334+0.04104i,-0.008975+0.019341i,-0.0047628-0.0036615i,-0.0045866-0.00083842i,-0.0025214-0.0041084i,-0.0047296-0.00041261i,-0.0069479-0.0019664i,-0.00081981+0.0051619i,-0.0055393+0.00051119i,-0.012993+0.0018283i,-0.0013757+0.00046611i,0.0028507-0.0021491i,0.0021943-0.0013898i,0.0016342-0.0041265i,0.0014917-0.0039036i,0.0008067-0.0026295i,-0.01077-0.0048731i,-0.001395+0.00099147i,-0.0037523+0.0027038i,-0.0014129+0.00066962i,-0.0033822+9.5755e-05i,-0.0018797-0.0013162i,0.00040239-0.0017156i,0.00086415+0.007044i,0.0010351-0.00027806i,0.0023974-0.0012492i,0.00084719+0.0011899i,-0.0014724+0.0031584i,-0.0012086-0.0057796i,-0.00078617+0.00085893i,-0.00034966-0.00051755i,0.00022913+0.0041266i,0.0079834+0.0009034i,0.00053735-0.0028306i,-0.00086867-0.0038355i,-0.0040511+0.0013008i,0.0020957+0.0023552i,-0.032831-0.0068033i,-0.010874-0.089597i,-0.090105-0.011485i,-0.062319-0.033834i,-0.088362-0.037641i,-0.057631+0.0051767i,-0.08422+0.03678i,-0.055153+0.024015i,-0.041766-0.024814i,-0.039838-0.052471i,-0.033285-0.018561i,0.0040135+0.0022574i,-0.011574+0.019312i,0.0090673-0.00031919i,0.011877-0.0022i,-0.0047642-0.010653i,0.0037186+0.00033628i,-0.008684+0.0029619i,0.007933+0.011988i,0.0012122+0.011517i,0.0011101+0.0014543i,0.0073024+0.0034584i,0.0028023+0.00039942i,0.0055589+0.011458i,0.0054526+0.0066829i,-0.0018533-0.0065396i,0.0033536-0.0075666i,0.003361+0.002896i,-0.010981-0.00024236i,-0.0026691+8.6178e-06i,0.0064771-0.02771i,0.0076198+0.0032402i,0.0072933+0.002706i,-0.0002668+0.0027341i,-0.00028615-0.0011461i,0.019142-0.0073827i,-2.6281e-06-0.0029437i,-0.0053617-0.0074551i,-0.0025739-0.0016175i,0.011374-0.0016754i,0.0049015+0.0007284i,0.0022377-0.0045987i,0.0060229+0.007393i,0.0034884-0.0001953i,0.024356-0.0028468i,-0.083824-0.026297i,0.001651+0.0071043i,0.0054934-0.0051722i,0.00016949+0.00088125i,-0.029272+0.022866i,-0.0050863+0.0070932i,-0.013018+0.016115i
-0.022054+0.025i,-0.046822+0.029048i,-0.014969+0.040686i,-0.022812+0.031287i,-0.014565+0.043624i,0.021875+0.039779i,0.0035137+0.023732i,-0.0014317+0.040522i,-0.0080628+0.017247i,-0.0057675-0.0011708i,-0.0035649+0.0011118i,-0.0061654-0.0035439i,-0.0050773+0.0017549i,-0.0071572+0.00018882i,0.0010822+0.0056191i,-0.0061926+0.0041743i,-0.011791+0.0078231i,-0.00013634+0.00085644i,0.002933-0.0037246i,0.0020871-0.0028074i,0.00014482-0.0045719i,0.00062914-0.0045562i,0.00042429-0.0027911i,-0.011524-0.0021175i,-0.0010112+0.0012595i,-0.002256+0.0042621i,-0.00078851+0.00062479i,-0.0028022+0.0014732i,-0.002218-0.00079285i,-0.00062188-0.0024564i,0.0036485+0.0058538i,0.00066927-0.00045458i,0.0016188-0.0017266i,0.001392+0.00073101i,-0.00027679+0.0040168i,-0.0011747-0.0057712i,-0.0011447+0.0006367i,-0.00091061-0.0003543i,0.0033257+0.0029291i,0.0062776-0.0017892i,-0.00018968-0.0027083i,-0.00099588-0.0022994i,-0.0043421+0.0026311i,0.0023091+0.00091776i,-0.035352-0.0039447i,-0.040343-0.089462i,-0.080368+0.002166i,-0.072039-0.026199i,-0.095479-0.022335i,-0.053227+0.013434i,-0.069302+0.048818i,-0.041007+0.034247i,-0.045548-0.02579i,-0.04637-0.047963i,-0.034508-0.0060111i,0.0044453-0.00093131i,-0.0019473+0.021428i,0.0082832-0.003184i,0.0078042-0.0073623i,-0.014759-0.0088717i,0.0026166-0.00011477i,-0.0044305+0.006606i,0.011039+0.0069755i,0.0047461+0.01205i,0.00024123+0.0016431i,0.0078941-0.0005729i,0.0045851-0.0014977i,0.0073386+0.006544i,0.0050912+0.0022262i,-0.0063574-0.0027125i,0.0010203-0.0060684i,0.0053824+0.0018459i,-0.0072436+0.0089207i,-0.00079962+0.001235i,-0.0028032-0.02452i,0.0095213-0.00014844i,0.0068862-0.00089779i,0.00033339+0.002093i,0.00096556+0.00046098i,0.01241-0.012523i,-0.0024401+4.5581e-06i,-0.0082767-0.004092i,-0.0032459+0.0018387i,0.0071164-0.0043532i,0.0077639-0.0011065i,0.0029001-0.0045387i,0.0094737+0.0039976i,0.0053709-0.0018642i,0.021166-0.010129i,-0.087299-0.013097i,-0.001154-0.0019647i,0.0058388-0.0077662i,0.000162-0.0020488i,-0.019485+0.027005i,-0.0055636+0.0029975i,-0.0085779+0.013014i
-0.016482+0.025378i,-0.042634+0.035508i,-0.011456+0.037455i,-0.017891+0.034416i,-0.0060142+0.042732i,0.028202+0.033441i,0.0078654+0.022867i,0.0057339+0.037889i,-0.0075773+0.017588i,-0.0053752+0.0013642i,-0.0027165+0.0013523i,-0.0081997+0.00060083i,-0.004581+0.0034548i,-0.0072157+0.0028392i,0.0029015+0.0050482i,-0.004548+0.0079636i,-0.0072152+0.012714i,0.00061156-2.8035e-05i,0.0013346-0.0046649i,0.00034487-0.0043195i,-0.0014545-0.0042754i,-0.00057222-0.0046073i,-0.00014453-0.0033357i,-0.011422+0.0015689i,-0.00040016+0.00095317i,0.00019668+0.0035943i,-0.00078408+0.0002759i,-0.0015496+0.0018741i,-0.0024464+0.00016292i,-0.002186-0.0017262i,0.0053316+0.0037021i,0.00034079-0.00035922i,0.00068845-0.0020472i,0.0015167+0.00013967i,0.001866+0.0034854i,-0.0022117-0.0071745i,-0.00092094+0.0011541i,-0.0013738+0.00015599i,0.0029389-0.00049229i,0.0044804-0.0028162i,-0.0006633-0.0024604i,-0.00046031-0.0023493i,-0.0035561+0.0043635i,-0.00014256-0.0011533i,-0.037874-4.9001e-05i,-0.066348-0.074374i,-0.07042+0.0077566i,-0.079405-0.014643i,-0.099349-0.0057383i,-0.047193+0.019093i,-0.055305+0.054902i,-0.026374+0.033553i,-0.048428-0.020263i,-0.052459-0.040419i,-0.03235+0.0023986i,0.0021414-0.0037739i,0.0062997+0.019286i,0.0067193-0.0058214i,0.0023083-0.0085598i,-0.020456+0.00035022i,-0.0002589+0.00059347i,-0.00019718+0.0060038i,0.010872+0.0016393i,0.0095032+0.01157i,0.0005889+0.002791i,0.0047852-0.0023324i,0.0039162-0.004808i,0.0062857+0.002199i,0.0025689+0.00055636i,-0.0061089+0.00042066i,-0.0011281-0.0050354i,0.0058452-0.00025005i,0.0025528+0.010326i,-2.1773e-05+0.0005233i,-0.0076035-0.01938i,0.0083169-0.0035828i,0.0062081-0.0030936i,0.0015119+0.0028916i,0.0013486+9.2393e-05i,0.0065278-0.013087i,-7.3137e-05+0.0020033i,-0.0096049+0.00031671i,-0.0011874+0.0036905i,0.0043038-0.003972i,0.0068741-0.0051832i,0.0010741-0.0048889i,0.0092865-0.0014053i,0.0039063-0.0054282i,0.016352-0.016505i,-0.084272+0.0010785i,-0.0080259-0.005004i,0.0039813-0.012658i,-0.0012875-0.0046495i,-0.012291+0.026439i,-0.008973+0.0028799i,-0.0082267+0.011977i
-0.012532+0.025005i,-0.037619+0.04118i,-0.010057+0.036363i,-0.011536+0.036459i,0.0011123+0.039864i,0.032508+0.026321i,0.012562+0.02053i,0.0116+0.034398i,-0.0056732+0.018894i,-0.0038366+0.0030923i,-0.0029034+0.0020608i,-0.0072936+0.0042627i,-0.0036296+0.004919i,-0.0056318+0.0056104i,0.0044737+0.0040136i,-0.0011578+0.010125i,-0.0010941+0.014403i,0.0004506-0.00064262i,0.00021022-0.0046937i,-0.0018228-0.0039645i,-0.0029364-0.0033061i,-0.0019674-0.0041576i,-0.0014635-0.0033429i,-0.0094109+0.0043043i,-0.0007975+0.00040027i,0.00037414+0.001974i,-0.0010508+0.00020374i,-0.00076541+0.001808i,-0.0020869+0.0011671i,-0.0021217-0.00020052i,0.0057124+0.0011832i,0.00037891-0.00036823i,-0.00018949-0.0017335i,0.0011761-0.00038847i,0.0025159+0.0021087i,-0.0048113-0.0074336i,-0.00069843+0.0014894i,-0.0012519+0.0012186i,0.00073107-0.001232i,0.0029093-0.0028439i,-0.0011425-0.0023946i,-0.00089583-0.002611i,-0.0017745+0.0054022i,-0.0026213+0.0010328i,-0.038958+0.0066457i,-0.077528-0.05015i,-0.064666+0.009082i,-0.083953-0.0006009i,-0.099566+0.012697i,-0.042669+0.021888i,-0.041558+0.058146i,-0.016981+0.030182i,-0.049501-0.015443i,-0.055655-0.033254i,-0.029207+0.010059i,-0.00032263-0.0049404i,0.014657+0.014066i,0.0045965-0.007424i,-0.0025607-0.0071647i,-0.019886+0.0096534i,-0.0006941+0.0029013i,0.0026477+0.0061054i,0.0074297-0.0011137i,0.014469+0.0081248i,0.0016463+0.0032694i,0.0026991-0.0015301i,0.0018596-0.0068646i,0.0034835+0.0013991i,0.00056338+0.0015504i,-0.0062073+0.0044683i,-0.0027269-0.0026539i,0.0051336-0.0023776i,0.0073715+0.0056353i,0.00043071+0.00056597i,-0.010385-0.017299i,0.0060795-0.005998i,0.0043973-0.0050285i,0.0042829+0.0021985i,0.0017704+8.4575e-06i,0.003097-0.011884i,0.0018245+0.0014806i,-0.0073175+0.0059407i,0.0012504+0.0037138i,0.0033202-0.003522i,0.0028718-0.0092447i,0.00050041-0.0042518i,0.0060988-0.0052466i,4.522e-05-0.0070264i,0.0085536-0.021948i,-0.078686+0.010369i,-0.015815-0.00089242i,-0.00036137-0.01574i,-0.0030485-0.0068776i,-0.0075975+0.025567i,-0.01182+0.0059059i,-0.0069741+0.01277i
-0.0093962+0.02486i,-0.031609+0.046407i,-0.0083137+0.038043i,-0.0050742+0.036319i,0.0056497+0.035833i,0.035625+0.019333i,0.016804+0.016748i,0.016335+0.03046i,-0.003161+0.019008i,-0.0024615+0.0033052i,-0.0031506+0.0035959i,-0.0052943+0.0068196i,-0.0020333+0.0063705i,-0.0031223+0.0067666i,0.005229+0.0024862i,0.002488+0.010465i,0.0049854+0.013357i,0.00040022-0.00052552i,-0.0013003-0.0047436i,-0.0032109-0.0028251i,-0.0032949-0.0017013i,-0.002716-0.0033067i,-0.0023097-0.0025893i,-0.0077782+0.0054122i,-0.0013788+0.00076024i,-6.9311e-05+0.0016571i,-0.0014007+0.00058832i,-9.026e-05+0.0014142i,-0.0012554+0.0017144i,-0.0016559+0.00048962i,0.0052754-0.00085402i,8.2356e-05-0.00059533i,-0.00067586-0.0012911i,0.0008253-0.00079995i,0.0026775+0.0014561i,-0.0074758-0.0063908i,-0.00042671+0.0015111i,-0.00036273+0.0018264i,-0.00024945-0.0011048i,0.0020044-0.0024389i,-0.0018011-0.0018429i,-0.0018057-0.0022131i,0.00025627+0.0054988i,-0.0022636+0.0042345i,-0.037982+0.014034i,-0.076792-0.032384i,-0.062528+0.011769i,-0.083861+0.016817i,-0.093793+0.032593i,-0.041011+0.024747i,-0.029883+0.057731i,-0.0094807+0.026037i,-0.049169-0.0089745i,-0.059366-0.026015i,-0.024419+0.014581i,-0.003421-0.0043092i,0.017885+0.0017484i,0.0025907-0.0091549i,-0.0057858-0.0036058i,-0.014346+0.017484i,0.00063006+0.0036696i,0.0064091+0.0037181i,0.0055941-0.00037515i,0.01791+0.00034164i,0.0028714+0.0033552i,0.0022559-0.0008434i,-0.0026313-0.0089265i,0.0023597+0.0027072i,0.00085114+0.0035329i,-0.0021724+0.0082346i,-0.0017278-0.00046541i,0.0036332-0.0033787i,0.0085314+0.0010422i,0.0015128-0.00013784i,-0.015707-0.015866i,0.002975-0.0070951i,0.0015247-0.0059539i,0.0038343-0.00028406i,0.0017423+0.00013153i,0.0016427-0.010168i,0.0023564-5.3894e-05i,-0.0026817+0.008167i,0.0024149+0.0017243i,0.0023956-0.0039773i,-0.0029162-0.0092141i,-0.00052172-0.0053983i,0.0026044-0.0057876i,-0.0025213-0.0069076i,-0.0017685-0.022164i,-0.075521+0.01866i,-0.013162+0.010061i,-0.0055092-0.016548i,-0.0063668-0.0075692i,-0.0046313+0.024837i,-0.011099+0.010408i,-0.0024942+0.012345i
-0.0061578+0.024842i,-0.024267+0.051389i,-0.0043125+0.040713i,0.0002339+0.034827i,0.0081807+0.033295i,0.03758+0.012002i,0.019842+0.01202i,0.020065+0.026436i,-0.00055625+0.019508i,-0.0018275+0.0036722i,-0.0018607+0.0058329i,-0.0022936+0.0087114i,1.2184e-05+0.0071048i,-0.00081073+0.0067494i,0.0053258+0.00096113i,0.0058864+0.0094447i,0.009487+0.010123i,0.00049681-0.00049587i,-0.0025804-0.0041283i,-0.0038669-0.0011292i,-0.0030025-0.00055207i,-0.0034684-0.0025766i,-0.0027694-0.0017364i,-0.0068432+0.0071618i,-0.0013586+0.0014841i,-2.9511e-05+0.0021371i,-0.0012622+0.0013967i,-0.0001317+0.0008745i,-0.00060568+0.0016891i,-0.0012307+0.00071945i,0.004229-0.0024952i,0.00010249-0.00029608i,-0.0006427-0.0010988i,0.00045792-0.0010522i,0.0030923+1.065e-05i,-0.0097318-0.004381i,5.0417e-05+0.0016983i,0.00034975+0.0016027i,-0.0009618-0.00096868i,0.0016661-0.0023786i,-0.0020478-0.0010358i,-0.001877-0.0012782i,0.0018023+0.0044558i,-0.00069597+0.0055377i,-0.03417+0.020314i,-0.075946-0.024166i,-0.061412+0.016714i,-0.076858+0.032183i,-0.082611+0.05005i,-0.038341+0.030753i,-0.019943+0.057371i,-0.0054206+0.021016i,-0.04754-0.0038564i,-0.061924-0.017301i,-0.020365+0.018117i,-0.0042974-0.0044982i,0.010993-0.008602i,-0.00077295-0.0109i,-0.0064298-0.00022848i,-0.0064221+0.019784i,0.0010169+0.003198i,0.0075699-0.0010725i,0.0064016-0.00070998i,0.015302-0.0061319i,0.0050326+0.0027045i,0.0023977+0.00045366i,-0.0076297-0.0042223i,0.0032469+0.0039387i,0.0024798+0.0047308i,0.0023899+0.0082071i,-0.0012772-0.0001253i,0.0024473-0.0039034i,0.0081937-0.0043343i,0.00040026-0.00097009i,-0.021456-0.010181i,0.00066597-0.0067399i,-0.00081575-0.0043188i,0.004413+0.00035157i,0.0017412-0.00041239i,0.0010604-0.011202i,0.0019155-0.0013129i,0.00090415+0.0066549i,0.0024829+0.0011514i,0.0020918-0.0034484i,-0.0061258-0.0056414i,-0.0038023-0.0058124i,-0.00035643-0.0053754i,-0.0049543-0.0062076i,-0.0087362-0.018266i,-0.07022+0.027401i,-0.0071863+0.0084858i,-0.0070071-0.015509i,-0.0084875-0.0063735i,-0.00053996+0.023162i,-0.0099308+0.012341i,-0.0010783+0.0097835i
-0.0027841+0.024238i,-0.015442+0.054949i,0.0017345+0.043061i,0.0046804+0.033573i,0.01074+0.031889i,0.037946+0.0048445i,0.021745+0.0068189i,0.023544+0.022433i,0.0027577+0.019468i,-0.00095772+0.0041742i,0.0010282+0.0068218i,0.0013338+0.0085994i,0.0021015+0.0070189i,0.0006827+0.0065063i,0.0052422-0.00025746i,0.0087288+0.0069977i,0.011952+0.0058575i,0.00080256-0.0011448i,-0.0036169-0.0032727i,-0.0034325+0.00075175i,-0.0024484+0.00031087i,-0.0040056-0.0010751i,-0.0029726-0.00092812i,-0.0038935+0.0088532i,-0.00085259+0.0022188i,0.00084519+0.0022465i,-0.00070766+0.0019854i,-0.00052709+0.0010746i,-0.00013086+0.0017524i,-0.00082601+0.0010158i,0.0025941-0.0035297i,0.00043329-0.00062535i,-0.0011394-0.0010621i,-9.7682e-05-0.0011285i,0.0022324-0.0011971i,-0.011039-0.0011273i,0.00053821+0.0015777i,0.00091559+0.0014533i,-0.001776-0.00050688i,0.0015842-0.0022099i,-0.0017625-0.00047065i,-0.0018999-0.00097867i,0.0025571+0.0032385i,0.0011276+0.0064015i,-0.030136+0.024042i,-0.080874-0.016884i,-0.059878+0.022459i,-0.068193+0.043939i,-0.066968+0.061419i,-0.034042+0.035847i,-0.0098912+0.055284i,-0.0027501+0.017995i,-0.045758+0.00071037i,-0.062347-0.0073664i,-0.016123+0.021176i,-0.0060567-0.0034815i,0.00306-0.0098876i,-0.0047887-0.011089i,-0.0051919+0.0036472i,0.00060519+0.018236i,0.00071245+0.0027396i,0.005755-0.0058139i,0.0054961-0.0022205i,0.011129-0.011162i,0.0065776+0.00053093i,0.0035533+0.00060229i,-0.008203-0.00030072i,0.0048751+0.0045273i,0.0049343+0.0050654i,0.0064971+0.0060827i,-0.00092296+0.00094088i,0.0020218-0.0041003i,0.0049768-0.0081921i,-0.00037729+0.00032769i,-0.02431-0.0019788i,-0.00085097-0.0063259i,-0.0018106-0.0024942i,0.0055986-0.00066172i,0.00166-0.00077832i,-0.0015448-0.013203i,0.00094738-0.0016802i,0.0035525+0.0061803i,0.0031288+0.00036843i,0.0030018-0.0036843i,-0.0075155-0.0028554i,-0.007083-0.002492i,-0.0029608-0.0037358i,-0.0065602-0.0051041i,-0.013029-0.013112i,-0.064379+0.03442i,-0.0067824+0.0063874i,-0.0077465-0.017859i,-0.0096954-0.0047564i,0.00043377+0.022185i,-0.0096983+0.014048i,7.4894e-05+0.008376i
0.00069518+0.023643i,-0.0054634+0.056537i,0.0099247+0.043563i,0.0090569+0.032206i,0.01444+0.031611i,0.037314-0.0018375i,0.022237+0.0011611i,0.026815+0.017776i,0.0063578+0.018371i,-0.0001727+0.004279i,0.0035134+0.0055043i,0.0037813+0.0065582i,0.0041645+0.0063617i,0.002502+0.006167i,0.0048596-0.0014927i,0.0098754+0.0036087i,0.012519+0.0011983i,-4.0118e-05-0.0018296i,-0.0047463-0.0016894i,-0.0020433+0.0017667i,-0.0015119+0.00049071i,-0.0035991+0.00017782i,-0.003008+3.468e-05i,-0.00071497+0.0089327i,7.9222e-05+0.0025835i,0.0015371+0.0017707i,0.00018956+0.0021828i,-0.00024691+0.0016633i,0.00056601+0.0014398i,-0.00033194+0.0010227i,0.00090589-0.0037959i,-6.101e-05-0.00099531i,-0.0016167-0.00053429i,-0.00073147-0.00099486i,0.0011532-0.0018711i,-0.010735+0.0026112i,0.0008739+0.001286i,0.0014947+0.00099325i,-0.0021337+0.00033247i,0.001233-0.0025702i,-0.0016498-0.00028133i,-0.0020462-0.000657i,0.0026362+0.0022301i,0.0032766+0.0065597i,-0.026347+0.028388i,-0.088545-0.0030279i,-0.055614+0.028274i,-0.056745+0.05217i,-0.051782+0.068947i,-0.029012+0.042248i,-0.00040995+0.051145i,0.0024805+0.014713i,-0.043447+0.0055055i,-0.060169+0.0029512i,-0.011773+0.024148i,-0.007758-0.0021499i,-0.0026702-0.0093119i,-0.0092255-0.009522i,-0.0014242+0.0051026i,0.0044287+0.014388i,-0.00014268+0.0027465i,0.0026819-0.0089427i,0.0052622-0.0017366i,0.0045332-0.013802i,0.0067592-0.0028211i,0.0047058-0.00023854i,-0.0080356+0.0038388i,0.0077232+0.0038475i,0.0081175+0.0027306i,0.0089238+0.0020851i,0.00035605+0.0018068i,0.0010921-0.004378i,-0.0011133-0.0087859i,0.00081209+0.0019952i,-0.024257+0.0072482i,-0.0021402-0.005789i,-0.0014412-0.00059563i,0.0059184-0.0043993i,0.0019077-0.00078784i,-0.0072073-0.013615i,-1.346e-05-0.0013751i,0.0059524+0.0036894i,0.0032757-0.00016252i,0.0024147-0.004639i,-0.0070798+0.0016848i,-0.0071478+0.0019683i,-0.0045394-0.0015578i,-0.008571-0.0037916i,-0.014771-0.0078834i,-0.059184+0.040776i,-0.0074467+0.0084272i,-0.0124-0.021681i,-0.0081868-0.0035591i,0.0035589+0.022307i,-0.0090916+0.01779i,0.0020088+0.0060533i
0.0042306+0.022222i,0.0044217+0.055665i,0.017947+0.040762i,0.013464+0.030236i,0.019416+0.030456i,0.035972-0.0080976i,0.021069-0.0042091i,0.028964+0.012403i,0.0095012+0.016414i,0.00051476+0.004679i,0.0044321+0.0039809i,0.0044705+0.0046964i,0.0058434+0.0047778i,0.0040364+0.0050246i,0.0041071-0.0025687i,0.0094209+0.00059916i,0.01127-0.002413i,-0.00080774-0.0015868i,-0.0045174+0.00017401i,-0.00077161+0.0017675i,-0.00085914+0.00015034i,-0.0030554+0.00082347i,-0.00241+0.00083411i,0.0017876+0.0084822i,0.001216+0.002281i,0.0019717+0.0012711i,0.0010907+0.0019537i,0.00049431+0.0017359i,0.00089426+0.00077536i,-0.00032639+0.00099173i,-0.00060591-0.0032445i,-0.00074824-0.00089756i,-0.00162+0.00022964i,-0.0011278-0.00052591i,0.00027171-0.0020392i,-0.0091716+0.0056243i,0.0011532+0.00095928i,0.0016318+0.00017825i,-0.0019912+0.0014616i,0.00070817-0.0031461i,-0.0016069+0.00013386i,-0.0020582-0.00049147i,0.002523+0.0016132i,0.005279+0.0057072i,-0.021306+0.032024i,-0.089644+0.017198i,-0.052808+0.032156i,-0.046476+0.056802i,-0.034765+0.073731i,-0.020372+0.048551i,0.0064021+0.044921i,0.0054681+0.0072625i,-0.03915+0.009123i,-0.054478+0.013198i,-0.0046906+0.025659i,-0.0089964+0.00036315i,-0.0084007-0.006118i,-0.012113-0.0060237i,0.0014415+0.0034048i,0.0059628+0.01163i,-0.0018776+0.0039186i,-0.0012479-0.01141i,0.0059946-0.0030503i,-0.0018699-0.012331i,0.0045777-0.005174i,0.0052426-0.0025713i,-0.0062153+0.0072524i,0.0099116+0.00020984i,0.008716-0.0023506i,0.0081632-0.0034612i,0.0025538+0.0013502i,1.8825e-05-0.0045056i,-0.0045839-0.004846i,0.0028084+0.0011191i,-0.019831+0.017444i,-0.0035773-0.0048295i,-3.5819e-05+0.00050013i,0.0027321-0.0062371i,0.0019532-0.00099385i,-0.012868-0.01002i,3.2022e-05-0.00024276i,0.0067637+0.00010734i,0.0029966-0.00099779i,0.0014917-0.0050227i,-0.0043929+0.0046694i,-0.0049907+0.0052316i,-0.0046964+0.0018783i,-0.010279-0.0015919i,-0.015103-0.0036083i,-0.052363+0.049159i,-0.0018955+0.010603i,-0.019751-0.021188i,-0.0073128-0.0047478i,0.0061097+0.021362i,-0.0057263+0.021329i,0.0024016+0.0021765i
