-0.023595-0.019233i,-0.031216-0.034556i,-0.022689-0.019823i,-0.032103-0.020657i,-0.024216+0.003793i,-0.028833-0.018177i,-0.055307-0.048353i,-0.040346-0.044452i,-0.030448-0.015741i,0.0054993+0.0055185i,-0.0034318+0.0061523i,-0.010362+0.011319i,0.0038604+0.0072424i,-0.003755-0.0024964i,0.0028828+0.0019283i,0.0017656+0.028839i,0.018156+0.013894i,-0.00017334+0.00022023i,-0.003073-0.0027579i,0.0080724+0.0036229i,0.0017202+0.00057888i,-0.00068536+0.0023823i,-0.0006143+0.00031795i,-0.028662-0.0023535i,-0.0035745-0.0046902i,-0.000113+0.0025135i,0.0049865-0.0011222i,0.00093368-0.00016853i,-0.00062552-0.00045066i,-0.0012059-0.0019505i,-0.0022801-0.00045541i,-0.0037394-0.0041556i,-0.0032435-0.0056694i,0.00056054-0.0012359i,0.00044425-0.002862i,-0.0044651+0.024744i,0.001882-0.0031823i,0.0024572-0.0037278i,0.0043912-0.0023208i,-0.0076468-0.0015586i,0.00047793+0.0013414i,0.0086653-0.0016859i,-0.002086+0.00059122i,-0.0032721+0.00087231i,-0.0086922-0.003625i,-0.018349+0.021777i,-0.0080109-0.08679i,-0.0027688-0.06102i,-0.02074-0.054145i,-0.011323-0.045811i,0.053545-0.026819i,0.023583-0.067186i,0.039957-0.054069i,0.019141-0.039848i,0.026593-0.020116i,0.012124+0.011784i,0.025235-0.028262i,-0.011064-0.0024517i,-0.0013301-0.00047666i,-0.0086742-0.0016467i,-0.0050399-0.030207i,-0.021408+0.025438i,0.0071224-0.0095311i,-0.010727-0.0030894i,-0.0028125-0.001842i,0.00016086-0.014787i,-0.0083039+0.0054571i,0.0062386+0.010683i,-0.012683+0.029381i,0.0068623+0.0079188i,-0.0033565-0.0014162i,-0.0021842-0.0015568i,-0.013039-0.005389i,0.00067275-0.0043843i,-0.030801+0.0016039i,0.0035943-0.0090052i,-0.0077624-0.0019422i,-0.0048868-0.003109i,0.0074734+0.002035i,-0.0097981+0.00064234i,0.002263-0.00037464i,0.0063681+0.007462i,0.0054047+0.0013714i,-0.0073953-0.0095648i,0.0031635+0.0075568i,-0.019011+0.0087172i,0.0029673+0.006045i,-0.021488-0.0093728i,-0.026448-0.0050855i,0.010265-0.060618i,0.019066-0.014946i,-0.050051-0.028574i,-0.021912+0.0015788i,0.018681+0.009846i,-0.027791+0.011507i,-0.012586-0.0077751i
-0.011634+0.013821i,-0.022151+0.042119i,0.0013759+0.041002i,-0.010437+0.025004i,-0.0003751+0.021502i,0.001351+0.02348i,-0.026589+0.014653i,-0.027004+0.032556i,0.00040814+0.016712i,-0.0012971-0.0013499i,-0.0007601+0.0016724i,0.0041189+0.0035044i,0.0035929+0.0048441i,-0.0031283+0.0016297i,-0.0032136+0.003652i,0.00051621-0.0076418i,-0.0076294+3.6877e-05i,-0.0019348+0.00030056i,9.2456e-05-0.0013191i,-0.0010706-0.00041308i,0.00062996-0.0031784i,0.0012794-0.0027565i,0.0010732-0.001535i,-0.0092909-0.0091894i,-0.00020259-0.00037872i,-0.0013976+0.00041514i,-0.0024822-5.6088e-05i,-0.0027296+4.6719e-05i,-0.00091059-0.00095894i,0.0010673-0.0005622i,-0.0015214-1.5816e-05i,0.0016883-0.000339i,0.0016279-0.00096127i,0.00067411+0.00063802i,-0.0001845+0.0018783i,-0.00046739-0.0069411i,-0.0013541+0.0011827i,0.0017453+0.00038982i,0.001326+0.0026466i,0.0050623+0.0054608i,0.0012483-0.0016109i,-0.0014714-0.0011993i,-0.0014445-0.002576i,0.0025188+0.0061323i,-0.0072738+0.0076091i,0.019251-0.058458i,-0.074843+0.014783i,-0.027649-0.018491i,-0.061073-0.048038i,-0.053234-0.017233i,-0.086922+0.0027065i,-0.073944+0.0016276i,-0.045354-0.035831i,-0.0094935-0.045176i,-0.038863-0.025429i,-0.0061441+0.0004091i,-0.031418+0.011138i,0.0078292+0.011782i,0.0097723+0.0072689i,0.0010508-0.0078344i,0.011136+0.0029016i,-0.010233-0.0025245i,0.0026473+0.012285i,0.0028204+0.00595i,0.00019538-0.0014062i,0.0056407+0.001596i,0.0040588+0.0008159i,-0.0049906+0.019025i,0.00035706+0.0096866i,0.00047953-0.0039068i,0.0084391-0.0061931i,0.001224+0.0038652i,-0.0082019-0.0075558i,-0.0022649-0.00080088i,0.023278-0.026581i,0.0055113+0.0091779i,0.0017602+0.0027619i,-0.0019248+0.0042676i,0.0026204-0.0037612i,0.019606+0.0035051i,0.001146-0.0021793i,-0.001356-0.0058514i,-0.00071838-0.0019253i,0.011099+0.0035369i,0.0052521-0.00058881i,0.0040768-0.0081529i,0.004275+0.0046003i,-0.005673+0.003538i,0.013809+0.0069004i,-0.042313-0.038508i,-0.014017+0.0057323i,-0.0024862-0.0019142i,-0.00054294+0.001984i,-0.041568+0.010574i,-0.0067238+0.0088625i,-0.013896+0.0037588i
-0.0086826+0.014631i,-0.015037+0.043026i,0.01038+0.034738i,-0.0053232+0.02578i,0.0026882+0.019102i,0.0058382+0.022241i,-0.025534+0.019341i,-0.0194+0.034301i,0.0039969+0.011248i,-0.0016819-0.00051442i,6.5716e-05+0.0027294i,0.0048303+0.0012363i,0.0043989+0.0030689i,-0.0015743+0.0028102i,-0.0024658+0.0047045i,-0.0040691-0.0055055i,-0.0083906+0.0041742i,-0.0018498+0.0011777i,0.00069676-0.00095244i,-0.00047939-3.9469e-05i,-1.2795e-05-0.0030013i,0.0010035-0.002273i,0.00085896-0.0015145i,-0.011421-0.0059866i,7.5936e-05-0.00024636i,-0.0013845+0.00076243i,-0.0018139+0.00097029i,-0.0023682+0.00059494i,-0.0013033-0.00083228i,0.001074-0.00075104i,-0.0012288+0.00071345i,0.0010935-0.00066649i,0.00097524-0.00089833i,0.00038064+0.0005185i,-0.0008624+0.0014993i,-0.00091784-0.0055101i,-0.00067195+0.0011557i,0.0010147-0.00039422i,0.0015917+0.00231i,0.0059462+0.0026672i,0.00079721-0.0020889i,-0.0025314-0.00090434i,-0.0028084-0.0014973i,0.0041997+0.0051969i,-0.0052523+0.0054098i,0.00085783-0.068275i,-0.065479+0.02911i,-0.034869-0.021329i,-0.073774-0.038982i,-0.053458-0.0056929i,-0.078294+0.020763i,-0.07145+0.016315i,-0.040364-0.034258i,-0.014873-0.043085i,-0.046717-0.0098997i,-0.006891+0.00018356i,-0.024522+0.023267i,0.010183+0.0058786i,0.011827+0.0011557i,-0.0045873-0.012494i,0.0071722+0.0023159i,-0.0098071+0.0030912i,0.0076986+0.0098844i,0.0046758+0.0070678i,-0.00078452-0.0010699i,0.0063504+0.0023696i,0.0051838+0.00052776i,0.0037671+0.016693i,0.0043676+0.005854i,-0.003358-0.0051017i,0.0020349-0.006847i,0.0029933+0.0047482i,-0.011169+0.00021651i,-0.0021738+0.0016501i,0.0094059-0.031113i,0.0089428+0.0078928i,0.0040743+0.0020601i,0.0018483+0.003079i,-0.00036487-0.0016959i,0.017734-0.0059463i,-0.00036026-0.0026125i,-0.005468-0.0037884i,-0.0030203-0.00062453i,0.010366-4.3504e-05i,0.0041962-0.00029557i,0.00042649-0.0065902i,0.0059796+0.0035828i,-0.0056415+0.0054473i,0.013933+0.0017995i,-0.048904-0.03243i,-0.0068831-0.0049075i,-0.0032879-0.0023937i,0.00066659+0.00061829i,-0.035227+0.022704i,-0.0045662+0.010195i,-0.012421+0.0057661i
-0.0054907+0.014475i,-0.0082395+0.044017i,0.015303+0.027009i,-0.00042824+0.024642i,0.0061592+0.01781i,0.0098384+0.019802i,-0.022146+0.02434i,-0.012579+0.033865i,0.0031201+0.0068249i,-0.001855+0.00062381i,0.0016366+0.0030357i,0.0024447-0.0003124i,0.00454+0.0018426i,-0.00065723+0.002939i,-0.0011371+0.0056613i,-0.007015-0.0011413i,-0.006354+0.0082548i,-0.00072571+0.0016745i,0.0013185-0.0012035i,0.00014676-0.00041641i,-0.0010935-0.0030218i,0.00089522-0.0028758i,0.00075542-0.0016706i,-0.012844-0.0025908i,-9.996e-05-0.0002562i,-0.00092885+0.0014921i,-0.00096979+0.00073586i,-0.0014714+0.0015881i,-0.0013956-0.00055696i,0.0006668-0.0014319i,-0.00074688+0.0011072i,0.00061208-0.00079906i,0.00059284-0.0011402i,0.00058441+0.00029249i,-0.00040583+0.0024298i,-8.0714e-05-0.005154i,-0.00063494+0.0009845i,0.00039238-0.0006831i,0.002929+0.0010914i,0.0054163+0.00028193i,0.00019574-0.0022506i,-0.0017512+0.0003977i,-0.0037936-2.605e-05i,0.0054828+0.0032542i,-0.0049055+0.0038813i,-0.021492-0.068507i,-0.051974+0.03819i,-0.043649-0.017955i,-0.081728-0.024216i,-0.048746+0.0029693i,-0.063502+0.032427i,-0.058632+0.029066i,-0.044617-0.035673i,-0.019893-0.04213i,-0.044551+0.0059559i,-0.0072644+0.0015409i,-0.012843+0.029313i,0.010542+0.0013472i,0.0086014-0.0050036i,-0.015247-0.011015i,0.0069782+0.00072421i,-0.006582+0.0064155i,0.010373+0.0045227i,0.0062238+0.0067515i,-0.0027084+0.00058946i,0.007119-0.0013902i,0.0065199-0.0020588i,0.0076091+0.011203i,0.004103+0.0017196i,-0.0078027-0.0023022i,-0.0003214-0.0049162i,0.005853+0.0036676i,-0.0064687+0.0083254i,0.0002156+0.0032057i,-0.0028514-0.027106i,0.012463+0.0031779i,0.0040436-0.00014351i,0.0020662+0.00047744i,0.00042856+0.00032831i,0.011326-0.011315i,-0.0025327+0.0002195i,-0.0068417-1.8653e-05i,-0.0035807+0.002559i,0.0073483-0.0029936i,0.0070043-0.0017954i,0.00012471-0.0056489i,0.0091288+0.0006458i,-0.0024613+0.0066541i,0.012133-0.0025776i,-0.054486-0.021562i,-0.013228-0.013638i,-0.0020149-0.0036692i,0.001573-0.0010689i,-0.025427+0.029801i,-0.0024396+0.0055131i,-0.0079256+0.0030151i
-0.0027545+0.013327i,-0.00070543+0.043828i,0.017483+0.019756i,0.004194+0.023319i,0.010273+0.014443i,0.013363+0.016481i,-0.016987+0.027908i,-0.0076856+0.031771i,0.0019143+0.0055293i,-0.0011639+0.0017859i,0.0027723+0.0020102i,0.0011381+0.0013873i,0.0043539+0.00073156i,-0.00053696+0.0035656i,0.00046736+0.0058729i,-0.0064914+0.0043276i,-0.0018788+0.010556i,0.00012678+0.0014523i,0.00064852-0.0021159i,-0.00012311-0.001052i,-0.0017459-0.002314i,0.00026351-0.0031436i,0.00049312-0.0021794i,-0.012835+0.0019693i,-3.1683e-05-0.00036239i,0.00018332+0.0010873i,-0.00080515+0.00026186i,-0.00027454+0.0014803i,-0.0015937+0.0002394i,-0.00011765-0.0013427i,-0.00013999+0.0012555i,0.00017722-0.00088199i,-0.00018812-0.0010968i,0.00052562+7.1112e-05i,0.00094792+0.0021602i,-0.00024708-0.0070096i,-1.7478e-05+0.0014017i,-0.00030368-0.00050772i,0.0015315-0.00059202i,0.0044061-0.00095641i,-0.00027333-0.0024178i,-0.00082004+0.00030347i,-0.0036154+0.0018819i,0.0047752+0.00094596i,-0.005366+0.003444i,-0.040751-0.056701i,-0.038112+0.041049i,-0.050579-0.010444i,-0.085937-0.0087008i,-0.04273+0.0080691i,-0.050222+0.036605i,-0.045027+0.031837i,-0.049416-0.029791i,-0.025078-0.037833i,-0.038408+0.016025i,-0.0074783+0.003099i,-0.0013038+0.029669i,0.0093475-0.0033518i,0.0030849-0.0067979i,-0.022085-0.001704i,0.0043954-9.9506e-05i,-0.0033999+0.0072967i,0.0090561-0.001019i,0.0084323+0.0056306i,-0.002478+0.0031757i,0.0037025-0.0028097i,0.0057742-0.0062646i,0.0079233+0.0055942i,0.0015275+5.288e-05i,-0.0083142+0.0015179i,-0.001726-0.0035836i,0.0070849+0.0012501i,0.0021015+0.0096342i,0.0018988+0.0019713i,-0.0091658-0.021506i,0.012045-0.0013714i,0.0035338-0.0013653i,0.0020814+0.0011061i,0.0010044-8.2101e-05i,0.0053073-0.011429i,-0.00018587+0.0025339i,-0.0063704+0.0030492i,-0.00099146+0.0046912i,0.005027-0.0025901i,0.0066495-0.0059876i,-0.0018742-0.0050269i,0.0082499-0.0054786i,-0.00054747+0.0053515i,0.010146-0.0066942i,-0.052929-0.0088716i,-0.022594-0.014907i,-0.002986-0.0073713i,0.0026494-0.0046529i,-0.015899+0.030017i,-0.0065137+0.0037529i,-0.010002+0.00083704i
-0.0011099+0.012132i,0.0059056+0.04204i,0.016984+0.014119i,0.0086+0.020593i,0.012774+0.0098531i,0.01538+0.012537i,-0.010943+0.029692i,-0.0041591+0.030474i,0.0021388+0.0053845i,0.00012743+0.002266i,0.0028684+0.0010866i,0.0019547+0.0024949i,0.0040572-0.00037894i,0.00092464+0.0044702i,0.0020629+0.0056289i,-0.0033723+0.0075725i,0.0025061+0.010437i,0.00066771+0.0012489i,0.00034107-0.0020769i,-0.0006656-0.0011318i,-0.0024591-0.0017646i,-0.00059862-0.0029758i,-0.00037674-0.0024131i,-0.010247+0.005323i,-0.00021892-0.00060158i,0.00014753+0.00023109i,-0.00095761+0.00016678i,0.00028076+0.00086507i,-0.0011824+0.00099164i,-0.0002206-0.00088172i,0.00025992+0.0015917i,-3.22e-05-0.0010414i,-0.0005775-0.0004981i,0.00033798-9.1095e-05i,0.0011482+0.0013059i,-0.0020601-0.0082332i,0.00024623+0.0015079i,-0.00032541+0.00020663i,0.00063551-0.00080673i,0.0035928-0.0012605i,-0.0012279-0.0022161i,-0.00064083+0.0002426i,-0.0021918+0.0029616i,0.0035053+0.00085903i,-0.0052322+0.0041068i,-0.047965-0.039649i,-0.027593+0.038855i,-0.055131-0.00046161i,-0.087442+0.0085562i,-0.038533+0.0091943i,-0.038553+0.037744i,-0.035067+0.03155i,-0.051046-0.024457i,-0.027818-0.033763i,-0.03142+0.025756i,-0.0067358+0.0047579i,0.011613+0.025038i,0.0069508-0.006179i,-0.0016479-0.0055828i,-0.02157+0.008485i,0.0035669+0.00046111i,0.00043359+0.0084683i,0.004225-0.0032289i,0.010424+0.0025176i,-0.001307+0.0048589i,0.0016045-0.0016471i,0.0029554-0.0090654i,0.0043821+0.0013685i,-0.00058079+0.0013239i,-0.0080856+0.0069311i,-0.0027072-0.0014608i,0.0070076-0.0014622i,0.006384+0.0055139i,0.0024306+0.00091712i,-0.012756-0.019638i,0.0099372-0.0060695i,0.0026163-0.0023216i,0.0051517+0.00076556i,0.0011277-0.00011416i,0.0026919-0.009642i,0.002047+0.0017649i,-0.0039917+0.005754i,0.0020688+0.0042241i,0.0045076-0.0022622i,0.0031218-0.010297i,-0.0023842-0.0035564i,0.0033522-0.0088614i,-0.00051275+0.0040868i,0.0054309-0.010441i,-0.047016-0.0027489i,-0.032444-0.0063026i,-0.005847-0.0090584i,0.0010196-0.0093514i,-0.0093012+0.029538i,-0.0099025+0.006417i,-0.011138+0.0024869i
0.00035791+0.011246i,0.012165+0.039848i,0.016005+0.011287i,0.011834+0.016674i,0.012937+0.005044i,0.016638+0.0090443i,-0.0045084+0.029331i,-0.0016629+0.029348i,0.00289+0.0038027i,0.00085523+0.0015455i,0.0024603+0.00040532i,0.0030149+0.0025967i,0.0033917-0.0013072i,0.0026518+0.003791i,0.0033563+0.0048057i,0.00014027+0.0087362i,0.0066494+0.0083589i,0.0011667+0.00081239i,-0.00014326-0.0024229i,-0.0012236-0.00098416i,-0.0026087-0.00058931i,-0.00099243-0.0026919i,-0.0010599-0.0020392i,-0.0080245+0.0065067i,-0.00090722-0.00044487i,-0.0002835+6.1237e-05i,-0.0012241+0.00011559i,0.00041779+0.00018455i,-0.00039736+0.001159i,-0.00025976-0.00082304i,0.0010102+0.0014596i,-0.00053875-0.0011339i,-0.00037775+0.00012853i,7.2531e-05-0.00026721i,0.0013056+0.0013524i,-0.0038159-0.0092998i,3.3634e-06+0.00091813i,0.0001511+0.00032232i,0.00010314-0.00075953i,0.0030736-0.0015584i,-0.0017676-0.0012075i,-0.00061932+0.00022771i,-0.00071805+0.0031521i,0.0036709+0.0014096i,-0.0044153+0.0050465i,-0.04679-0.027553i,-0.020461+0.036605i,-0.05556+0.012742i,-0.082215+0.028829i,-0.039268+0.0099437i,-0.029441+0.035905i,-0.026837+0.030406i,-0.051177-0.018095i,-0.030138-0.030488i,-0.022218+0.030199i,-0.0063778+0.0066091i,0.018263+0.010934i,0.0045777-0.0084953i,-0.0048001-0.0020133i,-0.015948+0.016573i,0.0038091-0.00044853i,0.004907+0.0054796i,0.0013147-0.0013465i,0.011306-0.002119i,0.00071965+0.0065893i,0.00095642-0.00057652i,-0.0027098-0.011005i,0.0026402+0.0040019i,-0.00031904+0.003519i,-0.0022822+0.011386i,-0.001719+0.00056358i,0.0056467-0.0031313i,0.0077475+0.0015824i,0.0031782-0.00061342i,-0.0178-0.019988i,0.0061801-0.0086252i,0.00093067-0.0027429i,0.0037467-0.0021788i,0.00095968+0.00073949i,0.0018791-0.0078136i,0.0028016+0.0001586i,-0.00065735+0.006685i,0.0033318+0.0017851i,0.0034429-0.0031102i,-0.0028457-0.010301i,-0.0030232-0.0035274i,-0.00051312-0.0077474i,0.00010893+0.0034006i,-0.00091421-0.01051i,-0.04446+0.0015594i,-0.029992+0.0088321i,-0.0085569-0.0093117i,-0.0032476-0.011662i,-0.0042317+0.028289i,-0.0089595+0.011623i,-0.0084236+0.0035689i
0.0016795+0.010201i,0.018045+0.037091i,0.016239+0.0090991i,0.013547+0.012349i,0.011533+0.0017221i,0.017573+0.0054944i,0.00091768+0.027606i,0.0013859+0.029319i,0.0031473+0.0027857i,0.00094026+0.0011583i,0.0021713+0.0005721i,0.0045412+0.0023927i,0.0024528-0.0017982i,0.003563+0.0020362i,0.004141+0.0038235i,0.0034612+0.0083887i,0.0090897+0.0048858i,0.0014273+0.00041379i,-0.00091245-0.0026597i,-0.0016228-0.0004271i,-0.002117+0.00029871i,-0.0016163-0.0025036i,-0.0014644-0.0015894i,-0.0066054+0.008207i,-0.0010036-0.00010447i,-0.00057206+0.00037758i,-0.00043416+0.00070653i,-6.2266e-05-0.00029064i,-0.00010934+0.00086014i,-0.00049656-0.00080816i,0.0014038+0.0010063i,-0.00064556-0.0005337i,-0.00013344+0.00022435i,-0.00012215-0.00017229i,0.0018774+0.00042676i,-0.0074455-0.0090744i,0.00016992+0.0002929i,0.00019682-0.00015934i,-0.00040424-0.00059158i,0.0025597-0.0020391i,-0.0016026-0.00063621i,-0.00028381+0.00039222i,0.00029425+0.0024532i,0.0040513+0.00072195i,-0.0028755+0.0053299i,-0.045133-0.022493i,-0.015467+0.034935i,-0.04968+0.024905i,-0.070727+0.045195i,-0.039567+0.015619i,-0.023044+0.034609i,-0.021208+0.027464i,-0.05047-0.013224i,-0.032316-0.026586i,-0.014521+0.032225i,-0.0039332+0.0072936i,0.013027-0.0018114i,0.00039914-0.010699i,-0.0050023+0.0010162i,-0.00872+0.018965i,0.0024197-0.0019388i,0.005281+0.0013002i,0.0018438-0.0002508i,0.0095612-0.005404i,0.0049043+0.0062241i,0.0010522+0.0012438i,-0.0083228-0.0055391i,0.0041597+0.0056832i,0.0011929+0.0051958i,0.0021821+0.011374i,-0.00085689+0.0010375i,0.0044967-0.0044613i,0.0076939-0.0039786i,0.001707-0.00181i,-0.027256-0.014858i,0.0026435-0.0094181i,-0.00029366-0.0016807i,0.0038713-0.00097251i,0.0017568+0.00062747i,0.002195-0.0088353i,0.002154-0.0013129i,0.001724+0.005066i,0.0032219+0.0009063i,0.0029607-0.0025676i,-0.0063218-0.0066317i,-0.0049792-0.002769i,-0.0036611-0.0069883i,0.0003577+0.0022833i,-0.0049491-0.0074996i,-0.041029+0.0066742i,-0.023726+0.010164i,-0.0086841-0.0087997i,-0.0068982-0.011206i,0.001266+0.025433i,-0.0068834+0.013028i,-0.0081743+0.0029971i
0.0028028+0.0090459i,0.023676+0.033493i,0.017124+0.0073702i,0.013893+0.0087202i,0.0096598-0.00027945i,0.017798+0.0020276i,0.0055242+0.024843i,0.0053943+0.028391i,0.0036194+0.001356i,0.001021+0.00097662i,0.0026536+0.00073778i,0.0060155+0.00048968i,0.0016276-0.001869i,0.0029436+0.00091808i,0.0048378+0.0029391i,0.0062435+0.0061525i,0.0097043+0.0012977i,0.0016992-0.00028531i,-0.0017754-0.0024056i,-0.0014771+0.00053076i,-0.0014537+0.00083916i,-0.0021475-0.0016751i,-0.0016204-0.0011481i,-0.0032409+0.0097949i,-0.00099136+0.00021411i,-0.00030726+0.00073566i,-0.00064635+0.0014358i,-0.00091707-0.00013364i,7.116e-05+0.00076076i,-0.00069722-0.00061694i,0.0018951+0.00031075i,-0.00030376-0.00057464i,-0.00039658+0.00025526i,-0.00023993-9.5591e-05i,0.0014613-0.00035077i,-0.011136-0.0068445i,0.0010001+0.0002387i,-0.00012644-0.00010098i,-0.0009451-0.00044899i,0.001971-0.0020372i,-0.001243-0.00063038i,-9.594e-05+0.0002349i,0.00052831+0.0018065i,0.0039331-6.6125e-05i,-0.0014446+0.0045676i,-0.047628-0.018738i,-0.01115+0.033325i,-0.042051+0.034146i,-0.055543+0.05587i,-0.038501+0.021227i,-0.016495+0.032858i,-0.017242+0.025816i,-0.050008-0.0095591i,-0.034144-0.021381i,-0.0069387+0.033064i,-0.0020515+0.0068841i,0.0056409-0.0041165i,-0.003686-0.010563i,-0.0033816+0.0044976i,-0.0027691+0.018705i,-6.8608e-05-0.0024474i,0.0029389-0.0018604i,0.0013712+9.3319e-05i,0.0068693-0.0087119i,0.0079386+0.0036228i,0.0024772+0.0018751i,-0.0089513-0.0012014i,0.0063394+0.0060379i,0.0036002+0.0058729i,0.0083321+0.0099611i,-0.00023894+0.0015645i,0.003748-0.0053361i,0.0046129-0.0072228i,0.00054351-0.00075981i,-0.031009-0.0040032i,0.00057355-0.0091934i,-0.00041152-0.00054757i,0.0047506-0.0010655i,0.002142+5.3732e-05i,0.00097369-0.011184i,0.00058112-0.0015758i,0.0035793+0.0038539i,0.0035941-4.337e-05i,0.0040538-0.0035192i,-0.007832-0.0036665i,-0.0066235-1.1909e-05i,-0.0084628-0.0034481i,0.00039673+0.001271i,-0.0062669-0.0043933i,-0.037103+0.0098826i,-0.02165+0.011401i,-0.0085347-0.010313i,-0.0094775-0.010573i,0.0020418+0.022822i,-0.0058706+0.013365i,-0.0072073+0.0033471i
0.0039666+0.0080514i,0.029719+0.028677i,0.019043+0.0050592i,0.013609+0.0059729i,0.0084978-0.00082984i,0.017367-0.0012451i,0.0088946+0.021189i,0.0098931+0.026282i,0.0034717-0.00045321i,0.0010721+0.00066618i,0.0031681-3.3581e-05i,0.005515-0.00235i,0.0010077-0.001641i,0.0027762+0.00052295i,0.0055288+0.0016714i,0.0068672+0.0032753i,0.0084417-0.001688i,0.0011383-0.0010575i,-0.0026218-0.0016547i,-0.00067706+0.00098132i,-0.00060596+0.00078665i,-0.0020828-0.0010517i,-0.0017577-0.0007227i,0.00030059+0.0094819i,-0.00078773+0.00048729i,-3.4573e-05+0.00071751i,-6.9501e-05+0.0016494i,-0.0011404+0.00051585i,0.00033486+0.0003578i,-0.00079815-0.00047406i,0.001721-0.00052763i,-0.0006886-0.00056619i,-0.00036744+0.00050056i,-0.00027306-2.3277e-05i,0.00093176-0.00070983i,-0.014837-0.0023267i,0.00056865+0.00035315i,-9.602e-05+1.9031e-05i,-0.0012842+6.9379e-05i,0.0016926-0.0022662i,-0.0010904-0.0012034i,3.8727e-05+5.9524e-05i,0.00051415+0.0015025i,0.0040551-0.00059866i,-0.00083155+0.003737i,-0.052302-0.011686i,-0.0072113+0.031403i,-0.030929+0.03984i,-0.040532+0.062438i,-0.036302+0.029206i,-0.010312+0.029177i,-0.01137+0.023764i,-0.050195-0.0049244i,-0.033474-0.015495i,4.1891e-05+0.033343i,-0.0012453+0.0060014i,0.00081917-0.0046327i,-0.0081413-0.009703i,0.00064582+0.0052855i,0.00041877+0.016432i,-0.0029705-0.0014146i,0.007905-0.0046349i,0.0024972+0.0017302i,0.0020987-0.010699i,0.0092633-0.0011035i,0.0037228+0.0013753i,-0.008636+0.0037341i,0.010076+0.0052018i,0.0073471+0.0043858i,0.012195+0.0040976i,0.00069366+0.002039i,0.002091-0.0062668i,-0.00012158-0.0084717i,0.0013587+0.00075171i,-0.024548+0.0083484i,-0.0019086-0.0071483i,0.00025289+0.00069509i,0.0052351-0.0048849i,0.0026074-0.00027478i,-0.0037295-0.012552i,-0.00032188-0.00099438i,0.0044356+0.0019039i,0.0034043-0.00067115i,0.0036145-0.0049444i,-0.0081232+0.00063465i,-0.0060279+0.0034662i,-0.0081015+0.00030369i,-0.00066314-7.6498e-05i,-0.006375-0.002003i,-0.034153+0.012553i,-0.019837+0.015948i,-0.010884-0.014195i,-0.010477-0.0088505i,0.0045621+0.021973i,-0.0058356+0.015469i,-0.0054025+0.0020222i
0.0050858+0.0065968i,0.034222+0.022244i,0.020342+0.00057228i,0.0134+0.0038484i,0.0081999-0.0011704i,0.016738-0.0041008i,0.010867+0.017479i,0.013651+0.023455i,0.0023822-0.0019944i,0.00093375+0.00060504i,0.0029577-0.00085216i,0.0034685-0.0039407i,0.00059172-0.0014286i,0.0025385+5.6657e-05i,0.005622+0.00019563i,0.005972+0.0013769i,0.0072491-0.0032932i,0.00055413-0.001313i,-0.0027381-0.00070166i,0.00018398+0.00088465i,0.00014544+0.00048889i,-0.0019295-0.00085481i,-0.0016487-0.00034508i,0.003132+0.0086251i,-0.00049751+0.00054128i,0.00017343+0.00072377i,0.00052788+0.0012939i,-0.00081976+0.00095018i,0.00021094-0.0001113i,-0.0010295-0.00022053i,0.0012064-0.00099075i,-0.0010888-0.00010726i,-7.7102e-05+0.00065287i,-0.00032581+0.00015674i,0.00055598-0.001003i,-0.013238+0.0027174i,0.00056814+0.00010836i,-0.00015641-0.00012406i,-0.001583+0.0009064i,0.0011331-0.0028404i,-0.00049954+0.00053669i,-2.723e-05-0.00027186i,0.00049128+0.0014321i,0.0039961-0.001275i,-0.00045727+0.003304i,-0.054028-0.00012362i,-0.0049654+0.029828i,-0.021182+0.040822i,-0.023867+0.06633i,-0.029623+0.038116i,-0.0071963+0.023743i,-0.0080952+0.018236i,-0.048633+0.00041891i,-0.030298-0.009729i,0.0088715+0.030227i,-0.00079777+0.0060225i,-0.0045774-0.0031796i,-0.011545-0.006146i,0.0033768+0.0031189i,0.0031484+0.015097i,-0.0060122+0.0013555i,-0.00013514-0.0079717i,0.0049483+0.00046227i,-0.0030874-0.009474i,0.0069804-0.0046812i,0.0049557-0.00035018i,-0.0069165+0.0071676i,0.01299+0.00043746i,0.0086278-0.000794i,0.012263-0.0035998i,0.002188+0.0017856i,8.472e-05-0.006344i,-0.00417-0.0054175i,0.0030992-0.00024357i,-0.037791+0.034009i,-0.0034189-0.0061085i,0.0017781+0.00099578i,0.0018291-0.0062916i,0.002859-0.00062362i,-0.0093303-0.010718i,-1.5671e-05+0.00044814i,0.0048268-0.00015186i,0.0029248-0.001432i,0.0024581-0.0055779i,-0.0064317+0.0044529i,-0.0036654+0.0055335i,-0.0077062+0.0042201i,-0.0028314-5.3142e-05i,-0.0059441-0.00066359i,-0.030316+0.017117i,-0.012228+0.019264i,-0.017238-0.015023i,-0.011015-0.0089578i,0.0057382+0.020535i,-0.0035201+0.018718i,-0.0051435-0.00095587i
