-0.025201-0.0049489i,-0.021846-0.0071652i,-0.012621-0.013393i,-0.035188-0.0078568i,-0.026993+0.001515i,-0.036043-0.0029075i,-0.068976-0.036642i,-0.033713-0.014816i,-0.022246+0.0027577i,0.0060738+0.0062635i,-0.0050977+0.0074367i,-0.0086452+0.018045i,0.0058643+0.0082486i,-0.0013778+0.0032825i,0.004133+0.0037791i,0.0052076+0.025063i,0.023616+0.020205i,0.0011639-0.00050127i,0.0011491-0.0045262i,0.0088398+0.00013503i,0.005475-0.00039699i,0.0022479+0.0014646i,0.0014142-0.00068423i,-0.024705+2.7998e-05i,-0.0048328-0.0040874i,-0.00031676+0.0033628i,0.0050754-0.0043123i,-0.0017919-0.00047226i,-0.00033888+0.0011364i,-0.0020337-0.001535i,-0.0037252-0.00039516i,-0.0068192-0.0085518i,-0.0053627-0.0076587i,-0.00066095+0.0001927i,-0.00022196-0.0022761i,0.00047982+0.022055i,0.0028533-0.0041616i,0.00077722-0.0043352i,0.0029546-0.0020105i,-0.0030606-0.0027991i,0.0008766+1.6715e-05i,0.0077389-0.002142i,0.0031669-0.0023132i,-1.1183e-05+0.002487i,-0.01389+0.015817i,-0.026402+0.05284i,-0.0065371-0.036996i,-0.01536-0.018504i,-0.040095-0.01634i,-0.02743-0.012198i,0.036342-0.01268i,0.0059148-0.030028i,0.012428-0.038332i,-0.009212-0.029845i,0.025623-0.023069i,0.013496+0.0069535i,0.02782-0.036132i,-0.0016577-0.0040183i,0.0054796-0.0089302i,-0.00031883-0.0058836i,-0.00025373-0.035373i,-0.013402+0.029002i,0.0087213-0.01159i,-0.008637-0.0046551i,-0.0025802-0.0020332i,-0.00031721-0.015819i,-0.0076987+0.0059214i,0.0042914+0.0067633i,-0.00066242+0.028819i,0.0025107+0.00078928i,-0.0072191-0.0043865i,-0.0039296-0.0064239i,-0.014883-0.010197i,-0.0025635-0.0060497i,-0.034123+0.0060559i,-0.0047843-0.0085447i,-0.01319-0.00096857i,-0.010431-0.005826i,0.0016262-0.0017129i,-0.014025+0.0024304i,-0.0020177-0.00030265i,0.0053533+0.0059305i,0.0035564-0.0051534i,-0.013879-0.014139i,0.0075054+0.0083963i,-0.016157+0.0052268i,0.0049579-0.0003023i,-0.019209-0.0031714i,-0.016243-0.0042469i,-0.015245-0.035446i,0.020838-0.0098359i,-0.039353-0.023957i,-0.0094994+0.0051916i,0.017805+0.015297i,-0.02214+0.017323i,-0.0043464-0.0034412i
0.0044264+0.014095i,-0.0025491+0.015167i,-0.0021976+0.026277i,0.0017662+0.024873i,-0.00015207+0.028871i,0.010922+0.022551i,-0.0096031+0.026281i,-0.0055027+0.022163i,0.011434+0.0049903i,0.0022517-0.0051913i,0.0021414+5.7033e-05i,0.0059839-0.0026412i,0.0007137-0.0014733i,0.00018917-0.0034773i,0.00028435-0.0018101i,0.0059415-0.00621i,-0.0035416-0.0044288i,-0.001374+0.0023269i,0.00039927+5.9111e-05i,-8.6382e-05+0.0019638i,-0.0026694-3.3476e-05i,6.8219e-05+0.00010421i,0.0014005+0.00033218i,-0.0087525-0.0036805i,-0.00061242-0.00066895i,-0.0023235+0.00046937i,-0.0040239+0.00017914i,-0.0017646+0.00037125i,-0.0019338+0.00051396i,-0.00023964-0.00036062i,-0.0031467+0.00046708i,0.001628-0.0021125i,0.00083869-0.0028043i,-0.00033334-0.0010254i,-0.0016394+0.00073767i,-0.0010118-0.0041498i,-0.0021244+0.0015253i,0.001947-0.00018191i,-0.00040981+0.0024517i,0.0024072+0.006274i,4.596e-05+0.00087323i,-0.0012464+0.00025897i,-0.0015444-0.0017166i,0.0030319+0.0041444i,0.014678+0.0069673i,0.043759-0.052391i,-0.026626+0.00633i,0.017987-0.027142i,-0.022171-0.03351i,-0.011933+0.0027283i,-0.03241+0.034099i,-0.019359+0.0053135i,-0.016001+0.0085161i,-0.0020702-0.017542i,-0.040503-0.02054i,-0.0083048+0.0018191i,-0.027983+0.01214i,0.0022914+0.014219i,0.00078147+0.0052808i,-0.0041281-0.0050284i,-0.0004614+0.0022996i,-0.01364-0.0046983i,0.0051173+0.013365i,-0.0011067+0.0077018i,-0.001929+0.0039509i,0.00057611+0.0060772i,0.0025569+0.0026389i,-0.0013375+0.018575i,0.0041069+0.014901i,0.0051475-0.0053006i,0.011611-0.0050768i,0.0085655+0.0025045i,-0.0039312-0.0066088i,-0.00034704-0.0018338i,0.018926-0.031684i,0.0093072+0.0039309i,0.007769-0.001871i,0.0024382-0.00086531i,0.0060179-0.0087777i,0.022102+0.00053369i,0.0059022-0.0034719i,0.001609-0.0067506i,0.0048153-0.0035183i,0.017405+0.0032063i,0.006632+0.0031843i,0.0035187-0.0033763i,0.0088369+0.0094211i,-0.0015685+0.0047726i,0.0081964+0.0096299i,-0.013935-0.014373i,-0.009149+0.002304i,-0.0083874-0.013602i,-0.0081566-0.0042613i,-0.039312+0.0067125i,-0.0055541+0.0040491i,-0.011578+0.00064558i
0.0068813+0.012838i,-0.00073254+0.012663i,0.0042991+0.021931i,0.0054926+0.022427i,0.0039444+0.026987i,0.014153+0.020221i,-0.0060236+0.027219i,-0.0011556+0.022081i,0.011283+0.0010705i,0.00050756-0.0053846i,0.0024165+0.00041252i,0.004749-0.0050106i,0.00021919-0.0022095i,0.00042043-0.0031623i,-0.0003879-0.0017194i,0.0025101-0.0059693i,-0.0056617-0.0021811i,-0.00036172+0.0026147i,0.001306-6.3977e-05i,0.0011912+0.0016817i,-0.0018909+0.0015927i,0.000571+0.00050767i,0.0016341-0.00027887i,-0.0080937-0.00078394i,-0.00052942-0.00031872i,-0.0020189+0.0013619i,-0.0030859+0.0020319i,-0.0012079+0.00091463i,-0.0014354+0.00099218i,-4.1451e-05-2.9831e-05i,-0.0025785+0.0018301i,5.6513e-05-0.0018369i,-0.00094177-0.0027638i,-0.0013671-0.00086085i,-0.0021243+0.0011299i,7.2893e-06-0.0032661i,-0.0010622+0.0020966i,0.0010179-0.0009771i,0.00013405+0.0026581i,0.0039652+0.0041032i,0.00047835+0.00087509i,-0.0014347+0.00058598i,-0.0021403-0.0012876i,0.0041866+0.0031421i,0.01546+0.0023709i,0.023936-0.062475i,-0.02059+0.014114i,0.0073768-0.034621i,-0.034077-0.025793i,-0.0093738+0.0059331i,-0.020933+0.039799i,-0.015657+0.010813i,-0.0053873+0.0033846i,-0.0042848-0.016298i,-0.044812-0.0043039i,-0.0081213+0.0023813i,-0.022951+0.023526i,0.0058537+0.010042i,0.0014439+0.0035128i,-0.0091431-0.006655i,-0.0026234+0.0051668i,-0.013748+0.0035805i,0.010943+0.0095785i,0.0010104+0.0096162i,-0.0004815+0.0040541i,0.0030212+0.0069015i,0.0040268+0.0025175i,0.0062257+0.015014i,0.008872+0.0083849i,-0.001515-0.0080112i,0.0058549-0.0065311i,0.0077791+0.0010966i,-0.0068121-0.00016767i,-0.00063419+0.00086839i,0.004883-0.031906i,0.010821+0.0011562i,0.0078652-0.0048012i,0.0042041-0.0024723i,0.00096349-0.0058426i,0.020813-0.0095368i,0.003-0.0050771i,-0.0016877-0.0056076i,0.00090112-0.0031647i,0.014991-0.0032064i,0.0074469+0.0017742i,0.0026818-0.0021357i,0.011856+0.0058629i,-0.00016418+0.0055239i,0.009842+0.005473i,-0.019202-0.012323i,-0.0045831-0.01189i,-0.0072715-0.011428i,-0.0075006-0.0026614i,-0.033491+0.019915i,-0.0034474+0.0048718i,-0.0097138+0.0027133i
0.0098789+0.011038i,0.00031031+0.01108i,0.0073682+0.016308i,0.0082776+0.019895i,0.0086465+0.025354i,0.017153+0.01721i,-0.0014848+0.027669i,0.0031244+0.021041i,0.0096125-0.0018125i,-0.0011866-0.0048407i,0.0034192+6.7508e-05i,0.0010839-0.0057483i,-0.00047144-0.002369i,-0.00026951-0.0033064i,-0.00091876-0.0014624i,-0.00054953-0.0041111i,-0.0060967+0.0008263i,0.0008192+0.0025025i,0.0016513-0.0013886i,0.0022919+0.00046671i,-0.00055989+0.0020211i,0.001398+4.396e-05i,0.0015472-0.00097095i,-0.0076211+0.00064239i,-0.00044476-1.73e-05i,-0.00096365+0.0023859i,-0.0014794+0.0024591i,-0.00042436+0.0012248i,-0.00085798+0.0012549i,-3.4031e-05-0.00022275i,-0.0015061+0.0026061i,-0.00079113-0.0012128i,-0.0020812-0.0015937i,-0.0019531-0.00010816i,-0.0015651+0.0022429i,0.0010042-0.00397i,-0.000369+0.0019191i,0.0001812-0.0012766i,0.0017496+0.0022195i,0.0042708+0.0023063i,0.00089712+0.00075824i,-0.00052673+0.001419i,-0.0027163-0.00080116i,0.0045703+0.0010789i,0.01479-0.0015109i,0.0024598-0.062128i,-0.010229+0.017325i,-0.0043807-0.036258i,-0.03738-0.016602i,-0.0038905+0.0071774i,-0.0067361+0.040363i,-0.0047526+0.012001i,-0.0048056-0.0038667i,-0.0059939-0.015152i,-0.041236+0.0097125i,-0.0072956+0.0040312i,-0.010746+0.030117i,0.0067397+0.0061916i,-0.00051756+0.0010974i,-0.016986-0.0029617i,-0.0014333+0.0064803i,-0.0091492+0.0085789i,0.01234+0.0025726i,0.0044492+0.0096171i,-0.0014781+0.0047612i,0.0045851+0.0050406i,0.0054219+0.00039285i,0.0086128+0.0087717i,0.0082459+0.0029604i,-0.0068166-0.003122i,0.0036778-0.0057668i,0.0089611-0.00020259i,-0.0026651+0.0071441i,0.0020458+0.0020359i,-0.0049314-0.027508i,0.011742-0.0036777i,0.0051881-0.0071753i,0.0021236-0.0043726i,0.00084211-0.0042413i,0.013437-0.016406i,-6.3898e-06-0.0020877i,-0.0038821-0.0032901i,-0.00032571-0.00014512i,0.01049-0.0069488i,0.0099894-0.0018011i,0.0034899-0.0031715i,0.014613+0.00016963i,0.0035215+0.0049168i,0.009634+0.001831i,-0.022643-0.005258i,-0.015243-0.020001i,-0.0058443-0.01384i,-0.0056977-0.0034037i,-0.023329+0.025958i,-0.0038453+6.3362e-05i,-0.0077104-0.0009341i
0.012656+0.0076549i,0.0020235+0.010452i,0.0079291+0.011175i,0.010864+0.017782i,0.012997+0.021819i,0.019754+0.013434i,0.0037637+0.027147i,0.0071605+0.018829i,0.0078147-0.0029717i,-0.0024889-0.0037302i,0.0038463-0.0016199i,-0.0012952-0.0039259i,-0.0013687-0.0023626i,-0.0013611-0.0026977i,-0.0015657-0.0011289i,-0.0014481-0.0012137i,-0.0045809+0.0035842i,0.0016952+0.0017222i,0.0009642-0.0018058i,0.0021073-0.0011805i,0.00040117+0.0018112i,0.0017323-0.00075266i,0.0011805-0.0016756i,-0.0072682+0.0025436i,-0.00018377-8.0471e-05i,0.00075079+0.0017141i,-0.00017776+0.0021427i,0.0003127+0.00091808i,-5.4442e-05+0.0015155i,-7.8295e-05+4.4644e-06i,-0.00038836+0.0027311i,-0.0014423-0.00062414i,-0.0027691-0.00035651i,-0.0019135+0.0010057i,-0.00052211+0.002616i,0.00074415-0.0060826i,0.00054073+0.0020445i,-0.00059538-0.00095825i,0.0023107+0.00065067i,0.0042784+0.0010114i,0.0013489+0.00020364i,0.00037477+0.0010893i,-0.0029547+0.00011699i,0.0030862-0.0015079i,0.013538-0.004547i,-0.014633-0.051204i,-0.0013837+0.01433i,-0.014791-0.033248i,-0.041033-0.0076204i,0.0011403+0.0049534i,0.0048813+0.035252i,0.0031242+0.004873i,-0.005247-0.0048142i,-0.0061825-0.012587i,-0.034659+0.019027i,-0.0062489+0.0054698i,0.00088677+0.02907i,0.0071265+0.0031538i,-0.003595+0.0022668i,-0.019835+0.0069457i,-0.00095079+0.0085324i,-0.0042576+0.0091148i,0.0092694-0.0035246i,0.0078408+0.0083386i,-4.0465e-05+0.007206i,0.0042314+0.0046145i,0.0055443-0.0029794i,0.0071786+0.0034846i,0.0051304+0.00030126i,-0.0052274+0.00099224i,0.0016987-0.005605i,0.0086686-0.002708i,0.0058859+0.0076769i,0.003564+0.00039733i,-0.010064-0.021803i,0.009009-0.0074304i,0.0023416-0.0082654i,0.0011138-0.0029777i,-0.0002931-0.0046917i,0.0056573-0.017544i,0.002668-0.0010205i,-0.004281-0.00041479i,0.002103+0.0017248i,0.0072118-0.006956i,0.0083045-0.0066175i,0.001721-0.0037458i,0.011451-0.007706i,0.0042072+0.0016586i,0.0092702-0.0022842i,-0.018858+0.0029801i,-0.026503-0.017536i,-0.010321-0.018268i,-0.0059634-0.0056089i,-0.014806+0.026736i,-0.0087539-0.00014729i,-0.011057-0.00021253i
0.01371+0.0038346i,0.0027204+0.0086068i,0.0064619+0.00761i,0.013389+0.015192i,0.015967+0.017633i,0.021185+0.009269i,0.0090226+0.024823i,0.010256+0.015738i,0.0068123-0.0034743i,-0.0027776-0.0026275i,0.0026343-0.0028642i,-0.0020005-0.0021575i,-0.0022032-0.0019903i,-0.0015477-0.0018525i,-0.0019055-0.000464i,-0.00070117+0.00081134i,-0.0022138+0.0051828i,0.0019034+0.00083768i,0.00065549-0.0016495i,0.00107-0.002115i,0.00085954+0.0013203i,0.001468-0.0015147i,0.00035188-0.0020277i,-0.0053101+0.004015i,-0.00027867-0.00046496i,0.0010042+0.00019263i,0.00085042+0.0013084i,0.00064199+0.00044887i,0.00083982+0.0011675i,0.00038677+6.4948e-05i,0.00043728+0.0025573i,-0.001666-0.00012077i,-0.0026376+0.0012617i,-0.0013502+0.0018924i,0.00030495+0.0026124i,-0.0012935-0.0079677i,0.001162+0.0014321i,-0.00076669-0.00017121i,0.0019119-0.00029093i,0.0038521+0.0001798i,0.001284-0.00060004i,0.00060799+0.00054972i,-0.0025575+0.00095288i,0.00085411-0.00090504i,0.011869-0.0066407i,-0.018696-0.036962i,0.0034313+0.0090741i,-0.023283-0.026739i,-0.042158+0.0044219i,0.0037051+7.3397e-05i,0.013129+0.027596i,0.0054503-0.0024828i,-0.0045897-0.0068046i,-0.0049245-0.012805i,-0.027978+0.026442i,-0.0046349+0.006399i,0.012089+0.024145i,0.0067526+0.00056544i,-0.0045065+0.005774i,-0.01682+0.015004i,0.0019396+0.0097065i,0.00022065+0.0098206i,0.0038188-0.0042254i,0.010493+0.00561i,0.0030748+0.0078564i,0.0052439+0.0047327i,0.0042871-0.005515i,0.0041585+0.0032665i,0.0025773+0.0012122i,-0.0044743+0.0027066i,0.00020197-0.004403i,0.0072715-0.0052083i,0.0096914+0.002314i,0.0036133-0.0017265i,-0.013169-0.019428i,0.0053426-0.0094818i,-0.0010877-0.0083032i,0.0026035-0.0026025i,-0.0016072-0.0035131i,0.00018847-0.01589i,0.0033818-0.0032359i,-0.0024574+0.0020476i,0.0047693+0.00039035i,0.0057774-0.0080752i,0.0042077-0.010775i,0.0014447-0.0037107i,0.0051211-0.010593i,0.0026836+0.00031871i,0.0053647-0.0061513i,-0.012301+0.004557i,-0.036579-0.0078453i,-0.016451-0.018212i,-0.0074176-0.0074615i,-0.0087725+0.026121i,-0.012349+0.0033422i,-0.010684+0.0035844i
0.013711+0.00032618i,0.0027931+0.0078275i,0.0049799+0.0063169i,0.015405+0.012034i,0.017467+0.013271i,0.022143+0.0053605i,0.013795+0.020962i,0.012341+0.012313i,0.0064558-0.0042454i,-0.0031741-0.0022018i,0.00086549-0.0031874i,-0.0021003-0.00062987i,-0.0030909-0.0012587i,-0.0015927-0.0015783i,-0.0020761+0.00021865i,0.00056086+0.0017133i,0.00061246+0.0054144i,0.001872+0.00025405i,7.8917e-05-0.0018072i,-8.5644e-05-0.0022991i,0.0014855+0.00093521i,0.00097835-0.0020856i,-0.00033406-0.0018699i,-0.0041653+0.0038825i,-0.00060004-0.00033888i,0.00029262-0.00061794i,0.001034+0.00016557i,0.00085287-0.00015227i,0.0013272+0.00036722i,0.00056155-0.00048468i,0.0012694+0.0022689i,-0.0016442+0.00036871i,-0.0016115+0.002344i,-0.00041457+0.0022406i,0.00096352+0.0023769i,-0.004373-0.0086269i,0.0013506+0.00045868i,-0.00044689+9.8149e-05i,0.0015136-0.00086986i,0.0034807-0.00024358i,0.00088895-0.0007931i,0.0005971+0.00034734i,-0.0020121+0.0012797i,0.00023846+0.00057262i,0.010344-0.0079011i,-0.016556-0.030285i,0.0053332+0.004778i,-0.02743-0.016541i,-0.036126+0.017881i,0.00078124-0.004398i,0.017084+0.019598i,0.0055154-0.0086676i,-0.0047307-0.0074592i,-0.0065508-0.012884i,-0.019413+0.030814i,-0.0038351+0.0073273i,0.017859+0.011687i,0.0058545-0.0019948i,-0.0028041+0.0090274i,-0.0097198+0.021006i,0.0048723+0.0084396i,0.005137+0.0068976i,0.0015997-0.0021242i,0.012434+0.00098511i,0.0056231+0.0074207i,0.0064099+0.0037107i,-0.00085771-0.0080544i,0.0041652+0.0051815i,0.003136+0.0029455i,-0.0018907+0.0062731i,0.00034058-0.0035866i,0.0054381-0.0062443i,0.010172-0.0028477i,0.002733-0.0035844i,-0.019418-0.017216i,0.0015639-0.0099871i,-0.0044546-0.0068045i,0.001354-0.004183i,-0.0016524-0.0019068i,-0.0026415-0.012891i,0.0018581-0.0049749i,-5.6795e-05+0.0022857i,0.0048842-0.0033496i,0.0025467-0.0091205i,-0.0026628-0.011148i,0.00051565-0.0048852i,0.00055761-0.0092967i,0.0025361-0.0007099i,0.00033205-0.0057757i,-0.0092215+0.0044281i,-0.033955+0.0089358i,-0.022534-0.015574i,-0.010057-0.0074643i,-0.0048116+0.025841i,-0.011401+0.009012i,-0.0062732+0.0048215i
0.012965-0.002907i,0.0034489+0.0078161i,0.0041925+0.0060364i,0.016594+0.0084407i,0.018033+0.0096378i,0.022658+0.00097474i,0.017291+0.016058i,0.013486+0.0089147i,0.006096-0.0050734i,-0.0038205-0.0012472i,-0.00052071-0.0023824i,-0.0010637+0.00062945i,-0.0036344-0.0001093i,-0.0021874-0.0016198i,-0.0020564+0.0009566i,0.0016274+0.0018728i,0.0028609+0.0044006i,0.0016938-0.00016348i,-0.00024926-0.0017573i,-0.00097716-0.0018i,0.0018729+0.00022991i,0.00025913-0.0024749i,-0.00081962-0.0015066i,-0.0037174+0.0047744i,-0.00069605-0.00030135i,-0.00046488-0.00066165i,0.00085676-0.00061504i,0.00056762-0.00095588i,0.0012946-0.00066394i,0.00017411-0.0010905i,0.0020213+0.0016155i,-0.0011862+0.0012881i,5.1061e-05+0.0024392i,0.00055357+0.0020887i,0.0016723+0.0016821i,-0.0078645-0.0078798i,0.0012398-0.00020831i,-0.00036053-0.00013746i,0.0009981-0.0015008i,0.0032873-0.00072323i,0.00065011-0.00091547i,0.00090396+7.6562e-05i,-0.0016725+0.0012787i,0.00068715+0.0012043i,0.0095882-0.0094305i,-0.016644-0.029391i,0.006484+0.0016496i,-0.02522-0.0080056i,-0.024942+0.02691i,-0.0016514-0.0046241i,0.019558+0.013005i,0.0028516-0.013879i,-0.0046043-0.0084371i,-0.006925-0.01074i,-0.011249+0.03293i,-0.0012156+0.0074877i,0.012672+0.00052368i,0.0035779-0.0043876i,0.00036939+0.010362i,-0.0019846+0.021897i,0.0061535+0.0061254i,0.0065126+0.0023605i,0.001765-0.00084564i,0.011914-0.0031241i,0.0099046+0.0053955i,0.0074132+0.0031303i,-0.0051957-0.0034611i,0.0064787+0.0054885i,0.0046986+0.0033276i,0.0020392+0.0063493i,-0.00041824-0.0038424i,0.0036935-0.0075121i,0.008154-0.0093966i,-0.00025726-0.0041689i,-0.025549-0.010315i,-0.0016092-0.009193i,-0.0063833-0.0035185i,0.00083766-0.0024208i,-0.0016406-0.0015959i,-0.004183-0.012491i,-0.00040806-0.0058642i,0.0010546+0.0006678i,0.0023436-0.0048632i,0.00036684-0.0084917i,-0.0065651-0.0067733i,-0.0019964-0.005206i,-0.0034115-0.0077552i,0.0010202-0.0017495i,-0.0017413-0.0032i,-0.0058526+0.0043893i,-0.026148+0.011074i,-0.023495-0.011168i,-0.012127-0.006261i,0.00056002+0.023749i,-0.0091272+0.011276i,-0.0046444+0.0034391i
0.011521-0.0056626i,0.0049942+0.0078649i,0.0042424+0.0063843i,0.016989+0.0050421i,0.018053+0.0064905i,0.022009-0.0033379i,0.01953+0.010683i,0.013978+0.0058225i,0.0056271-0.0062821i,-0.0040342-0.00011536i,-0.00085074-0.0012056i,0.00011205+0.00042088i,-0.0037563+0.0012881i,-0.0032112-0.00070208i,-0.0016492+0.0017646i,0.0025776+0.0010922i,0.0042351+0.0028077i,0.0016828-0.00048655i,-0.00064705-0.0015654i,-0.0012405-0.00088385i,0.001939-0.00056746i,-0.00054369-0.0022178i,-0.001061-0.0010746i,-0.0018396+0.0055902i,-0.0010536-0.00018931i,-0.00085206-0.00041637i,0.00014444-0.00127i,-0.000232-0.0014318i,0.00064009-0.0015299i,-0.0004651-0.0012482i,0.0022777+0.00072178i,-0.0002476+0.0011272i,0.0007436+0.0016544i,0.001171+0.0015756i,0.0018151+0.00089527i,-0.010896-0.0052621i,0.00078054-0.00090144i,-0.00064612-5.3714e-05i,5.0844e-05-0.0021013i,0.0031834-0.0010992i,0.00043588-0.0010385i,0.00093306-0.00029234i,-0.0015874+0.0013002i,0.0011741+0.0014219i,0.0081253-0.011589i,-0.02065-0.028209i,0.0059948-0.0021136i,-0.023145-0.0019305i,-0.012749+0.029412i,-0.0041926-0.0045982i,0.021146+0.0058701i,-0.00027681-0.016079i,-0.0053469-0.0091019i,-0.0058543-0.0084267i,-0.002243+0.03338i,0.0010593+0.0063591i,0.0069448-0.00073468i,0.00071228-0.0054014i,0.0048822+0.010979i,0.0049376+0.019547i,0.0063239+0.003689i,0.0052261-0.0016071i,0.00133-5.5116e-05i,0.0094529-0.007663i,0.012528+0.00091149i,0.0087894+0.0014976i,-0.0050486-6.4809e-05i,0.0088156+0.0044512i,0.0067816+0.0029725i,0.0059309+0.0043282i,-0.0012844-0.0033595i,0.0021188-0.0087087i,0.0024907-0.01255i,-0.0015868-0.0019569i,-0.028249-0.00051264i,-0.0037677-0.0081453i,-0.0063364-2.2309e-05i,0.0014822-0.0017592i,-0.0020493-0.00098683i,-0.0075311-0.012211i,-0.0030344-0.0052731i,0.0014194-4.1118e-05i,0.0002428-0.0052487i,-0.00059693-0.0081746i,-0.0081032-0.0033752i,-0.0044282-0.0032119i,-0.0064721-0.0050916i,3.3487e-05-0.0022942i,-0.0016598-0.0016423i,-0.0030063+0.003583i,-0.024274+0.012537i,-0.02305-0.0083024i,-0.01372-0.0044913i,0.0025077+0.022255i,-0.0076929+0.01189i,-0.0035854+0.0025633i
0.0097696-0.0077238i,0.0074675+0.0069141i,0.0056457+0.0064484i,0.016784+0.0018405i,0.018287+0.0039056i,0.020471-0.0072203i,0.020118+0.0045764i,0.01402+0.0029117i,0.0046718-0.007534i,-0.0039832+0.00091747i,-0.00064508-0.00069201i,0.00011042-0.00046748i,-0.0032103+0.0027173i,-0.0031829+0.00067254i,-0.00090993+0.002292i,0.0025924-1.5581e-05i,0.0045917+0.00091649i,0.0013566-0.0010141i,-0.0010515-0.0010609i,-0.00096741-0.00035714i,0.0018177-0.0014248i,-0.00087631-0.0018107i,-0.001051-0.00068694i,0.00024214+0.0052579i,-0.0013181+0.00014442i,-0.0012792-6.8824e-05i,-0.0010426-0.0014964i,-0.0011187-0.0013202i,-0.00040525-0.0019764i,-0.0011384-0.0010697i,0.0021899-6.5575e-05i,-0.00025175+0.00093681i,0.00089994+0.0011704i,0.0015262+0.00091665i,0.0017536+0.00027497i,-0.012386-0.0014382i,-0.00017136-0.0012265i,-0.0006079+0.0001545i,-0.0011463-0.0020884i,0.0030613-0.0016672i,0.00014863-0.001055i,0.00092805-0.00058043i,-0.001535+0.0014846i,0.0016795+0.0013874i,0.0054657-0.012939i,-0.026008-0.02247i,0.0046086-0.00509i,-0.017199+0.0035362i,-0.0017197+0.029375i,-0.0058078-0.0013961i,0.020938-0.0018108i,-0.001043-0.018923i,-0.0051459-0.0085433i,-0.0031646-0.0061456i,0.0062025+0.031322i,0.0019268+0.0043102i,0.0041623-0.0013986i,-0.0028531-0.0052388i,0.010015+0.0079978i,0.0087909+0.015564i,0.0047744+0.0019253i,0.0030654-0.0045107i,0.002679+0.0025876i,0.0046979-0.010128i,0.012289-0.0055696i,0.0094285-0.0011378i,-0.0045939+0.0028035i,0.011565+0.0021301i,0.0092957+0.00018951i,0.0072445-0.00018732i,-0.0016562-0.0027302i,-0.00069195-0.0090954i,-0.0048201-0.012002i,-0.0008446-0.00020222i,-0.027089+0.009921i,-0.0057894-0.0070853i,-0.0045575+0.0027904i,0.0020271-0.0044678i,-0.0019401+0.00065746i,-0.011762-0.0097221i,-0.0054225-0.0027069i,0.0011122-0.0012777i,-0.0018667-0.0045297i,-0.002669-0.0080491i,-0.0079992+0.0013011i,-0.0047945-0.00033687i,-0.0079097-0.0015607i,-0.0015411-0.0031135i,-0.0012695-0.0013997i,-0.00084745+0.0028858i,-0.023039+0.019109i,-0.023173-0.0085694i,-0.012953-0.0021796i,0.0062942+0.02126i,-0.0067271+0.014089i,-0.0021495+0.00016058i
0.0079987-0.0091506i,0.0095658+0.0048247i,0.007297+0.005138i,0.015937-0.0012597i,0.018378+0.0011929i,0.018522-0.010358i,0.018714-0.00079927i,0.013584+0.00026205i,0.0034498-0.0085922i,-0.0038393+0.0021147i,-0.00074406-0.00047236i,-0.00061592-0.00061308i,-0.0021829+0.0036153i,-0.0026444+0.0018469i,-0.00021441+0.0024597i,0.0017095-0.00063521i,0.0041473-0.0006635i,0.0009799-0.0011815i,-0.00090622-0.00057219i,-0.00055522-0.00014035i,0.0015243-0.0022143i,-0.0010408-0.0015966i,-0.00087235-0.00047273i,0.0017389+0.0046382i,-0.0014065+0.00048163i,-0.0014959+0.00060279i,-0.0021885-0.00091464i,-0.0016755-0.00075149i,-0.0015941-0.0018055i,-0.001801-0.00058358i,0.0018763-0.00066885i,-9.7491e-05+0.001149i,0.0011191+0.00074287i,0.0016448+0.00024128i,0.0014888-0.00019504i,-0.012312+0.002548i,-0.0010339-0.0010108i,-0.00070937+7.3639e-05i,-0.0022022-0.001379i,0.0026942-0.0024486i,7.0241e-05-0.00092472i,0.00090666-0.00098397i,-0.0014856+0.0018537i,0.0021483+0.0010972i,0.0032212-0.013225i,-0.026233-0.014092i,0.0015633-0.0067186i,-0.010922+0.003699i,0.0089303+0.026134i,-0.0045798+0.0027561i,0.017707-0.0084101i,-0.0045744-0.023647i,-0.0034833-0.0087382i,0.0014397-0.0051461i,0.014293+0.025681i,0.0017556+0.0029977i,0.0011206-0.0011513i,-0.0052734-0.0027522i,0.012038+0.0022747i,0.01179+0.01235i,0.0026437+0.0023087i,-0.00037416-0.0067126i,0.0061547+0.0010947i,-0.00024234-0.0095773i,0.0079642-0.0097076i,0.0088712-0.0044i,-0.0039622+0.0047045i,0.012883-0.0031958i,0.0087944-0.0049793i,0.0058684-0.004368i,-0.0020234-0.0023482i,-0.0036931-0.0082847i,-0.0092973-0.0066952i,0.00052768-0.00054381i,-0.021057+0.020827i,-0.0079612-0.0050957i,-0.0018927+0.0038621i,-0.0013945-0.0054931i,-0.00067985+0.0011484i,-0.015048-0.0050226i,-0.0047619+0.00078638i,-0.00012625-0.0021089i,-0.003803-0.0031066i,-0.0049141-0.0062014i,-0.005423+0.0042718i,-0.0034204+0.001571i,-0.0076183+0.0029008i,-0.0041896-0.0025538i,-0.0017149-0.0014381i,0.0033611+0.0022412i,-0.012173+0.025198i,-0.02693-0.0070384i,-0.011556-0.0020235i,0.0086723+0.018892i,-0.0038227+0.016288i,-0.0029386-0.0031995i
