-0.024421-0.0029392i,-0.024849+0.0016175i,-0.018172-0.0095036i,-0.032292-0.012109i,-0.029862+0.0038206i,-0.038306+1.6503e-05i,-0.061909-0.023612i,-0.032998-0.016803i,-0.032401-0.0030663i,0.0061572+0.0036213i,-0.0035653+0.0061407i,-0.0062874+0.015901i,0.0057099+0.010338i,-0.00057476+0.004125i,0.0054888+0.0037196i,0.0045696+0.023626i,0.022839+0.021214i,0.00075632-0.00070403i,0.00069508-0.005478i,0.0061979-0.00097775i,0.0045045+8.8561e-05i,0.002184+0.0013412i,0.00087031-0.00074695i,-0.02988-0.00025233i,-0.0053092-0.0055828i,-0.0010308+0.0028304i,0.002483-0.0023i,-0.0012713-4.9516e-05i,-0.001329+0.0011224i,-0.0020926-0.0030222i,-0.0044713-0.0012084i,-0.007447-0.0051845i,-0.0054831-0.0024312i,-0.00063694-2.4762e-06i,0.0014411-0.003776i,0.0023537+0.018968i,0.00030999-0.0027372i,6.6642e-07-0.0028209i,0.004167-0.0023599i,-0.002637-0.00094581i,0.00067341-3.9462e-05i,0.0067892-0.0028899i,0.0039646-0.00241i,-0.0004387+0.0023202i,-0.014309+0.015929i,-0.028446+0.060015i,-0.0020805-0.039062i,-0.014275-0.018983i,-0.037826-0.017581i,-0.027932-0.014051i,0.040457-0.0056613i,0.0081038-0.03083i,0.012961-0.039748i,-0.011665-0.030686i,0.024262-0.019696i,0.014372+0.0081229i,0.028493-0.032783i,-0.0027206-0.0045043i,0.006077-0.0078386i,-0.0022221-0.0070506i,0.0026144-0.035069i,-0.01324+0.029837i,0.0087208-0.011539i,-0.0096239-0.0047397i,-0.0030238-0.0018043i,0.00054576-0.014954i,-0.0084177+0.0054414i,0.0033123+0.0068991i,-0.00187+0.02832i,0.002084-2.7457e-05i,-0.007676-0.0052451i,-0.0031568-0.0064659i,-0.015029-0.0095929i,-0.0025351-0.0064466i,-0.036843+0.0065885i,-0.0041238-0.0092777i,-0.013102-0.0023734i,-0.0098618-0.0060201i,0.0016363-0.0016363i,-0.013765+0.0015065i,-0.0011027+4.4314e-05i,0.0063626+0.0072924i,0.0045989-0.0055191i,-0.013983-0.013496i,0.0081854+0.009118i,-0.017914+0.0062387i,0.0052979-2.6039e-05i,-0.019873-0.0020987i,-0.01858-0.0045154i,-0.016372-0.034272i,0.019557-0.0078794i,-0.038428-0.023827i,-0.0085936+0.0022873i,0.017796+0.015887i,-0.0225+0.016685i,-0.0041435-0.0038734i
0.0041286+0.013247i,0.0087197+0.01792i,0.0047989+0.023265i,-0.0046165+0.023239i,0.0019202+0.03308i,0.015093+0.021651i,-0.0046353+0.031739i,-0.0079871+0.021302i,0.013819+0.010913i,0.00057223-0.003395i,0.001051-0.00072593i,0.0045592-0.0030583i,0.0011581-0.001953i,0.00061044-0.0047091i,-0.0014812-0.0020583i,0.0052424-0.006792i,-0.0024245-0.0045193i,-0.0011163+0.0028721i,0.00059975+0.00039314i,0.0007023+0.0018208i,-0.0030707-0.00016455i,-0.00077185-0.00029105i,0.0018257+0.00049124i,-0.0091205-0.0052132i,-0.00074089-0.00047541i,-0.0014274+0.0006416i,-0.0028788+0.00034014i,-0.0011207+0.00089362i,-0.0025712-0.00062169i,0.00027988-0.00076828i,-0.0030794+0.00072873i,0.00040582-0.0011428i,-0.0010086-0.0017667i,0.00017249-0.0010659i,-0.00048994+0.0014799i,-0.0012171-0.0036147i,-0.0019292+0.00097787i,0.0021783-6.7219e-05i,-0.00010419+0.0026104i,0.0020105+0.0051394i,0.00026679+0.0009709i,-0.0013538+0.00071909i,-0.0015336-0.0014645i,0.002565+0.0061618i,0.015154+0.0062298i,0.051127-0.067031i,-0.028457+0.0028459i,0.019365-0.027098i,-0.023449-0.033799i,-0.014088+0.0020362i,-0.037397+0.033051i,-0.023677+0.0035335i,-0.018407+0.0075535i,-0.003819-0.016027i,-0.040784-0.023369i,-0.0099711+0.001864i,-0.029284+0.011156i,0.0026437+0.016948i,0.00021289+0.0058711i,-0.0057326-0.004826i,-0.00026811+0.0022309i,-0.014116-0.0046779i,0.0051793+0.01281i,-0.0021647+0.0075103i,-0.0024784+0.0034505i,0.0010087+0.0060147i,0.0017132+0.003419i,-0.0021882+0.020527i,0.0021225+0.016126i,0.006283-0.005075i,0.014107-0.0065238i,0.0087845+0.0034085i,-0.0039613-0.0061878i,6.6464e-05-0.0015027i,0.019106-0.034236i,0.0095815+0.0053873i,0.0086434-0.00065811i,0.0020725-6.5189e-05i,0.0053332-0.0084513i,0.022613+0.00050865i,0.0056569-0.0033575i,0.0013002-0.0077329i,0.004623-0.002414i,0.016407+0.0037104i,0.0059919+0.0032895i,0.0035067-0.0045847i,0.0080836+0.0093391i,-0.0018507+0.0048662i,0.010119+0.010917i,-0.012203-0.014852i,-0.0096129-0.0009187i,-0.0078872-0.013595i,-0.0085383-0.0068552i,-0.039301+0.0055506i,-0.0057968+0.0042443i,-0.012002-0.00026732i
0.0063983+0.012211i,0.01108+0.014823i,0.0094266+0.019124i,-0.00084473+0.021905i,0.0069698+0.030276i,0.018205+0.018485i,1.0714e-05+0.031764i,-0.0040236+0.021615i,0.014811+0.0051473i,-0.00057054-0.003339i,0.0012071-0.00014236i,0.003494-0.0046494i,0.00058015-0.002754i,0.00043551-0.0040653i,-0.0020779-0.0014142i,0.0016994-0.0064954i,-0.0046551-0.0025756i,6.6001e-05+0.0030462i,0.0015747+0.000198i,0.0016374+0.0011856i,-0.0023054+0.0013512i,-0.00024966+0.00049253i,0.0022405-0.00035231i,-0.0093245-0.0019605i,-0.00051879+5.5254e-06i,-0.0010959+0.0011278i,-0.0021395+0.0016695i,-0.00046108+0.0010529i,-0.0025582+0.00025209i,0.00048292-0.00059977i,-0.0023604+0.0020964i,-0.00028972-0.00058541i,-0.0017399-0.0011084i,-0.00088548-0.0010863i,-0.0015297+0.0010006i,-0.00032497-0.0025532i,-0.0011477+0.0017136i,0.0015873-0.00095049i,0.00028332+0.0028988i,0.0034048+0.0034581i,0.00076699+0.0009187i,-0.0013576+0.0011693i,-0.0021473-0.0010094i,0.0041872+0.0054244i,0.015958+0.00090927i,0.025737-0.078901i,-0.022314+0.012153i,0.0084318-0.035535i,-0.034691-0.026148i,-0.011225+0.0057582i,-0.024643+0.040648i,-0.020668+0.010596i,-0.0079181+0.0025736i,-0.0057631-0.014417i,-0.046609-0.0075542i,-0.0095832+0.002877i,-0.023918+0.022849i,0.007031+0.012147i,0.0015328+0.0042039i,-0.010927-0.0058171i,-0.0030046+0.0057715i,-0.014077+0.0033078i,0.010236+0.0097845i,-0.00077076+0.010715i,-0.00053056+0.0038109i,0.0031408+0.0068951i,0.00352+0.0036342i,0.0066165+0.016386i,0.007754+0.010363i,-0.00032626-0.0087081i,0.0063111-0.0082855i,0.0082736+0.0014323i,-0.0064125+0.00029349i,-0.0002601+0.0007249i,0.0041726-0.03379i,0.01154+0.0024426i,0.0089417-0.003809i,0.0040009-0.0012185i,0.00078588-0.0055936i,0.021274-0.0091327i,0.0028339-0.0050482i,-0.0026255-0.0065015i,0.00086698-0.0022383i,0.014734-0.00238i,0.0074246+0.0024697i,0.0024624-0.0030856i,0.01087+0.00594i,-0.00046163+0.0055345i,0.011995+0.0059519i,-0.018277-0.013156i,-0.0050009-0.014407i,-0.0070372-0.012082i,-0.009183-0.0045958i,-0.033834+0.019154i,-0.0033414+0.0052013i,-0.010273+0.0018658i
0.009332+0.010486i,0.013112+0.011922i,0.011775+0.014407i,0.0019381+0.020282i,0.012724+0.027699i,0.020985+0.014653i,0.0051329+0.031158i,-9.1979e-05+0.021035i,0.013106+0.00078153i,-0.001595-0.0027371i,0.0020607-0.00012305i,0.00061457-0.0054229i,-0.00029853-0.0029324i,-0.00055934-0.0042784i,-0.0023235-0.0007345i,-0.0012573-0.0045101i,-0.0052494+0.00015841i,0.0014295+0.0028069i,0.0019799-0.0012322i,0.0022782+0.00010425i,-0.0010824+0.0017544i,0.00075042+0.00028376i,0.0022433-0.0013366i,-0.0092501+4.5429e-05i,-0.00028042+0.00043833i,-0.00031546+0.0017377i,-0.00079992+0.0019973i,0.00021592+0.0010767i,-0.0020809+0.0010494i,0.00014224-0.0010478i,-0.001176+0.0027872i,-0.00048861-0.00011841i,-0.0020352-7.1289e-05i,-0.0016375-0.0005641i,-0.0012484+0.0022276i,0.00081503-0.00315i,-0.00037059+0.0017624i,0.00086651-0.0014976i,0.0023469+0.0023819i,0.0038418+0.0018723i,0.0012132+0.00067548i,-0.00017766+0.0019672i,-0.0025772-0.00048466i,0.005338+0.0032936i,0.014886-0.003528i,-0.0012878-0.077668i,-0.010909+0.016101i,-0.0042067-0.037383i,-0.038894-0.016927i,-0.0051659+0.0070446i,-0.0083052+0.042196i,-0.0096586+0.014114i,-0.007458-0.0035002i,-0.0071194-0.013457i,-0.043864+0.0075521i,-0.008393+0.0047373i,-0.012353+0.029584i,0.0086098+0.0070727i,3.3097e-07+0.0013817i,-0.018745-0.0012136i,-0.0012581+0.0076126i,-0.0095733+0.0083918i,0.012587+0.0037573i,0.0038439+0.011858i,-0.001821+0.0044489i,0.0048956+0.0049808i,0.0055853+0.0015747i,0.0093987+0.0096975i,0.0082933+0.004701i,-0.0067201-0.0043484i,0.0036261-0.0068028i,0.0094625-0.00014732i,-0.0023063+0.0069958i,0.001968+0.0021919i,-0.0060171-0.02886i,0.013266-0.0027042i,0.0065929-0.0066058i,0.0028968-0.0030993i,0.0011069-0.0041338i,0.013803-0.016369i,-0.0006282-0.0018924i,-0.0056482-0.0036591i,-0.00013583+0.00070691i,0.010621-0.0061997i,0.010491-0.0015582i,0.0032182-0.0039361i,0.013401+0.00062521i,0.0031721+0.004638i,0.011939+0.0013263i,-0.021777-0.0055858i,-0.015912-0.022172i,-0.006239-0.014205i,-0.0077724-0.0036646i,-0.023397+0.025652i,-0.003063-0.00017249i,-0.0084349-0.0016942i
0.011811+0.0071267i,0.014752+0.0085551i,0.012602+0.009876i,0.0045963+0.019237i,0.017721+0.022455i,0.023046+0.010003i,0.010664+0.029504i,0.0035912+0.019525i,0.011127-0.0012397i,-0.0022192-0.0019274i,0.0024794-0.0013499i,-0.0018086-0.0040407i,-0.0013763-0.0028652i,-0.002087-0.0033659i,-0.0026204-0.00013498i,-0.0020072-0.00158i,-0.0038311+0.0026501i,0.0024495+0.0017281i,0.0011586-0.0016385i,0.0020704-0.0012679i,-0.00026603+0.0016635i,0.001381-0.00037652i,0.0017958-0.00242i,-0.008948+0.0028018i,0.00032404+0.00031863i,0.0010614+0.00082678i,0.00019622+0.0016146i,0.00078988+0.00060326i,-0.0012445+0.0018912i,-0.00021379-0.00066518i,-1.4622e-05+0.0027664i,-0.00061129+0.00029258i,-0.0018839+0.00086754i,-0.0018478+0.00046524i,-0.00016453+0.002397i,0.00058195-0.0050495i,0.00069242+0.0017147i,4.3784e-05-0.0015819i,0.0027164+0.00032023i,0.0038314+0.00056243i,0.0016226-4.1538e-06i,0.00098909+0.0014216i,-0.0026773+0.00026551i,0.0041462+0.00021648i,0.013267-0.0069506i,-0.021538-0.063868i,-0.0015253+0.012513i,-0.014976-0.034208i,-0.042362-0.0075988i,0.00041741+0.0044726i,0.0051345+0.036804i,-9.9279e-06+0.0083677i,-0.0075567-0.0040977i,-0.0068085-0.011029i,-0.037373+0.017633i,-0.0072618+0.0060294i,-0.00050059+0.029398i,0.0086975+0.0029534i,-0.0033465+0.0021381i,-0.020778+0.0093353i,-5.2781e-05+0.0093597i,-0.0053318+0.0089023i,0.010889-0.0025631i,0.0086256+0.010326i,-0.00085372+0.0074488i,0.0042672+0.0041938i,0.0060878-0.0022636i,0.0081835+0.0035845i,0.0058744+0.001413i,-0.005436+0.00055876i,0.0015133-0.0063269i,0.0087687-0.0026669i,0.005829+0.0070265i,0.0036606+0.00081536i,-0.011236-0.022506i,0.010515-0.0071762i,0.0039665-0.0084639i,0.0020339-0.0021948i,0.00057536-0.0047557i,0.0056613-0.017547i,0.0023891-0.00023537i,-0.0060149+0.00044263i,0.0023216+0.0023086i,0.0073634-0.0070517i,0.0085474-0.0064852i,0.0011727-0.0041962i,0.010953-0.006721i,0.0033969+0.001517i,0.01105-0.0034437i,-0.017702+0.0026347i,-0.027175-0.020022i,-0.010205-0.018262i,-0.0071555-0.0047133i,-0.015064+0.026146i,-0.0084845-0.0010422i,-0.012038-0.0012286i
0.012705+0.0035616i,0.015005+0.0048374i,0.012015+0.0061073i,0.0075208+0.01785i,0.020674+0.016626i,0.023762+0.0052778i,0.015914+0.026432i,0.0066334+0.017418i,0.010074-0.0025576i,-0.0023584-0.00099978i,0.0015976-0.0022825i,-0.0026753-0.0021208i,-0.002207-0.0024582i,-0.0023304-0.0021195i,-0.0026098+0.00072746i,-0.0013743+0.00036332i,-0.0018096+0.0038873i,0.0026535+0.00057168i,0.00088929-0.0016655i,0.001152-0.0021865i,0.00017298+0.0014161i,0.0012418-0.0011806i,0.00063478-0.0030473i,-0.0064189+0.0047352i,0.00038143-0.00033055i,0.00086131-0.00066483i,0.00083999+0.0009385i,0.0009826-1.8813e-06i,1.1497e-05+0.0020575i,0.00034441-0.00042343i,0.00085357+0.0024895i,-0.0004379+0.00031991i,-0.0013434+0.0017039i,-0.0015489+0.0013341i,0.00033222+0.002185i,-0.001049-0.0066439i,0.0013524+0.00099865i,-0.00056923-0.0011601i,0.0018726-0.00050981i,0.0033167-0.00027756i,0.0014997-0.00077439i,0.001266+0.00063075i,-0.0024707+0.0009307i,0.0020433+0.0006445i,0.011226-0.0093729i,-0.027867-0.047403i,0.0032874+0.006751i,-0.023867-0.027446i,-0.043707+0.0042463i,0.002823-0.00058773i,0.014728+0.028092i,0.0038644+0.0013457i,-0.0066469-0.0051722i,-0.0055121-0.011029i,-0.031131+0.025622i,-0.0053066+0.0068429i,0.011269+0.0249i,0.0077286-3.9769e-05i,-0.0046365+0.0056423i,-0.016642+0.017389i,0.0032125+0.010013i,-0.0013354+0.010562i,0.0051465-0.0049058i,0.011687+0.0068475i,0.0025128+0.0086132i,0.0048902+0.0042292i,0.0048107-0.0050132i,0.0049206+0.0028011i,0.003534+0.0018301i,-0.0040812+0.0024974i,0.00021975-0.0047494i,0.0075625-0.0050951i,0.0091868+0.001676i,0.0037768-0.001325i,-0.014205-0.019817i,0.0065111-0.0098485i,0.00036583-0.0092574i,0.0037271-0.0021065i,-0.00099354-0.004229i,0.00058445-0.0162i,0.0036696-0.0024324i,-0.0032283+0.0034394i,0.0050077+0.00091314i,0.0057467-0.007659i,0.0046874-0.010115i,0.00087056-0.0036144i,0.0048798-0.0096063i,0.0022567-6.7533e-05i,0.0064016-0.0077777i,-0.011844+0.0040068i,-0.037599-0.010447i,-0.016079-0.018333i,-0.0077829-0.0064006i,-0.0095108+0.025605i,-0.012497+0.0025811i,-0.011658+0.0028726i
0.012702+0.0002331i,0.014408+0.0019569i,0.010792+0.0036402i,0.010316+0.015603i,0.021472+0.010673i,0.024008+0.00092301i,0.020444+0.022007i,0.0089294+0.014941i,0.0095085-0.0041603i,-0.0023553-0.00053096i,0.00024383-0.002492i,-0.0027084-0.00054349i,-0.0032209-0.0017542i,-0.0022406-0.0016725i,-0.0023334+0.001459i,-0.0002711+0.0014791i,0.00041917+0.0038616i,0.0025281-0.00036765i,0.00024568-0.0019674i,-6.2354e-05-0.0024315i,0.00084155+0.0012932i,0.00081075-0.0018008i,-0.00045882-0.0029096i,-0.0048977+0.0047563i,7.5084e-05-0.00047571i,-0.00014601-0.0013207i,0.00089095+4.0082e-05i,0.00095153-0.00069016i,0.0010308+0.0014533i,0.00057323-0.0010617i,0.0016987+0.0020691i,-0.00029125+0.00025237i,-0.00041458+0.0021611i,-0.0008679+0.0017892i,0.0007294+0.0021325i,-0.0034985-0.0074137i,0.0015016+3.3457e-06i,-0.0007779-0.00077087i,0.0013569-0.00086975i,0.0027867-0.00073206i,0.0010113-0.0010415i,0.001266+0.00025859i,-0.0019738+0.0012504i,0.0015795+0.0017926i,0.0090424-0.010592i,-0.02585-0.037131i,0.0049579+0.0020434i,-0.028213-0.016842i,-0.038263+0.018449i,-0.0001537-0.005501i,0.019056+0.018685i,0.0053401-0.0049007i,-0.0057946-0.0057883i,-0.0069262-0.011147i,-0.023394+0.031091i,-0.0047963+0.0076424i,0.017577+0.012542i,0.0063313-0.0027835i,-0.0030522+0.0091033i,-0.0086506+0.022707i,0.0063394+0.00791i,0.0043584+0.0083356i,0.0021803-0.003241i,0.014074+0.0018981i,0.00569+0.0082282i,0.0059684+0.0034357i,1.2277e-05-0.0082092i,0.0043345+0.0043539i,0.0039682+0.0033135i,-0.0019664+0.0053991i,0.00074484-0.003873i,0.00581-0.0064031i,0.0094122-0.0031941i,0.003256-0.0034165i,-0.020728-0.017567i,0.0026146-0.010688i,-0.0036272-0.0082409i,0.0026519-0.0042457i,-0.0017658-0.0023713i,-0.0021576-0.013299i,0.0025412-0.0043994i,0.00010739+0.0038011i,0.0055161-0.0029375i,0.0033455-0.0089581i,-0.0019227-0.011023i,0.00037585-0.0047589i,0.00064396-0.0083528i,0.001528-0.00099773i,0.000205-0.0078097i,-0.008795+0.0040712i,-0.036136+0.0071968i,-0.022054-0.015927i,-0.0096639-0.0066193i,-0.0058611+0.025458i,-0.011629+0.0084975i,-0.0071366+0.0041898i
0.011875-0.0028896i,0.013618-0.00029029i,0.009643+0.0021757i,0.012344+0.012686i,0.020778+0.0061567i,0.02367-0.0037709i,0.023802+0.016744i,0.010598+0.012474i,0.0086735-0.0055237i,-0.002469+7.0552e-05i,-0.00088559-0.001929i,-0.0018084+0.00066878i,-0.0039023-0.00051283i,-0.0025835-0.001665i,-0.0019471+0.0020795i,0.00085896+0.0017943i,0.0019588+0.0029654i,0.002088-0.00096449i,-0.00022594-0.0017511i,-0.0010459-0.0019171i,0.0013354+0.00078994i,7.9806e-05-0.0021786i,-0.0012965-0.0024594i,-0.0040586+0.0058451i,-6.9226e-05-0.00082367i,-0.001183-0.0010922i,0.00060083-0.0005772i,0.00043405-0.0013998i,0.0014897+0.00035597i,-9.8693e-05-0.0018i,0.0023771+0.0012073i,-0.00015428+0.00045933i,0.00075042+0.0019753i,-4.3817e-05+0.0018347i,0.0013375+0.0013846i,-0.0065693-0.007002i,0.001285-0.00079326i,-0.00098358-0.00060731i,0.00098428-0.0013536i,0.0023477-0.0010476i,0.00064726-0.0011161i,0.0014239-0.00016814i,-0.0015937+0.0012463i,0.0020193+0.0021172i,0.00799-0.012121i,-0.025315-0.035198i,0.0056889-0.0015673i,-0.026111-0.0081538i,-0.026806+0.028156i,-0.0029099-0.0059171i,0.021446+0.011093i,0.0038818-0.010698i,-0.0049943-0.0074487i,-0.0075044-0.0091938i,-0.01497+0.035104i,-0.0023577+0.0080095i,0.012838+0.0014214i,0.0035509-0.0050737i,4.2096e-05+0.010666i,-0.00051667+0.022298i,0.007126+0.0048226i,0.0064503+0.0041842i,0.0021481-0.0023274i,0.014019-0.0030528i,0.010406+0.006015i,0.006981+0.0030139i,-0.0045642-0.0042439i,0.0060034+0.00506i,0.0055244+0.0034905i,0.0013265+0.0058598i,-4.5018e-05-0.0044925i,0.0039256-0.0079077i,0.0075219-0.0094656i,0.00020911-0.0043992i,-0.026939-0.010178i,-0.00083876-0.010207i,-0.0062535-0.0049449i,0.0022111-0.0032022i,-0.0017228-0.0015826i,-0.0038788-0.013272i,0.00049482-0.005674i,0.0019615+0.0016878i,0.0031786-0.0047635i,0.00079618-0.0087273i,-0.0059426-0.0073061i,-0.002274-0.0052379i,-0.0028084-0.0071307i,3.6521e-05-0.0013232i,-0.0025621-0.0043908i,-0.0050169+0.0038986i,-0.028065+0.0098715i,-0.022737-0.011303i,-0.011343-0.0064567i,-0.00031537+0.023917i,-0.0096391+0.010706i,-0.0057135+0.002812i
0.010394-0.0054016i,0.012984-0.0019721i,0.0089427+0.001521i,0.013726+0.0098209i,0.019557+0.0027294i,0.022122-0.008305i,0.025974+0.011078i,0.011966+0.010178i,0.0078926-0.0069757i,-0.0022814+0.00070763i,-0.0012567-0.00094956i,-0.00075333+0.00073378i,-0.0040187+0.0010277i,-0.0035708-0.00084542i,-0.001295+0.0026843i,0.0019291+0.0011886i,0.0027866+0.0018553i,0.0017352-0.001374i,-0.0005689-0.0015513i,-0.0014103-0.00099957i,0.0015286+0.00012498i,-0.00068103-0.0018519i,-0.0018647-0.0017551i,-0.0017887+0.0068432i,-0.00066017-0.00099954i,-0.0017164-0.0004117i,-6.0702e-05-0.0010471i,-0.0005163-0.0017371i,0.0012858-0.00074829i,-0.00095997-0.0018696i,0.0024022+0.00016545i,0.00015188+0.00024109i,0.0013131+0.001172i,0.00050285+0.0016121i,0.0012114+0.00060582i,-0.0093433-0.0048385i,0.00062697-0.001485i,-0.0012954-0.00023515i,0.00025843-0.0021123i,0.0021323-0.0011001i,0.00044588-0.0011586i,0.0013071-0.00064225i,-0.001565+0.0011063i,0.0026045+0.0022242i,0.0061929-0.014426i,-0.030782-0.033754i,0.0046235-0.0058564i,-0.024156-0.0019134i,-0.014039+0.030867i,-0.0063138-0.0058614i,0.022833+0.0030115i,0.0017229-0.013821i,-0.0058413-0.0088388i,-0.0065459-0.0064154i,-0.0046855+0.036906i,3.874e-05+0.0074355i,0.0074915-8.1309e-05i,0.00058083-0.0057225i,0.0044021+0.01141i,0.0061078+0.018515i,0.0066736+0.0020389i,0.00601-0.00046473i,0.0010029-0.0021087i,0.011096-0.0088196i,0.013109+0.0010972i,0.0084067+0.0016509i,-0.0051178-0.0013344i,0.0083462+0.0047026i,0.0073661+0.0030118i,0.0053051+0.0045522i,-0.0010791-0.0039923i,0.0020631-0.0090293i,0.0022904-0.012045i,-0.0013611-0.002483i,-0.029672-2.3531e-05i,-0.0032886-0.009316i,-0.0066234-0.0011995i,0.0019857-0.0032442i,-0.0021144-0.001169i,-0.0076921-0.012878i,-0.002127-0.0054745i,0.0031724+0.00066684i,0.0010848-0.0054707i,-0.00055331-0.0082949i,-0.0081398-0.0042748i,-0.0049443-0.0031162i,-0.0057983-0.0048018i,-0.00020876-0.0013552i,-0.0024938-0.0021859i,-0.0021996+0.0026421i,-0.02669+0.011814i,-0.022333-0.0088628i,-0.013529-0.0053728i,0.0016647+0.022561i,-0.0084799+0.011617i,-0.0046195+0.0021891i
0.0087521-0.007188i,0.012612-0.0039248i,0.0090148+0.00086468i,0.014486+0.006872i,0.018899+0.0003631i,0.019688-0.012177i,0.026727+0.0048489i,0.013067+0.0076582i,0.0066964-0.0084792i,-0.0020249+0.0011616i,-0.001198-0.00044998i,-0.00054571+0.00013851i,-0.0034672+0.0025057i,-0.0036794+0.00046739i,-0.00040412+0.0029955i,0.0020378+0.00014411i,0.0029493+0.00053147i,0.001063-0.001834i,-0.0010179-0.0011785i,-0.0011564-0.00036232i,0.0015763-0.00053131i,-0.00095767-0.001385i,-0.0019942-0.00096959i,0.00083783+0.0064655i,-0.0013422-0.00085767i,-0.0020011+0.00035908i,-0.0010206-0.0010333i,-0.001536-0.0014706i,0.00054647-0.0016843i,-0.0018789-0.0015318i,0.0020747-0.0006402i,-4.2922e-05+0.00013341i,0.0013152+0.0005034i,0.00095369+0.0012856i,0.00092274+0.00034409i,-0.010743-0.0016079i,-0.00047242-0.0017161i,-0.0013171+0.00029479i,-0.00095646-0.0022362i,0.0020555-0.0012932i,0.00014532-0.0011374i,0.0010258-0.0010025i,-0.001632+0.0012753i,0.0034139+0.002104i,0.0027866-0.01568i,-0.037957-0.025603i,0.0024927-0.0087634i,-0.018523+0.0038902i,-0.0028387+0.031106i,-0.0083574-0.0016416i,0.022203-0.0057959i,0.0016283-0.017462i,-0.0060226-0.0085674i,-0.003505-0.0037987i,0.0051259+0.034767i,0.0012769+0.0058252i,0.0048748-0.00097805i,-0.0029991-0.0055538i,0.0097871+0.0088614i,0.0083319+0.01398i,0.0042964+0.00038298i,0.0043682-0.0043557i,0.00097239+0.00068023i,0.0049792-0.011855i,0.013064-0.0058815i,0.0092657-0.00091878i,-0.0052534+0.0020162i,0.011722+0.0028853i,0.0097313+0.00042217i,0.0072911+0.00012477i,-0.0013781-0.003315i,-0.00070243-0.0093719i,-0.0042154-0.011813i,-0.00081681-0.00068838i,-0.028468+0.011004i,-0.0054-0.0083185i,-0.0051353+0.0020758i,0.0022086-0.0057299i,-0.0023963+0.00014643i,-0.012097-0.010185i,-0.0045712-0.0033175i,0.003282-0.0017898i,-0.00094468-0.0051854i,-0.0025507-0.0080326i,-0.008439+0.00096343i,-0.0051682+0.00022163i,-0.0073885-0.0013782i,-0.0013286-0.0023489i,-0.0020049-0.0018059i,-0.00027979+0.0013117i,-0.025807+0.019281i,-0.022944-0.0091051i,-0.013363-0.0030948i,0.0058694+0.021739i,-0.0078373+0.01399i,-0.0028303+0.00020356i
0.007154-0.0084993i,0.011842-0.0058833i,0.0092922-0.00045831i,0.014676+0.0038445i,0.018495-0.0020763i,0.016873-0.015231i,0.025741-0.00091853i,0.01356+0.0050175i,0.0053888-0.0096822i,-0.0018804+0.0016098i,-0.0013014-7.9795e-05i,-0.00102-3.4231e-05i,-0.0025248+0.0034811i,-0.0033339+0.0016694i,0.00041228+0.0029371i,0.0012131-0.00043939i,0.0025152-0.00054674i,0.00039597-0.0018396i,-0.00094869-0.00064025i,-0.00072186-0.00011869i,0.0015612-0.0012296i,-0.0010135-0.001115i,-0.0017247-0.00041046i,0.0027594+0.0056396i,-0.0017969-0.00046303i,-0.0019351+0.0013356i,-0.0017804-0.00047486i,-0.0022046-0.00064465i,-0.00069414-0.0021058i,-0.0028292-0.00074098i,0.001493-0.0011385i,-0.00011165+0.00035058i,0.0012382+3.5777e-05i,0.0013219+0.0008145i,0.00067633+0.00023428i,-0.010903+0.0017715i,-0.0014749-0.0014101i,-0.0011496+0.00059855i,-0.0020688-0.0016011i,0.0019356-0.0017967i,8.1091e-05-0.00098564i,0.00076778-0.001396i,-0.0016414+0.0016776i,0.0041838+0.0014738i,3.0295e-05-0.015286i,-0.03776-0.013622i,-0.0015248-0.010175i,-0.012209+0.0047059i,0.0084004+0.028572i,-0.0066195+0.0031872i,0.01782-0.013162i,-0.0014087-0.023522i,-0.0047985-0.0088459i,0.0018206-0.0028518i,0.014642+0.029023i,0.0015848+0.0047504i,0.0018629-0.0011875i,-0.0053858-0.0033165i,0.01238+0.0029589i,0.010228+0.011907i,0.0014517+0.0013542i,0.00051325-0.0075329i,0.0041488+0.00065486i,-0.00084945-0.010789i,0.0085363-0.010429i,0.0089894-0.0040724i,-0.0045814+0.0042997i,0.013425-0.0026603i,0.0094571-0.0049839i,0.0058827-0.0046715i,-0.0020003-0.0030428i,-0.0036151-0.0085521i,-0.008812-0.0070995i,0.00036379-0.00079155i,-0.021858+0.022569i,-0.0078736-0.0065041i,-0.0023754+0.0036326i,-0.0013198-0.0066494i,-0.0013777+0.0010445i,-0.01562-0.0052316i,-0.0042588-1.2737e-05i,0.0011876-0.0036221i,-0.0029749-0.0042151i,-0.0045469-0.0065618i,-0.0056816+0.0042465i,-0.0033932+0.0021332i,-0.0074574+0.0028955i,-0.0040227-0.0019652i,-0.0026124-0.0016619i,0.003306+0.00058527i,-0.015022+0.025914i,-0.026994-0.0073559i,-0.012204-0.0028012i,0.0084088+0.019114i,-0.0053063+0.016653i,-0.003595-0.0034329i
