-0.0015909-0.042192i,-0.00018788-0.046259i,-0.0081833-0.047778i,-0.030288-0.022458i,-0.023129+0.010895i,-0.03673-0.032915i,-0.062655-0.058436i,-0.02097-0.06901i,-0.022377-0.07821i,-0.0012868+0.016744i,-0.010365+0.012424i,-0.015308+0.013135i,0.0032948+0.015345i,-0.0026438-0.0019738i,0.0020714+0.0063139i,-0.00037969+0.035007i,0.028151+0.05133i,0.001231-0.0005684i,-0.0035561-0.0098043i,0.0063788+0.0041578i,0.0017349+0.0014066i,0.0012779+0.0037602i,-0.00038212-0.0004966i,-0.036485-0.011279i,-0.0027722-0.0073566i,-0.0010294+0.004785i,0.0039187-0.0065773i,-0.00033174+0.00018941i,0.0007168-0.0005522i,4.5618e-05-0.0024185i,-0.0018433-0.0055111i,-0.0035481-0.0063716i,-0.0015599-0.0067192i,0.0031741+0.00021026i,0.0030378-0.0016035i,-0.0026517+0.040837i,0.0067823-0.0045557i,0.0031461-0.00036246i,0.0052932-0.00041928i,-0.018009+0.0015948i,-0.00088982+6.4972e-05i,0.0074861-0.0017788i,0.0043425+0.0014374i,-0.0043747+0.0016224i,-3.6473e-05+0.0093374i,-0.0057457+0.017873i,0.027568-0.080587i,0.00016552-0.054835i,-0.023314-0.043486i,-0.018663-0.03762i,0.063021-0.016183i,0.030526-0.058918i,0.038771-0.043776i,0.033491-0.05272i,0.01974-0.015748i,0.0080668+0.012302i,0.022245-0.034034i,-0.0067094-0.0052114i,0.002862-0.0011772i,-0.0024341-0.0044521i,0.0053343-0.032128i,-0.025923+0.031321i,0.0091954-0.010258i,-0.012311-0.0027794i,-0.0046379-0.0013725i,0.00029996-0.014729i,-0.0099324+0.0055185i,0.003597+0.0061497i,-0.014133+0.030471i,0.0048469+0.0066306i,-0.0053446-0.0027769i,-0.0010275-0.0025078i,-0.013255-0.0083331i,0.00027989-0.0034583i,-0.043324+0.0081127i,0.0013199-0.012803i,-0.0092433-0.0028893i,-0.0071189-0.0033849i,0.0064501+0.0026571i,-0.0094726+0.0023906i,0.00019906+0.0017528i,0.0049739+0.010466i,0.0049721+0.0009081i,-0.0093188-0.0092927i,0.0015871+0.0083253i,-0.020273+0.0050963i,0.0064625+0.003243i,-0.028086-0.0089235i,-0.035989-0.0024123i,0.024004-0.077614i,0.014321-0.008961i,-0.042505-0.028411i,-0.025217-0.0075748i,0.017265+0.012517i,-0.027218+0.011191i,-0.012074-0.010014i
-0.041597-0.0063431i,-0.058014+0.0040166i,-0.042327+0.049811i,-0.019263+0.0091032i,-0.0050823+0.018448i,-0.0053222+0.037138i,-0.02745+0.017757i,-0.061461+0.024256i,-0.027374+0.017716i,0.0022945-0.010819i,0.00358-0.0015887i,0.0031579+0.00030676i,0.003238+0.0089058i,-0.0037146+0.0014887i,0.00013287+0.0017882i,0.0014104-0.0068537i,-0.01157-0.0076609i,-0.0038948+0.00048075i,0.0035933-0.0019389i,0.0010347+0.00023936i,0.0011253-0.0043211i,0.0021707-0.0039571i,0.0013681-0.0029924i,-0.011249-0.013031i,-0.0026923-0.0015628i,-0.0040217-0.00013575i,-0.0030123-0.00048984i,-0.0045054-0.0007478i,-0.0011248-0.002017i,0.0019292-0.0013322i,-0.0036344+0.0034515i,0.0018922+0.0017784i,0.0020999+0.0016881i,0.0012956+0.0013503i,-0.002012+0.0025864i,-0.0049143-0.0089964i,-0.0048071+0.0011011i,0.00052832+0.00019101i,-0.00024909+0.0045346i,0.0091315+0.0066483i,0.0014637-0.002635i,0.0013003-5.0224e-06i,-0.0043889-0.0047599i,0.0012476+0.005648i,-0.008971-0.017384i,0.016977-0.078636i,-0.0836-0.028223i,-0.024377-0.022051i,-0.050378-0.041464i,-0.042593-0.0082253i,-0.089837+0.018732i,-0.061502-0.0042545i,-0.039431-0.027113i,-0.025989-0.056435i,-0.034755-0.028587i,-0.00068853+0.0039472i,-0.0263+0.010328i,0.0068204+0.018015i,0.003834+0.0077787i,-0.0036649-0.0044681i,0.0076251+0.0058208i,-0.012384-0.0048371i,0.0020125+0.011808i,2.712e-05+0.0082861i,-0.0013186-0.001806i,0.0070551+0.0022381i,0.0044788-0.00080246i,-0.0038362+0.018836i,-0.00096145+0.013694i,0.0019514-0.0045911i,0.012238-0.0076827i,0.0039864+0.0040621i,-0.0074326-0.0079408i,-0.0015072-0.0014708i,0.022841-0.029278i,0.0090854+0.0082985i,0.0041966+0.0034757i,-0.0019761+0.0025256i,0.0042308-0.0036604i,0.01952+0.0028131i,0.0017186-0.0020124i,-0.00085315-0.0080215i,0.0021194-0.0032966i,0.012043+0.0048003i,0.005842+0.0011209i,0.0030863-0.0069299i,0.0052423+0.007471i,0.0034169+0.0028671i,0.018941+0.0048961i,-0.066996-0.040168i,-0.010801+0.0094955i,-0.0075284-0.0038784i,-0.0095876+0.0044907i,-0.037382+0.0071519i,-0.0049258+0.0081906i,-0.01592+0.004812i
-0.040699-0.000473i,-0.05646+0.010364i,-0.029201+0.050246i,-0.017923+0.010608i,-0.0016115+0.016005i,0.0014078+0.036855i,-0.024835+0.021479i,-0.05418+0.032194i,-0.020378+0.017933i,-0.001229-0.0094565i,0.0035428-0.00094087i,0.0032022-0.001397i,0.0050775+0.0062649i,-0.0018892+0.0031671i,0.00032715+0.0023687i,-0.0026513-0.0046856i,-0.015581-0.0007706i,-0.0030922+0.0016663i,0.0039915-0.0027319i,0.0015855-0.00039117i,2.5539e-05-0.0040766i,0.0015509-0.0032255i,0.0010181-0.0029089i,-0.013361-0.0082784i,-0.0028073-0.00067641i,-0.0041823+0.0013351i,-0.0024559+0.00051284i,-0.0038721+0.00045997i,-0.0016417-0.0016192i,0.0018448-0.0017377i,-0.0021578+0.004801i,0.0016732+0.0013731i,0.0022361+0.00067107i,0.00071099+0.00087953i,-0.0024864+0.0023562i,-0.004303-0.0070434i,-0.0023572-9.5764e-05i,-0.00016104-0.00026142i,0.0010689+0.0055888i,0.0096236+0.0013823i,0.0010265-0.003451i,0.0008053-0.0005413i,-0.0062127-0.0032242i,0.0027807+0.0052265i,-0.010639-0.021528i,-0.0060077-0.088393i,-0.082003-0.01061i,-0.030946-0.024411i,-0.060705-0.03226i,-0.040178+0.00044365i,-0.07611+0.037367i,-0.060043+0.010166i,-0.031153-0.025129i,-0.032673-0.052996i,-0.043289-0.016319i,-9.6874e-05+0.0016824i,-0.020475+0.02225i,0.011219+0.01158i,0.0065737+0.0048829i,-0.0086621-0.0062576i,0.0043286+0.0049596i,-0.011568+0.0030782i,0.007216+0.0096742i,0.0021257+0.0084037i,-0.0018227-0.001081i,0.0074244+0.0024733i,0.0044656-0.0018118i,0.0047994+0.015377i,0.0053354+0.010761i,-0.0035987-0.0057991i,0.0037892-0.0094588i,0.0051452+0.003685i,-0.010699-0.0004199i,-0.0024209+0.00083479i,0.007861-0.033057i,0.011749+0.0060663i,0.0076129+0.0019505i,0.00096413+0.0018471i,0.00073055-0.0019784i,0.018534-0.0065935i,9.3665e-05-0.0025452i,-0.0051811-0.0061419i,-0.00165-0.0031754i,0.011411+0.00019042i,0.0061633+0.00090678i,0.00063437-0.0042611i,0.0072177+0.005886i,0.0031223+0.0024513i,0.017899-0.0018186i,-0.072843-0.030878i,-0.0028145-0.0013233i,-0.0069088-0.0022315i,-0.0079309+0.0052633i,-0.031115+0.019774i,-0.0028762+0.0090018i,-0.015555+0.0056773i
-0.038317+0.0044911i,-0.055406+0.017015i,-0.020523+0.047696i,-0.017199+0.012797i,0.0029629+0.014745i,0.0084928+0.034925i,-0.020952+0.024789i,-0.046945+0.038225i,-0.0192+0.016341i,-0.0035101-0.0074262i,0.0043134-0.0012651i,-0.00030877-0.0021433i,0.0056804+0.0035672i,-0.0015956+0.003354i,0.0011233+0.0029645i,-0.0052076-0.00070567i,-0.015102+0.0076379i,-0.0012063+0.0028189i,0.003851-0.0052419i,0.0022386-0.001708i,-0.0010392-0.0036887i,0.0016974-0.0037824i,0.00075219-0.0032418i,-0.015202-0.0040792i,-0.003128+0.00047561i,-0.0029952+0.0037236i,-0.0016342+0.00059879i,-0.0026929+0.0016969i,-0.0023665-0.0015155i,0.00087671-0.0030373i,5.1285e-05+0.0052128i,0.0016941+0.0011189i,0.0021491+0.00020095i,0.00069987+0.00042923i,-0.0016537+0.0039964i,-0.0034452-0.0070053i,-0.0023856+0.0014362i,-0.00063866-8.2126e-05i,0.004839+0.00357i,0.0079869-0.0021145i,-0.00047392-0.0018085i,0.0011533+0.00017987i,-0.0076572-0.00086115i,0.0040836+0.0031095i,-0.015424-0.023832i,-0.032176-0.087121i,-0.073764+0.0026707i,-0.038883-0.021525i,-0.065747-0.021448i,-0.034276+0.0064485i,-0.055974+0.049205i,-0.046104+0.024283i,-0.03062-0.028438i,-0.038407-0.050568i,-0.093813+0.017804i,-0.00018151+0.0001306i,-0.0089163+0.027356i,0.011796+0.0051678i,0.0047021-0.0010456i,-0.015908-0.0054487i,0.0045351+0.0039159i,-0.0079436+0.0070836i,0.0098094+0.0044628i,0.0041505+0.008657i,-0.0040615+0.00054381i,0.0078934-0.00166i,0.0041645-0.0038613i,0.0080616+0.0086474i,0.0078678+0.0051019i,-0.0081183-0.0015178i,0.00039833-0.0070067i,0.0070912+0.0025953i,-0.0068208+0.0086581i,-0.00051168+0.0030383i,-0.002816-0.033617i,0.014337+0.00087028i,0.0071893-0.0025374i,0.0013644+0.0011539i,0.001148-0.00012372i,0.011784-0.012175i,-0.0028371+0.00050509i,-0.0077305-0.0021934i,-0.0036475+0.00085125i,0.0085111-0.0029548i,0.0078803-0.0025761i,0.0017602-0.0037692i,0.010016+0.0023094i,0.0049301+0.0016532i,0.015071-0.0074329i,-0.076507-0.017098i,-0.0058491-0.012503i,-0.0042272-0.0029241i,-0.0061387+0.0055891i,-0.02578+0.023592i,-0.001494+0.0034242i,-0.010927+0.0044497i
-0.035282+0.0076752i,-0.052876+0.025097i,-0.014369+0.046276i,-0.013802+0.016075i,0.0073609+0.0097487i,0.014858+0.031008i,-0.016116+0.02731i,-0.039458+0.042022i,-0.018631+0.018231i,-0.0049519-0.0057465i,0.0040294-0.0034864i,-0.0021906+0.00102i,0.0053202+0.0019132i,-0.0012672+0.0051172i,0.0016192+0.0029692i,-0.0047105+0.0038661i,-0.0087874+0.014321i,0.00050474+0.0019447i,0.00148-0.0064281i,0.0010023-0.0036064i,-0.0016341-0.0035877i,0.001079-0.004449i,-5.0747e-05-0.003934i,-0.015555+0.00089326i,-0.0023987+0.0010203i,-0.00014011+0.003497i,-0.001404+0.00066271i,-0.001101+0.001459i,-0.0030892-0.00053673i,-0.00097065-0.002789i,0.0015487+0.0046595i,0.001707+0.00062029i,0.0016796-0.0007866i,0.00049135+0.0002629i,0.00053585+0.0041487i,-0.0043848-0.0085912i,-0.0016405+0.0028926i,-0.00092759+0.00034788i,0.0037257-0.00072777i,0.0060088-0.0035427i,-0.00020203-0.0017031i,0.001761-0.00013366i,-0.0079714+0.0026156i,0.0026468-0.00055225i,-0.021414-0.023672i,-0.054812-0.073506i,-0.064491+0.0087668i,-0.045392-0.015339i,-0.070321-0.0099805i,-0.027423+0.0083905i,-0.03738+0.050401i,-0.029835+0.024376i,-0.032267-0.026337i,-0.045611-0.04545i,-0.033488+0.01855i,-0.0016821-0.00067321i,0.0017415+0.02583i,0.011762+0.00022566i,-0.00051399-0.0022506i,-0.02227+0.0021669i,0.0017905+0.0037099i,-0.0038151+0.0080737i,0.0083234-0.001041i,0.0071072+0.0083504i,-0.003554+0.0041709i,0.0040508-0.0033566i,0.0026452-0.0064827i,0.0064509+0.0024672i,0.0048938+0.001324i,-0.0075767+0.0033373i,-0.0019346-0.0053802i,0.0077124+0.00024115i,0.0022368+0.011922i,0.0015572+0.0021493i,-0.011774-0.025621i,0.013121-0.0040492i,0.0057654-0.0043724i,0.0020225+0.0016109i,0.0016942-0.00084055i,0.0057303-0.012522i,-0.00029852+0.0031651i,-0.0083373+0.0014756i,-0.0014438+0.0039011i,0.005859-0.0034671i,0.0059728-0.0071508i,2.396e-05-0.0040214i,0.0091836-0.0038531i,0.0049451-0.0012868i,0.011333-0.012131i,-0.073105-0.0036361i,-0.018317-0.015584i,-0.003363-0.0070025i,-0.0034832+0.0039858i,-0.013992+0.027347i,-0.0063597+0.0020089i,-0.013734+0.0039379i
-0.03333+0.010313i,-0.048976+0.032192i,-0.0098065+0.044523i,-0.0091941+0.017438i,0.0087828+0.0037356i,0.019217+0.026335i,-0.011071+0.028316i,-0.03239+0.045078i,-0.015717+0.021862i,-0.0055559-0.0035211i,0.0019995-0.0046846i,-0.00096245+0.0038812i,0.0046729+0.00058324i,0.0013893+0.0063803i,0.002659+0.0029995i,-0.0022355+0.0067548i,-0.00099779+0.016962i,0.00088423+0.00091908i,-0.00013741-0.0060877i,-0.00099776-0.003946i,-0.0030338-0.003392i,-0.00010707-0.0045803i,-0.0015977-0.0039647i,-0.01272+0.0055282i,-0.0030351+0.00057597i,0.00014103+0.0015168i,-0.0012513+0.00085395i,-0.00041708+0.00078101i,-0.0029514+0.00079796i,-0.0016797-0.0016085i,0.0027098+0.0037679i,0.0015037-0.00026382i,0.0006063-0.00069554i,0.00038742+0.00018221i,0.0013826+0.0036385i,-0.0074678-0.009141i,-0.00047652+0.003424i,-0.00084516+0.0011743i,0.0010486-0.0011434i,0.0039046-0.0033228i,-0.00038769-0.0019394i,0.0022678-0.00076471i,-0.0066659-0.0018208i,-0.00042296+0.00032837i,-0.027443-0.020457i,-0.064004-0.053318i,-0.058914+0.010617i,-0.050181-0.0066736i,-0.072842+0.0043425i,-0.023319+0.0062775i,-0.022433+0.046844i,-0.01983+0.020461i,-0.032308-0.024928i,-0.050618-0.039352i,-0.026326+0.023843i,-0.0025369-0.00053755i,0.012385+0.020143i,0.0098427-0.0019655i,-0.0043332+0.00012952i,-0.022298+0.013122i,0.0017622+0.0053238i,0.00042381+0.0094917i,0.0029409-0.0021665i,0.011064+0.005965i,-0.0014086+0.0064744i,0.0011887-0.0018769i,-0.00063595-0.0071202i,0.0025147+0.0014332i,0.0018562+0.0022386i,-0.0061395+0.0071739i,-0.003479-0.0022076i,0.007281-0.002408i,0.0072946+0.0082595i,0.0025084+0.00075014i,-0.014741-0.023162i,0.0098004-0.0081492i,0.0036319-0.0059262i,0.0035528+0.0017888i,0.00092033-0.00083892i,0.0023626-0.011165i,0.0023375+0.0024808i,-0.0061285+0.0059912i,0.0017458+0.0045009i,0.0051146-0.003594i,0.00030796-0.009213i,-0.00013747-0.0032224i,0.0043922-0.0072543i,0.0030999-0.0031553i,0.0046399-0.016013i,-0.067394+0.0043459i,-0.029269-0.0085604i,-0.0070045-0.012434i,-0.0028558+0.00048128i,-0.0091425+0.026776i,-0.010114+0.004714i,-0.013784+0.0072961i
-0.031892+0.013084i,-0.044075+0.039119i,-0.0064737+0.045027i,-0.0041572+0.016497i,0.006809-0.0020918i,0.022908+0.022124i,-0.0060794+0.02778i,-0.025339+0.047704i,-0.011659+0.023075i,-0.0059599-0.0022869i,-0.00096391-0.0043742i,0.0016285+0.0049688i,0.003916+4.1959e-05i,0.0040053+0.0052414i,0.0033903+0.0022159i,0.0006098+0.007997i,0.0067653+0.015667i,0.00088703+0.00032465i,-0.0019022-0.0060759i,-0.0028163-0.0032709i,-0.0035533-0.001757i,-0.00073894-0.0046999i,-0.0025703-0.003009i,-0.0097767+0.0067146i,-0.0034165+0.0024106i,-0.00055403+0.001264i,-0.0012151+0.00085622i,-0.00026725-0.00019014i,-0.0019502+0.0018181i,-0.0018413-0.00092498i,0.0035113+0.0026721i,0.0010916-0.0010222i,-0.00017133-0.00025117i,0.00029795-4.819e-05i,0.0021838+0.0034111i,-0.010966-0.0081433i,0.00057268+0.0031754i,0.00048162+0.0014526i,0.00026859-0.00098869i,0.0029027-0.0029708i,-0.00068916-0.0017007i,0.0022102-0.0021322i,-0.0041733+0.0041852i,-0.0011155+0.0028125i,-0.031823-0.013892i,-0.063194-0.038731i,-0.056525+0.012847i,-0.051407+0.0048315i,-0.069105+0.022382i,-0.025346+0.0045454i,-0.013395+0.041207i,-0.012929+0.015399i,-0.033573-0.022966i,-0.055931-0.032708i,-0.019313+0.024791i,-0.0043934+0.00054911i,0.015681+0.0082479i,0.0088176-0.0052488i,-0.0059339+0.0040913i,-0.016963+0.021912i,0.0031285+0.0052192i,0.0064867+0.0062755i,0.0012574+0.00036792i,0.014319-0.00014668i,0.0020934+0.0099354i,0.00053523-0.00012243i,-0.0038408-0.0084636i,0.00013385+0.0051159i,0.0018978+0.0042133i,-0.0014773+0.010703i,-0.0019233+0.00060435i,0.0058119-0.0038931i,0.0095213+0.0032948i,0.0030049-0.0010612i,-0.023444-0.022939i,0.0050445-0.010069i,0.00063384-0.0066257i,0.0064163-0.00055533i,0.00072755+0.00034263i,0.0011521-0.0090434i,0.0030804+0.00062723i,-0.0015544+0.0081937i,0.0034559+0.0020351i,0.0034786-0.0043348i,-0.0036491-0.0081108i,-0.00078423-0.0038904i,6.2412e-05-0.0041961i,0.0023068-0.0041881i,-0.0032699-0.015376i,-0.064309+0.011629i,-0.029004+0.0071732i,-0.013327-0.011424i,-0.0052097-0.0012722i,-0.0047777+0.026777i,-0.0096566+0.0098623i,-0.009276+0.0090812i
-0.030092+0.016457i,-0.037864+0.045845i,-0.0011772+0.046652i,-0.0010307+0.014621i,0.0023076-0.0049918i,0.026435+0.01723i,-0.0014064+0.026747i,-0.018125+0.04938i,-0.0075627+0.024211i,-0.0064078-0.00013205i,-0.0025983-0.0018777i,0.004504+0.0045158i,0.0034314-0.00011304i,0.005238+0.0028028i,0.0034182+0.0014218i,0.0035858+0.007921i,0.012732+0.011006i,0.00094849+0.00010168i,-0.003236-0.0052008i,-0.0039196-0.0016202i,-0.0031144-0.00067742i,-0.0020891-0.0047745i,-0.003035-0.0020342i,-0.0086752+0.0087257i,-0.0028029+0.0033307i,-0.00060067+0.0019715i,-0.0012361+0.001378i,-0.0013356-0.0008435i,-0.00145+0.0018895i,-0.0019267-0.00040363i,0.0041282+0.0015728i,0.00094524-0.00097833i,0.00013535-5.1738e-06i,0.00020314-6.3012e-05i,0.0036158+0.0016835i,-0.014084-0.0051207i,0.0016156+0.0029054i,0.0010169+0.00066531i,-0.00046468-0.00096837i,0.002118-0.0031128i,-0.00083732-0.0014418i,0.0012859-0.0030103i,-0.0027718+0.0039695i,-9.7467e-06+0.0038822i,-0.032817-0.0083759i,-0.063259-0.032973i,-0.055648+0.018287i,-0.047051+0.015271i,-0.058845+0.037351i,-0.026856+0.0079505i,-0.0067363+0.037835i,-0.010299+0.0093609i,-0.035197-0.021254i,-0.059694-0.023366i,-0.011391+0.025229i,-0.0039721+0.0015076i,0.009814-0.0016923i,0.0054705-0.009427i,-0.0047555+0.0075507i,-0.0093387+0.025801i,0.0030981+0.003794i,0.0081796+0.00034972i,0.0028691+0.0011515i,0.012228-0.0054344i,0.0060263+0.0059314i,0.00098423+0.0022773i,-0.0087824-0.0028482i,0.0029201+0.0080832i,0.0032329+0.0053783i,0.0020892+0.0098478i,-0.00072143+0.00083783i,0.0044629-0.0050714i,0.010169-0.0032214i,0.00063587-0.0020957i,-0.029526-0.015513i,0.0013166-0.0098693i,-0.0016511-0.0049517i,0.0073408-0.0010452i,0.0013059+0.00015889i,0.00096695-0.009886i,0.0028776-0.0010893i,0.0021067+0.0063475i,0.0035825+0.0012548i,0.0029777-0.0034553i,-0.0061219-0.0050261i,-0.0028484-0.0040963i,-0.0012013-0.0045566i,0.0002169-0.0054716i,-0.0086059-0.011004i,-0.05915+0.018549i,-0.021975+0.0091589i,-0.014026-0.0087026i,-0.0072162-0.0013965i,0.00031428+0.024576i,-0.0082344+0.011717i,-0.0074615+0.0083136i
-0.027426+0.019571i,-0.030128+0.05154i,0.0060625+0.046774i,0.00019846+0.014265i,-0.0025957-0.0047731i,0.02873+0.011788i,0.0028971+0.024897i,-0.011223+0.050154i,-0.0026923+0.024323i,-0.0062422+0.0032499i,-0.0018842+0.000289i,0.0067692+0.0018587i,0.0031522-8.5545e-05i,0.0048789+0.0013282i,0.0038103+0.0010221i,0.0059424+0.0061145i,0.015437+0.0055228i,0.0010987-0.00066554i,-0.0042749-0.0043487i,-0.0039731+0.00051169i,-0.0026375+0.00010126i,-0.0032783-0.0035784i,-0.0030704-0.0012106i,-0.0045861+0.010076i,-0.0018978+0.0047225i,0.00048679+0.0024529i,-0.00092773+0.0020982i,-0.0025926-0.00013328i,-0.00084212+0.0022939i,-0.0017636+0.00024834i,0.004317-0.00012413i,0.00085436-0.0017987i,0.0022754-0.0014711i,9.9775e-05+4.488e-05i,0.0032604-0.00026338i,-0.01542-0.00027411i,0.0024216+0.0024503i,0.00087064+0.00057282i,-0.0013519-0.00073004i,0.001854-0.0030289i,-0.0010107-0.0013728i,0.00033899-0.0031299i,-0.0023395+0.0040632i,0.0011985+0.0044496i,-0.033612-0.0043806i,-0.068885-0.027499i,-0.053703+0.0245i,-0.042048+0.022841i,-0.044245+0.046322i,-0.02746+0.01184i,0.001137+0.032781i,-0.009846+0.0066044i,-0.037903-0.019164i,-0.060966-0.012512i,-0.0064732+0.023278i,-0.0035248+0.0025959i,0.0032561-0.0019319i,9.7674e-05-0.011281i,-0.0016315+0.011154i,0.0016087+0.024784i,0.0015023+0.0024883i,0.0061721-0.0053565i,0.0028729+0.00064079i,0.0086818-0.0099316i,0.0090278+0.003487i,0.0030649+0.0031865i,-0.0079093+0.0016006i,0.0068982+0.0089461i,0.0060525+0.0060465i,0.0070729+0.0075496i,9.907e-05+0.0012695i,0.0036708-0.0058674i,0.0092413-0.0091764i,-0.00024671-1.6654e-05i,-0.032327-0.0068452i,-0.0011749-0.0090543i,-0.0027597-0.0029327i,0.0063661-0.0025078i,0.0014323-0.00046842i,-0.00086935-0.011624i,0.001849-0.0020225i,0.005072+0.0048533i,0.0045607+0.00021381i,0.0038268-0.0037612i,-0.0072152-0.0023583i,-0.0056233-0.0019677i,-0.0028078-0.0034664i,-0.0013724-0.0061497i,-0.010694-0.0062193i,-0.054507+0.023729i,-0.020428+0.0094082i,-0.014347-0.0083916i,-0.0089182+5.1164e-05i,0.0014219+0.022719i,-0.0073837+0.012539i,-0.0056837+0.0080535i
-0.024227+0.022459i,-0.020659+0.055565i,0.01344+0.045974i,0.0012769+0.014158i,-0.0052646-0.0014214i,0.030108+0.0063149i,0.0062977+0.021889i,-0.0041167+0.050493i,0.0018046+0.022743i,-0.0039105+0.0072183i,-0.00082536+0.00073104i,0.006599-0.0017026i,0.0033901-0.0002985i,0.0048738+0.00013745i,0.0042242+0.00029241i,0.0067746+0.0038078i,0.015255+2.225e-05i,-0.00010512-0.001462i,-0.0057363-0.0025955i,-0.0027658+0.0017413i,-0.0019304+0.00029523i,-0.0036062-0.0026496i,-0.0030115-0.0004816i,-0.00064164+0.0097613i,5.1451e-05+0.0054025i,0.0014903+0.0019028i,3.2605e-05+0.0023771i,-0.0028488+0.0013664i,-8.6859e-05+0.0018713i,-0.0013568+0.00074796i,0.0038204-0.0016744i,-0.00019827-0.0020997i,0.00036656-0.0020115i,0.00015751+4.9812e-05i,0.0025343-0.0012808i,-0.014706+0.0046007i,0.002853+0.0015402i,0.0011409+0.00035443i,-0.0019239+0.0002317i,0.0013025-0.0032693i,-0.0013964-0.0013192i,-0.00046827-0.0028204i,-0.002004+0.0043983i,0.0025584+0.0046125i,-0.035394+0.00081541i,-0.076978-0.015939i,-0.04869+0.03047i,-0.034267+0.029174i,-0.03031+0.050771i,-0.02587+0.019007i,0.0070649+0.025401i,-0.0062924+0.003938i,-0.040842-0.014297i,-0.059054-0.0016267i,-0.0038807+0.022782i,-0.0044358+0.0046067i,0.00011905-0.0011041i,-0.0057707-0.010998i,0.0049573+0.011109i,0.0035881+0.019042i,-0.00139+0.0023042i,0.0027189-0.008754i,0.0039552+0.0023565i,0.0024979-0.011619i,0.010507-0.0017363i,0.0050287+0.0025908i,-0.0067135+0.0055161i,0.012336+0.0077441i,0.010093+0.0037485i,0.010053+0.0014251i,0.0013713+0.0015031i,0.0023968-0.0071165i,0.00086679-0.011258i,0.0011657+0.0013954i,-0.033355+0.0070644i,-0.0032644-0.0085114i,-0.0024829-0.0005317i,0.0051188-0.0054289i,0.0015712+0.00012278i,-0.0055119-0.012127i,0.00079855-0.0017714i,0.0066816+0.0016922i,0.0045567-0.0014381i,0.0033975-0.0054901i,-0.006738+0.0020375i,-0.0054408+0.001786i,-0.0051889-0.0017966i,-0.004028-0.0070632i,-0.010676-0.0021933i,-0.050476+0.029267i,-0.021409+0.014547i,-0.016033-0.0094862i,-0.0073458+0.0024415i,0.0037766+0.022797i,-0.0071122+0.015289i,-0.0030004+0.0060957i
-0.020471+0.024606i,-0.010932+0.057081i,0.021129+0.04391i,0.0024359+0.013903i,-0.0050007+0.0021769i,0.030981+0.00095873i,0.0086039+0.018658i,0.0031833+0.049431i,0.0049288+0.021183i,-0.00044236+0.0077264i,-0.0005289+0.00081174i,0.0044781-0.003738i,0.0033095-0.0011607i,0.004125-0.00099096i,0.0040527-0.00062501i,0.0065373+0.0020979i,0.013214-0.0041462i,-0.00098006-0.00093209i,-0.0058846-0.00046884i,-0.0017972+0.0023436i,-0.0012055+0.00019732i,-0.0039064-0.0020659i,-0.0026498+0.00012399i,0.001851+0.0088645i,0.0025131+0.0049742i,0.0017654+0.0013798i,0.0010149+0.0020483i,-0.0020102+0.0025063i,0.00018076+0.0013439i,-0.0010987+0.0010595i,0.0025951-0.0027672i,-0.00094557-0.0017092i,0.00021373-0.0032477i,7.9594e-05-6.7414e-06i,0.0014402-0.0022094i,-0.012262+0.0088713i,0.0028347+0.00028426i,0.0012239-4.3455e-05i,-0.0013248+0.0013747i,0.0005991-0.003768i,-0.0016808-0.00082606i,-0.00085629-0.0029084i,-0.0013038+0.0050506i,0.0040126+0.00412i,-0.034933+0.0072425i,-0.078874+0.00080778i,-0.045042+0.033718i,-0.02671+0.031709i,-0.015782+0.052109i,-0.019909+0.026223i,0.010452+0.017696i,-0.0050609-0.002761i,-0.040129-0.008178i,-0.053253+0.0088383i,0.0012921+0.023942i,-0.0057842+0.0034935i,-0.0025564+0.00080675i,-0.010394-0.0076891i,0.0087867+0.0068284i,0.0072837+0.020066i,-0.0042477+0.0046254i,-0.0020231-0.01128i,0.0070971+0.0002528i,-0.0031521-0.0098275i,0.0080125-0.0062249i,0.0069158+0.00034418i,-0.0048022+0.0075184i,0.016574+0.0013218i,0.011483-0.0022092i,0.0094985-0.0034892i,0.0030886+0.00057844i,-0.0004034-0.0079506i,-0.0044764-0.0071604i,0.0028543+0.00033182i,-0.038039+0.020182i,-0.0060149-0.0078518i,-0.00074738+0.00087775i,0.0033745-0.0069436i,0.0026854+8.3723e-05i,-0.010547-0.0092843i,0.00051868-0.00080176i,0.0063688-0.001687i,0.003341-0.003083i,0.0014553-0.0061935i,-0.0036196+0.004855i,-0.0033007+0.0041731i,-0.0051642+0.0022128i,-0.0085027-0.0065117i,-0.0098257+0.00050167i,-0.044148+0.036305i,-0.013414+0.021071i,-0.019914-0.0097317i,-0.0046621+0.0023641i,0.0061454+0.021768i,-0.0043646+0.018965i,-0.0025449+0.0021329i
