-0.024691-0.038742i,-0.012165-0.048894i,-0.018133-0.044284i,-0.03099-0.034999i,-0.030156-0.01581i,-0.050365-0.026904i,-0.057356-0.026038i,-0.045496-0.037725i,-0.028924-0.03708i,0.0076468+0.012726i,-0.004691+0.015357i,-0.004774+0.013988i,0.0099779+0.021261i,0.00074039+0.0043223i,0.0031817+0.0034684i,0.0053668+0.01858i,0.026706+0.038705i,-0.0026022-0.00075489i,-0.0040649-0.0061411i,0.0078768+0.0014352i,-0.00040838-0.0007896i,-0.0010108+0.001363i,-6.7331e-05-0.00055931i,-0.030285-0.0030259i,-0.0016835-0.005557i,0.0015798+0.0044574i,0.0035558-5.7828e-05i,-0.00062773+0.00054178i,0.00046987-0.00040199i,-0.0011003-0.0025339i,-0.0020454-0.0062503i,-0.0043976-0.0039502i,-0.0020346-0.004958i,0.0019477-0.00085243i,0.0021245-0.0030493i,0.0027212+0.025216i,0.0017582-0.0025954i,0.0029894+0.00045237i,0.0060945+0.00083692i,-0.010031-0.0040331i,-0.0028596+0.00081965i,0.006565+0.0017981i,0.0053369-0.00015576i,-0.0031041+0.0055643i,0.00036346-0.0091964i,-0.011461+0.018008i,0.035998-0.090686i,0.011772-0.069757i,-0.015799-0.059978i,-0.016431-0.054911i,0.038673-0.045111i,0.017409-0.062209i,0.03413-0.055532i,0.029755-0.060256i,0.016599-0.013683i,0.0046562+0.016304i,0.016759-0.025753i,-0.011069+0.0058881i,-0.00012853+0.0059421i,-0.0049275-0.0014148i,-0.0018605-0.029701i,-0.024066+0.031882i,0.010545-0.011476i,-0.012723-0.002785i,5.8003e-05-0.0049435i,-0.0011256-0.016158i,-0.0073316+0.0048999i,0.0051012+0.0062767i,-0.009356+0.029697i,0.0050849+0.0057656i,-0.0050418-0.00069415i,-0.0030253-0.00073128i,-0.012215-0.0077306i,-0.0012556-0.0046769i,-0.030334+0.0064373i,-8.4082e-06-0.010128i,-0.0096783-0.0019646i,-0.0064416-0.0027833i,0.0071799+0.0024873i,-0.0079477+0.0013081i,4.3832e-05+0.00029036i,0.0057701+0.010786i,0.0043159+0.0014602i,-0.0094907-0.010077i,0.0030563+0.0080468i,-0.021908+0.0058685i,0.0080819+0.00062724i,-0.028846-0.0042514i,-0.042691+0.0022968i,0.019259-0.096588i,-0.0019848-0.012641i,-0.052151-0.020983i,-0.022576-0.0016506i,0.017802+0.01108i,-0.025086+0.013107i,-0.01844-0.01302i
-0.03026+0.019227i,-0.051389+0.020601i,-0.030912+0.045495i,-0.030045+0.024823i,-0.026807+0.039415i,0.006185+0.045789i,-0.0020672+0.023262i,-0.015513+0.039217i,-0.013363+0.022077i,-0.0037777-0.0053378i,-0.0041401-0.0029241i,-0.0021564-0.0032056i,-0.0037991-0.00055655i,-0.0069978-0.0041557i,-0.0017653+0.0042281i,-0.0028092-0.0010187i,-0.011133-0.003877i,-0.0018366-0.00059022i,0.0030791-0.0014939i,0.0020644-0.00068982i,0.0025642-0.0033963i,0.0023529-0.0038387i,0.0014356-0.0024701i,-0.0099603-0.0088281i,-0.0016772+0.00041718i,-0.0039267+0.0012707i,-0.0018112-6.2902e-05i,-0.0033056-0.0010887i,-0.0012213-0.0016135i,0.0010065-0.0014786i,-0.0015634+0.006208i,0.0014585+0.00021752i,0.0028959-4.1646e-05i,0.0010737+0.0015088i,-0.0014127+0.0032908i,-0.0010535-0.0061816i,-0.001476+0.0011298i,0.00043806+7.5674e-05i,-0.00066516+0.003837i,0.0071143+0.0051585i,0.0014663-0.002801i,0.00093091-0.0033215i,-0.0039857+0.00065561i,0.00012549+0.0028396i,-0.031558-0.0058154i,0.01161-0.078321i,-0.092887-0.029047i,-0.051451-0.035415i,-0.075276-0.050349i,-0.057857-0.0057523i,-0.093765+0.01933i,-0.05901+0.01108i,-0.050788-0.023802i,-0.032003-0.056439i,-0.025344-0.029485i,0.0030326+0.0052633i,-0.01884+0.010647i,0.0095051+0.0039476i,0.011349+0.0044343i,-4.7207e-05-0.0061761i,0.0075748+0.0017262i,-0.0083513-0.0030599i,0.0031429+0.014938i,-0.00074688+0.0087104i,0.00075486+0.0013966i,0.0058781+0.0031959i,0.0020034-0.00076898i,-0.0005358+0.014721i,0.00039507+0.011814i,0.0034874-0.0053574i,0.010235-0.0069073i,0.0023846+0.0023761i,-0.0079231-0.0071332i,-0.0019458-0.0027955i,0.018197-0.026432i,0.0063977+0.0041354i,0.0036371+0.004193i,-0.0033066+0.0025721i,0.00247-0.003464i,0.022083+0.0021276i,0.0021345-0.0027504i,-0.0010764-0.00931i,0.00067445-0.0026383i,0.012792+0.0032354i,0.0043493+0.00070249i,0.0048769-0.008674i,0.0032617+0.008378i,0.0040859-0.00054077i,0.025803+0.0051134i,-0.080416-0.036423i,-0.0055187+0.019366i,0.006905-0.0037702i,-0.0041412+0.0035186i,-0.035395+0.012475i,-0.0070454+0.0059508i,-0.017244+0.013194i
-0.025853+0.022744i,-0.047435+0.025572i,-0.019945+0.043797i,-0.025961+0.028673i,-0.020262+0.040599i,0.01472+0.04285i,0.0010681+0.022712i,-0.0077021+0.040057i,-0.0085618+0.019495i,-0.0053989-0.0030989i,-0.0042719-0.00054403i,-0.0029832-0.0033001i,-0.0044127-0.00010754i,-0.0070588-0.001324i,-0.00054851+0.0050739i,-0.004736+0.00089902i,-0.013091+0.0015791i,-0.0016631+0.00052637i,0.0032122-0.0021971i,0.0020642-0.0015352i,0.0014331-0.0039176i,0.0015117-0.003775i,0.00096385-0.0026777i,-0.011162-0.0049302i,-0.0011276+0.00069817i,-0.0035102+0.00252i,-0.0013535+0.00048029i,-0.0032735-2.5417e-05i,-0.001835-0.0013254i,0.00067503-0.0016216i,0.0010963+0.0065228i,0.001127-0.00012109i,0.0023625-0.0011039i,0.00089166+0.0012217i,-0.001311+0.0029178i,-0.0012417-0.0053019i,-0.00092332+0.0010657i,-0.00028838-0.00024054i,-0.0001537+0.0047572i,0.0073944+0.0012062i,0.00054815-0.003017i,-0.00092184-0.003625i,-0.0040943+0.0018312i,0.0008908+0.0028591i,-0.032582-0.0053206i,-0.012601-0.089364i,-0.089607-0.010514i,-0.060723-0.033564i,-0.087794-0.038841i,-0.05726+0.0042332i,-0.083277+0.036786i,-0.054673+0.023754i,-0.041245-0.021066i,-0.039136-0.052026i,-0.033494-0.018349i,0.0041412+0.002115i,-0.012249+0.019254i,0.0093282-0.00031756i,0.012285-0.0020532i,-0.0052223-0.0097661i,0.0040128+0.0016282i,-0.0080892+0.0031965i,0.0088069+0.012289i,0.0012576+0.010733i,0.00076229+0.0011053i,0.0073802+0.0033519i,0.0026944-1.3949e-05i,0.0055359+0.011277i,0.0055487+0.0074425i,-0.0019257-0.0071599i,0.0031665-0.0080207i,0.003373+0.0027804i,-0.010805-0.00015804i,-0.0023463-0.00018602i,0.0066236-0.027569i,0.0073173+0.002997i,0.0071008+0.00267i,-0.00045468+0.0026072i,-0.00028008-0.0014108i,0.018752-0.0074409i,0.00036913-0.0032587i,-0.0058186-0.0075637i,-0.0024806-0.0020734i,0.0112-0.0018253i,0.0041828+0.00080993i,0.0004316-0.006821i,0.0056734+0.0068763i,0.003079-0.00092947i,0.024856-0.0034527i,-0.085173-0.026589i,0.0032429+0.0089208i,0.0055125-0.0064567i,-0.0018499+0.0028133i,-0.029024+0.022038i,-0.0057018+0.0071674i,-0.01339+0.01624i
-0.020618+0.024942i,-0.044114+0.030679i,-0.013379+0.039959i,-0.021559+0.030833i,-0.012984+0.042273i,0.022088+0.037798i,0.0045175+0.022077i,-8.1191e-05+0.039024i,-0.007689+0.017166i,-0.0059245-0.00052656i,-0.0031422+0.0011163i,-0.0059704-0.0027446i,-0.0046202+0.0017461i,-0.0069397+0.00065477i,0.0013191+0.0055478i,-0.0054182+0.0040978i,-0.011527+0.0076936i,-0.00028455+0.0013185i,0.0030462-0.003827i,0.0018607-0.0027189i,5.9143e-05-0.0044017i,0.00070841-0.0044737i,0.0004374-0.0029003i,-0.011797-0.0017723i,-0.00091514+0.00099016i,-0.0021653+0.0040286i,-0.00097637+0.0003587i,-0.0026733+0.0014437i,-0.0021528-0.00079474i,-0.00044516-0.0025104i,0.0036266+0.0051201i,0.00075518-0.00033688i,0.0016813-0.0015961i,0.0012825+0.00069018i,-0.00034166+0.0039126i,-0.0011304-0.0053304i,-0.0011357+0.00079104i,-0.00067991-0.00018579i,0.0035325+0.003269i,0.0059311-0.0011924i,-0.00017551-0.0027128i,-0.00098237-0.0022025i,-0.0039924+0.0030338i,0.0014552+0.0017169i,-0.035048-0.0025011i,-0.042278-0.088186i,-0.079488+0.0028199i,-0.070656-0.026159i,-0.095039-0.023121i,-0.052781+0.012739i,-0.067874+0.048489i,-0.040127+0.033981i,-0.042048-0.024438i,-0.045657-0.048381i,-0.034943-0.0057836i,0.0042229-0.001124i,-0.0027083+0.021502i,0.0081924-0.0031918i,0.008039-0.0073657i,-0.014567-0.0079842i,0.0034728+0.00027459i,-0.004047+0.0065175i,0.011753+0.0064011i,0.0046895+0.011626i,-0.00015961+0.0016818i,0.0079056-0.0009385i,0.004235-0.0017613i,0.007424+0.0064281i,0.0057509+0.0024403i,-0.0068684-0.0033052i,0.00072365-0.006166i,0.0052401+0.001714i,-0.0070456+0.0090527i,-0.00059209+0.0014943i,-0.0024934-0.024889i,0.0090322-0.00025351i,0.0068038-0.00054329i,0.00023604+0.0019458i,0.00057646+0.00044669i,0.011979-0.0121i,-0.0021476-0.00037448i,-0.0085404-0.0039005i,-0.0037352+0.0014012i,0.0068268-0.0045222i,0.0071122-0.0011568i,0.0012072-0.0052974i,0.0092172+0.0040017i,0.0046415-0.0017131i,0.02103-0.010459i,-0.088543-0.01294i,0.00019039-0.0016195i,0.0053427-0.0086264i,0.00067314+0.00022668i,-0.020012+0.026443i,-0.0047124+0.0031223i,-0.0080629+0.013365i
-0.015544+0.02514i,-0.03954+0.036807i,-0.0098934+0.036537i,-0.016671+0.033809i,-0.0046506+0.041274i,0.028052+0.031488i,0.008434+0.020907i,0.0066117+0.036197i,-0.0071938+0.017478i,-0.0052727+0.001731i,-0.0024506+0.001179i,-0.007745+0.0010837i,-0.0041583+0.0032954i,-0.0067661+0.0030235i,0.0030185+0.0049493i,-0.0040544+0.007512i,-0.0070499+0.012389i,0.00078051+0.00062767i,0.00132-0.0047323i,0.00033363-0.0039835i,-0.001396-0.0040058i,-0.00054322-0.004632i,-0.00015325-0.003283i,-0.011104+0.0020639i,-0.00042481+0.00061587i,0.00016905+0.0035542i,-0.0010408+0.00023852i,-0.0014715+0.0018456i,-0.0023553+0.00017932i,-0.0019868-0.0016972i,0.0049181+0.0030184i,0.00044778-0.0004503i,0.0008091-0.0020027i,0.0013246+0.00018877i,0.0017647+0.0034951i,-0.0018893-0.0066749i,-0.00098701+0.0013684i,-0.0010731+0.0002269i,0.0033242-0.00051746i,0.0044243-0.0023998i,-0.00066186-0.0025958i,-0.00069793-0.0020639i,-0.0032491+0.0044801i,-0.00021951-0.00024899i,-0.037532+0.0022113i,-0.06709-0.071932i,-0.069254+0.008213i,-0.077937-0.014463i,-0.098988-0.006161i,-0.0469+0.018483i,-0.053786+0.053856i,-0.025598+0.033098i,-0.046133-0.021098i,-0.052834-0.041242i,-0.032587+0.0028029i,0.0021189-0.0034606i,0.0053993+0.019636i,0.0066106-0.0058828i,0.0022949-0.0087876i,-0.019963+0.00094841i,0.00041167+0.0006949i,0.00016719+0.0056681i,0.01058+0.00055916i,0.0094239+0.011111i,0.00033509+0.0030786i,0.0045524-0.0024789i,0.0039595-0.005038i,0.0062038+0.001691i,0.0029081+0.00040546i,-0.0070933+0.00055218i,-0.0013841-0.0050434i,0.0057237-0.000347i,0.0026163+0.010611i,0.0004616+0.0008849i,-0.0079511-0.019839i,0.0079584-0.0033855i,0.0060643-0.0028961i,0.0014628+0.0030322i,0.0014235+2.3318e-05i,0.0065318-0.012496i,-0.00016425+0.001847i,-0.0097908+0.00052586i,-0.0013191+0.0040635i,0.0042853-0.0037489i,0.0062666-0.0052484i,-0.0010867-0.0050419i,0.0090477-0.0015673i,0.0034928-0.005149i,0.016727-0.01661i,-0.08591+0.0021216i,-0.0063939-0.0054829i,0.0033702-0.013357i,0.00050064-0.0038614i,-0.012994+0.026313i,-0.0087531+0.0024031i,-0.0079528+0.011715i
-0.011681+0.024691i,-0.034198+0.041627i,-0.0084531+0.035091i,-0.01032+0.035561i,0.0021481+0.038305i,0.032034+0.024405i,0.012613+0.018629i,0.012121+0.032684i,-0.005377+0.019011i,-0.0037904+0.0034912i,-0.0026348+0.0019108i,-0.0067863+0.0046787i,-0.0032827+0.004596i,-0.0051479+0.0055942i,0.0044599+0.0038541i,-0.00099556+0.0094942i,-0.001538+0.014298i,0.00087909-5.8201e-05i,9.2246e-05-0.0046863i,-0.0015967-0.0037382i,-0.0027688-0.0032691i,-0.0019763-0.0041714i,-0.001358-0.0033227i,-0.0085391+0.0043611i,-0.00099131+0.00014585i,0.00052072+0.0019913i,-0.0011643+0.00035986i,-0.00063103+0.0017175i,-0.002047+0.0011244i,-0.0018272-0.00028879i,0.0051052+0.00090463i,0.00033072-0.00048831i,-0.0001718-0.0018944i,0.0011049-0.00029797i,0.0025448+0.0019556i,-0.0041799-0.0071677i,-0.00058298+0.0016328i,-0.0010162+0.001087i,0.0011462-0.0013916i,0.0030666-0.0024992i,-0.0011996-0.0023584i,-0.00095364-0.0021478i,-0.0014291+0.0053814i,-0.0023458+0.0018006i,-0.038006+0.0088346i,-0.076877-0.047993i,-0.063586+0.0092638i,-0.082305-0.00068041i,-0.099368+0.012336i,-0.042299+0.021155i,-0.040443+0.056668i,-0.016095+0.029319i,-0.047834-0.016495i,-0.056796-0.033417i,-0.029727+0.010849i,0.00011086-0.0047097i,0.014281+0.014638i,0.0046516-0.007188i,-0.0026563-0.0072457i,-0.019144+0.0095363i,-0.00050297+0.002819i,0.0025132+0.0051189i,0.0064802-0.0014345i,0.013998+0.0077326i,0.0016947+0.0035073i,0.0025324-0.0014001i,0.0015353-0.0073959i,0.0028749+0.00087198i,0.00064037+0.0013698i,-0.0069222+0.0048052i,-0.0029363-0.0025125i,0.0050445-0.0024784i,0.0073516+0.0057814i,0.00088176+0.00049967i,-0.010575-0.017316i,0.0058694-0.0058023i,0.004302-0.0048661i,0.0045188+0.0020958i,0.0018652-4.1472e-05i,0.0030593-0.011624i,0.001636+0.0014549i,-0.0074616+0.0060117i,0.0018213+0.0042012i,0.003628-0.003312i,0.0032063-0.0086645i,-0.0014062-0.0034181i,0.0055914-0.0051757i,9.4512e-05-0.006276i,0.0085139-0.022115i,-0.079729+0.011877i,-0.014913-0.0024864i,-0.0014955-0.01601i,-0.001728-0.0075607i,-0.0077443+0.025717i,-0.012275+0.0054336i,-0.0066893+0.012335i
-0.0086351+0.024442i,-0.028269+0.046287i,-0.0070809+0.036479i,-0.0040927+0.034966i,0.0064734+0.034142i,0.034728+0.017591i,0.016501+0.015019i,0.016406+0.028762i,-0.0025845+0.01926i,-0.0021732+0.003795i,-0.0029066+0.0033959i,-0.0047009+0.0070063i,-0.0018775+0.0061103i,-0.0027501+0.0066684i,0.0051262+0.0022769i,0.002385+0.0099201i,0.0044231+0.013638i,0.00089879-0.00018117i,-0.0013439-0.0046349i,-0.0029273-0.0027366i,-0.0032548-0.0018441i,-0.0027683-0.0032308i,-0.0022511-0.0025996i,-0.0069759+0.0047344i,-0.0015333+0.00077841i,0.00015219+0.0017188i,-0.001325+0.00072741i,-2.7636e-05+0.0013375i,-0.001271+0.0017122i,-0.0014847+0.0002619i,0.0048139-0.00084397i,0.00012386-0.00061116i,-0.00079324-0.001502i,0.00067904-0.00081013i,0.002549+0.0012481i,-0.0068073-0.0063176i,-0.00016878+0.0015463i,-0.00028083+0.0016007i,0.00027833-0.0014142i,0.0022664-0.0022988i,-0.0017573-0.0016907i,-0.0017259-0.0019227i,0.00049811+0.0052583i,-0.0019592+0.0047378i,-0.036219+0.016031i,-0.075006-0.030699i,-0.061032+0.011567i,-0.082298+0.016008i,-0.093509+0.032863i,-0.040876+0.023933i,-0.029041+0.056029i,-0.0086363+0.02495i,-0.047831-0.010499i,-0.060838-0.025581i,-0.024671+0.015843i,-0.0034327-0.0046227i,0.017606+0.0024833i,0.0030052-0.0090941i,-0.0057735-0.0034788i,-0.013651+0.016958i,0.00057774+0.0034996i,0.0059127+0.003072i,0.0049003-0.00016789i,0.017233+0.00092013i,0.002786+0.0034116i,0.0020467-0.00067651i,-0.0031841-0.0087923i,0.0013102+0.0028423i,0.00084446+0.0032412i,-0.0023626+0.0089392i,-0.0017435-0.00017143i,0.0036369-0.0033586i,0.0085095+0.0011194i,0.001352-0.00026973i,-0.015829-0.015801i,0.0029984-0.0067439i,0.0013438-0.0057935i,0.0042037-0.00021248i,0.0019288+2.2646e-05i,0.0012983-0.010064i,0.0023547+0.00017256i,-0.002703+0.0083432i,0.0032441+0.0019484i,0.0027464-0.0037611i,-0.0020132-0.0095399i,-0.001172-0.0035236i,0.0022033-0.005447i,-0.0020109-0.0063628i,-0.0019748-0.02218i,-0.075976+0.019999i,-0.014043+0.0082023i,-0.0060773-0.016695i,-0.0057766-0.0086026i,-0.0045779+0.024909i,-0.011638+0.011057i,-0.0030603+0.011779i
-0.0055087+0.024385i,-0.021069+0.050564i,-0.0032764+0.038967i,0.00083002+0.033418i,0.0087226+0.031498i,0.036319+0.010592i,0.019137+0.010459i,0.019946+0.024868i,0.00024701+0.019533i,-0.0013201+0.003981i,-0.0017265+0.0055695i,-0.0017462+0.0085546i,7.0952e-05+0.0067916i,-0.00048034+0.0065993i,0.0051818+0.00079814i,0.0055769+0.0090357i,0.0092863+0.010262i,0.0011291-0.00035994i,-0.0027592-0.0039988i,-0.0035335-0.0011961i,-0.0030067-0.00064608i,-0.0034362-0.0024183i,-0.0027254-0.0016644i,-0.0067179+0.0061798i,-0.001344+0.0017182i,0.00021758+0.0020045i,-0.0011549+0.0014734i,-0.00011176+0.00086827i,-0.00058743+0.0016912i,-0.001224+0.00059563i,0.0039075-0.0024011i,0.00011393-0.00032616i,-0.00085243-0.0012271i,0.0002235-0.00099973i,0.0029629+9.8251e-06i,-0.0090258-0.0045578i,0.00030699+0.0015877i,0.00039497+0.0013788i,-0.00069447-0.0013814i,0.0018507-0.0022026i,-0.0019474-0.00092968i,-0.0019335-0.0011207i,0.0018329+0.0042236i,-0.00035908+0.0057517i,-0.032054+0.021878i,-0.073771-0.02358i,-0.060155+0.015946i,-0.075775+0.030848i,-0.081789+0.049854i,-0.038163+0.02993i,-0.019385+0.055447i,-0.0046304+0.019681i,-0.047327-0.0058397i,-0.062902-0.016179i,-0.02015+0.019198i,-0.0043999-0.0040175i,0.011179-0.0076057i,-0.00032782-0.011046i,-0.006276+0.00011985i,-0.0064105+0.019259i,0.00086822+0.0029414i,0.0071198-0.001411i,0.0057191-0.00040147i,0.015285-0.0050794i,0.0049162+0.002833i,0.0021791+0.00075418i,-0.0076945-0.0038608i,0.0026186+0.0044961i,0.0021397+0.00451i,0.0027863+0.0086874i,-0.0010633+1.0383e-05i,0.0025403-0.0038771i,0.0082728-0.0044589i,-6.9457e-05-0.00080918i,-0.021752-0.010031i,0.00080434-0.0063688i,-0.00096418-0.0041201i,0.0046409+2.5335e-06i,0.0020437-0.00045902i,0.00089864-0.010995i,0.0019847-0.0010748i,0.0011321+0.0068299i,0.003198+0.0010252i,0.0023214-0.0031024i,-0.0057083-0.00613i,-0.0030051-0.0041654i,-0.00037283-0.0047862i,-0.0045955-0.0063567i,-0.0089989-0.017836i,-0.070447+0.028721i,-0.0091227+0.0074475i,-0.0076009-0.015555i,-0.0085212-0.0073703i,1.4915e-05+0.02353i,-0.0097203+0.013104i,-0.0015515+0.0097822i
-0.0023472+0.024025i,-0.012685+0.053655i,0.0025485+0.041036i,0.0052047+0.032108i,0.010983+0.030026i,0.03648+0.0037737i,0.020762+0.0055346i,0.023055+0.020964i,0.0035849+0.019188i,-0.00041862+0.0043504i,0.0010379+0.0065714i,0.0016615+0.0082741i,0.0020347+0.0067173i,0.0010307+0.0062965i,0.0050465-0.0003863i,0.0082418+0.0067329i,0.011675+0.0059154i,0.0014034-0.0013335i,-0.0036975-0.0029031i,-0.0032421+0.00057553i,-0.0024506+0.00021701i,-0.0039032-0.0011059i,-0.0028745-0.00086608i,-0.004224+0.0080647i,-0.0006343+0.0024111i,0.0010966+0.0021036i,-0.00052323+0.0020176i,-0.00052745+0.00097744i,-7.1997e-05+0.0016909i,-0.00079588+0.00087897i,0.0023068-0.0033371i,0.00044385-0.00066558i,-0.0013369-0.0010011i,-0.00026582-0.00096147i,0.002386-0.0011401i,-0.0105-0.0015913i,0.00069045+0.0014625i,0.00079866+0.0012206i,-0.0015883-0.00085867i,0.0017625-0.0022539i,-0.0016783-0.00038305i,-0.0018664-0.00074336i,0.0025309+0.0030839i,0.0016489+0.0065938i,-0.027571+0.025312i,-0.078475-0.016807i,-0.058832+0.021777i,-0.067428+0.042559i,-0.066357+0.061091i,-0.034073+0.034996i,-0.009947+0.053297i,-0.0021679+0.016246i,-0.046765-0.00090199i,-0.062852-0.0060837i,-0.015614+0.022003i,-0.0056827-0.0030304i,0.0033235-0.0091505i,-0.0044205-0.011051i,-0.0049439+0.0039812i,0.00035804+0.01775i,0.00044191+0.0026992i,0.0053794-0.0058867i,0.0049551-0.0014748i,0.011397-0.010512i,0.006543+0.00072723i,0.0034566+0.00086589i,-0.0079429-0.00016638i,0.0046794+0.0049901i,0.0044112+0.005039i,0.0069048+0.0062512i,-0.00067992+0.000956i,0.0020696-0.0041527i,0.004964-0.0080656i,-0.00052565+0.00094007i,-0.024647-0.001411i,-0.00059143-0.0059969i,-0.0017287-0.0024089i,0.0053069-0.00077415i,0.0021131-0.00074025i,-0.0015319-0.012865i,0.00075766-0.0015435i,0.003954+0.006065i,0.0035259-5.5171e-05i,0.0033137-0.0036564i,-0.0076245-0.003095i,-0.0057852-0.0018717i,-0.0031757-0.0034437i,-0.0067011-0.0052142i,-0.012673-0.012792i,-0.064303+0.035785i,-0.0081531+0.0062944i,-0.0083282-0.017533i,-0.010416-0.0055914i,0.0015554+0.021949i,-0.0091186+0.014209i,-0.00014205+0.0084316i
0.0010467+0.023604i,-0.0031573+0.054829i,0.010223+0.041399i,0.0090846+0.030431i,0.014438+0.029664i,0.035702-0.0025882i,0.021115+0.00010432i,0.026197+0.016503i,0.0069916+0.0178i,0.00041207+0.00451i,0.0035052+0.005347i,0.0037895+0.0061853i,0.0039131+0.0062309i,0.0027225+0.0058447i,0.0046826-0.0016432i,0.0093664+0.0036407i,0.011997+0.0014251i,0.00026622-0.0022187i,-0.0045246-0.001343i,-0.0019784+0.0015467i,-0.001555+0.00043451i,-0.0036035+9.8365e-05i,-0.0029123-8.5108e-07i,-0.0012874+0.0084458i,0.00039495+0.0024947i,0.0017254+0.0014771i,0.00033544+0.0020954i,-0.00026434+0.0015411i,0.00058095+0.0013515i,-0.00039187+0.00079165i,0.0007099-0.0034843i,-6.587e-05-0.0010398i,-0.0017021-0.00032295i,-0.00069742-0.00084765i,0.001348-0.0018672i,-0.010506+0.0020245i,0.00096952+0.0011921i,0.001291+0.00080013i,-0.0020728+5.6044e-05i,0.0014821-0.0025327i,-0.0016237-0.00019503i,-0.0016116-0.00046837i,0.0025814+0.0020638i,0.0038957+0.0063199i,-0.023529+0.028652i,-0.086661-0.003603i,-0.054911+0.027348i,-0.056361+0.050935i,-0.051128+0.068354i,-0.029111+0.041258i,-0.00067782+0.049397i,0.0026889+0.012711i,-0.0449+0.0050029i,-0.060103+0.0042785i,-0.010855+0.024795i,-0.0072428-0.0019865i,-0.002041-0.0086874i,-0.0087094-0.0095622i,-0.00098126+0.0053053i,0.003832+0.014211i,-0.000609+0.0028858i,0.0022482-0.0087805i,0.0052361-0.00084283i,0.004516-0.013338i,0.0068031-0.0027728i,0.0047136-0.00010626i,-0.0079038+0.0039402i,0.0078068+0.0043919i,0.0079637+0.0029877i,0.0092097+0.0020367i,0.00064935+0.0016964i,0.001127-0.0045503i,-0.00099756-0.0086535i,0.0011271+0.0021913i,-0.02411+0.0078485i,-0.0020341-0.0056502i,-0.0012689-0.00046478i,0.0055767-0.0042966i,0.0020931-0.00090383i,-0.0068922-0.013196i,-0.00018995-0.0012332i,0.0060704+0.0032912i,0.0031772-0.00083321i,0.0026614-0.004794i,-0.0070989+0.0016909i,-0.0057712+0.0017648i,-0.0042893-0.001247i,-0.0087756-0.0039358i,-0.014574-0.0078504i,-0.05891+0.042087i,-0.0087994+0.0089655i,-0.012571-0.021215i,-0.0092159-0.0036049i,0.00436+0.021539i,-0.0087323+0.017382i,0.0015371+0.0060334i
0.0045993+0.02236i,0.0062664+0.053783i,0.017925+0.038721i,0.013051+0.028708i,0.019089+0.028432i,0.034235-0.0084463i,0.019824-0.0051089i,0.028277+0.01122i,0.0097965+0.015678i,0.001172+0.0045571i,0.0043975+0.0038513i,0.004282+0.0043499i,0.0055639+0.0047768i,0.0041551+0.004696i,0.0038638-0.0026312i,0.009074+0.00088942i,0.010874-0.0020745i,-0.00066357-0.0019507i,-0.0042301+0.00028545i,-0.00083758+0.0016153i,-0.00088095+0.00022485i,-0.0030073+0.00079601i,-0.0024157+0.00074052i,0.0014131+0.0084377i,0.001402+0.0020771i,0.0019874+0.00091709i,0.0011089+0.0017727i,0.00041497+0.0016916i,0.00089601+0.00074369i,-0.00033355+0.00082494i,-0.00065278-0.0029393i,-0.00071234-0.00093673i,-0.0015437+0.00039944i,-0.0010998-0.0004516i,0.00033645-0.0020293i,-0.0092229+0.0049926i,0.0012363+0.0007552i,0.0014699+0.00013638i,-0.0019096+0.001377i,0.00099186-0.003121i,-0.001591+0.00014374i,-0.0015184-0.00050237i,0.0024668+0.0014884i,0.0057069+0.0052163i,-0.018724+0.031606i,-0.08826+0.016689i,-0.052236+0.03148i,-0.046001+0.055454i,-0.034412+0.073009i,-0.020852+0.047592i,0.0058534+0.043128i,0.0053722+0.0051709i,-0.040185+0.0099422i,-0.054139+0.014341i,-0.0036263+0.025543i,-0.0086638+0.00043904i,-0.0076353-0.0060911i,-0.011754-0.0063415i,0.0018305+0.0035945i,0.00535+0.011873i,-0.0022407+0.0041778i,-0.0018408-0.010942i,0.0065132-0.0029758i,-0.0019073-0.011868i,0.0045708-0.0050499i,0.0051569-0.0024403i,-0.0061558+0.0074702i,0.01055+0.00064123i,0.008772-0.0022322i,0.0085371-0.0033934i,0.002708+0.0011175i,2.3259e-06-0.0046482i,-0.0045346-0.0048476i,0.0030082+0.0010429i,-0.019787+0.017815i,-0.0035408-0.0045732i,0.0002265+0.00051412i,0.0023889-0.0061169i,0.0019813-0.00092785i,-0.01256-0.009537i,-0.00013684-0.00012423i,0.0066397-8.244e-05i,0.0025751-0.0014857i,0.0015175-0.0051753i,-0.004589+0.0044776i,-0.003761+0.0043984i,-0.004649+0.0017468i,-0.010751-0.0017745i,-0.014612-0.0039326i,-0.051441+0.050582i,-0.0026468+0.011791i,-0.019711-0.021167i,-0.0079188-0.0043927i,0.0061859+0.020313i,-0.005642+0.021044i,0.0018706+0.0023529i
