-0.024501-0.0047402i,-0.020716-0.007408i,-0.013077-0.013727i,-0.035419-0.0089082i,-0.026689+0.0017767i,-0.036035-0.0025308i,-0.067145-0.036278i,-0.034296-0.014723i,-0.023177+0.0032352i,0.0063083+0.0061748i,-0.0049344+0.0073841i,-0.0078739+0.018387i,0.0059737+0.0065354i,-0.0010999+0.0036318i,0.0042071+0.0040347i,0.0047747+0.025887i,0.021661+0.019438i,0.0011882-0.00077818i,0.00058511-0.0050733i,0.0093143+0.0012261i,0.0051353-0.0023076i,0.0030945+0.0021731i,0.0011098-0.00044515i,-0.022693-5.4473e-05i,-0.0058115-0.003145i,-0.0014453+0.0034505i,0.0030319-0.0032077i,-0.0016742+0.00023294i,-0.00060623+0.0010051i,-0.0024716-0.0016731i,-0.0037178-0.00033948i,-0.0065978-0.0086956i,-0.0060286-0.0027526i,-0.00057673-8.6594e-05i,-0.00065739-0.0022096i,-0.0006729+0.020307i,0.0028158-0.0037564i,0.0013539-0.0044222i,0.0025684-0.0021743i,-0.0025265-0.0033426i,0.0010729-0.000199i,0.0083923-0.00014422i,0.0047712-0.0024272i,0.00053422+0.002262i,-0.013685+0.01557i,-0.026434+0.053442i,-0.0059299-0.037024i,-0.015212-0.018586i,-0.040231-0.016246i,-0.027889-0.012393i,0.035244-0.011629i,0.0057699-0.030004i,0.01323-0.037587i,-0.0084296-0.03003i,0.025504-0.022309i,0.013408+0.007127i,0.032611-0.034405i,-0.0020154-0.0040408i,0.0059568-0.0088622i,-0.00081473-0.006267i,-0.00056924-0.034254i,-0.014419+0.028887i,0.0085595-0.012142i,-0.0071607-0.0051977i,-0.0026627-0.001882i,-0.00051771-0.015428i,-0.0083566+0.0058932i,0.0039781+0.0065153i,-0.00063879+0.026005i,0.0026388+0.00096352i,-0.0066435-0.0043439i,-0.0040986-0.0059367i,-0.013747-0.0094933i,-0.00234-0.0062233i,-0.037176+0.014928i,-0.0053225-0.0091004i,-0.012584-0.00075413i,-0.01062-0.0044833i,0.0020045-0.0010915i,-0.013412+0.0022199i,-0.0013048-0.00066326i,0.0053498+0.0052213i,0.0036664-0.0057445i,-0.013182-0.016027i,0.0074834+0.0084718i,-0.015175+0.006899i,0.0047774+0.00049764i,-0.019656-0.0028435i,-0.015954-0.0037576i,-0.015625-0.035496i,0.019861-0.010722i,-0.041217-0.023965i,-0.0093034+0.005553i,0.018402+0.01512i,-0.021865+0.01673i,-0.0042938-0.0041362i
0.0036818+0.014026i,-0.0031292+0.016383i,-0.0015836+0.026737i,0.0018404+0.024746i,4.4595e-05+0.029102i,0.011157+0.022808i,-0.010492+0.026286i,-0.0038062+0.021659i,0.011597+0.005702i,0.0005407-0.0045045i,0.0021875+0.00052852i,0.0062744-0.0022148i,0.00062143-0.0014803i,0.000404-0.0034715i,3.4296e-07-0.0017701i,0.0068439-0.0077813i,-0.0025062-0.0042976i,-0.00029348+0.0011338i,0.00080607+0.00030453i,8.7712e-06+0.0017482i,0.0027047+0.0030337i,-0.00016703-0.00022164i,0.0013309+0.00026797i,-0.0079766-0.0030941i,-0.00038534-0.00064915i,-0.0023317+0.00085454i,-0.0044116+0.0002507i,-0.0017263+0.00046776i,-0.0013666+0.0015032i,-6.7932e-05-0.0005639i,-0.0029803+0.00092516i,0.0010694-0.0019425i,0.00022748-0.0035595i,0.00022976-0.0013567i,-0.0013715+0.00078475i,-0.00013673-0.0033635i,-0.0013207+0.0016093i,0.0019393+0.00011914i,-2.4568e-06+0.00493i,0.0035808+0.0036895i,-0.00041569+0.00084285i,-0.001148+0.00068853i,-0.0016204-0.0012685i,0.0029434+0.0047974i,0.014402+0.0069998i,0.04409-0.051592i,-0.026771+0.00592i,0.018298-0.027311i,-0.022139-0.033201i,-0.011729+0.0030403i,-0.032472+0.033539i,-0.019957+0.0046048i,-0.015634+0.0085383i,-0.0025173-0.017577i,-0.039199-0.0208i,-0.0085667+0.0020664i,-0.02828+0.01287i,0.0034239+0.013649i,0.00050676+0.0048042i,-0.0059141-0.0035135i,-0.0008035+0.0016179i,-0.016194-0.0036476i,0.0036061+0.012898i,-0.0013017+0.0079488i,-0.002033+0.0042233i,0.00070427+0.0059068i,0.002202+0.0028321i,-0.00080103+0.01873i,0.0056386+0.016826i,0.0044549-0.0049936i,0.012198-0.0045028i,0.0084041+0.0023704i,-0.0049345-0.0078158i,-0.00034-0.0016977i,0.020032-0.036492i,0.0093712+0.0045975i,0.0072004-0.00073059i,0.0024991-0.00086599i,0.0056797-0.0091152i,0.021053-0.0012481i,0.0059389-0.0032155i,0.0017217-0.0075546i,0.004386-0.0034474i,0.019026+0.003376i,0.0066754+0.0040462i,0.0030754-0.0036397i,0.0092899+0.0085694i,-0.0020518+0.0051888i,0.0082357+0.0086784i,-0.013265-0.01419i,-0.0089518+0.0011291i,-0.0095158-0.014184i,-0.007673-0.0046238i,-0.040292+0.004196i,-0.005701+0.0041366i,-0.011793+0.0010677i
0.005927+0.013053i,-0.00084655+0.013875i,0.0048353+0.02191i,0.0054417+0.022463i,0.0041338+0.027158i,0.014496+0.020326i,-0.0068095+0.027508i,0.00040506+0.02117i,0.011697+0.0017695i,-0.00028756-0.0039003i,0.0026441+0.00079007i,0.005025-0.005102i,0.0001805-0.0022197i,0.00037521-0.0029536i,-0.00062783-0.0016005i,0.002889-0.0070281i,-0.0047394-0.0026289i,0.00021159+0.0020821i,0.001949+0.00015075i,0.0012682+0.0014467i,-0.0039801+0.0030853i,0.00024255+0.000424i,0.0016256-0.00034031i,-0.0071878-0.00050313i,-0.00027003-0.00033023i,-0.001939+0.0016518i,-0.0034088+0.0022191i,-0.0011536+0.00095641i,0.00036866+0.0008534i,7.0895e-05-0.0003573i,-0.0021672+0.0028947i,-3.3228e-05-0.0014329i,-0.0012947-0.0034715i,-0.0013177-0.0014175i,-0.0019351+0.0010036i,0.00059845-0.0023851i,-0.0001766+0.0018766i,0.001337-0.00067754i,0.0020702+0.007391i,0.0042309+0.0015864i,1.5266e-06+0.0011417i,-0.0010652+0.00091585i,-0.0020382-0.00078218i,0.0043369+0.0038214i,0.015126+0.002628i,0.024122-0.061916i,-0.020506+0.013698i,0.007994-0.035636i,-0.034044-0.025654i,-0.009008+0.0060814i,-0.021174+0.039025i,-0.016233+0.0098809i,-0.0050662+0.0035825i,-0.004741-0.015827i,-0.043448-0.0066428i,-0.0084017+0.0029165i,-0.022873+0.024588i,0.0061472+0.0087332i,0.0013326+0.0035107i,-0.0089366-0.0063071i,-0.0030888+0.0046294i,-0.01539+0.0055625i,0.0099133+0.0099214i,0.0010514+0.010006i,-0.00018678+0.0042303i,0.0032407+0.0065016i,0.0037312+0.0031037i,0.0070542+0.014215i,0.0098128+0.0091444i,-0.0019547-0.007105i,0.0064735-0.0062665i,0.0076284+0.00077097i,-0.0050474-0.00055626i,-0.00063092+0.00090047i,0.0054143-0.0373i,0.01145+0.0016192i,0.0081119-0.0042266i,0.0042273-0.002409i,0.0007246-0.0061751i,0.019334-0.009959i,0.0029436-0.0047544i,-0.0017125-0.0063657i,0.00066799-0.0030825i,0.016161-0.0030192i,0.0085454+0.0035347i,0.002162-0.002402i,0.01199+0.004718i,-0.00070247+0.0059325i,0.0095468+0.0046332i,-0.018845-0.012629i,-0.0047399-0.012835i,-0.0085215-0.011482i,-0.007762-0.0033053i,-0.03499+0.018138i,-0.0037204+0.0048741i,-0.0091942+0.0020255i
0.0087396+0.011642i,0.0004311+0.012254i,0.0077532+0.016125i,0.008258+0.020043i,0.0088349+0.025536i,0.017529+0.017269i,-0.0021561+0.02825i,0.0045624+0.019573i,0.0103-0.0010796i,-0.0011696-0.0034013i,0.003764+0.00031535i,0.0012079-0.005952i,-0.00062251-0.0023492i,-0.0001418-0.0030198i,-0.001089-0.001173i,-0.00050286-0.004995i,-0.0056263-7.1543e-05i,0.001302+0.002017i,0.0023501-0.0012931i,0.0023593+0.00017239i,-0.0010533+0.0025021i,0.001134+0.00021841i,0.0016031-0.001079i,-0.0065142+0.00062975i,-0.00012582-2.6444e-05i,-0.00075422+0.0026265i,-0.0015344+0.0030813i,-0.00035184+0.0011681i,5.8457e-05+0.00080171i,-4.7819e-05-0.00049875i,-0.00012117+0.0038742i,-0.00050406-0.0010377i,-0.0025326-0.0021236i,-0.0021512-0.00058389i,-0.0015678+0.0019694i,0.0018828-0.00253i,0.00055171+0.0017568i,0.00050132-0.0010882i,0.012537+0.018553i,0.0037779+0.00030957i,0.00053797+0.001041i,-0.00022914+0.0014644i,-0.0024033-0.00025392i,0.0048825+0.0017208i,0.014616-0.0010119i,0.0024711-0.060993i,-0.010485+0.017273i,-0.0044559-0.037505i,-0.037516-0.017079i,-0.0037322+0.0070663i,-0.0062434+0.039746i,-0.0060389+0.011518i,-0.004482-0.0036492i,-0.0062601-0.014705i,-0.042314+0.0073789i,-0.0073407+0.0046978i,-0.010181+0.031086i,0.0046838+0.0048851i,-0.00037316+0.0011349i,-0.016633-0.0030997i,-0.0017986+0.0061579i,-0.010891+0.0097978i,0.011764+0.0034565i,0.0045455+0.0094697i,-0.00085565+0.0048218i,0.005037+0.0048025i,0.0050969+0.00089172i,0.0087489+0.0076591i,0.0089475+0.0037185i,-0.0066711-0.0022472i,0.0039899-0.0058914i,0.008925-0.00054896i,-0.0019802+0.0066751i,0.0021626+0.0022975i,-0.0069165-0.041965i,0.011761-0.004107i,0.0055829-0.0070074i,0.0025421-0.0045601i,0.00044515-0.0041866i,0.012501-0.016546i,7.8949e-05-0.0017073i,0.00017091-0.00173i,-0.00044241-4.522e-06i,0.011382-0.0063367i,0.011824-0.001307i,0.0029891-0.003477i,0.013774-0.00098076i,0.0032202+0.0051846i,0.0094549+0.0012693i,-0.022597-0.0053933i,-0.015973-0.020466i,-0.0068519-0.013539i,-0.0058766-0.003438i,-0.025578+0.028409i,-0.0038404+0.00019762i,-0.0078133-0.0015183i
0.011628+0.0086743i,0.0023668+0.01147i,0.0081184+0.010866i,0.01086+0.017979i,0.013227+0.021972i,0.020188+0.013309i,0.0033614+0.027905i,0.0079841+0.016677i,0.0088825-0.0024636i,-0.0020457-0.0025448i,0.0041139-0.0015639i,-0.0014156-0.0041244i,-0.0014647-0.0023129i,-0.0012096-0.0024166i,-0.0016224-0.00053825i,-0.0017675-0.0018389i,-0.0047283+0.0026439i,0.0018962+0.0012685i,0.0015143-0.001839i,0.0019795-0.0016242i,0.00011266+0.0019932i,0.0016756-0.000556i,0.0011915-0.0018739i,-0.005963+0.0020582i,0.00029386-0.00016948i,0.0012792+0.0017285i,-8.2839e-05+0.0027459i,0.00028402+0.0007408i,0.0010748-0.00016151i,-7.5113e-05-0.00027145i,0.00093398+0.0033259i,-0.0012065-0.00068047i,-0.0034991-0.00042761i,-0.002275+0.00062281i,-0.0007266+0.0023922i,0.0021483-0.0044488i,0.0017559+0.001368i,-0.00016337-0.00088198i,-0.0011951-0.0041204i,0.0037913-0.00075325i,0.00096321+0.00056311i,0.00066048+0.0010748i,-0.0025963+0.00061061i,0.0034324-0.0011186i,0.013524-0.0040047i,-0.014436-0.049419i,-0.0015227+0.014598i,-0.015547-0.034122i,-0.04056-0.0089183i,0.0011567+0.0048133i,0.0070543+0.033454i,0.0026401+0.0051979i,-0.0047689-0.0051454i,-0.0065233-0.012176i,-0.036603+0.017607i,-0.0061385+0.0059873i,0.0022518+0.029496i,0.0068834+0.0034425i,-0.0036009+0.0021064i,-0.0199+0.0063249i,-0.0012956+0.0083824i,-0.0063781+0.01069i,0.0093675-0.0023791i,0.0079634+0.0078345i,0.00041777+0.0069492i,0.0047786+0.0045889i,0.0053566-0.0024757i,0.0072489+0.0024805i,0.0058152+0.0010489i,-0.0048208+0.001899i,0.0020717-0.0056068i,0.0086671-0.0028012i,0.005749+0.0065996i,0.003826+0.00052833i,-0.014036-0.015037i,0.0084097-0.0076717i,0.0032974-0.0089032i,0.001326-0.0034031i,-0.00028526-0.004495i,0.0047836-0.0172i,0.0033415-0.00016656i,-0.0035755+0.00089756i,0.0021664+0.0017931i,0.007939-0.006483i,0.011344-0.007228i,0.0009386-0.0038024i,0.010109-0.0077965i,0.0039573+0.0014879i,0.0088199-0.0024955i,-0.01877+0.0028277i,-0.026824-0.016882i,-0.01043-0.017894i,-0.0064647-0.0053132i,-0.01462+0.027916i,-0.0086694-0.00025467i,-0.011431-0.00057914i
0.012828+0.0052501i,0.0031861+0.0095413i,0.006563+0.0072588i,0.013472+0.015415i,0.016325+0.017654i,0.021584+0.0090805i,0.0089686+0.025868i,0.0099909+0.013556i,0.0080457-0.0034064i,-0.0021483-0.0016612i,0.0029013-0.002882i,-0.0021913-0.0022901i,-0.0021524-0.0020149i,-0.0014618-0.0015703i,-0.0021131+0.00051747i,-0.0012826+0.0005924i,-0.0029299+0.0045588i,0.002026+0.00037448i,0.0011737-0.0018433i,0.00062047-0.0024515i,0.00055793+0.001535i,0.001407-0.0012623i,0.00023107-0.0022812i,-0.0042578+0.0028979i,0.00035236-0.0005025i,0.0014164-0.00017615i,0.0012136+0.0020017i,0.00047693+0.0002909i,-0.0004552+0.00088913i,0.00034996-0.00027006i,0.0017788+0.0027776i,-0.0014187-0.00024807i,-0.0032351+0.0015661i,-0.0019307+0.0016324i,-2.517e-05+0.0024763i,0.0010619-0.0059964i,0.0025806-0.00019206i,-0.00033643-0.00035714i,0.00096508-0.0021736i,0.0033303-0.0014733i,0.0009405+1.5604e-05i,0.00092117+0.00045301i,-0.002217+0.0021155i,0.00097045-0.00048921i,0.012129-0.0061959i,-0.01833-0.035411i,0.0033672+0.0094677i,-0.024078-0.026863i,-0.041179+0.0035393i,0.0034147+8.5797e-05i,0.015599+0.028458i,0.0053457-0.0021438i,-0.0044756-0.0067591i,-0.0061991-0.011977i,-0.02974+0.027012i,-0.0043873+0.0065433i,0.013145+0.023244i,0.0064527+0.00054385i,-0.0046897+0.0057673i,-0.01726+0.014583i,0.0018591+0.0098862i,-0.0032491+0.01619i,0.0045355-0.0036109i,0.010467+0.0052812i,0.003431+0.0074127i,0.0053972+0.0048309i,0.0040699-0.0048974i,0.0036757+0.0020998i,0.0033187+0.0018299i,-0.0030814+0.0034102i,0.00076417-0.0046649i,0.0071683-0.0051072i,0.0091278+0.001561i,0.0038727-0.0017053i,-0.014747-0.014297i,0.0046869-0.0091593i,-0.0014063-0.0084162i,0.0026881-0.0032376i,-0.0016261-0.0033587i,-0.00027313-0.015352i,0.0045536-0.0021228i,-0.0016511+0.0023665i,0.0049789+0.00020891i,0.00727-0.0070503i,0.0047129-0.014303i,0.00090811-0.0034755i,0.0026497-0.010574i,0.0021868+1.0966e-05i,0.005036-0.0063147i,-0.012367+0.0040434i,-0.036147-0.0076416i,-0.016647-0.017894i,-0.0079367-0.0067487i,-0.0082233+0.026774i,-0.012369+0.0031272i,-0.011138+0.0034617i
0.013537+0.0021594i,0.00364+0.008613i,0.0048543+0.005984i,0.015563+0.012224i,0.017797+0.013173i,0.022475+0.0050051i,0.014126+0.022126i,0.011366+0.010642i,0.0075807-0.0046417i,-0.0025467-0.0013487i,0.001064-0.00339i,-0.0022694-0.00067564i,-0.0031133-0.0013357i,-0.001443-0.0012589i,-0.0023555+0.00094412i,-4.8331e-05+0.0019211i,-0.00047191+0.0056685i,0.0019422-0.00028972i,0.00049227-0.0021061i,-0.0005604-0.0024078i,0.0014049+0.0013568i,0.001047-0.0017026i,-0.00059206-0.0020513i,-0.0033783+0.0025292i,-0.00010283-0.00037028i,0.00064824-0.0013858i,0.0012372+0.00039331i,0.00068688-0.0002293i,0.00062488+0.00052526i,0.00036599-0.00078918i,0.0028727+0.0019549i,-0.0014872+9.3246e-05i,-0.0019489+0.0028346i,-0.001058+0.0022524i,0.00059974+0.0023628i,-0.00078754-0.0058507i,0.00061451-0.0021732i,-0.00019444-0.00022163i,0.00038223-0.0025706i,0.0024717-0.001844i,0.00076302-0.00016169i,0.00087015+0.00011064i,-0.00091691+0.00079875i,0.00045756+0.0012304i,0.010794-0.0075316i,-0.017347-0.029263i,0.0054033+0.0049976i,-0.027839-0.016357i,-0.036646+0.017771i,0.00060135-0.0041994i,0.018129+0.020485i,0.0057422-0.0086625i,-0.0044136-0.0073516i,-0.0076351-0.01027i,-0.020215+0.032382i,-0.0037004+0.0073726i,0.018312+0.010516i,0.0057239-0.0018958i,-0.002944+0.0091464i,-0.010291+0.020803i,0.0051773+0.008213i,0.0051863+0.012341i,0.0025185-0.0019239i,0.012599+0.00045683i,0.0057367+0.006847i,0.0063718+0.0039569i,-0.0001974-0.007591i,0.0035392+0.0043127i,0.0039711+0.003487i,-0.00064681+0.0055572i,0.00063408-0.0040936i,0.0055399-0.006332i,0.0094356-0.0032259i,0.0030436-0.0037017i,-0.019809-0.011887i,0.0012166-0.0097448i,-0.0046319-0.0068533i,0.00072574-0.004938i,-0.0016447-0.0019374i,-0.0030057-0.012124i,0.0035198-0.0042586i,0.00035922+0.0022198i,0.0044002-0.003919i,0.0049288-0.0086121i,-0.0036219-0.012787i,-1.8728e-05-0.0047518i,-0.0022126-0.0068075i,0.0021046-0.00096575i,-0.00022909-0.005717i,-0.0095687+0.003677i,-0.033767+0.0096425i,-0.022178-0.014993i,-0.009841-0.0065193i,-0.004323+0.026531i,-0.011316+0.008678i,-0.0068516+0.0047127i
0.01338-0.0012004i,0.0046703+0.0082092i,0.0039336+0.005872i,0.016794+0.0084713i,0.018341+0.0095355i,0.022681+0.00054038i,0.018116+0.017011i,0.012053+0.0078947i,0.0069031-0.0058909i,-0.003022-0.00034246i,-0.00067607-0.0027088i,-0.0013641+0.00065095i,-0.0037673-0.00020288i,-0.0018506-0.0013173i,-0.0021291+0.0015708i,0.0010601+0.0023505i,0.0024872+0.0056205i,0.0015463-0.00066663i,-1.8563e-05-0.0020835i,-0.0013735-0.0016933i,0.0019721+0.00060733i,0.00051152-0.002137i,-0.0010965-0.0015292i,-0.0032564+0.0031088i,-0.00046698-0.00039072i,-0.00044776-0.0016634i,0.00084754-0.00041376i,0.00043084-0.0010643i,0.00081706-0.00028645i,-0.00010989-0.0012652i,0.0034776+0.00097701i,-0.0011443+0.00095772i,-6.0614e-05+0.0029059i,-3.2272e-05+0.0022873i,0.0013341+0.0018441i,-0.0030903-0.0054042i,2.6632e-05-0.00079865i,-0.00028618-0.00037114i,-0.000526-0.002149i,0.0018147-0.0020025i,0.00073137-0.00051931i,0.00096175-0.00016657i,-0.00088614+0.00080025i,0.0010997+0.0018479i,0.010129-0.0092821i,-0.018667-0.026442i,0.0065956+0.0018404i,-0.025417-0.0073297i,-0.025681+0.027985i,-0.0016209-0.0043484i,0.020128+0.01333i,0.0026225-0.014659i,-0.0038273-0.008439i,-0.0069799-0.007435i,-0.010831+0.035613i,-0.0011685+0.0072573i,0.013144-0.00035377i,0.0035175-0.0043159i,0.00033033+0.010491i,-0.0030114+0.022149i,0.0066828+0.0054358i,0.0075125+0.0063339i,0.0026528-0.0010664i,0.011748-0.003568i,0.009569+0.0049191i,0.0075911+0.0030974i,-0.0046161-0.0040524i,0.0056746+0.0049113i,0.005588+0.0038759i,0.0024441+0.0052476i,-0.00031787-0.0042991i,0.0035596-0.0076191i,0.0066119-0.0089452i,-5.1765e-05-0.0045331i,-0.025135-0.0048844i,-0.002134-0.0090558i,-0.0056669-0.0030274i,0.00029843-0.0029912i,-0.0015841-0.001685i,-0.0041848-0.011514i,0.0020113-0.0039784i,0.0014132+0.00053286i,0.0016472-0.0047101i,0.0022108-0.0086006i,-0.0077269-0.0079511i,-0.0026002-0.0049804i,-0.0023742-0.0042865i,0.0010334-0.0020158i,-0.0019988-0.0027655i,-0.0064162+0.0042414i,-0.025498+0.011135i,-0.023127-0.010462i,-0.011283-0.0057412i,0.0010534+0.024218i,-0.0091697+0.011094i,-0.0050379+0.0034211i
0.012405-0.0041459i,0.0063063+0.0077051i,0.0039769+0.0064073i,0.017094+0.0050835i,0.01836+0.0063174i,0.02183-0.0037943i,0.020699+0.011276i,0.012486+0.0055059i,0.0059806-0.0072903i,-0.0026422+0.00093578i,-0.001521-0.0012506i,-0.00024915+0.00064829i,-0.0038294+0.0012966i,-0.0028104-0.00061389i,-0.0015111+0.0023721i,0.0022353+0.0019598i,0.0049983+0.003532i,0.0012423-0.00094631i,-0.00035291-0.0019203i,-0.0015078-0.00062331i,0.0021963-0.00035318i,-8.4089e-05-0.0020177i,-0.0013048-0.00098302i,-0.002232+0.0038926i,-0.00084949-0.00025593i,-0.0010253-0.0012287i,0.00022967-0.0011104i,-0.00040147-0.0015289i,0.00040764-0.00095115i,-0.00082602-0.0013121i,0.0039542-0.0016382i,-0.00043656+0.00066854i,0.0007788+0.0021023i,0.00066437+0.0019283i,0.0016103+0.0011576i,-0.0056652-0.0032374i,-0.00018845-0.00095641i,-0.00058709-0.00022531i,-0.0013105-0.0021085i,0.0015341-0.0019525i,0.00057544-0.00076441i,0.0009421-0.00045125i,-0.0010429+0.00066461i,0.0018694+0.0018753i,0.0085802-0.011737i,-0.02316-0.024475i,0.0062915-0.0019822i,-0.022929-0.0014355i,-0.013062+0.030214i,-0.0039702-0.0043306i,0.021784+0.0061038i,-0.0010611-0.0161i,-0.0043732-0.0098034i,-0.0058421-0.0050353i,-0.00060262+0.036424i,0.0010103+0.0063139i,0.0067854-0.0011163i,0.00057515-0.0053066i,0.0047184+0.010942i,0.0044413+0.020469i,0.006543+0.0025846i,0.007699+0.00064242i,0.002054-0.0006922i,0.0093426-0.0077948i,0.011898+0.00066412i,0.0084814+0.0011173i,-0.0051052-0.00071725i,0.0078762+0.0039713i,0.007948+0.0033071i,0.0053427+0.0031889i,-0.0013212-0.0038033i,0.0018981-0.0087631i,0.00041328-0.010849i,-0.0015534-0.0024574i,-0.026408+0.0045916i,-0.0044733-0.0078156i,-0.0051338-0.00029844i,0.00093709-0.0026865i,-0.0020491-0.0011067i,-0.0075225-0.010982i,-6.5603e-05-0.0043765i,0.0018286-0.0004202i,3.3174e-05-0.0046147i,0.00072843-0.0081181i,-0.0090332-0.004728i,-0.0046794-0.0027747i,-0.0023871-0.00302i,0.00060352-0.0024471i,-0.0019041-0.0012266i,-0.0030956+0.0036945i,-0.023956+0.012285i,-0.022097-0.0079585i,-0.012334-0.0051952i,0.0026251+0.022492i,-0.0075708+0.011962i,-0.0037546+0.0026516i
0.01103-0.0064904i,0.0084112+0.0062813i,0.0054669+0.006604i,0.016948+0.001879i,0.018499+0.0036656i,0.020192-0.0076179i,0.021479+0.0045969i,0.012725+0.0032183i,0.004588-0.0084277i,-0.0018234+0.0014445i,0.0085831-0.0096346i,-7.7623e-06-4.342e-05i,-0.0032607+0.0028932i,-0.0027994+0.00048105i,-0.00047316+0.0028118i,0.0026775+0.00092054i,0.0054497+0.00073454i,0.0007203-0.0012293i,-0.00072195-0.0015982i,-0.0010286-4.3138e-05i,0.0021868-0.0014205i,-0.00033557-0.0018312i,-0.0012328-0.00050512i,-0.00087312+0.00409i,-0.0011448+1.0365e-05i,-0.0016336-0.00063769i,-0.00086526-0.0014231i,-0.0012812-0.0012499i,-0.00026765-0.0013477i,-0.001513-0.00094487i,0.0016228-0.0020668i,-0.00058527+0.00087551i,0.0010961+0.0016029i,0.0011957+0.0015276i,0.0015761+0.00056595i,-0.0078886+0.00069831i,-0.00077757-0.00060158i,-0.0006544+1.5771e-05i,-0.0022261-0.0016005i,0.0011816-0.0020522i,0.00035142-0.00092061i,0.0007948-0.00066131i,-0.0011804+0.00079454i,0.0025293+0.0016652i,0.005805-0.013193i,-0.029168-0.019152i,0.0050191-0.0049792i,-0.016758+0.0037824i,-0.0030112+0.030734i,-0.0055316-0.0012299i,0.021478-0.0018678i,-0.0015763-0.018682i,-0.0046119-0.010248i,-0.0032239-0.0022242i,0.0082997+0.032758i,0.0020534+0.0043198i,0.0037034-0.0013642i,-0.0029398-0.0049965i,0.010149+0.008114i,0.0087216+0.015979i,0.0052786+0.0011854i,0.0049464-0.0043065i,0.0029428+0.001515i,0.004516-0.010306i,0.011799-0.00553i,0.0089049-0.0012841i,-0.0050615+0.0023886i,0.010115+0.0021443i,0.011106+0.00031305i,0.0060396-0.00042699i,-0.0019651-0.0032207i,-0.00089817-0.0091288i,-0.0053273-0.0059712i,-0.00097609-0.00065344i,-0.024536+0.014273i,-0.0064613-0.0066305i,-0.0041847+0.002111i,0.0005747-0.0052181i,-0.0019381+0.0003424i,-0.011288-0.0081774i,-0.0031666-0.0026991i,0.0011547-0.0017377i,-0.0015061-0.0042111i,-0.0015893-0.0077768i,-0.0094296+0.00034392i,-0.0045454-6.3983e-05i,-0.0075277-0.0042124i,-0.0011611-0.0046675i,-0.0013306-0.00097347i,-0.00070341+0.0029032i,-0.022918+0.018589i,-0.02237-0.0086263i,-0.012155-0.0045158i,0.0063763+0.021484i,-0.0065371+0.01423i,-0.0023995+8.8016e-05i
0.0094746-0.0083021i,0.010124+0.0039694i,0.007193+0.005326i,0.016193-0.0011961i,0.01839+0.00095329i,0.018093-0.010764i,0.019821-0.0014317i,0.012764+0.00094341i,0.0031474-0.009158i,-0.0014161+0.0019677i,-0.00039019-0.0014022i,-0.00054732-0.00030914i,-0.0021746+0.0038254i,-0.0023846+0.0013679i,0.00045062+0.0028197i,0.002086+8.5206e-05i,0.0044279-0.001178i,0.00019134-0.0010253i,-0.00030663-0.0014817i,-0.00046295+0.0001363i,0.0019663-0.002327i,-0.00045954-0.0019223i,-0.00090459-0.00026545i,0.00037565+0.0041369i,-0.0013466+0.0003212i,-0.001958+0.000329i,-0.0020675-0.0010983i,-0.0017316-0.00062813i,-0.0011791-0.0013129i,-0.0020978-0.00025995i,0.00089924-0.0017553i,-0.00019246+0.0013457i,0.0014508+0.0010961i,0.0017328+0.0010238i,0.0013603+0.00012193i,-0.0077189+0.0040625i,-0.000772-0.00047035i,-0.00079478+0.00010091i,-0.0027699-0.00053289i,0.00067708-0.002116i,0.00018916-0.00094777i,0.00068816-0.00086329i,-0.0012341+0.0011613i,0.0030464+0.0011373i,0.0034423-0.01351i,-0.029623-0.010913i,0.0019158-0.0069607i,-0.010521+0.0036465i,0.0078478+0.028454i,-0.0040799+0.0028325i,0.018327-0.0083647i,-0.0048473-0.023815i,-0.0049312-0.010074i,7.7721e-05-0.0038715i,0.017085+0.02525i,0.0017372+0.0036391i,0.00061996-0.00089647i,-0.0050921-0.0025473i,0.012236+0.0020926i,0.01146+0.012679i,0.0030464+0.0017618i,0.0010658-0.0078634i,0.0059439+0.00021056i,-0.00066375-0.0099048i,0.0075458-0.0095098i,0.0085258-0.0040318i,-0.0043994+0.0048201i,0.011458-0.0023868i,0.010373-0.0055425i,0.0051732-0.0037378i,-0.0024591-0.0025771i,-0.0038454-0.0082283i,-0.0017183-0.010748i,0.00012808-0.00086488i,-0.017491+0.026452i,-0.0086706-0.0045335i,-0.0021519+0.0032318i,-0.0039401-0.0060254i,-0.00076036+0.0007508i,-0.013793-0.0036507i,-0.003138+0.00031661i,-0.00026498-0.0025617i,-0.0031726-0.0027735i,-0.0036204-0.0063892i,-0.00696+0.0040539i,-0.0031517+0.0016951i,-0.0083498+0.0020044i,-0.0052662-0.005008i,-0.0016665-0.0007905i,0.0036303+0.0024211i,-0.012448+0.0245i,-0.026423-0.0076195i,-0.011489-0.0032931i,0.0089917+0.019093i,-0.0035363+0.016315i,-0.0035953-0.0034621i
