-0.032293-0.038297i,-0.021422-0.01965i,-0.01269-0.035748i,-0.03012-0.019959i,-0.022087+8.8365e-05i,-0.013793-0.0058069i,-0.056416-0.058453i,-0.047695-0.017269i,-0.038014-0.014574i,0.012104+0.01195i,-0.0075136+0.0048253i,-0.019663+0.019414i,0.0022879+0.011074i,-0.0060379-0.0025139i,0.00013632+0.0012814i,-0.0019278+0.030313i,0.023925+0.024364i,0.0023783-0.0024093i,-0.0021387-0.0071559i,0.0076897+0.0034174i,0.0026607+0.00076191i,-0.00051737+0.0039753i,-0.00034386+0.00019315i,-0.037029-0.012672i,0.0004785-0.0078596i,0.0015116+0.0020913i,0.0062509+0.0012276i,0.0020655+0.00050857i,0.0010269-0.00062441i,-0.00043214-0.0025277i,0.0013526-0.0024981i,-0.0020914-0.0061752i,-0.0010032-0.0047378i,0.0029262-0.00059131i,0.0045422-0.0033764i,2.2111e-05+0.030126i,0.0039342-0.0037627i,0.0029731-0.0016958i,0.0080377-0.0016346i,-0.0061821-0.0029263i,-0.00014178+0.0008177i,0.0083335+0.00052542i,0.0047112-0.0023057i,-0.0012722+0.0080346i,-0.017992-0.0073854i,-0.018425+0.015925i,-0.0038371-0.061302i,-0.0050967-0.027203i,-0.026623-0.032064i,-0.011396-0.026481i,0.05509-0.020604i,0.016496-0.042692i,0.0226-0.048873i,0.0041492-0.054397i,0.026372-0.021451i,0.0083652+0.0060131i,0.02425-0.035465i,-0.0077239-0.0068913i,0.0037583-0.0048966i,-0.004963-0.0070447i,-0.0019796-0.032998i,-0.018113+0.028905i,0.0084338-0.011934i,-0.0085691-0.0041605i,-0.004146-0.0010478i,0.00071768-0.013269i,-0.011296+0.0047108i,0.002356+0.010027i,-0.0046723+0.027041i,0.0053666+0.0026656i,-0.0053172-0.0017632i,-0.001969-0.0020319i,-0.012494-0.0082169i,-0.0007143-0.0043743i,-0.030595+0.0028063i,0.0010458-0.010592i,-0.008523-0.00045364i,-0.0066554-0.0024669i,0.0051738+0.0014081i,-0.0082436+0.00032587i,0.0023422+9.1305e-05i,0.003735+0.0070813i,0.0043611+0.00043192i,-0.007508-0.012565i,0.002674+0.0092551i,-0.015571+0.0051303i,0.0065063-0.00026733i,-0.022352-9.9799e-05i,-0.017424+0.006521i,-0.0069014-0.067532i,0.0083882-0.012567i,-0.049792-0.023675i,-0.020714+0.00039237i,0.017517+0.011551i,-0.022155+0.014255i,-0.019254-0.0042315i
-0.038241+0.030854i,-0.016077+0.018868i,-0.020477+0.04171i,-0.026774+0.013706i,-0.0041467+0.020869i,-0.00070738+0.007676i,-0.030322+0.017629i,-0.0035912+0.029304i,0.0080752+0.018765i,-0.005301-0.0059411i,0.0027077+0.0037515i,0.0076138-0.000537i,0.0051521+0.00030727i,-0.00041164+0.0035045i,0.00064928+0.0020902i,0.0060771-0.0047313i,-0.0068079-0.0003985i,-0.0029621+7.1822e-05i,0.0041719-0.0014181i,-8.3213e-05-0.00094548i,0.0028485-0.0049462i,0.0015557-0.0028122i,0.0013939-0.0024482i,-0.0092431-0.01136i,-0.0011165+0.003201i,-0.0014869+0.00021158i,-0.0039678-0.0015639i,-0.0028718-5.7764e-05i,-0.001588-0.0023387i,-1.5061e-05-0.00046519i,-0.0010133+0.0033182i,0.00069566+0.0010011i,0.0013582+0.00055739i,-0.00063575+0.00087692i,-0.0025457+0.0028048i,-0.0013107-0.0070799i,-0.0023082+0.0010479i,0.00091779-0.00038496i,-0.0015285+0.0028287i,0.0034935+0.0032781i,-0.00070328-0.0016029i,4.9153e-05-0.0027792i,-0.0034348-0.00030116i,0.0036974+0.00061501i,-0.01535+0.025894i,0.0076191-0.036288i,-0.0533+0.0045597i,0.007361-0.032034i,-0.031075-0.048865i,-0.029027-0.019594i,-0.062561+0.021613i,-0.038302+0.00090538i,-0.03352-0.0068922i,-0.027464-0.022307i,-0.04122-0.023398i,-0.0053222+0.0029742i,-0.027831+0.0097855i,0.006189+0.018768i,0.0023349+0.0088572i,-0.0038798-0.0050131i,0.0017943+0.0012567i,-0.00631-0.0043131i,0.0066038+0.01222i,-0.00018645+0.0061432i,-0.0020669-0.0014699i,0.0010632+0.002291i,0.0036734-0.0010158i,-0.0030347+0.018063i,0.0037513+0.015189i,0.0035042-0.00016133i,0.0098786-0.0066501i,0.0042581+0.0031466i,-0.009164-0.0087003i,-0.001283-0.0028741i,0.020258-0.041221i,0.0080646+0.0098331i,0.0051585+0.0021505i,-0.0030538+0.002777i,0.0034965-0.0056086i,0.020232+0.0075671i,0.0030302+0.0027519i,-0.00050878-0.0058453i,0.0010701-0.0029662i,0.016171+0.0062354i,0.0048196+0.001303i,0.0028118-0.0046794i,0.0034874+0.0079421i,-0.00039518+0.0011757i,0.0090513+0.0029636i,-0.045703-0.011556i,-0.0069363+0.011478i,-0.0025524-0.0046533i,-0.0066742+0.0049528i,-0.036452+0.011033i,-0.005485+0.0079076i,-0.0098345+0.014149i
-0.033084+0.035997i,-0.012928+0.018621i,-0.010091+0.037482i,-0.023944+0.016657i,-0.0014258+0.01903i,0.00063998+0.0075697i,-0.028842+0.022703i,0.0021671+0.028442i,0.01059+0.013221i,-0.0065942-0.0031389i,0.0039184+0.0040426i,0.006664-0.0030318i,0.0048855-0.0015062i,0.0016755+0.0039969i,0.00094311+0.0021267i,0.00184-0.0041975i,-0.0075616+0.0033509i,-0.0024958+0.001115i,0.0043197-0.0019082i,0.00023633-0.00095919i,0.0011746-0.0052178i,0.0013456-0.0025022i,0.00073575-0.0025303i,-0.012376-0.0083948i,0.00041821+0.0026077i,-0.0015843+0.00062809i,-0.0036624+6.643e-05i,-0.0020093+0.00061261i,-0.0022226-0.00072014i,0.00019853-0.00043069i,-0.00012298+0.0032057i,0.00036367+0.00091847i,0.0012639-1.0323e-05i,-0.00067322+0.00091388i,-0.0022421+0.0031121i,-0.001344-0.005917i,-0.001861+0.0017844i,1.8883e-05-0.0010694i,-0.00079994+0.0029021i,0.0036559+0.0011352i,-0.00083633-0.0012537i,-0.0016021-0.0030391i,-0.0034448+0.00081308i,0.0040517-0.00018643i,-0.01072+0.024941i,-0.0057332-0.042039i,-0.046454+0.014923i,-0.0018492-0.039173i,-0.045078-0.043233i,-0.029494-0.012974i,-0.050583+0.033636i,-0.035602+0.0094367i,-0.024625-0.009518i,-0.029905-0.017814i,-0.045617-0.0065893i,-0.0045103+0.0029452i,-0.023107+0.021635i,0.011239+0.012685i,0.0053211+0.0054327i,-0.009406-0.0070581i,-0.0016538+0.0036079i,-0.0080226+0.0020508i,0.01082+0.0077226i,0.00083294+0.0074439i,-0.0019043-0.00010733i,0.0020439+0.0032725i,0.0040711-0.0013322i,0.005672+0.014339i,0.00881+0.0078586i,-0.00076171-0.0034854i,0.0028012-0.0077507i,0.0047645+0.0027071i,-0.011371-0.00036528i,-0.002557-0.00076119i,0.0012165-0.038686i,0.011557+0.0077322i,0.007446-0.00086614i,0.00046965+0.0026486i,-0.00021912-0.0033255i,0.021509-0.0020729i,0.0030694+0.0013339i,-0.0033848-0.0046297i,-0.0026116-0.0014261i,0.014964+0.0022642i,0.0051257+0.0014757i,0.00088087-0.0033787i,0.0061986+0.0067912i,-0.0002716+0.0023344i,0.0094464-0.00028631i,-0.04862-0.0072381i,-0.00025964-0.0031036i,-0.0012825-0.0043358i,-0.005056+0.0049275i,-0.028929+0.022852i,-0.0031814+0.0086355i,-0.0042366+0.012881i
-0.026663+0.040239i,-0.010738+0.018828i,-0.0053872+0.031022i,-0.021074+0.019515i,0.0020292+0.01825i,0.0022521+0.0069992i,-0.024832+0.028331i,0.0077036+0.02599i,0.0099548+0.0091731i,-0.006908-0.00053172i,0.0059021+0.0035541i,0.0025913-0.0038916i,0.0037971-0.0028309i,0.0025889+0.0034366i,0.0015285+0.0021118i,-0.0012904-0.0014596i,-0.0057014+0.0074146i,-0.0012663+0.0016786i,0.0044994-0.0041648i,0.00052282-0.0015423i,-0.00050404-0.0052261i,0.0014245-0.0030237i,0.00027597-0.0025648i,-0.015101-0.0047605i,0.0010588+0.0020178i,-0.0010247+0.0014375i,-0.0025513+0.00067043i,-0.00088698+0.0011465i,-0.0019963-0.00077634i,-0.0001041-0.00078286i,0.0014421+0.0032006i,0.00056737+0.0010877i,0.00098201-0.00048598i,-0.00036261+0.00076429i,-0.00068297+0.0039612i,-0.00078792-0.0057483i,-0.0017199+0.0020881i,-0.00087761-0.00098441i,0.0010302+0.0021756i,0.0030728-0.00022843i,-0.00084877-0.00098668i,-0.0017167-0.0015858i,-0.0033311+0.0017323i,0.0038404-0.0018797i,-0.0073072+0.024486i,-0.022171-0.040242i,-0.036667+0.02093i,-0.01352-0.041065i,-0.053816-0.034456i,-0.026029-0.0074215i,-0.034323+0.039355i,-0.024064+0.015381i,-0.027452-0.012739i,-0.030527-0.013787i,-0.042318+0.0072361i,-0.003709+0.0032894i,-0.011534+0.028633i,0.013355+0.006185i,0.0035402+0.00015455i,-0.01789-0.0042088i,-0.0006251+0.0051939i,-0.0048846+0.0059279i,0.011737+0.0018466i,0.0033782+0.0074176i,-0.0033419+0.0015275i,0.0023918+0.0015288i,0.0040789-0.0029855i,0.0081796+0.0071777i,0.0079542+0.00302i,-0.0051822-0.00013534i,1.6325e-05-0.0057939i,0.0064167+0.0015818i,-0.0061244+0.008624i,-0.0005752+0.0013807i,-0.0063313-0.02732i,0.015564+0.0016951i,0.0060599-0.0046366i,0.001198+0.0013591i,1.7188e-06-0.001237i,0.016825-0.0094522i,0.0013719+0.0028765i,-0.005172-0.0024068i,-0.0029142+0.0026606i,0.011122-0.0013791i,0.0085561-0.0013906i,0.00087512-0.0031683i,0.0098197+0.0030188i,0.0027752+0.0020735i,0.0084768-0.0034382i,-0.051539+0.0022947i,-0.0091969-0.010791i,0.00055551-0.0075681i,-0.0039014+0.0036782i,-0.019665+0.025801i,-0.0035454+0.0035423i,-0.0020666+0.0096892i
-0.01964+0.042883i,-0.0077887+0.019768i,-0.0040523+0.026254i,-0.016901+0.022287i,0.0053496+0.015241i,0.0037338+0.0054429i,-0.018308+0.032746i,0.012001+0.02187i,0.0095308+0.0074037i,-0.0062286+0.0021075i,0.0072611+0.0015457i,0.00047289-0.001376i,0.0023688-0.0032977i,0.002456+0.0033558i,0.0018723+0.0016453i,-0.0016334+0.002626i,-0.001425+0.010241i,-0.0004233+0.0012847i,0.0025492-0.0052643i,-0.00017813-0.0022282i,-0.0016905-0.0043444i,0.0010144-0.0033439i,-0.00032611-0.0027411i,-0.015879+0.00063917i,0.0015561+0.0010371i,5.0765e-05+0.00089012i,-0.0021133+0.00035734i,0.00022486+0.00048759i,-0.0022241+0.00015609i,-0.00043042-0.00053569i,0.0024206+0.0023825i,0.0012461+0.00082688i,0.00027752-0.00075913i,-0.00024782+0.0007825i,0.001073+0.0032291i,-0.0011458-0.0072887i,-0.0008553+0.0028529i,-0.0013136-0.00030433i,0.0012153+3.1161e-05i,0.002453-0.00065452i,-0.00094555-0.00079165i,-0.0011988-0.0016942i,-0.0025229+0.0027705i,0.001836-0.0040989i,-0.0041092+0.024442i,-0.034798-0.028033i,-0.027445+0.021786i,-0.024488-0.037872i,-0.062671-0.023164i,-0.021221-0.0058572i,-0.020493+0.038348i,-0.013699+0.011453i,-0.028454-0.0096277i,-0.030569-0.0088009i,-0.03591+0.017535i,-0.0032625+0.0033854i,0.000492+0.028516i,0.016287+0.0013658i,-0.001203-0.00079242i,-0.022525+0.0063915i,-0.00050377+0.0068859i,-0.0013739+0.0059636i,0.0087913-0.0039988i,0.0061291+0.0065181i,-0.0031073+0.0045491i,0.00042639+0.001788i,0.0032749-0.0056095i,0.0060397+0.001512i,0.005311+0.00035456i,-0.0034114+0.0030351i,-0.0015679-0.0042558i,0.0065997-0.00071827i,0.0022857+0.012618i,0.00046022+0.00043417i,-0.010708-0.023803i,0.013707-0.0044375i,0.0037845-0.0045658i,0.0026995+0.0021754i,0.00048213-0.0013219i,0.011052-0.012395i,0.0047118+0.0036479i,-0.0056743+0.00034421i,-9.7412e-05+0.0044616i,0.0085985-0.0022231i,0.006864-0.0064516i,-0.00046905-0.0028655i,0.0088812-0.0028321i,0.0027857-0.00089161i,0.0071721-0.0065365i,-0.047201+0.013861i,-0.018811-0.01065i,-0.0029435-0.012605i,-0.0029231+0.0020236i,-0.012116+0.027345i,-0.0070684+0.0032954i,-0.0025605+0.0085428i
-0.012858+0.044585i,-0.0052072+0.019495i,-0.005073+0.023933i,-0.012313+0.023653i,0.0068798+0.011884i,0.0040028+0.0035843i,-0.010687+0.034412i,0.014647+0.017363i,0.010128+0.0060123i,-0.0042341+0.0039007i,0.0063041-0.0022438i,0.00095691+0.00064862i,0.0013615-0.0034011i,0.0036894+0.0036702i,0.00222+0.0011664i,0.0003306+0.005273i,0.0032695+0.010267i,-9.5169e-05+0.0010176i,0.0010901-0.0054933i,-0.0011727-0.0021339i,-0.0027025-0.0035549i,0.00026222-0.0035541i,-0.0011459-0.0026007i,-0.012402+0.0066363i,0.00081914-0.0037209i,-0.00011807+2.8384e-05i,-0.0015038+0.00070409i,0.00031155-0.00062273i,-0.0014761+0.001676i,-0.00016454-0.00026413i,0.0028006+0.00099062i,0.0022493-9.3557e-05i,-0.00036529-0.00045071i,-0.00028108+0.00081594i,0.0014822+0.0023111i,-0.0035043-0.0085377i,7.7263e-05+0.002857i,7.8254e-05+0.0014385i,5.4976e-05-0.00040372i,0.001712-0.00059759i,-0.00087408-0.00047124i,-0.0017163-0.0023256i,-0.0010924+0.0031776i,-0.00068658-0.0031857i,-3.0837e-05+0.024871i,-0.035363-0.012947i,-0.021269+0.019965i,-0.033869-0.031471i,-0.068127-0.0061254i,-0.018303-0.0084134i,-0.0088022+0.034177i,-0.0090534+0.0061253i,-0.028172-0.0075939i,-0.028895-0.0056746i,-0.028964+0.025249i,-0.0025965+0.003389i,0.012583+0.024051i,0.012957-0.0031664i,-0.0045126+0.0017087i,-0.020121+0.015593i,0.0019014+0.0082739i,0.0035887+0.0077714i,0.0029471-0.0047817i,0.0082499+0.0046659i,-0.00068414+0.0064897i,0.00021794+0.0038827i,0.0013106-0.007184i,0.0019635+0.0017835i,0.0028028+0.00084687i,-0.0025577+0.0048156i,-0.0024947-0.0021644i,0.0057705-0.0028968i,0.0072183+0.010126i,0.0006381-2.484e-08i,-0.014668-0.021743i,0.0099001-0.0082481i,0.0022555-0.0052831i,0.0053933+0.00048384i,-4.2469e-05-0.00096992i,0.0068956-0.012911i,0.0072843+0.00069571i,-0.0043814+0.0035885i,0.002574+0.0039015i,0.0081051-0.0033592i,0.0020533-0.0092536i,-0.00053725-0.0020326i,0.0046912-0.0058836i,0.0007245-0.0015347i,0.003356-0.0094102i,-0.038205+0.019284i,-0.027441-0.00295i,-0.0069275-0.013027i,-0.0030984-0.00031434i,-0.0066589+0.025772i,-0.0096928+0.0059536i,-0.0013128+0.0088392i
-0.0058271+0.045314i,-0.003169+0.019661i,-0.0054937+0.025142i,-0.0078413+0.023574i,0.006852+0.0088881i,0.0040215+0.0024528i,-0.0025715+0.03351i,0.015961+0.01319i,0.010887+0.003607i,-0.0024742+0.0039454i,0.0039695-0.0026479i,0.0020879+0.0015899i,0.00017038-0.0033463i,0.0052079+0.0025553i,0.0022143+0.00064378i,0.0030865+0.0060647i,0.007719+0.0079734i,0.00014392+0.00095736i,-0.00083569-0.0056603i,-0.001867-0.001564i,-0.0030141-0.0022501i,-0.00033523-0.0036899i,-0.0017093-0.0020942i,-0.0085234+0.0066523i,-0.00077816-0.00061736i,-0.00073341-0.00015855i,-0.0013412+0.00098464i,-0.00021545-0.0015721i,-0.00062891+0.0010132i,-0.00010467-0.00043967i,0.0025293-0.00028875i,0.0021176-0.0011167i,-0.00053631-0.00013088i,-0.00014254+0.00075015i,0.001654+0.0019162i,-0.0063726-0.0086946i,0.00062704+0.0023742i,-0.00178+0.002128i,-0.00073999+0.0007209i,0.00146-0.0002329i,-0.00071099-0.00016357i,-0.0025456-0.0014372i,5.4412e-05+0.0030115i,-0.0017366-0.0014618i,0.0040852+0.024844i,-0.029827-0.0050426i,-0.01733+0.018378i,-0.039537-0.020675i,-0.063835+0.012856i,-0.022032-0.011561i,-0.0012841+0.027021i,-0.0064608+0.0016988i,-0.026719-0.0049162i,-0.028811-0.0031223i,-0.020834+0.029023i,-0.00288+0.0037523i,0.018788+0.010611i,0.010284-0.0075709i,-0.0054207+0.0057425i,-0.012543+0.023172i,0.0045139+0.0068257i,0.0065754+0.0044189i,0.00023327-0.001681i,0.010023+0.00087612i,0.0016796+0.0077769i,0.0016245+0.0049751i,-0.0038041-0.0089765i,0.0010968+0.0045653i,0.003119+0.0023843i,0.0010236+0.0077195i,-0.0017083-0.0005636i,0.0042423-0.003732i,0.009419+0.0037455i,0.0010896-0.00083138i,-0.022383-0.018775i,0.0056979-0.0098689i,-9.5095e-05-0.0054896i,0.0062711-0.00068431i,1.1618e-05+0.00042454i,0.0046366-0.012455i,0.0073431-0.0025467i,-0.0015669+0.0048703i,0.0037765+0.0016912i,0.0062765-0.0050635i,-0.0033375-0.0087437i,-0.00086062-0.002227i,0.0017553-0.0049179i,0.00015562-0.0024532i,-0.0014757-0.0091038i,-0.032581+0.021916i,-0.02496+0.010546i,-0.01086-0.013411i,-0.0049521-0.0013507i,-0.0036403+0.024956i,-0.0086075+0.010546i,0.0019641+0.0073302i
0.0011294+0.045232i,-0.00053354+0.020173i,-0.0038426+0.027432i,-0.004521+0.022458i,0.0059252+0.0072162i,0.0041006+0.0014002i,0.0042072+0.030528i,0.016511+0.009413i,0.011165+0.0016732i,-0.0016132+0.0039815i,0.0028146-0.0020651i,0.0042261+0.001831i,-0.00093458-0.0027802i,0.0057745-2.339e-05i,0.0020019+0.00023797i,0.0056171+0.0053788i,0.010122+0.0040678i,0.00036376+0.0010032i,-0.0022714-0.0049906i,-0.0022746-0.00062025i,-0.0026526-0.0010385i,-0.0013632-0.0036236i,-0.0021393-0.0015034i,-0.0076383+0.0073688i,-0.0010208-7.6443e-05i,-0.0012019+0.00031399i,-0.001169+0.0012502i,-0.0016246-0.0019018i,-0.00064819+0.00071439i,-0.00039268-0.00064639i,0.0021358-0.0009911i,0.0012408-0.0026894i,-0.00016522-8.4612e-05i,3.8696e-05+0.00065607i,0.0021574+0.00084221i,-0.010167-0.0073652i,0.0011683+0.0020793i,-0.00094001+0.0015927i,-0.00084872+0.0016913i,0.0017452+2.841e-05i,-0.00055437+4.0527e-05i,-0.0018683-0.0001863i,0.00095617+0.0023919i,-0.0017572-0.00050903i,0.0089016+0.023255i,-0.025794-0.0037202i,-0.014547+0.017541i,-0.039614-0.010656i,-0.053049+0.027421i,-0.02602-0.0092772i,0.002382+0.020614i,-0.0064163-0.0025786i,-0.025267-0.003322i,-0.02813+0.00086435i,-0.013538+0.032034i,-0.0016772+0.003871i,0.01314-0.0014224i,0.0057575-0.01113i,-0.0037573+0.0089753i,-0.0034376+0.0246i,0.0052896+0.0039845i,0.0062444+0.00068952i,0.001224-6.7693e-06i,0.0092394-0.002238i,0.0062724+0.0069694i,0.0034344+0.0060763i,-0.0081978-0.0035389i,0.0031603+0.0065433i,0.0045781+0.0027461i,0.0054462+0.0060505i,-0.0011881-7.6423e-05i,0.0034145-0.0045247i,0.0081992-0.0029366i,-0.00066389-0.0011536i,-0.029663-0.01026i,0.0021382-0.010139i,-0.0020419-0.0040498i,0.0057166-0.0010033i,0.0006429+0.00061187i,0.0030551-0.014568i,0.0056106-0.0051771i,0.00065817+0.0040252i,0.003612+0.00057285i,0.004968-0.0058052i,-0.0063828-0.0050623i,-0.0022766-0.0021209i,-0.0013976-0.0048864i,-0.001725-0.0030139i,-0.0045067-0.0069894i,-0.02596+0.02431i,-0.018573+0.011371i,-0.011976-0.012439i,-0.0065336-0.001053i,0.00066435+0.023738i,-0.0068024+0.012241i,0.0022231+0.0047046i
0.0078546+0.044184i,0.0027848+0.020515i,7.8784e-05+0.030037i,-0.0017123+0.021911i,0.0050161+0.0068482i,0.0037166+0.00054827i,0.0096192+0.026308i,0.016658+0.0063712i,0.011581-0.00086001i,-0.00061085+0.0044335i,0.0028222-0.0014693i,0.0062019-0.00026046i,-0.0017361-0.001868i,0.0040027-0.0014871i,0.0019504+0.00010252i,0.0075608+0.0033667i,0.010083+0.00043408i,0.00084685+0.00063037i,-0.0033651-0.0041537i,-0.001968+0.00041224i,-0.0019487-0.00031162i,-0.0022002-0.0026715i,-0.0024422-0.00083543i,-0.0053731+0.0097652i,-0.0012437+0.00050463i,-0.0010067+0.00094956i,-0.00087642+0.0017154i,-0.0030169-0.0010264i,-0.00059209+0.00068953i,-0.0007384-0.00055133i,0.0014251-0.0018784i,0.00066643-0.0029661i,-0.0002786-0.00022033i,8.4423e-05+0.00052109i,0.0017966-5.9655e-05i,-0.013156-0.0038206i,0.0015337+0.0015745i,-0.00041878+0.0017628i,-0.0010911+0.0019061i,0.0018413+0.001937i,-5.9498e-05+0.00020527i,-0.0011732+0.00017625i,0.0013045+0.0015653i,-0.0016829+0.00030111i,0.012701+0.019786i,-0.025841-0.0030592i,-0.012585+0.016278i,-0.039129-0.0022397i,-0.039705+0.034659i,-0.029709-0.0060561i,0.0059194+0.014708i,-0.0072389-0.0046246i,-0.024284-0.0021987i,-0.026349+0.0055425i,-0.0047759+0.033791i,-0.00058714+0.0035628i,0.0063071-0.0030504i,0.00049771-0.012439i,0.00015753+0.012046i,0.0042731+0.021499i,0.0045391+0.0017675i,0.004775-0.0025977i,0.00092583+0.00031827i,0.0072634-0.0055211i,0.0094843+0.0035129i,0.0060481+0.0057808i,-0.0079698+0.0005927i,0.0059078+0.0072615i,0.0062904+0.0024368i,0.00957+0.0031936i,-0.00074926+0.00065372i,0.0028733-0.0052017i,0.005292-0.0073301i,-0.00084078+0.0010047i,-0.032209+0.0020889i,-0.00059122-0.0096218i,-0.0028392-0.0021772i,0.0061247-0.0025686i,0.00087465+0.00032329i,-0.0013598-0.016696i,0.003084-0.0062195i,0.0024387+0.0034088i,0.0037246-0.0005997i,0.0045078-0.0066336i,-0.0081898-0.0025917i,-0.0036534-0.00051908i,-0.002974-0.0023915i,-0.0029353-0.0024698i,-0.0057752-0.0045101i,-0.020556+0.02429i,-0.017084+0.011772i,-0.013025-0.012988i,-0.0078015+0.00046301i,0.002688+0.023087i,-0.0056075+0.012882i,0.0024076+0.0034664i
0.014948+0.042163i,0.0069788+0.019767i,0.0065445+0.031024i,0.00106+0.021266i,0.0053379+0.0074193i,0.0034894+0.00018087i,0.013283+0.020922i,0.016868+0.0033082i,0.011131-0.0036511i,0.0006487+0.0042523i,0.0029678-0.0019813i,0.0057002-0.0035014i,-0.0019845-0.00084107i,0.0030997-0.0016957i,0.0019673-0.00010408i,0.0080289+0.00043203i,0.0087324-0.0023426i,0.00061692+0.00013385i,-0.0045825-0.0028271i,-0.0011396+0.00091144i,-0.0010913-0.00041121i,-0.0022947-0.0019591i,-0.0024093-4.3278e-05i,-0.0015084+0.010256i,-0.0010343+0.0010226i,-0.00054681+0.0012256i,6.3295e-05+0.0019808i,-0.0034823+0.00067234i,-0.00051676+0.00051556i,-0.0009539-0.00037296i,0.00033574-0.0022431i,-0.00076534-0.0028296i,-0.00052563-0.0001047i,5.057e-05+0.00041783i,0.0011791-0.00055307i,-0.014115+0.00081i,0.0016746+0.0010033i,0.00032015+0.0016925i,-0.00099039+0.002429i,0.0002348-0.00047166i,0.00056983+7.8035e-05i,-0.00044955+0.00032243i,0.001067+0.0010777i,-0.001467+0.00098196i,0.014996+0.01679i,-0.028156+0.00072913i,-0.011163+0.015448i,-0.034044+0.0061755i,-0.027338+0.038875i,-0.032532+0.00089454i,0.007421+0.0074878i,-0.005646-0.0070878i,-0.023355-0.00023246i,-0.022729+0.010514i,0.0045605+0.033655i,-0.0001274+0.0024878i,0.0026007-0.0031844i,-0.0051868-0.011964i,0.0064788+0.011474i,0.0080528+0.016934i,0.0024965+0.00056654i,0.0024853-0.0050654i,0.0020343+0.0027835i,0.0034418-0.0074299i,0.010467-0.0021411i,0.0084804+0.0037876i,-0.0072738+0.0043282i,0.010265+0.0063713i,0.0085698-5.4147e-05i,0.011096-0.0014199i,0.00011014+0.0012492i,0.001492-0.0057554i,0.00011051-0.0090976i,0.0010964+0.0024057i,-0.029293+0.01449i,-0.0026931-0.0087559i,-0.0025246-0.00033701i,0.0048427-0.0065479i,0.0012427+0.00078286i,-0.0080238-0.016008i,0.00025624-0.0062393i,0.0037804+0.0018478i,0.0035246-0.00097958i,0.0027397-0.0081192i,-0.0087914+0.0024118i,-0.0032149+0.001809i,-0.0041202-0.001613i,-0.0043211-0.0022597i,-0.0057923-0.0024822i,-0.017715+0.024741i,-0.0163+0.016768i,-0.015615-0.015376i,-0.0062261+0.0021001i,0.0069055+0.022679i,-0.0052162+0.014751i,0.0033215+0.00096867i
0.021701+0.038555i,0.010783+0.017786i,0.013219+0.028733i,0.0040022+0.020118i,0.0066288+0.0075701i,0.003778-5.0063e-05i,0.014976+0.015671i,0.016606+0.0003401i,0.0099208-0.0061277i,0.0014208+0.0039622i,0.0024959-0.0024779i,0.0032932-0.005133i,-0.0019774+6.2109e-05i,0.0020907-0.0018319i,0.0018988-0.00035636i,0.0067243-0.0018487i,0.0072552-0.004185i,0.00038034+7.8622e-05i,-0.0050132-0.0012286i,-0.00044683+0.00086267i,-0.00047367-0.00070289i,-0.0024181-0.0015583i,-0.002065+0.00055413i,0.0016927+0.0098689i,-0.00070203+0.0011562i,-0.00022494+0.0014367i,0.00077989+0.0014937i,-0.0026037+0.0020837i,-0.00060386+0.00040481i,-0.0012752-3.0802e-05i,-0.00065937-0.0020739i,-0.0020837-0.0017636i,-0.00040487+0.00012786i,0.00016886+0.00036833i,0.00057146-0.00081387i,-0.012897+0.0052681i,0.0016883+0.00037777i,0.00070882+0.0012905i,0.00016985+0.0032076i,0.00060183-0.0011402i,-0.00061512-0.00030984i,0.00051557-0.00053529i,0.00086782+0.0010713i,-0.00093665+0.0016258i,0.016932+0.01429i,-0.027576+0.0079132i,-0.010936+0.015003i,-0.027561+0.009786i,-0.014537+0.039677i,-0.031419+0.0090553i,0.0056592+0.00065464i,-0.0065574-0.012622i,-0.020313+0.0010701i,-0.016257+0.014928i,0.014002+0.027966i,-0.00026525+0.0026619i,-0.0013067-0.0022503i,-0.0098518-0.0086095i,0.01057+0.0069305i,0.011338+0.011362i,-0.00066217+0.0016102i,-0.00066839-0.0073721i,0.0054683+0.0015299i,-0.00040982-0.0068697i,0.0073641-0.0062343i,0.0097963+0.00030982i,-0.0057941+0.0071277i,0.013745+0.00087754i,0.0084291-0.0051079i,0.0093116-0.0062849i,0.0015382+0.0012034i,-0.00019474-0.0061237i,-0.0040289-0.0058331i,0.0031219+0.0012382i,-0.021173+0.026708i,-0.0050428-0.0072777i,-0.0013601+0.00091741i,0.00081022-0.007594i,0.002096+0.00060148i,-0.013719-0.011613i,-0.0011273-0.0044737i,0.0041556-0.00045403i,0.0030423-0.0017239i,-0.00012785-0.0083589i,-0.0051898+0.0065586i,-0.0018156+0.0033072i,-0.0048274+0.0017127i,-0.0061858-0.0011012i,-0.0055499-0.0016236i,-0.012905+0.028126i,-0.0076479+0.021175i,-0.021746-0.015374i,-0.0036046+0.00025534i,0.0098318+0.020416i,-0.0027763+0.017194i,0.0023162-0.0022191i
