-0.024411-0.0030276i,-0.024579+0.0016625i,-0.018311-0.0096021i,-0.032341-0.012071i,-0.029898+0.0039034i,-0.038305-0.00015419i,-0.061789-0.023367i,-0.03311-0.01707i,-0.032528-0.003197i,0.0060446+0.00371i,-0.0035349+0.0061837i,-0.0062156+0.015884i,0.0060622+0.0099934i,-0.00071242+0.0041164i,0.0055134+0.0038047i,0.0046103+0.023597i,0.02315+0.02101i,0.00073447-0.00071659i,0.00069722-0.0054779i,0.0060437-0.00098449i,0.0044819+0.00011027i,0.0024844+0.0014081i,0.00083084-0.00067669i,-0.029425-0.0010339i,-0.0052377-0.0055725i,-0.0010646+0.0028159i,0.0023358-0.002286i,-0.0012241-1.2596e-05i,-0.0014485+0.0010715i,-0.0022539-0.0031276i,-0.0045154-0.0011974i,-0.0074029-0.005023i,-0.0048498-0.0020858i,-0.00071036-2.9631e-05i,0.0014363-0.0038801i,0.0022357+0.018355i,0.00025163-0.0028576i,2.9721e-05-0.0027593i,0.0042327-0.0023603i,-0.0028448-0.0005247i,0.00067061+5.8895e-05i,0.0067152-0.0026805i,0.0042456-0.0023566i,-0.0003411+0.0022338i,-0.014073+0.015933i,-0.028278+0.060102i,-0.0018694-0.039023i,-0.014343-0.019078i,-0.037925-0.017482i,-0.027662-0.013896i,0.040602-0.0058332i,0.0083661-0.030829i,0.012441-0.039871i,-0.011181-0.03082i,0.024097-0.019752i,0.01438+0.0082063i,0.027687-0.033246i,-0.0025345-0.0045123i,0.0059273-0.008162i,-0.0021362-0.0071371i,0.0027071-0.034721i,-0.013451+0.029574i,0.0085053-0.011079i,-0.010274-0.0049153i,-0.0028868-0.0017471i,0.000575-0.014574i,-0.008403+0.0054514i,0.0033053+0.007042i,-0.0019492+0.029063i,0.0021586-0.00019731i,-0.0076266-0.0050305i,-0.0028792-0.0066005i,-0.01496-0.009869i,-0.0027442-0.0062557i,-0.033898+0.013484i,-0.0041626-0.0096065i,-0.012996-0.0024721i,-0.0084993-0.006761i,0.0015-0.0019289i,-0.013507+0.0017201i,-0.0011327-0.00020705i,0.0064041+0.0072113i,0.0046959-0.0055289i,-0.012742-0.013736i,0.008074+0.0089388i,-0.016752+0.0063404i,0.0057173+6.5048e-05i,-0.020578-0.0026525i,-0.018199-0.0038752i,-0.016586-0.03422i,0.019288-0.007741i,-0.03863-0.023912i,-0.008554+0.0023999i,0.017286+0.015712i,-0.022827+0.017246i,-0.0041366-0.0039718i
0.0041106+0.013183i,0.00856+0.017888i,0.004905+0.023289i,-0.0046329+0.023252i,0.001901+0.033259i,0.015003+0.021485i,-0.004598+0.031726i,-0.0082539+0.021446i,0.013937+0.010737i,0.00057565-0.0032507i,0.001099-0.0007298i,0.0045801-0.0030322i,0.0010956-0.0020434i,0.00074213-0.0046133i,-0.0014777-0.0020488i,0.0051537-0.0069528i,-0.002168-0.0047141i,-0.0011431+0.0026306i,0.00066744+0.00040526i,0.00067522+0.0018015i,-0.0031142-0.00020207i,-0.00076217-0.00027613i,0.0018531+0.00050866i,-0.0090999-0.0051371i,-0.00078289-0.00047258i,-0.0014209+0.00059857i,-0.0029028+0.00041251i,-0.0012109+0.00090972i,-0.0023793-0.00047761i,0.00032222-0.00081841i,-0.0032755+0.00066265i,0.00033668-0.0010836i,-0.00086741-0.0018809i,5.2458e-05-0.0010482i,-0.000545+0.0014956i,-0.0011538-0.0035211i,-0.0019661+0.0010346i,0.0021056-1.0413e-05i,-8.1684e-05+0.0025088i,0.0021148+0.0051886i,0.00024883+0.00092962i,-0.0013813+0.00074187i,-0.0015913-0.0013876i,0.0026414+0.0060743i,0.015151+0.0062539i,0.051167-0.066823i,-0.028512+0.0028942i,0.019266-0.026945i,-0.023653-0.03424i,-0.013947+0.0021087i,-0.038025+0.033069i,-0.023563+0.003861i,-0.018501+0.0075822i,-0.0034305-0.016028i,-0.040345-0.024902i,-0.0098339+0.0022029i,-0.029084+0.010802i,0.0026624+0.017406i,0.00028998+0.0055877i,-0.0058594-0.0043939i,-0.00041721+0.0023283i,-0.013529-0.0047973i,0.0056241+0.012833i,-0.0022307+0.0074973i,-0.0024753+0.0033096i,0.00069296+0.0057367i,0.0019636+0.0035694i,-0.0022696+0.020633i,0.0020799+0.01616i,0.0062097-0.0052281i,0.014178-0.0064722i,0.0085478+0.0033334i,-0.0041933-0.0068473i,2.7775e-05-0.0013999i,0.018886-0.03499i,0.0095195+0.0055226i,0.0083363-0.00032964i,0.0021329-0.00020644i,0.0055207-0.008383i,0.022631+0.00043009i,0.0056507-0.0033692i,0.0018348-0.0073176i,0.0045969-0.0026756i,0.016473+0.0037729i,0.0061298+0.0033278i,0.0034298-0.0043012i,0.0085474+0.0093285i,-0.0018911+0.0050581i,0.010228+0.010835i,-0.012347-0.014626i,-0.0098368-0.0016662i,-0.0081743-0.013879i,-0.0084389-0.0066064i,-0.038599+0.0061096i,-0.0059585+0.004212i,-0.011577+0.00036351i
0.0063859+0.012178i,0.010918+0.014806i,0.0094716+0.019116i,-0.00085749+0.021959i,0.0069455+0.030406i,0.018117+0.018365i,6.2704e-05+0.031689i,-0.0042437+0.02179i,0.01486+0.0049649i,-0.00043569-0.0033415i,0.0012006-0.00016573i,0.0035829-0.0046077i,0.00053263-0.0027604i,0.00045147-0.0040539i,-0.0020777-0.0014212i,0.001653-0.0065646i,-0.004606-0.0027829i,2.0997e-05+0.0029874i,0.0016288+0.00017617i,0.0016354+0.0011823i,-0.0023266+0.0013318i,-0.00024956+0.00049277i,0.0022529-0.00034682i,-0.0093091-0.0019523i,-0.0005695+2.451e-05i,-0.0011056+0.0011276i,-0.0021474+0.0017141i,-0.00052139+0.0010447i,-0.0024676+0.00022002i,0.00045176-0.00063955i,-0.0024348+0.0018655i,-0.00034266-0.00057726i,-0.0016353-0.0011076i,-0.00096824-0.0010801i,-0.0015671+0.00097932i,-0.00026337-0.002556i,-0.0011413+0.001738i,0.0015595-0.00086608i,0.0002772+0.0026844i,0.0036109+0.003364i,0.00068932+0.00093983i,-0.0013115+0.0011996i,-0.0021629-0.00092934i,0.0042775+0.0053048i,0.015969+0.00090605i,0.025868-0.078644i,-0.022323+0.012203i,0.0085207-0.035509i,-0.035064-0.026281i,-0.011125+0.005749i,-0.024875+0.040852i,-0.020931+0.011019i,-0.0078103+0.0024663i,-0.0056089-0.014523i,-0.047122-0.0086465i,-0.0093493+0.0030606i,-0.023717+0.022238i,0.0073225+0.012243i,0.0015037+0.0041762i,-0.011106-0.0058045i,-0.0031048+0.005665i,-0.014201+0.0030027i,0.010273+0.0099841i,-0.00070179+0.010888i,-0.00054531+0.0037088i,0.0028035+0.0070008i,0.0037506+0.0034946i,0.0064835+0.016256i,0.0080264+0.01071i,-0.00030459-0.00875i,0.0064938-0.0082921i,0.0082225+0.0011848i,-0.005515+0.00029157i,-0.00031176+0.00083907i,0.004234-0.03362i,0.011387+0.0024686i,0.0089983-0.0036997i,0.0040501-0.0013747i,0.00088594-0.00555i,0.021099-0.0091756i,0.0026832-0.0052283i,-0.0017741-0.0061448i,0.00082728-0.0024641i,0.014523-0.0026342i,0.0072535+0.0022648i,0.0025506-0.0030069i,0.010945+0.0057189i,-0.0003816+0.0056333i,0.011918+0.0056837i,-0.018191-0.012856i,-0.0048817-0.014877i,-0.0070957-0.012131i,-0.0091327-0.0044019i,-0.033102+0.018229i,-0.0033744+0.0053914i,-0.010082+0.0018356i
0.0093045+0.010516i,0.012909+0.011887i,0.011823+0.014408i,0.0019473+0.020382i,0.012698+0.027816i,0.02088+0.014532i,0.0051623+0.03109i,-0.00028142+0.021284i,0.013133+0.00066416i,-0.001622-0.0027922i,0.0020284-0.00010637i,0.0006025-0.0054664i,-0.00030958-0.0029502i,-0.0005243-0.0042353i,-0.0023461-0.00073462i,-0.0012361-0.0046165i,-0.0051378+2.4947e-05i,0.0014406+0.002727i,0.0020258-0.0012442i,0.0022529+0.00012295i,-0.00098392+0.0018277i,0.00073903+0.00033229i,0.0022405-0.0013293i,-0.0092157-4.2294e-05i,-0.00033525+0.00043076i,-0.00029279+0.0016925i,-0.00084908+0.0020703i,0.00018701+0.0010719i,-0.0020159+0.0012308i,0.00019865-0.00099063i,-0.0011255+0.0027116i,-0.00050147-0.00011831i,-0.0019649-0.00012499i,-0.0016851-0.0005063i,-0.0013263+0.0022541i,0.00081536-0.0031466i,-0.00037509+0.0017549i,0.00084039-0.0015446i,0.0024505+0.0021311i,0.0041239+0.0018248i,0.0011334+0.00066296i,-0.00018142+0.0019733i,-0.0026366-0.00037916i,0.005182+0.0032033i,0.014776-0.0036066i,-0.00088975-0.077408i,-0.010833+0.016212i,-0.0041443-0.037478i,-0.038158-0.016758i,-0.0052167+0.0072171i,-0.0086205+0.042288i,-0.0092544+0.014355i,-0.0075476-0.0036826i,-0.006895-0.013393i,-0.043654+0.0066812i,-0.008423+0.0049176i,-0.012111+0.028689i,0.0084415+0.0072662i,5.2731e-05+0.0014217i,-0.018614-0.0014178i,-0.0013372+0.0076388i,-0.0095908+0.0085661i,0.012795+0.0039251i,0.0039129+0.011956i,-0.0017867+0.0044076i,0.0049396+0.0051528i,0.0054237+0.001446i,0.009228+0.0095006i,0.008457+0.0047455i,-0.0066229-0.004445i,0.0037244-0.0068067i,0.0095189-7.799e-05i,-0.0021173+0.0070862i,0.0019466+0.0021901i,-0.0049244-0.027596i,0.012933-0.0027764i,0.0069253-0.0065849i,0.00295-0.0033931i,0.0010984-0.0038707i,0.01393-0.016345i,-0.00072666-0.0020056i,-0.0062114-0.0054574i,-2.2058e-05+0.00056341i,0.010722-0.0063992i,0.01044-0.0016045i,0.0032176-0.0039363i,0.013403+0.0007736i,0.0031523+0.0046682i,0.011774+0.001169i,-0.021489-0.0054596i,-0.01568-0.02242i,-0.0062679-0.014455i,-0.0078561-0.0036073i,-0.025662+0.026005i,-0.0029148-4.9658e-05i,-0.0082465-0.0015944i
0.011866+0.0071616i,0.014532+0.0085703i,0.012635+0.0099581i,0.0045953+0.019281i,0.017781+0.022492i,0.022933+0.009919i,0.010655+0.029376i,0.0034454+0.019931i,0.011123-0.0013879i,-0.0022344-0.001905i,0.0024544-0.0013529i,-0.0017776-0.0040934i,-0.0014093-0.002872i,-0.0020392-0.0033281i,-0.0025711-0.00011677i,-0.0020957-0.0016683i,-0.003761+0.0023346i,0.0024117+0.0017183i,0.0012031-0.0016716i,0.001978-0.0012499i,-0.00024863+0.0017213i,0.0013957-0.00035291i,0.0018074-0.0024278i,-0.0089293+0.0027041i,0.00030442+0.00028626i,0.0010573+0.0007988i,0.0001461+0.001678i,0.00077711+0.0005999i,-0.0011044+0.0020701i,-0.00015486-0.00065062i,6.2314e-05+0.0028022i,-0.00061158+0.00027358i,-0.00189+0.00080649i,-0.0018037+0.00056786i,-0.00023925+0.002433i,0.00057507-0.0051045i,0.00064751+0.0016762i,-1.5374e-05-0.0016543i,0.0028661+0.00044524i,0.0038818+0.00036611i,0.0016225+5.1287e-05i,0.00096047+0.0013947i,-0.0027698+0.00047312i,0.004089+0.00032626i,0.013049-0.0069209i,-0.021235-0.063573i,-0.001486+0.012662i,-0.014792-0.034227i,-0.041559-0.0067327i,0.00037067+0.0045861i,0.0046357+0.036833i,0.00016458+0.0081709i,-0.0078128-0.004308i,-0.007004-0.011168i,-0.037438+0.016471i,-0.0072041+0.0062634i,-0.0007766+0.028747i,0.0088581+0.002988i,-0.0033327+0.002171i,-0.020586+0.0094528i,-0.00024555+0.0094708i,-0.0056027+0.0086566i,0.011219-0.0025197i,0.0083057+0.010248i,-0.00064885+0.0074284i,0.004302+0.0042713i,0.0059189-0.0022418i,0.0082816+0.0035902i,0.0057478+0.0014846i,-0.005321+0.0005404i,0.0015708-0.0061495i,0.008847-0.0027888i,0.0062243+0.0073747i,0.0034921+0.00078363i,-0.01149-0.023241i,0.010397-0.0072262i,0.0038135-0.008846i,0.0020912-0.0021225i,0.00056933-0.0046278i,0.0058196-0.017619i,0.0023677-0.00015646i,-0.0059571+0.00047344i,0.0023581+0.0022283i,0.0075214-0.0072645i,0.0086678-0.0065845i,0.0011053-0.0042953i,0.010868-0.0065034i,0.0035209+0.0014646i,0.010715-0.0036206i,-0.017112+0.0023785i,-0.026807-0.019919i,-0.00993-0.018389i,-0.0073538-0.0046011i,-0.015882+0.026362i,-0.0083366-0.00085891i,-0.012023-0.0012932i
0.012695+0.0034865i,0.014826+0.0048963i,0.012075+0.006217i,0.0075493+0.017845i,0.020741+0.016669i,0.023626+0.0052143i,0.015867+0.026315i,0.006774+0.017789i,0.010005-0.0025947i,-0.0023895-0.0010455i,0.0015774-0.0022623i,-0.0026599-0.0021682i,-0.002309-0.0024043i,-0.0022459-0.0021632i,-0.0025709+0.00079016i,-0.0014229+0.0003318i,-0.0019768+0.0037181i,0.0025741+0.00057692i,0.00092658-0.0017182i,0.0010413-0.0021073i,0.00015959+0.0015099i,0.0012174-0.0011403i,0.00061271-0.0030872i,-0.0065077+0.0047273i,0.00033744-0.00033694i,0.00085535-0.00066256i,0.00084676+0.00098366i,0.00095102+6.261e-06i,6.0711e-05+0.0020903i,0.00034879-0.00041667i,0.00077053+0.0029956i,-0.00034602+0.00029337i,-0.0014144+0.0017133i,-0.0014945+0.0013663i,0.00033007+0.0021863i,-0.0009601-0.0066541i,0.001329+0.00095249i,-0.00063419-0.0011793i,0.0020012-0.00035259i,0.003226-0.00032346i,0.0015231-0.00080384i,0.0012507+0.00065057i,-0.0024328+0.0011678i,0.0019633+0.00064711i,0.011192-0.0093083i,-0.027555-0.045822i,0.0033317+0.0069642i,-0.023739-0.027648i,-0.042748+0.0036286i,0.0028858-0.0006482i,0.014058+0.027511i,0.0039282+0.0013286i,-0.0067878-0.00516i,-0.005725-0.011397i,-0.032087+0.024543i,-0.0050332+0.0069759i,0.011107+0.02458i,0.007732-7.5218e-05i,-0.0047602+0.0056776i,-0.016231+0.017248i,0.0030825+0.010249i,-0.0015459+0.011643i,0.0051813-0.0046835i,0.011371+0.0068591i,0.0027947+0.0086718i,0.0046933+0.0042412i,0.004813-0.0052035i,0.0048793+0.0025773i,0.0034565+0.001968i,-0.0040025+0.0023595i,0.00028098-0.0046296i,0.00762-0.0052196i,0.0092803+0.0019705i,0.0036796-0.0013981i,-0.013884-0.020516i,0.0064554-0.0097521i,0.00032264-0.0095785i,0.003715-0.00196i,-0.0010659-0.0041658i,0.00052176-0.016281i,0.0036571-0.0023366i,-0.0031002+0.0034751i,0.0051041+0.00083757i,0.0057463-0.008117i,0.0046682-0.010313i,0.00090848-0.0037041i,0.0047488-0.0097898i,0.0020496-4.2073e-05i,0.0061488-0.0079782i,-0.011462+0.0037187i,-0.037536-0.011149i,-0.016116-0.018047i,-0.007868-0.0064487i,-0.0099583+0.025942i,-0.012255+0.0026702i,-0.011579+0.0029401i
0.012704+0.00019273i,0.014135+0.0019362i,0.010871+0.003792i,0.010382+0.015585i,0.02152+0.010741i,0.023889+0.00085404i,0.020412+0.02186i,0.0091145+0.015261i,0.009364-0.0041364i,-0.0023863-0.00053851i,0.00027453-0.0024878i,-0.0027145-0.00056827i,-0.0032881-0.0016781i,-0.0021973-0.0016853i,-0.0024118+0.0014816i,-0.00025769+0.0014617i,0.00022087+0.0039634i,0.0024603-0.00036126i,0.00024401-0.0019971i,-9.2365e-05-0.0024272i,0.00083016+0.001304i,0.00080664-0.0017718i,-0.00048412-0.0029494i,-0.0049794+0.004754i,7.7971e-05-0.00050162i,-0.00014387-0.001275i,0.00093404+6.7777e-05i,0.00091572-0.00067731i,0.0010996+0.0015399i,0.00054408-0.0010129i,0.0026261+0.002286i,-0.00025047+0.00015253i,-0.00047026+0.002241i,-0.00085686+0.00175i,0.00076562+0.002092i,-0.0034431-0.007395i,0.0014667-3.7401e-05i,-0.00082432-0.00076857i,0.00133-0.00077082i,0.002738-0.00071468i,0.0010338-0.0010878i,0.0012489+0.000267i,-0.001794+0.001299i,0.0015823+0.0017998i,0.0091164-0.010637i,-0.026883-0.036734i,0.0049021+0.0021574i,-0.02822-0.01698i,-0.038623+0.017433i,-0.00031588-0.0055233i,0.018898+0.018369i,0.0054331-0.0048995i,-0.0057476-0.0057401i,-0.0075865-0.011434i,-0.023844+0.031537i,-0.0046961+0.0075167i,0.017491+0.012033i,0.006399-0.0026934i,-0.0031663+0.009183i,-0.0085201+0.022484i,0.0065189+0.0080858i,0.004407+0.0089611i,0.0023323-0.0029766i,0.013932+0.0019447i,0.0059269+0.0083331i,0.0057929+0.003348i,-0.00011595-0.0083049i,0.0041414+0.0044756i,0.0041521+0.0031691i,-0.0020618+0.005132i,0.00068209-0.0038841i,0.0058081-0.006411i,0.0096941-0.0029031i,0.0031786-0.0034836i,-0.020722-0.018196i,0.0026625-0.01055i,-0.0038685-0.0083832i,0.0029495-0.0038998i,-0.0019622-0.002242i,-0.0021595-0.013328i,0.0025951-0.0044007i,0.00025455+0.0037144i,0.0055502-0.0028107i,0.0030865-0.009319i,-0.0014274-0.011255i,0.00023581-0.0048424i,0.00014821-0.0084188i,0.0014257-0.0009577i,8.4005e-05-0.0077357i,-0.0085217+0.0036778i,-0.035963+0.0071672i,-0.021634-0.015706i,-0.0097909-0.0066884i,-0.006116+0.025253i,-0.011594+0.0086761i,-0.007204+0.0042416i
0.011817-0.0029509i,0.013386-0.00021535i,0.0097218+0.0022664i,0.012443+0.012669i,0.020821+0.0062169i,0.023555-0.0038292i,0.023714+0.016563i,0.01082+0.01278i,0.0086054-0.0053642i,-0.0025003+7.0203e-05i,-0.00087932-0.0019141i,-0.0018227+0.00065067i,-0.0038847-0.00045875i,-0.0025939-0.0016829i,-0.0020019+0.0020484i,0.0008611+0.0017866i,0.0020838+0.0031367i,0.0020554-0.00098095i,-0.00022375-0.0017357i,-0.0011008-0.0019305i,0.0012925+0.00080378i,8.4325e-05-0.002191i,-0.0012928-0.0024318i,-0.0040605+0.0059143i,-9.4358e-05-0.00082381i,-0.0011919-0.0010568i,0.00063761-0.00056332i,0.00038854-0.0013814i,0.0015398+0.00036514i,-9.3162e-05-0.0017603i,0.0026225+0.0013001i,-0.00014033+0.00041845i,0.00071562+0.0020122i,-7.5071e-05+0.0018689i,0.0013346+0.0013076i,-0.0065749-0.0069539i,0.0012524-0.00081032i,-0.0010257-0.00060426i,0.0010723-0.0012489i,0.002315-0.00102i,0.0006964-0.0011706i,0.001393-0.00016458i,-0.0014792+0.0011755i,0.0020391+0.0020966i,0.0079353-0.012266i,-0.026798-0.035159i,0.0056743-0.0013469i,-0.026134-0.00799i,-0.027514+0.028428i,-0.0029507-0.0057982i,0.021549+0.010996i,0.0039232-0.010652i,-0.0049267-0.0073773i,-0.0078664-0.0092726i,-0.014789+0.034973i,-0.0024212+0.0079905i,0.012837+0.0012127i,0.0036461-0.0050681i,-3.9507e-06+0.010668i,-0.00045875+0.021998i,0.0072535+0.0051691i,0.0063865+0.0037671i,0.0022351-0.002183i,0.013965-0.0030954i,0.010567+0.0059163i,0.0069439+0.0030831i,-0.0045313-0.0042197i,0.0060807+0.0052242i,0.0055889+0.0032184i,0.0012057+0.0058517i,-0.00017612-0.0044758i,0.003935-0.0079286i,0.0075838-0.0092142i,0.00019262-0.0044708i,-0.027092-0.010752i,-0.00068159-0.010171i,-0.0063016-0.0048591i,0.0023228-0.0031074i,-0.0017662-0.0015419i,-0.0041041-0.013313i,0.00022675-0.005799i,0.0018541+0.0016485i,0.0032465-0.004806i,0.00085461-0.0087362i,-0.0057099-0.0076913i,-0.0023669-0.0051835i,-0.003069-0.0069718i,9.0228e-05-0.0013444i,-0.0026512-0.0043186i,-0.0049791+0.0037038i,-0.028087+0.0096892i,-0.022685-0.011195i,-0.011346-0.0065005i,-0.00054445+0.023851i,-0.0095595+0.010825i,-0.0057152+0.0028545i
0.010322-0.0054721i,0.012845-0.0018643i,0.0090028+0.0015914i,0.013833+0.0097593i,0.019573+0.0027813i,0.022002-0.0083756i,0.025871+0.011014i,0.012081+0.010435i,0.0078503-0.0069161i,-0.0023534+0.00074i,-0.0012399-0.00089703i,-0.00077542+0.00071113i,-0.0040595+0.0010524i,-0.0035411-0.00083529i,-0.0013398+0.0026701i,0.0019462+0.0012285i,0.0029385+0.0017869i,0.0016791-0.0013952i,-0.00053947-0.001559i,-0.0014439-0.0010302i,0.0014598+0.00011769i,-0.0006823-0.001878i,-0.0018613-0.0017656i,-0.0018082+0.0068678i,-0.00069195-0.0010125i,-0.0016905-0.00036233i,-1.0948e-05-0.0010563i,-0.0006034-0.0017042i,0.0013078-0.00069839i,-0.0010044-0.0018768i,0.0023119+0.00033485i,0.00017871+0.00023293i,0.0013115+0.0012425i,0.00053049+0.0015233i,0.0012258+0.00064103i,-0.0091061-0.0048907i,0.000592-0.0015125i,-0.0013271-0.00027339i,0.00027372-0.0020359i,0.002132-0.0010525i,0.00045529-0.0012156i,0.0012736-0.00064966i,-0.0015042+0.0010023i,0.0026555+0.0022021i,0.0061349-0.014469i,-0.031552-0.03433i,0.004587-0.0056887i,-0.02413-0.0018879i,-0.014319+0.031186i,-0.0063149-0.0057509i,0.022772+0.0029394i,0.0016905-0.013909i,-0.0058473-0.0084561i,-0.0064657-0.0063397i,-0.0046126+0.036774i,6.2843e-05+0.0074357i,0.0075684-0.00012295i,0.0006176-0.0056887i,0.0044566+0.01122i,0.0060237+0.018746i,0.0067268+0.0022785i,0.0061821-7.0219e-05i,0.00088893-0.0021366i,0.011013-0.0088507i,0.013083+0.0011523i,0.0086033+0.0016874i,-0.0050475-0.001259i,0.0083599+0.0048724i,0.0073852+0.0028781i,0.0051182+0.004495i,-0.0011861-0.0040116i,0.0021095-0.0090634i,0.0025758-0.011831i,-0.001413-0.002481i,-0.030202-0.0004532i,-0.0032884-0.0091661i,-0.0067784-0.0010613i,0.0019271-0.0030687i,-0.0021886-0.0012261i,-0.0075812-0.013056i,-0.0022943-0.0053198i,0.0030081+0.00071852i,0.0009731-0.0056538i,-0.00041752-0.0085457i,-0.0081024-0.0042742i,-0.0049173-0.0031981i,-0.0055713-0.0050755i,-0.0002569-0.0012192i,-0.0027144-0.0022153i,-0.0023556+0.002681i,-0.026538+0.011856i,-0.022453-0.00888i,-0.013123-0.0054434i,0.0015677+0.022426i,-0.008488+0.011722i,-0.004706+0.0022916i
0.0086254-0.0072548i,0.01247-0.0037836i,0.0090556+0.00092107i,0.014621+0.006787i,0.018942+0.00039865i,0.019567-0.012189i,0.026693+0.0048048i,0.01311+0.0078461i,0.0065971-0.008488i,-0.0020911+0.0012164i,-0.0011342-0.00043041i,-0.00055533+0.00013795i,-0.003478+0.0025755i,-0.0036604+0.00040059i,-0.00039803+0.0029517i,0.0021399+0.00016665i,0.0029716+0.00042339i,0.0010226-0.0018215i,-0.0010245-0.0012021i,-0.0011481-0.00037378i,0.0015003-0.00052875i,-0.00096897-0.0014375i,-0.0019872-0.00095667i,0.00080909+0.0065795i,-0.0013683-0.00082442i,-0.0019804+0.00038867i,-0.00096812-0.0010521i,-0.0015897-0.0014295i,0.00060511-0.0016705i,-0.0019263-0.0015079i,0.0030882-0.00070182i,-2.5395e-05+9.169e-05i,0.0013411+0.0005423i,0.00088942+0.0012105i,0.00098549+0.00035314i,-0.010484-0.0015745i,-0.00048806-0.0017574i,-0.0013517+0.00026523i,-0.00094055-0.0021939i,0.0020271-0.0012688i,0.00016558-0.0011699i,0.00099924-0.0010171i,-0.0016194+0.0011525i,0.0034698+0.0020277i,0.0029433-0.015774i,-0.03818-0.025844i,0.0025224-0.0086618i,-0.018595+0.0039928i,-0.0030457+0.030954i,-0.0084098-0.0015731i,0.022149-0.0056211i,0.0015385-0.01769i,-0.0058444-0.0079636i,-0.0031109-0.0029549i,0.0044842+0.034906i,0.0014245+0.0058761i,0.0049289-0.0010836i,-0.0028003-0.0054802i,0.0097632+0.0086508i,0.0083156+0.014219i,0.0044445+0.00051088i,0.0044012-0.0042525i,0.0006986+0.00066774i,0.0051249-0.01192i,0.013046-0.0056941i,0.0094637-0.0011152i,-0.0052009+0.0019427i,0.011619+0.0029741i,0.0099501+0.00044848i,0.0068406+0.00030812i,-0.0016037-0.0034098i,-0.0007255-0.0094026i,-0.0027854-0.012217i,-0.00088255-0.00059441i,-0.028729+0.010364i,-0.0055937-0.0081171i,-0.005109+0.0019622i,0.0022313-0.0057909i,-0.0023841+0.00016767i,-0.01204-0.010545i,-0.0046737-0.0033225i,0.0031644-0.0018174i,-0.0010478-0.0051477i,-0.0022929-0.0083774i,-0.00827+0.0010844i,-0.0052171+0.0001439i,-0.0090594-0.00010805i,-0.0012112-0.0023899i,-0.0020966-0.0015875i,-0.00049365+0.0016303i,-0.025722+0.019265i,-0.023288-0.0092787i,-0.012926-0.0036467i,0.0057126+0.021744i,-0.0077542+0.014065i,-0.0028398+0.00034401i
0.0070071-0.0084912i,0.011729-0.0057422i,0.0093341-0.00044499i,0.014785+0.0037917i,0.018543-0.0020645i,0.016794-0.015202i,0.025668-0.001006i,0.013553+0.0052781i,0.0052295-0.009737i,-0.0018983+0.0016846i,-0.0012413-8.6882e-05i,-0.0010407-3.0775e-05i,-0.0025126+0.0035087i,-0.0033641+0.0016362i,0.00040893+0.0028439i,0.0012856-0.00045257i,0.002471-0.00065694i,0.00045341-0.0018029i,-0.00098455-0.00062575i,-0.00070925-0.00012242i,0.0015244-0.0012226i,-0.0010148-0.0011552i,-0.0017299-0.00039662i,0.0027797+0.0056663i,-0.0017997-0.00047583i,-0.0019052+0.0013214i,-0.0017679-0.00048914i,-0.002216-0.00058243i,-0.00062278-0.0021633i,-0.00284-0.00069393i,0.0013969-0.0013259i,-0.00014281+0.0003233i,0.0012525+5.2223e-05i,0.0012908+0.0007117i,0.00070446+0.00027375i,-0.010736+0.0017193i,-0.0014944-0.0014436i,-0.0011734+0.00059217i,-0.0020844-0.0015215i,0.0019657-0.0017308i,6.0381e-05-0.00099359i,0.00074324-0.001412i,-0.0017176+0.0015327i,0.0042032+0.0013845i,0.00017647-0.015457i,-0.037832-0.013827i,-0.0014327-0.010116i,-0.012281+0.0048772i,0.00814+0.028481i,-0.0066433+0.0032568i,0.017868-0.012986i,-0.0015167-0.023756i,-0.0045702-0.0088733i,0.0014824-0.0029771i,0.01426+0.029774i,0.0015534+0.0046312i,0.0018675-0.0012593i,-0.0052687-0.0033274i,0.012406+0.0028103i,0.010765+0.012173i,0.0013519+0.0014343i,0.00028877-0.0076598i,0.0038517+0.00068462i,-0.00077919-0.010975i,0.0085819-0.010282i,0.0089043-0.0041222i,-0.0046093+0.0043652i,0.013189-0.0024605i,0.0096576-0.0051503i,0.0056934-0.0043117i,-0.0021145-0.0030887i,-0.0035434-0.0086552i,-0.0083683-0.0082335i,0.00026108-0.00079688i,-0.022977+0.022153i,-0.0079555-0.0063666i,-0.0024107+0.0036175i,-0.0016385-0.0069276i,-0.0013431+0.00097223i,-0.015406-0.0055239i,-0.0040781+0.0001323i,0.0011659-0.0037349i,-0.0029707-0.004216i,-0.0045796-0.0067524i,-0.0058666+0.0039599i,-0.0033579+0.0023259i,-0.007623+0.0032602i,-0.0038796-0.0019131i,-0.0026339-0.001615i,0.0032773+0.00084916i,-0.0148+0.02611i,-0.027391-0.0076293i,-0.01221-0.0028509i,0.0083756+0.019392i,-0.0051341+0.016497i,-0.0035237-0.0033675i
