-0.021686-0.037472i,-0.010476-0.050494i,-0.017574-0.045779i,-0.030732-0.036226i,-0.029841-0.017384i,-0.050665-0.028831i,-0.060019-0.025922i,-0.045081-0.039248i,-0.028434-0.035291i,0.0074961+0.012182i,-0.0065509+0.016193i,-0.0051201+0.014888i,0.010106+0.022763i,6.5768e-06+0.0048377i,0.0035817+0.0032599i,0.0069062+0.018535i,0.025703+0.038711i,-0.0026238-0.0017974i,-0.0052542-0.0056976i,0.0062721+0.0011797i,-6.6153e-05-0.00092996i,-0.0011392+0.0011039i,0.00017282-0.00040298i,-0.029727-0.0021671i,-0.0024809-0.0063958i,0.0013363+0.0041792i,0.0038952-0.00018835i,-0.0007141+0.00051996i,0.00048019-0.0005471i,-0.00085842-0.0028018i,-0.0015734-0.0060698i,-0.0048762-0.0044116i,-0.0024128-0.0049632i,0.0024081-0.0004839i,0.0024326-0.0028164i,0.0022023+0.027511i,0.0014319-0.0031735i,0.0025262+0.001059i,0.0052986+0.00091628i,-0.011225-0.0029606i,-0.0033504+0.00066599i,0.0058688+0.00026615i,0.0064352+0.00053179i,-0.0028428+0.004718i,0.0022399-0.0090956i,-0.011941+0.018028i,0.035929-0.091362i,0.012633-0.071346i,-0.01566-0.059523i,-0.016668-0.05626i,0.037675-0.048082i,0.016732-0.062885i,0.035149-0.055835i,0.031569-0.059913i,0.014816-0.014149i,0.0035125+0.016424i,0.016166-0.026973i,-0.011915+0.00784i,-0.00087303+0.0064461i,-0.0050385-0.00070931i,-0.0024151-0.028178i,-0.024456+0.031296i,0.01064-0.012285i,-0.012879-0.0031179i,-6.2446e-05-0.0048864i,-0.00099534-0.016175i,-0.0074252+0.0046375i,0.0053151+0.0061446i,-0.0075393+0.031272i,0.0056414+0.0070049i,-0.0042489-0.00043955i,-0.0032581-0.00054589i,-0.012148-0.0061389i,-0.00059396-0.0046272i,-0.026049-0.010236i,0.00063617-0.0096049i,-0.0093981-0.0015325i,-0.0066055-0.002543i,0.0070715+0.0030663i,-0.0091378+0.00059538i,0.00043286+0.00034506i,0.005499+0.0097974i,0.0039593+0.0012637i,-0.010478-0.0097495i,0.0031125+0.0081062i,-0.021985+0.0049949i,0.0086979-0.00015234i,-0.029494-0.0033856i,-0.044032+0.0026934i,0.022674-0.10423i,-0.0021861-0.012203i,-0.052401-0.022818i,-0.022932+0.0016824i,0.017743+0.0098577i,-0.025616+0.013699i,-0.020845-0.014761i
-0.032214+0.017555i,-0.052889+0.019727i,-0.033211+0.046674i,-0.031338+0.025062i,-0.029015+0.040095i,0.0050237+0.047458i,-0.0033569+0.024606i,-0.017206+0.039528i,-0.013401+0.021277i,-0.0037762-0.0051756i,-0.0040898-0.0030742i,-0.0015705-0.003591i,-0.0040713-0.001206i,-0.0066844-0.0046445i,-0.0021769+0.0042813i,-0.0033505-0.0015802i,-0.011147-0.0035361i,-0.0017398-0.00049026i,0.0028508-0.0009166i,0.0020093-0.00098118i,0.0026535-0.0035477i,0.0022614-0.0039249i,0.0014055-0.002616i,-0.0097297-0.0083513i,-0.0021712+0.00062701i,-0.0034047+0.00074244i,-0.0018231+7.0125e-06i,-0.0033253-0.0011428i,-0.00127-0.0016195i,0.001203-0.0017411i,-0.0025099+0.007075i,0.0016498-0.0001001i,0.0030099+0.0003692i,0.00081045+0.0015107i,-0.0012564+0.0036119i,-0.0010831-0.0066061i,-0.00064969+0.00023132i,0.00027683-0.00040096i,-0.00024163+0.0043683i,0.0075981+0.0044669i,0.0012016-0.0030874i,0.0038983-0.0050083i,-0.0027314+0.0010794i,-3.4363e-06+0.0029637i,-0.032975-0.0067549i,0.010001-0.078945i,-0.093907-0.029208i,-0.052807-0.035856i,-0.076775-0.049206i,-0.058615-0.0045171i,-0.093867+0.020004i,-0.059852+0.01203i,-0.048617-0.027306i,-0.031603-0.057465i,-0.021553-0.032638i,0.0029599+0.0051513i,-0.017675+0.010428i,0.0092955+0.0032343i,0.011736+0.0045032i,0.0009125-0.0068855i,0.0076452+0.00098013i,-0.0073861-0.0032865i,0.0026769+0.014938i,-0.0011487+0.0082669i,0.00073518+0.0018981i,0.0069922+0.0044511i,0.0015977-0.00066476i,-0.00060181+0.015229i,-0.00088124+0.010067i,0.0034495-0.0052101i,0.009834-0.0065214i,0.0023559+0.0023452i,-0.0068938-0.0074304i,-0.0026257-0.0029734i,0.01741-0.026929i,0.0060945+0.0044659i,0.0027001+0.0040782i,-0.0031707+0.0021968i,0.0021107-0.0038498i,0.021234+0.0016096i,0.0025503-0.0026756i,-0.0027963-0.010205i,0.00039781-0.0026949i,0.013595+0.0039922i,0.004624-0.00020242i,0.0033497-0.0063802i,0.0035131+0.0090736i,0.0045455-0.00036345i,0.024418+0.0045396i,-0.080991-0.036263i,-0.0050507+0.018057i,0.0077888-0.0025383i,-0.001351+0.00318i,-0.034182+0.011017i,-0.0072837+0.0068071i,-0.015596+0.013865i
-0.027983+0.021568i,-0.048519+0.024447i,-0.021717+0.045429i,-0.027198+0.028798i,-0.022251+0.041723i,0.013775+0.044857i,-5.818e-05+0.024318i,-0.0094223+0.040694i,-0.0089553+0.018657i,-0.0052909-0.0027131i,-0.0044827-0.00064517i,-0.0027518-0.0039049i,-0.0048149-0.00047553i,-0.007078-0.0020399i,-0.00083533+0.0053155i,-0.0055836+0.0006209i,-0.012551+0.0015771i,-0.0012832+0.00060093i,0.0031664-0.0015532i,0.0019514-0.0018738i,0.001647-0.0041492i,0.0014747-0.0039105i,0.00095427-0.0026729i,-0.01117-0.0046413i,-0.0012324+0.0010738i,-0.0040576+0.0018199i,-0.0011344+0.0004659i,-0.0032368+6.5205e-05i,-0.0019273-0.0012842i,0.00069312-0.0017398i,0.0015109+0.0078246i,0.0013521-0.00049927i,0.0025648-0.00073513i,0.00076856+0.0013937i,-0.0012086+0.0031634i,-0.0019338-0.0055613i,-0.00064654+0.00086696i,-0.00076598-0.00050925i,-0.00056928+0.0049049i,0.0074506+0.00027695i,0.00040145-0.0033684i,0.0015997-0.0064939i,-0.0030763+0.0022308i,0.00074719+0.0030053i,-0.033387-0.006063i,-0.01454-0.089406i,-0.090177-0.011338i,-0.061988-0.033796i,-0.08849-0.037565i,-0.057317+0.0055108i,-0.084256+0.037232i,-0.056065+0.024978i,-0.042204-0.02589i,-0.038695-0.053001i,-0.032381-0.022021i,0.0042618+0.0020894i,-0.011621+0.019211i,0.0093988-0.00061419i,0.011958-0.0023707i,-0.0051984-0.012024i,0.0036789+0.00053753i,-0.0065324+0.00085914i,0.0085632+0.012666i,0.00016732+0.010728i,0.0010568+0.0015619i,0.0078265+0.0028116i,0.002667+0.00053865i,0.0053877+0.011415i,0.0038902+0.0081817i,-0.0020744-0.0071005i,0.0033266-0.0076418i,0.0033847+0.0026553i,-0.010317-0.00044713i,-0.0026812-0.00025008i,0.0065272-0.030486i,0.0070297+0.0033936i,0.0060752+0.0028318i,-0.00079084+0.0022375i,-0.0005784-0.0012363i,0.018413-0.0075246i,0.00031659-0.0032428i,-0.0069805-0.0086386i,-0.0025821-0.0013881i,0.011969-0.0011321i,0.0039052+0.00020327i,0.0016031-0.0042631i,0.0063008+0.007239i,0.0036442-0.0012732i,0.023586-0.0028294i,-0.085588-0.026708i,0.0026469+0.0079922i,0.0026657-0.0064855i,-0.00021236+0.00097073i,-0.028075+0.019864i,-0.0052045+0.0076593i,-0.010361+0.015855i
-0.022752+0.024348i,-0.045798+0.029081i,-0.014683+0.041063i,-0.022825+0.031352i,-0.014586+0.043662i,0.021822+0.040067i,0.0036651+0.023943i,-0.0017229+0.040153i,-0.0083025+0.016494i,-0.0058563-0.00013323i,-0.003316+0.0011549i,-0.005944-0.0031669i,-0.0050592+0.001644i,-0.0073922+0.00015737i,0.0011302+0.0057029i,-0.0061834+0.0044167i,-0.011442+0.0071829i,-6.2795e-06+0.0011123i,0.0034202-0.0033156i,0.0015231-0.0030778i,8.2803e-05-0.004735i,0.00063307-0.0045668i,0.00054737-0.0028473i,-0.01163-0.0016497i,-0.00090914+0.0011845i,-0.00246+0.0053524i,-0.00083746+0.00017309i,-0.0025861+0.0014546i,-0.0021191-0.00068157i,-0.00015979-0.0026132i,0.005005+0.0054929i,0.00097475-0.00068335i,0.001949-0.0013921i,0.0014424+0.00093471i,-4.5754e-05+0.0038184i,-0.001352-0.0052257i,-0.00097833+0.0007605i,-0.0011319-0.00014552i,0.0036377+0.0041344i,0.0056161-0.0018202i,-0.00074581-0.0030111i,0.00080494-0.0032927i,-0.0023195+0.0034963i,0.001478+0.001815i,-0.035867-0.0029873i,-0.043382-0.087008i,-0.080672+0.0020108i,-0.072158-0.026042i,-0.094902-0.022433i,-0.052821+0.013855i,-0.068983+0.049353i,-0.041139+0.034777i,-0.046472-0.025903i,-0.04551-0.049531i,-0.033751-0.0073289i,0.0045262-0.00096755i,-0.0022461+0.020924i,0.0081278-0.0035817i,0.0078194-0.0075401i,-0.014721-0.0087737i,0.0026778-2.0476e-06i,-0.0048264+0.0045666i,0.012105+0.0067594i,0.0045881+0.012668i,0.00019156+0.0018581i,0.0078837-0.0011716i,0.0045639-0.0013035i,0.0074578+0.0067437i,0.0050542+0.0028807i,-0.0074432-0.0033793i,0.00073322-0.0064858i,0.0053537+0.0014031i,-0.0053589+0.0086676i,-0.0010579+0.0014971i,-0.0022194-0.026796i,0.0090342+0.00026102i,0.0065035+0.00066048i,-0.00016714+0.0028646i,0.00065824+0.00032633i,0.011707-0.012183i,-0.0021507-0.00044321i,-0.0093884-0.0041936i,-0.0030445+0.0019102i,0.0074504-0.0038112i,0.0062947-0.0015272i,0.0023204-0.0044217i,0.0093723+0.0037114i,0.004805-0.0032544i,0.020479-0.0093661i,-0.089722-0.012973i,0.00055779-0.0015556i,0.0098855-0.008626i,-0.00025179-0.0017018i,-0.020636+0.024576i,-0.005546+0.0033464i,-0.0070125+0.020324i
-0.017412+0.024775i,-0.041632+0.035355i,-0.01123+0.037662i,-0.017823+0.034578i,-0.0061636+0.04271i,0.028313+0.033481i,0.0080922+0.02305i,0.0050712+0.037534i,-0.0082317+0.017161i,-0.0052255+0.0022149i,-0.0024519+0.0012897i,-0.0079852+0.00049144i,-0.0046644+0.0034296i,-0.0073398+0.0028704i,0.0029052+0.0050651i,-0.0045173+0.0081064i,-0.0073618+0.011938i,0.00091373+0.00025256i,0.0016925-0.0048138i,-5.3978e-05-0.0040832i,-0.0016041-0.0041214i,-0.00061132-0.0046688i,2.4719e-06-0.003445i,-0.011302+0.0020122i,-0.0004191+0.00085594i,0.0010897+0.003324i,-0.0011329+0.00013812i,-0.0014611+0.0017351i,-0.0023413+0.0002688i,-0.0017531-0.0020214i,0.0069587+0.0026778i,0.00052822-0.0006223i,0.0011489-0.0020335i,0.0015942+0.0001323i,0.0018645+0.0032467i,-0.0027118-0.0074284i,-0.00071873+0.0010905i,-0.0012627+0.00040846i,0.0040826-0.0002713i,0.004356-0.0025923i,-0.0010773-0.0022563i,0.00083-0.0014061i,-0.010023+0.0082394i,-0.00023274-0.00020039i,-0.037818+0.0016381i,-0.067881-0.070164i,-0.070747+0.0078638i,-0.079321-0.013765i,-0.098962-0.0062635i,-0.046864+0.01929i,-0.054633+0.055175i,-0.026463+0.033888i,-0.048835-0.020138i,-0.053021-0.041901i,-0.029438+0.0016622i,0.0026908-0.0038347i,0.0060114+0.019192i,0.0065652-0.0060547i,0.0023011-0.008959i,-0.024881+0.0040971i,-0.00037695+0.00057931i,-0.0012138+0.004943i,0.010775+0.00023894i,0.0102+0.010956i,0.00072798+0.0028892i,0.0047655-0.0025811i,0.0042305-0.0047173i,0.0063108+0.0017305i,0.0024611+0.0010029i,-0.0071422+0.0014742i,-0.0013611-0.0053942i,0.0057627-0.00049634i,0.0051612+0.0045803i,-0.00011565+0.00081468i,-0.0057964-0.019693i,0.0083554-0.0028437i,0.006334-0.0022748i,0.0016563+0.0036813i,0.0014244+6.7182e-05i,0.0065941-0.012578i,-0.00019301+0.0016686i,-0.010382+0.00080975i,-0.00092705+0.003433i,0.0050743-0.0036803i,0.0049319-0.0057817i,0.00030493-0.0043184i,0.0094392-0.0015921i,0.0030282-0.006074i,0.016343-0.015425i,-0.086359+0.0025778i,-0.0063295-0.0056971i,0.0045185-0.01354i,-0.0013672-0.0040535i,-0.013656+0.026838i,-0.0089279+0.0032496i,-0.0083214+0.013805i
-0.013717+0.024671i,-0.036513+0.040607i,-0.0099264+0.036589i,-0.011386+0.036437i,0.0010146+0.039918i,0.032448+0.026398i,0.012668+0.020694i,0.011157+0.034472i,-0.0063213+0.018702i,-0.0033958+0.0040158i,-0.0025429+0.0018647i,-0.0073231+0.0040749i,-0.0037226+0.0050145i,-0.0057401+0.0055577i,0.0044706+0.0039511i,-0.0010962+0.010291i,-0.0018896+0.013612i,0.00083452-0.00045204i,0.00032813-0.0047256i,-0.0019324-0.0036924i,-0.0028057-0.0032874i,-0.0019881-0.0040722i,-0.0014098-0.0035692i,-0.0088135+0.0048491i,-0.00078844+0.00044672i,0.00052465+0.0016116i,-0.0012206+0.00035261i,-0.00081245+0.0017602i,-0.002035+0.0013179i,-0.0019542-0.00063321i,0.006293-0.00036886i,0.00032432-0.00078726i,5.0111e-05-0.0019534i,0.0013284-0.00045059i,0.002352+0.0018044i,-0.0051023-0.0069454i,-0.00053564+0.001395i,-0.00099986+0.0014056i,0.0011131-0.0015874i,0.0028805-0.0026429i,-0.0012409-0.0020924i,0.00030359-0.0013383i,-0.0017452+0.0057252i,-0.00236+0.0015131i,-0.037949+0.0080421i,-0.07653-0.045818i,-0.065114+0.0094935i,-0.083526-0.00024475i,-0.099679+0.012145i,-0.042287+0.022098i,-0.04114+0.058011i,-0.016994+0.030707i,-0.049796-0.014867i,-0.056722-0.033773i,-0.027405+0.0073833i,0.00037413-0.0051556i,0.014953+0.014047i,0.0042082-0.0075395i,-0.0027482-0.0074501i,-0.018918+0.012689i,-0.0012962+0.0027849i,0.0014743+0.0054047i,0.0063176-0.0012896i,0.013605+0.0072672i,0.0019455+0.0030299i,0.0029738-0.0016816i,0.001912-0.0068037i,0.0033114+0.0015449i,0.00041803+0.0019155i,-0.0056487+0.0057477i,-0.0030638-0.0029322i,0.0050989-0.0025666i,0.0044794+0.0018519i,0.00024764+0.00072368i,-0.0071514-0.016052i,0.0065306-0.0055672i,0.0047187-0.0045734i,0.005054+0.0022746i,0.0019699+2.878e-05i,0.0034513-0.012031i,0.0016443+0.0012089i,-0.0083353+0.0064404i,0.00092308+0.0031855i,0.0039581-0.0034776i,0.00076487-0.0077279i,-0.00018302-0.0033491i,0.0057624-0.0055837i,-0.00058402-0.0075448i,0.0089518-0.020972i,-0.08019+0.011806i,-0.014599-0.0028665i,-0.0005374-0.015784i,-0.0025977-0.0063977i,-0.0076512+0.026502i,-0.011881+0.0057633i,-0.0062394+0.013726i
-0.010554+0.024775i,-0.031055+0.045493i,-0.0079146+0.038128i,-0.0050535+0.036159i,0.005551+0.035811i,0.035474+0.019546i,0.016974+0.016707i,0.015994+0.030372i,-0.0036469+0.019088i,-0.0015822+0.0040188i,-0.0030517+0.0031984i,-0.0054817+0.0067634i,-0.0020368+0.0065224i,-0.0032437+0.0066711i,0.005249+0.0023619i,0.0024893+0.010511i,0.0039166+0.013189i,0.00085043-0.00056222i,-0.0011417-0.0049011i,-0.0030899-0.0026223i,-0.0032346-0.001807i,-0.0028059-0.0032546i,-0.0023878-0.0027061i,-0.0069776+0.0053355i,-0.0012307+0.00098895i,-9.6791e-05+0.0015357i,-0.0015261+0.00065227i,-5.3118e-05+0.00149i,-0.0012249+0.002i,-0.0015614+0.00010261i,0.0047741-0.0019119i,-0.00010238-0.00068371i,-0.00055424-0.0015936i,0.00090232-0.00087502i,0.0023998+0.0012343i,-0.0067061-0.0062623i,-0.00035618+0.0014053i,-0.0002172+0.0019554i,-3.0252e-05-0.0011877i,0.0021665-0.0022186i,-0.0016682-0.0015109i,-0.00033617-0.0020031i,0.0007558+0.0053168i,-0.0022365+0.0037907i,-0.036889+0.014763i,-0.073778-0.02955i,-0.06243+0.012026i,-0.083653+0.017016i,-0.093888+0.032623i,-0.040551+0.025009i,-0.029758+0.057813i,-0.0093866+0.026171i,-0.048701-0.0076755i,-0.060184-0.02693i,-0.024726+0.011736i,-0.0032737-0.0048431i,0.017836+0.0013083i,0.0023471-0.0091325i,-0.0060154-0.0035923i,-0.01262+0.017943i,-8.9755e-05+0.0040616i,0.0051957+0.0038655i,0.0052459+0.00012903i,0.017526+0.00083011i,0.0030137+0.0029314i,0.0023505-0.00087853i,-0.0029432-0.0089276i,0.0023046+0.0027489i,0.00084694+0.0040095i,-0.00068176+0.0085597i,-0.0019823-0.00039639i,0.0036597-0.0033812i,0.0071546+0.00041786i,0.0012017-6.6394e-05i,-0.014797-0.015709i,0.0033555-0.0069339i,0.0022117-0.0061778i,0.0040572-0.0011968i,0.0019889+0.00024456i,0.0024439-0.010737i,0.0023616-0.00021228i,-0.0040932+0.01144i,0.0019777+0.0019318i,0.002741-0.0039631i,-0.0024266-0.0070715i,-0.00041443-0.0039998i,0.0025462-0.0050893i,-0.0032633-0.0071705i,-0.00099367-0.021658i,-0.076898+0.020697i,-0.013323+0.0076497i,-0.0057336-0.016257i,-0.0058044-0.0076831i,-0.0045044+0.024855i,-0.011498+0.01065i,-0.0019187+0.012809i
-0.0073593+0.024977i,-0.02424+0.050446i,-0.0038834+0.040522i,-1.634e-05+0.034828i,0.0081009+0.033219i,0.037644+0.012301i,0.019884+0.01188i,0.019766+0.026433i,-0.0010222+0.019619i,-0.00089331+0.0039888i,-0.0019505+0.005586i,-0.0024244+0.0087935i,0.00012246+0.0071682i,-0.00098047+0.0066859i,0.0053336+0.00087493i,0.0058411+0.0095004i,0.0083428+0.010231i,0.00088757-0.00072962i,-0.0026537-0.004332i,-0.0038057-0.001129i,-0.0029954-0.00052597i,-0.0036044-0.0024955i,-0.0028265-0.001801i,-0.0061478+0.0059739i,-0.0011615+0.0015999i,-7.2888e-05+0.0020924i,-0.0014717+0.001754i,-4.8747e-06+0.00090049i,-0.00043201+0.0020264i,-0.0012546+0.00033729i,0.0048695-0.0014741i,2.3513e-05-0.00025426i,-0.00070284-0.0013116i,0.00049238-0.0011458i,0.0027929+4.1383e-05i,-0.0088062-0.0048566i,7.4919e-05+0.0015182i,0.00051829+0.0018278i,-0.00071717-0.00098469i,0.0020997-0.0021712i,-0.0017444-0.00081669i,-0.00098348-0.0016677i,0.0021937+0.0041586i,-0.0013689+0.0052963i,-0.032813+0.020995i,-0.072628-0.023812i,-0.061656+0.016786i,-0.076945+0.032368i,-0.082134+0.049965i,-0.03775+0.030875i,-0.01974+0.057402i,-0.0054769+0.021248i,-0.046229-0.0032769i,-0.063209-0.017679i,-0.021522+0.018116i,-0.0042192-0.0046465i,0.010915-0.0087877i,-0.00065165-0.010694i,-0.0064543-0.00011973i,-0.0069277+0.019726i,0.00069614+0.0036673i,0.0070184-0.000213i,0.006306-0.00072607i,0.015389-0.0058631i,0.0048891+0.0022716i,0.0023199+0.00050633i,-0.0077617-0.0040757i,0.0031542+0.0038562i,0.0021795+0.0052073i,0.0028947+0.0074017i,-0.0012649+2.2432e-06i,0.0024907-0.0038483i,0.0059864-0.0023035i,2.6046e-05-0.00069374i,-0.01992-0.0080113i,0.0012445-0.006544i,-0.00097336-0.0049373i,0.0041908-0.00047001i,0.0020441-0.00036691i,0.0010808-0.01205i,0.0018289-0.001444i,0.0025404+0.0093669i,0.0021686+0.0017665i,0.0020045-0.003557i,-0.0050415-0.004724i,-0.0027242-0.0052333i,0.00013718-0.0046082i,-0.0056428-0.0060352i,-0.0077856-0.018141i,-0.070773+0.030391i,-0.0091383+0.0072005i,-0.0065044-0.015195i,-0.0079464-0.0068778i,-0.00038425+0.022838i,-0.010233+0.01282i,-9.9974e-05+0.0095167i
-0.0041757+0.024785i,-0.015718+0.054215i,0.001986+0.042786i,0.0045166+0.033631i,0.010593+0.031866i,0.038177+0.0048612i,0.021687+0.0068422i,0.023116+0.02246i,0.0024657+0.019719i,-5.5076e-05+0.0042892i,0.00088367+0.006887i,0.00132+0.0086698i,0.0022184+0.006946i,0.00054387+0.0065653i,0.0052152-0.00030819i,0.0085232+0.006936i,0.010883+0.0065164i,0.00096963-0.0015577i,-0.0037926-0.0033404i,-0.0033184+0.00086142i,-0.0024304+0.00030258i,-0.0040644-0.0010263i,-0.0030337-0.00095396i,-0.0040913+0.0076455i,-0.00071136+0.0023359i,0.00092009+0.002317i,-0.00039197+0.0022305i,-0.00052672+0.00094253i,2.8504e-05+0.0020394i,-0.00099214+0.00070693i,0.0028073-0.0037916i,0.00036317-0.000711i,-0.0013743-0.00099615i,-6.5247e-05-0.0011795i,0.0020304-0.0011015i,-0.010479-0.0018708i,0.00048831+0.0013963i,0.0012576+0.0016181i,-0.0015504-0.00066381i,0.0020628-0.0022842i,-0.0015287-0.00052806i,-0.0012835-0.0012145i,0.0030812+0.0028704i,0.00017316+0.0062104i,-0.028289+0.024017i,-0.077887-0.017696i,-0.060063+0.022889i,-0.068228+0.044145i,-0.066732+0.061203i,-0.03355+0.035822i,-0.0094537+0.055438i,-0.0026645+0.018407i,-0.044478+0.00028293i,-0.063291-0.0067451i,-0.016382+0.02187i,-0.0057655-0.0037301i,0.0030403-0.0099037i,-0.0047892-0.01097i,-0.0051727+0.0036049i,0.0019055+0.019089i,0.00048388+0.0028673i,0.0059256-0.0048761i,0.0052581-0.0019518i,0.011161-0.01086i,0.0064957+0.00043101i,0.0034621+0.00087048i,-0.0080305-0.00016128i,0.0048397+0.0044895i,0.004833+0.0057256i,0.0074827+0.0049138i,-0.00091085+0.00099468i,0.0018454-0.0040477i,0.0023085-0.008495i,-0.00032467+0.00075208i,-0.021248+0.00014765i,-0.00040591-0.0062782i,-0.0022553-0.002822i,0.0050137-0.0015684i,0.0018332-0.00073622i,-0.0018582-0.013531i,0.00078675-0.001687i,0.0054838+0.0062168i,0.0035734+0.00077318i,0.0027929-0.003567i,-0.0063665-0.0024981i,-0.006319-0.0025835i,-0.0024402-0.0032692i,-0.0072764-0.0044488i,-0.012186-0.013816i,-0.063874+0.036914i,-0.0087922+0.0066654i,-0.0076237-0.01796i,-0.0095471-0.0057063i,0.00029826+0.021953i,-0.0096189+0.01462i,0.00036436+0.0075857i
-0.00056177+0.024746i,-0.0059907+0.055889i,0.010072+0.043124i,0.0087835+0.032318i,0.014351+0.031606i,0.037448-0.0018071i,0.022196+0.0011015i,0.026561+0.018i,0.0061149+0.018468i,0.0008324+0.0042626i,0.0034535+0.0056998i,0.0038404+0.0064827i,0.004191+0.0063656i,0.0023887+0.0061382i,0.0048795-0.001536i,0.0097329+0.0037324i,0.012061+0.0022504i,-0.00018015-0.0022387i,-0.0047584-0.0015609i,-0.0017679+0.0016003i,-0.0015911+0.00051506i,-0.0036185+0.00013501i,-0.003103+4.5984e-05i,-0.0013706+0.0080641i,0.00030248+0.0026518i,0.0016189+0.0016943i,0.00047419+0.0020874i,-0.00031845+0.0016656i,0.00079909+0.0016553i,-0.00060566+0.00078467i,0.0010099-0.0037906i,-0.00013607-0.00098753i,-0.0017438-0.00030704i,-0.00058148-0.00099635i,0.0010819-0.0017091i,-0.010726+0.0019797i,0.00077343+0.0011975i,0.0018976+0.00099019i,-0.0019532+0.00021283i,0.0016128-0.0028046i,-0.0015895-0.00034717i,-0.0012601-0.0011208i,0.003007+0.0016616i,0.0017802+0.0068067i,-0.024646+0.027351i,-0.086353-0.0044199i,-0.055742+0.028607i,-0.056957+0.052145i,-0.05174+0.068796i,-0.028438+0.042138i,-0.00041371+0.050983i,0.0027525+0.015052i,-0.042889+0.0050778i,-0.059941+0.0033047i,-0.011704+0.024226i,-0.0077784-0.0026063i,-0.0029408-0.0092634i,-0.0090226-0.0097151i,-0.0013495+0.0050795i,0.0050532+0.014426i,-0.00032707+0.0029587i,0.003489-0.0082098i,0.0057454-0.0013778i,0.0043053-0.013469i,0.0066898-0.0028019i,0.0045395-7.7411e-05i,-0.0080318+0.0040261i,0.0075702+0.0039492i,0.0084854+0.0035081i,0.0090244+0.00045299i,0.0003157+0.0018534i,0.0010295-0.0042024i,-0.0015943-0.0081454i,0.0011378+0.0022654i,-0.020049+0.0078213i,-0.0024656-0.0058611i,-0.0015261-0.00076653i,0.0044952-0.0041108i,0.0019495-0.00073139i,-0.0076586-0.013637i,3.7344e-05-0.0011353i,0.0070543+0.0025963i,0.0035136-0.00028457i,0.002445-0.004666i,-0.0061417+0.0012456i,-0.0064792+0.0015642i,-0.0036201-0.0016941i,-0.0088181-0.0025564i,-0.014363-0.0088072i,-0.058522+0.042928i,-0.0083848+0.0096379i,-0.01205-0.022029i,-0.0084283-0.0046877i,0.0033497+0.021764i,-0.0089933+0.018273i,0.0018144+0.0054607i
0.0033666+0.02374i,0.0036657+0.055281i,0.017634+0.040236i,0.013329+0.030611i,0.019302+0.030379i,0.036199-0.0080567i,0.021034-0.0042868i,0.028743+0.012493i,0.0092322+0.016588i,0.0015098+0.0042762i,0.0043965+0.0042348i,0.0044125+0.004595i,0.0058779+0.0048555i,0.0038772+0.005108i,0.0040651-0.0026357i,0.0093668+0.00071387i,0.011554-0.0014102i,-0.0009458-0.0019492i,-0.0044115+9.8122e-05i,-0.00071071+0.0014435i,-0.00090961+0.00026218i,-0.0030834+0.0007116i,-0.002503+0.00086809i,0.0011539+0.0081012i,0.0013893+0.0021303i,0.0020228+0.0011841i,0.0012052+0.0018005i,0.00046418+0.0017756i,0.0011078+0.00078489i,-0.00054527+0.00091054i,-0.00039263-0.0038134i,-0.00066748-0.0008073i,-0.001578+0.00044674i,-0.00099351-0.00061147i,0.00026982-0.0018805i,-0.009308+0.0049441i,0.0010712+0.00082389i,0.0018896+0.00032322i,-0.0018183+0.001469i,0.0010865-0.0033547i,-0.0016412+0.00011581i,-0.0015532-0.0011636i,0.0026283+0.0009518i,0.0039667+0.0070107i,-0.020463+0.030581i,-0.088065+0.015492i,-0.052739+0.032553i,-0.046603+0.057109i,-0.034877+0.073599i,-0.019895+0.048316i,0.006173+0.045425i,0.0056406+0.0074561i,-0.038675+0.0088319i,-0.054735+0.012877i,-0.0043191+0.025508i,-0.009576+0.00011853i,-0.0084599-0.0057858i,-0.01234-0.0061776i,0.0013786+0.003404i,0.0058052+0.011265i,-0.0020305+0.0044809i,-0.00022714-0.011239i,0.0068078-0.0037637i,-0.0017461-0.012124i,0.0045382-0.0050732i,0.0052356-0.0023092i,-0.0059156+0.0073345i,0.0099369+0.00067952i,0.0096171-0.0021191i,0.0074708-0.0045707i,0.0023914+0.0012486i,0.00015224-0.0043688i,-0.0044602-0.004847i,0.0031849+0.0012357i,-0.023365+0.014207i,-0.0095131-0.0048272i,-0.0001406+0.00036349i,0.0019614-0.0051206i,0.0020114-0.00090586i,-0.013169-0.0091926i,0.00034383-0.00024344i,0.0071352-0.001583i,0.0030242-0.0012701i,0.0013889-0.0051825i,-0.0042168+0.0043303i,-0.0045164+0.0045324i,-0.004666+0.0010015i,-0.010064-0.00037316i,-0.014919-0.0046886i,-0.051112+0.051794i,-0.0019815+0.012242i,-0.019778-0.021476i,-0.0079244-0.0068238i,0.0056687+0.020605i,-0.0050422+0.022061i,0.0019246+0.0019849i
