-0.030784-0.040246i,-0.021973-0.01868i,-0.012965-0.035751i,-0.029839-0.02014i,-0.022232-7.1297e-05i,-0.013814-0.0056963i,-0.055644-0.058454i,-0.047653-0.017481i,-0.038005-0.013462i,0.010157+0.011714i,-0.0077246+0.005444i,-0.019694+0.019121i,0.0025677+0.011425i,-0.0062066-0.0031803i,0.0002092+0.0011303i,-0.0017742+0.030064i,0.027075+0.027104i,0.0025477-0.0019658i,-0.0021705-0.0064898i,0.0079197+0.00265i,0.0027577+0.0012547i,0.00013884+0.0038518i,-0.0003573+0.00014387i,-0.037866-0.011262i,-0.00010828-0.0077324i,0.0013084+0.002222i,0.0056185+0.001499i,0.0020678+0.00042691i,0.0010916-0.00070217i,-0.00052933-0.0025564i,0.0014812-0.0027907i,-0.0027097-0.0058442i,-0.00044591-0.0045522i,0.0029386-0.00084968i,0.0045301-0.002793i,0.002194+0.029973i,0.003925-0.0034668i,0.0030005-0.0016942i,0.0085239-0.0013504i,-0.0048287-0.0025574i,-0.00011387+0.0010385i,0.009262+2.4418e-05i,0.0040706-0.0021546i,-0.0015302+0.008694i,-0.018118-0.0075046i,-0.019051+0.015115i,-0.003961-0.060896i,-0.0053048-0.027151i,-0.026524-0.032595i,-0.011358-0.02668i,0.054305-0.021009i,0.016179-0.042957i,0.022529-0.049165i,0.0050254-0.055324i,0.02606-0.021351i,0.0083579+0.0059991i,0.025057-0.034375i,-0.0081472-0.006249i,0.0038334-0.0047814i,-0.0050096-0.0072579i,-0.0018987-0.033256i,-0.018308+0.029414i,0.0084068-0.012219i,-0.0089951-0.0035489i,-0.0039891-0.0013367i,0.00054428-0.013037i,-0.011228+0.0046544i,0.0027296+0.010078i,-0.0055266+0.026752i,0.0048861+0.0027818i,-0.0053913-0.0017268i,-0.0019274-0.0020554i,-0.012255-0.0074924i,-0.00067504-0.0045632i,-0.035897+0.0010432i,0.0009239-0.010621i,-0.0082813+2.7387e-05i,-0.0068607-0.0025394i,0.0051241+0.0012951i,-0.0083473-0.00039483i,0.0019854-6.5787e-05i,0.0038357+0.0069976i,0.0043821+0.00056014i,-0.008619-0.012965i,0.0027399+0.0092998i,-0.015242+0.0051613i,0.006608-2.1156e-05i,-0.022165+0.00049846i,-0.017653+0.0057227i,-0.0091891-0.065823i,0.0076643-0.012739i,-0.04983-0.02227i,-0.021346+0.00018414i,0.017011+0.011224i,-0.022807+0.014681i,-0.018894-0.0053628i
-0.040172+0.033961i,-0.015543+0.017994i,-0.021084+0.042147i,-0.026585+0.013332i,-0.0042038+0.020923i,-0.00062046+0.0076628i,-0.030076+0.017509i,-0.0038801+0.029458i,0.0085618+0.018267i,-0.0047439-0.0068241i,0.0024976+0.0033164i,0.0077185+2.3633e-05i,0.005311+0.00018805i,-0.00034394+0.0033339i,0.00063616+0.0020999i,0.0059658-0.0048306i,-0.0067368-0.00049289i,-0.0032731-0.0010106i,0.0040799-0.0014085i,-0.00010929-0.00087265i,0.0027126-0.005086i,0.0016142-0.0026786i,0.0013541-0.002444i,-0.0090136-0.011223i,-0.00090071+0.0020745i,-0.0016547+8.9699e-05i,-0.0041897-0.0014001i,-0.0028193-0.00031639i,-0.00072868-0.0016276i,-0.00018865-0.00068257i,-0.00090861+0.0036607i,0.0005245+0.00084387i,0.0015638+0.00077565i,-0.00045571+0.0008372i,-0.0029752+0.0028532i,-0.0011817-0.0078327i,-0.0025793+0.0011311i,0.00086231-0.00051544i,-0.0015966+0.00325i,0.0038981+0.0028192i,-0.00045707-0.0014908i,-0.00076759-0.0029903i,-0.0035588-0.00023702i,0.003948+0.00018732i,-0.015943+0.024981i,0.007297-0.036194i,-0.053278+0.0046107i,0.0077347-0.032229i,-0.031365-0.048414i,-0.029016-0.019553i,-0.062529+0.021587i,-0.038157+0.0012178i,-0.033673-0.0065316i,-0.029467-0.021849i,-0.039293-0.023459i,-0.005425+0.0032044i,-0.028065+0.0096597i,0.0060794+0.019194i,0.0026197+0.0084214i,-0.0038562-0.0050879i,0.0018361+0.0012752i,-0.011041-0.0036601i,0.0050876+0.011577i,-0.00041554+0.0061542i,-0.0021004-0.0015973i,0.0012127+0.0021093i,0.0037589-0.0011433i,-0.0037577+0.018139i,0.0030088+0.014366i,0.0038078-0.00072819i,0.0094447-0.0061238i,0.0045264+0.0033004i,-0.0088122-0.0071083i,-0.0011118-0.0032388i,0.025696-0.03493i,0.0077782+0.0099238i,0.0051751+0.002135i,-0.0029275+0.0028494i,0.0036164-0.005376i,0.02114+0.0074586i,0.0037599+0.0022228i,0.0001714-0.006399i,0.0008404-0.0027206i,0.014593+0.0070547i,0.0051183+0.00094901i,0.0029246-0.0045979i,0.0042116+0.0082973i,-0.00054323+0.00066571i,0.0088932+0.0021473i,-0.043282-0.014329i,-0.0055335+0.012002i,-0.0020165-0.0051841i,-0.0068016+0.0049379i,-0.036184+0.013054i,-0.0058323+0.0075342i,-0.0090113+0.013821i
-0.033874+0.039804i,-0.012654+0.017655i,-0.010586+0.03794i,-0.023852+0.016192i,-0.001367+0.019082i,0.00069212+0.007549i,-0.028669+0.022486i,0.0019702+0.028657i,0.010968+0.012629i,-0.0062182-0.004122i,0.0036178+0.0036248i,0.0069935-0.0026559i,0.0047754-0.0017588i,0.0015597+0.0039188i,0.00095225+0.0021355i,0.0017667-0.0041755i,-0.0076745+0.0032847i,-0.0031498+0.00024757i,0.0041054-0.0023236i,0.00024971-0.00084848i,0.0012034-0.005433i,0.0013726-0.0023596i,0.0007101-0.0024989i,-0.011628-0.0081151i,0.00017087+0.0015597i,-0.0017203+0.00056596i,-0.0037493+0.00029577i,-0.002174+0.0004859i,-0.0013027-0.0014833i,-5.9515e-05-0.00051479i,0.00057161+0.0037789i,0.00010838+0.00075094i,0.0013092-0.00015579i,-0.00062185+0.00088479i,-0.0027566+0.0032291i,-0.0015012-0.0066887i,-0.0020658+0.0016228i,-0.00022599-0.0010818i,-0.0010859+0.0038441i,0.0037567+0.00053127i,-0.00071538-0.0013311i,-0.0024251-0.0026298i,-0.0036266+0.00080978i,0.0040925-0.00087558i,-0.011632+0.024103i,-0.0058888-0.041912i,-0.046814+0.014983i,-0.0018505-0.039462i,-0.045162-0.042532i,-0.02942-0.013072i,-0.050764+0.033519i,-0.035447+0.010037i,-0.024776-0.0094939i,-0.031145-0.017008i,-0.045157-0.0079024i,-0.0045109+0.0030685i,-0.023149+0.021737i,0.011476+0.013277i,0.0053083+0.004966i,-0.0089565-0.0074578i,-0.0015996+0.003723i,-0.010613+0.0033404i,0.0097589+0.0083393i,0.00083619+0.0076103i,-0.0019486-9.4796e-05i,0.0020154+0.0031743i,0.0039453-0.0014736i,0.0049408+0.014787i,0.0084579+0.0081706i,-0.0007674-0.0039017i,0.0031874-0.007523i,0.0049513+0.0025653i,-0.011441+0.0012446i,-0.0023445-0.0010649i,0.0088286-0.037506i,0.011736+0.0076349i,0.0068561-0.00023945i,0.00069135+0.0027646i,-0.00017352-0.0032896i,0.022261-0.0024017i,0.0033563+0.00058533i,-0.0031346-0.0050944i,-0.0024732-0.0013492i,0.013737+0.0010516i,0.0049956+0.00093955i,0.0009852-0.003457i,0.0068668+0.0067372i,-0.00041344+0.0017933i,0.0089091-0.00082066i,-0.046631-0.0099305i,-0.00027529-0.002465i,-0.001381-0.0048505i,-0.0050686+0.0048669i,-0.029696+0.024004i,-0.0031649+0.0083021i,-0.0049304+0.014524i
-0.026261+0.044266i,-0.010767+0.01767i,-0.0054163+0.031637i,-0.021123+0.018937i,0.0019955+0.018119i,0.0023317+0.0070314i,-0.024711+0.028105i,0.0074532+0.026325i,0.010271+0.0083843i,-0.0065939-0.0013817i,0.0055195+0.003232i,0.0029764-0.0037992i,0.0036044-0.0028972i,0.0025718+0.0033789i,0.001489+0.002097i,-0.0013354-0.0014543i,-0.0061076+0.0074164i,-0.0021996+0.0011178i,0.0037622-0.004222i,0.00062072-0.0015123i,-0.00065912-0.0052403i,0.0015366-0.0029047i,0.00022307-0.0025113i,-0.013823-0.0052137i,0.00053442+0.0011926i,-0.0011796+0.0013442i,-0.0025718+0.00090234i,-0.00096082+0.0011276i,-0.0015379-0.0012405i,-0.00030623-0.00076398i,0.0019483+0.003044i,0.00024372+0.001068i,0.00085367-0.00053879i,-0.00031915+0.00084166i,-0.0010546+0.0043467i,-0.0013202-0.0065408i,-0.0018221+0.001877i,-0.0010868-0.00094567i,0.0016781+0.0029153i,0.0028414-0.00067278i,-0.0010679-0.0010304i,-0.0019089-0.001101i,-0.0033697+0.0018209i,0.0037097-0.0026258i,-0.0087314+0.023839i,-0.022116-0.040351i,-0.036943+0.021327i,-0.01372-0.041209i,-0.053304-0.033463i,-0.026248-0.0076982i,-0.034507+0.039624i,-0.023711+0.015516i,-0.02767-0.012582i,-0.031921-0.013257i,-0.04254+0.0070188i,-0.003759+0.0032932i,-0.011591+0.028978i,0.013411+0.0069907i,0.0033994-0.00011303i,-0.018067-0.0043414i,-0.00068488+0.0052584i,-0.0061971+0.006663i,0.01158+0.0022867i,0.0035638+0.0076314i,-0.003318+0.0015176i,0.0024182+0.0014015i,0.0039504-0.002863i,0.0078198+0.008076i,0.0081039+0.0026181i,-0.0052674-0.00077874i,0.00021791-0.0059234i,0.0065315+0.0014008i,-0.0067626+0.0098499i,-0.00050806+0.0011753i,-0.0039342-0.033244i,0.015532+0.0015222i,0.0058315-0.0027063i,0.0014858+0.0011845i,-4.252e-06-0.0013512i,0.017225-0.010317i,0.0015049+0.0023421i,-0.0051184-0.0026579i,-0.0027592+0.0024462i,0.010617-0.0031134i,0.0083166-0.0010095i,0.00070155-0.0032228i,0.01013+0.0030437i,0.0023448+0.0017818i,0.0079326-0.003781i,-0.049273-0.00062044i,-0.0092219-0.010941i,0.00040564-0.0075165i,-0.0039069+0.0036129i,-0.019543+0.028339i,-0.0034964+0.0031751i,-0.0021213+0.0097426i
-0.017848+0.046554i,-0.0083452+0.018656i,-0.0037992+0.026593i,-0.017185+0.021771i,0.0051535+0.015156i,0.0038877+0.0054614i,-0.018146+0.032397i,0.01193+0.022406i,0.0095477+0.0065161i,-0.0059836+0.0011082i,0.0065649+0.00082349i,0.00072942-0.0014086i,0.0022009-0.0032736i,0.0024785+0.0033375i,0.0018469+0.0016797i,-0.001554+0.0026429i,-0.0019503+0.010485i,-0.0015411+0.001127i,0.0020785-0.0051174i,-9.4476e-05-0.0022433i,-0.0017892-0.0041512i,0.0011786-0.0033451i,-0.00031929-0.0026754i,-0.015406-0.00042167i,0.00092926+0.00014488i,-0.00025519+0.00093335i,-0.0021419+0.00078889i,0.00015865+0.00049849i,-0.0017608-0.00054649i,-0.00068052-0.00045181i,0.0027573+0.0018367i,0.00059282+0.0011572i,3.6986e-05-0.00079647i,-0.00019697+0.00085297i,0.00099381+0.003681i,-0.0022787-0.0083479i,-0.00098912+0.0025i,-0.0016845-0.00038262i,0.0015932+0.00026001i,0.0019944-0.0010051i,-0.0010827-0.00057857i,-0.0014618-0.0012216i,-0.0025861+0.0028755i,0.0010728-0.0047455i,-0.0057604+0.024365i,-0.034791-0.028209i,-0.027536+0.022058i,-0.025077-0.037854i,-0.061209-0.02273i,-0.021599-0.0059308i,-0.020355+0.038453i,-0.013686+0.011547i,-0.028794-0.0092579i,-0.031912-0.0082462i,-0.036278+0.016967i,-0.0033285+0.003433i,0.00061821+0.02878i,0.013729+0.0012956i,-0.001441-0.00086846i,-0.022611+0.0063884i,-0.00044994+0.0070157i,-0.0025666+0.0061596i,0.0087843-0.0037772i,0.0060668+0.0066193i,-0.0026455+0.004495i,0.00038622+0.0018288i,0.0032487-0.0056722i,0.006174+0.0023005i,0.0051615-5.7875e-06i,-0.0040201+0.002666i,-0.0015336-0.0043145i,0.0066959-0.00087084i,0.002875+0.011533i,0.00044832+0.00048201i,-0.010934-0.026672i,0.0135-0.0045335i,0.0044776-0.0042695i,0.0021846+0.0022198i,0.00023626-0.0014412i,0.011053-0.013276i,0.0045467+0.0033782i,-0.005657+0.00046534i,-0.00037104+0.0041975i,0.0077784-0.0037062i,0.0075626-0.0062528i,-0.00069845-0.0026515i,0.0091519-0.0028798i,0.0024942-0.00099736i,0.0064125-0.0068091i,-0.045361+0.010265i,-0.019105-0.0097244i,-0.0019853-0.012963i,-0.0026968+0.0020825i,-0.011325+0.027811i,-0.0071364+0.0030663i,-0.0028242+0.0088202i
-0.010049+0.047454i,-0.0061393+0.018717i,-0.0046656+0.024189i,-0.012579+0.023188i,0.0066834+0.011869i,0.0041449+0.00358i,-0.010649+0.034093i,0.01479+0.017871i,0.0099082+0.005192i,-0.0042319+0.0027633i,0.0057677-0.0010074i,0.0011344+0.00060523i,0.0012075-0.00333i,0.0037729+0.0036878i,0.0021372+0.0012497i,0.00049365+0.0052587i,0.003147+0.010832i,-0.0012192+0.0012845i,0.00068737-0.0052673i,-0.0011118-0.0022291i,-0.002667-0.0032907i,0.00036922-0.0036195i,-0.0011515-0.0025361i,-0.013218+0.0042933i,4.0178e-05-0.0010584i,-0.00033145+0.00025471i,-0.0016718+0.00083656i,0.00025161-0.00051872i,-0.0016971-3.4603e-05i,-0.00041092-8.1771e-05i,0.0028344+0.0005747i,0.0013359+0.00061839i,-0.00061451-0.00039407i,-0.00025487+0.00092718i,0.001534+0.0026649i,-0.0053154-0.0091947i,-0.00022499+0.002488i,-0.0017362+0.00068135i,-0.00016612-0.00029988i,0.0012277-0.00082931i,-0.00093153-0.00036706i,-0.0019404-0.0010855i,-0.001283+0.003323i,-0.0016345-0.0031624i,-0.0016771+0.025112i,-0.035469-0.012899i,-0.021457+0.020215i,-0.034356-0.03079i,-0.066633-0.0076944i,-0.018836-0.0080839i,-0.0089542+0.033722i,-0.0091405+0.0063717i,-0.02829-0.0072422i,-0.030338-0.0047402i,-0.029135+0.024953i,-0.0026703+0.0034684i,0.01265+0.023914i,0.012316-0.0032494i,-0.0047009+0.0017722i,-0.01992+0.015998i,0.0019277+0.0081597i,0.00011806+0.0071473i,0.0029148-0.0047156i,0.0079927+0.0047287i,-0.00063894+0.0063501i,0.00021397+0.0039346i,0.0011746-0.0071581i,0.0020198+0.0022769i,0.0025194+0.00060545i,-0.0030663+0.0044949i,-0.002588-0.0021971i,0.0057727-0.0029293i,0.0081607+0.0068188i,0.00070575+0.00018106i,-0.01501-0.023784i,0.0098847-0.0084262i,0.0024061-0.005347i,0.0051248+0.0019302i,-0.00024919-0.00086876i,0.0065333-0.013629i,0.0069942+0.00075686i,-0.0038486+0.0038284i,0.0021751+0.0042775i,0.0073703-0.0044556i,0.0027259-0.010617i,-0.00057637-0.0017474i,0.0046593-0.0061236i,0.00027009-0.0020226i,0.0025295-0.0095389i,-0.037363+0.01524i,-0.026523-0.001926i,-0.0070832-0.014751i,-0.0027563-0.0003157i,-0.0065312+0.026382i,-0.0095522+0.0057336i,-0.0011966+0.0093163i
-0.0024453+0.047287i,-0.0041245+0.019225i,-0.0050337+0.025072i,-0.0082121+0.023184i,0.0067579+0.0088742i,0.0041388+0.0024471i,-0.0025522+0.033316i,0.016315+0.013531i,0.010414+0.0029841i,-0.0028336+0.0029213i,0.0040224-0.0020109i,0.0021977+0.0015069i,0.00012284-0.0032348i,0.00532+0.0024093i,0.0021857+0.00073206i,0.0033306+0.0060198i,0.0078372+0.0085775i,-0.00070885+0.0015843i,-0.0010143-0.0052039i,-0.0019475-0.0017248i,-0.0028394-0.0020421i,-0.00028722-0.0037599i,-0.0017261-0.0020064i,-0.011108+0.0061116i,-0.0011748-0.00084948i,-0.00081727+0.00013553i,-0.0014579+0.00097079i,-0.000196-0.0014025i,-0.001389+0.00039973i,-0.00031328-0.00022657i,0.0025799-0.00042933i,0.0013754-0.00028355i,-0.00071355-1.9089e-05i,-6.8132e-05+0.00090204i,0.0015893+0.0022353i,-0.0088193-0.0083203i,0.0002104+0.0021654i,-0.0011506+0.0012853i,-0.00096555+0.00044403i,0.00089179-0.00035004i,-0.00081082-6.2504e-05i,-0.0020584-0.00041268i,-0.00010336+0.0030478i,-0.0024269-0.00094674i,0.0023987+0.025542i,-0.029769-0.0049881i,-0.017567+0.01872i,-0.039629-0.019712i,-0.064074+0.011105i,-0.022264-0.010757i,-0.0021883+0.026824i,-0.0064478+0.0019854i,-0.027075-0.004543i,-0.030107-0.0019541i,-0.021115+0.029542i,-0.0029323+0.0037335i,0.018849+0.010516i,0.010059-0.007597i,-0.0055085+0.0057931i,-0.011939+0.023262i,0.0045859+0.0068458i,0.0042038+0.0056385i,0.00030569-0.0015795i,0.0097108+0.0012122i,0.0018944+0.0076327i,0.001607+0.0050647i,-0.003674-0.0090005i,0.0012257+0.0051946i,0.0026221+0.0021756i,-0.00037008+0.0075543i,-0.0017562-0.00043596i,0.0043032-0.0038228i,0.0096935+0.0016821i,0.0012388-0.00060443i,-0.022858-0.021566i,0.0056233-0.010298i,1.7836e-05-0.0054287i,0.0051098-0.00089467i,-4.3391e-05+0.00050152i,0.0040989-0.012754i,0.0067276-0.0025882i,-0.0011021+0.0050218i,0.0035153+0.0021175i,0.0056833-0.0061062i,-0.0039178-0.0098969i,-0.00079958-0.001966i,0.0013888-0.0055021i,-0.00042484-0.0026847i,-0.0022526-0.0089506i,-0.032737+0.0177i,-0.023772+0.011007i,-0.011668-0.014245i,-0.0045583-0.0014695i,-0.0027935+0.025438i,-0.0088458+0.010085i,0.0020903+0.007601i
0.0048983+0.045978i,-0.0015926+0.020028i,-0.0033141+0.027174i,-0.0050825+0.022112i,0.0058792+0.0071684i,0.0042319+0.0013784i,0.0043348+0.030336i,0.016765+0.0097082i,0.010582+0.0011303i,-0.0021122+0.0032305i,0.0029033-0.0015058i,0.0043759+0.0017655i,-0.00090474-0.00272i,0.0056688-0.00031999i,0.0019963+0.00033395i,0.0058415+0.0052148i,0.010508+0.0046091i,-9.718e-05+0.0017743i,-0.0022496-0.004562i,-0.0024-0.00080004i,-0.0025271-0.00088667i,-0.0013445-0.0036804i,-0.0020916-0.0014039i,-0.009673+0.0090629i,-0.0017809-0.00013022i,-0.0011621+0.0006194i,-0.00123+0.0013076i,-0.0013195-0.0017771i,-0.0011239+0.00046508i,-0.0005371-0.00033738i,0.0020547-0.0012218i,0.0012116-0.0004808i,-0.00031057+5.1768e-05i,0.00017162+0.00079425i,0.0021617+0.0011949i,-0.012141-0.0062833i,0.00078743+0.0019996i,-0.00068942+0.0013507i,-0.00086077+0.0009683i,0.00095826-0.00016954i,-0.00062707+0.00014809i,-0.0015314-8.2405e-05i,0.00055903+0.0024086i,-0.0021251+0.00040436i,0.0074048+0.024569i,-0.025803-0.0034633i,-0.014821+0.017915i,-0.039166-0.0096659i,-0.054309+0.026517i,-0.025562-0.0082504i,0.0020113+0.021498i,-0.0062965-0.00238i,-0.025293-0.002741i,-0.029412+0.0024515i,-0.012801+0.032624i,-0.001826+0.0038848i,0.013157-0.0015446i,0.0055089-0.011153i,-0.0037572+0.0089516i,-0.0031684+0.024269i,0.0054917+0.0042313i,0.0053394+0.0015078i,0.0012542-0.00018017i,0.0091034-0.0018765i,0.0063854+0.0068344i,0.0033936+0.0061256i,-0.0082495-0.0036127i,0.0035386+0.0069051i,0.0039347+0.0027612i,0.0039181+0.0073723i,-0.0011172+0.00010322i,0.0034138-0.0045258i,0.0094997-0.0046155i,-0.00044155-0.0009959i,-0.030813-0.012677i,0.0017255-0.010328i,-0.001937-0.0040589i,0.0051812-0.00081313i,0.00068804+0.00069619i,0.0026483-0.014668i,0.0049491-0.004977i,0.0011733+0.004102i,0.003383+0.0011487i,0.0042193-0.0067767i,-0.0072971-0.005689i,-0.0020038-0.0018556i,-0.0010689-0.0050786i,-0.0020493-0.0030593i,-0.0050942-0.0067521i,-0.027278+0.020282i,-0.017421+0.011706i,-0.012518-0.01277i,-0.0059662-0.0013576i,0.0015718+0.023344i,-0.0073856+0.012144i,0.0024722+0.0050675i
0.011689+0.043591i,0.0017391+0.020723i,0.00034292+0.02951i,-0.0024012+0.021831i,0.0049969+0.0066881i,0.0038484+0.0005246i,0.0097674+0.026068i,0.016937+0.0065542i,0.010764-0.0012982i,-0.0012648+0.0035085i,0.0030388-0.0010224i,0.006319-0.00039683i,-0.0016849-0.0018566i,0.0038456-0.0016376i,0.0019389+0.00017748i,0.0077662+0.0031799i,0.011014+0.00068967i,0.00072655+0.001365i,-0.0033318-0.003683i,-0.0021594+0.00036209i,-0.0018098-0.00027539i,-0.0022454-0.0027496i,-0.0022977-0.0007921i,-0.0052387+0.011586i,-0.0019925+0.00079284i,-0.00086909+0.0012532i,-0.00090765+0.0017213i,-0.002695-0.0011089i,-0.0010466+0.00056605i,-0.00071951-0.00018546i,0.0012253-0.0017161i,0.0013289-0.0014933i,-0.00042342-4.4129e-05i,0.0001556+0.00066191i,0.0019601+0.0002439i,-0.014574-0.0022493i,0.0012262+0.001561i,-0.00034569+0.0015887i,-0.00095753+0.0011099i,0.0012875-5.7172e-05i,-0.00019199+0.00019947i,-0.0012453+0.00016007i,0.00077016+0.0017092i,-0.0014424+0.0014423i,0.011572+0.021799i,-0.025774-0.002578i,-0.012805+0.016676i,-0.038196-0.0016549i,-0.040943+0.034758i,-0.028677-0.0050804i,0.0056974+0.01551i,-0.0072669-0.0044382i,-0.023942-0.0016694i,-0.027085+0.0075875i,-0.0038562+0.033168i,-0.00083754+0.0036754i,0.0060862-0.0033991i,0.00041762-0.012273i,0.00016188+0.011945i,0.0044667+0.021424i,0.0047768+0.0018074i,0.0043275-0.0019354i,0.00079762+0.00015801i,0.0073947-0.0052247i,0.0093925+0.0032662i,0.0060113+0.0058662i,-0.0079942+0.00054049i,0.0062621+0.007551i,0.0056164+0.002511i,0.0079921+0.0049992i,-0.00063849+0.00077943i,0.002882-0.0052283i,0.0054718-0.0083883i,-0.00078793+0.00085464i,-0.034122-0.00039983i,-0.0010317-0.0095925i,-0.0027752-0.0021777i,0.00549-0.0018871i,0.0010097+0.0003465i,-0.00151-0.016902i,0.002301-0.0060478i,0.0026918+0.003531i,0.003756-7.7645e-05i,0.0035117-0.0074725i,-0.0090729-0.0028471i,-0.0033555-0.00037185i,-0.0034629-0.0033743i,-0.0029623-0.0027132i,-0.0063948-0.0042977i,-0.022671+0.020904i,-0.015786+0.012i,-0.013153-0.013541i,-0.0070704-0.00019005i,0.0033783+0.022233i,-0.006256+0.013103i,0.0029236+0.0037468i
0.018311+0.040424i,0.006061+0.020327i,0.0063695+0.030401i,0.00060601+0.02147i,0.0053052+0.0072058i,0.0035858+0.00015403i,0.013445+0.020725i,0.017126+0.0035202i,0.010185-0.0039129i,-0.00063707+0.0035444i,0.0032775-0.0017235i,0.0056936-0.0036372i,-0.0019778-0.00085282i,0.0028984-0.0017189i,0.0020135-5.3106e-05i,0.0080458+0.00031503i,0.010174-0.0029776i,0.00071809+0.00072287i,-0.0043838-0.0023171i,-0.0013023+0.0009277i,-0.0010433-0.00037108i,-0.0022935-0.0019811i,-0.0022972-8.4379e-05i,-0.00073424+0.011451i,-0.001626+0.0015374i,-0.00031893+0.0014954i,2.9328e-05+0.0019385i,-0.0032338+0.00034169i,-0.00081312+0.000536i,-0.00080946-9.8939e-05i,0.00032895-0.0017953i,0.00010629-0.0021851i,-0.00055454+0.00014186i,0.00014155+0.00063346i,0.0012784-0.00031523i,-0.014613+0.0027743i,0.0013958+0.0010911i,0.00029764+0.0015887i,-0.00088179+0.001513i,0.0014798-0.00036923i,1.4301e-06-8.3853e-05i,-0.00076695+0.0002212i,0.00056516+0.0012088i,-0.00051584+0.0019302i,0.0144+0.019075i,-0.028012+0.0011733i,-0.011243+0.015798i,-0.033152+0.0063845i,-0.028299+0.039203i,-0.031067+0.0020177i,0.007717+0.0081828i,-0.0054775-0.0068884i,-0.023012+0.00032905i,-0.022738+0.012448i,0.0039848+0.031428i,-0.00048092+0.002821i,0.0019738-0.0033226i,-0.0051022-0.01171i,0.0063702+0.011385i,0.0084693+0.016204i,0.0025884+0.00062603i,0.0025535-0.0045033i,0.0016173+0.0026135i,0.0037061-0.0073073i,0.010243-0.0023243i,0.0084316+0.0038539i,-0.0072948+0.0043406i,0.010601+0.0066144i,0.0078831+0.00019192i,0.0098552+0.00010323i,0.00023115+0.0013146i,0.0015131-0.005848i,-0.0002398-0.0089815i,0.00096039+0.0024209i,-0.032643+0.012798i,-0.003182-0.0087633i,-0.0024542-0.00030767i,0.0053001-0.0056873i,0.0013425+0.00074895i,-0.0081577-0.016196i,-0.0004173-0.0056828i,0.0040333+0.0018712i,0.0037632-0.00059374i,0.0016853-0.008414i,-0.0092025+0.0028111i,-0.003153+0.0017821i,-0.0049246-0.0013672i,-0.0041931-0.0026837i,-0.0064802-0.0020186i,-0.020335+0.021967i,-0.014702+0.01607i,-0.016237-0.016021i,-0.0055114+0.0014422i,0.0070796+0.021597i,-0.0057652+0.015269i,0.0039938+0.0009919i
0.024253+0.036049i,0.010156+0.018521i,0.012651+0.028266i,0.0037574+0.02042i,0.0065714+0.0072913i,0.0038629-6.7116e-05i,0.015125+0.015532i,0.016799+0.00051656i,0.009023-0.0061571i,-0.00011644+0.0038521i,0.0027815-0.002372i,0.0032345-0.0053083i,-0.0019534+1.2247e-05i,0.001913-0.0018115i,0.0019874-0.00035774i,0.0066945-0.0019549i,0.0079708-0.0055463i,0.00064455+0.00050365i,-0.0044782-0.00062722i,-0.00052852+0.00094833i,-0.00045442-0.00071006i,-0.0023353-0.0015573i,-0.001999+0.00051565i,0.0025204+0.010548i,-0.0010309+0.0018852i,0.00019258+0.0015954i,0.0006345+0.0015658i,-0.0027894+0.0017677i,-0.00073454+0.00038616i,-0.0010844+0.00018698i,-0.00042516-0.0015109i,-0.0012595-0.001908i,-0.00032162+0.00030182i,0.00034199+0.00065202i,0.00062161-0.00061196i,-0.012706+0.0070655i,0.0014847+0.00058184i,0.00068739+0.0011444i,-0.00033188+0.0021205i,0.0014864-0.0010093i,-1.1774e-05-0.00028176i,-0.00057259-0.00024962i,0.00031726+0.0011374i,0.00040849+0.0019489i,0.01693+0.016593i,-0.027291+0.0081715i,-0.010999+0.015396i,-0.026923+0.0097966i,-0.01515+0.040495i,-0.028954+0.011104i,0.0059469+0.0010068i,-0.0061792-0.012626i,-0.020009+0.00164i,-0.01579+0.016365i,0.012194+0.027308i,-0.00071454+0.0027149i,-0.0017613-0.0019081i,-0.0096599-0.0084473i,0.01055+0.0068801i,0.010251+0.012765i,-0.00052035+0.0017056i,-0.00041732-0.0068004i,0.0051728+0.0015463i,-0.00018081-0.0068531i,0.0072546-0.0063126i,0.009719+0.000414i,-0.0057932+0.0069954i,0.014189+0.0011064i,0.0077499-0.0046651i,0.008613-0.0051879i,0.0015978+0.0012272i,-0.00034064-0.006232i,-0.0040908-0.0057567i,0.0030191+0.0013362i,-0.024996+0.026479i,-0.0054054-0.0073394i,-0.001227+0.00090525i,0.0015317-0.0072479i,0.0022127+0.0005449i,-0.014051-0.01208i,-0.0015062-0.0039341i,0.0041648-0.00054151i,0.003547-0.0015206i,-0.00099154-0.0083298i,-0.0053566+0.0070136i,-0.0017831+0.0032705i,-0.0051652+0.0021548i,-0.0059597-0.0018188i,-0.006133-0.0008655i,-0.015832+0.025765i,-0.0069101+0.019642i,-0.022727-0.015261i,-0.0033501+0.00020033i,0.0098518+0.019311i,-0.0033134+0.017901i,0.0026786-0.0024574i
