-0.023662-0.037839i,-0.012219-0.04986i,-0.018085-0.044027i,-0.030618-0.035169i,-0.029999-0.015957i,-0.050595-0.027424i,-0.057559-0.024588i,-0.044099-0.036948i,-0.027253-0.033557i,0.0086406+0.011825i,-0.0061617+0.01506i,-0.0046977+0.014278i,0.0093443+0.020458i,0.00024683+0.0044783i,0.0034899+0.0031944i,0.006809+0.017955i,0.026123+0.039839i,-0.0024913-0.0014957i,-0.0049586-0.0059512i,0.0065324+0.0012336i,-0.00033041-0.00092576i,-0.00060516+0.0010625i,0.00029051-0.00025298i,-0.030056-0.0029454i,-0.0022153-0.006542i,0.001463+0.00409i,0.0036024-0.0005725i,-0.00070459+0.0009208i,0.00056062-0.00046222i,-0.00095916-0.0026356i,-0.0019208-0.0059452i,-0.0043132-0.0044821i,-0.0024666-0.0047061i,0.0022904-0.00020607i,0.0020221-0.0031508i,0.00041048+0.027196i,0.0014721-0.0030837i,0.0025967+0.00078823i,0.0055209+0.0012063i,-0.010431-0.0033055i,-0.0033691+0.00039179i,0.0061788+0.00028076i,0.0055763+5.3466e-05i,-0.0031205+0.0049747i,0.001221-0.0090762i,-0.011727+0.018014i,0.035176-0.091039i,0.012148-0.070331i,-0.015673-0.059874i,-0.016171-0.05544i,0.039491-0.046181i,0.016652-0.062436i,0.034397-0.055704i,0.029117-0.060295i,0.015239-0.014507i,0.0044611+0.016493i,0.016782-0.026135i,-0.011692+0.0056051i,-0.0001994+0.0054i,-0.0048016-0.001557i,-0.002435-0.028827i,-0.024116+0.031582i,0.010304-0.011254i,-0.013226-0.0022856i,-0.00012434-0.0050134i,-0.0015246-0.016269i,-0.0073462+0.0042981i,0.005415+0.0068683i,-0.0076514+0.030754i,0.0050377+0.0063866i,-0.0053943-0.00042412i,-0.0033838-0.00054838i,-0.012811-0.0072895i,-0.00035934-0.0043351i,-0.034918-0.0097547i,-5.478e-05-0.010093i,-0.0094877-0.0018819i,-0.0069351-0.0025466i,0.0069594+0.0024944i,-0.0075737+0.0010823i,2.0185e-05+0.00047085i,0.0063482+0.010612i,0.0039487+0.0013067i,-0.0091041-0.0092414i,0.0032237+0.0082979i,-0.019507+0.0053773i,0.0088849+0.00088042i,-0.029404-0.003293i,-0.042269+0.0019451i,0.017153-0.091701i,-0.0021228-0.012624i,-0.054106-0.02213i,-0.022966-0.0002938i,0.017756+0.010853i,-0.024815+0.013355i,-0.017226-0.011658i
-0.03167+0.017888i,-0.051025+0.021084i,-0.032124+0.045651i,-0.030211+0.024499i,-0.027417+0.039219i,0.0060736+0.046237i,-0.0017783+0.023272i,-0.014555+0.038679i,-0.013276+0.02182i,-0.0041706-0.0046444i,-0.0037824-0.0029837i,-0.001856-0.0030555i,-0.0038854-0.00092099i,-0.0066464-0.0041116i,-0.0017943+0.0039477i,-0.0025979-0.0012383i,-0.010585-0.0051896i,-0.0016628-0.0006405i,0.002742-0.0008465i,0.0021063-0.00085444i,0.0027039-0.0034974i,0.0022875-0.0038369i,0.0013953-0.0025039i,-0.0090969-0.0079739i,-0.0019694+0.00068839i,-0.0036928+0.0013672i,-0.0018325-6.7538e-05i,-0.0031525-0.0011376i,-0.0013356-0.0014497i,0.0013352-0.0017159i,-0.0024715+0.0061178i,0.0015518-0.00013103i,0.0028747+2.124e-05i,0.0011404+0.0014886i,-0.0013415+0.0032076i,-0.0008287-0.0063688i,-0.002101+5.4133e-05i,0.00019168-0.00014051i,-0.00064455+0.0038052i,0.0072457+0.0048387i,0.0013809-0.0029357i,0.0018027-0.0044398i,-0.0029987+0.0023634i,0.00016172+0.0029356i,-0.032143-0.0051446i,0.010162-0.07819i,-0.093412-0.0292i,-0.051383-0.035772i,-0.075748-0.049499i,-0.058351-0.0052188i,-0.093132+0.019694i,-0.05907+0.012048i,-0.049165-0.022135i,-0.031355-0.057672i,-0.027659-0.029344i,0.0024687+0.0048024i,-0.01805+0.011246i,0.0093124+0.0036306i,0.010488+0.0041498i,0.0014161-0.0064902i,0.0083628+0.00070613i,-0.0081302-0.0037222i,0.0023757+0.014395i,-0.00055273+0.0095406i,0.00063094+0.0014325i,0.0056205+0.0036106i,0.0019305-0.0011622i,-0.00023484+0.014409i,-0.00086164+0.011998i,0.0033056-0.0050801i,0.0098002-0.0075283i,0.0022202+0.0025603i,-0.0077967-0.0062762i,-0.0024167-0.003373i,0.01846-0.026473i,0.0056397+0.0043491i,0.0033486+0.003842i,-0.0039129+0.0021876i,0.0022007-0.0039756i,0.02177+0.00082817i,0.0019507-0.0027253i,0.00072605-0.009794i,6.5949e-05-0.0026213i,0.013568+0.0033353i,0.0041102+0.00019815i,0.0045774-0.0074005i,0.0028702+0.0086949i,0.0040681-0.00076384i,0.023834+0.0055428i,-0.080989-0.033816i,-0.0068846+0.017761i,0.0075193-0.0043043i,-0.002417+0.0037945i,-0.035721+0.012201i,-0.0070034+0.0066648i,-0.017093+0.014441i
-0.027449+0.021997i,-0.046856+0.025627i,-0.020654+0.044337i,-0.026297+0.028231i,-0.020887+0.040598i,0.014615+0.043125i,0.0011291+0.022611i,-0.0070614+0.03896i,-0.0085602+0.019568i,-0.0053994-0.0022868i,-0.0040202-0.00078803i,-0.0027085-0.0033047i,-0.004587-0.00020172i,-0.0068047-0.0014383i,-0.0006551+0.0049222i,-0.0047205+0.00059663i,-0.013403-0.00026281i,-0.0013727+0.0002524i,0.0030905-0.0014823i,0.0020605-0.0017804i,0.0015763-0.0038734i,0.0014657-0.0039406i,0.0010024-0.0025696i,-0.010241-0.0046134i,-0.0013163+0.001026i,-0.0032173+0.0023582i,-0.0013447+0.00051243i,-0.0033037-0.00013585i,-0.0018217-0.0011028i,0.00078735-0.0017725i,-0.00020707+0.0070303i,0.001114-0.00044907i,0.0023319-0.0010473i,0.00092648+0.0012333i,-0.0010531+0.0027376i,-0.0010312-0.0056626i,-0.00067194+0.00068651i,-0.00063302-0.00030957i,-4.4014e-05+0.0042174i,0.0073972+0.00084981i,0.00058487-0.0031745i,-0.00024774-0.0047714i,-0.0025696+0.0029203i,0.00095407+0.0030562i,-0.032247-0.0045008i,-0.013968-0.088807i,-0.089951-0.010759i,-0.06075-0.033899i,-0.087578-0.038068i,-0.057029+0.0048445i,-0.082983+0.036817i,-0.05451+0.024695i,-0.039848-0.020739i,-0.038854-0.053031i,-0.036637-0.020001i,0.0036016+0.001823i,-0.011126+0.019481i,0.0092191-0.00048367i,0.011395-0.0017434i,-0.003738-0.011054i,0.0042333+0.0003094i,-0.0079161+0.002873i,0.0079116+0.012406i,0.0022047+0.011013i,0.00086437+0.0012259i,0.0080452+0.0028926i,0.0022262-1.2381e-05i,0.0056307+0.010393i,0.0054004+0.0083517i,-0.0019053-0.0067509i,0.0032198-0.0077182i,0.0031876+0.0030201i,-0.011803+0.00068623i,-0.0026844-0.00045995i,0.008686-0.031033i,0.0070101+0.0036674i,0.006149+0.001823i,-0.0011396+0.0025519i,-0.00077702-0.0014626i,0.017554-0.0082942i,-6.7213e-05-0.0030625i,-0.0044455-0.0076384i,-0.0031963-0.0015151i,0.011541-0.0014722i,0.0035948+0.00049191i,0.0017708-0.0047773i,0.00575+0.0071294i,0.0029019-0.00096663i,0.024044-0.0021016i,-0.085062-0.024456i,0.0014307+0.0082259i,0.0061822-0.0096409i,-0.0006684+0.0017152i,-0.028764+0.02265i,-0.005426+0.0077029i,-0.012341+0.017801i
-0.02215+0.024662i,-0.043519+0.030411i,-0.013653+0.04021i,-0.021971+0.030643i,-0.013522+0.042383i,0.02213+0.038053i,0.0044431+0.022054i,-3.5195e-05+0.03806i,-0.0072565+0.017471i,-0.0055802+0.00048322i,-0.0031617+0.00090812i,-0.005681-0.0028794i,-0.0047662+0.0017696i,-0.0070031+0.00055077i,0.0012023+0.0053999i,-0.0055236+0.0036781i,-0.013937+0.0065054i,-2.3193e-05+0.00097019i,0.0031206-0.0031963i,0.0017136-0.0028615i,0.00017092-0.0043289i,0.00055386-0.004669i,0.00059482-0.0027909i,-0.010826-0.0017174i,-0.0011206+0.0011963i,-0.0019648+0.0038082i,-0.0010501+0.00033354i,-0.002698+0.0015268i,-0.0021113-0.00069154i,-0.00020491-0.0027088i,0.002931+0.0064003i,0.00077326-0.00056877i,0.0016462-0.0014018i,0.001417+0.00079804i,-2.9826e-05+0.0036238i,-0.001075-0.0055845i,-0.00098159+0.00055074i,-0.0010673-0.00010611i,0.0032505+0.0031537i,0.0059532-0.001397i,-0.00016804-0.0029291i,-0.0003045-0.0033164i,-0.0021766+0.0035996i,0.0015674+0.0017978i,-0.034604-0.0020253i,-0.042686-0.087326i,-0.080055+0.0030888i,-0.070768-0.026852i,-0.09462-0.022589i,-0.052623+0.013044i,-0.067669+0.048658i,-0.039587+0.03445i,-0.040696-0.024395i,-0.045495-0.049579i,-0.039853-0.0051286i,0.0036728-0.0010422i,-0.0019345+0.021323i,0.0080217-0.0033878i,0.0077244-0.0070699i,-0.014859-0.0098455i,0.0032473-0.00062302i,-0.0042394+0.0058565i,0.011679+0.0073597i,0.0050813+0.011465i,-6.0839e-05+0.0017181i,0.0079975-0.0011837i,0.0038781-0.001638i,0.0068487+0.0056091i,0.0056841+0.0026038i,-0.006964-0.0033791i,0.00090374-0.0060404i,0.0053353+0.0018884i,-0.0058189+0.0088149i,-0.0012788+0.0014221i,0.0012441-0.026945i,0.0091018+9.6926e-05i,0.0061862-0.00057352i,6.7796e-05+0.0034484i,0.00061615+0.00039596i,0.011569-0.012234i,-0.0023604-3.0924e-05i,-0.0079415-0.003771i,-0.0039812+0.0018888i,0.007258-0.0046903i,0.0063932-0.00078635i,0.0027853-0.0046055i,0.0090807+0.003605i,0.0042239-0.0018745i,0.020865-0.0091056i,-0.088701-0.010928i,-0.00026045-0.0017615i,0.0095499-0.0052683i,0.00050047-0.00091181i,-0.021717+0.026038i,-0.0043334+0.003348i,-0.013639+0.012137i
-0.016664+0.025066i,-0.03897+0.03596i,-0.01005+0.036843i,-0.017163+0.033533i,-0.0050864+0.041378i,0.027979+0.031532i,0.0084225+0.020983i,0.0063606+0.035427i,-0.006648+0.017392i,-0.0044947+0.0028632i,-0.0025159+0.0011325i,-0.0075025+0.00067262i,-0.0042355+0.0034085i,-0.0069891+0.0030536i,0.0028928+0.0047873i,-0.0043052+0.0072514i,-0.0088967+0.013201i,0.00090618+0.00011841i,0.0016603-0.0042265i,0.00017808-0.0041098i,-0.0014144-0.004033i,-0.00059921-0.0046217i,2.7771e-05-0.003367i,-0.010836+0.0014943i,-0.00056177+0.00090809i,0.00028499+0.0031708i,-0.0011196+0.00025082i,-0.0013835+0.0018511i,-0.0024343+0.00029111i,-0.0017957-0.0021704i,0.0044696+0.0046422i,0.00034442-0.00049703i,0.00090033-0.0018215i,0.0015557+0.00017635i,0.0018081+0.0030494i,-0.0021624-0.0070307i,-0.00080934+0.0010734i,-0.0013299+0.00043408i,0.0033747-0.00029892i,0.0046052-0.0022573i,-0.00093281-0.0027997i,-0.00013083-0.0021299i,-0.0060549+0.0055537i,-0.00032503-0.00040478i,-0.036673+0.0025052i,-0.06695-0.070756i,-0.069468+0.0086841i,-0.078579-0.014993i,-0.098593-0.0061187i,-0.046603+0.018582i,-0.053257+0.054035i,-0.025163+0.033352i,-0.044934-0.021443i,-0.053389-0.041958i,-0.035954+0.0052866i,0.0020477-0.0032566i,0.0064282+0.019713i,0.0064884-0.0056826i,0.0023237-0.0084619i,-0.015981-0.0027215i,-0.00017293+0.00039853i,-0.00044909+0.0053591i,0.011159+0.0011608i,0.010407+0.010865i,0.00039332+0.0030946i,0.0043004-0.0023807i,0.0034565-0.0051747i,0.0053212+0.0015521i,0.0030248+0.00041461i,-0.0073143+0.00048975i,-0.0012698-0.0049778i,0.0058632-0.00033257i,0.0033438+0.0082909i,6.2114e-05+0.0011963i,-0.0045259-0.017982i,0.0080125-0.0031177i,0.0063888-0.0031253i,0.0016332+0.0034792i,0.0011686+1.219e-07i,0.0063923-0.012821i,-9.2768e-06+0.0019992i,-0.009573+0.00099656i,-0.0016818+0.0040357i,0.0040752-0.0042516i,0.0058218-0.0042614i,0.00054873-0.005385i,0.0091454-0.0017015i,0.0029659-0.0049669i,0.017071-0.01522i,-0.08571+0.0035689i,-0.0073182-0.005327i,0.0047719-0.012838i,-3.3385e-05-0.0046157i,-0.012736+0.027178i,-0.0088275+0.0023004i,-0.0092361+0.011163i
-0.012794+0.02485i,-0.034108+0.040512i,-0.0085303+0.03524i,-0.011007+0.035475i,0.0018084+0.038386i,0.031841+0.024544i,0.01243+0.018689i,0.012028+0.032133i,-0.0047845+0.018566i,-0.002771+0.0041652i,-0.002656+0.0019299i,-0.0069487+0.0041958i,-0.0032978+0.0047706i,-0.0052242+0.0057191i,0.0043908+0.0037738i,-0.0012977+0.0094804i,-0.0021546+0.015397i,0.0008593-0.00056009i,0.00059236-0.0043502i,-0.0018953-0.0038758i,-0.0028298-0.0032773i,-0.0019569-0.0041361i,-0.0012639-0.0035073i,-0.0087909+0.0038881i,-0.0010627+0.00052589i,0.00032664+0.0016796i,-0.001129+0.0003721i,-0.00067914+0.0017498i,-0.001915+0.0013484i,-0.0019862-0.0007296i,0.0058411+0.0014181i,0.00025947-0.0005167i,-8.4965e-06-0.0016787i,0.0013234-0.00034036i,0.0023838+0.0017097i,-0.0050018-0.0074256i,-0.00050168+0.0014982i,-0.0010574+0.0014104i,0.0013701-0.0012609i,0.0032896-0.0024518i,-0.0016571-0.0024316i,-0.00057704-0.0022544i,-0.001208+0.004849i,-0.0026834+0.001402i,-0.036785+0.0091016i,-0.076141-0.047434i,-0.063707+0.0098872i,-0.0829-0.000786i,-0.099231+0.012156i,-0.042168+0.021204i,-0.040164+0.05646i,-0.015797+0.029451i,-0.047517-0.017432i,-0.057064-0.033292i,-0.030381+0.013896i,0.00019716-0.0045314i,0.015357+0.013708i,0.0047791-0.0072328i,-0.0025476-0.0069514i,-0.019394+0.0078992i,-0.00066469+0.0031796i,0.0021008+0.0051396i,0.006945-0.0012728i,0.014594+0.0070137i,0.0018259+0.0034098i,0.0024911-0.0012711i,0.00091865-0.0068496i,0.0024146+0.0018984i,0.00061715+0.0016836i,-0.0068574+0.0053395i,-0.0029257-0.0024469i,0.0052597-0.0026207i,0.0070983+0.0039051i,0.00068381+0.00066613i,-0.0088017-0.015726i,0.0060065-0.005521i,0.0046308-0.0051304i,0.0048836+0.0016256i,0.0016971+0.00011524i,0.0029985-0.012087i,0.0019511+0.0014652i,-0.0071513+0.0060714i,0.0016695+0.0040237i,0.0032314-0.0033115i,0.0038962-0.0083984i,-0.00038579-0.0045011i,0.0058963-0.0048128i,-0.00041578-0.0063043i,0.0099532-0.021436i,-0.080115+0.013399i,-0.014585-0.0016668i,-0.00054123-0.016415i,-0.002365-0.0076103i,-0.0074131+0.025624i,-0.012422+0.0055207i,-0.0077586+0.01282i
-0.0097192+0.02474i,-0.028567+0.045332i,-0.0071716+0.036619i,-0.0047615+0.034942i,0.0062089+0.034237i,0.034581+0.017692i,0.016316+0.01503i,0.016507+0.02823i,-0.002015+0.018375i,-0.0011792+0.0038897i,-0.0030286+0.0034151i,-0.0051382+0.0067307i,-0.0018127+0.0061947i,-0.002721+0.0066906i,0.00514+0.0022454i,0.0021592+0.010037i,0.0044488+0.014268i,0.0008555-0.00055165i,-0.00086967-0.0046547i,-0.0032311-0.0027537i,-0.003277-0.0018345i,-0.0027357-0.0032091i,-0.0023295-0.0027836i,-0.0075097+0.0047583i,-0.0013566+0.0012307i,-5.5884e-05+0.0015243i,-0.0013718+0.00059844i,1.7114e-05+0.0014543i,-0.00096091+0.0016997i,-0.0016837+1.4544e-05i,0.0055796-0.00066675i,7.7927e-05-0.00066499i,-0.00055184-0.0012749i,0.00087637-0.00092366i,0.0024273+0.001092i,-0.0071301-0.0061522i,-0.00021348+0.001441i,7.6455e-05+0.001804i,0.00031004-0.0013354i,0.0024051-0.0023556i,-0.0021515-0.0016156i,-0.0013238-0.0021298i,0.00082756+0.0046761i,-0.0026301+0.0043724i,-0.034972+0.015804i,-0.074347-0.030458i,-0.060975+0.012166i,-0.082569+0.016355i,-0.093666+0.032539i,-0.040733+0.023991i,-0.028892+0.055837i,-0.008582+0.024985i,-0.048512-0.011387i,-0.060478-0.025672i,-0.023404+0.016866i,-0.0032223-0.0047348i,0.017786+0.0016326i,0.0030241-0.0094968i,-0.0056674-0.0033197i,-0.015124+0.015725i,0.0010083+0.003778i,0.0049327+0.0034774i,0.0051205-2.4704e-05i,0.01704+0.00029591i,0.0027389+0.0032955i,0.0022527-0.0006464i,-0.0026857-0.0081733i,0.0018286+0.0036832i,0.00093003+0.0035255i,-0.0017155+0.009019i,-0.0018586+1.2519e-05i,0.0037803-0.0034926i,0.0087414+5.861e-05i,0.0014468-0.00031118i,-0.014553-0.014607i,0.0031824-0.0067025i,0.0015548-0.0056734i,0.0040845-0.00082277i,0.0019037+0.00017276i,0.001486-0.010392i,0.0026362+0.00016089i,-0.0031578+0.007933i,0.0029722+0.0015984i,0.0025157-0.0035119i,-0.0020348-0.0095048i,-0.0015976-0.0048777i,0.0033017-0.005354i,-0.0024474-0.0063503i,-0.00072047-0.022652i,-0.076003+0.022769i,-0.012955+0.0081867i,-0.0052678-0.017381i,-0.0061071-0.0082244i,-0.004208+0.024287i,-0.011752+0.011058i,-0.0028041+0.01275i
-0.0066319+0.025019i,-0.021559+0.049884i,-0.0035271+0.038966i,0.00018335+0.033534i,0.0085018+0.031561i,0.036235+0.010731i,0.019002+0.010516i,0.02005+0.024218i,0.00047517+0.018312i,-0.00053787+0.0040144i,-0.0017806+0.0056663i,-0.0022649+0.0085623i,9.6899e-05+0.0067871i,-0.0004622+0.0065216i,0.0052144+0.0007783i,0.0054243+0.0091795i,0.009298+0.010754i,0.00085823-0.00067477i,-0.002253-0.004058i,-0.0037177-0.0010746i,-0.0030226-0.00065407i,-0.0033722-0.0024423i,-0.0028165-0.0017945i,-0.0070174+0.0065337i,-0.00082081+0.0018061i,-2.72e-05+0.001969i,-0.0013033+0.0012769i,-2.3745e-05+0.0010217i,-0.0003597+0.0015148i,-0.0013662+0.00036803i,0.0047806-0.0021962i,0.00013397-0.00038159i,-0.00060152-0.0010798i,0.00038147-0.0010764i,0.0026462-5.7042e-05i,-0.0090472-0.0046002i,0.00021522+0.0014861i,0.00088553+0.0014141i,-0.00046655-0.0013255i,0.0020003-0.0023234i,-0.0021769-0.00067488i,-0.0014461-0.0015063i,0.0019335+0.0035663i,-0.0012361+0.0057136i,-0.030735+0.021302i,-0.073331-0.023221i,-0.060221+0.016324i,-0.075799+0.031428i,-0.08212+0.049941i,-0.038191+0.029903i,-0.019369+0.05561i,-0.004664+0.019805i,-0.048306-0.0060028i,-0.062554-0.016604i,-0.018839+0.018799i,-0.0041638-0.0044674i,0.011052-0.0085416i,-0.00075556-0.01133i,-0.0062251-0.00012465i,-0.0075876+0.01977i,0.0013075+0.0030926i,0.0066896-0.00027859i,0.0060741-0.00027925i,0.01488-0.0050711i,0.0049358+0.0027678i,0.0023633+0.00057326i,-0.0073774-0.0039444i,0.0035552+0.0048764i,0.0019091+0.0049951i,0.0030294+0.0086771i,-0.0012111+0.00023063i,0.0025366-0.003958i,0.0098167-0.0055667i,-2.337e-05-0.00073912i,-0.018983-0.0099723i,0.0011539-0.0067785i,-0.00052812-0.0042319i,0.0043067-0.0004378i,0.0019795-0.00052774i,0.00056559-0.011123i,0.0021969-0.001397i,0.00037896+0.0073835i,0.0027414+0.00097098i,0.0021323-0.0031957i,-0.0057032-0.0052161i,-0.0039514-0.0046373i,0.00015035-0.0055323i,-0.0047046-0.0058584i,-0.0083535-0.018561i,-0.0696+0.031816i,-0.0081024+0.0066461i,-0.0071049-0.016039i,-0.0087216-0.0073015i,-0.00028825+0.022384i,-0.010153+0.013223i,-0.00063105+0.010467i
-0.0033386+0.024964i,-0.013252+0.052845i,0.002347+0.041373i,0.0044369+0.032367i,0.010718+0.030101i,0.036409+0.0039083i,0.020566+0.0056366i,0.023091+0.020355i,0.0031405+0.017891i,0.00018443+0.0041944i,0.00095917+0.0066854i,0.0013929+0.0084835i,0.0021058+0.0067143i,0.000989+0.0062879i,0.0050423-0.00045515i,0.0081723+0.0070282i,0.011864+0.0063012i,0.0010538-0.0015428i,-0.0031471-0.0032145i,-0.0032731+0.00062018i,-0.0024841+0.00028114i,-0.0037958-0.0010946i,-0.0029627-0.00099531i,-0.0044089+0.0083817i,-0.0002086+0.0022232i,0.00081417+0.0021911i,-0.00070488+0.0019427i,-0.00038806+0.0010863i,8.3118e-05+0.0015425i,-0.0010657+0.00072155i,0.0029978-0.0037772i,0.00044857-0.00074154i,-0.0011674-0.0010049i,-7.4274e-05-0.0010249i,0.0020569-0.0012014i,-0.011009-0.0015001i,0.00061853+0.001361i,0.0012431+0.0013907i,-0.0016032-0.00092952i,0.0018502-0.0022086i,-0.0018016-4.7784e-05i,-0.001608-0.00093382i,0.0024375+0.0025621i,0.00035812+0.0067716i,-0.02639+0.024248i,-0.078432-0.016738i,-0.058835+0.022154i,-0.067361+0.042943i,-0.066376+0.061055i,-0.03407+0.035004i,-0.0099141+0.053662i,-0.0023897+0.016747i,-0.047432-0.00010018i,-0.062595-0.0066752i,-0.014367+0.021212i,-0.0057708-0.0033497i,0.0030838-0.0098359i,-0.004658-0.011038i,-0.0052667+0.0039031i,0.00021774+0.019096i,0.00085813+0.002563i,0.0056242-0.0045356i,0.0050808-0.0015264i,0.011382-0.010294i,0.0064021+0.00062935i,0.0036035+0.0006361i,-0.0077656-0.00055004i,0.0056588+0.0052148i,0.0047156+0.0057788i,0.0083181+0.0058729i,-0.00080462+0.0010071i,0.0021219-0.004027i,0.0066752-0.0083986i,-0.00024783+0.000929i,-0.021892-0.0043292i,-0.00045751-0.0063461i,-0.001612-0.0026704i,0.0046864-0.001067i,0.0018097-0.00087224i,-0.0021876-0.012714i,0.0007526-0.0018285i,0.0035213+0.0066154i,0.0033975+0.00011626i,0.0027913-0.0033028i,-0.0070157-0.0024363i,-0.006726-0.0020537i,-0.0033823-0.0041547i,-0.0064568-0.0046816i,-0.012463-0.013668i,-0.062654+0.038263i,-0.0080592+0.0051533i,-0.0083145-0.01812i,-0.010595-0.0055645i,0.00064832+0.021373i,-0.00947+0.014838i,0.00055578+0.0084714i
0.00039376+0.024812i,-0.0039753+0.054249i,0.010063+0.04174i,0.0087019+0.030955i,0.014069+0.02989i,0.035649-0.0023448i,0.020941+0.00031539i,0.026145+0.01592i,0.0060867+0.016913i,0.00088137+0.004101i,0.0033497+0.0053467i,0.0037017+0.0063972i,0.0039526+0.0061547i,0.0027479+0.0058831i,0.0045879-0.0016308i,0.0094844+0.003836i,0.012098+0.0018983i,-5.0045e-05-0.0023331i,-0.0042082-0.0019608i,-0.0019311+0.0015228i,-0.001526+0.00052349i,-0.0034969+9.7334e-06i,-0.0030271-9.9429e-05i,-0.0012576+0.0088113i,0.00060844+0.0022436i,0.0016371+0.0016457i,0.00027095+0.0021186i,-0.00015665+0.0014694i,0.00078726+0.0011423i,-0.00064032+0.00077974i,0.0010014-0.0045214i,-3.4956e-05-0.0011328i,-0.0015168-0.00029794i,-0.00059789-0.00099171i,0.0011618-0.0017917i,-0.01119+0.0020927i,0.0009038+0.001123i,0.0015222+0.00095347i,-0.0021243+0.00019644i,0.0015034-0.0027105i,-0.0015317+0.00021812i,-0.0014772-0.00074195i,0.0023633+0.0017747i,0.0026967+0.007257i,-0.022447+0.02753i,-0.086654-0.003545i,-0.05461+0.027534i,-0.056201+0.05126i,-0.051214+0.068299i,-0.028914+0.041374i,-0.0012155+0.050193i,0.0026211+0.013416i,-0.045002+0.0060892i,-0.060098+0.0033043i,-0.01028+0.023316i,-0.0072677-0.0023828i,-0.0027682-0.009431i,-0.0087903-0.0098736i,-0.0013129+0.0054723i,0.0050348+0.014871i,-0.0003245+0.0027013i,0.0034164-0.0076156i,0.0053022-0.00096132i,0.0046603-0.013204i,0.0066044-0.0028068i,0.0046044-0.00013869i,-0.0079018+0.003879i,0.0085662+0.004177i,0.0082862+0.0031657i,0.0099985+0.00061488i,0.00045085+0.0017556i,0.0012499-0.0044343i,-0.00042739-0.0090117i,0.0011406+0.0021656i,-0.025325+0.004204i,-0.0015416-0.0055387i,-0.0013684-0.00058905i,0.0053256-0.0038593i,0.0019632-0.0009304i,-0.0076373-0.012329i,-0.00024662-0.0011802i,0.0059164+0.0038495i,0.0035415-0.00071538i,0.0023422-0.0040379i,-0.006631+0.0014835i,-0.0067152+0.0020326i,-0.0052029-0.0018117i,-0.0083905-0.0035931i,-0.014671-0.0080942i,-0.056628+0.044283i,-0.0088717+0.0079301i,-0.013235-0.02169i,-0.0090367-0.003434i,0.0034532+0.021808i,-0.0085866+0.017994i,0.0018928+0.0059541i
0.0043352+0.02357i,0.0052031+0.053621i,0.017828+0.038912i,0.012874+0.029159i,0.018785+0.028749i,0.034287-0.0082367i,0.019745-0.0047728i,0.027943+0.010804i,0.0088894+0.015387i,0.0016164+0.0041286i,0.0042242+0.0038711i,0.0042992+0.0045197i,0.0056358+0.0047006i,0.0040582+0.0047177i,0.0037836-0.0025835i,0.0092056+0.00085744i,0.011196-0.0012441i,-0.0011054-0.0019483i,-0.0042853-0.00046896i,-0.00078555+0.0015002i,-0.00079917+0.00024146i,-0.0029843+0.000647i,-0.0025415+0.00069742i,0.0014541+0.0085219i,0.001434+0.0017489i,0.0020416+0.0011053i,0.0011039+0.0017263i,0.00048763+0.0015787i,0.00086781+0.00047559i,-0.00053359+0.00084766i,-0.00090465-0.0039388i,-0.00074044-0.0010319i,-0.0013453+0.00037861i,-0.0011406-0.00063077i,0.00026811-0.0018487i,-0.0098452+0.0051155i,0.0011205+0.00064351i,0.0017553+0.0002157i,-0.0017859+0.0014611i,0.0010433-0.0032857i,-0.0012796+0.00035506i,-0.0015863-0.00087135i,0.0022615+0.0012799i,0.0054049+0.0066188i,-0.017892+0.030151i,-0.088272+0.017136i,-0.052206+0.031235i,-0.045868+0.055889i,-0.034303+0.073072i,-0.02056+0.047627i,0.005173+0.044337i,0.0052231+0.0059589i,-0.039527+0.010441i,-0.054754+0.013269i,-0.004151+0.024615i,-0.0090136+0.00015049i,-0.0082802-0.005918i,-0.012374-0.0067532i,0.0017571+0.0037446i,0.0065749+0.011584i,-0.0020002+0.0041333i,-0.00039257-0.010459i,0.0064706-0.0033019i,-0.0017499-0.011747i,0.0044847-0.0051974i,0.0053107-0.0022883i,-0.0058926+0.0071514i,0.010854+0.00031963i,0.0084994-0.0022509i,0.0088819-0.0051137i,0.0023065+0.0011994i,1.362e-05-0.0046279i,-0.0043535-0.0050631i,0.0031005+0.0012464i,-0.012223-0.00024452i,-0.0052497-0.0044007i,0.00013677+0.00047605i,0.0027947-0.006021i,0.0018056-0.0011302i,-0.012477-0.0081122i,-0.00013002+0.00017052i,0.0064887+9.6562e-06i,0.0027408-0.0014836i,0.0012719-0.004171i,-0.0045809+0.0045023i,-0.0044772+0.0051835i,-0.005115+0.0018952i,-0.010449-0.0012699i,-0.014543-0.0039602i,-0.048595+0.052178i,-0.0031701+0.011399i,-0.02009-0.019881i,-0.0073192-0.0045347i,0.0060723+0.021042i,-0.0055341+0.021379i,0.0021718+0.0022407i
