-0.030346-0.03884i,-0.021858-0.018669i,-0.013174-0.035574i,-0.029861-0.019948i,-0.022196-4.8752e-05i,-0.013583-0.0055425i,-0.055311-0.05821i,-0.046763-0.017367i,-0.038061-0.014022i,0.010824+0.011564i,-0.0078413+0.0053532i,-0.019435+0.018788i,0.0026002+0.011439i,-0.0061396-0.0031671i,0.00020478+0.0012202i,-0.0014988+0.030412i,0.027806+0.027778i,0.0026295-0.002366i,-0.0023577-0.0066089i,0.0080396+0.0024139i,0.0029251+0.0012089i,0.00026048+0.0037093i,-0.0003028+0.00031572i,-0.03745-0.011059i,-8.9474e-05-0.0078222i,0.0014111+0.0022087i,0.0062007+0.0017942i,0.0020088+0.00046318i,0.0011115-0.0005496i,-0.00031106-0.0025591i,0.0016131-0.0026362i,-0.0024124-0.00586i,-0.00027794-0.004878i,0.0028507-0.00082601i,0.0046573-0.0028899i,0.0022002+0.029875i,0.003906-0.0034334i,0.0030068-0.0017523i,0.0082092-0.001406i,-0.0050585-0.0024343i,-0.00018048+0.0011295i,0.0093985+0.0001923i,0.0038402-0.0027064i,-0.0014392+0.008936i,-0.018069-0.0063008i,-0.018613+0.015285i,-0.0035581-0.060897i,-0.0051411-0.027142i,-0.02686-0.032852i,-0.011079-0.026931i,0.054974-0.020396i,0.01656-0.04311i,0.022729-0.049065i,0.0053826-0.054812i,0.026373-0.021236i,0.0082935+0.0059651i,0.024748-0.034335i,-0.0081183-0.0066428i,0.0039552-0.004806i,-0.0043781-0.0072662i,-0.002193-0.033463i,-0.018613+0.029754i,0.0081404-0.011883i,-0.0091616-0.0039825i,-0.0041012-0.001705i,0.00079447-0.012931i,-0.011153+0.0047882i,0.0024389+0.010244i,-0.0051628+0.027227i,0.0050881+0.0025524i,-0.0052622-0.0018801i,-0.002167-0.0019609i,-0.012587-0.0072968i,-0.00048627-0.0040273i,-0.035997+0.0011569i,0.00061293-0.010925i,-0.0083515+0.00020034i,-0.0066819-0.002335i,0.0052487+0.0011687i,-0.0082284-0.00067912i,0.0021547-0.00029771i,0.0036728+0.0070585i,0.0043603+0.00050292i,-0.0081016-0.013324i,0.0026791+0.0090408i,-0.015137+0.0047916i,0.0070713+0.0001254i,-0.022213+0.00038027i,-0.017339+0.0055547i,-0.0093041-0.065554i,0.0081498-0.012873i,-0.049537-0.022421i,-0.021059+0.0011773i,0.017449+0.011352i,-0.022838+0.014552i,-0.018762-0.0054537i
-0.040083+0.031991i,-0.015421+0.018575i,-0.021036+0.041966i,-0.026121+0.013457i,-0.0042175+0.020893i,-0.00053413+0.0076439i,-0.029812+0.017258i,-0.0038355+0.029496i,0.0082574+0.017731i,-0.0052263-0.0063268i,0.0027167+0.0031232i,0.0076512-0.00010707i,0.0052659+0.0001496i,-0.00050577+0.0033194i,0.00070391+0.0020979i,0.0063146-0.004861i,-0.0063406-0.00092245i,-0.0030854-0.000685i,0.004165-0.0015103i,-8.5136e-05-0.00090575i,0.0027609-0.005218i,0.0016838-0.0027839i,0.0013777-0.0024144i,-0.0097209-0.011158i,-0.00054628+0.0023654i,-0.0016137+6.9005e-05i,-0.00397-0.0013179i,-0.0027725-0.00019344i,-0.0007682-0.0015519i,-0.00014197-0.00066904i,-0.00083648+0.0037556i,0.0006931+0.00086086i,0.0016362+0.00074041i,-0.00056485+0.00077005i,-0.0028803+0.0028394i,-0.0011338-0.0075145i,-0.0025996+0.0010504i,0.00081296-0.00053176i,-0.001777+0.003532i,0.0038079+0.0028415i,-0.00035235-0.0015791i,-0.00048308-0.0029953i,-0.003451-0.00034025i,0.0039098+9.7816e-05i,-0.015235+0.024148i,0.007818-0.036737i,-0.053519+0.004428i,0.0079947-0.03183i,-0.031409-0.048385i,-0.02921-0.019784i,-0.061835+0.021055i,-0.037656+0.0014713i,-0.033752-0.0057277i,-0.02865-0.021696i,-0.038879-0.023465i,-0.0052945+0.0029884i,-0.027974+0.0096535i,0.0062603+0.019013i,0.0030091+0.008372i,-0.0026466-0.0051106i,0.0022811+0.0016311i,-0.010666-0.0033726i,0.0054759+0.011174i,-0.00054987+0.0060412i,-0.0017257-0.001515i,0.0014359+0.0017345i,0.003727-0.0013658i,-0.0032198+0.017958i,0.003289+0.01435i,0.0041797-0.00049247i,0.0097375-0.0064288i,0.0043063+0.0031155i,-0.0090054-0.0074325i,-0.00076065-0.0033446i,0.026383-0.034457i,0.0079426+0.010102i,0.0051079+0.0024072i,-0.0026856+0.0030284i,0.0035881-0.0055644i,0.021193+0.0084967i,0.0037384+0.0025351i,-2.7488e-05-0.0065036i,0.00096719-0.0029309i,0.014612+0.0072745i,0.0048701+0.0014775i,0.0027747-0.0046706i,0.0043517+0.0086013i,-0.00051956+0.0011928i,0.0088568+0.0028751i,-0.041932-0.013439i,-0.0061123+0.011542i,-0.001919-0.0050477i,-0.0066362+0.0059499i,-0.037149+0.012727i,-0.0056205+0.007634i,-0.009573+0.013877i
-0.034405+0.037888i,-0.012443+0.018211i,-0.010553+0.037805i,-0.023474+0.016265i,-0.001393+0.019006i,0.00077122+0.0075046i,-0.02852+0.022155i,0.0019938+0.028647i,0.010367+0.012244i,-0.0064795-0.0035428i,0.0037815+0.0033941i,0.0068097-0.0027356i,0.0046757-0.0017553i,0.0015648+0.0036876i,0.00099334+0.0020868i,0.0019762-0.0043993i,-0.0076326+0.0027792i,-0.0029064+0.00043139i,0.0042788-0.0025147i,0.00022896-0.00088334i,0.0010542-0.0052863i,0.0013728-0.0024854i,0.00075028-0.0025177i,-0.011811-0.0078408i,0.00068777+0.001674i,-0.0016884+0.00054625i,-0.0036912+0.0003515i,-0.0021731+0.00056303i,-0.0012553-0.0014067i,-3.9391e-05-0.00057931i,0.00072058+0.0037952i,0.0002956+0.00082037i,0.0014628-0.00029011i,-0.00070881+0.00096566i,-0.0027946+0.0033216i,-0.001259-0.006538i,-0.0021465+0.0015632i,-0.00021836-0.001155i,-0.0010935+0.0040793i,0.0036039+0.0005114i,-0.00068574-0.0014108i,-0.0022352-0.0027854i,-0.0034963+0.00077106i,0.0042432-0.0010413i,-0.011059+0.023131i,-0.00564-0.042234i,-0.047037+0.014738i,-0.001642-0.039486i,-0.04542-0.042489i,-0.029746-0.013118i,-0.050328+0.032572i,-0.034751+0.0099568i,-0.024318-0.0082484i,-0.030382-0.017364i,-0.044394-0.0078986i,-0.0045707+0.0027805i,-0.023452+0.021732i,0.011501+0.013072i,0.0053469+0.0049512i,-0.0079451-0.008254i,-0.0009659+0.0034442i,-0.010111+0.0031725i,0.010041+0.0079996i,0.00058989+0.0076907i,-0.0020566-0.00025317i,0.0020568+0.0028204i,0.0036699-0.0015475i,0.0052644+0.014504i,0.008677+0.0083586i,1.2951e-05-0.0037336i,0.0033842-0.0077403i,0.0048352+0.0025978i,-0.011788+0.00083724i,-0.0024553-0.0010863i,0.0097368-0.037399i,0.011904+0.0076973i,0.0069123-0.00018962i,0.00077497+0.0027716i,-0.000155-0.0032643i,0.02242-0.0017372i,0.0037087+0.00068673i,-0.0031987-0.0050886i,-0.0026822-0.0016158i,0.014189+0.0010888i,0.0050422+0.0014726i,0.00090122-0.0033862i,0.0067938+0.0067233i,-8.8902e-05+0.0022486i,0.0091443-0.00026758i,-0.044766-0.0095176i,-0.00091902-0.0026175i,-0.0009456-0.004711i,-0.00407+0.0053999i,-0.03054+0.0241i,-0.0029649+0.0085919i,-0.005197+0.014588i
-0.027305+0.042602i,-0.010403+0.018095i,-0.005449+0.031627i,-0.0208+0.018913i,0.0019933+0.01809i,0.0022711+0.0069859i,-0.024826+0.027672i,0.0074527+0.026344i,0.0095699+0.0082869i,-0.0066688-0.00076178i,0.0055375+0.0028946i,0.0028216-0.0038675i,0.0035521-0.0028135i,0.0023072+0.003213i,0.0014899+0.002018i,-0.0012639-0.0016819i,-0.0063873+0.0069986i,-0.0018355+0.0011176i,0.0038027-0.0043341i,0.0005082-0.0015804i,-0.00053411-0.00502i,0.0014495-0.0030279i,0.00024308-0.0025126i,-0.013584-0.0048792i,0.00096618+0.0010458i,-0.0011409+0.0012944i,-0.0026682+0.00090182i,-0.0010832+0.0011253i,-0.0014852-0.001183i,-0.00031144-0.00087199i,0.0020796+0.0030083i,0.0003969+0.0010011i,0.00093063-0.00063903i,-0.00043355+0.00087457i,-0.0011137+0.0045991i,-0.00099181-0.0066882i,-0.0019184+0.0018925i,-0.0011895-0.0010492i,0.0016521+0.0028947i,0.0026866-0.00057971i,-0.0010185-0.0010845i,-0.0020219-0.0011i,-0.0032123+0.0017142i,0.0036351-0.0029585i,-0.0085179+0.022799i,-0.021603-0.040447i,-0.037295+0.021013i,-0.013608-0.041245i,-0.053285-0.03303i,-0.026386-0.0075287i,-0.034755+0.038736i,-0.023153+0.015294i,-0.026239-0.012276i,-0.030981-0.013745i,-0.042265+0.0066289i,-0.0038627+0.0032007i,-0.011895+0.029183i,0.013301+0.0069508i,0.0032939-9.7592e-05i,-0.017507-0.0057835i,-0.00041087+0.0048309i,-0.0058555+0.0067589i,0.011747+0.00232i,0.0033399+0.0076734i,-0.0036348+0.0017768i,0.002215+0.0012363i,0.0037435-0.0030282i,0.0079128+0.0075488i,0.0084054+0.0027041i,-0.0047485-0.0010519i,0.000392-0.0060527i,0.0065369+0.0014913i,-0.0072158+0.0098492i,-0.00074119+0.0010901i,-0.0034046-0.033689i,0.01561+0.0015177i,0.0058133-0.0027314i,0.001262+0.001347i,-9.2833e-06-0.0015044i,0.017754-0.0099623i,0.0018674+0.0022459i,-0.0050987-0.0026887i,-0.0031916+0.0023736i,0.010829-0.0030377i,0.008593-0.0011124i,0.00088581-0.0033405i,0.010165+0.0028934i,0.0030121+0.0016719i,0.0082274-0.0034717i,-0.047664-0.00096676i,-0.0097981-0.011439i,0.00089719-0.0077023i,-0.002579+0.0031116i,-0.020015+0.028587i,-0.0032019+0.0035145i,-0.0023492+0.010035i
-0.019378+0.045238i,-0.0079666+0.018895i,-0.0039137+0.02664i,-0.016933+0.02168i,0.0051181+0.015151i,0.0037833+0.0054514i,-0.018502+0.032279i,0.011912+0.022392i,0.0089291+0.0067625i,-0.0058831+0.0017735i,0.0065312+0.00050565i,0.0006405-0.0014117i,0.002192-0.0032109i,0.0022661+0.0034085i,0.0018413+0.0016124i,-0.0016016+0.0024475i,-0.0024964+0.010329i,-0.001191+0.00096136i,0.0021166-0.0051217i,-0.00024675-0.0022437i,-0.0016634-0.0041766i,0.00103-0.0033993i,-0.00030817-0.0026908i,-0.014862-0.00031098i,0.0012018-3.2591e-05i,-0.0002129+0.00085302i,-0.0022274+0.00084492i,-5.2386e-06+0.00058969i,-0.0017425-0.00056318i,-0.00071427-0.00053846i,0.0028773+0.0017531i,0.00073014+0.0010185i,0.0002365-0.00088186i,-0.00025811+0.00087072i,0.0010629+0.0037942i,-0.0021483-0.0085053i,-0.0011577+0.0025543i,-0.0017904-0.00039886i,0.0014985+0.00014792i,0.002028-0.00096777i,-0.0010574-0.00066835i,-0.0016384-0.0009331i,-0.0024568+0.0026853i,0.00092643-0.005084i,-0.0059422+0.023419i,-0.034309-0.028597i,-0.027949+0.021854i,-0.025094-0.037968i,-0.060871-0.022694i,-0.021555-0.0058349i,-0.020942+0.037732i,-0.013036+0.011095i,-0.027411-0.0095638i,-0.03133-0.0090464i,-0.036125+0.017213i,-0.0033624+0.0034383i,0.00064842+0.029051i,0.01356+0.0016201i,-0.0014566-0.00084797i,-0.023057+0.0049849i,-0.00049687+0.0064024i,-0.0019136+0.0062937i,0.008899-0.0036623i,0.0059441+0.0066073i,-0.0026952+0.0047613i,0.00017488+0.0018416i,0.0030931-0.0056429i,0.0058095+0.0019646i,0.0053034-6.2373e-05i,-0.0038535+0.0024137i,-0.001421-0.0044609i,0.0066959-0.00078086i,0.0025737+0.011562i,0.0003549+0.00073179i,-0.010796-0.02674i,0.013618-0.0047213i,0.0043338-0.0042914i,0.0020371+0.0022918i,-0.00014796-0.0014158i,0.011546-0.013186i,0.0049213+0.0031796i,-0.0057667+0.00032595i,-0.00063284+0.0041096i,0.0079264-0.003652i,0.0077226-0.0062906i,-0.00073276-0.0028632i,0.0092337-0.0031212i,0.002836-0.0013861i,0.0068553-0.0068796i,-0.044111+0.0096812i,-0.019971-0.01003i,-0.0020541-0.013096i,-0.0023825+0.00059692i,-0.011838+0.028168i,-0.0069404+0.0034488i,-0.0027652+0.0089669i
-0.012027+0.046667i,-0.0057634+0.018769i,-0.0046585+0.024317i,-0.012377+0.023118i,0.0066857+0.011909i,0.0040334+0.0036341i,-0.01093+0.034018i,0.014829+0.017771i,0.0094324+0.0057364i,-0.0038345+0.0033828i,0.0056101-0.0013375i,0.0010627+0.00060467i,0.0011895-0.0032585i,0.0036931+0.0037751i,0.0021273+0.0012i,0.00037624+0.005072i,0.0026183+0.011004i,-0.00097052+0.0009522i,0.00078794-0.0053606i,-0.0011877-0.0021596i,-0.0026798-0.0033465i,0.00032756-0.0035363i,-0.001175-0.0025551i,-0.012591+0.0044609i,0.00027426-0.0013789i,-0.0003612+0.00015156i,-0.0017974+0.0010077i,0.00016874-0.00041589i,-0.001705+3.7508e-05i,-0.00046704-0.00018155i,0.0029247+0.00043586i,0.0013725+0.00035535i,-0.00043457-0.00051529i,-0.00026955+0.00094099i,0.001484+0.0027219i,-0.0053278-0.0093968i,-0.00031601+0.002679i,-0.001793+0.00070374i,-0.0001762-0.00027817i,0.0012388-0.00080271i,-0.00098919-0.00044641i,-0.0018261-0.00078042i,-0.0011159+0.0031231i,-0.0019865-0.0035455i,-0.0021643+0.024391i,-0.034827-0.01399i,-0.021685+0.020125i,-0.034485-0.030912i,-0.066248-0.0079683i,-0.018781-0.008101i,-0.0098066+0.033264i,-0.008708+0.0056171i,-0.027382-0.0081153i,-0.0303-0.0057407i,-0.029151+0.02484i,-0.002646+0.0035116i,0.012699+0.023822i,0.012467-0.0029007i,-0.004768+0.0017747i,-0.020989+0.01487i,0.0015402+0.0076995i,0.00074496+0.0066518i,0.0027893-0.0045976i,0.0079017+0.0046621i,-0.00049079+0.0063503i,0.00018478+0.0040741i,0.0010917-0.0069267i,0.0012627+0.0024253i,0.0025361+0.000533i,-0.0028819+0.0044961i,-0.0025171-0.0022369i,0.0058128-0.0028125i,0.0079411+0.0070986i,0.00069126+8.3874e-05i,-0.014834-0.023841i,0.0098058-0.0085396i,0.0023024-0.0053053i,0.0050744+0.0019616i,-0.00048219-0.00053066i,0.0069403-0.013816i,0.0072891+0.00051662i,-0.0041201+0.0036772i,0.0019856+0.003955i,0.0073837-0.0042012i,0.0031548-0.011104i,-0.00068647-0.0020092i,0.0049317-0.0063087i,0.00053802-0.0020581i,0.0029965-0.010019i,-0.036343+0.014664i,-0.027509-0.0018734i,-0.0072057-0.014694i,-0.0036777-0.0015266i,-0.0067228+0.026716i,-0.0095154+0.0061148i,-0.0014875+0.0094983i
-0.00459+0.047205i,-0.0038247+0.019155i,-0.0049348+0.025149i,-0.0080808+0.023074i,0.006808+0.0088882i,0.0040662+0.0025562i,-0.003047+0.033162i,0.016322+0.013337i,0.010383+0.0036596i,-0.0021672+0.003364i,0.0038054-0.0022025i,0.0021239+0.001609i,0.00013037-0.0031313i,0.0053565+0.0024315i,0.0021583+0.0007293i,0.0031685+0.0058756i,0.0076349+0.0092053i,-0.00062152+0.0012081i,-0.0011096-0.0053259i,-0.001929-0.0016357i,-0.0028772-0.0020508i,-0.00036309-0.0036346i,-0.0017791-0.0020076i,-0.010406+0.0060385i,-0.0010521-0.0011625i,-0.00088733+0.00010334i,-0.0015534+0.0012454i,-0.00021166-0.0013296i,-0.0013822+0.00045074i,-0.00034311-0.00024238i,0.0025915-0.00064668i,0.001318-0.00053796i,-0.00066783-0.00013095i,-0.0001399+0.00091467i,0.0015742+0.0022809i,-0.0088597-0.0084256i,0.00026647+0.0023145i,-0.0011937+0.0013215i,-0.001051+0.00028318i,0.00088646-0.0004686i,-0.00085663-7.704e-05i,-0.0019687-0.00021455i,-1.1362e-05+0.0027163i,-0.0028292-0.0010547i,0.001963+0.025052i,-0.029823-0.0061736i,-0.017807+0.018477i,-0.039924-0.01984i,-0.063787+0.010715i,-0.022217-0.010808i,-0.0029618+0.0267i,-0.0063435+0.0010359i,-0.026636-0.0056342i,-0.030517-0.0025777i,-0.021033+0.029467i,-0.0028634+0.0037574i,0.018735+0.010413i,0.010456-0.0075384i,-0.0055627+0.0058864i,-0.013628+0.023087i,0.0039734+0.0066685i,0.0043445+0.0045332i,0.00030143-0.0014746i,0.0097055+0.0011631i,0.0016892+0.0076194i,0.0016526+0.0051836i,-0.0036457-0.0088928i,0.00069105+0.0062865i,0.0024758+0.0020928i,-0.00015492+0.0073876i,-0.0017493-0.00040898i,0.0044258-0.0036359i,0.0097655+0.0019766i,0.0010028-0.0007453i,-0.022745-0.02183i,0.0055-0.010345i,-0.00013785-0.0053557i,0.0050127-0.0010866i,5.8836e-05+0.00073557i,0.004273-0.013065i,0.0070191-0.0028207i,-0.0013566+0.0048548i,0.0034972+0.0019076i,0.005769-0.0059634i,-0.0036535-0.010455i,-0.0010304-0.0023086i,0.0017666-0.005704i,0.00011559-0.0027613i,-0.0020806-0.0094418i,-0.031518+0.017017i,-0.024914+0.011404i,-0.011751-0.014154i,-0.0059346-0.001713i,-0.003137+0.026002i,-0.0087137+0.010459i,0.0019705+0.0082487i
0.0029327+0.046473i,-0.0012841+0.019806i,-0.0032417+0.027162i,-0.0048121+0.021964i,0.0059319+0.0071785i,0.0042423+0.0014681i,0.0036951+0.030437i,0.016703+0.0094189i,0.010949+0.0015766i,-0.0013287+0.0033776i,0.0026594-0.0015644i,0.0043754+0.0019051i,-0.00089051-0.002679i,0.0056932-0.00036657i,0.0019945+0.00039241i,0.0055865+0.005213i,0.01076+0.005284i,-0.00018061+0.0013506i,-0.0024589-0.0045939i,-0.0023556-0.00070904i,-0.0024847-0.00088401i,-0.0012287-0.0035282i,-0.0021425-0.0013672i,-0.0091081+0.0088091i,-0.0017376-0.00055383i,-0.0012541+0.00063158i,-0.0012101+0.0015872i,-0.0013018-0.0016998i,-0.0011058+0.00048361i,-0.0005168-0.00036192i,0.0019655-0.001442i,0.0011327-0.00070396i,-0.00032493-1.532e-05i,8.1842e-05+0.000853i,0.0020885+0.0012175i,-0.012117-0.006339i,0.00087024+0.0021115i,-0.00074107+0.0013921i,-0.0010553+0.00085532i,0.00090396-0.00025485i,-0.00059321+0.00012595i,-0.001395+0.00013416i,0.00045809+0.0020347i,-0.0025741+0.0003964i,0.0069485+0.023952i,-0.026371-0.0046234i,-0.01497+0.017697i,-0.039382-0.0095146i,-0.054117+0.02614i,-0.025519-0.0081935i,0.0012629+0.021634i,-0.006765-0.0031835i,-0.025538-0.0038632i,-0.029509+0.0022053i,-0.013264+0.032441i,-0.0017119+0.0039029i,0.013261-0.0016668i,0.0058346-0.011289i,-0.0038338+0.0089717i,-0.0046178+0.02498i,0.0048378+0.0046201i,0.0048554+0.00074608i,0.0014722-0.00012948i,0.0091135-0.0019755i,0.0062708+0.006782i,0.0035305+0.0061103i,-0.0079681-0.0034288i,0.0039827+0.0080621i,0.003832+0.0026982i,0.0038126+0.0072037i,-0.0011607+0.00024102i,0.0034708-0.0044835i,0.0096944-0.0045536i,-0.0006706-0.00096903i,-0.03125-0.012938i,0.0016777-0.010415i,-0.0020438-0.0039953i,0.0049522-0.0007888i,0.00065548+0.00086113i,0.0026992-0.014829i,0.0050159-0.0053013i,0.00094646+0.0039808i,0.0033825+0.00082688i,0.0041915-0.0068012i,-0.0071049-0.0058781i,-0.00231-0.002032i,-0.00075811-0.0052278i,-0.0016611-0.0031919i,-0.0049618-0.0071861i,-0.026205+0.019262i,-0.018114+0.012404i,-0.012592-0.012684i,-0.0072006-0.00060423i,0.0013681+0.024213i,-0.0074418+0.012194i,0.0025366+0.0055493i
0.0099692+0.04452i,0.0018577+0.020298i,0.00046588+0.029523i,-0.0020745+0.021676i,0.005094+0.0066533i,0.0038984+0.00055557i,0.0092344+0.026516i,0.016701+0.0062662i,0.011314-0.0013349i,-0.00048993+0.0033749i,0.0027861-0.00099008i,0.0063049-0.00025784i,-0.0016799-0.0018203i,0.0038277-0.001645i,0.001965+0.00023473i,0.0074205+0.00331i,0.0116+0.00095888i,0.00046556+0.0010563i,-0.0035083-0.0036604i,-0.0020948+0.00042695i,-0.0017252-0.00023734i,-0.0020931-0.0027022i,-0.0023259-0.00077062i,-0.004966+0.010896i,-0.002113+0.0003162i,-0.00096603+0.0013005i,-0.00073463+0.0019355i,-0.0026629-0.0011197i,-0.0010175+0.00053448i,-0.0007449-0.00022623i,0.0010712-0.0018828i,0.0012464-0.0016055i,-0.00043169-8.9804e-05i,0.00017128+0.00074495i,0.0017835+0.00020521i,-0.014527-0.0022597i,0.0013509+0.001611i,-0.00037337+0.0016499i,-0.0010366+0.0011733i,0.0010897-4.4846e-05i,-0.00020342+0.00011963i,-0.001101+0.0002382i,0.00048397+0.0014552i,-0.0017905+0.0015181i,0.01103+0.02099i,-0.026896-0.0036442i,-0.013059+0.016522i,-0.038235-0.0014821i,-0.040784+0.034154i,-0.028619-0.0048941i,0.0052762+0.015872i,-0.0080157-0.0048903i,-0.024942-0.0026201i,-0.027084+0.0070968i,-0.0040322+0.033678i,-0.00074478+0.0037032i,0.0061562-0.0034394i,0.00043599-0.012567i,8.2579e-05+0.012094i,0.0035463+0.022652i,0.0046204+0.0024963i,0.0035033-0.002203i,0.00094029+0.00014247i,0.0074261-0.0053743i,0.0094686+0.0032508i,0.0062106+0.0056061i,-0.007716+0.00060424i,0.0071392+0.0078929i,0.0054965+0.0026412i,0.0080003+0.0051007i,-0.00061525+0.00084298i,0.0029743-0.0053254i,0.0057672-0.0086618i,-0.00084338+0.0010033i,-0.034681-0.00022564i,-0.0010861-0.0095566i,-0.0029076-0.0020631i,0.0056516-0.0015588i,0.0008968+0.00045473i,-0.001525-0.017129i,0.0024509-0.0064781i,0.0025499+0.0034022i,0.0037662-0.00014097i,0.0036676-0.0076825i,-0.0086885-0.0028411i,-0.0036135-0.00034736i,-0.0034549-0.0035047i,-0.0026986-0.0027254i,-0.0064044-0.0048208i,-0.021574+0.01961i,-0.016347+0.012581i,-0.013278-0.013312i,-0.0075813+0.0011011i,0.0034151+0.0232i,-0.006507+0.012999i,0.003035+0.004041i
0.016929+0.041761i,0.0059464+0.019901i,0.0065263+0.030375i,0.00084049+0.021337i,0.005377+0.0070809i,0.0036759+0.00013961i,0.013064+0.02125i,0.016739+0.0033098i,0.010503-0.0042766i,0.00011069+0.0031231i,0.0030187-0.0016001i,0.0057046-0.0035422i,-0.0019675-0.0008171i,0.0028935-0.0017902i,0.0020166+5.9677e-06i,0.0077628+0.00061397i,0.010581-0.0030764i,0.00043246+0.00052183i,-0.0046278-0.0023085i,-0.0012328+0.00095812i,-0.00099045-0.00030931i,-0.0022811-0.0018769i,-0.0023069-6.4561e-05i,-0.00085416+0.010832i,-0.0018722+0.0011791i,-0.00039583+0.0015851i,8.9283e-05+0.0020221i,-0.0032719+0.00030601i,-0.00078275+0.00048611i,-0.00082449-8.6542e-05i,0.00013082-0.0018844i,2.9228e-05-0.0022059i,-0.00057762+0.00010197i,0.00021373+0.0006893i,0.0011608-0.00036536i,-0.014568+0.0026866i,0.0014782+0.0010778i,0.0002813+0.0016589i,-0.00093135+0.0016363i,0.0012414-0.00024999i,-0.0001014-0.00015774i,-0.0006184+0.00017143i,0.00018668+0.0011353i,-0.00080877+0.0020509i,0.013689+0.018312i,-0.029283+0.00055663i,-0.011443+0.015756i,-0.033094+0.0065011i,-0.028336+0.038763i,-0.030831+0.002122i,0.0075527+0.0087168i,-0.0064768-0.006923i,-0.024163-4.0488e-05i,-0.022692+0.01176i,0.004004+0.031831i,-0.00041216+0.0028854i,0.0019119-0.0033256i,-0.0052353-0.011898i,0.0063493+0.011467i,0.0084172+0.017876i,0.0027991+0.0011164i,0.001715-0.0042043i,0.0018687+0.0025782i,0.0037816-0.0073789i,0.010327-0.0022999i,0.0083754+0.0035781i,-0.0073017+0.0043425i,0.011345+0.0061818i,0.0077078+0.0004389i,0.0098632+0.0001154i,0.00018469+0.0012863i,0.0014276-0.0059543i,-0.00023181-0.0092195i,0.00095192+0.0022668i,-0.03289+0.013037i,-0.0030961-0.0086433i,-0.0024456-0.00015795i,0.0055987-0.0055907i,0.0014351+0.00090444i,-0.0081848-0.016349i,-0.00031125-0.0061233i,0.0038426+0.0017742i,0.0036545-0.0006468i,0.0018147-0.0088621i,-0.0088147+0.0023252i,-0.0031641+0.0018625i,-0.0049431-0.0015743i,-0.0039455-0.0026722i,-0.0067488-0.0024805i,-0.019213+0.020345i,-0.01542+0.01679i,-0.016143-0.015737i,-0.0051978+0.002598i,0.0075377+0.022667i,-0.0058699+0.015055i,0.004092+0.0011041i
0.023368+0.037736i,0.0098651+0.018221i,0.012828+0.028081i,0.0040026+0.020254i,0.0066053+0.0071295i,0.0039376-0.00013556i,0.014897+0.016133i,0.016266+0.00047899i,0.0090372-0.0065823i,0.00046928+0.0031195i,0.0026217-0.00216i,0.0032603-0.005182i,-0.001899+3.0265e-05i,0.0019061-0.0018135i,0.0020006-0.00027333i,0.0067014-0.0014566i,0.0082494-0.0058117i,0.00030466+0.00039227i,-0.0047887-0.00056318i,-0.00045726+0.0009003i,-0.00039423-0.00068293i,-0.002333-0.0015662i,-0.0019836+0.00051723i,0.0021525+0.0098857i,-0.0014141+0.0016828i,0.00014977+0.0017155i,0.00070155+0.0014769i,-0.00282+0.0017414i,-0.00071424+0.00029498i,-0.001067+0.00016544i,-0.00064481-0.0015503i,-0.0013916-0.0018633i,-0.00038868+0.00028859i,0.0003939+0.00064374i,0.00055765-0.00058823i,-0.012764+0.0069688i,0.0015521+0.00054858i,0.00066482+0.0012322i,-0.00028096+0.0021444i,0.0013276-0.0007615i,-0.0001561-0.00028661i,-0.00053736-0.00039476i,-9.6274e-05+0.0012483i,0.00018291+0.0021264i,0.016062+0.015968i,-0.028722+0.0078983i,-0.011246+0.015285i,-0.026787+0.0099279i,-0.015292+0.040221i,-0.028846+0.011116i,0.0061075+0.0017608i,-0.0070629-0.012062i,-0.020698+0.0018237i,-0.015774+0.015605i,0.012335+0.027869i,-0.00069472+0.0026812i,-0.0017446-0.0018701i,-0.0098798-0.0084374i,0.010532+0.006987i,0.011083+0.013991i,-6.8022e-05+0.0018279i,-0.00067973-0.0061989i,0.0054106+0.0014835i,-0.00015802-0.0070057i,0.0072663-0.0063133i,0.0096605+0.00015675i,-0.0056912+0.0069609i,0.014444+0.0003669i,0.0076403-0.0042897i,0.0085465-0.0050849i,0.0014794+0.0011882i,-0.00030957-0.0062314i,-0.0039499-0.0059012i,0.0028698+0.0013055i,-0.025003+0.0268i,-0.0053176-0.0074844i,-0.0011678+0.00094459i,0.0016124-0.0073764i,0.002385+0.0005428i,-0.014047-0.012289i,-0.0015773-0.0042986i,0.0040153-0.00051916i,0.0033472-0.0013325i,-0.00086502-0.0086697i,-0.0052505+0.0069118i,-0.0017536+0.0032576i,-0.0050677+0.0018861i,-0.0058129-0.0019807i,-0.0066201-0.0010302i,-0.014938+0.023568i,-0.0071127+0.02066i,-0.022121-0.015128i,-0.0025615+0.00081782i,0.01085+0.020139i,-0.0033335+0.017736i,0.0027066-0.0025985i
