-0.0078371-0.039657i,-0.013148-0.043304i,0.0010453-0.045969i,-0.027296-0.027163i,-0.020416+0.014105i,-0.033389-0.03101i,-0.06075-0.059467i,-0.023026-0.071604i,-0.033915-0.050464i,0.0015946+0.014938i,-0.0067409+0.010722i,-0.014564+0.013657i,0.0018699+0.016066i,-0.0037126-0.0034232i,0.00079746+0.0063668i,0.00088996+0.037077i,0.020277+0.057929i,0.00080636-0.00020406i,-0.004767-0.0082303i,0.0081962+0.0045796i,0.0016821+0.0010041i,-0.0010588+0.0036133i,-7.5055e-05-0.0012066i,-0.036274-0.0091691i,-0.0024518-0.0070734i,-6.5179e-06+0.004498i,0.0049536+0.00023422i,0.00029048+0.0008507i,-0.00012331-0.0010893i,1.0084e-05-0.00271i,-0.0012362-0.0057096i,-0.0023888-0.0038635i,-0.00080496-0.0079668i,0.0031157-0.0013356i,0.0032494-0.0025241i,-0.0010416+0.034002i,0.0058701-0.0046132i,0.0034068-0.0021994i,0.0049482-0.00012108i,-0.0134-0.0040639i,-0.00014131+0.00036064i,0.0096136-0.00073169i,0.0061915-0.00044736i,-0.0033819+0.0037386i,0.0030147+0.0018539i,-0.0029874+0.0072833i,0.01312-0.088117i,-0.007599-0.047953i,-0.024726-0.039216i,-0.020905-0.041784i,0.06176-0.019381i,0.025721-0.06237i,0.038123-0.046641i,0.028629-0.057378i,0.018995-0.015817i,0.0087716+0.009549i,0.023829-0.031687i,-0.0074616-0.0047179i,0.0024379-0.0028309i,-0.0049539-0.0058781i,0.00034253-0.031994i,-0.024042+0.031525i,0.0078288-0.010399i,-0.011139-0.0013303i,-0.0053056-0.001153i,-0.0014848-0.013573i,-0.010231+0.0045554i,0.0038727+0.0080918i,-0.0098944+0.030972i,0.0055548+0.007394i,-0.0052455-0.0012643i,-0.0019726-0.0019256i,-0.011423-0.0073771i,0.00061482-0.0036256i,-0.034983+0.0049943i,0.0021709-0.012394i,-0.0090515-0.001878i,-0.0063471-0.0027687i,0.0063831+0.0013165i,-0.0095868+0.0018749i,0.0012596+0.00092214i,0.0053461+0.0091339i,0.0044333+0.00027577i,-0.009021-0.0093209i,0.0031631+0.0085553i,-0.019+0.0068727i,0.006432+0.0028531i,-0.029381-0.0080725i,-0.034015+0.0035182i,0.024628-0.078137i,0.012286-0.010421i,-0.043608-0.026499i,-0.023362-0.0029742i,0.018317+0.012502i,-0.026583+0.013078i,-0.011822-0.0085455i
-0.034036+0.0006905i,-0.04698+0.017559i,-0.047687+0.043084i,-0.027714+0.0064034i,-0.0048293+0.014567i,-0.0079961+0.031349i,-0.029079+0.018462i,-0.05747+0.025084i,-0.020571+0.021147i,0.0014714-0.0084084i,0.001535-0.0019764i,0.0032424+0.00044941i,0.0029837+0.0087589i,-0.0036956+0.0015471i,0.0016607+0.0023096i,0.0011824-0.0089917i,-0.012136-0.0087445i,-0.0043333+0.00071254i,0.0045332-0.002896i,0.0013935-0.0013202i,0.0023222-0.0043582i,0.0017726-0.0043463i,0.0020617-0.0033536i,-0.011067-0.011014i,-0.0022173-0.00027035i,-0.004108-0.00034521i,-0.0034313-0.0010306i,-0.0048013-0.001482i,-0.00099395-0.0023634i,0.00099706-0.0018113i,-0.0035572+0.0044319i,0.001283+0.0017633i,0.0023995+0.0017329i,0.0019159+0.00040572i,-0.0016097+0.0030501i,-0.003206-0.0080969i,-0.0029924+0.0013955i,0.0011294-9.6452e-05i,-0.0006841+0.0040139i,0.0098372+0.0070011i,0.0012811-0.0024998i,0.00087742-0.00018099i,-0.0050223-0.0043823i,0.0022094+0.003979i,-0.02012-0.0164i,-0.0020836-0.062886i,-0.089368-0.0083018i,-0.022812-0.01971i,-0.047246-0.039348i,-0.043763-0.0056319i,-0.093017+0.015652i,-0.062759+0.0027499i,-0.038152-0.02781i,-0.030695-0.055203i,-0.033854-0.024887i,-0.0004284+0.0020227i,-0.024921+0.013208i,0.0041682+0.01613i,0.0040578+0.0073036i,-0.00032848-0.0070053i,0.0088675+0.0039529i,-0.010013-0.0036807i,0.0026713+0.011141i,-0.0011104+0.0073945i,-0.00079326-0.002356i,0.0055924+0.002204i,0.0033931-0.0011243i,-0.0039948+0.019634i,-5.2712e-05+0.012686i,0.0011741-0.004257i,0.010444-0.0075756i,0.0034755+0.0033495i,-0.0080265-0.0071748i,-0.0019935-0.0016972i,0.026301-0.033169i,0.0085364+0.0082652i,0.0038391+0.0024897i,-0.0016297+0.0029737i,0.0028249-0.0039802i,0.020686+0.0020158i,0.0011915-0.0023074i,-0.0010891-0.0065757i,0.0012362-0.0025382i,0.011771+0.0051215i,0.005531+0.00058171i,0.0028999-0.0057977i,0.0035994+0.007356i,0.0042933+0.0029494i,0.017257+0.0010649i,-0.066383-0.043347i,-0.0097782+0.010816i,-0.006328-0.0042316i,-0.0062057+0.0043693i,-0.036136+0.010521i,-0.0056591+0.007876i,-0.014567+0.0042122i
-0.031994+0.00472i,-0.043373+0.022095i,-0.035239+0.045167i,-0.02657+0.012032i,-0.003418+0.01183i,-0.0024354+0.031283i,-0.026857+0.022915i,-0.049419+0.032924i,-0.016042+0.017574i,-0.0011175-0.0076749i,0.0011507-0.0013158i,0.0032203-0.0014019i,0.0051508+0.0059765i,-0.0020393+0.0032925i,0.0019159+0.0024023i,-0.0041653-0.0064146i,-0.017318-0.0016499i,-0.0036746+0.002238i,0.0043596-0.0036005i,0.0012835-0.0019429i,0.00098825-0.0044673i,0.0017149-0.0031921i,0.0016155-0.003446i,-0.012713-0.0064189i,-0.0016884+0.00010276i,-0.0043865+0.0011089i,-0.0029636+0.00018322i,-0.004262+0.00019514i,-0.001768-0.0023848i,0.00058031-0.0017355i,-0.0017273+0.0057589i,0.0014018+0.0015176i,0.0025356+0.00033688i,0.00048721+7.5996e-05i,-0.0020252+0.0027136i,-0.0034806-0.0068985i,-0.0026861+0.0017773i,-0.00013965-0.00062482i,-0.00081081+0.0045988i,0.010392+0.0012307i,0.00058296-0.0028448i,0.0002133-0.0010167i,-0.0066804-0.0029644i,0.0033253+0.0034207i,-0.021129-0.018021i,-0.020733-0.068551i,-0.083526+0.0077328i,-0.029682-0.021059i,-0.058468-0.031759i,-0.041457+0.0038237i,-0.081048+0.035634i,-0.059664+0.016527i,-0.029303-0.027598i,-0.037659-0.051084i,-0.040186-0.010688i,-0.00084477+0.00012907i,-0.017489+0.02325i,0.0082844+0.011236i,0.0061644+0.0028057i,-0.0059948-0.012205i,0.0048929+0.0028797i,-0.010339+0.0030391i,0.0073253+0.0084304i,0.0015622+0.0090295i,-0.0017622-0.0019835i,0.0065824+0.0025173i,0.0033198-0.0011409i,0.0055229+0.016017i,0.0059748+0.0081843i,-0.0033469-0.0054888i,0.0028235-0.0082769i,0.0042213+0.0036005i,-0.010642-0.00010977i,-0.0020508+0.0010732i,0.010302-0.03573i,0.010986+0.0061797i,0.0063964+0.00099103i,0.0013877+0.0019704i,-0.00027357-0.0016234i,0.017846-0.0072037i,-0.00048671-0.002665i,-0.0043794-0.0049226i,-0.0022582-0.0020662i,0.010756+0.00051057i,0.0052078+0.00057018i,0.00092587-0.0036421i,0.0060629+0.0060029i,0.003957+0.0024884i,0.015582-0.004494i,-0.072499-0.034046i,-0.0029512-0.00030374i,-0.0067683-0.0035232i,-0.0049393+0.0034567i,-0.030219+0.021036i,-0.0033541+0.0088084i,-0.01291+0.0066084i
-0.02916+0.0076361i,-0.040438+0.026724i,-0.026817+0.043831i,-0.023439+0.015535i,-0.0010035+0.011724i,0.0030137+0.030077i,-0.023097+0.027195i,-0.040948+0.037475i,-0.016639+0.015031i,-0.0032257-0.0061718i,0.001725-0.00086314i,-0.00049062-0.0022415i,0.0060061+0.0037748i,-0.0012434+0.0035848i,0.0026095+0.0026041i,-0.0073003-0.0011107i,-0.01713+0.007495i,-0.0013897+0.0037384i,0.0042002-0.0055773i,0.0012247-0.0029446i,-0.00040324-0.0044756i,0.0020438-0.0042778i,0.0010869-0.0039617i,-0.013722-0.0027942i,-0.0020366+0.00042686i,-0.0035299+0.0031324i,-0.002298+0.00061135i,-0.0029737+0.0019508i,-0.0023334-0.0020684i,-0.00019147-0.0025055i,0.00064284+0.0060189i,0.0016473+0.001137i,0.002005-0.00031973i,0.000616-0.00016843i,-0.0013626+0.0044923i,-0.0035697-0.0065216i,-0.0027031+0.0021512i,-0.00092872-0.00037618i,0.0031282+0.0041811i,0.008262-0.002336i,-0.00025627-0.0027132i,0.00040002-0.00025433i,-0.0087425-0.0011441i,0.0041912+0.0015386i,-0.024891-0.018199i,-0.042463-0.064569i,-0.073141+0.018945i,-0.036322-0.017587i,-0.065026-0.020126i,-0.03466+0.010433i,-0.061672+0.04888i,-0.044682+0.028716i,-0.031049-0.032546i,-0.044092-0.0477i,-0.038168+0.0032778i,-0.0015268-0.000617i,-0.0064774+0.026264i,0.0099982+0.0064376i,0.0032078-0.0016285i,-0.018427-0.011347i,0.0039779+0.0017983i,-0.0064193+0.0073821i,0.0091855+0.003538i,0.0046091+0.008797i,-0.0040085+0.00028253i,0.0068893-0.0013856i,0.0037196-0.0024666i,0.0090636+0.009013i,0.0060892+0.0030904i,-0.0079614-0.0021057i,0.00030932-0.0059409i,0.0065783+0.0025354i,-0.007055+0.0087899i,-0.0001933+0.0024488i,-0.0023778-0.032322i,0.013884+0.00071819i,0.0059412-0.0018783i,0.0012036+0.00067696i,0.00071856+3.061e-05i,0.011202-0.011766i,-0.0032826+0.00068182i,-0.0060485-0.0020647i,-0.0035555+0.0017226i,0.0078063-0.0023291i,0.0084066-0.0019285i,0.0016244-0.0034522i,0.0093029+0.0025034i,0.0060423+0.00097271i,0.012035-0.0091068i,-0.076644-0.020562i,-0.0079347-0.010183i,-0.0053992-0.0038951i,-0.0047344+0.0022404i,-0.020852+0.025988i,-0.0024925+0.0038711i,-0.010016+0.0035519i
-0.026272+0.0089531i,-0.036571+0.031987i,-0.020945+0.042256i,-0.019222+0.019373i,0.0028835+0.00893i,0.0079598+0.027484i,-0.017799+0.03075i,-0.033614+0.038938i,-0.01803+0.016691i,-0.0042446-0.0042268i,0.0017374-0.0019022i,-0.0024921+0.001144i,0.0055132+0.0017217i,-0.00099988+0.0050318i,0.0031568+0.0020422i,-0.0061312+0.0050367i,-0.011571+0.015392i,0.00070227+0.0027798i,0.0017626-0.0068029i,-6.0058e-05-0.0041289i,-0.001717-0.0038212i,0.0012013-0.0048393i,9.623e-05-0.0048506i,-0.013461+0.0015178i,-0.001681+0.00069938i,-0.0011999+0.0032367i,-0.0020636+0.00081932i,-0.0010227+0.0020422i,-0.0031436-0.00089078i,-0.0016253-0.0020473i,0.0027238+0.0052735i,0.0016066+0.00063003i,0.0013082-0.00068369i,0.00046983-8.7046e-05i,0.0013739+0.0048237i,-0.0046582-0.007457i,-0.0016276+0.0032772i,-0.0014318+0.00023156i,0.0040649+0.00032877i,0.0063656-0.0038671i,-0.0005832-0.0024359i,0.0010122-0.00065533i,-0.0092493+0.0023793i,0.0024426-0.0013523i,-0.030421-0.01621i,-0.059578-0.049194i,-0.062999+0.023969i,-0.041425-0.011986i,-0.068432-0.0075456i,-0.026694+0.012425i,-0.043221+0.052107i,-0.028775+0.027747i,-0.035185-0.03038i,-0.050907-0.040543i,-0.033185+0.012439i,-0.0030377-0.00063051i,0.002822+0.02465i,0.0099659+0.0021361i,-0.0013632-0.0018676i,-0.027352+5.4285e-05i,0.0011636+0.0023586i,-0.0017316+0.0077145i,0.0075271-0.0011848i,0.0078695+0.0076644i,-0.0033977+0.0034817i,0.0034752-0.0025663i,0.0031631-0.0049685i,0.0080271+0.0022111i,0.0033516+0.00076138i,-0.0080486+0.0018507i,-0.001476-0.0044371i,0.0071745+0.0001333i,0.0023778+0.010642i,0.0012689+0.0016518i,-0.0094612-0.025867i,0.012056-0.0040577i,0.0048624-0.0035633i,0.0018723+0.0016707i,0.0013844-0.00042436i,0.0058067-0.011965i,-0.0001968+0.0032764i,-0.0063699+0.0010138i,-0.001055+0.0042101i,0.0058858-0.0027783i,0.007161-0.0068227i,-1.999e-05-0.0034709i,0.0084479-0.00301i,0.0055502-0.0019966i,0.0077346-0.012601i,-0.074161-0.0070858i,-0.017363-0.013011i,-0.0062886-0.0071229i,-0.0049231+0.00089223i,-0.013612+0.025959i,-0.0064442+0.0030224i,-0.012508+0.0036971i
-0.024947+0.0099688i,-0.032381+0.03647i,-0.017647+0.041758i,-0.013554+0.021357i,0.0047736+0.0045627i,0.01142+0.024825i,-0.011457+0.032434i,-0.028056+0.040179i,-0.016343+0.020743i,-0.0042899-0.0024077i,0.00062249-0.0022649i,-0.0011612+0.0040476i,0.0046958+0.0005955i,0.0013769+0.0062205i,0.0036986+0.0014724i,-0.0021739+0.0083063i,-0.0035483+0.01913i,0.001421+0.001605i,-5.5309e-05-0.0063722i,-0.0020744-0.0042174i,-0.0026737-0.0031739i,0.00030306-0.0049785i,-0.0019636-0.004836i,-0.010489+0.0048824i,-0.001939+0.00056885i,-0.00060532+0.0022007i,-0.0017388+0.0011328i,-0.00014863+0.0011106i,-0.0030386+0.00060057i,-0.0018786-0.00072224i,0.0041014+0.0036918i,0.0015619-0.00016086i,0.0007486-0.00071789i,0.00013681-0.00011705i,0.0024879+0.0034655i,-0.0071918-0.0074167i,-0.00057243+0.0037183i,-0.0013202+0.0013987i,0.001895-0.0013708i,0.0043876-0.0039614i,-0.00099408-0.0024996i,0.00096648-0.0012709i,-0.0075555+0.0051028i,-0.00010998-0.00026199i,-0.034202-0.010825i,-0.064013-0.029222i,-0.056445+0.025841i,-0.045849-0.0048167i,-0.069402+0.0062318i,-0.022124+0.0095174i,-0.027518+0.050854i,-0.019409+0.023463i,-0.037724-0.027965i,-0.054385-0.033353i,-0.026687+0.020289i,-0.0038774+0.00025047i,0.012949+0.019785i,0.0092922-0.00055541i,-0.0045822+0.00063471i,-0.02737+0.012769i,0.00094326+0.004132i,0.0018031+0.0078176i,0.0030373-0.0024679i,0.010693+0.0045827i,-0.0016243+0.0052394i,0.0014467-0.001223i,0.0012776-0.006774i,0.0034234+0.0011846i,0.00094017+0.0019604i,-0.0073374+0.0069616i,-0.0027148-0.0019019i,0.0067761-0.0023388i,0.0073017+0.0062872i,0.0017763+0.00074081i,-0.013377-0.023302i,0.0090919-0.007753i,0.0031834-0.0050722i,0.0044716+0.0012699i,0.0014437-0.00062528i,0.002859-0.010873i,0.0024126+0.0028075i,-0.004178+0.0046426i,0.0023142+0.0041513i,0.0049818-0.0030601i,0.002906-0.011023i,-9.0082e-05-0.0025165i,0.0046281-0.0060187i,0.0034415-0.0037764i,0.0016869-0.014931i,-0.068831+0.0010505i,-0.028076-0.0064892i,-0.0091133-0.0086572i,-0.005614-0.00031023i,-0.0086128+0.025677i,-0.0095032+0.0057025i,-0.012835+0.0068538i
-0.024034+0.01145i,-0.027582+0.041092i,-0.014635+0.044006i,-0.0078062+0.020702i,0.0036703-0.00031562i,0.015136+0.022437i,-0.0047722+0.032001i,-0.023019+0.042117i,-0.012249+0.022472i,-0.0043672-0.0017121i,-0.001117-0.0019557i,0.0011302+0.0052032i,0.0038863+0.00011328i,0.0037402+0.0050679i,0.003782+0.00068985i,0.0019825+0.0089056i,0.0056696+0.018867i,0.0015755+0.0011305i,-0.0018332-0.0059949i,-0.0038296-0.0031691i,-0.0032255-0.0016999i,-0.0003819-0.0052364i,-0.003201-0.0035334i,-0.0081965+0.0054671i,-0.0023211+0.0013798i,-0.00055926+0.0020767i,-0.0015664+0.0013738i,0.00018984-0.00014312i,-0.0019596+0.0015704i,-0.0015591-0.00014669i,0.0050277+0.0020608i,0.0012032-0.00070625i,0.00041007-0.00066858i,-0.00022904-0.00012769i,0.0028942+0.0026266i,-0.009799-0.0058788i,0.00032098+0.0033284i,-0.00037092+0.0019535i,0.00047515-0.0013043i,0.0030302-0.0037684i,-0.0016066-0.002086i,0.00023258-0.0017499i,-0.005266+0.0066299i,-0.00031049+0.0019132i,-0.036228-0.0039044i,-0.059512-0.015679i,-0.052599+0.028538i,-0.047307+0.0061184i,-0.065292+0.022306i,-0.023587+0.007484i,-0.015888+0.045928i,-0.012557+0.018615i,-0.039677-0.023918i,-0.057809-0.026653i,-0.018929+0.02343i,-0.0048003+0.0018368i,0.016817+0.007552i,0.0087111-0.0044026i,-0.0059247+0.0048814i,-0.020196+0.024158i,0.0023971+0.0042756i,0.0060137+0.0054701i,0.0010877-0.00041929i,0.012208-0.00068867i,0.00043377+0.0068435i,0.0011498-0.0001462i,-0.0031593-0.008061i,0.0015789+0.0038766i,0.0014343+0.0040725i,-0.0019556+0.011018i,-0.001534+0.00047333i,0.0053061-0.0037974i,0.009212+0.0017583i,0.0024437-0.00067194i,-0.021099-0.021916i,0.0047848-0.0092198i,0.00031121-0.0057255i,0.0040588-0.0011586i,0.001169-6.0713e-05i,0.0017133-0.0091015i,0.0036626+0.00078469i,-0.00089223+0.0056013i,0.0037618+0.0016079i,0.0039091-0.0040008i,-0.0034655-0.010528i,-0.00035313-0.0031829i,0.0013222-0.0059345i,0.0024385-0.0052046i,-0.0054094-0.013569i,-0.066233+0.0080697i,-0.026737+0.0071969i,-0.012898-0.0086489i,-0.0072016-5.7411e-05i,-0.0047366+0.025471i,-0.0083497+0.010255i,-0.0085695+0.0088595i
-0.022987+0.013666i,-0.021379+0.045675i,-0.0093139+0.047222i,-0.0042976+0.017755i,6.9004e-05-0.0026019i,0.018815+0.019092i,0.001189+0.030341i,-0.01786+0.044502i,-0.0082108+0.023797i,-0.0048417-0.00049387i,-0.0018947+0.00016707i,0.003871+0.0054132i,0.0032334+0.00017834i,0.0048567+0.0029538i,0.0035733+7.8467e-05i,0.0054248+0.0077413i,0.012781+0.014447i,0.0018317+0.00087224i,-0.003095-0.0052401i,-0.0046625-0.0012009i,-0.0026382-0.00044559i,-0.0018286-0.0056842i,-0.0036339-0.0022311i,-0.0074647+0.0069854i,-0.0019003+0.0023011i,-0.00018013+0.002569i,-0.0013037+0.0019495i,-0.00098183-0.0011684i,-0.0015672+0.0013773i,-0.0013505+7.3806e-05i,0.0052858+0.00017841i,0.0011025-0.00093897i,0.00067167-0.00068806i,-0.00012623+0.00015197i,0.0038909+0.00084884i,-0.011932-0.0032207i,0.0013181+0.0031648i,0.00036149+0.0015402i,-0.00023113-0.0012255i,0.0018803-0.0036842i,-0.0019675-0.0014684i,-0.00023638-0.0016061i,-0.0035986+0.0065868i,0.00051564+0.0025327i,-0.035599+0.0022i,-0.056277-0.010339i,-0.048838+0.033536i,-0.042785+0.015983i,-0.056021+0.036088i,-0.024536+0.010762i,-0.0074406+0.041717i,-0.0096617+0.01322i,-0.040969-0.020024i,-0.060045-0.018069i,-0.012672+0.024924i,-0.0034374+0.002577i,0.010886-0.0027507i,0.0053275-0.0084122i,-0.0043515+0.0080079i,-0.0092983+0.02812i,0.0027747+0.003036i,0.007816+0.00073413i,0.0019012+0.00058772i,0.010291-0.004313i,0.0051788+0.0068243i,0.0013847+0.0017125i,-0.0075623-0.0028707i,0.0030416+0.0058157i,0.0029802+0.0053248i,0.0039332+0.010945i,-0.00061071+0.00054094i,0.0041638-0.0050961i,0.009054-0.004104i,0.00055541-0.0013535i,-0.029318-0.014325i,0.0016387-0.0089711i,-0.0017505-0.0040124i,0.0044073-0.00044571i,0.0012933-0.00046043i,0.0015826-0.0099269i,0.0031264-0.0010612i,0.0015337+0.0040617i,0.0037296+0.00084293i,0.0032658-0.0038879i,-0.007277-0.0063772i,-0.0020757-0.0036186i,-0.0017429-0.0049897i,0.00027451-0.0062865i,-0.0094318-0.0091815i,-0.062397+0.015627i,-0.021642+0.00921i,-0.013051-0.0066047i,-0.0080951+0.0010602i,0.00026705+0.023483i,-0.007189+0.011366i,-0.006331+0.0075853i
-0.021381+0.015764i,-0.01371+0.049166i,-0.0022017+0.05022i,-0.0032308+0.015903i,-0.0037989-0.0022174i,0.021556+0.015149i,0.0063917+0.027806i,-0.011301+0.046975i,-0.0039648+0.023803i,-0.0047411+0.0011101i,-0.00086238+0.0018049i,0.0068286+0.0032204i,0.0032588+0.00035735i,0.0044181+0.0015652i,0.0036291-0.00030274i,0.007925+0.0049433i,0.016178+0.0084735i,0.0023121-0.00034789i,-0.0042091-0.0044326i,-0.0042778+0.00093723i,-0.0018128+0.00019634i,-0.003327-0.0045509i,-0.0036181-0.0012402i,-0.0046054+0.0087042i,-0.001199+0.0032466i,0.00094617+0.0026292i,-0.00070839+0.0024284i,-0.0027694-0.00079799i,-0.0014566+0.0017129i,-0.0012096+0.00047704i,0.0046727-0.0018012i,0.0010256-0.001648i,0.00029975-0.0010096i,-1.1848e-05+0.00033284i,0.0031242-0.0008885i,-0.012861+0.00083835i,0.0021125+0.0027624i,0.00071023+0.0012355i,-0.0012437-0.0011571i,0.0014735-0.0032231i,-0.0018594-0.0010974i,-0.00056782-0.0017116i,-0.0026158+0.0065906i,0.0014037+0.0028157i,-0.034547+0.0069514i,-0.057577-0.0057282i,-0.043902+0.03839i,-0.038002+0.023162i,-0.0429+0.044583i,-0.024813+0.013893i,0.00074553+0.036361i,-0.0084174+0.010536i,-0.041943-0.01581i,-0.060564-0.0082643i,-0.0069128+0.025476i,-0.0025762+0.0028151i,0.0041032-0.0038314i,0.00067611-0.0099724i,-0.00083285+0.010966i,0.00070186+0.026345i,0.0018721+0.0018645i,0.006797-0.004343i,0.0016887+0.00050487i,0.0073513-0.0076318i,0.0086305+0.0036876i,0.0029263+0.002341i,-0.0070861+0.00084367i,0.0054251+0.006813i,0.0055192+0.0058782i,0.0094345+0.0081116i,-0.0002866+0.00098298i,0.0034173-0.0059671i,0.0056259-0.0082892i,3.2662e-05+0.00041466i,-0.03357-0.0028161i,-0.00039199-0.0084378i,-0.0023899-0.0020752i,0.0054222-0.0012465i,0.0012021-0.00047877i,-9.9981e-05-0.011979i,0.0019216-0.0017552i,0.0031911+0.0032985i,0.0042742-0.00052626i,0.0038078-0.0044035i,-0.0089413-0.0030338i,-0.0041788-0.0017999i,-0.0041555-0.002779i,-0.0017605-0.006704i,-0.010921-0.0048826i,-0.057852+0.021696i,-0.020374+0.010432i,-0.012604-0.0075518i,-0.008077+0.002583i,0.0015979+0.021765i,-0.0068136+0.012356i,-0.0049385+0.0067222i
-0.019282+0.018072i,-0.0044509+0.050891i,0.0072224+0.051676i,-0.0028447+0.015501i,-0.0058052+0.00085303i,0.023786+0.011171i,0.010438+0.023857i,-0.0028782+0.048318i,0.00018261+0.022885i,-0.0042976+0.0025002i,0.00043667+0.001722i,0.0072464-0.00058731i,0.0038144-1.7022e-05i,0.0044322+0.00067243i,0.0037702-0.00087077i,0.0080182+0.0014562i,0.016929+0.002243i,0.0010146-0.0015595i,-0.0057008-0.0029075i,-0.0029337+0.0021758i,-0.00086192+5.0427e-05i,-0.0039031-0.0036703i,-0.0035608-0.00029422i,-0.0013894+0.0088867i,0.00032936+0.0036132i,0.0018549+0.0019306i,0.00034678+0.0025591i,-0.0033579+0.00087305i,-0.00075014+0.001849i,-0.00091883+0.00061992i,0.003338-0.0031941i,0.00011977-0.0020462i,-0.0002205-0.00099673i,-8.5249e-06+0.00016011i,0.0019174-0.0017813i,-0.011777+0.0050068i,0.0026272+0.0020283i,0.001057+0.00094418i,-0.0021022-0.00040615i,0.0010193-0.0031559i,-0.002295-0.00092486i,-0.00095245-0.001888i,-0.0019249+0.0070818i,0.0025464+0.0027938i,-0.033041+0.012098i,-0.060894+0.0030378i,-0.037505+0.041781i,-0.030594+0.028482i,-0.030068+0.049246i,-0.023825+0.0206i,0.0076127+0.029i,-0.0041708+0.0079014i,-0.042216-0.010974i,-0.058043+0.0021109i,-0.0018487+0.02557i,-0.0023586+0.002667i,2.1674e-05-0.0033709i,-0.0046768-0.0094669i,0.0049086+0.010721i,0.0065355+0.021789i,-0.00016788+0.0015904i,0.0038375-0.0082513i,0.0028291+0.0019184i,0.0029724-0.0091103i,0.009712-0.0014936i,0.0045472+0.0017075i,-0.0068514+0.00425i,0.0095474+0.0064159i,0.0093582+0.0036457i,0.012063+0.0025789i,0.00079147+0.0015872i,0.0016763-0.0068711i,-0.00045067-0.0092975i,0.0015305+0.0017725i,-0.033499+0.0099253i,-0.0023533-0.0079589i,-0.0018074-0.00024344i,0.0057721-0.0051778i,0.0016805-4.8237e-05i,-0.0052778-0.013019i,0.00093379-0.0014261i,0.0043158+0.0013905i,0.0039391-0.0014404i,0.0027959-0.0056556i,-0.0088894+0.0019708i,-0.0039808+0.00095191i,-0.0049771-0.00017061i,-0.0045911-0.0069119i,-0.010749-0.0010086i,-0.053904+0.027531i,-0.019743+0.016075i,-0.014738-0.0099481i,-0.0051371+0.0039432i,0.0045342+0.021375i,-0.0066002+0.015137i,-0.0032279+0.0046176i
-0.01647+0.019765i,0.0045921+0.049823i,0.01769+0.049646i,-0.0016997+0.016238i,-0.0050986+0.0042551i,0.025863+0.0065814i,0.012913+0.019638i,0.0057038+0.047137i,0.0035339+0.021263i,-0.0034723+0.0037488i,0.00077148+0.0014122i,0.0053657-0.0032327i,0.0039356-0.0012473i,0.0039963-9.3149e-05i,0.0035448-0.0015908i,0.0064344-0.00051054i,0.015696-0.0026659i,-7.2832e-05-0.0012297i,-0.0059129-0.00083864i,-0.0014629+0.0025752i,-0.00029005-0.00040435i,-0.004527-0.0028928i,-0.0030187+0.00044722i,0.0013449+0.0084983i,0.0017019+0.0029304i,0.0022327+0.0012194i,0.0012362+0.002136i,-0.0025701+0.002505i,-0.00014507+0.0015733i,-0.00087143+0.00091545i,0.0016148-0.0036263i,-0.00079386-0.0018134i,-0.00052972-0.00069329i,-0.00024328+0.0001232i,0.00081457-0.0021317i,-0.009477+0.0082273i,0.0029119+0.00095198i,0.0011212+0.00041668i,-0.0022286+0.0010447i,0.00052156-0.0035001i,-0.0025455-0.00014406i,-0.0015617-0.0021747i,-0.00065335+0.0080601i,0.0036498+0.002062i,-0.030597+0.016811i,-0.060151+0.01543i,-0.032861+0.044002i,-0.023593+0.031162i,-0.016324+0.051554i,-0.01788+0.028337i,0.010459+0.020046i,-0.0019444+0.0010092i,-0.040012-0.0068286i,-0.052069+0.012179i,0.0046487+0.023753i,-0.0023862+0.0030427i,-0.0040132-0.0013087i,-0.0087544-0.0067207i,0.0086709+0.0067422i,0.010251+0.017705i,-0.0027691+0.0034122i,-0.00027443-0.011292i,0.0049545+0.00063651i,-0.0014735-0.008081i,0.0073376-0.0051695i,0.005785-0.00045334i,-0.0051057+0.0072436i,0.013189+0.001606i,0.010689-0.0020325i,0.011002-0.004041i,0.0025241+0.00098548i,-0.00084587-0.0070027i,-0.0041682-0.0057139i,0.0035444+0.00048536i,-0.027278+0.024075i,-0.0045999-0.0064458i,-0.0004842+0.00077205i,0.002248-0.0070397i,0.0022989-9.6077e-05i,-0.011155-0.0099859i,0.0010933-0.00073215i,0.0043686-0.0012317i,0.0029695-0.0025394i,0.0013557-0.0060228i,-0.0060994+0.005957i,-0.002512+0.0026363i,-0.0043679+0.0032084i,-0.0081806-0.0057612i,-0.0097105+0.0016767i,-0.048376+0.034802i,-0.011209+0.020778i,-0.019883-0.0094213i,-0.0021885+0.002091i,0.0065975+0.020082i,-0.0036997+0.018403i,-0.0030616+0.0014016i
