-0.024526-0.0045912i,-0.020674-0.0078684i,-0.012589-0.013315i,-0.035245-0.0077977i,-0.026977+0.0018858i,-0.035439-0.0023532i,-0.065881-0.038102i,-0.032936-0.014667i,-0.021272+0.0029699i,0.0066173+0.0057361i,-0.0050752+0.0068202i,-0.00818+0.017987i,0.0049352+0.007458i,-0.0010171+0.0034754i,0.0039577+0.0041248i,0.0042335+0.026126i,0.019455+0.019326i,0.0011875-0.00069641i,0.00037395-0.0051654i,0.0088622+0.00017776i,0.0047342-0.0012918i,0.0022372+0.0020344i,0.0010425-0.00048079i,-0.023531-0.0018788i,-0.0059708-0.0035055i,-0.001049+0.0031142i,0.0034505-0.0036931i,-0.0021091-0.0001516i,-0.00049946+0.00095227i,-0.0024224-0.0015777i,-0.0038697-0.00034539i,-0.0066567-0.0089386i,-0.0049256-0.005397i,-0.00065409-2.3998e-05i,-0.00068242-0.0023392i,-0.001512+0.020536i,0.0026389-0.0040574i,0.0010198-0.0043777i,0.0025861-0.0021981i,-0.0024626-0.003644i,0.0010811-0.00027326i,0.0076231-0.00045957i,0.0038532-0.0032365i,-9.8975e-06+0.0021427i,-0.013449+0.015048i,-0.027263+0.053459i,-0.0052322-0.03723i,-0.014851-0.018578i,-0.039963-0.016722i,-0.027297-0.012684i,0.037225-0.011501i,0.0063695-0.029796i,0.013862-0.037525i,-0.007923-0.029742i,0.026039-0.022872i,0.013355+0.0071361i,0.028011-0.036961i,-0.0017445-0.0045221i,0.0057735-0.0091614i,-0.00084965-0.0059179i,0.00011904-0.036178i,-0.01465+0.028649i,0.0090292-0.011654i,-0.0082423-0.0055648i,-0.0027184-0.0020259i,-0.00047865-0.015317i,-0.0076996+0.0061174i,0.0040256+0.0063895i,-0.0014284+0.028582i,0.0024679+0.00081744i,-0.0070953-0.0045275i,-0.0039954-0.0063114i,-0.01478-0.0099904i,-0.0022598-0.0057054i,-0.03974+0.0074395i,-0.0047559-0.0087404i,-0.01288-0.00094154i,-0.010327-0.0062293i,0.001913-0.0017949i,-0.013583+0.002377i,-0.0015793-0.000699i,0.0055564+0.0062567i,0.0037206-0.0052547i,-0.011955-0.015286i,0.0075731+0.0088185i,-0.015921+0.006768i,0.0047405+0.0003406i,-0.019695-0.0031784i,-0.016255-0.0039608i,-0.015575-0.035333i,0.020206-0.0095537i,-0.039673-0.026232i,-0.010402+0.0046966i,0.017975+0.016078i,-0.021983+0.016657i,-0.0042698-0.0036363i
0.0032699+0.01371i,-0.0028724+0.015932i,-0.0014705+0.025581i,0.0018849+0.024144i,0.0002947+0.028702i,0.011238+0.022239i,-0.0090786+0.025159i,-0.0039762+0.021338i,0.011485+0.0048339i,0.0018962-0.0040193i,0.0023374+0.00047753i,0.0068002-0.0029393i,0.00065627-0.0014831i,0.00035761-0.0036174i,-5.7588e-06-0.0016912i,0.0067878-0.006504i,-0.0024173-0.004148i,-0.0024679+0.0031052i,0.0005336+0.00020275i,-0.00015295+0.0016591i,0.0093491+0.00064358i,-5.3664e-05+1.0528e-05i,0.0013199+0.00027916i,-0.007597-0.0036263i,-0.00028686-0.00053614i,-0.0021323+0.00072301i,-0.0037959+0.00037982i,-0.0016918+0.00027731i,-0.0012576+0.00098138i,-5.312e-05-0.00053814i,-0.0029309+0.00078869i,0.0014804-0.0018292i,0.00078304-0.0031584i,-4.3147e-05-0.001328i,-0.001259+0.00069203i,-0.0005458-0.0038592i,-0.0017298+0.0017762i,0.0019349+0.00017934i,0.00079015+0.0039371i,0.0027006+0.0045857i,-0.00017046+0.0010112i,-0.0012758+0.00049612i,-0.0017825-0.0013339i,0.0030573+0.0049569i,0.014172+0.0068315i,0.044844-0.053771i,-0.027284+0.0059235i,0.019023-0.027316i,-0.021256-0.033442i,-0.011976+0.0027236i,-0.032689+0.03382i,-0.019244+0.0052206i,-0.016485+0.0084683i,-0.0025579-0.018215i,-0.04074-0.020526i,-0.0087546+0.0020474i,-0.027876+0.012399i,0.00275+0.013464i,0.00095549+0.0049483i,-0.0049667-0.0043044i,-4.504e-05+0.0022285i,-0.014885-0.0042703i,0.0046894+0.012997i,-0.0011973+0.0078756i,-0.0019636+0.0038422i,0.0011378+0.0064513i,0.0022397+0.0027488i,-0.0011666+0.018779i,0.0043245+0.016486i,0.0048653-0.0051674i,0.011735-0.005229i,0.0085608+0.0025966i,-0.0038488-0.0071554i,-0.00015067-0.0019161i,0.019754-0.033634i,0.0093199+0.0047295i,0.0082377-0.00048448i,0.0023433-0.00077691i,0.0060477-0.0086488i,0.022643+0.00044832i,0.0058775-0.0030156i,0.0017718-0.0074557i,0.0045292-0.0035765i,0.016913+0.0031218i,0.006281+0.0034645i,0.0030249-0.0037512i,0.0091602+0.0097176i,-0.0020864+0.0046194i,0.0083409+0.0091682i,-0.013393-0.015057i,-0.0089624+0.0019028i,-0.0086483-0.014438i,-0.0087672-0.0047333i,-0.037697+0.0078195i,-0.0056718+0.0039815i,-0.012044+0.0012676i
0.0054637+0.012717i,-0.00064675+0.013422i,0.00481+0.020946i,0.0054106+0.02179i,0.0043027+0.02676i,0.01453+0.019783i,-0.0059104+0.0259i,0.00014415+0.020927i,0.011304+0.00084631i,0.00063239-0.0042651i,0.0028043+0.00084593i,0.0051276-0.0054664i,0.00018518-0.0023434i,0.00057661-0.0032042i,-0.0006079-0.0014936i,0.0031244-0.0064193i,-0.0045565-0.0025176i,-0.00026938+0.0029539i,0.0017271-5.3407e-05i,0.0010179+0.0013936i,-0.0017015+0.002266i,0.00043722+0.00046108i,0.001623-0.00026754i,-0.0070118-0.0010317i,-0.00010327-0.00024473i,-0.0016959+0.0015267i,-0.0028663+0.0022658i,-0.0011222+0.00069284i,-0.00017202+0.00044991i,7.124e-05-0.00029267i,-0.0020683+0.0024587i,0.00017926-0.0015239i,-0.00090113-0.0030967i,-0.001345-0.0011793i,-0.0018526+0.00095023i,0.00043472-0.0027285i,-0.00041959+0.0022644i,0.0013227-0.00064431i,0.0042305+0.0047691i,0.0039331+0.0026962i,0.00021498+0.0011454i,-0.0011935+0.00077615i,-0.0023175-0.00073524i,0.0044561+0.0039983i,0.014927+0.00255i,0.024212-0.063212i,-0.021707+0.013955i,0.0081665-0.035258i,-0.032734-0.026672i,-0.0092729+0.0058685i,-0.021084+0.039411i,-0.014801+0.010382i,-0.0057894+0.0035668i,-0.0042666-0.016764i,-0.045388-0.0058727i,-0.0083195+0.002758i,-0.022691+0.023903i,0.0064973+0.0092897i,0.0015498+0.003576i,-0.0087353-0.0056916i,-0.0022958+0.0052066i,-0.014632+0.0036467i,0.010179+0.0093841i,0.0012528+0.0094698i,-0.00032891+0.004031i,0.0032957+0.0070579i,0.0036564+0.002635i,0.0071316+0.015138i,0.0092641+0.0087934i,-0.0017119-0.0074492i,0.0060358-0.0066436i,0.0077559+0.0009709i,-0.0069512-0.0018776i,-0.00076679+0.00064512i,0.005853-0.033389i,0.011305+0.0017748i,0.0085489-0.0039152i,0.0040057-0.0024196i,0.00087904-0.0057226i,0.021095-0.0094536i,0.0030195-0.0047013i,-0.0018484-0.0063389i,0.00084915-0.0032051i,0.015201-0.0021929i,0.0075011+0.0023958i,0.0021731-0.002257i,0.011691+0.006052i,-0.00060428+0.0055583i,0.0096906+0.0050347i,-0.019288-0.013204i,-0.0050476-0.012267i,-0.0079505-0.012058i,-0.0084376-0.0030592i,-0.032803+0.021197i,-0.003694+0.0048424i,-0.00972+0.0023802i
0.0083117+0.011395i,0.00058365+0.011782i,0.0073253+0.015272i,0.0081508+0.019401i,0.0089669+0.024948i,0.017519+0.016632i,-0.0017949+0.026458i,0.0042584+0.019482i,0.0096068-0.0020055i,-0.00078869-0.0038911i,0.0039716+0.00048903i,0.001197-0.0061967i,-0.00065988-0.0025053i,-0.00015766-0.0033952i,-0.0010128-0.0011426i,-0.00021642-0.00483i,-0.0052462-3.8308e-05i,0.0011061+0.0026302i,0.0021063-0.0016285i,0.0019556+0.000193i,-0.00050082+0.0022613i,0.001265+6.0038e-05i,0.0015576-0.00095169i,-0.0067252+0.00012908i,-1.4501e-05-4.3026e-05i,-0.00054405+0.0023308i,-0.0011402+0.0026028i,-0.00044403+0.00094471i,-0.00042158+0.00078936i,-2.1868e-05-0.00045974i,-0.00058039+0.0034403i,-0.00032843-0.0010066i,-0.0020908-0.00197i,-0.0019108-0.00042898i,-0.0014516+0.0019954i,0.0018267-0.0030366i,0.00044696+0.0019422i,0.00060008-0.0011257i,0.022717-0.0083447i,0.0041073+0.0013926i,0.00068549+0.0009664i,-0.00028405+0.0015265i,-0.0027639-0.00022666i,0.005064+0.0018826i,0.014474-0.0011921i,0.0021288-0.062814i,-0.011134+0.017835i,-0.0036798-0.037075i,-0.036562-0.0187i,-0.0037526+0.0069347i,-0.0069758+0.039322i,-0.0052678+0.01146i,-0.0046223-0.0036353i,-0.006004-0.016024i,-0.042777+0.0084556i,-0.0072336+0.0043422i,-0.010101+0.029927i,0.0046336+0.0054523i,-0.00041181+0.0011369i,-0.015731-0.002111i,-0.0010077+0.0066046i,-0.010442+0.0086094i,0.011809+0.0032498i,0.0041052+0.0094422i,-0.0012072+0.0047153i,0.0048808+0.0049301i,0.0050249+0.00050609i,0.0093871+0.0081946i,0.0082118+0.0035952i,-0.0066524-0.0025655i,0.0038919-0.0059337i,0.0088916-0.00037885i,-0.0026367+0.0067933i,0.002084+0.002359i,-0.00054735-0.033461i,0.012255-0.0033763i,0.0056191-0.0068693i,0.0023001-0.0044776i,0.00072914-0.0039686i,0.013615-0.016368i,-8.2073e-05-0.0014817i,-0.0013074-0.0063547i,-0.00049165-0.00016177i,0.011584-0.0063337i,0.010315-0.0013231i,0.003114-0.0033976i,0.014378+0.0006511i,0.0029269+0.0048713i,0.009349+0.0013022i,-0.022824-0.0057258i,-0.015881-0.020067i,-0.0063653-0.014016i,-0.0064767-0.0031226i,-0.022267+0.023985i,-0.0038762+3.1874e-05i,-0.0079605-0.0010036i
0.011025+0.0086046i,0.0025186+0.01103i,0.0076917+0.010294i,0.010621+0.017354i,0.013051+0.021351i,0.019945+0.012714i,0.0031844+0.026298i,0.0078623+0.016865i,0.0079335-0.0031714i,-0.0020062-0.0030009i,0.0044579-0.0013108i,-0.0014939-0.0043531i,-0.0016518-0.00238i,-0.0014302-0.0027319i,-0.0015018-0.00075755i,-0.0015084-0.001881i,-0.0043781+0.0024576i,0.0020062+0.0017526i,0.001223-0.0021592i,0.0016402-0.0012308i,0.0004925+0.0017893i,0.0016325-0.0007187i,0.0012058-0.0017152i,-0.0066342+0.0018442i,0.00028662-0.00025688i,0.0011789+0.0013812i,0.00016348+0.0021823i,0.00017225+0.00064789i,0.00046382+0.00068776i,-7.9668e-05-0.00023808i,0.00065093+0.0032578i,-0.00097492-0.0007466i,-0.0029186-0.00066059i,-0.0019852+0.00065408i,-0.00053598+0.0023842i,0.0021536-0.0049929i,0.0016349+0.0017283i,-0.00015587-0.00094319i,0.00098796-0.00090582i,0.0042832+0.00034451i,0.0011503+0.00035537i,0.000635+0.0012579i,-0.003052+0.00079506i,0.0035554-0.0010466i,0.013319-0.0041922i,-0.015875-0.051353i,-0.0017535+0.014646i,-0.014429-0.034448i,-0.040705-0.0096657i,0.0010079+0.004591i,0.0056551+0.032982i,0.0029418+0.0048927i,-0.0049744-0.004897i,-0.0066096-0.013282i,-0.035868+0.018722i,-0.00609+0.0056251i,0.0018937+0.028883i,0.0068236+0.0033518i,-0.0036099+0.0022512i,-0.018516+0.0065318i,-0.00066318+0.0083854i,-0.005788+0.0097267i,0.009446-0.0021638i,0.0082084+0.0086494i,0.00017443+0.0069506i,0.004165+0.0044311i,0.005168-0.0028385i,0.0079458+0.0027309i,0.0053187+0.0008841i,-0.004891+0.0012497i,0.0019075-0.0057826i,0.0085047-0.0026544i,0.0058988+0.007369i,0.0037008+0.00059381i,-0.013401-0.019343i,0.00959-0.0073199i,0.0026364-0.0076937i,0.0014157-0.0032329i,-4.46e-05-0.0046053i,0.0055032-0.017582i,0.0028383-0.00024186i,-0.0038334+0.00042246i,0.0020102+0.0021318i,0.0079736-0.00698i,0.0092421-0.0060184i,0.0010326-0.0036675i,0.011312-0.0076626i,0.0039598+0.0016147i,0.0087968-0.0026812i,-0.019096+0.0022522i,-0.026498-0.017863i,-0.010388-0.018528i,-0.0065479-0.0054508i,-0.014575+0.026822i,-0.0088794-0.00013597i,-0.011254-0.00035218i
0.012326+0.0054956i,0.0034006+0.0089491i,0.0061737+0.006828i,0.012996+0.014826i,0.015945+0.017346i,0.021167+0.0084631i,0.0083084+0.024428i,0.010218+0.013714i,0.0069593-0.0038604i,-0.0022284-0.0020668i,0.0032824-0.0026593i,-0.002398-0.0024042i,-0.002583-0.0019688i,-0.0016283-0.0017854i,-0.0017404+7.4523e-05i,-0.0010961+0.00040044i,-0.0027379+0.0041004i,0.0023437+0.0007525i,0.00087298-0.0019669i,0.00061538-0.0019415i,0.00071952+0.0012066i,0.0013837-0.0014557i,0.00033157-0.00211i,-0.0048904+0.0031158i,0.00016233-0.00076406i,0.0012611-0.00036219i,0.00097058+0.0011405i,0.00040711+0.00026947i,0.00010377+0.00084118i,0.00033975-0.0002376i,0.0014842+0.0025925i,-0.0012722-0.00038444i,-0.0029524+0.0010368i,-0.001527+0.0015156i,0.00016913+0.0024503i,0.0008124-0.0068996i,0.0024319+0.00062334i,-0.00035454-0.00039775i,0.0016729-0.0010382i,0.0037805-0.00061926i,0.0010317-0.00033923i,0.00094162+0.00059601i,-0.0023426+0.0025942i,0.0011384-0.00045093i,0.011811-0.0063321i,-0.020392-0.036246i,0.0032743+0.0091076i,-0.023997-0.027702i,-0.040159+0.0027883i,0.0033009-0.00012129i,0.015115+0.026527i,0.0058525-0.0025175i,-0.0041186-0.0069074i,-0.0051669-0.01334i,-0.029013+0.025827i,-0.0044244+0.0063363i,0.012786+0.02334i,0.0065849+0.0006534i,-0.0046769+0.0058278i,-0.016057+0.014027i,0.0021209+0.0096835i,-0.0022235+0.011335i,0.0045766-0.0034283i,0.010975+0.0053626i,0.0029938+0.0079274i,0.0049662+0.004709i,0.0038073-0.0051787i,0.0041349+0.0020926i,0.0029886+0.0018071i,-0.0037384+0.0032791i,0.00045072-0.0046257i,0.0071186-0.0050321i,0.0095767+0.001784i,0.0038633-0.0013777i,-0.014366-0.017853i,0.0059051-0.0096275i,-0.00068696-0.0081213i,0.0028068-0.0028051i,-0.0013982-0.0035807i,-1.9691e-05-0.015739i,0.0040334-0.0023599i,-0.00204+0.0026285i,0.0049915+0.00081333i,0.0062389-0.0075793i,0.0056113-0.011028i,0.00094824-0.0034034i,0.003793-0.011314i,0.0023035+5.6867e-05i,0.0048532-0.0064933i,-0.012819+0.0038106i,-0.035847-0.0080087i,-0.016832-0.018646i,-0.0082372-0.0071807i,-0.0085804+0.026361i,-0.012539+0.003227i,-0.010972+0.0034343i
0.013227+0.0024246i,0.0035928+0.0079023i,0.0044981+0.0055495i,0.014944+0.011821i,0.017473+0.013092i,0.021899+0.0045215i,0.013231+0.020903i,0.011675+0.01059i,0.0064774-0.0047647i,-0.0024699-0.0018272i,0.0014099-0.0032148i,-0.0025669-0.00067876i,-0.003555-0.001005i,-0.00161-0.0014261i,-0.0019984+0.00070943i,1.2554e-06+0.0015057i,-0.00049302+0.0049518i,0.0023013-5.429e-05i,0.0002881-0.0022946i,-0.00039403-0.0019409i,0.0012954+0.00095206i,0.00093445-0.0019478i,-0.00042978-0.0019645i,-0.0038916+0.0028921i,-0.00021874-0.00067737i,0.0002555-0.0016312i,0.00078864+1.6836e-05i,0.00055452-0.00022215i,0.00080024+0.00037859i,0.00035361-0.00076946i,0.0021381+0.0017865i,-0.0013802-7.6404e-05i,-0.0020113+0.0024098i,-0.00075096+0.0018945i,0.00084245+0.0022716i,-0.0017236-0.0073514i,0.0015021-0.0014285i,-0.00022005-0.00024312i,0.0010992-0.0017434i,0.0031468-0.0012228i,0.00081961-0.00044035i,0.00089544+0.0002965i,-0.00076924+0.0010454i,0.00067089+0.001163i,0.010386-0.0076419i,-0.018449-0.028359i,0.0051055+0.0045884i,-0.028403-0.016609i,-0.035583+0.018164i,0.00048504-0.004432i,0.017774+0.018829i,0.0060276-0.0092022i,-0.0043948-0.0080902i,-0.006926-0.013928i,-0.021259+0.031332i,-0.0035521+0.0070534i,0.018108+0.010973i,0.0058583-0.0017052i,-0.0029174+0.0091394i,-0.0097837+0.020093i,0.0050981+0.008313i,0.0033168+0.0098256i,0.0022604-0.0019759i,0.012627+0.00059647i,0.0058935+0.007311i,0.0062284+0.0038781i,-0.00050016-0.0078559i,0.0037621+0.0044829i,0.0039209+0.0033945i,-0.00096981+0.0060158i,0.00054135-0.0039128i,0.0055639-0.0062286i,0.0094734-0.0032796i,0.0032778-0.0035885i,-0.020123-0.015742i,0.0018863-0.010332i,-0.0043218-0.006703i,0.0015309-0.004523i,-0.0014917-0.0018578i,-0.0026442-0.012628i,0.0028499-0.0044099i,0.00031112+0.0026406i,0.0049618-0.0033092i,0.0036581-0.0085759i,-0.0018009-0.011863i,0.00013649-0.0047527i,-0.0015751-0.0082474i,0.0019309-0.00069568i,-0.00022485-0.005862i,-0.0098735+0.0037976i,-0.033606+0.0085398i,-0.022893-0.015372i,-0.01102-0.0068932i,-0.0047811+0.026198i,-0.011557+0.0090157i,-0.0068081+0.0047075i
0.013396-0.00079512i,0.0043102+0.0074376i,0.0035133+0.0054765i,0.016185+0.0083927i,0.018122+0.0094611i,0.022134+0.00026836i,0.017018+0.016188i,0.012396+0.0076903i,0.0059538-0.0056799i,-0.0028806-0.00097777i,-7.4365e-05-0.0026405i,-0.0014242+0.00078858i,-0.0038614+0.00040854i,-0.0020566-0.0015153i,-0.0019592+0.0012739i,0.00093041+0.001905i,0.0017888+0.0049744i,0.0019639-0.0005569i,-0.00022354-0.0023394i,-0.0010671-0.0014008i,0.001778+0.00031721i,0.00028666-0.0022844i,-0.0009838-0.0015414i,-0.0036115+0.0036801i,-0.00049098-0.00072031i,-0.0010455-0.0014116i,0.0006265-0.00050131i,0.00026074-0.00090998i,0.0008501-0.00045493i,-0.00013337-0.0012565i,0.0027235+0.0010028i,-0.0011166+0.00079258i,-0.00024367+0.0025559i,7.8068e-05+0.0019615i,0.0014912+0.0015538i,-0.0045371-0.0070737i,0.0005401-0.00091808i,-0.00029885-0.0004157i,0.00034612-0.0019481i,0.0025349-0.0016857i,0.00075283-0.00068431i,0.0010897+1.8082e-05i,-0.00093424+0.00097032i,0.0013632+0.0016539i,0.0095961-0.0093285i,-0.018803-0.027317i,0.0064524+0.0011719i,-0.025651-0.0074764i,-0.025106+0.027124i,-0.0019211-0.004509i,0.019865+0.012631i,0.0032022-0.014801i,-0.0044531-0.0091334i,-0.0078792-0.011871i,-0.011725+0.035183i,-0.0010052+0.006923i,0.01276-2.5495e-07i,0.0038252-0.0042347i,0.00017833+0.010538i,-0.0023552+0.021047i,0.0062702+0.0057003i,0.0054119+0.0052603i,0.002448-0.0009669i,0.012103-0.0034519i,0.0099169+0.0051087i,0.0074699+0.0034177i,-0.0049579-0.0036116i,0.0056988+0.0050144i,0.0054612+0.00375i,0.0026008+0.0057879i,-0.00031282-0.0042193i,0.0036501-0.0076857i,0.0073739-0.009524i,9.9047e-05-0.0044988i,-0.026245-0.0087454i,-0.0014271-0.009482i,-0.0057112-0.0032634i,0.000922-0.0028375i,-0.0013536-0.0018366i,-0.0043679-0.012459i,0.00080275-0.0050362i,0.0014718+0.00083255i,0.0023301-0.0044753i,0.0015813-0.0085349i,-0.0066189-0.0073845i,-0.0023015-0.0050119i,-0.0035535-0.0058921i,0.00040243-0.0013501i,-0.0022919-0.0029868i,-0.006643+0.0040049i,-0.025687+0.010722i,-0.023655-0.011155i,-0.01312-0.0054254i,0.00053331+0.023869i,-0.0095259+0.011326i,-0.0050812+0.0034693i
0.012632-0.0039962i,0.0057102+0.0070723i,0.0034552+0.0061148i,0.016595+0.0050735i,0.018165+0.0063308i,0.021336-0.0039095i,0.019572+0.010721i,0.012689+0.0051244i,0.005289-0.0068896i,-0.0027314-0.00014886i,-0.00054228-0.0014712i,-0.0001745+0.00066114i,-0.003678+0.0018187i,-0.0030701-0.00071953i,-0.0014776+0.0020734i,0.0019544+0.0014627i,0.0039607+0.0038496i,0.0018245-0.00090316i,-0.00080457-0.0021786i,-0.0012252-0.00052289i,0.0018918-0.00056767i,-0.00035893-0.0019797i,-0.0012085-0.0010306i,-0.002253+0.0045421i,-0.00099601-0.00061237i,-0.0014079-0.00086409i,3.6719e-06-0.0011367i,-0.00045844-0.0012856i,0.00030077-0.0010898i,-0.00080633-0.0013073i,0.0029778-0.0006634i,-0.00044925+0.00059056i,0.00047191+0.0017848i,0.00064677+0.0016922i,0.0015829+0.00085483i,-0.0076712-0.0051191i,0.00012089-0.0011565i,-0.00068773-0.00027575i,-0.00063267-0.0022575i,0.0021768-0.0018248i,0.00056637-0.00085495i,0.0011422-0.00034969i,-0.00095946+0.00086529i,0.0020331+0.0017662i,0.0080429-0.01159i,-0.024251-0.02587i,0.0059193-0.0026552i,-0.023339-0.0013959i,-0.013764+0.030006i,-0.0043175-0.0042567i,0.021166+0.005427i,-0.00037231-0.017305i,-0.0053768-0.00996i,-0.0072492-0.0088595i,-0.0017457+0.035031i,0.00080518+0.0058251i,0.0067468-0.001213i,0.00097572-0.005415i,0.0046985+0.011129i,0.0038132+0.018996i,0.0062349+0.003061i,0.0061861+4.7518e-05i,0.0018089-0.00035383i,0.0095892-0.0080148i,0.012238+0.00084181i,0.008802+0.0015973i,-0.0050907-0.00028954i,0.0080029+0.0044753i,0.0072929+0.0033603i,0.0059531+0.0036407i,-0.001321-0.0037606i,0.0020107-0.0087843i,0.0011962-0.01234i,-0.0014233-0.0024341i,-0.028735+0.0016538i,-0.0037436-0.0086401i,-0.0056321-0.00063986i,0.001307-0.0023049i,-0.0020906-0.0013468i,-0.0078443-0.012086i,-0.0019418-0.0046764i,0.0020231-0.00010157i,0.00050298-0.0047508i,0.00030709-0.0083042i,-0.0083054-0.0038197i,-0.0046433-0.0029513i,-0.0053208-0.0029983i,-2.3306e-05-0.0016202i,-0.0021563-0.0014283i,-0.0038559+0.0034685i,-0.024069+0.011866i,-0.023176-0.0084211i,-0.014871-0.0032094i,0.002158+0.022322i,-0.0078551+0.012176i,-0.0038983+0.0026313i
0.011197-0.0065655i,0.0076552+0.0057591i,0.0049258+0.0064902i,0.016469+0.0020157i,0.018435+0.0037198i,0.019716-0.0076271i,0.02031+0.0043509i,0.012765+0.0026417i,0.0041701-0.0080801i,-0.0024901+0.00027463i,-0.0019225-0.0020515i,-3.1092e-05-0.00016033i,-0.0029605+0.0031235i,-0.0030753+0.00061509i,-0.00063618+0.002569i,0.0021278+0.00054195i,0.0050625+0.0016238i,0.0014243-0.0014903i,-0.0014982-0.0016218i,-0.00084008-3.7833e-05i,0.0016639-0.0013907i,-0.00059311-0.001668i,-0.0011573-0.00057468i,-0.00055638+0.0045514i,-0.0014114-0.00030184i,-0.0019188-0.0002117i,-0.0011163-0.0013992i,-0.0012732-0.0010795i,-0.00046413-0.0014006i,-0.0014952-0.00094675i,0.0015693-0.0011043i,-0.00059716+0.00071783i,0.0006668+0.0014058i,0.0010979+0.0013415i,0.0015319+0.00030419i,-0.0094826-0.0011373i,-0.00069858-0.0010452i,-0.0007692+3.3714e-06i,-0.0017941-0.0018543i,0.001809-0.0020666i,0.00030864-0.00097598i,0.0010105-0.00068277i,-0.0010469+0.00085242i,0.0027148+0.0015577i,0.0052761-0.012915i,-0.029187-0.019626i,0.0046123-0.0057509i,-0.016792+0.0037095i,-0.0024106+0.030728i,-0.0057182-0.0011069i,0.020739-0.0021737i,-0.0014084-0.020194i,-0.0055286-0.0092974i,-0.0039154-0.0061165i,0.0069771+0.032278i,0.0012944+0.0041144i,0.0034543-0.0016439i,-0.002649-0.0053064i,0.010037+0.0082025i,0.0074714+0.015717i,0.0048124+0.0015987i,0.0040424-0.0042557i,0.0030282+0.0018958i,0.0045492-0.010593i,0.012229-0.0052884i,0.009123-0.00097385i,-0.0049918+0.0026931i,0.01081+0.0022248i,0.0099352+0.00048696i,0.0071908-0.00041002i,-0.0018429-0.0030916i,-0.00071165-0.0091391i,-0.0080053-0.0081718i,-0.00084532-0.00069504i,-0.027152+0.012201i,-0.0061376-0.0077107i,-0.004645+0.0020927i,0.0013047-0.0050996i,-0.0019078+0.00044923i,-0.011958-0.0093478i,-0.004249-0.0025386i,0.0015399-0.0016725i,-0.0013145-0.0042942i,-0.0021672-0.0081197i,-0.0083132+0.0010084i,-0.0047081-3.7721e-05i,-0.0068737-0.0022639i,-0.00098627-0.0032305i,-0.0015269-0.00097667i,-0.0014849+0.0029274i,-0.023604+0.018614i,-0.0236-0.0086324i,-0.012333+0.00079182i,0.0061908+0.021769i,-0.0068597+0.014114i,-0.0024116+0.00023366i
0.0095234-0.0084264i,0.0092436+0.0038275i,0.0066797+0.0053441i,0.015844-0.0010418i,0.018478+0.0009072i,0.017686-0.010532i,0.018787-0.0013332i,0.012472+0.00026258i,0.0028567-0.0089143i,-0.0023293+0.00092722i,-0.001401-0.0012371i,-0.00061201-0.00028468i,-0.0017588+0.003934i,-0.0025672+0.0016856i,0.00022061+0.0026436i,0.0014676-4.8201e-05i,0.0045945-0.00045418i,0.00080404-0.0016553i,-0.0016275-0.0009387i,-0.00039896+8.2483e-05i,0.0014296-0.0020511i,-0.00069805-0.001571i,-0.00089311-0.00033043i,0.00077626+0.0042401i,-0.0016352+0.00011852i,-0.0021485+0.00070738i,-0.0022413-0.00085673i,-0.0016991-0.00046487i,-0.0013784-0.0012613i,-0.0020665-0.00029529i,0.0010074-0.0011647i,-0.00033764+0.001101i,0.0010514+0.0010645i,0.0015116+0.00087782i,0.0012734-0.00013672i,-0.009893+0.0028156i,-0.0011121-0.00068724i,-0.00090779+7.2582e-05i,-0.0025653-0.00092175i,0.0012905-0.0023698i,0.00015543-0.00098922i,0.00095159-0.00093068i,-0.0011538+0.0010999i,0.0031882+0.00095846i,0.0029416-0.013109i,-0.028784-0.01162i,0.0013679-0.0075011i,-0.010631+0.0034082i,0.0080424+0.027999i,-0.0043141+0.0030554i,0.017487-0.0085754i,-0.0055087-0.025252i,-0.0039142-0.0093223i,0.0016092-0.0046672i,0.015712+0.026464i,0.00067353+0.0035163i,0.00068992-0.0008828i,-0.0050215-0.0029663i,0.012184+0.0022869i,0.010573+0.013616i,0.0028089+0.0021737i,0.0005785-0.0070274i,0.0061584+0.00025939i,-0.0007727-0.0097683i,0.0080043-0.0098445i,0.0087415-0.0040158i,-0.0042861+0.0049064i,0.012182-0.0029894i,0.0094346-0.0050327i,0.0059489-0.0043682i,-0.0023965-0.0025296i,-0.0036867-0.0083895i,-0.0037633-0.0077021i,0.00036309-0.000927i,-0.020336+0.024685i,-0.0084493-0.0059716i,-0.002141+0.003471i,-0.001877-0.0063761i,-0.00075559+0.00092202i,-0.015048-0.0045454i,-0.0040135+0.00014309i,-7.2002e-05-0.0026324i,-0.0032249-0.0031469i,-0.0044072-0.0062755i,-0.0056603+0.0041195i,-0.0031359+0.001852i,-0.0075827+0.0025024i,-0.0046582-0.0030259i,-0.0017635-0.00096153i,0.0026635+0.0024247i,-0.013405+0.025021i,-0.02717-0.0068629i,-0.010688-0.0016042i,0.0086612+0.01943i,-0.003966+0.016609i,-0.0033311-0.0032821i
