-0.024319-0.0036736i,-0.020912-0.0080107i,-0.012764-0.012847i,-0.03534-0.0074429i,-0.026839+0.0020739i,-0.035915-0.0027953i,-0.065987-0.03905i,-0.032863-0.014868i,-0.023702+0.0029541i,0.0069487+0.005281i,-0.0049422+0.0069871i,-0.0076315+0.018066i,0.006147+0.0078109i,-0.0010741+0.0033929i,0.0040961+0.0042604i,0.0043029+0.026317i,0.016396+0.01803i,0.0012291-0.00077534i,0.0006374-0.0051447i,0.0089794+0.00027925i,0.0049785-0.0014087i,0.0026013+0.0026983i,0.00098291-0.00048407i,-0.02293+0.00045615i,-0.0060597-0.0029359i,-0.0013272+0.0029167i,0.0030748-0.0035585i,-0.0019095+0.00013233i,-0.00068015+0.00093813i,-0.0025867-0.0014806i,-0.0038469-0.00025046i,-0.0065434-0.0086499i,-0.0074075-0.0027358i,-0.00060577-2.8638e-05i,-0.00051395-0.0024063i,-0.002208+0.019231i,0.0023305-0.0038i,0.0015076-0.0040877i,0.0023482-0.0021798i,-0.00054838-0.0035556i,0.00089027-0.00022672i,0.007072+0.0027174i,0.0045922-0.0020773i,-1.4254e-05+0.0023897i,-0.013519+0.015742i,-0.027503+0.05201i,-0.0057907-0.03769i,-0.014141-0.017922i,-0.039569-0.017276i,-0.027448-0.01335i,0.036992-0.011215i,0.0065593-0.030062i,0.013715-0.037488i,-0.0083804-0.030086i,0.026909-0.023161i,0.013041+0.0073584i,0.032-0.035541i,-0.0015837-0.0042188i,0.0065578-0.0088347i,-0.00098022-0.0058496i,0.00092829-0.036363i,-0.014383+0.030198i,0.0088867-0.011204i,-0.0069726-0.0044639i,-0.0026723-0.0021116i,0.00057736-0.015509i,-0.0079357+0.0059542i,0.0040132+0.0067592i,-0.0029631+0.028448i,0.0026758+0.00054463i,-0.0068921-0.0042284i,-0.0042294-0.0065325i,-0.013453-0.0089406i,-0.0022412-0.0061811i,-0.03576+0.017726i,-0.0048497-0.0085982i,-0.012975-0.00085932i,-0.0087658-0.0062988i,0.0016352-0.0017025i,-0.013346+0.0019818i,-0.001489-0.00055241i,0.0054485+0.0059553i,0.0039514-0.0050067i,-0.012217-0.016012i,0.0075245+0.0091147i,-0.015487+0.0041457i,0.0051021-7.4415e-05i,-0.019623-0.0028491i,-0.015659-0.0041637i,-0.016088-0.036159i,0.020435-0.010294i,-0.037522-0.025096i,-0.01072+0.0045095i,0.018548+0.016122i,-0.022796+0.016336i,-0.0038222-0.0041937i
0.002934+0.014341i,-0.0029536+0.016876i,-0.001541+0.025852i,0.0020651+0.024796i,0.00062861+0.029243i,0.010844+0.022887i,-0.0099357+0.025301i,-0.0035892+0.020693i,0.012107+0.0049925i,0.0014594-0.0028702i,0.0021356+0.00024653i,0.0051798-0.0019156i,0.00045739-0.0015939i,0.0002333-0.0030936i,-7.7967e-05-0.0017995i,0.0069302-0.0070878i,-0.0032095-0.0068141i,-0.00087244-0.00050268i,0.00065753+0.00020642i,5.8919e-05+0.0018682i,0.00057952+0.010902i,-5.75e-05-4.3207e-05i,0.0013281+0.00025016i,-0.007123-0.0042301i,-0.00025541-0.00064123i,-0.0022893+0.00085557i,-0.0048499+0.00028765i,-0.0018155+0.00024627i,-0.0014088+0.0017175i,-0.00019653-0.00051577i,-0.0024804+0.0011854i,0.0013391-0.0018616i,-7.7976e-05-0.0032121i,0.00040245-0.0018035i,-0.0012008+0.00076322i,4.1173e-05-0.0041777i,-0.001108+0.0014987i,0.0020855+0.00084248i,0.0031705+0.0046173i,0.0001456+0.0028205i,-0.00063993+0.0011599i,-0.0017483+0.00041504i,-0.001316-0.00097187i,0.0043181+0.0039464i,0.012692+0.0060799i,0.043959-0.054409i,-0.026561+0.0059403i,0.019204-0.026734i,-0.022487-0.034521i,-0.012456+0.0023118i,-0.034407+0.034012i,-0.019545+0.0038854i,-0.017094+0.008061i,-0.0022747-0.018643i,-0.040363-0.020455i,-0.0086789+0.0022594i,-0.029894+0.012233i,0.0014295+0.015102i,0.00086188+0.0051108i,-0.0044942-0.0046414i,-8.5089e-05+0.0023836i,-0.014565-0.0043573i,0.0048601+0.013553i,-0.0014225+0.0082295i,-0.0021226+0.004474i,0.00064958+0.0056453i,0.0020788+0.0027642i,-0.0018674+0.018556i,0.0048978+0.015422i,0.0049352-0.0048323i,0.011485-0.0039574i,0.0090735+0.002438i,-0.0056832-0.0073529i,-0.00035737-0.0016675i,0.016961-0.033082i,0.0089911+0.0044283i,0.0069519-0.0015307i,0.0023347-0.0006573i,0.0058067-0.0087487i,0.021085+0.00016745i,0.0057051-0.0035338i,0.00088295-0.0073096i,0.0045182-0.0033223i,0.017559+0.0030797i,0.0064632+0.0035973i,0.0033529-0.003771i,0.0079411+0.0095859i,-0.0025446+0.0047493i,0.0082952+0.0091095i,-0.013259-0.014993i,-0.0090999+0.001963i,-0.0091142-0.015201i,-0.0084383-0.0047007i,-0.039474+0.0041244i,-0.0058898+0.0040589i,-0.011985+0.00065157i
0.005384+0.013733i,-0.00058118+0.014436i,0.0048297+0.02144i,0.0059214+0.022397i,0.0048707+0.02722i,0.014219+0.020551i,-0.0069182+0.026176i,0.00037802+0.020196i,0.011833+0.00079002i,0.0010379-0.0033858i,0.0024394+0.0005932i,0.0044154-0.0041339i,0.00014225-0.0021486i,0.00023636-0.0027454i,-0.00068968-0.0015755i,0.0033634-0.0069807i,-0.0066744-0.0042473i,-0.00061485+0.0016533i,0.0018012+0.00019826i,0.00139+0.0015179i,-0.0032794+0.0014369i,0.00029276+0.00046402i,0.0016562-0.00029739i,-0.0067714-0.0016707i,-0.00018937-0.00032855i,-0.0019243+0.0017774i,-0.0037369+0.0027501i,-0.0013019+0.00077777i,0.0026629+0.0010323i,4.2708e-05-0.00018978i,-0.0012539+0.0028289i,0.00013335-0.0014837i,-0.0013842-0.0032448i,-0.0016025-0.0015806i,-0.0019749+0.00099591i,0.0011599-0.0028737i,7.3657e-05+0.0017504i,0.0016025-0.00037767i,0.0079444+0.004197i,0.0016173+0.0022724i,-9.7999e-05+0.0014589i,-0.0017366+0.00082835i,-0.0016554-0.00057479i,0.0052744+0.0025603i,0.013354+0.0025204i,0.022823-0.064159i,-0.020775+0.013769i,0.0088372-0.034751i,-0.034988-0.026894i,-0.0099409+0.0055456i,-0.022633+0.039828i,-0.015968+0.0093461i,-0.005833+0.0033151i,-0.0045147-0.017133i,-0.044349-0.0056468i,-0.0083871+0.0029732i,-0.024858+0.024124i,0.0058842+0.011135i,0.001452+0.003708i,-0.0087086-0.006151i,-0.0025773+0.0049041i,-0.013929+0.0036475i,0.010194+0.010203i,0.00054373+0.010062i,-0.00018734+0.0045014i,0.0027917+0.0063565i,0.0035323+0.0029741i,0.0064188+0.014759i,0.009348+0.0084822i,-0.0015933-0.0070748i,0.0063549-0.0057251i,0.0084198+0.0010705i,-0.0073158-0.0028077i,-0.00080704+0.00084268i,0.0031732-0.032841i,0.010842+0.0018543i,0.0074499-0.0043612i,0.0040512-0.0023691i,0.00095005-0.005884i,0.019591-0.0089204i,0.0029307-0.0052012i,-0.0029224-0.0066077i,0.00061929-0.0028955i,0.015925-0.0029159i,0.0085646+0.0021307i,0.0024003-0.0020279i,0.010832+0.0060757i,-0.00051293+0.0058765i,0.0094243+0.0051391i,-0.019076-0.013108i,-0.0045314-0.012135i,-0.0080664-0.012112i,-0.0083999-0.0034548i,-0.03541+0.018214i,-0.0039148+0.0050784i,-0.0095036+0.0021771i
0.0086242+0.012713i,0.00098667+0.012908i,0.0077674+0.015816i,0.0088649+0.019734i,0.0097341+0.025314i,0.017423+0.017502i,-0.0028913+0.027095i,0.004332+0.018593i,0.010055-0.0020123i,-0.00019442-0.0035327i,0.0034085+0.00031783i,0.0014049-0.0050946i,-0.00052576-0.0023422i,-0.00028374-0.0027028i,-0.0011271-0.001159i,-0.00014254-0.0053276i,-0.007799-1.4413e-06i,0.00058927+0.0019245i,0.002291-0.0011136i,0.0025777+9.3425e-05i,-0.0014143+0.0021031i,0.0011114+0.00030149i,0.0015437-0.0010796i,-0.006425-0.00059499i,-3.7142e-05-7.2494e-05i,-0.00053164+0.002869i,-0.0020325+0.0034094i,-0.00049206+0.0011472i,0.00073859+0.00043506i,-1.8836e-05-0.00034744i,0.0009489+0.0033954i,-0.00045299-0.0010369i,-0.0025265-0.001844i,-0.002385-0.00060334i,-0.0016895+0.0021841i,0.0027799-0.0031558i,0.0008188+0.0013605i,0.00085291-0.0010009i,0.029585-0.029573i,0.00209+0.0013385i,0.00036084+0.001541i,-0.00075766+0.0017642i,-0.0019377-8.3397e-05i,0.0052958+0.00023676i,0.013057-0.00060488i,0.00062894-0.062767i,-0.010567+0.017485i,-0.003043-0.036637i,-0.04007-0.017093i,-0.0044944+0.0069324i,-0.0080585+0.040139i,-0.006521+0.011455i,-0.0046501-0.0040886i,-0.0063397-0.015774i,-0.042509+0.0086908i,-0.0071055+0.0046732i,-0.012516+0.031303i,0.0093991+0.0074864i,-0.00020287+0.0011804i,-0.016022-0.0032878i,-0.0014931+0.0062459i,-0.0095389+0.0093005i,0.012297+0.0039115i,0.0045945+0.0095872i,-0.001261+0.0049482i,0.0041087+0.0045404i,0.0050089+0.00087129i,0.0084573+0.0078124i,0.0087209+0.0032555i,-0.006377-0.0020388i,0.004328-0.0055321i,0.009437+0.00022624i,-0.0027032+0.0062418i,0.0021827+0.0023416i,-0.012452-0.031298i,0.011724-0.0032722i,0.0049065-0.0069351i,0.002303-0.004391i,0.00069126-0.0040271i,0.013007-0.015732i,-8.674e-05-0.0017904i,-0.0040629-0.0068329i,-0.00073532+0.00013611i,0.01146-0.0065944i,0.011013-0.0022687i,0.0032089-0.0031267i,0.01368+0.00047374i,0.0029688+0.0051381i,0.0090395+0.0014122i,-0.022645-0.0057712i,-0.015243-0.020322i,-0.0063457-0.014351i,-0.0064342-0.0032795i,-0.026704+0.029458i,-0.0037888-2.8891e-05i,-0.0081376-0.001538i
0.012064+0.0096675i,0.0032344+0.01207i,0.0082898+0.010598i,0.011395+0.017398i,0.013975+0.021481i,0.020134+0.013584i,0.0022507+0.027125i,0.0074749+0.0159i,0.0084396-0.0032369i,-0.0014329-0.0029979i,0.0036864-0.0012301i,-0.00092247-0.0038549i,-0.0012616-0.0022512i,-0.0012584-0.0021915i,-0.0016413-0.00060647i,-0.0016361-0.0022675i,-0.006274+0.0036892i,0.0012618+0.0014242i,0.0017507-0.0015151i,0.0020921-0.0020028i,-0.00018421+0.0020639i,0.0015892-0.00035449i,0.0011367-0.0018372i,-0.0064132+0.00088188i,0.00029115-0.00028189i,0.0015021+0.0017017i,-0.00073633+0.0034321i,0.00025418+0.00079588i,0.0019406-0.0015915i,-4.7834e-05-0.00016437i,0.0019841+0.0028334i,-0.0010909-0.00061731i,-0.0032267-0.00045099i,-0.0025183+0.00076232i,-0.00062966+0.0027944i,0.0033237-0.0052454i,0.0018116+0.00068825i,0.00012525-0.00096126i,-0.0044609-0.0017376i,0.0025379+0.00019433i,0.00086715+0.0013335i,0.00037562+0.0016178i,-0.0019171+0.00094023i,0.0029299-0.002037i,0.012282-0.0032882i,-0.017116-0.051384i,-0.0015735+0.014336i,-0.013607-0.03399i,-0.045896-0.005741i,0.00044947+0.0047081i,0.0040972+0.033594i,0.0025498+0.0049782i,-0.0051006-0.0058386i,-0.006612-0.012485i,-0.036067+0.020055i,-0.0058023+0.0057251i,-0.00036525+0.031558i,0.0076703+0.0023465i,-0.0035081+0.002184i,-0.019801+0.0062758i,-0.0014855+0.0081443i,-0.0041141+0.010733i,0.0098702-0.0025457i,0.0082791+0.0081967i,0.00021818+0.0073068i,0.0036334+0.0042558i,0.0051973-0.0023526i,0.0066087+0.002687i,0.0054025+0.00048313i,-0.0044856+0.0018881i,0.0024116-0.0056147i,0.0089508-0.0024482i,0.0047092+0.0063215i,0.0038405+0.00048579i,-0.010318-0.015589i,0.0090552-0.0071174i,0.0013197-0.0074364i,0.0013191-0.0031i,-5.1475e-05-0.0045002i,0.0052587-0.016957i,0.0031991-0.0001012i,-0.0035748+0.0003612i,0.0020923+0.0021999i,0.0086737-0.0069945i,0.0092844-0.008056i,0.0012336-0.0035939i,0.010886-0.0075527i,0.0040112+0.0017036i,0.0086894-0.0025655i,-0.019274+0.0026893i,-0.026944-0.018482i,-0.010932-0.018923i,-0.0063808-0.0055231i,-0.015397+0.027766i,-0.0090116-0.00030299i,-0.011661-0.00066995i
0.013793+0.0059278i,0.0044484+0.0098654i,0.0067463+0.0069225i,0.013745+0.01469i,0.016818+0.017086i,0.021643+0.009243i,0.0078177+0.025375i,0.0094067+0.012935i,0.0073804-0.0040751i,-0.0017583-0.0021377i,0.0025279-0.0021885i,-0.0018199-0.0023778i,-0.0018063-0.0020799i,-0.001426-0.001397i,-0.002048+0.000421i,-0.0013958+0.00015823i,-0.0038419+0.0062642i,0.0015467+0.0010266i,0.0015471-0.0016228i,0.00041507-0.0029418i,0.00047703+0.0016312i,0.0014221-0.0010411i,0.00018805-0.0022012i,-0.0051174+0.002103i,0.00051737-0.00085609i,0.0015899-0.00035528i,0.00074361+0.0024224i,0.00057465+0.00031346i,-0.0010865+0.0012861i,0.00032471-0.00019422i,0.0023282+0.0018747i,-0.0013701-0.00026236i,-0.0031991+0.001425i,-0.0021136+0.0018477i,0.00034483+0.0028882i,0.0023176-0.0075607i,0.0021544-0.0008015i,-0.00021735-0.00053169i,-0.00034143-0.0011263i,0.0022004-0.0008005i,0.0010781+0.00085535i,0.00094768+0.00099193i,0.00013365+0.0020503i,0.00077824-0.00073188i,0.011073-0.0052567i,-0.021874-0.036622i,0.0030216+0.0090867i,-0.022611-0.027571i,-0.052168+0.0045545i,0.0029648+9.1975e-05i,0.013621+0.026928i,0.0056567-0.0026852i,-0.0046866-0.0078145i,-0.0051292-0.0126i,-0.028406+0.027759i,-0.0041251+0.0061837i,0.013538+0.027285i,0.0067453-0.00012113i,-0.0047498+0.0058859i,-0.017195+0.014478i,0.0011444+0.0095132i,0.00097813+0.012322i,0.0043341-0.0038049i,0.010986+0.0051976i,0.0033572+0.0078052i,0.004395+0.0045153i,0.0042285-0.0045424i,0.0031467+0.0029984i,0.0029423+0.0017273i,-0.0030103+0.0030523i,0.00095843-0.0045739i,0.0073976-0.0048412i,0.008354+0.0020418i,0.0038806-0.0017958i,-0.013099-0.01567i,0.0052268-0.0092541i,-0.00061366-0.007249i,0.0024877-0.0030608i,-0.0016406-0.003473i,0.00015526-0.015287i,0.0049602-0.0024321i,-0.0017201+0.0021511i,0.0048729+0.00065309i,0.0072436-0.0080408i,0.0039411-0.012353i,0.00082172-0.0034222i,0.0043415-0.010756i,0.0026011+0.00021456i,0.0047997-0.0065199i,-0.012628+0.0044797i,-0.036765-0.0088019i,-0.017252-0.017771i,-0.008125-0.0070984i,-0.0092279+0.025975i,-0.012934+0.0036044i,-0.011391+0.0033392i
0.014514+0.0023063i,0.0049334+0.008561i,0.0051612+0.0056884i,0.015625+0.011476i,0.018144+0.012607i,0.022518+0.0050843i,0.012997+0.022042i,0.010768+0.010165i,0.0066818-0.005034i,-0.0019867-0.0018891i,0.0010191-0.0024518i,-0.0021758-0.00097698i,-0.002937-0.0018405i,-0.0013164-0.0011744i,-0.0025065+0.00096736i,-0.00027096+0.0015065i,-0.0001729+0.0077823i,0.0016434+0.00043947i,0.0008944-0.0021306i,-0.0010041-0.0026206i,0.0012628+0.0013711i,0.0011495-0.0015734i,-0.00064496-0.0019206i,-0.0044461+0.0018972i,0.00024722-0.00064278i,0.0006633-0.0016843i,0.0012062+0.00056711i,0.00081669-0.00023467i,0.00045053+0.00086583i,0.00038379-0.0007007i,0.0025506+0.00087826i,-0.0016227+5.2083e-05i,-0.0020861+0.0028234i,-0.0011175+0.0025888i,0.0011283+0.0026591i,0.00035493-0.0084996i,0.0004361-0.0022042i,-0.000164-0.00030998i,-0.00069969-0.0013327i,0.0015905-0.00098372i,0.0012521+0.00060536i,0.001002+0.00062824i,-0.0015425-0.00074097i,0.00076635+0.00092761i,0.0099523-0.0064204i,-0.020432-0.02886i,0.0047009+0.0050238i,-0.027251-0.017132i,-0.043086+0.01513i,0.0001761-0.004377i,0.017129+0.01937i,0.005725-0.0093686i,-0.005125-0.0088444i,-0.0066655-0.012701i,-0.019971+0.032424i,-0.0035052+0.006964i,0.020724+0.012673i,0.0057324-0.0024776i,-0.0029115+0.0093533i,-0.010805+0.020799i,0.0038911+0.0083347i,0.007501+0.0097254i,0.0019579-0.0018024i,0.013037+0.00061156i,0.0059097+0.0069089i,0.0057961+0.0037884i,0.00026495-0.008018i,0.0034511+0.0050307i,0.0039708+0.0034285i,-0.0013409+0.0054178i,0.0010478-0.0039784i,0.0058225-0.0061302i,0.0087271-0.00253i,0.0030097-0.003843i,-0.018797-0.013708i,0.0016046-0.0098371i,-0.0035534-0.0057832i,0.00060455-0.004655i,-0.0016434-0.0018064i,-0.0025283-0.012318i,0.0041309-0.0042696i,0.00046501+0.0020716i,0.0049964-0.0032036i,0.0039755-0.0093318i,-0.0041079-0.012069i,-0.00013373-0.0044525i,-0.00069005-0.0078368i,0.0023938-0.00087815i,-0.00041596-0.0056834i,-0.0096863+0.0043409i,-0.034702+0.0082862i,-0.022873-0.015044i,-0.010661-0.0068874i,-0.0053062+0.026402i,-0.011451+0.0095362i,-0.0069825+0.0046514i
0.014365-0.0013745i,0.0057724+0.0076621i,0.0043032+0.0054113i,0.016748+0.0078843i,0.018559+0.008873i,0.022845+0.00062149i,0.017153+0.017301i,0.01145+0.0076018i,0.0059812-0.0058683i,-0.0023331-0.001264i,-0.00038624-0.0015339i,-0.0013764+0.00042845i,-0.0039398-0.00051553i,-0.0016764-0.0013553i,-0.0023487+0.001533i,0.00076994+0.0019624i,0.0041327+0.0069704i,0.0016475+0.00014376i,0.0004234-0.0021959i,-0.0017583-0.0016628i,0.0019259+0.00070659i,0.0006755-0.0020026i,-0.0011161-0.0013558i,-0.004653+0.0028235i,5.2814e-05-0.00057405i,-0.00059808-0.001955i,0.0010044-0.00035475i,0.00061317-0.0010006i,0.0008821+5.7423e-05i,-0.00011213-0.0012415i,0.002977+1.61e-05i,-0.0013634+0.0010404i,-0.00021738+0.0029972i,5.2631e-05+0.0027304i,0.0019548+0.0018384i,-0.0023708-0.0088426i,-0.0003384-0.0009241i,-0.00015321-0.00042132i,-0.00065569-0.00052713i,0.0013549-0.00091295i,0.0013075+3.7102e-05i,0.0014099+0.00033055i,-0.0014454+1.7007e-05i,0.001484+0.001236i,0.0094321-0.0080849i,-0.020954-0.026803i,0.0060015+0.0021978i,-0.025451-0.0085467i,-0.031089+0.028071i,-0.0021495-0.0044877i,0.019307+0.012846i,0.0027645-0.015502i,-0.0051841-0.010008i,-0.0067733-0.01041i,-0.011216+0.035589i,-0.0010059+0.00731i,0.014507+8.2367e-05i,0.0032895-0.0047589i,0.00038442+0.010802i,-0.0034687+0.02193i,0.005371+0.0057463i,0.0095038+0.0058699i,0.0025475-0.00081931i,0.012268-0.0034589i,0.0097038+0.0048536i,0.0070828+0.0027402i,-0.0045071-0.0044593i,0.0055299+0.0057602i,0.006008+0.0036563i,0.0020853+0.0053989i,0.00015689-0.0045494i,0.0039742-0.0074569i,0.0061798-0.0082315i,-0.00016555-0.0044508i,-0.024384-0.0071739i,-0.0015793-0.0090242i,-0.0040216-0.0033881i,0.00037242-0.0025445i,-0.001571-0.0015422i,-0.0040261-0.011891i,0.0030442-0.0043712i,0.0012937+0.00047947i,0.0026296-0.0047662i,0.0015826-0.009339i,-0.0077389-0.0066046i,-0.0022795-0.0045549i,-0.002531-0.0063634i,0.00048314-0.0016174i,-0.0023353-0.0029936i,-0.0064691+0.0046487i,-0.026936+0.010825i,-0.023707-0.010241i,-0.012401-0.0059813i,0.00040552+0.023845i,-0.0093695+0.011831i,-0.0052896+0.0035111i
0.013279-0.0047042i,0.0070838+0.0068537i,0.0042577+0.0057907i,0.016951+0.0044587i,0.018408+0.0056696i,0.02204-0.0037667i,0.019959+0.011699i,0.011839+0.0054497i,0.0052105-0.0070128i,-0.0021634-0.00081645i,-0.00085387+0.00063746i,-0.00028831+0.00046882i,-0.0040876+0.0011015i,-0.0026128-0.00078013i,-0.0017245+0.0023683i,0.0018145+0.0016287i,0.006878+0.0039211i,0.0017765-9.8188e-05i,1.8646e-05-0.0021835i,-0.0017404-0.00053888i,0.0021841-0.00022053i,7.7863e-05-0.0020169i,-0.0012225-0.00086259i,-0.0035238+0.0042505i,-0.0003054-0.00069734i,-0.0011625-0.0014102i,0.00044799-0.0011775i,-0.0001268-0.0014603i,0.00071409-0.00073107i,-0.00081406-0.0013103i,0.0024821-0.0022773i,-0.00057928+0.00079953i,0.00063463+0.0022019i,0.00088422+0.002416i,0.0021784+0.0008896i,-0.0054993-0.0068377i,-0.00043028-0.00098928i,-0.00047041-0.00039246i,-0.00064164-0.00082334i,0.0012246-0.00084257i,0.0012594-0.00037124i,0.0015315-0.0001819i,-0.0014398+0.00016253i,0.0020294+0.0012259i,0.0081707-0.01029i,-0.024803-0.025281i,0.0060703-0.0016392i,-0.023848-0.0026242i,-0.015989+0.03276i,-0.0045717-0.0042719i,0.020901+0.0058282i,-0.0013301-0.017701i,-0.0064176-0.010771i,-0.0051997-0.007431i,-0.00018797+0.035443i,0.0014289+0.0062193i,0.0081621-0.0012431i,0.00029149-0.0054678i,0.0049775+0.011421i,0.0031689+0.020362i,0.0057093+0.0026694i,0.0083549-0.0014226i,0.0019464-0.00047814i,0.0096026-0.0081128i,0.012131+0.0007365i,0.00809+0.000666i,-0.0052692-0.0011918i,0.0081494+0.0052709i,0.0082801+0.0030504i,0.0052818+0.0035571i,-0.0010832-0.0042271i,0.002287-0.0087138i,0.00044418-0.0091824i,-0.0015467-0.0023347i,-0.026264+0.0024613i,-0.003927-0.0079299i,-0.0049544-0.0020948i,0.00094767-0.0021238i,-0.0019778-0.0012913i,-0.0071591-0.011681i,0.00036174-0.0051688i,0.001636-0.00023489i,0.0006388-0.0048447i,0.00038141-0.008927i,-0.0091474-0.0033407i,-0.004312-0.002668i,-0.0042485-0.0044835i,-0.00010611-0.0018252i,-0.002108-0.0013106i,-0.0033441+0.0042189i,-0.025129+0.012546i,-0.023058-0.0079478i,-0.014076-0.0039228i,0.0020829+0.022008i,-0.0077691+0.012866i,-0.0040363+0.0026481i
0.011581-0.0073041i,0.0088876+0.0053284i,0.0055783+0.0058576i,0.016627+0.0013511i,0.018463+0.0030616i,0.020338-0.0077128i,0.020885+0.0051335i,0.012111+0.0032804i,0.003914-0.0080444i,-0.002241-0.00080392i,0.00069696-0.0037202i,-0.00017348-0.00029577i,-0.0037162+0.0026768i,-0.0026557+0.00033725i,-0.00064002+0.0029144i,0.002122+0.00086782i,0.0070825+0.00011417i,0.001601-0.00056253i,-0.00045124-0.0021688i,-0.0010931+8.6608e-05i,0.0023357-0.0012384i,-0.00017932-0.001863i,-0.0011203-0.00046416i,-0.0017998+0.0048837i,-0.0008542-0.000615i,-0.0017348-0.00079578i,-0.00060007-0.0016842i,-0.0010132-0.0013548i,8.4125e-05-0.0013104i,-0.0014824-0.00096801i,0.00056048-0.001822i,-0.00069513+0.0009669i,0.00086818+0.0018233i,0.0015887+0.0019208i,0.0020521+8.9904e-05i,-0.0072909-0.0023726i,-0.0010048-0.00058875i,-0.0005894-0.00013267i,-0.0011946-0.00076181i,0.00094485-0.0008971i,0.0010479-0.0007929i,0.001546-0.00054238i,-0.0015445+0.0004085i,0.0025026+0.00089016i,0.0058359-0.011617i,-0.029966-0.01961i,0.0049698-0.0047145i,-0.01831+0.0035875i,-0.0036971+0.033378i,-0.005938-0.0010591i,0.020624-0.0018143i,-0.0024315-0.020146i,-0.0070347-0.0096436i,-0.0019883-0.0046768i,0.0094544+0.030946i,0.0021511+0.0039637i,0.0049439-0.0020495i,-0.0032249-0.0049888i,0.010478+0.0083696i,0.0076798+0.017255i,0.0046121+0.0012129i,0.0043102-0.0057133i,0.0029395+0.0019446i,0.0044721-0.010421i,0.012021-0.0057085i,0.0084778-0.0017542i,-0.0053356+0.0021679i,0.011141+0.0032005i,0.011422-2.4455e-05i,0.0064795-7.2748e-05i,-0.0018254-0.0035493i,-0.0006354-0.0091256i,-0.0035141-0.00070945i,-0.00091183-0.00064289i,-0.024411+0.012844i,-0.0062543-0.0066437i,-0.0048216+0.0014371i,0.00017524-0.004935i,-0.0018518+0.00018346i,-0.011004-0.0090318i,-0.0023907-0.0035327i,0.0011672-0.0014462i,-0.00086122-0.004392i,-0.001786-0.0086355i,-0.008869+0.0018545i,-0.0042812+2.623e-05i,-0.0076444-0.0026896i,-0.0016081-0.0027764i,-0.0015306-0.00089655i,-0.00091917+0.0036031i,-0.023844+0.019246i,-0.023266-0.0080326i,-0.013038-0.0011267i,0.0059356+0.021295i,-0.0065127+0.015054i,-0.0024363+9.9802e-05i
0.0097297-0.0092659i,0.01027+0.0030884i,0.0070731+0.0045353i,0.015782-0.0016324i,0.018389+0.00040337i,0.01817-0.010812i,0.019503-0.00068145i,0.012136+0.0011436i,0.0025991-0.0086315i,-0.0026581-0.00034651i,-0.00071053-0.0018896i,-0.00078936-0.00038558i,-0.002733+0.003851i,-0.0023353+0.0012462i,0.00042411+0.0030114i,0.0016331+0.00023887i,0.0054665-0.0024416i,0.0015307-0.00072074i,-0.00051685-0.0024509i,-0.00044375+0.00015891i,0.0021438-0.0023577i,-0.00026833-0.001979i,-0.0008521-0.00028415i,-0.00014992+0.0050692i,-0.0012285-0.00025808i,-0.0021165+0.00016874i,-0.0018394-0.0013758i,-0.0015643-0.00075591i,-0.00089307-0.0014177i,-0.0020357-0.00034993i,0.00027295-0.0014073i,-0.00042219+0.0014496i,0.0014419+0.0014159i,0.0022884+0.0013743i,0.0015638-0.00047793i,-0.0077805+0.0016671i,-0.0010027-0.00020582i,-0.00067196-3.9344e-05i,-0.0014936-0.00025446i,0.00080882-0.00060749i,0.00076901-0.001007i,0.0016699-0.0010237i,-0.0017155+0.00077523i,0.0028105+0.00039555i,0.0038637-0.011971i,-0.030304-0.012332i,0.002-0.0067849i,-0.011938+0.0045693i,0.0080192+0.030432i,-0.0046269+0.0028341i,0.01743-0.0083204i,-0.0068008-0.024051i,-0.0054429-0.0080134i,0.00074547-0.0031622i,0.015564+0.022966i,0.0020047+0.0032296i,0.0014662-0.0019279i,-0.0054565-0.0023966i,0.01262+0.0020895i,0.011638+0.01539i,0.0027045+0.0019079i,8.8492e-05-0.0083638i,0.0063156+0.00064047i,-0.00072679-0.0097814i,0.0077112-0.009976i,0.0080249-0.0041629i,-0.0047435+0.0045675i,0.012521-0.0018501i,0.011126-0.0064183i,0.0059815-0.0037161i,-0.002408-0.0029325i,-0.0035802-0.0082922i,-0.00077564-0.016019i,0.00029939-0.00084846i,-0.016771+0.024522i,-0.0086721-0.0043986i,-0.0024664+0.0030855i,-0.0051162-0.0043077i,-0.00080675+0.00070847i,-0.013796-0.0046048i,-0.0029865-0.00047553i,-0.00021103-0.0021532i,-0.0028344-0.0036389i,-0.0037895-0.0071308i,-0.0060751+0.0051904i,-0.002883+0.0018215i,-0.0078399+0.0022744i,-0.0046857-0.0023228i,-0.0017417-0.00083601i,0.0034711+0.0028598i,-0.013185+0.025289i,-0.027269-0.0067275i,-0.011349-0.001956i,0.0082613+0.019417i,-0.003382+0.017028i,-0.0035086-0.0035029i
