-0.00061178-0.041367i,-0.00057719-0.046252i,-0.0072742-0.0479i,-0.030292-0.023731i,-0.022669+0.010473i,-0.036191-0.033811i,-0.062896-0.059041i,-0.018827-0.071274i,-0.024285-0.043726i,-0.00086437+0.016268i,-0.010545+0.013154i,-0.014384+0.013266i,0.0034899+0.013754i,-0.0028105-0.0021961i,0.001749+0.0058411i,-0.00016703+0.033818i,0.019474+0.056796i,0.0013196-0.00073584i,-0.0034477-0.0092848i,0.0075447+0.0042779i,0.0018012+0.0014229i,-0.0004806+0.003025i,1.0299e-06-0.00065062i,-0.037759-0.0094188i,-0.0023372-0.0076294i,-0.0012063+0.0044202i,0.0055441-0.0004057i,7.4855e-05+0.00024934i,0.00062273-0.00085273i,0.00050103-0.0022219i,-0.0013708-0.0059558i,-0.003189-0.0059784i,-0.00080181-0.007118i,0.0032925-0.00047247i,0.0033092-0.0017116i,-0.0022661+0.038622i,0.0066866-0.0037445i,0.0032506-0.00085564i,0.0054269-0.00034988i,-0.012451-0.0062435i,-0.0010552+0.00025527i,0.0097241-0.00028254i,0.0033404+0.0015327i,-0.0048295+0.0021007i,-8.9854e-05+0.010491i,-0.0056044+0.018358i,0.026747-0.081744i,0.00027964-0.054721i,-0.023026-0.043447i,-0.019394-0.037403i,0.063315-0.015732i,0.030848-0.057989i,0.038985-0.044252i,0.034234-0.051804i,0.019852-0.015886i,0.0076721+0.012146i,0.024283-0.033905i,-0.0083959-0.0054876i,0.0030424-0.0014219i,-0.0029465-0.0057983i,0.0054071-0.032125i,-0.025754+0.030429i,0.0088636-0.010212i,-0.012674-0.0026602i,-0.0046622-0.0016817i,0.00052141-0.01472i,-0.010632+0.0049749i,0.0032132+0.0069317i,-0.01489+0.030421i,0.0052464+0.0069377i,-0.0060346-0.0019429i,-0.0012116-0.0026015i,-0.011968-0.0078186i,0.00031615-0.0035435i,-0.036438+0.0057938i,0.0017649-0.012574i,-0.0093564-0.0029075i,-0.0071844-0.003341i,0.0063066+0.0021236i,-0.0091953+0.0020398i,-7.2584e-05+0.0017175i,0.0058394+0.010227i,0.0049741+0.00058263i,-0.0088311-0.010366i,0.0018056+0.0084455i,-0.020288+0.0052323i,0.0064872+0.0032107i,-0.027795-0.0089605i,-0.035986-0.0027316i,0.027322-0.077019i,0.014144-0.0093714i,-0.042319-0.028554i,-0.02443-0.0062694i,0.017091+0.012158i,-0.02704+0.010833i,-0.01159-0.010073i
-0.042381-0.0070985i,-0.057527+0.0030802i,-0.041957+0.047864i,-0.018838+0.0098567i,-0.0053625+0.019147i,-0.0051604+0.037591i,-0.027428+0.016667i,-0.061907+0.024811i,-0.020445+0.017402i,0.0038359-0.010077i,0.0030465-0.0021343i,0.0030366+0.00048632i,0.0024428+0.0084548i,-0.0036657+0.0011045i,-0.00012283+0.0018809i,0.0022731-0.0077574i,-0.012324-0.0088326i,-0.0037692-0.00025347i,0.0035235-0.003029i,0.00092211+0.0002969i,0.0015045-0.0047535i,0.0022127-0.0040629i,0.0015558-0.0026446i,-0.011553-0.011638i,-0.0030515-0.0013179i,-0.0041626-6.9491e-05i,-0.0030683-0.00044633i,-0.0044495-0.0014891i,-0.0010727-0.002422i,0.0013162-0.0013197i,-0.004011+0.0038643i,0.0015069+0.0019871i,0.0021985+0.001569i,0.0010116+0.0010059i,-0.0027015+0.0027523i,-0.0039977-0.0097615i,-0.0034386+0.001359i,0.00065677+0.0002827i,-0.001244+0.0035176i,0.0098422+0.0086713i,0.0015073-0.0017105i,0.0010436-0.00053282i,-0.0035292-0.0044404i,0.0023572+0.0055213i,-0.010121-0.017696i,0.017289-0.079039i,-0.08686-0.023681i,-0.023988-0.022632i,-0.051017-0.041725i,-0.043067-0.0088814i,-0.091251+0.016466i,-0.062338-0.0039208i,-0.038208-0.026504i,-0.025214-0.056169i,-0.0337-0.026272i,-0.00067674+0.0039252i,-0.026926+0.010468i,0.0064012+0.018238i,0.0042926+0.0084937i,-0.0019455-0.0058565i,0.0081079+0.0061977i,-0.011262-0.0049761i,0.0024597+0.011764i,0.00078694+0.0070747i,-0.0012875-0.0016634i,0.0068716+0.002003i,0.0040956-0.0011438i,-0.0033757+0.020675i,-0.0010425+0.014593i,0.0015646-0.0048682i,0.011695-0.0083657i,0.0040415+0.0042761i,-0.0081371-0.0080347i,-0.0016055-0.0015583i,0.026215-0.033578i,0.0087821+0.0086785i,0.004028+0.0033428i,-0.0021273+0.0028698i,0.0041072-0.0035961i,0.020059+0.0028989i,0.0014973-0.0020147i,-0.00090924-0.0081558i,0.0020721-0.0030874i,0.01285+0.0060866i,0.0057254+0.0010539i,0.0035677-0.0068134i,0.0047924+0.0081325i,0.0032835+0.003515i,0.018874+0.0052922i,-0.065673-0.042784i,-0.011378+0.010098i,-0.0074804-0.0039566i,-0.0086556+0.0048345i,-0.038119+0.0080916i,-0.0055703+0.0078797i,-0.016329+0.0039668i
-0.041724-0.0010374i,-0.055874+0.0091091i,-0.02977+0.048818i,-0.017512+0.011687i,-0.0017064+0.016632i,0.0018281+0.037023i,-0.025534+0.020553i,-0.054247+0.033122i,-0.015844+0.015973i,0.00033389-0.0099103i,0.0029959-0.001729i,0.002897-0.0010323i,0.0044355+0.0061234i,-0.0021415+0.0028888i,-6.8362e-05+0.0025483i,-0.0026163-0.0059326i,-0.017031-0.0014411i,-0.0032516+0.0010916i,0.0036826-0.0033418i,0.0015626-0.0003038i,0.00010479-0.0045505i,0.0015285-0.0032649i,0.0012541-0.0025598i,-0.013114-0.0071083i,-0.0029338-0.00039057i,-0.004273+0.0014242i,-0.0025037+0.00059754i,-0.0042351+0.00012571i,-0.0016594-0.0022446i,0.0012438-0.0014165i,-0.002328+0.0054034i,0.0015168+0.0017124i,0.0023785+0.00044681i,0.0002302+0.00078843i,-0.0029406+0.0026174i,-0.0039525-0.0082979i,-0.0028576+0.0017757i,-0.00022538-0.00025088i,-0.00093977+0.0045011i,0.010912+0.0025411i,0.00096535-0.0021033i,0.00036324-0.001076i,-0.0050534-0.0034409i,0.0036442+0.0047929i,-0.011735-0.021076i,-0.0058114-0.08883i,-0.082914-0.0063111i,-0.03086-0.025349i,-0.061411-0.032638i,-0.040805-0.00010131i,-0.078538+0.036099i,-0.059969+0.010271i,-0.028533-0.025724i,-0.031667-0.052647i,-0.040554-0.012375i,-0.00011874+0.0016501i,-0.021412+0.022427i,0.010965+0.011879i,0.0068775+0.0045942i,-0.0073089-0.0098986i,0.0046931+0.0042759i,-0.011368+0.0024617i,0.0075378+0.0092103i,0.0021195+0.0085451i,-0.0018131-0.00089475i,0.0069345+0.0022014i,0.0040378-0.0016196i,0.0062877+0.016689i,0.00608+0.010135i,-0.0039474-0.0057713i,0.0033547-0.0094273i,0.0051033+0.0039965i,-0.01145-0.00026155i,-0.0023538+0.00068573i,0.010489-0.036341i,0.011721+0.006107i,0.0074285+0.0017652i,0.0010896+0.0023792i,0.00063616-0.0019616i,0.019064-0.0064455i,-4.5339e-06-0.0024581i,-0.0045652-0.006192i,-0.0016592-0.002685i,0.011749+0.00052304i,0.0058279+0.00063471i,0.0011531-0.0044223i,0.0074155+0.0065103i,0.0036505+0.0033365i,0.017996-0.0015121i,-0.071636-0.033512i,-0.0029763-0.0011875i,-0.0067363-0.0023742i,-0.0069753+0.0047631i,-0.03255+0.020483i,-0.0034453+0.0091646i,-0.014799+0.0063987i
-0.039247+0.0039856i,-0.05513+0.015358i,-0.021737+0.047462i,-0.016642+0.013537i,0.0030147+0.015238i,0.0088894+0.034813i,-0.022219+0.024278i,-0.046184+0.038703i,-0.015253+0.014395i,-0.0027434-0.0086309i,0.0034973-0.0021408i,-0.00045687-0.0017901i,0.0057072+0.0042291i,-0.0017172+0.0033389i,0.00070655+0.003184i,-0.0058578-0.0015744i,-0.016592+0.0076333i,-0.0012371+0.0024663i,0.0036241-0.0053884i,0.0022144-0.0016932i,-0.0010422-0.0040622i,0.0016698-0.0038348i,0.0010413-0.0029132i,-0.014301-0.0033871i,-0.0030922+0.0007894i,-0.0031729+0.0034063i,-0.001761+0.00081891i,-0.0029702+0.0016661i,-0.0023258-0.0020948i,0.00048748-0.0024734i,3.2487e-05+0.0057928i,0.001685+0.0013702i,0.0020756-0.00024726i,0.00050062+0.0006312i,-0.002105+0.0044542i,-0.0038071-0.0082029i,-0.0028008+0.0020132i,-0.00086027-3.9469e-05i,0.0028974+0.0036739i,0.0090322-0.0012899i,0.00027784-0.00211i,0.00069632-0.00038722i,-0.0067689-0.0020449i,0.0048602+0.0025162i,-0.016324-0.022768i,-0.03246-0.087794i,-0.073186+0.0055553i,-0.039231-0.022637i,-0.066827-0.021667i,-0.034981+0.0061892i,-0.058674+0.048849i,-0.045892+0.023375i,-0.029336-0.030461i,-0.03739-0.050105i,-0.039695+0.001966i,-0.00024198+0.00031609i,-0.0095918+0.027805i,0.012095+0.0056393i,0.0045043-0.0011485i,-0.017854-0.0087789i,0.0043714+0.0030238i,-0.0072787+0.0069101i,0.0098827+0.004428i,0.0048159+0.0086428i,-0.0039017+0.00079299i,0.0076299-0.0012821i,0.0038411-0.0033049i,0.0097245+0.0087995i,0.007205+0.0044323i,-0.0084935-0.0014187i,0.00025768-0.0067437i,0.0072697+0.0028924i,-0.0081957+0.0094333i,-0.00048883+0.0026663i,-0.0020541-0.033432i,0.014587+0.00072051i,0.0071563-0.0016239i,0.0014955+0.0008915i,0.00099418-0.00036919i,0.012436-0.012032i,-0.0029179+0.00051944i,-0.0072654-0.0028828i,-0.0035009+0.0012749i,0.0084748-0.0029406i,0.0086724-0.001731i,0.0019067-0.0042056i,0.01066+0.0029011i,0.0059983+0.001874i,0.01516-0.007213i,-0.075679-0.020366i,-0.0083186-0.01219i,-0.0042388-0.0034518i,-0.0051441+0.0043838i,-0.022923+0.025828i,-0.0021877+0.0039605i,-0.011624+0.0034688i
-0.036657+0.0071327i,-0.053365+0.023531i,-0.015445+0.046099i,-0.013617+0.016826i,0.0075118+0.010198i,0.014998+0.030747i,-0.017583+0.027521i,-0.038585+0.041796i,-0.015323+0.015869i,-0.0048707-0.0067543i,0.0031784-0.0037476i,-0.0022196+0.0011528i,0.0054809+0.002044i,-0.0014146+0.0050993i,0.0013731+0.0031319i,-0.0056552+0.0036092i,-0.010513+0.014886i,0.000398+0.0016373i,0.0013423-0.0064075i,0.0010038-0.0035311i,-0.0018555-0.0035717i,0.0012336-0.004355i,0.00045416-0.0038204i,-0.014589+0.0012628i,-0.0021144+0.0013i,-0.00069078+0.003302i,-0.0014173+0.00084761i,-0.0012893+0.001639i,-0.0031732-0.00099422i,-0.0011302-0.0022666i,0.0020041+0.0050754i,0.0016727+0.00080178i,0.0012868-0.00084262i,0.00057399+0.0003496i,0.00051046+0.0047401i,-0.0053459-0.0095457i,-0.0018768+0.0032229i,-0.001135+0.0004954i,0.0030714+0.00010658i,0.0071088-0.0031769i,2.2933e-05-0.0019976i,0.0011154-0.00094976i,-0.007573+0.00044482i,0.00303-0.0012522i,-0.021703-0.022207i,-0.055063-0.074186i,-0.063654+0.010402i,-0.046411-0.016284i,-0.071814-0.0094207i,-0.027994+0.00825i,-0.039914+0.051332i,-0.030295+0.023161i,-0.032519-0.028972i,-0.043963-0.044746i,-0.03438+0.012004i,-0.0014416-0.0004632i,0.0014468+0.026109i,0.01137+0.00076333i,-0.00065241-0.0022459i,-0.025194+0.0016566i,0.0013694+0.0029913i,-0.0029767+0.0073105i,0.0082879-0.00090896i,0.0081373+0.0075984i,-0.0035003+0.0041813i,0.0039677-0.002922i,0.0029542-0.0057143i,0.0077472+0.0015397i,0.0043885+0.001208i,-0.007803+0.0032904i,-0.0017079-0.0050034i,0.0077949+0.00040547i,0.0020442+0.012352i,0.001396+0.0018663i,-0.009727-0.027045i,0.012975-0.0045367i,0.0062849-0.0038373i,0.0019826+0.0017494i,0.0012232-0.00078806i,0.0063546-0.012422i,-0.00022198+0.0032812i,-0.0081394+0.0013285i,-0.0011589+0.0040783i,0.0058591-0.0033216i,0.0078489-0.0066286i,-7.9656e-05-0.0044067i,0.0097202-0.0035624i,0.0057112-0.0013997i,0.011225-0.011811i,-0.073097-0.006668i,-0.01863-0.014397i,-0.0050495-0.0078977i,-0.0039331+0.0022726i,-0.015044+0.026791i,-0.006496+0.0028235i,-0.014518+0.0036565i
-0.035058+0.01002i,-0.05009+0.030951i,-0.010918+0.045222i,-0.0091448+0.018246i,0.0090177+0.0040836i,0.019052+0.026307i,-0.012195+0.029155i,-0.031983+0.04432i,-0.013162+0.018804i,-0.005837-0.0045735i,0.0011557-0.0045801i,-0.0009786+0.0037413i,0.0047643+0.00077585i,0.0011361+0.0066223i,0.0024179+0.0031727i,-0.0029573+0.0071118i,-0.0024879+0.018125i,0.00073103+0.00071277i,-0.00011041-0.0060534i,-0.0010307-0.0039017i,-0.0029012-0.0030248i,0.00019702-0.0045847i,-0.0011045-0.0041601i,-0.011683+0.0053142i,-0.0022388+0.00081969i,-0.00022417+0.0017716i,-0.0011954+0.00089344i,-0.00044631+0.0010124i,-0.0032792+0.00038448i,-0.0016779-0.001069i,0.0031765+0.0039179i,0.001646+1.4125e-05i,0.00053623-0.00074265i,0.00041527+0.00023623i,0.001723+0.0039155i,-0.0087839-0.0095624i,-0.00086011+0.0036907i,-0.00092965+0.0013025i,0.00097116-0.00096296i,0.004984-0.0035771i,-0.00031604-0.0020777i,0.0010539-0.0016624i,-0.0067216+0.0028058i,-0.00035217-0.00021768i,-0.026852-0.018807i,-0.064643-0.053829i,-0.058321+0.011498i,-0.051839-0.0071883i,-0.073844+0.0061019i,-0.023884+0.0060979i,-0.024476+0.049128i,-0.020993+0.019363i,-0.034411-0.027576i,-0.048162-0.039256i,-0.028044+0.019272i,-0.0023039-0.00056054i,0.011538+0.020776i,0.0096792-0.0021657i,-0.0044666+0.00023099i,-0.024868+0.012284i,0.00084066+0.0048532i,0.0006722+0.008085i,0.0031798-0.0020752i,0.011144+0.0048038i,-0.0012665+0.0064443i,0.0014306-0.0015044i,0.00069384-0.007154i,0.0023433+0.0010229i,0.0016832+0.0021137i,-0.0062092+0.006806i,-0.003127-0.0020907i,0.0073134-0.0022064i,0.0080083+0.0077946i,0.0020838+0.0005664i,-0.013842-0.02437i,0.0096052-0.0083034i,0.0044129-0.0058478i,0.0046113+0.0017046i,0.00083815-0.00041386i,0.0027917-0.011084i,0.0022488+0.0027394i,-0.0054359+0.0061497i,0.0019728+0.0043849i,0.005473-0.0035777i,0.0035521-0.011128i,-0.0003684-0.0036006i,0.0052181-0.0069541i,0.0035734-0.0034415i,0.004781-0.015586i,-0.067736+0.0014228i,-0.029093-0.0081675i,-0.0087419-0.0094332i,-0.0043429-0.00049532i,-0.0094674+0.026329i,-0.0097432+0.0054844i,-0.014423+0.0076029i
-0.033801+0.013317i,-0.045806+0.038288i,-0.0069698+0.046357i,-0.004653+0.017546i,0.0070226-0.0018496i,0.022827+0.022298i,-0.0065687+0.028925i,-0.025775+0.04646i,-0.0095552+0.019502i,-0.0063829-0.0031826i,-0.0016645-0.0038518i,0.0011131+0.0047281i,0.004086+0.00024601i,0.004042+0.0054688i,0.0032718+0.0024752i,0.00051383+0.008559i,0.005939+0.017342i,0.00070098+0.00035181i,-0.0018822-0.0059304i,-0.0029398-0.0031673i,-0.0032741-0.0017243i,-0.00055866-0.0048518i,-0.0022559-0.0034056i,-0.0093118+0.006349i,-0.0027217+0.0017433i,-0.00064908+0.0015733i,-0.0012868+0.00094961i,-0.00013668+8.8017e-05i,-0.002559+0.0015132i,-0.0015083-0.00040213i,0.0042466+0.002795i,0.0013781-0.0005442i,0.0002812-0.00069308i,0.0002419+5.597e-05i,0.0024009+0.0035151i,-0.012222-0.0076013i,0.00018805+0.0035056i,-8.2576e-05+0.0016845i,-8.2603e-05-0.0006237i,0.0037332-0.0035081i,-0.00078001-0.0018221i,0.00051914-0.0022253i,-0.0050517+0.0045178i,-0.0010938+0.0022952i,-0.03064-0.013085i,-0.06388-0.039062i,-0.056268+0.013649i,-0.053328+0.0054305i,-0.069105+0.024012i,-0.026027+0.0046258i,-0.013542+0.043767i,-0.014487+0.014955i,-0.036939-0.024307i,-0.053184-0.033417i,-0.020873+0.023282i,-0.0041096+0.00026594i,0.015853+0.0087699i,0.0086336-0.005561i,-0.0059134+0.0042729i,-0.018655+0.02244i,0.0022538+0.0049279i,0.0054502+0.0056499i,0.0011887+0.00047912i,0.013185-0.00065583i,0.0015861+0.0073461i,0.00079506+1.1434e-05i,-0.004089-0.0083189i,0.00048823+0.0044339i,0.001857+0.0041911i,-0.0017909+0.010484i,-0.0016862+0.00051572i,0.0058839-0.0037577i,0.010092+0.0025839i,0.0026243-0.00102i,-0.022048-0.022498i,0.0051276-0.010218i,0.0012147-0.0068745i,0.0046726-0.00090893i,0.00077521+0.00054374i,0.0015758-0.00906i,0.0033927+0.0009725i,-0.00099382+0.0074016i,0.0039104+0.0018638i,0.003916-0.004581i,-0.0036095-0.010751i,-0.0010556-0.0040651i,0.0013712-0.006686i,0.0024167-0.0046258i,-0.0031086-0.015274i,-0.065012+0.0084813i,-0.02938+0.0068549i,-0.012532-0.0095115i,-0.0067696-0.0011i,-0.0055946+0.026134i,-0.0092112+0.010273i,-0.0097006+0.0098382i
-0.032098+0.01738i,-0.039908+0.045745i,-0.00091429+0.048269i,-0.002144+0.01519i,0.0024511-0.0048672i,0.026428+0.017413i,-0.0014702+0.027671i,-0.019743+0.048605i,-0.0068353+0.020059i,-0.0071499-0.0012944i,-0.0029896-0.0011803i,0.0037995+0.0047453i,0.0037101+1.7072e-05i,0.00534+0.0030191i,0.003494+0.0016467i,0.0039053+0.0083012i,0.012538+0.012652i,0.00072579+0.00015318i,-0.0031577-0.0050361i,-0.0040648-0.0012871i,-0.0029065-0.00070438i,-0.0019352-0.004991i,-0.002844-0.0024892i,-0.008269+0.00852i,-0.0025222+0.0025735i,-0.0006696+0.0022935i,-0.001179+0.0015419i,-0.0010644-0.00070917i,-0.0019584+0.001853i,-0.0014765-0.00023713i,0.0048915+0.0011245i,0.0013505-0.00064371i,0.00051662-0.00075921i,0.00025854+5.8978e-05i,0.0035214+0.001833i,-0.015218-0.004158i,0.0012814+0.0034332i,0.00063484+0.0012909i,-0.00053915-0.00032645i,0.002615-0.0035617i,-0.001143-0.0014413i,-7.8944e-05-0.0023703i,-0.0034776+0.0047988i,-0.00011571+0.0033146i,-0.032061-0.0080037i,-0.063938-0.03311i,-0.054795+0.018551i,-0.048381+0.016541i,-0.058322+0.038653i,-0.027169+0.0082112i,-0.0054898+0.039332i,-0.011778+0.0098356i,-0.038887-0.020958i,-0.057032-0.024928i,-0.014602+0.025471i,-0.0037405+0.00099611i,0.0097594-0.0016208i,0.0050261-0.0094959i,-0.0045475+0.0075606i,-0.0093198+0.026019i,0.0024814+0.0037757i,0.0070948+0.00039766i,0.0027402+0.0013709i,0.011428-0.0050937i,0.0060114+0.0065204i,0.0010788+0.0023048i,-0.0082782-0.0027233i,0.0024071+0.0069733i,0.0032901+0.0055545i,0.0038723+0.010302i,-0.00068902+0.00070147i,0.0046285-0.0049573i,0.01048-0.0039842i,0.00059388-0.0017563i,-0.030338-0.013955i,0.0013058-0.0099579i,-0.0015133-0.0052864i,0.005081-0.00014188i,0.0015109+0.00027168i,0.0014227-0.0099719i,0.0031383-0.00093301i,0.0020104+0.0055052i,0.0037179+0.00081457i,0.003219-0.0038061i,-0.0071244-0.0061246i,-0.0031256-0.0042777i,-0.0018743-0.0059859i,-0.0001042-0.0056222i,-0.0081806-0.010815i,-0.060509+0.015912i,-0.023006+0.0092022i,-0.013116-0.0076202i,-0.0083977-0.00019832i,-0.00052562+0.0241i,-0.0077679+0.011896i,-0.0073893+0.009007i
-0.029319+0.021117i,-0.032059+0.052162i,0.0068412+0.049258i,-0.00075913+0.0142i,-0.002529-0.0046435i,0.028833+0.012021i,0.0030207+0.025693i,-0.01309+0.050839i,-0.0039549+0.020353i,-0.0072142+0.00085233i,-0.0018632+0.0010689i,0.0064702+0.0026022i,0.0035333-0.00015615i,0.0049946+0.0013912i,0.003842+0.0012405i,0.0066552+0.0063268i,0.015632+0.0068422i,0.00082541-0.00062336i,-0.0042056-0.0041682i,-0.0038607+0.00092021i,-0.0024821-5.2937e-05i,-0.0032181-0.0038715i,-0.00311-0.001717i,-0.0048514+0.010137i,-0.0020725+0.003827i,0.00049599+0.0027748i,-0.00072041+0.0021295i,-0.0024733-0.0001347i,-0.0013577+0.0022559i,-0.0014322+0.00022086i,0.0045632-0.00070917i,0.0015551-0.0015959i,0.00012841-0.0011365i,0.00026326+0.00010223i,0.0032539-2.77e-05i,-0.016518+0.0013454i,0.0021325+0.0029828i,0.00087872+0.00087824i,-0.0013127-2.27e-05i,0.002213-0.003505i,-0.00111-0.0011469i,-0.00056057-0.0023997i,-0.0027009+0.0048694i,0.00080285+0.0039734i,-0.032996-0.0036807i,-0.069289-0.027443i,-0.052899+0.023954i,-0.04304+0.024235i,-0.0439+0.046991i,-0.027735+0.011973i,0.0023444+0.033613i,-0.010921+0.0075232i,-0.040826-0.016861i,-0.058796-0.01501i,-0.0083187+0.026216i,-0.0036349+0.0017436i,0.0031219-0.0017074i,-0.0002593-0.011259i,-0.0012874+0.010988i,-0.0006127+0.02467i,0.0016256+0.0026507i,0.0055187-0.00442i,0.0025501+0.00079572i,0.0081726-0.0093458i,0.0092894+0.0034114i,0.0030502+0.0031428i,-0.007523+0.0012502i,0.0055513+0.0081754i,0.0059526+0.0062496i,0.0090173+0.007099i,2.8936e-05+0.0012096i,0.0039696-0.0058866i,0.0069467-0.0090272i,-4.3618e-06+8.7383e-05i,-0.034765-0.0019653i,-0.0012281-0.0091038i,-0.002689-0.0031555i,0.0060308-0.0010923i,0.0015437-0.00030646i,-0.00048674-0.011832i,0.001929-0.0019316i,0.0043862+0.0045087i,0.00439-0.00022332i,0.0042921-0.0041108i,-0.008465-0.0031471i,-0.0053454-0.0018802i,-0.0049228-0.0039766i,-0.0020741-0.0061446i,-0.01033-0.0063237i,-0.055739+0.021823i,-0.021219+0.010267i,-0.01307-0.0077078i,-0.0090953+0.0014506i,0.00089391+0.02231i,-0.0072483+0.012452i,-0.0051855+0.0085132i
-0.025733+0.024803i,-0.022122+0.056815i,0.015744+0.048236i,0.00060283+0.013453i,-0.0052948-0.001241i,0.030424+0.006542i,0.0066083+0.02251i,-0.0050615+0.052276i,-0.00091696+0.020119i,-0.0068067+0.0029539i,-0.0004572+0.0013727i,0.0067798-0.0009946i,0.0037139-0.00047356i,0.0049654+0.00010846i,0.0043188+0.00044562i,0.0076423+0.0036769i,0.015756+0.001154i,-0.00044927-0.0013265i,-0.0058319-0.0025496i,-0.0024314+0.0022188i,-0.0018369+0.00017453i,-0.0037111-0.002919i,-0.0033813-0.00081346i,-0.00088853+0.010033i,-0.00046116+0.0045886i,0.0015998+0.0021891i,0.00015218+0.0022705i,-0.0028394+0.0012706i,-0.00050312+0.0021716i,-0.0010162+0.00061939i,0.0036598-0.0021518i,0.00064005-0.0022177i,-0.00036754-0.0010862i,0.00025281+4.5362e-05i,0.0023452-0.0011765i,-0.015181+0.0067671i,0.0026691+0.0021306i,0.0011168+0.00041148i,-0.0017285+0.00093437i,0.0017058-0.0037672i,-0.0014067-0.0010878i,-0.0010951-0.0023782i,-0.0020623+0.0052282i,0.0020008+0.0042403i,-0.034284+0.001722i,-0.077071-0.015857i,-0.048779+0.029245i,-0.034847+0.030787i,-0.03004+0.051472i,-0.026654+0.01905i,0.0086457+0.025783i,-0.0066994+0.0052428i,-0.041842-0.010575i,-0.057804-0.0044018i,-0.0033116+0.025771i,-0.0038644+0.0019387i,-6.2286e-05-0.00094909i,-0.0061931-0.010676i,0.0048681+0.011016i,0.0045759+0.021445i,-0.00043928+0.0021721i,0.0031692-0.0076661i,0.0037234+0.0025516i,0.0025109-0.010904i,0.01062-0.0020993i,0.0051458+0.0025113i,-0.0068063+0.0050357i,0.010544+0.0075784i,0.010292+0.0040266i,0.010999+0.0015222i,0.0011368+0.0015409i,0.0024774-0.0071448i,-0.00011433-0.010806i,0.0012537+0.001435i,-0.034425+0.011364i,-0.0031577-0.0081482i,-0.0023771-0.00085732i,0.0066078-0.0050375i,0.0019053-2.3231e-05i,-0.0050996-0.012567i,0.00068313-0.001522i,0.0059872+0.0017249i,0.0040575-0.0014098i,0.0035255-0.0057294i,-0.0086614+0.0016034i,-0.0051073+0.0015359i,-0.0061158-0.00078045i,-0.0047958-0.0063251i,-0.010576-0.0025315i,-0.051637+0.027364i,-0.021249+0.014912i,-0.014579-0.010262i,-0.0067636+0.0035221i,0.0034261+0.022416i,-0.0071174+0.015324i,-0.0023312+0.0059945i
-0.021249+0.027555i,-0.011785+0.058561i,0.024574+0.044383i,0.002084+0.01296i,-0.0050189+0.0025889i,0.031621+0.00080825i,0.0088336+0.019091i,0.0033707+0.051584i,0.0019943+0.01966i,-0.0059633+0.0050197i,1.1551e-05+0.0012566i,0.0050199-0.0033769i,0.0036529-0.001455i,0.0041368-0.0010092i,0.0041866-0.00060319i,0.0071871+0.0015986i,0.014122-0.0032799i,-0.0011563-0.00084326i,-0.0059155-0.00031804i,-0.00095805+0.0025015i,-0.0012367+5.7927e-05i,-0.0040205-0.002254i,-0.0030459+0.00011978i,0.0020386+0.0091995i,0.0014712+0.0043295i,0.0020582+0.0015409i,0.0009344+0.0019914i,-0.002056+0.0025743i,0.00016743+0.0017279i,-0.00083138+0.00079007i,0.0023253-0.0029127i,-0.00042506-0.0021016i,-0.0006688-0.00080958i,0.00017266-3.7295e-05i,0.0011737-0.0018949i,-0.012004+0.011019i,0.003002+0.0009922i,0.0010287-8.2644e-05i,-0.0011935+0.0021192i,0.00082825-0.0042937i,-0.0016515-0.00066747i,-0.001719-0.0024768i,-0.0011088+0.0059038i,0.0034192+0.0038425i,-0.033223+0.0075401i,-0.079201+0.00074443i,-0.04614+0.032851i,-0.026781+0.033392i,-0.015672+0.052763i,-0.020982+0.026636i,0.010859+0.016941i,-0.0046564-0.0015011i,-0.038718-0.004815i,-0.053054+0.0065526i,0.0029865+0.025169i,-0.0044018+0.0032586i,-0.0027699+0.0010288i,-0.010595-0.0071569i,0.0089328+0.0068433i,0.0085716+0.018861i,-0.0032911+0.0036702i,-0.00068811-0.01102i,0.0068358+0.00047281i,-0.0028387-0.0093089i,0.0076323-0.0062873i,0.0066937+0.00016798i,-0.0047744+0.0073548i,0.014609+0.0018113i,0.011736-0.0019612i,0.009958-0.0036997i,0.0029558+0.00074344i,-0.00010488-0.007855i,-0.0047627-0.0068543i,0.0029383+0.0005992i,-0.027598+0.026323i,-0.0049786-0.0068095i,-0.00092853+0.00064954i,0.0029062-0.0074732i,0.002723-0.00031889i,-0.01026-0.010125i,0.00071077-0.00056199i,0.0058168-0.0015423i,0.0032-0.0025376i,0.0017766-0.005995i,-0.0058035+0.005599i,-0.0029706+0.0038515i,-0.0056156+0.0029431i,-0.0083647-0.0050005i,-0.0099098+0.00032714i,-0.045615+0.034561i,-0.013979+0.020884i,-0.019955-0.010443i,-0.0034594+0.0026863i,0.0058283+0.021454i,-0.0044796+0.018945i,-0.0023787+0.0017106i
