-0.023373+0.00049596i,-0.02429+0.0010132i,-0.014611-0.011612i,-0.034316-0.014377i,-0.030316+0.00063113i,-0.032632+0.0054088i,-0.057085-0.018122i,-0.033226-0.017542i,-0.028739-0.00017444i,0.0064445+0.0041436i,-0.0031878+0.0070443i,-0.0066167+0.016307i,0.0058693+0.010895i,0.0020047+0.0032454i,0.0051278+0.0033015i,0.0054979+0.0173i,0.023644+0.021406i,0.0013754-0.00055924i,0.00066353-0.0051336i,0.0066952-0.0009125i,0.0041362+0.00027126i,0.0022158+0.0013601i,0.00091634-0.00021775i,-0.018013+0.0024779i,-0.0049381-0.0045088i,-0.00054259+0.0026976i,0.0013946-0.0022516i,-0.0010217-0.00061802i,-0.00078016+0.0014242i,-0.0017158-0.0020135i,-0.0039668-0.00014273i,-0.0052908-0.0019735i,-0.0052382-0.0043754i,-0.00011132-4.2634e-05i,0.0011664-0.0027843i,0.0023478+0.013155i,0.0015502-0.0030178i,0.00069065-0.0032165i,0.0046199-0.0021237i,-0.0029245-0.0014118i,0.00061261-1.8556e-05i,0.0071497-0.0025733i,0.0034314-0.0022228i,0.00066087+0.0024095i,-0.013818+0.015169i,-0.027836+0.054644i,-0.0097161-0.036216i,-0.016791-0.018088i,-0.041076-0.0162i,-0.028523-0.012751i,0.038338-0.01329i,0.0055794-0.03114i,0.011579-0.038433i,-0.0095063-0.030953i,0.024571-0.022818i,0.014359+0.0060801i,0.026372-0.036012i,-0.0027-0.0040557i,0.0050964-0.0090822i,-0.00022334-0.0067025i,-0.00071395-0.034043i,-0.013838+0.028895i,0.008825-0.012207i,-0.0088973-0.0044107i,-0.0028525-0.0021091i,-0.0009475-0.015265i,-0.0090009+0.0058422i,0.0032647+0.00811i,-0.0003498+0.026975i,0.0026949+0.00039622i,-0.0077144-0.0047213i,-0.0043236-0.0057791i,-0.015249-0.0093166i,-0.0025003-0.0060651i,-0.03575+0.0053983i,-0.0041317-0.0095515i,-0.013168-0.00097644i,-0.010548-0.0053701i,0.0013483-0.0019715i,-0.014274+0.001763i,-0.001606-0.00045313i,0.0058374+0.0057641i,0.0036553-0.0056804i,-0.014577-0.013475i,0.0078537+0.0087127i,-0.015699+0.0057099i,0.0052747-0.00075956i,-0.019554-0.0027074i,-0.015849-0.0041826i,-0.015852-0.034762i,0.020537-0.011414i,-0.037943-0.023534i,-0.0081611+0.0022883i,0.018011+0.014856i,-0.022023+0.017492i,-0.0036421-0.0039618i
0.0068623+0.012126i,0.0077009+0.016696i,0.0022819+0.026631i,-0.0066825+0.025278i,0.00065457+0.033307i,0.014845+0.019657i,-0.0004041+0.02931i,-0.0074914+0.020679i,0.012701+0.0077077i,0.00062199-0.0037966i,0.00099417-0.0011294i,0.0048535-0.0029487i,0.0017319-0.0024433i,-0.00081706-0.0044336i,-0.00053491-0.0017918i,0.003531-0.0055457i,-0.0033812-0.0046358i,-0.0019445+0.0029064i,0.00033081+0.0003279i,0.00016978+0.0017654i,-0.0022928+0.00036724i,-0.00027835-0.00015218i,0.0016947+0.00041124i,-0.0058027-0.0022727i,-0.00047786-0.00045003i,-0.0012382+0.00055504i,-0.0024017+0.00049844i,-0.0018636+0.00035824i,-0.0027642-0.00032426i,-0.00065732-0.00057668i,-0.0029446+0.00041975i,-0.00073314-0.00078875i,-0.00026962-0.0021312i,0.00023425-0.00099464i,-0.0010377+0.0011366i,-0.00045536-0.0017406i,-0.002002+0.0012116i,0.0019226-8.5026e-05i,0.00018688+0.0027574i,0.0025802+0.0053444i,0.00027139+0.00071531i,-0.0012878+0.00042312i,-0.0013748-0.0011789i,0.0026727+0.0039531i,0.012935+0.0070222i,0.044992-0.053217i,-0.02437+0.007757i,0.015581-0.025795i,-0.025541-0.03289i,-0.012815+0.0021793i,-0.032418+0.033966i,-0.019565+0.0047951i,-0.01651+0.0087931i,-0.0027251-0.016983i,-0.039878-0.020358i,-0.0085798+0.0020417i,-0.027348+0.012425i,0.0028405+0.016161i,0.00069886+0.0053118i,-0.0058727-0.0058833i,0.00016401+0.001811i,-0.013608-0.0041184i,0.0058982+0.01351i,-0.00055685+0.0079243i,-0.0020392+0.0037016i,0.0017021+0.0062604i,0.0027767+0.0031197i,-0.0013723+0.019708i,0.0035681+0.014988i,0.0057433-0.0051425i,0.012847-0.0056817i,0.0084063+0.0018384i,-0.0040648-0.006782i,-1.4427e-05-0.0020993i,0.020685-0.032636i,0.0098682+0.0054282i,0.0078597-0.0019384i,0.0030965-0.00010678i,0.0055508-0.0087433i,0.022853+0.00028098i,0.0059998-0.0022185i,0.0020005-0.0064075i,0.0044852-0.0030441i,0.017795+0.0031028i,0.0060391+0.0032614i,0.0034501-0.0032034i,0.009046+0.0098424i,-0.0011543+0.0051214i,0.0085248+0.0091661i,-0.012815-0.014979i,-0.0090046+0.00031539i,-0.008225-0.014081i,-0.0095407-0.0053124i,-0.039198+0.0068213i,-0.0057569+0.0040001i,-0.011417-0.00042912i
0.0087989+0.010546i,0.0097176+0.013642i,0.0083109+0.021553i,-0.0024843+0.024026i,0.0056729+0.031055i,0.017498+0.01687i,0.0042944+0.028439i,-0.0031296+0.020889i,0.013114+0.002973i,-0.00058077-0.0037218i,0.0010401-0.0005336i,0.0037422-0.004764i,0.00096566-0.0034167i,-0.0012103-0.0037932i,-0.0012414-0.0015729i,0.00055857-0.0053626i,-0.0056786-0.0022543i,-0.00075719+0.0033591i,0.0012365+0.0002074i,0.0010635+0.0013301i,-0.0013992+0.0015594i,0.00017991+0.00052676i,0.0020261-0.00041288i,-0.0051976-0.00035994i,-0.00032319-0.00010227i,-0.00092689+0.00092833i,-0.0016042+0.0015019i,-0.0013622+0.00077507i,-0.0025608+0.00058368i,-0.00042433-6.973e-05i,-0.0024037+0.0016907i,-0.0010602-0.00016191i,-0.0014376-0.0016266i,-0.00083627-0.0011509i,-0.0017668+0.0010891i,0.00028458-0.0012757i,-0.0011179+0.0018936i,0.0012354-0.00090214i,0.00061467+0.0029378i,0.0038585+0.0033205i,0.0006342+0.00067026i,-0.0014325+0.0007985i,-0.0017611-0.00085171i,0.0036127+0.002932i,0.013925+0.0028654i,0.024867-0.063683i,-0.018284+0.015139i,0.0051512-0.032839i,-0.036678-0.024252i,-0.010225+0.0053956i,-0.020537+0.039589i,-0.016164+0.010109i,-0.005533+0.0027908i,-0.004986-0.015623i,-0.044393-0.004775i,-0.008465+0.0026886i,-0.021935+0.023113i,0.0067489+0.011722i,0.0014315+0.0038988i,-0.011922-0.0067194i,-0.0026781+0.0050179i,-0.013478+0.0038447i,0.011806+0.0097937i,0.0015222+0.0097513i,-0.00020652+0.0040589i,0.0038366+0.006678i,0.004237+0.0030905i,0.0067465+0.015556i,0.0082703+0.0092108i,-0.0010985-0.0081997i,0.0063117-0.0076344i,0.0076536+0.00046488i,-0.0067895-0.0003624i,-0.00024919+0.00054676i,0.0063529-0.03326i,0.012087+0.0025696i,0.0075987-0.0047246i,0.0043914-0.0018659i,0.0010905-0.0058085i,0.021569-0.0094543i,0.0035285-0.0039409i,-0.0010048-0.0054568i,0.00093313-0.0024174i,0.015182-0.0031636i,0.0072541+0.0023255i,0.0025446-0.0020005i,0.011637+0.0058061i,0.00040174+0.0055751i,0.0097757+0.0047187i,-0.018945-0.013085i,-0.0058834-0.013557i,-0.0077183-0.011953i,-0.0089684-0.0025731i,-0.033344+0.020629i,-0.0038507+0.0051347i,-0.010016+0.0013325i
0.011083+0.0085484i,0.011392+0.010917i,0.011097+0.015668i,0.00073385+0.022659i,0.011343+0.028989i,0.019924+0.013533i,0.0090751+0.026701i,0.0011143+0.019817i,0.011505-0.0005936i,-0.0016266-0.0031426i,0.0017536-0.00042685i,0.00066162-0.0054972i,-0.00016141-0.0036769i,-0.001989-0.0033144i,-0.0016859-0.0010501i,-0.0017238-0.0036457i,-0.0060139+0.0009463i,0.00074519+0.0034055i,0.0016173-0.00089725i,0.0018356+0.00045107i,-0.0003188+0.0016108i,0.0012806+0.00023697i,0.0018961-0.0012379i,-0.004613+0.0004846i,-0.00021995+0.00011692i,-0.00025335+0.0013811i,-0.00041722+0.0016889i,-0.00064236+0.0012343i,-0.0019601+0.0013235i,-0.0003982-0.00012028i,-0.0014024+0.002407i,-0.0010433+0.00041468i,-0.0019778-0.00059288i,-0.0017013-0.00064793i,-0.0014641+0.0020914i,0.0010305-0.0017328i,-0.00025309+0.0018387i,0.00048547-0.0013471i,0.0026147+0.0020108i,0.0040718+0.0016699i,0.001028+0.00055546i,-0.00043871+0.0014738i,-0.0021598-0.00054174i,0.0039463+0.0012733i,0.01348-0.00077637i,0.0023539-0.063706i,-0.0080683+0.018001i,-0.0063633-0.033642i,-0.039846-0.014305i,-0.0048545+0.0068341i,-0.0059826+0.039875i,-0.0062418+0.011637i,-0.0055193-0.0038955i,-0.0063807-0.01478i,-0.041207+0.0096683i,-0.0076738+0.0045164i,-0.010278+0.029156i,0.0086353+0.0069886i,-5.4815e-05+0.0015504i,-0.019688-0.0011918i,-0.0011267+0.0067083i,-0.0086177+0.0086438i,0.01341+0.0023769i,0.0050742+0.0093169i,-0.00083902+0.0044804i,0.0051606+0.00468i,0.0055988+0.0005002i,0.0091424+0.0093362i,0.0084082+0.0035157i,-0.0067267-0.0037061i,0.0036094-0.0066708i,0.0085165-0.0010008i,-0.0027342+0.0068778i,0.0021585+0.0017809i,-0.0039423-0.02931i,0.013232-0.0030736i,0.005035-0.0069518i,0.0027179-0.0035638i,0.0012466-0.0042701i,0.014031-0.016636i,0.00075587-0.0015083i,-0.0034378-0.0034006i,0.00039286+0.00044203i,0.010975-0.0065994i,0.010358-0.0015541i,0.0034212-0.0030038i,0.013786+0.00018841i,0.0036691+0.0043867i,0.0092436+0.00093146i,-0.022582-0.0048071i,-0.017083-0.020239i,-0.006738-0.013906i,-0.0063368-0.0026854i,-0.022397+0.026468i,-0.0034953+0.00047809i,-0.0087385-0.0016601i
0.012824+0.0052878i,0.012862+0.0080784i,0.011569+0.010123i,0.0040456+0.021608i,0.016476+0.024561i,0.021783+0.0096821i,0.013715+0.023927i,0.0047264+0.017604i,0.0096973-0.0023299i,-0.0023102-0.0022217i,0.0021749-0.0015518i,-0.001724-0.0039643i,-0.0014558-0.003511i,-0.002879-0.0023935i,-0.002117-0.00051576i,-0.0024006-0.0014726i,-0.0043293+0.0035982i,0.0020327+0.00247i,0.0010231-0.0012249i,0.0017862-0.00084604i,0.0003763+0.001289i,0.0017554-0.00066266i,0.0014871-0.0020619i,-0.0040736+0.0015039i,0.00010637-4.8542e-05i,0.00081074+0.00069974i,0.00042095+0.0012347i,0.00018861+0.00094621i,-0.0010831+0.0020306i,-0.00036395+0.00026101i,-0.00039182+0.0024985i,-0.00084675+0.00089608i,-0.0021109+0.00036453i,-0.0019013+0.0004624i,-0.00035144+0.0021894i,0.0011146-0.0030459i,0.00069799+0.0017491i,-0.00030245-0.001224i,0.0025911-0.00015262i,0.0039178+0.00033235i,0.0014617-1.544e-05i,0.00057633+0.0010212i,-0.0023727+6.0126e-05i,0.0027456-0.00073072i,0.012475-0.0037088i,-0.01498-0.051742i,0.00038813+0.014625i,-0.015807-0.029744i,-0.042519-0.004663i,0.0002157+0.0044509i,0.0056859+0.034717i,0.0009985+0.005312i,-0.0062476-0.0049111i,-0.0073188-0.012416i,-0.033946+0.019281i,-0.0064411+0.0060817i,0.001273+0.027945i,0.0091484+0.0028129i,-0.0029503+0.0024731i,-0.021395+0.0096744i,-0.00028938+0.0083761i,-0.0040397+0.0086724i,0.010127-0.003548i,0.0081673+0.0075609i,0.0001484+0.0067441i,0.0048065+0.0039342i,0.0054373-0.0031085i,0.0079783+0.0035027i,0.0055237+0.00057664i,-0.0052707+0.00068461i,0.0015362-0.0061271i,0.0078245-0.0032216i,0.0058333+0.0072937i,0.0034257+0.00017243i,-0.0098313-0.023494i,0.010127-0.0074821i,0.0023783-0.0080024i,0.0017882-0.002897i,7.3625e-05-0.0051377i,0.0059561-0.018127i,0.0033248-0.0005613i,-0.0037556-0.00042747i,0.0028129+0.0013481i,0.0075898-0.0075564i,0.0080583-0.006916i,0.0014686-0.0035605i,0.011039-0.0068867i,0.0035254+0.0012059i,0.0082935-0.0026945i,-0.017172+0.0034894i,-0.027446-0.01659i,-0.010089-0.017729i,-0.0058766-0.0049142i,-0.014096+0.026849i,-0.0081378+8.4952e-06i,-0.011843-0.00032435i
0.013246+0.0020323i,0.01318+0.0047188i,0.010065+0.0061223i,0.0075823+0.020219i,0.020007+0.019483i,0.022715+0.0055604i,0.017559+0.02014i,0.0073395+0.014821i,0.0087777-0.0032765i,-0.0024913-0.0013262i,0.0013459-0.0024472i,-0.0024403-0.0020674i,-0.0024674-0.0030199i,-0.0030666-0.0012902i,-0.0022954+0.00027201i,-0.0021091+0.00014943i,-0.0019223+0.0051261i,0.002431+0.0014304i,0.00085697-0.0013137i,0.0010084-0.0017149i,0.00061463+0.0008628i,0.001558-0.0013905i,0.00049706-0.0025677i,-0.0027611+0.0019915i,2.4361e-05-0.00053727i,0.00071999-0.0004439i,0.0008662+0.00047338i,0.00055232+0.00042294i,0.00016617+0.002163i,0.00031406+0.00033337i,0.00037459+0.0023529i,-0.00036514+0.0011547i,-0.0017792+0.0014624i,-0.0016012+0.0012896i,5.4838e-05+0.0020397i,0.00021565-0.0043819i,0.0013258+0.0010197i,-0.00067228-0.00061425i,0.0016493-0.00096357i,0.003296-0.00047289i,0.0013461-0.00084359i,0.00084765+0.00041105i,-0.0021493+0.00063878i,0.00089746-0.00028523i,0.011226-0.0057753i,-0.018461-0.036928i,0.0046717+0.0092471i,-0.023303-0.023306i,-0.042457+0.0073353i,0.0026396-0.00052646i,0.014222+0.026967i,0.0029998-0.00085067i,-0.0057787-0.005955i,-0.0061332-0.01177i,-0.02658+0.026349i,-0.0044292+0.0068888i,0.01233+0.022862i,0.0079184-0.00032831i,-0.0040167+0.0058285i,-0.017134+0.018119i,0.0028436+0.009295i,-0.00050137+0.0093351i,0.0046863-0.0048713i,0.010328+0.0048932i,0.0029828+0.0078336i,0.0055343+0.003673i,0.0038479-0.0059038i,0.0045372+0.0028363i,0.0031751+0.001373i,-0.0042033+0.0027781i,6.018e-05-0.0048113i,0.0064379-0.0053201i,0.0092295+0.0016892i,0.0035249-0.0017981i,-0.013245-0.020997i,0.0061888-0.010071i,-0.00081361-0.0081274i,0.0027523-0.0029165i,-0.0017455-0.0041932i,0.00024752-0.016499i,0.004049-0.0031729i,-0.0017392+0.0018055i,0.0046949+0.00016976i,0.0054888-0.0085449i,0.0037415-0.010036i,0.0010155-0.0031093i,0.0047425-0.010053i,0.0020948-0.00032453i,0.0044604-0.0061079i,-0.010347+0.0042624i,-0.035833-0.0066165i,-0.015826-0.017688i,-0.0073834-0.0071808i,-0.0083698+0.025936i,-0.012028+0.003358i,-0.011131+0.003521i
0.013042-0.0010021i,0.012657+0.0020777i,0.0081395+0.0041575i,0.01101+0.017701i,0.021741+0.014016i,0.023191+0.0015613i,0.020613+0.015627i,0.0090523+0.011965i,0.0084642-0.0047377i,-0.002593-0.00091778i,-0.00010833-0.0026884i,-0.0024895-0.0006107i,-0.0035439-0.0021783i,-0.0029263-0.00068616i,-0.0021925+0.0010506i,-0.0014057+0.0012716i,0.00086079+0.005095i,0.0026107+0.00053621i,0.00025256-0.0015951i,3.7469e-05-0.0019487i,0.00099199+0.00067346i,0.0011091-0.0021054i,-0.00042828-0.002408i,-0.0023389+0.0015512i,-0.00032851-0.00046768i,-6.382e-05-0.0010456i,0.00081433-0.00033868i,0.00071743-0.00027469i,0.0012337+0.0015072i,0.00064235-0.00031915i,0.0011329+0.0020637i,0.00010181+0.0010131i,-0.00079+0.002151i,-0.00095533+0.0017265i,0.00052084+0.0020475i,-0.0014195-0.0051801i,0.0013604-9.838e-06i,-0.00062028-0.00029144i,0.00098418-0.0012235i,0.0026634-0.00072543i,0.00082988-0.0011568i,0.00080057+0.00017011i,-0.0017513+0.00083114i,0.00035022+0.0010293i,0.0099807-0.0071668i,-0.015506-0.030049i,0.0064611+0.0054111i,-0.026748-0.013476i,-0.035642+0.020962i,-0.00028492-0.0050578i,0.018352+0.018527i,0.00341-0.005839i,-0.0051288-0.0065184i,-0.0072299-0.011526i,-0.018344+0.029902i,-0.0035949+0.0075257i,0.0175+0.010455i,0.0064695-0.002904i,-0.0022252+0.0089861i,-0.0086036+0.023903i,0.0059002+0.0074699i,0.0039912+0.0079828i,0.0021985-0.0030716i,0.012132+0.00083794i,0.0061777+0.0073097i,0.0061842+0.0026158i,-0.0012474-0.0084485i,0.0040816+0.0046254i,0.003688+0.0029163i,-0.0017452+0.0060088i,0.00028312-0.003995i,0.0047773-0.0062482i,0.0092615-0.0034137i,0.0028143-0.003812i,-0.019938-0.018853i,0.002224-0.010903i,-0.0040622-0.0068929i,0.0014058-0.0043803i,-0.0021936-0.0022836i,-0.002867-0.013417i,0.0026191-0.0052254i,0.00061175+0.0017219i,0.0052888-0.0034534i,0.0026059-0.0095124i,-0.0022482-0.010154i,0.00074493-0.0038497i,-0.0001225-0.0086239i,0.0013267-0.0011687i,-0.00064995-0.0055277i,-0.0072768+0.0034229i,-0.032812+0.0092266i,-0.021685-0.015494i,-0.010073-0.0071105i,-0.0044891+0.025361i,-0.010838+0.0088573i,-0.006637+0.0044616i
0.012089-0.0038136i,0.012005+0.00010105i,0.0067204+0.0035664i,0.013489+0.014281i,0.022201+0.0094434i,0.023046-0.0027609i,0.022526+0.010601i,0.010024+0.0093473i,0.0077611-0.0062314i,-0.0028458-0.00022414i,-0.0012669-0.0019681i,-0.001582+0.00060458i,-0.0042838-0.00083375i,-0.0029759-0.00028092i,-0.0018576+0.0017768i,-0.00055689+0.0018486i,0.0029476+0.003841i,0.0024519-0.00013404i,-9.4436e-05-0.0013823i,-0.0007808-0.0015672i,0.0012664+0.00015265i,0.00027361-0.002598i,-0.0010903-0.0019206i,-0.0024854+0.0019482i,-0.00042959-0.00061605i,-0.00095006-0.00091592i,0.00044738-0.00088554i,0.00036258-0.001008i,0.0016465+0.00027399i,0.0003211-0.0010482i,0.0018095+0.0014674i,0.00039517+0.00091516i,0.00053149+0.0020465i,-0.00025222+0.0018384i,0.001154+0.0013869i,-0.0034354-0.005234i,0.0010091-0.00070394i,-0.00069613-0.0003249i,0.00048455-0.001584i,0.0023272-0.00081704i,0.00039116-0.0012202i,0.00097905-0.00014024i,-0.0016105+0.00080998i,0.00091587+0.0016151i,0.0092968-0.0091457i,-0.014913-0.02968i,0.0077091+0.0021504i,-0.02437-0.0051768i,-0.02357+0.029621i,-0.0028454-0.0051525i,0.020719+0.01139i,0.001781-0.010155i,-0.0045577-0.0082167i,-0.0073233-0.0097064i,-0.010426+0.032219i,-0.00087816+0.0078641i,0.012241+8.2219e-05i,0.0037127-0.0053514i,0.0010929+0.009996i,0.0002629+0.023536i,0.0068835+0.0046039i,0.0061614+0.0041335i,0.0018891-0.0021204i,0.011718-0.003151i,0.010158+0.0047613i,0.0069327+0.0021843i,-0.0055132-0.0038787i,0.0060754+0.0049239i,0.0052581+0.0031648i,0.0021441+0.0061024i,-0.00053946-0.0042687i,0.0030135-0.0073728i,0.0073555-0.0093884i,-0.0004367-0.0045457i,-0.026779-0.01154i,-0.00121-0.010319i,-0.0060649-0.0037157i,0.0010823-0.0029692i,-0.0021015-0.0014936i,-0.0043959-0.012968i,0.00011338-0.0063951i,0.0013593-1.4928e-05i,0.0027924-0.0053678i,0.00012395-0.0086994i,-0.0058444-0.0065253i,-0.0012307-0.0043222i,-0.003406-0.0067953i,-0.00030354-0.0015595i,-0.0023757-0.0023429i,-0.0042643+0.0026661i,-0.024902+0.011248i,-0.022903-0.011163i,-0.011729-0.0061949i,0.00072175+0.023001i,-0.0088115+0.01083i,-0.0051308+0.0032395i
0.010619-0.0061921i,0.011477-0.0013644i,0.0063145+0.0038472i,0.014957+0.010897i,0.02189+0.0054629i,0.021809-0.006987i,0.02338+0.0055739i,0.010776+0.0070848i,0.0068247-0.0078307i,-0.0027675+0.00053337i,-0.0015728-0.00092025i,-0.00056715+0.00059214i,-0.0044471+0.00080242i,-0.0032488+0.00046439i,-0.0011996+0.0024175i,0.00038869+0.0017501i,0.0039204+0.0021695i,0.0023608-0.00081193i,-0.00030092-0.001266i,-0.0010754-0.00081108i,0.0012077-0.00039632i,-0.00071589-0.0022917i,-0.0014301-0.0013364i,-0.0017661+0.0026822i,-0.00094876-0.00063336i,-0.0014183-0.00038337i,-0.00027656-0.0012718i,-0.00053484-0.00138i,0.0013399-0.00086811i,-0.00030049-0.0013753i,0.0020142+0.00063218i,0.000752+0.00059215i,0.0011186+0.0012566i,0.00034164+0.001661i,0.0011254+0.00085562i,-0.0054585-0.0042582i,0.00036868-0.001217i,-0.00097819-7.5026e-05i,-0.00053391-0.0020451i,0.0023029-0.00085819i,8.3518e-05-0.0011695i,0.00086453-0.00057188i,-0.0016952+0.00081882i,0.0015943+0.0016807i,0.0076977-0.011618i,-0.018867-0.029098i,0.0074707-0.0016604i,-0.021907+0.00056978i,-0.010364+0.031297i,-0.0056696-0.0050617i,0.022053+0.0038247i,3.2194e-06-0.012097i,-0.0056048-0.0095385i,-0.0065409-0.0075173i,-0.0013241+0.032253i,0.0015717+0.0066362i,0.0068032-0.00103i,0.0004143-0.0059965i,0.0053444+0.010193i,0.0074304+0.019579i,0.0064789+0.0017309i,0.0056097-0.00013259i,0.00085351-0.0014919i,0.0094041-0.0074846i,0.012375+0.00051087i,0.0080986+0.00077039i,-0.0056114-0.00065397i,0.0079208+0.0042558i,0.0070577+0.0028861i,0.0059262+0.0040386i,-0.0015579-0.0037284i,0.0013339-0.0082628i,0.0021457-0.011986i,-0.0019363-0.0023053i,-0.030002-0.0012407i,-0.0036395-0.0091981i,-0.0061383-0.00033095i,0.0011002-0.0027023i,-0.0022918-0.0011333i,-0.0078137-0.012522i,-0.0027805-0.0058533i,0.0015921-0.00065837i,0.00032629-0.0057123i,-0.00092552-0.0081971i,-0.0079649-0.0037182i,-0.0034858-0.0029092i,-0.0057542-0.0042008i,-0.00059853-0.0014829i,-0.0019901-0.00069477i,-0.0021073+0.001206i,-0.022987+0.012166i,-0.022122-0.0087685i,-0.01375-0.0048237i,0.0018345+0.021391i,-0.0074379+0.011662i,-0.0039231+0.0024179i
0.0088399-0.0079031i,0.011324-0.0030987i,0.007159+0.0038102i,0.015705+0.0076964i,0.021726+0.0022894i,0.019774-0.010662i,0.02321+0.00039119i,0.011347+0.0047356i,0.0053838-0.0093227i,-0.0026069+0.0011173i,-0.0015257-0.0004033i,-0.0004472-2.2439e-05i,-0.0038484+0.0023346i,-0.0029942+0.0013563i,-0.00030984+0.0026417i,0.00078931+0.0012028i,0.00403+0.00047015i,0.0017592-0.0015366i,-0.00069517-0.00095391i,-0.00085969-0.00030702i,0.0011491-0.00083248i,-0.0011484-0.001817i,-0.0014389-0.00075192i,-0.00066266+0.0028385i,-0.0014109-0.00030692i,-0.0017051+0.00023661i,-0.0012054-0.0011117i,-0.0015034-0.0010688i,0.00054436-0.0017849i,-0.0010761-0.0013087i,0.0019242-9.1456e-05i,0.00076277+0.00025404i,0.0011242+0.00063386i,0.00077254+0.0013882i,0.0011085+0.00057978i,-0.0068801-0.0023875i,-0.00056324-0.0013594i,-0.00089026+0.00030437i,-0.00173-0.001882i,0.0023516-0.0011398i,-0.00016863-0.0010014i,0.00066152-0.00080561i,-0.0017402+0.0011033i,0.0021587+0.0015601i,0.0048604-0.013006i,-0.024177-0.024075i,0.0062773-0.0046301i,-0.015953+0.0055432i,0.00081357+0.030176i,-0.007401-0.0013107i,0.021424-0.0045366i,0.00073764-0.015069i,-0.0061619-0.0091983i,-0.0039583-0.0050822i,0.0065045+0.029397i,0.0022986+0.0044824i,0.0038689-0.0015148i,-0.0033416-0.0054977i,0.010103+0.0070342i,0.010336+0.014301i,0.0041201-7.6639e-05i,0.0041129-0.003161i,0.0016843+0.0011385i,0.0045652-0.010168i,0.0122-0.0059927i,0.0086575-0.0015182i,-0.0053377+0.0026855i,0.010799+0.0027454i,0.009604-1.6895e-05i,0.0072542-0.0003872i,-0.0020822-0.002906i,-0.0011635-0.0083488i,-0.0047389-0.011416i,-0.0011745-0.00040464i,-0.02904+0.0099725i,-0.0057151-0.0082466i,-0.004637+0.0022083i,0.0011639-0.0047169i,-0.002282+0.00035845i,-0.012117-0.0098208i,-0.005433-0.0035297i,0.0012336-0.001885i,-0.0016735-0.0048839i,-0.0030503-0.0078013i,-0.0079197+0.0014762i,-0.0039594-0.00034138i,-0.0072536-0.0011219i,-0.0017014-0.0024955i,-0.0013632-0.00058716i,-0.0011651+0.00048259i,-0.022054+0.018126i,-0.022762-0.0095822i,-0.013016-0.0021088i,0.0052321+0.020739i,-0.0068187+0.013511i,-0.0025134-0.00011027i
0.0071211-0.0091025i,0.010845-0.0049077i,0.0082258+0.0025695i,0.015953+0.00441i,0.021476-0.00094356i,0.01732-0.013629i,0.02184-0.0043625i,0.011495+0.002403i,0.003655-0.010427i,-0.0024594+0.0017669i,-0.0016653+9.0632e-05i,-0.0010382-0.0001508i,-0.0029274+0.0033208i,-0.0024876+0.0021134i,0.0004004+0.0025102i,0.00052472+0.00083226i,0.0033142-0.00093943i,0.0011231-0.0017659i,-0.00058972-0.00059176i,-0.00051049-6.4722e-05i,0.0010502-0.0013344i,-0.0013261-0.0014164i,-0.0011914-0.00039617i,0.00026783+0.0028349i,-0.0015727+8.2425e-05i,-0.0017262+0.0010476i,-0.0019744-0.00042545i,-0.0020233-0.00027392i,-0.00070527-0.002163i,-0.0018716-0.00082722i,0.0016033-0.00063329i,0.00067319-2.1767e-05i,0.0010981+0.00012654i,0.0011678+0.00096574i,0.0010123+0.00025055i,-0.0074843-0.00013379i,-0.0014082-0.00096677i,-0.0008147+0.00035387i,-0.00264-0.0010305i,0.0022613-0.001744i,-0.00023927-0.00076645i,0.00045716-0.0011244i,-0.0017163+0.0015265i,0.0026863+0.0010761i,0.0024405-0.013072i,-0.02505-0.016703i,0.0036054-0.0063419i,-0.0096696+0.0057327i,0.011472+0.02654i,-0.0057772+0.0032146i,0.017301-0.011614i,-0.0014219-0.020982i,-0.0053236-0.0093431i,0.00097449-0.0039344i,0.013655+0.02421i,0.0021919+0.0031387i,0.0010312-0.0012837i,-0.0055374-0.0031594i,0.011977+0.0013091i,0.012063+0.011093i,0.0010203+0.00078899i,0.0011227-0.0064393i,0.0046603+0.00048093i,-0.00034367-0.0095602i,0.0076361-0.010152i,0.0080626-0.0043588i,-0.0044718+0.0049741i,0.012561-0.0021121i,0.008974-0.0053456i,0.0055726-0.0048013i,-0.0024207-0.0021949i,-0.0038045-0.0074897i,-0.0089617-0.0061973i,0.00022681-0.00059314i,-0.022814+0.021662i,-0.0080745-0.0061979i,-0.0023237+0.0034849i,-0.0016883-0.0053078i,-0.0012166+0.00091758i,-0.015491-0.0050084i,-0.0050163-8.7061e-05i,-0.00017428-0.0028096i,-0.0033903-0.0038287i,-0.0049012-0.0060955i,-0.0048699+0.0041354i,-0.0025893+0.001373i,-0.0068131+0.0029283i,-0.0041432-0.0019774i,-0.001733-0.00087182i,0.00238+0.00067056i,-0.012241+0.023579i,-0.026795-0.0079184i,-0.011287-0.0020684i,0.0076563+0.018714i,-0.004258+0.015963i,-0.003563-0.003475i
