-0.028472-0.043385i,-0.021992-0.021502i,-0.013302-0.037745i,-0.029775-0.022089i,-0.022797-0.0016386i,-0.014653-0.0064064i,-0.055157-0.060802i,-0.048157-0.01874i,-0.03883-0.015963i,0.010847+0.012876i,-0.0082894+0.005431i,-0.020328+0.019466i,0.002385+0.012244i,-0.0058693-0.0034401i,0.00043568+0.0012496i,-0.0021386+0.031333i,0.027114+0.028166i,0.0028133-0.0024735i,-0.0021282-0.0072231i,0.008054+0.0027186i,0.002703+0.0011662i,5.2142e-06+0.003868i,-0.00037842+0.00010036i,-0.038267-0.012504i,0.00035155-0.0083887i,0.001529+0.0023058i,0.0062761+0.0017077i,0.0022372+0.00044573i,0.0011094-0.00074262i,-0.00039916-0.0027871i,0.0015285-0.0027237i,-0.0028069-0.0062283i,-0.00072098-0.0047281i,0.0031625-0.00093131i,0.0047678-0.0029334i,0.0019127+0.031612i,0.00413-0.0039248i,0.0030071-0.0016219i,0.0087243-0.0010188i,-0.0050492-0.0026181i,-0.00028446+0.00090443i,0.0096152-5.2642e-05i,0.0047344-0.0024862i,-0.0021578+0.00909i,-0.016939-0.0077547i,-0.01768+0.015464i,-0.0017098-0.062928i,-0.0047893-0.026885i,-0.0253-0.03307i,-0.010651-0.027226i,0.054999-0.020601i,0.017431-0.043246i,0.023075-0.049195i,0.0071186-0.055463i,0.026957-0.020247i,0.0084751+0.0061468i,0.025639-0.033499i,-0.0078641-0.006403i,0.0033527-0.0044982i,-0.004786-0.0070158i,-0.0019074-0.033872i,-0.019138+0.029344i,0.0086106-0.011774i,-0.0093029-0.0040412i,-0.0041363-0.0017398i,0.0008198-0.012885i,-0.011075+0.0042486i,0.0024686+0.010028i,-0.0055014+0.026889i,0.0047431+0.0020465i,-0.0054964-0.0018076i,-0.0020537-0.0023381i,-0.012791-0.0073781i,-0.00060178-0.0043085i,-0.036586+0.00026565i,0.0012341-0.010626i,-0.0086185-1.4762e-05i,-0.0067969-0.0024211i,0.004964+0.0012033i,-0.0083244-0.00059035i,0.0019583-6.9643e-05i,0.004108+0.0075872i,0.0042029+0.00034091i,-0.0082073-0.013326i,0.0030592+0.0095501i,-0.015523+0.0049897i,0.0064937-0.0001753i,-0.022676+1.2644e-05i,-0.017768+0.0057735i,-0.0088116-0.065437i,0.0082287-0.012507i,-0.049365-0.023656i,-0.021039+0.00036622i,0.017724+0.011929i,-0.023301+0.01432i,-0.019594-0.0059027i
-0.046019+0.03087i,-0.01772+0.019135i,-0.022443+0.04297i,-0.028592+0.013709i,-0.005933+0.02225i,-0.0012564+0.008543i,-0.032964+0.01864i,-0.0043499+0.030621i,0.0074416+0.019147i,-0.0053428-0.0070572i,0.0028018+0.002915i,0.0079104-0.00025037i,0.0056895+0.00029733i,-0.00085584+0.0033825i,0.00056463+0.0020302i,0.0062968-0.005173i,-0.0068022-0.00065153i,-0.0030466-0.00063555i,0.0043344-0.0018285i,-3.1841e-05-0.00097241i,0.0029364-0.0054879i,0.0019207-0.0030291i,0.0014383-0.0026632i,-0.0094595-0.011655i,-0.00046482+0.0021366i,-0.00189-5.0842e-05i,-0.0042589-0.0014485i,-0.0029487-8.5094e-06i,-0.00071365-0.0017285i,-0.00017449-0.00081003i,-0.0010868+0.0039474i,0.00075149+0.00096083i,0.0016823+0.00080601i,-0.00042651+0.00083801i,-0.0029904+0.0027472i,-0.0015661-0.0080565i,-0.0028042+0.0010213i,0.00082618-0.00057907i,-0.0017886+0.0034913i,0.0039895+0.002977i,-0.00051103-0.0018172i,-0.00057787-0.0030824i,-0.0034281-0.00030526i,0.0043519+0.00020128i,-0.017633+0.022749i,0.0060739-0.039325i,-0.055888+0.0039162i,0.007542-0.031149i,-0.030871-0.049151i,-0.029517-0.020779i,-0.065029+0.020219i,-0.039081+8.2921e-05i,-0.034766-0.0079002i,-0.028996-0.023011i,-0.039293-0.023858i,-0.0051789+0.0028126i,-0.028205+0.0093577i,0.0059092+0.018708i,0.0025927+0.0083531i,-0.0036711-0.0053368i,0.0019519+0.0014727i,-0.010722-0.0042382i,0.005942+0.01109i,-0.00075258+0.0058609i,-0.0017224-0.0016209i,0.0012201+0.002288i,0.0039002-0.00075615i,-0.0040945+0.018219i,0.0026334+0.014426i,0.0050978-0.00066214i,0.0095494-0.006837i,0.004491+0.0033739i,-0.0088105-0.0074122i,-0.00085582-0.0028605i,0.02753-0.034821i,0.0082832+0.0097698i,0.0053809+0.0022484i,-0.0027964+0.0029059i,0.0034922-0.0053157i,0.022005+0.0083008i,0.0035939+0.0022582i,7.1996e-05-0.0066372i,0.0011917-0.0029661i,0.014297+0.0074852i,0.0050489+0.0015126i,0.0027502-0.0049605i,0.0039732+0.0088837i,-0.00042718+0.00076516i,0.0095758+0.0023315i,-0.039415-0.015046i,-0.0063183+0.012957i,-0.0021055-0.0038366i,-0.0065775+0.0052666i,-0.037612+0.012108i,-0.0056864+0.0071784i,-0.0097024+0.014416i
-0.040418+0.037828i,-0.014608+0.018887i,-0.011783+0.038936i,-0.025826+0.017042i,-0.0029187+0.020587i,0.00016986+0.0084686i,-0.031189+0.024174i,0.0016124+0.029795i,0.0099263+0.013612i,-0.00688-0.0041685i,0.0038691+0.0032949i,0.0070049-0.0028114i,0.0051546-0.0018335i,0.0013363+0.0040228i,0.00082094+0.0020982i,0.0019815-0.0045448i,-0.0078552+0.0031561i,-0.002641+0.0003827i,0.0044157-0.0028344i,0.00029078-0.00097032i,0.001297-0.0056526i,0.0015222-0.0027255i,0.00071246-0.0027553i,-0.011491-0.0082976i,0.00056016+0.0014952i,-0.0019694+0.00052836i,-0.003841+0.00042343i,-0.0021166+0.00072957i,-0.0014274-0.0016314i,-0.00015415-0.00066297i,0.00053039+0.0040988i,0.0003907+0.0009191i,0.0015141-0.00020327i,-0.00051433+0.00088779i,-0.0029719+0.0031909i,-0.0018578-0.0068746i,-0.0023095+0.0015497i,-0.00031121-0.0011294i,-0.0011478+0.004255i,0.0037585+0.00061569i,-0.00079488-0.0015639i,-0.0021837-0.0029315i,-0.0035774+0.00077671i,0.0045875-0.00083629i,-0.01391+0.022096i,-0.0083272-0.04474i,-0.049285+0.014669i,-0.0016176-0.038715i,-0.044989-0.043342i,-0.030503-0.013864i,-0.053225+0.032931i,-0.036387+0.0093054i,-0.025798-0.010612i,-0.030927-0.018979i,-0.045083-0.0085281i,-0.0044614+0.0026217i,-0.023922+0.021389i,0.0112+0.012958i,0.0053865+0.0045766i,-0.0087178-0.0080058i,-0.0015835+0.0034378i,-0.010591+0.0027625i,0.010136+0.0075148i,0.00016532+0.0077312i,-0.0019684-5.1652e-05i,0.0021277+0.0033634i,0.0040775-0.0012707i,0.0047859+0.015131i,0.0082811+0.0087056i,0.00040238-0.0044823i,0.0031313-0.0080601i,0.0050927+0.0028548i,-0.011345+0.00077519i,-0.0024618-0.00082898i,0.010353-0.038164i,0.011774+0.0072421i,0.0069777-0.00039891i,0.00074803+0.0029772i,-0.00013967-0.0032193i,0.023533-0.0020199i,0.0034021+0.00066977i,-0.0033448-0.0052497i,-0.0026768-0.0017288i,0.013885+0.0015068i,0.0050887+0.0015318i,0.00096757-0.0035374i,0.0067927+0.0074775i,-0.00019209+0.0017139i,0.0096028-0.0015148i,-0.042885-0.01176i,-0.00053453-0.0012891i,-0.0010876-0.0036707i,-0.0047188+0.0050651i,-0.031149+0.023868i,-0.0033315+0.0082297i,-0.0053091+0.015116i
-0.033123+0.043442i,-0.012445+0.019075i,-0.0067788+0.032927i,-0.02294+0.020164i,0.00077458+0.019881i,0.0019367+0.0079605i,-0.026864+0.030006i,0.0072252+0.027467i,0.0094716+0.0095559i,-0.0073486-0.0010568i,0.0057592+0.0027871i,0.0029022-0.003872i,0.0039003-0.0031141i,0.0022403+0.0033849i,0.0013208+0.0021227i,-0.001347-0.0016238i,-0.0064281+0.0074276i,-0.001557+0.00091533i,0.0038365-0.0047464i,0.0005867-0.0015939i,-0.00049522-0.0053425i,0.0015129-0.0031497i,0.000187-0.0027061i,-0.013593-0.0056335i,0.00087037+0.0010687i,-0.001367+0.0014305i,-0.0027317+0.00092515i,-0.00098622+0.0011358i,-0.0016804-0.0012869i,-0.00038603-0.00093298i,0.0019897+0.0033788i,0.00030425+0.0011411i,0.0011209-0.00057307i,-0.00038698+0.00078864i,-0.0013888+0.0044423i,-0.0012637-0.006969i,-0.0020854+0.0018628i,-0.0012191-0.00096168i,0.0019832+0.003048i,0.0028247-0.00056957i,-0.0011411-0.0012238i,-0.0018739-0.0013032i,-0.0034529+0.0017073i,0.0039742-0.0027032i,-0.011463+0.022121i,-0.025052-0.042266i,-0.039175+0.021101i,-0.01338-0.040601i,-0.053211-0.033996i,-0.027173-0.0081212i,-0.036953+0.039488i,-0.024721+0.015432i,-0.028416-0.013524i,-0.031916-0.01535i,-0.042986+0.0061i,-0.003724+0.0028665i,-0.012833+0.029093i,0.01313+0.0070467i,0.0034266-0.00050412i,-0.018113-0.0051493i,-0.00079876+0.0050332i,-0.0064035+0.0067076i,0.011709+0.0017201i,0.0030194+0.008108i,-0.003635+0.0015494i,0.0025136+0.0014936i,0.003864-0.0028632i,0.0077088+0.0083852i,0.008252+0.0029481i,-0.0049842-0.0011769i,0.00019276-0.0061711i,0.0068782+0.0016649i,-0.0069839+0.0095425i,-0.00051077+0.00095402i,-0.0028998-0.034506i,0.01549+0.0013017i,0.0058331-0.0028107i,0.0009862+0.0015806i,7.7566e-06-0.0012985i,0.018445-0.010535i,0.0015467+0.0022823i,-0.005476-0.002655i,-0.0030514+0.0022863i,0.010778-0.0027997i,0.0087713-0.00086166i,0.00070502-0.0035539i,0.010342+0.0037622i,0.0029303+0.0012763i,0.008146-0.00472i,-0.046185-0.0031958i,-0.0090932-0.010573i,0.0012564-0.0067514i,-0.0038152+0.003711i,-0.020853+0.028776i,-0.0034856+0.0034107i,-0.0018039+0.010411i
-0.024879+0.047112i,-0.009798+0.020166i,-0.0051177+0.028181i,-0.018729+0.023219i,0.0043182+0.016999i,0.0036807+0.00641i,-0.020088+0.034766i,0.011952+0.023503i,0.0089469+0.0078732i,-0.006603+0.0017746i,0.0066907+0.00034825i,0.00063225-0.0013937i,0.0023709-0.0035721i,0.002116+0.0034387i,0.0017262+0.0017987i,-0.0015736+0.0025351i,-0.002105+0.010693i,-0.0010413+0.00069625i,0.0019525-0.0054232i,-0.0001242-0.0023129i,-0.0017587-0.0043188i,0.0010286-0.0034876i,-0.00035891-0.0028559i,-0.015386-0.00088248i,0.0010787+2.6724e-05i,-0.00034406+0.0010468i,-0.0022468+0.00084385i,6.3598e-05+0.00050967i,-0.0018834-0.00055537i,-0.00077454-0.00051765i,0.00291+0.0021015i,0.00061922+0.0012368i,0.00035888-0.00086228i,-0.00025173+0.00087027i,0.00084312+0.0038012i,-0.002511-0.008913i,-0.0012174+0.0027397i,-0.0018114-0.00031005i,0.0016951+0.00021665i,0.0020836-0.0010188i,-0.0011494-0.00078061i,-0.0014564-0.001225i,-0.0027188+0.0026701i,0.0012161-0.0049865i,-0.0090056+0.023154i,-0.03813-0.029621i,-0.029756+0.021822i,-0.024273-0.037449i,-0.06111-0.023323i,-0.022355-0.0061522i,-0.022655+0.038672i,-0.014307+0.011698i,-0.029265-0.010071i,-0.032433-0.010464i,-0.037029+0.016588i,-0.0034316+0.003195i,-0.00057663+0.029392i,0.013613+0.0015284i,-0.0012992-0.001293i,-0.022704+0.0056808i,-0.00062976+0.0067661i,-0.00298+0.0062507i,0.0090031-0.0040715i,0.0059791+0.007079i,-0.0030599+0.0046278i,0.00049862+0.0017422i,0.0029624-0.005376i,0.0061426+0.0023769i,0.005352-0.00011007i,-0.0041199+0.0020887i,-0.0014655-0.0044396i,0.0069804-0.00063461i,0.0028429+0.011358i,0.00021642+0.00027176i,-0.01073-0.027815i,0.013458-0.0047526i,0.0044527-0.0043305i,0.0020731+0.0028999i,0.00022133-0.0012604i,0.011737-0.013599i,0.0047318+0.0031546i,-0.0059764+0.00052461i,-0.00067944+0.0042732i,0.0079484-0.0036711i,0.0081284-0.0065516i,-0.0009073-0.002972i,0.009473-0.0026154i,0.0028532-0.0016751i,0.0062856-0.0079329i,-0.043141+0.0077222i,-0.019083-0.0099367i,-0.0015356-0.012387i,-0.0027562+0.0017677i,-0.012441+0.02872i,-0.0072789+0.0032324i,-0.0023709+0.0089795i
-0.016919+0.04931i,-0.0075961+0.020327i,-0.0057637+0.025895i,-0.013905+0.024828i,0.0061993+0.013691i,0.0041369+0.0045818i,-0.012027+0.036839i,0.014932+0.018893i,0.0096387+0.0066289i,-0.0044493+0.0034918i,0.0056392-0.0014129i,0.0011007+0.0007658i,0.0012425-0.0035571i,0.0035225+0.0039475i,0.0020938+0.001398i,0.00047756+0.00527i,0.0031638+0.011166i,-0.00092978+0.00065925i,0.00071391-0.0054515i,-0.0011598-0.0022596i,-0.0027141-0.0033792i,0.00023253-0.0036596i,-0.0012561-0.0027087i,-0.013314+0.0042569i,0.00014142-0.0012404i,-0.00037784+0.00030138i,-0.0019196+0.0011188i,0.00017109-0.00049554i,-0.0017684+6.8505e-05i,-0.00052637-7.5071e-05i,0.0031139+0.00071048i,0.0013896+0.00063387i,-0.00032098-0.00056826i,-0.00025738+0.00091274i,0.0012393+0.002928i,-0.0058221-0.0097667i,-0.00029507+0.0027697i,-0.0018179+0.00083303i,2.0578e-05-0.00041575i,0.0013421-0.00091133i,-0.0011038-0.00055655i,-0.0017809-0.0011585i,-0.0013907+0.0031542i,-0.001664-0.0034742i,-0.0051743+0.02465i,-0.039112-0.013852i,-0.023595+0.020199i,-0.033457-0.031021i,-0.066361-0.0083365i,-0.019489-0.0083615i,-0.011196+0.034432i,-0.0096321+0.0064708i,-0.028822-0.0080168i,-0.031455-0.0072301i,-0.0299+0.024392i,-0.002768+0.0034027i,0.012142+0.024897i,0.012376-0.0031563i,-0.00478+0.001307i,-0.020269+0.015242i,0.0015859+0.008094i,-0.00060193+0.0070396i,0.0026741-0.0050687i,0.0081655+0.0050068i,-0.0011177+0.0066106i,0.00028222+0.0038203i,0.0012825-0.0068589i,0.0018922+0.0024481i,0.0025229+0.00033495i,-0.0035466+0.0039552i,-0.0024052-0.002213i,0.0060082-0.0029105i,0.0080741+0.0067086i,0.00024838-1.7493e-05i,-0.015306-0.024847i,0.0096264-0.0086212i,0.0024213-0.0053671i,0.0050848+0.0023152i,-0.00027903-0.00068982i,0.0070558-0.014087i,0.0071084+0.00059784i,-0.0041019+0.0038592i,0.0019771+0.0039417i,0.0072043-0.0044063i,0.0031255-0.010996i,-0.00097311-0.002091i,0.0052952-0.0059658i,0.00068094-0.0026098i,0.00201-0.010702i,-0.035774+0.012184i,-0.026996-0.0022631i,-0.0063319-0.014285i,-0.0031487-0.000678i,-0.0069016+0.027559i,-0.010104+0.0059505i,-0.0011399+0.0094018i
-0.008947+0.050524i,-0.0055285+0.021134i,-0.0058227+0.026919i,-0.009106+0.024995i,0.0064928+0.010563i,0.0043449+0.0034239i,-0.0035913+0.036187i,0.016542+0.014451i,0.01064+0.0044185i,-0.0028276+0.0035055i,0.0039373-0.0021558i,0.0023369+0.0016918i,0.00010131-0.0034078i,0.0052393+0.0027467i,0.0021935+0.00088284i,0.0034032+0.0061302i,0.0080646+0.0090056i,-0.00064463+0.00086232i,-0.0012232-0.0054143i,-0.0019786-0.0017825i,-0.0029-0.0020497i,-0.00049272-0.003757i,-0.0018567-0.0021114i,-0.011143+0.0061424i,-0.0012381-0.00093397i,-0.00084524+0.00015698i,-0.001538+0.0013913i,-0.00025898-0.0014142i,-0.0013609+0.00053581i,-0.00037141-0.00018092i,0.0028711-0.00039695i,0.0013634-0.00039418i,-0.00053074-0.00022021i,-0.00017676+0.00086294i,0.001637+0.0025814i,-0.0092919-0.0086929i,0.00031673+0.0024091i,-0.0011995+0.0014552i,-0.0010573+0.00031318i,0.00095467-0.00044171i,-0.0010435-0.00013994i,-0.0020039-0.00045267i,-0.00042914+0.0028873i,-0.0026419-0.0010475i,-0.00087109+0.025609i,-0.033433-0.0049752i,-0.0199+0.018738i,-0.039154-0.020714i,-0.06387+0.010063i,-0.023036-0.011249i,-0.0041914+0.027821i,-0.0070369+0.0020438i,-0.027581-0.0050735i,-0.031966-0.0040606i,-0.021716+0.028944i,-0.0030303+0.0036748i,0.018841+0.01124i,0.0098969-0.0074424i,-0.0057322+0.0055125i,-0.012788+0.022825i,0.004356+0.0068629i,0.0033963+0.0056993i,-0.00024069-0.0018413i,0.010071+0.0012963i,0.001596+0.0078167i,0.0016379+0.0049094i,-0.0036532-0.0088789i,0.0011094+0.0055978i,0.0024749+0.0020164i,-0.0009117+0.0072998i,-0.0016192-0.00052073i,0.0044508-0.0037128i,0.0095117+0.0017217i,0.00076746-0.00062197i,-0.023592-0.022588i,0.0053594-0.010126i,-4.2044e-05-0.0055009i,0.0051463-0.000437i,-0.00027223+0.00049029i,0.0043491-0.013101i,0.0068697-0.002631i,-0.0010472+0.0050834i,0.0035276+0.0018556i,0.0058078-0.0061641i,-0.003785-0.010125i,-0.0013267-0.0023528i,0.0018377-0.0054895i,0.00013909-0.0030939i,-0.0031919-0.010111i,-0.031759+0.014366i,-0.024617+0.011158i,-0.010953-0.01394i,-0.0050222-0.0014878i,-0.0029345+0.026968i,-0.0090252+0.010659i,0.002472+0.0080407i
-0.00076422+0.050425i,-0.0027706+0.022207i,-0.0038059+0.029075i,-0.0056178+0.02399i,0.0058065+0.0088139i,0.0045623+0.0022418i,0.0036651+0.033315i,0.017139+0.010567i,0.011282+0.0023723i,-0.0018943+0.0037052i,0.0027519-0.0015311i,0.0045792+0.0019622i,-0.00094538-0.0028707i,0.0056807+6.3075e-05i,0.0020805+0.00048634i,0.0059186+0.0053545i,0.01105+0.0050192i,-0.00026289+0.001142i,-0.002514-0.0046716i,-0.0024345-0.00083504i,-0.002599-0.00095298i,-0.0015105-0.0036378i,-0.0022101-0.0014935i,-0.0099296+0.00914i,-0.0018586-0.00019444i,-0.0012079+0.00065828i,-0.0011297+0.0015913i,-0.001528-0.0017367i,-0.0011009+0.00052128i,-0.00049512-0.0003365i,0.0023485-0.0012832i,0.0012137-0.000655i,-0.00024312-9.4632e-05i,-9.967e-06+0.00087695i,0.0022845+0.0014463i,-0.012609-0.006535i,0.00097819+0.0022275i,-0.00065983+0.0015309i,-0.0011936+0.00094864i,0.0009499-0.00025545i,-0.000826+0.00018129i,-0.0016122+1.2002e-06i,0.00019607+0.0023518i,-0.0023247+0.00027861i,0.0044103+0.024828i,-0.029359-0.0028913i,-0.016937+0.018211i,-0.039331-0.010669i,-0.054515+0.025253i,-0.026613-0.0086384i,0.00025414+0.022628i,-0.0069839-0.0022547i,-0.025684-0.0035372i,-0.03129+0.00091674i,-0.014+0.032304i,-0.0019092+0.0038665i,0.01334-0.0013001i,0.0054906-0.010909i,-0.0039477+0.008889i,-0.0038082+0.024064i,0.0051197+0.0043577i,0.0046889+0.0018662i,0.00078277+3.078e-05i,0.0095242-0.0019731i,0.0064666+0.0068848i,0.003356+0.0060659i,-0.0081271-0.0033063i,0.0036279+0.0071001i,0.0038423+0.0026899i,0.003213+0.0073767i,-0.0012197+2.1582e-05i,0.0034017-0.0045372i,0.0092701-0.0044051i,-0.00093717-0.00087314i,-0.032037-0.013446i,0.0018692-0.010082i,-0.0020445-0.0040818i,0.005241-0.00064684i,0.00043484+0.00076865i,0.0029076-0.014954i,0.0051478-0.005327i,0.0013704+0.0041452i,0.0034467+0.00085887i,0.0041853-0.0068359i,-0.0071949-0.0058885i,-0.0026266-0.002201i,-0.00083382-0.0051653i,-0.0018028-0.0034206i,-0.0063246-0.0072272i,-0.02693+0.016471i,-0.017962+0.012069i,-0.011529-0.012641i,-0.0062209-0.0009777i,0.0019504+0.024901i,-0.0072721+0.012162i,0.0027599+0.005275i
0.0069664+0.04906i,0.00086724+0.02313i,0.00019131+0.03149i,-0.0026334+0.02373i,0.0050943+0.0083086i,0.0043401+0.0013079i,0.0095163+0.029279i,0.017441+0.0074175i,0.011657-0.00033609i,-0.0009555+0.0038263i,0.0029555-0.00093464i,0.0066106-0.00032215i,-0.0016979-0.0019489i,0.0039928-0.001308i,0.0020915+0.0003274i,0.0079061+0.0032276i,0.011747+0.00077792i,0.00035493+0.00093359i,-0.0036124-0.0037585i,-0.0021829+0.00039097i,-0.0019477-0.00031929i,-0.0022626-0.0026945i,-0.0024504-0.00088681i,-0.0056696+0.01168i,-0.0020951+0.00073763i,-0.00091886+0.0013456i,-0.00072772+0.002009i,-0.0028258-0.001072i,-0.00096045+0.00059923i,-0.00068857-0.00024531i,0.0014335-0.0019075i,0.0013535-0.0017101i,-0.00040399-0.00013504i,7.9094e-05+0.00086241i,0.0020175+0.00032406i,-0.015117-0.0023475i,0.0014632+0.0017688i,-0.00026424+0.0017262i,-0.0012201+0.0012252i,0.0012596-0.00010167i,-0.00036338+0.00025655i,-0.0012982+0.0001273i,0.00037123+0.001775i,-0.0016464+0.0013284i,0.0086861+0.022542i,-0.029411-0.0015403i,-0.014983+0.017311i,-0.038651-0.0023024i,-0.041416+0.033686i,-0.029897-0.0052092i,0.0043215+0.016832i,-0.00785-0.0040231i,-0.02487-0.0025758i,-0.029129+0.0064995i,-0.0048259+0.033832i,-0.00093524+0.0037655i,0.0063895-0.0030539i,0.00042463-0.012143i,4.2478e-05+0.011886i,0.0040767+0.021361i,0.004611+0.0021555i,0.0036139-0.0015253i,0.00049833+0.00062622i,0.0076563-0.0054986i,0.00978+0.0033351i,0.0060295+0.0057445i,-0.0078026+0.00070794i,0.0064023+0.0074983i,0.0055703+0.0026282i,0.0077385+0.0053774i,-0.00066603+0.00074659i,0.00284-0.0053739i,0.0053146-0.0083203i,-0.0010598+0.0012986i,-0.035542-0.00070087i,-0.00081789-0.0093994i,-0.0028771-0.0021388i,0.0059314-0.001793i,0.00085325+0.00048312i,-0.0013625-0.017252i,0.0025922-0.0065476i,0.0030759+0.0034415i,0.0037928-3.2826e-05i,0.00371-0.0075139i,-0.0090077-0.002817i,-0.0038464-0.00034022i,-0.003441-0.0037553i,-0.0030998-0.0028263i,-0.0076096-0.0043577i,-0.023014+0.017021i,-0.016191+0.01241i,-0.012496-0.013443i,-0.007135+0.0001048i,0.0041702+0.023536i,-0.0062821+0.012827i,0.0029873+0.0038756i
0.014752+0.046662i,0.0056406+0.022991i,0.0064948+0.032407i,0.00061035+0.023421i,0.0055935+0.0088351i,0.0042519+0.00082947i,0.01371+0.023942i,0.017716+0.0042988i,0.011051-0.0032039i,-0.00019302+0.0036653i,0.0033502-0.0016186i,0.0059368-0.003638i,-0.0019839-0.00090902i,0.0032124-0.0015768i,0.0021763+5.2469e-05i,0.0082194+0.00033054i,0.010579-0.0031244i,0.00013456+0.00050567i,-0.0047428-0.0023761i,-0.0012937+0.00093668i,-0.0011118-0.00048255i,-0.0023662-0.0019008i,-0.0024833-0.0001523i,-0.0010239+0.011687i,-0.0017461+0.0014895i,-0.00034707+0.001625i,0.00017484+0.0020916i,-0.0033531+0.00033309i,-0.00068038+0.0005382i,-0.00074425-0.00010917i,0.00045123-0.0020591i,3.1858e-06-0.0024065i,-0.00058887+7.8453e-05i,0.00017932+0.00082645i,0.0014622-0.00032487i,-0.015236+0.0029167i,0.0015733+0.0012087i,0.00042386+0.0016716i,-0.0010282+0.0016519i,0.0015508-0.00025771i,-0.00016088+3.869e-05i,-0.0008313+0.00020434i,0.00030085+0.0014475i,-0.0007496+0.001909i,0.011537+0.020311i,-0.031499+0.0031888i,-0.013385+0.01677i,-0.033676+0.0059624i,-0.029003+0.038181i,-0.032275+0.0020133i,0.0068221+0.0096873i,-0.0059612-0.0063673i,-0.023921-0.0002335i,-0.024861+0.011844i,0.0035649+0.032487i,-0.00054088+0.0029364i,0.0025421-0.0034508i,-0.0051376-0.011779i,0.0062491+0.011423i,0.0079988+0.016239i,0.0025484+0.00072123i,0.0022003-0.0040596i,0.0016251+0.0032349i,0.0038187-0.0075038i,0.010723-0.0022459i,0.0083814+0.0037651i,-0.0072039+0.0043508i,0.01075+0.0065415i,0.0078783+0.00037694i,0.0098936+0.00037566i,0.00022555+0.0012332i,0.0013858-0.0060815i,-0.00042522-0.0089968i,0.00088152+0.0026696i,-0.034138+0.012774i,-0.0028947-0.0085364i,-0.0025521-0.00017938i,0.0056407-0.0057648i,0.0013112+0.00087985i,-0.0080915-0.016659i,-0.00023294-0.0060703i,0.0043421+0.0017092i,0.0038102-0.00068133i,0.0019115-0.008787i,-0.0094519+0.0028067i,-0.0033581+0.0020065i,-0.0049357-0.0015563i,-0.0044968-0.0023894i,-0.0075483-0.0017615i,-0.021335+0.017926i,-0.015102+0.016732i,-0.015327-0.016029i,-0.0053919+0.0015647i,0.0080894+0.022763i,-0.0058264+0.014879i,0.0040285+0.0010822i
0.021972+0.04279i,0.010248+0.02123i,0.013185+0.030222i,0.0040362+0.022571i,0.0071426+0.0089079i,0.004625+0.00042564i,0.015892+0.018676i,0.017529+0.001106i,0.010014-0.0054775i,0.00024399+0.0037863i,0.0030594-0.0022728i,0.0034371-0.0053363i,-0.0020003-8.2226e-05i,0.0022558-0.0017635i,0.0021694-0.00027406i,0.0068777-0.0019541i,0.0081409-0.0056904i,2.3908e-05+0.00053504i,-0.0048371-0.00056968i,-0.00050266+0.00086391i,-0.00048766-0.00089935i,-0.0024131-0.0015524i,-0.0021429+0.00049272i,0.0026203+0.010744i,-0.0011164+0.0018282i,0.00017957+0.0017394i,0.00088326+0.0014741i,-0.0029495+0.0017915i,-0.00068063+0.00026466i,-0.0010201+6.7513e-05i,-0.00041038-0.0017813i,-0.001419-0.0020023i,-0.0004344+0.00032741i,0.00044019+0.00081582i,0.00084362-0.00072072i,-0.013118+0.0073113i,0.001656+0.00064271i,0.00082422+0.0011701i,-0.00037225+0.0022593i,0.0015826-0.00089341i,-0.00010588-7.6787e-05i,-0.00057155-0.00020688i,0.00013481+0.001404i,0.00015319+0.0019896i,0.014446+0.018549i,-0.030065+0.010999i,-0.01314+0.016355i,-0.027508+0.009511i,-0.016263+0.039771i,-0.030229+0.011316i,0.0054115+0.002315i,-0.0065228-0.01206i,-0.020683+0.0016236i,-0.017682+0.016358i,0.012205+0.028279i,-0.00081822+0.0027056i,-0.0018071-0.0023016i,-0.0098311-0.0086009i,0.010559+0.006999i,0.009993+0.01293i,-0.0006177+0.0015795i,-0.00030789-0.0066643i,0.0054062+0.0021331i,-0.00018392-0.0070904i,0.0076854-0.0063718i,0.0097895+0.0004124i,-0.0059145+0.0070224i,0.014249+0.00092066i,0.0078975-0.0043037i,0.0088086-0.0048202i,0.0014953+0.0011042i,-0.00052133-0.0063506i,-0.0042821-0.0056872i,0.0030315+0.0015352i,-0.026256+0.026992i,-0.0049464-0.0073389i,-0.0012887+0.00097954i,0.0016787-0.0072532i,0.002373+0.00064154i,-0.014198-0.012575i,-0.001461-0.0042694i,0.0044063-0.00067511i,0.0034891-0.0014995i,-0.0008433-0.0086262i,-0.0056571+0.0072095i,-0.0016912+0.00347i,-0.0052734+0.0021036i,-0.0066081-0.0013584i,-0.007133-0.00043306i,-0.017488+0.022054i,-0.0069186+0.020446i,-0.021759-0.01566i,-0.0030159+0.00014084i,0.010904+0.020279i,-0.0033114+0.017777i,0.0027985-0.0027491i
