-0.023715+0.00014944i,-0.024824-5.6657e-05i,-0.015076-0.012i,-0.034848-0.01487i,-0.030607+0.00029114i,-0.032818+0.0056595i,-0.055852-0.019625i,-0.033782-0.019401i,-0.028694+0.00071698i,0.0068271+0.0037304i,-0.0034884+0.0068064i,-0.0068636+0.016473i,0.0059748+0.011124i,0.0022438+0.0034393i,0.00467+0.0034746i,0.0050662+0.018364i,0.0214+0.021884i,0.0011091-0.00087882i,0.00027454-0.0056918i,0.0068403-0.00085752i,0.0043422-0.00042876i,0.0022701+0.0019803i,0.00065178-0.00021125i,-0.018516+0.0022779i,-0.0059574-0.0040318i,-0.0014082+0.0028584i,0.0011146-0.0019138i,-0.0012886-0.00055113i,-0.0010216+0.0013243i,-0.0024389-0.0021762i,-0.0042109-0.00018122i,-0.0052658-0.0025575i,-0.0023127-0.0026547i,-0.00021042-0.0003258i,0.0004866-0.003078i,0.0010596+0.012837i,0.0011481-0.0030541i,0.0009328-0.0033649i,0.0043754-0.0023743i,-0.0032292-0.0025224i,0.00055006-0.00027563i,0.0070678-0.00063579i,0.0053916-0.0029893i,0.00057336+0.0019375i,-0.014694+0.014546i,-0.028517+0.054276i,-0.0094274-0.036532i,-0.016849-0.018558i,-0.040672-0.017i,-0.028887-0.013062i,0.037344-0.013492i,0.0061625-0.031674i,0.013891-0.039041i,-0.010849-0.030146i,0.025272-0.022287i,0.014508+0.0065148i,0.026156-0.036947i,-0.0023215-0.0040995i,0.004367-0.0091135i,-0.00018726-0.0063765i,-0.00095811-0.034429i,-0.013689+0.028287i,0.008649-0.011943i,-0.0081182-0.0047346i,-0.0030758-0.0019846i,-0.00073717-0.015057i,-0.0081468+0.006694i,0.0034375+0.0081947i,-0.00016929+0.026835i,0.0027231+0.00011904i,-0.0074483-0.0048301i,-0.004125-0.0058146i,-0.014339-0.0097436i,-0.0028733-0.0061459i,-0.030954+0.0023159i,-0.003948-0.009229i,-0.013335-0.00070887i,-0.011493-0.0060651i,0.0013436-0.0018162i,-0.014103+0.0021728i,-0.001454-0.00038701i,0.0060465+0.0060196i,0.003712-0.0052259i,-0.013861-0.014627i,0.0082133+0.009007i,-0.01674+0.0057442i,0.0052274-0.00049951i,-0.01911-0.0028757i,-0.015957-0.0035125i,-0.017463-0.034276i,0.020034-0.0097965i,-0.05234-0.022469i,-0.0066415+0.0032194i,0.01824+0.015704i,-0.020911+0.017869i,-0.0035676-0.0039829i
0.0065047+0.012967i,0.0075458+0.017897i,0.0022622+0.026934i,-0.0070019+0.025679i,0.00030222+0.033832i,0.014868+0.020448i,-0.00053113+0.029763i,-0.007198+0.019826i,0.013248+0.0081217i,0.00052327-0.0035047i,0.001407-0.0010492i,0.005032-0.0031727i,0.0017326-0.00243i,-0.00093555-0.0045465i,-0.00068591-0.0017607i,0.0034081-0.0062092i,-0.0027353-0.0044742i,-0.0019758+0.0024463i,0.00058471+0.00035967i,0.00016398+0.0017273i,-0.002501+0.00043636i,-0.00033394-0.00023862i,0.0017145+0.00027739i,-0.0055349-0.0021834i,-0.00031433-0.0004298i,-0.0012376+0.00058702i,-0.0025122+0.00044124i,-0.0019324+0.00027898i,-0.0025079-1.5346e-05i,-0.00060088-0.00069351i,-0.0033197+0.00036248i,-0.00058839-0.00078173i,-0.00024154-0.002125i,0.00051644-0.0011857i,-0.00079419+0.0012124i,-0.00050007-0.001909i,-0.0017502+0.0011865i,0.0018415+0.0002125i,0.0019977+0.0040434i,0.0020039+0.0047231i,7.3067e-05+0.00091332i,-0.0012254+0.00061094i,-0.0014355-0.0011009i,0.0026462+0.0045147i,0.012702+0.0078796i,0.045047-0.051641i,-0.025377+0.0077865i,0.015532-0.025515i,-0.024527-0.032494i,-0.013329+0.0027766i,-0.032818+0.034118i,-0.019378+0.0053375i,-0.01897+0.0082325i,-0.003127-0.01629i,-0.038854-0.019182i,-0.0092324+0.0019946i,-0.027233+0.012881i,0.0030955+0.015468i,0.00048554+0.0053786i,-0.0069609-0.0041976i,-0.00056035+0.0017012i,-0.015483-0.0056294i,0.0060008+0.01374i,-0.00095635+0.0074884i,-0.0021865+0.0039451i,0.0023833+0.0070251i,0.002014+0.002872i,-0.00099406+0.020155i,0.0029033+0.015828i,0.0056941-0.0051013i,0.012904-0.0061024i,0.0080361+0.0023993i,-0.0035094-0.0060751i,-6.2535e-05-0.0016705i,0.023688-0.03258i,0.0097515+0.0059468i,0.009013-0.0020674i,0.0025888-0.00046415i,0.0056413-0.0090129i,0.022769-0.00025469i,0.0058389-0.002538i,0.0027916-0.0059404i,0.0043659-0.0031035i,0.017715+0.0036717i,0.0056907+0.0039109i,0.0029459-0.0033085i,0.0082416+0.0091941i,-0.0015759+0.004589i,0.007836+0.0088288i,-0.011916-0.014037i,-0.0082525+0.00071754i,-0.0066603-0.010639i,-0.0093977-0.0087482i,-0.041915+0.011245i,-0.0056179+0.0038213i,-0.010958-0.0003841i
0.0085074+0.011362i,0.0098338+0.014735i,0.008436+0.021743i,-0.0027518+0.024479i,0.0054214+0.03159i,0.017774+0.01758i,0.0041281+0.028746i,-0.0032505+0.019704i,0.013702+0.0030588i,-0.0004895-0.0032246i,0.0014077-0.00048776i,0.0038225-0.0050451i,0.00099729-0.0034097i,-0.0013212-0.0037793i,-0.0012882-0.0014361i,0.00043319-0.0057311i,-0.004958-0.0024292i,-0.0006134+0.0034101i,0.0014775+0.00018374i,0.0011197+0.0013333i,-0.0016247+0.0015958i,0.00015112+0.00051025i,0.0020556-0.00044192i,-0.004829-0.00021662i,-0.00017472-4.776e-05i,-0.00090917+0.0010103i,-0.001751+0.0015086i,-0.0013506+0.00076957i,-0.0022823+0.0010398i,-0.00037696-0.00021882i,-0.0027832+0.0017952i,-0.00094646-0.00012767i,-0.0014071-0.0018866i,-0.000791-0.0013218i,-0.001514+0.0010298i,0.00025466-0.0013334i,-0.00089167+0.0018461i,0.0013893-0.00060529i,0.003469+0.00697i,0.0031844+0.0029484i,0.00060219+0.0010822i,-0.0011793+0.0010171i,-0.0018869-0.00075122i,0.003738+0.0035719i,0.013959+0.0037092i,0.025156-0.061983i,-0.019088+0.015279i,0.0054393-0.03269i,-0.035567-0.02426i,-0.010541+0.0060709i,-0.020865+0.039621i,-0.015259+0.0088066i,-0.0072017+0.0032371i,-0.0049672-0.014708i,-0.043541-0.0050048i,-0.0089507+0.0028471i,-0.021546+0.023906i,0.007097+0.010904i,0.0013246+0.0040028i,-0.012424-0.0047822i,-0.003055+0.0048259i,-0.016121+0.0027725i,0.010954+0.0096459i,0.0009608+0.0095387i,-0.0001102+0.0041228i,0.0046345+0.0069235i,0.0037522+0.0028641i,0.0066435+0.015743i,0.0078529+0.0096211i,-0.0013646-0.0080053i,0.0058858-0.0078753i,0.0076414+0.00082294i,-0.0058912+0.0018003i,-0.00048388+0.00085797i,0.0089418-0.034201i,0.012016+0.0027264i,0.0079061-0.0047584i,0.0041424-0.0016406i,0.00056833-0.0059034i,0.021423-0.0096809i,0.0035659-0.0041242i,-0.00060202-0.0062571i,0.000883-0.002288i,0.015193-0.0025426i,0.0073095+0.0028045i,0.0021857-0.0018372i,0.011174+0.0057591i,2.097e-05+0.0050939i,0.0087886+0.004817i,-0.017744-0.01269i,-0.0051-0.013343i,-0.0044992-0.010233i,-0.012247-0.004653i,-0.030992+0.025809i,-0.0038142+0.0045616i,-0.0087793+0.0012282i
0.010875+0.0093543i,0.01162+0.011981i,0.011017+0.015793i,0.00058615+0.023122i,0.011177+0.029541i,0.02032+0.014132i,0.0087795+0.026995i,0.00040745+0.018708i,0.01205-0.00075585i,-0.0013875-0.002849i,0.0021483-0.00045604i,0.0005692-0.0057152i,-0.00014267-0.0036345i,-0.0020486-0.0033591i,-0.0016912-0.00093318i,-0.0017203-0.0038876i,-0.0053778+0.00034802i,0.0010389+0.003365i,0.0018111-0.0010347i,0.001895+0.00039355i,-0.00036815+0.0015818i,0.0012137+0.00026841i,0.0019317-0.0012857i,-0.0042273+0.00052477i,-3.7454e-05+0.00020366i,-0.00016045+0.0014501i,-0.0006018+0.0017232i,-0.00059373+0.0011648i,-0.0018407+0.0018204i,-0.00038295-0.00018078i,-0.0016911+0.0026652i,-0.00090077+0.00044796i,-0.0020094-0.00079171i,-0.0016743-0.00076208i,-0.0012602+0.0019971i,0.0011052-0.0016835i,-2.4265e-05+0.0018851i,0.00065146-0.0011287i,0.0010122+0.0058568i,0.0036033+0.0015596i,0.00094987+0.00076233i,-0.00026735+0.0016573i,-0.0023934-0.00036622i,0.0042614+0.001813i,0.013775-1.0862e-05i,0.003368-0.062226i,-0.0088168+0.018445i,-0.006175-0.033792i,-0.038586-0.014905i,-0.0048122+0.0072879i,-0.0063486+0.039677i,-0.0075716+0.011863i,-0.0069327-0.0032921i,-0.0058034-0.013805i,-0.041082+0.0087969i,-0.0079508+0.0046905i,-0.0094455+0.029518i,0.007188+0.005898i,-0.00020217+0.0017941i,-0.018487+0.00081541i,-0.0015807+0.0066289i,-0.012701+0.0086637i,0.012933+0.0031644i,0.0046608+0.009342i,-0.000891+0.004621i,0.0057721+0.0048568i,0.0053004+0.00042292i,0.009305+0.0096234i,0.0079928+0.0045127i,-0.0072855-0.0030084i,0.003412-0.0066243i,0.0087126-0.00048681i,-0.0022715+0.0074696i,0.0022266+0.0021429i,0.0029745-0.035235i,0.013406-0.0029893i,0.0057415-0.0067338i,0.0031548-0.0041865i,0.0006327-0.003716i,0.01407-0.016524i,0.00049131-0.0014155i,-0.0034987-0.00232i,0.00033685+0.00059026i,0.011093-0.0059714i,0.0099255-0.0014595i,0.0030962-0.0027717i,0.013935+0.00032921i,0.0033229+0.0039035i,0.0086105+0.0013888i,-0.021536-0.0055194i,-0.016042-0.020169i,-0.0021118-0.014148i,-0.0091292-0.0015929i,-0.018115+0.021173i,-0.0037942-8.3916e-05i,-0.007561-0.0027401i
0.012848+0.0061834i,0.013235+0.0090333i,0.011475+0.010269i,0.004067+0.022146i,0.016397+0.02523i,0.022284+0.010175i,0.013245+0.02438i,0.0036811+0.016959i,0.010059-0.0028251i,-0.0020978-0.0019937i,0.0024532-0.0016672i,-0.0018524-0.0040159i,-0.0014025-0.0035366i,-0.0029462-0.0024291i,-0.0020397-0.0003904i,-0.0024142-0.001784i,-0.0041071+0.0028879i,0.0022794+0.0022878i,0.0012205-0.0014431i,0.0018432-0.00086412i,0.00032577+0.0013013i,0.0018-0.00054302i,0.0015227-0.0021423i,-0.0037983+0.0014293i,0.00037361+5.2591e-05i,0.00094077+0.00068999i,0.00024735+0.0013338i,0.00016344+0.00084929i,-0.001092+0.0026942i,-0.00030894+0.00021186i,-0.00042924+0.002777i,-0.0006732+0.00085579i,-0.0022398+0.00022671i,-0.0018402+0.00028903i,-0.00026786+0.0022308i,0.0013256-0.0028622i,0.00111+0.0016722i,-5.6779e-05-0.0010957i,0.0015117+0.00050478i,0.0037544+0.00030533i,0.0012266+0.00024975i,0.00078978+0.0011912i,-0.0026359+0.00052455i,0.0029757-0.00042283i,0.01302-0.0030342i,-0.013956-0.050908i,-8.0358e-05+0.015179i,-0.015639-0.030102i,-0.040199-0.0061038i,0.00033932+0.0047123i,0.0049617+0.033347i,0.0011546+0.0062232i,-0.0069184-0.0039504i,-0.0058125-0.012009i,-0.034515+0.018866i,-0.0066505+0.0061304i,0.0020495+0.027812i,0.0090154+0.0035835i,-0.0030082+0.0027106i,-0.019608+0.01006i,-0.00033785+0.0085558i,-0.0069922+0.01132i,0.010384-0.0031623i,0.0081288+0.0079179i,0.00019752+0.0069342i,0.0053453+0.0040238i,0.0053169-0.0028956i,0.0087719+0.0036222i,0.0055697+0.0014867i,-0.0054177+0.0014653i,0.00146-0.0062564i,0.0079146-0.002832i,0.0064648+0.0068986i,0.003681+0.00056314i,-0.013688-0.022854i,0.01042-0.0073267i,0.0027593-0.0087315i,0.0015946-0.0032179i,0.0005417-0.0044726i,0.0057442-0.018039i,0.0031582+6.8737e-05i,-0.0043985+0.00015285i,0.0026644+0.0016642i,0.0077138-0.0063633i,0.0071486-0.0064363i,0.00155-0.0033108i,0.0107-0.0075848i,0.0030972+0.0014459i,0.008004-0.0025435i,-0.017259+0.0027181i,-0.026496-0.017609i,-0.006863-0.022132i,-0.0078847-0.003099i,-0.014656+0.024683i,-0.0089752-0.00042961i,-0.011559-0.0013694i
0.013453+0.0029411i,0.013681+0.0056278i,0.0099414+0.0062319i,0.0077518+0.020564i,0.020093+0.020134i,0.023333+0.0059552i,0.017175+0.020688i,0.0062243+0.014934i,0.0088745-0.0039213i,-0.0022547-0.0012283i,0.0015145-0.0025767i,-0.0025407-0.0020713i,-0.0024465-0.0030938i,-0.0031304-0.0012374i,-0.0021216+0.00039855i,-0.0022374-0.00015563i,-0.0020908+0.004437i,0.0026583+0.001186i,0.00092922-0.0015249i,0.001071-0.0017387i,0.0005818+0.00087304i,0.0015846-0.001397i,0.00056068-0.0027673i,-0.0024828+0.0018539i,0.00033325-0.00051777i,0.0008505-0.00061055i,0.00078181+0.0006104i,0.00054267+0.00039624i,-0.00019844+0.0020384i,0.00041668+0.0002818i,0.00043654+0.0025666i,-0.00028596+0.00095879i,-0.0019376+0.0013954i,-0.0015253+0.0010639i,0.00022137+0.0021506i,0.00065214-0.0041249i,0.0017939+0.00069281i,-0.00038477-0.00063569i,0.0014509-0.0009707i,0.003273-0.0005692i,0.001208-0.00034657i,0.0010363+0.00051813i,-0.0017735+0.0012638i,0.0012265+0.00013078i,0.011797-0.0052719i,-0.017681-0.036603i,0.0045562+0.010021i,-0.023095-0.023536i,-0.039144+0.0085812i,0.0027276-0.00029822i,0.015392+0.02403i,0.0034311-8.7198e-05i,-0.0060958-0.0053664i,-0.0048845-0.012463i,-0.027787+0.025916i,-0.004477+0.0071005i,0.012493+0.022548i,0.0081485-9.8209e-05i,-0.0038601+0.0060249i,-0.015625+0.018073i,0.0027904+0.009021i,-0.0004059+0.012771i,0.0045181-0.0048026i,0.010627+0.0051075i,0.0031247+0.0079367i,0.0058847+0.003676i,0.0040184-0.0049855i,0.0053769+0.0028053i,0.0033886+0.0021396i,-0.0038289+0.0033406i,0.00013191-0.0047993i,0.0065785-0.004956i,0.0096422+0.00078514i,0.0038401-0.0015557i,-0.014262-0.020023i,0.0065634-0.010069i,-0.0016408-0.0080311i,0.0029038-0.0029423i,-0.0010263-0.004264i,-4.431e-05-0.016604i,0.0043154-0.0021526i,-0.0018874+0.002323i,0.0049092+0.00012496i,0.0061801-0.0076469i,0.0038124-0.0085825i,0.001201-0.0030246i,0.003684-0.010175i,0.0021597+0.00013894i,0.0041026-0.0061855i,-0.011031+0.0039926i,-0.035775-0.0079672i,-0.017539-0.022392i,-0.0079498-0.0048715i,-0.0091017+0.025093i,-0.012601+0.0034722i,-0.010816+0.0027412i
0.013473-0.00021187i,0.013278+0.0030062i,0.0079928+0.0043586i,0.01116+0.017905i,0.021931+0.01459i,0.023851+0.0018095i,0.020221+0.016351i,0.0083334+0.012532i,0.0082003-0.0052783i,-0.0024129-0.00086346i,3.9761e-05-0.0027917i,-0.0025544-0.00057091i,-0.0036193-0.0022946i,-0.0029602-0.00059537i,-0.0019701+0.0011147i,-0.0016028+0.0010776i,0.00050687+0.004726i,0.0028066+0.00014997i,0.00032294-0.0017351i,6.1318e-05-0.0019995i,0.00098705+0.00067925i,0.0010971-0.0021196i,-0.00051792-0.0026886i,-0.0020299+0.0013667i,-4.4808e-05-0.00058763i,6.5438e-05-0.0012575i,0.00075634-0.0002753i,0.00075355-0.00031112i,0.00099088+0.0012749i,0.00070696-0.00040249i,0.001123+0.0024765i,0.00014879+0.00079089i,-0.0010094+0.0021692i,-0.00097307+0.0014242i,0.00069503+0.0020867i,-0.00089636-0.0048358i,0.0014958-0.00058189i,-0.00036808-0.00043731i,0.00076005-0.0013848i,0.0027822-0.00093219i,0.00092096-0.00074718i,0.0010052+0.00015289i,-0.001532+0.00086924i,0.00091299+0.0013847i,0.010559-0.0068915i,-0.014895-0.029721i,0.0065852+0.00588i,-0.026535-0.013657i,-0.034859+0.02187i,-0.0002371-0.0048811i,0.018419+0.017992i,0.0043816-0.005109i,-0.0054345-0.0059375i,-0.006366-0.012387i,-0.019299+0.029534i,-0.0034525+0.0076729i,0.017443+0.010422i,0.0067042-0.0027245i,-0.0020738+0.0090328i,-0.0070008+0.023118i,0.0051791+0.0073999i,0.0053939+0.011157i,0.0020664-0.0026738i,0.012568+0.000998i,0.0061593+0.0073981i,0.006586+0.0026393i,-0.00014799-0.0079072i,0.0050216+0.004423i,0.0041668+0.0037269i,-0.0011094+0.0057363i,0.00031864-0.0041281i,0.0049382-0.0059906i,0.0092818-0.0040866i,0.0031279-0.0037926i,-0.020993-0.017892i,0.0025007-0.010898i,-0.0044333-0.006406i,0.0014352-0.004259i,-0.0019826-0.00253i,-0.002793-0.013518i,0.0028417-0.0042662i,0.00066053+0.0019075i,0.005133-0.003394i,0.0031693-0.0093567i,-0.0013246-0.0099356i,0.00071619-0.0038869i,-0.00047598-0.0074248i,0.0014159-0.0012064i,-0.00079164-0.0055572i,-0.0080685+0.0037051i,-0.033753+0.0085339i,-0.025798-0.01591i,-0.0092018-0.0057245i,-0.0055025+0.025372i,-0.011083+0.0090219i,-0.0064799+0.0036755i
0.012717-0.0031282i,0.012895+0.0009276i,0.0066285+0.0038581i,0.013554+0.014485i,0.022467+0.0099284i,0.02359-0.0026399i,0.022427+0.011613i,0.0097918+0.010262i,0.0073168-0.0065488i,-0.0027169-0.00019761i,-0.0011508-0.0020872i,-0.0016206+0.00062938i,-0.0044107-0.0009149i,-0.0029765-0.00025044i,-0.0016656+0.0017594i,-0.00072772+0.0016941i,0.0024614+0.0038918i,0.0024748-0.00062328i,-7.2053e-05-0.0016151i,-0.00078372-0.0015857i,0.0012926+0.00013195i,0.00027169-0.0026064i,-0.0012454-0.0020977i,-0.0022537+0.0015591i,-0.00024412-0.00078267i,-0.00090846-0.0011995i,0.00035296-0.00078073i,0.00032963-0.0010981i,0.0014222+0.00016599i,0.00034264-0.001178i,0.001924+0.0018626i,0.00041655+0.00069739i,0.00039217+0.0021487i,-0.00038659+0.0016081i,0.001342+0.0013448i,-0.002793-0.0049218i,0.00092917-0.0010281i,-0.00048995-0.00051642i,0.0004749-0.0016724i,0.0024125-0.0011932i,0.00060611-0.00096954i,0.0010971-0.00024568i,-0.0014117+0.00095857i,0.0015343+0.0016988i,0.0097034-0.0088933i,-0.015505-0.028553i,0.0079446+0.0025965i,-0.02424-0.005309i,-0.02318+0.030207i,-0.0028645-0.0050802i,0.02058+0.011502i,0.0035864-0.0103i,-0.0046322-0.0071881i,-0.006359-0.010466i,-0.011337+0.032681i,-0.00096201+0.007736i,0.011949-0.00023967i,0.0040865-0.0051582i,0.0011176+0.010105i,0.0013341+0.021993i,0.0063116+0.0053321i,0.0081193+0.0085847i,0.0022133-0.001604i,0.012221-0.0031824i,0.010148+0.0050839i,0.0074018+0.0021334i,-0.004625-0.0042337i,0.0066368+0.004473i,0.0058585+0.00386i,0.0025125+0.0053484i,-0.00050055-0.004363i,0.0032117-0.0074483i,0.0065901-0.010054i,-0.00021253-0.0048083i,-0.027457-0.011018i,-0.00098336-0.010353i,-0.0058613-0.003266i,0.001328-0.0030469i,-0.0020095-0.0017448i,-0.0044087-0.013519i,-0.00011921-0.0051277i,0.001308+0.00014385i,0.0028315-0.0049847i,0.00053909-0.0088484i,-0.0055081-0.0066513i,-0.0011441-0.0046056i,-0.003491-0.0057125i,-0.00040594-0.0014479i,-0.002721-0.0027125i,-0.0046843+0.0035609i,-0.025834+0.010736i,-0.024563-0.0088864i,-0.010637-0.0058508i,0.00010209+0.023232i,-0.0090495+0.01123i,-0.0053027+0.0023839i
0.011436-0.005583i,0.012593-0.00082194i,0.0062847+0.0042007i,0.015056+0.011137i,0.022231+0.0059128i,0.02229-0.0069158i,0.023615+0.006632i,0.011135+0.0079199i,0.0062353-0.0079098i,-0.0025688+0.00057268i,-0.0014404-0.001046i,-0.00058948+0.00061664i,-0.00457+0.00074292i,-0.0032765+0.00047838i,-0.00097866+0.0023797i,0.00012669+0.0016282i,0.003854+0.0025017i,0.0023066-0.0012249i,-0.00039229-0.001466i,-0.0010872-0.00083807i,0.0011955-0.00045545i,-0.00062656-0.0022822i,-0.0016476-0.0014891i,-0.0017891+0.0023008i,-0.00080147-0.00084295i,-0.0015115-0.00063375i,-0.00028043-0.0010821i,-0.00055491-0.0014422i,0.001162-0.00089757i,-0.00034093-0.0015333i,0.0021804+0.00097082i,0.00069742+0.00037701i,0.0010851+0.0013353i,8.4752e-06+0.0015368i,0.0012973+0.00069644i,-0.0048945-0.004034i,0.00024764-0.0014288i,-0.00089393-0.00027674i,-0.00052494-0.002285i,0.0021442-0.001286i,0.00036374-0.00097659i,0.00096442-0.00067883i,-0.0013292+0.00094211i,0.0020504+0.0016214i,0.008136-0.011329i,-0.020437-0.027482i,0.0076782-0.0013504i,-0.021834+0.00051386i,-0.0099549+0.031811i,-0.0058127-0.0048252i,0.022158+0.0040418i,0.0015476-0.013647i,-0.0053445-0.0086176i,-0.0057751-0.0080218i,-0.0017808+0.034035i,0.0014728+0.0066283i,0.0068468-0.0012705i,0.00085961-0.006083i,0.0054172+0.010338i,0.0077583+0.017315i,0.0062485+0.0025583i,0.010135+0.0027167i,0.0013155-0.0010473i,0.0097409-0.0076995i,0.012583+0.00062473i,0.008278+0.00057527i,-0.0053688-0.0011728i,0.008057+0.0042367i,0.0076583+0.0033315i,0.006104+0.0031426i,-0.0014581-0.0039453i,0.001368-0.0082866i,0.00094937-0.012327i,-0.0018837-0.0025795i,-0.031031-0.00046974i,-0.0035844-0.0093088i,-0.0058078-7.1655e-05i,0.0012874-0.0028822i,-0.0023082-0.0013315i,-0.008202-0.013131i,-0.0022739-0.0053545i,0.0018017-0.00043412i,0.0005794-0.0055683i,-0.00062279-0.0084742i,-0.0076341-0.0037112i,-0.0036753-0.0033057i,-0.0055035-0.0015203i,-0.00076265-0.0010643i,-0.0026489-0.00078817i,-0.0020605+0.002426i,-0.023901+0.011952i,-0.022219-0.006486i,-0.012686-0.0053386i,0.0019272+0.021614i,-0.0077217+0.012052i,-0.0044193+0.0021084i
0.0098435-0.0075666i,0.012485-0.0028118i,0.0072614+0.0041769i,0.015844+0.0079141i,0.022159+0.0026432i,0.020248-0.010681i,0.023828+0.0013491i,0.011857+0.0051525i,0.0050056-0.0091146i,-0.0023082+0.0011259i,-0.001409-0.00086156i,-0.0004707-8.9592e-06i,-0.0039716+0.0023867i,-0.0030394+0.0013495i,-4.2075e-05+0.002548i,0.00044695+0.0012105i,0.0041995+0.00066516i,0.0015702-0.0020028i,-0.00077235-0.0011093i,-0.0008905-0.00031367i,0.0011021-0.00090292i,-0.0009761-0.001855i,-0.0017164-0.00078258i,-0.00074878+0.0025285i,-0.0013856-0.00057332i,-0.0018579+3.9098e-05i,-0.0011475-0.00098047i,-0.0014852-0.0011237i,0.00038614-0.0017113i,-0.0011823-0.0014684i,0.0022311+0.00023872i,0.00061947+4.4118e-05i,0.0011032+0.00070372i,0.00034333+0.0015375i,0.0011437+0.00037122i,-0.0064355-0.0021494i,-0.00076123-0.0013775i,-0.00096674+0.00018168i,-0.0017138-0.0021081i,0.0020245-0.0014764i,0.00014681-0.0010225i,0.00070862-0.00091579i,-0.0013228+0.0010767i,0.002601+0.0013974i,0.0052044-0.012699i,-0.025792-0.02177i,0.0064541-0.0044076i,-0.015864+0.0053525i,0.0010142+0.030932i,-0.0073929-0.00095352i,0.021633-0.0044319i,0.0015275-0.017449i,-0.0056118-0.0085833i,-0.0036738-0.0044989i,0.0072322+0.031268i,0.002458+0.004473i,0.0038263-0.0018406i,-0.0029688-0.0057578i,0.01014+0.0073077i,0.0093555+0.011604i,0.0042265+0.00058331i,0.0068517-0.0039906i,0.0021468+0.0014616i,0.0046513-0.010306i,0.012517-0.0058616i,0.0085072-0.0018373i,-0.0054177+0.0022837i,0.011115+0.0027625i,0.01029+0.00053472i,0.0070568-0.0011703i,-0.0020544-0.0031758i,-0.0010856-0.0083409i,-0.0065216-0.010726i,-0.0013245-0.00069561i,-0.029412+0.01106i,-0.0056116-0.0082699i,-0.0044195+0.002189i,0.0015029-0.0051224i,-0.0023244+0.00016411i,-0.012658-0.010145i,-0.0048905-0.003316i,0.0014019-0.0018982i,-0.0014132-0.0048502i,-0.0027868-0.0080066i,-0.007673+0.0014423i,-0.0042468-0.00043931i,-0.0067424-0.002355i,-0.0022796-0.0024363i,-0.0016478-0.00029923i,-0.00041095+0.0014054i,-0.022719+0.018236i,-0.021819-0.0077994i,-0.012409-0.0018787i,0.0054947+0.020819i,-0.0067229+0.014234i,-0.002798-0.00025304i
0.0081863-0.0091077i,0.011924-0.0048812i,0.008417+0.0029116i,0.016175+0.0046534i,0.021886-0.00065856i,0.017731-0.013771i,0.022638-0.0035431i,0.011989+0.0024958i,0.0035371-0.010143i,-0.0021585+0.0017812i,-0.001782-0.00024111i,-0.0010324-0.00012766i,-0.0030023+0.0034055i,-0.0025366+0.002126i,0.00063605+0.0021591i,0.00020576+0.00092429i,0.0035435-0.00095238i,0.00071921-0.0019078i,-0.00066504-0.00069542i,-0.00051113-5.8695e-05i,0.0009921-0.001376i,-0.0011391-0.0015599i,-0.0014123-0.00027422i,2.1126e-05+0.0024847i,-0.0017156-0.00016787i,-0.0019242+0.00096088i,-0.0018758-0.0003902i,-0.0020087-0.00034525i,-0.00078304-0.0019943i,-0.0020731-0.00095721i,0.0019877-0.00042203i,0.00049699-0.00013163i,0.001062+0.00020167i,0.00084396+0.0013923i,0.00093788+0.00011984i,-0.0071764+7.9424e-05i,-0.0014323-0.00091584i,-0.00096221+0.00036545i,-0.0026484-0.0011606i,0.0018029-0.0018977i,-3.9357e-05-0.00091533i,0.00057352-0.0011877i,-0.0012895+0.0013193i,0.003088+0.00096034i,0.0028619-0.012802i,-0.026068-0.014015i,0.0037539-0.0063153i,-0.0097062+0.0055773i,0.01174+0.027565i,-0.0055274+0.0034485i,0.017589-0.011219i,-0.0024308-0.024109i,-0.0056669-0.0084229i,0.0007788-0.0032712i,0.01464+0.024889i,0.0022913+0.0027504i,0.00085503-0.001309i,-0.005423-0.0033713i,0.011906+0.0016403i,0.0058509+0.01092i,0.00147+0.001106i,0.0020652-0.0072148i,0.0054252+0.0005297i,-0.00042426-0.0095296i,0.0079833-0.010136i,0.0077921-0.0043002i,-0.0045937+0.0047168i,0.012836-0.0025702i,0.0097301-0.0049924i,0.0054372-0.0051858i,-0.00258-0.0025505i,-0.0036887-0.0075515i,-0.0052176-0.0055467i,-7.1676e-05-0.00087536i,-0.023268+0.021913i,-0.008172-0.0065069i,-0.0021541+0.0032648i,-0.001283-0.0063069i,-0.0013174+0.00092706i,-0.015762-0.0048675i,-0.0048424-0.00023232i,-0.00014756-0.0027633i,-0.0032571-0.0036864i,-0.0046977-0.006211i,-0.0053073+0.004078i,-0.0028072+0.0016119i,-0.0072268+0.0028638i,-0.0056098-0.0014403i,-0.0017013-0.00037237i,0.0034268+0.00072339i,-0.012228+0.023721i,-0.025074-0.0074843i,-0.011185-0.0024937i,0.0078558+0.018418i,-0.0040057+0.016399i,-0.0040235-0.0036577i
